[00:00:02.517 --> 00:00:03.118]  I don't think so.
[00:10:50.740 --> 00:10:56.666]  Showing dead people there, interviewing victims and sympathetic figures, all to call for this U.S.
[00:10:56.726 --> 00:11:02.893]  and Western-backed military presence in Sudan, which we see has a lot to do with the oil fields there.
[00:11:03.233 --> 00:11:08.639]  So just something to keep in mind when you're trying to do something humanitarian that actually leads to more war.
[00:11:09.159 --> 00:11:13.223]  Like giving Obama the Nobel Peace Prize before he exacerbates conflict.
[00:11:13.483 --> 00:11:15.405]  We turn now to the quote of the day.
[00:11:15.425 --> 00:11:21.271]  It is from James Warburg, one of the founders of the Federal Reserve, a very important family.
[00:11:21.691 --> 00:11:26.636]  Back in 1950 he said, we will have a world government whether you like it or not.
[00:11:27.056 --> 00:11:31.780]  The only question is whether that government will be achieved by conquest or consent.
[00:11:32.697 --> 00:11:33.798]  That was before the U.S.
[00:11:33.858 --> 00:11:34.139]  Senate.
[00:11:34.219 --> 00:11:38.243]  A very brazen statement indeed, but he's backed by some powerful criminals.
[00:11:38.463 --> 00:11:44.029]  We'll be back after this with even more on Bilderberg and the important, deadly Facebook connection.
[00:11:44.049 --> 00:11:47.032]  They are trying to hack our country, our elections, and more.
[00:11:47.112 --> 00:11:47.633]  Stay tuned.
[00:11:47.653 --> 00:11:49.194]  We'll have tech news on the other side.
[00:11:49.214 --> 00:11:50.636]  InfoWars Nightly News.
[00:11:54.418 --> 00:11:57.640]  Have you been to InfoWarsShop.com lately?
[00:11:58.120 --> 00:12:02.662]  Express your inner patriot with these brand new InfoWars t shirts.
[00:12:03.242 --> 00:12:06.003]  Say it loud with the InfoWars Bullhorn shirt.
[00:12:06.463 --> 00:12:09.365]  Or educate the sheeple with the Bill of Rights shirt.
[00:12:10.185 --> 00:12:13.546]  Grope the public's mind with the TSA shirt.
[00:12:14.207 --> 00:12:18.489]  And with this shirt, you can let the dark side know of the Rebel Alliance's power.
[00:12:19.869 --> 00:12:22.951]  All available at InfoWarsShop.com.
[00:12:25.606 --> 00:12:30.910]  Sick of the globalist eugenicist control freaks adding poison to your water and laughing as you get sick and die?
[00:12:31.150 --> 00:12:33.352]  Start purifying your water with ProPure.
[00:12:33.572 --> 00:12:42.558]  My friends, I've done a lot of research, and the best gravity filter out there bar none is ProPure, and it's available discounted at InfoWars.com.
[00:12:42.718 --> 00:12:45.941]  Its filters are silver impregnated to prevent bacterial growth.
[00:12:46.201 --> 00:12:47.642]  There's no priming required.
[00:12:47.902 --> 00:12:49.943]  It's NSF-42 certified.
[00:12:50.184 --> 00:12:52.685]  Optional fluoride filters can reduce fluoride up to 95%.
[00:12:53.746 --> 00:12:55.087]  Easy to set up and use.
[00:12:55.287 --> 00:12:56.608]  Doesn't require electricity.
[00:12:56.728 --> 00:12:59.611]  Purify water from lakes, streams, ponds, and wells.
[00:12:59.931 --> 00:13:03.114]  This filter system leaves in beneficial minerals, which is key.
[00:13:03.314 --> 00:13:05.115]  Save money by not buying bottled water.
[00:13:05.235 --> 00:13:07.317]  And avoid BPA that leaches from the plastic.
[00:13:07.477 --> 00:13:10.099]  ProPure is the best gravity-fed filter out there.
[00:13:10.239 --> 00:13:11.560]  It's what my family uses.
[00:13:11.841 --> 00:13:15.063]  Infowars.com already has the lowest price on ProPure.
[00:13:15.163 --> 00:13:20.828]  But if you add the promo code WATER at checkout, you get an additional 10% off at Infowars.com.
[00:13:21.048 --> 00:13:22.209]  You can also call to order.
[00:13:29.251 --> 00:13:33.572]  We are back on the InfoWars Nightly News and now for a little technology news.
[00:13:34.012 --> 00:13:38.593]  First, scientists have built a billion-dollar city where no one will live.
[00:13:38.753 --> 00:13:46.995]  It's in New Mexico and it's basically a smart city for research scientists to look at things from intelligent traffic systems
[00:13:47.435 --> 00:13:53.823]  To next generation wireless networks, to automated washing machines, self-flushing toilets, and on and on.
[00:13:53.903 --> 00:14:02.735]  And you've heard about how they're going to use toasters to spy on you, your own television to spy on you, they're already using GPS and your car's black box technology to spy on you.
[00:14:03.155 --> 00:14:06.736]  Cell phones are basically spy tools, double-edged swords of course, though.
[00:14:07.256 --> 00:14:14.338]  And all this is just going to be further tested in a city that's set to look like something out of the Jetsons, but with even fewer people in it.
[00:14:14.678 --> 00:14:15.619]  That's interesting.
[00:14:16.019 --> 00:14:20.180]  Also, a light-powered bionic eye has been invented to help restore sight.
[00:14:20.560 --> 00:14:26.044]  These are some of the good things they could use technology for, but of course control is usually at the top of their list.
[00:14:26.404 --> 00:14:31.487]  Retinal implants stimulate nerves in the back of the eye, which has helped some patients to see.
[00:14:31.948 --> 00:14:39.192]  Early results of a trial in the UK mean two men have gone from being totally blind to being able to perceive light and even some shapes.
[00:14:39.553 --> 00:14:46.617]  However, fitting a chip behind the retina requires a battery fitted behind the ear and a cable to join the two together.
[00:14:47.038 --> 00:14:50.040]  I'm sure they're looking at ways to eliminate that hang-up.
[00:14:51.000 --> 00:14:55.924]  Also in Detroit, not really a technology news, but an anti-gun news.
[00:14:56.324 --> 00:15:00.927]  A worker in Wayne County simply found a gun in the yard they were working at.
[00:15:01.267 --> 00:15:09.973]  It turned out to be stolen and he's the one who got in trouble and fired from his job because the job didn't have a policy on what to do if he found a gun.
[00:15:10.053 --> 00:15:14.196]  They had a policy about not bringing guns, but this was totally different.
[00:15:14.537 --> 00:15:18.499]  In an area that's almost totally disarmed, they've got a victim
[00:15:19.720 --> 00:15:21.442]  Victim freakout mode, I guess.
[00:15:21.683 --> 00:15:28.431]  And even if there's murders in Detroit and Wayne County, you can't expect the police to show up for hours, sometimes not till the next day.
[00:15:28.852 --> 00:15:30.654]  They've really got things backwards there.
[00:15:30.714 --> 00:15:35.159]  No wonder it's leading, really, the country for falling apart economically.
[00:15:35.680 --> 00:15:37.661]  But back to the Bilderberg topic.
[00:15:38.061 --> 00:15:53.205]  Increasingly, all the things we see on the Internet, the positive sides of the revolution, the attempts to crack down, all seem to be spiraling around the group of elites that meet each year in a new location under their secret names in fancy five-star hotels.
[00:15:53.725 --> 00:15:58.126]  And it's part of, we see more and more, a larger web of control
[00:15:58.726 --> 00:16:05.488]  Through groups like Facebook and other big tech people, so many of them have started attending this conference.
[00:16:06.068 --> 00:16:10.370]  And kind of nexusing with that, we have the article today from our contributor A.M.
[00:16:10.470 --> 00:16:10.990]  Freyad.
[00:16:11.090 --> 00:16:12.330]  Liars or genius?
[00:16:12.870 --> 00:16:17.672]  Gaga, Zuckerberg, and Obama groomed from childhood for their roles.
[00:16:18.192 --> 00:16:22.214]  And this is all on the heels of Facebook launching its IPO this week.
[00:16:22.614 --> 00:16:25.615]  They are estimating they're going to be valued at over $100 billion.
[00:16:25.755 --> 00:16:28.356]  Lady Gaga went to Geek Camp 2.
[00:16:28.836 --> 00:16:36.980]  Facebook's Mark Zuckerberg, Google's Sergey Brin are all alumni of the Center for Talented Youth at Johns Hopkins University.
[00:16:37.360 --> 00:16:43.122]  Similar programs also take place, such as the Duke Talent Identification Program and others.
[00:16:43.262 --> 00:16:45.143]  It's kind of a mix of people with
[00:16:45.583 --> 00:16:55.446]  Yes, for mathematical, musical, technical things and people who just have important elite family members and how they prepare them for their role in the New World Order.
[00:16:55.966 --> 00:16:58.587]  In particular, this is interesting with Zuckerberg.
[00:16:58.947 --> 00:17:02.768]  Amfread writes, it's likely these are all lies of sorts.
[00:17:02.808 --> 00:17:06.689]  Zuckerberg is no genius mogul and Facebook is more a U.S.
[00:17:06.749 --> 00:17:09.090]  intelligence asset than a functioning business.
[00:17:09.550 --> 00:17:10.530]  It's a simple formula.
[00:17:10.590 --> 00:17:11.471]  The power elite
[00:17:12.751 --> 00:17:26.916]  That wants to run the world has increasingly integrated a seamless network of testing throughout the web to help develop and identify top human youngsters, those who are symbolically facile, even verbally adept without the additional burden of deep thinking.
[00:17:26.936 --> 00:17:29.837]  That's right, they want to control their little pet geniuses.
[00:17:30.198 --> 00:17:33.279]  It's a kind of organized crime approach to the cultivating of talent.
[00:17:33.619 --> 00:17:36.620]  After making their selections, elite handlers began to make the pitch.
[00:17:37.000 --> 00:17:42.965]  The quid pro quo is surely obvious, and monarch programs and other forms of mind control are not necessary.
[00:17:43.345 --> 00:17:47.728]  Most, like Zuckerberg, acquiesce willingly and do whatever is required.
[00:17:48.028 --> 00:17:54.113]  Of course, many of these young people mature late, and mathematic capability is not the only kind of creativity they hold.
[00:17:54.453 --> 00:17:56.335]  This is not an issue to the top elites.
[00:17:56.355 --> 00:18:00.918]  They apparently wish to select for numerical facilities, music, language, math skills,
[00:18:01.258 --> 00:18:06.602]  Because the owners of such talents are more likely to be linear in their thought rather than holistic thinkers.
[00:18:06.962 --> 00:18:16.689]  The idea is to present geniuses with outward dazzling skills but little in the way of insight or determination to investigate the realities of the larger picture.
[00:18:17.009 --> 00:18:22.874]  And that larger picture is coming together when you begin to study who is it that attends the Bilderberg meeting?
[00:18:22.994 --> 00:18:24.215]  What is their agenda?
[00:18:24.555 --> 00:18:25.916]  What are their related agendas?
[00:18:25.956 --> 00:18:27.377]  What are their conflicts of interest?
[00:18:27.677 --> 00:18:29.579]  We're going to get into some of that today.
[00:18:30.100 --> 00:18:36.506]  And throughout it, they're going to be revealing just some of the technical people who have attended Bilderberg just over the past few years.
[00:18:36.846 --> 00:18:41.451]  Bill Gates, probably the most notable, the already most deeply steeped in evil.
[00:18:42.132 --> 00:18:44.314]  But others are being brought onto this platform.
[00:18:44.474 --> 00:18:47.857]  And what really is at Bilderberg, just the larger cartel.
[00:18:48.834 --> 00:18:49.695]  That's really what they are.
[00:18:50.135 --> 00:19:02.244]  There's the one company, they include the NSA, they include the CIA, they include all the political fronts, and they control a great deal of the industry, the technical stuff, and a whole lot more.
[00:19:02.625 --> 00:19:09.330]  Now we've heard this week about how a judge refuses to reveal the ties between the NSA and Google.
[00:19:09.910 --> 00:19:19.036]  We're not supposed to know that they're spying on us, or that they're working together, or that Google was basically launched as a front for the NSA, CIA, and related interests.
[00:19:19.336 --> 00:19:20.437]  But that's all coming up.
[00:19:20.937 --> 00:19:24.080]  And you see Eric Schmidt attending annually at Bilderberg.
[00:19:24.120 --> 00:19:25.400]  He got confronted last year.
[00:19:25.420 --> 00:19:26.601]  And it's kind of funny, too.
[00:19:26.621 --> 00:19:30.344]  He thought that people wouldn't know how to speak English just because they're in Europe, but they did.
[00:19:30.684 --> 00:19:31.424]  He got shouted at.
[00:19:31.464 --> 00:19:32.045]  He didn't like it.
[00:19:32.065 --> 00:19:39.490]  They even had some of the videos pulled from YouTube of people confronting Eric Schmidt and the other Bilderberg attendees who got caught walking down the sidewalk.
[00:19:40.010 --> 00:19:40.931]  Very interesting.
[00:19:41.312 --> 00:19:42.513]  But back to Facebook.
[00:19:42.933 --> 00:19:46.076]  This week, they're in the news, of course, because the IPO is about to happen.
[00:19:46.096 --> 00:19:56.947]  They're about to be declared as a $100 billion company, really topping anything Bill Gates did or any of these other newfound billionaires, because it's part of that larger myth of wealth.
[00:19:57.347 --> 00:20:12.771]  Those who have the wealth are supposedly in control, therefore they associate with the elite, therefore they pull the strings, therefore it's not surprising to find them influencing this and that in social media and online and our new reality, what's considered the mainstream culture they're always trying to sell.
[00:20:13.111 --> 00:20:14.992]  And so you see, Eduardo Saverin
[00:20:15.532 --> 00:20:20.856]  Wanting to leave the country, wanting to renounce his citizenship, but of course cash in on that IPO.
[00:20:21.236 --> 00:20:26.960]  Now this guy, Eduardo Saverin, was the initial funder for Facebook when it was only tens of thousands of dollars.
[00:20:27.321 --> 00:20:37.748]  He was at Harvard, ran with Zuckerberg and the other founders who are all roommates there, but they didn't really like his style and they tried to push him out of the company and snag some of his
[00:20:39.289 --> 00:20:42.891]  Different holdings, but he got it back through a lawsuit and now he has the money.
[00:20:43.151 --> 00:21:00.641]  But there's an interesting clip I want to play here from the movie The Social Network that'll tie us to our main focus in this piece, which is Sean Parker, the first president of Facebook, also the first launcher of Napster, which disrupted the web, and someone who looks to be an overall agent of disruption.
[00:21:00.961 --> 00:21:02.202]  Let's roll that clip right now.
[00:21:02.222 --> 00:21:04.023]  A million dollars isn't cool.
[00:21:04.043 --> 00:21:04.744]  You know what's cool?
[00:21:04.884 --> 00:21:04.984]  You.
[00:21:08.635 --> 00:21:09.916]  A billion dollars.
[00:21:10.917 --> 00:21:12.238]  So a billion dollars.
[00:21:12.298 --> 00:21:17.422]  That's what's cool when Eduardo Severin wanted to sell off the company for a little over a million.
[00:21:18.003 --> 00:21:23.808]  People like Sean Parker convinced them to keep going forward and try to make Facebook a truly huge company.
[00:21:24.148 --> 00:21:27.791]  Now the real truth is these people are just fronts for larger entities.
[00:21:28.091 --> 00:21:30.934]  We've seen in the past how the Rockefeller Corporation
[00:21:31.254 --> 00:21:31.694]  I think so.
[00:21:49.372 --> 00:21:57.538]  And you see at the same time how John D. Rockefeller was himself an icon for that Robert Barron wealth of the early part of the 20th century.
[00:21:57.918 --> 00:22:05.763]  In the 21st century, in the rise of technology and the takeover of operating systems, Bill Gates was a major icon for that.
[00:22:05.803 --> 00:22:10.667]  And you see how much he has pushed the New World Order agenda, himself meeting very often
[00:22:11.007 --> 00:22:11.407]  I think so.
[00:22:28.437 --> 00:22:31.099]  So now it has to be a hundred billion dollar company.
[00:22:31.419 --> 00:22:32.620]  What does that money really mean?
[00:22:32.660 --> 00:22:33.581]  What's it based in?
[00:22:33.881 --> 00:22:41.607]  It doesn't matter, but they're gonna be selling these new Silicon Valley figures as our saviors, as the rightful elites to control things.
[00:22:41.947 --> 00:22:44.809]  And that's why you see people like Sean Parker,
[00:22:45.209 --> 00:22:49.994]  The founders, including Zuckerberg, of Facebook being glorified, movies made about them.
[00:22:50.414 --> 00:22:56.100]  Again, you just saw the clip from the Social Network where he says, a million isn't cool, a billion, that's what's cool.
[00:22:56.440 --> 00:22:58.823]  But actually, he said a billion dollars isn't cool.
[00:22:59.163 --> 00:23:02.106]  Sean Parker, a billion dollars isn't cool in the Huffington Post.
[00:23:02.486 --> 00:23:07.992]  One of the film's sequences involves the Parker character telling the young Facebook co-founders
[00:23:08.312 --> 00:23:09.573]  A million dollars isn't cool.
[00:23:09.613 --> 00:23:10.394]  You know what's cool?
[00:23:10.534 --> 00:23:11.695]  A billion dollars.
[00:23:12.035 --> 00:23:14.417]  The real life Parker has a different take on wealth.
[00:23:14.858 --> 00:23:17.099]  It's not cool, he said, of a billion dollars.
[00:23:17.680 --> 00:23:25.767]  I think being a wealthy member of the establishment is the antithesis of cool, he added, saying being a counterculture revolutionary is cool.
[00:23:26.107 --> 00:23:30.650]  So the extent that you're made a billion dollars, you probably become uncool.
[00:23:31.311 --> 00:23:33.353]  Well, Sean Parker, you've become uncool.
[00:23:33.653 --> 00:23:38.498]  We have you on video attending Bilderberg in 2010, giving the victory sign.
[00:23:38.878 --> 00:23:40.900]  So cool, like a billion dollars cool.
[00:23:41.941 --> 00:23:49.769]  Alex found out when I was telling him about some of the research that I do every year on Bilderberg, looking up members from the attendees list, finding out what they're up to lately.
[00:23:50.149 --> 00:24:01.020]  And he realized he met Sean Parker just a few months ago at a party during the South by Southwest meeting and how crazy he was, how strange and seemed hype up on something.
[00:24:01.060 --> 00:24:02.221]  We don't know what was going on.
[00:24:02.241 --> 00:24:12.772]  He was juggling apples and talking intently in people's faces and acting real weird and a bunch of hangers-on were gloating about his billions and how he was about to cash in for even more.
[00:24:13.192 --> 00:24:13.632]  We're good.
[00:24:33.268 --> 00:24:37.212]  Really reveling in his connections and wealth and total trendiness.
[00:24:37.332 --> 00:24:50.804]  He was there at South by Southwest appearing with Al Gore talking about how soap is bad and how they have to hack democracy and use social media to take over voting and they've got all these new companies.
[00:24:50.844 --> 00:24:51.825]  We're about to get to that.
[00:24:52.205 --> 00:25:07.925]  But this guy has really made himself involved and particularly in the Bilderberg through his connection with Peter Thiel, who's now on the Bilderberg steering committee and has invited so many of the founders of Facebook and other key technology companies to that elite summit.
[00:25:07.965 --> 00:25:09.367]  Let's roll some of those members right now.
[00:25:11.001 --> 00:25:16.304]  And you see just some of the invitees from the 2011 list there in detail.
[00:25:16.364 --> 00:25:20.827]  Craig J. Mundy, who's the Chief Research and Strategy Officer for Microsoft.
[00:25:20.847 --> 00:25:27.812]  But let's go back to where they show their names and faces, and we can talk about the gathering they brought together to discuss things like
[00:25:28.132 --> 00:25:29.993]  The future of privacy on the internet.
[00:25:30.013 --> 00:25:31.333]  The future of cyber security.
[00:25:31.353 --> 00:25:32.273]  There's Peter Thiel.
[00:25:32.613 --> 00:25:34.534]  He runs Clariam Capital.
[00:25:34.814 --> 00:25:38.135]  He was also the first founder of PayPal and their CEO.
[00:25:38.595 --> 00:25:41.616]  And he was the first major funder of Facebook.
[00:25:41.636 --> 00:25:47.558]  He provided the first $500,000 that would eventually turn Facebook into a multi-billion dollar company.
[00:25:48.038 --> 00:25:49.659]  Next, we have Mark Zuckerberg.
[00:25:49.959 --> 00:25:54.523]  He and his sister were rumored to attend the Bilderberg meeting last year in St.
[00:25:54.563 --> 00:25:54.923]  Moritz.
[00:25:54.983 --> 00:26:09.713]  We can't confirm that directly, but the New American did write on the topic and said they had a meeting basically about how they learned to love the end of privacy, to accept all the NSA backdoors to Facebook and the other super technology.
[00:26:10.033 --> 00:26:12.875]  And you remember it was only in the past months
[00:26:13.395 --> 00:26:20.644]  Where it turned out Zuckerberg had referred to the early Facebook members as dumb effers for giving all their data away.
[00:26:20.704 --> 00:26:22.426]  And of course he was going to use that data.
[00:26:22.746 --> 00:26:29.154]  You saw people like Eric Schmidt laughing about how you shouldn't do anything on the internet you don't want to do in public.
[00:26:29.714 --> 00:26:29.774]  And
[00:26:47.757 --> 00:26:48.318]  We're good to go.
[00:27:11.095 --> 00:27:26.422]  Through social media, and we're about to get even more into that, but he helped get the list together in a 21st century high-tech way to really connect with people who might vote for the president, who might raise money for him, or who might just spread the trendy word about him.
[00:27:26.703 --> 00:27:28.503]  You also saw Jeff Bezos.
[00:27:28.824 --> 00:27:30.264]  He's the CEO of Amazon.
