[00:00:01.711 --> 00:00:02.272]  We've got it!
[00:04:14.563 --> 00:04:15.323]  That's real.
[00:04:16.404 --> 00:04:17.245]  Total lunatics.
[00:04:17.906 --> 00:04:19.908]  You're putting them in charge of Egypt.
[00:04:22.583 --> 00:04:25.527]  And they're also announcing war on terror is over, they said last week.
[00:04:25.948 --> 00:04:28.331]  A new article out saying Al Qaeda is gone.
[00:04:29.412 --> 00:04:32.457]  But TSA's got to be in your neighborhoods taking their hands down your pants.
[00:04:33.965 --> 00:04:36.566]  Searching your bags without a warrant because of the terror threat.
[00:04:36.886 --> 00:04:39.287]  But that terror threat is all the domestic groups.
[00:04:39.708 --> 00:04:41.028]  Look at yourself in the mirror.
[00:04:41.288 --> 00:04:44.630]  You don't like foreign banks raising your taxes to pay it to themselves?
[00:04:45.190 --> 00:04:45.930]  You're a terrorist.
[00:04:45.970 --> 00:04:47.211]  Don't like forced inoculation?
[00:04:47.511 --> 00:04:48.231]  You're a terrorist.
[00:04:48.531 --> 00:04:49.472]  Like private property?
[00:04:49.692 --> 00:04:50.752]  You like George Washington?
[00:04:51.173 --> 00:04:52.533]  Literally, they say you're a terrorist.
[00:04:53.053 --> 00:04:56.215]  I've got FEMA on tape saying George Washington's a piece of trash.
[00:04:56.655 --> 00:04:57.455]  Because they're the enemy.
[00:04:57.655 --> 00:04:58.596]  They're the foreign bankers.
[00:05:01.035 --> 00:05:02.216]  You're out on the road.
[00:05:02.236 --> 00:05:06.279]  The last place you want to be is on the road.
[00:05:07.500 --> 00:05:12.243]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[00:05:12.643 --> 00:05:19.448]  There's a place down in Tennessee where they make blue diamond gusset jeans.
[00:05:21.369 --> 00:05:23.811]  They sew pride in every stitch.
[00:05:25.432 --> 00:05:27.754]  Guarantee you love the way they fit.
[00:05:29.724 --> 00:05:33.747]  They put a Diamond Gusset in the crotch, where you need it most.
[00:05:34.448 --> 00:05:39.072]  Blue Diamond Gussets got it, others don't.
[00:05:39.532 --> 00:05:41.413]  We turn jeans inside out.
[00:05:41.674 --> 00:05:43.175]  Diamond Gusset Jeans.
[00:05:43.455 --> 00:05:46.017]  Made in the USA with unparalleled quality.
[00:05:46.337 --> 00:05:52.602]  Our Defender Motorcycle Jeans combine Gusset comfort with Kevlar protection, so you can ride all day with confidence.
[00:05:52.963 --> 00:05:55.185]  Order yours at gusset.com.
[00:05:55.665 --> 00:05:58.848]  Diamond Gusset Jeans got it, others don't.
[00:06:04.747 --> 00:06:08.809]  You are listening to an InfoWars.com Frontline Report.
[00:06:11.330 --> 00:06:15.611]  If you are receiving this transmission, you are the resistance.
[00:06:22.854 --> 00:06:31.498]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide, it's Alex Jones.
[00:06:34.642 --> 00:06:41.143]  This is a big live Sunday edition with a lot of good news and a lot of really bad news.
[00:06:41.183 --> 00:06:50.305]  But the good news is we know what's happening and the sleeping giant that is America and free humanity worldwide, not just here in the United States, North America.
[00:06:50.645 --> 00:06:55.366]  The awakening is happening everywhere against government tyranny and corrupt elites.
[00:06:55.786 --> 00:07:00.487]  And no amount of police state surveillance will protect the system.
[00:07:01.048 --> 00:07:02.748]  We will restore the Republic.
[00:07:03.442 --> 00:07:24.111]  You know, I confirmed over the weekend that a veteran, one in Montana, 61 years old, was handing out Bible tracts at, and in one of my films, Police State 3, total enslavement, and the police came at the VA and told him, we'll basically take your benefits, send Homeland Security to your house, you don't have free speech here.
[00:07:26.335 --> 00:07:34.886]  And I've seen other cases and things like this and the cops didn't, the little federal cops, little security guards, didn't like the fact that it was called police state.
[00:07:35.598 --> 00:07:54.630]  And see, there's that ignorance that any amount of government corruption, I mean, they could order our guns turned in tomorrow, you know, 50% tax increases, and if you said you didn't like it, and by the way, this surveilling us with no warrant is a police state, a lot of these so-called police nowadays think that means you don't like them.
[00:07:55.310 --> 00:07:59.132]  They think if you say, I don't want a police state, that you hate them personally.
[00:07:59.513 --> 00:08:01.594]  And like the police state is their identity.
[00:08:03.125 --> 00:08:05.067]  That tyranny is their identity.
[00:08:05.768 --> 00:08:11.713]  But then meanwhile, you've got a lot of police officers and people out there that are aware that the Bill of Rights belongs to you as well.
[00:08:12.453 --> 00:08:14.215]  It's very precious, very special.
[00:08:14.255 --> 00:08:16.197]  It was fought for and paid for in blood.
[00:08:16.837 --> 00:08:22.902]  And we're now basically seeing it trampled and removed at an extremely accelerated rate.
[00:08:23.183 --> 00:08:25.625]  And now it's like oxygen's being taken out of the room.
[00:08:26.265 --> 00:08:29.508]  You take the freedom, the prosperity goes out the door.
[00:08:29.608 --> 00:08:30.169]  It's kind of like
[00:08:31.874 --> 00:08:41.082]  Going out on a motorboat to go skiing or something and taking a .50 caliber semi-auto Barrett out there with you and firing six or seven holes in the bottom of the boat.
[00:08:42.423 --> 00:08:45.686]  The boat is going to start taking on water and it's going to end up sinking.
[00:08:47.908 --> 00:08:57.237]  And you guys in government and the public allowing this to happen and sitting back and just saying, well, they're the officials, they're the authorities, not the public servants.
[00:08:59.301 --> 00:09:06.247]  You have allowed this to take place and the country is now taking on water very, very fast.
[00:09:07.068 --> 00:09:08.810]  Now that's the image of a sinking ship.
[00:09:09.130 --> 00:09:10.632]  Another image is a burning house.
[00:09:12.022 --> 00:09:23.007]  And now the fire is on all three floors, shooting out the windows, the roof is collapsing, and finally some of the public saying, you know what, we might be in a little bit of trouble.
[00:09:23.687 --> 00:09:32.051]  And wow, those people that warned us about corrupt government and police states and world government and surveillance.
[00:09:32.691 --> 00:09:33.852]  They must have had a point.
[00:09:33.892 --> 00:09:36.153]  They must have known what they were talking about.
[00:09:36.213 --> 00:09:40.096]  They must have been paying attention when the tyranny was a mile away.
[00:09:40.436 --> 00:09:50.142]  See, now the tyranny's already run over us, and now it's got that, you know, backup sound on, like a trash truck, and it's backing back over us.
[00:09:50.403 --> 00:09:51.483]  And I'm like, you know what?
[00:09:52.424 --> 00:09:53.645]  I think we ought to change things.
[00:09:56.158 --> 00:10:04.163]  Driving into work today, I didn't see one, I didn't see two, I didn't see three, I didn't see four.
[00:10:05.044 --> 00:10:11.749]  I saw five InfoWars.com bumper stickers driving in the studio this Sunday.
[00:10:12.540 --> 00:10:13.181]  But it gets better.
[00:10:13.821 --> 00:10:15.323]  I saw dozens.
[00:10:15.403 --> 00:10:16.804]  I had to stop counting.
[00:10:17.264 --> 00:10:19.046]  I think I saw no other political bumper stickers.
[00:10:19.606 --> 00:10:28.875]  I saw dozens of Ron Paul stickers, and I saw a car that said, Vote Rattlesnake 2012, with a big giant
[00:10:31.448 --> 00:10:33.669]  Don't tread on me flag flapping above it.
[00:10:33.709 --> 00:10:38.830]  They rigged it where, it was an ingenious thing, where the flag was flapping in the middle of the car.
[00:10:38.850 --> 00:10:52.115]  Had like a little teepee over it and then it explained that, you know, the rattlesnake represents don't tread on me and what the country was founded on and all these great points and the car was festooned with stickers.
[00:10:53.035 --> 00:10:57.616]  And I was going over to visit my dad before I came over here with my son and I to get our teeth cleaned.
[00:10:57.636 --> 00:11:03.478]  My dad's a dentist and he comes up, you know, every six months or so on Sunday so he can just focus on us and get that done.
[00:11:03.498 --> 00:11:09.120]  And I almost pulled out of the parking lot to follow the person so I could get a photo of the rattlesnake car.
[00:11:10.400 --> 00:11:17.723]  But I bet they're a listener because I was able to see they had a InfoWars.com, PrisonPlanet.com, Don't Tread on Me sticker.
[00:11:18.283 --> 00:11:19.804]  The one that's got the rattlesnake on it.
[00:11:20.164 --> 00:11:21.264]  And they got both the websites.
[00:11:21.344 --> 00:11:23.985]  I did spy that with my eyeballs.
[00:11:25.546 --> 00:11:31.228]  And so that person ever sends us a photo of their car, we will Twitter it out at RealAlexJones.
[00:11:31.248 --> 00:11:36.310]  We will tweet it out if you send it to something like ShowTips at InfoWars.com.
[00:11:37.350 --> 00:11:55.396]  And we're getting reports and photos and videos without even asking for them, so now I'm going to start asking for them from all over the country of people festooning their barns, their businesses, their business signs, sometimes other people's property and government buildings, I'm not saying do that, withinfowars.com.
[00:11:56.196 --> 00:11:58.017]  And I've got friends and family and neighbors
[00:11:58.797 --> 00:12:17.593]  My buddy, Shane Steiner, the other day, local friend, going back to high school years, he had tweeted me, no, no, no, he texted me a photo that I tweeted out of a guy with a sign plugging the local radio station I'm on in Austin and InfoWars.com, and then I talked to family and they said, yeah, we saw a couple people and I talked to some crew.
[00:12:17.914 --> 00:12:18.954]  I mean, it's just everywhere.
[00:12:19.555 --> 00:12:25.780]  This is the explosive grassroots action against tyranny that we're starting to see.
[00:12:26.952 --> 00:12:34.477]  As Ron Paul peaks, we realize he won by running and injecting real ideas of libertarian constitutional ideas.
[00:12:34.958 --> 00:12:46.586]  But as that begins to crest and then dissipate, dissipation hasn't begun yet, we're going to see it shift into local activism.
[00:12:48.712 --> 00:12:49.353]  I like that idea.
[00:12:49.433 --> 00:12:51.135]  Vote, vote, vote rattlesnake 2012.
[00:12:51.255 --> 00:12:53.058]  And then people are like, well, what does that mean?
[00:12:53.479 --> 00:12:55.001]  Well, it means the founding of this country.
[00:12:55.041 --> 00:12:56.483]  Let me explain what don't tread on me means.
[00:12:57.103 --> 00:12:59.086]  And it's shifting into InfoWars.com.
[00:12:59.647 --> 00:13:04.994]  It's shifting into thousands of people are now shooting videos for InfoWars.com.
[00:13:05.635 --> 00:13:09.397]  We've gotten over 500 entries and hundreds more just came in the last few days.
[00:13:09.417 --> 00:13:11.878]  I don't know how I'm going to pick winners for the reporter contest.
[00:13:11.899 --> 00:13:14.420]  We're going to hire one male, one female reporter.
[00:13:14.440 --> 00:13:14.960]  $10,000 in prizes.
[00:13:15.000 --> 00:13:18.322]  But all these other folks are saying, hey Alex, we don't even care if we win.
[00:13:18.362 --> 00:13:19.303]  We want to be correspondents.
[00:13:19.323 --> 00:13:20.623]  And I'm like, absolutely.
[00:13:21.004 --> 00:13:23.465]  I mean, again, how do you organize something like this?
[00:13:24.525 --> 00:13:27.867]  So, I'm going to go to break and come back with the good news.
[00:13:28.768 --> 00:13:32.290]  And I'm going to come back with the bad news as well.
[00:13:32.890 --> 00:13:34.071]  But I just wanted to up front
[00:13:35.265 --> 00:13:38.508]  Break down the fact that the info war has just begun to rise.
[00:13:40.269 --> 00:13:44.833]  And as Ron Paul's always said, he is a focal point of liberty and freedom.
[00:13:45.934 --> 00:14:03.269]  And just a lot of people that have discovered what he's discovered, tyranny versus liberty, collectivism versus freedom, globalism, fascism, communism versus the republic, that the pendulum is beginning to swing.
[00:14:04.645 --> 00:14:07.308]  And so everybody out there, realize our time has come.
[00:14:07.429 --> 00:14:09.271]  People are ready to now listen.
[00:14:09.451 --> 00:14:14.377]  I mean, world government's openly being announced, Agenda 21, global governance, every form of tyranny.
[00:14:14.798 --> 00:14:21.987]  People are finally getting it because Ron Paul, myself, and countless others, many of you out there listening today, who were alive before I was even born.
[00:14:23.496 --> 00:14:40.654]  You were made fun of, you were laughed at, the national dominant corporate whore, Decepticon, enemy sympathizer, New World Order banker media, the cesspool media, the deceptor media, they had air superiority before and could dominate us.
[00:14:41.195 --> 00:14:41.735]  Not anymore.
[00:14:42.156 --> 00:14:42.917]  And so because you
[00:14:44.707 --> 00:14:49.352]  You trailblazers out there stood up from day one and spoke out against all this.
[00:14:49.732 --> 00:15:01.964]  We've got a real shot at defeating the globalists because we've planted so many seeds for so many decades and now as everything we talked about begins to unfold exactly as we said it would, our credibility is beyond platinum.
[00:15:02.425 --> 00:15:06.609]  The enemy's credibility is like dog droppings at the park.
[00:15:06.829 --> 00:15:07.650]  Nobody wants it.
[00:15:09.112 --> 00:15:10.854]  It has a negative value.
[00:15:10.914 --> 00:15:12.415]  Congress has a 9% approval rating.
[00:15:12.755 --> 00:15:14.417]  The mainstream media is in free fall.
[00:15:14.797 --> 00:15:17.299]  But danger, the empire is going to strike back.
[00:15:17.620 --> 00:15:23.805]  With censorship, attacks on talk radio, attacks on alternative news is becoming the dominant news.
[00:15:24.185 --> 00:15:26.827]  The system is cornered like a rat.
[00:15:27.128 --> 00:15:31.812]  Now I've told the New York Times and all of them, start telling the truth and you'd have an audience again.
[00:15:32.853 --> 00:15:33.994]  We're actually starting to see that happen.
[00:15:35.000 --> 00:15:38.981]  See, there's nothing like the market to defeat tyrants and centralized systems.
[00:15:39.461 --> 00:15:45.083]  CBS, Republicans prepare contempt citation against Eric Holder over Fast and Furious.
[00:15:45.563 --> 00:15:46.403]  Let me give you more.
[00:15:48.044 --> 00:15:53.685]  The New York Times admits the FBI manufactured all the major terror plots, as I told you years ago.
[00:15:53.945 --> 00:15:54.805]  They're all fake.
[00:15:55.446 --> 00:15:58.547]  And there's more mainstream news that Al Qaeda works for the U.S.
[00:15:58.607 --> 00:15:59.027]  government.
[00:15:59.347 --> 00:15:59.807]  Stay with us.
[00:16:01.565 --> 00:16:06.806]  Sick of the globalist eugenicist control freaks adding poison to your water and laughing as you get sick and die?
[00:16:07.066 --> 00:16:09.267]  Start purifying your water with ProPure.
[00:16:09.467 --> 00:16:18.409]  My friends, I've done a lot of research, and the best gravity filter out there bar none is ProPure, and it's available discounted at InfoWars.com.
[00:16:18.569 --> 00:16:21.750]  Its filters are silver impregnated to prevent bacterial growth.
[00:16:22.010 --> 00:16:23.450]  There's no priming required.
[00:16:23.691 --> 00:16:24.351]  It's NSF-42 certified.
[00:16:25.971 --> 00:16:28.473]  Optional fluoride filters can reduce fluoride up to 95%.
[00:16:28.933 --> 00:16:30.874]  Easy to set up and use.
[00:16:31.075 --> 00:16:32.375]  Doesn't require electricity.
[00:16:32.496 --> 00:16:35.337]  Purify water from lakes, streams, ponds, and wells.
[00:16:35.658 --> 00:16:38.820]  This filter system leaves in beneficial minerals, which is key.
[00:16:39.040 --> 00:16:40.821]  Save money by not buying bottled water.
[00:16:40.941 --> 00:16:43.023]  And avoid BPA that leaches from the plastic.
[00:16:43.183 --> 00:16:45.784]  ProPure is the best gravity-fed filter out there.
[00:16:45.924 --> 00:16:47.245]  It's what my family uses.
[00:16:47.486 --> 00:16:50.708]  Infowars.com already has the lowest price on ProPure.
[00:16:50.808 --> 00:16:54.790]  But if you add the promo code WATER at checkout, you get an additional 10% off at Infowars.com.
[00:16:57.432 --> 00:17:05.477]  This is Alex Jones with five good reasons you should consider buying a solar power generator.
[00:17:05.798 --> 00:17:09.860]  Number one, new climate legislation could easily double or triple your electric bill.
[00:17:10.141 --> 00:17:15.544]  Number two, our new energy czar wants to control how much power your electric company allows you to have.
[00:17:15.884 --> 00:17:16.345]  It's true.
[00:17:16.645 --> 00:17:21.188]  Total government control of electricity in the name of smart grid technology is coming.
[00:17:21.488 --> 00:17:22.028]  Number 3.
[00:17:22.308 --> 00:17:25.609]  In some areas of the country, the power grid is dangerously overloaded.
[00:17:25.910 --> 00:17:29.591]  And now, new socialist legislation is only compounding the problem.
[00:17:29.811 --> 00:17:30.071]  Number 4.
[00:17:30.611 --> 00:17:32.972]  Dangerous weather is always a threat to local grids.
[00:17:33.372 --> 00:17:36.753]  Every year, thousands of families lose their power from weather-related outages.
[00:17:37.054 --> 00:17:37.274]  Number 5.
[00:17:37.854 --> 00:17:41.755]  A solar power generator provides powerful backup, insurance, and peace of mind.
[00:17:41.995 --> 00:17:46.757]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[00:17:47.037 --> 00:17:51.062]  You can get more information at www.mysolarbackup.com.
[00:17:51.202 --> 00:17:52.784]  That's mysolarbackup.com.
[00:17:53.004 --> 00:17:55.087]  Remember, the government doesn't own the sun.
[00:17:55.247 --> 00:17:57.590]  So go to mysolarbackup.com or call 1-877-327-0365.
[00:18:03.149 --> 00:18:10.836]  If you want an American company with American products made by Americans, here is the Cal Ben Soap Company.
[00:18:11.276 --> 00:18:14.900]  Alex and his staff have used these pure soap products for years.
[00:18:15.340 --> 00:18:22.166]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[00:18:22.646 --> 00:18:25.469]  See them on the web at 5starsoap.com.
[00:18:25.669 --> 00:18:30.171]  Or call 800-340-7091 for a free catalog.
[00:18:30.492 --> 00:18:36.175]  Buy the 1 to 2 month sample package and enjoy soaps that are twice as good as what you're using now.
[00:18:36.435 --> 00:18:41.537]  Or save big with a 1 to 2 year supply of soaps for all your cleaning needs.
[00:18:41.858 --> 00:18:43.478]  This is an amazing deal.
[00:18:43.839 --> 00:18:48.441]  You can save thousands of dollars and you will love the way real soap makes you feel.
[00:18:49.061 --> 00:18:52.203]  See them on the web at 5starsoap.com or call
[00:18:52.443 --> 00:18:53.666]  Call 800-340-7091 for a free catalog.
[00:19:00.828 --> 00:19:04.430]  Right now, the average family spends one-fourth of their income on food.
[00:19:04.630 --> 00:19:10.393]  It's time to cut your food budget in half by using the best, most affordable food on the planet from eFoodsDirect.
[00:19:10.533 --> 00:19:13.755]  The savings from eating this food will actually help you pay your other bills.
[00:19:14.055 --> 00:19:21.840]  Serve these delicious meals to your family tonight for a quick and easy dinner for about $1.25 a serving, compared to over $3 a serving for any other food.
[00:19:22.040 --> 00:19:28.163]  This food is compact, making it easy to store some away and will be just as delicious in 25 years as the ones you
[00:19:29.124 --> 00:19:29.844]  Is it affordable?
[00:19:30.165 --> 00:19:30.845]  Absolutely!
[00:19:31.105 --> 00:19:36.049]  The new Alex Jones Family Pack saves you up to 50% compared to other food storage companies.
[00:19:36.329 --> 00:19:40.793]  See the comparison at eFoodsDirect.com forward slash Alex or call 800-409-5633.
[00:19:42.815 --> 00:19:47.458]  My friends, as crazy as this world is today, you'd be nuts to not get a storable food supply.
[00:19:47.778 --> 00:19:52.362]  Give eFoodsDirect a call and order one of the Alex Jones Family Packs and test it out today.
[00:19:52.642 --> 00:19:54.624]  Start your journey of food independence today.
[00:19:54.884 --> 00:19:57.625]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:20:24.133 --> 00:20:27.055]  That's right, I'm here Monday through Friday, 12 noon to 3 p.m.
[00:20:27.095 --> 00:20:31.439]  Eastern, back Sundays with a live, abbreviated, 4 to 6 p.m.
[00:20:31.499 --> 00:20:32.700]  Central transmission.
[00:20:34.241 --> 00:20:35.022]  5 to 7 Eastern.
[00:20:35.922 --> 00:20:38.665]  Okay, again, let me just mention some of what's coming up.
[00:20:38.765 --> 00:20:44.830]  Republicans prepare contempt citation against Eric Holder over Fast and Furious, CBS News.
[00:20:46.089 --> 00:20:49.170]  Los Angeles marks 20th anniversary of riots.
[00:20:49.730 --> 00:20:51.710]  That's what the Attorney General tried to start with.
[00:20:51.730 --> 00:20:53.431]  The whole Trayvon Martin thing.
[00:20:53.471 --> 00:20:55.491]  Turned out they had instigators inside the protest.
[00:20:56.052 --> 00:20:59.472]  That's why the new Black Panther Party was authorized to call for violence.
[00:20:59.913 --> 00:21:01.213]  This is truly a criminal group.
[00:21:02.073 --> 00:21:03.694]  They're like, why would the President want riots?
[00:21:03.754 --> 00:21:05.654]  It's called Problem Reaction Solution.
[00:21:06.014 --> 00:21:09.235]  Why would Hitler blow up his own government building and pose as a savior?
[00:21:09.255 --> 00:21:13.076]  Yeah, it's called the Hegelian Dialectic.
[00:21:14.884 --> 00:21:17.774]  We're going to be going over that again after the break.
[00:21:18.014 --> 00:21:20.723]  The big news, because it gets into total propaganda.
[00:21:21.932 --> 00:21:24.913]  Obama exploits bin Laden hoax for election propaganda.
[00:21:24.973 --> 00:21:28.795]  I'm gonna go back over the fact that this is an admitted fraud.
[00:21:29.235 --> 00:21:31.956]  Sure, nobody I know bought that they actually killed him.
[00:21:32.336 --> 00:21:36.118]  Then they had to kill the SEALs that were involved to cover it up later on that helicopter, remember?
[00:21:36.678 --> 00:21:39.359]  Not the one they blew up that night, but the next one they blew up with SEALs on it?
[00:21:39.739 --> 00:21:39.959]  Yeah.
[00:21:40.520 --> 00:21:41.840]  I've talked to SEALs, by the way.
[00:21:41.880 --> 00:21:42.981]  They all know what happened.
[00:21:43.801 --> 00:21:46.122]  Oh, yeah, that's a big wake-up call inside the government.
[00:21:47.658 --> 00:22:03.342]  But continuing here, we're going to be going over all of that and Osama's supposed killer, Obama, bragging about it at the White House I'm a Movie Star correspondence dinner.
[00:22:05.082 --> 00:22:07.002]  So that is all coming up.
[00:22:07.102 --> 00:22:10.103]  Also, banks cooperate to track occupied protesters.
[00:22:10.203 --> 00:22:13.964]  Yeah, the big six Federal Reserve megabanks, they are the government, they took over.
[00:22:15.712 --> 00:22:17.754]  All of that is coming up.
[00:22:18.894 --> 00:22:20.836]  I also have a report in the Science Stack.
[00:22:21.356 --> 00:22:23.918]  This is a report out of Reuters.
[00:22:24.158 --> 00:22:25.760]  How long I've been telling you this, but here it is.
[00:22:26.220 --> 00:22:30.383]  Scientists call for a rethink on consumption and population reduction.
[00:22:30.663 --> 00:22:32.525]  Oh, you're a scientific American.
[00:22:32.625 --> 00:22:36.488]  Royal Society calls for redistribution of wealth and more British control.
[00:22:37.475 --> 00:22:40.917]  More birth control to save the planet.
[00:22:41.638 --> 00:22:43.819]  And I had a Freudian slip there saying more British control.
[00:22:44.299 --> 00:22:47.041]  More eugenics control out of England.
[00:22:47.101 --> 00:22:49.142]  I'll be breaking that down.
[00:22:49.502 --> 00:22:53.725]  But first, let's get into these two reports right here.
[00:22:55.714 --> 00:23:02.396]  Here is the New York Times, and when I saw this, I pinched myself, because I've known this, I've reported it ad nauseam.
[00:23:03.837 --> 00:23:05.717]  Even some mainstream media has reported on it.
[00:23:05.737 --> 00:23:08.638]  If you follow each case, they almost always get dropped.
[00:23:09.178 --> 00:23:21.902]  They almost always find a mentally retarded person, generally 75 to 80 IQ, mildly retarded, who has been profiled, been in prison, or is on welfare, or someone who's had serious head trauma.
[00:23:21.922 --> 00:23:24.703]  They've also used head trauma victims as one of their favorites.
[00:23:25.263 --> 00:23:26.025]  And I've talked about it.
[00:23:26.085 --> 00:23:27.948]  I could go to downtown Austin where I live.
[00:23:29.378 --> 00:23:40.846]  And I could find a schizophrenic or a homeless person and offer them $10,000 and get them to dress up in a uniform and say they work for Al-Qaeda and say that they're ready to blow stuff up if I give them $10,000 more.
[00:23:40.866 --> 00:23:42.887]  That's what the FBI does.
[00:23:43.247 --> 00:23:48.351]  They just take a year or so to get them an apartment and set them up and then try to get them to blow stuff up.
[00:23:48.751 --> 00:23:52.754]  First World Trade Center, FBI cooked the bomb, trained the driver, gave them the detonators.
[00:23:53.074 --> 00:23:55.396]  That was in the New York Times and CBS News even at the time.
[00:23:56.380 --> 00:24:02.253]  Because the head guy they hired to do it knew they were setting him up, so he recorded the FBI ordering him to go ahead with the bombing.
[00:24:03.123 --> 00:24:08.907]  And they let the two mentally retarded guys, I'm sorry, that's what happened, go ahead and thank God they didn't park it up against the column like they were supposed to.
[00:24:09.427 --> 00:24:12.389]  The Globals had to come back and finish the job a few years later on 9-11.
[00:24:13.250 --> 00:24:18.854]  Continuing though, the New York Times today, terrorist plots hatched by the FBI.
[00:24:19.514 --> 00:24:21.695]  Wow, sounds like Infowars.com article.
[00:24:22.056 --> 00:24:23.236]  David Schipler.
[00:24:23.857 --> 00:24:26.719]  I guess the New York Times wants to stay in the game and actually cover some real news.
[00:24:27.119 --> 00:24:32.302]  The United States has narrowly been saved from lethal terrorist plots in recent years, or so
[00:24:33.423 --> 00:24:34.904]  It has seemed.
[00:24:36.284 --> 00:24:40.206]  A would-be suicide bomber was intercepted on his way to the Capitol.
[00:24:40.686 --> 00:24:43.447]  A scheme to bomb synagogues and shoot Stinger missiles.
[00:24:44.327 --> 00:24:48.009]  A military aircraft was developed by men in Newborough, New York.
[00:24:48.783 --> 00:24:55.048]  That's just like all the synagogues and black churches that get the swastikas put on them, and in every case, the groups do it to themselves.
[00:24:55.308 --> 00:24:56.769]  And people say, well, why?
[00:24:56.909 --> 00:24:57.750]  Why do it to yourself?
