[00:00:39.519 --> 00:00:40.040]  Good evening.
[00:03:51.735 --> 00:03:52.475]  I think?
[00:04:08.702 --> 00:04:11.826]  There will be no neutral country in the region, the General says.
[00:04:12.266 --> 00:04:14.389]  To us, bases are equal to U.S.
[00:04:14.429 --> 00:04:14.749]  soil.
[00:04:14.789 --> 00:04:24.521]  So there you go, you've got a high-ranking Iranian military official saying, look, regardless of what happens, if Israel bombs us, United States, we're coming after you as well.
[00:04:25.081 --> 00:04:29.585]  All the more reason why we should not get involved in this ludicrous war.
[00:04:29.745 --> 00:04:32.888]  Obviously, we don't cower in fear to the Iranian government.
[00:04:33.168 --> 00:04:37.352]  We would decimate them in a military war.
[00:04:37.712 --> 00:04:45.740]  However, such a war would cost us billions, possibly trillions of dollars, and it would ultimately kill many Americans.
[00:04:46.640 --> 00:05:02.290]  For those that say they're concerned about the fate of Israel, we have supplied Israel with weaponry, we have supplied Israel with military intelligence, they are an ally of ours, and I think that's a good thing, that is my estimation, but it is my estimation Israel must shed its own blood.
[00:05:02.750 --> 00:05:05.531]  It is a sovereign nation, and we have armed it well.
[00:05:05.892 --> 00:05:07.132]  It must shed its own blood.
[00:05:07.573 --> 00:05:14.117]  If, in fact, the Israelis think they are outgunned, they might very well want to consider becoming a U.S.
[00:05:14.157 --> 00:05:14.697]  territory.
[00:05:15.257 --> 00:05:20.220]  Therefore, they will have a better chance of surviving and not being ambushed.
[00:05:20.841 --> 00:05:27.865]  So, obviously, they're saying, Iranian officials, if Israel attacks, United States, we're coming after you as well.
[00:05:28.805 --> 00:05:31.947]  All the more reason why we shouldn't get involved in that war.
[00:05:32.327 --> 00:05:41.273]  In other news, economic officials overseas are saying that the Federal Reserve has greatly hurt their economy.
[00:05:42.063 --> 00:05:45.204]  Or they've insinuated that the Federal Reserve has greatly hurt their economy.
[00:05:45.244 --> 00:05:55.808]  According to former ECB chief economist, that's European Central Bank chief economist, Jorgen Starks, he said in an interview, quote, the break came in 2010.
[00:05:56.248 --> 00:06:01.310]  Until then, everything went well, meaning that the European Central Bank was doing just fine prior to that.
[00:06:01.630 --> 00:06:05.611]  Then the ECB began to take on a new role, to fall into panic.
[00:06:06.131 --> 00:06:07.792]  Together with the other central banks,
[00:06:08.172 --> 00:06:19.619]  Meaning the Federal Reserve, the ECB, is flooding the market, posing the question not only about how the ECB will get its money back, but also how the excess liquidity created can be absorbed globally.
[00:06:20.039 --> 00:06:22.481]  Quote, it can't be solved by pressing a button.
[00:06:22.841 --> 00:06:27.844]  If the global economy stabilizes, the potential for inflation has grown enormously.
[00:06:28.744 --> 00:06:40.430]  It gave in to outside pressure, pressure from outside Europe, so he's obviously talking about other banking organizations, and he's hinting that the Federal Reserve was one of those organizations.
[00:06:40.510 --> 00:06:46.033]  What these banking organizations do behind closed doors has truly ruined the world's economy.
[00:06:46.853 --> 00:06:51.816]  The Federal Reserve, without the will of the American people, loaned money to European countries.
[00:06:52.416 --> 00:06:58.541]  And now, the European countries owe us money, and it's just become one colossal failure.
[00:06:59.622 --> 00:07:02.625]  As a result, there is likely going to be an economic collapse.
[00:07:02.685 --> 00:07:04.266]  Governor Gary Johnson stated that.
[00:07:04.286 --> 00:07:05.247]  This is a former governor.
[00:07:05.687 --> 00:07:12.033]  He stated later on in the interview that he feels there will be an economic collapse as a result of the banking practices that has occurred.
[00:07:12.333 --> 00:07:17.898]  And here's what the President of the Czech Republic has to say regarding the importance of sovereignty.
[00:07:20.340 --> 00:07:37.095]  What the banks have done to his nation, he warns that quote, two-faced politicians including the conservatives, he's meaning conservatives in his country, have opened the door to an EU super state by giving up on democracy in a flight from accountability and responsibility to their voters.
[00:07:37.675 --> 00:07:41.517]  We need to think about how to restore our statehood and our sovereignty.
[00:07:41.957 --> 00:07:44.018]  That is impossible in a federation.
[00:07:44.458 --> 00:07:44.958]  So there you go.
[00:07:44.978 --> 00:07:48.640]  You've got the president of a country saying, oh my gosh, what did we do?
[00:07:48.720 --> 00:07:52.261]  We gave up our sovereignty and we gave it up to banksters.
[00:07:52.661 --> 00:07:55.663]  Now our economy is in absolute free fall.
[00:07:55.703 --> 00:07:57.603]  It is a very, very sad turn of events.
[00:07:57.924 --> 00:07:59.864]  And these are leaders of countries.
[00:08:00.285 --> 00:08:01.605]  These aren't political pundits.
[00:08:01.645 --> 00:08:05.707]  This is the president of the Czech Republic acknowledging that he
[00:08:06.327 --> 00:08:06.607]  I think?
[00:08:18.832 --> 00:08:23.697]  Wrote in chalk on the floor, 9-11 truth and 9-11 truth now.
[00:08:23.877 --> 00:08:29.282]  As a result of her chalk writing, police arrested her and she was detained.
[00:08:29.543 --> 00:08:31.845]  She was held in jail for 30 hours.
[00:08:32.245 --> 00:08:35.929]  She says she could have left earlier, however it would have cost $10,000 to post bail.
[00:08:38.371 --> 00:08:38.912]  Now, Ms.
[00:08:38.972 --> 00:08:42.474]  Larson is a self-described political activist who had never been arrested.
[00:08:42.815 --> 00:08:50.341]  Larson said she was returning from the farmer's market after buying fruits and vegetables when she started writing the statements on the sidewalk.
[00:08:50.381 --> 00:08:54.884]  Again, those statements were 9-11 truth and 9-11 truth now.
[00:08:55.305 --> 00:08:58.527]  A police officer then stopped to talk to her, then left, she said.
[00:08:58.547 --> 00:08:59.909]  I was never told...
[00:09:00.669 --> 00:09:04.651]  Not to chalk the sidewalk, said Larson, who is married and works in a wine cellar.
[00:09:05.051 --> 00:09:08.733]  Five to ten minutes later, the officers returned with her boss in an SUV.
[00:09:09.694 --> 00:09:16.377]  She was first detained, then arrested for investigation of felony vandalism and booked at the Napa County Jail.
[00:09:16.457 --> 00:09:19.779]  Now listen, I don't like vandalism as much as the next person.
[00:09:20.039 --> 00:09:23.301]  I actually think it's pretty despicable, but we're talking about chalk.
[00:09:23.985 --> 00:09:25.206]  We're talking about chalk.
[00:09:25.646 --> 00:09:28.047]  You know, rain or water would take that away.
[00:09:28.628 --> 00:09:34.951]  And if you want to be stern, if you don't want your communities to be vandalized, issue her a $500 or $1,000 fine.
[00:09:34.971 --> 00:09:39.734]  I think reasonable people can agree she should not have been thrown in jail like some criminal.
[00:09:40.034 --> 00:09:50.520]  Now, officers said that there were 40 other chalk writing incidences throughout the town in previous weeks, and they think that she played a part in that.
[00:09:50.800 --> 00:09:50.981]  Ms.
[00:09:51.041 --> 00:09:52.101]  Larson disagrees.
[00:09:52.221 --> 00:09:53.202]  She said she has not
[00:09:53.822 --> 00:09:55.023]  Um, played a part in that at all.
[00:09:55.103 --> 00:09:59.946]  It's amazing how people are being arrested for the most silliest of offenses.
[00:10:00.567 --> 00:10:16.598]  And, uh, later this week you'll see a story in which me and another InfoWars reporter visited the Alamo, and, um, officers there said that we, members of the media, could not get within a 200-foot radius of the Alamo to ask residents questions.
[00:10:17.858 --> 00:10:24.740]  He said it was overseen by a non-profit organization, and they get to decide who gets to get close to the property.
[00:10:25.260 --> 00:10:26.240]  Absolute tyranny.
[00:10:26.540 --> 00:10:32.902]  We've got that on video, and I believe Alex is going to air it on his radio show, possibly in prison, Planet TV, later on this week.
[00:10:33.462 --> 00:10:35.042]  The tyranny just continues to grow.
[00:10:35.122 --> 00:10:40.184]  We're not even allowed to get close to the Alamo, members of the media, without being harassed.
[00:10:41.244 --> 00:10:50.175]  In other news, in the state of New Jersey, my home state, New Jersey attempts to strip parental rights with vaccine anti-exemption bill.
[00:10:51.349 --> 00:10:56.852]  According to a bill that is in the New York Assembly, it's called Senate Bill 1759.
[00:10:57.332 --> 00:11:03.315]  It was approved 6-2 by the Senate's Health, Human Services, and Senior Citizens Committee last week.
[00:11:03.695 --> 00:11:16.322]  The bill sponsored by Majority Leader Loretta Weinberg, I know her well, big government lover, big liberal, and Senator Joseph Vitale would place a greater burden on parents to clarify a quote, valid reason
[00:11:17.342 --> 00:11:19.464]  For not wanting their kids vaccinated.
[00:11:20.164 --> 00:11:24.668]  It would define and further restrict what the definition of a valid reason is.
[00:11:25.208 --> 00:11:26.989]  Limiting options for opting out.
[00:11:27.029 --> 00:11:28.450]  Hey, here's my reason.
[00:11:28.831 --> 00:11:29.932]  I don't want to do it.
[00:11:30.412 --> 00:11:31.613]  Just leave me alone.
[00:11:31.993 --> 00:11:35.556]  Now these government officials are saying you need to have more of a valid reason.
[00:11:35.896 --> 00:11:38.058]  It's a complete violation of our civil liberties.
[00:11:38.458 --> 00:11:41.300]  You can no longer just say I do not want to be vaccinated.
[00:11:41.901 --> 00:11:44.022]  Now you need to have more of a valid reason.
[00:11:44.282 --> 00:11:46.404]  And they deem what is valid and what is not.
[00:11:47.640 --> 00:11:56.603]  And here's a quote from Senator Vitale, quote, we cannot allow widespread exemption from immunization based on fear and false science.
[00:11:57.043 --> 00:11:58.083]  Absolutely amazing.
[00:11:58.123 --> 00:12:08.267]  He's basically saying, even if you're wrong, even if you're wrong and your facts are wrong, you still don't have the right to be exempted from this.
[00:12:08.307 --> 00:12:12.688]  We're going to force you to do this unless you have a great reason.
[00:12:13.308 --> 00:12:14.689]  Complete tyranny.
[00:12:16.152 --> 00:12:17.933]  And this bill is going to hit the Senate.
[00:12:18.333 --> 00:12:30.619]  It's up for a vote in the New Jersey Senate, so if you're a New Jersey resident, as I used to be, call your local legislators and let them know that you think this bill is unpatriotic and should not be passed.
[00:12:31.815 --> 00:12:42.042]  Now, speaking of immunizations and 9-11 inside job, there are some wonderful documentaries that we offer on Infowarsshop.com.
[00:12:42.082 --> 00:12:43.844]  Again, that's Infowarshop.com.
[00:12:43.864 --> 00:12:47.666]  This past weekend, I just saw a wonderful documentary on Monsanto.
[00:12:48.767 --> 00:12:52.190]  A couple of days before that, I saw part of A Noble Lie.
[00:12:52.230 --> 00:12:53.291]  I plan on completing it.
[00:12:53.851 --> 00:12:55.892]  So you've got some wonderful documentaries there.
[00:12:55.932 --> 00:12:56.933]  So if you want to see 9-11 truth,
[00:12:58.634 --> 00:13:00.676]  The documentary that Miss Larson saw.
[00:13:01.036 --> 00:13:03.978]  Obviously, Alex is the father of 9-11 truth.
[00:13:04.298 --> 00:13:12.103]  Go to InfoWarshop.com and if you want to learn more about the dangers of vaccines, InfoWarshop.com has wonderful documentaries on that.
[00:13:12.163 --> 00:13:17.046]  Also documentaries on the police state and wonderful books as well.
[00:13:18.366 --> 00:13:19.447]  And we're going to talk a little bit here.
[00:13:19.467 --> 00:13:20.708]  We're going to have the Daily Quote.
[00:13:21.727 --> 00:13:24.310]  And it comes from Aristotle, a true patriot.
[00:13:24.350 --> 00:13:25.651]  Here's what Mr. Aristotle said.
[00:13:26.312 --> 00:13:32.238]  It is the mark of an educated mind to be able to entertain a thought without accepting it.
[00:13:32.258 --> 00:13:36.503]  That was according to the great philosopher Aristotle.
[00:13:37.183 --> 00:13:41.828]  We're going to go over to Jakari Jackson now, who has several more hard-hitting news.
[00:13:42.229 --> 00:13:43.050]  Over to you, Jakari.
[00:13:45.441 --> 00:13:45.981]  Thanks David.
[00:13:46.242 --> 00:13:49.044]  This is Jakari Jackson reporting for the Info Wars Nightly News.
[00:13:49.204 --> 00:13:54.748]  Headline, NYC schools give out morning after pills to students without telling parents.
[00:13:54.768 --> 00:13:59.291]  So we just see here another in a long list of the ways they are violating your parental rights.
[00:13:59.331 --> 00:14:00.352]  Let's look into the article.
[00:14:00.812 --> 00:14:10.138]  While Big Apple high schools have long supplied free condoms to sexually active teens, this is the first time city schools have dispensed hormonal birth control in Plan B.
[00:14:10.979 --> 00:14:23.724]  So far, during an unpublicized pilot program in five schools last year, 567 students received Plan B tablets and 580 students received reclipsin birth control pills.
[00:14:24.224 --> 00:14:30.286]  This fall, students can also get Depo-Provera, a birth control drug, injected once every three months.
[00:14:30.827 --> 00:14:39.059]  So we see here they've gone from just giving out condoms to giving out oral and actually contraceptives that can be injected into your body.
[00:14:39.520 --> 00:14:42.424]  And there's a lot of people out there that say, hey, the kids are going to have sex anyway.
[00:14:42.764 --> 00:14:46.330]  Just give them the things they can use to be responsible in their sexual activity.
[00:14:46.810 --> 00:14:50.696]  I don't think responsible with teenage and sexual activity can all go in the same sentence.
[00:14:51.076 --> 00:14:53.359]  But hey, if that's your argument, that's one thing.
[00:14:53.419 --> 00:14:58.206]  It's one thing to give a kid a condom, something they can put on and take off later once they're done.
[00:14:58.546 --> 00:15:03.473]  But to give them these things that they can inject into their bodies, they don't know what these things are going to do to their bodies.
[00:15:04.494 --> 00:15:13.179]  Twelve-year-old, fifteen-year-old, however old these kids are, are going to take the time to look at drugs such as Gardasil that killed people in clinical trials.
[00:15:13.579 --> 00:15:18.722]  They're too busy worrying about Halo 4 and the next Taylor Swift CD or whatever they're listening to.
[00:15:18.742 --> 00:15:21.843]  That actually ties into another article we did earlier this month.
[00:15:22.223 --> 00:15:25.125]  Headline, The Government's War on Parental Rights.
[00:15:25.505 --> 00:15:26.986]  We'll scroll through the article a little bit.
[00:15:27.506 --> 00:15:28.727]  In late 2011, the California Senate
[00:15:30.968 --> 00:15:43.161]  Pass and Governor Jerry Brown signed AB 4992, which allowed young children as young as 12 to consent to vaccinations that reportedly inoculate against sexually transmitted diseases.
[00:15:43.581 --> 00:15:46.224]  So there you go, from California to New York.
[00:15:46.864 --> 00:15:47.224]  I think so.
[00:16:06.497 --> 00:16:10.679]  Only 15% not at all concerned about drones invading privacy.
[00:16:10.699 --> 00:16:11.399]  So there we go.
[00:16:11.879 --> 00:16:16.862]  Seems like InfoWars are no longer the only people worried about these drones patrolling the U.S.
[00:16:16.882 --> 00:16:17.182]  skies.
[00:16:17.202 --> 00:16:18.122]  Let's take a look at the article.
[00:16:18.643 --> 00:16:32.729]  Domestically, state and local law enforcement entities represent the greatest potential users for small, unmanned aircraft systems in the near term because they can offer simple and cost-effective solutions for airborne law enforcement activities.
[00:16:33.229 --> 00:16:39.153]  Continuing, the Monmouth poll surveyed a random sample of 1,700 American adults.
[00:16:39.633 --> 00:16:40.674]  And we see the numbers here.
[00:16:41.134 --> 00:16:44.216]  We have 42% said they would be very concerned.
[00:16:44.236 --> 00:16:46.577]  22% said they would be somewhat concerned.
[00:16:46.938 --> 00:16:48.218]  And the numbers went down from there.
[00:16:49.179 --> 00:16:56.861]  So it's not just the tinfoil hat wearing conspiracy theorists who are worried about these drones invading their privacy and even harming them.
[00:16:56.921 --> 00:16:57.922]  Yes, I said harming them.
[00:16:58.302 --> 00:17:01.343]  We also did another article on Infowars.com.
[00:17:01.703 --> 00:17:03.263]  Headline, you can look at it for yourself.
[00:17:03.644 --> 00:17:06.264]  Police said to use armed drones against Americans.
[00:17:06.324 --> 00:17:07.305]  I'll read that headline again.
[00:17:07.725 --> 00:17:10.586]  Police said to use armed drones against Americans.
[00:17:10.946 --> 00:17:14.327]  And we won't show the full clip here for the sake of time.
[00:17:14.647 --> 00:17:17.848]  But if you watch this video, you will see the county sheriff
[00:17:18.368 --> 00:17:24.150]  Holding a drone that says sheriff, and the guy in the video says yes, these drones are armed.
[00:17:24.170 --> 00:17:29.512]  Those particular drones in the video are armed with stun batons and stun agents.
[00:17:29.912 --> 00:17:31.633]  So it's not just people making it up.
[00:17:31.673 --> 00:17:33.574]  People say, where's your proof that these things are armed?
[00:17:33.934 --> 00:17:37.295]  County sheriff holding a county drone says yes, this thing is armed.
[00:17:37.315 --> 00:17:38.656]  So look at it for yourself.
[00:17:38.696 --> 00:17:39.916]  Don't take our word for it.
[00:17:40.356 --> 00:17:43.677]  And definitely be aware of things like this going on in your neighborhood.
[00:17:44.098 --> 00:17:44.798]  My last story.
[00:17:45.498 --> 00:17:52.161]  Houston PD kills wheelchair-ridden, schizophrenic, double amputee armed with a pen.
[00:17:52.581 --> 00:17:57.284]  Now that sounds like some type of skit from Chappelle Show, so let me read that to you one more time.
[00:17:57.684 --> 00:18:05.808]  Houston PD kills wheelchair-ridden, schizophrenic, double amputee armed with a pen.
[00:18:06.968 --> 00:18:08.449]  Keep this in mind as we go through the article.
[00:18:09.389 --> 00:18:16.493]  A spokesman for Houston PD says the officer couldn't make out what the metal object that the man waved was.
[00:18:16.933 --> 00:18:19.234]  It was later determined that the object was a pen.
[00:18:19.894 --> 00:18:30.440]  After the mentally ill man refused to comply with police orders to put the pen down, police opened fire without thinking twice to reach for a taser instead of a gun.
[00:18:30.780 --> 00:18:36.463]  The author makes a very good point, but I think even a taser in this situation would be more than excessive.
[00:18:36.903 --> 00:18:39.644]  The man had one arm, he had one leg.
[00:18:40.285 --> 00:18:49.510]  Let's say, my understanding about a knife or a edged weapon, belated weapon, I don't know what you can mistake a pen to be, possibly some type of ice pick.
[00:18:49.930 --> 00:18:53.652]  My understanding is these things are considered dangerous within 21 feet.
[00:18:53.692 --> 00:18:55.293]  I'm not sure how close the officers were.
[00:18:55.713 --> 00:18:59.255]  But let's say the guy was coming at them with the instrument, being a pen.
[00:18:59.855 --> 00:19:07.021]  Now, I don't know if he's got one of the old wheelchairs that he has to roll with one hand or even if he has one of the newer ones with the joystick.
[00:19:07.441 --> 00:19:14.646]  Even if he was going to use the joystick, he has to hold the pen and the joystick in the same hand because he only has one hand to use.
[00:19:14.906 --> 00:19:17.448]  So how much of a threat is this guy driving around?
[00:19:17.829 --> 00:19:19.150]  I'm not making a joke.
[00:19:19.170 --> 00:19:23.273]  The guy had to drive around like this with the pen in one hand as well as the joystick.
[00:19:23.633 --> 00:19:25.835]  How much of a threat is this guy to these
[00:19:26.255 --> 00:19:28.558]  Big tough Houston PD officers.
[00:19:28.638 --> 00:19:29.338]  It's ridiculous.
[00:19:29.399 --> 00:19:33.903]  It's just another, another sad case of police brutality.
[00:19:33.923 --> 00:19:40.250]  And we would like to show you, you know, more, you know, things of cops changing tires and helping old ladies walk across the street.
[00:19:40.290 --> 00:19:48.199]  But hey, this is, you know, these are the stories that we unfortunately get to tell because we even had a chance, me and Darren McBreen, we did a man on the street.
[00:19:48.679 --> 00:19:56.245]  We encountered some very nice, friendly, professional police officers, but they didn't want to talk on camera, so we didn't have a chance to interview them.
[00:19:56.605 --> 00:20:08.353]  But hey, guys like this, shooting and killing, wheelchair ridden, schizophrenic, double amputee, gentlemen armed with pens, I guess that's your new police force.
[00:20:08.853 --> 00:20:17.359]  So I hate to end my segment on such a sour note, but we'll go to break and we'll come back with David Ortiz as he interviews presidential hopeful Gary Johnson.
[00:20:17.459 --> 00:20:17.980]  Stay tuned.
[00:20:22.628 --> 00:20:27.613]  Hello, this is Linda West with a special report for InfoWars.com.
[00:20:28.453 --> 00:20:33.698]  A new DVD has come out by GMO expert and scholar Jeffrey Smith.
[00:20:34.419 --> 00:20:36.100]  It's entitled Genetic Roulette.
[00:20:37.401 --> 00:20:47.050]  It exposes the shockingly unbelievable connection between the proliferation of GMOs by huge agri-corporations
[00:20:47.833 --> 00:20:51.014]  And a huge increase in disease in America.
[00:20:51.314 --> 00:20:53.274]  Things we're seeing today aren't normal.
[00:20:54.895 --> 00:20:57.395]  We didn't see them 30 years ago or 50 years ago.
[00:20:57.415 --> 00:21:00.356]  Illnesses that weren't epidemic before are now epidemic.
[00:21:00.836 --> 00:21:15.599]  With this new comprehensive information, we can finally solve the mystery between the rising disease, cancer, allergies, Alzheimer's, premature aging, and even autism.
[00:21:20.030 --> 00:21:31.456]  I'm concerned about all the health issues that I'm seeing, but the one that I am most alarmed about is autistic spectrum, which is literally skyrocketed.
[00:21:31.976 --> 00:21:38.320]  We can't say for sure that GMOs have anything to do with autism, but we can't say for sure that it doesn't.
[00:21:39.164 --> 00:21:52.689]  In fact, there's been an increase in autism since GMOs were introduced, and animals that eat GMOs, both in laboratory and in livestock situations, have shown some tell-tale signs that some practitioners say are linked with autism.
[00:21:52.989 --> 00:22:05.854]  Jeffrey Smith has done the scientific research that finally reveals the truth about GMOs that Big Agricorps and the government has tried so hard to cover up.
[00:22:07.094 --> 00:22:08.515]  This food conspiracy
[00:22:09.491 --> 00:22:12.949]  Is making them billionaires and us sick.
[00:22:13.482 --> 00:22:18.425]  He said he lost about 90% of his miniature steers.
[00:22:18.966 --> 00:22:26.471]  What the problem was is I guess he said that they weren't able to process the food correctly and they would bloat up and die from it.
[00:22:26.751 --> 00:22:29.773]  Now that we have the real information, we can make changes.
[00:22:30.133 --> 00:22:38.259]  Now we know exactly why diseases are on the rise, surgeries are on the rise, and so many small minds are being stolen from autism.
[00:22:38.499 --> 00:22:41.501]  I know today we all have a lot on our plate.
[00:22:42.722 --> 00:22:46.029]  But what's on our plate today is killing us.
[00:22:47.071 --> 00:22:51.541]  This is Linda West wishing your family a happy
[00:22:52.344 --> 00:22:53.905]  And healthy future.
[00:23:22.724 --> 00:23:24.065]  Easy to set up and use.
[00:23:24.246 --> 00:23:25.547]  Doesn't require electricity.
[00:23:25.667 --> 00:23:28.569]  Purify water from lakes, streams, ponds, and wells.
[00:23:28.869 --> 00:23:32.052]  This filter system leaves in beneficial minerals, which is key.
[00:23:32.272 --> 00:23:36.275]  Save money by not buying bottled water and avoid BPA that leaches from the plastic.
[00:23:36.435 --> 00:23:39.057]  ProPure is the best gravity-fed filter out there.
[00:23:39.197 --> 00:23:40.519]  It's what my family uses.
[00:23:40.779 --> 00:23:44.001]  Infowars.com already has the lowest price on ProPure.
[00:23:44.101 --> 00:23:49.406]  But if you add the promo code WATER at checkout, you get an additional 10% off at Infowars.com.
[00:23:49.966 --> 00:23:52.548]  You can also call to order 888-253-3139.
[00:23:52.568 --> 00:24:01.595]  Alex Jones here with a message that could revolutionize health in this country.
[00:24:01.875 --> 00:24:07.720]  Going back about a year and a half ago, I began to learn about the incredible health effects of longevity products.
[00:24:08.120 --> 00:24:10.442]  Erin Dykes lost 92 pounds.
[00:24:10.843 --> 00:24:13.725]  We're going to show you some before and afters.
[00:24:14.145 --> 00:24:15.927]  Aaron, break down what happened.
[00:24:15.947 --> 00:24:16.508]  Your story.
[00:24:16.788 --> 00:24:21.853]  I've worked really hard with diet and exercise to try to lose weight, but I just didn't get the results.
[00:24:21.893 --> 00:24:22.774]  It just didn't happen.
[00:24:23.075 --> 00:24:25.657]  Then I saw what you were doing with Infowarsteam.com.
[00:24:26.138 --> 00:24:29.902]  I wasn't even trying to lose weight, but I got it because I wanted to feel better energy.
[00:24:29.922 --> 00:24:30.162]  I wanted
[00:24:30.182 --> 00:24:30.602]  I don't think so.
[00:25:02.347 --> 00:25:09.837]  And welcome back to InfoWars Nightly News, and right now we are joined by none other than presidential candidate Gary Johnson.
[00:25:10.698 --> 00:25:12.340]  Mr. Johnson, thank you so much for being here.
[00:25:12.360 --> 00:25:13.341]  David, great to be on with you.
[00:25:13.381 --> 00:25:13.662]  Thank you.
[00:25:14.423 --> 00:25:24.685]  Now, Governor, we obviously know who you are here at InfoWars, the Freedom Movement knows who you are, but several polls show that a majority of Americans do not know who you are.
[00:25:25.465 --> 00:25:32.006]  So for those who are listening right now, tell us a little bit about yourself and some of your political accomplishments.
[00:25:32.846 --> 00:25:35.027]  Well, I've been an entrepreneur my entire life.
[00:25:35.607 --> 00:25:43.148]  I started a one-man handyman business in Albuquerque in 1974 and actually grew that to employ over a thousand people over a 20-year period.
[00:25:44.571 --> 00:25:48.713]  I became Intel's facilities contractor before the 286 chip.
[00:25:49.654 --> 00:25:51.715]  I sold that business in 1999.
[00:25:51.835 --> 00:25:53.136]  Nobody lost their job.
[00:25:53.376 --> 00:26:00.400]  They're doing better than ever and it allows me to have a full-time unpaid job running for President of the United States.
[00:26:02.000 --> 00:26:06.303]  I had never been involved in politics prior to running for Governor of New Mexico.
[00:26:07.145 --> 00:26:07.706]  I don't know.
[00:26:25.949 --> 00:26:27.691]  Let's just have some common sense.
[00:26:28.252 --> 00:26:30.013]  Less government is better government.
[00:26:30.954 --> 00:26:39.123]  I made a name for myself being governor for perhaps vetoing more legislation than the other 49 governors in the country combined.
[00:26:39.683 --> 00:26:40.644]  David, I vetoed 750 bills.
[00:26:40.684 --> 00:26:41.885]  I had thousands of line-item vetoes.
[00:26:45.106 --> 00:26:48.951]  I think it made a difference when it came to billions of dollars worth of spending.
[00:26:49.291 --> 00:26:59.924]  I think it made a difference when it came to laws that, but for my signature, would have added time and money to our lives but weren't going to make us any safer, weren't going to make us any more healthy.
[00:27:00.725 --> 00:27:01.806]  I stood up and said no.
[00:27:03.206 --> 00:27:20.187]  I think the biggest indicator of how that went over was the fact that I did get re-elected by a bigger margin the second time than the first time, in a state that's 2-1 Democrat, being a penny pincher, and being somebody who was standing up for less government.
[00:27:21.417 --> 00:27:25.139]  Now, Governor, what are your thoughts on the two front-running presidential candidates?
