[00:00:00.029 --> 00:00:00.872]  Broadcasting Network.
[00:16:37.997 --> 00:16:41.858]  I recently increased my supply from eFoodsDirect because we've all known this was coming.
[00:16:41.998 --> 00:16:44.639]  You know about their delicious long-term storable foods.
[00:16:44.919 --> 00:16:47.560]  The fact is you can eat at any time to save money today.
[00:16:47.700 --> 00:16:52.122]  And because it's stored for 25 years, they're locking in today's prices and avoiding the rising food cost.
[00:16:52.262 --> 00:16:52.802]  Don't wait!
[00:16:52.922 --> 00:16:54.783]  Call 800-409-5633 or go to eFoodsDirect.com forward slash Alex.
[00:16:58.164 --> 00:17:02.525]  Call 800-409-5633 or eFoodsDirect.com forward slash Alex.
[00:17:02.665 --> 00:17:04.546]  You can bet your life on eFoodsDirect.
[00:17:07.207 --> 00:17:14.889]  If you want an American company with American products made by Americans, here is the Cal Bend Soap Company.
[00:17:15.309 --> 00:17:18.951]  Alex and his staff have used these pure soap products for years.
[00:17:19.391 --> 00:17:26.193]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[00:17:26.693 --> 00:17:34.237]  See them on the web at 5starsoap.com or call 800-340-7091 for a free catalog.
[00:17:34.557 --> 00:17:40.220]  Buy the 1 to 2 month sample package and enjoy soaps that are twice as good as what you're using now.
[00:17:40.500 --> 00:17:45.603]  Or save big with a 1 to 2 year supply of soaps for all your cleaning needs.
[00:17:45.903 --> 00:17:47.544]  This is an amazing deal.
[00:17:47.884 --> 00:17:52.427]  You can save thousands of dollars and you will love the way real soap makes you feel.
[00:17:53.107 --> 00:17:56.290]  See them on the web at 5starsoap.com or call 800-340-7091 for a free catalog.
[00:18:04.821 --> 00:18:10.085]  Sick of the globalist eugenicist control freaks adding poison to your water and laughing as you get sick and die?
[00:18:10.345 --> 00:18:12.547]  Start purifying your water with ProPure.
[00:18:12.747 --> 00:18:21.714]  My friends, I've done a lot of research and the best gravity filter out there bar none is ProPure and it's available discounted at InfoWars.com.
[00:18:21.854 --> 00:18:25.056]  Its filters are silver impregnated to prevent bacterial growth.
[00:18:25.296 --> 00:18:26.737]  There's no priming required.
[00:18:26.998 --> 00:18:29.039]  It's NSF 42 certified.
[00:18:29.259 --> 00:18:31.641]  Optional fluoride filters can reduce fluoride up to
[00:18:31.761 --> 00:18:34.183]  95%.
[00:18:31.901 --> 00:18:34.183]  Easy to set up and use.
[00:18:34.343 --> 00:18:35.664]  Doesn't require electricity.
[00:18:35.764 --> 00:18:38.626]  Purify water from lakes, streams, ponds, and wells.
[00:18:38.926 --> 00:18:42.108]  This filter system leaves in beneficial minerals, which is key.
[00:18:42.308 --> 00:18:46.291]  Save money by not buying bottled water and avoid BPA that leaches from the plastic.
[00:18:46.451 --> 00:18:49.053]  ProPure is the best gravity-fed filter out there.
[00:18:49.193 --> 00:18:50.534]  It's what my family uses.
[00:18:50.774 --> 00:18:53.996]  Infowars.com already has the lowest price on ProPure.
[00:18:54.076 --> 00:18:59.420]  But if you add the promo code WATER at checkout, you get an additional 10% off at Infowars.com.
[00:18:59.440 --> 00:19:01.061]  You can also call to order.
[00:19:01.101 --> 00:19:01.141]  888-253-3139
[00:19:04.625 --> 00:19:05.365]  Aaron Fullin here.
[00:19:05.645 --> 00:19:17.010]  As the Food Police shut down food co-ops, the Amish, and small farmers, Americans are losing access, not just to raw milk and homemade cheeses, but to healthy, home-crafted sources for fermented foods like sauerkraut, yogurt, and kefir.
[00:19:17.231 --> 00:19:21.072]  It seems there's a war on life-giving foods with living enzymes and healthy bacteria.
[00:19:21.272 --> 00:19:23.793]  But frankly, I'm not sure what the Food Police are so afraid of.
[00:19:24.054 --> 00:19:31.677]  These remarkable foods have been around since the beginning of history, with archaeological evidence for fermented foods and beverages being found across the globe in almost every culture.
[00:19:31.917 --> 00:19:39.452]  Even today, Japanese eat miso, Africans eat fermented porridges, Koreans eat kimchi, and in India, fermented milk is a staple for healthy living.
[00:19:39.752 --> 00:19:40.654]  But here's some good news.
[00:19:40.874 --> 00:19:42.858]  South Reliant Americans can now discover the secret.
[00:19:45.879 --> 00:19:46.199]  We're good to go.
[00:20:16.815 --> 00:20:21.609]  From the front lines of the Information War, it's Alex Jones!
[00:20:27.031 --> 00:20:37.158]  Gerald Cilente of the Trends Research Center, TrendsResearch.com, the publisher of the Trends Journal, joins us.
[00:20:37.238 --> 00:20:40.460]  And I love the new cover of the new journal that just came out.
[00:20:41.180 --> 00:20:51.247]  It's a guy in a suit with a presidential-looking tie, the dark suit with two heads, and the two-headed ogre, of course, is Romney and Obama.
[00:20:51.988 --> 00:20:56.351]  And never before have there been so little differences between
[00:20:57.311 --> 00:20:57.932]  These two guys.
[00:20:57.992 --> 00:21:04.996]  Gerald, look, everything you saw coming many years ago, you've been a best-selling author for several decades of forecasting trends.
[00:21:05.056 --> 00:21:07.477]  I mean, I guess what is it, number one New York Times bestseller before?
[00:21:08.518 --> 00:21:19.024]  You've really proven that you understand where things are going because you've worked as a consultant, you've worked, I guess, as a lobbyist, you've worked in government, you've been a successful author.
[00:21:19.744 --> 00:21:21.005]  You've done so many different things.
[00:21:21.765 --> 00:21:22.566]  Where do you
[00:21:23.582 --> 00:21:27.747]  See it going specifically now that so much of what you've broken down has now been accurate.
[00:21:28.147 --> 00:21:30.069]  Fine-tuning or looking out into the future.
[00:21:31.010 --> 00:21:36.876]  More and more it looks like the really bad scenario is where we're going instead of just the, you know, nasty scenario.
[00:21:37.077 --> 00:21:37.777]  Really bad.
[00:21:38.578 --> 00:21:39.499]  Really serious.
[00:21:39.519 --> 00:21:41.581]  You've got a general decadence and a lot of people.
[00:21:42.482 --> 00:21:47.308]  They're still hard-working, decent people that aren't criminals that are holding up society.
[00:21:47.988 --> 00:21:50.791]  Government is becoming more and more insane and unaccountable.
[00:21:51.192 --> 00:21:52.794]  I saw a case yesterday.
[00:21:52.854 --> 00:21:53.815]  In fact, guys, I printed it.
[00:21:53.935 --> 00:22:01.663]  You just type in child suspended iPad and the children were suspended, a bunch of them in the class.
[00:22:02.644 --> 00:22:03.165]  I don't know.
[00:22:23.311 --> 00:22:26.392]  And cops get there first, they send a fire truck, you know, all this stuff now.
[00:22:26.972 --> 00:22:30.473]  And they get there and they go, stop having a seizure and start tasering him until he had a heart attack.
[00:22:30.493 --> 00:22:31.494]  Well, the guy was unconscious.
[00:22:32.114 --> 00:22:33.974]  And they're not getting in trouble.
[00:22:34.134 --> 00:22:45.538]  I mean, I saw an article out of England where it was like a, you know, almost 80-year-old guy who had a stroke, no criminal record, a scientist with a white cane who's blind, can barely walk.
[00:22:46.536 --> 00:22:48.517]  And the police didn't say halt, stop, anything.
[00:22:48.537 --> 00:22:49.378]  They just tasered him.
[00:22:50.339 --> 00:22:51.400]  And they said, well, that's okay.
[00:22:51.680 --> 00:22:55.022]  I mean, it's a bunch of sadist and crazy people in charge now.
[00:22:55.703 --> 00:23:01.167]  They're pushing out any good people, and it's just getting crazier and crazier by the minute.
[00:23:01.327 --> 00:23:02.608]  And I just don't see
[00:23:03.408 --> 00:23:05.029]  Where it's going to go from this point.
[00:23:05.069 --> 00:23:08.270]  I've seen other civilizations go through decadent cycles.
[00:23:08.490 --> 00:23:09.690]  They're nothing like this.
[00:23:10.131 --> 00:23:13.032]  This technology is going to allow fraud to go so much further.
[00:23:13.052 --> 00:23:24.576]  I'm not against technology, but it does have that manifestation that I mean, I just can't believe everything that we've basically broken down is so accurate and that if there's any criticism of you or I,
[00:23:25.532 --> 00:23:26.713]  And other experts we have on.
[00:23:26.733 --> 00:23:33.095]  Because I have people on that are accurate and piercing and have records of being accurate, not establishment liars.
[00:23:35.536 --> 00:23:37.117]  But still, it's sick to be right.
[00:23:37.197 --> 00:23:39.158]  So, you get the gist of what I'm saying.
[00:23:39.178 --> 00:23:41.199]  It's just a marvel at what we're witnessing.
[00:23:42.073 --> 00:23:43.635]  No, we've never seen anything like it.
[00:23:43.875 --> 00:23:47.499]  And again, you know, I'm talking about, I call it the presidential reality show.
[00:23:48.320 --> 00:23:53.326]  What American could be proud to be an American after watching these debates?
[00:23:53.926 --> 00:23:54.567]  This is it?
[00:23:55.348 --> 00:23:57.150]  An empty suit and a stuffed shirt?
[00:23:57.991 --> 00:23:59.373]  An emperor with no clothes?
[00:23:59.973 --> 00:24:00.234]  And a...
[00:24:03.417 --> 00:24:06.198]  A vulture capitalist that craves power?
[00:24:06.898 --> 00:24:08.739]  Listen to what Eisenhower said.
[00:24:09.659 --> 00:24:15.181]  That any man that seeks the presidency is either an egomaniac or crazy.
[00:24:16.061 --> 00:24:17.281]  You don't seek this.
[00:24:17.561 --> 00:24:20.822]  You like George Washington.
[00:24:22.583 --> 00:24:23.443]  They want you.
[00:24:23.483 --> 00:24:24.563]  You don't go seek it.
[00:24:24.904 --> 00:24:26.464]  Romney's been running forever.
[00:24:26.984 --> 00:24:29.305]  Is Obama really playing president?
[00:24:29.665 --> 00:24:36.029]  I mean, this cat's out there with his sleeves rolled up, every damn day, doing a campaign gig.
[00:24:36.409 --> 00:24:38.651]  You and I know, I mean, we're running businesses.
[00:24:38.951 --> 00:24:39.931]  You can't do this!
[00:24:40.332 --> 00:24:41.792]  Who the hell's running a show?
[00:24:42.193 --> 00:24:45.695]  You got a whole country to run, and this guy's on the campaign trail.
[00:24:46.075 --> 00:24:50.758]  It's so serious, but people refuse to see it for what it is.
[00:24:51.338 --> 00:24:52.119]  As I mentioned,
[00:24:52.739 --> 00:25:02.183]  When you looked at that debate, that so-called debate the other night, and look at all of the coverage, all it was about, you know, Obama came out swinging!
[00:25:02.563 --> 00:25:07.585]  It was, you know, it was bitter from the beginning, and biting, and ba-ba-ba-ba!
[00:25:08.086 --> 00:25:09.746]  But how about the policies?
[00:25:09.806 --> 00:25:10.967]  What did they talk about?
[00:25:11.507 --> 00:25:13.728]  What did they say that they were going to do?
[00:25:14.288 --> 00:25:16.309]  And there's not a dime's worth of difference.
[00:25:16.429 --> 00:25:17.930]  I can make a point to prove it.
[00:25:18.908 --> 00:25:22.411]  Romney comes out and says, more clean coal!
