[00:00:21.972 --> 00:00:23.478]  Welcome to M4 Wars Nightly News.
[00:03:03.196 --> 00:03:20.443]  According to the Constitution, anyone who's on the ballot in enough states to win really should be included in these processes, and it's difficult enough to get on with ballot access rules, but certainly we would like to have a real discussion of real issues, and that's just not going to happen in the controlled circumstances we have with Obama and Romney.
[00:03:21.860 --> 00:03:29.483]  Well, besides the crap that they're feeding us in the presidential debates, we are being given a staggering amount of feces in our food.
[00:03:30.623 --> 00:03:35.545]  A recent Bloomberg article entitled, Asian Seafood Raised on Pig Feces Approved for U.S.
[00:03:35.585 --> 00:03:41.387]  Consumers, explained that much of seafood that's imported to the United States from Asia is actually raised on pig feces.
[00:03:42.754 --> 00:03:49.555]  Now a lot of people grossed out by that, and there have been calls for a congressional investigation, but no calls to cut off food imports from Asia.
[00:03:49.835 --> 00:03:54.216]  Most people forget about all this in a few weeks and continue to eat what they're fed.
[00:03:54.776 --> 00:03:56.336]  That's for politics as well, I guess.
[00:03:57.197 --> 00:03:59.277]  And that brings us, I guess, to our quote.
[00:03:59.337 --> 00:04:00.737]  We ought to do this quote a little bit early.
[00:04:00.757 --> 00:04:04.318]  They use everything about the hog except the squeal.
[00:04:05.398 --> 00:04:07.238]  That's from Upton Sinclair's The Jungle.
[00:04:08.579 --> 00:04:11.159]  And I guess now we know what they're doing with the feces.
[00:04:13.523 --> 00:04:21.545]  If you care about what your family eats, and you don't want to feed them that stuff, you might pack a lunch, and you might put some healthy food in it.
[00:04:21.645 --> 00:04:25.246]  But we've seen over and over again that the nanny state doesn't like that.
[00:04:25.846 --> 00:04:33.148]  They want you to eat what they've determined you're going to eat, regardless of how unhealthy it is, or regardless of how healthy what you packed for your children is.
[00:04:33.948 --> 00:04:35.589]  The nanny state goes into overdrive.
[00:04:36.189 --> 00:04:39.950]  School interrogates and suspends a student for drinking kombucha tea.
[00:04:42.162 --> 00:04:55.465]  A police officer who responded reportedly told the child that kombucha, a mushroom tea that's been around for thousands of years and has numerous documented health benefits, was illegal and could be dangerous if the boy ingested it while taking medications.
[00:04:56.346 --> 00:05:01.387]  Well, this is an Asian tea that only contains about one-half of a percent alcohol.
[00:05:01.927 --> 00:05:07.028]  And yet, they want the child to enroll into a youth alcoholics program.
[00:05:08.349 --> 00:05:09.089]  A bit ridiculous.
[00:05:10.069 --> 00:05:14.972]  Moving on to Syria, the New York Times reports weapons are going to Al-Qaeda in Syria.
[00:05:15.872 --> 00:05:30.881]  Most of the arms shipped at the behest of Saudi Arabia and Qatar to supply Syrian rebel groups fighting the government of Basar al-Assad are going to hardline Islamic jihadists, and not to the more secular opposition groups that the West wants to bolster, according to American officials and Mid-Eastern diplomats.
[00:05:31.556 --> 00:05:40.278]  In other words, the CIA and the fanatical Wahhabist in Saudi Arabia and Qatar are supporting and arming Al-Qaeda much the same way they did in Libya.
[00:05:41.698 --> 00:05:47.639]  Well, this is something you're not going to hear talked about tonight, even though the subject of the debate is foreign policy.
[00:05:48.459 --> 00:05:55.881]  They'll talk a lot about the phony issues between each other, but the reality is that they have no disagreement on foreign policy.
[00:05:56.856 --> 00:06:11.705]  They try to make a distinction about how they would execute the foreign policy, but their policy is, they both have the same policy of continuous war for the military-industrial complex to keep us focused on something other than what the banks are doing to us domestically.
[00:06:12.926 --> 00:06:19.690]  Today, domestically, oral arguments began in a landmark case between Americans for Safe Access and the DEA.
[00:06:21.112 --> 00:06:26.876]  In a petition filed back in 2002, the DEA was requested to reclassify marijuana.
[00:06:26.937 --> 00:06:38.365]  Currently, it's classified as a Schedule 1 drug, which means, according to the DEA, that marijuana is a drug with high potential for abuse and no currently accepted medical use and treatment.
[00:06:39.246 --> 00:06:41.388]  We know that that is a bold-faced lie.
[00:06:42.328 --> 00:06:50.735]  Everyone knows that marijuana has numerous medical benefits, and Americans for Safe Access
[00:06:52.461 --> 00:06:57.088]  Put together a petition to the DEA to change the classification of marijuana.
[00:06:58.030 --> 00:07:01.435]  But the DEA summarily refused to look at the petition.
[00:07:01.836 --> 00:07:02.457]  And that was back in 2002.
[00:07:02.938 --> 00:07:07.505]  And the organization has been fighting ever since then to get DEA to examine the petition.
[00:07:08.280 --> 00:07:19.307]  But as we've seen with the EPA and other government agencies, it's become very common for government agencies to just ignore their own rules for review, and to just do whatever they want to do.
[00:07:19.727 --> 00:07:29.013]  They've become extremely imperious, and so this case is going to see if the courts will uphold the DEA's own rules.
[00:07:30.714 --> 00:07:37.698]  Well, tonight we've got a special treat for you from Joshua Owens, a top ten finalist in the contest that were held this last summer.
[00:07:38.525 --> 00:07:42.387]  And he's done a great job of, uh, music video.
[00:07:42.747 --> 00:07:44.528]  Exposes the rise of the robots.
[00:07:44.928 --> 00:07:46.308]  Here's a quick look at the music video.
[00:07:46.728 --> 00:07:49.149]  Don't let them win you over.
[00:07:49.169 --> 00:07:50.730]  That's what they're hoping for.
[00:07:50.770 --> 00:07:54.892]  They want to shutter your mind and shackle it to the floor.
[00:07:55.172 --> 00:07:58.733]  It's not hard to figure out the lies you're being told.
[00:07:58.773 --> 00:08:02.895]  There is a playbook, an agenda, a blueprint, a goal.
[00:08:03.295 --> 00:08:07.457]  So open your eyes wide enough to see you're the target.
[00:08:11.172 --> 00:08:12.112]  We're good to go.
[00:08:35.769 --> 00:08:36.611]  We're good.
[00:09:07.591 --> 00:09:11.034]  Well, last weekend there was a music festival here in Austin, Austin City Limits Festival.
[00:09:11.554 --> 00:09:13.976]  About 75,000 people a day for three days.
[00:09:14.596 --> 00:09:22.902]  And we had a little bit of an intra-office contest going where we handed out new copies of the glossy magazine that came out middle of this month.
[00:09:23.242 --> 00:09:24.883]  Here's a look at a couple of those entries.
[00:09:25.404 --> 00:09:26.765]  And we'll be back right after this break.
[00:09:32.108 --> 00:09:34.450]  This is Rob Duke for InfoWars.com.
[00:09:34.570 --> 00:09:38.073]  I'm out in front of the guy at ACL Music Festival.
[00:09:38.113 --> 00:09:38.594]  This is 2012.
[00:09:38.674 --> 00:09:39.414]  Hundreds of acts.
[00:09:39.434 --> 00:09:42.077]  There's going to be over 100,000 people coming here during the day.
[00:09:42.197 --> 00:09:49.323]  And I've got the new InfoWars Velocity Magazine that I'm going to be passing out for free until I'm out.
[00:09:49.443 --> 00:09:52.045]  I brought a wagon full as you can see down here.
[00:09:52.365 --> 00:09:55.308]  So we're going to see what happens when people get Freedom for free.
[00:09:55.608 --> 00:09:56.909]  Hey guys, Freedom Magazine.
[00:09:56.969 --> 00:09:58.911]  Freedom Watch still for free.
[00:10:55.322 --> 00:10:58.823]  So they own the public spaces that are here at the festival?
[00:11:00.424 --> 00:11:02.865]  Are you going to turn off the camera?
[00:11:02.905 --> 00:11:03.085]  Nope.
[00:11:03.765 --> 00:11:04.006]  Okay.
[00:11:04.226 --> 00:11:04.546]  That's fine.
[00:11:04.586 --> 00:11:05.766]  I'm going to get a police officer.
[00:11:05.806 --> 00:11:06.287]  Be right back.
[00:11:06.307 --> 00:11:06.427]  Okay.
[00:11:06.987 --> 00:11:07.887]  Are you selling one?
[00:11:08.187 --> 00:11:08.828]  No, but you can have one.
[00:11:09.088 --> 00:11:09.428]  Are you sure?
[00:11:09.508 --> 00:11:09.768]  Yeah.
[00:11:11.008 --> 00:11:11.889]  I have power.
[00:11:12.249 --> 00:11:13.009]  I have power.
[00:11:13.429 --> 00:11:14.170]  I have power.
[00:11:22.670 --> 00:11:23.573]  I have power!
[00:11:23.934 --> 00:11:24.696]  I have power!
[00:11:25.098 --> 00:11:25.840]  I have power!
[00:12:30.649 --> 00:12:36.412]  It's time once again for our annual Money Bomb, our 48-hour broadcast to raise $1 million for our operation.
[00:12:36.572 --> 00:12:38.593]  But for our donators, we do have special gifts.
[00:12:38.914 --> 00:12:44.337]  With a donation of $365, you get the limited edition InfoWars Money Bomb t-shirt.
[00:12:44.697 --> 00:12:49.379]  With a donation of $500, you get not only the t-shirt, but also five DVDs.
[00:12:49.619 --> 00:12:57.764]  And with a donation of $1,000, you get the t-shirt, the DVDs, and the limited edition InfoWars Money Bomb bullhorn.
[00:12:57.844 --> 00:13:00.385]  Pre-recorded with a special message from Alex himself.
[00:13:00.745 --> 00:13:04.107]  Now be aware that your contributions do not have to be limited to donations.
[00:13:04.207 --> 00:13:07.588]  The InfoWars shop will be up and operating the full 48 hours.
[00:13:07.848 --> 00:13:10.730]  But the action isn't limited to InfoWarsMoneyBomb.com.
[00:13:10.810 --> 00:13:12.650]  Stop by eBay for these great gifts.
[00:13:12.950 --> 00:13:15.011]  Such as the InfoWars Sledgehammer.
[00:13:15.331 --> 00:13:17.232]  Broken in and signed by Alex himself.
[00:13:17.672 --> 00:13:18.813]  Oh yeah, New World Order.
[00:13:19.873 --> 00:13:21.254]  The InfoWars coming for ya.
[00:13:21.874 --> 00:13:23.335]  As well as these other great tools.
[00:13:24.673 --> 00:13:31.382]  In the granddaddy of all auction prizes, the Norman microphone that Alex has used in his broadcast daily for the past several years.
[00:13:32.529 --> 00:13:34.210]  It's InfoWars Moneybomb 2012.
[00:13:35.551 --> 00:13:40.694]  And just in case they go out of style this November, we dug deep and pulled out the Obama Joker shirt.
[00:13:41.034 --> 00:13:43.796]  And as you can see, it bears the Alex Jones signature right there.
[00:13:44.217 --> 00:13:48.659]  The InfoWars Moneybomb launches this Thursday, October 18th, and runs for 48 hours.
[00:13:48.940 --> 00:13:51.801]  Click on the links at the bottom of the screen to navigate you where you need to go.
[00:13:51.821 --> 00:13:55.664]  I'm Jakari Jackson, and if you are watching this transmission, you are the resistance.
[00:15:11.487 --> 00:15:21.738]  Who controls the past, controls the future.
[00:15:22.199 --> 00:15:24.621]  Who controls the present, controls the past.
[00:15:25.650 --> 00:15:31.214]  Death of Bin Laden marks the most significant achievement to date in our nation's effort to defeat Al-Qaeda.
[00:15:31.394 --> 00:15:33.475]  All you gotta do is start looking around.
[00:15:33.836 --> 00:15:35.437]  Start thinking for yourself.
[00:15:35.717 --> 00:15:37.338]  Start investigating things.
[00:15:37.698 --> 00:15:41.181]  And you will see it all right there.
[00:15:41.761 --> 00:15:43.222]  So you have the power.
[00:15:43.542 --> 00:15:45.083]  Humanity has the power.
[00:15:45.544 --> 00:15:46.664]  We have the power.
[00:15:46.684 --> 00:15:47.625]  Do you wanna fight?
[00:15:47.665 --> 00:15:50.067]  You better believe you got one!
[00:15:50.347 --> 00:15:52.088]  Al-Qaeda wasn't inside!
[00:15:52.348 --> 00:15:55.271]  Let us never tolerate outrageous conspiracy theories.
[00:15:55.291 --> 00:15:59.516]  As for me, give me liberty or give me death!
[00:16:23.712 --> 00:16:25.273]  Infowarsmoneybomb.com!
[00:16:25.414 --> 00:16:26.915]  We just expanded next door!
[00:16:27.075 --> 00:16:29.097]  We're coming for the New World Order!
[00:16:29.858 --> 00:16:32.000]  Get over here!
[00:16:32.881 --> 00:16:35.483]  It's Infowars Moneybomb 2012.
[00:16:36.704 --> 00:16:38.826]  48 hours to change the world.
[00:16:42.109 --> 00:16:42.670]  Here's...
[00:16:44.170 --> 00:16:54.814]  Infowarsmoneybomb.com to read our mission and to see the amazing roster of guests we've got lined up, sharing their insights on liberty and resistance to tyranny.
[00:16:55.094 --> 00:17:03.437]  I got involved in radio and TV as well as filmmaking 17 years ago because I didn't like the direction I saw our country and our world going in.
[00:17:03.878 --> 00:17:09.480]  The attacks on basic freedoms like the Second Amendment, the move towards collectivism in the nanny state.
[00:17:10.060 --> 00:17:12.421]  And over the last decade and a half,
[00:17:13.181 --> 00:17:21.865]  Infowars.com and my radio show and the films have become really part of the core resistance to tyranny worldwide.
[00:17:22.685 --> 00:17:37.772]  It seems like yesterday, but it was more than five years ago that I was sitting in my small office of about 3,000 square feet and realized that we were already reaching millions of people a week and that we had a responsibility to expand our operations in the face of the globalists.
[00:17:38.132 --> 00:17:43.253]  It was listeners five years ago that demanded we have a money bomb and expand our operations.
[00:17:44.134 --> 00:17:47.774]  We've gone from less than 10 crew members to more than 50 today.
[00:17:48.315 --> 00:17:51.215]  Five years ago, I was reaching about 3 million people a week.
[00:17:51.735 --> 00:17:53.876]  Now it's 15 million a week, conservatively.
[00:17:54.536 --> 00:18:01.758]  Imagine what will happen if you just tell one person a day about InfoWars.com or our news reports that are online.
[00:18:02.458 --> 00:18:14.287]  Imagine what will happen if you donate just five or ten dollars to InfoWarsMoneyBomb.com and allow us to go to the next level and put the nightly news out on free-to-air satellite worldwide.
[00:18:14.987 --> 00:18:16.969]  No, that one action won't save the world.
[00:18:17.649 --> 00:18:30.777]  But it will trigger brush fires in the minds of men and women everywhere that will bring down the globalist and restore humanity on the right path of justice and liberty and a level playing field.
[00:18:31.017 --> 00:18:31.818]  We have a choice.
[00:18:31.978 --> 00:18:36.741]  The globalist dark age of control freak technocracy or 1776 worldwide.
[00:18:39.062 --> 00:18:46.830]  This October 18th and 19th, from Thursday morning right through into Saturday morning, it's InfoWars Money Bomb 2012.
[00:18:48.472 --> 00:18:49.854]  48 hours to change the world.
[00:18:50.234 --> 00:18:57.301]  I'll see you live with the free video and audio streams emanating from PrisonPlanet.com and InfoWars.com.
[00:18:57.762 --> 00:19:01.506]  I'm Alex Jones, defending liberty, resisting tyranny.
[00:19:26.278 --> 00:19:26.738]  Welcome back.
[00:19:26.778 --> 00:19:29.839]  We have some very disturbing news that is breaking right now.
[00:19:29.859 --> 00:19:36.860]  The man who's been vetted by both the TSA and the FBI has no criminal background and yet he's been put on a no-fly list.
[00:19:37.200 --> 00:19:38.620]  Perhaps because he's a prepper.
[00:19:39.720 --> 00:19:44.941]  Imagine that you're traveling abroad, overseas, and your plane stops in a banana republic.
[00:19:46.041 --> 00:19:50.082]  And some armed guards come on the plane and take you off and tell you that you're not allowed to fly.
[00:19:50.122 --> 00:19:52.663]  You can't continue on your journey and you can't go home.
[00:19:53.443 --> 00:19:54.823]  Because you're on a no-fly list.
[00:19:55.703 --> 00:20:00.805]  Well, the Banana Republic is the United States government, and the island is Hawaii.
[00:20:01.405 --> 00:20:04.266]  And that's exactly what happened to Wade Hicks Jr.
[00:20:05.186 --> 00:20:11.768]  We've got in the studio here with us on Skype, we've got Douglas Hagman, who brought this story to us.
[00:20:12.568 --> 00:20:21.131]  And Douglas is a founder and director of the Northeast Intelligence Network, a 26-year veteran and private investigator who's worked for the Department of
[00:20:21.920 --> 00:20:25.463]  Justice, the FBI, the New York and Penn State Police.
[00:20:26.204 --> 00:20:32.369]  He's written a book on tactical surveillance and he's a CEO of a multi-state licensed private investigative agency.
[00:20:32.950 --> 00:20:35.312]  And Doug has vetted this story.
[00:20:35.372 --> 00:20:39.396]  He's talked to the man in question and he contacted us because this sounds like another
[00:20:40.510 --> 00:20:46.715]  Brandon Robb type story where there's apparently no reason at all for the person to have been detained.
[00:20:46.735 --> 00:20:56.962]  Like in the case of Brandon Robb, if you recall, he was taken by authorities to a mental institution and nobody could understand why and he never got a good answer for that.
[00:20:58.503 --> 00:21:02.066]  Douglas, could you tell us a little bit about what's going on?
[00:21:03.317 --> 00:21:19.341]  The story came to our attention yesterday, as a matter of fact, and 34-year-old Wade Hicks, Jr., a United States citizen, resident of Gulfport, Mississippi, married eight months ago to a lieutenant in the United States Navy.
[00:21:19.882 --> 00:21:22.282]  She's stationed in Okinawa.
[00:21:22.762 --> 00:21:31.605]  Well, Mr. Hicks wanted to visit his wife, and he traveled by car from Gulfport to his in-laws' residence in San Francisco.
[00:21:32.666 --> 00:21:44.778]  And took a military flight, being a dependent of an active military service member, took a military flight from San Francisco to Okinawa, where his wife is stationed.
[00:21:50.586 --> 00:21:52.969]  The flight went off as scheduled.
[00:21:53.149 --> 00:22:02.599]  He boarded normally in San Francisco, and the flight was scheduled to stop in Hawaii for refueling.
[00:22:03.480 --> 00:22:09.186]  The flight landed in Hawaii as scheduled, and what happened next was rather interesting.
[00:22:09.306 --> 00:22:10.527]  He got off the plane.
[00:22:11.468 --> 00:22:21.357]  And again, I should remind everyone that he was screened as a normal passenger would be screened, went through the TSA DHS screening process in San Francisco.
[00:22:22.158 --> 00:22:28.084]  He then flew, then of course boarded the military aircraft which landed in Hawaii.
[00:22:28.845 --> 00:22:31.927]  After some maintenance and refueling in Hawaii,
[00:22:32.968 --> 00:22:35.972]  The passengers of that plane were called back to the plane.
[00:22:36.753 --> 00:22:43.700]  Mr. Hicks returned to the plane, got on the plane as normal, having already gone through the screening process.
[00:22:44.801 --> 00:22:49.767]  And it was at that time when a couple of people showed up on the plane and escorted him off.
[00:22:50.327 --> 00:22:51.609]  There were no third police.
[00:22:53.110 --> 00:23:00.158]  And they took him to a small room within the airport and said that he was on no-fly list.
[00:23:00.478 --> 00:23:03.781]  He was maintained in a small room under heavy armed guard.
[00:23:04.862 --> 00:23:12.170]  And of course, this confused Mr. Hicks as well as the other individuals.
[00:23:15.493 --> 00:23:20.638]  It was as well as the other officials there because they wondered how he got on the aircraft in the first place.
[00:23:20.898 --> 00:23:30.607]  Meanwhile, Mr. Hicks was wondering why, what he did to get on, or yeah, what he did for the distinction of getting on the no-fly list.
[00:23:31.048 --> 00:23:34.972]  Well now, they had vetted him in quite a number of other ways as well, right?
[00:23:35.052 --> 00:23:35.993]  I mean, he's got a
[00:23:37.321 --> 00:23:47.454]  When I looked at his video that's on YouTube, they said that he has a TSA TWIC card, I think it is, which is a, you know, he's vetted by the TSA themselves as a worker.
[00:23:48.163 --> 00:23:55.210]  Well, not only that, he underwent a background check in Mississippi for a concealed carry permit.
[00:23:55.610 --> 00:23:59.354]  In fact, an enhanced concealed carry permit for a weapon.
[00:24:00.695 --> 00:24:06.060]  And he held classified clearances as a defense contractor for the military.
[00:24:06.120 --> 00:24:08.503]  No convictions, no charges against him?
[00:24:08.983 --> 00:24:09.864]  No, not at all.
[00:24:10.284 --> 00:24:22.149]  So yesterday I received a phone call from John Weber from Braveheart Radio saying, hey, my friend is stuck in Hawaii and you won't believe the story.
[00:24:22.309 --> 00:24:25.971]  And Mr. Weber proceeded to inform me of the situation.
[00:24:26.031 --> 00:24:28.272]  And I thought, you know, there's got to be something more here.
[00:24:28.312 --> 00:24:33.515]  There's got to be an issue with respect to perhaps something in his background or something recent.
[00:24:34.055 --> 00:24:37.556]  So as an investigator, I have access to proprietary databases.
[00:24:39.017 --> 00:24:55.635]  To be clear and to be sure that there was nothing wrong with Mr. Hicks, nothing showing his background, I ran, and with his permission, I ran a background check and I didn't find any active wants, warrants, there's no felony or misdemeanor convictions in his background.
[00:24:56.636 --> 00:24:57.738]  He's clean.
[00:24:58.839 --> 00:24:59.479]  Perfectly clean.
[00:25:00.200 --> 00:25:06.842]  So as we got to talking, I asked him to appear on our radio show last night, which is the Hagman and Hagman Report.
[00:25:07.482 --> 00:25:26.588]  He did, and for 38 minutes he narrated this tale of duress, where he was taken off, being held for four and a half, five hours in a small room in the airport by armed guards while they attempted to find out why he was on this no-fly list and how he got on this military aircraft.
[00:25:27.068 --> 00:25:28.829]  Because, again, this man is clean.
[00:25:29.230 --> 00:25:34.013]  It's an insane situation, and it's what happens in this country when we have no due process anymore.
[00:25:35.074 --> 00:25:35.615]  Exactly.
[00:25:35.655 --> 00:25:46.123]  You can just be declared an enemy of the state by somebody, or, you know, like in the movie Brazil, a fly can drop in a typewriter and they get the wrong name, and all of a sudden you're whisked off and you disappear.
[00:25:46.977 --> 00:25:48.718]  Well, you know, that was the thing, too.
[00:25:48.938 --> 00:26:01.707]  I asked him during the pre-interview and during my discussion with him, I asked him, look, could you have been mistaken for another person with the same surname or anything like that because he's got a junior distinction, perhaps, you know, the father?
[00:26:02.668 --> 00:26:03.788]  And what he told me, he said that the
[00:26:05.329 --> 00:26:18.752]  The DHS agents, or the people who were acting on behalf of the TSA and DHS, had told him his social security number, his date of birth, his name, and they said, no, there is no mistake.
[00:26:19.252 --> 00:26:20.132]  This is you.
[00:26:20.152 --> 00:26:21.393]  You're on this no-fly list.
[00:26:21.433 --> 00:26:23.413]  So it's not a case of mistaken identity.
[00:26:23.673 --> 00:26:23.913]  Right.
[00:26:24.273 --> 00:26:24.873]  Yeah.
[00:26:25.273 --> 00:26:25.954]  That's scary.
[00:26:26.354 --> 00:26:27.354]  Yeah, exactly.
[00:26:27.874 --> 00:26:44.423]  So, to be honest with you, the only thing that I could find in his background were a couple of YouTube videos, one in which he was reading the Constitution in front of City Hall during, I believe it was a Tea Party rally.
[00:26:44.864 --> 00:26:46.465]  Certainly nothing objectionable.
[00:26:47.045 --> 00:26:53.609]  I could find nothing in terms of social networking, no postings on any open source internet forum,
[00:26:54.409 --> 00:26:58.911]  Nothing that would classify him as a risk to the security of this nation overtly.
[00:26:59.191 --> 00:27:07.414]  Well, Homeland Security has said that people who prepare for disasters and people who hold patriot views are enemies of the state, essentially.
[00:27:07.874 --> 00:27:14.297]  And so now we're starting to see this come to fruition, you know, in both Brandon Robb's case and now again in this other case.
[00:27:15.434 --> 00:27:32.480]  And you know, since I had published the story at Canada Free Press and on our website as well, and since you picked this up, I've received emails from several people who have given me almost the same type of
[00:27:34.281 --> 00:27:44.205]  Situation that stating that, hey, I was taken off a flight and they told me I was on the no-fly list, or I was prevented from getting onto a flight because I was on the no-fly list.
[00:27:44.525 --> 00:27:46.786]  I've got nothing in my background, according to these individuals.
[00:27:47.187 --> 00:27:53.329]  Not that those individuals, but these circumstances are very similar to what happened to Mr. Hicks.
[00:27:53.970 --> 00:27:56.190]  So it looks like there's something going on here.
[00:27:56.711 --> 00:28:01.433]  It looks like, you know, perhaps, you know, there's something taking place right now.
[00:28:02.153 --> 00:28:02.793]  I don't know.
[00:28:22.049 --> 00:28:27.370]  I think the thing that needs to concern every American is the fact that there is no due process.
[00:28:28.051 --> 00:28:34.812]  You know, it was fundamental to our Constitution that if the government thinks that you're guilty of something, they charge you with the crime.
[00:28:34.832 --> 00:28:41.734]  They don't just pick you up and take you to a mental institution or tell you you're confined to an island.
[00:28:42.334 --> 00:28:43.295]  And you can't fly out.
[00:28:44.056 --> 00:28:47.900]  You know, they have to tell you why they're detaining or arresting you.
[00:28:48.280 --> 00:28:51.203]  And they have to, you know, let you see who your accusers are.
[00:28:51.263 --> 00:28:52.624]  Otherwise, we're back to star chambers.
[00:28:53.805 --> 00:29:01.353]  This is something that is fundamental, fundamental protection for citizens that the government is just ignoring and wholesale here.
[00:29:02.150 --> 00:29:03.451]  Well, exactly.
[00:29:03.831 --> 00:29:10.214]  And the really big issue I've got is the fact that this is interstate travel.
[00:29:10.274 --> 00:29:12.496]  This is not traveling outside of the country.
[00:29:12.516 --> 00:29:14.937]  And by the way, he has a legitimate valid passport.
[00:29:16.238 --> 00:29:17.378]  It has not been revoked.
[00:29:17.758 --> 00:29:23.782]  So one would think, you know, hey, if there was an issue, it should have been decided long ago.
[00:29:23.902 --> 00:29:30.405]  And despite the fact that he's in a tropical paradise, you know, what better place to get stuck in Hawaii?
[00:29:30.465 --> 00:29:31.306]  I mean, think about the
[00:29:32.306 --> 00:29:37.969]  You know, put yourself in that gentleman's place with really traveling light, limited funds, and he's stuck there.
[00:29:38.349 --> 00:29:39.570]  And he's, you know, you do.
[00:29:39.950 --> 00:29:46.413]  He actually has a, he's taking a picture, a cell phone video that he put up, and he's traveling basically with just a backpack.
[00:29:47.885 --> 00:29:49.566]  He wasn't expecting to be staying there.
[00:29:50.146 --> 00:30:06.871]  Yeah, listening to his video, he's had security clearance, he's been a merchant, a marine, he's been a civilian contractor with the Navy, like you said, he's had a concealed carry card with enhanced privileges, he's had the TSA vet him and give him a worker's card.
[00:30:07.191 --> 00:30:10.412]  I mean, he's a known person.
[00:30:10.432 --> 00:30:12.432]  He's a citizen, he doesn't have a criminal background.
[00:30:12.692 --> 00:30:14.433]  It's just amazing that they can do this to somebody.
[00:30:16.334 --> 00:30:22.439]  I, look, I was still looking, even today, I was still looking for something that would, in his background, that could possibly explain this.
[00:30:22.579 --> 00:30:33.508]  Again, kind of adhering to the normalcy bias, thinking, oh, you know, the government knowing that they're incompetent, trying to believe that perhaps incompetent as opposed to something nefarious reigns here.
[00:30:33.548 --> 00:30:36.630]  But I got to tell you, it doesn't appear that way.
[00:30:36.730 --> 00:30:40.874]  I have not been able to get anyone from the Department of Homeland Security or the TSA
[00:30:41.854 --> 00:30:50.136]  To respond to my inquiries, whether it's in DC or in Hawaii, it's just not, no one's talking about this.
[00:30:50.636 --> 00:30:51.316]  That's amazing.
[00:30:51.777 --> 00:30:55.157]  Well, we want to talk to Wade and see if there's been any developments today.
[00:30:55.337 --> 00:30:57.318]  Thank you so much for bringing this to our attention.
[00:30:57.878 --> 00:31:01.059]  And maybe if we can, maybe we can get them to respond if we make this public.
[00:31:01.739 --> 00:31:02.639]  That would be great.
[00:31:03.039 --> 00:31:03.239]  Yes.
[00:31:03.559 --> 00:31:03.879]  Thank you.
[00:31:04.420 --> 00:31:04.760]  Thank you.
[00:31:04.800 --> 00:31:08.521]  That's Douglas Hagman, Director of the Northeast Intelligence Network.
[00:31:08.561 --> 00:31:10.201]  He's the one who brought this case up to us.
[00:31:10.788 --> 00:31:15.832]  We also have on the line right now the person this is happening to, Wade Hicks Jr.
[00:31:16.833 --> 00:31:20.596]  The man who is stuck in Hawaii, halfway between the U.S.
