[00:00:01.465 --> 00:00:08.509]  This transmission is coming to you.
[00:04:30.251 --> 00:04:33.594]  Here, a baby bottle with the 7UP logo on it.
[00:04:33.914 --> 00:04:39.398]  We're gonna get into the history of the advertising of sodas to infants on the show here on the Alex Jones Show.
[00:04:39.858 --> 00:04:42.040]  Stay with us, we've got so much more straight ahead.
[00:04:42.080 --> 00:04:47.484]  All of that news, details, plus John Rappaport, our guest, right here on the Alex Jones Show.
[00:04:47.744 --> 00:04:48.925]  This is Mike Adams filling in.
[00:04:48.945 --> 00:04:51.907]  Stay with us, we'll be right back with all that and much more.
[00:05:01.206 --> 00:05:15.676]  You've heard Alex explain how the Silver Lungs Generator infuses the respiratory system with your self-produced colloidal silver solutions, yet many are unaware of the entire function of the Silver Lungs System and how it has been designed to deliver your silver solutions anywhere in or on the body.
[00:05:16.676 --> 00:05:20.339]  My name is Mario Cifaldi and I'm the developer of the Silver Lungs Generator.
[00:05:21.368 --> 00:05:33.380]  Not only does the Silver Lung System produce endless colloidal and ionic silver solutions, it also comes equipped with the proper applicators and devices needed to deliver your silver solutions directly to key target areas.
[00:05:34.120 --> 00:05:41.387]  This includes the eyes, ears, nose, lungs, topically to the skin, and orally for the digestive system.
[00:05:42.088 --> 00:05:51.676]  Be sure to watch our new 7-minute video tour of the Silver Lungs System at www.SilverLungs.com to learn more about how the Silver Lungs System works.
[00:05:52.456 --> 00:05:55.719]  As well, we are always ready to answer any questions you may have.
[00:05:56.379 --> 00:05:59.582]  That's www.SilverLungs.com.
[00:06:04.306 --> 00:06:08.249]  You are listening to an InfoWars.com Frontline Report.
[00:06:10.854 --> 00:06:14.819]  If you are receiving this transmission, you are the resistance.
[00:06:14.839 --> 00:06:15.459]  It is Sunday, April 22nd, 2012.
[00:06:15.499 --> 00:06:16.340]  This is the Alex Jones Show.
[00:06:16.360 --> 00:06:16.781]  Austin, Texas.
[00:06:16.801 --> 00:06:19.143]  Transmitting worldwide, it's Alex Jones.
[00:06:33.379 --> 00:06:35.020]  Yeah, yeah, this is the Alex Jones Show.
[00:06:35.040 --> 00:06:38.603]  Mike Adams filling in here from FEMA Region 6.
[00:06:38.923 --> 00:06:40.865]  As the bumper just said, that's absolutely true.
[00:06:40.905 --> 00:06:45.648]  Here in Austin, Texas, we've got an incredible show lined up for you today.
[00:06:45.808 --> 00:06:52.854]  Lots of news, breaking news on the DHS purchasing up to 450 million rounds of .40 caliber hollow point ammo.
[00:06:53.134 --> 00:06:57.237]  I know that story has already been covered, but we've got a new angle for you on that right here on the Alex Jones Show.
[00:06:57.957 --> 00:07:03.501]  Additional news about vaccines eating your baby's brains while doctors encourage you to ignore the symptoms.
[00:07:03.801 --> 00:07:04.742]  So let's get right into it.
[00:07:04.782 --> 00:07:14.348]  Let's start with the first issue right here, which is the Department of Homeland Security buying up enough ammo to wage a seven-year war against the American people.
[00:07:15.009 --> 00:07:17.670]  Several very important points you need to understand about this.
[00:07:18.071 --> 00:07:25.536]  Since this story broke about the ammo manufacturer ATK being awarded a contract by DHS to provide up to 450 million rounds of ammo,
[00:07:28.318 --> 00:07:29.499]  I've done some more research on this.
[00:07:29.959 --> 00:07:33.622]  I found some testimony of a Major General, Top Brass, in the U.S.
[00:07:33.663 --> 00:07:34.784]  military from 2004.
[00:07:36.045 --> 00:07:47.875]  I also spoke with some of my contacts who have been in the theater of war in the Middle East, and it turns out that even during Operation Iraqi Freedom, during an active war zone, active battle, U.S.
[00:07:47.935 --> 00:07:53.000]  troops, according to this testimony from a Top Major General in the U.S.
[00:07:53.040 --> 00:07:53.400]  military,
[00:07:54.621 --> 00:07:58.144]  Around 5.5 million rounds of ammo were fired each month.
[00:07:58.684 --> 00:08:00.105]  Now that's all kinds of rounds of ammo.
[00:08:00.145 --> 00:08:02.967]  That's pistol ammo, that's rifle ammo, and much more.
[00:08:04.195 --> 00:08:21.551]  Now, with the DHS purchasing 450 million rounds of .40 caliber hollow point ammo, that's enough ammunition, if you were to put that in the frame of about 5.5 million rounds a month, that's enough ammunition to wage a seven-year war just from the pistol ammo alone.
[00:08:21.931 --> 00:08:27.336]  Not to mention other contracts where they're purchasing, let's say, 5.56 ammo for rifles or .308 ammo or other battle ammo for rifles.
[00:08:30.819 --> 00:08:34.280]  Which there are other contracts out there to purchase all of that ammo as well.
[00:08:35.220 --> 00:08:36.420]  But here's the important point to know.
[00:08:37.121 --> 00:08:39.841]  The ammo that they have purchased is hollow point ammo.
[00:08:40.241 --> 00:08:45.102]  Now hollow point ammo, and I've actually brought a sample of this ammo in here just to show you.
[00:08:45.403 --> 00:08:48.323]  Now this is perfectly legal ammo that I just have, I have at home.
[00:08:48.783 --> 00:08:50.464]  This is a hollow, oh here we go.
[00:08:50.824 --> 00:08:54.405]  For those of you who are listening on the radio, you can see this on prisonplan.tv.
[00:08:54.825 --> 00:08:59.326]  This is a 40 caliber, here we go, 40 caliber hollow point round as you can see.
[00:09:00.186 --> 00:09:07.490]  It is hollow in the front of it here versus, let's say, a truncated tip or a full metal jacket tip here.
[00:09:07.810 --> 00:09:10.091]  These are both .40 caliber ammo rounds.
[00:09:10.611 --> 00:09:12.552]  One is a hollow point, one is truncated.
[00:09:13.013 --> 00:09:17.575]  The hollow point is designed, by the way, to cause more trauma.
[00:09:18.095 --> 00:09:36.958]  To cause the target of whoever you're shooting, which is why law enforcement chooses this ammo, or people choose it for self-defense, it causes the target to suffer more trauma, more bone breakage, more, excuse me, there we go, more, yeah, we've got some rifle rounds here to show you it by comparison.
[00:09:38.257 --> 00:09:41.959]  But this ammo is illegal under the Geneva Convention to use in war.
[00:09:42.359 --> 00:09:42.839]  Illegal!
[00:09:43.299 --> 00:09:46.081]  So you cannot use this outside the United States.
[00:09:46.421 --> 00:09:50.182]  The ammo must be used domestically in order for the U.S.
[00:09:51.383 --> 00:09:52.744]  to abide by the Geneva Convention.
[00:09:53.284 --> 00:09:56.025]  Now they might say, well, this is for training rounds.
[00:09:56.445 --> 00:09:57.386]  But that can't be true.
[00:09:57.486 --> 00:10:00.367]  Nobody buys hollow point for training rounds because they're too expensive.
[00:10:00.727 --> 00:10:02.008]  They're a lot more expensive.
[00:10:02.968 --> 00:10:10.270]  Just to show you some relative sizes here, this on your screen, if you're watching at PrisonPlan.TV, on the far right is a 9mm round.
[00:10:10.890 --> 00:10:12.150]  Next to that is a .40 caliber.
[00:10:12.350 --> 00:10:14.071]  Next to that is a .40 caliber hollow point.
[00:10:15.011 --> 00:10:19.632]  And to the left is a .223 Remington, or similar to a .556 military rifle round.
[00:10:19.932 --> 00:10:22.333]  Full metal jacket, which is legal under the Geneva Convention.
[00:10:22.373 --> 00:10:23.513]  It doesn't have a ballistic tip.
[00:10:23.953 --> 00:10:25.894]  And next to that, the largest one on your screen here is a .308.
[00:10:27.054 --> 00:10:31.859]  Which is used by snipers in the military, as well as other rounds, .338 Lapua and so on.
[00:10:32.479 --> 00:10:35.842]  The point is, the .40 caliber round has a very similar bullet diameter to the .308.
[00:10:37.084 --> 00:10:42.048]  So this is a round that is used by police to bring down bad guys very, very quickly.
[00:10:42.128 --> 00:10:44.010]  To shatter their pelvis, for example.
[00:10:44.050 --> 00:10:45.211]  To shatter their spine.
[00:10:45.451 --> 00:10:47.634]  This is actually taught in police training classes.
[00:10:48.194 --> 00:10:54.436]  If there's a bad guy that's killing innocent civilians in a scene, you shoot for their spine to bring them down.
[00:10:54.496 --> 00:11:01.778]  You shoot for their heart, their lungs, to cause massive bleed-out trauma to eliminate that threat as quickly as possible.
[00:11:01.878 --> 00:11:06.379]  Everybody out there who's law enforcement knows that what I'm saying is absolutely true in the way that you're trained.
[00:11:06.899 --> 00:11:07.840]  So the question remains...
[00:11:08.900 --> 00:11:21.790]  Why would the Department of Homeland Security want to buy 450 million rounds of this kind of ammo, which again is enough to wage a potentially a seven-year war on domestic soil against the American people?
[00:11:21.850 --> 00:11:23.832]  It's a very disturbing idea.
[00:11:24.472 --> 00:11:33.415]  Very concerning to me as someone who preaches the de-escalation of violence and the peaceful resolution of any kind of conflict or disagreement.
[00:11:33.855 --> 00:11:49.481]  I can only say that I hope that we can peacefully and diligently restore liberty, restore law and order in this republic before Department of Homeland Security gets an opportunity to use its bulletproof booths, the roadside checkpoint booths,
[00:11:49.921 --> 00:12:04.894]  It's new ammo, it's hollow point ammo, it's new assault vehicles that look like massive bulletproof, almost out of a comic book or something, cartoonishly overbuilt assault vehicles with Department of Homeland Security written right on the side.
[00:12:05.354 --> 00:12:08.317]  I'm very concerned about what the government is thinking.
[00:12:08.917 --> 00:12:10.318]  Why does it need to purchase this ammo?
[00:12:10.358 --> 00:12:11.719]  Why does it need these assault vehicles?
[00:12:11.799 --> 00:12:13.340]  Why does it need these bulletproof booths?
[00:12:13.780 --> 00:12:15.462]  What do they know that they're not telling us?
[00:12:15.842 --> 00:12:28.391]  Because remember, if you and I go out and buy, let's say, 5,000 rounds of that ammo, we might be called someone who's stockpiling, or someone who's hoarding ammo, or someone who's maybe even a potential domestic terrorist because we have ammunition.
[00:12:29.031 --> 00:12:33.673]  But when the government buys the ammunition, well, they're thinking of something.
[00:12:34.473 --> 00:12:35.353]  Something's got to be in their mind.
[00:12:35.433 --> 00:12:36.794]  I can't claim to know what that is.
[00:12:37.234 --> 00:12:38.694]  But that's the story I have for you today.
[00:12:38.734 --> 00:12:43.136]  That analysis, that story, is that posted on Infowars.com yet, guys?
[00:12:43.156 --> 00:12:45.997]  I know it's up on Natural News as of this morning.
[00:12:47.441 --> 00:12:49.784]  Okay, that should be up on InfoWars later today.
[00:12:50.685 --> 00:12:52.448]  We'll see how quickly that gets up there.
[00:12:52.488 --> 00:13:02.281]  Anyway, I want to show you that ammo because I think it's important for people to understand the difference for those of you who may not be familiar with hollow point versus full metal jacket.
[00:13:03.923 --> 00:13:07.466]  Moving on, because I don't want to focus on that disturbing story anymore.
[00:13:08.567 --> 00:13:11.148]  Not a good story for a Sunday, is it?
[00:13:11.489 --> 00:13:15.352]  By the way, I'm wearing the InfoWars May The Truth Be With You t-shirt.
[00:13:15.552 --> 00:13:16.632]  Oh, here we go.
[00:13:17.193 --> 00:13:17.673]  You can see it.
[00:13:18.414 --> 00:13:20.395]  What a beautiful gradient logo here.
[00:13:20.475 --> 00:13:22.117]  Obviously, it looks a little bit like Star Wars.
[00:13:22.737 --> 00:13:23.498]  I love this shirt.
[00:13:23.518 --> 00:13:25.659]  You can get these at the InfoWars.com store.
[00:13:25.699 --> 00:13:28.441]  It's one of the many shirts and DVDs that are available there.
[00:13:28.761 --> 00:13:30.863]  All of them help support this broadcast.
[00:13:30.883 --> 00:13:31.243]  There you go.
[00:13:31.283 --> 00:13:31.924]  InfoWars.
[00:13:32.344 --> 00:13:34.486]  May the truth be with you!
[00:13:36.127 --> 00:13:36.988]  Absolutely, yeah.
[00:13:37.488 --> 00:13:44.694]  One of the last remaining bastions of truth and strength in the alternative media today.
[00:13:45.294 --> 00:13:47.716]  Let's move right into vaccinations.
[00:13:48.597 --> 00:13:52.200]  We've got a couple minutes on that before the next break.
[00:13:52.280 --> 00:13:52.780]  Check this out.
[00:13:53.701 --> 00:13:57.062]  Remember when they said that vaccines don't cause seizures?
[00:13:57.782 --> 00:13:58.683]  They said that for years.
[00:13:59.103 --> 00:14:06.585]  Even while InfoWars and Natural News and other organizations were reporting, hey, wait a minute, these vaccines are causing babies to go into seizures.
[00:14:07.005 --> 00:14:07.966]  And some of them are dying.
[00:14:08.326 --> 00:14:11.247]  Some of the babies are ending up in the hospital in comas.
[00:14:11.587 --> 00:14:12.987]  Some of them end up paralyzed.
[00:14:13.307 --> 00:14:13.968]  This is fact.
[00:14:14.028 --> 00:14:15.048]  This is happening right now.
[00:14:15.448 --> 00:14:21.210]  Well, the vaccine industry and all of its paid-off doctors and vaccine pimps all said
[00:14:21.730 --> 00:14:23.811]  No, it's not possible.
[00:14:23.891 --> 00:14:25.691]  Those vaccines couldn't cause those seizures.
[00:14:26.072 --> 00:14:27.192]  It's just not possible.
[00:14:27.952 --> 00:14:30.873]  If it was, if they were causing that, we would know about it, they say.
[00:14:31.874 --> 00:14:41.017]  Well, it turns out, not only do they cause these seizures, but now the medical system admits that the seizures are being caused by the vaccines.
[00:14:41.337 --> 00:14:46.839]  And now they say you're supposed to ignore the seizures because that means the vaccines are working.
[00:14:47.619 --> 00:14:48.279]  Are you getting this?
[00:14:48.619 --> 00:14:49.560]  All right, first,
[00:14:50.400 --> 00:14:52.402]  There were no seizures caused by vaccines, they say.
[00:14:52.702 --> 00:15:00.708]  Now they say, oh yeah, there are vaccines, but the vaccines are good for your baby, the seizures are good for your baby, because they show the vaccines are working.
[00:15:01.248 --> 00:15:05.492]  Now they say, you're supposed to have, you're supposed to show these five
[00:15:06.732 --> 00:15:06.993]  S's.
[00:15:07.073 --> 00:15:23.903]  When your baby is suffering from a seizure and the brain is being eaten by the mercury and the formaldehyde and the other chemicals in this vaccine, as your child is suffering and their neurology is going haywire, they're actually burning out their brain, you're supposed to do these five S's as a parent.
[00:15:24.183 --> 00:15:25.144]  The five S's.
[00:15:25.504 --> 00:15:31.988]  They are, believe it or not, swaddling, side position, shushing, swinging, and sucking.
[00:15:33.569 --> 00:15:40.355]  Sounds like a bad weekend in Vegas to me, but that's what they're telling parents to do to their babies when they're suffering from a vaccine seizure.
[00:15:40.695 --> 00:15:41.195]  It's true.
[00:15:41.215 --> 00:15:43.317]  We'll have more details on that.
[00:15:43.918 --> 00:15:46.780]  Plus, another death of a baby after nine vaccines in one day.
[00:15:46.820 --> 00:15:49.222]  All that and much more right here on the Alex Jones Show.
[00:15:49.242 --> 00:15:49.723]  Stay with us.
[00:15:49.783 --> 00:15:51.264]  We'll be right back with much more.
[00:16:01.215 --> 00:16:04.837]  Right now, the average family spends one-fourth of their income on food.
[00:16:05.037 --> 00:16:10.801]  It's time to cut your food budget in half by using the best, most affordable food on the planet from eFoods Direct.
[00:16:10.961 --> 00:16:14.163]  The savings from eating this food will actually help you pay your other bills.
[00:16:14.483 --> 00:16:22.288]  Serve these delicious meals to your family tonight for a quick and easy dinner for about $1.25 a serving, compared to over $3 a serving for any other food.
[00:16:22.448 --> 00:16:29.192]  This food is compact, making it easy to store some away, and will be just as delicious in 25 years as the ones you cook tonight.
[00:16:29.532 --> 00:16:30.252]  Is it affordable?
[00:16:30.573 --> 00:16:31.273]  Absolutely!
[00:16:31.533 --> 00:16:36.475]  The new Alex Jones Family Pack saves you up to 50% compared to other food storage companies.
[00:16:36.735 --> 00:16:41.217]  See the comparison at efoodsdirect.com forward slash Alex or call 800-409-5633.
[00:16:43.238 --> 00:16:47.860]  My friends, as crazy as this world is today, you'd be nuts to not get a storable food supply.
[00:16:48.180 --> 00:16:52.762]  Give efoods direct a call and order one of the Alex Jones Family Packs and test it out today.
[00:16:53.042 --> 00:16:56.203]  Start your journey of food independence today at efoodsdirect.com
[00:16:56.243 --> 00:16:56.645]  Or call 800-409-5633.
[00:17:01.585 --> 00:17:02.606]  I had tried everything.
[00:17:02.666 --> 00:17:04.788]  I'd cut back the amount of food I was eating.
[00:17:05.008 --> 00:17:07.710]  I was lifting weights and jogging, but nothing was working.
[00:17:08.150 --> 00:17:12.613]  My body was literally starving for minerals and trace elements, as well as key vitamins.
[00:17:12.974 --> 00:17:19.358]  And as soon as I had that, I immediately could eat half of what I was eating previously and be satisfied.
[00:17:19.839 --> 00:17:30.287]  Now, there are hundreds of great products at Infowarsteam.com, but I want to point out the three that have helped me lose 37 pounds in just two months.
[00:17:31.027 --> 00:17:35.169]  Products like Beyond Tangy Tangerine, Pollen Burst, and Rebound.
[00:17:35.509 --> 00:17:41.531]  When I started taking the Tangy Tangerine and other products every day, I lost more than 37 pounds in just two months.
[00:17:41.771 --> 00:17:42.911]  Now that's results.
[00:17:43.332 --> 00:17:49.754]  I want to challenge my listeners to go to Infowarsteam.com and to order just three of their products.
[00:17:50.134 --> 00:17:55.376]  And you will see the changes in the way you look, feel, and in your appetite almost immediately.
[00:17:55.836 --> 00:17:58.097]  Start your journey to health and wellness today.
[00:17:58.397 --> 00:17:59.658]  Infowarsteam.com
[00:18:01.513 --> 00:18:06.896]  When you're out on the road, the last place you want to be is on the road.
[00:18:08.176 --> 00:18:12.918]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[00:18:13.319 --> 00:18:20.102]  There's a place down in Tennessee where they make blue diamond gusset jeans.
[00:18:22.023 --> 00:18:24.324]  They sew pride in every stitch.
[00:18:26.105 --> 00:18:28.386]  Guarantee you'll love the way they fit.
[00:18:30.527 --> 00:18:34.389]  They put a Diamond Gusset in the crotch where you need it most.
[00:18:35.109 --> 00:18:38.230]  Blue Diamond Gussets got it.
[00:18:38.951 --> 00:18:39.771]  Others don't.
[00:18:40.191 --> 00:18:42.072]  We turn jeans inside out.
[00:18:42.332 --> 00:18:43.833]  Diamond Gusset Jeans.
[00:18:44.113 --> 00:18:46.674]  Made in the USA with unparalleled quality.
[00:18:46.994 --> 00:18:51.056]  Our Defender Motorcycle Jeans combine Gusset comfort with Kevlar protection.
[00:18:51.236 --> 00:18:53.257]  So you can ride all day with confidence.
[00:18:53.617 --> 00:18:55.838]  Order yours at gusset.com.
[00:18:56.338 --> 00:18:58.359]  Diamond Gusset Jeans got it.
[00:18:58.699 --> 00:18:59.560]  Others don't.
[00:19:02.859 --> 00:19:10.526]  If you want an American company with American products made by Americans, here is the Cal Ben Soap Company.
[00:19:10.966 --> 00:19:14.590]  Alex and his staff have used these pure soap products for years.
[00:19:15.030 --> 00:19:21.856]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[00:19:22.356 --> 00:19:25.159]  See them on the web at 5starsoap.com.
[00:19:25.379 --> 00:19:29.862]  Or call 800-340-7091 for a free catalog.
[00:19:30.203 --> 00:19:35.867]  Buy the 1 to 2 month sample package and enjoy soaps that are twice as good as what you're using now.
[00:19:36.147 --> 00:19:41.251]  Or save big with a 1 to 2 year supply of soaps for all your cleaning needs.
[00:19:41.551 --> 00:19:43.173]  This is an amazing deal.
[00:19:43.533 --> 00:19:48.136]  You can save thousands of dollars and you will love the way Real Soap makes you feel.
[00:19:48.777 --> 00:19:51.239]  See them on the web at 5starsoap.com
[00:19:51.799 --> 00:19:56.421]  Or call 800-340-7091 for a free catalog.
[00:20:02.043 --> 00:20:03.223]  Coast to Coast.
[00:20:03.584 --> 00:20:04.924]  Direct from Austin.
[00:20:05.644 --> 00:20:08.846]  You're listening to the Alex Jones Broadcasting Network.
[00:20:18.058 --> 00:20:28.931]  We now take you live to the Central Texas Command Center, in the heart of the resistance, rallying patriots worldwide.
[00:20:33.176 --> 00:20:35.799]  You're listening to the Alex Jones Show.
[00:20:40.643 --> 00:20:43.304]  Yeah, we're back here on April 22nd, a Sunday.
[00:20:43.324 --> 00:20:51.126]  I hope you're enjoying your weekend as we move through 2012, the year that many people think something is up, something interesting is going to happen.
[00:20:51.586 --> 00:20:53.867]  I tell you, every day something interesting happens.
[00:20:54.067 --> 00:21:00.589]  Just looking at the news, I'm sure if you follow the Alex Jones Show and InfoWars.com, you're seeing a lot of interesting things happening.
[00:21:00.909 --> 00:21:05.510]  We just covered this DHS purchase of 450 million rounds of hollow point ammo.
[00:21:06.070 --> 00:21:07.110]  You gotta wonder what that's for.
[00:21:07.551 --> 00:21:17.074]  Now we've been moving on to the vaccination story where doctors are now telling parents to ignore the symptoms of seizure when their babies have seizures after receiving vaccines.
[00:21:17.134 --> 00:21:18.394]  Now they say that's good for your baby.
[00:21:18.914 --> 00:21:22.355]  Doctors are also saying you should drug your baby before they receive a vaccine.
[00:21:22.776 --> 00:21:30.118]  Give them painkiller drugs so that they don't show symptoms of feeling the pain and you should put them to sleep.
[00:21:30.678 --> 00:21:39.301]  Let them sleep and use these five S's technique that we talked about before the break and just let your baby just get their brain eaten away basically.
[00:21:39.321 --> 00:21:44.423]  I hope you realize how astonishing this is that in civilization today...
[00:21:45.529 --> 00:21:53.194]  The medical establishment is so wedded, so invested in their vaccine mythology that vaccines are good for you.
[00:21:53.234 --> 00:21:58.217]  It's like essential nutrition that your immune system couldn't even work without these vaccines.
[00:21:58.478 --> 00:22:09.645]  They're so invested in that idea that even as it comes out that vaccines are killing babies and causing seizures and maiming children and hurting even many teenagers and adults and senior citizens as well.
[00:22:10.085 --> 00:22:14.989]  Even as that news comes out, they have to now spin it and say, well, that's good for the baby.
[00:22:15.569 --> 00:22:16.430]  Remember that news clip?
[00:22:16.450 --> 00:22:25.356]  It's been played here on InfoWars many times about, I don't know if it was a local TV news affiliate that said the mercury in vaccines is good for your baby.
[00:22:25.677 --> 00:22:27.618]  Mercury makes the vaccines work better.
[00:22:28.439 --> 00:22:28.959]  Oh yeah!
[00:22:29.479 --> 00:22:30.740]  Yeah, inject a little mercury.
[00:22:30.760 --> 00:22:32.302]  It's actually very, very good for you.
[00:22:32.642 --> 00:22:39.207]  Anyway, at the bottom of the hour here, coming up in about 10 minutes or so, we're going to be joined by John Rappaport from nomorefakenews.com.
[00:22:39.227 --> 00:22:43.450]  He'll be giving us a little more detail about what this vaccination information means.
[00:22:43.470 --> 00:22:44.731]  So we'll come back to that story
[00:22:45.213 --> 00:22:45.638]  Moving on!
[00:22:46.724 --> 00:22:47.504]  I wanted to cover this.
[00:22:47.744 --> 00:22:57.147]  The Hunger Games has been a very popular movie out there, and as I hinted earlier, I've gone ahead and read the following two books called Catching Fire and Mockingjay.
[00:22:57.527 --> 00:22:58.987]  These are books by Suzanne Collins.
[00:22:59.007 --> 00:23:14.451]  They're actually written for more of a younger audience, but they've become kind of a big popular movement to go watch this movie, even among people who are into patriotism and into freedom and into questioning their governments when those governments become tyrannical.
[00:23:15.311 --> 00:23:19.315]  And there's been a lot of speculation about what kind of person is Suzanne Collins?
[00:23:19.375 --> 00:23:23.500]  Is she saying we should be in favor of liberty?
[00:23:24.140 --> 00:23:26.403]  What's the message, the hidden message in the book?
[00:23:27.044 --> 00:23:32.850]  Well, it turns out that after going through these two books, it's very clear, her position.
[00:23:33.110 --> 00:23:37.635]  In the two books following the movie The Hunger Games, and there's a slight spoiler in here,
[00:23:39.085 --> 00:23:46.230]  The rebels from the districts, and it turns out there are 13 districts, not just 12, they do overthrow their corrupt government.
[00:23:46.571 --> 00:24:03.023]  The Capitol gets completely overthrown, and the president, Snow, who was played by Sutherland, Donald Sutherland, in the Hunger Games, he is... well, he actually dies as he's about to be killed in the overthrow of the government.
[00:24:03.903 --> 00:24:06.105]  And there are some very important messages in this.
[00:24:06.185 --> 00:24:10.948]  Suzanne Collins, she talks about the districts forming a republic.
[00:24:11.548 --> 00:24:15.411]  So when they overthrow the Capitol, their idea is to have a representative form of government.
[00:24:16.231 --> 00:24:21.755]  In the commentary about her book, she also talks about the three things that are common in
[00:24:22.715 --> 00:24:26.578]  In mythology, throughout history, that led her to write this film.
[00:24:26.918 --> 00:24:28.800]  And that is number one, ruthless government.
[00:24:29.380 --> 00:24:32.182]  And she refers to Rome as another example of that.
[00:24:32.583 --> 00:24:40.569]  In fact, she refers to Spartacus, and she says Spartacus is reflected in the Katniss Everdeen character that is the star of the Hunger Games.
[00:24:41.129 --> 00:24:48.775]  She also talks about the Roman gladiator games, and she specifically uses the phrase bread and circuses in the third book of the Hunger Games.
[00:24:49.555 --> 00:24:58.044]  And she talks about how Spartacus started an uprising and then challenged the corrupt government there to work to bring liberty to the people.
