[00:00:00.277 --> 00:00:02.339]  I'm David Knight for the Infowars Nightly News.
[00:03:37.472 --> 00:03:38.232]  A Yoda-byte.
[00:03:39.033 --> 00:03:39.873]  Not that kind of Yoda.
[00:03:40.774 --> 00:03:42.515]  A trillion terabytes.
[00:03:44.375 --> 00:04:01.302]  It will capture all forms of communication, including the complete contents of private emails, cell phone calls, and internet searches, as well as all sorts of personal data trails, parking receipts, travel itineraries, bookstore purchases, and other digital pocket litter.
[00:04:01.682 --> 00:04:04.243]  Well, all of our liberties are under constant attack.
[00:04:05.023 --> 00:04:09.805]  Many are dead, but even the dead ones can be revived, and people are beginning to wake up.
[00:04:10.066 --> 00:04:10.866]  If they want to watch us,
[00:04:11.812 --> 00:04:13.013]  We're gonna watch them back.
[00:04:13.513 --> 00:04:20.158]  Authoritarian attempts to prosecute citizens for filming police doing their job in public have consistently been shot down by the courts.
[00:04:20.898 --> 00:04:24.380]  They even tried to sentence one man to multiple 15-year sentences.
[00:04:24.761 --> 00:04:32.806]  Attempts to censor the Internet, SOPA, PIPA, ACTA, even a recent UN treaty have been beaten back by public resistance.
[00:04:33.723 --> 00:04:37.908]  But they will continue to attack and we must continue to defend our internet freedom.
[00:04:38.249 --> 00:04:44.777]  A major blow was dealt to the war on drugs and a prohibition this year with the legalization of marijuana in Colorado and Washington.
[00:04:45.445 --> 00:04:50.828]  Even more importantly, the measures are state nullification of federal unconstitutional laws.
[00:04:51.309 --> 00:04:59.234]  And in other acts of defiance of federal unconstitutional laws, both the states of Virginia and Michigan passed anti-NDAA bills this year.
[00:04:59.454 --> 00:05:06.238]  Bills in Texas will come up in 2013 to nullify both the NDAA and TSA sexual assaults.
[00:05:07.791 --> 00:05:14.513]  And pastors who've been tranquilized and silenced for 60 years by IRS rules woke up en masse this year.
[00:05:14.834 --> 00:05:25.177]  Over 1,500 pastors defied unconstitutional laws restricting free speech by violating IRS gag rules, audiotaping their violations, and sending them to the IRS.
[00:05:25.517 --> 00:05:29.919]  But the key fight this year is going to be the right of the people to keep and bear arms.
[00:05:30.990 --> 00:05:34.371]  People from potheads to pastors are waking up to federal tyranny.
[00:05:34.591 --> 00:05:52.059]  Will we be able to convince liberals that a government that violates every one of our recognized civil liberties, a government that wants to track every detail of your life, a government that wants to deny legal protections that have stood against tyranny for centuries, can we convince civil libertarians that this government cannot be trusted with a monopoly of force?
[00:05:52.959 --> 00:05:58.001]  Will we stand up en masse to declare that the Second Amendment is the line in the sand?
[00:05:58.841 --> 00:06:00.042]  We'll find out this year.
[00:06:00.859 --> 00:06:03.391]  I'm David Knight for the InfoWars Nightly News.
