[00:00:00.129 --> 00:00:02.313]  Coast, direct from Austin.
[00:01:35.621 --> 00:01:36.442]  Why haven't you covered this?
[00:01:36.482 --> 00:01:37.102]  Well, I didn't know.
[00:01:37.162 --> 00:01:37.743]  Thanks for telling me.
[00:01:39.187 --> 00:01:44.068]  So, you know, I'm all work and no play, so that makes Jack a pretty irritable boy.
[00:01:44.088 --> 00:01:46.828]  I don't really think it makes me dull, but I'm trying my best here.
[00:01:46.888 --> 00:01:51.329]  So again, thank you all for joining us on this Sunday transmission.
[00:01:52.029 --> 00:01:56.390]  Last week, we saw a federal judge reinstate under an emergency request of the U.S.
[00:01:56.630 --> 00:01:57.250]  military.
[00:01:57.631 --> 00:01:58.431]  That means Obama.
[00:01:59.411 --> 00:02:02.451]  He runs them to reinstate the secret arrest of U.S.
[00:02:02.471 --> 00:02:02.892]  citizens.
[00:02:02.932 --> 00:02:04.292]  I thought I'd cover this right now.
[00:02:05.592 --> 00:02:09.156]  Federal judge reinstates unconstitutional NDAA.
[00:02:10.277 --> 00:02:18.727]  Earlier this week, a federal judge in New York, Raymond Lowyer, granted the Obama administration, that means globalist operatives, an emergency stay.
[00:02:18.747 --> 00:02:21.210]  The temporary blocks a ruling by U.S.
[00:02:21.250 --> 00:02:21.830]  District Judge
[00:02:22.915 --> 00:02:26.537]  Kathleen Forrest last week blocking the NDAA.
[00:02:27.218 --> 00:02:30.120]  Lawyer offered no explanation or rationale for the temporary stay.
[00:02:30.160 --> 00:02:35.543]  However, the Justice Department has asked that appeals court to block the injunction Politico reported last night.
[00:02:36.203 --> 00:02:40.186]  The Obama administration characterized the ruling by Forrest as unconstitutional.
[00:02:41.559 --> 00:02:42.239]  Isn't that nice?
[00:02:42.319 --> 00:02:44.920]  It's unconstitutional to say you can't secretly be arrested.
[00:02:45.380 --> 00:02:54.101]  The Justice Department said the ruling was unprecedented and argued that the executive has the right under the Constitution to deny anyone indefinitely to detain anyone.
[00:02:54.141 --> 00:02:54.761]  Let me say this again.
[00:02:55.161 --> 00:02:58.342]  The Justice Department said that the ruling was unprecedented.
[00:02:59.482 --> 00:03:00.062]  We're Hitler!
[00:03:00.122 --> 00:03:00.602]  Woohoo!
[00:03:01.102 --> 00:03:08.424]  And argued that the executive has the right under the Constitution to detain anyone indefinitely without due process.
[00:03:08.844 --> 00:03:09.404]  Permanently.
[00:03:10.592 --> 00:03:11.834]  Taken away forever.
[00:03:12.955 --> 00:03:13.917]  Off with their heads.
[00:03:14.257 --> 00:03:15.659]  That's what America's about.
[00:03:17.682 --> 00:03:20.546]  The Fifth Amendment specifically mentions due process of law.
[00:03:21.482 --> 00:03:22.302]  Yeah, habeas corpus.
[00:03:22.702 --> 00:03:30.244]  The NAA also violates the Equal Protection Clause of the 14th Amendment, stating that all people be treated the same under law.
[00:03:30.684 --> 00:03:44.908]  The federal government argues the National Defense Authorization Act did not expand its authority beyond what already existed under the 2001 Authorization for Military Force, as interpreted by judges in Guantanamo Bay habeas corpus cases.
[00:03:45.468 --> 00:03:48.249]  Of the judges, the military appoints at a torture camp.
[00:03:49.286 --> 00:03:57.369]  This pernicious law poses one of the greatest threats to civil liberties in our nation's history, writes Brian T. Troutman.
[00:03:58.289 --> 00:04:12.495]  Under the AUMF, this law can be used by authorities to detain forever anyone the government considers a threat to national security and stability, potentially even demonstrators and protesters exercising their First Amendment rights.
[00:04:12.535 --> 00:04:13.935]  And as we go to break, I'll say this.
[00:04:14.555 --> 00:04:18.257]  What was in the news two weeks ago at the Democratic National Conviction?
[00:04:19.656 --> 00:04:43.686]  Peaceful demonstrators were arrested driving cars to get out of them and go protest and held and the feds said to the judges please hold them indefinitely because protesting is quote low-level terrorism and they presented the judge not a Department of Justice but a Department of Defense operating domestically
[00:04:44.668 --> 00:04:51.190]  Anybody knows third world countries and dictatorships of the military operating domestically, that the military wanted these citizens held.
[00:04:52.071 --> 00:04:55.332]  Ladies and gentlemen, the NSA is already spying on you.
[00:04:55.372 --> 00:04:56.552]  We already live in glass houses.
[00:04:56.952 --> 00:05:00.353]  They're already putting cancer viruses in our vaccines and fluoride in our water.
[00:05:00.914 --> 00:05:02.754]  And now they say they want to disappear us.
[00:05:03.474 --> 00:05:10.297]  All I say is thank God for the Second Amendment to defend ourselves defensively if these tyrants try to round us all up.
[00:05:13.547 --> 00:05:18.789]  Sick of the globalist eugenicist control freaks adding poison to your water and laughing as you get sick and die?
[00:05:19.049 --> 00:05:21.269]  Start purifying your water with ProPure.
[00:05:21.449 --> 00:05:30.412]  My friends, I've done a lot of research and the best gravity filter out there bar none is ProPure and it's available discounted at infowars.com.
[00:05:30.552 --> 00:05:33.773]  Its filters are silver impregnated to prevent bacterial growth.
[00:05:34.013 --> 00:05:35.453]  There's no priming required.
[00:05:35.693 --> 00:05:37.734]  It's NSF 42 certified.
[00:05:37.934 --> 00:05:40.455]  Optional fluoride filters can reduce fluoride up to 95%
[00:05:41.535 --> 00:05:42.956]  Easy to set up and use.
[00:05:43.056 --> 00:05:44.357]  Doesn't require electricity.
[00:05:44.497 --> 00:05:47.358]  Purify water from lakes, streams, ponds, and wells.
[00:05:47.638 --> 00:05:50.820]  This filter system leaves in beneficial minerals, which is key.
[00:05:51.020 --> 00:05:52.801]  Save money by not buying bottled water.
[00:05:52.941 --> 00:05:55.022]  And avoid BPA that leaches from the plastic.
[00:05:55.162 --> 00:05:57.763]  ProPure is the best gravity-fed filter out there.
[00:05:57.903 --> 00:05:59.284]  It's what my family uses.
[00:05:59.484 --> 00:06:02.706]  Infowars.com already has the lowest price on ProPure.
[00:06:02.806 --> 00:06:08.408]  But if you add the promo code WATER at checkout, you get an additional 10% off at Infowars.com.
[00:06:08.628 --> 00:06:09.769]  You can also call to order.
[00:06:10.510 --> 00:06:10.771]  888-253-3139.
[00:06:10.851 --> 00:06:15.821]  He's the T-Rex of political talk.
[00:06:16.402 --> 00:06:19.208]  Alex Jones on the GCN Radio Network.
[00:06:34.298 --> 00:06:38.040]  Well, former Minnesota Governor Jesse Ventura is our guest.
[00:06:38.100 --> 00:06:40.842]  Of course, number one New York Times bestseller as well.
[00:06:40.882 --> 00:06:43.364]  His new book, I think, is one of the best I've ever read.
[00:06:43.384 --> 00:06:45.385]  Democrats and Republicans.
[00:06:45.886 --> 00:06:47.146]  No more gangs in government.
[00:06:47.166 --> 00:06:49.168]  We're going to be breaking that down first today.
[00:06:49.188 --> 00:06:50.809]  Then we're going to talk about the good news.
[00:06:51.369 --> 00:06:59.094]  That's right, they announced last week we had Tyrell, his son, on as one of the producers of the show and one of the stars of the third season with Sean Stone, Oliver Stone's son.
[00:06:59.394 --> 00:07:00.675]  They're finally going to air it.
[00:07:00.775 --> 00:07:01.636]  I thought they weren't.
[00:07:02.256 --> 00:07:05.397]  After, you know, blocking it airing for about eight, nine months.
[00:07:05.417 --> 00:07:06.677]  So we'll talk about that.
[00:07:06.717 --> 00:07:09.938]  We'll talk about Al-Syaida being put in in Libya and Syria.
[00:07:09.958 --> 00:07:13.558]  Now we've got to invade because they're blowing up our embassies and killing people.
[00:07:14.658 --> 00:07:19.459]  And then we'll also get into his take on the new world order being announced openly.
[00:07:19.479 --> 00:07:24.840]  We're going to play some clips from the news saying that and get his take on 2012 and all this hubbub.
[00:07:25.300 --> 00:07:25.501]  All right.
[00:07:25.561 --> 00:07:27.181]  Continuing, though, I want to get in.
[00:07:28.361 --> 00:07:28.762]  I think?
[00:07:49.459 --> 00:07:51.921]  Unnamed military officials.
[00:07:52.461 --> 00:08:04.950]  Ambassador Chris Stevens and three other Americans were killed on Tuesday after the diplomatic facility in Benghazi was attacked by an armed mob angry over a U.S.
[00:08:05.010 --> 00:08:10.253]  production film that is said to be insulting to Islam's prophet Muhammad.
[00:08:10.454 --> 00:08:11.414]  Now think about that.
[00:08:11.755 --> 00:08:18.079]  And then this film looks like a total and complete shy-op at every single level.
[00:08:18.599 --> 00:08:25.163]  Continuing, consulate attack NATO, Stooges now ludicrously point finger at Qaddafi loyalists.
[00:08:25.583 --> 00:08:30.085]  Lame attempt to shift blame away from US-backed extremists.
[00:08:30.505 --> 00:08:34.908]  So now they're trying to claim that these are groups loyal to Qaddafi or that it's Iranians.
[00:08:35.248 --> 00:08:38.670]  It's admitted Wahhabist Al-Qaeda that's been doing this.
[00:08:39.010 --> 00:08:45.073]  I mean, that's even admitted in the British press and the German press and other outfits.
[00:08:45.253 --> 00:08:46.494]  This is not debatable.
[00:08:46.914 --> 00:08:49.056]  This is not debatable, what's going on.
[00:08:49.416 --> 00:08:55.181]  But we now have Governor Ventura getting into his new book, Demo Cribs and Reblublicans.
[00:08:55.502 --> 00:08:56.483]  Gov, good to have you with us.
[00:08:57.063 --> 00:08:58.564]  Hi Alex, always a pleasure.
[00:08:59.065 --> 00:09:01.347]  It's just good to have you here now, it's good to hear your voice.
[00:09:01.687 --> 00:09:05.010]  Wow, I tell you, your book couldn't come out at a better time.
[00:09:05.050 --> 00:09:09.034]  Tell us, I mean I've read it, it's an excellent book, but tell us why you wrote this new bestseller.
[00:09:09.716 --> 00:09:17.302]  Well, I wrote it because I want people to understand that we have a completely broken system created by the Democrats and Republicans.
[00:09:18.202 --> 00:09:20.804]  It's a system based completely on bribery.
[00:09:21.705 --> 00:09:25.087]  If you do bribery in the private sector, of course you go to jail.
[00:09:25.688 --> 00:09:29.891]  But it's alive and well in our political arena because that's how it works.
[00:09:29.991 --> 00:09:35.294]  If you don't grease the palm of the Congressman or Senator, you're not going to get an audience with them.
[00:09:35.355 --> 00:09:38.597]  It's how money talks and you know what else works.
[00:09:38.937 --> 00:09:47.090]  Well, you're right about that, and it's becoming more and more evident that Romney and Obama are bought and paid for by the same interests.
[00:09:47.110 --> 00:09:54.081]  So, where do you see it going once one of these stooges gets back in and the globalists just continue this takeover?
[00:09:54.381 --> 00:09:56.282]  Well, I think it'll just continue on.
[00:09:56.322 --> 00:09:57.263]  That's the thing, you know.
[00:09:58.083 --> 00:10:02.726]  They always like to tell you if you vote for a third-party candidate, you're wasting your vote.
[00:10:02.746 --> 00:10:03.787]  You've heard that, Alex?
[00:10:03.927 --> 00:10:04.187]  Yes.
[00:10:04.447 --> 00:10:10.551]  Well, I'd like to reverse that and say that if you vote for a Democrat or Republican, you're wasting your vote.
[00:10:11.011 --> 00:10:13.192]  Because you're going to get the same government.
[00:10:13.292 --> 00:10:15.113]  It does not matter with these two.
[00:10:15.574 --> 00:10:17.855]  As you stated, they're both bought and paid for.
[00:10:17.895 --> 00:10:24.259]  If you go to their two conventions, you'll see the same lobbyists there with trunks full of money, paying them all off.
[00:10:24.979 --> 00:10:29.842]  And so it makes no difference who wins, because we will have the same policies.
[00:10:30.382 --> 00:10:35.545]  And I fully expect, as soon as the election's over, that within a year or so, we're going to be at war in Iran.
[00:10:35.985 --> 00:10:59.501]  Let's get into that right now, because we were talking before we went on air about the fact that they admittedly put Al Qaeda in Libya and Syria, NATO's funding them, and then the Wahhabis shoot up and kill the ambassador, they're attacking our embassies, and now they're dispatching marines and warships and predator drones to deal with the Saudi Arabian jihadis our government put in there.
[00:10:59.521 --> 00:11:02.243]  I mean, this is even crazy for the New World Order!
[00:11:02.623 --> 00:11:07.489]  Well, you know, everyone likes to hold Ronald Reagan up on that pillar.
[00:11:08.089 --> 00:11:09.851]  And let's go back to Ronald Reagan.
[00:11:09.871 --> 00:11:14.897]  You remember when the Marines were attacked in Lebanon that time and they killed at the barracks?
[00:11:14.937 --> 00:11:16.479]  They killed like 200 of them?
[00:11:16.519 --> 00:11:16.759]  Yes.
[00:11:17.700 --> 00:11:19.561]  Did Ronald Reagan start a war?
[00:11:20.041 --> 00:11:21.242]  Absolutely not.
[00:11:21.282 --> 00:11:22.683]  He got the hell out of there.
[00:11:23.083 --> 00:11:25.404]  And that's my view on this.
[00:11:25.724 --> 00:11:28.806]  If these countries don't want us there, then let's leave.
[00:11:29.126 --> 00:11:31.267]  And let's leave with our foreign aid.
[00:11:31.947 --> 00:11:34.789]  I can't believe today, and there's where I stand with Ron Paul.
[00:11:35.109 --> 00:11:41.693]  We need to cut off foreign aid to any foreign country and we need to do it for not only
[00:11:53.340 --> 00:12:01.743]  But as you covered in your TV show with the Wall Street Insiders, they're just loaning us fiat made up digits, so why not get us in more debt?
[00:12:01.763 --> 00:12:04.363]  The big mega banks, they stand to gain by countries being in debt.
[00:12:22.569 --> 00:12:29.411]  Oh yeah, but I mean, as far as on a political front, if I became president, there would be no foreign aid.
[00:12:30.131 --> 00:12:35.853]  I would close every international base and bring all our troops home.
[00:12:36.253 --> 00:12:42.935]  And I would have courage enough to carve into that defense budget because it is so beloaded.
[00:12:43.235 --> 00:12:51.057]  You notice that when they talk about cutting government and cutting government spending, it's never the defense budget, is it?
[00:12:51.497 --> 00:12:53.818]  And how many countries do we have troops in?
[00:12:53.838 --> 00:12:54.918]  It's like 165.
[00:12:55.318 --> 00:12:56.719]  Yeah, it's absurd.
[00:12:56.779 --> 00:12:59.119]  We're an empire and every empire fails.
[00:12:59.759 --> 00:13:07.682]  I mean, you'd think somebody would read the history of the Roman Empire and realize, wait a minute, we're going right down that path ourselves and there's no difference to it.
[00:13:08.122 --> 00:13:09.963]  Why is it going to be any different now?
[00:13:10.363 --> 00:13:10.763]  You're right.
[00:13:10.783 --> 00:13:16.184]  If these countries don't want us there, these Muslim countries, then let's get the hell out of there.
[00:13:16.665 --> 00:13:17.505]  But see, that's just it.
[00:13:18.586 --> 00:13:21.551]  We're there because our corporations want to be there.
[00:13:22.390 --> 00:13:25.771]  And the corporations run the United States of America now.
[00:13:26.171 --> 00:13:31.373]  It ain't the politicians that call the shots, it's corporate board heads that do it.
[00:13:31.653 --> 00:13:47.238]  And it's total corporate welfare that multinational corporations give paltry sums of money to politicians and then they commit our money, our treasure, our blood, our young men and women to go into these countries and then antagonize all these people.
[00:13:47.858 --> 00:13:50.559]  It's just amazing and we're paying for all of it.
[00:13:50.899 --> 00:13:52.961]  You know what's in my book, Alex?
[00:13:53.081 --> 00:13:54.382]  I'll run it in a second.
[00:13:54.402 --> 00:13:54.943]  Look at this.
[00:13:55.403 --> 00:14:02.529]  Did you know that most of the big multinational corporations spend more money on lobbyists than they pay in taxes?
[00:14:02.790 --> 00:14:03.110]  Yes.
[00:14:04.011 --> 00:14:05.552]  Isn't that an outrage?
[00:14:06.112 --> 00:14:16.782]  They spend more money on lobbying and getting our elected officials into their back pocket than what they do paying taxes to our government to run it.
[00:14:17.851 --> 00:14:20.894]  We pay the taxes and they make the decisions.
[00:14:22.175 --> 00:14:23.396]  What do you see happening?
[00:14:23.416 --> 00:14:33.144]  I mean, I understand it's rearranging deck chairs on the Titanic, but it looks to me like Romney is probably going to end up getting in there.
[00:14:33.184 --> 00:14:34.385]  What's your take on that statement?
[00:14:34.765 --> 00:14:35.546]  I don't think so.
[00:14:35.566 --> 00:14:37.547]  Not after the blunder he made today.
[00:14:38.188 --> 00:14:40.550]  The latest polls now have Obama at 50 to 43.
[00:14:42.927 --> 00:14:43.728]  I did see that.
[00:14:43.768 --> 00:14:51.737]  Because Romney turned it political and attacked Obama when this tragedy happened over in Libya and all that stuff.
[00:14:52.138 --> 00:14:55.381]  Where they should have worked to bring the country together.
[00:14:56.292 --> 00:15:03.137]  And instead, Romney went ahead and drove the axe through the divide and he blamed it all on Obama and all of that.
[00:15:03.737 --> 00:15:06.099]  And the public reacted very negative.
[00:15:06.519 --> 00:15:10.282]  Even a lot of the bigwigs in his own Republican party said he blew it.
[00:15:11.122 --> 00:15:14.965]  And the latest polls now show Obama with a strong seven-point lead.
[00:15:15.405 --> 00:15:16.925]  Sure, well that's John McCain.
[00:15:16.985 --> 00:15:27.007]  John McCain went with this ambassador to actually stir it all up over there and fund Al Qaeda going in, so he has a stake in this not coming out.
[00:15:27.268 --> 00:15:37.870]  I'm not defending Romney, but the issue here is, you know, it was Mr. Peace Prize that has helped start all these wars using jihadis, and so
[00:15:39.170 --> 00:15:43.293]  I can see why the power structure doesn't like the fact that Romney brought that up, but I agree with you.
[00:15:43.613 --> 00:15:48.236]  Romney was pulling ahead until this new event, but election is still, what, 50-something days away.
[00:15:48.816 --> 00:15:52.179]  Yeah, it is, but I'll tell you what.
[00:15:52.719 --> 00:15:55.401]  I can't believe the short memory people have.
[00:15:55.821 --> 00:15:59.403]  I mean, everything's about the economy and jobs, right?
[00:15:59.443 --> 00:16:02.786]  That's the big thing that they think the election's over?
[00:16:02.826 --> 00:16:03.046]  Yes.
[00:16:03.226 --> 00:16:04.707]  Well, who ruined the economy?
[00:16:04.767 --> 00:16:05.888]  It was the Republicans.
[00:16:06.874 --> 00:16:09.215]  Don't touch that dial or that mouse.
[00:16:09.635 --> 00:16:11.975]  We'll be right back after these important messages.
[00:16:13.556 --> 00:16:18.357]  Have you ever thought about actually getting off the grid and becoming truly self-reliant?
[00:16:18.497 --> 00:16:25.819]  Introducing a brand new book for independent Americans who want practical advice on how to survive and even prosper in the challenging days ahead.
[00:16:25.899 --> 00:16:34.101]  The big book of off-the-grid secrets is packed with hard-hitting information on self-reliance gardening, food preparation, alternative energy, home security, and more.
[00:16:34.361 --> 00:16:38.123]  At 436 pages, there's simply nothing like it anywhere.
[00:16:38.323 --> 00:16:42.684]  Get the big book of off-the-grid secrets by going to offthegridsecrets.com.
[00:16:42.724 --> 00:16:45.025]  That's offthegridsecrets.com.
[00:16:45.185 --> 00:16:46.206]  Or call 800-206-4095.
[00:16:46.306 --> 00:16:48.947]  That's 800-206-4095.
[00:16:49.047 --> 00:16:56.450]  Order online and get our top 14 off-the-grid special reports free with your order.
[00:16:56.530 --> 00:17:01.012]  Reports like cash garden, how to grow all the food you'll ever need, and stickier guns.
[00:17:01.092 --> 00:17:06.055]  The worst drought in 50 years continues, and the first six months of 2012 marks the hottest half year on record.
[00:17:06.075 --> 00:17:08.116]  78% of the Midwest corn belt is in drought conditions.
[00:17:08.136 --> 00:17:11.258]  Not only corn, but soy, alfalfa, fruits, vegetables, and wheat are all impacted, raising prices.
[00:17:27.967 --> 00:17:32.708]  The cost to feed livestock is forcing farmers and ranchers out of business, blowing up your food prices.
[00:17:32.928 --> 00:17:40.329]  The only strategy to counter this is to freeze your food cost at today's prices by getting your own supply of foods from eFoods Direct now.
[00:17:40.570 --> 00:17:44.290]  As the price of raw ingredients increases, eFoods will have to raise prices too.
[00:17:44.450 --> 00:17:46.051]  Now is the time to get your supply.
[00:17:46.231 --> 00:17:50.091]  I recently increased my supply from eFoods Direct because we've all known this was coming.
[00:17:50.251 --> 00:17:52.852]  You know about their delicious long-term storable foods.
[00:17:53.152 --> 00:17:55.795]  The fact is, you can eat it any time to save money today.
[00:17:55.935 --> 00:18:00.320]  And because it's stored for 25 years, they're locking in today's prices and avoiding the rising food costs.
[00:18:00.501 --> 00:18:01.041]  Don't wait!
[00:18:01.141 --> 00:18:03.003]  Call 800-409-5633 or go to efoodsdirect.com forward slash Alex.
[00:18:03.024 --> 00:18:04.585]  Call 800-409-5633 or efoodsdirect.com forward slash Alex.
[00:18:04.605 --> 00:18:06.147]  You can bet your life on eFoodsDirect.
[00:18:13.215 --> 00:18:16.620]  For thousands of years, silver has been used as both a medicine and a preservative.
[00:18:16.881 --> 00:18:18.363]  But not all silver is equal.
[00:18:18.663 --> 00:18:25.113]  Silversol is an amazing new technology that has been clinically shown to be several hundred times more effective than colloid or ionic silvers.
[00:18:25.414 --> 00:18:28.799]  It can destroy thousands of times more pathogens than older silver technology.
[00:18:29.139 --> 00:18:36.628]  Silversol resonates at the same frequency as germicidal light used in labs to kill bacteria and viruses, enabling it to kill without direct contact.
[00:18:36.968 --> 00:18:43.716]  Silversol is a broad-spectrum microbial that creates no resistance and does not harm beneficial bacteria, making it ideal for daily use.
[00:18:44.096 --> 00:18:49.279]  It can be used internally as well as topically and is highly effective against viruses, bacterias, molds, and yeasts.
[00:18:49.740 --> 00:18:55.784]  With threats like West Nile virus, colds, flus, or any other emergency situation, arm yourself with Supernatural Silver.
[00:18:56.264 --> 00:19:01.848]  Silver Sol liquid and gel are perfect for on-the-go emergency preparedness and can provide protection at home, school, or work.
[00:19:02.208 --> 00:19:05.390]  Go to SupernaturalSilver.com and be prepared for any emergency.
[00:19:05.790 --> 00:19:08.192]  Remember the promo code Alex says for 20% off.
[00:19:08.692 --> 00:19:12.535]  That's www.SupernaturalSilver.com and like us on Facebook.
[00:19:13.075 --> 00:19:18.358]  Sick of the globalist eugenicist control freaks adding poison to your water and laughing as you get sick and die?
[00:19:18.598 --> 00:19:20.820]  Start purifying your water with ProPure.
[00:19:21.020 --> 00:19:29.965]  My friends, I've done a lot of research and the best gravity filter out there bar none is ProPure and it's available discounted at InfoWars.com.
[00:19:30.105 --> 00:19:33.327]  Its filters are silver impregnated to prevent bacterial growth.
[00:19:33.567 --> 00:19:35.008]  There's no priming required.
[00:19:35.268 --> 00:19:37.269]  It's NSF 42 certified.
[00:19:37.509 --> 00:19:40.011]  Optional fluoride filters can reduce fluoride up to 95%
[00:19:41.091 --> 00:19:42.452]  Easy to set up and use.
[00:19:42.612 --> 00:19:43.893]  Doesn't require electricity.
[00:19:44.033 --> 00:19:46.894]  Purify water from lakes, streams, ponds, and wells.
[00:19:47.194 --> 00:19:50.376]  This filter system leaves in beneficial minerals, which is key.
[00:19:50.576 --> 00:19:52.357]  Save money by not buying bottled water.
[00:19:52.497 --> 00:19:54.578]  And avoid BPA that leaches from the plastic.
[00:19:54.718 --> 00:19:57.319]  ProPure is the best gravity-fed filter out there.
[00:19:57.459 --> 00:19:58.820]  It's what my family uses.
[00:19:59.020 --> 00:20:02.262]  Infowars.com already has the lowest price on ProPure.
[00:20:02.342 --> 00:20:07.684]  But if you add the promo code WATER at checkout, you get an additional 10% off at Infowars.com.
[00:20:07.724 --> 00:20:09.325]  You can also call to order.
[00:20:10.325 --> 00:20:12.366]  888-253-3139.
[00:20:14.387 --> 00:20:15.527]  Coast to Coast.
[00:20:15.907 --> 00:20:17.328]  Direct from Austin.
[00:20:17.968 --> 00:20:21.229]  You're listening to the Alex Jones Broadcasting Network.
[00:20:21.369 --> 00:20:24.210]  The answer to 1984 is 1776.
[00:20:24.310 --> 00:20:29.892]  You're listening to the Alex Jones Show.
[00:20:42.373 --> 00:20:45.274]  If you want total security, go to prison!
[00:20:47.175 --> 00:20:49.776]  They're your fed, clothes, given medical care, and so on.
[00:20:49.836 --> 00:20:51.337]  The only thing lacking is freedom.
[00:20:51.737 --> 00:20:52.917]  Dwight D. Eisenhower.
[00:20:53.298 --> 00:20:55.518]  And he said that at Columbia University in a speech.
[00:20:55.538 --> 00:20:56.399]  You need to look that up.
[00:20:57.039 --> 00:20:59.920]  So that backs up what Governor Ventura's saying right there, and it's common sense.
[00:20:59.960 --> 00:21:03.062]  His new book, Democrats and Republicans, is available.
[00:21:03.102 --> 00:21:04.142]  No More Gangs and Government.
[00:21:04.282 --> 00:21:07.203]  Excellent book at infowarestore.com.
[00:21:07.683 --> 00:21:09.704]  I carry all the best books and videos there on the site.
[00:21:09.744 --> 00:21:11.005]  We carry his last two books.
[00:21:11.565 --> 00:21:20.448]  American conspiracies and 63 documents the government doesn't want you to read, which is probably my favorite because it's all little factoids and photos and documents.
[00:21:20.848 --> 00:21:24.630]  All those at m4warsstore.com or m4warshop.com.
[00:21:24.970 --> 00:21:25.690]  We'll also get you there.
[00:21:25.710 --> 00:21:29.171]  But his books are in bookstores everywhere as well.
[00:21:29.231 --> 00:21:31.332]  And sure, you may know all this stuff or a lot of it.
[00:21:31.812 --> 00:21:34.193]  Get the book, read it, then give it to a friend.
[00:21:34.614 --> 00:21:35.834]  That's how we're going to wake people up.
[00:21:35.854 --> 00:21:37.175]  And there certainly is an awakening.
[00:21:37.195 --> 00:21:40.017]  I think that's what the police state buildup is in response to.
[00:21:40.417 --> 00:21:41.858]  So, Governor, let's talk about the show.
[00:21:41.878 --> 00:21:44.180]  I mean, it got held up for seven, eight months.
[00:21:44.220 --> 00:21:45.780]  Give us your take on why that happened.
[00:21:46.201 --> 00:21:50.023]  Now it's back on Wednesdays, which we think, obviously, I think you agree, is a better night.
[00:21:50.603 --> 00:21:54.686]  And then give us a sneak peek on some of the other episodes that are going to be in there.
[00:21:55.362 --> 00:21:58.807]  Well, you know, I can't tell you why it got held up, Alex.
[00:21:59.168 --> 00:22:06.598]  We finished them on time in November of last year, like we always do, and all they said was what was edited.
[00:22:07.626 --> 00:22:20.209]  And, uh, they dragged their feet, dragged their feet, and then they finally got around and, uh, two weeks ago I went and did my voiceover work on four of them, and I still have to get back and do voiceover on the final, uh, three.
[00:22:20.229 --> 00:22:29.511]  But, uh, you know, I'll do them probably as the show starts breaking on television or whatever, or right before, in October or whatever, so they'll be done on time.
[00:22:29.531 --> 00:22:32.232]  But I can't tell you why they waited that long.
[00:22:32.612 --> 00:22:35.833]  Maybe it's because they wanted to release it during the election cycle.
[00:22:35.873 --> 00:22:36.273]  I don't know.
[00:22:36.893 --> 00:22:38.714]  You know, maybe that was what they had in mind.
[00:22:38.754 --> 00:22:45.657]  They never told me why we weren't normally on in the winter like we always are, but I don't mind being on in the fall right now.
[00:22:45.717 --> 00:22:49.018]  I think it's a great time slot that they moved us back to Wednesday.
[00:22:49.418 --> 00:22:53.140]  It was a huge mistake when they moved us from Wednesday to Friday.
[00:22:53.460 --> 00:22:56.361]  Friday's the worst night you could ever have on the second year.
[00:22:57.001 --> 00:23:04.290]  But now we're back to Wednesday at 10 Eastern, 9 Central, and we're doing some pretty wild shows.
[00:23:04.871 --> 00:23:07.113]  We do one that's very interesting.
[00:23:07.133 --> 00:23:09.256]  Does the United States have a death ray?
[00:23:09.276 --> 00:23:11.899]  And of course, that gets into Tesla.
[00:23:12.900 --> 00:23:16.745]  We also do one on, are they trying to create a humanity?
