[00:00:28.564 --> 00:00:31.947]  Good evening, ladies and gentlemen, and welcome to the InfoWars Nightly News.
[00:02:47.493 --> 00:02:50.074]  According to the Inspector General, this too is against
[00:02:50.754 --> 00:03:01.424]  The rules, and on we go as more money is spent on sushi and dinners and Palm Springs vacations for interns.
[00:03:01.864 --> 00:03:15.937]  In order to make this all make sense to the American people if they happen to find out where all of our taxpayer money is going, they held awards for themselves, which they dubbed the Jackass Award, pretty fittingly.
[00:03:17.682 --> 00:03:28.971]  Officials at the General Service Administration invented fake awards as an excuse to hold taxpayer-funded dinner events at conferences, according to an interview transcript obtained by Roll Call.
[00:03:29.631 --> 00:03:39.639]  Describing the award ceremonies as a running joke, the employees said supervisors explained that the fake awards were designed to justify dinner events
[00:03:40.379 --> 00:03:41.360]  Thanks for having me.
[00:04:07.519 --> 00:04:10.656]  And of course we are going to start this interview with the
[00:04:12.321 --> 00:04:19.426]  Yet again, another story about GSA and government bureaucracy mishandling funds.
[00:04:20.506 --> 00:04:36.037]  And if we go back to April 10th, the scandal began, and as you said earlier when we were chatting, that if it had not been for the video, no one would have heard about this, and it'll probably last five minutes, and people will go about their way and forget all about it.
[00:04:36.497 --> 00:04:41.681]  But we're talking about a scandal that cost us, well, in the millions.
[00:04:43.983 --> 00:04:48.067]  They used war dinners to justify the money they were spending.
[00:04:48.108 --> 00:04:49.829]  They spent money on interns.
[00:04:50.931 --> 00:04:54.154]  They spent $136,000 on scouts to go and find the area to have the party.
[00:04:54.174 --> 00:04:55.896]  How typical is this?
[00:05:03.456 --> 00:05:05.258]  This goes on every day, all day long.
[00:05:05.958 --> 00:05:08.540]  This is just a little sample of how our government runs.
[00:05:09.281 --> 00:05:20.010]  And again, had it not been for those compelling videos, the guy doing the rap song and the award shows, whatever, had it not been for that, you would have never heard about this.
[00:05:20.491 --> 00:05:24.014]  But for every story like this that you hear about, there's a hundred.
[00:05:24.654 --> 00:05:25.794]  That you never hear about.
[00:05:25.914 --> 00:05:31.056]  And quite frankly, the volume of money that they squandered, it sounds like a lot.
[00:05:31.096 --> 00:05:31.596]  It's a lot.
[00:05:31.957 --> 00:05:37.318]  But their agencies are squandering a hundred times that much on a daily basis.
[00:05:37.358 --> 00:05:41.020]  But you don't hear about those stories because there's not that compelling video.
[00:05:41.540 --> 00:05:46.181]  Also, you have to realize the federal government has a lot of power to squelch stories that they don't want to get out.
[00:05:47.222 --> 00:05:53.924]  And if they don't want a story to get out, they can just do a lot of things to make sure that it doesn't get out.
[00:05:54.929 --> 00:06:03.116]  Sure, or turn the facts into a light where they look like they are investigating it when in fact they're not at all.
[00:06:04.497 --> 00:06:08.840]  In relation to the amount of money spent, let's go to a major level.
[00:06:08.860 --> 00:06:16.967]  You were speaking earlier about the story about the $12 billion that was lost in Iraq, that was brought over.
[00:06:17.347 --> 00:06:19.369]  Just as an example for folks,
[00:06:21.070 --> 00:06:28.229]  Tell us about that story and explain how that rolls downhill to the bureaucracy in America.
[00:06:28.922 --> 00:06:45.113]  Well, when they started rebuilding Iraq, a C-17 transport flew to Iraq with $12 billion in cash and $100 bills, shrink-wrapped in $100,000, they called them bricks, about a foot square.
[00:06:45.133 --> 00:06:46.894]  $12 billion in cash.
[00:06:47.254 --> 00:06:48.955]  They lost $9 billion.
[00:06:49.296 --> 00:06:49.716]  Lost it.
[00:06:49.736 --> 00:06:51.297]  Don't know what happened to it.
[00:06:51.877 --> 00:06:56.981]  There was a little Mickey Mouse congressional hearing and swept under the rug.
[00:06:57.621 --> 00:06:58.502]  So when you think about
[00:06:59.443 --> 00:07:01.527]  You know, the kind of money of the GSA scandal.
[00:07:01.847 --> 00:07:05.514]  Think about $9 billion in cash disappears.
[00:07:06.806 --> 00:07:08.747]  And there's a little brief hearing.
[00:07:09.088 --> 00:07:11.569]  In fact, I bet most people haven't even heard that story.
[00:07:11.589 --> 00:07:12.250]  That's kind of funny.
[00:07:12.570 --> 00:07:17.193]  So if you're watching this right now, have you heard the story about the $9 billion in cash that disappeared?
[00:07:17.453 --> 00:07:18.954]  Google it, and you can read about it.
[00:07:19.535 --> 00:07:25.579]  But that's a story that didn't get much attention, and that should have been on the front page of Time Magazine.
[00:07:26.359 --> 00:07:34.665]  But so many news organizations depend upon these feeds from the federal government for news that the government can sort of, you know,
[00:07:36.676 --> 00:07:40.818]  Threaten to cut off those news feeds if they run stories that they don't like.
[00:07:40.858 --> 00:07:49.523]  But it's very common for the government to hire some of the biggest public relations firms in the world to help them control the stories that come out.
[00:07:49.623 --> 00:08:04.731]  In fact, the GSA, I'm thinking about the GAO, did an investigation a few years ago and found they were spending something like a million dollars a day on public relations firms to control these stories.
[00:08:06.260 --> 00:08:08.847]  The abuses in government are just rampant.
[00:08:09.509 --> 00:08:14.101]  The GSA story, those happen every single day and we just don't hear about them.
[00:08:15.049 --> 00:08:18.731]  Yeah, and the American mindset goes to sleep on it.
[00:08:19.071 --> 00:08:21.091]  We just had the report up on screen.
[00:08:22.832 --> 00:08:24.653]  There is no bigger headline than that.
[00:08:26.634 --> 00:08:29.495]  Twenty, thirty years ago, you have a headline like that.
[00:08:29.595 --> 00:08:35.177]  Heads were going to roll, but now, well, we dispute the report.
[00:08:36.418 --> 00:08:37.778]  Just go on about your business.
[00:08:37.898 --> 00:08:39.259]  This won't be in the paper tomorrow.
[00:08:39.819 --> 00:08:40.439]  That's right.
[00:08:40.739 --> 00:08:45.781]  It sure was shocking, but here's a fabricated story we can go to.
[00:08:54.161 --> 00:09:12.564]  The amount of time, you're speaking about the request for records, how the common person can go about doing what you're doing, and I asked you how long it took to actually get some information, what was the longest time, and it was pretty surprising.
[00:09:13.888 --> 00:09:22.374]  Yeah, they're supposed to respond within 30 days, but if you ask for damaging information, information that shows fraud like I do, you're looking at up to three years.
[00:09:23.315 --> 00:09:31.801]  And again, I've gone to the Supreme Court to get the phone records for the SBA's Press Office Director, Mike Stamler, and those are very simple records.
[00:09:32.201 --> 00:09:35.323]  They should be able to email that to you in 10 minutes.
[00:09:36.064 --> 00:09:37.245]  And I was at the Supreme Court.
[00:09:37.325 --> 00:09:39.667]  I spent, you know, thousands and thousands of dollars
[00:09:40.347 --> 00:09:46.228]  But I can tell when I've uncovered something that's very damaging based upon how hard they fight to withhold it.
[00:09:46.669 --> 00:10:01.872]  And I think these phone records for the SBA Press Office Director would show that the SBA was working with some of the biggest public relations firms in the world to kill these stories about the diversion of federal small business contracts to corporate giants around the world.
[00:10:01.932 --> 00:10:09.674]  In fact, we found information that the SBA had hired an international public relations firm to specialize in crisis management.
[00:10:10.618 --> 00:10:14.620]  Is there a cap on the amount of time that they have to get that information to you?
[00:10:32.944 --> 00:10:35.866]  They're supposed to give it to you in 30 days, but they can ask for an extension.
[00:10:36.566 --> 00:10:40.209]  But generally speaking, you should get this information within about 90 days.
[00:10:40.909 --> 00:10:45.132]  But I think if more people used it, it would increase transparency in government.
[00:10:45.172 --> 00:10:46.213]  It's just real simple.
[00:10:46.233 --> 00:10:48.014]  Just get a piece of paper, type up a letter.
[00:10:48.874 --> 00:10:56.399]  And again, the wording is, under the provisions of the Freedom of Information Act, please provide me with the following documents.
[00:10:56.779 --> 00:10:58.541]  By the way, you have to ask for documents.
[00:10:58.581 --> 00:11:00.042]  You can't ask them for information.
[00:11:00.722 --> 00:11:01.843]  It has to be documents.
[00:11:02.956 --> 00:11:07.497]  And just figure out what documents that you want, and they've got to give it to you.
[00:11:09.038 --> 00:11:25.243]  Well, speaking of the GSA, it's basically a part of the administration that's behind the scenes, does a lot of the mundane routine work, but they feel that they deserve this kind of vacation spent by the taxpayers.
[00:11:26.940 --> 00:11:43.046]  The amount of money spent could have gone to all of these things throughout America that could have done us a lot of good, especially with the economy and people being out of work and creating jobs and everything that Obama gets up on his pulpit and professes about.
[00:11:43.887 --> 00:11:47.188]  And it's all, it's just obvious lies to all of us that are awake.
[00:11:49.980 --> 00:11:50.700]  And it's shameful.
[00:11:51.500 --> 00:11:59.122]  And is there any way... I mean, there are folks like you out there fighting day in, day out to change the system.
[00:12:00.423 --> 00:12:08.204]  Is there a larger scale way for us to get things done through the court systems, through the Supreme Court?
[00:12:08.244 --> 00:12:13.106]  Could we completely overhaul an administration of this scale?
[00:12:14.166 --> 00:12:18.587]  We could, if people would just stand up and quit being afraid of the government.
[00:12:20.079 --> 00:12:22.422]  Here's what I'd like to suggest to everyone watching this.
[00:12:23.343 --> 00:12:28.448]  Get out your computer and Google Thomas Jefferson's quotes and read what Thomas Jefferson said.
[00:12:28.789 --> 00:12:31.872]  He is probably one of the principal founding fathers of this country.
[00:12:32.693 --> 00:12:34.796]  And he said, every generation needs a new revolution.
[00:12:36.226 --> 00:12:39.789]  He said, when the people fear the government, you have tyranny.
[00:12:40.490 --> 00:12:45.715]  And the tree of liberty will be fed by the blood of tyrants.
[00:12:46.015 --> 00:12:46.435]  That's right.
[00:12:46.456 --> 00:12:50.719]  He said the tree of liberty needs to be watered from time to time with the blood of patriots and tyrants.
[00:12:50.780 --> 00:12:51.040]  Yes.
[00:12:51.300 --> 00:12:54.863]  So when you read what he says, he'd be arrested for treason today, I think.
[00:12:54.883 --> 00:12:55.164]  Sure.
[00:12:55.784 --> 00:12:59.067]  And if I said those things, they'd be knocking on my door.
[00:12:59.608 --> 00:13:01.489]  But read Thomas Jefferson's quotes.
[00:13:02.310 --> 00:13:08.014]  And people need to quit being afraid of the government, and we need to do what Thomas Jefferson said and make them afraid of us.
[00:13:08.614 --> 00:13:15.859]  Well, yeah, people need to stop being afraid of the government because pretty soon they're going to be really afraid of the government.
[00:13:15.999 --> 00:13:17.500]  Because that's what the government wants.
[00:13:17.540 --> 00:13:18.721]  They want you to be afraid.
[00:13:19.121 --> 00:13:28.848]  And every day we come into work here, the stories get more and more intense about the government and the overreach that's going on throughout this country and around the world.
[00:13:29.548 --> 00:13:32.132]  And the audacity of the overreach.
[00:13:32.954 --> 00:13:39.905]  And people that are paying attention are, at this point, we're just waiting.
[00:13:40.506 --> 00:13:43.490]  It seems like next week things are going to really change.
[00:13:44.707 --> 00:13:46.249]  People need to wake up.
[00:13:47.410 --> 00:13:53.435]  The good thing is that we have, here at InfoWars, we have somewhere between 15 and 20 million listeners a week now.
[00:13:53.776 --> 00:13:54.517]  And it's growing.
[00:13:54.897 --> 00:14:01.403]  And then you have the mainstream media losing all kinds of viewers because people are hungry for the truth.
[00:14:01.423 --> 00:14:08.910]  You've got MSNBC fabricating the Zimmerman case in order to make a race war happen.
[00:14:10.879 --> 00:14:14.801]  In my opinion, a race war is not going to happen.
[00:14:15.722 --> 00:14:22.847]  Racism, sure, it's in the small pockets of this country, but it's over, folks!
[00:14:23.307 --> 00:14:24.968]  Give up on the whole racism thing.
[00:14:25.008 --> 00:14:39.498]  That ended 30, 40 years ago, but it shows you how disconnected the people in charge and with the money to spend on these elaborate parties and $8,500 in sushi that could have gone to some single mother
[00:14:40.840 --> 00:14:44.304]  Or, they're just completely disconnected, living in their ivory towers.
[00:14:45.386 --> 00:14:49.632]  Anyway, can you speak on that, as far as the disconnection?
[00:14:50.219 --> 00:14:50.980]  Yeah, a couple things.
[00:14:51.000 --> 00:14:58.665]  If you think about the GSA, this is the federal agency that's supposed to be watching over our tax dollars and make sure they're spent properly.
[00:14:59.066 --> 00:15:13.096]  So when the GSA is squandering taxpayer dollars and then ridiculing government inspector generals who are supposed to watchdog them, just think of how they conduct themselves on a daily basis, right?
[00:15:14.518 --> 00:15:17.842]  In regard to mainstream media, here's something I've learned the hard way.
[00:15:19.123 --> 00:15:26.032]  I was being interviewed by a major television network and talking about the diversion of federal small business contracts to corporate giants.
[00:15:26.392 --> 00:15:27.694]  And I mentioned Lockheed and Boeing.
[00:15:28.729 --> 00:15:33.771]  Well, that story never aired because Lockheed and Boeing were two of the major advertisers on the television network.
[00:15:34.011 --> 00:15:34.391]  Sure.
[00:15:35.111 --> 00:15:42.934]  And what I've come to understand is you will not see television networks run negative stories about their advertisers.
[00:15:43.494 --> 00:15:46.955]  So you will not see stories about the oil companies.
[00:15:47.475 --> 00:15:59.761]  And how they're making excessive profits and paying no payroll income tax, and how they're robbing us at the pump and overcharging for gas, and how they raise the price of gas in a way that's disproportionate to the price of crude oil.
[00:15:59.781 --> 00:16:05.984]  The companies themselves, NBC for instance, owned by GE, they're not even paying any taxes.
[00:16:06.324 --> 00:16:07.464]  I'll tell you a story about that.
[00:16:08.685 --> 00:16:15.448]  In 2003, NBC came out to my office from New York to California, spent a week doing a story about me.
[00:16:17.174 --> 00:16:25.441]  And it never ran, because I talked about a bunch of companies that were guilty of federal contracting fraud, and they were subcontractors to GE.
[00:16:26.042 --> 00:16:26.983]  So that story never ran.
[00:16:27.703 --> 00:16:43.858]  I've had a number of stories actually not run because I mentioned companies that were affiliated with different news organizations or advertisers, but I'm sure everyone watching this show has seen that ad from the American Petroleum Institute, the lady in the black suit walking across the map talking about the resources of America.
[00:16:45.457 --> 00:16:49.198]  They spend billions advertising on network television.
[00:16:49.478 --> 00:16:49.918]  Think about it.
[00:16:49.978 --> 00:16:50.978]  What are they trying to sell?
[00:16:51.698 --> 00:16:52.719]  Why are they running those ads?
[00:16:52.919 --> 00:16:53.719]  Public opinion.
[00:16:53.899 --> 00:16:54.179]  Yes.
[00:16:54.339 --> 00:16:54.859]  Brainwashing.
[00:16:54.879 --> 00:16:56.619]  That's propaganda for the oil and gas industry.
[00:16:56.939 --> 00:17:01.780]  And they're trying to buy clout with the news channels so they won't run these negative stories.
[00:17:01.840 --> 00:17:05.961]  Well, these BP ads come to Louisiana, come to Florida.
[00:17:06.461 --> 00:17:07.662]  Everything's fine down here.
[00:17:07.682 --> 00:17:08.582]  Yeah.
[00:17:08.762 --> 00:17:09.002]  Is it?
[00:17:09.802 --> 00:17:10.122]  Is it?
[00:17:10.842 --> 00:17:12.443]  We're Americans, okay?
[00:17:12.463 --> 00:17:14.344]  You can't pull the wool over our eyes.
[00:17:14.444 --> 00:17:17.825]  It's probably not okay down there, okay?
[00:17:18.145 --> 00:17:23.547]  Why don't you run an ad that says, well, this is how things really are, we're working on it.
[00:17:23.907 --> 00:17:26.388]  No, it's not that ad at all.
[00:17:26.508 --> 00:17:27.569]  It's Walt Disney World.
[00:17:27.629 --> 00:17:29.229]  Hey, everything's great!
[00:17:30.210 --> 00:17:33.511]  Come on down and eat some oysters filled with oil.
[00:17:34.588 --> 00:17:34.908]  Yeah.
[00:17:35.089 --> 00:17:35.910]  It'll be good for you.
[00:17:36.551 --> 00:17:40.476]  Unfortunately, these big corporations control the media.
[00:17:41.117 --> 00:17:43.640]  When you're watching national television, ask yourself this question.
[00:17:44.041 --> 00:17:48.707]  What percentage of national advertising comes from Fortune 500 corporations?
[00:17:49.909 --> 00:17:50.730]  Let me just guess.
[00:17:51.050 --> 00:17:51.871]  Do you know the number?
[00:17:52.871 --> 00:17:53.271]  I think it's 90%.
[00:17:53.432 --> 00:17:56.174]  I would say, yeah, it'd have to be in the 90s.
[00:17:56.414 --> 00:18:06.721]  When you think about the big lobbying firms in Washington, you know, Preston Gates and Ellis and these big lobbying firms, what percentage of the money that they get comes from Fortune 500 corporations?
[00:18:07.001 --> 00:18:07.461]  Probably like 100%.
[00:18:08.522 --> 00:18:15.569]  Well, corporations control the lobby in Washington, they control Congress, they control, you know, the White House, they control the news organizations.
[00:18:15.829 --> 00:18:16.530]  It's logical.
[00:18:16.590 --> 00:18:17.430]  Think about it, right?
[00:18:17.831 --> 00:18:20.593]  What's the function of a television network?
[00:18:20.673 --> 00:18:23.036]  Its function is to make money by selling advertising.
[00:18:23.905 --> 00:18:24.686]  That's its function.
[00:18:24.706 --> 00:18:28.710]  You know, the function of a news organization isn't to inform the people, it's to sell advertising.
[00:18:29.030 --> 00:18:29.210]  Right.
[00:18:29.490 --> 00:18:38.278]  And so you're not going to do stories that show that your biggest advertisers, guilty of federal contracting fraud, are cheating the American people out of billions of dollars a day by overcharging for gas.
[00:18:39.059 --> 00:18:44.945]  So quite frankly, to me, mainstream media has almost become like propaganda for the fortune 500 corporations.
[00:18:45.346 --> 00:18:52.193]  And unfortunately, the general public watches national television, and they see those stories, they go, oh, that's what's happening, because I saw it on television.
[00:18:52.553 --> 00:18:53.614]  No, that's not what's happening.
[00:18:54.155 --> 00:18:55.576]  That's what they want you to think is happening.
[00:18:55.596 --> 00:18:56.777]  But just, it's logical.
[00:18:57.198 --> 00:18:57.778]  Think about it.
[00:18:58.399 --> 00:18:59.740]  They're trying to sell advertising.
[00:18:59.800 --> 00:19:01.862]  The Fortune 500 firms are their customers.
[00:19:02.223 --> 00:19:07.928]  They're not going to run stories that show that their customers, you know, are violating federal law and cheating the public.
[00:19:08.449 --> 00:19:11.372]  You can't get what's really happening off of the news.
[00:19:13.038 --> 00:19:15.179]  Well, we thank you for joining us, Mr. Chapman.
[00:19:15.219 --> 00:19:22.600]  I could talk to you all day, and hopefully you're going to be on with Alex here pretty soon, maybe next week.
[00:19:23.001 --> 00:19:30.782]  But this is just a complete ludicrous travesty, but it's of course par for the course.
[00:19:31.623 --> 00:19:34.443]  And thanks again for joining us, and take care.
[00:19:34.944 --> 00:19:35.304]  Thank you.
[00:19:35.344 --> 00:19:36.504]  You guys are fantastic.
[00:19:37.424 --> 00:19:38.424]  All right, and so are you.
[00:19:38.644 --> 00:19:38.885]  Thanks.
[00:19:39.025 --> 00:19:39.245]  All right.
[00:19:39.725 --> 00:19:40.325]  Thank you, Lloyd.
[00:19:41.584 --> 00:19:52.049]  Ladies and gentlemen, Lloyd Chapman from the American Small Business League, and now moving on to important geothermal news, which you may or may not find anywhere else but here at InfoWars.
[00:19:52.869 --> 00:19:59.552]  The Ring of Fire is roaring to life, and there will be earthquakes of historic importance.
[00:20:01.073 --> 00:20:08.176]  This American Dream article goes through the history of the Ring of Fire.
[00:20:09.424 --> 00:20:21.250]  And lately, there's been a lot of activity as far as the Ring of Fire and its threat on not only earthquakes and volcanoes, but also nuclear events.
[00:20:21.651 --> 00:20:28.274]  So we start out here with, does it seem to you like there has been an unusual amount of seismic activity around the world lately?
[00:20:28.735 --> 00:20:30.556]  Well, it isn't your imagination.
[00:20:31.256 --> 00:20:36.399]  The Ring of Fire is roaring to life, and that is really bad news for the West Coast of the United States.
[00:20:37.139 --> 00:20:45.913]  Approximately 90% of all earthquakes and approximately 75% of all volcanic eruptions occur along the ring of fire.
[00:20:48.004 --> 00:20:56.967]  It also goes on to say that on Wednesday, the most powerful strike-slip earthquake ever recorded happened along the Ring of Fire.
[00:20:57.747 --> 00:21:05.290]  As long as that happens outside of any area where people are living, that's fine.
[00:21:05.330 --> 00:21:14.953]  But once it moves into California or moves into Japan or any place along the Ring of Fire, let's take a look at that graphic again.
[00:21:16.900 --> 00:21:22.373]  It's going to be a massive shift in life on Earth.
[00:21:24.611 --> 00:21:26.012]  In 2001, there were 137 earthquakes of magnitude 6.0 or greater.
[00:21:26.032 --> 00:21:26.452]  And in 2011, there were 205.
[00:21:26.532 --> 00:21:26.792]  Again, 2001, 137.
[00:21:26.852 --> 00:21:26.792]  2011, 205.
[00:21:26.892 --> 00:21:34.035]  And of course, what that means to our nuclear reactors that sit on the Ring of Fire, as you can see, we've got plenty there in the Great Northwest and in California and along China, Japan,
[00:21:52.415 --> 00:21:54.936]  And of course, we've already had the Fukushima disaster.
[00:21:54.976 --> 00:21:59.197]  Maybe that's just an appetizer for the big meal awaiting us.
[00:22:01.618 --> 00:22:07.460]  Again, that article, the American Dream article, the Ring of Fire is roaring to life and there will be earthquakes of historic importance.
[00:22:08.000 --> 00:22:10.080]  Please check it out at InfoWars.com.
[00:22:10.441 --> 00:22:14.542]  Moving on now to a Houston councilwoman who warns of U.N.
[00:22:14.582 --> 00:22:16.082]  agenda in city projects.
[00:22:16.602 --> 00:22:18.263]  Oh, the word is beginning to get out.
[00:22:18.903 --> 00:22:35.051]  Activists and some politicians see Agenda 21 as a UN-led conspiracy to impose worldwide control on people, in part by denying private property rights through the implementation of sustainable growth or green initiatives by local and state governments.
[00:22:35.111 --> 00:22:38.133]  Just what we've been talking about here for the past week.
[00:22:38.933 --> 00:22:43.096]  And of course it also goes on to say this is the United States of America.
[00:22:44.298 --> 00:22:46.860]  We don't answer to anyone but the good old U.S.
[00:22:47.080 --> 00:22:49.442]  of A. Get that through your thick U.N.
[00:22:49.482 --> 00:22:49.822]  skull.
[00:22:49.842 --> 00:22:51.564]  It doesn't say that in here, but I just said that.
[00:22:52.484 --> 00:23:00.911]  Brown said during discussions of the garages, by this vote we're giving $26 million to a non-American initiative and interest.
[00:23:01.471 --> 00:23:10.158]  And speaking of the impending green initiative pressing down on us like a boot pressing down on our neck by authority,
[00:23:11.650 --> 00:23:23.560]  We now go to these pieces from Darren McBreen and Marcos Morales about the honest, hardworking chicken man who was just trying to do the right thing up there in Roswell, Georgia.
[00:23:24.534 --> 00:23:36.724]  We're standing in front of what used to be the home of Andrew Werdes, who died tragically on March 26th of this year, following an explosion that took place right here at his home.
[00:23:37.145 --> 00:23:43.810]  And this was as county marshals actually attempted to evict him from his property.
[00:23:44.657 --> 00:23:48.920]  This property was seized by green zoning laws by the City of Roswell.
[00:23:49.181 --> 00:23:54.304]  They claim the land is future conservation area and they call it green space.
[00:23:54.845 --> 00:24:03.511]  For those of you who are having a hard time believing that, as I did, you can actually go see for yourself on the roswellgov.com's own website.
[00:24:03.851 --> 00:24:08.275]  They call it the City of Roswell's 2030 Comprehensive Plan.
[00:24:09.309 --> 00:24:13.771]  We're going to show you some of the devastation caused by the explosion and the fire that followed.
[00:24:14.191 --> 00:24:17.732]  You can actually still smell the burnt wood from the fire.
[00:24:19.853 --> 00:24:22.574]  This is truly a shocking and tragic story.
[00:24:24.795 --> 00:24:31.198]  You know, this man had his property seized and was terrorized to death by the city of Roswell, Georgia.
[00:24:31.418 --> 00:24:34.059]  I'm Darren McBreen for InfoWars Nightly News.
[00:24:34.299 --> 00:24:36.080]  We're actually going to go to the City Council right now.
[00:24:36.513 --> 00:24:39.439]  and see if we can get them to answer some very serious questions.
[00:24:39.680 --> 00:24:41.062]  This is Darren McBreen, signing out.
[00:24:45.026 --> 00:24:49.828]  Well, a funny thing happened to us in front of City Hall in Roswell, Georgia today.
[00:24:50.308 --> 00:24:57.931]  We showed up here moments ago to enter City Hall, see if we can interview some of the people in the City Council, perhaps talk to the Mayor.
[00:24:58.611 --> 00:25:05.014]  And we were immediately met by police officers who told us we were not allowed to enter City Hall.
[00:25:05.494 --> 00:25:08.375]  Also, they told us we weren't allowed to take any photographs.
[00:25:08.995 --> 00:25:13.019]  And that we must have the proper credentials to photograph in the area.
[00:25:13.899 --> 00:25:16.101]  You know, we had a little scene that went on for a while.
[00:25:16.542 --> 00:25:22.106]  Marcos and I kind of schooled them on our basic rights and that we're allowed to photograph.
[00:25:22.446 --> 00:25:30.113]  But interesting, this family over here, moments later, showed up and began taking pictures right there in front of City Hall.
[00:25:30.593 --> 00:25:35.997]  So apparently, some people are allowed to, others, info warriors,
[00:25:37.810 --> 00:25:40.151]  I'm Darren McBreen, InfoWars.com.
[00:25:41.732 --> 00:25:56.260]  Thank you Darren McBreen for that report, and of course those guys will be back on Monday to file an extensive report on the Agenda 21 manipulation that is happening worldwide, but especially here in the United States as of late.
[00:25:56.841 --> 00:26:01.364]  Now moving on to water restrictions could soon be permanent, another Agenda 21-esque story.
[00:26:03.985 --> 00:26:05.926]  We don't have enough water for those people.
[00:26:06.006 --> 00:26:13.752]  In less than 20 years, you talk about a deficit in Washington, we have a deficit right here in North Texas, and it's water.
[00:26:13.832 --> 00:26:18.895]  So they're saying water restrictions could soon be permanent in Dallas.
[00:26:19.015 --> 00:26:30.503]  All the rain that's fallen in recent weeks has a lot of people looking forward to an easing of watering restrictions, but city leaders in several DFW cities want to make them permanent.
[00:26:30.723 --> 00:26:33.545]  And there they go again, controlling our lives.
[00:26:34.126 --> 00:26:34.709]  We're good to go.
[00:26:34.829 --> 00:26:35.432]  We're good to go.
[00:26:39.212 --> 00:26:48.217]  Moving on to a article that I wanted to point out to folks just to get educated from someone who's very experienced.
[00:26:48.277 --> 00:26:56.181]  Number two there at the Department of Treasury under Reagan, Mr. Paul Craig Roberts wrote a report called Washington Leads World Into Lawlessness.
[00:26:56.542 --> 00:27:07.668]  And if you have any questions about the Obama administration or our intentions in Iran or the fact that we are leading the rest of the world down a slippery slope
[00:27:09.091 --> 00:27:10.792]  of complete criminal activity.
[00:27:11.473 --> 00:27:13.274]  Well, he documents it all right here.
[00:27:13.635 --> 00:27:18.158]  For example, he says, Washington violates the human rights of its own citizens.
[00:27:18.578 --> 00:27:21.541]  Washington has suspended the civil liberties guaranteed in the U.S.
[00:27:21.561 --> 00:27:24.743]  Constitution and declared its intention to detain U.S.
[00:27:24.803 --> 00:27:27.986]  citizens indefinitely without due process of law.
[00:27:28.846 --> 00:27:33.050]  President Obama has announced that he, at his discretion, can murder U.S.
[00:27:33.090 --> 00:27:35.392]  citizens whom he regards as a threat
[00:27:36.132 --> 00:27:37.053]  To the U.S.
[00:27:37.493 --> 00:27:40.976]  And it's a very extensive read and a good report.
[00:27:41.036 --> 00:27:51.043]  I just want to point that out tonight on the news for folks who need to be educated or if you want to just go back and look over what's been happening here recently with our Republic.
[00:27:52.124 --> 00:27:55.106]  Now moving on to a very interesting story.
[00:27:55.627 --> 00:27:58.949]  Since the booms that were taking place up in Wisconsin,
[00:28:00.083 --> 00:28:09.505]  We had hinted at the fact that we thought that there could be a possibility that these booms, the source of these booms, could be high-speed rail.
