[00:00:01.857 --> 00:00:02.420]  We've got it!
[00:04:51.649 --> 00:04:54.990]  TSA deploys wiener watchers at the Super Bowl.
[00:04:55.010 --> 00:04:56.591]  We're going to break it all down straight ahead.
[00:04:56.691 --> 00:04:57.291]  And I ran.
[00:04:57.311 --> 00:04:58.232]  We'll be back.
[00:05:01.618 --> 00:05:03.119]  Hi folks, this is Alex Jones.
[00:05:03.339 --> 00:05:08.361]  I'm looking for people that have the wisdom to spot savings, opportunity, and recognize risk.
[00:05:08.641 --> 00:05:10.001]  Saving means to make money.
[00:05:10.181 --> 00:05:18.965]  The Cal Bend Pure Soap Company can save you thousands of dollars and give you good old-fashioned real soaps that are triple concentrated and twice as good as what you're using now.
[00:05:19.705 --> 00:05:26.808]  Soaps made from vegetable and coconut oils that contain no useless dyes, perfumes, deodorants, or antibacterials.
[00:05:27.228 --> 00:05:34.852]  Your risk is the hundreds of hazardous toxic detergents that give you rashes, itching sores, and deteriorating clothing called lint.
[00:05:35.232 --> 00:05:40.154]  If you want something better, if you want something you've never had before, you have to do something you've never done before.
[00:05:40.474 --> 00:05:42.635]  Getting a free catalog is easy by calling 800-340-7091.
[00:05:45.356 --> 00:05:48.637]  You are listening to an InfoWars.com Frontline Report.
[00:06:11.417 --> 00:06:15.719]  If you are receiving this transmission, you are the resistance.
[00:06:22.963 --> 00:06:31.488]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide, it's Alex Jones.
[00:06:35.951 --> 00:06:38.894]  It is Super Bowl Sunday!
[00:06:38.914 --> 00:06:45.119]  Oh, let's get ready to rumble!
[00:06:46.440 --> 00:06:50.403]  All of America is watching, feeling manly.
[00:06:51.184 --> 00:06:53.205]  They don't have a Bill of Rights or Constitution.
[00:06:53.665 --> 00:06:57.467]  The First Amendment is openly being shredded in front of everyone's eyes.
[00:06:57.907 --> 00:07:00.368]  The federal government has announced it will secretly kill U.S.
[00:07:00.408 --> 00:07:03.430]  citizens or arrest you and have you disappear into a black hole.
[00:07:03.950 --> 00:07:10.673]  Taxes at the county, city, state, federal, international level are exploding.
[00:07:11.073 --> 00:07:13.654]  School children are being taught to spy on their parents.
[00:07:14.174 --> 00:07:14.995]  But by golly...
[00:07:16.744 --> 00:07:25.953]  You can go sit around with your friends and just everybody can get a real serious look on their face and, oh, stop my heart, breathe real deep.
[00:07:26.693 --> 00:07:33.400]  When they have the kickoffs and when they have special teams and when they have them get up there for a field goal.
[00:07:34.060 --> 00:07:41.947]  I mean, I've been in restaurants where people are watching a football game and you see this electricity in their eyes that you see for nothing else.
[00:07:42.845 --> 00:07:51.467]  I wish people had little comments about the Bill of Rights and Constitution and our heritage that made America so great on the backs of their cars.
[00:07:51.507 --> 00:07:55.188]  But instead, no, they've got their favorite sports team.
[00:07:56.488 --> 00:08:08.291]  And see, I've read all the government documents and read them here on air, where the anthropologists, sociologists, psychologists talk about using sports going back a hundred years ago to create arrested development in men.
[00:08:09.636 --> 00:08:25.401]  To take your normal tribal energies, and to arrest your development, and to make you obsessed with lotteries, with sports, and with things that don't matter, so the global social engineers can go about life actually controlling society.
[00:08:26.882 --> 00:08:38.266]  You see, until just 50, 60 years ago or so, sports were something that children were into, and they were something that the very poorest classes were into.
[00:08:39.246 --> 00:08:45.207]  The very poorest people were into gambling, and they were into sports.
[00:08:48.848 --> 00:08:52.449]  And in Rome, it was called bread and circus welfare.
[00:08:52.469 --> 00:09:04.111]  They gave you bread, that was the welfare dole for everybody to make you dependent, in the lower classes, and circuses, government-free, sponsored sporting events.
[00:09:05.620 --> 00:09:07.882]  And that's what the culture was into.
[00:09:07.962 --> 00:09:09.104]  So, here's the deal.
[00:09:10.445 --> 00:09:12.767]  I like football growing up as much as the next person.
[00:09:13.408 --> 00:09:16.031]  I like basketball, baseball, all of it.
[00:09:16.931 --> 00:09:17.252]  Okay?
[00:09:19.854 --> 00:09:25.160]  But at the end of the day, it's being used by social engineers
[00:09:27.008 --> 00:09:30.832]  To totally distract society from real things that are happening.
[00:09:31.172 --> 00:09:32.534]  And that's why I'm upset about it.
[00:09:32.974 --> 00:09:39.761]  And I know that a lot of people aren't conscious of this, and I think you should be conscious of it.
[00:09:39.801 --> 00:09:43.405]  You see, you need to see yourself as a winner.
[00:09:43.865 --> 00:09:48.991]  You need to have successes in your life that aren't through somebody else.
[00:09:51.258 --> 00:10:05.190]  And it is very, very sick how men sit around and get just crazed looks in their eyes and argue with each other and show off to each other who knows the most about golf or who knows the most about this or that.
[00:10:05.570 --> 00:10:07.933]  I'm not saying sports aren't a good thing if you're playing them.
[00:10:08.613 --> 00:10:11.714]  It's good, it's healthy, it's something that should be part of your life.
[00:10:12.394 --> 00:10:25.059]  But when it's everything in your life, and the family's breaking down, and society is degenerating, and all these other things are unfolding, it is very, very sick.
[00:10:26.179 --> 00:10:32.301]  And every civilization that is on the verge of giant wars, imperial
[00:10:35.083 --> 00:10:55.857]  Tasmanian devil behavior, expansionist wars, corruption and collapse, sports, promiscuity, family breaking down, decadence, and people saying, I don't care, devil take the rest, I don't care about anybody but myself.
[00:10:56.177 --> 00:11:03.182]  Those are always the hallmarks, the signpost for a society that is in deep trouble.
[00:11:05.157 --> 00:11:05.937]  Nazi Germany.
[00:11:07.798 --> 00:11:08.899]  In the build-up to Hitler.
[00:11:09.519 --> 00:11:15.782]  Totally obsessed with sports, with entertainment, with gambling.
[00:11:17.223 --> 00:11:19.084]  And people got an attitude of, so what?
[00:11:23.146 --> 00:11:25.307]  Same thing has happened in every other culture.
[00:11:25.787 --> 00:11:31.690]  I mean, here's an article right here out of CBS News that
[00:11:33.444 --> 00:11:42.849]  Reminds me of a CNN story two days, three days ago about a national survey headline, consumers staying single.
[00:11:44.170 --> 00:11:49.333]  And it went through the number that in just the last 30 years, they've doubled the amount of single people.
[00:11:49.733 --> 00:11:55.536]  And within another two decades, 70% of people in this country will be single.
[00:11:56.037 --> 00:11:59.859]  Now that's not a judgment about you being
[00:12:01.201 --> 00:12:02.302]  Single, so you're bad.
[00:12:02.322 --> 00:12:03.543]  There's a lot of reasons for that.
[00:12:03.884 --> 00:12:07.908]  Some people are divorced, they choose to be single, whatever the case is.
[00:12:08.088 --> 00:12:22.242]  But, expanding on that, you cannot deny that in the textbooks we've read here on air, the globalist white papers we've read, the UN documents, the Planned Parenthood documents, going back 50, 60, 70 years,
[00:12:24.670 --> 00:12:26.011]  That we've done special reports on.
[00:12:26.031 --> 00:12:29.414]  They say, we're going to push not getting married.
[00:12:29.754 --> 00:12:31.836]  We're going to push open relationships.
[00:12:32.276 --> 00:12:39.522]  We're going to push chemicals in the water to reduce fertility and confuse sexual gender identity.
[00:12:40.242 --> 00:12:51.972]  There's so much of this stuff in our water, folks, that the runoff into streams and rivers, you can just type in fish now be either sterile or bisexual, lizards, amphibians, the frogs.
[00:12:53.253 --> 00:12:58.958]  It's so bad that the shrimp are committing suicide in the Gulf of Mexico.
[00:12:58.998 --> 00:12:59.459]  There it is.
[00:12:59.839 --> 00:13:02.661]  Sex turns off many young Japanese men.
[00:13:02.881 --> 00:13:03.222]  Study.
[00:13:04.863 --> 00:13:07.045]  Guys, people won't believe about the shrimp committing suicide.
[00:13:07.065 --> 00:13:07.465]  Type in
[00:13:08.886 --> 00:13:10.287]  Shrimp commit suicide.
[00:13:11.308 --> 00:13:12.969]  Prozac making shrimp commit suicide.
[00:13:12.989 --> 00:13:13.670]  It's a U.S.
[00:13:13.710 --> 00:13:14.390]  government report.
[00:13:15.331 --> 00:13:24.919]  So much Prozac is getting into the water out of the Mississippi because of sewage runoff, and some people are on serotonin reuptake inhibitors.
[00:13:26.800 --> 00:13:36.728]  So much of it's running into the Mississippi and other rivers that the shrimp are on the mind-blasting fluoride-based chemical
[00:13:38.612 --> 00:13:39.372]  Now there's the headline.
[00:13:39.392 --> 00:13:42.114]  That's out of Mother Nature Network, but it was originally MSNBC.
[00:13:42.454 --> 00:13:44.055]  Shrimp on Prozac commit suicide.
[00:13:44.075 --> 00:13:49.857]  Study finds that shrimp swimming in Prozac contaminated water tend to just basically swim.
[00:13:50.297 --> 00:13:51.058]  We'll put it back on screen.
[00:13:51.078 --> 00:13:51.818]  I need to read the headline.
[00:13:51.958 --> 00:13:52.178]  Thanks.
[00:13:52.198 --> 00:13:59.122]  Yeah, because I was going to read the rest of the article, and I hadn't read the rest of the headline, so I won't be able to finish it.
[00:14:00.202 --> 00:14:06.105]  Study finds that shrimp swimming in Prozac contaminated water tend to swim towards the light, making them easier prey.
[00:14:07.483 --> 00:14:12.186]  And if you actually read deeper into the study, it's that they're not afraid of predators anymore.
[00:14:13.847 --> 00:14:28.356]  It puts humans and mammals, and this is in the studies from the early 80s before they approved it, Eli Lilly's Prozac, and then there were hundreds of other variants of it over the next few decades worldwide that came out, more than 30 variants here in the US.
[00:14:29.917 --> 00:14:33.539]  But what ends up happening
[00:14:35.416 --> 00:14:45.099]  Is every time the police pull up at a house and the woman's chopped her children up or driven a car off a bridge with her kids in it or every time they go to a school there's a bunch of people shot.
[00:14:45.239 --> 00:15:05.105]  In every case that I've ever seen, they're on serotonin reuptake inhibitors because it's in the hallucinogen psychotropic class and on record, just go research it, puts you into a dream state, into a highly suggestible hypnotized sleep state.
[00:15:08.769 --> 00:15:15.814]  I mean, I a few times, and I'm not putting these women down, but in college and stuff, dated girls I found out were on serotonin reuptake inhibitors.
[00:15:16.174 --> 00:15:20.857]  And I didn't even know, but after a few, dating four or five of them, I would say, are you taking SSRIs?
[00:15:22.378 --> 00:15:23.879]  And they'd be like, yes, I do.
[00:15:25.040 --> 00:15:27.541]  And I'm not going to get into how I figured out and could tell they were.
[00:15:27.581 --> 00:15:29.823]  It's just that it's like they weren't there.
[00:15:31.184 --> 00:15:33.665]  And they would, well, I'm not going to get into it.
[00:15:34.045 --> 00:15:35.947]  The point is, is they were in dream states.
[00:15:37.011 --> 00:15:38.872]  Now, I haven't even gotten into Iran.
[00:15:38.973 --> 00:15:40.354]  It's escalating towards war.
[00:15:41.394 --> 00:15:48.260]  A huge group of government documents and reports out where the globalists are openly talking about staging false flags.
[00:15:48.740 --> 00:15:53.223]  These are in public documents, like you and I are idiots and don't read them saying this.
[00:15:53.844 --> 00:15:59.168]  So then when they stage the attacks, they can grandstand as heroes and we're like, but you said you'd stage them.
[00:16:02.034 --> 00:16:04.596]  I've been telling you about eFoods Direct for a while now.
[00:16:04.936 --> 00:16:08.419]  Here are my top 10 reasons to stock up on food from eFoods Direct.
[00:16:08.619 --> 00:16:09.099]  Number 10.
[00:16:09.139 --> 00:16:11.421]  The food I get from eFoods Direct tastes great.
[00:16:11.681 --> 00:16:11.882]  Number 9.
[00:16:12.422 --> 00:16:14.243]  The eFoods meals are easy to prepare.
[00:16:14.263 --> 00:16:17.566]  8. eFoods Direct delivers the food right to my front door.
[00:16:18.186 --> 00:16:17.566]  7.
[00:16:18.487 --> 00:16:19.948]  Most of these meals cost less than $2.
[00:16:20.448 --> 00:16:19.948]  6.
[00:16:21.509 --> 00:16:23.670]  With their large variety, I can eat it every day. 5.
[00:16:24.751 --> 00:16:27.634]  I always have access to high-quality and delicious food.
[00:16:27.914 --> 00:16:31.657]  Number four, eFoods products don't spoil, so I never waste any food.
[00:16:31.897 --> 00:16:34.999]  Three, eFoods uses only safe, healthy ingredients.
[00:16:35.280 --> 00:16:39.403]  Number two, I have my own food supply and don't depend on the grocery store.
[00:16:39.603 --> 00:16:45.448]  And the number one reason I promote eFoods Direct is they build special offers just for my listeners.
[00:16:45.808 --> 00:16:46.569]  Folks, don't wait.
[00:16:46.749 --> 00:16:47.930]  Get prepared now.
[00:16:47.990 --> 00:16:49.672]  We all need to be self-sufficient.
[00:16:49.972 --> 00:16:52.515]  Call eFoodsDirect at 800-409-5633 and ask for the Alex Jones Special.
[00:16:52.535 --> 00:16:55.077]  Call eFoodsDirect at 800-409-5633 or eFoodsDirect.com forward slash Alex.
[00:17:01.360 --> 00:17:05.603]  This is Alex Jones with five good reasons you should consider buying a solar power generator.
[00:17:05.903 --> 00:17:06.523]  Number one.
[00:17:06.823 --> 00:17:09.965]  New climate legislation could easily double or triple your electric bill.
[00:17:10.246 --> 00:17:10.826]  Number two.
[00:17:11.106 --> 00:17:15.669]  Our new energy czar wants to control how much power your electric company allows you to have.
[00:17:16.009 --> 00:17:16.450]  It's true.
[00:17:16.750 --> 00:17:21.313]  Total government control of electricity in the name of smart grid technology is coming.
[00:17:21.613 --> 00:17:22.173]  Number three.
[00:17:22.453 --> 00:17:25.735]  In some areas of the country, the power grid is dangerously overloaded.
[00:17:26.036 --> 00:17:29.718]  And now, new socialist legislation is only compounding the problem.
[00:17:29.938 --> 00:17:30.479]  Number 4.
[00:17:30.719 --> 00:17:33.101]  Dangerous weather is always a threat to local grids.
[00:17:33.481 --> 00:17:36.884]  Every year, thousands of families lose their power from weather-related outages.
[00:17:37.164 --> 00:17:37.385]  Number 5.
[00:17:37.965 --> 00:17:41.888]  A solar power generator provides powerful backup, insurance, and peace of mind.
[00:17:42.109 --> 00:17:46.873]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[00:17:47.153 --> 00:17:51.176]  You can get more information at www.mysolarbackup.com.
[00:17:51.316 --> 00:17:52.898]  That's mysolarbackup.com.
[00:17:53.118 --> 00:17:55.199]  Remember, the government doesn't own the sun.
[00:17:55.360 --> 00:17:57.701]  So go to mysolarbackup.com or call 1-877-327-0365.
[00:18:03.032 --> 00:18:06.653]  Hi folks, this is Alex Jones and I want to tell you about the Silver Lungs Generator.
[00:18:06.993 --> 00:18:15.114]  Now you can produce pure and endless colloidal silver and deliver the solution directly into the bloodstream by breathing the solution through the lungs.
[00:18:15.854 --> 00:18:19.875]  The respiratory system is the first line of defense for airborne pathogens and viruses.
[00:18:20.475 --> 00:18:31.297]  The Silver Lungs Generator infuses the respiratory system with your self-produced nano-silver solutions and also delivers the silver nanoparticles instantly into the bloodstream.
[00:18:31.937 --> 00:18:40.939]  With continued legislation threatening the sale of nanosilver products, you can now produce pure and endless colloidal silver with the Silver Lungs Generator.
[00:18:41.439 --> 00:18:46.480]  Very easy to follow step-by-step instructions are provided, making production fast and simple.
[00:18:46.861 --> 00:18:54.042]  Go to www.silverlungs.com today and learn more about the breakthrough technology of the Silver Lungs Generator.
[00:18:54.362 --> 00:18:57.103]  That's www.silverlungs.com.
[00:19:02.344 --> 00:19:05.945]  Hundreds of nations have fallen to tyranny in the last century alone.
[00:19:06.345 --> 00:19:09.346]  This is our last chance to not relive history.
[00:19:09.586 --> 00:19:14.387]  As we're finishing off this agenda, they'll be pulling the rug from underneath Americans at home.
[00:19:14.748 --> 00:19:20.609]  We have tremendous influence on our President and Congress, and they really are calling the shots.
[00:19:20.769 --> 00:19:23.010]  I think it's incumbent upon all of us
[00:19:23.570 --> 00:19:23.850]  Tim Geithner?
[00:19:23.870 --> 00:19:24.290]  Bernanke?
[00:19:24.371 --> 00:19:24.991]  They're arsonists!
[00:19:25.051 --> 00:19:26.312]  They're asking for more matches!
[00:19:26.332 --> 00:19:28.573]  And the Congress is saying, who do we make the check out to?
[00:19:42.461 --> 00:19:44.322]  Today seems like nobody does care.
[00:19:44.582 --> 00:19:49.404]  And right now in Washington, D.C., we have seen a fall of the Republic.
[00:19:49.744 --> 00:19:59.668]  Get your copy of Fall of the Republic on DVD at InfoWars.com or watch it online right now in super high quality at PrisonPlanet.tv.
[00:20:02.609 --> 00:20:03.769]  Coast to Coast.
[00:20:04.150 --> 00:20:05.590]  Direct from Austin.
[00:20:06.210 --> 00:20:09.412]  You're listening to the Alex Jones Broadcasting Network.
[00:20:13.442 --> 00:20:19.003]  We now take you live to the Central Texas Command Center, in the heart of the resistance.
[00:20:19.464 --> 00:20:22.104]  You're listening to the Alex Jones Show!
[00:20:25.965 --> 00:20:39.569]  But the point that I was getting to, before I went to break and then I got off into shrimp committing suicide, and here's the Salon Magazine headline, breaking that down, Prozac makes shrimp commit suicide.
[00:20:41.425 --> 00:20:42.826]  Well, it's the same thing with humans.
[00:20:42.886 --> 00:20:46.347]  They now have to put on the inserts of those drugs that it increases suicide.
[00:20:46.747 --> 00:20:55.690]  It's funny how they give it to people who they claim are suicidal, and then when the suicide problem gets worse, their answer is, we'll put you on three or four of these drugs at once.
[00:20:56.411 --> 00:20:58.111]  These are drug-pushing companies.
[00:20:59.252 --> 00:21:04.794]  But I got into that just seeing the CBS News headline, Sex Turns Off Many Young Japanese Men.
[00:21:07.646 --> 00:21:09.227]  And they just think it's gross.
[00:21:09.327 --> 00:21:13.528]  The study shows they're pretty much just asexual.
[00:21:14.328 --> 00:21:22.291]  And that's what the history in LA that the Rockefeller Foundation publicly has written about, that we've done reports on and linked to.
[00:21:22.851 --> 00:21:27.813]  Just type in Rockefeller Foundation on chemicals in water to reduce fertility and sex drive.
[00:21:29.534 --> 00:21:42.986]  1952, 1965, Rockefeller Foundation, vaccines to reduce fertility, covertly added to population, or just type in White House science czar, current czar, talks about different things they like to add to the water to do it.
[00:21:43.267 --> 00:21:53.036]  See, this is all going on, but it's not manly to get upset about having your food and water jacked, and your culture dying, and the end of the West.
[00:21:54.625 --> 00:21:55.365]  No, no, no, no, no.
[00:21:55.845 --> 00:22:00.447]  That's not manly when you're being assaulted to actually be scientific, informed, and warning people.
[00:22:00.887 --> 00:22:14.633]  I'm just supposed to put on a big jersey, go to a bar, and eat a bunch of GMO stuff with fat all over it, soaked in MSG and get brain damage, and scream and yell and act tough.
[00:22:15.447 --> 00:22:16.648]  And then I would be a real man.
[00:22:17.168 --> 00:22:18.228]  Here it is, Rockefeller.
[00:22:18.268 --> 00:22:23.130]  In fact, you guys are pulling it up from Infowars.com, then just link to the foundation itself.
[00:22:23.530 --> 00:22:27.332]  But Rockefeller Foundation documents sterilizing vaccines.
[00:22:27.372 --> 00:22:28.652]  Good job pulling that up.
[00:22:29.373 --> 00:22:33.774]  Rockefeller Foundation developed vaccines for mass-scale fertility reduction.
[00:22:35.695 --> 00:22:38.436]  And then you can link to the 1968 yearly report.
[00:22:38.496 --> 00:22:39.477]  That's just one of many.
[00:22:39.817 --> 00:22:42.058]  And of course, what's called for was done exactly.
[00:22:43.374 --> 00:22:45.295]  And I've seen the university reports where they laugh.
[00:22:45.335 --> 00:22:53.660]  They said, well, by 2020, most men won't even be able to get a woman pregnant, and most men won't want to.
[00:22:55.041 --> 00:23:01.324]  And of course, I've shown you the Planned Parenthood doc where they talked about the chemicals in the food and water from the 1950s.
[00:23:01.344 --> 00:23:03.285]  We can pull that up for folks, maybe.
[00:23:03.926 --> 00:23:07.768]  Where they say, we're going to encourage homosexuality, and we're going to jack your food and water.
[00:23:08.686 --> 00:23:12.268]  And then, of course, they've had hundreds of publications attack me for republishing that.
[00:23:12.709 --> 00:23:13.829]  They never... It's a straw man.
[00:23:13.869 --> 00:23:17.412]  They always just say, I'm bashing gay people and saying the government did it.
[00:23:17.612 --> 00:23:19.973]  It's not a discussion of what people are doing sexually.
[00:23:20.434 --> 00:23:20.874]  You understand?
[00:23:21.194 --> 00:23:23.095]  They say they did it to you.
[00:23:23.396 --> 00:23:27.899]  Does it mean that there weren't people doing this normally or naturally or whatever in 2,000 years ago?
[00:23:28.319 --> 00:23:29.280]  Or 500 years ago?
[00:23:29.360 --> 00:23:29.740]  Or whatever?
[00:23:29.840 --> 00:23:30.060]  No.
[00:23:30.460 --> 00:23:35.644]  The point is, the frogs, the male frogs, think they're females now.
[00:23:37.155 --> 00:23:40.057]  When I say that about a frog, I'm not bashing the gay frog.
[00:23:40.838 --> 00:23:42.319]  But the chemical got in the water.
[00:23:42.859 --> 00:23:46.022]  There's so much of it in our water, it runs off and makes him.
[00:23:46.742 --> 00:23:48.884]  In fact, it actually changes them in reproduction.
[00:23:48.904 --> 00:23:50.205]  They end up being hermaphrodites.
[00:23:50.225 --> 00:23:51.425]  In fact, people won't believe that.
[00:23:51.445 --> 00:23:58.330]  Look up lakes and streams, fish hermaphrodites, fish sterile, or frogs sterile.
[00:23:58.771 --> 00:24:04.154]  I've seen reports of in some rivers, two-thirds of fish sterile because of chemicals in water.
[00:24:04.495 --> 00:24:06.176]  See, I'm telling you about a poison.
[00:24:09.249 --> 00:24:12.792]  But here's CBS, call Japan the incredible shrinking country.
[00:24:14.733 --> 00:24:19.256]  Fewer babies means Japan's population could plunge by 30% in coming decades, and it already has.
[00:24:19.756 --> 00:24:21.658]  There are many reasons for this demographic freefall.
[00:24:21.678 --> 00:24:24.540]  For instance, Japan is all but closed to foreign immigrants.
[00:24:25.780 --> 00:24:27.882]  Yeah, but countries could always grow without immigrants.
[00:24:28.622 --> 00:24:36.788]  The United States had a two, for every two people in 1900, you look these numbers up, on average had about four and a half children.
[00:24:37.448 --> 00:24:38.509]  That's the ones that lived.
[00:24:41.496 --> 00:24:44.217]  You know, the old families that they told you weren't trendy.
[00:24:46.298 --> 00:24:50.280]  And, you know, all the shows, you know, the programming of, oh, having kids is horrible.
[00:24:50.580 --> 00:24:52.300]  Oh my gosh, you got kids, it's terrible.
[00:24:53.301 --> 00:24:58.163]  My wife even has, like, trendies come up and hiss at her at Whole Foods and say, you've got three kids, that's not good for the earth.
[00:24:58.603 --> 00:25:02.305]  I mean, there it is, sex-changing chemicals found in Potomac River.
[00:25:03.185 --> 00:25:10.468]  And that's National Geographic news and it talks about the fish and the frogs and things being hermaphrodites or being sterilized.
[00:25:11.041 --> 00:25:12.682]  But again, I'm bashing the gay fish.
[00:25:13.082 --> 00:25:14.163]  Now, let's continue here.
[00:25:14.443 --> 00:25:15.884]  Propaganda everywhere.
[00:25:17.605 --> 00:25:22.728]  Almost every new cartoon, sitcoms, dramas, it's hellish to have children, hellish to be married.
[00:25:22.748 --> 00:25:26.931]  And again, this is being done.
[00:25:26.951 --> 00:25:29.352]  If it was your choice normally, that always happened.
[00:25:30.052 --> 00:25:30.693]  That's fine.
[00:25:31.593 --> 00:25:33.294]  We're not bashing single families here.
[00:25:33.675 --> 00:25:36.777]  The point is, this modern culture is designed to wreck the family.
[00:25:37.157 --> 00:25:40.559]  That's why it becomes a self-fulfilling prophecy of it being horrible.
[00:25:41.718 --> 00:25:47.583]  Just like every action-adventure movie I see, I saw two in the last week, Law Abiding Citizen and Source Code.
[00:25:47.643 --> 00:25:55.689]  In both of these, right-wingers are terrorists, checkpoints are everywhere, SWAT teams are everywhere, and the right-wing guy in Source Code wants to nuke Chicago.
[00:25:56.270 --> 00:25:59.813]  Doesn't happen in reality, but it's a simulated reality.
[00:25:59.833 --> 00:26:04.536]  See, it's out of the propaganda that you know what they're going to do next.
[00:26:05.277 --> 00:26:06.238]  And I'm now digressing.
[00:26:07.765 --> 00:26:11.527]  But it goes on, um, there are many reasons for the democratic freefall.
[00:26:12.848 --> 00:26:17.311]  But young Japanese men are taking some of the blame for Japan's population decline.
[00:26:18.251 --> 00:26:23.114]  Studies show young males are apathetic about dating and disinterested in sex.
[00:26:23.154 --> 00:26:32.360]  Ladies and gentlemen, by the time I was 13 years old, well, I mean, I remember being, you know, in first grade and the other boys were going, girls?
[00:26:32.780 --> 00:26:33.140]  Eww!
[00:26:33.600 --> 00:26:36.082]  And I just thought they were cute and sweet and wanted to be friends with them.
