[00:00:06.755 --> 00:00:07.076]  Oh, yeah.
[00:03:12.905 --> 00:03:22.553]  They are about to pump more fiat dollars into the economy as job growth has predictably and dramatically declined in the month of August.
[00:03:22.973 --> 00:03:26.677]  The unemployment rate varies depending on, you know, which studies you look at.
[00:03:27.077 --> 00:03:33.002]  The government's U6 figures show unemployment at around 14.9 percent.
[00:03:33.323 --> 00:03:34.784]  This is in the start of August.
[00:03:35.365 --> 00:03:41.590]  Reuters is reporting, and they are way off the mark, they are saying that it's only 8.3 percent.
[00:03:42.131 --> 00:03:47.716]  But the seasonally adjusted SGS alternative, or excuse me, alternate unemployment rate
[00:03:48.083 --> 00:03:51.566]  Puts the real jobless figure at about 23%.
[00:03:53.548 --> 00:04:01.174]  In August, another 8 million Americans were working part-time, and that's double what it was at the start of the Depression.
[00:04:01.638 --> 00:04:09.183]  Additionally, 5.2 million, also doubled the number of four years ago, are marginally attached to the labor force.
[00:04:09.604 --> 00:04:14.287]  Combined, this adds up to 25.8 million Americans.
[00:04:14.327 --> 00:04:17.089]  That's the real number, even ignoring the nearly 400,000
[00:04:18.610 --> 00:04:22.012]  Who mysteriously dropped out of the labor force.
[00:04:22.412 --> 00:04:36.381]  So this is truly unemployment at epidemic levels, coupled with underemployment and low wages by corporations who are, well no doubt, they are adopting the China slave wage model.
[00:04:36.601 --> 00:04:38.082]  I mean that's what this is.
[00:04:38.722 --> 00:04:43.385]  This is the banking cartels engineered depression.
[00:04:43.685 --> 00:04:45.386]  This is by design.
[00:04:46.109 --> 00:04:57.894]  So, and the latest unemployment figures is probably the last piece the Fed needs before launching another quantitative easing probably sometime next week.
[00:04:58.434 --> 00:05:04.856]  As the economy crashes, of course, at the same time the crime rate spikes.
[00:05:05.236 --> 00:05:06.677]  It's, you know, they go hand-in-hand.
[00:05:07.142 --> 00:05:16.326]  The economy crashes and the crime rate spikes alarmingly so right now because we're seeing some numbers and statistics here as well.
[00:05:16.766 --> 00:05:34.573]  Here's an infographic that we put together from sources like the, we got this, the sources from the FBI and the Department of Justice that shows an extremely alarming rate of an increase of burglaries, property crimes, robberies, and home invasions.
[00:05:35.486 --> 00:05:44.134]  According to these figures, one out of every five homes in America will experience either a break-in or a home invasion.
[00:05:44.954 --> 00:05:46.496]  That's one in five.
[00:05:47.156 --> 00:05:50.619]  So with numbers like that, you know, you can't deny that it's
[00:05:51.414 --> 00:05:54.116]  Probably a good idea to start protecting your home.
[00:05:55.016 --> 00:05:59.059]  You know, maybe get some, you know, an alarm system and get firearms.
[00:05:59.179 --> 00:06:01.621]  You know, protect yourself, defend your family.
[00:06:02.121 --> 00:06:06.024]  And we have a good example of someone who recently did just that.
[00:06:06.444 --> 00:06:15.290]  This is a story out of Kentucky that made headlines this past week as a 92-year-old man defended his home from an intruder.
[00:06:15.590 --> 00:06:16.911]  His name is Earl Jones.
[00:06:17.692 --> 00:06:19.553]  He's a farmer and a war veteran.
[00:06:20.313 --> 00:06:21.174]  And earlier this week,
[00:06:21.937 --> 00:06:24.481]  You know, you heard some noises down in his basement.
[00:06:24.501 --> 00:06:26.464]  This is like about two o'clock in the morning.
[00:06:26.704 --> 00:06:34.917]  So he grabbed his .22 caliber rifle, sat down on his chair, and waited for the intruder to surface from the basement.
[00:06:35.615 --> 00:06:38.917]  He said he could hear, you know, steps coming up from the basement.
[00:06:38.937 --> 00:06:40.198]  They're growing louder and louder.
[00:06:40.698 --> 00:06:43.340]  And then suddenly the burglar kicked the door down.
[00:06:43.880 --> 00:06:52.866]  I guess the intruder, 24-year-old Lloyd Maxwell, was trying to surprise Jones by breaking into his house at 2 o'clock in the morning and kicking his door down.
[00:06:53.326 --> 00:06:59.650]  But, uh, you know, the old man had a even bigger surprise in store for the intruder.
[00:07:00.270 --> 00:07:00.791]  He shot him.
[00:07:01.491 --> 00:07:02.151]  Right in the chest.
[00:07:02.452 --> 00:07:02.992]  And he killed him.
[00:07:03.672 --> 00:07:04.573]  And the guy, uh,
[00:07:05.236 --> 00:07:15.464]  Took a hit to the chest, he took a couple steps back and then he fell all the way back down the stairs where two of his buddies were at the bottom of the stairs.
[00:07:15.504 --> 00:07:23.371]  They had to drag his dead body out of the house into their getaway vehicle and they all got out of there in a real big hurry.
[00:07:23.931 --> 00:07:27.033]  So obviously they messed with the wrong guy.
[00:07:27.053 --> 00:07:29.174]  I want to play a clip right now.
[00:07:29.595 --> 00:07:35.999]  This is where a Cincinnati reporter asked Earl Jones why he called 9-1-1.
[00:07:36.079 --> 00:07:36.679]  Let's check it out.
[00:07:36.959 --> 00:07:39.581]  People wonder why you didn't dial 9-1-1.
[00:07:40.581 --> 00:07:40.922]  Why?
[00:07:43.443 --> 00:07:44.564]  I'm a military man.
[00:07:44.664 --> 00:07:46.245]  I ain't gonna dial somebody.
[00:07:46.265 --> 00:07:51.188]  I'd have to wait for an arm of them guy shooting me in the face and gone and all that kind of stuff.
[00:07:52.486 --> 00:07:57.591]  Now, if I hadn't shot him, he'd have been in here attacking me or whatever, you know.
[00:07:58.251 --> 00:07:59.032]  That's seconds.
[00:07:59.252 --> 00:08:00.513]  That isn't no damn ours.
[00:08:02.235 --> 00:08:03.336]  Well, you gotta love this guy.
[00:08:03.396 --> 00:08:05.137]  I mean, he's 92 years old.
[00:08:05.197 --> 00:08:06.679]  He's a World War II veteran.
[00:08:07.279 --> 00:08:13.965]  And, you know, two o'clock in the morning, three thugs try to, you know, they break into his house and, you know, he lets them have it.
[00:08:14.312 --> 00:08:27.097]  He gives them what they deserve, and wouldn't you know it, I was checking out some of the mainstream media press about this, and they tried to demonize Earl Jones for simply protecting himself.
[00:08:27.177 --> 00:08:29.098]  Who knows what these guys were capable of doing?
[00:08:29.418 --> 00:08:31.399]  They could have come in, it's home invasion time.
[00:08:31.699 --> 00:08:40.262]  So he did what he had to do, but the liberal press was saying that he should have called the cops, and he should have waited for the police to come there and handle it.
[00:08:40.609 --> 00:08:45.371]  So this is, you know, the typical kind of reaction that we've learned to expect from the establishment media.
[00:08:45.791 --> 00:08:49.232]  They want us to be totally dependent on the police.
[00:08:49.392 --> 00:08:52.433]  They want us to be totally dependent on the government.
[00:08:52.453 --> 00:08:53.453]  They want a nanny state.
[00:08:53.713 --> 00:08:57.654]  So, you know, look, the economy is crashing.
[00:08:58.275 --> 00:09:06.977]  So there's no doubt that while the economy crashes, that criminals are going to be more and more desperate as that goes on.
[00:09:07.077 --> 00:09:08.958]  So, you know, it's definitely time to
[00:09:09.926 --> 00:09:12.771]  Get a firearm to protect yourself, to protect your family.
[00:09:13.131 --> 00:09:17.138]  It is your God-given right to defend yourself.
[00:09:17.538 --> 00:09:18.680]  Alright, let's move on.
[00:09:18.981 --> 00:09:20.764]  We have more TSA news.
[00:09:21.514 --> 00:09:34.557]  And yesterday we showed you a video where our very own InfoWars reporters were detained at right here in the Austin International Airport and the confrontation was captured on video.
[00:09:34.857 --> 00:09:39.258]  You can still see it on our website or you can go to the Alex Jones channel on YouTube and check it out.
[00:09:39.598 --> 00:09:43.819]  But now we have another incident and this one is out of Houston.
[00:09:44.399 --> 00:09:55.934]  Where the TSA prevented a woman from boarding her flight as punishment for refusing to allow their agents to test her drink for explosives.
[00:09:56.766 --> 00:10:13.418]  So here we go, this of course after she's already gone through security, she's already gone through either the grope down or the naked body x-ray, and now after she's gone through all that, now they want to test her drink that she purchased.
[00:10:13.638 --> 00:10:19.422]  So this is more police state conditioning, and the confrontation was also captured on video.
[00:10:19.462 --> 00:10:21.083]  We're going to take a look right now.
[00:10:23.208 --> 00:10:27.731]  Do you think that I'm honestly a threat?
[00:10:27.751 --> 00:10:28.612]  Do you think that?
[00:10:28.632 --> 00:10:28.952]  No, no, no.
[00:10:28.972 --> 00:10:29.913]  But with your attitude?
[00:10:29.933 --> 00:10:30.173]  No, no, no.
[00:10:30.193 --> 00:10:30.273]  Okay.
[00:10:30.293 --> 00:10:31.053]  So, wait a minute.
[00:10:31.094 --> 00:10:32.094]  Let me get this straight.
[00:10:32.154 --> 00:10:33.976]  This is retaliatory for my attitude.
[00:10:34.256 --> 00:10:35.897]  This is not making the airways safer.
[00:10:35.957 --> 00:10:36.878]  It's retaliatory.
[00:10:36.938 --> 00:10:38.139]  So, you pretty much said yes.
[00:10:38.159 --> 00:10:38.999]  So, is that legal?
[00:10:39.159 --> 00:10:39.640]  Yes, it is.
[00:10:44.178 --> 00:10:44.958]  So there you have it.
[00:10:45.018 --> 00:10:49.080]  You know, the video is kind of scratchy, so in case you missed it, you know, it was a little hard to hear.
[00:10:49.540 --> 00:10:51.741]  The woman says, let me get this straight.
[00:10:52.261 --> 00:10:55.302]  This is retaliatory for my attitude.
[00:10:55.842 --> 00:10:58.463]  This is not making the airways safer.
[00:10:58.863 --> 00:11:02.844]  And the screener admits that yes, it had nothing to do with security.
[00:11:03.204 --> 00:11:11.927]  So apparently the TSA can now kick you off a flight for having what they believe is a bad attitude.
[00:11:13.088 --> 00:11:13.728]  Only in America.
[00:11:14.753 --> 00:11:43.509]  Speaking of America and speaking of the police state, have you seen those, they've got black boxes now that they put on police cars, either on the top of police cars or in the back, and most departments have these now, and they are roof-mounted license plate readers, basically high-tech surveillance cameras, and they automatically scan roads and parking lots with lightning-fast optics capable of photographing a license plate in the blink of an eye.
[00:11:44.167 --> 00:11:47.868]  Hundreds of license plates are captured in a single patrol.
[00:11:48.254 --> 00:11:55.498]  You know, one patrol or squad car and just one day's work is going to capture thousands and thousands of license plates.
[00:11:55.559 --> 00:12:12.709]  And according to documents recently obtained by the Gazette in Colorado under the Colorado Open Records Act, we now know that the license plate readers allow the police to construct searchable databases of hundreds of thousands of license plates belonging to ordinary drivers.
[00:12:12.749 --> 00:12:17.112]  So, you know, this is not just for lawbreakers, this is for everyone.
[00:12:17.592 --> 00:12:33.373]  And the information gives investigators a look at where people travel, how they spend their time, and it's all characterized in an internal police document that they say is a massive intelligence base.
[00:12:33.833 --> 00:12:35.576]  So now, they are recording
[00:12:35.976 --> 00:12:42.120]  The movements, you know, our movements over time from place to place and putting it in one large database.
[00:12:42.441 --> 00:12:47.644]  They're saying hundreds of thousands here of innocent people are being tracked, but that's just in Colorado.
[00:12:48.245 --> 00:12:52.247]  Like I said, these things are all over the country, so chances are, you know, it's millions.
[00:12:52.348 --> 00:13:02.895]  It's millions of us that are now being tracked by the police and no doubt about it, you know, Big Brother is watching in more ways than one.
[00:13:03.584 --> 00:13:13.789]  Okay, now we're going to take you to a new video that was just recently put together by our very own Melissa Melton, who explores the U.N.
[00:13:14.089 --> 00:13:16.350]  land grab that is Agenda 21.
[00:13:17.431 --> 00:13:18.131]  Let's take a look.
[00:13:18.712 --> 00:13:21.313]  I'm Melissa Melton reporting for InfoWars.com.
[00:13:22.053 --> 00:13:28.617]  As Agenda 21, the United Nations' plan to take control of the world from the local level up grows across America under the guise of the Green Movement.
[00:13:28.997 --> 00:13:33.019]  Our national sovereignty, our personal freedom, and our very way of life is under attack.
[00:13:33.621 --> 00:13:35.981]  What is Agenda 21 for new listeners?
[00:13:36.041 --> 00:13:36.802]  Why is it important?
[00:13:36.842 --> 00:13:38.802]  And what are the new big developments?
[00:13:38.842 --> 00:13:42.203]  I mean, is it safe to say the battle is joined right now, Rosa?
[00:13:42.383 --> 00:13:50.284]  For people who don't know what Agenda 21 is, it's basically, it's not what is Agenda 21, it's almost what isn't.
[00:13:50.624 --> 00:13:52.325]  It is the blueprint.
[00:13:52.485 --> 00:13:59.686]  It is the action plan to inventory and control all land, all water,
[00:14:00.798 --> 00:14:12.465]  All plants, all minerals, all construction, all animals, all means of production, all energy, all information, and all human beings in the world.
[00:14:13.066 --> 00:14:19.310]  It is a completely comprehensive plan, it's global, and it's implemented locally.
[00:14:19.810 --> 00:14:33.161]  Agenda 21 highlights include the destruction of the family unit in the name of sustainable development, with people being forced to live in tight, compact cities in high-rise, stack-em-and-pack-em apartments no bigger than this 16 by 16 foot space.
[00:14:34.102 --> 00:14:37.965]  I decided to ask people what they thought about the UN's plan to get people on the grid.
[00:14:38.786 --> 00:14:42.409]  So, would you live in a house no bigger than the size of this square?
[00:14:49.147 --> 00:14:51.689]  It feels like a jail cell, no way!
[00:14:52.269 --> 00:14:53.470]  I mean, it's impossible.
[00:14:53.930 --> 00:14:56.872]  Well, you know, it depends on what my options would be.
[00:14:57.733 --> 00:15:03.356]  If this was the only option, I'm sure it would be living under a bridge.
[00:15:04.077 --> 00:15:05.598]  You need one of these twice this size.
[00:15:05.618 --> 00:15:07.199]  This would be your entire house?
[00:15:07.659 --> 00:15:09.200]  Yeah, three times as big, really.
[00:15:09.801 --> 00:15:14.964]  Yeah, I've lived in one about this size, and it was like being an animal in a box or something.
[00:15:15.544 --> 00:15:16.925]  Would you do it for the good of the earth?
[00:15:17.766 --> 00:15:18.006]  Maybe.
[00:15:18.962 --> 00:15:19.162]  Yes.
[00:15:19.382 --> 00:15:19.622]  Yes.
[00:15:19.922 --> 00:15:20.122]  Yes.
[00:15:22.883 --> 00:15:23.463]  Yes, I would.
[00:15:23.843 --> 00:15:24.223]  You would?
[00:15:24.323 --> 00:15:24.544]  Yeah.
[00:15:25.224 --> 00:15:26.004]  Have you ever heard of Agenda 21?
[00:15:26.044 --> 00:15:26.284]  I haven't.
[00:15:26.304 --> 00:15:26.344]  No.
[00:15:26.424 --> 00:15:26.524]  No.
[00:15:26.544 --> 00:15:26.604]  No.
[00:15:26.624 --> 00:15:26.664]  No.
[00:15:26.964 --> 00:15:27.064]  No.
[00:15:27.104 --> 00:15:27.144]  No.
[00:15:27.164 --> 00:15:27.204]  No.
[00:15:27.224 --> 00:15:27.264]  No.
[00:15:27.284 --> 00:15:27.324]  No.
[00:15:28.325 --> 00:15:28.505]  No.
[00:15:28.565 --> 00:15:28.605]  No.
[00:15:29.525 --> 00:15:29.665]  No.
[00:15:29.685 --> 00:15:29.725]  No.
[00:15:29.845 --> 00:15:29.925]  No.
[00:15:29.965 --> 00:15:30.005]  No.
[00:15:30.425 --> 00:15:30.525]  No.
[00:15:30.545 --> 00:15:30.585]  No.
[00:15:31.705 --> 00:15:31.745]  No.
[00:15:31.765 --> 00:15:31.825]  No.
[00:15:31.845 --> 00:15:31.905]  No.
[00:15:32.046 --> 00:15:32.146]  No.
[00:15:32.166 --> 00:15:32.206]  No.
[00:15:32.286 --> 00:15:32.326]  No.
[00:15:32.346 --> 00:15:32.386]  No.
[00:15:32.406 --> 00:15:32.446]  No.
[00:15:32.466 --> 00:15:32.506]  No.
[00:15:32.526 --> 00:15:32.926]  No.
[00:15:32.966 --> 00:15:33.106]  No.
[00:15:33.446 --> 00:15:33.486]  No.
[00:15:33.526 --> 00:15:33.566]  No.
[00:15:33.586 --> 00:15:33.666]  No.
[00:15:33.686 --> 00:15:33.726]  No.
[00:15:33.746 --> 00:15:33.786]  No.
[00:15:33.806 --> 00:15:33.846]  No.
[00:15:33.886 --> 00:15:33.926]  No.
[00:15:33.946 --> 00:15:34.006]  No.
[00:15:34.026 --> 00:15:34.066]  No.
[00:15:34.086 --> 00:15:34.126]  No.
[00:15:34.146 --> 00:15:34.206]  No.
[00:15:34.226 --> 00:15:34.266]  No.
[00:15:34.286 --> 00:15:34.346]  No.
[00:15:34.366 --> 00:15:34.426]  No.
[00:15:34.446 --> 00:15:34.486]  No.
[00:15:34.506 --> 00:15:34.586]  No.
[00:15:34.606 --> 00:15:34.646]  No.
[00:15:34.666 --> 00:15:34.766]  No.
[00:15:34.786 --> 00:15:34.826]  No.
[00:15:34.846 --> 00:15:34.886]  No.
[00:15:34.906 --> 00:15:34.946]  No.
[00:15:34.966 --> 00:15:35.006]  No.
[00:15:35.026 --> 00:15:35.066]  No.
[00:15:35.086 --> 00:15:35.126]  No.
[00:15:35.146 --> 00:15:35.186]  No.
[00:15:35.206 --> 00:15:35.246]  No.
[00:15:35.266 --> 00:15:35.306]  No.
[00:15:35.326 --> 00:15:35.366]  No.
[00:15:35.426 --> 00:15:35.486]  No.
[00:15:35.526 --> 00:15:35.606]  No.
[00:15:35.626 --> 00:15:35.666]  No.
[00:15:35.687 --> 00:15:35.727]  No.
[00:15:35.747 --> 00:15:35.907]  No.
[00:15:35.927 --> 00:15:35.987]  No.
[00:15:36.007 --> 00:15:36.087]  No.
[00:15:36.107 --> 00:15:36.167]  No.
[00:15:36.187 --> 00:15:36.247]  No.
[00:15:36.267 --> 00:15:36.327]  No.
[00:15:36.367 --> 00:15:36.407]  No.
[00:15:36.427 --> 00:15:36.467]  No.
[00:15:36.487 --> 00:15:36.527]  No.
[00:15:36.547 --> 00:15:36.587]  No.
[00:15:36.607 --> 00:15:36.647]  No.
[00:15:36.667 --> 00:15:36.707]  No.
[00:15:36.747 --> 00:15:36.807]  No.
[00:15:36.867 --> 00:15:36.987]  No.
[00:15:37.007 --> 00:15:37.087]  No.
[00:15:37.127 --> 00:15:37.207]  No.
[00:15:37.267 --> 00:15:37.347]  No.
[00:15:37.387 --> 00:15:37.447]  No.
[00:15:37.467 --> 00:15:37.507]  No.
[00:15:37.527 --> 00:15:37.567]  No.
[00:15:37.607 --> 00:15:37.687]  No.
[00:15:37.747 --> 00:15:37.887]  No.
[00:15:37.907 --> 00:15:37.947]  No.
[00:15:37.967 --> 00:15:38.007]  No.
[00:15:38.047 --> 00:15:38.127]  No.
[00:15:38.167 --> 00:15:38.267]  No.
[00:15:38.327 --> 00:15:38.367]  No.
[00:15:38.387 --> 00:15:38.427]  No.
[00:15:38.447 --> 00:15:38.507]  No.
[00:15:38.547 --> 00:15:38.647]  No.
[00:15:38.667 --> 00:15:38.707]  No.
[00:15:38.727 --> 00:15:38.767]  No.
[00:15:38.787 --> 00:15:38.827]  No.
[00:15:38.847 --> 00:15:38.927]  No.
[00:15:38.967 --> 00:15:39.067]  No.
[00:15:39.087 --> 00:15:39.127]  No.
[00:15:39.147 --> 00:15:39.187]  No.
[00:15:39.207 --> 00:15:39.267]  No
[00:15:41.553 --> 00:15:42.594]  I think that's terrible.
[00:15:42.674 --> 00:15:51.478]  Sounds kind of like Chinese foreign policy or interior policy regarding their house and how they're controlling all aspects of your life.
[00:15:52.418 --> 00:15:53.459]  I don't think it sounds fair.
[00:15:53.479 --> 00:15:55.079]  Oh wow.
[00:15:56.140 --> 00:16:06.565]  This map, entitled Simulated Reserve and Corridor System to Protect Biodiversity, illustrates how the UN's Agenda 21 plan would work in the United States.
[00:16:07.671 --> 00:16:11.614]  Under this takeover, all personal property rights would cease to exist.
[00:16:12.534 --> 00:16:18.498]  The red zones, which make up the map's majority, will be mandated for little to no human use.
[00:16:19.419 --> 00:16:23.121]  The yellow zones are buffer zones for highly regulated use.
[00:16:24.182 --> 00:16:28.225]  Only in the scant green areas is any normal human use allowed.
[00:16:29.165 --> 00:16:45.152]  The tiny black dots are the dense megacities, where transportation will be tightly controlled, freedom will be restricted, and people will be packed in like sardines, living in tiny 275 square foot units amounting to little more than jail cells.
[00:16:46.052 --> 00:16:47.933]  All in the name of saving the Earth.
[00:16:48.883 --> 00:16:54.505]  Let's move right along now to Agenda 21 micro apartment scheme being beta tested in New York City.
[00:16:54.925 --> 00:17:03.468]  Now they passed a law last year, 2011 in Germany, saying that all new homes by 2020 could not be single-parent.
[00:17:03.488 --> 00:17:04.889]  You've got to live in these big dormitories.
[00:17:06.348 --> 00:17:16.656]  And now Bloomberg, who wants to control what you eat and what you do and ban your guns, says these studios and one-bedroom apartments, they're like closets, will be no bigger than 275 to 300 square feet.
[00:17:16.696 --> 00:17:19.158]  That's called a tiny supermax cell.
[00:17:19.638 --> 00:17:24.102]  These tiny living spaces are smaller than currently allowed by building regulations.
[00:17:24.722 --> 00:17:26.444]  And they say this is good for the earth.
[00:17:26.704 --> 00:17:28.525]  See, they can raise more taxes.
[00:17:29.086 --> 00:17:34.070]  They'll charge you more for a 200 square foot cell than for a thousand foot.
[00:17:34.950 --> 00:17:35.932]  This is how this works.
[00:17:36.953 --> 00:17:38.095]  More for less.
[00:17:38.155 --> 00:17:42.401]  The Eugenics Gena 21 Post-Industrial Slave Model.
[00:17:42.901 --> 00:17:47.367]  They're actually already beta testing these micro apartments in New York City and San Francisco.
[00:17:47.387 --> 00:17:47.968]  Have you heard of that?
[00:17:48.249 --> 00:17:48.649]  I haven't.
[00:17:48.769 --> 00:17:49.350]  I'm afraid not.
[00:17:50.188 --> 00:17:54.291]  I think we need to support abandoning this idea.
[00:17:54.311 --> 00:18:01.816]  Well, it's not going to happen if they're dealing with humans, because no one's going to bow down and say, yes, we are living in this.
[00:18:02.256 --> 00:18:03.937]  Not everybody's going to do it.
[00:18:04.678 --> 00:18:08.500]  As Agenda 21 creeps across the country, more and more people will be forced to face it.
[00:18:09.081 --> 00:18:16.406]  While sustainable development may sound like a beneficial idea, is giving up all of our liberty in the name of the greater good really such a good idea?
[00:18:16.426 --> 00:18:19.828]  I'm Melissa Melton reporting for InfoWars Nightly News.
[00:18:20.668 --> 00:18:21.409]  Thank you, Melissa.
[00:18:21.449 --> 00:18:28.914]  Now, you know, of course, the elite, they're not going to expect to live in those... They're not going to live in those tiny little apartments.
[00:18:28.954 --> 00:18:31.396]  They're going to expect you and your family to do it.
[00:18:31.576 --> 00:18:39.422]  And for those of you who want to know more about the UN Agenda 21, I suggest this book right here.
[00:18:39.462 --> 00:18:43.265]  It's called Behind the Green Mask, UN Agenda 21.
[00:18:43.805 --> 00:18:49.189]  All the information that you need to understand what is happening in your town, why it is happening,
[00:18:49.530 --> 00:18:52.557]  Who is behind it and what you can do to stop it.
[00:18:53.138 --> 00:18:53.660]  Check it out.
[00:18:53.780 --> 00:18:55.444]  It's by Rosa Corey or excuse me.
[00:18:55.464 --> 00:18:56.527]  That's it Rosa Corey.
[00:18:57.088 --> 00:19:00.249]  And it's available right now at InfoWarshop.com.
[00:19:00.569 --> 00:19:02.510]  That brings us to our quote of the day.
[00:19:02.890 --> 00:19:06.471]  This by Mike Marsh, RFID pioneer.
[00:19:06.911 --> 00:19:13.072]  And he says, only a couple of companies in the world have the experience of building these machines.
[00:19:13.673 --> 00:19:21.975]  Although the market need, if RFID did take off, would be for about one million of the machines running in parallel.
[00:19:22.155 --> 00:19:22.475]  Wow!
[00:19:22.535 --> 00:19:25.296]  That's Mike Marsh, RFID pioneer.
[00:19:26.096 --> 00:19:28.619]  And Mark of the Beast Specialist.
[00:19:29.159 --> 00:19:31.141]  That's going to do it for the first half of our show.
[00:19:31.161 --> 00:19:32.602]  We're going to take a quick break.
[00:19:33.043 --> 00:19:38.548]  But when we return, the UN Agenda 21 discussion continues.
[00:19:38.908 --> 00:19:40.750]  This time with Dan Bodondi.
[00:19:40.810 --> 00:19:43.733]  He's going to interview Dave Kopasz.
[00:19:44.233 --> 00:19:48.938]  He is a Liberty activist and they plan to uncover the landmark
[00:19:49.358 --> 00:19:52.225]  Planning policy, that is UN Agenda 21.
[00:19:52.306 --> 00:19:54.792]  That's coming up next, so stick around.
[00:19:55.153 --> 00:19:56.716]  The Info Wars Nightly News.
[00:19:56.857 --> 00:19:57.478]  We'll be right back.
[00:20:22.188 --> 00:20:24.929]  Alex Jones here with a message to fellow freedom lovers.
[00:20:25.209 --> 00:20:30.051]  The prognosis for the entire planetary economic system runs from bad to worse.
[00:20:30.231 --> 00:20:37.454]  The globalist model is to shut down societies and starve patriots out until they acquiesce to the global takeover.
[00:20:37.574 --> 00:20:42.996]  That's why we've assembled the most vital and important preparedness items at InfoWarsShop.com.
[00:20:43.216 --> 00:20:46.977]  These are items that I did research on, that I personally use.
[00:20:47.257 --> 00:20:51.799]  You've got the LifeStraw, so you can turn fetid water into safe water anywhere you go.
[00:20:51.999 --> 00:20:57.261]  The KTOR Hand Crank Generator, to charge up key equipment during power outages or out in the field.
[00:20:57.521 --> 00:21:00.603]  Strategic Relocation 3rd Edition by Joel Skousen.
[00:21:00.723 --> 00:21:03.005]  When Disaster Strikes by Matthew Stein.
[00:21:03.265 --> 00:21:07.889]  Therosafe, used by Homeland Security to protect yourself during any radiological event.
[00:21:08.029 --> 00:21:10.511]  Hand-cranked shortwave AM FM radios.
[00:21:10.951 --> 00:21:17.996]  Everything that we've researched and found to be the best is available at Infowarshop.com and your purchase makes our Infowar possible.
[00:21:18.176 --> 00:21:19.237]  We're getting prepared.
[00:21:19.457 --> 00:21:19.877]  Are you?
[00:21:20.138 --> 00:21:21.499]  Infowarshop.com
[00:21:23.288 --> 00:21:28.571]  Sick of the globalist eugenicist control freaks adding poison to your water and laughing as you get sick and die?
[00:21:28.831 --> 00:21:31.033]  Start purifying your water with ProPure.
[00:21:31.253 --> 00:21:36.816]  My friends, I've done a lot of research, and the best gravity filter out there bar none is ProPure.
[00:21:36.996 --> 00:21:40.218]  And it's available discounted at infowars.com.
[00:21:40.398 --> 00:21:43.600]  Its filters are silver impregnated to prevent bacterial growth.
[00:21:43.861 --> 00:21:45.301]  There's no priming required.
[00:21:45.562 --> 00:21:47.603]  It's NSF-42 certified.
[00:21:47.863 --> 00:21:50.364]  Optional fluoride filters can reduce fluoride up to 95%.
[00:21:51.445 --> 00:21:52.786]  Easy to set up and use.
[00:21:52.986 --> 00:21:54.287]  Doesn't require electricity.
[00:21:54.407 --> 00:21:57.289]  Purify water from lakes, streams, ponds, and wells.
[00:21:57.589 --> 00:22:00.791]  This filter system leaves in beneficial minerals, which is key.
[00:22:00.991 --> 00:22:05.014]  Save money by not buying bottled water, and avoid BPA that leaches from the plastic.
