[00:00:00.029 --> 00:00:00.549]  Alex Jones!
[00:03:15.552 --> 00:03:25.363]  And give the example of the Republic versus being the corrupt empire we've become, conquered by foreign interest, then we can restore the Republic.
[00:03:26.044 --> 00:03:28.567]  And this is not something that's going to happen overnight.
[00:03:30.469 --> 00:03:34.934]  As Dr. Vieira said yesterday, he said if we really prosecute this, it would take three years.
[00:03:35.990 --> 00:03:38.552]  And things will be very bad indeed within three years.
[00:03:38.973 --> 00:03:40.974]  We are being imploded by design.
[00:03:41.014 --> 00:03:42.576]  This is a worldwide program.
[00:03:43.036 --> 00:03:45.518]  This has been done in countries over and over and over again.
[00:03:45.798 --> 00:03:48.861]  So we know exactly what the globalists are going to do.
[00:03:51.103 --> 00:03:57.008]  We know exactly what they are going to engage in.
[00:03:59.410 --> 00:04:03.013]  And it is so frustrating
[00:04:04.639 --> 00:04:20.752]  To see the mind game, they have another word for it, it's a profane term, the mind, you know what, that people are under, where they value their servitude and tyranny and giggle at you when you try to explain to them what's happening.
[00:04:21.592 --> 00:04:28.418]  Okay, but this is a scientific program we're under and there's only one way out, short of violence.
[00:04:29.318 --> 00:04:33.622]  And don't worry, when we start having success fighting these guys peacefully, they're gonna get violent.
[00:04:34.684 --> 00:04:36.485]  But we had to let them get violent first.
[00:04:36.505 --> 00:04:38.987]  We'll be right back, ladies and gentlemen.
[00:04:39.007 --> 00:04:39.507]  Stay with us.
[00:04:40.348 --> 00:04:50.514]  The Silver Lungs Generator is the only all-encompassing professional class product for producing endless colloidal and ionic silver solutions right from the convenience of your home.
[00:04:50.975 --> 00:05:01.181]  With recent regulations threatening the sale of silver-based supplements, now you can secure yourself and your family by producing your own silver solutions anywhere, anytime.
[00:05:02.122 --> 00:05:09.448]  You can have the peace of mind knowing that you can create endless supply of silver anytime, anywhere, for any application.
[00:05:09.668 --> 00:05:16.534]  The Silver Lungs Generator is a one-time purchase that requires no maintenance nor replacement parts for the life of the unit.
[00:05:16.874 --> 00:05:21.298]  This product was designed to be an invaluable part of your vital preparations.
[00:05:21.658 --> 00:05:28.984]  For a detailed report on the differences between ionic silver, colloidal silver, and what most silver solution manufacturers are producing,
[00:05:29.164 --> 00:05:39.031]  Please visit our website at www.silverlungs.com for more information on why you should be producing your own silver solutions right from your home forever.
[00:05:40.473 --> 00:05:45.256]  We have witnessed two terrible storms in the East, but we are still in the eye of the perfect storm.
[00:05:45.656 --> 00:05:53.743]  The most devastating economic condition since the Great Depression, America's worst drought in agricultural history, and now the economic results of the presidential election.
[00:05:53.763 --> 00:05:56.865]  This perfect storm is a huge threat to everyone's food supply.
[00:05:57.165 --> 00:06:01.730]  I just doubled down and got even more supplies from eFoodsDirect, and I recommend you do the same.
[00:06:01.991 --> 00:06:05.815]  It's GMO-free with no hydrogenated oils and has a 25-year shelf life.
[00:06:06.135 --> 00:06:08.258]  It's time to get your own supply from eFoodsDirect.
[00:06:08.558 --> 00:06:11.541]  I know I won't be standing in a bread line trading my freedom for food.
[00:06:12.022 --> 00:06:13.543]  I'm taking control of my future.
[00:06:13.823 --> 00:06:15.425]  And you're nuts if you don't do the same.
[00:06:15.765 --> 00:06:18.867]  Go to efoodsdirect.com forward slash Alex to find the specials.
[00:06:19.108 --> 00:06:22.410]  And you can start with a holiday gift pack that's normally $80, now under $50.
[00:06:23.291 --> 00:06:25.392]  Remember, I can warn you, but I can't feed you.
[00:06:25.413 --> 00:06:26.513]  Call 800-409-5633 or efoodsdirect.com forward slash Alex.
[00:06:26.533 --> 00:06:28.915]  Would you rather prepare six months too early or one day too late?
[00:06:28.935 --> 00:06:30.476]  409-5633 or efoodsdirect.com forward slash Alex.
[00:06:39.264 --> 00:06:44.529]  Sick of the globalist eugenicist control freaks adding poison to your water and laughing as you get sick and die?
[00:06:44.769 --> 00:06:46.971]  Start purifying your water with ProPure.
[00:06:47.191 --> 00:06:56.139]  My friends, I've done a lot of research and the best gravity filter out there bar none is ProPure and it's available discounted at InfoWars.com.
[00:06:56.300 --> 00:06:59.482]  Its filters are silver impregnated to prevent bacterial growth.
[00:06:59.743 --> 00:07:01.184]  There's no priming required.
[00:07:01.424 --> 00:07:03.466]  It's NSF 42 certified.
[00:07:03.706 --> 00:07:05.688]  Optional fluoride filters can reduce fluoride
[00:07:05.728 --> 00:07:06.228]  We're good to go.
[00:07:36.146 --> 00:07:36.526]  888-253-3139.
[00:07:36.586 --> 00:07:38.147]  Big Brother.
[00:07:38.207 --> 00:07:52.875]  Mainstream media.
[00:07:53.435 --> 00:07:54.375]  Government cover-ups.
[00:07:55.316 --> 00:07:56.777]  You want to stop tyranny?
[00:07:57.017 --> 00:07:58.197]  Well, so does he.
[00:07:58.698 --> 00:08:03.360]  Live, from the InfoWars.com studios, it's Alex Jones.
[00:08:09.978 --> 00:08:14.641]  Ladies and gentlemen, it is Friday, the 16th day of November 2012.
[00:08:14.681 --> 00:08:18.463]  I am coming to you live from Austin, Texas.
[00:08:22.659 --> 00:08:24.460]  The globalists are in my city right now.
[00:08:24.621 --> 00:08:34.688]  I literally saw 50 helicopters this morning ferrying globalists into the Formula One race and event that's all taxpayer paid for with the Ecclestone.
[00:08:34.808 --> 00:08:50.260]  I'm going to be breaking that down a little bit later because it integrates as a case point example of what big government and corporate fascism using socialism at the grassroots level is really all about and the real political paradigm we're in.
[00:08:50.800 --> 00:08:53.542]  Not the false left-right system they try to keep us in.
[00:08:53.842 --> 00:09:04.209]  And there's real debates between the left and right, but it's only on limited issues, and then the controllers are so close to each other, and who finances them, that you never get any change.
[00:09:04.510 --> 00:09:14.657]  For the better, in fact, you see the rapid, planned, orchestrated, premeditated move towards authoritarian, psychopathic control.
[00:09:20.720 --> 00:09:35.995]  Now, continuing here, ladies and gentlemen, today, we are going to break down in part two of what I began yesterday.
[00:09:37.896 --> 00:09:40.219]  This is historic, what's happening.
[00:09:42.401 --> 00:09:45.624]  And we are at a historic crossroads.
[00:09:49.941 --> 00:09:51.863]  It is just that simple.
[00:09:52.604 --> 00:10:09.984]  And we are not going to get out of the premeditated move towards total authoritarian control unless we face the fact that we have been conquered
[00:10:10.990 --> 00:10:21.882]  To a great extent by six global, private, mega-bank, Ponzi scheme, derivative selling, crime organizations.
[00:10:23.604 --> 00:10:26.006]  And we must learn that enemy's philosophy.
[00:10:26.467 --> 00:10:28.529]  We must learn that enemy's goals.
[00:10:28.849 --> 00:10:30.051]  I have learned their goals.
[00:10:30.351 --> 00:10:31.552]  And let me tell you, it isn't pretty.
[00:10:32.498 --> 00:10:49.529]  And we must educate the sheep out there and warn them and say, hey, I know you've been preconditioned to laugh at us, and I know that you've been under high-tech mind control, high-tech conditioning, but listen, stuff's going to get worse and worse, and this is why it's going to get worse and worse.
[00:10:50.230 --> 00:10:55.974]  Because let me tell you, a lot of the sheeple aren't laughing now because their ox is getting gored.
[00:10:56.949 --> 00:11:07.452]  But this isn't a game, it isn't, oh, I'm a constitutionalist, I'm a libertarian, I listen to Alex Jones, I go to DrudgeReport.com, I like Ron Paul.
[00:11:07.973 --> 00:11:23.618]  This is, you better make this your full-time job to get the word out, however you see fit, to people that we've got a real authoritarian group that runs the federal government.
[00:11:24.511 --> 00:11:29.793]  And intimidates the few Senators and House members that aren't on the globalist payroll.
[00:11:30.413 --> 00:11:32.514]  That is putting in total election fraud.
[00:11:32.794 --> 00:11:36.215]  That is bankrupting the country by design to consolidate it.
[00:11:39.717 --> 00:11:43.658]  All of the really rich people I know have left the United States or are leaving.
[00:11:44.218 --> 00:11:45.619]  The elites are leaving.
[00:11:46.579 --> 00:11:48.440]  The corrupt globalists are leaving.
[00:11:50.151 --> 00:11:53.675]  The government is digging in for war against the American people.
[00:11:53.695 --> 00:11:55.517]  And you're like, well, the American people never stood up.
[00:11:56.017 --> 00:11:57.799]  Why is the government gearing up for a fight?
[00:11:58.119 --> 00:11:59.201]  Because they know.
[00:11:59.301 --> 00:12:01.043]  They've done the psychological testing.
[00:12:01.323 --> 00:12:02.424]  They've done the focus groups.
[00:12:02.464 --> 00:12:04.927]  They've got the Google NSA spying systems.
[00:12:05.007 --> 00:12:07.610]  They know where the people really stand.
[00:12:09.071 --> 00:12:10.352]  And they know.
[00:12:12.481 --> 00:12:37.637]  That when they try to start taking your guns, when they start taking the farms, and when they bankrupt things fully, and try to have national conscription for domestic work brigades, which Rahm Emanuel and others have announced, and I've played the clips here, it's in the Obama deception, that when they implode things and impose as the saviors, and put a hundred million people on food stamps, it was 25 million three and a half years ago, it's 50 million today, right at 49 million plus.
[00:12:38.715 --> 00:12:42.276]  When they got $100 million and then $150 million.
[00:12:42.296 --> 00:12:54.259]  That $150 million is going to say, not only do we take all the middle class's money and wealth, put them in a labor camp while these lazy blobs sit around with their Obama phones.
[00:12:54.299 --> 00:12:59.781]  Folks, this has been done in country after country after country and the globalists have said this is their
[00:13:00.482 --> 00:13:12.540]  Well, they sit offshore and fly around above us in 50 million dollar private jets with their prostitutes and their bodyguards in tow and fly around above us in luxury helicopters when they're in our cities.
[00:13:14.269 --> 00:13:19.851]  They have a will, a criminal will, to break us and impoverish us.
[00:13:20.271 --> 00:13:25.633]  That's their rearguard action after they fully imploded the economy and consolidated it.
[00:13:25.913 --> 00:13:39.257]  They then move into armored private cities and rural redoubts and they travel by helicopters into high security zones for public events and things to grandstand because these peacocks do enjoy grandstanding.
[00:13:42.102 --> 00:13:46.327]  I've studied these people down to every minute level, okay?
[00:13:46.427 --> 00:13:49.090]  I live this, and I know them, and they're arrogant.
[00:13:49.430 --> 00:13:52.333]  They operate like you don't even exist in your animals.
[00:13:52.774 --> 00:14:00.903]  And for all intents and purposes, the general public are arrested development, childlike individuals who have no idea even what's going on.
[00:14:02.165 --> 00:14:05.166]  I've got a message to establishment liberals today as well.
[00:14:05.707 --> 00:14:15.091]  I'm going to get past all the Coke, Pepsi, Ford, Chevy, Pittsburgh Steelers, Cowboys, you know, versus this, versus that, and really try to talk to you.
[00:14:16.651 --> 00:14:19.352]  And I'm going to talk to conservatives as well, mainline conservatives.
[00:14:19.733 --> 00:14:25.315]  Listen, if you don't grow up now, folks, we are going down all the way, okay?
[00:14:25.895 --> 00:14:27.696]  Just remember this later, okay?
[00:14:27.716 --> 00:14:29.577]  Because I know a lot of you aren't going to wake up now.
[00:14:30.441 --> 00:14:36.043]  I know a lot of you are going to sit there and laugh about this and it's all funny because you've been taught that as a defense mechanism.
[00:14:36.083 --> 00:14:47.406]  Listen, you're going to weep and wail and grind your teeth, gnash your teeth, wishing later you would have done something if this thing comes in.
[00:14:47.426 --> 00:14:49.487]  And let me tell you, it's coming in.
[00:14:49.627 --> 00:14:50.527]  The gate's opening.
[00:14:50.827 --> 00:14:52.308]  Hell is pouring in.
[00:14:52.988 --> 00:14:54.468]  The dam is broken already.
[00:14:54.788 --> 00:14:57.049]  God's shields are being lifted off this country.
[00:14:58.544 --> 00:15:14.349]  Any time we can repent, and I don't mean in these fake churches, I mean just getting on your knees to, even if you don't believe in God or spirituality, really getting real and getting past all this crud because absolute evil is being released.
[00:15:14.889 --> 00:15:28.053]  Once there's no checks and balances, once you let the most powerful and corrupt get into positions of total domination, the very worst will go to the top and hell is released.
[00:15:30.563 --> 00:15:49.906]  Now yesterday, I pointed out the remedy to restore the Republic and to have the United States go back to being a light to the world, not a black sunshine projecting the model of torture, secret arrest, propaganda, immorality, degeneracy.
[00:15:51.164 --> 00:16:10.505]  And real degeneracy is this lazy-eyed, giggling, uh, snickering, uh, enjoyment of tyranny that so many of these minions to the system revel in.
[00:16:11.468 --> 00:16:20.631]  It's a spirit of giving up, of laughing, of saying, good, let it all collapse, or good, let the government arrest people that are political, good, let the U.N.
[00:16:20.671 --> 00:16:24.152]  take control of the Internet and have the kill switch, that's now being announced today.
[00:16:24.532 --> 00:16:36.475]  Yeah, as soon as the President announces, I don't care if Congress doesn't give me the cybersecurity Internet kill switch takeover, it's already in place, I now sign a secret order giving control to, and the U.N.
[00:16:36.515 --> 00:16:38.016]  has to brag, to them.
[00:16:39.304 --> 00:16:46.450]  See, none of this stuff's ever secret, even though they say it's secret, because then they can't help but brag and announce, okay, now the UN's been given the internet.
[00:16:46.850 --> 00:16:48.392]  That was announced this morning.
[00:16:50.534 --> 00:16:52.035]  Do you understand what's happening?
[00:16:52.876 --> 00:17:03.685]  Do you understand that the DNS addresses and the routing systems and the kill switches and the NSA codes have all been transferred to the United Nations and NATO?
[00:17:04.750 --> 00:17:06.812]  Our military is now commanded by NATO.
[00:17:07.152 --> 00:17:16.259]  America has been conquered, and if you get anything I've said to you, and I'm going to lay out the plan to defeat these people, and it's going to be a hard road.
[00:17:16.279 --> 00:17:23.204]  They're arrogant, they're accustomed to victory, and they will drop the hammer, but that's their strength and their weakness.
[00:17:26.907 --> 00:17:32.592]  If you take anything away from what I say to you here, it's this.
[00:17:34.457 --> 00:18:00.707]  We must, we absolutely must come to the understanding and the recognizing that we have been conquered by a foreign power.
[00:18:04.335 --> 00:18:09.839]  We must come to that realization.
[00:18:11.080 --> 00:18:16.744]  Just like if you're an alcoholic and the doctor tells you you're going into liver failure, you're going to die in a year if you keep drinking.
[00:18:17.325 --> 00:18:19.827]  You've got to come to grips with it or you're going to die.
[00:18:22.409 --> 00:18:30.255]  And a lot of people won't come to grips with it and they will die of liver failure.
[00:18:32.193 --> 00:18:33.914]  And it's the same thing politically.
[00:18:34.234 --> 00:18:36.256]  This is not a question.
[00:18:36.816 --> 00:18:37.577]  It's not a debate.
[00:18:38.937 --> 00:18:52.426]  We have linked up at Infowars.com and PrisonPlanet.com in the article that I put together with Paul Watson, Why the States Must Secede to Save America, Declaration of Independence 2.0, Restoring the Republic.
[00:18:52.826 --> 00:18:57.369]  We have a link in that article to our article from the first issue of the magazine.
[00:18:57.529 --> 00:18:58.730]  We have an online version of it.
[00:18:59.451 --> 00:19:01.452]  Banksters Declare They've Conquered America.
[00:19:02.875 --> 00:19:19.312]  And it's dozens of mainstream newspapers with central bank heads and TV hosts on CNBC and others saying a global government's here run by six banks and they're going to run our lives and appoint our leaders and raise taxes to pay themselves our money.
[00:19:20.433 --> 00:19:22.875]  So that's what Washington is.
[00:19:24.065 --> 00:19:30.736]  And this story has gone viral thanks to you getting the word out, thanks to Matt Drudge at DrudgeReport.com, and thanks to so many others.
[00:19:31.016 --> 00:19:38.608]  You've got to get all your local talk show hosts, you've got to get your state houses, we've got to get everybody on this, and I'll break down the plan of victory.
[00:19:39.309 --> 00:19:39.789]  Straight ahead.
[00:19:40.089 --> 00:19:42.871]  Have you ever wanted to generate your own supply of electrical power?
[00:19:43.151 --> 00:19:44.792]  Even save money on your electric bill?
[00:19:45.092 --> 00:19:48.374]  If so, this could be one of the most important messages you will ever hear.
[00:19:48.694 --> 00:19:50.755]  Solar power generators are now available.
[00:19:50.895 --> 00:19:54.257]  These emergency backup systems provide life-saving electrical power.
[00:19:54.477 --> 00:20:00.300]  Unlike gas generators, a solar generator runs quietly, emits no fumes, and produces electricity from the sun.
[00:20:00.540 --> 00:20:03.901]  It's like having an electrical power plant running quietly in your own home.
[00:20:04.221 --> 00:20:12.005]  Run sump pumps, shortwave radios, computers, and even keep your food from spoiling, whether it's hurricanes, ice storms, brownouts, or blackouts.
[00:20:12.165 --> 00:20:14.627]  You'll never suffer through painful power outages again.
[00:20:14.867 --> 00:20:15.908]  And here's the best news.
[00:20:16.128 --> 00:20:19.070]  A remarkable fall truckload sale is going on right now.
[00:20:19.271 --> 00:20:23.053]  It gets you $1,700 in bonuses when you buy a solar generator.
[00:20:23.174 --> 00:20:30.839]  To find out why these solar generators are the best generators and get $1,700 in bonuses for doing so, go to falltruckloadsale.com.
[00:20:30.960 --> 00:20:32.821]  That's falltruckloadsale.com.
[00:20:33.041 --> 00:20:35.083]  Generate your own supply of electricity.
[00:20:35.223 --> 00:20:37.124]  Go to falltruckloadsale.com.
[00:20:37.244 --> 00:20:39.006]  That's falltruckloadsale.com.
[00:20:40.782 --> 00:20:47.247]  Big business has discovered the preparedness market, and that makes it difficult to know where to go and who to trust.
[00:20:47.568 --> 00:20:52.051]  MyPatriotSupply.com is owned and operated by Patriots just like you.
[00:20:52.351 --> 00:21:01.539]  Has the best prices on storable food, non-GMO seeds, water filtration devices, home canning equipment, survival and self-reliance books, and more.
[00:21:01.859 --> 00:21:07.764]  MyPatriotSupply.com has old-fashioned values and the absolute best customer service in the industry.
[00:21:08.024 --> 00:21:09.305]  Look for the deal of the day.
[00:21:09.605 --> 00:21:12.807]  Unique, affordable survival supplies that fit anyone's budget.
[00:21:13.007 --> 00:21:16.290]  Get same-day shipping on all orders and free shipping on orders over $49.
[00:21:16.350 --> 00:21:16.550]  Call 866-229-0927.
[00:21:16.570 --> 00:21:16.610]  866-229-0927.
[00:21:16.630 --> 00:21:21.093]  Or visit MyPatriotSupply.com for emergency preparedness, self-reliance, and food independence.
[00:21:21.133 --> 00:21:23.594]  Shop with a name you know and a name you can trust.
[00:21:33.601 --> 00:21:36.350]  Before it's time to survive, it's time to prepare.
[00:21:36.631 --> 00:21:37.935]  MyPatriotsSupply.com
[00:21:39.264 --> 00:21:42.385]  Being an armed citizen means having a gun with you all the time.
[00:21:43.105 --> 00:21:47.925]  Carrying a firearm every day requires a holster that is both concealable and comfortable.
[00:21:48.546 --> 00:21:57.647]  Whether you choose our Super Tuck Deluxe or Mini Tuck, you'll have the confidence that comes from being discreetly and comfortably armed, prepared to face unforeseen dangers.
[00:21:58.007 --> 00:22:04.468]  Crossbreed holsters are handmade in the USA, come with a lifetime warranty and a two-week try it free guarantee.
[00:22:05.128 --> 00:22:08.489]  Order your holster today at crossbreedholsters.com.
[00:22:08.789 --> 00:22:09.850]  Hi, this is Ted Anderson.
[00:22:10.030 --> 00:22:14.373]  Have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold IRAs?
[00:22:14.553 --> 00:22:20.197]  They've been available since 1986, yet the financial industry won't recognize the value of gold for your retirement.
[00:22:20.317 --> 00:22:23.699]  Gold has outperformed paper investments, yet no word about IRAs.
[00:22:23.919 --> 00:22:26.521]  If you would like to have gold for your retirement, call 800-686-2237.
[00:22:26.621 --> 00:22:31.484]  Don't get left behind by rising inflation and low returns.
[00:22:31.624 --> 00:22:31.865]  Call 800-686-2237.
[00:22:31.925 --> 00:22:33.265]  Secure your future and call 1-800-686-2237.
[00:22:38.749 --> 00:22:43.210]  Weakened by GMOs, stressed out about money, and blasted by the electric environment.
[00:22:43.530 --> 00:22:47.491]  Hi, I'm Pastor Jenny, and that was the state I was in back in 2010.
[00:22:47.831 --> 00:22:49.752]  Then I learned about RNA drops.
[00:22:50.012 --> 00:23:01.395]  I learned that 97% of my DNA that scientists have called junk is actually packed with millions of gene switches that play a critical role in controlling how my cells, organs, and other tissues behave.
[00:23:01.675 --> 00:23:06.116]  I learned I don't have to put up with disease, decay, or decline like I've been conditioned to believe.
[00:23:06.397 --> 00:23:07.957]  I began taking RNA drops
[00:23:08.317 --> 00:23:14.141]  A 100% natural formula designed to turn on those switches and provide me with amazing health and joy.
[00:23:14.361 --> 00:23:17.543]  Learn more about RNA Drops and order a free sample today.
[00:23:17.804 --> 00:23:20.065]  Visit rnafreesample.com.
[00:23:20.405 --> 00:23:22.727]  That's rnafreesample.com.
[00:23:22.927 --> 00:23:27.290]  Or call toll free 888-577-3703.
[00:23:27.450 --> 00:23:31.233]  Pay only shipping and handling for a free 30-day supply of RNA Drops.
[00:23:31.393 --> 00:23:36.357]  Get the information you need and the health you want at rnafreesample.com.
[00:23:40.077 --> 00:23:43.938]  Federal agents, we are armed!
[00:24:10.294 --> 00:24:12.475]  This, of course, is the artist known as Paris.
[00:24:12.515 --> 00:24:13.956]  He's a patriot, a listener of the show.
[00:24:13.976 --> 00:24:21.620]  I think we ought to play a little bit of this song before I get into destroying the Republic and the battle plan to get our country back.
[00:24:22.100 --> 00:24:23.140]  Crank this up a little bit.
[00:24:23.200 --> 00:24:26.662]  I see a message from the government like every day.
[00:24:26.962 --> 00:24:29.523]  I watch it and listen and call them all suckers.
[00:24:29.804 --> 00:24:31.885]  They wanted me about Osama or whatever.
[00:24:32.125 --> 00:24:33.625]  Picture me buying this scam.
[00:24:33.685 --> 00:24:34.626]  I said never.
[00:24:35.026 --> 00:24:36.067]  We're good to go.
[00:25:07.407 --> 00:25:21.213]  We are back live, ladies and gentlemen, and George Washington, who was a Freemason, warned the Illuminati, was taking over and taking control of the Masonic Lodges.
[00:25:21.253 --> 00:25:29.697]  And I said to the Masonic Lodges, if you say you stand for good and stand against Mephistopheles, well then get out there and fight the takeover of America.
[00:25:30.854 --> 00:25:35.058]  And I say that to all the churches, all the groups, all the civic organizations.
[00:25:36.659 --> 00:25:43.465]  Ron Paul, in his 49-minute speech, his farewell address two days ago, listed the secret arrests, the torture.
[00:25:43.726 --> 00:25:52.614]  He called them authoritarian psychopaths in a premeditated authoritarian takeover and a conversion to fascism.
[00:25:52.974 --> 00:25:53.835]  These are quotes!
[00:25:55.656 --> 00:25:55.957]  Listen!
[00:25:57.441 --> 00:26:06.527]  Ron Paul is a scholar, just as I am, and he can maintain his behavior.
[00:26:06.788 --> 00:26:09.670]  Me, I'm a younger man, I get angry, folks.
[00:26:10.510 --> 00:26:21.598]  Just like if there was a fire and a big windstorm, blowing the fire from house to house, and everybody was just sitting around burning up in their houses, I would be the type trying to get people out of their homes.
[00:26:21.638 --> 00:26:25.741]  Not because I'm goody two-shoes, but because I have an instinct to help my fellow man.
[00:26:27.045 --> 00:26:33.932]  And we have a firestorm of globalist evil, bankrupting and taking every county, city, state over by design.
[00:26:34.793 --> 00:26:38.377]  Taking our money, our tax money, and giving it to criminal corporate interest.
[00:26:39.315 --> 00:26:57.707]  Corporate welfare at every level, while a pittance of that money ends up going to the public to domesticate them, and then I see the poor domesticated slaves telling me, oh, the government's my friend, I'm part of the system, and their identity is connected to the government, and they
[00:26:58.547 --> 00:27:02.289]  They talk to you like they're part of the government, and there's nothing you can do.
[00:27:02.329 --> 00:27:03.990]  We're going to collectivize everything.
[00:27:04.230 --> 00:27:06.252]  These people are so stupid.
[00:27:06.592 --> 00:27:10.634]  They really think the government brought in government health care, so they give them free health care.
[00:27:11.315 --> 00:27:12.715]  The insurance companies wrote it.
[00:27:12.755 --> 00:27:13.996]  Their stocks have exploded.
[00:27:14.016 --> 00:27:15.797]  Their profits have exploded.
[00:27:15.817 --> 00:27:17.958]  They can now charge you whatever they want for health care.
[00:27:18.199 --> 00:27:19.960]  They've killed the free market in health care.
[00:27:20.720 --> 00:27:23.462]  Just the government money for 50 years is what's driven up the price.
[00:27:23.822 --> 00:27:25.463]  Now it's going to get 10 times worse.
[00:27:25.803 --> 00:27:31.246]  And now government bureaus are going to make you pay more for it, but decide what health care you can get.
[00:27:31.627 --> 00:27:33.628]  It's all being announced.
[00:27:33.928 --> 00:27:44.935]  And I've got to sit there and watch the dumbest, willfully ignorant, moron liberal socialist lecture me all day about how great planned economies are.
[00:27:45.535 --> 00:27:46.856]  Let me give you the other big news.
[00:27:47.176 --> 00:27:56.765]  Not only are we conquered by a foreign globalist banking cartel, an international, foreign isn't even the word, even though it's mainly came out of Europe and England, these dynasties.
[00:27:56.865 --> 00:27:59.807]  It's global, exempt from all the nation-state laws.
[00:28:00.108 --> 00:28:07.474]  They use the nation-states to hijack those, put tyrannies over us, then they're globalist in their New World Order, exempt from it all.
[00:28:07.774 --> 00:28:10.296]  Exempt from taxes, exempt from regulations.
[00:28:10.537 --> 00:28:12.899]  They're now giving the central banks diplomatic immunity.
[00:28:13.459 --> 00:28:16.264]  They're now giving the carbon taxers diplomatic immunity.
[00:28:16.665 --> 00:28:20.571]  They're now giving the whores of the military brass diplomatic immunity.
[00:28:21.112 --> 00:28:23.256]  The police are announcing diplomatic immunity.
[00:28:23.616 --> 00:28:26.301]  A bunch of the illegal aliens are immune now.
[00:28:27.267 --> 00:28:36.255]  You know, the Democrats have got now over 100,000 signatures on WhiteHouse.gov saying they want to deport Americans that want to secede.
[00:28:36.555 --> 00:28:41.840]  Hey, why don't you deport the illegal aliens that come over here and have their babies for free when U.S.
[00:28:41.880 --> 00:28:43.642]  citizens can or get free tuition?
[00:28:44.844 --> 00:28:48.750]  No, that's the groups they're bringing in to then fraudulently vote to take my guns.
[00:28:49.030 --> 00:28:50.493]  It's a very simple equation.
[00:28:50.833 --> 00:29:00.167]  Bring in a bunch of foreigners, a bunch of other people, give them my money, and have them vote to make me their slave, while a bunch of filthy offshore bankers
[00:29:01.024 --> 00:29:01.805]  Have their way with us.
[00:29:01.985 --> 00:29:09.211]  And by the way, Austin, this morning, literally, 30, 40, 50 helicopters, everybody who lives in Austin seeing it, ferrying the elites.
[00:29:09.651 --> 00:29:12.894]  These Formula One races are like public Bilderberg meetings.
[00:29:13.194 --> 00:29:14.595]  This is where they all come into town.
[00:29:14.615 --> 00:29:16.437]  And I'm going to be talking about that.
[00:29:16.617 --> 00:29:17.598]  But listen, I'm focused.
[00:29:17.978 --> 00:29:18.819]  This is the prelude.
[00:29:18.839 --> 00:29:27.446]  I'm going to come in like a laser beam after the break and lay out my battle plan to defeat these people and the fact that it has gone viral and what you can do.
[00:29:27.586 --> 00:29:28.386]  You want solutions?
[00:29:28.426 --> 00:29:28.827]  It's coming.
