[00:00:05.356 --> 00:00:05.596]  I think.
[00:10:25.413 --> 00:10:39.579]  When we offered to give our videotapes and our pictures and called up NASA and said, look, we'll provide this because we've done day-to-day time, date, everything on the pictures and on the videotapes.
[00:10:40.099 --> 00:10:44.381]  And NASA turned us down because school children, as they put it, were more reliable.
[00:10:46.383 --> 00:10:51.504]  Now, the other thing that was odd, I kid you not, this is what I was told.
[00:10:51.604 --> 00:10:55.965]  I mean, I was speechless at this point, but that's what I was told.
[00:10:56.025 --> 00:11:05.967]  So then, the second thing I found out, by calling the National Weather Service, and I would ask them, are you on, you know, online, are you looking at the satellite?
[00:11:05.987 --> 00:11:06.727]  And they said, yes.
[00:11:06.807 --> 00:11:09.167]  And I said, can you look over Ukiah?
[00:11:09.227 --> 00:11:10.227]  And they said, yes.
[00:11:10.327 --> 00:11:13.108]  And I said, well, can you see a jet, you know, leaving a plume?
[00:11:14.315 --> 00:11:26.903]  And so I was on the phone with them and I found that within a few seconds, if a jet leaves the plume and it starts to get a little bit larger, not real small, but a little bit larger, they can see the plume expanding.
[00:11:27.563 --> 00:11:32.646]  And we were talking about the same one that was going right over Ukiah and the plume was expanding.
[00:11:33.107 --> 00:11:39.230]  And I said, well how come in your weather reports you don't talk about this as man-made clouds or persistent jet contrails?
[00:11:39.330 --> 00:11:41.172]  How come you're talking about this
[00:11:42.152 --> 00:11:42.373]  I think?
[00:12:04.695 --> 00:12:06.136]  And he said, well, we just don't.
[00:12:06.817 --> 00:12:23.948]  So it was an odd dichotomy of having your weather reporters who could see these on satellite, which told me that the argument that school children could do better and that they couldn't see the contrails from satellite, they can see them and they can see the cloud cover.
[00:12:24.369 --> 00:12:28.451]  I even found out from the National Weather Service that they can see haze.
[00:12:29.172 --> 00:12:32.354]  They can actually, it's so good, they can identify haze.
[00:12:33.935 --> 00:12:39.621]  So, I begin to think to myself, well, if they're seeing all this, why isn't it being reported?
[00:12:40.481 --> 00:12:54.114]  And it's curious because, now weathermen will talk about it, if the cloud, if Ukiah was, the sun was occluded and all these man-made clouds appeared over Ukiah and covered the whole thing, after three hours,
[00:12:55.195 --> 00:13:01.498]  They would say, well, it was a front, but you could look to the west and there was no cloud and there was the barometer hadn't dropped.
[00:13:02.059 --> 00:13:04.520]  There was no cloud front coming in from the Pacific.
[00:13:04.560 --> 00:13:06.141]  There was none from any direction.
[00:13:06.661 --> 00:13:10.583]  And yet we were covered over in this man-made clouds and haze.
[00:13:11.243 --> 00:13:13.784]  And they were saying that this was part of a weather front.
[00:13:13.844 --> 00:13:20.468]  So I began to find that I was not happy with what was being said about what we were seeing in the skies.
[00:13:21.468 --> 00:13:32.515]  So then it became identifying how long these trails persisted, filming them over time to see how much they expanded, how large someone got.
[00:13:32.856 --> 00:13:40.561]  We looked at the Blackcon trails, we looked at the jets themselves and odd behavior of jets.
[00:13:40.761 --> 00:13:49.647]  The configuration on the jets was absolutely terrible because all these agencies were saying it was increasing jet traffic
[00:13:50.367 --> 00:13:57.392]  And yet we could tell from the flight patterns that we got from the FAA that a lot of the flights were not, were military.
[00:13:57.432 --> 00:14:00.934]  They weren't normal flight patterns.
[00:14:01.894 --> 00:14:08.599]  My Congressman Mike Thompson from California First District, due to several inquiries,
[00:14:10.567 --> 00:14:12.308]  He got these maps for me.
[00:14:12.368 --> 00:14:17.171]  They're three maps and they're from the FAA and then his office sent them to me.
[00:14:17.991 --> 00:14:27.477]  And the map shows the San Francisco, Bay Area, Mendocino County and I had asked how many flights there were over Mendocino County.
[00:14:28.377 --> 00:14:31.299]  So he gave me three separate maps.
[00:14:31.679 --> 00:14:37.843]  One is incoming air traffic to Oakland, San Francisco,
[00:14:38.803 --> 00:14:39.083]  Okay.
[00:14:57.814 --> 00:14:59.755]  Flying over Mendocino County.
[00:15:00.536 --> 00:15:13.644]  So, in not having many commercial flights flying over Mendocino County, we discovered that it was the intraflights that we were seeing looping the loop around the county and making the X's in the cross hatchings.
[00:15:14.204 --> 00:15:22.750]  And from these maps, I first learned about intraflights, and I also figured out that commercial airlines were in trouble.
[00:15:23.470 --> 00:15:38.277]  So when you have commercial airlines, if you'll note in the green and the red and the blue areas, all of these flights leave the airport, they take a trajectory and they fly in a straight line to wherever their destination is.
[00:15:38.317 --> 00:15:40.719]  They don't have extra fuel to loop.
[00:15:41.699 --> 00:15:52.390]  The yellow ones, however, they do the loop around the county and they have a few planes, not very many, but they can do many, many loops and back and forth crisscrossing.
[00:15:52.870 --> 00:15:54.232]  So you'll see the loops.
[00:15:54.432 --> 00:15:56.834]  And that's how we begin to figure out that the jets
[00:15:57.655 --> 00:16:08.862]  Leaving the persistent contrails, which turned into these heavy plumes and cross-hatching, were actually the ones that were the intraflights that were moving around.
[00:16:09.403 --> 00:16:17.488]  But we had very few that flew over Mendocino County itself, so the commercial airline impact for our county is so small here.
[00:16:18.328 --> 00:16:26.634]  Absolutely so small that there wouldn't be the type of impact from seeing many persistent jet contrails from them.
[00:16:26.714 --> 00:16:27.635]  And they fly straight.
[00:16:27.775 --> 00:16:28.416]  They never loop.
[00:16:28.796 --> 00:16:38.943]  The jets around us look like racetracks sometimes, where they're going in an oval around the county, or they're going over the Pacific Ocean, over to Lake County, and back.
[00:16:39.023 --> 00:16:43.627]  So they're traveling across many counties in these circular patterns.
[00:16:44.267 --> 00:16:49.775]  And this was the first time I had the FAA representation to show this particular endeavor.
[00:16:50.794 --> 00:16:58.700]  Okay, this area here, right here, is Mendocino County, Sonoma County on one side, and Humboldt County on the other side.
[00:16:59.160 --> 00:17:08.567]  But this area here, you can see that the majority of the jet traffic in the green and the red is not covering and not going across our county.
[00:17:09.267 --> 00:17:12.149]  So it's mostly free of commercial air traffic.
[00:17:12.690 --> 00:17:16.252]  Now, the yellow here are what they call intraflights.
[00:17:17.213 --> 00:17:20.035]  And this is where they go in all directions.
[00:17:20.175 --> 00:17:27.579]  Now, there are no flights which leave Sacramento to the east of us that fly out over the Pacific.
[00:17:28.339 --> 00:17:29.360]  No commercial flights.
[00:17:29.860 --> 00:17:46.250]  So therefore, the intra-flights go in this direction, they go towards Sacramento, they go in all directions, but you can see the big loop pattern here, which would give you, if they were leaving persistent jet controls that persisted, then you would see these different loops.
[00:17:47.722 --> 00:17:50.623]  Other jet patterns loop around the county like this.
[00:17:51.343 --> 00:18:04.727]  So we started to see that from this map we learned that intraflights couldn't possibly be commercial airlines because they'd be using so much fuel and they'd be off their schedule.
[00:18:05.487 --> 00:18:09.269]  And so, because when you get on a flight, they say so much time and you go straight.
[00:18:09.329 --> 00:18:13.912]  You don't loop and loop and loop unless there's a weather problem at an airport or something.
[00:18:14.252 --> 00:18:19.756]  But this is way too far away for them to be looping into the San Francisco Bay Area, which is way down here.
[00:18:20.356 --> 00:18:28.581]  So, and these loops are way out of their range for being in any type of feeding pattern to San Francisco, Oakland or San Jose.
[00:18:29.201 --> 00:18:34.705]  So this is when I first learned about inter-flights, but this is also when I confirmed that there wasn't much
[00:18:35.225 --> 00:18:38.088]  Air traffic over Mendocino County.
[00:18:38.228 --> 00:18:48.657]  So this made us unique in being able to look at the phenomenon of persistent jet contrails and know that when the jets were going in certain directions, it wouldn't be any type of commercial patterns.
[00:18:49.318 --> 00:19:00.428]  So that's why we know that the big jets flying and the big ones we really saw all of the time, many of them unmarked or not clearly marked, were a part of this inter-flight pattern that you can see on this map.
[00:19:01.349 --> 00:19:07.033]  Persistent geochondrials that persist and stay in the environment for up to 20 hours.
[00:19:07.133 --> 00:19:08.634]  This is like geoengineering.
[00:19:08.674 --> 00:19:14.578]  It means that you're artificially, man-made in some way, changing our environment.
[00:19:14.718 --> 00:19:23.744]  You're adding particulates, you're adding something to the atmosphere, and it's more deliberate than not, but what you can add is you can add particles and chemicals
[00:19:24.364 --> 00:19:29.305]  Weather modification is geoengineering, making it rain somewhere where it normally wouldn't.
[00:19:29.965 --> 00:19:34.546]  So we have all of these things where we talk about geoengineering.
[00:19:35.306 --> 00:19:48.029]  The interesting part of geoengineering is that it's now being proposed as a way to put particulates in the atmosphere so that we can stop the direct sunlight from reaching the Earth.
[00:19:49.009 --> 00:19:49.410]  I think?
[00:20:06.849 --> 00:20:07.069]  Thank you.
[00:20:22.208 --> 00:20:45.460]  However, when you start taking and talking about, as Holdren is, he's Obama's science advisor, talking about taking care of global warming, in other words, by putting particles in the air, like sulfur or some other particles, then that means that we're going to take some action where we're going to try to interfere with some normal processes that are going on.
[00:20:46.300 --> 00:20:51.123]  And the problem with this, for example with sulfur, is that sulfur
[00:20:52.225 --> 00:21:05.589]  In the sense of it, we took it out of diesel fuel in California in 2006 and we said we have to clean it up because kids get asthma from sulfur, lots of health problems associated with too much sulfur and diesel fuel.
[00:21:06.089 --> 00:21:17.313]  We take it out of diesel fuel and then someone says, comes along like Paul Crutzen and he says, we're going to put it up in the atmosphere to obscure the sunlight
[00:21:17.813 --> 00:21:21.035]  So less sunlight reaches the earth and therefore that will cool us down.
[00:21:21.355 --> 00:21:22.576]  But what about the health effects?
[00:21:23.056 --> 00:21:32.982]  If you have to take it out of diesel fuel, then my question is, why are you going to put up something that's not helpful into the atmosphere and try to change the process that we live under?
[00:21:33.543 --> 00:21:35.043]  And that's what geoengineering is.
[00:21:35.123 --> 00:21:42.528]  It's taking something and you're going to artificially induce something into our environment that's going to change for some reason.
[00:21:42.748 --> 00:21:45.310]  For example, stopping global warming or slowing it down.
[00:21:46.403 --> 00:21:48.844]  Let me go back to 2006 in November.
[00:21:50.284 --> 00:21:55.306]  NASA Ames in California had a meeting of geoengineers from all over the world.
[00:21:55.546 --> 00:21:56.506]  It was a big meeting.
[00:21:57.366 --> 00:22:01.548]  It went on for a week, and it was not open to the public.
[00:22:02.268 --> 00:22:08.610]  During the course of this meeting, they were talking about these different geoengineering projects that they were studying.
[00:22:09.110 --> 00:22:15.272]  These were university professors, different people, and there were many proposals that were put forward at this meeting.
[00:22:16.252 --> 00:22:29.079]  I was lucky enough to be present at the one day public event that they had on this meeting where several of the scientists and college professors spoke at this meeting with regard to geoengineering.
[00:22:29.819 --> 00:22:44.968]  One of the things we have on tape because it was allowed to be videotaped is that they were talking about the word geoengineering and many of the geoengineering people in 2006 said that they had kept the word out of the public realm
[00:22:45.888 --> 00:23:01.641]  Because they knew that if the public would find out about some of their schemes of putting chemicals into the air, to shooting salt into the air, all kinds of different experiments, that the public might say no.
[00:23:02.341 --> 00:23:07.965]  So they actually admitted that they kept the word geoengineering out of text and out of
[00:23:08.666 --> 00:23:08.966]  I don't know.
[00:23:23.803 --> 00:23:33.766]  So what happened was the phrase was taken out, but a lot of scientists were getting money to study how they could interfere with the normal atmospheric conditions.
[00:23:34.347 --> 00:23:46.130]  So there was weather modification, there was planning to put chemicals or particles in the air, and so these schemes had been around for a long time, but they weren't really discussed in any public forum.
[00:23:46.651 --> 00:23:50.692]  They were discussed within their own cliquey group, essentially.
[00:23:51.949 --> 00:24:01.256]  I think that they're trying to begin to put it out to the public because they've been experimenting on it for a long time and they want to do more experiments and they need the funding.
[00:24:01.896 --> 00:24:14.125]  And one of the things that these geoengineers were talking about at their meeting that we heard is that they wanted to be able to take these programs forward and make them public so that they got more funding for experiments with these programs.
[00:24:15.326 --> 00:24:22.508]  This is the curiosity, though, is that they were talking about shooting up ocean water into the atmosphere.
[00:24:22.528 --> 00:24:24.428]  In other words, in salt particulates.
[00:24:25.028 --> 00:24:29.129]  And they knew from some experiments that salt particulates rain out quickly.
[00:24:29.809 --> 00:24:41.311]  Well, if you shoot salt particulates into clouds as a particulate to make it rain, when that cloud rains out over land, you're going to salt up your soils and make it unproductive for agriculture.
[00:24:41.651 --> 00:24:43.712]  You're going to salt up your drinking water sources.
[00:24:44.659 --> 00:24:53.629]  What they wanted to do was add other programs that they wanted to experiment on into the atmosphere to test their different hypotheses.
[00:24:54.890 --> 00:25:06.482]  About their studies, and in this way they would gain more university funding through the US government, the Pentagon, whoever wanted to know, you know, in other words, sponsor these studies.
[00:25:07.043 --> 00:25:09.365]  Private individuals could also contribute as well.
[00:25:09.905 --> 00:25:17.914]  So a whole culture had built up about how we can put things into the atmosphere to cool us down, and this is one of them.
[00:25:19.631 --> 00:25:40.133]  I went back and I knew from previous experience working within the California state government that all drinking water tests for every drinking water source in the state of California, now anything that's a winery, anything that's used for public consumption with so many people except for private wells,
[00:25:41.594 --> 00:25:56.018]  All drinking water sources, every district, every well, every producer of grapes who had a winery on his place and used well water, whatever it was, all had to test their water.
[00:25:56.279 --> 00:26:00.820]  And they have to do the tests that are required, hundreds of them, under the EPA.
[00:26:01.849 --> 00:26:11.032]  It occurred to me that if anything was being sprayed at any one time, if I could identify it, it might be showing up in drinking water tests.
[00:26:11.792 --> 00:26:16.034]  So there's a CD that's public, it's free of charge, anyone can buy it.
[00:26:16.194 --> 00:26:19.175]  It's got about 18 million bytes of data on it.
[00:26:20.126 --> 00:26:24.009]  And you can go up and you can get one or you can email the state.
[00:26:24.049 --> 00:26:27.471]  They'll send you one immediately within three or four days.
[00:26:28.332 --> 00:26:35.237]  And you can look at every drinking water test taken since 1972 in the state of California.
[00:26:36.437 --> 00:26:48.446]  I cannot tell you how many tests this amounts to because every month, every week, they're taking tests all the time, all over the state, different utilities, different districts.
[00:26:49.545 --> 00:27:01.913]  I went back and looked at spreadsheets of every county, city, state, whatever, and I tried to determine from looking at all this data if there was anything that looked unusual.
[00:27:02.713 --> 00:27:09.097]  I found herbicides and pesticides were expected to find them in the Central Valley where they use a lot of herbicides and pesticides.
[00:27:09.737 --> 00:27:11.539]  So I kind of took those out.
[00:27:12.339 --> 00:27:16.722]  I looked at everything that I thought you would normally find downwind of a factory.
[00:27:17.811 --> 00:27:27.413]  After I got rid of all of those, I began to look at was there anything showing up in all the drinking water spikes across California on a pretty consistent level.
[00:27:28.193 --> 00:27:35.074]  Initially, I looked for things like barium, aluminum, manganese, magnesium, calcium.
[00:27:37.055 --> 00:27:42.836]  I looked at what the pH of the water was to see if I could find any blips in pH.
[00:27:43.905 --> 00:27:56.021]  But what I discovered was that during the course of the year starting in 1990, no less, that the water sources were all registering unusual spikes.
[00:27:57.150 --> 00:27:59.992]  Now they weren't spiking just alone.
[00:28:00.773 --> 00:28:08.439]  Almost every water test in the state of California was showing spikes in a certain year and a certain month for certain of these chemicals.
[00:28:09.400 --> 00:28:20.008]  And I have a list of them and I will be able to give them to you, but I was absolutely amazed and surprised about these spikes and I said, what's going on?
[00:28:20.629 --> 00:28:26.273]  Why are these spikes occurring in almost all the drinking water sources all at the same time?
[00:28:27.094 --> 00:28:28.634]  Across the state of California.
[00:28:28.714 --> 00:28:41.778]  Now sometimes wells would spike in a time distance if they had any type of, the water that would come down in rainfall or flooding would get into the well systems.
[00:28:41.958 --> 00:28:46.979]  Then you would show spikes later and not as high because of percolation problems.
[00:28:47.079 --> 00:28:48.760]  But we began to find these spikes.
[00:28:49.787 --> 00:28:50.027]  Okay.
[00:29:07.785 --> 00:29:09.026]  Spiking at the same time.
[00:29:09.126 --> 00:29:24.854]  How can you have them spiking in the same time across the entire state of California when prior to the 1990s, and they were testing for these chemicals prior to the 1990s, that they weren't showing up in water systems at all, or they weren't spiking.
[00:29:25.454 --> 00:29:28.956]  And all of a sudden, way over state and federal standards, we found this data.
[00:29:28.976 --> 00:29:31.577]  A friend of mine took and graphed
[00:29:32.415 --> 00:29:32.635]  Thank you.
[00:29:54.401 --> 00:29:59.024]  Monumental chore to do but we now have it and we can show you the graphs.
[00:29:59.605 --> 00:30:03.767]  We can show you the actual water data from the state and show that these are unusual spikes.
[00:30:04.568 --> 00:30:23.821]  My job then began to go and look at graphs that were provided by the California Air Resources Board and what we discovered is that the spiking from the California Air Resources Board air tests were also spiking in the same years and at the same time and coordinated with the spikings in the water supply which led us to believe
[00:30:25.273 --> 00:30:29.838]  That this was something that was airborne and had to be hitting us from the air.
[00:30:30.679 --> 00:30:46.194]  Now the California Air Resources Board did do a number of tests to see if any of these chemicals over time, and they weren't doing it because of us, they were doing it out of curiosity, but they did run some tests to see if any of these chemicals were coming over from China.
[00:30:46.815 --> 00:30:50.798]  And what they found is, if there was, it wasn't in any great quantity.
[00:30:51.158 --> 00:30:56.462]  And for the most part, here in Mendocino County, where they had one test site, there wasn't anything coming over.
[00:30:56.582 --> 00:31:00.084]  So, that led me to believe that it had to be over us.
[00:31:01.145 --> 00:31:06.309]  Something had to be happening that was happening here, versus maybe somewhere else coming in from the Pacific.
[00:31:07.566 --> 00:31:11.907]  So that set me off to look at government documents on these chemicals.
[00:31:12.087 --> 00:31:16.468]  How dangerous they were, where they were being used, factories, everything.
[00:31:16.688 --> 00:31:26.551]  And what I found out was that we were having these spikes here and we have no industry between the Pacific Ocean and Hawaii and where we are here in Mendocino County.
[00:31:26.911 --> 00:31:31.052]  There wasn't any industry and the few industries that were small and
[00:31:32.412 --> 00:31:32.813]  Thank you.
[00:31:45.942 --> 00:31:54.726]  In 2006, was on KNBC and interviewed on television in Burbank, California.
[00:31:54.766 --> 00:31:59.808]  And what happened is he said that you can mix aluminum and barium and you can make clouds.
[00:32:00.568 --> 00:32:07.091]  And that he saw it coming that they would be able to put these clouds where they wanted them to do what they wanted to with them.
[00:32:07.771 --> 00:32:13.674]  And he is part of the geoengineering group that I was present at when they had that meeting at NASA Ames.
[00:32:14.813 --> 00:32:31.741]  The second thing is that I started to look at other programs that the government was doing, atmospheric testing programs, other things, not related to the jets, and I began to find that these chemicals were being shot up on the space shuttle and shot up on rockets.
[00:32:32.501 --> 00:32:54.197]  And that they would send canisters packed with sulfur hexafluoride, which is a man-made chemical which exacerbates global warming, barium, aluminum, trimethylaluminum, strontium, lithium, and they would send the canisters up, release them at different levels in the atmosphere, and to do ionospheric testing, they would superheat them until they exploded.
[00:32:54.777 --> 00:33:01.968]  And then they would do these chemical reactions much like explosions you would see from light shows and things like that.
[00:33:02.369 --> 00:33:07.296]  You'd have this big explosion and then you would go through and these chemicals would blow up and intermix.
[00:33:08.607 --> 00:33:18.231]  So, the barium, I began to think that were these coordinating, these atmospheric tests, were they coordinating with the spikes in California and other areas?
[00:33:18.591 --> 00:33:35.119]  And I believe that from some of the data that I looked at, trying to correspond the dates of the tests, when they were done, and also the water data, and the air data, I think that some of these could have actually added to the water pollution in the state of California, airborne, because this would come down.
[00:33:35.899 --> 00:33:40.382]  Now, a lot of people have associated the jets with releasing different types of chemicals.
[00:33:40.922 --> 00:33:45.946]  I do know from the EPA that there's a whole host of chemicals, jet fuel emissions.
[00:33:46.566 --> 00:33:49.188]  And they're highly polluting, just like automobile exhaust.
[00:33:49.308 --> 00:33:51.029]  Carcinogens are involved in them.
[00:33:52.750 --> 00:33:56.233]  They deplete beneficial atmospheric ozone.
[00:33:57.233 --> 00:33:59.595]  They have crop damage associated with them.
[00:34:01.056 --> 00:34:05.239]  Some of the chemicals are involved in short-term memory loss, other things.
[00:34:06.039 --> 00:34:11.184]  So, we do know that in this plume it's not benign water vapor and ice crystals.
[00:34:12.005 --> 00:34:17.049]  But I could never find any documentation which would say that anything else was being sprayed.
[00:34:17.530 --> 00:34:26.017]  And with all these other chemicals being used in other government programs, it would be very hard to make a correlation unless you actually got into the plume and took a test.
[00:34:26.618 --> 00:34:34.622]  But since most of the planes that are leaving these big, huge plumes are military airplanes, you can't fly in that airspace.
[00:34:35.242 --> 00:34:44.766]  Pilots would be arrested and it would be extremely dangerous to get into that airspace under Homeland Security rules and regulations to be able to take the test.
[00:34:45.206 --> 00:34:51.189]  So having to take a test at altitude and in other areas, it makes it very difficult.
[00:34:51.769 --> 00:34:51.909]  I think?
[00:35:10.060 --> 00:35:14.183]  They don't say how they turn into man-made clouds, if it's chemical or whatever.
