[00:00:00.009 --> 00:00:00.429]  Network.
[00:18:11.643 --> 00:18:14.684]  Costa Rica now battling Monsanto over GMO corn.
[00:18:14.704 --> 00:18:17.105]  Trying to force that into the country, even though it's illegal.
[00:18:17.565 --> 00:18:21.646]  FDA quietly increases allowed radiation doses of meats for human consumption.
[00:18:22.026 --> 00:18:25.487]  Natural News is reporting, yeah, because the radiation level is going up from Fukushima here.
[00:18:26.107 --> 00:18:27.769]  You know, the winds blow right into the U.S.
[00:18:27.789 --> 00:18:28.329]  from Japan.
[00:18:28.349 --> 00:18:30.891]  That's why they firebombed us with those balloons.
[00:18:31.812 --> 00:18:36.936]  Hundreds of them that they'd send over with explosives timed in the trade wind to drop in the Midwest and blow up.
[00:18:38.858 --> 00:18:42.401]  Fire departments just were on the lookout for them with spotters and were able to deal with the problem.
[00:18:43.482 --> 00:18:47.345]  Speaking of, that today is the Pearl Harbor anniversary.
[00:18:49.022 --> 00:18:56.991]  The Pearl Harbor anniversary is today, December 7, 1941, and we're going to be getting into how that whole event was staged.
[00:18:57.711 --> 00:19:00.174]  Hard to believe, ladies and gentlemen, do you know how many years ago it was?
[00:19:00.194 --> 00:19:00.514]  71 years ago.
[00:19:04.574 --> 00:19:10.880]  Wow, sometimes you see a World War II vet, better take a look at them, because there's not going to be any of them soon.
[00:19:11.721 --> 00:19:19.870]  All the guys, I went on a cruise once, and it was a guy who enlisted when he was 14, it was like 5 years ago, really interesting, he was going scuba diving.
[00:19:20.470 --> 00:19:21.911]  And he was 80-something years old.
[00:19:22.791 --> 00:19:23.432]  You could tell that guy.
[00:19:23.452 --> 00:19:25.273]  You don't want to mess with him back when he was in his prime.
[00:19:25.693 --> 00:19:27.654]  He was there with his wife, like 20 years younger than him.
[00:19:28.195 --> 00:19:30.276]  And he wasn't saying, hey, I'm a World War II vet.
[00:19:30.296 --> 00:19:30.996]  I was talking to him.
[00:19:31.016 --> 00:19:33.578]  He enlisted when he was like 14 and a half.
[00:19:33.978 --> 00:19:35.639]  Got in and had been in the whole Pacific Theater.
[00:19:35.659 --> 00:19:41.362]  And he was talking about how the little boat they had taking us out to the reef was kind of the same kind of boats they use for landings.
[00:19:42.423 --> 00:19:43.744]  Anyways, interesting.
[00:19:45.745 --> 00:19:48.727]  Most of the vets that are still alive from World War II, they're guys that got in early.
[00:19:50.779 --> 00:19:52.940]  We ought to do a show on Audie Murphy sometime.
[00:19:53.481 --> 00:19:58.904]  All right, ladies and gentlemen, we're going to come back and tell you Republicans waved the white flag on Fiscal Cliff.
[00:19:59.224 --> 00:20:00.285]  Told you they would.
[00:20:00.345 --> 00:20:01.406]  I'll tell you why when we come back.
[00:20:03.632 --> 00:20:08.434]  We have witnessed two terrible storms in the East, but we are still in the eye of the perfect storm.
[00:20:09.135 --> 00:20:11.876]  The most devastating economic condition since the Great Depression.
[00:20:12.316 --> 00:20:14.637]  America's worst drought in agricultural history.
[00:20:15.097 --> 00:20:17.598]  And now the economic results of the presidential election.
[00:20:18.039 --> 00:20:21.000]  This perfect storm is a huge threat to everyone's food supply.
[00:20:21.500 --> 00:20:26.041]  I just doubled down and got even more supplies from eFoodsDirect, and I recommend you do the same.
[00:20:26.621 --> 00:20:28.722]  It's time to get your own supply from eFoodsDirect.
[00:20:29.222 --> 00:20:32.242]  I know I won't be standing in a bread line trading my freedom for food.
[00:20:32.822 --> 00:20:36.523]  I'm taking control of my future, and you're nuts if you don't do the same.
[00:20:37.003 --> 00:20:43.025]  Go to eFoodsDirect.com forward slash Alex to find the specials, and you can start with a holiday gift pack that's normally $80, now under 50 bucks.
[00:20:44.705 --> 00:20:46.927]  Remember, I can warn you but I can't feed you.
[00:20:47.827 --> 00:20:52.070]  Call 800-409-5633 or efoodsdirect.com forward slash Alex.
[00:20:52.550 --> 00:20:55.632]  Would you rather prepare six months too early or one day too late?
[00:20:55.652 --> 00:21:00.135]  409-5633 or efoodsdirect.com forward slash Alex.
[00:21:02.257 --> 00:21:05.619]  This is a high Christmas priority for the survivalist on your gift list.
[00:21:06.943 --> 00:21:15.190]  For a very limited time, MyPatriotsupply.com is offering 30% off a special Christmas preparedness package, now through December 14th only.
[00:21:15.370 --> 00:21:34.405]  Stuff a stocking with a preparedness package that includes a 72-hour, 16-serving food kit, an emergency quick stove with four fuel disks, plus a five-pack of replacement fuel disks, two LifeStraw personal water filters, one magnesium fire starter, a four-pack of waterproof matches, and a $25 gift certificate to MyPatriotsupply.com.
[00:21:34.665 --> 00:21:37.628]  Regularly over $140, but now only $99.
[00:21:38.829 --> 00:21:44.794]  With free shipping to the lower 48, only from mypatriotsupply.com and only through December 14th.
[00:21:44.994 --> 00:21:46.856]  Hurry to mypatriotsupply.com or call 866-229-0927.
[00:21:46.916 --> 00:21:47.116]  That's 866-229-0927.
[00:21:47.136 --> 00:21:49.118]  Before it's time to survive, it's time to prepare.
[00:21:49.178 --> 00:21:50.799]  Merry Christmas from mypatriotsupply.com.
[00:22:02.011 --> 00:22:04.835]  Friends, this is Alex Jones for MidasResources.com.
[00:22:05.215 --> 00:22:10.362]  For more than 15 years, I have exclusively used Midas Resources for all my precious metal needs.
[00:22:10.803 --> 00:22:15.790]  Whether it's bullion or collectibles you're looking for, Midas Resources is simply the best.
[00:22:16.431 --> 00:22:18.494]  I own my gold as a hedge against inflation.
[00:22:19.014 --> 00:22:24.836]  This Federal Reserve fiat currency could go the way of the Deutsche Mark and the Weimar Republic anytime.
[00:22:25.336 --> 00:22:29.857]  In these historically dangerous times, it makes sense to physically hold gold and silver.
[00:22:30.217 --> 00:22:32.838]  Midas already has some of the best deals in the industry.
[00:22:33.078 --> 00:22:38.199]  But if you give them a call and mention the radio special, they will give you a list of the day's super specials.
[00:22:38.659 --> 00:22:42.000]  Midas brokers are standing by to answer all your questions at 800-686-2237.
[00:22:44.881 --> 00:22:50.907]  They also have a lot of informative free literature explaining the opportunities and risks of holding precious metals.
[00:22:51.327 --> 00:22:53.229]  They are ready to answer your questions at 800-686-2237.
[00:22:53.249 --> 00:22:53.549]  Again, that's 800-686-2237.
[00:23:01.570 --> 00:23:04.434]  What looks good under your Christmas tree and tastes even better?
[00:23:04.735 --> 00:23:05.976]  Big Berkey Water Filters!
[00:23:06.277 --> 00:23:07.899]  Yes, the gift of clean water.
[00:23:08.240 --> 00:23:12.446]  A gift that provides a great foundation for achieving good health in the lives of your loved ones.
[00:23:12.927 --> 00:23:16.532]  A Big Berkey Water Filter gives them protection from bacteria, heavy metals,
[00:23:16.812 --> 00:23:20.294]  Chlorine, fluoride, pesticides and herbicides, VOCs and more.
[00:23:20.554 --> 00:23:25.897]  And best of all, a big Berkey water filter is a gift that lasts for many years with no additional investment.
[00:23:26.138 --> 00:23:29.880]  And that saves time and money in filter replacements that other water filters require.
