[00:00:00.129 --> 00:00:07.975]  So... Big Brother.
[00:02:39.898 --> 00:02:41.820]  I don't think we really know that yet.
[00:02:42.280 --> 00:02:44.363]  You can speculate, but I want proof.
[00:02:44.383 --> 00:02:46.005]  Go ahead and make your other points, sir.
[00:02:47.233 --> 00:02:54.678]  Well, real quick, it's just ironic that, you know, Hillary Clinton is going away, Petraeus isn't going to testify.
[00:02:54.698 --> 00:03:03.065]  It's just really shady, and that, on top of all the executive orders Obama passed in his first four years, should have been frightening enough.
[00:03:03.645 --> 00:03:04.866]  And that gets me to my point.
[00:03:04.906 --> 00:03:05.867]  But he gave us a phone!
[00:03:05.907 --> 00:03:07.147]  He's going to do more, I'm sorry.
[00:03:07.167 --> 00:03:08.889]  Oh, it's crazy.
[00:03:09.089 --> 00:03:14.233]  And, you know, you've got people like that idiot Eric from New York calling up yesterday.
[00:03:15.220 --> 00:03:26.344]  Um, you know, the thing that disgusts me the most is it seems like the globalist double standard has trickled down to the dumbed-down masses.
[00:03:26.604 --> 00:03:27.604]  I mean... Oh, no, no, no.
[00:03:27.664 --> 00:03:34.807]  They think it's good to kill other people so they have more room in there, but they don't understand they're being killed, too.
[00:03:34.827 --> 00:03:35.607]  Is that what you were going to say?
[00:03:36.587 --> 00:03:44.510]  Yeah, well, you know, it doesn't make sense that the average person... I mean, your son is more intelligent than 90% of the people in this country.
[00:03:45.206 --> 00:03:49.008]  And, you know, these guys, they could kill, we kill, we go to jail.
[00:03:49.148 --> 00:03:51.949]  They could sell drugs, we sell drugs, we go to jail.
[00:03:52.289 --> 00:03:58.131]  They could push away vaccines, we push away vaccines on our kids, they have CPS come snatch up our children.
[00:03:59.072 --> 00:04:12.137]  You know, and it's trickled down to the people, and you have, you know, I live in the Bronx, unfortunately it's bittersweet, I understand it's a police city state, I understand that, but I got, I'm Italian, I got a lot of people
[00:04:13.375 --> 00:04:14.477]  Or African American.
[00:04:14.497 --> 00:04:16.560]  They're not dumbed down and ignorant.
[00:04:17.180 --> 00:04:30.978]  And people forget, when Planned Parenthood was created, they used people who were the black faces of the society movements, and used them to push their eugenics on the black society.
[00:04:31.710 --> 00:04:33.131]  And yet you have all these people.
[00:04:33.672 --> 00:04:37.895]  If you're white and you didn't vote for Obama, you vote for a white guy, you're racist.
[00:04:38.415 --> 00:04:43.539]  No, no, that's what's crazy is that I'm like, hey, they're killing half the black people in abortions.
[00:04:43.579 --> 00:04:44.460]  The guy's like, I don't care.
[00:04:44.500 --> 00:04:44.900]  I love it.
[00:04:45.301 --> 00:04:45.901]  You're racist.
[00:04:45.921 --> 00:04:51.265]  And I'm like, I mean, I'm telling you, man, it's sick because I'm telling you, I've been around those type of people.
[00:04:52.106 --> 00:05:00.332]  We got a bunch of video clubs, so we're going to air it soon where there's black folks saying, yeah, kill the little nappy head black kids, because it's this idea of kill somebody, I'll get more.
[00:05:00.352 --> 00:05:01.273]  It's amazing.
[00:05:02.557 --> 00:05:07.422]  Have you ever wanted to generate your own supply of electrical power, even save money on your electric bill?
[00:05:07.582 --> 00:05:10.685]  If so, this is going to be the most important message you will ever hear.
[00:05:10.885 --> 00:05:13.067]  Solar power generators are now available.
[00:05:13.327 --> 00:05:17.852]  These emergency backup systems provide life-saving electrical power when you need it most.
[00:05:18.132 --> 00:05:24.177]  Unlike gas generators, a solar generator runs quietly, emits no fumes, and produces electricity from the sun.
[00:05:24.477 --> 00:05:27.640]  It's like having an electric power plant running quietly in your own home.
[00:05:28.000 --> 00:05:31.923]  Run sump pumps, shortwave radios, computers, and even keep your food from spoiling.
[00:05:32.183 --> 00:05:37.167]  Whether it's hurricanes, ice storms, brownouts, or blackouts, you'll never suffer through painful power outages again.
[00:05:37.428 --> 00:05:38.308]  And here's the best news.
[00:05:38.408 --> 00:05:42.151]  A remarkable fall truckload sale going on right now that gets you $1,700.
[00:05:43.072 --> 00:05:43.572]  We're good to go.
[00:06:02.873 --> 00:06:13.038]  The Silver Lungs Generator is the only all-encompassing professional class product for producing endless colloidal and ionic silver solutions right from the convenience of your home.
[00:06:13.498 --> 00:06:24.204]  With recent regulations threatening the sale of silver-based supplements, now you can secure yourself and your family by producing your own silver solutions anywhere, anytime.
[00:06:24.664 --> 00:06:31.948]  You can have the peace of mind knowing that you can create endless supply of silver anytime, anywhere, for any application.
[00:06:32.208 --> 00:06:39.071]  The Silver Lungs Generator is a one-time purchase that requires no maintenance nor replacement parts for the life of the unit.
[00:06:39.411 --> 00:06:43.813]  This product was designed to be an invaluable part of your vital preparations.
[00:06:44.194 --> 00:07:01.542]  For a detailed report on the differences between ionic silver, colloidal silver, and what most silver solution manufacturers are producing, please visit our website at www.silverlungs.com for more information on why you should be producing your own silver solutions right from your home, forever.
[00:07:02.515 --> 00:07:08.761]  Strategic relocation is a systematic way to think strategically in the future about how do I safeguard.
[00:07:09.162 --> 00:07:11.524]  Renowned author and expert, Joel Skousen.
[00:07:11.544 --> 00:07:11.944]  The U.S.
[00:07:12.004 --> 00:07:16.128]  isn't building huge underground bases and bunkers because of some terrorist threat.
[00:07:16.228 --> 00:07:18.811]  They know that a massive nuclear attack is coming.
[00:07:19.211 --> 00:07:20.452]  They want that attack to come.
[00:07:20.693 --> 00:07:26.879]  Joel Skousen is renowned as one of the world's foremost experts in strategic relocation and the securing of your home.
[00:07:27.259 --> 00:07:29.723]  What I tell people is that you do have time.
[00:07:29.923 --> 00:07:34.711]  We talk about natural disasters, the health environment, we talk about pollution, the water quality.
[00:07:34.891 --> 00:07:42.343]  My personal experience about being in every one of these states, most people won't even be ready, won't be able to get out of town, because there'll be absolute panic.
[00:07:42.643 --> 00:07:45.204]  There is no preparedness without strategy.
[00:07:45.404 --> 00:07:48.045]  This Christmas, give the gift of preparedness.
[00:07:48.486 --> 00:07:52.727]  Strategic Relocation Film with Joel Skousen and Alex Jones.
[00:07:53.068 --> 00:07:57.650]  Available only at InfoWarsShop.com or by calling 888-253-3139.
[00:08:04.062 --> 00:08:09.627]  We now take you live to the Central Texas Command Center, in the heart of the resistance.
[00:08:10.088 --> 00:08:12.790]  You're listening to the Alex Jones Show!
[00:08:13.651 --> 00:08:24.380]  Monday through Friday from 12 noon to 3 p.m.
[00:08:31.889 --> 00:08:37.751]  Eastern, we are here live and it is now the 13th day of November 2012.
[00:08:38.272 --> 00:08:45.675]  We are seeing massive geopolitical movements worldwide.
[00:08:45.715 --> 00:08:50.197]  We are seeing incredible movements inside the military-industrial complex.
[00:08:50.977 --> 00:08:58.500]  What you're seeing from my perspective, we'll get Dr. Pucinich's take on this, is soft power coups going on back and forth.
[00:08:58.540 --> 00:09:00.281]  You have the FBI on record
[00:09:02.062 --> 00:09:14.636]  And even Judge Andrew Napolitano is saying this is clearly illegal unconstitutional spying on the CIA director without warrants because another woman who was involved in the
[00:09:17.279 --> 00:09:22.021]  Hospitality, a volunteer at the Special Forces Command Basis.
[00:09:22.382 --> 00:09:28.184]  She was a volunteer there helping the men in social services.
[00:09:28.244 --> 00:09:29.985]  She was a social volunteer.
[00:09:30.466 --> 00:09:31.406]  What a nice lady.
[00:09:31.906 --> 00:09:39.150]  And you've got the head of the Afghanistan operations sending her thousands of inappropriate, according to the Associated Press, emails.
[00:09:39.710 --> 00:09:42.572]  DrudgeReport.com has it all, calling it a four-star circus.
[00:09:42.652 --> 00:09:45.955]  InfoWars.com has it all as well.
[00:09:45.975 --> 00:09:47.557]  So does PrisonPlanet.com.
[00:09:47.577 --> 00:09:53.181]  We're streaming video right now for radio listeners that they like to watch at InfoWarsNews.com.
[00:09:53.221 --> 00:09:57.064]  So you can see all these articles and documents and photos that we're talking about.
[00:09:57.865 --> 00:10:05.948]  But I remember just a few days after the Benghazi situation, we had Dr. Steve Pchenik on, who is a member of the Council on Foreign Relations.
[00:10:06.688 --> 00:10:15.311]  He confronted a few months ago the Joint Chiefs of Staff Chairman Dempsey at the CFR and said, you know, that he needed to go public and say, don't attack
[00:10:17.152 --> 00:10:20.915]  Iran, that later even came out in the news months after he talked about it.
[00:10:21.416 --> 00:10:25.179]  And to his credit, Dempsey went public and said it's a suicide mission.
[00:10:25.920 --> 00:10:30.444]  Just as many as the Israelis are saying it's going to be a catastrophe, including the former Mossad chief.
[00:10:30.924 --> 00:10:39.632]  Instead of using soft power against Iran, some want to go to this larger regional war that will probably lead to a third world war, at least conventional world war.
[00:10:40.905 --> 00:10:42.226]  And you saw Benghazi.
[00:10:42.266 --> 00:10:44.668]  We know it didn't go five hours, it went seven hours.
[00:10:44.708 --> 00:10:45.889]  We know there's been a cover-up.
[00:10:45.909 --> 00:10:47.550]  We know it was an orchestrated attack.
[00:10:48.030 --> 00:10:51.593]  Why did the White House come out and say it wasn't an orchestrated attack?
[00:10:51.673 --> 00:11:00.959]  Then Dr. Pichinik said it was a neocon internal government operation as a false flag, October surprise, to knock out Obama.
[00:11:01.039 --> 00:11:04.622]  He's been critical of Obama, saying the bin Laden story was a hoax.
[00:11:04.662 --> 00:11:06.103]  He said it ten years ago on my show.
[00:11:06.423 --> 00:11:07.704]  He said it right after it happened.
[00:11:07.724 --> 00:11:08.805]  Then that started to come out.
[00:11:09.165 --> 00:11:14.587]  Stratford responded, the mainstream media responded, and said that a lot of the intelligence community weren't buying it.
[00:11:14.847 --> 00:11:22.030]  So this became a big international story, but also within internal intelligence it became really big.
[00:11:22.070 --> 00:11:27.152]  And Dr. Pucinich was approached by different spy agencies, Mossad, CIA, you name it.
[00:11:27.952 --> 00:11:30.013]  I was approached off record and asked to shut up.
[00:11:30.153 --> 00:11:30.993]  I have not shut up.
[00:11:31.474 --> 00:11:32.974]  I have been threatened as well.
[00:11:33.855 --> 00:11:37.056]  So, you know, at a certain point, even though I researched this stuff,
[00:11:37.896 --> 00:11:40.198]  No exaggeration, 18 hours a day and even dream about it.
[00:11:40.418 --> 00:11:43.960]  Because once you get obsessed with something and you've got a decent brain, the world opens up.
[00:11:44.441 --> 00:11:46.222]  I'm not sure what's going on.
[00:11:46.242 --> 00:11:47.103]  I know there's a cover-up.
[00:11:47.483 --> 00:11:50.265]  I know it was an attempted false flag at some level.
[00:11:50.665 --> 00:11:54.908]  I know there were missiles at that facility, the thousands that are missing, to be shipped into Syria.
[00:11:54.988 --> 00:11:55.809]  That's now come out.
[00:11:56.049 --> 00:11:57.010]  We said that a month ago.
[00:11:57.070 --> 00:11:58.211]  Dr. Tarpley and others did.
[00:11:58.931 --> 00:12:03.272]  We know that the ambassador was starting to become critical of what was happening.
[00:12:03.532 --> 00:12:04.612]  That's since been confirmed.
[00:12:04.632 --> 00:12:05.493]  Pchenik said that.
[00:12:05.793 --> 00:12:07.273]  So that backs up some of what he's saying.
[00:12:07.553 --> 00:12:14.815]  But I don't get, and we're going to walk through this here today, I want him to give us the big picture first and simplify it, then get into more details.
[00:12:15.095 --> 00:12:27.378]  I don't get if it's some type of internal false flag October surprise against Obama because certain power structures wanted to control the military industrial complex trough.
[00:12:28.283 --> 00:12:30.225]  And wanted a hot war against Iran.
[00:12:30.605 --> 00:12:34.910]  Why Obama stood down, why he lied about it, why he gave the press conferences, why the U.S.
[00:12:34.950 --> 00:12:43.077]  ambassador to the U.N., Rice, shed on all the different news shows that Sunday after, it happened the day after, that it was just a protest gone wrong.
[00:12:43.358 --> 00:12:48.263]  Why the cover-up if it was a black op against him?
[00:12:48.963 --> 00:12:51.586]  Okay, and now why are they purging Petraeus?
[00:12:51.646 --> 00:12:53.969]  Why are they purging the head of AFRICOM?
[00:12:54.310 --> 00:12:56.332]  Why are they purging who was over Benghazi?
[00:12:56.653 --> 00:13:00.958]  Why are they purging the head of the Afghanistan operation?
[00:13:00.998 --> 00:13:04.122]  This is all happening, all connected to this one woman.
[00:13:06.295 --> 00:13:08.216]  Is this woman a operative?
[00:13:08.376 --> 00:13:10.218]  Is this woman what they call a honeypot?
[00:13:10.258 --> 00:13:11.338]  That's a question we're going to ask.
[00:13:11.759 --> 00:13:19.644]  And Dr. Pachinik, again, is an MD, PhD, and American psychiatrist, trained and served under Kissinger, former State Department official, author, and publisher.
[00:13:19.984 --> 00:13:25.627]  He, of course, has written many, co-written many of the Tom Clancy books, been turned into major movies and TV shows and series.
[00:13:26.008 --> 00:13:32.672]  He's a critically acclaimed author of psycho-political thrillers and co-creator of the best-selling Tom Clancy's Op Center and NetForce, just to name a few.
[00:13:33.012 --> 00:13:39.815]  He's trained in psychiatry at Harvard University, international relations at the same time, only got to have two degrees at the same time, MIT.
[00:13:40.275 --> 00:13:48.919]  His novels are based on over 20 years experience resolving international crises and hostage situations for the Department of State for Foreign Administration, stevepachinick.com.
[00:13:48.959 --> 00:13:52.061]  Notice he's revamped and upgraded his site, looks really good.
[00:13:52.081 --> 00:13:58.764]  And of course, if you really look up his name, he's been involved in overthrows of governments, using psych warfare to get people to kill.
[00:14:00.124 --> 00:14:08.030]  You know, if we're talking about this on air, but the London Telegraph, if you can correct me if I'm wrong, says that he tricked the Communists into killing the Italian Prime Minister, things like that.
[00:14:08.050 --> 00:14:08.971]  So he's a serious guy.
[00:14:09.371 --> 00:14:10.312]  He joins us now.
[00:14:10.692 --> 00:14:12.013]  Sir, I know I've thrown a lot out there.
[00:14:12.033 --> 00:14:12.753]  That's what I do.
[00:14:12.773 --> 00:14:14.254]  Everybody kind of gets some of the pieces.
[00:14:14.895 --> 00:14:16.836]  I want to start with the big picture.
[00:14:17.277 --> 00:14:20.219]  You said that there were internal jockeying and things going on.
[00:14:20.998 --> 00:14:31.366]  I'd like to start with Petraeus and what's happening now, lead that into Benghazi, lead that into Bin Laden, and what the power structure's doing right now with the internal tectonic fissures.
[00:14:31.867 --> 00:14:33.288]  Dr. Pachanek, thank you for joining us.
[00:14:34.148 --> 00:14:35.850]  Thank you, Alex, for having me on the show.
[00:14:35.890 --> 00:14:37.511]  Let me start with number one.
[00:14:38.172 --> 00:14:49.621]  Basically, what Petraeus is doing is doing what all generals have done previously, is to basically fall on the sword of immolation, basically to take himself out.
[00:14:50.279 --> 00:15:01.530]  Because he probably did not agree with the decision to General Dempsey, Bonetta, and what I call the choir boys, the people who, Donlan, Brandon, the President himself.
[00:15:01.950 --> 00:15:06.094]  What this really is, is an internal fight.
[00:15:06.493 --> 00:15:18.580]  Between what is the military culture, which is rising, something I encourage, against the civilian culture, which was really dominated by the CIA, an antiquated CIA.
[00:15:19.020 --> 00:15:33.788]  And it's been a power structure fight for a very, very long time, over 20 years, probably starting with back to the Bush Senior, going through the Clinton administration, where you had two different types of cultures trying to dominate our foreign policy.
[00:15:34.446 --> 00:15:38.488]  And it was much more Machiavellian than anybody realized.
[00:15:38.548 --> 00:15:39.629]  It was behind the scenes.
[00:15:39.789 --> 00:15:53.877]  What you have is a CIA that's really dysfunctional, that is consisting of people who have never really been able to acclimate to the new world, to a world which has become more electronic, more precise, more incisive.
[00:15:54.117 --> 00:15:57.078]  And what happened is you have a lot of men who are in the 70s and 80s,
[00:15:58.675 --> 00:16:00.596]  Many of them were alcoholics who I treated.
[00:16:00.756 --> 00:16:02.897]  Many of them came out of the Catholic religion.
[00:16:02.917 --> 00:16:04.557]  I have nothing against Catholicism.
[00:16:05.018 --> 00:16:16.862]  People like Dempsey, who was the chairman of Joint Chiefs of Staff, Brannon, Donnellan, all of whom really were not very qualified to run anything other than a series of past failures.
[00:16:16.942 --> 00:16:17.903]  I'll give you an example.
[00:16:18.043 --> 00:16:23.225]  Brannon, who is now the counterterrorism head, was in charge of the towers that blew up in
[00:16:24.440 --> 00:16:51.219]  Saudi Arabia, he's a totally incompetent station chief who's been an advisor to not only Clinton, but went through Bush Jr., was involved in 9-11, the original 9-11, and has created a total series of false narratives that the CIA has been very, not effective in doing, including the 9-11 Osama bin Laden story, the Osama bin Laden raid, which was false, and now it finally came to the confrontation of Benghazi.
[00:16:51.799 --> 00:16:52.920]  Benghazi is really the
[00:16:53.584 --> 00:16:57.265]  The trigger point of the entire conflict between our U.S.
[00:16:57.325 --> 00:17:17.152]  military, which is a highly trained, very precise organization, which would not tolerate the ad hoc or the kind of willy-nilly efforts of the CIA to create all kinds of conflicts, and the incompetence of our civilian government, including Obama, including Hillary Clinton,
[00:17:17.634 --> 00:17:23.003]  We've had a history of men who have died all along the side who've allowed men to die.
[00:17:23.063 --> 00:17:23.945]  Remember Foster?
[00:17:24.546 --> 00:17:30.696]  She herself has been a very disastrous figure in our foreign policy going all the way back to Bill Clinton.
[00:17:31.514 --> 00:17:37.096]  She encouraged him not to get involved in the killing and the massacre of 800,000 people in Rwanda.
[00:17:37.136 --> 00:17:37.956]  Nobody knows about that.
[00:17:37.976 --> 00:17:38.416]  Sure, Doc.
[00:17:38.456 --> 00:17:43.998]  Listen, I'm going to give you the floor to get into all this, but just for listeners tuning in right now, I understand some of the background.
[00:17:44.038 --> 00:17:46.739]  You're talking to people out there in government, not just the audience.
[00:17:46.799 --> 00:17:48.220]  But, I mean, come on.
[00:17:48.240 --> 00:17:51.021]  You've got the same woman connected to all these generals.
[00:17:51.441 --> 00:17:51.761]  You've got...
[00:17:52.381 --> 00:17:53.222]  Forget about the woman.
[00:17:53.422 --> 00:18:00.209]  Alex, what I want you to remember, all of this is what we call a cover story and a honey trap that doesn't really exist.
[00:18:00.309 --> 00:18:03.753]  Whatever the story is, we're talking about characters now.
[00:18:04.253 --> 00:18:05.695]  We're the real bigger picture.
[00:18:05.715 --> 00:18:07.577]  You've got to pull back, Alex, for a minute.
[00:18:07.977 --> 00:18:12.342]  The real picture now is what happens when you have a military that was led by Petraeus.
[00:18:12.822 --> 00:18:23.486]  Taking over the CIA and saying that you're going to have to now not work a loosey-goosey and out of control as you've been doing it for 20, 30 years, but you're going to be a militarized service.
[00:18:23.946 --> 00:18:28.048]  And so what happened, a lot of the CIA is no longer what we have civilians.
[00:18:28.548 --> 00:18:32.830]  We have really outsourced special forces who have been on contracts.
[00:18:32.930 --> 00:18:40.032]  So basically our entire covert operation institution has been contract officers who make a lot of money, $250,000, ex-special forces.
[00:18:42.754 --> 00:18:51.244]  And we have the military, who's been standing by and being told what to do and to go into areas that they don't want to create wars.
[00:18:51.345 --> 00:18:55.109]  For example, in Libya, there was no reason whatsoever to take down Gaddafi.
[00:18:55.510 --> 00:18:56.591]  Absolutely no reason.
[00:18:57.072 --> 00:19:02.098]  There was no reason whatsoever to go into Syria, to take down Syria.
[00:19:02.838 --> 00:19:20.088]  So now it's purely about the payday and if they continue this, even if there's a corrupt power structure, there's not going to be an America left if these mercenaries continue to get in the way of the real, you know, national goals and national interest of this nation.
[00:19:20.108 --> 00:19:20.728]  That's correct.
[00:19:20.768 --> 00:19:31.034]  The mercenaries was a problem that was brought up to me by the General, actually the Special Forces General ten years ago when he asked me what I think would be the next
[00:19:32.548 --> 00:19:37.952]  ...next major enemies of the United States, and I said the mercenaries that we're creating... Okay, Doc, we gotta go to break.
[00:19:38.012 --> 00:19:51.762]  Humor me when we come back, and recap what you're really saying happened in Benghazi, and then let's get into what's happening with Petraeus, because clearly the FBI and the Justice Department is now spying on generals without warrants.
[00:19:52.183 --> 00:19:55.846]  This is some type of internal battle coup operation.
[00:19:55.866 --> 00:19:57.727]  I want you to put it in layman's terms.
[00:19:58.047 --> 00:19:59.829]  Talk to me like I'm six years old, Doc.
[00:20:00.029 --> 00:20:00.729]  We'll be right back.
[00:20:00.749 --> 00:20:01.170]  Stay with us.
[00:20:03.624 --> 00:20:08.426]  We have witnessed two terrible storms in the East, but we are still in the eye of the perfect storm.
[00:20:08.786 --> 00:20:11.547]  The most devastating economic condition since the Great Depression.
[00:20:11.808 --> 00:20:14.169]  America's worst drought in agricultural history.
[00:20:14.349 --> 00:20:16.810]  And now the economic results of the presidential election.
[00:20:16.830 --> 00:20:20.051]  This perfect storm is a huge threat to everyone's food supply.
[00:20:20.331 --> 00:20:24.873]  I just doubled down and got even more supplies from EatFoodsDirect, and I recommend you do the same.
[00:20:25.153 --> 00:20:28.935]  It's GMO-free with no hydrogenated oils, and has a 25-year shelf life.
[00:20:29.275 --> 00:20:31.396]  It's time to get your own supply from eFoodsDirect.
[00:20:31.696 --> 00:20:34.698]  I know I won't be standing in a bread line trading my freedom for food.
[00:20:35.098 --> 00:20:36.699]  I'm taking control of my future.
[00:20:36.979 --> 00:20:38.599]  And you're nuts if you don't do the same.
[00:20:38.900 --> 00:20:42.041]  Go to eFoodsDirect.com forward slash Alex to find the specials.
[00:20:42.261 --> 00:20:44.902]  And you can start with a holiday gift pack that's normally $80, now under 50 bucks.
[00:20:46.423 --> 00:20:48.544]  Remember, I can warn you but I can't feed you.
[00:20:48.784 --> 00:20:53.687]  Call 800-409-5633 or efoodsdirect.com forward slash Alex.
[00:20:54.007 --> 00:20:56.989]  Would you rather prepare six months too early or one day too late?
[00:20:57.009 --> 00:20:58.490]  409-5633 or efoodsdirect.com forward slash Alex.
[00:21:02.441 --> 00:21:07.445]  We all know that Berkey Water Purification Systems are the most trusted name in water filtration.
[00:21:07.665 --> 00:21:16.792]  As an authorized Berkey dealer for over six years and serving thousands of satisfied customers, the Berkey guy offers amazing specials for Berkey Water Filtration Systems.
[00:21:17.032 --> 00:21:31.083]  The Berkey Light Systems include a set of self-sterilizing and recleanable black purification elements that purify water by removing chlorine, pathogenic bacteria, cysts and parasites to non-detectable levels and remove harmful chemicals such as herbicides and pesticides.
[00:21:31.343 --> 00:21:35.189]  Order the Berkey Light System today, complete with two black Berkey elements for only $231.
[00:21:35.730 --> 00:21:39.295]  And the Berkey Guy will ship your order free of charge.
[00:21:39.495 --> 00:21:45.043]  With the purchase of a Berkey Light, the Berkey Guy is also offering a set of fluoride and arsenic filters for only $39.99.
[00:21:46.465 --> 00:21:48.608]  That's over 30% off the retail price.
[00:21:48.828 --> 00:21:49.729]  Call the Berkey guy at 1-877-886-3653.
[00:21:49.749 --> 00:21:49.950]  That's 1-877-886-3653.
[00:21:49.970 --> 00:21:51.111]  Or order online at GoBerkey.com.
[00:21:51.131 --> 00:21:52.353]  That's GoBerkey.com today!
[00:22:02.466 --> 00:22:05.567]  Being an armed citizen means having a gun with you all the time.
[00:22:06.287 --> 00:22:11.109]  Carrying a firearm every day requires a holster that is both concealable and comfortable.
[00:22:11.730 --> 00:22:20.833]  Whether you choose our Super Tuck Deluxe or Mini Tuck, you'll have the confidence that comes from being discreetly and comfortably armed, prepared to face unforeseen dangers.
[00:22:21.193 --> 00:22:27.675]  Crossbreed holsters are handmade in the USA, come with a lifetime warranty and a two-week try it free guarantee.
[00:22:28.316 --> 00:22:31.677]  Order your holster today at crossbreedholsters.com.
[00:22:31.977 --> 00:22:33.037]  Hi, this is Ted Anderson.
[00:22:33.217 --> 00:22:37.558]  Have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold IRAs?
[00:22:37.738 --> 00:22:43.399]  They've been available since 1986, yet the financial industry won't recognize the value of gold for your retirement.
[00:22:43.499 --> 00:22:46.880]  Gold has outperformed paper investments, yet no word about IRAs.
[00:22:47.100 --> 00:22:49.681]  If you would like to have gold for your retirement, call 800-686-2237.
[00:22:49.801 --> 00:22:54.662]  Don't get left behind by rising inflation and low returns.
[00:22:54.802 --> 00:22:55.022]  Call 800-686-2237.
[00:22:55.042 --> 00:22:56.442]  Secure your future and call 1-800-686-2237.
[00:23:02.495 --> 00:23:09.376]  I don't mean to be nosy, but do you have the 37 food items you can't get in the coming disaster and may not survive without?
[00:23:10.256 --> 00:23:14.817]  As you already know, something big is about to hit the U.S., and you have got to be prepared.
[00:23:15.377 --> 00:23:19.378]  Did you know that your local grocery store only keeps a three-day supply of food on hand?
[00:23:19.798 --> 00:23:31.600]  So if there is any interruption in our fragile food supply chain, or even a hint of a crisis, then the three-day supply at your local grocery store will be gobbled up by the mob in minutes, and you and your family could be in serious trouble.
