[00:00:06.038 --> 00:00:07.880]  Ladies and gentlemen,
[00:03:31.951 --> 00:03:37.433]  Surveillance video reveals simple, low-cost solution that works everywhere.
[00:03:39.389 --> 00:03:47.274]  And you know, we don't, I don't sit there and make everybody that writes for our websites, Infowars.com, PrisonPlanet.com, or even who we post, totally agree with us.
[00:03:47.674 --> 00:03:51.396]  There's also articles going on the perspective that he was on a bunch of psychotropic drugs.
[00:03:52.297 --> 00:03:59.561]  There's also a bunch of articles about 20 more examples of sickos that are overrunning America, because there are a lot of people in denialism and death and murder.
[00:04:00.062 --> 00:04:03.784]  Even the London Telegraph has written about that, that it's the video games, the movies.
[00:04:04.184 --> 00:04:05.925]  A normal person doesn't make them go crazy.
[00:04:06.225 --> 00:04:08.727]  But sickos, this is how they become a man.
[00:04:09.892 --> 00:04:19.326]  Just like in all ancient cultures, young men at around 12, 13 wanted to go join and go on raiding parties or go to war because that's how you became a man.
[00:04:20.888 --> 00:04:30.272]  I remember when I was 12, 13, 14, you know, I believed all the stories with the other kids claiming they had all these girlfriends, and I believed everybody's stories about how tough they were.
[00:04:30.292 --> 00:04:32.353]  And so I wanted to become that.
[00:04:32.913 --> 00:04:36.394]  And that's just a normal male activity.
[00:04:36.614 --> 00:04:42.156]  But now they say if you're a really cool male, you get all into death and you go and shoot a bunch of people.
[00:04:42.416 --> 00:04:46.438]  There's all this weird art now where good-looking women do mean things to animals.
[00:04:47.038 --> 00:04:48.439]  Very sick.
[00:04:50.686 --> 00:04:54.273]  But, my gut tells me this is a black off and I'm gonna break that down.
[00:04:54.534 --> 00:04:56.618]  Coming up, big broadcast today.
[00:04:56.678 --> 00:04:57.159]  Stay with us.
[00:05:01.257 --> 00:05:05.500]  This is Alex Jones with five good reasons you should consider buying a solar power generator.
[00:05:05.800 --> 00:05:06.420]  Number one.
[00:05:06.720 --> 00:05:09.862]  New climate legislation could easily double or triple your electric bill.
[00:05:10.143 --> 00:05:10.723]  Number two.
[00:05:11.003 --> 00:05:15.566]  Our new energy czar wants to control how much power your electric company allows you to have.
[00:05:15.906 --> 00:05:16.347]  It's true.
[00:05:16.647 --> 00:05:21.190]  Total government control of electricity in the name of smart grid technology is coming.
[00:05:21.510 --> 00:05:22.070]  Number three.
[00:05:22.350 --> 00:05:25.632]  In some areas of the country, the power grid is dangerously overloaded.
[00:05:25.933 --> 00:05:29.635]  And now, new socialist legislation is only compounding the problem.
[00:05:29.835 --> 00:05:30.376]  Number 4.
[00:05:30.616 --> 00:05:32.998]  Dangerous weather is always a threat to local grids.
[00:05:33.378 --> 00:05:36.782]  Every year, thousands of families lose their power from weather-related outages.
[00:05:37.062 --> 00:05:37.602]  Number 5.
[00:05:37.863 --> 00:05:41.766]  A solar power generator provides powerful backup, insurance, and peace of mind.
[00:05:42.006 --> 00:05:46.771]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[00:05:47.051 --> 00:05:51.077]  You can get more information at www.mysolarbackup.com.
[00:05:51.217 --> 00:05:52.799]  That's mysolarbackup.com.
[00:05:53.020 --> 00:05:55.103]  Remember, the government doesn't own the sun.
[00:05:55.263 --> 00:05:57.606]  So go to mysolarbackup.com or call 1-877-327-0365.
[00:06:03.183 --> 00:06:10.870]  If you want an American company with American products made by Americans, here is the Cal Ben Soap Company.
[00:06:11.310 --> 00:06:14.934]  Alex and his staff have used these pure soap products for years.
[00:06:15.374 --> 00:06:22.200]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[00:06:22.680 --> 00:06:25.163]  See them on the web at 5starsoap.com.
[00:06:25.703 --> 00:06:30.206]  Or call 800-340-7091 for a free catalog.
[00:06:30.526 --> 00:06:36.209]  Buy the 1 to 2 month sample package and enjoy soaps that are twice as good as what you're using now.
[00:06:36.469 --> 00:06:41.572]  Or save big with a 1 to 2 year supply of soaps for all your cleaning needs.
[00:06:41.892 --> 00:06:43.513]  This is an amazing deal.
[00:06:43.873 --> 00:06:48.476]  You can save thousands of dollars and you will love the way real soap makes you feel.
[00:06:49.096 --> 00:06:52.238]  See them on the web at 5starsoap.com or call
[00:06:52.478 --> 00:06:53.704]  Call 800-340-7091 for a free catalog.
[00:07:00.984 --> 00:07:01.964]  Let me ask you a question.
[00:07:02.205 --> 00:07:03.365]  What does freedom mean to you?
[00:07:03.385 --> 00:07:04.525]  The freedom to choose?
[00:07:04.606 --> 00:07:05.326]  The freedom to vote?
[00:07:05.566 --> 00:07:06.326]  The freedom to worship?
[00:07:06.566 --> 00:07:08.547]  How about the freedom to take control of your own future?
[00:07:08.787 --> 00:07:13.929]  My friends at eFoodsDirect are celebrating freedom this month while helping you take control of your greatest dependency, food.
[00:07:14.270 --> 00:07:21.432]  Right now you receive one of their new Patriot Packs free with every $289 you spend on their highly nutritious and great tasting food.
[00:07:21.713 --> 00:07:25.094]  The Patriot Pack is a 30 day supply of eFoods quick fix, easy to store
[00:07:25.094 --> 00:07:25.374]  We're good.
[00:07:46.118 --> 00:07:47.279]  Operators are standing by.
[00:07:47.459 --> 00:07:51.603]  Call 800-409-5633 or efoodsdirect.com forward slash Alex.
[00:07:51.904 --> 00:07:55.127]  eFoods is so affordable, the more you store and eat, the more you save.
[00:07:55.367 --> 00:08:00.172]  Go to efoodsdirect.com forward slash Alex or call 800-409-5633 right now.
[00:08:01.893 --> 00:08:04.095]  He's the T-Rex of political talk.
[00:08:04.656 --> 00:08:07.439]  Alex Jones on the GCN Radio Network.
[00:08:24.309 --> 00:08:28.553]  Ladies and gentlemen, it is Monday, the 23rd day of July 2012.
[00:08:28.693 --> 00:08:40.422]  We have Chris Emery and Holland van der Neuwenhoff, both filmmakers and experts on false flag terror, joining us in the third hour today.
[00:08:40.743 --> 00:08:44.646]  And the reason they're joining us is they looked at a specific staged terror attack.
[00:08:47.820 --> 00:08:57.046]  In 1995, run by the very same crew I believe from the evidence and the earmarks and the signatures and the wavelength and the PR push.
[00:08:59.505 --> 00:09:07.630]  The prime suspects of this new shooting in Colorado are the same people that committed the Oklahoma City bombing in 1995 on April 19th.
[00:09:08.290 --> 00:09:09.951]  And by the way, that's open and shut.
[00:09:09.971 --> 00:09:14.173]  I've interviewed the police, the workers, the head of HUD.
[00:09:14.854 --> 00:09:17.535]  I've interviewed them all, except, well, those they killed.
[00:09:17.575 --> 00:09:24.259]  They killed some of the medical people and at least one police officer that saw the ATF and the dirty deeds they were committing.
[00:09:26.118 --> 00:09:29.100]  You know, the same ATF that ships guns to Mexico to blame the Second Amendment.
[00:09:29.440 --> 00:09:31.161]  And then the memos come out, it was a false flag.
[00:09:31.461 --> 00:09:37.345]  You know, 2,000 dead of the almost 60,000 dead now in the last three and a half, four years in Mexico.
[00:09:38.126 --> 00:09:39.266]  Hundreds dead in the U.S.
[00:09:39.286 --> 00:09:40.787]  Those are very conservative numbers.
[00:09:42.288 --> 00:09:47.211]  Multiple Border Patrol, multiple police doing it all to blame the Second Amendment.
[00:09:50.273 --> 00:09:52.495]  Oh, but we shouldn't look at this same crew
[00:09:54.582 --> 00:09:55.403]  For the shooting here.
[00:09:55.563 --> 00:09:56.084]  How do you do it?
[00:09:56.124 --> 00:10:00.910]  You hop somebody up on drugs, shock therapy, psychotropics.
[00:10:01.290 --> 00:10:06.236]  It only takes a few months to do this with a person that's already has a proclivity towards being suggestible.
[00:10:06.917 --> 00:10:13.505]  And you basically chemically hypnotize them with devil's breath, cocktails of PCP, LSD, mescaline.
[00:10:14.466 --> 00:10:17.647]  Oh, that's what was in the bodies of the Mumbai massacre people.
[00:10:17.667 --> 00:10:20.127]  Remember three years ago, the attacks in India?
[00:10:20.427 --> 00:10:22.167]  I went on air and said it's an inside job.
[00:10:22.508 --> 00:10:31.089]  Oh, by the way, the head of Indian intelligence who was killed that day fighting them, said it's Western intelligence trying to get a war between India and Pakistan.
[00:10:31.389 --> 00:10:32.309]  He was killed that day.
[00:10:32.329 --> 00:10:34.290]  By the way, he was a Hindu, not a Muslim.
[00:10:34.810 --> 00:10:36.790]  They want to get India and Pakistan fighting with each other.
[00:10:37.110 --> 00:10:39.651]  And then what came out months later in the Chicago Tribune?
[00:10:40.031 --> 00:10:40.891]  I covered this yesterday.
[00:10:41.671 --> 00:10:46.593]  Oh, that a CIA agent led and trained the attacks.
[00:10:46.993 --> 00:10:51.314]  And then when they finally killed the, was it five or six guys?
[00:10:52.434 --> 00:10:56.356]  You notice they weren't in Muslim guard, they didn't have beards, they looked totally crazy.
[00:10:56.376 --> 00:11:04.338]  When I saw that surveillance camera footage the day after, I said those people were on LSD, PCP, mescaline, devil's breath concoctions.
[00:11:04.358 --> 00:11:07.379]  Because, I mean, I've got MKUltra, I know what they give people.
[00:11:08.220 --> 00:11:09.080]  You know what they found?
[00:11:09.241 --> 00:11:11.882]  Injectors of PCP and LSD.
[00:11:12.582 --> 00:11:13.423]  Injectors.
[00:11:13.783 --> 00:11:19.666]  Commandos land at night on boats on PCP, LSD, and stuff like that.
[00:11:20.827 --> 00:11:23.488]  And we're injecting it into their veins.
[00:11:25.429 --> 00:11:27.370]  Do you have any idea what that does to a normal person?
[00:11:27.691 --> 00:11:31.893]  A normal person who hasn't been on it for a long period of time cannot get up and walk.
[00:11:33.430 --> 00:11:51.157]  In the 50s and 60s, they did it for psychological testing, MKUltra, at every major university, including University of Texas down the street from me, that's declassified, where they would bring in college neuroscience or psychology students, and they would inject them with pure LSD, and then try to program them.
[00:11:53.055 --> 00:11:55.257]  Convince them they were somebody else, screw them all up.
[00:11:55.277 --> 00:11:57.540]  I mean, we're talking about mega doses of this.
[00:11:58.200 --> 00:12:07.470]  And the only way these guys could be injecting LSD, PCP, and other hallucinogens at the Mumbai attack was if they'd been on it for six months or longer.
[00:12:07.690 --> 00:12:13.096]  Folks, they'd been strapped down with headsets and total programming electroshot probably for a year.
[00:12:14.571 --> 00:12:32.476]  And then it was like, okay, ready now, all the pain's gonna end, you're gonna win, you're gonna find the, you're gonna find the, you know, the purple monkey, and, you know, whatever weird programming word they use, Catcher in the Rye was an earlier program, you know, a lot of shooters were under, and they just are, it creates an artificial, total, obsessive-compulsive, schizoid break.
[00:12:33.276 --> 00:12:43.019]  And then they tell him, alright, and remember, you wanna keep this going for days, so they inject him as they're coming into the beach, they give him their backpacks, they give him their team leader,
[00:12:45.074 --> 00:12:46.295]  Okay, you ready for your mission?
[00:12:46.355 --> 00:12:52.497]  And then they go out for two days and hand-grenading and rocket attack and machine gun attacks inside the shopping malls.
[00:12:54.338 --> 00:12:56.539]  And then it came out in the news when they killed him.
[00:12:56.559 --> 00:12:58.580]  There's their backpacks with all the injectables.
[00:12:59.120 --> 00:13:01.021]  The Indian police, they weren't playing ball.
[00:13:01.041 --> 00:13:02.301]  They said, we think you staged that.
[00:13:02.561 --> 00:13:04.182]  That was in the Times of India.
[00:13:06.854 --> 00:13:07.776]  This is how they do it.
[00:13:08.016 --> 00:13:11.362]  Folks, they could grab you off the street, even if you were strong, mentally.
[00:13:11.663 --> 00:13:16.592]  And in six months, they could have you doing anything they wanted, including thinking you were a dog.
[00:13:17.355 --> 00:13:19.277]  Thinking you were John Wayne?
[00:13:19.678 --> 00:13:22.842]  Thinking you were the Mad Hatter from Alice in Wonderland?
[00:13:23.142 --> 00:13:24.844]  They can do whatever they want.
[00:13:25.064 --> 00:13:26.966]  They erase your memory with electroshock.
[00:13:27.587 --> 00:13:34.355]  24 hours a day, they've got headsets on you, with you tied down in a straitjacket, pumping audio in while they're injecting you.
[00:13:34.856 --> 00:13:37.259]  If that doesn't break you, they find your fear points.
[00:13:39.087 --> 00:13:43.029]  A lot of times that's people running around in monster outfits while you're hallucinating.
[00:13:43.850 --> 00:13:53.256]  Or with the Muslims, it's coming in women having sex with them while pouring blood on them at the CIA brainwashing base, which is declassified partially.
[00:13:53.296 --> 00:13:53.976]  They admit it's there.
[00:13:53.996 --> 00:14:04.283]  They have a brainwashing laboratory to create mind-control Muslim assassins to then blame on Muslims and also to command Al-Qaeda forces.
[00:14:04.783 --> 00:14:07.125]  You notice the graduates of Camp X-Ray
[00:14:07.665 --> 00:14:12.268]  They're the people commanding Libya attack, commanding Syria attack, commanding it all.
[00:14:13.209 --> 00:14:15.831]  But see, I'm digressing into mind control here right now.
[00:14:17.692 --> 00:14:18.713]  That's how this works.
[00:14:20.715 --> 00:14:25.819]  And you notice he was a promising, quote, young scientist in his PhD level.
[00:14:27.322 --> 00:14:29.063]  You noticed that we did look it up.
[00:14:29.384 --> 00:14:30.384]  Indeed, you can go look it up.
[00:14:30.444 --> 00:14:31.765]  I've got to get these articles written.
[00:14:31.986 --> 00:14:33.867]  I do all the research, never have time to even codify it.
[00:14:34.147 --> 00:14:42.713]  It was a Department of Defense-funded neurosciences laboratory, funded out of Pennsylvania and out of the Air Force Base nearby.
[00:14:42.733 --> 00:14:45.335]  And he's in an advanced secretive program.
[00:14:45.976 --> 00:14:51.260]  We have videos now, before he even finishes regular college degree, talking about
[00:14:52.227 --> 00:14:55.809]  Time gaps, and again, it's just so obvious.
[00:14:56.230 --> 00:14:59.972]  This whole thing is just completely... Theodore Kaczynski, the Unabomber.
[00:15:00.293 --> 00:15:00.813]  Look it up!
[00:15:02.454 --> 00:15:04.095]  Theodore Kaczynski, the Unabomber.
[00:15:04.976 --> 00:15:06.016]  He was MKUltra.
[00:15:06.297 --> 00:15:08.298]  I mean, that's admitted that he was MKUltra.
[00:15:08.918 --> 00:15:15.283]  And it was just a footnote in some of the college students that, quote, volunteered for the program.
[00:15:19.366 --> 00:15:22.228]  Captain Webb, are you ready to commit to this program no matter what?
[00:15:22.609 --> 00:15:23.189]  Yes, sir.
[00:15:23.209 --> 00:15:25.051]  Are you sure you're ready to commit to this program?
[00:15:25.891 --> 00:15:28.874]  I warn you, this program is unorthodox and highly classified.
[00:15:29.234 --> 00:15:31.216]  Are you ready to commit to this program?
[00:15:31.596 --> 00:15:33.858]  Yes, sir, I'm ready to commit to this program.
[00:15:38.351 --> 00:15:52.160]  If you are in the military or any other group and they ever want you to volunteer for some kind of program and they tell you it's classified and it deals with drugs to enhance your ability, which they admit they've been doing, but they won't tell you the details, do not do it.
[00:15:52.720 --> 00:15:53.501]  Do not do it.
[00:15:53.861 --> 00:16:01.706]  Because a lot of times they get you to volunteer and don't tell you, by the way, we're going to set you up as a patsy and send you to death row or send you to a mental institution.
[00:16:08.362 --> 00:16:11.105]  You do not want to be part of this.
[00:16:11.425 --> 00:16:13.147]  So the point is, this is real.
[00:16:13.508 --> 00:16:14.469]  This is going on.
[00:16:14.809 --> 00:16:15.610]  This is happening.
[00:16:15.750 --> 00:16:17.111]  Every major government does it.
[00:16:17.672 --> 00:16:20.355]  Now, this could be mind control to the point of he was the shooter.
[00:16:21.096 --> 00:16:22.277]  That's harder to pull off.
[00:16:24.780 --> 00:16:26.702]  Okay, they could get it to that level.
[00:16:28.633 --> 00:16:39.875]  Normally it's just somebody whacked out of their mind who is programmed, probably being shown, you know, the Joker scenes 5,000 times while brain probes are in him and he's on a cocktail of hallucinogens.
[00:16:41.325 --> 00:16:41.745]  We're good to go.
[00:17:04.898 --> 00:17:10.840]  Oh, never mind, Mr. Gover, just, you know, some friends, Mr. Rabbit, Mr... No, no, but it's a plastic explosive, nothing to worry about.
[00:17:11.080 --> 00:17:12.280]  That's a quote from Caddyshack.
[00:17:12.961 --> 00:17:13.761]  Dropping him in there.
[00:17:14.021 --> 00:17:32.787]  They'll have, literally, McVeigh had Jolly and Wes, the protégé of Dr. Ewan Cameron, the worldwide most famous mind control doctor that kidnapped thousands of children, military personnel, you name it, and totally programmed them with the LSD, PCP, electroshock, and all of it.
[00:17:33.527 --> 00:17:35.148]  Now they just use brain probes and chips.
[00:17:36.248 --> 00:17:45.232]  20 years ago they had remote-controlled roaches, remote-controlled rats, where the rat stops, walks, gets up on its hind legs, bites, so you can send them into rubble or whatever.
[00:17:45.252 --> 00:17:46.072]  You've seen robo-rats.
[00:17:46.092 --> 00:17:47.013]  They've got a chip in their brain.
[00:17:48.253 --> 00:17:49.474]  You know, they've had them for decades.
[00:17:49.514 --> 00:17:50.814]  They send them into rubble and stuff.
[00:17:51.075 --> 00:17:53.836]  Special forces have got them now, drop them out, send them into cities.
[00:17:54.736 --> 00:17:58.938]  They've got robo-rats built where one of their eyes has been removed and one eye is a camera.
[00:18:00.410 --> 00:18:02.313]  Ooh, well that's highly classified right there.
[00:18:02.614 --> 00:18:07.663]  They, for at least 20 years, have cybernetic dolphins with brain interfaces.
[00:18:08.143 --> 00:18:10.347]  They can go around with surveillance equipment or plant...
[00:18:13.041 --> 00:18:25.251]  Minds on things, but they're segwaying away from biological weapon systems to sea drones, air drones, ground drones, combat mechs of every type, because you're in the 21st century.
[00:18:25.551 --> 00:18:29.354]  It's 2012 steaming right into 2013, ladies and gentlemen.
[00:18:29.594 --> 00:18:32.676]  The technology we know about is 30 years old at least.
[00:18:33.357 --> 00:18:35.759]  You're not in Kansas anymore, ladies and gentlemen.
[00:18:39.372 --> 00:18:42.053]  And this brain program was so classified.
[00:18:42.073 --> 00:18:43.733]  You know, most of these universities have DARPA funding.
[00:18:43.933 --> 00:18:52.975]  What you see, the labs, the stuff that people are being taught, that's just a farming program to see who will do what they're told to assess you for the PhD programs.
[00:18:53.295 --> 00:19:00.176]  And then when you get into the... I've only seen restricted programs at the University of Texas, and I wasn't even supposed to see that.
[00:19:00.676 --> 00:19:03.417]  And let me tell you, ladies and gentlemen, it's science fiction.
[00:19:06.516 --> 00:19:18.421]  You hit one button and you're looking at the monkey farm, and those monkeys have got those wires hooked into their brains, Department of Defense, and they're studying how to flicker that TV screen just right to put you into a trance to then program you.
[00:19:19.722 --> 00:19:28.746]  And then they've got other programs where it's above ground, where, oh, they then get the graduate students and psychological volunteers, women to come in and they have a flicker rate.
[00:19:29.326 --> 00:19:30.867]  And they do a flicker rate in one lab?
[00:19:30.907 --> 00:19:32.408]  How do you sexually arouse a woman?
[00:19:33.488 --> 00:19:34.148]  They've got another one?
[00:19:34.188 --> 00:19:35.229]  How do you make somebody hungry?
[00:19:36.510 --> 00:19:40.874]  You go to another lab, it's a retina scanner that tracks you from 100 yards away that you don't even know is there.
[00:19:41.215 --> 00:19:44.618]  Or you go to another lab, it's a molecular scanner.
[00:19:46.259 --> 00:19:48.321]  I saw that 12 years ago at the University of Texas.
[00:19:48.882 --> 00:19:50.764]  And most of this I was allowed to see.
[00:19:51.745 --> 00:19:58.131]  Accidentally, some computer screens got left up and some things.
[00:19:58.211 --> 00:19:59.752]  And I did see some things.
[00:20:00.233 --> 00:20:00.853]  We'll be right back.
[00:20:01.701 --> 00:20:02.702]  Let me ask you a question.
[00:20:02.922 --> 00:20:04.083]  What does freedom mean to you?
[00:20:04.103 --> 00:20:05.264]  The freedom to choose?
[00:20:05.324 --> 00:20:06.045]  The freedom to vote?
[00:20:06.265 --> 00:20:07.005]  The freedom to worship?
[00:20:07.266 --> 00:20:09.227]  How about the freedom to take control of your own future?
[00:20:09.467 --> 00:20:14.592]  My friends at eFoodsDirect are celebrating freedom this month while helping you take control of your greatest dependency, food.
[00:20:14.932 --> 00:20:22.018]  Right now, you receive one of their new Patriot Packs free with every $289 you spend on their highly nutritious and great tasting food.
[00:20:22.318 --> 00:20:25.941]  The Patriot Pack is a 30-day supply of eFoods' quick fix, easy to store food.
[00:20:26.181 --> 00:20:30.845]  For example, purchase a one-year supply and get five Patriot Packs, which is five months of food free.
[00:20:31.065 --> 00:20:34.649]  Use the extra food for everyday use and save hundreds off your grocery bill.
[00:20:34.869 --> 00:20:40.093]  Give your free Patriot Pack as a gift to a friend or relative, or simply add more food to your long-term supply for free.
[00:20:40.314 --> 00:20:46.279]  Call 800-409-5633 or go to efoodsdirect.com forward slash alex and get your free Patriot Pack with purchase.
[00:20:46.559 --> 00:20:47.721]  Operators are standing by.
[00:20:47.901 --> 00:20:52.007]  Call 800-409-5633 or eFoodsDirect.com forward slash Alex.
[00:20:52.307 --> 00:20:55.532]  eFoods is so affordable, the more you store and eat, the more you save.
[00:20:55.792 --> 00:20:58.356]  Go to eFoodsDirect.com forward slash Alex or call 800-409-5633 right now.
[00:21:01.567 --> 00:21:01.947]  Hi there.
[00:21:02.548 --> 00:21:03.628]  My name is Frank Bates.
[00:21:04.089 --> 00:21:07.291]  What I'm about to tell you in the next 60 seconds could get me in a lot of trouble.
[00:21:07.911 --> 00:21:16.697]  I just created a free video presentation at 123coverup.com that exposes the electricity monopolies and government agencies for what they really are.
[00:21:17.057 --> 00:21:23.081]  Incompetent, lying crooks that are counting on your ignorance and fear to keep your power bills criminally high.
[00:21:23.762 --> 00:21:25.343]  Some have called this a conspiracy.
[00:21:25.963 --> 00:21:31.047]  Others have called it a cover-up and you will be shocked to find out how deep the conspiracy goes.
[00:21:31.767 --> 00:21:38.852]  My video at 123coverup.com exposes the truth and shows you the secret of how I beat them and how you can beat them too.
[00:21:39.713 --> 00:21:44.617]  Watch the controversial video that thousands of other smart patriots have already seen in the last three months.
[00:21:45.297 --> 00:21:51.181]  Go to 123coverup.com and discover one weird trick to slash your power bill and protect your home.
[00:21:51.782 --> 00:21:57.126]  Go watch my video now at 123coverup.com before they force me to shut it down.
[00:21:57.506 --> 00:21:58.627]  Again, that's 123coverup.com.
[00:22:00.612 --> 00:22:05.616]  We all know that Berkey water purification systems are the most trusted name in water filtration.
[00:22:05.836 --> 00:22:14.963]  As an authorized Berkey dealer for over six years and serving thousands of satisfied customers, the Berkey guy offers amazing specials for Berkey water filtration systems.
[00:22:15.203 --> 00:22:29.254]  The Berkey light systems include a set of self-sterilizing and re-cleanable black purification elements that purify water by removing chlorine, pathogenic bacteria, cysts and parasites to non-detectable levels and remove harmful chemicals such as herbicides and pesticides.
[00:22:29.514 --> 00:22:37.458]  Order the Berkey Light System today, complete with two black Berkey elements for only $231, and the Berkey Guy will ship your order free of charge.
[00:22:37.658 --> 00:22:43.201]  With the purchase of a Berkey Light, the Berkey Guy is also offering a set of fluoride and arsenic filters for only $39.99.
[00:22:44.642 --> 00:22:46.785]  That's over 30% off the retail price.
[00:22:46.986 --> 00:22:47.907]  Call the Berkey guy at 1-877-886-3653.
[00:22:47.927 --> 00:22:48.187]  That's 1-877-886-3653.
[00:22:48.207 --> 00:22:49.309]  Or order online at GoBerkey.com.
[00:22:49.469 --> 00:22:50.371]  That's GoBerkey.com today!
[00:23:00.524 --> 00:23:07.667]  HempUSA.org has a revolutionary wonder food for detoxing the body and rebuilding the immune system.
[00:23:07.867 --> 00:23:16.189]  Microplant powder can help unclog arteries and soften heart valves while removing heavy metals, virus, fungus, bacteria, and parasites.
[00:23:16.390 --> 00:23:19.931]  Plus it cleans and purifies the blood, lungs, stomach, and colon.
[00:23:20.091 --> 00:23:23.072]  Keep your body clean with Microplant Powder.
[00:23:23.372 --> 00:23:26.593]  Visit us at HempUSA.org or call 908-691-2608 today!
[00:23:30.097 --> 00:23:31.178]  Hi, this is Ted Anderson.
[00:23:31.358 --> 00:23:35.721]  Have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold IRAs?
[00:23:35.921 --> 00:23:41.625]  They've been available since 1986, yet the financial industry won't recognize the value of gold for your retirement.
[00:23:41.725 --> 00:23:45.127]  Gold has outperformed paper investments, yet no word about IRAs.
[00:23:45.367 --> 00:23:47.969]  If you would like to have gold for your retirement, call 800-686-2237.
[00:23:48.189 --> 00:23:52.992]  Don't get left behind by rising inflation and low returns.
[00:23:53.132 --> 00:23:53.373]  Call 800-686-2237.
[00:23:53.393 --> 00:23:54.794]  Secure your future and call 1-800-686-2237.
[00:24:14.845 --> 00:24:16.306]  Here's what's frustrating for me.
[00:24:20.568 --> 00:24:24.090]  I have watched the old black and white MKUltra hearings.
[00:24:24.130 --> 00:24:24.811]  They're online.
[00:24:27.922 --> 00:24:29.363]  I have read the documents.
[00:24:29.683 --> 00:24:32.924]  I have interviewed people who were victims of this.
[00:24:33.104 --> 00:24:33.824]  Famous people.
[00:24:35.565 --> 00:24:40.567]  Who had family members killed by operatives under mind control.
[00:24:40.587 --> 00:24:44.148]  Privately interviewed, not on air.
[00:24:44.789 --> 00:24:45.649]  Just gonna leave it at that.
[00:24:47.026 --> 00:24:59.692]  I have read the police files and the coroner files from Sirhan Sirhan, who shot RFK, we were told, but the police said he wasn't, wasn't the same caliber, his gun was held down, it was the security detail with Robert Kennedy.
[00:25:01.132 --> 00:25:02.253]  I know this stuff's real.
[00:25:03.793 --> 00:25:13.658]  Just like drug gangs in South America and Central America give people tiny dosages of scopolamine out of Devil's Breath plant, and
