[00:00:00.403 --> 00:00:02.709]  Genesis Communications Radio Network
[00:03:01.715 --> 00:03:05.778]  Well, let's start with the simple stuff, and then we'll get into the more fascinating things.
[00:03:05.818 --> 00:03:12.905]  But a poll, the Hill Poll, says the majority of Americans now believe Obama has changed the country for the worse.
[00:03:13.785 --> 00:03:20.729]  56% of likely voters, they say, believe Obama's first term has transformed the nation in a negative way.
[00:03:21.549 --> 00:03:21.889]  You think?
[00:03:23.410 --> 00:03:23.870]  You think?
[00:03:24.931 --> 00:03:29.693]  Maybe, maybe, well, and 35% believe the country has changed for the better.
[00:03:31.454 --> 00:03:31.835]  Where are these 35%?
[00:03:31.915 --> 00:03:35.158]  I'm curious about those people.
[00:03:35.499 --> 00:03:38.382]  Do they think we should run more guns into Mexico?
[00:03:38.522 --> 00:03:41.485]  Do they think we should destroy more of the Bill of Rights?
[00:03:41.946 --> 00:03:46.511]  I mean, how many amendments are remaining before they stamp them all out?
[00:03:46.891 --> 00:03:48.754]  Anyway, that's an interesting poll at thehill.com.
[00:03:51.056 --> 00:03:51.896]  Here's something interesting.
[00:03:51.936 --> 00:03:55.657]  A family was slugged with a carbon tax for the funeral.
[00:03:55.737 --> 00:04:03.740]  So while they were grieving for the loss of a loved one, they got slapped with a carbon tax for burying their family member.
[00:04:04.700 --> 00:04:12.963]  And it seems like the cemetery here had to apologize because they said, quote, even the dead don't escape the carbon tax.
[00:04:14.065 --> 00:04:19.650]  Yeah, nothing certain but death and taxes, and now carbon taxes when you're dead.
[00:04:20.331 --> 00:04:21.652]  That's what it's all coming to.
[00:04:22.352 --> 00:04:23.614]  Al Gore should be happy.
[00:04:23.654 --> 00:04:30.740]  I guess we're all going to keep paying taxes as our bodies decompose and release elements into the atmosphere.
[00:04:30.760 --> 00:04:32.041]  We're going to be taxed on that as well.
[00:04:32.501 --> 00:04:40.689]  Now, McDonald's is sponsoring the Olympics, which is raising question marks with anyone who knows anything about nutrition and health.
[00:04:41.229 --> 00:04:41.409]  Really?
[00:04:41.449 --> 00:04:51.177]  You're going to have a high-calorie, high-sodium, fast-food, processed food company sponsoring the Olympics, which is supposed to be about elite athletes and peak human performance?
[00:04:52.719 --> 00:04:53.659]  That's a strange question.
[00:04:53.679 --> 00:04:59.424]  Anyway, we've got a lot more news coming up, including a story from WorldNetDaily and much more straight ahead here on the Alex Jones Show.
[00:04:59.885 --> 00:05:01.986]  Stay with us, we'll be right back, and we will continue.
[00:05:02.126 --> 00:05:02.527]  Stay with us.
[00:05:08.936 --> 00:05:09.937]  Let me ask you a question.
[00:05:10.177 --> 00:05:11.318]  What does freedom mean to you?
[00:05:11.658 --> 00:05:12.499]  The freedom to choose?
[00:05:12.559 --> 00:05:13.300]  The freedom to vote?
[00:05:13.520 --> 00:05:14.300]  The freedom to worship?
[00:05:14.541 --> 00:05:16.502]  How about the freedom to take control of your own future?
[00:05:16.742 --> 00:05:21.887]  My friends at eFoods Direct are celebrating freedom this month while helping you take control of your greatest dependency, food.
[00:05:22.247 --> 00:05:29.393]  Right now you receive one of their new Patriot Packs free with every $289 you spend on their highly nutritious and great tasting food.
[00:05:29.693 --> 00:05:33.336]  The Patriot Pack is a 30-day supply of eFoods Quick Fix, easy to store food.
[00:05:33.576 --> 00:05:38.259]  For example, purchase a one-year supply and get five Patriot Packs, which is five months of food free.
[00:05:38.499 --> 00:05:42.081]  Use the extra food for everyday use and save hundreds off your grocery bill.
[00:05:42.301 --> 00:05:47.564]  Give your free Patriot Pack as a gift to a friend or relative, or simply add more food to your long-term supply for free.
[00:05:47.804 --> 00:05:53.768]  Call 800-409-5633 or go to efoodsdirect.com forward slash alex and get your free Patriot Pack with purchase.
[00:05:54.088 --> 00:05:55.228]  Operators are standing by.
[00:05:55.428 --> 00:05:59.549]  Call 800-409-5633 or efoodsdirect.com forward slash Alex.
[00:05:59.849 --> 00:06:03.070]  eFoods is so affordable, the more you store and eat, the more you save.
[00:06:03.330 --> 00:06:08.112]  Go to efoodsdirect.com forward slash Alex or call 800-409-5633 right now.
[00:06:08.472 --> 00:06:13.733]  American gardeners and fellow patriots make the right choice with your money, time, and your family food supply.
[00:06:13.933 --> 00:06:18.954]  Choose 100% pure heirloom seeds in the Survival Seed Vault from MyPatriotSupply.com.
[00:06:19.134 --> 00:06:19.954]  Why spend more?
[00:06:20.094 --> 00:06:27.855]  The Survival Seed Vault from MyPatriotSupply.com is only $37.95 and includes 20 varieties of pure, hardy, easy to grow heirloom seeds.
[00:06:28.136 --> 00:06:28.916]  Yes, only $37.95.
[00:06:29.456 --> 00:06:32.036]  That's 70% less than our competitors.
[00:06:32.296 --> 00:06:35.457]  You could buy 3 Survival Seed Vaults for less than one of theirs.
[00:06:35.697 --> 00:06:42.138]  The Survival Seed Vault from MyPatriotSupply.com includes detailed planting and seed saving instructions and ships same day.
[00:06:42.318 --> 00:06:44.959]  Plus, all orders over $49 ship free.
[00:06:45.139 --> 00:06:48.801]  MyPatriotSupply.com is American owned by Patriots like you.
[00:06:49.021 --> 00:06:50.822]  Passionate about freedom and preparedness.
[00:06:51.042 --> 00:06:53.884]  Call now, 866-229-0927.
[00:06:54.204 --> 00:06:56.225]  That's 866-229-0927.
[00:06:56.405 --> 00:07:02.908]  Or discover more emergency preparedness items when you order at MyPatriotSupply.com.
[00:07:03.048 --> 00:07:04.049]  Choose the original.
[00:07:04.149 --> 00:07:07.711]  Choose the Survival Seed Vault at MyPatriotSupply.com.
[00:07:08.351 --> 00:07:13.615]  Sick of the globalist eugenicist control freaks adding poison to your water and laughing as you get sick and die?
[00:07:13.855 --> 00:07:16.057]  Start purifying your water with ProPure.
[00:07:16.277 --> 00:07:21.801]  My friends, I've done a lot of research and the best gravity filter out there bar none is ProPure.
[00:07:21.981 --> 00:07:25.223]  And it's available discounted at InfoWars.com.
[00:07:25.363 --> 00:07:28.566]  Its filters are silver impregnated to prevent bacterial growth.
[00:07:28.826 --> 00:07:30.247]  There's no priming required.
[00:07:30.507 --> 00:07:32.548]  It's NSF-42 certified.
[00:07:32.769 --> 00:07:35.270]  Optional fluoride filters can reduce fluoride up to 95%.
[00:07:36.331 --> 00:07:37.652]  Easy to set up and use.
[00:07:37.852 --> 00:07:39.132]  Doesn't require electricity.
[00:07:39.272 --> 00:07:42.114]  Purify water from lakes, streams, ponds, and wells.
[00:07:42.434 --> 00:07:45.595]  This filter system leaves in beneficial minerals, which is key.
[00:07:45.815 --> 00:07:47.596]  Save money by not buying bottled water.
[00:07:47.716 --> 00:07:49.797]  And avoid BPA that leaches from the plastic.
[00:07:49.957 --> 00:07:52.538]  ProPure is the best gravity-fed filter out there.
[00:07:52.699 --> 00:07:53.999]  It's what my family uses.
[00:07:54.259 --> 00:07:57.461]  Infowars.com already has the lowest price on ProPure.
[00:07:57.561 --> 00:08:03.203]  But if you add the promo code WATER at checkout, you get an additional 10% off at Infowars.com.
[00:08:03.403 --> 00:08:04.564]  You can also call to order.
[00:08:05.845 --> 00:08:13.790]  888-253-3139 The Genesis Communications Radio Network proudly presents The Alex Jones Show.
[00:08:14.150 --> 00:08:16.452]  Because there's a war on for your mind.
[00:08:20.054 --> 00:08:20.935]  Alright, welcome folks.
[00:08:20.975 --> 00:08:23.618]  Mike Adams filling in for Alex Jones today.
[00:08:23.678 --> 00:08:35.372]  You are on the Alex Jones channel listening to the tip of the spear of truth-telling news in its worldwide broadcast on this Monday in July.
[00:08:35.392 --> 00:08:36.774]  So thank you for joining us.
[00:08:36.794 --> 00:08:38.716]  We've got an incredible show lined up for you.
[00:08:39.517 --> 00:08:40.578]  Key guests ahead.
[00:08:40.618 --> 00:08:59.406]  We've got a lot of evidence that has come out now showing that Merck faked its vaccine studies regarding mumps vaccine and that according to the whistleblowers at Merck the company has defrauded the US government and other governments of hundreds of millions of dollars if not billions over the years.
[00:09:00.635 --> 00:09:02.337]  We've got that story coming up.
[00:09:03.097 --> 00:09:04.959]  We've got, what is that, a drone outside?
[00:09:05.579 --> 00:09:07.020]  I hear something coming in.
[00:09:08.041 --> 00:09:11.544]  We're being grazed by weird machines out there.
[00:09:11.564 --> 00:09:13.125]  I think it's just actually lawn care people.
[00:09:13.826 --> 00:09:14.326]  No big deal.
[00:09:15.347 --> 00:09:17.229]  We've got John Rappaport coming up in that segment.
[00:09:17.249 --> 00:09:18.049]  Then we've got a U.S.
[00:09:18.189 --> 00:09:27.077]  Army medic who was court-martialed because of his religious exemption for vaccines.
[00:09:27.897 --> 00:09:34.922]  And he's going to be joining us by Skype in the third hour to talk about how he was threatened with even being fragged.
[00:09:35.783 --> 00:09:42.227]  And what he had to go through, the abuse that he had to go through because he just did not want to be injected with an experimental vaccine.
[00:09:42.828 --> 00:09:48.531]  And so these stories tie together where we're talking about the big lie of the vaccines and then how it's happening in the military.
[00:09:49.491 --> 00:09:52.714]  That these people are being so pressured to undergo the vaccines.
[00:09:52.734 --> 00:09:55.337]  In fact, you know, we have another story here about the military.
[00:09:55.777 --> 00:09:58.480]  Let me dig this out of the stack because there's just so much here.
[00:09:58.860 --> 00:10:01.202]  Here it is, the, what is this?
[00:10:01.483 --> 00:10:03.384]  Was it called the Medal of Honor?
[00:10:04.820 --> 00:10:06.041]  The False Valor Act?
[00:10:06.381 --> 00:10:07.102]  Is that what it was called?
[00:10:07.122 --> 00:10:20.869]  Anyway, the Supreme Court, at the same time that it ruled in favor of Obamacare as a tax, by the way, also ruled that it is a free speech right for any person in America to claim that they are a Medal of Honor winner.
[00:10:21.670 --> 00:10:28.334]  That you can't have a law that provides penalties for lying about winning the Medal of Honor.
[00:10:29.710 --> 00:10:36.116]  Now this, predictably, is getting a lot of veterans really angry, and I'm with them on that.
[00:10:36.196 --> 00:10:41.180]  I think that the Medal of Honor is something that's special, right?
[00:10:41.240 --> 00:10:42.702]  I mean, you have to earn that.
[00:10:43.702 --> 00:10:46.505]  It's not given out at Halloween like candy.
[00:10:46.525 --> 00:10:51.449]  And the other military medals are earned by people who put their lives on the line.
[00:10:52.350 --> 00:10:59.075]  And then to allow someone else to go out there and just say, oh I won the Medal of Honor and I won this and I won that and I served here and I served there.
[00:10:59.995 --> 00:11:01.516]  What if those are complete lies?
[00:11:02.017 --> 00:11:08.101]  To allow someone to lie about that just basically it devalues the
[00:11:08.661 --> 00:11:16.487]  The true value of the medal for those who really earned it, who really put their lives on the line, and all those who would have earned it had they lived through their encounters.
[00:11:16.547 --> 00:11:22.352]  So, there you go, the Supreme Court saying that it's your free speech right to lie about the Medal of Honor.
[00:11:22.632 --> 00:11:23.313]  Isn't that interesting?
[00:11:24.392 --> 00:11:28.597]  So you don't have free speech to protest anywhere near the president.
[00:11:29.257 --> 00:11:36.766]  You don't have free speech to tell the truth about a nutritional supplement and how it might prevent arthritis or prevent cancer.
[00:11:37.046 --> 00:11:43.813]  Oh, you don't have that free speech right, but you do have the free speech right to lie about winning the Medal of Honor.
[00:11:44.827 --> 00:11:46.648]  Wow, where's the honor in that?
[00:11:47.288 --> 00:11:47.928]  See, that's the thing.
[00:11:47.948 --> 00:11:48.988]  That's what's happening in America.
[00:11:49.028 --> 00:11:55.211]  The honor is disappearing, and it's okay to lie, but you are punished for telling the truth.
[00:11:55.671 --> 00:12:01.313]  That's the real contradiction that is emerging in this culture of total runaway government criminality.
[00:12:01.573 --> 00:12:08.915]  The thuggish behavior, the complete deception, the lying, the unethical behavior, the pedophiles at the TSA, and much more.
[00:12:08.956 --> 00:12:11.256]  This is what's taking over our country today.
[00:12:11.616 --> 00:12:12.777]  But moving on with other news.
[00:12:14.033 --> 00:12:17.655]  Natural and organic items are grabbing a bigger share in the marketplace.
[00:12:17.715 --> 00:12:21.697]  This is interesting because it shows that people are paying attention to what they put in their bodies.
[00:12:21.937 --> 00:12:24.878]  Hey, maybe they don't want to get cancer from eating a lot of pesticides.
[00:12:25.499 --> 00:12:29.801]  But I got a warning to tell you, you know, my nickname is the Health Ranger.
[00:12:29.841 --> 00:12:31.802]  This is the area that I study the most.
[00:12:32.282 --> 00:12:36.743]  A lot of the so-called natural claims on products are completely bogus.
[00:12:37.083 --> 00:12:45.866]  Not all of them, not all of them, but the word natural, just so you know, is not regulated by the FDA in any way whatsoever.
[00:12:46.326 --> 00:12:53.468]  So anybody can make any product, a snack chip, a soda, even with aspartame in it, and they can claim it's natural.
[00:12:54.008 --> 00:12:55.549]  Anybody can claim anything is natural.
[00:12:55.870 --> 00:12:56.711]  It's not regulated.
[00:12:56.751 --> 00:12:58.172]  So beware of that term.
[00:12:58.212 --> 00:13:01.355]  Make sure you read the ingredients and know what you're actually getting.
[00:13:01.395 --> 00:13:06.859]  But anyway, the natural and organic grocery sector market is growing very rapidly.
[00:13:07.860 --> 00:13:09.221]  Here's something that'll freak you out.
[00:13:09.582 --> 00:13:12.464]  You know the highly addictive pain-killing drug OxyContin?
[00:13:13.405 --> 00:13:14.166]  You know about this drug.
[00:13:14.186 --> 00:13:29.880]  You've heard about all the addicts and all the break-ins in the pharmacies of people trying to steal this drug and how can destroy people's lives once they get hooked on the drug and then they need it and they can't get off the drug and then they go to other transition drugs and their lives are just destroyed.
[00:13:30.220 --> 00:13:32.782]  Well, the Wall Street Journal has an article.
[00:13:32.822 --> 00:13:34.684]  This was actually from a couple of days ago.
[00:13:34.704 --> 00:13:37.126]  I got a printout right here in front of me.
[00:13:38.027 --> 00:13:39.849]  The headline, here it is, July 2nd.
[00:13:40.190 --> 00:13:43.895]  The headline is, OxyContin trial planned for kids.
[00:13:45.016 --> 00:13:45.917]  For children.
[00:13:47.299 --> 00:13:48.641]  Children as young as 6 years old.
[00:13:53.344 --> 00:14:11.854]  6 to 16 are going to be brought into a clinical trial to study the effects of two daily doses of OxyContin on these six-year-old children who have, quote, moderate to severe pain, who require opioid analgesics.
[00:14:12.495 --> 00:14:14.576]  Opioids, yeah, right.
[00:14:15.689 --> 00:14:18.411]  So now, okay, let me get this straight.
[00:14:19.351 --> 00:14:20.672]  Welcome to America.
[00:14:21.213 --> 00:14:32.700]  You don't have the free speech right to tell the truth about nutrition, but we do in the airports sexually molest the children through the TSA agents, and now we're going to put children on
[00:14:33.420 --> 00:14:47.128]  Highly addictive pain-killing drugs when they're six years old, not to mention shooting them up with endless vaccines, which we're going to show later in this show how at least one of those has been completely faked for over 10 years.
[00:14:47.288 --> 00:14:47.609]  Faked!
[00:14:48.629 --> 00:14:49.310]  We're going to show that.
[00:14:49.330 --> 00:14:51.571]  We're going to have a whole segment on that in the second hour here.
[00:14:51.971 --> 00:14:59.235]  And then on top of that, they put these kids on psychiatric drugs, the mind-altering psych drugs, the SSRIs, the antidepressants, the psychotropics.
[00:15:02.495 --> 00:15:04.336]  Aren't children supposed to be sacred?
[00:15:04.417 --> 00:15:05.938]  Isn't life supposed to be sacred?
[00:15:06.318 --> 00:15:13.023]  Aren't children supposed to be protected against this kind of exploitation by the drug companies?
[00:15:13.584 --> 00:15:21.209]  It is insane that we allow pedophiles to run loose in this country and we allow the drug companies to treat our children like guinea pigs.
[00:15:21.870 --> 00:15:22.651]  But that's what's going on.
[00:15:23.351 --> 00:15:23.911]  That's okay.
[00:15:24.332 --> 00:15:28.674]  Moving on, because I'll get into crazy areas of discussion about that topic.
[00:15:28.954 --> 00:15:29.855]  This is in Forbes.
[00:15:30.555 --> 00:15:32.056]  Forbes, an article by Larry Bell.
[00:15:32.516 --> 00:15:33.297]  You may have already seen this.
[00:15:33.317 --> 00:15:34.618]  I think Alex mentioned it yesterday.
[00:15:34.638 --> 00:15:36.419]  The U.N.
[00:15:36.439 --> 00:15:39.240]  agreement should have all gun owners up in arms.
[00:15:39.280 --> 00:15:39.941]  This is the U.N.
[00:15:39.961 --> 00:15:41.502]  agreement, the Small Arms Treaty.
[00:15:42.478 --> 00:15:46.000]  And in this article by Larry Bell, he points out that if this is passed by the U.N.
[00:15:46.020 --> 00:15:48.642]  and then ratified by the U.S.
[00:15:48.842 --> 00:15:50.283]  Senate, here's what it's going to mean.
[00:15:50.303 --> 00:15:50.943]  Are you ready for this?
[00:15:51.063 --> 00:15:51.843]  Here's what it's going to mean.
[00:15:52.224 --> 00:15:55.826]  All of you legal, lawful gun owners out there, listen up.
[00:15:56.226 --> 00:16:02.930]  It's going to, it's going to, quote, ban the sale, trade, and private ownership of all semi-automatic weapons.
[00:16:03.590 --> 00:16:04.751]  Yeah, semi-autos.
[00:16:05.231 --> 00:16:08.213]  That means, you know, you pull the trigger once, you get one shot.
[00:16:10.234 --> 00:16:11.015]  All going to be banned.
[00:16:11.615 --> 00:16:13.496]  And there's going to be an international gun registry.
[00:16:13.536 --> 00:16:16.418]  So if you own a gun, you're supposed to register with the UN.
[00:16:16.438 --> 00:16:18.959]  How's that for globalist control?
[00:16:18.979 --> 00:16:26.063]  And, oh, they're going to confiscate and destroy all quote, unauthorized civilian firearms.
[00:16:26.083 --> 00:16:28.725]  Well, what are unauthorized firearms?
[00:16:29.545 --> 00:16:32.928]  Well, the ones that Obama says you shouldn't have, basically, or the U.N.
[00:16:32.988 --> 00:16:33.768]  says you shouldn't have.
[00:16:34.229 --> 00:16:37.631]  Unauthorized firearms would be any firearms that function.
[00:16:40.013 --> 00:16:46.658]  You know, it's funny, being here in Austin, Texas, I just laugh at this, at the idea that the U.N.
[00:16:46.718 --> 00:16:51.001]  thinks they're going to roll into Texas and confiscate everybody's guns.
[00:16:51.842 --> 00:16:56.625]  That is a pathetic and a hilarious idea at the same time.
[00:16:57.446 --> 00:16:58.627]  That is never going to happen.
[00:16:59.617 --> 00:17:00.417]  Never gonna happen.
[00:17:02.338 --> 00:17:02.978]  Just try it.
[00:17:03.718 --> 00:17:06.639]  Oh man, the UN people don't know Texas, let me tell you.
[00:17:07.039 --> 00:17:08.040]  Alright, moving on.
[00:17:08.080 --> 00:17:08.960]  Cell phone radiation.
[00:17:09.820 --> 00:17:15.362]  The telecommunications companies do not want you to know the truth about the research between cell phones and radiation.
[00:17:15.382 --> 00:17:20.244]  This is up on, oh, is this on Infowars.com right now, guys?
[00:17:20.404 --> 00:17:20.724]  Any idea?
[00:17:22.679 --> 00:17:23.440]  I think it is, okay.
[00:17:23.660 --> 00:17:24.922]  Infowars.com, check that out.
[00:17:39.861 --> 00:17:45.346]  Attorney in the nation, in terms of just rank, you know, constitutional rank.
[00:17:45.406 --> 00:17:46.607]  Maybe rank is the right word.
[00:17:47.067 --> 00:17:54.053]  But he, and yet he's the one who masterminded the gun running into Mexico, a complete violation of law.
[00:17:54.393 --> 00:17:56.334]  So there's an effort now to try to disbar him.
[00:17:56.374 --> 00:17:58.636]  That's been published at the Daily Caller.
[00:17:59.217 --> 00:18:05.121]  And Mike Vanderbone and David Kadria filed a formal complaint with the Washington D.C.
[00:18:05.201 --> 00:18:05.442]  office
[00:18:08.343 --> 00:18:14.945]  Yeah, you think so?
[00:18:15.585 --> 00:18:27.730]  Lying to investigators, withholding evidence, conspiring to commit felony acts in order to destroy the rights of people to purchase legal firearms for their own self-defense?
[00:18:27.770 --> 00:18:28.010]  Really?
[00:18:28.890 --> 00:18:30.490]  Is that professional misconduct?
[00:18:30.931 --> 00:18:31.591]  I guess we'll find out.
[00:18:32.608 --> 00:18:33.108]  What do we have here?
[00:18:34.109 --> 00:18:34.849]  Zero Hedge.
[00:18:35.169 --> 00:18:38.271]  China chuns US and invests directly in Iran oil fields.
[00:18:38.291 --> 00:18:39.071]  So here we have more.
[00:18:39.391 --> 00:18:43.693]  This is a strategic question of how China and Iran are forming stronger ties.
[00:18:43.713 --> 00:18:53.698]  And by the way, China is doing this all over the world, forming financial and political ties with nations that have key resources that are crucial for the ongoing success of the Chinese economy.
[00:18:54.158 --> 00:18:59.281]  If you look at supplies of things like natural gas, petroleum, and even concrete, China's got them.
[00:18:59.901 --> 00:19:11.671]  China's got the dibs on those resources, and they're pulling them in, and they're making sure that countries like the United States can't get access to those resources.
[00:19:11.691 --> 00:19:20.359]  And at the same time, at the same time, by the way, China has all the rare earth metals and minerals that are key strategic resources in terms of
[00:19:21.942 --> 00:19:25.930]  Weapons and guided missiles and telecommunications equipment, all those kinds of things.
[00:19:25.970 --> 00:19:30.299]  China has a lock on those too, so watch for that to get very heated in the years ahead.
[00:19:31.325 --> 00:19:31.865]  All right, here we go.
[00:19:32.506 --> 00:19:40.753]  If you host a Bible study program in your own home, you could be facing 60 days in prison and a $12,000 fine.
[00:19:41.294 --> 00:19:50.762]  This is what happened to a couple in Arizona, in Phoenix, and he's been sentenced now to 60 days in prison and a $12,000 fine for hosting Bible study.
[00:19:51.142 --> 00:19:56.947]  Michael Salmon and his wife have been hosting gatherings for 15 to 20 people to discuss the Bible.
[00:19:57.668 --> 00:20:01.029]  Now they're going to jail because you can't teach people out of your own home.
[00:20:01.429 --> 00:20:02.509]  We'll have a lot more straight ahead.
[00:20:02.529 --> 00:20:04.549]  Stay with us here on the Alex Jones Show.
[00:20:04.569 --> 00:20:06.050]  We'll be right back with much more.
[00:20:09.530 --> 00:20:10.551]  I had tried everything.
[00:20:10.611 --> 00:20:12.711]  I'd cut back the amount of food I was eating.
[00:20:12.931 --> 00:20:15.632]  I was lifting weights and jogging, but nothing was working.
[00:20:16.052 --> 00:20:20.473]  My body was literally starving for minerals and trace elements as well as key vitamins.
[00:20:20.833 --> 00:20:27.154]  And as soon as I had that, I immediately could eat half of what I was eating previously and be satisfied.
[00:20:27.634 --> 00:20:38.042]  Now there are hundreds of great products at Infowarsteam.com, but I want to point out the three that have helped me lose 37 pounds in just two months.
[00:20:38.782 --> 00:20:42.885]  Products like Beyond Tangy Tangerine, Pollen Burst, and Rebound.
[00:20:43.226 --> 00:20:46.208]  When I started taking the Tangy Tangerine and other products every day,
[00:20:46.548 --> 00:20:49.189]  I lost more than 37 pounds in just two months.
[00:20:49.429 --> 00:20:50.570]  Now that's results.
[00:20:50.950 --> 00:20:57.353]  I want to challenge my listeners to go to Infowarsteam.com and to order just three of their products.
[00:20:57.713 --> 00:21:03.015]  And you will see the changes in the way you look, feel, and in your appetite almost immediately.
[00:21:03.415 --> 00:21:05.616]  Start your journey to health and wellness today.
[00:21:05.936 --> 00:21:06.976]  Infowarsteam.com
[00:21:08.337 --> 00:21:12.381]  When I hear about natural disasters and the danger of having no water, I'm not worried.
[00:21:12.701 --> 00:21:12.982]  Why?
[00:21:13.242 --> 00:21:14.603]  Because I have an Aquapod.
[00:21:14.803 --> 00:21:16.805]  Got it from mypatriotsupply.com.
[00:21:17.006 --> 00:21:23.652]  The Aquapod Emergency Water Storage Kit comes with a pump and a huge 65-gallon bladder that easily fits in a standard bathtub.
[00:21:23.812 --> 00:21:27.155]  Allowing a family of four a 14 day supply of safe, fresh water.
[00:21:27.355 --> 00:21:29.417]  And at a much lower cost than bottled water.
[00:21:29.617 --> 00:21:34.802]  Made in the USA with BPA-free material, the Aquapod keeps water fresh for up to 8 weeks.
[00:21:35.022 --> 00:21:37.544]  Just fill from your tub, then pump into jugs or bottles.
[00:21:37.764 --> 00:21:38.685]  The Aquapod is only $29.95.
[00:21:39.926 --> 00:21:44.829]  And when you buy two or more Aquapods at MyPatriotsupply.com, you'll qualify for free shipping.
[00:21:44.989 --> 00:21:54.835]  Plus, check out the Survival Seed Vault with 20 seed varieties, Tattler canning lids, the nation's only customizable long-term storable foods, and much more at MyPatriotsupply.com.
[00:21:55.075 --> 00:21:57.477]  Get stress-free shipping on all orders over $49.
[00:21:58.017 --> 00:22:07.623]  Call 866-229-0927 or visit MyPatriotsupply.com for emergency preparedness, self-reliance, and food independence.
[00:22:08.263 --> 00:22:13.905]  HempUSA.org has moved and expanded its operations for faster worldwide shipping.
[00:22:14.206 --> 00:22:19.448]  Our product line has grown from 5 to nearly 100 items in less than 5 years.
[00:22:19.728 --> 00:22:23.709]  Our food is grown naturally, always chemical free, not found in stores.
[00:22:24.110 --> 00:22:28.031]  Great for daily intake and perfect for your emergency storage shelter.
[00:22:28.331 --> 00:22:36.995]  Call 908-691-2608 or visit HempUSA.org and see what our powders, seeds and oil can do for you.
[00:22:37.395 --> 00:22:46.661]  We the people grow cotton, weave fabric, engrave ink, embed strips and fibers to protect from counterfeit, then carting to a private bank, having it led back at interest, forcing taxes to service debt.
[00:22:46.721 --> 00:22:47.442]  This capitalism?
[00:22:47.522 --> 00:22:53.626]  Or was Jefferson correct when stating a central bank issuing the public currency is a greater match to the liberties of the people than a standing army?
[00:22:53.766 --> 00:22:54.587]  Hi, Ted Anderson.
[00:22:54.627 --> 00:22:57.729]  I'm placing a silver dollar in a book explains our monetary system.
[00:22:57.889 --> 00:22:58.689]  Call for your copy 800-686-2237.
[00:22:58.709 --> 00:22:59.730]  It's time to understand the system.
[00:22:59.770 --> 00:23:00.370]  Call 800-686-2237.
[00:23:00.410 --> 00:23:00.691]  That's 800-686-2237.
[00:23:07.695 --> 00:23:12.699]  We all know that Berkey water purification systems are the most trusted name in water filtration.
[00:23:12.920 --> 00:23:22.047]  As an authorized Berkey dealer for over six years and serving thousands of satisfied customers, the Berkey guy offers amazing specials for Berkey water filtration systems.
