[00:00:00.348 --> 00:00:00.875]  You've got it!
[00:15:47.792 --> 00:15:51.176]  We've got Rupert Murdoch may face criminal charges.
[00:15:51.176 --> 00:15:54.499]  We've got just a massive blitz of news straight ahead.
[00:15:54.499 --> 00:15:58.223]  Our websites are InfoWars.com and we're streaming video at PrisonPlanet.tv.
[00:16:00.438 --> 00:16:01.739]  Hi, this is Alex Jones.
[00:16:01.739 --> 00:16:07.324]  Did you know that the global elite are now storing non-hybrid seeds in secret storage vaults near the Arctic Circle?
[00:16:07.324 --> 00:16:12.349]  Did you know that in a real meltdown, non-hybrid seeds could become more valuable than silver or gold?
[00:16:12.349 --> 00:16:17.934]  It's true, seeds have outperformed even gold and silver before in this country, and it's possible that it could even happen again.
[00:16:17.934 --> 00:16:22.618]  So our friends at Solutions from Science have put together the perfect mix of non-hybrid seeds.
[00:16:23.138 --> 00:16:30.262]  They call it a Survival Seed Bank, and it can produce an endless supply of nutrient-dense food for you and your family.
[00:16:30.262 --> 00:16:31.362]  And here's the best part.
[00:16:31.362 --> 00:16:38.066]  These seeds have not been genetically modified in any way, and you actually get enough seeds to plant a full acre crisis garden.
[00:16:38.066 --> 00:16:41.247]  So visit them today at SurvivalSeedBank.com.
[00:16:41.247 --> 00:16:43.469]  That's SurvivalSeedBank.com.
[00:16:43.469 --> 00:16:44.429]  Or give them a call at 877-327-0365.
[00:16:44.429 --> 00:16:44.629]  That's 877-327-0365.
[00:16:52.273 --> 00:16:57.095]  Remember, in a real crisis, non-hybrid seeds are the ultimate barter item.
[00:16:57.095 --> 00:17:01.056]  This is Alex Jones for survivalseedbank.com.
[00:17:01.056 --> 00:17:16.522]  You've heard Alex explain how the Silver Lungs Generator infuses the respiratory system with your self-produced colloidal silver solutions, yet many are unaware of the entire function of the Silver Lungs System and how it has been designed to deliver your silver solutions anywhere in or on the body.
[00:17:16.522 --> 00:17:20.203]  My name is Mario Cifaldi and I'm the developer of the Silver Lungs Generator.
[00:17:21.212 --> 00:17:33.984]  Not only does the Silver Lung System produce endless colloidal and ionic silver solutions, it also comes equipped with the proper applicators and devices needed to deliver your silver solutions directly to key target areas.
[00:17:33.984 --> 00:17:41.251]  This includes the eyes, ears, nose, lungs, topically to the skin, and orally for the digestive system.
[00:17:41.932 --> 00:17:52.297]  Be sure to watch our new 7-minute video tour of the Silver Lungs System at www.SilverLungs.com to learn more about how the Silver Lungs System works.
[00:17:52.297 --> 00:17:56.219]  As well, we are always ready to answer any questions you may have.
[00:17:56.219 --> 00:17:59.341]  That's www.SilverLungs.com
[00:18:00.325 --> 00:18:03.247]  I've been telling you about eFoods Direct for a while now.
[00:18:03.247 --> 00:18:06.929]  Here are my top 10 reasons to stock up on food from eFoods Direct.
[00:18:06.929 --> 00:18:07.449]  Number 10.
[00:18:07.449 --> 00:18:09.990]  The food I get from eFoods Direct tastes great.
[00:18:09.990 --> 00:18:10.731]  Number 9.
[00:18:10.731 --> 00:18:12.572]  The eFoods meals are easy to prepare.
[00:18:12.572 --> 00:18:16.494]  8. eFoods Direct delivers the food right to my front door.
[00:18:16.494 --> 00:18:16.794]  7.
[00:18:16.794 --> 00:18:18.755]  Most of these meals cost less than $2.
[00:18:18.755 --> 00:18:19.815]  6.
[00:18:19.815 --> 00:18:21.957]  With their large variety, I can eat it every day.
[00:18:23.057 --> 00:18:26.218]  I always have access to high quality and delicious food.
[00:18:26.218 --> 00:18:30.199]  Number four, eFoods products don't spoil, so I never waste any food.
[00:18:30.199 --> 00:18:33.580]  Three, eFoods uses only safe, healthy ingredients.
[00:18:33.580 --> 00:18:37.901]  Number two, I have my own food supply and don't depend on the grocery store.
[00:18:37.901 --> 00:18:43.742]  And the number one reason I promote eFoods Direct is they build special offers just for my listeners.
[00:18:44.122 --> 00:18:45.063]  Folks, don't wait.
[00:18:45.063 --> 00:18:46.304]  Get prepared now.
[00:18:46.304 --> 00:18:48.285]  We all need to be self-sufficient.
[00:18:48.285 --> 00:18:50.847]  Call eFoodsDirect at 800-409-5633 and ask for the Alex Jones Special.
[00:18:50.847 --> 00:18:53.389]  Call eFoodsDirect at 800-409-5633 or eFoodsDirect.com forward slash Alex.
[00:19:00.339 --> 00:19:01.420]  I had tried everything.
[00:19:01.420 --> 00:19:03.762]  I'd cut back the amount of food I was eating.
[00:19:03.762 --> 00:19:06.904]  I was lifting weights and jogging, but nothing was working.
[00:19:06.904 --> 00:19:11.748]  My body was literally starving for minerals and trace elements as well as key vitamins.
[00:19:11.748 --> 00:19:18.593]  And as soon as I had that, I immediately could eat half of what I was eating previously and be satisfied.
[00:19:18.593 --> 00:19:29.061]  Now, there are hundreds of great products at Infowarsteam.com, but I want to point out the three that have helped me lose 37 pounds in just two months.
[00:19:29.801 --> 00:19:34.264]  Products like Beyond Tangy Tangerine, Pollen Burst, and Rebound.
[00:19:34.264 --> 00:19:40.527]  When I started taking the Tangy Tangerine and other products every day, I lost more than 37 pounds in just two months.
[00:19:40.527 --> 00:19:42.108]  Now that's results.
[00:19:42.108 --> 00:19:48.892]  I want to challenge my listeners to go to InfoWarsTeam.com and to order just three of their products.
[00:19:48.892 --> 00:19:54.615]  And you will see the changes in the way you look, feel, and in your appetite almost immediately.
[00:19:54.615 --> 00:19:57.177]  Start your journey to health and wellness today.
[00:19:57.177 --> 00:19:58.778]  InfoWarsTeam.com
[00:20:01.246 --> 00:20:04.827]  Coast to coast, direct from Austin.
[00:20:04.827 --> 00:20:18.531]  You're listening to the Alex Jones Broadcasting Network.
[00:20:18.531 --> 00:20:26.813]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones on the GCN Radio Network.
[00:20:28.459 --> 00:20:35.222]  Boy, I tell you, I've got a challenge here to get to all this news before our guest joins us.
[00:20:35.222 --> 00:20:37.704]  Look at these headlines.
[00:20:37.704 --> 00:20:43.226]  Facing bailout or chaos, Greek Parliament starts debate on austerity laws.
[00:20:43.226 --> 00:20:52.971]  Raise the taxes, cut the benefits, and pay almost all the money to the very banks that created the crisis and who have now put all their people in charge of the government.
[00:20:54.602 --> 00:21:04.184]  Because their last group of operatives over Greece, and the same as in Ireland, Spain, Italy, the United States, the last group was put in place.
[00:21:04.184 --> 00:21:07.825]  All of the operatives are Goldman Sachs and JP Morgan.
[00:21:07.825 --> 00:21:12.406]  There's other big banks involved in the thieving, but it's their operatives all over the world.
[00:21:12.406 --> 00:21:19.607]  When they take down New Zealand, it's Goldman Sachs operatives that are the finance minister and or the prime minister or president.
[00:21:19.607 --> 00:21:22.888]  When you see them run a scam in Chile, it's the same people.
[00:21:23.851 --> 00:21:29.079]  It's always a former president of Goldman Sachs or JP Morgan when you see them do it in England.
[00:21:29.079 --> 00:21:31.923]  I mean, it's a crew of scam artists.
[00:21:31.923 --> 00:21:34.547]  And then you look at who's funding Agenda 21.
[00:21:34.547 --> 00:21:35.849]  Same groups.
[00:21:35.849 --> 00:21:36.671]  It's so amazing.
[00:21:38.246 --> 00:21:40.368]  And then we did find the articles during the break.
[00:21:40.368 --> 00:21:46.133]  Southern Poverty Law Center and others say we're insane for not wanting a world government.
[00:21:46.133 --> 00:21:49.096]  First we were kooks for saying a world government was coming.
[00:21:49.096 --> 00:21:50.417]  Now they admit it's here.
[00:21:50.417 --> 00:21:53.921]  We're bad because we don't like the world government now.
[00:21:55.680 --> 00:21:56.601]  Have you noticed that?
[00:21:56.601 --> 00:21:59.785]  They don't deny it's a UN program in our towns and cities.
[00:21:59.785 --> 00:22:01.828]  They just say we're bad because we don't want it.
[00:22:01.828 --> 00:22:04.931]  Remember the old days when the world government didn't exist?
[00:22:04.931 --> 00:22:10.298]  Remember we were crazy and the big mega banks, the international banks, they weren't going to try to set up a world government.
[00:22:10.298 --> 00:22:11.159]  No!
[00:22:11.159 --> 00:22:12.420]  That's what kooks talk about.
[00:22:13.399 --> 00:22:21.585]  Now it's in the Associated Press, world governments hear global carbon taxes paid to the UN, but you're still bad.
[00:22:21.585 --> 00:22:23.186]  You're bad for being right.
[00:22:23.186 --> 00:22:25.688]  You're bad for warning fellow Americans.
[00:22:25.688 --> 00:22:29.190]  You're bad for warning your fellow Canadians.
[00:22:29.190 --> 00:22:33.994]  And I guess I was bad too when I pointed out over a month ago there was clear fraud in Iowa.
[00:22:35.346 --> 00:22:42.430]  On January 3rd, and then it came out three weeks later that they said, we're throwing out the results and just giving it to Santorum.
[00:22:42.430 --> 00:22:46.492]  There was fraud and trucks missing with ballots.
[00:22:46.492 --> 00:22:47.572]  Well, there were no trucks.
[00:22:47.572 --> 00:22:53.275]  It was, they vote at the precinct, post it and then call it in.
[00:22:53.275 --> 00:22:56.317]  But we had the witnesses, we had the voting fraud experts.
[00:22:56.317 --> 00:22:58.918]  There was fraud in Iowa, now admitted total fraud.
[00:22:58.918 --> 00:23:01.660]  There was fraud in Florida, now being admitted total fraud.
[00:23:01.660 --> 00:23:03.881]  There was fraud in South Carolina, now admitted total fraud.
[00:23:04.964 --> 00:23:07.985]  There was admitted total fraud in Nevada.
[00:23:07.985 --> 00:23:10.706]  We wrote articles about it, exposed it.
[00:23:10.706 --> 00:23:12.807]  The exit poll showed Ron Paul in first place.
[00:23:12.807 --> 00:23:14.287]  Poll showed him in first place.
[00:23:14.287 --> 00:23:15.828]  He gets third place.
[00:23:15.828 --> 00:23:19.569]  Every exit poll, every major poll showed Ron Paul winning Maine.
[00:23:19.569 --> 00:23:24.211]  He doesn't win.
[00:23:24.211 --> 00:23:25.671]  Same deal.
[00:23:25.671 --> 00:23:29.933]  And Ron Paul has now done what he didn't do in 2008.
[00:23:29.933 --> 00:23:32.674]  He's come out and said, yes, there's fraud.
[00:23:33.516 --> 00:23:34.596]  And there is fraud.
[00:23:34.596 --> 00:23:36.837]  And he's got to point it out.
[00:23:36.837 --> 00:23:38.537]  First they told you he couldn't win.
[00:23:38.537 --> 00:23:41.058]  Then they gave him less time in the debates.
[00:23:41.058 --> 00:23:46.599]  Then when they did give him attention, they lied about him and demonized him.
[00:23:46.599 --> 00:23:50.020]  This is the same media that went along with the lies about WMDs.
[00:23:50.020 --> 00:23:59.662]  The same media that knows the government was caught shipping guns into Mexico to blame the Second Amendment and won't even talk about it now.
[00:23:59.662 --> 00:24:01.143]  And now Ron Paul has come out
[00:24:02.028 --> 00:24:03.149]  This is from Business Wire.
[00:24:03.149 --> 00:24:06.251]  It's up on InfoWars.com.
[00:24:06.251 --> 00:24:10.974]  Ron Paul campaign comments on Maine caucus results.
[00:24:10.974 --> 00:24:16.017]  Headline, Ron Paul refuses to concede Maine official campaign release.
[00:24:16.017 --> 00:24:22.121]  And they go on to point out that all of their data shows that they basically should have won.
[00:24:24.773 --> 00:24:39.775]  You know, the big telltale was when 2% were reporting in Nevada, the entire corporate whore, dinosaur, prostitute, sewer stream, trader media said that he was the undisputed victor.
[00:24:41.937 --> 00:24:43.678]  Man, I'm not going to go back over Iowa.
[00:24:43.678 --> 00:24:45.398]  I've already done four or five shows on that.
[00:24:45.398 --> 00:24:54.542]  I mean, I sat there and watched Fox News with Karl Rove, and I played the clip here, saying, yeah, well, they lost a bunch of the ballots and trucks, and I started laughing.
[00:24:54.542 --> 00:25:02.666]  We don't know where the precinct heads are, and all these precincts happen to be the university towns, like Ames, which in polls, Ron Paul was getting close to 60% of the vote.
[00:25:04.156 --> 00:25:06.598]  Of course, he ended up, you know, getting like 15 points.
[00:25:06.598 --> 00:25:11.603]  They had a little special trucks come up missing, but there are no trucks involved in ballots.
[00:25:11.603 --> 00:25:12.764]  And just all disappeared.
[00:25:12.764 --> 00:25:15.366]  And Karl Rove said, well, you know what?
[00:25:15.366 --> 00:25:22.333]  There was a gentleman's agreement between Mitt Romney and Santorum, and they decided to, you know, give those delegates to Santorum.
[00:25:22.333 --> 00:25:23.914]  And that's the way it is.
[00:25:23.914 --> 00:25:27.718]  And the Fox host didn't ask him one time.
