[00:00:00.714 --> 00:00:04.537]  You got it, brother.
[00:02:30.647 --> 00:02:36.610]  Thousands of pills filled with powdered human baby flesh discovered by customs officials in South Korea?
[00:02:36.610 --> 00:02:40.072]  I'm gonna tie that in with this little stack first when we come back.
[00:02:41.385 --> 00:02:42.526]  Normalcy bias.
[00:02:42.526 --> 00:02:46.369]  How does that tie in with Stockholm Syndrome and learned helplessness?
[00:02:46.369 --> 00:02:53.474]  People develop these psychological labels which have a lot of reality based in them.
[00:02:53.474 --> 00:02:54.955]  They're not just theories.
[00:02:54.955 --> 00:02:58.538]  They've been demonstrated and observed and are real syndromes.
[00:03:01.826 --> 00:03:07.113]  The syndromes, a lot of times in college, you know, they have debates about what do you think of this theory or that theory?
[00:03:07.113 --> 00:03:09.636]  And so many times it's a combo of both.
[00:03:09.636 --> 00:03:11.098]  That's full spectrum analysis.
[00:03:11.098 --> 00:03:19.608]  But to understand how people go into tyrannies, how they put up with more and more, how societies fall, we're going to be looking at normalcy bias.
[00:03:25.453 --> 00:03:30.176]  Stockholm syndrome and learned helplessness coming up.
[00:03:30.176 --> 00:03:33.919]  Now it ties into the roasted baby traffic, which is big.
[00:03:33.919 --> 00:03:36.841]  I mean, why is he in trouble for some roasted babies?
[00:03:36.841 --> 00:03:44.647]  I mean, the Journal of Pediatrics, you know, says we should give our kids mercury.
[00:03:44.647 --> 00:03:46.188]  It's good for their brains.
[00:03:46.188 --> 00:03:51.312]  The Journal of Bioethics has come out and said, kill kids up to age three and kill grandma.
[00:03:51.312 --> 00:03:52.172]  Bill Gates says that.
[00:03:52.172 --> 00:03:53.073]  I mean, what's wrong with that?
[00:03:54.474 --> 00:03:56.415]  That's the idea.
[00:03:56.415 --> 00:04:04.880]  Well, the problem was they weren't a big cosmetic maker in France putting melted down babies in their products or Pepsi with fetus flavoring.
[00:04:04.880 --> 00:04:06.181]  Yeah, I first saw that two years ago.
[00:04:06.181 --> 00:04:06.741]  I didn't believe it.
[00:04:06.741 --> 00:04:07.882]  Then it came out in court.
[00:04:07.882 --> 00:04:09.103]  It was true.
[00:04:09.103 --> 00:04:12.204]  And the federal regulators said, yeah, shareholders can't block this.
[00:04:12.204 --> 00:04:14.566]  There's nothing like fetus flavoring.
[00:04:16.380 --> 00:04:30.252]  Remember I said about two weeks ago on air, I said it's like the Golden Child, where that demon is trying to feed the child the blood of a kid they sacrificed under the oatmeal, and the demon says, you will eat it.
[00:04:30.252 --> 00:04:37.218]  And then sure enough, here they are in satanic rituals, wanting to be infected by it and eat the roasted babies.
[00:04:37.218 --> 00:04:39.940]  And it's all in the article, London Independent.
[00:04:39.940 --> 00:04:41.261]  You will eat it.
[00:04:41.261 --> 00:04:43.363]  But see, that's not, that's not,
[00:04:45.959 --> 00:04:49.041]  Life imitating art, that's art imitating life.
[00:04:49.041 --> 00:04:50.882]  You will drink your Pepsi.
[00:04:50.882 --> 00:04:53.444]  You will become defiled.
[00:04:53.444 --> 00:04:53.904]  Be right back.
[00:04:59.244 --> 00:05:03.787]  This is Alex Jones with 5 good reasons you should consider buying a solar power generator.
[00:05:03.787 --> 00:05:04.707]  Number 1.
[00:05:04.707 --> 00:05:08.130]  New climate legislation could easily double or triple your electric bill.
[00:05:08.130 --> 00:05:08.990]  Number 2.
[00:05:08.990 --> 00:05:13.873]  Our new energy czar wants to control how much power your electric company allows you to have.
[00:05:13.873 --> 00:05:14.614]  It's true.
[00:05:14.614 --> 00:05:19.497]  Total government control of electricity in the name of smart grid technology is coming.
[00:05:19.497 --> 00:05:20.317]  Number 3.
[00:05:20.317 --> 00:05:23.900]  In some areas of the country, the power grid is dangerously overloaded.
[00:05:23.900 --> 00:05:27.602]  And now, new socialist legislation is only compounding the problem.
[00:05:27.802 --> 00:05:28.603]  Number 4.
[00:05:28.603 --> 00:05:31.365]  Dangerous weather is always a threat to local grids.
[00:05:31.365 --> 00:05:35.048]  Every year, thousands of families lose their power from weather-related outages.
[00:05:35.048 --> 00:05:35.829]  Number 5.
[00:05:35.829 --> 00:05:39.993]  A solar power generator provides powerful backup, insurance, and peace of mind.
[00:05:39.993 --> 00:05:44.757]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[00:05:45.037 --> 00:05:49.198]  You can get more information at www.mysolarbackup.com.
[00:05:49.198 --> 00:05:50.998]  That's mysolarbackup.com.
[00:05:50.998 --> 00:05:53.238]  Remember, the government doesn't own the sun.
[00:05:53.238 --> 00:06:03.400]  So go to mysolarbackup.com or call 1-877-327-0365.
[00:06:03.400 --> 00:06:09.961]  You are listening to an InfoWars.com Frontline Report.
[00:06:09.961 --> 00:06:13.882]  If you are receiving this transmission, you are the resistance.
[00:06:21.494 --> 00:06:30.117]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide, it's Alex Jones.
[00:06:30.117 --> 00:06:43.782]  We have a very special worldwide broadcast lined up for you today.
[00:06:45.438 --> 00:06:47.801]  Thank you so much for joining us.
[00:06:47.801 --> 00:07:00.635]  It is Sunday, the 20th day of May 2012, and we're going to be here for the next two hours as we are every Sunday, 4 to 6 p.m.
[00:07:00.635 --> 00:07:01.576]  Central.
[00:07:01.576 --> 00:07:03.638]  And then I'm back weekdays, 11 a.m.
[00:07:03.638 --> 00:07:04.198]  to 2 p.m.
[00:07:04.198 --> 00:07:04.879]  Central, 12 to 3 p.m.
[00:07:04.879 --> 00:07:05.019]  Eastern.
[00:07:10.393 --> 00:07:24.940]  Now, coming up in about 30 minutes, Dr. Webster Tarbley, who has written two books, including the unauthorized biography of Barack Hussein Obama, is going to be joining us.
[00:07:24.940 --> 00:07:34.825]  Dr. Tarbley is what you'd call a progressive, but he, day one, said yes, Obama really was, the evidence shows, born in Kenya.
[00:07:36.508 --> 00:07:42.834]  And then we also have Dr. Corsi joining us for 30 minutes in the second hour.
[00:07:42.834 --> 00:07:49.239]  He is, of course, a famous conservative who helped swift boat John Kerry.
[00:07:49.239 --> 00:07:55.485]  And he has been documenting and traveling the world to prove it, that Barack Obama was born in Kenya.
[00:07:56.874 --> 00:08:16.206]  Now again, I would rather focus on who finances Obama, on Fast and Furious, on all the crimes he's committed, the carbon taxes, shutting down coal power plants, giving waivers to his friends, government socialists, health care, 2,000 waivers to major companies, they don't have to buy it, but you do, serious economic espionage.
[00:08:16.886 --> 00:08:24.773]  And discrimination against the American people, launching wars without congressional approval, saying he's under U.N.
[00:08:24.773 --> 00:08:30.518]  command, violating Article 1, Section 9 of the Constitution, serving as the first U.S.
[00:08:30.518 --> 00:08:40.046]  president or anyone sitting in the executive as the head of the Security Council, totally illegal.
[00:08:40.046 --> 00:08:43.449]  Those are bona fide issues that he should be impeached over.
[00:08:46.815 --> 00:08:51.361]  But if you look at the Barther issue, it's true.
[00:08:51.361 --> 00:08:52.783]  He was not born here.
[00:08:52.783 --> 00:08:55.086]  His name's not even Barack Obama.
[00:08:55.086 --> 00:08:56.928]  It's Barry Sotero.
[00:08:56.928 --> 00:09:00.733]  And I remember reading that four years ago when Tarpley was covering it, and he had the documents.
[00:09:02.856 --> 00:09:04.036]  I had trouble believing it.
[00:09:04.036 --> 00:09:05.917]  And then they said, oh, it's a conspiracy theory.
[00:09:05.917 --> 00:09:08.458]  And then a couple of years ago they went, oh, his name was Barry Sotero.
[00:09:08.458 --> 00:09:09.478]  He did change his name to that.
[00:09:09.478 --> 00:09:11.238]  And he did go to the mosque.
[00:09:11.238 --> 00:09:14.159]  And I'm not saying it's bad to be a Muslim, but he lied about not being a Muslim.
[00:09:14.159 --> 00:09:14.619]  He was.
[00:09:14.619 --> 00:09:15.840]  And he gave up his U.S.
[00:09:15.840 --> 00:09:18.160]  citizenship to become an Indonesian citizen.
[00:09:18.160 --> 00:09:19.020]  You had to at the time.
[00:09:19.020 --> 00:09:20.381]  He is an Indonesian citizen.
[00:09:21.144 --> 00:09:23.965]  And then it turned out that his grandmother did say was born in Kenya.
[00:09:23.965 --> 00:09:24.725]  It's all true!
[00:09:24.725 --> 00:09:30.967]  And I saw the media for years say there's no such thing as a long form certificate.
[00:09:30.967 --> 00:09:32.528]  Here it is.
[00:09:32.528 --> 00:09:41.911]  And I knew from having children and having to get the receipt of the long form and the long form to get a passport, I knew that that was a receipt.
[00:09:42.998 --> 00:09:45.539]  Plus, I washed mine one time and had to get the original.
[00:09:45.539 --> 00:09:49.420]  Before I could do that, I had to get the receipt that you get from the Bureau of Vital Statistics.
[00:09:49.420 --> 00:09:55.201]  So I knew that that wasn't the full birth certificate, and they were talking to the American people like they were dumb.
[00:09:55.201 --> 00:10:03.884]  But that didn't work, because everybody knew, no, there's a receipt that you have a birth certificate, and then there's an actual real copy of the birth certificate.
[00:10:03.884 --> 00:10:09.285]  So then they released the long form, and then it's fake, and got proven across the board it's fake.
[00:10:09.285 --> 00:10:10.606]  I mean, here's just one anomaly.
[00:10:10.606 --> 00:10:11.046]  It had over 50.
[00:10:12.293 --> 00:10:18.615]  It used a fake computer font that looks like typewriter, but all the letters of the similar type were exactly the same.
[00:10:18.615 --> 00:10:25.597]  And with a typewriter, every time it splats down on the ribbon, you push it with different degrees of force each time.
[00:10:25.597 --> 00:10:27.578]  It hits a different area of the ribbon.
[00:10:27.578 --> 00:10:28.998]  It hits a different area of the paper.
[00:10:28.998 --> 00:10:30.479]  Each one is like a snowflake or fingerprint.
[00:10:30.479 --> 00:10:31.439]  It's different.
[00:10:31.439 --> 00:10:33.860]  All the C's, the A's, the T's, everything was identical.
[00:10:34.568 --> 00:10:36.910]  It just looked like a typewriter strike.
[00:10:36.910 --> 00:10:37.891]  It's fake.
[00:10:37.891 --> 00:10:38.292]  Okay?
[00:10:38.292 --> 00:10:40.514]  It's fake.
[00:10:40.514 --> 00:10:41.174]  100%.
[00:10:41.174 --> 00:10:42.215]  It's fake.
[00:10:42.215 --> 00:10:46.399]  Sheriff Arpaio's people look at it, they go, yeah, it's fake.
[00:10:46.399 --> 00:10:49.082]  The Selective Service card is fake.
[00:10:49.082 --> 00:10:52.005]  He's got a fake social security number of a dead woman in Connecticut.
[00:10:52.005 --> 00:10:54.227]  That's been confirmed.
[00:10:54.227 --> 00:10:57.189]  The State Department confirmed his dad wasn't his dad and threw him out of the country.
[00:10:58.332 --> 00:11:02.413]  I mean, this really even freaks me out because you know why, folks?
[00:11:02.413 --> 00:11:05.794]  They can blackmail him with this info.
[00:11:05.794 --> 00:11:07.814]  They can blackmail him with this info.
[00:11:07.814 --> 00:11:16.376]  So we're going to dedicate about half the broadcast today or more to this because it's true.
[00:11:16.376 --> 00:11:18.117]  His name is Barry Sotero.
[00:11:18.117 --> 00:11:19.657]  He's an Indonesian citizen.
[00:11:19.657 --> 00:11:21.458]  That's undebatable.
[00:11:21.458 --> 00:11:23.798]  And there's fake birth certificates.
[00:11:23.798 --> 00:11:24.758]  And why am I raising this?
[00:11:24.758 --> 00:11:25.359]  Oh, I forgot.
[00:11:25.359 --> 00:11:26.779]  I was just giving you the backstory.
[00:11:27.657 --> 00:11:31.559]  As you know, on Thursday, it came out.
[00:11:31.559 --> 00:11:36.081]  And within one hour, the White House responded.
[00:11:36.081 --> 00:11:39.763]  Within one hour.
[00:11:39.763 --> 00:11:43.085]  Breitbart group dug through it.
[00:11:43.085 --> 00:11:47.146]  They don't want to get Breitbarted, so they said, no, we're not saying this means he was born in Kenya.
[00:11:47.146 --> 00:11:48.347]  Don't kill us, don't kill us.
[00:11:48.347 --> 00:11:49.748]  They had a preface with that.
[00:11:49.748 --> 00:11:51.969]  Don't kill us, don't Arkansasite us, don't Breitbart us.
[00:11:53.626 --> 00:11:54.607]  You know how we know they killed him?
[00:11:54.607 --> 00:12:00.933]  Within an hour and a half, hour and 45 minutes, they announced it was a heart attack, heart attack.
[00:12:00.933 --> 00:12:02.315]  And then the coroner died.
[00:12:02.315 --> 00:12:03.196]  But sad issue.
[00:12:03.196 --> 00:12:06.319]  The point is, is they're like, don't suicide us.
[00:12:06.319 --> 00:12:09.081]  But his literary agent, his agent,
[00:12:09.969 --> 00:12:25.538]  For 16 years, 9 months, we've looked at the actual numbers, in hundreds of publications, hundreds, including Harvard Law Review, said Obama was born in Kenya, then lived in Indonesia, then Hawaii.
[00:12:25.538 --> 00:12:28.360]  You're like, well why is there the birth announcement in the newspaper?
[00:12:28.360 --> 00:12:32.823]  If your mother and your grandmother are CIA, which has now been confirmed.
[00:12:32.823 --> 00:12:33.523]  Absolute fact.
[00:12:36.813 --> 00:12:40.597]  And you're born overseas, you want him to have that birthright.
[00:12:40.597 --> 00:12:43.639]  Extremely valuous, even today, but especially then.
[00:12:43.639 --> 00:12:45.801]  So you put a fake birth announcement in.
[00:12:45.801 --> 00:12:48.864]  That's the oldest trick in the book.
[00:12:48.864 --> 00:12:50.766]  But he was born in Kenya.
[00:12:50.766 --> 00:13:00.135]  And Dr. Corsi, of course, went over to Kenya a couple years ago and got arrested and put on house arrest for a day until he could get put back on an aircraft.
[00:13:00.956 --> 00:13:04.357]  And then we later learn, this is in Corsi's new book, Where's the Birth Certificate?
[00:13:04.357 --> 00:13:07.478]  I should add, available at Infowars.com.
[00:13:07.478 --> 00:13:11.660]  And on there, he has the copies.
[00:13:11.660 --> 00:13:13.060]  This has been confirmed by the White House.
[00:13:13.060 --> 00:13:17.602]  Bush, when Hillary was saying Obama was born in Kenya, when they were running against each other, that's where this all came from.
[00:13:18.547 --> 00:13:20.588]  Because, of course, the Clintons have all the FBI files on people.
[00:13:20.588 --> 00:13:21.629]  They're still running Washington.
[00:13:21.629 --> 00:13:24.511]  It's like their third administration right now under Obama.
[00:13:24.511 --> 00:13:26.172]  It wasn't just because she's nasty and mean.
[00:13:26.172 --> 00:13:28.113]  It's because she knew that was true.
[00:13:28.113 --> 00:13:30.635]  So she had her surrogates release that.
[00:13:30.635 --> 00:13:32.476]  Well, Bush wanted to know, so he had the U.S.
[00:13:32.476 --> 00:13:33.656]  ambassador to Kenya.
[00:13:33.656 --> 00:13:35.558]  This is declassified.
[00:13:35.558 --> 00:13:37.339]  This came out after the election, though.
[00:13:37.339 --> 00:13:38.900]  Go over there and say, I want the records.
[00:13:38.900 --> 00:13:39.420]  They went and looked.
[00:13:39.420 --> 00:13:41.061]  They said they've been cut out.
[00:13:41.061 --> 00:13:42.962]  It appears to be criminal.
[00:13:42.962 --> 00:13:44.863]  Folks, you don't cut out.
[00:13:44.863 --> 00:13:45.504]  Did you catch that?
[00:13:45.504 --> 00:13:47.105]  You don't cut out something that wasn't there.
[00:13:48.080 --> 00:13:55.782]  They don't need to cut my birth records of being born in Brazil out, because I was born in Dallas, Texas, 1974.
[00:13:55.782 --> 00:14:01.364]  You don't cut records out.
[00:14:01.364 --> 00:14:05.045]  You know, they say, oh, John McCain, he wasn't born in America.
[00:14:05.045 --> 00:14:05.825]  That's actually true.
[00:14:05.825 --> 00:14:08.426]  He wasn't born in the U.S., but he was born on a U.S.
[00:14:08.426 --> 00:14:09.026]  military base.
[00:14:10.421 --> 00:14:12.262]  So then they throw that back out at us.
[00:14:12.262 --> 00:14:12.962]  It doesn't matter.
[00:14:12.962 --> 00:14:14.222]  I didn't like McCain either.
[00:14:14.222 --> 00:14:15.703]  McCain isn't the president.
[00:14:15.703 --> 00:14:17.544]  McCain isn't compromised.
[00:14:17.544 --> 00:14:19.885]  And McCain was born on a military base.
[00:14:19.885 --> 00:14:22.005]  Born on a ship, which is a military base.
[00:14:22.005 --> 00:14:24.846]  People go, oh, there wasn't a base in Panama yet.
[00:14:24.846 --> 00:14:28.848]  Well, there was actually a Marine Corps base, but sad issue, he was born on a ship.
[00:14:28.848 --> 00:14:35.110]  But that part doesn't matter, because I get these emails and see these comments coming into the office about, well, what about McCain?
[00:14:35.110 --> 00:14:36.911]  McCain isn't the president.
[00:14:36.911 --> 00:14:38.912]  There hadn't been a giant cover-up of this.
[00:14:42.455 --> 00:14:52.782]  His publicist, his publicist, the one he's still got, his main publicist, turns out and promos stuff to get Dreams of My Father published.
[00:14:52.782 --> 00:14:54.624]  They said this.
[00:14:54.624 --> 00:15:05.791]  Ladies and gentlemen, ladies and gentlemen, for 16 plus years, he said he was born in Kenya, and within hours, they come out and go, oh, this must be the source of the false rumor.
[00:15:05.791 --> 00:15:09.094]  No, no one ever knew about all these hundreds of publications.
[00:15:09.755 --> 00:15:13.156]  You know, he could end all this right now.
[00:15:13.156 --> 00:15:25.240]  All of his Harvard, all of his other two colleges he went to, all of his State Department programs he was involved in, all of his records, high school, everything.
[00:15:25.240 --> 00:15:26.800]  It's not the same way with other presidents.
[00:15:26.800 --> 00:15:31.662]  They're all sealed under national security.
[00:15:31.662 --> 00:15:34.023]  So just release it.
[00:15:34.023 --> 00:15:35.423]  Just release it.
[00:15:35.423 --> 00:15:36.903]  Release it, but they won't.
[00:15:36.903 --> 00:15:38.204]  Okay, I'm done talking about that.
[00:15:39.977 --> 00:15:50.225]  Politico is talking about InfoWars.com, so is Business Insider, and so is a bunch of other publications concerning Bilderberg.
[00:15:50.225 --> 00:15:54.228]  Will they admit the world leaders secretly meeting in two weeks?
[00:15:54.228 --> 00:15:55.569]  Wow!
[00:15:55.569 --> 00:15:59.572]  See, the alternative media is the new dominant media, so the old media has to respond.
[00:16:02.213 --> 00:16:06.174]  Hi folks, this is Alex Jones and I want to tell you about the Silver Lungs Generator.
[00:16:06.174 --> 00:16:15.037]  Now you can produce pure and endless colloidal silver and deliver the solution directly into the bloodstream by breathing the solution through the lungs.
[00:16:15.037 --> 00:16:19.678]  The respiratory system is the first line of defense for airborne pathogens and viruses.
[00:16:19.678 --> 00:16:30.481]  The Silver Lungs Generator infuses the respiratory system with your self-produced nano-silver solutions and also delivers the silver nanoparticles instantly into the bloodstream.
[00:16:31.121 --> 00:16:40.650]  With continued legislation threatening the sale of nanosilver products, you can now produce pure and endless colloidal silver with the Silver Lungs Generator.
[00:16:40.650 --> 00:16:46.075]  Very easy to follow step-by-step instructions are provided, making production fast and simple.
[00:16:46.075 --> 00:16:53.561]  Go to www.silverlungs.com today and learn more about the breakthrough technology of the Silver Lungs Generator.
[00:16:53.561 --> 00:16:56.324]  That's www.silverlungs.com.
[00:17:00.220 --> 00:17:05.705]  Sick of the globalist eugenicist control freaks adding poison to your water and laughing as you get sick and die?
[00:17:05.705 --> 00:17:08.127]  Start purifying your water with ProPure.
[00:17:08.127 --> 00:17:17.236]  My friends, I've done a lot of research and the best gravity filter out there bar none is ProPure and it's available discounted at InfoWars.com.
[00:17:17.236 --> 00:17:20.679]  Its filters are silver impregnated to prevent bacterial growth.
[00:17:20.679 --> 00:17:22.361]  There's no priming required.
[00:17:22.361 --> 00:17:24.643]  It's NSF 42 certified.
[00:17:24.643 --> 00:17:26.084]  Optional fluoride filters can reduce
[00:17:26.144 --> 00:17:27.104]  We're good to go.
[00:17:55.273 --> 00:17:56.534]  You can also call to order 888-253-3139.
[00:18:17.583 --> 00:18:22.807]  So our friends at Solutions from Science have put together the perfect mix of non-hybrid seeds.
[00:18:22.807 --> 00:18:25.128]  They call it a Survival Seed Bank.
[00:18:25.128 --> 00:18:29.931]  And it can produce an endless supply of nutrient-dense food for you and your family.
[00:18:29.931 --> 00:18:31.052]  And here's the best part.
[00:18:31.052 --> 00:18:34.114]  These seeds have not been genetically modified in any way.
[00:18:34.114 --> 00:18:37.737]  And you actually get enough seeds to plant a full acre crisis garden.
[00:18:37.737 --> 00:18:40.919]  So visit them today at SurvivalSeedBank.com.
[00:18:40.919 --> 00:18:43.160]  That's SurvivalSeedBank.com.
[00:18:43.160 --> 00:18:44.081]  Or give them a call at 877-327-0365.
[00:18:47.703 --> 00:18:49.144]  That's 877-327-0365.
[00:18:49.144 --> 00:18:56.769]  Remember, in a real crisis, non-hybrid seeds are the ultimate barter item.
[00:18:56.769 --> 00:18:59.772]  This is Alex Jones for SurvivalSeedBank.com.
[00:18:59.772 --> 00:19:04.135]  For a long time, you've heard me talk about building your own food supply with eFoods Direct.
[00:19:04.135 --> 00:19:08.177]  As a listener, you know why you need to have a supply of the best storable food on the planet.
[00:19:08.177 --> 00:19:12.200]  Every day, we document the attempts to take control of our lives.
[00:19:12.200 --> 00:19:14.402]  But there's one thing we can all control.
[00:19:14.402 --> 00:19:15.923]  Your greatest dependency.
[00:19:15.923 --> 00:19:16.223]  Food.
[00:19:16.623 --> 00:19:24.169]  E-Foods Direct products are made with only the best ingredients and none of the trash and contaminants like trans fats, GMOs, or MSG.
[00:19:24.169 --> 00:19:26.691]  This food is nutrient-dense and tastes great.
[00:19:26.691 --> 00:19:30.654]  It's simple to make, portable, and has a shelf life of up to 25 years.
[00:19:30.654 --> 00:19:34.237]  Now with E-Foods Direct, you'll get the most affordable, best-tasting food you can buy.
[00:19:34.537 --> 00:19:37.138]  And the new products and pricing will blow you away.
[00:19:37.138 --> 00:19:41.999]  Compared to other food sources, including home-cooked meals, you can cut your food cost in half.
[00:19:41.999 --> 00:19:43.979]  You just can't afford to ignore this.
[00:19:43.979 --> 00:19:49.621]  Call 800-409-5633 or go to efoodsdirect.com forward slash Alex for specials.
[00:19:49.621 --> 00:19:51.141]  Don't let this offer pass you by.
[00:19:51.141 --> 00:19:53.182]  Call 800-409-5633 or efoodsdirect.com forward slash Alex.
[00:19:53.182 --> 00:19:54.442]  More the best, for less guaranteed.
[00:20:01.317 --> 00:20:04.899]  Coast to coast, direct from Austin.
[00:20:04.899 --> 00:20:15.526]  You're listening to the Alex Jones Broadcasting Network.
[00:20:15.526 --> 00:20:21.569]  We now take you live to the Central Texas Command Center, in the heart of the resistance.
[00:20:21.569 --> 00:20:24.091]  You're listening to the Alex Jones Show!
[00:20:28.083 --> 00:20:30.304]  Thank you for joining us here on the Sunday edition.
[00:20:30.304 --> 00:20:32.205]  If you're a new listener, I'm Alex Jones.
[00:20:32.205 --> 00:20:33.946]  I'm a constitutionalist.
[00:20:33.946 --> 00:20:35.306]  I want freedom.
[00:20:35.306 --> 00:20:37.047]  It's not about being right-wing or left-wing.
[00:20:37.047 --> 00:20:49.473]  It's about being constitutional, which basically means I'm about 180 degrees in the opposite direction of people like Barack Obama, but also most of the Democrats and Republicans in the Congress.
[00:20:51.118 --> 00:20:52.118]  Here's what's going to happen.
[00:20:52.118 --> 00:21:09.761]  I'm going to spend the next half hour and a half hour after that with Dr. Corsi, expert on Obama and his fraudulent background, the imposter El Presidente we have, and the fact that all the special interests know this and can completely blackmail him.
[00:21:09.761 --> 00:21:17.843]  And we've got Dr. Webster Tarpley, who's one of the first birthers, and he himself, more of what you call a classical American system-type progressive.
[00:21:17.843 --> 00:21:20.223]  The point is he's not a Republican operative.
[00:21:21.698 --> 00:21:32.803]  Now, continuing here, ladies and gentlemen, coming up in the last 30 minutes after those guests leave us, you do not want to miss this, Bilderberg agenda attracts national exposure.
[00:21:32.803 --> 00:21:36.605]  Romney, policy advisor on defensive over secretive, gribs power.
[00:21:37.682 --> 00:21:58.347]  And to go from 17 years ago talking about Bilderberg Group on air and having people laugh at me when some of their documents had leaked and folks had broken into the meetings and the media said it didn't exist and things like that, to now having the Washington Post and Politico come out and admit that Bilderberg meets and to a great extent does vet politicians.
[00:21:58.347 --> 00:22:00.208]  Royalty, Rothschilds, Rockefellers.
[00:22:00.919 --> 00:22:11.323]  And I go on to plug InfoWars.com and say that, well, yes, we're still conspiracy theorists, but we discovered the location this year, and we broke all that.
[00:22:11.323 --> 00:22:16.384]  And it does exist, and they do want world government, but it's good world government.
[00:22:16.384 --> 00:22:18.465]  So I'm still bad for being right, though.
[00:22:18.465 --> 00:22:20.606]  I don't get any journalism award or anything.
[00:22:20.606 --> 00:22:23.347]  And you don't either for talking about it and warning people.
[00:22:23.347 --> 00:22:25.427]  You're bad for being right.
[00:22:25.427 --> 00:22:29.649]  You see, in a world of universal deceit, telling the truth is a revolutionary act.
[00:22:31.032 --> 00:22:31.933]  That's Eric Blair.
[00:22:31.933 --> 00:22:32.993]  I have my own quote.
[00:22:32.993 --> 00:22:37.636]  I was thinking about today while I was swimming laps in Barton Creek.
[00:22:37.636 --> 00:22:42.119]  What was it?
[00:22:42.119 --> 00:22:46.402]  If tyrants were whales, they would swim in an ocean of lies?
[00:22:46.402 --> 00:22:47.003]  No, that wasn't it.
[00:22:47.003 --> 00:22:48.844]  It was better than that.
[00:22:48.844 --> 00:22:53.727]  If a tyrant was a whale, apathy is the ocean in which they swim.
[00:22:53.727 --> 00:22:56.929]  But the quote popped in my mind.
[00:22:56.929 --> 00:22:58.150]  It was much better than that.
[00:22:58.150 --> 00:22:59.171]  It was Twitter worthy.
[00:23:02.503 --> 00:23:04.785]  I'll formulate it again in my mind during the break.
[00:23:04.785 --> 00:23:06.806]  I think so good when I'm jogging or swimming.
[00:23:06.806 --> 00:23:14.552]  I guess because all that oxygen is going through my tiny little walnut brain and side issue.
