[00:00:00.646 --> 00:00:01.707]  You got it.
[00:03:40.991 --> 00:03:45.093]  Our biggest audience is on terrestrial AM and FM radio.
[00:03:45.093 --> 00:03:48.094]  That reaches the lion's share of the three million a day.
[00:03:48.094 --> 00:03:52.236]  But it's mainly a conservative, libertarian-type audience.
[00:03:52.236 --> 00:03:59.219]  And it's great to talk to the choir, but it's important to reach out to places like YouTube.
[00:03:59.219 --> 00:04:01.240]  That's why it's important to buy the DVDs.
[00:04:03.450 --> 00:04:13.413]  InfoWarsStore.com and have a library of them and also give them to people because then you have a hard copy.
[00:04:13.413 --> 00:04:23.476]  Or if you're going to go watch the videos at PrisonPlanet.tv, our site, so we have a backup, or on YouTube, download them.
[00:04:23.476 --> 00:04:24.917]  Save them.
[00:04:24.917 --> 00:04:27.878]  You know, I've talked a lot about Web 2.0, that's why we started
[00:04:30.714 --> 00:04:41.962]  The magazine, because the globalists are moving to censor the web, so we call it Print 2.0, to have a hard copy of each month's key articles, 60 pages of it, in InfoWars Magazine.
[00:04:41.962 --> 00:04:55.471]  But just an interesting little tidbit here at the start of the broadcast, that they can delete your videos, and then it says you did it.
[00:04:56.698 --> 00:04:58.439]  All right, we'll be right back.
[00:04:58.439 --> 00:04:58.979]  Stay with us.
[00:04:58.979 --> 00:04:59.479]  Big show.
[00:04:59.479 --> 00:05:04.981]  Sick of the globalist eugenicist control freaks adding poison to your water and laughing as you get sick and die?
[00:05:04.981 --> 00:05:07.402]  Start purifying your water with ProPure.
[00:05:07.402 --> 00:05:13.105]  My friends, I've done a lot of research and the best gravity filter out there, bar none, is ProPure.
[00:05:13.105 --> 00:05:16.486]  And it's available discounted at InfoWars.com.
[00:05:16.486 --> 00:05:19.948]  Its filters are silver impregnated to prevent bacterial growth.
[00:05:19.948 --> 00:05:21.608]  There's no priming required.
[00:05:21.608 --> 00:05:22.429]  It's NSF 42 certified.
[00:05:23.889 --> 00:05:27.171]  Optional fluoride filters can reduce fluoride up to 95%.
[00:05:27.171 --> 00:05:28.993]  Easy to set up and use.
[00:05:28.993 --> 00:05:30.414]  Doesn't require electricity.
[00:05:30.414 --> 00:05:33.576]  Purify water from lakes, streams, ponds, and wells.
[00:05:33.576 --> 00:05:36.958]  This filter system leaves in beneficial minerals, which is key.
[00:05:36.958 --> 00:05:41.101]  Save money by not buying bottled water and avoid BPA that leaches from the plastic.
[00:05:41.101 --> 00:05:43.842]  ProPure is the best gravity-fed filter out there.
[00:05:43.842 --> 00:05:45.404]  It's what my family uses.
[00:05:45.404 --> 00:05:48.726]  Infowars.com already has the lowest price on ProPure.
[00:05:48.726 --> 00:05:52.708]  But if you add the promo code WATER at checkout, you get an additional 10% off at Infowars.com.
[00:05:53.609 --> 00:05:57.871]  We now take you live to the Central Texas Command Center and the heart of the resistance.
[00:05:57.871 --> 00:06:02.434]  You're listening to the Alex Jones Show!
[00:06:41.107 --> 00:06:46.111]  Monday through Friday I am live 12 noon to 3 p.m.
[00:06:46.111 --> 00:06:53.417]  Eastern with the weekday show and then I come back live every single Sunday 4 to 6 p.m.
[00:06:53.417 --> 00:07:01.764]  Central Standard Time 5 to 7 Eastern that is 2 to 5 or I guess that would be 2 to 4
[00:07:03.579 --> 00:07:07.722]  In the Pacific 3-5 mountain, but it's all academic.
[00:07:07.722 --> 00:07:16.448]  Again, thank you so much for joining us on this Sunday, the 25th day of November 2012.
[00:07:16.448 --> 00:07:23.693]  And we have, again, just a ton of key information that we're going to be covering today.
[00:07:23.693 --> 00:07:31.079]  Coming up later in the hour, I just wanted to read a small stack of just the police state news today.
[00:07:33.035 --> 00:07:37.400]  Just the out-of-control government news today.
[00:07:38.792 --> 00:07:46.015]  Where violent criminals are allowed to go free, but the general public is savagely abused by the system.
[00:07:46.015 --> 00:07:49.236]  Because the system sees you as the food.
[00:07:49.236 --> 00:07:51.577]  Soylent Green is made out of people.
[00:07:51.577 --> 00:07:54.559]  They don't want to physically eat you, at least not yet.
[00:07:54.559 --> 00:08:05.163]  But the bureaucracy and the megacorporations that are anti-free market, monopolistic, that control us through government, and shut down their competition through government, they extract your labor and your energy.
[00:08:06.340 --> 00:08:16.923]  And to control you, they've distorted the educational process to where we have a dumbed-down, arrested development population that does not have any idea how this world even operates.
[00:08:16.923 --> 00:08:19.083]  Let me just give you a few of these headlines.
[00:08:19.083 --> 00:08:22.564]  First off, some good news.
[00:08:22.564 --> 00:08:23.884]  Some sanity here.
[00:08:23.884 --> 00:08:29.826]  Piedmont officer is fired over public urination ticket.
[00:08:30.627 --> 00:08:35.926]  The three-year-old was seen running around the front yard and peed up against a tree.
[00:08:37.698 --> 00:08:43.521]  I mean, I thought you weren't a red-blooded southerner unless you peed in your backyard.
[00:08:43.521 --> 00:08:46.842]  But the point is, is the good neighbor called the police, of course.
[00:08:46.842 --> 00:08:49.643]  Can't pass up any reason to call the police.
[00:08:49.643 --> 00:08:54.345]  And the police came and knocked on the door and gave her a $2,500 ticket.
[00:08:54.345 --> 00:08:58.227]  And they'd like to, of course, make the child a sex offender if they could.
[00:08:58.227 --> 00:09:03.069]  But the police chief has fired the officer who ought to move to North Korea.
[00:09:04.264 --> 00:09:06.445]  Don't worry though, the union will get him reinstated.
[00:09:06.445 --> 00:09:08.506]  This is all just for show.
[00:09:08.506 --> 00:09:09.707]  That's up in Oklahoma.
[00:09:09.707 --> 00:09:11.648]  Florida woman arrested on charge.
[00:09:11.648 --> 00:09:13.088]  She rode manatee.
[00:09:13.088 --> 00:09:14.689]  Manatees come up and want to swim with you.
[00:09:14.689 --> 00:09:16.310]  That's NBC.
[00:09:16.310 --> 00:09:19.932]  And they want to put her in jail for a couple years for that.
[00:09:20.905 --> 00:09:32.919]  But don't worry, more heads were found this week on the Texas-Mexico border, and there's all sorts of incredible crime going on and stabbings and murders that aren't even investigated, but the person riding the manatee will get in a lot of trouble.
[00:09:32.919 --> 00:09:36.342]  New York City storm victims' homes looted over Thanksgiving.
[00:09:36.342 --> 00:09:38.485]  What is it, three weeks after the hurricane?
[00:09:38.485 --> 00:09:39.486]  And looting is...
[00:09:40.587 --> 00:09:43.730]  Is ongoing, but hey, don't worry.
[00:09:43.730 --> 00:09:49.214]  They are arresting people that try to truck in gas for their neighbors if it's in an improper container.
[00:09:49.214 --> 00:09:53.157]  So, California man jailed for four days for courting police.
[00:09:53.157 --> 00:09:54.538]  That's in the local news there.
[00:09:54.538 --> 00:09:58.521]  It's also, his photography is on a crime.com that chronicles this.
[00:09:58.521 --> 00:10:01.923]  And the guy's about 30 feet away, legally lawfully videotaping.
[00:10:01.923 --> 00:10:07.628]  I saw a video this week where they arrested people, what was it, in Chicago videotaping an illegal checkpoint.
[00:10:08.529 --> 00:10:11.256]  You don't do that in the land of the free and home of the brave.
[00:10:11.256 --> 00:10:14.685]  Continuing health care workers fired for failing to get flu shot vaccinations.
[00:10:16.597 --> 00:10:23.101]  Even though it doubles your chances of getting the flu that year in major government studies, and doesn't protect you and gives you brain damage.
[00:10:23.101 --> 00:10:38.353]  And over in the UK, they're now taking people's children, who are members of the UK Independence Party, which is the third largest party in the country, extremely mainline, and simply wants the EU out of British politics, and have sovereignty UK-wide.
[00:10:38.353 --> 00:10:43.417]  It's the fastest growing party too, and they say that being against the Euro is illegal?
[00:10:44.077 --> 00:10:45.437]  And your children will be taken.
[00:10:45.437 --> 00:10:47.318]  That's the London Guardian.
[00:10:47.318 --> 00:10:50.178]  Continuing, it's authoritarianism is what it's called.
[00:10:50.178 --> 00:10:54.359]  Saudi husbands alerted by text of their wives leave the country.
[00:10:54.359 --> 00:11:03.081]  The GPS tracking that's in all cell phones globally under standardization that they use to track and trace us illegally here in the U.S.
[00:11:03.081 --> 00:11:06.661]  and in Europe and North America as well and Australia, Canada.
[00:11:06.661 --> 00:11:09.862]  Well there it's used, the government tracks the women for the husbands with it.
[00:11:10.522 --> 00:11:11.122]  So there you go.
[00:11:11.122 --> 00:11:12.203]  I mean, don't feel bad.
[00:11:12.203 --> 00:11:13.683]  They do it to all of us here.
[00:11:13.683 --> 00:11:20.645]  Laptops, they issue the free laptops that taxpayers pay for from California to Pennsylvania.
[00:11:20.645 --> 00:11:23.666]  They watch you at home and the government's now announced that.
[00:11:23.666 --> 00:11:29.088]  And you must wear RFID trackers around your necks in San Antonio or you're expelled.
[00:11:29.088 --> 00:11:31.549]  That's been now national news.
[00:11:31.549 --> 00:11:33.690]  Here's some of the other police state news I thought I'd
[00:11:35.171 --> 00:11:38.412]  Get out here for you, but then I'll get into more detail on those.
[00:11:38.412 --> 00:11:41.593]  United Nations wants to use drones, weekly standard.
[00:11:41.593 --> 00:11:51.155]  I mean, everybody's getting the new drones and the global government wants some drones as well.
[00:11:51.155 --> 00:11:54.636]  And so the French news agency is also reporting that.
[00:11:54.636 --> 00:11:58.217]  And the UN runs giant mass murder operations all over the world.
[00:11:58.217 --> 00:11:59.257]  I was talking to a
[00:12:00.498 --> 00:12:05.742]  Young lady this weekend, and she was telling me her dream to be a high commissioner in the UN to save people.
[00:12:05.742 --> 00:12:07.964]  And I said, do you know about who founded the UN?
[00:12:07.964 --> 00:12:09.585]  Do you know about the Rockefellers?
[00:12:09.585 --> 00:12:10.566]  Do you know about eugenics?
[00:12:10.566 --> 00:12:16.870]  Do you know the UN runs murdering operations and white slavery, sex kidnapping worldwide?
[00:12:16.870 --> 00:12:18.852]  She just didn't want to hear about it, because you know what?
[00:12:18.852 --> 00:12:24.396]  The television said the UN were great people, so they must be.
[00:12:24.396 --> 00:12:26.858]  Shipping containers to become condos in Detroit.
[00:12:27.558 --> 00:12:29.579]  That's being reported on by ABC News.
[00:12:29.579 --> 00:12:31.980]  That's where the folks are moving in there.
[00:12:31.980 --> 00:12:36.162]  We paid $20-plus billion to move General Motors to China.
[00:12:36.162 --> 00:12:37.342]  Shipping containers.
[00:12:37.342 --> 00:12:38.743]  But hey, don't feel bad.
[00:12:38.743 --> 00:12:48.847]  In New York and in San Francisco, this is out of CBS News, San Francisco's supervisors approved 220-foot, square-foot apartments.
[00:12:48.847 --> 00:12:51.028]  That's smaller than most jail cells.
[00:12:51.028 --> 00:12:54.990]  That includes the bathrooms, the bathroom and the kitchen and the closet.
[00:12:56.630 --> 00:12:59.512]  And there's barely room to lay down in it.
[00:12:59.512 --> 00:13:01.053]  And it's a 10 to 1 vote.
[00:13:01.053 --> 00:13:04.475]  And they say it's for the earth to cut our carbon footprint.
[00:13:04.475 --> 00:13:09.479]  And of course, what this is really about is, see, they can raise the taxes.
[00:13:09.479 --> 00:13:14.582]  They're talking about making you in San Francisco pay $10,000 a year if you own a 200, excuse me, 220 foot prison cell.
[00:13:22.479 --> 00:13:23.400]  And see, that's the model.
[00:13:23.400 --> 00:13:33.027]  They're going to raise property taxes on everyone until you cannot live anything but this.
[00:13:33.027 --> 00:13:35.790]  But then the globalists, they're all exempt from the taxes.
[00:13:35.790 --> 00:13:48.559]  Did you know in the EU, the EU bureaucrats who run elected, who actually run the EU and make 81% of UK laws now, even though the UK isn't officially part of it, did you know they're exempt from the EU-wide VAT?
[00:13:49.540 --> 00:13:55.002]  You don't believe me, just type in EU bureaucrats exempt from their own taxes.
[00:13:55.002 --> 00:13:57.423]  In fact, if you type that in, we'll show people a headline.
[00:13:57.423 --> 00:14:00.425]  We're also streaming video at PrisonPlanet.tv.
[00:14:00.425 --> 00:14:03.886]  We like to have a video record of that.
[00:14:03.886 --> 00:14:09.008]  And by the way, if you want to have a video record of this show, you can go to PrisonPlanet.tv.
[00:14:10.609 --> 00:14:11.550]  A membership is $0.59 a week.
[00:14:11.550 --> 00:14:12.150]  What is it?
[00:14:12.150 --> 00:14:14.451]  10 memberships for $5.95 a month.
[00:14:14.451 --> 00:14:15.912]  Whatever that comes down to.
[00:14:15.912 --> 00:14:18.354]  Create a username, passcode, just pays for the van.
[00:14:18.354 --> 00:14:20.575]  Yeah, yeah, yeah, $0.59.
[00:14:20.575 --> 00:14:21.856]  You get 10 memberships.
[00:14:33.919 --> 00:14:37.421]  You get, so I mean, how much is that a month?
[00:14:37.421 --> 00:14:38.501]  Folks, do the math out there.
[00:14:38.501 --> 00:14:41.703]  10 memberships for $5.95 a month.
[00:14:41.703 --> 00:14:58.671]  So you just buy one membership for $5.95, the same username and passcode, you can share with 10 people so they can be simultaneously logged in and read my book, Paul Watson's book, see all 25 of my films, dozens of other films, the nightly news, and the live stream six days a week of the TV show.
[00:14:58.671 --> 00:15:02.213]  The point is, we have that there as an archive of all
[00:15:02.893 --> 00:15:05.694]  The footage and material of 17 years.
[00:15:05.694 --> 00:15:06.875]  The site's been up for close to 10.
[00:15:06.875 --> 00:15:13.777]  And it just gets better and better all the time and it does finance a lot of what we're doing here to have a PrisonPlanet.TV membership.
[00:15:13.777 --> 00:15:19.059]  My point is, the reason I say that is we also then a day or so later post this stuff to YouTube for everybody.
[00:15:19.059 --> 00:15:24.182]  Those that are supporters at PrisonPlanet.TV kind of pay it forward and help get the word out.
[00:15:24.182 --> 00:15:28.443]  But YouTube just deleted 20 plus of the last week's videos.
[00:15:28.443 --> 00:15:29.224]  We didn't do it.
[00:15:29.224 --> 00:15:29.984]  They just deleted them.
[00:15:31.669 --> 00:15:33.470]  Uh, and they say we deleted it.
[00:15:33.470 --> 00:15:40.114]  So, I mean, you know, you just can't trust the new Web 2.0 system is where you're on their platforms, and they control what you do.
[00:15:40.114 --> 00:15:44.757]  And the New American Magazine reported, as well as the Associated Press last week, the U.N.
[00:15:44.757 --> 00:15:52.201]  is set to be given control of the Internet and domain registry, as well as, um, the DNS server numbers.
[00:15:52.201 --> 00:15:59.565]  And Obama has signed a secret order that Congress isn't even allowed to see, uh, taking over the Internet with the Internet kill switch.
[00:16:00.376 --> 00:16:03.439]  Have you ever wanted to generate your own supply of electrical power?
[00:16:03.439 --> 00:16:05.421]  Even save money on your electric bill?
[00:16:05.421 --> 00:16:09.045]  If so, this could be one of the most important messages you will ever hear.
[00:16:09.045 --> 00:16:11.247]  Solar power generators are now available.
[00:16:11.247 --> 00:16:14.890]  These emergency backup systems provide life-saving electrical power.
[00:16:14.890 --> 00:16:20.977]  Unlike gas generators, a solar generator runs quietly, emits no fumes, and produces electricity from the sun.
[00:16:20.977 --> 00:16:24.360]  It's like having an electrical power plant running quietly in your own home.
[00:16:24.660 --> 00:16:29.424]  Run sump pumps, shortwave radios, computers, and even keep your food from spoiling.
[00:16:29.424 --> 00:16:35.390]  Whether it's hurricanes, ice storms, brownouts or blackouts, you'll never suffer through painful power outages again.
[00:16:35.390 --> 00:16:36.671]  And here's the best news.
[00:16:36.671 --> 00:16:43.757]  A remarkable fall truckload sale is going on right now that gets you $1,700 in bonuses when you buy a solar generator.
[00:16:43.757 --> 00:16:47.841]  To find out why these solar generators are the best generators and get $1,700 in bonuses for doing so,
[00:16:49.582 --> 00:16:51.587]  Go to falltruckloadsale.com.
[00:16:51.587 --> 00:16:53.692]  That's falltruckloadsale.com.
[00:16:53.692 --> 00:16:55.857]  Generate your own supply of electricity.
[00:16:55.857 --> 00:16:57.921]  Go to falltruckloadsale.com.
[00:16:57.921 --> 00:16:59.725]  That's falltruckloadsale.com.
[00:17:02.347 --> 00:17:10.454]  If you want an American company with American products made by Americans, here is the Cal Ben Soap Company.
[00:17:10.454 --> 00:17:14.538]  Alex and his staff have used these pure soap products for years.
[00:17:14.538 --> 00:17:21.844]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[00:17:21.844 --> 00:17:24.327]  See them on the web at 5starsoap.com.
[00:17:24.867 --> 00:17:29.708]  Or call 800-340-7091 for a free catalog.
[00:17:29.708 --> 00:17:35.629]  Buy the 1 to 2 month sample package and enjoy soaps that are twice as good as what you're using now.
[00:17:35.629 --> 00:17:41.051]  Or save big with a 1 to 2 year supply of soaps for all your cleaning needs.
[00:17:41.051 --> 00:17:43.031]  This is an amazing deal.
[00:17:43.031 --> 00:17:48.252]  You can save thousands of dollars and you will love the way Real Soap makes you feel.
[00:17:48.252 --> 00:17:50.433]  See them on the web at 5starsoap.com.
[00:17:51.013 --> 00:17:52.880]  Or call 800-340-7091 for a free catalog.
[00:18:00.018 --> 00:18:04.120]  Millions of people are going to get sick this winter from colds, flu, and other illnesses.
[00:18:04.120 --> 00:18:05.341]  Don't be one of them!
[00:18:05.341 --> 00:18:11.044]  Protect yourself with Supernatural Silver, a revolutionary new broad-spectrum antibacterial solution.
[00:18:11.044 --> 00:18:20.850]  Recent advances in silver technology have resulted in a silver solution that can be used daily to prevent bacteria, viruses, mold, and food poisoning, and help improve wound healing.
[00:18:20.850 --> 00:18:27.514]  Supernatural Silver is safe enough to consume every day, while powerful enough to destroy the causes of many serious diseases.
[00:18:27.634 --> 00:18:28.995]  We're good to go.
[00:18:48.573 --> 00:18:54.961]  Go to SupernaturalSilver.com today and use the promo code SILVER2012 for 20% off.
[00:18:54.961 --> 00:18:58.426]  That's SupernaturalSilver.com and like us on Facebook.
[00:19:00.120 --> 00:19:06.744]  Strategic relocation is a systematic way to think strategically in the future about how do I safeguard.
[00:19:06.744 --> 00:19:09.226]  Renowned author and expert, Joel Skousen.
[00:19:09.226 --> 00:19:09.606]  The U.S.
[00:19:09.606 --> 00:19:13.828]  isn't building huge underground bases and bunkers because of some terrorist threat.
[00:19:13.828 --> 00:19:16.790]  They know that a massive nuclear attack is coming.
[00:19:16.790 --> 00:19:18.291]  They want that attack to come.
[00:19:18.291 --> 00:19:24.455]  Joel Skousen is renowned as one of the world's foremost experts in strategic relocation and the securing of your home.
[00:19:24.861 --> 00:19:27.523]  What I tell people is that you do have time.
[00:19:27.523 --> 00:19:32.488]  We talk about natural disasters, the health environment, we talk about pollution, the water quality.
[00:19:32.488 --> 00:19:39.914]  My personal experience about being in every one of these states, most people won't even be ready, won't be able to get out of town, because there'll be absolute panic.
[00:19:40.234 --> 00:19:42.996]  There is no preparedness without strategy.
[00:19:42.996 --> 00:19:46.098]  This Christmas, give the gift of preparedness.
[00:19:46.098 --> 00:19:50.661]  Strategic Relocation the film with Joel Skousen and Alex Jones.
[00:19:50.661 --> 00:20:01.469]  Available only at InfoWarsShop.com or by calling 888-253-3139.
[00:20:01.469 --> 00:20:03.010]  Coast to Coast.
[00:20:03.010 --> 00:20:05.071]  Direct from Austin.
[00:20:05.071 --> 00:20:08.253]  You're listening to the Alex Jones Broadcasting Network.
[00:20:10.666 --> 00:20:18.991]  From the front lines of the information war, it's Alex Jones.
[00:20:18.991 --> 00:20:28.277]  By the way, if you are a new listener, and you're tuning in for the first time, and you hear some things that sound crazy, we are not joking.
[00:20:28.277 --> 00:20:35.282]  When I am engaged in satire, which I do occasionally, I will tell you up front, and at the end of it, that it's satire.
[00:20:35.282 --> 00:20:37.363]  This is not satire.
[00:20:37.363 --> 00:20:38.884]  I do agree with you though, it's crazy.
[00:20:40.188 --> 00:20:46.293]  But I get called crazy a lot because I'm covering insane things.
[00:20:46.293 --> 00:20:49.316]  You know, Hitler did a lot of really crazy stuff.
[00:20:49.316 --> 00:20:53.559]  Doesn't mean you're crazy if you wrote about what Hitler did.
[00:20:53.559 --> 00:20:59.304]  Though, I've read some books on Hitler that read like a horror novel.
[00:20:59.304 --> 00:21:02.447]  Same thing on a book I read about Caligula.
[00:21:02.447 --> 00:21:04.388]  I read several books about Roman Emperors.
[00:21:05.572 --> 00:21:14.870]  You know, marrying their horses, ordering people murdered for no reason, dressing up like vampires at night and going out and murdering people.
[00:21:14.870 --> 00:21:17.995]  It's crazy, but we're not crazy for being informed.
[00:21:18.891 --> 00:21:31.300]  And a lot of kind of the yuppie class out there, they believe it's a sacrament of goodliness to be ignorant, to be foolish, and to be easily bamboozled.
[00:21:31.300 --> 00:21:42.988]  But when I get up here and explain that a world government is being formed, a private corporate world government, that the globalist crime syndicate bosses, this worldwide mafia themselves,
[00:21:44.009 --> 00:21:46.410]  Calls a new world order.
[00:21:46.410 --> 00:21:47.771]  That is not my opinion.
[00:21:47.771 --> 00:21:49.712]  That is not my view.
[00:21:49.712 --> 00:21:53.293]  That is a certified public fact.
[00:21:53.293 --> 00:22:01.737]  There are hundreds of videos online with heads of state of every major country calling for a private corporate global government.
[00:22:03.013 --> 00:22:12.444]  And we made the film, I produced the film a few years ago, that's on DVD, that's excellent, called Invisible Empire, that Jason Burma's directed.
[00:22:12.444 --> 00:22:16.970]  It's gotta have over a hundred clips in it, with different world leaders calling for global government.
[00:22:18.317 --> 00:22:20.899]  And it is an unelected global government.
[00:22:20.899 --> 00:22:36.750]  You know, I have so many, quote, liberals come up to me and say, well, hey, you know, didn't we go from hunter-gatherers to agrarian farmers to small civilization city-states?
[00:22:37.510 --> 00:22:45.594]  To regions, to countries, to empires, and now it's time for Star Trek, one world government?
[00:22:45.594 --> 00:22:59.100]  Well, this is a one world government run by very nasty social engineers who think the general public are a bunch of dumb animals and have engineered things so that that is a self-fulfilling prophecy.
[00:22:59.100 --> 00:23:06.083]  And so I find that so many people that sign on to the New World Order, they kind of are make-believing that they're part of the system.
[00:23:07.791 --> 00:23:12.153]  And that, well, yes, we are carrying out eugenics.
[00:23:12.153 --> 00:23:14.353]  Well, yes, they are putting things in the water.
[00:23:14.353 --> 00:23:17.154]  You know, there are too many people, Alex.
[00:23:17.154 --> 00:23:20.695]  And I'm like, but they're doing it to you, too.
[00:23:20.695 --> 00:23:31.819]  So what it is is a bunch of idiots who kind of follow along with the globalist juggernaut overrunning society, and they kind of run in front of it like they're part of it.
[00:23:31.819 --> 00:23:34.060]  Even though it's going to suck them in as well.
[00:23:35.761 --> 00:23:39.524]  But here is the Daily Express.
[00:23:39.524 --> 00:23:42.446]  It's also in the Sunday Express newspaper.
[00:23:42.446 --> 00:23:46.989]  Eurocrats told keep dodging taxes.
[00:23:46.989 --> 00:23:50.872]  European Union court rules they do not have to pay any income taxes.
[00:23:50.872 --> 00:23:52.974]  I mean, there it is.
[00:23:52.974 --> 00:23:55.516]  Everybody else has to pay it and has to pay VAT.
[00:23:55.516 --> 00:23:58.718]  They are exempt because they're dictators.
[00:23:58.718 --> 00:24:01.880]  And who got the countries of Europe to sign on back in 1967?
[00:24:06.479 --> 00:24:07.580]  They had a meeting every 10 years.
[00:24:07.580 --> 00:24:07.660]  47, 57, 67.
[00:24:07.660 --> 00:24:09.562]  You can debate when the Euro got really set up.
[00:24:09.562 --> 00:24:10.963]  Or you can fast forward to 97.
[00:24:10.963 --> 00:24:11.964]  Every 10 years they met.
[00:24:11.964 --> 00:24:12.905]  47, 57, 67, 77, 87, 97.
[00:24:12.905 --> 00:24:13.766]  And then they had the... What was it?
[00:24:13.766 --> 00:24:14.607]  The 60th anniversary of the Euro in 2000.
[00:24:14.607 --> 00:24:16.528]  So you can see where they think it began.
[00:24:34.059 --> 00:24:39.642]  If they had the 60th anniversary in 2007, well, then you know when they believe the Euro began.
[00:24:39.642 --> 00:24:42.343]  But the general public's told it began in 2000.
[00:24:42.343 --> 00:24:46.366]  But it started by getting the countries, oh, we're just signing on to an economic deal.
[00:24:46.366 --> 00:24:49.747]  We're just signing on to a trade pact, kind of like NAFTA again.
[00:24:49.747 --> 00:24:52.009]  And then the public's like, well, let us see this.
[00:24:52.009 --> 00:24:59.533]  Well, it's a secret order, kind of like Bush's order creating the North American Union with Vicente Fox of Mexico.
[00:25:01.536 --> 00:25:05.438]  Also, the Canadian Prime Minister was part of that at Waco, Texas in 2005.
[00:25:05.438 --> 00:25:14.804]  That order is still secret, though parts of it have been released under four-year lawsuits by Judicial Watch, of all people, of all groups.
[00:25:14.804 --> 00:25:24.370]  And right there, we are under a North American Union, and it's already signed a deal with the European Union, and we're already under a global government right now.
[00:25:24.370 --> 00:25:28.453]  And that's what's so frustrating, is that we're so far down this thing
[00:25:29.935 --> 00:25:58.901]  And we've already lost so much sovereignty that Obama, this year, in two different speeches, and then in three different congressional hearings, the Joint Chiefs and the Chairman told Congress, we played the clips here at Nauseam, you can type in, Congress told NATO and UN over military, the President said, not only is Congress not over war now, even though over the purse and the power to declare war and everything, and over taxes, it's right there in the Constitution,
