[00:00:09.882 --> 00:00:10.362]  Media.
[00:03:03.127 --> 00:03:06.588]  funds Al Qaeda, the so-called interests that have hijacked our nations do.
[00:03:06.648 --> 00:03:09.789]  And then we'll have to have a, of course, occupation.
[00:03:11.518 --> 00:03:19.500]  This is now happening all over Africa to stop the spread of the rats that the Pied Piper himself has released.
[00:03:20.061 --> 00:03:22.621]  It's the old Pied Piper story.
[00:03:23.662 --> 00:03:27.623]  And they're getting ready for this big battle between Shiites and Sunnis with the West.
[00:03:27.803 --> 00:03:33.084]  Well, the Ayatollah, the head honcho, said war within weeks.
[00:03:33.424 --> 00:03:35.225]  That's the kind of news we have here today.
[00:03:37.405 --> 00:03:38.286]  And so it'll be the
[00:03:40.168 --> 00:03:47.515]  Wahhabi backed Al Qaeda, jihading all of the moderate states like Egypt, Libya, and Syria.
[00:03:48.936 --> 00:03:53.860]  Getting rid of them and then jihading around and putting women back in burqas and all the rest of it on TV.
[00:03:55.622 --> 00:04:04.310]  And then it will, at the same time, bomb the daylights out of the Iranians and attack Hezbollah forces in Lebanon.
[00:04:06.038 --> 00:04:12.421]  And then the news is gonna say, when there's terror attacks in the country, Al-Qaeda did it, and that Al-Qaeda is based in Iran.
[00:04:13.302 --> 00:04:23.307]  That's like saying, Lex Luthor, Lex Luthor is the friend of Spider-Man, or is Spider-Man.
[00:04:24.497 --> 00:04:29.199]  Of course, it's a character from a whole different genre, but anyone who knows comic books would understand that instantly.
[00:04:29.219 --> 00:04:32.460]  Or it'd be like saying Lex Luthor is actually Superman.
[00:04:33.040 --> 00:04:34.560]  People are like, well, that's obviously not true.
[00:04:34.900 --> 00:04:35.981]  Well, I mean, it's the same thing here.
[00:04:36.761 --> 00:04:38.302]  They're always saying Iran runs Al Qaeda.
[00:04:38.382 --> 00:04:46.825]  It's like saying Coke runs Pepsi, or Chevy runs Ford, or the 49ers are the Redskins.
[00:04:46.865 --> 00:04:47.805]  I mean, it's just not true.
[00:04:48.928 --> 00:04:49.589]  But it doesn't matter.
[00:04:49.629 --> 00:04:53.576]  The public knows football and they know comic book characters.
[00:04:53.636 --> 00:04:57.603]  They don't know who Al-Qaeda is, who Hezbollah is.
[00:04:58.284 --> 00:04:59.646]  And that is why we're slaves.
[00:04:59.706 --> 00:05:00.487]  That is why we fail.
[00:05:05.029 --> 00:05:08.630]  Hi folks, this is Alex Jones and I want to tell you about the Silver Lungs Generator.
[00:05:08.990 --> 00:05:17.112]  Now you can produce pure and endless colloidal silver and deliver the solution directly into the bloodstream by breathing the solution through the lungs.
[00:05:17.853 --> 00:05:21.874]  The respiratory system is the first line of defense for airborne pathogens and viruses.
[00:05:22.474 --> 00:05:33.297]  The Silver Lungs Generator infuses the respiratory system with your self-produced nano-silver solutions and also delivers the silver nanoparticles instantly into the bloodstream.
[00:05:33.917 --> 00:05:42.945]  With continued legislation threatening the sale of nano silver products, you can now produce pure and endless colloidal silver with the Silver Lungs Generator.
[00:05:43.446 --> 00:05:48.490]  Very easy to follow step-by-step instructions are provided, making production fast and simple.
[00:05:48.871 --> 00:05:56.057]  Go to www.SilverLungs.com today and learn more about the breakthrough technology of the Silver Lungs Generator.
[00:05:56.377 --> 00:05:59.120]  That's www.SilverLungs.com.
[00:06:02.967 --> 00:06:08.210]  Sick of the globalist eugenicist control freaks adding poison to your water and laughing as you get sick and die?
[00:06:08.451 --> 00:06:10.672]  Start purifying your water with ProPure.
[00:06:10.872 --> 00:06:19.818]  My friends, I've done a lot of research, and the best gravity filter out there bar none is ProPure, and it's available discounted at InfoWars.com.
[00:06:19.978 --> 00:06:23.160]  Its filters are silver and pregnant to prevent bacterial growth.
[00:06:23.420 --> 00:06:24.841]  There's no priming required.
[00:06:25.101 --> 00:06:27.143]  It's NSF-42 certified.
[00:06:27.383 --> 00:06:29.864]  Optional fluoride filters can reduce fluoride up to 95%.
[00:06:30.945 --> 00:06:32.265]  Easy to set up and use.
[00:06:32.465 --> 00:06:33.766]  Doesn't require electricity.
[00:06:33.886 --> 00:06:36.726]  Purify water from lakes, streams, ponds, and wells.
[00:06:37.047 --> 00:06:40.207]  This filter system leaves in beneficial minerals, which is key.
[00:06:40.427 --> 00:06:42.208]  Save money by not buying bottled water.
[00:06:42.328 --> 00:06:44.408]  And avoid BPA that leaches from the plastic.
[00:06:44.568 --> 00:06:47.169]  ProPure is the best gravity-fed filter out there.
[00:06:47.309 --> 00:06:48.609]  It's what my family uses.
[00:06:48.869 --> 00:06:52.090]  Infowars.com already has the lowest price on ProPure.
[00:06:52.190 --> 00:06:57.812]  But if you add the promo code WATER at checkout, you get an additional 10% off at Infowars.com.
[00:06:58.032 --> 00:06:59.172]  You can also call to order.
[00:06:59.292 --> 00:06:59.332]  888-253-3139.
[00:07:20.308 --> 00:07:25.011]  So our friends at Solutions from Science have put together the perfect mix of non-hybrid seeds.
[00:07:25.532 --> 00:07:27.453]  They call it a Survival Seed Bank.
[00:07:27.853 --> 00:07:32.456]  And it can produce an endless supply of nutrient-dense food for you and your family.
[00:07:32.656 --> 00:07:33.557]  And here's the best part.
[00:07:33.777 --> 00:07:36.539]  These seeds have not been genetically modified in any way.
[00:07:36.839 --> 00:07:40.141]  And you actually get enough seeds to plant a full acre crisis garden.
[00:07:40.462 --> 00:07:43.303]  So visit them today at survivalseedbank.com.
[00:07:43.644 --> 00:07:45.545]  That's survivalseedbank.com.
[00:07:45.865 --> 00:07:46.806]  Or give them a call at 877-327-0365.
[00:07:50.428 --> 00:07:51.109]  That's 877-327-0365.
[00:07:51.869 --> 00:07:59.175]  Remember, in a real crisis, non-hybrid seeds are the ultimate barter item.
[00:07:59.496 --> 00:08:01.957]  This is Alex Jones for SurvivalSeedBank.com.
[00:08:03.158 --> 00:08:08.223]  The Genesis Communications Radio Network proudly presents the Alex Jones Show.
[00:08:08.563 --> 00:08:10.845]  Because there's a war on for your mind.
[00:08:14.548 --> 00:08:15.168]  Yeah, we're good.
[00:08:31.806 --> 00:08:39.947]  Well, the head Ayatollah over in Iran is saying that there will be war with the West within weeks.
[00:08:39.987 --> 00:08:40.968]  We're going to be going over that.
[00:08:40.988 --> 00:08:44.048]  Paul Watson has an article on that at Infowars.com.
[00:08:45.408 --> 00:08:54.850]  They are relaunching Kony 2012, even though it was exposed as a total PR stunt fraud, as a pretext to invade every country of Africa.
[00:08:55.550 --> 00:09:00.991]  They've had Congress try to pass resolutions saying they can invade any country because of Kony, who hasn't been seen in almost six years.
[00:09:02.304 --> 00:09:03.806]  and controlled a few hundred square miles.
[00:09:14.790 --> 00:09:25.612]  Putting out fake photos of massacres, fake television broadcasts of massacres, and we're going to be showing some of that if you're watching at PrisonPlanet.tv.
[00:09:25.652 --> 00:09:28.693]  If not, just go to Paul Watson's article.
[00:09:29.373 --> 00:09:34.134]  Also, Aaron Dykes wrote an article last night going over all of that.
[00:09:34.274 --> 00:09:37.915]  Wag the Dog Media published Photoshop forgery.
[00:09:38.415 --> 00:09:39.455]  We can show that right now.
[00:09:41.155 --> 00:09:43.696]  To sell image of war-torn Syria.
[00:09:45.819 --> 00:09:50.285]  And you can see the real image on bottom and on top, they put the bombed out city behind them.
[00:09:50.525 --> 00:09:51.466]  This is standard.
[00:09:52.207 --> 00:09:55.211]  In fact, if we go to Aaron Dykes' article, it's more detailed than that one.
[00:09:55.591 --> 00:10:00.617]  It's titled, Wag the Dog Media Publish Photoshop Forgery to Sell Image of War-Torn Syria.
[00:10:00.998 --> 00:10:03.861]  We show when CNN got caught doing fake broadcast.
[00:10:04.842 --> 00:10:05.503]  I don't think so.
[00:10:25.268 --> 00:10:40.313]  Across Eastern Syria is run by Al Qaeda and they are just lining up Jews and Christians and killing them, blowing up churches, blowing up synagogues, because that was one of the most open societies for religion in the Middle East.
[00:10:41.153 --> 00:10:45.095]  And, uh, the women were most of the college graduates and, uh, did not wear burkas.
[00:10:45.376 --> 00:10:46.196]  Well, they are now.
[00:10:46.256 --> 00:10:52.019]  They're gonna be sexually mutilated, they're gonna wear burkas, and they're gonna be CIA-funded and commanded.
[00:10:52.880 --> 00:10:55.181]  And you better shut up and accept it.
[00:10:55.681 --> 00:10:56.202]  What are you?
[00:10:56.522 --> 00:10:57.523]  You know, anti-American?
[00:10:57.543 --> 00:10:58.623]  You gotta support Al-Qaeda.
[00:10:59.003 --> 00:11:00.584]  This is how ridiculous it is.
[00:11:00.624 --> 00:11:03.026]  This is why I said 9-11's an inside job.
[00:11:03.466 --> 00:11:06.448]  Al-Qaeda was created by the bankers that run this country.
[00:11:07.452 --> 00:11:10.734]  Al Qaeda is protected against Russia, against the Serbs.
[00:11:11.194 --> 00:11:12.555]  They are used everywhere.
[00:11:13.796 --> 00:11:17.178]  A lot of times the low-level jihadis below them actually believe in what they're doing.
[00:11:17.438 --> 00:11:24.242]  But the people on top of it are, on record, British intelligence, U.S.
[00:11:24.302 --> 00:11:28.464]  intelligence, and Israeli intelligence.
[00:11:28.904 --> 00:11:31.546]  Occasionally German, French, or Pakistan intelligence.
[00:11:32.086 --> 00:11:33.107]  Turkish intelligence.
[00:11:33.507 --> 00:11:34.488]  They are
[00:11:35.945 --> 00:11:41.007]  How many years have I told you, a decade at least, that Al Qaeda is the sword of the New World Order?
[00:11:41.588 --> 00:11:45.790]  I've called Al Qaeda the key of the New World Order, the skeleton key.
[00:11:45.830 --> 00:11:46.930]  What's a skeleton key do?
[00:11:48.070 --> 00:11:58.315]  Well, if you've got, say, an office building, and you've got, say, almost 50 people, like we have working in this 16,000 square foot facility,
[00:11:59.943 --> 00:12:05.530]  There are certain doors, like IT rooms, that you have to have a master key.
[00:12:05.710 --> 00:12:13.320]  I have a master key, a skeleton key, that opens every door in this facility.
[00:12:14.121 --> 00:12:16.344]  And that is what the New World Order is.
[00:12:17.415 --> 00:12:18.637]  I have a master code.
[00:12:18.657 --> 00:12:21.500]  We've got code locks as well that will open the doors.
[00:12:22.381 --> 00:12:23.622]  I have a skeleton key.
[00:12:24.383 --> 00:12:25.705]  And that's what Al Qaeda is.
[00:12:25.805 --> 00:12:35.776]  It is just a made up, cut out army where they can organize jihadis, terrorist groups, mercenaries, MI6, SAS commandos, dress them up.
[00:12:36.117 --> 00:12:36.957]  It's just a cut out.
[00:12:37.927 --> 00:12:39.808]  Uh, why is there a checkpoint on the highway, mommy?
[00:12:39.868 --> 00:12:40.688]  Why is there a drone?
[00:12:41.208 --> 00:12:43.389]  Why are they trying to force me with a knock, you know, with a shot?
[00:12:44.150 --> 00:12:46.291]  Uh, why is the IRS taking money out of my bank account?
[00:12:46.351 --> 00:12:47.211]  No judge, no jury.
[00:12:47.471 --> 00:12:53.574]  Well, honey, things changed after 9-11, where they ran drills of the towers being blown up.
[00:12:53.954 --> 00:12:55.115]  Tripod 2 that day.
[00:12:55.415 --> 00:12:56.555]  They said it wasn't true at the time.
[00:12:56.595 --> 00:12:58.096]  Later confirmed in congressional testimony.
[00:12:59.389 --> 00:13:01.050]  I can go on for about 10 hours if you like on 9-11.
[00:13:02.710 --> 00:13:06.712]  The official story is a lie, and it was used to take our freedoms.
[00:13:07.132 --> 00:13:18.798]  And now, in the LA Times, Associated Press, French News Agency, London Guardian, Asia Times, German National Television, are reporting that Al-Qaeda works for NATO.
[00:13:19.498 --> 00:13:21.699]  Al-Qaeda always worked for NATO.
[00:13:23.499 --> 00:13:31.083]  It isn't, oh, they made them in 79 under Zbigniew Brzezinski, and then they used them in the 80s against the Russians, and then they turned bad.
[00:13:31.163 --> 00:13:31.343]  No.
[00:13:33.124 --> 00:13:34.464]  Larry King Live, two days after 9-11.
[00:13:34.484 --> 00:13:35.605]  Somebody's got to find it.
[00:13:35.825 --> 00:13:39.827]  Had Bandar Bush on as his nickname, the Saudi prince, the U.S.
[00:13:39.867 --> 00:13:42.368]  ambassador from Saudi Arabia.
[00:13:43.649 --> 00:13:45.030]  Saudi Arabia is the ambassador of the U.S.
[00:13:45.630 --> 00:13:50.271]  And Larry King was calling him a coward and a scum, calling Bin Laden that.
[00:13:50.551 --> 00:13:52.412]  And he said, do not do this, my friend.
[00:13:52.452 --> 00:13:53.613]  He is a great man.
[00:13:54.173 --> 00:13:55.713]  He is known as a hero.
[00:13:55.733 --> 00:13:58.074]  And Larry King went, oh, I got you.
[00:13:58.194 --> 00:13:59.435]  Yeah, OK, and moved on.
[00:13:59.875 --> 00:14:01.715]  See, because over there, he's a hero.
[00:14:02.676 --> 00:14:05.757]  He used to radicalize to then create new armies.
[00:14:07.381 --> 00:14:09.302]  Listen, the bankers took over America.
[00:14:09.562 --> 00:14:14.064]  So they've got an Al-Qaeda force that will attack us or take the blame for attacks.
[00:14:14.524 --> 00:14:20.567]  And Saudi Arabia supplies its intelligence agents who do drills, which they believe, you know, helps.
[00:14:20.887 --> 00:14:23.008]  Oh, we're going to do some drills to see if we can hijack jets.
[00:14:23.348 --> 00:14:25.590]  You know, you'll just see if you can get on board with box cutters and stuff.
[00:14:25.810 --> 00:14:26.690]  They nerve gas them.
[00:14:26.870 --> 00:14:30.092]  That's what the only real calls that got through on air phones were.
[00:14:30.252 --> 00:14:30.772]  There's gas.
[00:14:30.812 --> 00:14:31.432]  We can't breathe.
[00:14:31.672 --> 00:14:32.393]  Multiple aircraft.
[00:14:32.413 --> 00:14:32.733]  Look it up.
[00:14:33.553 --> 00:14:34.834]  You put them on board, you nerve gas them.
[00:14:36.323 --> 00:14:37.144]  They were all trained at U.S.
[00:14:37.184 --> 00:14:37.904]  military bases.
[00:14:38.344 --> 00:14:39.845]  Highest security clearances.
[00:14:40.106 --> 00:14:41.306]  And I've interviewed the head of the U.S.
[00:14:41.387 --> 00:14:41.787]  Embassy.
[00:14:42.007 --> 00:14:44.629]  When they were ordered to let them in, they said, don't worry, they're not really terrorists.
[00:14:44.889 --> 00:14:46.510]  That's their cover designation.
[00:14:46.810 --> 00:14:50.033]  I could literally go for 10 hours straight.
[00:14:50.293 --> 00:14:59.159]  In fact, I think when we do that 24-hour marathon transmission that we'll do for the, what will it be, fifth annual money bomb?
[00:15:00.820 --> 00:15:02.882]  The fundraising to buy new equipment and hire more people.
[00:15:04.522 --> 00:15:08.505]  I pledge here that I will begin when I'm fresh at 11 a.m.
[00:15:08.605 --> 00:15:12.687]  on that day and I will go for 10 hours straight.
[00:15:12.967 --> 00:15:15.829]  Then I'll have other guest hosts and people in for the rest of the transmission and be back in the morning.
[00:15:16.430 --> 00:15:19.471]  I will do the ultimate 9-11 exposé.
[00:15:21.473 --> 00:15:25.015]  Because I've done 3, 4, 5 hour radio shows.
[00:15:25.435 --> 00:15:28.597]  I've got files everywhere just total proof.
[00:15:29.017 --> 00:15:29.658]  I will do that.
[00:15:30.518 --> 00:15:31.158]  We will do that.
[00:15:31.218 --> 00:15:32.699]  We will spend 10 hours
[00:15:34.838 --> 00:15:35.538]  Here on air.
[00:15:36.719 --> 00:15:38.439]  Just giving it to you, okay?
[00:15:38.459 --> 00:15:43.620]  Because, let me tell you, you look into 9-11, honey, baby, it's an inside job.
[00:15:43.841 --> 00:15:46.821]  They're like, how dare you say our firefighters do it?
[00:15:46.861 --> 00:15:52.803]  That's the weird meme that Popular Mechanics and all the rest of them try to use, you know, being government funded.
[00:15:54.944 --> 00:15:57.404]  And the great masters of yellow journalism.
[00:15:58.405 --> 00:16:02.326]  Inside job, and they're like, oh, you're saying they blow up the buildings, you're saying the firefighters did it.
[00:16:02.346 --> 00:16:03.086]  I'm like, excuse me?
[00:16:04.443 --> 00:16:06.024]  I'm not saying anything about firefighters.
[00:16:06.425 --> 00:16:07.346]  They were told to get back.
[00:16:07.386 --> 00:16:09.227]  It was being brought down for its safety.
[00:16:10.388 --> 00:16:12.450]  And a lot of them have spoken out on this show.
[00:16:14.532 --> 00:16:16.934]  They always juxtapose the heroes versus us.
[00:16:17.034 --> 00:16:17.834]  We're the bad men.
[00:16:18.415 --> 00:16:20.537]  No, we're just people that are willing to face the facts.
[00:16:20.797 --> 00:16:21.918]  You know, the facts are the facts.
[00:16:22.318 --> 00:16:25.541]  Even if you live in denial that 9-11 wasn't an inside job, it still is.
[00:16:25.941 --> 00:16:26.982]  It's still sitting right there.
[00:16:28.143 --> 00:16:31.666]  And the people running things are involved in it.
[00:16:33.171 --> 00:16:34.231]  NORAD stood down.
[00:16:34.471 --> 00:16:36.932]  There were drills of the buildings being hit, including the Pentagon.
[00:16:37.252 --> 00:16:38.113]  CIA drills.
[00:16:38.713 --> 00:16:42.354]  All the same stories, all the same M.O., all the same setup.
[00:16:42.694 --> 00:16:50.857]  And I've been sitting here on countless talk radio shows when they go, Alex, how dare you say the U.S.
[00:16:51.017 --> 00:16:51.837]  government did this?
[00:16:52.237 --> 00:16:53.577]  I didn't say the post office did it.
[00:16:54.358 --> 00:16:58.739]  I didn't say an FBI agent that investigates local bank robberies did it.
[00:16:59.319 --> 00:17:01.300]  I didn't say the average person in the military did it.
[00:17:02.165 --> 00:17:04.746]  But yeah, I said the Chairman of the Joint Chiefs of Staff was involved.
[00:17:06.606 --> 00:17:07.026]  Had to be.
[00:17:07.066 --> 00:17:07.946]  They ordered the stand-down.
[00:17:09.007 --> 00:17:15.448]  I've got the order, it's public, where Cheney took the shoot-down powers away from him a month and a half before and gave it back to him a week after.
[00:17:16.468 --> 00:17:18.149]  I've interviewed survivors in the Pentagon.
[00:17:18.169 --> 00:17:19.669]  I mean, I've done my work.
[00:17:19.749 --> 00:17:20.669]  I've done my research.
[00:17:21.109 --> 00:17:22.130]  I know what happened.
[00:17:23.170 --> 00:17:26.811]  But here we are today, they think you're so stupid
[00:17:29.178 --> 00:17:36.887]  The system thinks you're so dumb they put out fake newscasts with fake machine gun fire.
[00:17:36.907 --> 00:17:39.450]  Remember CNN got caught not even being in Israel?
[00:17:40.453 --> 00:17:47.156]  Or collate with nerve gas hitting and things and but they were sending out the feed on the satellite and folks recorded it.
[00:17:48.357 --> 00:18:02.044]  People at other networks and systems and later it was released just type in CNN faking Gulf War One and it's them making jokes and laughing and going oh I'm scared and you know they've got a set out there with a fake palm tree up on the roof of CNN Center in Atlanta.
[00:18:05.188 --> 00:18:09.490]  It's all a joke, but only because you like being chumps, ladies and gentlemen.
[00:18:09.650 --> 00:18:16.714]  And they've put out more fake videos, more fake newscasts, and by the way, they almost have no viewers now, even with fake Nielsen ratings.
[00:18:17.334 --> 00:18:17.914]  They're a joke.
[00:18:18.475 --> 00:18:26.799]  No one wants to watch an effeminate CIA agent, Anderson Cooper, prance around on television lying to us.
[00:18:27.759 --> 00:18:32.442]  I mean, we get you're an aster and all the rest of us are scum, but we're awake to you now.
[00:18:34.633 --> 00:18:35.233]  And it's the same.
[00:18:35.313 --> 00:18:39.435]  Fox News is totally freaking everybody out now with constant gun bashing.
[00:18:39.455 --> 00:18:43.616]  I was talking to Mancow this morning, and he was a guest on Fox, I think he said last week.
[00:18:43.896 --> 00:18:45.497]  They were going, why not ban Semi-Auto?
[00:18:45.557 --> 00:18:46.277]  Isn't that reasonable?
[00:18:46.537 --> 00:18:49.438]  That's the new talking point the teleprompter readers read off of.
[00:18:49.458 --> 00:18:51.419]  And he was like, no.
[00:18:53.079 --> 00:18:54.680]  Big guns make the bad guys die.
[00:18:58.201 --> 00:19:00.942]  Big guns, if there's rioting and collapsing, you need them.
[00:19:02.226 --> 00:19:05.647]  In fact, you don't need fully auto.
[00:19:05.707 --> 00:19:07.027]  You don't want full auto.
[00:19:07.667 --> 00:19:11.368]  You want two words, or two terms.
[00:19:11.808 --> 00:19:18.849]  High capacity, but even more important than high capacity, you want this two words.
[00:19:19.249 --> 00:19:21.210]  High powered.
[00:19:22.830 --> 00:19:24.910]  You want high powered rifles.
[00:19:26.470 --> 00:19:29.111]  I mean, if you're ever really going to use a rifle to protect yourself,
[00:19:30.267 --> 00:19:32.828]  You want that word, high-powered.
[00:19:33.369 --> 00:19:34.690]  High-powered.
[00:19:35.150 --> 00:19:36.371]  High-powered.
[00:19:37.071 --> 00:19:37.671]  High-powered!
[00:19:38.732 --> 00:19:41.093]  And I tell ya, again, you want high-powered.
[00:19:41.634 --> 00:19:42.414]  That's what it's all about.
[00:19:42.434 --> 00:19:43.515]  High-powered rifles.
[00:19:44.415 --> 00:19:45.436]  That's everything.
[00:19:45.456 --> 00:19:46.216]  High-powered.
[00:19:46.797 --> 00:19:50.799]  I'd rather be at 500 yards away from somebody or 1,000 yards with a high-power.
[00:19:50.819 --> 00:19:54.201]  A high-power scope and a high-power cartridge.
[00:19:55.061 --> 00:19:55.482]  50 cal.
[00:19:57.062 --> 00:19:57.623]  Lapua.
[00:19:58.902 --> 00:20:00.323]  The list goes on and on.
[00:20:00.363 --> 00:20:00.923]  Stay with us.
[00:20:03.305 --> 00:20:06.367]  Alex Jones here with a very important announcement for Truth Seekers.
[00:20:06.768 --> 00:20:12.472]  We've carried a lot of amazing films and books over the years on the online video bookstore at Infowars.com.
[00:20:12.692 --> 00:20:19.096]  And out of all the titles we've carried, one stands out because it is just so chillingly convincing.
[00:20:19.276 --> 00:20:24.700]  And that's Dreams from My Real Father by Joel Gilbert, available at Infowars.com.
[00:20:24.980 --> 00:20:28.623]  This film exposes the fraud that Obama is like nothing I've seen.
[00:20:28.803 --> 00:20:32.364]  If you want to know who Obama's real daddy is, this is the film for you.
[00:20:32.604 --> 00:20:36.986]  Don't forget, your purchase supports our broadcast and our growing media network.
[00:20:37.206 --> 00:20:39.527]  You'll also find it at Infowarshop.com.
[00:20:39.687 --> 00:20:43.248]  None Dare Call a Conspiracy by Gary Allen, the book that woke me up.
[00:20:43.548 --> 00:20:47.810]  We're also carrying Behind the Green Mask, UN Agenda 21, by Rosa Corey.
[00:20:47.990 --> 00:20:50.631]  This book is coffin nails to the globalist takeover.
[00:20:50.931 --> 00:20:57.474]  The Greater Good, the most professional and up-to-date film I've ever seen exposing the scourge that is vaccines.
[00:20:57.754 --> 00:21:02.016]  These titles and a lot more are all available at InfoWarshop.com.
[00:21:03.223 --> 00:21:10.385]  HempUSA.org has a revolutionary wonder food for detoxing the body and rebuilding the immune system.
[00:21:10.565 --> 00:21:18.907]  Microplant powder can help unclog arteries and soften heart valves while removing heavy metals, virus, fungus, bacteria, and parasites.
[00:21:19.087 --> 00:21:22.628]  Plus it cleans and purifies the blood, lungs, stomach, and colon.
[00:21:22.808 --> 00:21:25.768]  Keep your body clean with Microplant Powder.
[00:21:26.069 --> 00:21:29.309]  Visit us at HempUSA.org or call 908-691-2608 today!
[00:21:32.811 --> 00:21:33.872]  Hi, this is Ted Anderson.
[00:21:34.052 --> 00:21:38.435]  Have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold IRAs?
[00:21:38.635 --> 00:21:44.319]  They've been available since 1986, yet the financial industry won't recognize the value of gold for your retirement.
[00:21:44.439 --> 00:21:47.841]  Gold has outperformed paper investments, yet no word about IRAs.
[00:21:48.061 --> 00:21:50.683]  If you would like to have gold for your retirement, call 800-686-2237.
[00:21:50.783 --> 00:21:55.706]  Don't get left behind by rising inflation and low returns.
[00:21:55.846 --> 00:21:56.127]  Call 800-686-2237.
[00:21:56.147 --> 00:21:57.488]  Secure your future and call 1-800-686-2237.
[00:22:02.971 --> 00:22:07.974]  We all know that Berkey water purification systems are the most trusted name in water filtration.
[00:22:08.194 --> 00:22:17.320]  As an authorized Berkey dealer for over six years and serving thousands of satisfied customers, the Berkey guy offers amazing specials for Berkey water filtration systems.
[00:22:17.560 --> 00:22:31.589]  The Berkey light systems include a set of self-sterilizing and recleanable black purification elements that purify water by removing chlorine, pathogenic bacteria, cysts and parasites to non-detectable levels and remove harmful chemicals such as herbicides and pesticides.
[00:22:31.869 --> 00:22:39.818]  Order the Berkey Light System today, complete with two black Berkey elements for only $231, and the Berkey Guy will ship your order free of charge.
[00:22:39.998 --> 00:22:45.585]  With the purchase of a Berkey Light, the Berkey Guy is also offering a set of fluoride and arsenic filters for only $39.99.
[00:22:45.685 --> 00:22:46.846]  That's over 30% off the retail price.
[00:22:49.349 --> 00:22:53.610]  Call the Berkey Guy at 1-877-886-3653.
[00:22:53.670 --> 00:22:57.452]  That's 1-877-886-3653.
[00:22:57.992 --> 00:23:00.193]  Or order online at GoBerkey.com.
[00:23:00.333 --> 00:23:02.293]  That's GoBerkey.com today.
[00:23:02.633 --> 00:23:07.955]  American gardeners and fellow Patriots make the right choice with your money, time, and your family food supply.
[00:23:08.095 --> 00:23:13.077]  Choose 100% pure heirloom seeds in the Survival Seed Vault from MyPatriotsupply.com.
[00:23:13.277 --> 00:23:14.118]  Why spend more?
