[00:00:00.049 --> 00:00:00.650]  We've got it!
[00:13:32.872 --> 00:13:35.814]  Rise of the Dark Knight, whatever the new name of the film is.
[00:13:35.834 --> 00:13:36.855]  What's the new name of the film?
[00:13:37.015 --> 00:13:38.376]  I forget to even name my video on it.
[00:13:39.076 --> 00:13:39.377]  Leaked!
[00:13:39.637 --> 00:13:40.157]  Okay, Leaked!
[00:13:40.217 --> 00:13:40.978]  Rise of the Dark Knight.
[00:13:44.577 --> 00:13:56.928]  In there I show news articles where beaches for two years all over the world were upwards of half empty because everyone thought the big mechanical shark was out there and going to eat them.
[00:13:57.208 --> 00:13:58.149]  And I've looked up the average.
[00:13:58.249 --> 00:14:02.173]  It's less than five people a year worldwide killed by great whites.
[00:14:02.573 --> 00:14:06.377]  It's like 12 on average total shark deaths combined.
[00:14:07.461 --> 00:14:10.166]  All sharks, tigers, makos, you name it.
[00:14:10.867 --> 00:14:13.171]  Less than 12, less than 5 great whites.
[00:14:13.572 --> 00:14:15.936]  And I can't get hardly anyone I know...
[00:14:18.346 --> 00:14:28.033]  Back in college, when we'd go deep-sea fishing two or three times a year, sometimes it'd be still out in the middle of the Gulf of Mexico, 80 miles out there, 50 miles out there, catching tuna, catching mahi-mahi, everything.
[00:14:28.333 --> 00:14:29.954]  And no one would ever get in the water with me.
[00:14:29.994 --> 00:14:31.855]  They'd go, oh, the jaws is gonna get you!
[00:14:33.817 --> 00:14:34.917]  Oh my gosh, you're so brave.
[00:14:34.997 --> 00:14:35.478]  Oh, really?
[00:14:35.978 --> 00:14:44.404]  Because I statistically know that I've got a better chance of being struck by lightning twice in one year than to be attacked by a shark.
[00:14:47.887 --> 00:14:52.189]  Again, it shows how the system can implant this idea.
[00:14:52.209 --> 00:14:54.190]  You're like, what does it have to do with Batman?
[00:14:54.710 --> 00:14:58.572]  Well, in all these Batman movies, in all these movies, there's terrorists, buildings are blowing up.
[00:14:58.872 --> 00:15:04.094]  It creates a subconscious idea, just like Jaws does with sharks, and then nobody wants to go swimming to this day.
[00:15:04.114 --> 00:15:09.877]  I got family won't go in over their knees because of sharks!
[00:15:12.198 --> 00:15:13.779]  And it's the same thing with terrorism.
[00:15:13.879 --> 00:15:16.000]  It is almost imaginary.
[00:15:17.097 --> 00:15:18.358]  Almost imaginary.
[00:15:19.618 --> 00:15:22.019]  Your chances of being killed by a terrorist.
[00:15:22.939 --> 00:15:30.522]  Even if most of the time they weren't funded by shadowy intelligence agencies that want to increase their funding and have mission creep and expand on the streets of America.
[00:15:31.783 --> 00:15:33.063]  But I'm already digressing.
[00:15:34.084 --> 00:15:43.147]  When we come back, the real threat, or threats, we're going to get into a report at a KSDK
[00:15:45.424 --> 00:15:49.670]  Where hundreds of tanks are being prepared for the American people.
[00:15:50.131 --> 00:15:57.622]  And in my article, I give links to where the army says it's for us, and then a minority of people are commenting saying I'm making it up.
[00:15:58.724 --> 00:16:01.088]  I mean, the Pentagon admits they're preparing for war with us.
[00:16:02.384 --> 00:16:07.625]  Sick of the globalist eugenicist control freaks adding poison to your water and laughing as you get sick and die?
[00:16:07.865 --> 00:16:10.085]  Start purifying your water with ProPure.
[00:16:10.285 --> 00:16:19.227]  My friends, I've done a lot of research and the best gravity filter out there bar none is ProPure and it's available discounted at InfoWars.com.
[00:16:19.387 --> 00:16:22.568]  Its filters are silver impregnated to prevent bacterial growth.
[00:16:22.828 --> 00:16:24.248]  There's no priming required.
[00:16:24.528 --> 00:16:26.549]  It's NSF 42 certified.
[00:16:26.789 --> 00:16:29.189]  Optional fluoride filters can reduce fluoride up to
[00:16:29.789 --> 00:16:31.691]  95% easy to set up and use.
[00:16:31.891 --> 00:16:33.172]  Doesn't require electricity.
[00:16:33.312 --> 00:16:36.174]  Purify water from lakes, streams, ponds, and wells.
[00:16:36.475 --> 00:16:39.637]  This filter system leaves in beneficial minerals, which is key.
[00:16:39.857 --> 00:16:43.840]  Save money by not buying bottled water and avoid BPA that leaches from the plastic.
[00:16:44.001 --> 00:16:46.603]  ProPure is the best gravity-fed filter out there.
[00:16:46.723 --> 00:16:48.044]  It's what my family uses.
[00:16:48.304 --> 00:16:51.526]  Infowars.com already has the lowest price on ProPure.
[00:16:51.626 --> 00:16:57.251]  But if you add the promo code WATER at checkout, you get an additional 10% off at Infowars.com.
[00:16:57.471 --> 00:16:58.612]  You can also call to order.
[00:16:58.712 --> 00:16:58.752]  888-253-3139
[00:17:19.740 --> 00:17:24.443]  So our friends at Solutions from Science have put together the perfect mix of non-hybrid seeds.
[00:17:24.964 --> 00:17:26.885]  They call it a Survival Seed Bank.
[00:17:27.285 --> 00:17:31.888]  And it can produce an endless supply of nutrient-dense food for you and your family.
[00:17:32.088 --> 00:17:32.989]  And here's the best part.
[00:17:33.209 --> 00:17:35.971]  These seeds have not been genetically modified in any way.
[00:17:36.271 --> 00:17:39.573]  And you actually get enough seeds to plant a full acre crisis garden.
[00:17:39.894 --> 00:17:42.736]  So visit them today at SurvivalSeedBank.com.
[00:17:43.076 --> 00:17:44.977]  That's SurvivalSeedBank.com.
[00:17:45.317 --> 00:17:46.238]  Or give them a call at 877-327-0365.
[00:17:49.860 --> 00:17:52.001]  That's 877-327-0365.
[00:17:54.102 --> 00:17:58.604]  Remember, in a real crisis, non-hybrid seeds are the ultimate barter item.
[00:17:58.924 --> 00:18:01.385]  This is Alex Jones for survivalseedbank.com.
[00:18:02.806 --> 00:18:17.252]  You've heard Alex explain how the Silver Lungs Generator infuses the respiratory system with your self-produced colloidal silver solutions, yet many are unaware of the entire function of the Silver Lungs System and how it has been designed to deliver your silver solutions anywhere in or on the body.
[00:18:18.277 --> 00:18:21.979]  My name is Mario Cifaldi and I'm the developer of the Silver Lungs Generator.
[00:18:22.959 --> 00:18:34.965]  Not only does the Silver Lungs System produce endless colloidal and ionic silver solutions, it also comes equipped with the proper applicators and devices needed to deliver your silver solutions directly to key target areas.
[00:18:35.725 --> 00:18:43.009]  This includes the eyes, ears, nose, lungs, topically to the skin, and orally for the digestive system.
[00:18:43.689 --> 00:18:53.300]  Be sure to watch our new 7-minute video tour of the Silver Lungs System at www.SilverLungs.com to learn more about how the Silver Lungs System works.
[00:18:54.061 --> 00:18:57.325]  As well, we are always ready to answer any questions you may have.
[00:18:57.986 --> 00:19:01.109]  That's www.SilverLungs.com
[00:19:01.770 --> 00:19:05.916]  For a long time, you've heard me talk about building your own food supply with eFoods Direct.
[00:19:06.136 --> 00:19:09.841]  As a listener, you know why you need to have a supply of the best storable food on the planet.
[00:19:10.162 --> 00:19:13.847]  Every day, we document the attempts to take control of our lives.
[00:19:14.187 --> 00:19:16.190]  But there's one thing we can all control.
[00:19:16.410 --> 00:19:17.652]  Your greatest dependency.
[00:19:17.932 --> 00:19:18.233]  Food.
[00:19:18.653 --> 00:19:25.976]  eFoods Direct products are made with only the best ingredients and none of the trash and contaminants like trans fats, GMOs, or MSG.
[00:19:26.176 --> 00:19:28.477]  This food is nutrient-dense and tastes great.
[00:19:28.697 --> 00:19:32.338]  It's simple to make, portable, and has a shelf life of up to 25 years.
[00:19:32.639 --> 00:19:36.240]  Now with eFoods Direct, you'll get the most affordable, best-tasting food you can buy.
[00:19:36.540 --> 00:19:38.922]  And the new products and pricing will blow you away.
[00:19:39.143 --> 00:19:43.727]  Compared to other food sources, including home-cooked meals, you can cut your food cost in half.
[00:19:44.007 --> 00:19:45.648]  You just can't afford to ignore this.
[00:19:45.969 --> 00:19:51.354]  Call 800-409-5633 or go to efoodsdirect.com forward slash Alex for specials.
[00:19:51.634 --> 00:19:52.975]  Don't let this offer pass you by.
[00:19:53.155 --> 00:19:55.157]  Call 800-409-5633 or efoodsdirect.com forward slash Alex.
[00:19:55.217 --> 00:19:56.458]  More the best, for less guaranteed.
[00:20:03.277 --> 00:20:10.961]  Coast to coast, direct from Austin, you're listening to the Alex Jones Broadcasting Network.
[00:20:15.043 --> 00:20:22.768]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[00:20:24.710 --> 00:20:37.742]  Okay, coming up, I want to look at the threat of genetically modified organisms, explain exactly the different types that are out there, and tie it into the cattle deaths outside Austin, Texas, where I live, where this syndicated broadcast is coming to you from.
[00:20:37.762 --> 00:20:48.512]  Again, I'm pro-science, but I've been pro-nuclear, except that they don't ever keep the plants up or take care of them, and they're always melting down and blowing up because these companies just don't care.
[00:20:48.852 --> 00:20:49.313]  So I guess,
[00:20:50.916 --> 00:20:55.477]  I mean, it's kind of like I'm all for giving my children freedom until they're bad, and then I can't.
[00:20:55.757 --> 00:20:59.938]  You just can't trust these Fortune 500 companies with GMO, nuclear, any of it.
[00:20:59.999 --> 00:21:05.620]  It's just... I guess we can't trust ourselves with it, is my point, at this juncture.
[00:21:05.780 --> 00:21:07.401]  Wait till I get into these shocking findings.
[00:21:08.041 --> 00:21:08.881]  Now, first off...
[00:21:10.592 --> 00:21:22.736]  I'm not tootin' my horn here, but if there's anything I'm a leading national expert on for national television, print media, you name it, I am a admitted, recognized expert on the police state.
[00:21:23.777 --> 00:21:25.597]  And people say, you don't like police?
[00:21:25.757 --> 00:21:28.018]  A police state isn't not liking police.
[00:21:29.059 --> 00:21:29.719]  For new listeners.
[00:21:31.035 --> 00:21:32.716]  And some people say you're being condescending.
[00:21:32.756 --> 00:21:33.176]  No, I'm not.
[00:21:33.196 --> 00:21:34.237]  A lot of people don't understand this.
[00:21:34.257 --> 00:21:37.819]  In fact, I didn't understand this, that people weren't aware of this, so I'm going to explain it.
[00:21:38.199 --> 00:21:40.080]  A police state's like North Korea.
[00:21:40.680 --> 00:21:49.344]  It means you don't have any rights, any due process, there's secret police, you're being asked questions, there's cameras, you're being spied on, people are disappeared.
[00:21:49.985 --> 00:21:51.506]  Oh, all the things the U.S.
[00:21:51.546 --> 00:21:52.106]  is now doing.
[00:21:54.537 --> 00:21:57.301]  I mean, have you gone and looked at everything that authoritarian states do?
[00:21:57.942 --> 00:21:59.625]  Our so-called government is adopting it.
[00:21:59.945 --> 00:22:00.807]  That's the point I'm making.
[00:22:03.087 --> 00:22:08.790]  And it's not good for business, it's not good for life, it's not good for sustainability of a free market system.
[00:22:08.950 --> 00:22:12.552]  It's anathema to what the founding fathers believed in.
[00:22:13.032 --> 00:22:19.696]  So people who say they love America with the 4th of July coming up, do they actually know what the United States stands for?
[00:22:19.756 --> 00:22:21.437]  Because everything the U.S.
[00:22:21.477 --> 00:22:27.119]  stands for was built on is under total attack by the so-called federal government.
[00:22:27.440 --> 00:22:29.681]  It's self taken over by foreign banks on record.
[00:22:30.701 --> 00:22:31.802]  I'm going to explain that more later.
[00:22:32.984 --> 00:22:34.245]  But we've been captured.
[00:22:34.905 --> 00:22:40.928]  The national security state, all of it, has been taken over by financial interests, and that's why they can get away with bloody murder.
[00:22:42.169 --> 00:22:47.231]  And that's why the private Federal Reserve rules this country, and it's a consortium of foreign banks.
[00:22:47.431 --> 00:22:48.092]  Look it up!
[00:22:48.912 --> 00:22:51.614]  Ten years ago, I was called a conspiracy theorist for talking about that.
[00:22:51.974 --> 00:22:53.635]  Seventeen years ago, now it's admitted.
[00:22:55.015 --> 00:22:55.956]  But cut into the chase.
[00:22:57.193 --> 00:23:09.041]  Friday, Paul Watson, in the afternoon, one of our writers at Infowars.com and at PrisonPlanet.com, published an article sarcastically headlined, because they say that in the piece, Don't be alarmed!
[00:23:10.342 --> 00:23:13.844]  Army trains military police to drive tanks on US streets.
[00:23:14.624 --> 00:23:16.726]  Shottings of vehicles provokes fears of martial law.
[00:23:17.757 --> 00:23:22.679]  And it is a KSDK TV news piece.
[00:23:22.780 --> 00:23:23.960]  And we're going to play part of it here.
[00:23:24.620 --> 00:23:27.102]  We have their video embedded up at InfoWars.com.
[00:23:27.142 --> 00:23:29.323]  So you can go watch the whole thing there.
[00:23:31.204 --> 00:23:33.024]  I'd play the whole thing, folks, but it's copyright.
[00:23:33.064 --> 00:23:34.245]  We can fair use play a short clip.
[00:23:34.265 --> 00:23:35.686]  People are always like, why don't you play the whole thing?
[00:23:35.746 --> 00:23:39.227]  Well, I just gave you the answer for the umpteenth millionth time, but people still ask it.
[00:23:39.247 --> 00:23:39.728]  So there you go.
[00:23:40.048 --> 00:23:40.488]  Go watch.
[00:23:40.508 --> 00:23:42.269]  People are like, your YouTube report, you did on it.
[00:23:42.489 --> 00:23:44.130]  It's only got 30 seconds of the newscast.
[00:23:44.915 --> 00:23:46.636]  And we say, go there and watch the whole thing.
[00:23:46.756 --> 00:23:48.257]  I can't show you the entire deal.
[00:23:48.597 --> 00:23:49.978]  I really can't play the entire deal.
[00:23:50.238 --> 00:23:55.201]  I mean, technically I could, but then I have to stop and comment on each part, if you want to get technical.
[00:23:55.241 --> 00:23:56.482]  But, side issue.
[00:23:57.042 --> 00:23:57.743]  I'm digressing.
[00:23:59.981 --> 00:24:04.765]  About 80% of the commenters and the votes on YouTube, actually it's about 85%, agree with us.
[00:24:04.805 --> 00:24:05.586]  They understand.
[00:24:05.626 --> 00:24:07.288]  They're current or they're former military.
[00:24:07.588 --> 00:24:09.950]  They understand why it's not good to have military on the streets.
[00:24:09.990 --> 00:24:12.832]  They understand why you don't want to use tanks against the American people.
[00:24:13.153 --> 00:24:16.215]  They understand that that's the opposite of what our Constitution says.
[00:24:17.637 --> 00:24:19.658]  But there's three different groups attacking me.
[00:24:19.979 --> 00:24:22.181]  And again, I'm not reporting on this because they're attacking me.
[00:24:22.421 --> 00:24:24.363]  I'm reporting on it because it shows the mindset.
[00:24:24.383 --> 00:24:25.343]  You can learn a lot from this.
[00:24:26.244 --> 00:24:36.652]  One group says, Alex, yes, the military's training for locking down cities in martial law, but to keep us safe because the economy is collapsing.
[00:24:37.413 --> 00:24:39.014]  And they know it's going to collapse worldwide.
