[00:00:00.669 --> 00:00:01.590]  Alex Jones.
[00:03:56.443 --> 00:03:58.904]  37 years old and acts like a kid wearing a skull hat.
[00:03:59.926 --> 00:04:05.852]  I mean, if you're going to kill hundreds of people and he talks about shooting a woman and all this stuff, at least don't wear a skull hat, pal.
[00:04:05.872 --> 00:04:08.354]  I mean, you ought to be around enough death to not like it.
[00:04:08.374 --> 00:04:13.119]  It's kind of like when your dad catches you with cigarettes and puts you in a room with three packs of them.
[00:04:13.139 --> 00:04:14.460]  You know, that tends to break you of it.
[00:04:16.382 --> 00:04:17.543]  Okay, skull hats.
[00:04:17.703 --> 00:04:19.205]  I mean, it's just the Nazis did that.
[00:04:20.100 --> 00:04:21.301]  I mean, it's getting into death.
[00:04:21.401 --> 00:04:23.082]  Okay, we'll see where that takes the society.
[00:04:23.422 --> 00:04:27.525]  So I don't want to spend a lot of time on this today, but Bill O'Reilly had the guy on.
[00:04:27.585 --> 00:04:29.947]  I knew this would get big when I called Ty yesterday.
[00:04:29.967 --> 00:04:37.112]  It's got all the earmarks of a PSYOP, and the guy's got a book out, and he's tied into a group militarizing U.S.
[00:04:37.152 --> 00:04:38.533]  law enforcement with the Israelis.
[00:04:41.618 --> 00:04:43.119]  Hi folks, this is Alex Jones.
[00:04:43.339 --> 00:04:48.383]  I'm looking for people that have the wisdom to spot savings, opportunity, and recognize risk.
[00:04:48.643 --> 00:04:50.004]  Saving means to make money.
[00:04:50.184 --> 00:04:58.971]  The Cal Bend Pure Soap Company can save you thousands of dollars and give you good old-fashioned real soaps that are triple concentrated and twice as good as what you're using now.
[00:04:59.711 --> 00:05:06.817]  Soaps made from vegetable and coconut oils that contain no useless dyes, perfumes, deodorants, or antibacterials.
[00:05:07.238 --> 00:05:14.864]  Your risk is the hundreds of hazardous toxic detergents that give you rashes, itching sores, and deteriorating clothing called lint.
[00:05:15.244 --> 00:05:20.169]  If you want something better, if you want something you've never had before, you have to do something you've never done before.
[00:05:20.489 --> 00:05:22.651]  Getting a free catalog is easy by calling 800-340-7091.
[00:05:25.373 --> 00:05:28.336]  Call 800-340-7091 or see Calvin on the web at fivestarsoap.com.
[00:05:28.616 --> 00:05:36.543]  Take charge of your health now by calling 800-340-7091 or see Calvin on the web at fivestarsoap.com.
[00:05:41.423 --> 00:05:45.045]  Hundreds of nations have fallen to tyranny in the last century alone.
[00:05:45.426 --> 00:05:48.448]  This is our last chance to not relive history.
[00:05:48.688 --> 00:05:53.471]  As they're finishing off this agenda, they'll be pulling the rug from underneath Americans at home.
[00:05:53.491 --> 00:05:59.735]  We have tremendous influence on our President and Congress, and they really are calling the shots.
[00:05:59.875 --> 00:06:02.117]  I think it's incumbent upon all of us
[00:06:02.517 --> 00:06:02.757]  Tim Geithner?
[00:06:02.777 --> 00:06:02.937]  Bernanke?
[00:06:02.957 --> 00:06:03.378]  They're arsonists!
[00:06:03.458 --> 00:06:04.118]  They're asking for more matches!
[00:06:04.138 --> 00:06:05.860]  And the Congress is saying, who do we make the check out to?
[00:06:21.553 --> 00:06:28.462]  Today seems like nobody does care and right now in Washington DC we have seen a fall of the Republic.
[00:06:28.843 --> 00:06:37.955]  Get your copy of Fall of the Republic on DVD at InfoWars.com or watch it online right now in super high quality at PrisonPlanet.tv
[00:06:40.089 --> 00:06:43.894]  Did you ever think you'd be where you are, a decade into the 21st century?
[00:06:44.214 --> 00:06:46.116]  Record foreclosure rates for homes.
[00:06:46.517 --> 00:06:47.999]  If not yours, your neighbor's.
[00:06:48.359 --> 00:06:50.862]  Thankful for the unemployment checks since you were laid off.
[00:06:51.343 --> 00:06:57.831]  And placing your child's name on the angel tree in hopes of a Christmas gift, along with thousands of other Americans.
[00:06:58.311 --> 00:07:01.532]  Did you ever think your future would feel this out of control?
[00:07:01.552 --> 00:07:06.474]  The fact is, in all this craziness, there's only one thing you can control.
[00:07:06.774 --> 00:07:08.035]  Your greatest dependency.
[00:07:08.295 --> 00:07:09.375]  Your food supply.
[00:07:09.715 --> 00:07:13.577]  Make 2012 the year you take control by getting prepared.
[00:07:13.897 --> 00:07:18.199]  eFoods Direct introduces the best way to build your food supply in the 21st century.
[00:07:19.339 --> 00:07:21.881]  Get a 21-day supply of food free with purchase.
[00:07:22.121 --> 00:07:27.845]  Call 800-409-5633 or go to efoodsdirect.com forward slash Alex.
[00:07:28.145 --> 00:07:30.027]  Take back control in 2012.
[00:07:30.327 --> 00:07:35.951]  Call 800-409-5633 or go to efoodsdirect.com forward slash Alex.
[00:07:36.231 --> 00:07:39.053]  Remember, you can bet your life on efoodsdirect.
[00:07:40.654 --> 00:07:45.718]  The Genesis Communications Radio Network proudly presents the Alex Jones Show.
[00:07:46.058 --> 00:07:48.360]  Because there's a war on for your mind.
[00:08:11.226 --> 00:08:14.989]  Well, we've got a big transmission lined up for you today.
[00:08:15.029 --> 00:08:18.291]  The world is obviously getting crazier by the minute.
[00:08:18.891 --> 00:08:22.674]  It is Friday, already the sixth day of January 2012.
[00:08:25.506 --> 00:08:26.887]  Keep saying 2011.
[00:08:27.567 --> 00:08:29.988]  But here we are in 2012.
[00:08:31.169 --> 00:08:48.958]  Charlotte Thompson Isserby, who was the head of policy at the Department of Education, will be joining us to break down the nexus between skull and bones and German and British psychiatry in its early embryonic stages close to 200 years ago.
[00:08:51.292 --> 00:08:54.835]  Establishing the modern system that we live under today.
[00:08:55.715 --> 00:08:59.818]  And she has republished a revised, updated, and abridged edition.
[00:09:00.258 --> 00:09:03.500]  So it's not Dallas phone book size, it's just a thick book full of documents.
[00:09:04.001 --> 00:09:07.163]  The Deliberate Dumbing Down of America that's been out of print for over a year.
[00:09:08.244 --> 00:09:10.905]  It is now back and available at InfoWars.com.
[00:09:10.925 --> 00:09:12.507]  She'll be joining us at the bottom of the next hour.
[00:09:12.807 --> 00:09:15.709]  Now, later in the hour I'm going to get into this.
[00:09:17.205 --> 00:09:19.786]  Because it's a great example of a PSYOP.
[00:09:20.466 --> 00:09:21.407]  And it's a mystery.
[00:09:24.288 --> 00:09:36.933]  And that, of course, is Bill O'Reilly last night headline America's most lethal Navy SEAL sniper tells gripping tale about killing savages and decking Jesse Ventura.
[00:09:38.854 --> 00:09:48.320]  Jesse, as you know, former governor of Minnesota, love him, hate him, he tells the truth, or what he believes the truth is, and he lets the chips fall where they may.
[00:09:49.659 --> 00:09:52.060]  He's anti-globalist war.
[00:09:52.120 --> 00:09:54.221]  He's anti-lying about WMDs.
[00:09:54.781 --> 00:10:06.325]  He's upset about what really woke him up was McNamara before he died coming to Harvard when Ventura was there as a professor visiting scholar and admitted to him personally that he'd staged the Gulf of Tonkin.
[00:10:07.085 --> 00:10:12.407]  That's just the way they did things that made Jesse very, very upset and finally pretty much woke him up.
[00:10:14.808 --> 00:10:18.429]  But it's a mystery because Jesse was on with us last Thursday.
[00:10:19.417 --> 00:10:21.199]  He was planning to leave that Friday or Saturday.
[00:10:21.219 --> 00:10:24.642]  He wasn't sure yet to drive in his RV down to Mexico for a few months.
[00:10:25.103 --> 00:10:27.265]  They're in the coldest parts of Minnesota winters.
[00:10:28.343 --> 00:10:35.251]  And when I called Tyrell, his son yesterday, a filmmaker, and said, hey, have you talked to your dad?
[00:10:35.271 --> 00:10:37.273]  And he said, yeah, he crossed into Mexico this morning.
[00:10:37.293 --> 00:10:40.156]  My mom's cell phone doesn't work until he gets to Baja.
[00:10:40.196 --> 00:10:48.726]  He's got to drive an hour to a landline just to talk to me there, because he lives literally, you know, an hour from pavement and power lines.
[00:10:48.766 --> 00:10:49.507]  He's got solar.
[00:10:51.923 --> 00:10:53.423]  You know, basically going primitive.
[00:10:53.723 --> 00:10:55.644]  And I said, well, that's not good news, buddy.
[00:10:56.065 --> 00:10:58.926]  Because I said, your dad's going to want to respond to this.
[00:10:58.986 --> 00:11:00.167]  It's going to be big news.
[00:11:01.087 --> 00:11:01.607]  I can tell.
[00:11:01.667 --> 00:11:02.768]  I said, it's a psy-op.
[00:11:03.268 --> 00:11:06.890]  I can tell the way they're rolling it out, whether part of it's true or none of it's true.
[00:11:07.310 --> 00:11:09.632]  This is going to be all over national television.
[00:11:09.672 --> 00:11:10.332]  He said, what is it?
[00:11:10.832 --> 00:11:11.713]  I said, you haven't heard.
[00:11:12.413 --> 00:11:14.614]  This is about six o'clock last night when I got ahold of him.
[00:11:15.014 --> 00:11:15.855]  There, he called me back.
[00:11:15.915 --> 00:11:16.475]  I texted him.
[00:11:16.495 --> 00:11:17.876]  I said, you want to call me right now?
[00:11:19.088 --> 00:11:34.281]  And because I wasn't sure at first when I got home early yesterday, I shot the news earlier and did an interview and then went home until I started researching the Navy SEAL that's doing this and red flags, about 20 of them popped up right away.
[00:11:34.301 --> 00:11:38.405]  And I can't really, with all the other important news, do this justice.
[00:11:39.482 --> 00:11:47.078]  But I'll probably shoot a special report about this, not because it's even about Jesse Ventura and he's my friend and I stick up for friends.
[00:11:47.720 --> 00:11:49.704]  I don't stick up for friends unless they're in the right.
[00:11:50.934 --> 00:11:51.274]  Okay.
[00:11:51.975 --> 00:11:55.717]  And when I went and researched this sniper, it got really creepy real fast.
[00:11:56.317 --> 00:12:01.661]  He's part of a liaison group and has gotten awards from an Israeli group that's advising U.S.
[00:12:01.721 --> 00:12:10.946]  law enforcement and preparing them to fight domestic terrorists, integrates in with the TSA checkpoints with machine guns that were in Florida yesterday.
[00:12:10.966 --> 00:12:18.231]  He runs a mercenary group out of North Texas for security and sniper equipment for the U.S.
[00:12:18.251 --> 00:12:19.792]  military and police training.
[00:12:20.675 --> 00:12:30.503]  And he's being set up as a new celebrity for this domestic crackdown and was probably told to do this as his test to get into intelligence.
[00:12:31.044 --> 00:12:46.237]  I know the Seals are heavily involved in intelligence, but watching his body language, whether there's any truth to what he's saying about Ventura or not, the whole way it's packaged as a PSYOP to destroy Jesse Ventura.
[00:12:46.963 --> 00:12:48.204]  That's what I told Ty last night.
[00:12:48.224 --> 00:12:50.765]  I said, you watch, they're going to have this on every big TV show.
[00:12:50.845 --> 00:12:51.885]  And now it's happening.
[00:12:52.185 --> 00:12:53.326]  I said, this is a PSYOP.
[00:12:53.366 --> 00:12:54.306]  I can see the rollout.
[00:12:54.326 --> 00:12:56.127]  It's like seeing a Coca-Cola commercial.
[00:12:56.167 --> 00:12:57.208]  You know it's slickly done.
[00:12:57.228 --> 00:13:00.729]  The big book from the biggest publisher.
[00:13:00.789 --> 00:13:02.490]  It's not just about selling books, though.
[00:13:03.911 --> 00:13:12.695]  They're setting this guy up to be kind of like their new little Eric Prince, but on a smaller stage and as a front guy.
[00:13:14.224 --> 00:13:20.149]  And man, when I started doing the research, I couldn't quit researching because I'm involved in it at a certain level.
[00:13:20.809 --> 00:13:22.511]  This guy up here doing it is a Texan.
[00:13:22.571 --> 00:13:28.355]  I'm involved in it because I'm friends with Jesse and work on his TV show and I've gotten to know him really well over the years.
[00:13:29.456 --> 00:13:33.659]  And then it adds to it that I can't get a hold of Jesse.
[00:13:35.221 --> 00:13:37.883]  And it'll be a couple more days until we can get a hold of him, probably.
[00:13:38.700 --> 00:13:42.141]  Because he doesn't, you know, whenever he got cell phones, he's like, I hate those things.
[00:13:42.441 --> 00:13:44.722]  And then there's other stuff.
[00:13:44.742 --> 00:14:06.989]  When we went out to dinner, Jesse and his wife and I, after we'd done a lot of interviews and investigations out in the high desert, at a private rocket base, that's why we were in the Vegas area, one of the reasons, looking at the private space program out there, and the fact of is it a cover for a clandestine government operation?
[00:14:08.550 --> 00:14:10.331]  Do bears do certain things in the woods?
[00:14:10.391 --> 00:14:10.911]  I mean, come on.
[00:14:11.852 --> 00:14:19.876]  We went to dinner at like 11 o'clock at night after we were done working all day, and he was complaining about, you know, the media.
[00:14:20.356 --> 00:14:25.559]  And he said, if I run for president, they're going to make all sorts of stuff up, which they've now done, claiming he's road raging.
[00:14:25.779 --> 00:14:26.660]  Totally not true.
[00:14:26.720 --> 00:14:27.400]  Just made up.
[00:14:28.380 --> 00:14:30.882]  They had to retract it, but, you know, tiny little retraction.
[00:14:34.561 --> 00:14:38.364]  He had the CIA visit him when he was first elected governor and sworn in.
[00:14:38.424 --> 00:14:39.645]  He came down into the basement.
[00:14:39.665 --> 00:14:40.846]  They called him into the Capitol.
[00:14:41.106 --> 00:14:44.188]  There was 23 of them, and they wouldn't say who they were, but they were CIA.
[00:14:44.208 --> 00:14:47.130]  And it looked like, you know, the old lady next door.
[00:14:47.150 --> 00:14:50.512]  And they were basically assessing him and trying to intimidate him.
[00:14:51.173 --> 00:14:54.895]  And then he, of course, found out his house phone was tapped, and a bunch of other dirty tricks happened.
[00:14:54.915 --> 00:15:00.018]  And he said, Alex, I care about this country, but I just don't think enough people want to be free.
[00:15:00.859 --> 00:15:09.583]  And he said, besides, you know, I have reporters and people asking me with no evidence about, you know, were you in California or Nevada dancing on a table last year drunk?
[00:15:09.963 --> 00:15:16.307]  And Alex, you know I don't drink because I have to take blood thinner because of my blood clots I've had from wrestling accidents.
[00:15:16.327 --> 00:15:20.949]  You know, when Jesse flies, you know, he has to put on these things on his legs so he doesn't get blood clots.
[00:15:21.349 --> 00:15:25.371]  You know, back when I'd fly with him, you know, I'd see him adjusting them or whatever.
[00:15:25.391 --> 00:15:26.812]  I mean, this is a serious medical issue.
[00:15:27.652 --> 00:15:33.973]  And he doesn't fly, but there they are in the news saying Jesse Ventura had an airport, you know, running to the airport, road raging.
[00:15:34.013 --> 00:15:35.053]  That was a fake report.
[00:15:35.494 --> 00:15:37.074]  And I'm already digressing off into this.
[00:15:38.154 --> 00:15:43.715]  It's just that he talked about how they would probably try to plant fake stories on him.
[00:15:44.635 --> 00:15:46.156]  And so now it's kind of started.
[00:15:47.216 --> 00:15:52.877]  And because he did talk to libertarians and others and was considering trying to get the libertarian nomination,
[00:15:54.651 --> 00:15:58.236]  And it just looks like that the system now wants to try to discredit him.
[00:15:59.337 --> 00:16:06.466]  And I don't know once we get him on the show or once he says something about this if the guy really did sucker punch him and then run away.
[00:16:07.547 --> 00:16:11.833]  But what I know Jesse didn't say and what Tyrell says there's no way his father would say
[00:16:13.346 --> 00:16:16.807]  Uh, because I've talked to Jesse off air before.
[00:16:16.847 --> 00:16:17.707]  I've seen him in person.
[00:16:17.727 --> 00:16:22.229]  He got very upset when that helicopter blew up with the SEAL Team Six on it.
[00:16:23.229 --> 00:16:27.751]  Uh, he gets very upset, you know, and teary-eyed during the National Anthem and stuff.
[00:16:27.791 --> 00:16:29.191]  And he's really into being patriotic.
[00:16:29.231 --> 00:16:31.512]  That's why he gets so freaked out by all this.
[00:16:32.152 --> 00:16:34.433]  And they, the way this is all scripted,
[00:16:35.433 --> 00:16:40.838]  Where he's on this show and, oh, a caller claims you knocked out Jesse Ventura.
[00:16:40.898 --> 00:16:42.039]  And he's like, oh, yes.
[00:16:42.079 --> 00:16:44.361]  And then it looks like it's all scripted when you watch it.
[00:16:45.262 --> 00:16:47.003]  And he's looking down when he's talking about it.
[00:16:48.004 --> 00:16:52.908]  And then he goes on Fox News with Bill O'Reilly, and it's all brought up.
[00:16:53.909 --> 00:17:01.996]  And, you know, he goes through all of this and says, yes, Jesse Ventura, we say the family is here of the Navy SEALs killed in Iraq.
[00:17:02.336 --> 00:17:03.638]  And Ventura's like, good!
[00:17:05.157 --> 00:17:06.120]  They need to die!
[00:17:06.140 --> 00:17:12.819]  I mean, it's just... It's just amazing.
[00:17:13.919 --> 00:17:17.300]  And then I went and did some research and found out he was there for an awards ceremony.
[00:17:17.340 --> 00:17:17.980]  He was there in 2006.
[00:17:19.100 --> 00:17:20.160]  He did go to that bar.
[00:17:20.180 --> 00:17:22.100]  There's people talking about photos they took with him.
[00:17:22.881 --> 00:17:25.421]  You know, sign deals, how some of Jesse's family was there.
[00:17:25.981 --> 00:17:26.641]  And I called Ty.
[00:17:26.661 --> 00:17:29.102]  He goes, yeah, I wasn't there, but I know about him going.
[00:17:29.642 --> 00:17:31.402]  The family would have said something about this.
[00:17:31.962 --> 00:17:33.302]  I've never heard of that.
[00:17:33.902 --> 00:17:38.203]  You know, somebody punching him and then, you know, knocking him back and then didn't knock him out, but then running away.
[00:17:39.423 --> 00:17:43.064]  Because I know my dad didn't say, you know, seals deserve to die.
[00:17:44.639 --> 00:17:45.800]  I know that's not true.
[00:17:46.480 --> 00:17:50.602]  And so, again, they're now got headlines everywhere.
[00:17:51.463 --> 00:17:54.344]  Navy SEAL knocks out Truther Ventura.
[00:17:56.065 --> 00:18:06.530]  And then I find out this guy is involved as a liaison to a group run by Dick Cheney and Richard Perl.
[00:18:06.570 --> 00:18:07.811]  And I've got all the research right here.
[00:18:07.851 --> 00:18:08.632]  It's mind-blowing.
[00:18:09.252 --> 00:18:11.293]  It's on the guy's Wikipedia page too with links to it.
[00:18:13.263 --> 00:18:20.886]  And that he gets all these awards and that he's liaisoning now basically the training of US police.
[00:18:21.687 --> 00:18:25.508]  And it looks like he might be basically an Israeli front to train the police.
[00:18:26.449 --> 00:18:32.311]  It's been in the news the Israelis are training police and it's like a foreign government's training our police to fight domestic insurgents.
[00:18:34.212 --> 00:18:38.734]  And again he heads up a group for quote diplomatic security.
[00:18:42.441 --> 00:19:06.252]  level security and sniper training for the military and police and he's tied in with all these groups and then he's got this top publisher coming out and the way they're going to promote the book and sell him as the new hero guy that'll come in and tell our cops to get ready to fight the militias basically is this gung-ho Navy SEAL with the record number of kills and then you find out it's Fallujah
[00:19:06.972 --> 00:19:12.742]  And other turkey shoots where people dare rise up to occupation when the contractors were abusing them, we now know.
[00:19:13.303 --> 00:19:20.875]  And it's turkey shoots and then I research and he's bragging about turkey shoots, about shooting a woman and they're savages and...
[00:19:21.980 --> 00:19:23.782]  He doesn't like folks that try to create fear.
[00:19:23.822 --> 00:19:28.547]  Then I got quotes about how he loves instilling fear, and he wears skull hats and black uniforms.
[00:19:29.107 --> 00:19:36.875]  I mean, they're setting him up as the guy to be the Judas goat, I guess, to teach us that martial law is loving and good under NDAA.
[00:19:37.496 --> 00:19:38.437]  And he's going after Ventura.
[00:19:40.484 --> 00:19:42.786]  Big Berkey water filters are in high demand.
[00:19:43.006 --> 00:19:44.828]  Storable foods are also in high demand.
[00:19:45.048 --> 00:19:49.933]  BigBerkeyWaterFilters.com has always kept our focus on the Berkey water filter products.
[00:19:50.093 --> 00:19:53.516]  But increasingly, our customers have been asking for storable foods.
[00:19:53.796 --> 00:20:00.722]  After months of research, BigBerkeyWaterFilters.com now offers great-tasting, long-lasting, storable foods.
[00:20:01.022 --> 00:20:04.325]  These ready-to-eat meals are packed in airtight nitrogen pouches.
[00:20:04.606 --> 00:20:05.927]  All you do is just add water.
[00:20:06.147 --> 00:20:09.809]  And because they're sealed so well, they come with a 25-year shelf life.
[00:20:10.069 --> 00:20:18.993]  Combine our Berkey water filters, which are powerful enough to purify treated, untreated, or even stagnant pond water with our storable foods, and you have a winning combination.
[00:20:19.233 --> 00:20:21.874]  Remember, we offer free shipping on every order over $50.
[00:20:22.414 --> 00:20:26.236]  And GCN listeners receive 5% off all ceramic filter systems.
[00:20:26.616 --> 00:20:32.800]  Visit BigBerkeyWaterFilters.com or call 877-99-BERKEY.
[00:20:33.020 --> 00:20:35.622]  That's BigBerkeyWaterFilters.com or call 877-99-BERKEY today!
[00:20:40.151 --> 00:20:46.836]  Iodine Protection Packs from HempUSA.org are now in stock for immediate delivery worldwide.
[00:20:47.097 --> 00:20:57.825]  Our Iodine Protection Packs include Micro Plant Powder, Green Life Kelp, Red Palm Oil, and our clear Roll-On Iodine that will feed the body the iodine it needs.
[00:20:58.105 --> 00:21:00.347]  All Iodine Protection Packs are in stock.
[00:21:00.627 --> 00:21:03.669]  Save you money and ship for free in all 50 states.
[00:21:03.910 --> 00:21:06.231]  Visit HempUSA.org or call 908-691-2608 today!
[00:21:09.594 --> 00:21:18.860]  We the people grow cotton, weave fabric, engrave ink, embed strips and fibers to protect from counterfeit, and carting to a private bank, having it led back at interest, forcing taxes to service debt.
[00:21:18.920 --> 00:21:19.661]  This capitalism?
[00:21:19.721 --> 00:21:25.865]  Or was Jefferson correct when stating a central bank issuing the public currency is a greater menace to the liberties of the people than a standing army?
[00:21:25.985 --> 00:21:26.806]  Hi, Ted Anderson.
[00:21:26.846 --> 00:21:29.948]  I'm placing a silver dollar in a book explains our monetary system.
[00:21:30.108 --> 00:21:30.908]  Call for your copy 800-686-2237.
[00:21:30.928 --> 00:21:31.949]  It's time to understand the system.
[00:21:31.989 --> 00:21:32.589]  Call 800-686-2237.
[00:21:32.629 --> 00:21:32.910]  That's 800-686-2237.
[00:21:39.915 --> 00:21:41.176]  Hi, this is Alex Jones.
[00:21:41.216 --> 00:21:46.564]  Did you know that the global elite are now storing non-hybrid seeds in secret storage vaults near the Arctic Circle?
[00:21:46.804 --> 00:21:51.430]  Did you know that in a real meltdown, non-hybrid seeds can become more valuable than silver or gold?
[00:21:51.831 --> 00:21:56.877]  It's true, seeds have outperformed even gold and silver before in this country, and it's possible they could even happen again.
[00:21:57.398 --> 00:22:02.081]  So our friends at Solutions from Science have put together the perfect mix of non-hybrid seeds.
[00:22:02.602 --> 00:22:04.543]  They call it a Survival Seed Bank.
[00:22:04.923 --> 00:22:09.526]  And it can produce an endless supply of nutrient-dense food for you and your family.
[00:22:09.726 --> 00:22:10.627]  And here's the best part.
[00:22:10.847 --> 00:22:13.609]  These seeds have not been genetically modified in any way.
[00:22:13.909 --> 00:22:17.211]  And you actually get enough seeds to plant a full acre crisis garden.
[00:22:17.532 --> 00:22:20.373]  So visit them today at survivalseedbank.com.
[00:22:20.734 --> 00:22:22.615]  That's survivalseedbank.com.
[00:22:22.955 --> 00:22:23.876]  Or give them a call at 877-327-0365.
[00:22:27.498 --> 00:22:31.206]  That's 877-327-0365.
[00:22:31.747 --> 00:22:36.255]  Remember, in a real crisis, non-hybrid seeds are the ultimate barter item.
[00:22:36.576 --> 00:22:38.980]  This is Alex Jones for survivalseedbank.com.
[00:22:41.015 --> 00:22:44.156]  Hi, I'm Mark Craighead, founder of Crossbreed Holsters.
[00:22:44.377 --> 00:22:52.420]  I designed our top-selling holster, the SuperTuck Deluxe, to solve the problems of being poked, pinched, and gouged while carrying concealed.
[00:22:52.580 --> 00:22:57.703]  The SuperTuck Deluxe is the most comfortable, most concealable holster on the market today.
[00:22:57.883 --> 00:23:00.784]  We offer a two-week free trial and a lifetime warranty.
[00:23:00.864 --> 00:23:03.745]  Visit us at crossbreedholsters.com.
[00:23:04.786 --> 00:23:07.987]  Don't forget, crossbreedholsters.com.
[00:23:09.947 --> 00:23:13.688]  In a coming apart world, you need something to keep it tied together.
[00:23:13.948 --> 00:23:23.131]  That something is Atwood Rope, the highest quality rope made in the USA from exotic braids for military, rescue, arborists, shipyards, tow line or boating.
[00:23:23.331 --> 00:23:26.712]  Quality rope at affordable prices you and your customers can depend on.
[00:23:26.872 --> 00:23:30.133]  Find a dealer or shop online at atwoodrope.net.
[00:23:30.313 --> 00:23:34.915]  Enter promo code radio to receive 100 feet of 550 paracord free with purchase.
[00:23:35.255 --> 00:23:37.896]  Atwood Rope, working to keep the world tied together.
[00:23:55.981 --> 00:23:58.662]  Alright, I'll get more into the Ventura story later.
[00:23:58.682 --> 00:24:01.624]  His son is up in Minnesota doing jury duty.
[00:24:02.624 --> 00:24:04.285]  And he gets out at noon central.
[00:24:04.785 --> 00:24:07.646]  So he should be calling into the show a little bit after that.
[00:24:08.247 --> 00:24:10.148]  Tyrell can respond for his father.
