[00:00:00.069 --> 00:00:01.109]  The radio starts here.
[00:06:33.154 --> 00:06:38.818]  Buy the 1 to 2 month sample package and enjoy soaps that are twice as good as what you're using now.
[00:06:39.098 --> 00:06:44.202]  Or save big with a 1 to 2 year supply of soaps for all your cleaning needs.
[00:06:44.502 --> 00:06:46.123]  This is an amazing deal.
[00:06:46.483 --> 00:06:51.106]  You can save thousands of dollars and you will love the way real soap makes you feel.
[00:06:51.727 --> 00:06:54.869]  See them on the web at 5starsoap.com or call
[00:06:55.109 --> 00:06:56.334]  Call 800-340-7091 for a free catalog.
[00:07:03.396 --> 00:07:04.156]  Aaron Fullin here.
[00:07:04.436 --> 00:07:16.159]  As the Food Police shut down food co-ops, the Amish, and small farmers, Americans are losing access, not just to raw milk and homemade cheeses, but to healthy, home-crafted sources for fermented foods like sauerkraut, yogurt, and kefir.
[00:07:16.419 --> 00:07:20.380]  It seems there's a war on life-giving foods with living enzymes and healthy bacteria.
[00:07:20.580 --> 00:07:23.180]  But frankly, I'm not sure what the Food Police are so afraid of.
[00:07:23.440 --> 00:07:31.322]  These remarkable foods have been around since the beginning of history, with archaeological evidence for fermented foods and beverages being found across the globe in almost every culture.
[00:07:31.582 --> 00:07:39.368]  Even today, Japanese eat miso, Africans eat fermented porridges, Koreans eat kimchi, and in India, fermented milk is a staple for healthy living.
[00:07:39.648 --> 00:07:40.588]  But here's some good news.
[00:07:40.809 --> 00:07:46.833]  Self-reliant Americans can now discover the secrets to making these amazing fermented foods legally and privately in their own homes.
[00:07:47.213 --> 00:07:50.356]  Since it's still legal to make these foods as long as you can make them yourself.
[00:07:50.656 --> 00:07:53.418]  For more information, check out fermentationfactor.com.
[00:07:53.578 --> 00:07:55.380]  That's fermentationfactor.com.
[00:07:55.680 --> 00:08:01.905]  It's easy to create your own powerful fermented foods, and you can do it by going to www.fermentationfactor.com.
[00:08:02.005 --> 00:08:14.455]  That's www... Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[00:08:32.237 --> 00:08:34.539]  All right, it is Monday, September 24, 2012.
[00:08:36.099 --> 00:08:38.081]  Thank you for joining the Alex Jones Show.
[00:08:38.401 --> 00:08:43.944]  This is Mike Adams, the health ranger, filling in for Alex today and for the next three hours.
[00:08:44.044 --> 00:08:52.709]  We are going to present a whirlwind of news and guests, interviews, plus your calls in the third hour as well.
[00:08:52.769 --> 00:08:55.891]  So if you've got calls for me, get them ready.
[00:08:56.091 --> 00:08:57.412]  We'll take your calls in the third hour.
[00:08:58.602 --> 00:09:01.625]  On just about any topic that you'd like to talk about.
[00:09:02.265 --> 00:09:03.867]  In the meantime, here's what's coming up today.
[00:09:03.907 --> 00:09:11.013]  We've got Stacey Malkin, a spokesperson for Proposition 37 in California, joining us at the bottom of this hour.
[00:09:11.514 --> 00:09:19.221]  That is a proposition, of course, that talks about requiring GMO labeling on foods in California and has nationwide implications.
[00:09:20.325 --> 00:09:39.667]  We've also got Anthony Gucciardi coming up in the second hour with breaking news about GMO scientists admitting that they really do want to kill people and cause infertility and that, hey, the fewer people that are left standing after all the GMOs are dispensed and fed to you, the better we all are, according to these scientists.
[00:09:40.388 --> 00:09:49.699]  It's not even really a question about whether GMOs are in fact dangerous or if they cause these cancer tumors as has been shown in recent studies.
[00:09:50.340 --> 00:09:53.503]  It's actually true that the scientists want you to die.
[00:09:53.843 --> 00:09:55.065]  So we'll talk about that.
[00:09:55.525 --> 00:09:56.086]  It's incredible.
[00:09:56.126 --> 00:09:56.967]  Nothing shocks me anymore.
[00:09:59.069 --> 00:10:00.830]  They literally just want to kill humanity.
[00:10:00.850 --> 00:10:02.191]  It's an anti-human technology.
[00:10:02.211 --> 00:10:02.792]  We'll get into that.
[00:10:03.212 --> 00:10:12.878]  The news is coming up, by the way, but first, in the third hour also we've got Ted Anderson joining us and then some great news about how to protect yourself from radiation and from MSG.
[00:10:14.059 --> 00:10:17.222]  So let's get right into the news.
[00:10:17.823 --> 00:10:23.048]  Bill Clinton says no president could have magically fixed the economy in one term.
[00:10:23.748 --> 00:10:25.990]  I guess he's now an Obama apologist?
[00:10:26.271 --> 00:10:26.671]  Is that it?
[00:10:27.251 --> 00:10:33.537]  Well, of course you can't fix the economy in one term if you're a global bankster sellout.
[00:10:35.519 --> 00:10:40.683]  And anybody who expects Romney to fix the economy is living in a dreamland as well.
[00:10:41.203 --> 00:10:42.724]  Senate votes to shield U.S.
[00:10:42.784 --> 00:10:45.086]  airlines from EU's carbon scheme.
[00:10:45.346 --> 00:10:48.769]  That should be an interesting battle over whether U.S.
[00:10:48.829 --> 00:10:56.034]  airlines can actually be charged money for emitting carbon dioxide, an extra carbon dioxide tax.
[00:10:56.574 --> 00:10:59.416]  That's coming in many forms all across America and around the world.
[00:11:00.357 --> 00:11:01.218]  Here's what else is coming up.
[00:11:02.293 --> 00:11:05.956]  Obama says he's blocking out the Israeli noise.
[00:11:06.937 --> 00:11:07.737]  It's just noise.
[00:11:08.438 --> 00:11:15.824]  Don't worry about the possibility of nuclear war over there and Iran and Syria and everything that's going on.
[00:11:16.505 --> 00:11:17.605]  It's just noise.
[00:11:17.866 --> 00:11:26.032]  So go back to sleep, Americans, and vote for more hope and more change, because I guess we haven't had enough hope in the last four years.
[00:11:26.072 --> 00:11:27.934]  We need yet more hope.
[00:11:30.566 --> 00:11:31.387]  We do need some change.
[00:11:31.787 --> 00:11:32.888]  That is for sure.
[00:11:35.250 --> 00:11:35.650]  Moving on.
[00:11:35.730 --> 00:11:39.453]  Court rules motorists can be detained for paying by cash at toll booths.
[00:11:39.493 --> 00:11:40.234]  This is a big deal.
[00:11:40.894 --> 00:11:44.798]  Paul Joseph Watson article up right now at InfoWars.com.
[00:11:45.478 --> 00:11:46.539]  The 11th Circuit U.S.
[00:11:46.559 --> 00:11:56.707]  Court of Appeals has ruled that private contractors operating toll booths have the power to detain and store records on motorists.
[00:11:57.068 --> 00:11:58.149]  That is, detain motorists
[00:11:58.849 --> 00:12:02.430]  In other words, arrest them who pay by cash at toll booths.
[00:12:03.271 --> 00:12:06.172]  So, cash is now the great evil.
[00:12:06.192 --> 00:12:07.192]  Do you see where this is going?
[00:12:07.352 --> 00:12:09.353]  If you use cash, it's evil.
[00:12:10.034 --> 00:12:18.217]  Now, this particular motorist, he was trying to pay with, it looks like a $50 bill, or maybe a $100 bill, something larger than a $20.
[00:12:19.677 --> 00:12:21.578]  And they said, well, we can't take that.
[00:12:21.618 --> 00:12:22.999]  Those large bills are evil.
[00:12:24.076 --> 00:12:25.337]  And so they detained him.
[00:12:25.397 --> 00:12:27.558]  They essentially arrested him.
[00:12:27.658 --> 00:12:39.864]  This is in addition to another case that happened recently when a Walmart cashier ripped up the $100 bill of a customer there trying to prove that it was counterfeit, but it wasn't.
[00:12:40.504 --> 00:12:41.745]  It was a real $100 bill.
[00:12:42.485 --> 00:12:43.686]  And then the police were called.
[00:12:44.546 --> 00:12:47.748]  And Walmart was ordered to replace the $100 bill that they ripped up.
[00:12:47.768 --> 00:12:48.548]  You see where this is?
[00:12:49.348 --> 00:13:00.674]  So, those of us who use cash, which includes myself, by the way, I use cash everywhere, I frequently use $100 bills, frequently use $50 bills, and I've never had a problem with it, but...
[00:13:01.693 --> 00:13:07.274]  I don't shop at Walmart and I don't go through these tollways, so maybe when I do that I'm going to be arrested.
[00:13:07.655 --> 00:13:11.816]  But the point is, they want to make you think you're a criminal for using cash.
[00:13:12.296 --> 00:13:16.797]  Just carrying cash is now described as being a criminal.
[00:13:17.477 --> 00:13:22.559]  See, they want you to all use electronic money because it's trackable, because it's traceable.
[00:13:23.139 --> 00:13:27.420]  The evil of cash that's being propagandized out there is because cash is anonymous.
[00:13:28.160 --> 00:13:29.121]  Cash is untraceable.
[00:13:29.181 --> 00:13:33.646]  Cash is the currency of, well, freedom, in a sense.
[00:13:34.166 --> 00:13:35.768]  That and Bitcoin, of course.
[00:13:36.669 --> 00:13:37.149]  Moving on.
[00:13:38.270 --> 00:13:40.853]  Oh yeah, here's another coverage of that at 10 News.
[00:13:41.594 --> 00:13:42.795]  Same story, Motorist.
[00:13:43.336 --> 00:13:46.118]  It's getting coverage in the mainstream media.
[00:13:46.459 --> 00:13:49.502]  In fact, I'm told we have a short video clip on that.
[00:13:49.562 --> 00:13:51.244]  Let's roll that and see what the video shows us.
[00:13:55.046 --> 00:13:55.867]  This is from WTSP.com.
[00:13:55.887 --> 00:14:01.770]  Pay for tolls with a larger bill, like a 20 or 100, and you may have to fork over personal information.
[00:14:01.790 --> 00:14:09.676]  As 10 News investigative reporter Mike Thiessen has discovered, the Florida Department of Transportation has essentially been doing that and tried to cover it up when it was caught.
[00:14:10.933 --> 00:14:14.616]  The toll taker says this is what happens when you give large bills like that.
[00:14:14.896 --> 00:14:15.917]  It's what we have to do.
[00:14:16.517 --> 00:14:27.145]  Meet Joel Chandler, who just paid his $1 toll on the Polk Parkway with a $100 bill, and he's not being allowed to leave unless he provides personal information to the toll taker.
[00:14:27.806 --> 00:14:30.708]  So you all detain people until you get their personal information?
[00:14:30.948 --> 00:14:31.349]  Yes, sir.
[00:14:32.089 --> 00:14:38.632]  It's a policy the Florida Turnpike Authority instituted for people who paid with $20, $50, or $100 bills.
[00:14:38.933 --> 00:14:40.613]  You give me the information, you can go.
[00:14:40.653 --> 00:14:42.154]  I'm being detained.
[00:14:42.274 --> 00:14:44.896]  I'm being detained.
[00:14:48.328 --> 00:14:49.229]  Why am I being detained?
[00:14:49.629 --> 00:14:56.933]  This is a serious, serious criminal offense to illegally detain somebody without legal authority, which is exactly what they're doing.
[00:14:57.153 --> 00:15:02.215]  Chandler called and emailed the Florida Department of Transportation to complain about the policy.
[00:15:02.435 --> 00:15:12.641]  Their initial response was, there is no policy to do this, which really made me concerned because it appeared that they were just individual rogue toll booth workers that were, you know, detaining people.
[00:15:12.981 --> 00:15:16.403]  But the practice continued at toll booth after toll booth.
[00:15:16.603 --> 00:15:20.846]  And if someone refused to provide the information, they were threatened with arrest.
[00:15:21.366 --> 00:15:24.328]  I can call FHP and they can come here and give you that information.
[00:15:24.588 --> 00:15:25.789]  Would you like for me to do that?
[00:15:28.704 --> 00:15:30.186]  Okay, so this goes on.
[00:15:30.386 --> 00:15:32.948]  You can watch this on YouTube if you want.
[00:15:33.909 --> 00:15:37.112]  But the point is that you see how they're criminalizing you.
[00:15:37.192 --> 00:15:45.699]  They are arresting you for paying with legal tender that is marked as the currency of the, well, the Federal Reserve.
[00:15:46.100 --> 00:15:47.021]  I guess that's another story.
[00:15:48.201 --> 00:15:58.346]  But, hey, if they're going to accept counterfeit $1 bills from the Fed and counterfeit $5 bills, or fiat currency is what I mean, then they should accept fiat $100 bills.
[00:16:00.747 --> 00:16:05.009]  Again, it's the criminalization of everything that's normal in America today.
[00:16:05.429 --> 00:16:07.610]  So, are you exercising free speech?
[00:16:07.990 --> 00:16:09.671]  Are you protesting somewhere out in public?
[00:16:09.871 --> 00:16:10.411]  You're a criminal.
[00:16:11.051 --> 00:16:22.935]  I was talking to Dan Bodondi out here during the break, and he was talking about how they're trying to just film in a public place and they're always threatened by the cops and the security people.
[00:16:23.175 --> 00:16:24.735]  They're threatened and said, you can't film here.
[00:16:24.855 --> 00:16:25.075]  Why?
[00:16:25.095 --> 00:16:26.396]  Oh, because we say so.
[00:16:26.856 --> 00:16:28.436]  Because you're a criminal for filming here.
[00:16:28.496 --> 00:16:31.137]  Yeah, you're a member of the press, but you're a criminal.
[00:16:31.237 --> 00:16:36.759]  So if you use cash, if you drink raw milk, let's say, if you're a farmer,
[00:16:37.459 --> 00:16:43.122]  If you film in public, filming something they don't want you to film, all of a sudden you're a criminal.
[00:16:43.482 --> 00:16:43.962]  This is it.
[00:16:44.022 --> 00:16:59.490]  This is the mass criminalization of America underway, and they're going to force everybody into using their currency-controlled electronic systems, the RFID chips embedded in your palm or in your arm or electronic wallets.
[00:17:00.130 --> 00:17:00.971]  That's where it's all going.
[00:17:01.932 --> 00:17:03.733]  So check out that story at InfoWars.com.
[00:17:04.113 --> 00:17:04.694]  Let's move on.
[00:17:04.774 --> 00:17:08.076]  Painkillers are the cause of millions of headaches.
[00:17:08.116 --> 00:17:10.097]  This has come out from a new study.
[00:17:10.117 --> 00:17:11.958]  This was published in BBC News as well.
[00:17:13.679 --> 00:17:14.820]  This is that vicious cycle.
[00:17:14.960 --> 00:17:18.823]  You know, a lot of drugs actually cause the very things that they claim to prevent.
[00:17:19.443 --> 00:17:24.945]  For example, we know that many drugs that claim to treat osteoporosis actually cause fragile bones.
[00:17:25.586 --> 00:17:28.987]  Many drugs that claim to treat inflammation actually cause inflammation.
[00:17:29.387 --> 00:17:31.928]  Diabetes drugs cause long-term diabetes.
[00:17:32.528 --> 00:17:35.089]  And psychiatric drugs also cause diabetes.
[00:17:35.310 --> 00:17:37.070]  But painkillers cause headaches.
[00:17:37.610 --> 00:17:37.891]  Alright?
[00:17:37.951 --> 00:17:38.451]  You got that?
[00:17:39.131 --> 00:17:40.432]  This is the scam.
[00:17:40.992 --> 00:17:42.834]  Chemotherapy causes cancer.
[00:17:43.354 --> 00:17:45.435]  It's the number one side effect of chemotherapy.
[00:17:45.796 --> 00:17:47.337]  Mammograms cause cancer.
[00:17:47.697 --> 00:17:49.598]  They emit ionizing radiation.
[00:17:49.898 --> 00:17:53.501]  They irradiate the lungs and the liver and the heart and the breast tissue.
[00:17:53.981 --> 00:17:55.242]  Mammograms cause cancer.
[00:17:55.262 --> 00:17:59.965]  That's why the cancer industry loves to push mammograms because it's a repeat business gimmick.
[00:18:01.126 --> 00:18:02.026]  It's a scam.
[00:18:02.046 --> 00:18:04.568]  It's a crime against women, if you ask me.
[00:18:04.628 --> 00:18:06.369]  But anyway, this is all coming out.
[00:18:06.449 --> 00:18:08.431]  Painkillers cause headaches.
[00:18:09.608 --> 00:18:11.800]  I think just reading the financial news causes headaches.
[00:18:13.226 --> 00:18:14.987]  Makes you want to take some painkillers.
[00:18:16.248 --> 00:18:18.349]  Of course, we don't do that around here.
[00:18:19.070 --> 00:18:20.971]  Medication-free for over a decade.
[00:18:21.391 --> 00:18:21.871]  That's true.
[00:18:22.432 --> 00:18:26.014]  In fact, I haven't had vaccines for a dozen years, something like that.
[00:18:26.374 --> 00:18:28.775]  I mean, when I was a kid, I got vaccines because I just didn't know any better.
[00:18:29.376 --> 00:18:33.738]  But I haven't had vaccines for as long as I can remember, and I never get sick.
[00:18:34.098 --> 00:18:34.799]  So go figure.
[00:18:35.299 --> 00:18:35.559]  All right.
[00:18:35.980 --> 00:18:36.720]  Here, check this out.
[00:18:36.740 --> 00:18:40.662]  The Replicator 2 has just been announced by MakerBot.com.
[00:18:42.359 --> 00:18:47.625]  And I know this probably sounds like a plug for them, but it's really a news item.
[00:18:47.665 --> 00:18:48.706]  Here's why this matters.
[00:18:49.166 --> 00:18:51.789]  The Replicator is a desktop 3D printer.
[00:18:51.809 --> 00:18:59.798]  It's a fabrication device that sits on your desk and it literally prints 3D objects using strings of basically a type of plastic.
[00:18:59.838 --> 00:19:01.760]  It makes hard plastic items.
[00:19:02.480 --> 00:19:03.562]  Now why is this a big deal?
[00:19:04.622 --> 00:19:06.423]  Well, think about the current economy.
[00:19:07.163 --> 00:19:14.445]  You run to Walmart and you buy all your little plastic gadgets and items that are imported from China and manufactured in a manufacturing facility.
[00:19:15.626 --> 00:19:18.907]  If this replicator technology takes off, and I believe it will,
[00:19:20.031 --> 00:19:23.293]  The economy is going to shift in the next decade in a big way.
[00:19:23.994 --> 00:19:30.159]  Instead of buying objects at stores like Walmart or even Home Depot, you're going to be printing the objects that you need.
[00:19:30.179 --> 00:19:32.360]  You're going to be buying just the raw material.
[00:19:32.881 --> 00:19:35.683]  And eventually I think they'll have metallic printing devices.
[00:19:35.703 --> 00:19:38.465]  You can print metal objects, like you can print your own gears.
[00:19:38.905 --> 00:19:41.627]  You can print your own wrenches and tools and things like that.
[00:19:42.848 --> 00:19:47.651]  This will shift the entire global economy and I want to be on the record right here making this prediction.
[00:19:48.251 --> 00:19:53.314]  Manufacturing is going to become decentralized and local right to your desktop.
[00:19:53.694 --> 00:19:55.175]  This technology is here right now.
[00:19:55.195 --> 00:19:57.337]  It's going to get even more advanced in the years ahead.
[00:19:57.357 --> 00:19:59.618]  A lot more news and guests straight ahead.
[00:19:59.638 --> 00:20:01.239]  Stay with us here on the Alex Jones Show.
[00:20:01.259 --> 00:20:02.660]  We'll be right back after this break.
[00:20:03.993 --> 00:20:04.754]  Aaron Fullin here.
[00:20:05.014 --> 00:20:16.307]  As the food police shut down food co-ops, the Amish, and small farmers, Americans are losing access, not just to raw milk and homemade cheeses, but to healthy, home-crafted sources for fermented foods like sauerkraut, yogurt, and kefir.
[00:20:16.527 --> 00:20:20.332]  It seems there's a war on life-giving foods with living enzymes and healthy bacteria.
[00:20:20.532 --> 00:20:23.033]  But frankly, I'm not sure what the food police are so afraid of.
[00:20:23.273 --> 00:20:30.857]  These remarkable foods have been around since the beginning of history, with archaeological evidence for fermented foods and beverages being found across the globe in almost every culture.
[00:20:31.117 --> 00:20:38.580]  Even today, Japanese eat miso, Africans eat fermented porridges, Koreans eat kimchi, and in India, fermented milk is a staple for healthy living.
[00:20:38.840 --> 00:20:39.760]  But here's some good news.
[00:20:39.960 --> 00:20:45.782]  Self-reliant Americans can now discover the secrets to making these amazing fermented foods legally and privately in their own homes.
[00:20:46.142 --> 00:20:49.183]  Since it's still legal to make these foods as long as you can make them yourself.
[00:20:49.443 --> 00:20:52.104]  For more information, check out fermentationfactor.com.
[00:20:52.264 --> 00:20:53.985]  That's fermentationfactor.com.
[00:20:54.265 --> 00:20:56.606]  It's easy to create your own powerful fermented foods.
[00:20:56.686 --> 00:21:00.267]  And you can do it by going to www.fermentationfactor.com.
[00:21:00.347 --> 00:21:02.708]  That's www.fermentationfactor.com.
[00:21:03.567 --> 00:21:07.369]  HempUSA.org brings you pure camembert powder.
[00:21:07.590 --> 00:21:21.278]  This revolutionary powder contains 50 times the vitamin C of an orange, mixes with any juice or liquid, has 227 servings per container, and is made from naturally grown camembert berries, not chemically produced in a laboratory.
[00:21:21.618 --> 00:21:23.579]  Order camembert powder today.
[00:21:23.820 --> 00:21:32.485]  Call 908-691-2608 or visit HempUSA.org and see what our powder, seeds, and oil can do for you.
[00:21:32.885 --> 00:21:33.946]  Hi, this is Ted Anderson.
[00:21:34.126 --> 00:21:38.509]  Have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold IRAs?
[00:21:38.689 --> 00:21:44.393]  They've been available since 1986, yet the financial industry won't recognize the value of gold for your retirement.
[00:21:44.493 --> 00:21:47.915]  Gold has outperformed paper investments, yet no word about IRAs.
[00:21:48.135 --> 00:21:50.737]  If you would like to have gold for your retirement, call 800-686-2237.
[00:21:50.857 --> 00:21:55.760]  Don't get left behind by rising inflation and low returns.
[00:21:55.920 --> 00:21:56.141]  Call 800-686-2237.
[00:21:56.161 --> 00:21:57.562]  Secure your future and call 1-800-686-2237.
[00:22:02.905 --> 00:22:08.548]  Would it save you time to get the best quality water filters and the best quality storable foods from one company?
[00:22:08.929 --> 00:22:09.689]  You bet it would!
[00:22:09.949 --> 00:22:11.010]  And now you can!
[00:22:11.310 --> 00:22:21.536]  At BigBerkyWaterFilters.com, Big Berky Water Filter products and great tasting, long lasting, storable Wyze Foods are both now available on one website.
[00:22:21.796 --> 00:22:23.697]  BigBerkyWaterFilters.com.
[00:22:23.958 --> 00:22:24.638]  Wyze Foods.
[00:22:24.838 --> 00:22:29.904]  Ready-to-eat meals are packed in airtight nitrogen pouches and come with a 25-year shelf life.
[00:22:30.204 --> 00:22:36.231]  Big Berkey water filters are powerful enough to purify treated, untreated, or even stagnant pond water.
[00:22:36.512 --> 00:22:41.057]  Combine Berkey water filters with Wise Foods for an unbeatable preparedness combination.
[00:22:41.417 --> 00:22:43.158]  Get free shipping on every order over $50.
[00:22:43.718 --> 00:22:47.959]  And GCN listeners receive 5% off all ceramic filter systems.
