[00:00:00.684 --> 00:00:01.005]  I got it.
[00:08:14.290 --> 00:08:20.875]  Some say they can't eat or are too worried to sleep, while others say that they are suicidal, according to NASA.
[00:08:21.816 --> 00:08:34.243]  Astrobiologist David Morrison, the apocalypse rumors began with claims that Nibiru, a rogue 10th planet, discovered by the Sumerians, will crash into Earth on December 21st, killing everyone.
[00:08:34.243 --> 00:08:47.310]  And again, there are hundreds of thousands of amateur astronomers that find more stuff in the Kuiper Belt, but even things closer in, asteroids and things in the asteroid belt, even small asteroids, or asteroids coming close to the Earth.
[00:08:47.310 --> 00:08:49.351]  Believe me, folks, if a planet was 18 days out
[00:08:52.212 --> 00:08:58.596]  Moving at a normal orbital speed for this solar system.
[00:08:58.596 --> 00:09:02.779]  It would be giant looming in the night sky.
[00:09:02.779 --> 00:09:03.880]  Bigger than Mars.
[00:09:03.880 --> 00:09:04.841]  Bigger than Jupiter.
[00:09:04.841 --> 00:09:07.523]  This is so ridiculous.
[00:09:08.602 --> 00:09:12.484]  And it's the mainstream media in Hollywood that have fostered and pushed all this.
[00:09:12.484 --> 00:09:23.511]  And then every time I've got some national nightline or whoever down here visiting us, or CBS, they always ask me stuff like, well, is the world going to be ending?
[00:09:23.511 --> 00:09:24.552]  You're a big pusher of 2012.
[00:09:24.552 --> 00:09:26.373]  I'm like, no, I'm not.
[00:09:26.373 --> 00:09:29.054]  Never have been.
[00:09:29.054 --> 00:09:31.696]  Always said it was bull for 17 years on air.
[00:09:33.477 --> 00:09:51.857]  And that's what's so frustrating about this is the corporate dinosaur, prostitute, deceptive media, the state-run media, the globalist foreign banker-run media, the collaborator trader media, the dumbed-down repeater media that just takes press releases from government corporations and lazily regurgitates it back out at us.
[00:09:53.378 --> 00:10:05.465]  They have so effectively dumbed down the population in the last hundred years of this intensifying and television and the whole decadent culture that they'll probably get away with it.
[00:10:06.815 --> 00:10:17.758]  So, but remember, it's never been the mass of bleeding sheep that actually affect the destiny of human development and civilization in our society and humankind.
[00:10:17.758 --> 00:10:30.661]  It has always been a tiny minority of evil with a much larger minority of good contending for the control of the future destiny and development of society.
[00:10:31.923 --> 00:10:35.304]  We also have massive news obviously on the fiscal cliff in the economy.
[00:10:35.304 --> 00:10:36.985]  We're going to be getting into that.
[00:10:36.985 --> 00:10:41.446]  And again, global government now seeks total control over the Internet.
[00:10:41.446 --> 00:10:44.787]  That's a natural news story with all the links and proof.
[00:10:44.787 --> 00:10:54.070]  Weekly Standard, UN to seek control over the Internet, Wall Street Journal, Google have all put out press releases confirming that.
[00:10:54.070 --> 00:10:57.931]  I've read what the UN's been pushing forever, and I know this is true.
[00:10:59.497 --> 00:11:01.538]  I know it's true what's being reported.
[00:11:01.538 --> 00:11:03.979]  We're going to be going over that at the start of the next hour.
[00:11:03.979 --> 00:11:15.404]  I'm going to spend some time in the second hour on this today so people can understand the facts of the battle over the architecture of the, quote, Internet that is our new civilization.
[00:11:15.404 --> 00:11:21.026]  And what the different visions of the Internet are versus what it's basically grown into.
[00:11:21.026 --> 00:11:24.188]  Russians demand broad UN role in net governance.
[00:11:24.188 --> 00:11:26.049]  Leak reveals CNET news.
[00:11:28.837 --> 00:11:31.522]  UN calls for anti-terror internet surveillance.
[00:11:31.522 --> 00:11:33.025]  CNET News.
[00:11:33.025 --> 00:11:35.088]  UN takeover of the internet must be stopped.
[00:11:36.187 --> 00:11:38.029]  CNET News.
[00:11:38.029 --> 00:11:39.790]  Even worse than SOPA.
[00:11:39.790 --> 00:11:42.572]  New CISPA cybersecurity bill will censor the web.
[00:11:42.572 --> 00:11:44.794]  That's Russian news, admitting it.
[00:11:44.794 --> 00:11:46.235]  Cybersecurity ties into this.
[00:11:46.235 --> 00:11:52.501]  Obama has actually been going along with this while putting out rhetoric that he's not exactly for the UN takeover.
[00:11:52.501 --> 00:12:01.548]  Just like his lawyers wrote the NDAA, indefinite detention of the American people, just opened, no doubt, 200 proof tyranny.
[00:12:04.768 --> 00:12:04.991]  110% evil.
[00:12:07.222 --> 00:12:12.924]  And then, whenever it looked like it was about to be beaten, he came out and said, well, A, I'm against it, and B, I'm going to veto it.
[00:12:12.924 --> 00:12:14.224]  And then it turned out he'd written it.
[00:12:14.224 --> 00:12:15.584]  That came out in congressional testimony.
[00:12:15.584 --> 00:12:18.025]  His lawyers had, because senators were getting blamed for it.
[00:12:18.025 --> 00:12:21.526]  And they said, look, here's the letter from the head White House counsel.
[00:12:21.526 --> 00:12:27.748]  Obama has called senators, demanding we do this, and that he is a lawyer, and is a constitutional lawyer.
[00:12:27.748 --> 00:12:31.369]  And we've played the clips from the Senate floor, helped write this.
[00:12:31.369 --> 00:12:33.009]  So don't blame me.
[00:12:33.009 --> 00:12:34.390]  We don't want this in there.
[00:12:37.014 --> 00:12:43.918]  So of course Obama's acting like out of one side of his mouth he's not for this because he's there to deceive you.
[00:12:43.918 --> 00:12:46.500]  I've got an article here out of Fox News.
[00:12:46.500 --> 00:12:53.204]  Angry New Yorkers, just to show how this ties together, say Obama pledged to cut red tape ignored by FEMA.
[00:12:53.204 --> 00:13:02.750]  They've still got 800 giant government housing facilities in New York alone with tens of thousands no power.
[00:13:02.750 --> 00:13:04.591]  Areas of New Jersey still don't have power.
[00:13:06.721 --> 00:13:17.228]  And the government's using Agenda 21, global zoning, to say, oh, all over the New Jersey coast, you can't rebuild your house or hotel because it's bad for the earth.
[00:13:17.228 --> 00:13:18.909]  You're not allowed to build anymore on your own property.
[00:13:18.909 --> 00:13:23.312]  They'll buy you off pennies on the dollar and turn around a few years later and let megacorporations move in.
[00:13:23.312 --> 00:13:26.674]  This is what corrupt, fascistic government is all about.
[00:13:26.674 --> 00:13:32.797]  Fascistic, authoritarian, crony, insider, monopoly, fraud.
[00:13:32.797 --> 00:13:34.058]  Mafia government at the top.
[00:13:34.058 --> 00:13:34.739]  That's really what it is.
[00:13:35.748 --> 00:13:38.750]  They're exempt from all the rules and laws they pass globally.
[00:13:38.750 --> 00:13:39.891]  They're outside of that.
[00:13:39.891 --> 00:13:41.252]  They don't pay taxes.
[00:13:41.252 --> 00:13:42.653]  They don't pay corporate taxes.
[00:13:42.653 --> 00:13:44.295]  They don't pay individual taxes.
[00:13:44.295 --> 00:13:47.858]  They're all exempt, or pay almost zero tax, all these top globalists.
[00:13:47.858 --> 00:13:49.739]  And that's well admitted.
[00:13:49.739 --> 00:13:51.801]  All the EU bureaucrats, zero taxes.
[00:13:53.168 --> 00:13:59.753]  Just type in EU bureaucrats pay no tax, and they write the law to have 80% tax now in France.
[00:13:59.753 --> 00:14:01.455]  That is the model of the world.
[00:14:01.455 --> 00:14:04.758]  They say the model of the EU, and they want to merge the EU with Russia.
[00:14:04.758 --> 00:14:06.599]  That's now being announced over the weekend.
[00:14:06.599 --> 00:14:09.501]  I have that up at Infowars.com.
[00:14:09.501 --> 00:14:11.103]  Mainstream news announcing that.
[00:14:11.103 --> 00:14:14.325]  Russian press releases out of the Russian government.
[00:14:14.325 --> 00:14:15.887]  And then, of course, they've already started in 2007.
[00:14:15.887 --> 00:14:18.048]  It's in my film Endgame.
[00:14:19.028 --> 00:14:31.775]  Blueprint for Global Enslavement merging the European Union with the American Union that Bush signed in 2005 at Waco, Texas with Vicente Fox and Paul Martin.
[00:14:31.775 --> 00:14:34.536]  Do you understand we're already under global governance?
[00:14:34.536 --> 00:14:41.340]  It's like they celebrated the 60th anniversary of the European Union in 2007.
[00:14:41.340 --> 00:14:42.281]  Did you hear what I just said?
[00:14:43.442 --> 00:14:46.403]  They celebrated in all 25 member states.
[00:14:46.403 --> 00:14:51.404]  Literally no one showed up for the parades and the fireworks in every major capital in Europe.
[00:14:51.404 --> 00:14:52.464]  They don't care though.
[00:14:52.464 --> 00:14:53.964]  Taxpayers paid for it.
[00:14:53.964 --> 00:14:56.505]  Jugglers, floats, you name it.
[00:14:56.505 --> 00:14:57.625]  No one lining the streets.
[00:14:57.625 --> 00:15:03.006]  60 year anniversary in 2007.
[00:15:03.006 --> 00:15:06.187]  I thought the Euro started in 2000.
[00:15:06.187 --> 00:15:10.248]  No, it started in a trade agreement in 1957.
[00:15:10.248 --> 00:15:11.728]  The Treaty of Rome, go read it.
[00:15:11.728 --> 00:15:12.148]  And look,
[00:15:12.967 --> 00:15:13.668]  That's my point.
[00:15:13.668 --> 00:15:16.810]  We're already under a global corporate governance.
[00:15:16.810 --> 00:15:20.193]  Read our article, Banks Declare They've Conquered the US and Europe.
[00:15:20.193 --> 00:15:28.720]  Dozens of video links and text links to the heads of the EU, the heads of the State Department here, all announcing we're under global government.
[00:15:28.720 --> 00:15:34.925]  The Pentagon has been told that they now work for foreign banks and that America has been dissolved.
[00:15:34.925 --> 00:15:41.310]  That's why this year Obama, three separate times, told Congress, you don't launch wars
[00:15:42.745 --> 00:15:46.431]  We don't care what you do, the UN gives us orders along with NATO.
[00:15:46.431 --> 00:15:50.918]  And speaking of that, when we come back, it's mainstream news.
[00:15:50.918 --> 00:15:52.421]  I'm gonna cover it.
[00:15:52.421 --> 00:15:55.686]  Obama says he's gonna take the power of the purse away from Congress.
[00:15:55.686 --> 00:15:56.667]  You can't make this up.
[00:16:02.330 --> 00:16:10.433]  If you want an American company with American products made by Americans, here is the Cal-Ben Soap Company.
[00:16:10.433 --> 00:16:14.514]  Alex and his staff have used these pure soap products for years.
[00:16:14.514 --> 00:16:21.817]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[00:16:21.817 --> 00:16:25.378]  See them on the web at 5starsoap.com or call 800-340-7000.
[00:16:27.419 --> 00:16:29.660]  Call 800-340-7091 for a free catalog.
[00:16:29.660 --> 00:16:35.603]  Buy the 1 to 2 month sample package and enjoy soaps that are twice as good as what you're using now.
[00:16:35.603 --> 00:16:41.026]  Or save big with a 1 to 2 year supply of soaps for all your cleaning needs.
[00:16:41.026 --> 00:16:43.007]  This is an amazing deal.
[00:16:43.007 --> 00:16:48.230]  You can save thousands of dollars and you will love the way real soap makes you feel.
[00:16:48.230 --> 00:16:51.471]  See them on the web at 5starsoap.com or call 800-340-7091 for a free catalog.
[00:17:01.277 --> 00:17:06.863]  We have witnessed two terrible storms in the East, but we are still in the eye of the perfect storm.
[00:17:06.863 --> 00:17:10.126]  The most devastating economic condition since the Great Depression.
[00:17:10.126 --> 00:17:12.929]  America's worst drought in agricultural history.
[00:17:12.929 --> 00:17:15.952]  And now the economic results of the presidential election.
[00:17:15.952 --> 00:17:19.475]  This perfect storm is a huge threat to everyone's food supply.
[00:17:19.475 --> 00:17:24.060]  I just doubled down and got even more supplies from E-Foods Direct, and I recommend you do the same.
[00:17:24.640 --> 00:17:27.322]  It's time to get your own supply from eFoodsDirect.
[00:17:27.322 --> 00:17:30.985]  I know I won't be standing in a bread line trading my freedom for food.
[00:17:30.985 --> 00:17:33.106]  I'm taking control of my future.
[00:17:33.106 --> 00:17:34.747]  And you're nuts if you don't do the same.
[00:17:34.747 --> 00:17:38.670]  Go to eFoodsDirect.com forward slash Alex to find the specials.
[00:17:38.670 --> 00:17:43.073]  And you can start with a holiday gift pack that's normally $80, now under $50.
[00:17:43.073 --> 00:17:45.595]  Remember, I can warn you, but I can't feed you.
[00:17:45.595 --> 00:17:47.336]  Call 800-409-5633 or eFoodsDirect.com forward slash Alex.
[00:17:51.039 --> 00:17:54.820]  Would you rather prepare six months too early or one day too late?
[00:17:54.820 --> 00:17:59.601]  Or 095633 or efoodsdirect.com forward slash Alex.
[00:17:59.601 --> 00:18:02.662]  Have you ever wanted to generate your own supply of electrical power?
[00:18:02.662 --> 00:18:04.643]  Even save money on your electric bill?
[00:18:04.643 --> 00:18:08.263]  If so, this could be one of the most important messages you will ever hear.
[00:18:08.263 --> 00:18:10.324]  Solar power generators are now available.
[00:18:10.444 --> 00:18:14.105]  These emergency backup systems provide life-saving electrical power.
[00:18:14.105 --> 00:18:20.188]  Unlike gas generators, a solar generator runs quietly, emits no fumes, and produces electricity from the sun.
[00:18:20.188 --> 00:18:23.889]  It's like having an electrical power plant running quietly in your own home.
[00:18:23.889 --> 00:18:31.712]  Run sump pumps, shortwave radios, computers, and even keep your food from spoiling, whether it's hurricanes, ice storms, brownouts, or blackouts.
[00:18:31.892 --> 00:18:34.614]  You'll never suffer through painful power outages again.
[00:18:34.614 --> 00:18:35.895]  And here's the best news.
[00:18:35.895 --> 00:18:39.056]  A remarkable fall truckload sale is going on right now.
[00:18:39.056 --> 00:18:42.979]  It gets you $1,700 in bonuses when you buy a solar generator.
[00:18:42.979 --> 00:18:50.824]  To find out why these solar generators are the best generators and get $1,700 in bonuses for doing so, go to falltruckloadsale.com.
[00:18:50.824 --> 00:18:52.905]  That's falltruckloadsale.com.
[00:18:52.905 --> 00:18:55.086]  Generate your own supply of electricity.
[00:18:55.086 --> 00:18:57.128]  Go to falltruckloadsale.com.
[00:18:57.128 --> 00:18:58.929]  That's falltruckloadsale.com.
[00:19:00.143 --> 00:19:10.770]  The Silver Lungs Generator is the only all-encompassing professional class product for producing endless colloidal and ionic silver solutions right from the convenience of your home.
[00:19:10.770 --> 00:19:20.976]  With recent regulations threatening the sale of silver-based supplements, now you can secure yourself and your family by producing your own silver solutions anywhere, anytime.
[00:19:21.917 --> 00:19:29.483]  You can have the peace of mind knowing that you can create endless supply of silver anytime, anywhere, for any application.
[00:19:29.483 --> 00:19:36.689]  The Silver Lungs Generator is a one-time purchase that requires no maintenance nor replacement parts for the life of the unit.
[00:19:36.689 --> 00:19:41.473]  This product was designed to be an invaluable part of your vital preparations.
[00:19:41.473 --> 00:19:48.799]  For a detailed report on the differences between ionic silver, colloidal silver, and what most silver solution manufacturers are producing,
[00:19:48.979 --> 00:20:01.214]  Please visit our website at www.SilverLungs.com for more information on why you should be producing your own silver solutions right from your home forever.
[00:20:01.214 --> 00:20:02.736]  Coast to Coast.
[00:20:02.736 --> 00:20:04.798]  Direct from Austin.
[00:20:04.798 --> 00:20:07.982]  You're listening to the Alex Jones Broadcasting Network.
[00:20:13.172 --> 00:20:18.113]  Defending the Republic from enemies foreign and domestic.
[00:20:18.113 --> 00:20:20.674]  It's Alex Jones.
[00:20:20.674 --> 00:20:41.838]  Alright ladies and gentlemen we are back live and let's go ahead now and get into the fiscal cliff.
[00:20:43.092 --> 00:20:44.975]  This is what they do.
[00:20:44.975 --> 00:20:47.559]  The globalists have done this in hundreds of countries.
[00:20:47.559 --> 00:20:51.306]  Third world countries, first world countries, old world countries.
[00:20:51.306 --> 00:20:51.827]  Who are they?
[00:20:51.827 --> 00:20:55.793]  They are the central private megabanks that have gotten the control.
[00:20:57.262 --> 00:21:03.007]  Over the issuance of currency and credit to themselves.
[00:21:03.007 --> 00:21:07.872]  They can release unlimited derivatives, unlimited fiat.
[00:21:07.872 --> 00:21:17.601]  They can do whatever they want, but they get real wealth by getting you in debt and your country in debt, and then tricking you to waive your assets over to them.
[00:21:19.159 --> 00:21:24.424]  And going over these articles here, Boehner flabbergasted by Geithner offer.
[00:21:24.424 --> 00:21:27.307]  What was the offer last Friday?
[00:21:27.307 --> 00:21:31.310]  The public offer in letters and a visit to Congress?
[00:21:31.310 --> 00:21:38.257]  It was give the president the power of the purse to raise the national debt limit whenever he wants.
[00:21:38.877 --> 00:21:42.318]  And let Congress basically waive that power and hand it over to them.
[00:21:42.318 --> 00:21:48.941]  And then the President couldn't be overridden by a two-thirds majority, which is almost impossible to get in the House and Senate, in the Congress.
[00:21:48.941 --> 00:21:51.662]  Pretty much an absolute shutdown.
[00:21:51.662 --> 00:21:59.445]  Speaker John Boehner said he was flabbergasted with the White House's initial proposal to avoid the so-called fiscal cliff.
[00:22:00.265 --> 00:22:12.649]  The Ohio Republican said he told Treasury Secretary Tim Geithner you can't be serious when the lead White House negotiator presented the plan to the GOP congressional leaders last week.
[00:22:12.649 --> 00:22:17.731]  Boehner detailed his reaction in an exclusive interview with Fox News Sunday Chris Wallace.
[00:22:18.431 --> 00:22:27.919]  He called the administration proposal that included $1.6 trillion in tax increases, $400 billion in unspecified tax cuts, and a bevy of additional stimulus spending nonsense.
[00:22:27.919 --> 00:22:30.381]  Three weeks have been wasted with this nonsense.
[00:22:30.381 --> 00:22:34.044]  And again, just like they held everybody hostage four years ago in 2008.
[00:22:36.008 --> 00:22:50.014]  And you can go look at the congressional testimony where the Secretary of the Treasury, Paulson, threatened martial law and taking the stock market to zero, basically, the Dow Jones, if they didn't give the megabanks unlimited trillions of dollars.
[00:22:50.014 --> 00:23:03.060]  Not the $887 billion you were told about, but a wide open, open window from the Federal Reserve, open market window, unlimited zero percent credit for the megabanks so they could loan it out to us at 10, 20, 30, 40, 50 percent in some cases.
[00:23:05.741 --> 00:23:20.468]  Just amazing, and they hold Europe hostage like this, and they say you've got to give us trillions of dollars, you've got to raise taxes on everybody, you've got to destroy your economy, or we won't bail you out.
[00:23:22.031 --> 00:23:25.174]  And it continues here.
[00:23:25.174 --> 00:23:31.719]  And again, the banks are the ones being bailed out by the people, but then they are the ones bailing out the countries.
[00:23:31.719 --> 00:23:33.760]  It's just total, total fraud.
[00:23:33.760 --> 00:23:35.161]  Here's Senator Hatch.
[00:23:35.161 --> 00:23:39.765]  Obama fiscal proposal classic bait-and-switch, The Hill newspaper.
[00:23:39.765 --> 00:23:49.253]  The top-ranking Republican on the Senate Finance Committee accused President Obama of pulling a bait-and-switch this week with the administration's proposed deal to avert the so-called fiscal cliff.
[00:23:50.137 --> 00:24:10.589]  What Obama proposed this week was a classic bait-and-switch on the American people, a tax increase double the size of what he campaigned on, billions of dollars in new stimulus spending, and an unlimited unchecked authority to borrow from the Chinese, Senator Orrin Hatch said in Saturday's weekly GOP address.
[00:24:10.589 --> 00:24:16.533]  Maybe I missed it, but I don't recall him asking for any of that during the presidential campaign.
[00:24:17.313 --> 00:24:23.654]  These ideas are so radical that they have already been rejected on the bipartisan basis by Congress.
[00:24:23.654 --> 00:24:32.416]  On Thursday, Treasury Secretary Tim Geithner was dispatched to Capitol Hill to share Obama's plan with House Speaker John Boehner and Senate Leader Mitch McConnell.
[00:24:32.416 --> 00:24:37.357]  The deal included a $1.6 trillion in tax hikes and it goes over all that.
[00:24:37.357 --> 00:24:40.097]  Double what Obama had previously said.
[00:24:40.097 --> 00:24:43.678]  Now here's the biggest problem that I'd like to add to all of this.
[00:24:45.083 --> 00:24:57.138]  They're now talking about a 1 or 2 year retroactive 5 to 10 percent tax increase on households making more than a quarter million dollars a year.
[00:24:57.138 --> 00:24:59.340]  So that means that mommy and daddy both make over $125,000 a piece.
[00:25:02.594 --> 00:25:04.074]  And by the way, folks, that's not rich.
[00:25:04.074 --> 00:25:07.115]  They've made this country so poor with devalued dollars.
[00:25:07.115 --> 00:25:15.177]  Making $200,000 today is about like making $50,000 in the 1970s, ladies and gentlemen.
[00:25:15.177 --> 00:25:22.718]  Money is not what it used to be, obviously, with the ongoing march of inflation due to the Federal Reserve and their inflationary activities.
[00:25:22.718 --> 00:25:25.479]  But that's the biggest issue financially.
[00:25:25.479 --> 00:25:31.020]  Look, they know when they raise taxes all over Europe, it would put the economy into a tailspin and into cardiac arrest.
