[00:00:00.089 --> 00:00:00.750]  Find out right now!
[00:03:41.819 --> 00:03:48.062]  And the head of the University of Texas Chicano Studies at UT Arlington has given speeches.
[00:03:48.122 --> 00:03:49.762]  We've played clips of him in the past.
[00:03:49.802 --> 00:03:53.844]  He said all white males 16 and older need to be killed.
[00:03:53.944 --> 00:03:57.886]  Now he just says all whites need to be killed and it's been in the news.
[00:04:00.107 --> 00:04:01.568]  I have to report on this.
[00:04:03.631 --> 00:04:21.780]  Frankly, I'm a modern white male riddled with guilt over what whites have done in the past, but I've broken through that and I stand up against any and all forms of tribalism and racism that go on out there.
[00:04:22.380 --> 00:04:31.845]  I just don't understand the incredible denial that some people are engaging in
[00:04:33.030 --> 00:04:41.913]  When it comes to this subject, and the globalists couldn't be happier that they've got whites and blacks and Hispanics at each other's throats.
[00:04:43.993 --> 00:04:45.474]  So I'm going to break that down.
[00:04:46.894 --> 00:04:53.136]  Also, a couple weeks ago, Keith Olbermann did a commentary piece titled Sacrifice, and
[00:04:54.685 --> 00:04:56.546]  I'd been so busy I'd never watched it.
[00:04:57.106 --> 00:05:02.009]  And he basically, he didn't basically, he came out and he said, Bush is engaging in human sacrifice.
[00:05:02.509 --> 00:05:04.951]  This is about human sacrifice.
[00:05:05.811 --> 00:05:06.952]  When he says sacrifice.
[00:05:07.672 --> 00:05:17.578]  And I wanted to dovetail that with a video analysis I did of occultic war memorials in Canada, the U.S., and England.
[00:05:18.479 --> 00:05:19.599]  So that's coming up too.
[00:05:19.739 --> 00:05:22.641]  A bunch of economic news, a bunch of Iran war news.
[00:05:23.496 --> 00:05:24.897]  A bunch of police state news.
[00:05:24.997 --> 00:05:28.658]  It's just... Huge broadcast coming up.
[00:05:28.778 --> 00:05:29.279]  Stay with us.
[00:05:29.299 --> 00:05:33.120]  The websites are PrisonPlanet.com, Infowars.net, and PrisonPlanet.tv.
[00:05:33.220 --> 00:05:39.263]  It's here.
[00:05:39.443 --> 00:05:44.225]  After a year in production and traveling to distant lands, my new film, Terror Storm, is complete.
[00:05:44.586 --> 00:05:52.249]  Shocking declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[00:05:52.924 --> 00:05:59.966]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[00:06:00.366 --> 00:06:11.789]  Terror Storm chronicles the lies that took us to war in Iran, a White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[00:06:12.109 --> 00:06:15.610]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[00:06:16.070 --> 00:06:18.011]  It's an anthology of government crimes.
[00:06:18.331 --> 00:06:22.172]  Terror Storm is a film that everyone who wants to be truly informed must see.
[00:06:22.772 --> 00:06:29.637]  Get your copy today at InfoWars.com or PrisonPlanet.com or by calling toll free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv
[00:06:35.313 --> 00:06:40.594]  Hello folks, this is Alex Jones introducing you to the incredible Berkey Solar Charger.
[00:06:40.794 --> 00:06:42.875]  Your source for free solar electricity.
[00:06:43.115 --> 00:06:50.216]  This portable system is the size of a book when folded and small enough to fit into a briefcase, handbag, or glove compartment.
[00:06:50.356 --> 00:07:01.879]  The Berkey Solar Charger has been designed to power the Berkey lights, LED lamps, as well as other applications such as mobile phones, radios, digital cameras, and PDAs when electricity is unavailable.
[00:07:02.279 --> 00:07:09.664]  It's multi-voltage capabilities, multiple adapters, and rechargeable batteries provide for flexible source of auxiliary backup power.
[00:07:09.924 --> 00:07:14.948]  Simply place the Berkey Solar Charger in the sun, plug in your application, and you have power.
[00:07:15.048 --> 00:07:20.091]  Disconnect your application, and the system automatically begins charging its own rechargeable batteries.
[00:07:20.351 --> 00:07:25.735]  Get the incredible Berkey Solar Charger for only $75 by calling New Millennium at 888-803-4438.
[00:07:25.755 --> 00:07:26.976]  And tell them Alex Jones sent you.
[00:07:27.056 --> 00:07:28.417]  That's toll-free, triple A.
[00:07:32.059 --> 00:07:32.260]  Call 8803-4438.
[00:07:35.487 --> 00:07:35.907]  Shall I?
[00:07:35.947 --> 00:07:37.188]  You look exu... Oh, wait!
[00:07:37.328 --> 00:07:38.408]  Why did you turn that down?
[00:07:38.428 --> 00:07:41.029]  I get so tired of that girl's squeaky voice.
[00:07:41.529 --> 00:07:46.011]  I'm sure the bed fan works, but that squeaky voice... Well, what's the bed fan?
[00:07:46.191 --> 00:07:48.632]  It's a fan that helps hot sleepers stay cool at night.
[00:07:48.892 --> 00:07:50.053]  I could use something like that.
[00:07:50.173 --> 00:07:52.494]  This menopause thing is really getting to me at night.
[00:07:52.634 --> 00:07:55.535]  And you know how I am about doing that hormone therapy thing.
[00:07:55.595 --> 00:07:57.395]  Besides, you're a hot sleeper yourself.
[00:07:57.495 --> 00:07:59.756]  You're always throwing the covers off in the middle of the night.
[00:08:00.136 --> 00:08:00.777]  I guess you're right.
[00:08:01.137 --> 00:08:01.837]  Why don't we try it?
[00:08:01.997 --> 00:08:03.958]  Just think how nice it'll be to sleep through the night.
[00:08:04.398 --> 00:08:08.780]  Yeah, and just think how nice it'll be this summer and all the money we can save on air conditioning.
[00:08:09.100 --> 00:08:10.461]  I know where we can get some more information.
[00:08:10.841 --> 00:08:15.203]  Sleep disorder centers across the country recommend that you must stay cool to get a good night's sleep.
[00:08:15.443 --> 00:08:18.745]  The BedFan will keep you cool and give you the restful sleep you deserve.
[00:08:18.985 --> 00:08:22.127]  With our 30-day 100% guarantee, you risk nothing.
[00:08:22.507 --> 00:08:23.367]  Are you a hot sleeper?
[00:08:23.587 --> 00:08:24.848]  Is your partner a hot sleeper?
[00:08:25.048 --> 00:08:26.349]  The BedFan is the answer.
[00:08:26.609 --> 00:08:29.951]  Visit us today at www.bedfan.com.
[00:08:30.231 --> 00:08:32.892]  That's www.bedfan.com.
[00:08:33.092 --> 00:08:35.054]  That's B-E-D-F-A-N-D-O-T.
[00:08:35.314 --> 00:08:40.338]  The Genesis Communications Radio Network proudly presents The Alex Jones Show.
[00:08:40.718 --> 00:08:43.000]  Because there's a war on for your mind.
[00:08:58.055 --> 00:09:03.319]  The European Union's gross domestic product has surpassed that of the United States.
[00:09:05.120 --> 00:09:10.924]  Its currency has dwarfed the value of the plunging dollar.
[00:09:12.966 --> 00:09:17.009]  The United States is now universally hated across the world.
[00:09:17.887 --> 00:09:28.529]  And I want to do a brief analysis on that subject, and I want to get into Keith Upperman's piece a few weeks ago about sacrificing the troops, because now we've got the numbers in, record numbers of U.S.
[00:09:28.549 --> 00:09:41.412]  troops dying on a daily basis, since a week and a half ago when they started putting in the first of 21,600 troops, mainly in Baghdad, and 16 unarmed, undefended substations.
[00:09:42.489 --> 00:09:48.354]  Every military strategist, even Neocon Oliver North, said it was totally insane and would get all the troops killed.
[00:09:48.954 --> 00:09:50.195]  Well, you better believe it.
[00:09:50.235 --> 00:09:51.316]  It's a human sacrifice.
[00:09:51.696 --> 00:09:53.357]  The Aztecs killed their warriors.
[00:09:53.397 --> 00:09:54.818]  That was their favorite sacrifice.
[00:09:54.878 --> 00:09:58.681]  And believe me, folks, that is exactly what they're doing.
[00:09:59.322 --> 00:10:00.042]  Literally.
[00:10:00.583 --> 00:10:02.044]  This is a cultic.
[00:10:02.604 --> 00:10:04.746]  They believe they're getting power out of it.
[00:10:06.357 --> 00:10:08.459]  That's why Stalin and Hitler did what they did.
[00:10:08.539 --> 00:10:10.580]  It is a cultic sacrifice.
[00:10:10.600 --> 00:10:12.341]  And I'm sorry if you have trouble dealing with that.
[00:10:12.661 --> 00:10:17.064]  It's totally insane, but the people running things are insane.
[00:10:18.385 --> 00:10:20.207]  And anyone who's got a brain knows it.
[00:10:20.567 --> 00:10:22.148]  And Keith Olbermann knows it.
[00:10:22.548 --> 00:10:26.251]  But I want to go back to a piece we just put out for PrisonPlanet.tv members.
[00:10:28.072 --> 00:10:30.554]  Well, Part 1 went up last Friday.
[00:10:30.614 --> 00:10:32.175]  Part 2 went up yesterday.
[00:10:33.209 --> 00:11:02.101]  We took the footage I shot in England, footage I shot in Canada, never-before-seen stuff, footage we shot a few weeks ago in Austin, Texas, showing war memorials and police memorials, and they will always have the goddess Diana, or the several other goddesses, that's who the Illuminati mainly worships, is the goddess, looking down always on the memorial that will then list the numbers of dead, and that is a sacrifice to her.
[00:11:02.711 --> 00:11:04.012]  And I show it in Austin.
[00:11:04.072 --> 00:11:06.294]  I show it in Ottawa, Canada, in the capital.
[00:11:06.674 --> 00:11:07.595]  I show it in London.
[00:11:08.356 --> 00:11:18.084]  And anytime you see a big goddess riding a triumphant stallion or in a chariot, a lot of times it'll say, this is a sacrifice of the order of death.
[00:11:18.104 --> 00:11:20.446]  And it says that in England.
[00:11:20.526 --> 00:11:23.128]  It says the glorious order of death
[00:11:24.303 --> 00:11:27.245]  Uh, their sacrifice to the mother.
[00:11:27.585 --> 00:11:31.368]  And man, there's a giant goddess standing right over it with pleasure.
[00:11:31.728 --> 00:11:37.391]  Her eyes will be locked on the obelisk or on the tomb.
[00:11:37.411 --> 00:11:41.614]  And it is laid before her lovingly.
[00:11:43.286 --> 00:11:49.834]  The Texas Peace Officers Memorial behind the Capitol here in Austin is a giant black pentagram.
[00:11:49.874 --> 00:11:54.340]  It's just a huge black pentagram with two obelisks sticking out of the middle of it.
[00:11:55.557 --> 00:12:24.453]  uh... and with with a cultic uh... riding all over it i mean it's just it's just you're running along to the jungle in paraguay or something you came across it you'd say you'd found an ancient pagan monument but no it's just a police officer memorial it's no big deal big black pentagram uh... so we'll be talking about that because it dovetails into what hutton gibson uh... breaking the silence of the two plus years joining us in the second hour will be discussing
[00:12:26.460 --> 00:12:33.303]  But right now, let me get into the collapse of the United States, and this is only the beginning.
[00:12:34.223 --> 00:12:52.290]  I remember old-timers, back when I was waking up 15 years ago, years before I got on air, they would say there's a plan to destroy our military, to debase it, to put our troops in all these foreign lands, and then incrementally they're going to merge our police with foreign police and military, and they're going to take down the United States.
[00:12:56.525 --> 00:12:58.926]  So many people got the documents.
[00:12:58.986 --> 00:13:00.986]  They had news articles going back to the 30s, 40s, 50s, 60s.
[00:13:01.046 --> 00:13:04.107]  You know, they weren't just crystal balling this.
[00:13:05.228 --> 00:13:05.728]  They knew.
[00:13:07.568 --> 00:13:09.949]  They understood what was happening.
[00:13:10.029 --> 00:13:13.670]  And you've heard many of them over the last 12 years on the show talk about it.
[00:13:14.370 --> 00:13:22.432]  And it's hard to believe, but it's hard to believe that 3.9 trillion will be missing from the Pentagon or that Dime Corp and Halliburton will be publicly running child kidnapping rings.
[00:13:22.752 --> 00:13:24.693]  And it'd be in the newspaper and no one would get in trouble.
[00:13:25.405 --> 00:13:29.148]  I mean, truth is stranger than fiction with these devils that we're talking about.
[00:13:32.930 --> 00:13:35.492]  So I want to start with the decline of the U.S.
[00:13:35.752 --> 00:13:37.293]  by getting into foreign troops.
[00:13:39.595 --> 00:13:51.883]  In plain view, they announced six years ago, and it was in the Washington Post and the Washington Times, that they weren't just hiring illegal aliens to then become
[00:13:55.848 --> 00:14:03.174]  naturalized immigrants who were getting green cards to join the military for three to five years stance and then get citizenship afterwards.
[00:14:04.195 --> 00:14:12.843]  And it said that the military was recruiting out of the prisons the illegal aliens who were aggravated felons and that they wanted aggravated felons.
[00:14:13.303 --> 00:14:14.464]  I made a pretty big deal out of that.
[00:14:17.027 --> 00:14:19.889]  And I think it's important.
[00:14:20.709 --> 00:14:48.506]  And then a few weeks ago the AP and the Boston Globe and others came out with headlines like military considering recruiting foreigners and then you read the first paragraph it said well they've already been doing it for years but now they're expanding it with recruiting stations in Manila, Mexico City, Ukraine everywhere and I'd seen the numbers that twenty percent plus of the ground forces in the army in Iraq were illegal alien
[00:14:50.085 --> 00:14:53.526]  Legalized via their signing up.
[00:14:56.087 --> 00:14:58.688]  And a lot of this is under hat, only some of it's public.
[00:14:58.708 --> 00:15:01.009]  And the stuff we know is just off the chart bad.
[00:15:02.389 --> 00:15:04.630]  So everybody needs to understand, the old timers were right.
[00:15:04.650 --> 00:15:13.153]  It isn't going to be Red Dawn with foreign troops parachuting down into schoolyards and cornfields.
[00:15:14.000 --> 00:15:20.844]  Or jumbo jets landing in major cities and the noses popping off and tanks rolling off with Russians, you know, leading Cuban forces.
[00:15:21.445 --> 00:15:21.925]  Uh-uh.
[00:15:22.545 --> 00:15:23.966]  It's our government.
[00:15:24.006 --> 00:15:34.512]  Like Kissinger said in 91, and Evy in France, to paraphrase, and you can pull the quote up online, he said Americans, you know, wouldn't put up with foreign troops in Los Angeles, U.N.
[00:15:34.532 --> 00:15:36.994]  troops, but they will if there's a big enough global crisis.
[00:15:38.054 --> 00:15:40.636]  They would willingly accept world government as their savior.
[00:15:43.200 --> 00:15:44.501]  That's basically word for word.
[00:15:44.521 --> 00:15:45.361]  It's a longer quote.
[00:15:45.401 --> 00:15:48.263]  Just go pull up a Henry Kissinger foreign trip quote.
[00:15:48.363 --> 00:15:49.043]  It'll pop up.
[00:15:51.425 --> 00:15:57.388]  And then I remember four years ago, it's actually five, time flies, I put it in Road to Tyranny in early 2002.
[00:15:58.189 --> 00:16:03.272]  I show the Associated Press where it says a deal was signed with Mexico and Canada for
[00:16:05.194 --> 00:16:07.015]  And you can pause the video and you can read it.
[00:16:07.135 --> 00:16:08.276]  It's up on the screen.
[00:16:08.816 --> 00:16:09.597]  Mainstream News.
[00:16:10.657 --> 00:16:14.860]  To quote, patrol America and deal with terrorists in the U.S.
[00:16:15.921 --> 00:16:17.922]  It says foreign troops will deal with Americans.
[00:16:18.582 --> 00:16:18.962]  Right there.
[00:16:19.443 --> 00:16:19.963]  Mainstream News.
[00:16:20.884 --> 00:16:31.370]  And then when they did the Defense Authorization Act a few months ago last year, it was in Army times that the President took over the Governors,
[00:16:32.370 --> 00:16:40.194]  It controls them, quote, during times of insurrection or rebellion or resistance, and a bunch of other terms, dealing with the American people.
[00:16:40.935 --> 00:16:46.358]  And it went on to say that in a mutual defense pact that they're going to use foreign troops in the U.S.
[00:16:47.378 --> 00:16:54.002]  And there were three articles in the newspaper, in the military newspaper, about this.
[00:16:54.082 --> 00:16:56.403]  I mean, this is just, this is wonderful, this is good.
[00:16:57.404 --> 00:16:58.824]  So, according to them.
[00:17:00.840 --> 00:17:14.250]  As a country, your country is gone when your military has a large, really any contingent, but a large contingent of foreign-born, non-U.S.
[00:17:14.310 --> 00:17:21.555]  citizen soldiers, a motley crew of former Eastern Bloc, of African, oh I forgot that part,
[00:17:23.045 --> 00:17:27.128]  Of Mexican, Guatemalan, Panamanian, Nicaraguan.
[00:17:27.488 --> 00:17:29.009]  I mean this is Brazilian.
[00:17:29.049 --> 00:17:30.490]  This is off the charts.
[00:17:31.131 --> 00:17:33.813]  And if you don't think they won't go house to house and try to take your guns.
[00:17:33.833 --> 00:17:35.494]  And if you don't think they won't load you on trucks.
[00:17:35.854 --> 00:17:38.016]  And if you don't think they won't bust a cap in you.
[00:17:38.316 --> 00:17:41.959]  And if you don't think these people that put American flags all over their cars made in China.
[00:17:42.479 --> 00:17:43.800]  Again, desecrated American flags.
[00:17:44.100 --> 00:17:46.742]  If you don't, they'll serve whatever the state says.
[00:17:47.263 --> 00:17:48.744]  Folks, a lot of these good old boys.
[00:17:49.344 --> 00:17:55.166]  They'll turn their guns in and they will march down at a parade as, of course they'll have U.S.
[00:17:55.226 --> 00:18:00.768]  troops leading the parade and on the loudspeakers, but leading huge foreign forces.
[00:18:03.028 --> 00:18:09.910]  Down the middle of our street these people will sit there and cry and salute them and run up and just lick their boots.
[00:18:10.651 --> 00:18:12.711]  In a New York minute.
[00:18:13.332 --> 00:18:14.612]  I'm not kidding when I say this.
[00:18:15.439 --> 00:18:19.443]  Already 20% of the Army Ground Force is illegal alien, mainly Mexican.
[00:18:19.944 --> 00:18:20.284]  Okay?
[00:18:20.945 --> 00:18:22.947]  Now they're setting up huge recruiting stations.
[00:18:22.987 --> 00:18:23.868]  They're expanding them.
[00:18:24.348 --> 00:18:29.773]  Again, in the Philippines, and in Eastern Europe, and in Africa, and in Latin America.
[00:18:29.794 --> 00:18:39.243]  I mean, they have huge, huge multi-million dollar ad buys with billboards, radio, and TV ads in Mexico City, and recruiting offices in Mexico City.
[00:18:42.111 --> 00:18:46.895]  And remember the footage we got in 95, 96, 97 Patriots got?
[00:18:46.915 --> 00:19:05.232]  We put it in our police state films of camps in Louisiana where it is Ukrainian troops and it is Czech Republic troops saying we love this training this is wonderful and the role players are saying I'm an American and they're practicing going house to house taking your guns
[00:19:06.644 --> 00:19:20.830]  And then I've been to urban warfare drills where Dutch troops, British troops, Israeli troops, French troops, other foreign troops are there running around with role players screaming, I'm an American, I have rights, don't take my guns, don't put me in a camp.
[00:19:20.850 --> 00:19:22.271]  I mean, I gave you video of it.
[00:19:23.711 --> 00:19:29.994]  The military talks about how they're going to execute Americans and they have them get on their knees as they practice blowing our heads off.
[00:19:30.434 --> 00:19:33.316]  I mean, you know, you can't make this type of stuff up.
[00:19:35.016 --> 00:19:36.257]  But people couldn't believe it.
[00:19:37.233 --> 00:19:47.678]  I still get emails saying I hired an aircraft carrier, the troop carrier, Coronado, and I hired helicopters and 3,000 Marines and 2,000 foreign troops, and hovercraft and warrior fighting vehicles.
[00:19:48.479 --> 00:19:50.259]  That would be a $50 million budget.
[00:19:50.379 --> 00:19:51.500]  No, that's real.
[00:19:51.880 --> 00:19:55.262]  And you can go to the Marine Corps' website and read about Urban Warrior 99.
[00:19:55.782 --> 00:19:56.763]  But you won't do that.
[00:19:57.163 --> 00:20:01.845]  You'll just deny it and say it isn't real and say it isn't true, won't you?
[00:20:03.106 --> 00:20:03.546]  Fine.
[00:20:04.126 --> 00:20:04.506]  Fine.
[00:20:05.107 --> 00:20:05.827]  Just go right ahead.
[00:20:07.609 --> 00:20:13.011]  So when we get back, I'm going to just go over how they've destroyed our country in the world's eyes, all by design.
[00:20:14.231 --> 00:20:15.052]  All by design.
[00:20:16.072 --> 00:20:23.415]  And all you good old boys who think you're part of the power structure and think this is America's whooping up on some people, you couldn't be more wrong.
[00:20:24.755 --> 00:20:27.416]  The war in Iraq is more about destroying the U.S.
[00:20:27.496 --> 00:20:29.477]  in the world's eyes than it is anything else.
[00:20:30.397 --> 00:20:32.618]  But you aren't sophisticated enough to get that.
[00:20:37.023 --> 00:20:39.065]  Do you know the truth about cancer treatments?
[00:20:39.706 --> 00:20:48.616]  Do you realize that with all presently accepted methods, you are not correctly attacking the cancer, and you are mostly fighting to survive the treatment?
[00:20:49.177 --> 00:20:56.265]  Do you realize that mutilating surgery, burning, and the poisoning of your entire system are totally unnecessary?
[00:20:56.972 --> 00:21:02.455]  But now, it's cancer's turn to die with LaceMedInc's patented methodology.
[00:21:02.956 --> 00:21:13.782]  Without cutting, bleeding, drugs or damaging radiation, we can destroy skin cancer and breast tumors of any size without adverse side effects at our physician's office.
[00:21:14.543 --> 00:21:16.604]  Laser technology at its best.
[00:21:17.105 --> 00:21:18.545]  For more information, call 702-953-0267.
[00:21:23.089 --> 00:21:25.592]  Or, visit www.lasemedinc.com.
[00:21:25.652 --> 00:21:26.133]  Call 702-953-0267.
[00:21:36.355 --> 00:21:39.356]  David J. Smith for Newswatch Magazine.
[00:21:39.657 --> 00:21:48.701]  Did you know that the Lenin School of Political Warfare has laid down a plan for a third world war that will destroy both Christianity and Communism at the same time?
[00:21:49.401 --> 00:21:54.903]  From the rubbles of this war, the Illuminati will establish their world government, prophesied in Revelation Chapter 13.
[00:21:56.344 --> 00:22:00.126]  Communism said they would pretend to collapse, and when America had begun to disarm,
[00:22:00.746 --> 00:22:06.332]  The combined communist world would launch a surprise attack and smash us with their clenched fists.
[00:22:07.133 --> 00:22:14.321]  We'd like to show you how these things are coming to pass by offering you an absolutely free one-year subscription to Newswatch Magazine.
[00:22:15.002 --> 00:22:16.463]  Just call our toll-free number 1-800-516-8736.
[00:22:22.109 --> 00:22:29.119]  That's 1-800-516-8736 to request your subscription.
[00:22:29.300 --> 00:22:29.880]  Call now.
[00:22:30.461 --> 00:22:33.205]  Operators are standing by to receive your call.
[00:22:34.474 --> 00:22:34.694]  I think?
[00:22:52.725 --> 00:22:53.666]  I think so.
[00:23:07.722 --> 00:23:08.202]  I think so.
[00:23:34.033 --> 00:23:35.554]  Ted Anders from Formidas, January 23, 2007.
[00:24:03.933 --> 00:24:04.413]  We're good to go.
[00:24:41.391 --> 00:24:48.173]  The last-ditch effort to defend the Republic as it passes beneath the waves is taking place right now.
[00:24:49.693 --> 00:25:02.216]  If we can only admit who the enemy is and face the true crises, we may be able to salvage our beautiful, wonderful, 230-plus year old nation.
[00:25:03.476 --> 00:25:04.616]  The battle is now.
[00:25:05.356 --> 00:25:08.017]  This is an alarm to the entire planet.
[00:25:09.033 --> 00:25:13.134]  The United States is being destroyed by design from within.
[00:25:13.154 --> 00:25:15.274]  We are under siege from within and without.
[00:25:18.455 --> 00:25:22.616]  All the new order's plans are coming to fruition, unfolding today.
[00:25:23.676 --> 00:25:24.237]  Think about it.
[00:25:25.057 --> 00:25:34.459]  Foreign troops openly becoming a large portion of our military to domestically operate against the American people.
[00:25:37.071 --> 00:25:38.231]  This is incredible.
[00:25:38.551 --> 00:25:40.612]  Meanwhile, I have the BBC today.
[00:25:40.732 --> 00:25:41.572]  View of U.S.
[00:25:41.672 --> 00:25:43.253]  global role worsens.
[00:25:43.873 --> 00:25:44.733]  The view of the U.S.
[00:25:44.833 --> 00:25:48.615]  role in the world has deteriorated, both internationally and domestically.
[00:25:48.635 --> 00:25:59.418]  A BBC poll suggests the world survey conducted in 25 nations, including the U.S., found that three in four respondents disapprove of how Washington dealt with Iraq.
[00:25:59.898 --> 00:26:06.700]  The majority of the 26,318 respondents are disapproving of the way five other foreign policy areas have been handled.
[00:26:07.489 --> 00:26:12.593]  The poll released ahead of President Bush's State of the Union speech was conducted between November and January.
[00:26:13.354 --> 00:26:14.815]  The number of those who said the U.S.
[00:26:14.835 --> 00:26:19.979]  was a positive influence in the world fell in 18 nations polled in previous years.
[00:26:20.480 --> 00:26:23.062]  In those countries, 29% of the people said the U.S.
[00:26:23.402 --> 00:26:28.626]  had a positive influence, down from 36% last year and 40% two years ago.
[00:26:29.187 --> 00:26:32.470]  Across the 25 countries polled, 49% of respondents said the U.S.
[00:26:32.510 --> 00:26:34.511]  played a mainly negative role in the world.
[00:26:37.415 --> 00:26:52.822]  Also, I have a report here with the GDP of the Euro, of the European Union, for the first time, having a higher GDP than the United States.
[00:26:55.383 --> 00:26:59.205]  Its gross domestic product, its economy, growing many times faster.
[00:27:01.334 --> 00:27:02.535]  This is happening right now.
[00:27:02.795 --> 00:27:04.616]  So let me break down how this happens.
[00:27:04.636 --> 00:27:07.518]  The International Crime Syndicate funded the Communists.
[00:27:08.738 --> 00:27:09.999]  The system is not Communist.
[00:27:10.079 --> 00:27:11.120]  It uses Communists.
[00:27:11.560 --> 00:27:12.360]  It uses fascists.
[00:27:12.380 --> 00:27:13.681]  It uses anything centralized.
[00:27:14.021 --> 00:27:20.125]  As one of their top strategists, Carol Quigley, wrote in Tragedy and Hope, a 900-plus page book, in 1968.
[00:27:22.526 --> 00:27:30.431]  They funded the Soviets to take over areas of Europe, and then the globalists could blame the Soviets
[00:27:31.667 --> 00:27:40.370]  For being the prime mover behind it, while the whole time they were financed and controlled by large central banks, the Rockefellers, Arm and Hammer, and the rest of these people.
[00:27:40.970 --> 00:27:49.213]  Just like David Rockefeller helped engineer the build-up of China, and brags about it in his autobiography, and brags about it in New York Times editorials.
[00:27:52.094 --> 00:27:56.195]  So they build up these totalitarian systems, whatever name you give them.
[00:27:56.956 --> 00:28:00.557]  They're totalitarian, authoritarian, tyrannical, despotic,
[00:28:01.841 --> 00:28:02.361]  Abusive.
[00:28:02.782 --> 00:28:03.382]  Imperious.
[00:28:04.263 --> 00:28:04.783]  Imperial.
[00:28:06.904 --> 00:28:13.588]  And they run them out until they collapse, taking over the next nations.
[00:28:13.648 --> 00:28:18.831]  That's the program of exploitation of the nation, to use it against the next country.
[00:28:20.272 --> 00:28:22.894]  And they are now doing that with the United States.
[00:28:24.733 --> 00:28:26.173]  They've always hated our middle class.
[00:28:26.193 --> 00:28:27.454]  They've always hated our free market.
[00:28:27.474 --> 00:28:35.816]  They hated the fact that, previous to the experiment with our Republic, a tiny handful of people controlled most of the wealth on the planet.
[00:28:36.356 --> 00:28:45.558]  That shifted to 4%, which sounds tiny, but is much larger than the current and previously, 4% than had half the world's wealth.
[00:28:45.598 --> 00:28:48.679]  We've now 4%, that is the U.S.
[00:28:48.719 --> 00:28:50.840]  population, only has about 30% of the wealth.
[00:28:50.900 --> 00:28:52.280]  It's being extracted from us.
[00:28:53.220 --> 00:29:17.229]  So it's a process of using us up, using up our military, breaking our military down, destroying the military's morale, making the troops serve 3-4 tours, then having the war be unjust, having Rupert Murdoch own newspapers, internationally demonize the U.S., while domestically propagandizing the public that it's good to keep you in the trap just long enough until it's too late for you to stop it.
[00:29:18.897 --> 00:29:31.101]  That's important that the very same news syndicates demonize us internationally, and we're the big demon, the war's wrong, the WMDs were staged, it's all a lie, and then domestically, oh it's all good and everybody loves us and everything's fine.
[00:29:31.441 --> 00:29:45.565]  So the bankers get to sit back in Europe and London and New York while our military and our country's treasure and our blood is used to take over entire regions and destabilize entire regions, huge additional debts are run up,
