[00:00:00.169 --> 00:00:01.290]  Serious tax problem.
[00:13:24.150 --> 00:13:26.650]  He might be coming on with some comments.
[00:13:26.730 --> 00:13:27.090]  I don't know.
[00:13:27.130 --> 00:13:35.973]  It'll probably be later because we're working on some things privately that have now been pretty much blown wide open, putting loose change in theaters nationwide.
[00:13:36.333 --> 00:13:40.835]  Bill O'Reilly called for Mark Cuban's arrest, the owner of the Dallas Mavericks, Friday.
[00:13:41.715 --> 00:13:51.378]  And Danny Bonaduce, the admitted drug addict and partridge boy or whatever he is, he is calling for Rosie O'Donnell's arrest and execution.
[00:13:51.938 --> 00:13:57.862]  We're going to play that clip later, but really this Iran News is more important, so we'll be going over that.
[00:13:58.842 --> 00:14:04.966]  By the way, friends, for those that just joined us, this is not about left and right, okay, as the cliche goes.
[00:14:05.026 --> 00:14:06.787]  It's about right and wrong.
[00:14:06.807 --> 00:14:13.852]  I, frankly, boycotted Rosie O'Donnell when I got a chance to talk to her, which will be soon.
[00:14:13.972 --> 00:14:15.773]  I'm still going to tell her that I did.
[00:14:16.937 --> 00:14:19.018]  You know, it was a big part of that, frankly, I launched it.
[00:14:19.378 --> 00:14:19.978]  Don't tell anybody.
[00:14:21.178 --> 00:14:26.860]  You know, against her and Kmart back in, what was it, 2000.
[00:14:27.220 --> 00:14:36.062]  Okay, so, but I have to tell you that I have newfound respect for her on going public on 9-11 being an inside job.
[00:14:36.522 --> 00:14:38.683]  I disagree with her on a lot of political issues.
[00:14:40.183 --> 00:14:44.304]  And, but it takes a lot of guts and I've talked to some of her good personal friends.
[00:14:45.425 --> 00:14:45.965]  I've talked to
[00:14:46.863 --> 00:14:49.765]  Christine Ebersol, who co-hosts some times on The View.
[00:14:49.905 --> 00:14:52.527]  She's going on vacation with Rosie to Florida this week.
[00:14:53.348 --> 00:14:55.209]  And I'm going to be talking to Rosie.
[00:14:55.229 --> 00:14:56.250]  I really haven't tried very hard.
[00:14:56.270 --> 00:14:57.391]  We've actually been playing phone tag.
[00:14:58.172 --> 00:14:59.593]  And so I'm going to get in touch with Rosie.
[00:14:59.673 --> 00:15:02.075]  And I know now that she's shifted her paradigm.
[00:15:02.155 --> 00:15:03.876]  And it's not what you'd call a classic left-winger.
[00:15:04.156 --> 00:15:07.579]  She now has shifted her paradigm into New World Order awareness.
[00:15:08.399 --> 00:15:09.640]  And she's getting the big picture.
[00:15:09.660 --> 00:15:11.782]  And she's getting past the control of the left and the right.
[00:15:12.262 --> 00:15:15.625]  And getting back to real political issues that matter.
[00:15:16.374 --> 00:15:23.419]  So, when we get back from this quick break, I am going to first get into the Iran news, which is extremely serious.
[00:15:24.700 --> 00:15:25.541]  It really could happen.
[00:15:25.581 --> 00:15:38.010]  The strikes really could take place, and the aftermath, any way you slice it, is not good for the average American, the average Britoner, the average Iranian, the average Middle... Anyone on this planet, this will not be good.
[00:15:38.290 --> 00:15:39.431]  It will be good for the oil companies.
[00:15:39.451 --> 00:15:41.973]  It will be good for the defense hardware manufacturers.
[00:15:42.434 --> 00:15:43.734]  It will be good for the police state.
[00:15:44.035 --> 00:15:45.536]  It will be good for darkness and tyranny.
[00:15:46.141 --> 00:15:50.262]  So I thought we would go into that and talk about how both sides are bad.
[00:15:50.622 --> 00:15:52.103]  Both the new world order and Iran.
[00:15:53.283 --> 00:15:54.644]  So they like to make it black and white.
[00:15:54.704 --> 00:15:55.724]  Now how about black and black?
[00:15:56.604 --> 00:15:59.445]  Okay, that's really how governments as the founding fathers told us.
[00:15:59.465 --> 00:16:01.246]  It's black and black, not black and white.
[00:16:02.166 --> 00:16:04.527]  Government is evil in and of its own nature.
[00:16:05.171 --> 00:16:06.572]  And then we'll take your calls.
[00:16:07.032 --> 00:16:07.653]  I'm Alex Jones.
[00:16:07.693 --> 00:16:10.355]  The website's at PrisonPlanet.com and InfoWars.com.
[00:16:10.835 --> 00:16:15.118]  And we've got an hour and 45 minutes spanning out before us.
[00:16:15.198 --> 00:16:15.699]  Stay with us.
[00:16:36.687 --> 00:16:42.093]  It's here, after a year in production and traveling to distant lands, my new film Terror Storm is complete.
[00:16:42.494 --> 00:16:50.142]  Shocking declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[00:16:50.822 --> 00:16:57.866]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[00:16:58.286 --> 00:17:09.693]  Terror Storm chronicles the lies that took us to war in Iran, a White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[00:17:10.013 --> 00:17:13.515]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[00:17:13.975 --> 00:17:15.876]  It's an anthology of government crimes.
[00:17:16.237 --> 00:17:20.019]  Terror Storm is a film that everyone who wants to be truly informed must see.
[00:17:20.672 --> 00:17:27.685]  Get your copy today at InfoWars.com or PrisonPlanet.com or by calling toll free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv
[00:17:33.872 --> 00:17:35.792]  Hi, John Heumann from Midas Resources.
[00:17:36.072 --> 00:17:38.693]  Are you tired of watching your hard-earned assets dwindle away?
[00:17:38.993 --> 00:17:47.315]  As government spending is out of hand and the Federal Reserve is creating in excess of $20 billion a week, are you tired of stockbrokers gambling away your hard-earned money?
[00:17:47.635 --> 00:17:50.416]  Is this market a setup for a crash greater than 1987?
[00:17:51.276 --> 00:17:54.476]  Too many of today's policies resemble those that led to the collapse of 1929.
[00:17:54.916 --> 00:17:57.377]  How much are you willing to lose?
[00:17:57.797 --> 00:17:58.718]  Take action now!
[00:17:58.858 --> 00:18:02.742]  Call me at 1-800-686-2237, extension 129.
[00:18:03.663 --> 00:18:07.427]  I believe that we are facing a financial catastrophe of biblical proportion.
[00:18:07.647 --> 00:18:10.870]  Over recent decades, numerous economic systems have failed.
[00:18:10.990 --> 00:18:17.417]  Current Federal Reserve policy and uncontrolled government spending have set the stage for the United States to be the next target.
[00:18:17.697 --> 00:18:19.940]  Secure your assets today by calling 1-800-686-2237, extension 129.
[00:18:19.980 --> 00:18:21.061]  Do this so a paper can still buy gold.
[00:18:21.081 --> 00:18:22.703]  Call me, John Humer, at 1-800-686-2237, extension 129.
[00:18:35.057 --> 00:18:36.838]  Hi, Steve Shank, Fearless Task Force.
[00:18:37.138 --> 00:18:39.980]  The J. Michael Stevens Group is shipping a lot of storable food.
[00:18:40.480 --> 00:18:42.681]  It's smart that you're getting going at your food supplies.
[00:18:43.322 --> 00:18:51.606]  One week after the report came out that the world had eaten more food than it produced last year, the country turned into a deep freeze, wiping out a huge part of the new crop.
[00:18:52.087 --> 00:18:52.647]  An example?
[00:18:53.167 --> 00:18:56.009]  In 24 hours, clementine oranges doubled in price.
[00:18:56.889 --> 00:18:59.671]  If you intend to start or finish your supply, call immediately.
[00:19:00.031 --> 00:19:03.313]  When you call, tell them how many adults and how many years of food you need.
[00:19:04.065 --> 00:19:09.269]  When there are shortages, missing items will be substituted, maintaining the quantity of food necessary.
[00:19:09.889 --> 00:19:11.371]  Money is not the problem.
[00:19:11.591 --> 00:19:12.572]  Availability is.
[00:19:13.112 --> 00:19:14.973]  Be careful when food supplies get short.
[00:19:15.214 --> 00:19:18.896]  With no future, many retailers ship real trash to supply you.
[00:19:19.517 --> 00:19:21.598]  For safe food you can trust, call 800-409-5633.
[00:19:21.638 --> 00:19:22.679]  On the web, efoodsdirect.com.
[00:19:22.699 --> 00:19:22.739]  800-409-5633.
[00:19:35.549 --> 00:19:39.673]  Did you ever wonder how an opera singer that hits a high note is able to shatter a wine glass?
[00:19:39.913 --> 00:19:41.675]  Well, the glass has a natural resonance.
[00:19:41.935 --> 00:19:48.221]  If the resonant frequency force making the glass vibrate is big enough, the size of the vibration will become so large that the glass shatters.
[00:19:48.521 --> 00:19:54.607]  Using this similar principle, Royal Raymond Rife discovered that diseased organisms can be destroyed using different resonant frequencies.
[00:19:54.867 --> 00:20:02.819]  The BioSolutions Frequency Instrument uses the same technology for relief or elimination of pain and disease conditions with no side effects.
[00:20:02.859 --> 00:20:07.626]  The 2006 BioSolutions Plus is the easiest to operate frequency instrument ever developed.
[00:20:07.766 --> 00:20:11.271]  Its easy reference guide will allow you to begin using the instrument within minutes.
[00:20:11.591 --> 00:20:15.294]  Simple step-by-step instructions using pictures are easy to follow.
[00:20:15.474 --> 00:20:18.016]  Customer satisfaction is guaranteed or your money back.
[00:20:18.156 --> 00:20:19.237]  Don't just treat symptoms.
[00:20:19.497 --> 00:20:20.538]  Eliminate the cause.
[00:20:20.678 --> 00:20:23.120]  For more information call BioSolutions toll free 1-866-885-6625.
[00:20:23.340 --> 00:20:23.560]  That's 1-866-885-6625.
[00:20:23.580 --> 00:20:23.640]  1-866-885-6625.
[00:20:36.828 --> 00:20:39.211]  Are you tired of searching for great talk radio?
[00:20:39.311 --> 00:20:40.352]  Well, search no more.
[00:20:40.552 --> 00:20:42.794]  We are the GCN Radio Network.
[00:20:46.038 --> 00:20:55.007]  Coming to you from the capital of Texas, broadcasting the truth coast to coast and worldwide, this is the Alex Jones Show.
[00:21:05.507 --> 00:21:08.188]  Welcome back, my friends, on this April 1st edition, 2007.
[00:21:09.048 --> 00:21:12.470]  Hard to believe we're already in the fourth month of 2007.
[00:21:12.750 --> 00:21:15.151]  I'm still thinking it's 2005.
[00:21:15.431 --> 00:21:18.332]  All right, let me get into the really big news.
[00:21:19.395 --> 00:21:21.856]  ...and analysis, and then we'll start going to your phone calls.
[00:21:21.876 --> 00:21:23.417]  I don't want to take a lot of your calls today.
[00:21:23.977 --> 00:21:29.499]  At 877-590-5525, or locally in Central Texas, 836-0590.
[00:21:29.680 --> 00:21:35.742]  No matter where you are around the United States listening on AM, FM, Internet, shortwave, satellite, you are welcome to call in.
[00:21:36.563 --> 00:21:44.186]  And I am looking at... A lot of folks are in the KLBJ 590... 590KLBJ.com chatroom, since I mentioned it.
[00:21:45.261 --> 00:21:46.742]  But they're all conversing with each other.
[00:21:46.762 --> 00:21:47.762]  I don't see any questions.
[00:21:48.022 --> 00:21:52.204]  So if you've got any questions, I'll certainly read some of those off of there later.
[00:21:52.404 --> 00:21:53.705]  I do see some funny comments though.
[00:21:54.645 --> 00:21:59.267]  But this is not a funny subject here in front of me today.
[00:22:00.528 --> 00:22:00.848]  U.S.
[00:22:00.968 --> 00:22:03.209]  ready to strike Iran on Good Friday.
[00:22:04.209 --> 00:22:13.173]  Now, about a week and a half ago, Russian newspapers, Novostat and others, that have been pretty darn credible in the past, they're certainly not Pravda,
[00:22:14.065 --> 00:22:41.850]  The equivalent of the Russian Fox News of disinformation, but they said that there was a plan to attack on April 4th or 5th or 6th, and to hit hundreds of sites in and around Iran, and by around, hitting their floating fortresses, these militarized oil rigs they've got, and some of their missile cruisers they've got there in the Persian Gulf and surrounding waters.
[00:22:43.812 --> 00:22:47.054]  And sure enough, here it is in the Jerusalem Post today.
[00:22:48.034 --> 00:22:48.715]  Now, let's be clear.
