[00:00:00.049 --> 00:00:01.309]  That's the law required.
[00:05:43.020 --> 00:05:50.586]  Shocking declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[00:05:51.351 --> 00:05:58.395]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[00:05:58.795 --> 00:06:10.202]  Terror Storm chronicles the lies that took us to war in Iran, a White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[00:06:10.542 --> 00:06:14.044]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[00:06:14.504 --> 00:06:16.445]  It's an anthology of government crimes.
[00:06:16.766 --> 00:06:20.608]  Terror Storm is a film that everyone who wants to be truly informed must see.
[00:06:21.201 --> 00:06:28.644]  Get your copy today at InfoWars.com or PrisonPlanet.com or by calling toll free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv
[00:06:34.827 --> 00:06:43.895]  Now you can upgrade your existing gravity filter to remove chemicals such as triamethylenes, atrazine, benzene, chlorine, chloroform, and MTBE to below detectable limits.
[00:06:44.155 --> 00:06:55.385]  Black murky elements are so powerful they remove pathogenic bacteria, cysts and parasites to non-detectable levels, and transform water, even raw stagnant pond water, into delicious crystal clear drinking water.
[00:06:55.725 --> 00:07:01.430]  Nitrates, nitrites, radon-222, unwanted heavy metals like lead, mercury, and aluminum are no problem.
[00:07:01.750 --> 00:07:02.211]  I think so.
[00:07:19.428 --> 00:07:20.911]  Elements get a 2-pack, only $99, or a 4-pack, only $188.
[00:07:20.951 --> 00:07:21.512]  Call New Millennium, 888-03-4438.
[00:07:21.532 --> 00:07:23.936]  That's 888-03-4438, or order on the web at Berkeywater.com.
[00:07:35.396 --> 00:07:40.838]  This is Jack Blood with the Genesis Radio Network, and I have an urgent message for our listeners.
[00:07:41.258 --> 00:07:45.979]  The mass media keeps telling us that we are the richest, most powerful economy in the world.
[00:07:46.379 --> 00:07:49.000]  If this is true, why can't we pay our bills?
[00:07:49.500 --> 00:07:52.901]  Why is the United States the world's largest debtor nation?
[00:07:53.682 --> 00:07:58.023]  The truth is that we are in the worst debt bubble in our nation's history.
[00:07:58.463 --> 00:08:01.624]  When the bubble bursts, will you be able to feed your family?
[00:08:02.244 --> 00:08:05.065]  When the inevitable crash occurs, will you be ready?
[00:08:05.862 --> 00:08:08.003]  Call Whitehurst International at 1-888-892-6238.
[00:08:08.043 --> 00:08:10.144]  That's 1-888-892-6238 for the following two free reports.
[00:08:10.164 --> 00:08:10.505]  U.S.
[00:08:10.565 --> 00:08:12.206]  Debt Bubble Red Alert and Real Estate Crash.
[00:08:12.226 --> 00:08:12.546]  Call 888-8XANADU.
[00:08:12.566 --> 00:08:13.446]  That's 1-888-8XANADU.
[00:08:13.506 --> 00:08:13.986]  Ask for George.
[00:08:35.169 --> 00:08:37.350]  He's the T-Rex of political talk.
[00:08:37.930 --> 00:08:40.750]  Alex Jones on the GCN Radio Network.
[00:09:07.883 --> 00:09:12.144]  Again, my friends, it is Friday the 13th.
[00:09:12.204 --> 00:09:13.144]  I just noticed that.
[00:09:14.465 --> 00:09:16.725]  It is April 13th.
[00:09:16.765 --> 00:09:17.526]  It is Friday.
[00:09:17.546 --> 00:09:21.927]  Why is Friday the 13th the Friday the 13th?
[00:09:21.967 --> 00:09:28.009]  I ought to go pull the exact year and history on this, but in the 1500s,
[00:09:30.501 --> 00:09:40.669]  There was a big raid or putsch or counter coup d'etat by the Catholic Church against the Knights Templars.
[00:09:41.029 --> 00:09:48.174]  Templars, who you could call the ancestors of the modern day Illuminati.
[00:09:49.355 --> 00:09:58.282]  And they hunted them down and went to all their palaces and towers across Europe and the Middle East and killed them.
[00:09:59.734 --> 00:10:14.582]  On Friday the 13th, that was the set day across the known world for the military forces of those different countries under the Pope's control to go in and kill them.
[00:10:16.823 --> 00:10:19.305]  And that certainly happened, kind of a night of the long knives.
[00:10:19.345 --> 00:10:24.808]  And certainly I'm not saying that the Catholic Church was the good guys.
[00:10:25.709 --> 00:10:27.770]  That's how they knew where all the Templars were based.
[00:10:27.790 --> 00:10:35.436]  That's how they knew how much wealth they had, because many people in the church were Templars, and so it was just basically a bunch of backstabbing going on.
[00:10:35.916 --> 00:10:44.422]  But the Templars then ran to Scotland, that's why you have the Scottish Rite Freemasonry, and set up their whole base of operations there.
[00:10:47.023 --> 00:10:53.848]  In fact, guys, will you pull up the history of Friday the 13th for me, so I get all my facts straight, and later I'll go over that if I have time.
[00:10:54.702 --> 00:11:06.211]  Here's a few things I've just got in front of me that I found to be interesting, and I want to get out of the way before I get into this Monsanto corn causing serious liver and other organ problems in mammals.
[00:11:07.833 --> 00:11:10.275]  Kerry Gienrich debate global warming.
[00:11:10.435 --> 00:11:23.946]  This happened a few days ago, and when you read into this, it has Newt Gienrich saying, yes, global warming is real, and Republicans need to do something about it and embrace it and get green.
[00:11:24.776 --> 00:11:26.177]  And we need a carbon tax.
[00:11:26.937 --> 00:11:36.243]  So, Newt Gingrich, we need the Tobin Tax, we need the, I guess, the Wellhead Tax, we need the Carbon Tax, we need the World Government.
[00:11:37.163 --> 00:11:40.925]  This is the guy that says we should abolish the First Amendment, literally get rid of it.
[00:11:41.585 --> 00:11:43.827]  This is the guy who says torture's good.
[00:11:43.847 --> 00:11:46.528]  I mean, Newt Gingrich was put into power.
[00:11:47.149 --> 00:11:49.550]  Now maybe conservatives will listen to me, because I studied it.
[00:11:50.211 --> 00:11:59.016]  He was put into power in 94 to derail those Republican freshmen that did want to abolish different federal departments and did want to reduce the size of government.
[00:11:59.556 --> 00:12:05.259]  He came in and said, hey boys, we're only supposed to say that, okay, to the constituents.
[00:12:05.459 --> 00:12:07.900]  The corporate bosses want big government.
[00:12:07.940 --> 00:12:09.441]  That's what they feed off of.
[00:12:11.462 --> 00:12:13.343]  So they are definitely circling the wagons.
[00:12:13.403 --> 00:12:18.506]  I mean, when the NFL and Sports Illustrated come out for global warming and say we need global taxes,
[00:12:20.134 --> 00:12:23.936]  And when the Weather Channel does, I mean, it's everywhere.
[00:12:25.497 --> 00:12:31.301]  When they're all over the place pushing a global tax, you know they mean business, and they're not playing around.
[00:12:35.043 --> 00:12:37.004]  I'm not saying there isn't climate change.
[00:12:37.044 --> 00:12:38.605]  We've gone over this over and over again.
[00:12:39.126 --> 00:12:45.349]  There are real environmental crises that have got me very concerned, because I've looked at the actual data.
[00:12:45.449 --> 00:12:47.150]  I didn't just go, you know, 15 years ago
[00:12:48.996 --> 00:12:53.339]  Well that's what liberals believe in, global warming, when nobody was talking about it.
[00:12:54.079 --> 00:12:56.080]  So it just must be a lie.
[00:12:57.201 --> 00:13:04.565]  I don't set about politically or sociologically with factoids to just prove what I already believe.
[00:13:04.645 --> 00:13:05.485]  I have an open mind.
[00:13:06.246 --> 00:13:09.208]  And I've interviewed the experts on both sides.
[00:13:10.628 --> 00:13:14.851]  And it is conclusive, iron clad
[00:13:16.321 --> 00:13:20.124]  That man-made global warming is a complete and total fraud.
[00:13:20.424 --> 00:13:30.571]  A. B. Every major study shows there are more benefits to global warming than there are problems.
[00:13:32.672 --> 00:13:36.475]  Higher carbon dioxide has nothing to do with heating.
[00:13:37.015 --> 00:13:43.680]  Carbon dioxide comes several hundred years, between 200 to 800, it depends, but it's always after the heating.
[00:13:44.685 --> 00:13:48.686]  Because it causes more life, ladies and gentlemen, with the heat.
[00:13:49.186 --> 00:13:52.947]  Thus, more carbon dioxide is off-put.
[00:13:53.347 --> 00:14:02.590]  Both from rotting life, dying life, and of course, the process of respiration.
[00:14:04.791 --> 00:14:11.852]  More carbon dioxide, more of the life-giving gas for plants, that then put off more oxygen.
[00:14:11.892 --> 00:14:13.773]  Here, let me suck in some of that pollutant.
[00:14:16.136 --> 00:14:17.136]  Still oxygen there.
[00:14:17.176 --> 00:14:20.238]  There's a lot of GMO pollen, but we're surviving.
[00:14:23.999 --> 00:14:27.381]  Oh yes, they're listing carbon dioxide as an evil pollutant.
[00:14:28.141 --> 00:14:30.642]  God forbid the plants put off more oxygen for us.
[00:14:33.364 --> 00:14:37.225]  So, I already said I'd get into the news and I'm digressing.
[00:14:38.246 --> 00:14:39.566]  I have that article here in front of me.
[00:14:42.348 --> 00:14:42.728]  Let me
[00:14:44.614 --> 00:14:46.834]  And I'm not going to get into the Wolfowitz scandal.
[00:14:46.874 --> 00:14:48.975]  The guy's a puppet, runs nothing at the World Bank.
[00:14:49.515 --> 00:14:52.355]  I'm not going to get into Gonzalez caught lying over and over again.
[00:14:53.736 --> 00:15:00.097]  He should be in prison for writing memos ordering the military that this was their authorization to torture children.
[00:15:01.097 --> 00:15:02.077]  But he's still a puppet.
[00:15:02.717 --> 00:15:04.637]  And so that's a distraction in and of itself.
[00:15:04.977 --> 00:15:13.499]  When we start hearing about indictments of David Rockefeller and Prince Bernhard of Orange and Queen Beatrix,
[00:15:15.549 --> 00:15:22.535]  When we start hearing about Prince Philip about to be clapped in irons, or Lord Rothschild, then folks, I'm going to be covering it.
[00:15:25.257 --> 00:15:33.084]  But they laugh at how we go after their birdcage liners, who they just remove and put in new ones.
[00:15:35.185 --> 00:15:35.806]  You just wait.
[00:15:35.846 --> 00:15:41.771]  When the Bush leaves office, if he does, Hillary's going to rule with an absolute iron fist of hell.
[00:15:43.027 --> 00:15:54.298]  And you will suddenly see most of these Democrats that could see the Patriot Act as bad, that could see the Military Commission's Act as bad, they're suddenly going to be running around with little glinting eyes going, it's our time now!
[00:15:54.418 --> 00:15:56.560]  No, no, no!
[00:15:56.600 --> 00:15:57.942]  The war is good now!
[00:15:58.582 --> 00:16:03.267]  And she's arresting evil militias and gun control's good!
[00:16:06.036 --> 00:16:14.038]  We've got to bolster now and wake up the liberals that are tuning into these type of shows because we're going after Bush and go, no, no, no, no.
[00:16:14.078 --> 00:16:15.039]  You've got to shift your paradigm.
[00:16:15.059 --> 00:16:16.979]  You've got to understand they own both parties.
[00:16:17.279 --> 00:16:18.640]  They move forward with an agenda.
[00:16:18.900 --> 00:16:22.701]  They have different rhetoric, but the agenda is a carbon copy.
[00:16:25.882 --> 00:16:27.782]  Okay, let me get into the Tasmanian devils.
[00:16:30.043 --> 00:16:34.004]  I was clued into this last night while I was cooking dinner with my wife and listening to NPR.
[00:16:34.932 --> 00:16:41.575]  You know, we monitor the National Petroleum Radio.
[00:16:43.816 --> 00:16:45.516]  Brought to you by Rothschild Industries.
[00:16:45.737 --> 00:16:49.318]  Brought to you by Rockefeller, Ashtonburg, CPB Foundation.
[00:16:51.139 --> 00:16:56.341]  Tasmanian Devil, so I didn't pull this up this morning, Tasmanian Devil relocated
[00:16:57.136 --> 00:17:05.479]  Tasmanian devils are being relocated to an island off Australia to avert their extinction by a contagious cancer.
[00:17:06.900 --> 00:17:09.101]  Contagious cancer.
[00:17:09.281 --> 00:17:10.381]  Let me say it again.
[00:17:11.021 --> 00:17:13.862]  Contagious cancer.
[00:17:15.323 --> 00:17:21.385]  The diagnoses, depending on which type of cancer, which family of cancers, is up on average over 2000% since the 1930s.
[00:17:25.823 --> 00:17:46.194]  Then you learn that since the twenties there have been massive zoological studies with guinea pigs and rats and monkeys and dogs, hundreds of different types of animals, different varieties, in the US, in Germany, in England, in Japan, in China, in Australia.
[00:17:47.765 --> 00:18:05.977]  And you learn that they've open-air been released, and then you learn that the Rockefellers cornered cancer treatment on the market, and also pioneered vaccine research, and pioneered cancer virus research, and then suddenly, with their big Rockefeller Cancer Hospitals, the stuff starts becoming like a case of the flu!
[00:18:10.459 --> 00:18:14.200]  And boy, do they have some special injections for you.
[00:18:14.640 --> 00:18:16.020]  And then we have all the articles.
[00:18:16.100 --> 00:18:17.800]  I got it for the new film I'm making.
[00:18:17.820 --> 00:18:19.341]  I've been doing all this research.
[00:18:19.481 --> 00:18:23.081]  Because you get the knowledge, you come across it over the years, but it becomes like knowledge.
[00:18:23.101 --> 00:18:25.102]  A lot of it, you don't remember where you got it, you just have it.
[00:18:25.502 --> 00:18:28.722]  And then you're able to say it, and then you go pull it up, and you're exactly right.
[00:18:29.503 --> 00:18:32.323]  I'm always amazed by, you know, I say something and I go, is that right?
[00:18:32.823 --> 00:18:35.024]  Because I'm like, man, how do I know that from ten years ago?
[00:18:35.044 --> 00:18:37.084]  And I go, pull it up, and it's exactly right.
[00:18:38.670 --> 00:18:51.841]  But, I mean, the point is, is that, uh, go look it up for yourself, all this research into cancer viruses, and then magically it pops up, and then you find out the Rockefellers are behind the German and British and other schools of eugenics, and they're obsessed with it.
[00:18:52.601 --> 00:18:54.042]  And they're obsessed with it today.
[00:18:55.904 --> 00:19:00.227]  Now, there were naturally occurring communicable forms of cancer.
[00:19:01.829 --> 00:19:07.093]  And, frankly, most cancer is communicable.
[00:19:08.340 --> 00:19:25.645]  And you get the viruses in your body, and then once your body has divided its cells enough times, and once your immune system gets out of whack, either jacked up too high or too low, then your body isn't able to fight it, and doesn't recognize it, and you die of cancer.
[00:19:26.186 --> 00:19:36.609]  So I want you to know, those of you that have lost children, or husbands, or wives, or sons, or daughters when they're older, or people who've lost cousins and friends, and all these young people you know who've got cancer,
[00:19:38.835 --> 00:19:40.176]  You can thank the New World Order.
[00:19:40.216 --> 00:19:42.057]  You have been under a eugenics attack.
[00:19:44.659 --> 00:19:48.682]  And, of course, you'll notice rates of cancer are higher in Asians and higher in blacks.
[00:19:49.842 --> 00:19:54.746]  And, of course, they can't understand it because the genetics aren't very different from one country to another.
[00:19:55.046 --> 00:20:00.169]  But you'll have one group of Orientals very similar to the next country, but they'll have a much higher rate, even though their diet's the same.
[00:20:00.730 --> 00:20:06.694]  But you'll notice there's higher incidences of IMF-funded World Health Organization vaccine programs.
[00:20:14.907 --> 00:20:18.389]  Of course they don't care because now they can just engineer it right into the food.
[00:20:18.409 --> 00:20:21.810]  So I thought I'd mention these Tasmanian devils.
[00:20:22.370 --> 00:20:25.472]  They're pretty much all got the virus.
[00:20:25.592 --> 00:20:26.512]  Most of them are dying.
[00:20:26.933 --> 00:20:28.553]  They're very close to being extinct now.
[00:20:28.893 --> 00:20:32.135]  We'll tell you what the virus does to them when we get back.
[00:20:34.384 --> 00:20:39.607]  Nuclear reactors provide economical energy, but would you be prepared during an accident?
[00:20:39.747 --> 00:20:47.832]  During nuclear disasters, great amounts of radioactive iodine are released into the atmosphere, which are then readily absorbed into the body.
[00:20:48.093 --> 00:20:56.598]  Medical course potassium iodate gives you virtually complete protection from the most feared consequence of a nuclear accident, radioactive poisoning.
[00:20:56.718 --> 00:21:02.582]  Potassium iodate can protect against radioactive poisoning by filling the thyroid with good iodine.
[00:21:02.762 --> 00:21:07.865]  This shields the thyroid and prevents it from absorbing the harmful radioactive iodine.
[00:21:07.965 --> 00:21:16.871]  Potassium iodate is better than the iodide form because it is not as likely to cause upset stomachs in children, the elderly, the sick, and pets.
[00:21:17.111 --> 00:21:21.875]  Order the official Potassium Iodate for only $24 and save $5 by calling New Millennium
[00:21:25.537 --> 00:21:39.789]  Hi, this is Ted Anderson, here for the 2007 Red Book.
[00:21:40.950 --> 00:21:45.774]  The commodity markets like gold, silver, copper, aluminum and oil have exploded over the last year.
[00:21:45.974 --> 00:21:48.716]  This is a glaring testimony of how quickly the U.S.
[00:21:48.756 --> 00:21:49.857]  dollar can be devalued.
[00:21:51.204 --> 00:21:55.785]  Many have turned to precious metals to provide a safe haven while increasing the potential profits.
[00:21:56.725 --> 00:22:03.987]  Though accumulating precious metals has been a proven method for the storage of wealth, it is important that you understand the market you are getting into.
[00:22:04.988 --> 00:22:08.048]  Midas Resources is offering the Red Book and Silver Dollar for only $27.95.
[00:22:08.949 --> 00:22:13.650]  The Red Book is the number one best-selling guide to gold and silver coins.
[00:22:14.630 --> 00:22:15.930]  Call for your copy today.
[00:22:15.950 --> 00:22:16.130]  It's 800-686-2237.
[00:22:19.418 --> 00:22:25.247]  If you've already accumulated or plan to get into the precious metals market, you simply must have the Red Book in your library.
[00:22:25.969 --> 00:22:26.369]  Call 800-686-2237.
[00:22:26.389 --> 00:22:26.610]  That's 1-800-686-2237.
[00:22:34.938 --> 00:22:36.980]  Do you know the truth about cancer treatments?
[00:22:37.621 --> 00:22:46.531]  Do you realize that with all presently accepted methods, you are not correctly attacking the cancer, and you are mostly fighting to survive the treatment?
[00:22:47.052 --> 00:22:54.200]  Do you realize that mutilating surgery, burning, and the poisoning of your entire system are totally unnecessary?
[00:22:54.910 --> 00:23:00.394]  But now, it's cancer's turn to die with LaceMedInc's patented methodology.
[00:23:00.895 --> 00:23:11.702]  Without cutting, bleeding, drugs or damaging radiation, we can destroy skin cancer and breast tumors of any size without adverse side effects at our physician's office.
[00:23:12.483 --> 00:23:14.545]  Laser technology at its best.
[00:23:15.045 --> 00:23:16.466]  For more information, call 702-953-0267.
[00:23:21.009 --> 00:23:28.454]  Or, visit www.lasemedinc.com.
[00:23:28.955 --> 00:23:31.196]  Call 702-953-0267.
[00:23:33.858 --> 00:23:37.480]  Are you looking for a one-stop shop to find all your favorite books and videos?
[00:23:37.720 --> 00:23:38.561]  Look no further!
[00:23:38.861 --> 00:23:41.443]  Northern Voice Bookstore has everything you need.
[00:23:41.883 --> 00:23:50.309]  Hundreds of titles, from self-defense, survival, and financial freedom, to history, politics, conspiracy, and everything you need to know about the New World Order.
[00:23:50.509 --> 00:24:03.677]  You can order everything you need on the web 24 hours a day at NorthernVoiceBookstore.com or send $2 for our latest catalog to Northern Voice Bookstore, Post Office Box 281, Wildwood, PA 15091.
[00:24:04.858 --> 00:24:14.664]  Northern Voice Bookstore offers a broad range of different perspectives and believes strongly that the American people need alternative sources of information in order to understand the society they live in today.
[00:24:14.884 --> 00:24:19.807]  You won't find a better selection of books or videos anywhere, so make Northern Voice Bookstore
[00:24:20.247 --> 00:24:20.487]  We're good.
[00:24:34.295 --> 00:24:55.611]  Way up North to Alaska Way up North to Alaska North to Alaska Go North for us, you're strong North to Alaska Go North for us, you're strong Big Sam left Seattle in the year of 92
[00:24:57.432 --> 00:25:02.215]  With George Pratt, his partner, and brother Billy, too.
[00:25:03.156 --> 00:25:08.239]  They crossed the Yukon River and found the Bonanza Gold.
[00:25:08.919 --> 00:25:19.346]  Below that old white mountain, just a little southeast of Nome, Sam crossed the majestic mountains to the valleys far below.
[00:25:20.286 --> 00:25:20.947]  Welcome back.
[00:25:20.967 --> 00:25:23.708]  Alright, let me get into these Tasmanian devils.
[00:25:23.829 --> 00:25:25.710]  Now notice, they're in Tasmania.
[00:25:49.289 --> 00:25:50.629]  They're already on an island.
[00:25:51.870 --> 00:25:53.490]  They've been there for eons.
[00:25:54.530 --> 00:26:07.034]  And then suddenly, it says that 90% of the devils have died of the cancer that makes their face swell up and their mouth become a bloody mess.
[00:26:08.534 --> 00:26:16.937]  Now my only point is, I get up here and I tell you that most cancer is communicable from all the top scientists, virologists, and the major studies that are out there.
[00:26:16.957 --> 00:26:18.457]  This is well known by people
[00:26:19.319 --> 00:26:22.361]  Uh, within the system, but they don't ever tell you this.
[00:26:22.602 --> 00:26:23.642]  It's really bizarre.
[00:26:24.643 --> 00:26:26.985]  Just your body malfunctions and this just happens.
[00:26:27.005 --> 00:26:28.586]  And there are some forms of that cancer.
[00:26:30.007 --> 00:26:33.810]  But, uh, very interesting that just suddenly this is happening and they're having to relocate them.
[00:26:34.290 --> 00:26:40.234]  Tasmanian devils are being relocated to an island off Australia to avert their extinction by a contagious cancer.
[00:26:40.334 --> 00:26:41.635]  Contagious cancer.
[00:26:43.136 --> 00:26:48.120]  Some scientists fear the move could endanger rare birds and other animals on the island.
[00:26:52.023 --> 00:27:00.006]  But other experts say it is a last resort and should pose no problem since the devils are scavengers not predators.
[00:27:01.406 --> 00:27:17.251]  The path to extinction is looking pretty certain on Tasmania said William Karish of the New York-based Wildlife Conservation Society who organized a workshop in Australia to help the government and biologists develop a plan to save the devils.
[00:27:19.012 --> 00:27:19.152]  And
[00:27:21.096 --> 00:27:28.342]  Basically, if they just test their blood, make sure they don't have it, put them on the other island, then all the others will die, they say, over the next few years.
[00:27:28.842 --> 00:27:31.664]  Then the virus will burn itself out and they can put it back over there.
[00:27:32.024 --> 00:27:38.429]  Unless it's some other animal that's been introduced that's carrying the virus, like the European brown rat.
[00:27:39.710 --> 00:27:40.551]  It continues.
[00:27:43.320 --> 00:27:53.687]  The fox-like animals with powerful jaws and blood-curdling growls are being wiped out on the island state of Tasmania by contagious cancer that creates grotesque facial tumors.
[00:27:54.187 --> 00:28:00.451]  The disease was first noticed in the mid-90s in the state's northeast, where 90% of the devils have since perished.
[00:28:00.771 --> 00:28:10.598]  It is spreading south and west, and scientists estimate that within five years there will be no disease-free populations in Tasmania, the only place in the world where the devils exist outside zoos.
[00:28:11.538 --> 00:28:12.399]  And, uh, it goes on.
[00:28:14.238 --> 00:28:16.399]  Well, what about people, ladies and gentlemen?
[00:28:16.839 --> 00:28:17.700]  What about us?
[00:28:18.720 --> 00:28:19.801]  I don't like my loved ones.
[00:28:20.601 --> 00:28:29.186]  I don't like, you know, living on the street where I used to live, where two kids died of leukemia, little babies and little toddlers in one year.
[00:28:29.826 --> 00:28:35.609]  And then, boy, that's really linked to the mercury and the rest of it, not to mention the cancer viruses.
[00:28:36.189 --> 00:28:43.813]  If you take their vaccines, run by a criminal group of eugenicists who have been caught doing it in the past over and over again, you're crazy.
[00:28:45.982 --> 00:28:52.324]  I mean, again, you wouldn't trust your neighbors or an employer if they'd done one or two things to cross you, or that had been deceptive and sneaky.
[00:28:53.145 --> 00:28:56.406]  But you're going to trust a government and an elite.
[00:28:56.806 --> 00:28:59.027]  Well, I guess most people just don't know how nuts they are.
[00:29:00.167 --> 00:29:00.507]  I do.
[00:29:00.627 --> 00:29:05.069]  I've done the research, and let me tell you, it's fathomless how bad they are.
[00:29:05.909 --> 00:29:09.931]  And you're going to have to say no to the system.
[00:29:11.388 --> 00:29:17.330]  And they'll fear monger, and you know, well, your kids might die of another disease, or they might get one of the naturally occurring things.
[00:29:17.990 --> 00:29:18.571]  Yeah, they might.
[00:29:19.371 --> 00:29:19.971]  They just might.
[00:29:20.311 --> 00:29:28.614]  Of course, the problem is that some of this stuff is so communicable that once another child has it at the school your child goes to, they can still get the different viruses and things from them.
[00:29:28.934 --> 00:29:39.538]  It's like HV40, the human cancer-causing virus that they admit has caused hundreds of millions of cancers worldwide in humans.
[00:29:40.447 --> 00:29:52.094]  Every sewage system in India, in a major study that was done a few years ago, had HPV-40 in their sewage.
[00:29:52.814 --> 00:29:54.455]  It's a tough virus.
[00:29:54.535 --> 00:29:56.816]  It can live in really harsh environments like that.
[00:29:57.937 --> 00:29:59.998]  And it causes all sorts of cancers.
[00:30:03.440 --> 00:30:05.281]  When we get back, I'll tell you about it.
[00:30:06.269 --> 00:30:10.832]  About the, uh, how can we put in the pollen into your potatoes and into your corn.
[00:30:12.152 --> 00:30:15.154]  And a lot of it is in there.
[00:30:15.194 --> 00:30:16.275]  It's too late for a lot of us.
[00:30:24.339 --> 00:30:25.240]  We're on the march.
[00:30:25.720 --> 00:30:27.341]  The Empire's on the run.
[00:30:28.241 --> 00:30:30.963]  Alex Jones and the GCN Radio Network.
[00:30:34.537 --> 00:30:35.378]  Attention gardeners!
[00:30:35.438 --> 00:30:37.799]  This is an urgent GCN self-reliance update.
