[00:00:00.109 --> 00:00:01.490]  A really good idea.
[00:03:21.124 --> 00:03:27.049]  Meanwhile, Michael Chertoff is saying he's worried about homegrown terrorists killing us any minute.
[00:03:27.089 --> 00:03:28.690]  We'll be going over that report.
[00:03:28.710 --> 00:03:33.453]  They're talking about a curfew in the Big Easy after eight slayings in less than a week.
[00:03:36.416 --> 00:03:38.718]  And miscommunication is cited in Port Alert.
[00:03:38.738 --> 00:03:39.058]  Remember,
[00:03:39.776 --> 00:03:41.637]  In Miami they were all freaking out.
[00:03:43.599 --> 00:04:02.633]  Yesterday evening they had caught Muslims in containers and it was people sneaking into the facility and then it turns out it was just some port guard flipping out on a truck driving in that had some Muslims in it.
[00:04:03.894 --> 00:04:06.996]  Not even Muslims, it was just that one was an Iraqi and
[00:04:07.825 --> 00:04:09.726]  Tour from somewhere else in the Middle East.
[00:04:11.926 --> 00:04:13.987]  Put the southern borders wide open.
[00:04:14.787 --> 00:04:19.489]  It's just any way to create total hysteria and fear.
[00:04:20.489 --> 00:04:32.473]  So we'll dovetail that with New York gas smell, shuts down trains, forces evacuations, shuts down schools in much of Manhattan because someone's smelling gas.
[00:04:34.053 --> 00:04:37.234]  And of course they think it's gas, it must be Al-Qaeda.
[00:04:37.334 --> 00:04:42.555]  Not a gas main link that happens all the time in every major city and even small towns.
[00:04:43.375 --> 00:04:46.776]  No, if you smell natural gas it must be an Al-Qaeda strike.
[00:04:47.376 --> 00:04:52.418]  But the government said we're checking into it and a few hours later said don't worry, it's not Al-Qaeda.
[00:04:54.278 --> 00:04:57.919]  I mean, just a nation of people that jump at their shadows.
[00:05:01.070 --> 00:05:03.632]  Now, now, I would be worried about a gas explosion.
[00:05:03.692 --> 00:05:04.893]  I mean, gas is serious.
[00:05:07.695 --> 00:05:11.959]  One time I had an office right next to a big gas distribution facility.
[00:05:11.979 --> 00:05:15.621]  One day I really smelled it and I called them and said, everything all right over there?
[00:05:15.642 --> 00:05:19.304]  Yeah, we had a leak when we were filling up a truck, but it's okay now.
[00:05:20.265 --> 00:05:24.588]  And I was like, well, I keep smelling it another hour from now, I'm gonna call the fire department.
[00:05:25.209 --> 00:05:26.290]  But they got it under control.
[00:05:27.310 --> 00:05:27.610]  All right.
[00:05:27.890 --> 00:05:28.811]  Big show today.
[00:05:28.831 --> 00:05:30.152]  A lot of news to cover.
[00:05:30.712 --> 00:05:31.512]  I'm Alex Jones.
[00:05:31.532 --> 00:05:31.993]  Stay with me.
[00:05:36.175 --> 00:05:39.737]  Do you know where the 78 potentially active volcanoes in the U.S.
[00:05:39.797 --> 00:05:40.297]  are located?
[00:05:40.497 --> 00:05:43.899]  And do you know the locations of the top 300 prime terrorist targets?
[00:05:44.119 --> 00:05:48.821]  You can find these answers and more in the new interactive CD book, Prudent Places USA.
[00:05:49.101 --> 00:05:54.104]  With the more than 50 interactive parameters, you can pinpoint natural and man-made disaster areas.
[00:05:54.364 --> 00:06:00.386]  Brewing environmental catastrophes, the safest cities, the best places for solar and wind energy, and much, much more.
[00:06:00.666 --> 00:06:15.070]  Complete with three gigabytes of detailed information on each of 3,000-plus counties in the U.S., including 550 high-resolution full-color maps and full-color photographs, as well as detailed information and analysis to help you zero in on the best places to live.
[00:06:15.330 --> 00:06:19.975]  The ideal location for cabins and vacation homes, as well as safe and unsafe areas.
[00:06:20.255 --> 00:06:25.680]  Get Prudent Places USA for only $29 plus shipping by calling New Millennium at 888-803-4438.
[00:06:25.720 --> 00:06:26.121]  That's 888-803-4438.
[00:06:26.161 --> 00:06:27.722]  To order on the web or at berkeywater.com.
[00:06:38.636 --> 00:06:41.818]  It's here, after a year in production and traveling to distant lands.
[00:06:42.138 --> 00:06:44.100]  My new film Terror Storm is complete.
[00:06:44.460 --> 00:06:52.105]  Shocking declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[00:06:52.785 --> 00:06:59.849]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[00:07:00.249 --> 00:07:11.655]  Terror Storm chronicles the lies that took us to war in Iraq, a White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[00:07:11.975 --> 00:07:15.477]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[00:07:15.938 --> 00:07:17.879]  It's an anthology of government crimes.
[00:07:18.199 --> 00:07:22.041]  Terror Storm is a film that everyone who wants to be truly informed must see.
[00:07:22.641 --> 00:07:34.491]  Get your copy today at InfoWars.com or PrisonPlanet.com or by calling toll free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv.
[00:07:35.431 --> 00:07:37.833]  Attention, attention everyone!
[00:07:37.913 --> 00:07:40.375]  A brand new invention just released.
[00:07:40.455 --> 00:07:45.139]  It's called Wrist Ease, the new patented portable ergonomic wrist support.
[00:07:45.814 --> 00:07:52.619]  Wristease comforts your wrists from the sometimes painful tasks of typing, writing, using a mouse or adding machine.
[00:07:53.159 --> 00:08:06.048]  Unlike most conventional wrist pads that are either attached to a mouse pad or lay flat in front of your keyboard, Wristease is totally portable and ideal for laptop users and technicians who are constantly on the go.
[00:08:06.508 --> 00:08:07.329]  Wristease is perfect
[00:08:07.369 --> 00:08:07.809]  We're good to go.
[00:08:35.160 --> 00:08:40.204]  The Genesis Communications Radio Network proudly presents The Alex Jones Show.
[00:08:40.585 --> 00:08:42.887]  Because there's a war on for your mind.
[00:08:57.839 --> 00:08:59.401]  Everyone I know.
[00:09:00.261 --> 00:09:00.722]  Everyone.
[00:09:02.393 --> 00:09:14.621]  Every person in my office, one, two, three, four, five, a sixth person is out today, Jeremy, everyone is sick with allergies.
[00:09:15.662 --> 00:09:30.192]  And I mean allergies so bad they will give you fevers, they will give you ear aches, they will, and I talked to my grandmother who grew up here in Austin, my mother grew up here in Austin, none of them had allergies, no one they knew had allergies,
[00:09:31.309 --> 00:09:35.312]  And I was thinking, well, you know, maybe they just didn't know what to call it then.
[00:09:35.332 --> 00:09:37.254]  And I said, did people get headaches all the time?
[00:09:37.694 --> 00:09:39.475]  Did they have runny noses all the time?
[00:09:39.996 --> 00:09:42.357]  When the Cedar got going, did everybody get sick?
[00:09:42.397 --> 00:09:43.078]  And they said, no.
[00:09:43.178 --> 00:09:44.079]  Very few people.
[00:09:44.539 --> 00:09:45.380]  It was very rare.
[00:09:45.780 --> 00:09:52.205]  Now, everyone, I'm seriously, everyone is sick in the city of Austin.
[00:09:54.206 --> 00:09:58.730]  We are the supposed capital of allergies.
[00:10:00.265 --> 00:10:04.788]  I mean, I'm somebody who, growing up, might have gotten sick maybe once a year.
[00:10:04.888 --> 00:10:07.891]  Sometimes I might go a year and a half without getting sick.
[00:10:08.911 --> 00:10:13.755]  And I remember I had a neighbor who we'd ride dirt bikes together when we were like 12 years old.
[00:10:14.576 --> 00:10:17.738]  And mopeds and stuff, just insane that we were allowed to go out and do that.
[00:10:18.979 --> 00:10:21.701]  And I'd go over and bang, bang, bang, and I'd be like, come out!
[00:10:21.801 --> 00:10:22.521]  Come on, let's go!
[00:10:22.862 --> 00:10:23.582]  Let's go play!
[00:10:24.543 --> 00:10:26.564]  And no, no, I've got allergies!
[00:10:26.584 --> 00:10:28.506]  And he'd be sneezing, eyes running.
[00:10:29.600 --> 00:10:30.760]  You know, nose running.
[00:10:30.940 --> 00:10:31.781]  Come outside!
[00:10:31.801 --> 00:10:33.101]  No, I can't come outside.
[00:10:33.161 --> 00:10:34.241]  I'd go, you're a wimp!
[00:10:35.361 --> 00:10:41.743]  Because, you know, I was convinced that allergies was something that wimps had, and that it didn't exist.
[00:10:44.144 --> 00:10:47.264]  And then I moved to Austin when I was, I don't know, 17?
[00:10:48.705 --> 00:10:51.645]  And a couple years later, I was like, man, I've been sick for like a week.
[00:10:51.685 --> 00:10:52.206]  What is this?
[00:10:52.926 --> 00:10:54.686]  Every time I go outside, it gets worse.
[00:10:54.846 --> 00:10:55.626]  Cedar fever.
[00:10:56.467 --> 00:10:57.627]  But the question is,
[00:10:58.684 --> 00:11:01.806]  Why is... I mean, even my children get sick from it.
[00:11:03.347 --> 00:11:10.612]  Why is it, and I'm born here, why is it that people in the past didn't have allergies but now they do?
[00:11:11.312 --> 00:11:18.237]  It's a very important question that everybody needs to be asking.
[00:11:18.677 --> 00:11:21.739]  And I'm just throwing it out there today because it's a mystery to me.
[00:11:23.020 --> 00:11:25.482]  I mean, this is going on a week that I've been sick from this.
[00:11:26.320 --> 00:11:38.152]  And then by last Thursday you heard me, it was like Toad Man Radio, because I guess it had caused an infection and I'd actually gotten a fever and an earache and a sore throat and I could barely talk.
[00:11:39.954 --> 00:11:47.642]  And I still feel like, I went to Houston this weekend for a day and a half and by the second day in Houston felt fine.
[00:11:48.826 --> 00:11:53.410]  Got the window down, driving back into Austin, kind of forgotten about it all of a sudden.
[00:11:53.650 --> 00:12:03.818]  I mean, it's like I'd like to be the bubble boy or something a few months out of the year when this stuff's going crazy here in Austin.
[00:12:05.259 --> 00:12:07.381]  I tell you, it's enough to make me move out of this town.
[00:12:07.401 --> 00:12:10.223]  It's enough to make me leave this town.
[00:12:10.623 --> 00:12:12.285]  But I'm told it's bad in other parts of the country.
[00:12:12.685 --> 00:12:14.927]  Why is everybody getting allergies?
[00:12:16.829 --> 00:12:17.810]  From Minneapolis-St.
[00:12:17.870 --> 00:12:24.314]  Paul, to Chicago, to Austin, to New York, to San Francisco, to LA, to Kansas City.
[00:12:25.455 --> 00:12:31.819]  All over the country allergy problems are getting worse and worse and worse and worse.
[00:12:33.160 --> 00:12:35.022]  Something is connected to this.
[00:12:35.262 --> 00:12:45.349]  I don't think it's... Well they've got all these different scientific reports that genetically modified crops have now gotten into other plants and that once you've been eating genetically modified crops
[00:12:46.524 --> 00:12:55.170]  That it heightens autoimmune responses in your body, because your body has an allergic reaction to the food you're eating, and then that compounds with what's in the air.
[00:12:55.630 --> 00:12:57.371]  I tend to think that makes sense.
[00:12:58.992 --> 00:13:00.813]  You know, I say it's a mystery, it really isn't.
[00:13:01.774 --> 00:13:10.639]  There's all these hormones in our food, there's all these toxins in our water, and your body's fighting all that with its autoimmune system.
[00:13:11.167 --> 00:13:19.209]  And so if you've got a good autoimmune system, I guess it gets jacked up real high, and then it's fighting with everything that comes into your body.
[00:13:22.289 --> 00:13:24.950]  So I think I've just answered the question there.
[00:13:24.970 --> 00:13:29.671]  Of course, it's a cocktail of reasons, but I don't enjoy this.
[00:13:31.551 --> 00:13:33.872]  I don't feel like... I mean, yesterday,
[00:13:35.783 --> 00:13:38.384]  I went in and did the Sunday show I do from 4 to 6 p.m.
[00:13:38.824 --> 00:13:49.068]  out of the News Radio 590 KLBJ studios, and I shouldn't even have been doing a show because what it does is when I've got an allergy and I'm tired already, I just get mad.
[00:13:50.829 --> 00:14:01.933]  I don't even want to engage in the brain power it takes to analyze and lay something out, so I just started screaming at the New World Order and being sarcastic and acting like I was pro-world government.
[00:14:02.374 --> 00:14:03.154]  People loved it.
[00:14:04.386 --> 00:14:11.870]  We had, like, you know, the local public radio station calling up with people who work there going, yeah, we're fans, we want a tape of this, this is the best ever!
[00:14:12.230 --> 00:14:13.510]  The callers were all loving it.
[00:14:14.491 --> 00:14:21.054]  See, I mean, there's no judging the public's taste out there, but I kind of feel like that today.
[00:14:23.675 --> 00:14:29.638]  And I kind of feel like just talking about myself when I'm in low-grade moron mode.
[00:14:31.480 --> 00:14:34.722]  And I guess I started losing some of my judgment, too.
[00:14:36.362 --> 00:14:42.605]  Because I was on my Myspace account this morning.
[00:14:42.625 --> 00:14:45.526]  It says people give us good news tips there.
[00:14:46.327 --> 00:14:46.927]  Sometimes.
[00:14:47.447 --> 00:14:49.968]  The email's a hundred times better, because there's a hundred times more.
[00:14:51.609 --> 00:14:55.711]  And there's this guy on there posting.
[00:14:56.974 --> 00:15:04.500]  I think he's the same guy I saw yesterday going, Alex Jones has an Order of Death flag in his office!
[00:15:05.000 --> 00:15:07.462]  Proof that he's Illuminati!
[00:15:08.924 --> 00:15:11.866]  No, it's not an Order of Death flag in my office.
[00:15:11.926 --> 00:15:13.407]  It says Liberty or Death.
[00:15:13.888 --> 00:15:17.971]  It's a Culpeper Minute Men Militia flag.
[00:15:18.852 --> 00:15:20.793]  And by the way, I didn't even hang it there.
[00:15:22.995 --> 00:15:26.418]  It was hanging out on the wall in the main office.
[00:15:27.398 --> 00:15:30.961]  And somebody stuck it up in there thinking it'd be a better backdrop.
[00:15:30.981 --> 00:15:36.125]  I ought to ask who did that, because I guess we should actually try to decorate this set.
[00:15:37.186 --> 00:15:40.088]  We videotape it, and we never really put any thought into how it looks.
[00:15:40.689 --> 00:15:41.870]  That's about how I operate.
[00:15:42.731 --> 00:15:44.292]  But I mean, that's the type of stuff I deal with.
[00:15:44.312 --> 00:15:54.300]  You know, I do not have an Illuminati flag hanging up on my wall, and anybody could see that it's a snake on the ground, and it says, liberty or death.
[00:15:55.999 --> 00:15:57.700]  That's the kind of stuff I have to put up with.
[00:15:59.141 --> 00:16:06.545]  And the reason that type of criticism gets me mad is not that you're criticizing me.
[00:16:06.565 --> 00:16:09.627]  I have weird psychology.
[00:16:10.047 --> 00:16:13.549]  It's that you are obsessing on things that do not matter.
[00:16:16.616 --> 00:16:22.238]  I mean, that's what most people do, is they spend their time ninnying and obsessing over minutiae.
[00:16:22.318 --> 00:16:23.679]  Is this person a good leader?
[00:16:24.119 --> 00:16:26.000]  Is that person legitimate?
[00:16:26.020 --> 00:16:29.361]  Who's your favorite person in the anti-New World Order movement?
[00:16:29.921 --> 00:16:31.162]  When it doesn't matter!
[00:16:32.162 --> 00:16:34.844]  They're not debating the fact that we've got a North American Union.
[00:16:35.124 --> 00:16:43.707]  They're not debating the fact that we're getting rid of our borders, and Mexican troops shoot at and overrun our police and military on a monthly basis, and are kidnapping U.S.
[00:16:43.747 --> 00:16:45.628]  citizens, and nothing's being done!
[00:16:46.596 --> 00:16:56.165]  And the fact that they're about to surge 20,000 to 40,000 more troops into Iraq, when the American people want the opposite.
[00:16:57.026 --> 00:16:58.727]  I mean, can't you deal with issues?
[00:17:00.189 --> 00:17:06.194]  Can't you get focused in on anything real?
[00:17:06.815 --> 00:17:10.298]  I mean, is it possible for you to do that?
[00:17:13.001 --> 00:17:18.105]  Instead of talking about what other people need to be doing.
[00:17:18.865 --> 00:17:21.067]  Well, I think Alex needs to do it like that.
[00:17:22.088 --> 00:17:35.978]  And I actually printed it off here, and now that I want it, I don't see it in my huge stacks, but the same guy, now that I'm just spontaneously talking about this, I'm trying to
[00:17:36.818 --> 00:17:37.759]  Find the printout of it.
[00:17:38.279 --> 00:17:45.623]  The same guy criticized me today and said, you know, I just noticed he gets real angry on the show.
[00:17:45.643 --> 00:17:49.626]  There could be a better way to get people to fight the New World Order.
[00:17:50.566 --> 00:17:53.468]  And he says things are really bad.
[00:17:53.488 --> 00:17:56.970]  It's just all dire this, dire that.
[00:17:57.030 --> 00:17:59.152]  It's a bunch of hype.
[00:18:00.399 --> 00:18:03.802]  You know, we're on to you, we're watching you.
[00:18:04.022 --> 00:18:07.125]  Well good, let's just say you're right, you're on to me now.
[00:18:07.805 --> 00:18:10.167]  Okay, can you now go get on to the New World Order?
[00:18:11.188 --> 00:18:13.270]  Can you now go wake somebody up about them?
[00:18:13.290 --> 00:18:22.037]  But no, no, no, it's the psychology of losers to pick at the people that are in the arena trying to do something.
[00:18:23.579 --> 00:18:25.200]  Of course I'm mad.
[00:18:26.481 --> 00:18:28.383]  That's why I'm motivated to do this.
[00:18:30.561 --> 00:18:32.582]  Alright, that's why I put in long hours.
[00:18:35.444 --> 00:18:36.665]  Of course I'm angry.
[00:18:37.405 --> 00:18:49.353]  And if you don't think things are dire, I mean just from a financial point of view, the money you have in the bank has been devalued by almost half.
[00:18:50.834 --> 00:18:52.195]  It's 49% today.
[00:18:53.055 --> 00:18:57.218]  It fluctuates back and forth between about 49 and 47 the last six months.
[00:18:58.098 --> 00:19:01.039]  The money you've got in the bank has been devalued.
[00:19:01.860 --> 00:19:05.101]  And they're talking about devaluing it again by another half.
[00:19:05.701 --> 00:19:10.423]  Now, if that isn't sensational, baby, I don't know what is.
[00:19:10.483 --> 00:19:14.585]  I mean, that is hitting you directly in the pocketbook.
[00:19:15.766 --> 00:19:20.608]  And I'm not even somebody who's that big into money, but I know you need it to pay for things and to live and to operate.
[00:19:20.908 --> 00:19:23.369]  So it upsets me, yeah, I mean, it really does.
[00:19:24.690 --> 00:19:27.231]  But what upsets me more is how the government scams us.
[00:19:28.089 --> 00:19:36.999]  They give you some little 6-7% tax cut and you feel good about it, but then they rob the value of your currency by 40 plus percent?
[00:19:38.700 --> 00:19:40.723]  I mean, that's a smoke and mirrors scam!
[00:19:42.064 --> 00:19:42.945]  It's a fraud!
[00:19:43.225 --> 00:19:44.206]  It makes me mad!
[00:19:44.487 --> 00:19:46.409]  It makes me want to punch people in the nose!
[00:19:50.879 --> 00:19:51.920]  And absolutely!
[00:19:53.241 --> 00:20:08.452]  I sit there when I'm reading an SPP.gov website, you know, government documents saying that they're going to merge and unify and standardize all of our bureaucracies, and we're going into the North American Union.
[00:20:08.532 --> 00:20:08.772]  I do.
[00:20:08.852 --> 00:20:11.935]  I sit there and I go, what is a headline that will get people's attention?
[00:20:12.515 --> 00:20:13.135]  Absolutely.
[00:20:13.175 --> 00:20:14.076]  Guilty as charged.
[00:20:15.417 --> 00:20:19.100]  I mean, I can't give you words to describe how bad this is.
[00:20:22.717 --> 00:20:27.905]  So, there's people out there, number one, that say it isn't as bad as I say it is.
[00:20:27.945 --> 00:20:28.286]  No, no, no.
[00:20:29.267 --> 00:20:30.229]  You're right, it's worse.
[00:20:31.431 --> 00:20:32.652]  And then they're mad that I'm angry?
[00:20:32.713 --> 00:20:33.854]  We need to get angry!
[00:20:34.415 --> 00:20:35.417]  Shake it off, folks!
[00:20:37.606 --> 00:20:38.627]  The War on Terrorism.
[00:20:38.947 --> 00:20:41.728]  Will it be fought overseas, or will it affect us here at home?
[00:20:42.008 --> 00:20:46.171]  If you are like most folks, you want to be prepared, but can't afford an underground shelter.
[00:20:46.591 --> 00:20:47.431]  So what do you do?
[00:20:47.751 --> 00:20:52.314]  Did you know that you can use your home as a shelter against fallout and biological or chemical attacks?
[00:20:52.794 --> 00:20:54.936]  With a little know-how, it's not that difficult.
[00:20:55.416 --> 00:20:56.317]  Sheltering in Place!
[00:20:56.718 --> 00:21:10.109]  Surviving acts of terrorism from biological, chemical, and radioactive fallout, developed by Wayne LeBaron, a health physicist who has served as a specialist in environmental health, communicable diseases, and has worked as a nuclear specialist for the U.S.
[00:21:10.149 --> 00:21:17.215]  government, gives you easy-to-follow video instructions, and walks you step-by-step through the process of preparing your home as a shelter.
[00:21:17.555 --> 00:21:21.958]  Get this critical video every American needs for only $29 plus shipping.
[00:21:22.398 --> 00:21:26.461]  Order by calling New Millennium today at 888-803-4438.
[00:21:26.741 --> 00:21:29.463]  That's 888-803-4438.
[00:21:29.763 --> 00:21:33.686]  Or order on the web at Berkeywater.com.
[00:21:36.288 --> 00:21:38.790]  David J. Smith for Newswatch Magazine.
[00:21:39.530 --> 00:21:42.172]  Patrick Henry said, give me liberty or give me death.
[00:21:42.910 --> 00:21:59.061]  Did you know that he also forced the adoption of the Bill of Rights as a part of the Constitution of 1787 to guarantee your unalienable or unchangeable rights of freedom of speech, freedom of religion, and freedom to own a gun to protect our nation from tyranny?
[00:22:00.022 --> 00:22:05.206]  There is now an assault upon the unalienable, unchangeable rights to deprive you of them.
[00:22:06.053 --> 00:22:13.979]  We'd like to help you understand why these things are happening by offering you an absolutely free one-year subscription to Newswatch Magazine.
[00:22:14.999 --> 00:22:15.520]  Just call 1-800-516-8736.
[00:22:15.540 --> 00:22:15.820]  That's 1-800-516-8736.
[00:22:15.840 --> 00:22:16.220]  The call is free.
[00:22:16.240 --> 00:22:21.444]  Our operators are standing by to take your order for a year subscription to Newswatch Magazine.
[00:22:38.780 --> 00:22:40.722]  Do you know the truth about breast cancer?
[00:22:41.223 --> 00:22:43.645]  Do you realize that the race for the cure is over?
[00:22:44.446 --> 00:22:52.855]  The best-kept secret in the world today is that now it's possible to kill cancer without personal suffering, mutilation, and poisoning of your entire system.
[00:22:53.837 --> 00:22:58.682]  Now it's cancer's turn to die, with LaysMed Incorporated's patented methodology.
[00:22:59.341 --> 00:23:09.350]  Without cutting, bleeding, drugs, or damaging radiation, we can destroy skin cancer and breast tumors of any size without adverse side effects at a physician's office.
[00:23:09.830 --> 00:23:12.132]  Star War technology at its best.
[00:23:12.913 --> 00:23:14.154]  For more information, call 702-953-0267.
[00:23:14.174 --> 00:23:14.214]  702-953-0267.
[00:23:22.899 --> 00:23:28.985]  Or visit www.LazMedInc.com That's www.LazMedInc.com
[00:23:35.436 --> 00:23:37.518]  Gold is like nothing else on Earth.
[00:23:37.738 --> 00:23:43.842]  From the Romans through the Renaissance, from the Industrial Age to the Space Age, gold has weathered the test of time.
[00:23:44.022 --> 00:23:47.845]  For 6,000 years, gold has remained the ultimate store of wealth.
[00:23:48.206 --> 00:23:50.107]  According to the World Gold Council and the U.S.
[00:23:50.147 --> 00:23:52.429]  Mint, demand is at an all-time high.
[00:23:52.589 --> 00:23:59.354]  The stage is being set for the reemergence of gold as a common-sense alternative to a fiat paper currency that gets weaker
[00:23:59.674 --> 00:24:00.575]  We're good to go.
[00:24:23.696 --> 00:24:25.678]  Call 800-686-2237.
[00:24:26.199 --> 00:24:30.323]  If you have ever thought about owning gold, you must read this report.
[00:24:30.464 --> 00:24:31.505]  Call Midas today at 800-686-2237.
[00:24:57.276 --> 00:24:59.357]  Welcome back, ladies and gentlemen.
[00:24:59.437 --> 00:25:02.137]  All right, let me get into the news here.
[00:25:28.161 --> 00:25:32.965]  Later I am going to read some mean posts and things about myself that people said.
[00:25:32.985 --> 00:25:45.416]  I just want to illustrate the absurdity, the mass mental illness of individuals who will attack a messenger rather than ever actually get involved and fight the New World Order.
[00:25:46.397 --> 00:25:55.125]  You notice the people that do their critiquing of the Patriot Movement, the Truth Movement, you notice they don't do hardly anything exposing the globalists or any of the crime syndicates operations.
[00:25:55.740 --> 00:25:59.763]  They just expose everyone that's exposing it and tell you how they're bad.
[00:26:00.484 --> 00:26:05.348]  And these little copycats go out and regurgitate and repeat it over and over again.
[00:26:07.290 --> 00:26:09.812]  So maybe I'll talk a little bit about that mentality later.
[00:26:10.212 --> 00:26:12.254]  But it is what keeps populations enslaved.
[00:26:12.314 --> 00:26:14.896]  One of the key reasons that happens.
[00:26:17.626 --> 00:26:23.088]  Microsoft unveils an in-car computer system, and of course it tracks everything you do.
[00:26:23.468 --> 00:26:25.228]  The new smart cars are here, as we told you.
[00:26:25.268 --> 00:26:26.288]  Cameras will watch you.
[00:26:26.668 --> 00:26:28.289]  Sensors will track everything you do.
[00:26:28.609 --> 00:26:30.390]  But they're selling it to you as luxury.
[00:26:31.110 --> 00:26:39.092]  I see all these people, you know, I'll see them outside an IHOP or at the mall, and they'll have their $100,000 Mercedes, and with pleasure, they thumb scan.
[00:26:39.532 --> 00:26:39.672]  Ooh!
[00:26:40.132 --> 00:26:41.693]  Oh, that's a powerful boo!
[00:26:42.193 --> 00:26:43.153]  Oh, I get it!
[00:26:43.253 --> 00:26:44.333]  It's just, it's a joke!
[00:26:44.753 --> 00:26:46.754]  The elite knows how to sell slavery, folks.
[00:26:48.582 --> 00:26:53.446]  I call it the Chinese Princess Syndrome.
[00:26:53.666 --> 00:27:08.677]  Different guilds going back three, four, five thousand years ago would figure out how to enslave the higher caste and then basically make themselves the higher level servant class, the true behind the throne power.
[00:27:11.519 --> 00:27:13.120]  I might as well just talk about this now.
[00:27:13.581 --> 00:27:17.744]  They tell them, oh you're so beautiful when your feet look this certain way.
[00:27:20.070 --> 00:27:32.858]  And over just a few generations, they'd get it to where the women couldn't even walk because their feet had been bound so tightly, their toes under their feet.
[00:27:34.659 --> 00:27:36.940]  And it was the same thing with their fingernails.
[00:27:38.761 --> 00:27:40.742]  Oh, you know, no one can talk to you.
[00:27:40.802 --> 00:27:42.043]  You're the male emperor.
[00:27:42.523 --> 00:27:45.005]  You're so powerful, only the priests can go out and
[00:27:46.497 --> 00:27:47.818]  Intercede with the people.
[00:27:48.759 --> 00:27:51.582]  No one can even look at you because you're a god emperor.
[00:27:52.242 --> 00:27:53.223]  Really, they were in prison.
[00:27:53.944 --> 00:28:01.050]  And the women would have these big, five foot, three foot long fingernails, all disgusting and curled.
[00:28:03.913 --> 00:28:05.074]  You see, that's how they do it.
[00:28:05.154 --> 00:28:06.575]  And that's what they do with women today.
[00:28:06.795 --> 00:28:11.820]  Oh, you've got to be totally skinny and look like a 15-year-old track runner.
