[00:00:00.029 --> 00:00:01.021]  Bidding talk rates.
[00:07:09.846 --> 00:07:16.151]  Are political uncertainties and a world spinning out of control keeping you from getting the restful sleep your body desperately needs?
[00:07:16.511 --> 00:07:16.971]  It's true.
[00:07:17.211 --> 00:07:22.935]  Researchers now know that insufficient sleep can lead to dangerous health problems, including immune system impairment.
[00:07:23.136 --> 00:07:28.479]  But before you reach for addictive pills, listen to this exciting news about a breakthrough in safe and restful sleep.
[00:07:28.820 --> 00:07:33.523]  A new product called a Sleep Generator is now available and is remarkably simple to use.
[00:07:33.843 --> 00:07:37.065]  Just pop the sleep generator in your CD player and hit play.
[00:07:37.265 --> 00:07:37.726]  That's it!
[00:07:37.986 --> 00:07:41.168]  The new program uses sleep-inducing sounds called binaural beats.
[00:07:41.488 --> 00:07:48.873]  These scientifically engineered audio frequencies interact with the human brain in such a way that it almost forces quick, safe, and non-addictive sleep.
[00:07:49.093 --> 00:07:50.114]  It's just that simple.
[00:07:50.254 --> 00:07:55.798]  Created in a special sound lab in Lima, Peru, it seems to generate restful sleep when nothing else will.
[00:07:55.958 --> 00:08:00.961]  So if you're really having trouble falling asleep, go to www.highspeedsleep.com
[00:08:05.905 --> 00:08:06.545]  Big Brother.
[00:08:07.205 --> 00:08:08.285]  Mainstream Media.
[00:08:08.966 --> 00:08:10.086]  Government cover-ups.
[00:08:10.726 --> 00:08:11.566]  You want answers?
[00:08:12.307 --> 00:08:14.227]  Well, so does he.
[00:08:14.247 --> 00:08:17.528]  He's Alex Jones on the GCN Radio Network.
[00:08:18.068 --> 00:08:22.130]  And now, live from Austin, Texas, Alex Jones.
[00:08:30.080 --> 00:08:31.401]  Welcome, ladies and gentlemen.
[00:08:31.461 --> 00:08:31.881]  Welcome.
[00:08:31.921 --> 00:08:39.765]  Thank you so much for joining us on this 18th day of October 2007.
[00:08:40.266 --> 00:08:46.029]  We're going to be live here for the next two hours and 55 minutes.
[00:08:46.529 --> 00:08:58.556]  We have Sean Kradish joining us coming up in about 20 minutes to discuss news that we broke here on air yesterday on the Genesis Network.
[00:09:00.229 --> 00:09:04.232]  Ed Brown gassed, tortured in deprivation tank.
[00:09:04.372 --> 00:09:09.777]  Tax protester speaks for the first time since arrest in prison cell.
[00:09:10.157 --> 00:09:23.868]  In a disturbing audio clip, Ed Brown speaks for the first time since his arrest and relates how he was gassed by noxious fumes for three days in a detention center as well as being put in a deprivation tank for 15 hours.
[00:09:25.450 --> 00:09:28.394]  You know, John, I might have sent this to you before the show.
[00:09:28.414 --> 00:09:29.435]  I forgot.
[00:09:29.695 --> 00:09:40.349]  You might want to go up to PrisonPlanet.com and go into the story, Ed Brown Gas, Tortured and Deprivation Tank, to grab that audio so we can air some snippets of it later.
[00:09:41.639 --> 00:09:42.921]  We're good to go.
[00:10:02.385 --> 00:10:07.347]  They did this at Pier 57, of course, in New York in 2004 at the Republican National Convention.
[00:10:07.627 --> 00:10:12.129]  They brought buses in, parked them, and ran them for hours next to the cages inside.
[00:10:12.249 --> 00:10:13.689]  Photos of this got out.
[00:10:14.250 --> 00:10:16.110]  People were vomiting, passing out.
[00:10:16.130 --> 00:10:17.351]  It's all part of the enjoyment.
[00:10:18.931 --> 00:10:22.473]  They were pumping something through the ventilation system in on him.
[00:10:22.873 --> 00:10:30.556]  Then he reports they put him in a deprivation tank, a sensory deprivation tank, which is another classic form of torture.
[00:10:32.094 --> 00:10:34.095]  I think so.
[00:10:51.693 --> 00:10:57.374]  We have cases here of people with tuberculosis going back and forth across the border.
[00:10:57.634 --> 00:11:03.136]  One Mexican national infected with a highly contagious form of tuberculosis crossed the U.S.
[00:11:03.176 --> 00:11:11.818]  border 76 times and took multiple domestic flights in the past year, according to Customs and Border Protection interviews and documents obtained by the Washington Times.
[00:11:11.838 --> 00:11:13.038]  We'll be going over that report.
[00:11:14.319 --> 00:11:19.800]  Of course, the really big news is that Bush threatened World War III
[00:11:21.406 --> 00:11:34.811]  against Iran, just public insanity on display, open terroristic threats to the entire planet, invoking Armageddon.
[00:11:35.471 --> 00:11:36.872]  We'll be documenting that.
[00:11:36.952 --> 00:11:40.213]  Bush warns of World War III if Iran goes nuclear.
[00:11:40.893 --> 00:11:45.855]  IMF says dollar overvalued in another attempt to further push down the dollar.
[00:11:47.831 --> 00:11:52.093]  Nationwide revolt against dangerous vaccines accelerates.
[00:11:55.054 --> 00:11:58.976]  I'm going to be doing a 30-minute report on that today.
[00:11:58.996 --> 00:12:10.501]  The Debka file reports that letters warning thousands of Jewish families in Iran to flee the country ahead of a massive bombardment have been mailed out.
[00:12:11.222 --> 00:12:15.984]  Iran says that they're brushing off Bush's warning of World War III.
[00:12:26.462 --> 00:12:31.726]  So this is just some of what we're going to be going over and covering today on the broadcast.
[00:12:32.767 --> 00:12:46.617]  I've got to tell you that I am just amazed by the quality of news and information and videos and audios that are being posted and the work that Kurt Nemo is doing over on our new website truthnews.us and I was just looking at it this morning
[00:12:47.276 --> 00:12:47.356]  Yes.
[00:13:03.889 --> 00:13:06.951]  To visit the site and spread the word about the site.
[00:13:07.411 --> 00:13:13.435]  And in another program note, don't forget that I'm going to be showing End Game Blueprint for Global Enslavement.
[00:13:14.075 --> 00:13:15.616]  I just had four showings in Austin.
[00:13:15.676 --> 00:13:18.098]  All of those overflowed and then sold out.
[00:13:18.518 --> 00:13:21.280]  A lot of people were angry and said, please have more showings.
[00:13:21.720 --> 00:13:26.223]  And so I'm having six more showings at the Alamo Draft House in South Lamar.
[00:13:26.283 --> 00:13:31.506]  If you happen to be an Austin or Central Texas listener, or folks drive in from all over for that matter.
[00:13:32.066 --> 00:13:40.072]  It's a great event, and I'm going to be speaking at the Monday showing, 7 o'clock, Alamo Draft House, South Lamar, and the next Monday showing.
[00:13:40.132 --> 00:13:48.118]  So, showings Monday, Tuesday, Wednesday of next week, and then showings the next Monday, Tuesday, Wednesday of the week after that.
[00:13:48.158 --> 00:13:55.363]  And if you go to EmpireWars.com or PrisonPlanet.com, you can link through there on the site.
[00:13:56.375 --> 00:14:00.738]  And go directly to the Alamo Draft House ticket shopping cart and get your tickets now.
[00:14:01.058 --> 00:14:05.741]  They do hold 20 tickets back to the hour before the film shows.
[00:14:05.941 --> 00:14:10.984]  So at 6 o'clock you can show up if you want to risk it and try to get tickets at the door.
[00:14:11.024 --> 00:14:13.706]  And people seem to be pretty successful at doing that.
[00:14:13.806 --> 00:14:15.507]  But we've had every showing sell out.
[00:14:15.887 --> 00:14:22.932]  So be sure and be aware that if you do want to see Endgame in the theater here in Central Texas, you can get tickets right now at InfoWars.com.
[00:14:24.938 --> 00:14:38.076]  The film will be coming out via the internet at PrisonPlanet.tv for PrisonPlanet.tv members on October 26th, and that now is only eight days away.
[00:14:39.574 --> 00:14:46.279]  Then November 1st it will ship out to you on DVD and we've been taking those orders for a couple weeks.
[00:14:46.320 --> 00:14:54.426]  We are packaging them right now and they are stacked on a big pallet in the front office and will be shipped out November 1st.
[00:14:56.107 --> 00:15:03.453]  Every order that comes through right up to November 1st will be pre-packaged and shipped out to you so you will get it as fast as possible.
[00:15:03.974 --> 00:15:06.916]  Endgame covers the big issue.
[00:15:10.325 --> 00:15:17.870]  Endgame gets into the central issue that affects society.
[00:15:17.890 --> 00:15:23.074]  I mean, frankly, when I get up here and talk about how big this is, I feel unworthy.
[00:15:24.515 --> 00:15:29.619]  I feel at a loss for words to describe the length and breadth and seriousness of it.
[00:15:30.119 --> 00:15:31.680]  There is a global elite.
[00:15:31.720 --> 00:15:34.482]  They are setting up a one-world government, but that's only the beginning.
[00:15:35.271 --> 00:15:39.774]  Once it's in place, they plan to exterminate 80% of the world's population.
[00:15:40.254 --> 00:15:41.375]  I know it's diabolical.
[00:15:41.855 --> 00:15:55.443]  I know for the general public, who are not sadistic control freaks with a murderous heart, a bloodthirsty heart, who just dreams endlessly after wickedness and killing and hurting innocents and who hates beauty and goodness,
[00:15:56.363 --> 00:16:00.626]  I understand you have trouble getting your mind around it, I do too, but it is a fact.
[00:16:00.766 --> 00:16:10.211]  And it's hard for me to get my mind around it and realize that no one's made a film, no one's written a book, no one has ever really told the story in full.
[00:16:11.391 --> 00:16:13.372]  And I don't even claim to have done that in Endgame.
[00:16:13.633 --> 00:16:17.114]  It's two hours, twenty minutes long, and then it's got almost an hour of extras.
[00:16:17.595 --> 00:16:21.777]  I don't even claim to have done that here, but I've done the best job out there, there's no doubting that.
[00:16:22.763 --> 00:16:30.468]  And, uh, it is, it is, uh, people that say, oh, well, you're trying to put a bad light on this or a bad hyperbole spin angle.
[00:16:30.548 --> 00:16:30.788]  No.
[00:16:31.288 --> 00:16:33.089]  It's a hundred times worse than I can present.
[00:16:33.469 --> 00:16:37.312]  And it's a horrible, disgusting, depressing film.
[00:16:37.672 --> 00:16:39.513]  But very well produced, very glossy.
[00:16:40.254 --> 00:16:42.175]  And, uh, it's very upsetting to watch.
[00:16:42.215 --> 00:16:43.135]  But you have to watch it!
[00:16:43.195 --> 00:16:43.996]  I mean, I'm sorry!
[00:16:44.956 --> 00:16:45.196]  Okay?
[00:16:45.236 --> 00:16:46.397]  And it's a horrible film.
[00:16:46.437 --> 00:16:47.698]  It's a horrible, dark film.
[00:16:48.782 --> 00:16:50.303]  It is a nightmarish film.
[00:16:50.363 --> 00:16:51.624]  It is a depressing film.
[00:16:51.664 --> 00:16:53.165]  It is a upsetting film.
[00:16:53.225 --> 00:16:54.806]  People are shaken after they see it.
[00:16:56.647 --> 00:16:58.047]  And it's only the beginning.
[00:16:58.067 --> 00:17:01.949]  I'm going to make an Endgame 2, where I'm going to go into all the specifics of what they're doing.
[00:17:02.210 --> 00:17:06.432]  And I did that here, but you'll think it's specifics, but it doesn't even plumb the depths.
[00:17:07.993 --> 00:17:10.094]  And then I want to drop everything I'm doing.
[00:17:10.114 --> 00:17:11.535]  I want to drop the radio show.
[00:17:12.575 --> 00:17:13.896]  I want to just stop the radio show.
[00:17:15.319 --> 00:17:16.379]  Quit the radio show.
[00:17:17.100 --> 00:17:31.365]  I've seriously been thinking about it, because I could then spend all my time, and instead of taking 14 months to make a film, if I didn't do this radio show and everything else, I could make an in-game two, because no one else is doing it!
[00:17:31.406 --> 00:17:32.446]  No one else is warning people!
[00:17:32.486 --> 00:17:33.586]  No one else has the big picture!
[00:17:33.866 --> 00:17:35.307]  I don't know why it's right in your face!
[00:17:36.047 --> 00:17:44.871]  And I could just make films, but then, you see, I have to self-produce, I have to self-fund, I have to release it,
[00:17:46.239 --> 00:17:50.702]  And, I mean, do you think I like getting up on air and having to plug sponsors and advertise?
[00:17:50.722 --> 00:17:53.104]  At least I go out and find stuff I believe in and think is good.
[00:17:53.564 --> 00:17:54.365]  You think I like that?
[00:17:54.425 --> 00:17:54.605]  No.
[00:17:57.327 --> 00:18:00.109]  In fact, I get sick of coming on and doing a radio show, period.
[00:18:01.230 --> 00:18:01.531]  Okay?
[00:18:01.651 --> 00:18:03.352]  I'm not a fan of myself.
[00:18:03.652 --> 00:18:05.374]  I don't like being well-known.
[00:18:06.574 --> 00:18:13.400]  But at the same time, I literally have a driving, burning, pulsating, seething
[00:18:14.757 --> 00:18:21.261]  Roaring desire to warn people and to warn innocents and to expose these murdering criminals.
[00:18:21.701 --> 00:18:26.163]  I mean, I was enraged at the end of the show yesterday.
[00:18:26.303 --> 00:18:27.584]  Enraged with anger.
[00:18:28.245 --> 00:18:30.306]  And I don't have the energy to get enraged with anger.
[00:18:31.967 --> 00:18:33.547]  Because I was mad at myself.
[00:18:34.388 --> 00:18:35.248]  That was a part of it.
[00:18:35.609 --> 00:18:36.949]  That was the ignition point.
[00:18:36.989 --> 00:18:39.791]  That was the blasting cap that started the explosion.
[00:18:41.903 --> 00:18:45.386]  And it wasn't too bad on air, but physically I became overwrought with anger.
[00:18:46.647 --> 00:18:52.872]  The drive to physically rip someone limb from limb, because I was physically under threat.
[00:18:53.916 --> 00:19:20.593]  I realize, and I see threats for what they are, I realize that, A, I hadn't covered it for the whole show, and there I was, not going to calls I promised to go to, but I had to not go to them because I had to cover that piece of living filth, that piece of detritus, that perfumed, makeuped, quaffed, preening peacock, that un-American, America-hating, Nazi-loving, son-of-a-Nazi pig,
[00:19:21.574 --> 00:19:45.026]  Gun control, pro-open borders, pro-everything evil you can imagine, Arnold Schwarzenegger, who, if he's able to pass the law, that they're about to pass, it will be a huge move toward shutting down gun manufacturing nationwide, ammunition manufacturing, and I just can't look at his face!
[00:19:45.146 --> 00:19:46.326]  I mean, he is an enemy?
[00:19:46.867 --> 00:19:49.408]  My very bones cry out to just
[00:19:50.635 --> 00:19:53.377]  You are a piece of maggot-eaten trash!
[00:19:54.077 --> 00:19:54.878]  I hate you!
[00:19:55.318 --> 00:19:56.819]  You piece of trash!
[00:19:56.979 --> 00:19:59.701]  I know you want to do to us what your daddy did to people!
[00:19:59.881 --> 00:20:00.842]  You piece of trash!
[00:20:02.843 --> 00:20:07.326]  Through the years of providing water filters to America, you've come to us and we've listened.
[00:20:07.667 --> 00:20:11.749]  You asked us to make the water level visible to eliminate the guesswork when refilling the water.
[00:20:12.049 --> 00:20:12.610]  We listened.
[00:20:12.910 --> 00:20:17.893]  You asked for an elevated base so the system could be used in places beside on the edge of a counter.
[00:20:18.174 --> 00:20:18.634]  We listened.
[00:20:19.014 --> 00:20:22.056]  You asked us to develop a filter that was made in the USA.
[00:20:22.476 --> 00:20:23.016]  We listened.
[00:20:23.477 --> 00:20:27.539]  You asked us to include an emergency light for camping and during power outages.
[00:20:27.939 --> 00:20:28.399]  We listened.
[00:20:28.760 --> 00:20:34.002]  After 9-11, you asked us to develop a filter that was more powerful in removing chemical agents.
[00:20:34.403 --> 00:20:34.683]  Again,
[00:20:35.243 --> 00:20:35.764]  We listened.
[00:20:36.124 --> 00:20:37.705]  Introducing the Berkey Light.
[00:20:37.886 --> 00:20:43.510]  The gravity filter requested by America, designed by Americans, and made in America.
[00:20:43.911 --> 00:20:46.553]  Get the Berkey Light at the American Water Purifier.
[00:20:46.753 --> 00:20:46.953]  Only $279.
[00:20:47.014 --> 00:20:48.034]  Call New Millennium.
[00:20:48.054 --> 00:20:48.154]  888-803-4438.
[00:20:48.175 --> 00:20:48.475]  That's 888-803-4438.
[00:20:48.515 --> 00:20:49.696]  Or order on the web at berkeywater.com.
[00:20:49.716 --> 00:20:51.057]  Not yet available in Iowa.
[00:20:59.767 --> 00:21:04.710]  Ted Hedges for Midas October 18, 2007 Gold 764 20 ounce gold coins can be purchased for $787.64, $388.30 per half, $194.15 per quarter.
[00:21:04.730 --> 00:21:05.111]  That's $787.64, $388.30, and $194.15.
[00:21:05.151 --> 00:21:07.492]  Hedge fund is caught in the malaise of mortgage bankruptcies.
[00:21:07.532 --> 00:21:08.933]  The bond market continues to slump.
[00:21:08.953 --> 00:21:09.914]  JP Morgan gets caught in a
[00:21:20.741 --> 00:21:22.443]  10 billion bad deal for Chrysler.
[00:21:22.463 --> 00:21:24.685]  Housing sales fell 6.6 percent.
[00:21:24.745 --> 00:21:29.650]  Mortgage giant Countrywide showed mortgage payment was spreading to the middle and upper class.
[00:21:29.691 --> 00:21:32.133]  Investors cast doubt on investment banks.
[00:21:32.253 --> 00:21:36.698]  Credit protection insurance for mortgage lenders are skyrocketing due to the increased risk.
[00:21:37.018 --> 00:21:37.438]  The U.S.
[00:21:37.478 --> 00:21:41.843]  dollar is free falling against foreign currencies and countries that previously financed the U.S.
[00:21:41.943 --> 00:21:43.705]  are now seeking safer alternatives.
[00:21:44.145 --> 00:21:46.929]  Economist Roley Boyd published the report, Bubble Leaking.
[00:21:47.169 --> 00:21:48.331]  Call for the report today, 800-686-2237.
[00:21:48.491 --> 00:21:54.098]  The value of your hard-earned money is being lost in a global game of chess.
[00:21:54.178 --> 00:21:54.419]  Call 800-686-2237.
[00:21:54.439 --> 00:21:54.619]  That's 800-686-2237.
[00:21:59.705 --> 00:22:05.549]  Hey ladies, if you love to shop, then visit HerbalHealer.com to browse through their online catalog.
[00:22:05.649 --> 00:22:11.112]  You'll find thousands of effective, alternative, and natural products for you and the whole family.
[00:22:11.232 --> 00:22:16.515]  Besides the amazing products you'll find, this shopping is guilt-free because you're investing in your health.
[00:22:16.755 --> 00:22:18.556]  And your health is priceless.
[00:22:18.897 --> 00:22:25.961]  While online, sign up to receive the Herbal Healer newsletter, which will keep you informed on the latest and greatest products and education.
[00:22:26.221 --> 00:22:38.386]  Did you know that Herbal Healer offers not only natural medicine, but also tension relieving herbal teas, cookbooks, aromatherapy, products for pampering, and more great products to help you soothe and relax after a long day.
[00:22:38.406 --> 00:22:41.468]  Want to learn more for yourself and to help others in the future?
[00:22:41.708 --> 00:22:44.089]  Join the Herbal Healer Correspondence Program.
[00:22:44.209 --> 00:22:47.190]  You can work at your own pace from the comfort of your own home.
[00:22:47.270 --> 00:22:51.252]  This accredited, exciting program can help you gain skills and knowledge.
[00:22:51.432 --> 00:22:53.293]  Can you believe you can find all this at once?
[00:22:53.933 --> 00:22:55.274]  We're good to go.
[00:23:15.564 --> 00:23:16.024]  We're good to go.
[00:23:39.133 --> 00:23:48.659]  That's 1-800-275-1126 or mail in your order to us at 4425 Schneider Road, Fillmore, NY 14735.
[00:23:49.440 --> 00:23:53.142]  The total cost for this massive package of information is only $10.
[00:23:53.962 --> 00:23:58.085]  $15 for UPS ground or $30 outside the U.S.
[00:24:01.447 --> 00:24:07.111]  He's the T-Rex of political talk, Alex Jones on the GCN Radio Network.
[00:24:13.017 --> 00:24:14.979]  We are all under threat in this nation.
[00:24:15.800 --> 00:24:17.001]  We are all under attack.
[00:24:18.081 --> 00:24:18.582]  Think about it.
[00:24:19.423 --> 00:24:21.584]  But it's not just here in the U.S.
[00:24:22.385 --> 00:24:27.529]  Almost 90% of Brits don't want to go into the European Union.
[00:24:28.110 --> 00:24:38.378]  But the government, no matter whether it's conservative or liberal, continues to try to force them into it and then tries to lie about what the treaties are and then tries to change the name of the treaty to fool people.
[00:24:39.367 --> 00:24:41.648]  And they engage in all this deception.
[00:24:42.568 --> 00:24:46.109]  Over in England, they tell the children, you're going to play James Bond today.
[00:24:46.209 --> 00:24:47.329]  Don't tell your parents.
[00:24:47.629 --> 00:24:49.430]  And they retina scan them and thumb print them.
[00:24:50.250 --> 00:24:51.410]  See, I mean, it's illegal.
[00:24:51.490 --> 00:24:52.191]  It's secretive.
[00:24:52.251 --> 00:24:53.071]  It's coercive.
[00:24:53.431 --> 00:24:54.791]  It's just out and out criminal.
[00:24:55.211 --> 00:24:57.892]  And there's hundreds of similar things going on here in the U.S.
[00:24:58.872 --> 00:25:00.473]  And then I look at Arnold Schwarzenegger.
[00:25:00.513 --> 00:25:01.473]  We have the audio of it.
[00:25:01.493 --> 00:25:02.353]  I don't have time to play it.
[00:25:02.373 --> 00:25:04.434]  I've got like ten different audio clips today I want to play.
[00:25:04.454 --> 00:25:07.695]  Schwarzenegger gets tough on California guns.
[00:25:08.889 --> 00:25:12.350]  Now, you're saying, hey, I don't care about California, let it fall off into the ocean.
[00:25:13.210 --> 00:25:17.731]  There are 30 plus million people in California, as the traitor piece of filth says.
[00:25:17.751 --> 00:25:21.752]  Well, he's not even a traitor, he's an outlander, he's not an American, he's a piece of trash.
[00:25:23.733 --> 00:25:26.974]  But look at Homeland Security, look at who runs everything, it's just nothing but foreigners.
[00:25:27.014 --> 00:25:34.395]  I mean, look at Rick Perry, he's got the head guy who runs Texas-Mexico relations, he's a Mexican citizen, registered lobbyist of Mexico.
[00:25:34.435 --> 00:25:36.836]  I mean, it's just, we are a nation of idiots.
[00:25:38.122 --> 00:25:39.324]  The Bible talks about that.
[00:25:39.344 --> 00:25:42.428]  When a nation becomes evil and decadent, foreigners come in and rule you.
[00:25:43.028 --> 00:25:44.310]  They come in and eat your lunch.
[00:25:45.912 --> 00:25:53.781]  If they're able to pass this, and they're on the verge of passing it right now, I'm trying to get Bernadine Smith on from California to cover this and other Second Amendment groups.
[00:25:53.801 --> 00:25:56.084]  I'm going to get Gun Owners of America back on.
[00:25:56.304 --> 00:25:57.826]  I mean, the fight's on, folks.
[00:25:58.897 --> 00:26:00.998]  Pataki's suing the gun manufacturers.
[00:26:01.038 --> 00:26:03.919]  He's got a whole bunch of different suits, over a hundred different ones filed.
[00:26:04.279 --> 00:26:08.821]  If they win one, that will make scores of other gun manufacturers go out of business.
[00:26:08.861 --> 00:26:12.823]  We've already lost more than 80% of our manufacturers that we had in the 70s.
[00:26:13.564 --> 00:26:14.964]  Most of the gun shops are shut down.
[00:26:14.984 --> 00:26:17.985]  There's one gun shop in the entire Bay Area of California.
[00:26:19.126 --> 00:26:22.027]  They've banned buying ammo in LA.
[00:26:22.127 --> 00:26:24.228]  If you have it, you've got to have it registered.
[00:26:24.668 --> 00:26:25.909]  I mean, it's all happening!
[00:26:27.416 --> 00:26:38.339]  And Schwarzenegger says that any ammo sold to the state will have to have serial numbers and you'll be registered in the state when you buy it, which again creates a new database that nexuses with the feds.
[00:26:39.679 --> 00:26:53.042]  On top of that, we have the NRA supporting, and I remember I was driving back from vacation through Houston, Tuesday, and I heard local conservative radio defending
[00:26:53.835 --> 00:26:54.556]  Gun control.
[00:26:54.576 --> 00:26:57.299]  Then I heard the news defending gun control.
[00:26:57.319 --> 00:27:00.322]  Then I heard Sean Hannity spinning what was happening.
[00:27:02.344 --> 00:27:05.608]  As I was flipping around on different stations and I again got totally upset!
[00:27:06.531 --> 00:27:12.656]  Because the NRA is supporting the biggest gun control bill that we've ever seen.
[00:27:13.196 --> 00:27:16.659]  They supported the Gun Control Act in 1968.
[00:27:16.939 --> 00:27:19.602]  They supported the 30s Gun Control Act.
[00:27:19.642 --> 00:27:21.263]  They are the people behind it!
[00:27:21.723 --> 00:27:24.666]  And you can't get good old boys to listen.
[00:27:24.926 --> 00:27:25.727]  Even if you can.
[00:27:27.108 --> 00:27:27.348]  Again.
[00:27:28.061 --> 00:27:30.082]  We're facing the total destruction of this country.
[00:27:30.362 --> 00:27:34.024]  I don't want to be on more radio stations so Alex Jones can be a big shot.
[00:27:34.264 --> 00:27:35.304]  This is life and death.
[00:27:35.764 --> 00:27:36.965]  I want to reach more people.
[00:27:37.125 --> 00:27:47.290]  When I tell you, tell your friends and family how they can tune in and listen on the internet at infowars.com or truthnews.us, it's because I'm literally assessing an idea.
[00:27:47.490 --> 00:27:50.571]  I get on there and I get emotional, but I coldly have assessed Schwarzenegger.
[00:27:50.591 --> 00:27:52.032]  I've made a film about Schwarzenegger.
[00:27:52.852 --> 00:27:55.033]  His father was an SS captain.
[00:27:55.811 --> 00:27:57.772]  That's the equivalent of a colonel in a regular army.
[00:27:58.112 --> 00:28:05.354]  He ran an entire county where tens of thousands of people were arrested and taken to camps for extermination.
[00:28:05.654 --> 00:28:12.136]  His dad was an SS police chief over an entire sector of Austria.
[00:28:13.016 --> 00:28:19.598]  His father wasn't just a Nazi, he was a SS officer in Schwarzenegger.
[00:28:21.116 --> 00:28:27.541]  Ian Pumping Iron, but they never put that in the film, said, I've always dreamed of being a dictator like Hitler and being worshipped at Nuremberg.
[00:28:27.761 --> 00:28:29.342]  He handed out Hitler records.
[00:28:29.642 --> 00:28:31.684]  He went around wearing SS uniforms.
[00:28:31.944 --> 00:28:35.226]  He went around screaming at black people, saying he hated them in the gyms.
[00:28:35.546 --> 00:28:36.507]  It's all admitted.
[00:28:38.408 --> 00:28:41.050]  He went and bought the rights, by the way, of Pumping Iron to stop that from coming out.
[00:28:41.911 --> 00:28:46.534]  I mean, an actual Nazi who wants our guns.
[00:28:46.614 --> 00:28:48.856]  And let me tell you, it's all about power with them.
[00:28:49.694 --> 00:28:53.679]  Schwarzenegger would love to take your property, take your guns.
