[00:00:00.049 --> 00:00:01.150]  Do Our City Pass.
[00:03:21.784 --> 00:03:25.086]  Normally on autopilot, when I just do it day in, day out, continually.
[00:03:25.967 --> 00:03:28.108]  So you never know what you get when I've been out of town.
[00:03:28.128 --> 00:03:30.470]  I usually have a lot of pent-up energies.
[00:03:31.310 --> 00:03:31.911]  Who knows?
[00:03:31.951 --> 00:03:33.392]  Will there be fireworks today?
[00:03:34.278 --> 00:03:44.024]  As I geek for the public, not on purpose, but that turns out to be kind of what the, quote, entertainment spectacle is in the mixture that is this transmission.
[00:03:45.345 --> 00:03:47.786]  Giuliani caught in bizarre Building 7 lie.
[00:03:47.966 --> 00:03:54.070]  So we got O'Donnell exclusive, that's what ABC said.
[00:03:54.690 --> 00:03:55.851]  No kidding, she works for you.
[00:03:55.931 --> 00:03:58.833]  We should have broken this three weeks ago, but I'm a man of my word, we didn't.
[00:03:59.553 --> 00:04:00.994]  O'Donnell leaving The View.
[00:04:02.142 --> 00:04:06.684]  Then we've got Giuliani Caught in Bizarre Building 7 Lie.
[00:04:06.724 --> 00:04:07.565]  We'll tell you about that.
[00:04:07.925 --> 00:04:09.026]  We have some clips as well.
[00:04:09.946 --> 00:04:14.088]  Also, Steve Watson did a story, uh, The Mystery of the 9-11 Car Bombs.
[00:04:14.749 --> 00:04:19.991]  Evidence points to multiple roaming backup teams with vans full of explosives.
[00:04:20.972 --> 00:04:28.716]  Absolutely, in case the bombs didn't go off, the detonators, the cutting charges inside the structures, they're ready to bring them down by brute force.
[00:04:30.806 --> 00:04:35.068]  Giuliani, back in the news on 9-11, warns of new 9-11 of the Dems' win.
[00:04:35.508 --> 00:04:42.972]  Again, either party, the New World Order wins getting into power, doesn't matter, they're all puppets, but just shows the fear-monger who the real terrorists are.
[00:04:42.992 --> 00:04:44.593]  I mean, that is terrorism.
[00:04:45.113 --> 00:04:47.494]  If you let them win, the terrorists will get you.
[00:04:47.554 --> 00:04:48.455]  That is terrorism.
[00:04:48.715 --> 00:04:51.116]  Do what I want or bad things are going to happen.
[00:04:51.436 --> 00:04:55.238]  Did I tell you my dad was a New York mob boss?
[00:04:56.457 --> 00:04:59.059]  By the way, did you know that's admitted in mainstream news?
[00:04:59.480 --> 00:05:03.123]  People go, yeah, that's how you get things done in America.
[00:05:03.443 --> 00:05:04.304]  Big deal.
[00:05:04.324 --> 00:05:06.145]  He needs to be the president.
[00:05:08.227 --> 00:05:11.690]  I always dreamed that my son would be Senator Corleone.
[00:05:12.671 --> 00:05:14.012]  President Corleone.
[00:05:14.052 --> 00:05:17.836]  The one actually holding the strings.
[00:05:18.856 --> 00:05:20.858]  But there wasn't time.
[00:05:20.878 --> 00:05:23.861]  For now, my grandson
[00:05:24.668 --> 00:05:27.710]  Roloff Giuliani can be that man!
[00:05:29.150 --> 00:05:30.271]  We'll be right back, stay with us.
[00:05:38.215 --> 00:05:43.697]  It's here, after a year in production and traveling to distant lands, my new film Terror Storm is complete.
[00:05:44.077 --> 00:05:51.681]  Shocking declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[00:05:52.409 --> 00:05:59.450]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[00:05:59.850 --> 00:06:11.252]  Terror Storm chronicles the lies that took us to war in Iran, a White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[00:06:11.592 --> 00:06:15.093]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[00:06:15.553 --> 00:06:17.433]  It's an anthology of government crimes.
[00:06:17.813 --> 00:06:21.654]  Terror Storm is a film that everyone who wants to be truly informed must see.
[00:06:22.259 --> 00:06:29.705]  Get your copy today at InfoWars.com or PrisonPlanet.com or by calling toll free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv
[00:06:35.226 --> 00:06:40.188]  Now, you can bring Berkey Purification Power anywhere with the Sport Berkey Filtration Bottle.
[00:06:40.488 --> 00:06:45.930]  Ideal for sporting games, camping or boating, or Sport Berkey is small enough to store in your glove box.
[00:06:45.970 --> 00:06:50.271]  So it's ideal backup for unexpected emergencies like blackouts, floods or earthquakes.
[00:06:50.612 --> 00:06:53.613]  It's simply the best personal water filtration system available.
[00:06:53.933 --> 00:06:57.354]  So effective you can drink raw, untreated water from lakes, rivers and streams.
[00:06:57.694 --> 00:07:07.060]  Unlike other sport bottles, the Sport Berkey's patented filter formulation is so powerful it removes cysts, parasites, harmful bacteria, and chemicals like herbicides and pesticides.
[00:07:07.321 --> 00:07:10.803]  It even reduces radon-222, lead, and other heavy metals.
[00:07:11.043 --> 00:07:18.168]  This lightweight, rugged 22-ounce filter is small enough to go everywhere, so take one to work and keep another in your glove box for emergencies.
[00:07:18.408 --> 00:07:20.289]  Get the Berkey Sport for only $39.
[00:07:20.870 --> 00:07:23.711]  Get two for $70 by calling New Millennium at 888-803-4438.
[00:07:28.176 --> 00:07:30.765]  That's toll-free, 888-803-4438, or order on the web at BerkeleyWater.com.
[00:07:34.580 --> 00:07:37.521]  Have you ever thought about what's in your shampoo, soap, or detergent?
[00:07:37.681 --> 00:07:42.864]  How about chlorides, dyes, ethanol, sulfates, sodium, formaldehydes, and more?
[00:07:43.204 --> 00:07:48.566]  Even fragrance can indicate the presence of some 4,000 separate ingredients, most of which are synthetic.
[00:07:48.946 --> 00:07:50.047]  Hi, this is Alex Jones.
[00:07:50.407 --> 00:07:59.271]  I was shocked when I discovered I could be inhaling these additives that can lead to coughing, wheezing, and shortness of breath, headaches, nausea, irritation of the skin, and mucous membrane.
[00:07:59.731 --> 00:08:01.333]  Now compare a Calvin Pure Soap.
[00:08:01.573 --> 00:08:05.737]  All natural, earth friendly, no harsh chemicals, no animal testing.
[00:08:05.777 --> 00:08:10.401]  They're safe and you save 85% of the money you're spending on cleaning products now.
[00:08:10.802 --> 00:08:12.884]  Start saving over $1,000 a year for your family of four.
[00:08:14.625 --> 00:08:15.385]  Keep it natural.
[00:08:15.706 --> 00:08:23.810]  Call Calvin Pure Soap for a free catalog at 1-800-340-7091 or log on to 5starsoap.com.
[00:08:24.130 --> 00:08:28.332]  Try Calvin Pure Soaps and I'll bet you'll never use any other cleaning products again.
[00:08:28.672 --> 00:08:29.593]  Call 1-800-340-7091 for all your cleaning needs.
[00:08:39.617 --> 00:08:40.258]  Big Brother.
[00:08:40.918 --> 00:08:41.959]  Mainstream media.
[00:08:42.680 --> 00:08:43.801]  Government cover-ups.
[00:08:44.462 --> 00:08:45.263]  You want answers?
[00:08:46.024 --> 00:08:46.905]  Well, so does he.
[00:08:46.925 --> 00:08:51.289]  He's Alex Jones on the GCN Radio Network.
[00:08:51.769 --> 00:08:55.834]  And now, live from Austin, Texas, Alex Jones.
[00:08:59.599 --> 00:09:04.242]  We are a nation literally ruled by organized crime.
[00:09:04.583 --> 00:09:05.983]  That's all the New World Order is.
[00:09:06.764 --> 00:09:25.556]  Organized crime with very sophisticated public relations firms and top psychological warfare experts, literally trying to keep the people divided from each other, fighting with each other, not focused on the real issues, to keep us all fractured so the special interests can come in and absolutely rule over us.
[00:09:26.681 --> 00:09:35.683]  They know though that as things get worse and worse for the general public there will be resistance and so they're putting in a police state grid preemptively to block that.
[00:09:36.903 --> 00:09:51.547]  I would hope that finally the police state grid being placed against us would be a big wake-up call to those of you out there who still haven't been able to look at the landscape right in front of your face and analyze what it is.
[00:09:52.947 --> 00:09:56.228]  It is classical tyranny with a hyper
[00:09:57.814 --> 00:10:24.063]  sophisticated high-tech system overlay and I'm just here in absolute horror looking at it being constructed all around us layer upon layer to see the brainwashed servants in their petty power trips who are actually carrying out the destruction of their family's futures humanity and to just see evil and wickedness and backstabbing and and and pettiness
[00:10:25.189 --> 00:10:35.235]  And false competitiveness, and just all of these miscreant attributes, it just makes my blood boil.
[00:10:39.018 --> 00:10:40.959]  Okay, Giuliani, the mob boss.
[00:10:41.099 --> 00:10:41.779]  I mean, why not?
[00:10:41.839 --> 00:10:42.740]  Daley's a mob boss.
[00:10:42.760 --> 00:10:44.301]  This was hereditary power.
[00:10:44.321 --> 00:10:47.503]  Hereditary power in Chicago.
[00:10:47.783 --> 00:10:53.927]  Why shouldn't it be hereditary power in New York, or nationwide, or North Korea, for that matter, or presidentially?
[00:10:56.152 --> 00:10:59.354]  Giuliani warns of a new 9-11 if the Dems win.
[00:11:01.055 --> 00:11:04.417]  Again, if you don't give it all to Giuliani, the terrorists will get you.
[00:11:04.917 --> 00:11:08.639]  And I think coming from him, you better take it real serious, because he's not playing games.
[00:11:10.900 --> 00:11:12.201]  No, they're not playing games at all.
[00:11:14.542 --> 00:11:17.044]  But we need somebody who's tough like him.
[00:11:17.964 --> 00:11:19.665]  Listen to him overseas.
[00:11:20.405 --> 00:11:22.427]  Giuliani will get tough with people.
[00:11:23.627 --> 00:11:24.948]  It doesn't matter whether it's that
[00:11:25.680 --> 00:11:32.024]  Mob Boss Hillary or that Mob Boss Bush and that whole crime clan representing the WASP Mafia.
[00:11:32.044 --> 00:11:33.645]  It doesn't matter if it's the Jewish Mafia.
[00:11:34.105 --> 00:11:35.226]  It's just all mafias.
[00:11:35.246 --> 00:11:37.107]  A big nesting group of mafias.
[00:11:37.527 --> 00:11:40.188]  They all get around the table every year at Bilderberg coming up in a month.
[00:11:41.849 --> 00:11:53.036]  And they set the course and then their big regional governorships with all the top experts and the heads of every industry and bank and education center.
[00:11:53.869 --> 00:11:56.510]  Just go out and roll forward, and it's all patronage.
[00:11:56.550 --> 00:11:58.291]  They all hand out goodies to each other.
[00:11:59.751 --> 00:12:01.332]  It's neo-feudalism.
[00:12:02.952 --> 00:12:18.957]  I mean, really, it is what it is, and we're here looking at it, and it's got a smiling face, but it's the smiling face of a dead man, a rotting corpse with its lips curled back in rigamortis from its teeth, smiling at you.
[00:12:18.997 --> 00:12:20.358]  The stench is overwhelming.
[00:12:21.425 --> 00:12:37.555]  And I don't know how the general public doesn't recoil from it, and frankly, why the hair on the back of your neck isn't standing up, and why you're not seizing upon implements of defense in preparation to protect yourselves.
[00:12:37.595 --> 00:12:41.557]  And I mean financially, spiritually, physically.
[00:12:41.577 --> 00:12:45.079]  I mean, I'm literally
[00:12:48.695 --> 00:12:53.437]  Literally, it's like I'm here just orbiting this giant mass of wickedness.
[00:12:53.457 --> 00:13:06.222]  We're all caught in its orbit, being inexorably pulled into its atmosphere to plunge down like a meteor into the surface and pulverize ballistically into a million shards.
[00:13:11.684 --> 00:13:12.744]  If you study history
[00:13:13.556 --> 00:13:36.982]  Every preparation, every subtle nuance of Great Oppression, of Megadeth, of Xenocide, is being lovingly oiled and primed and tuned and massaged and hermetically sealed, all interlocking, inter-excerably.
[00:13:39.159 --> 00:13:57.678]  You literally have a gibbering mass of people like monkeys wearing trinkets and bling and gaudy festooned portents of mental death, death of the soul.
[00:13:59.640 --> 00:14:02.083]  Literal perfumed
[00:14:03.624 --> 00:14:13.606]  Arrogant, self-centered nobodies everywhere, who have no idea about anything, history, culture, beauty, art, how their system even works.
[00:14:13.646 --> 00:14:18.687]  They don't even have a cold-blooded desire to protect themselves, or even face up to any threat.
[00:14:18.727 --> 00:14:21.428]  It's just a... It's just a pack of scum.
[00:14:23.128 --> 00:14:27.969]  God being out in LA for... I don't know, three days, it's just... Ugh!
[00:14:29.649 --> 00:14:31.870]  The fake people, the vacant,
[00:14:32.794 --> 00:14:33.335]  I think so.
[00:14:59.898 --> 00:15:00.519]  Infected.
[00:15:00.579 --> 00:15:02.100]  That was a term one of my friends used.
[00:15:02.140 --> 00:15:03.561]  It's like they're infected.
[00:15:03.581 --> 00:15:06.082]  They're infected with something there.
[00:15:06.102 --> 00:15:07.763]  They're infected with evil.
[00:15:09.264 --> 00:15:11.086]  I've got all this news here in front of me.
[00:15:11.366 --> 00:15:15.789]  I just... Man, if there was a new planet to go to...
[00:15:16.858 --> 00:15:18.419]  I mean, literally, this is the point I've gotten to.
[00:15:18.439 --> 00:15:32.245]  The Associated Press reports, you know, they found a planet that they think's got our temperature and water and could sustain life, and I'm like, my God, if there was a hyperdrive ship that could get me there and my family and I could book passage today and know I could, you know, go there and it was habitable.
[00:15:33.925 --> 00:15:44.370]  Literally, no matter the dangers and the unknowns, I would jump on that ship and be bye-bye in two seconds flat.
[00:15:45.525 --> 00:15:45.985]  Gone.
[00:15:46.365 --> 00:15:46.905]  Bye-bye.
[00:15:47.486 --> 00:15:48.546]  I want out of here.
[00:15:49.286 --> 00:15:50.126]  I don't like it.
[00:15:51.067 --> 00:15:52.207]  I don't like the people.
[00:15:52.547 --> 00:15:53.807]  I don't like what they're into.
[00:15:53.867 --> 00:15:59.209]  I don't like all the backstabbing, and all the scum, and all the liars, and all the egomaniacs, and all of it.
[00:15:59.229 --> 00:16:01.629]  I just, I cannot stand it.
[00:16:04.530 --> 00:16:10.772]  And I guess the Pilgrims, and I'm before them Jamestown,
[00:16:12.367 --> 00:16:14.228]  I mean, they really did want something new.
[00:16:14.708 --> 00:16:17.850]  Jamestown, you could argue, they were looking for riches in their own land.
[00:16:19.090 --> 00:16:23.332]  And with the Pilgrims, there's been a big media push to demonize them.
[00:16:24.773 --> 00:16:26.314]  But the point is, humans are humans.
[00:16:26.374 --> 00:16:27.134]  Nobody's perfect.
[00:16:27.634 --> 00:16:35.638]  But they really did want to come here because of religious persecution, and because they wanted to live their own lives, and because they wanted to be left alone.
[00:16:38.760 --> 00:16:41.381]  And I'm sure that's why the people that came across the Bering Strait
[00:16:43.661 --> 00:16:49.222]  Across the frozen land bridge from Asia into the Americas.
[00:16:50.563 --> 00:16:52.903]  Millennia before the Pilgrims set foot here.
[00:16:53.383 --> 00:16:54.624]  That's what they were looking for.
[00:16:55.924 --> 00:16:59.225]  They were always being pushed by the bigger, more established tribe behind them.
[00:16:59.545 --> 00:17:02.145]  Who was being pushed by the bigger, more established tribe behind them.
[00:17:03.066 --> 00:17:04.466]  They were following the Mammoth.
[00:17:05.446 --> 00:17:07.187]  They were following the Wildebeest.
[00:17:07.227 --> 00:17:12.268]  They were following the Arctic Yak.
[00:17:14.153 --> 00:17:15.454]  Wildebeest, that's not there.
[00:17:17.475 --> 00:17:28.141]  And, uh, I just... You have to understand, too, I don't have a sardonic view in the base definition of it where I think I'm better, and so I look down on people.
[00:17:28.181 --> 00:17:30.522]  That's not really what a sardonic view is.
[00:17:30.562 --> 00:17:33.324]  A sardonic view is you hold the general public in horror.
[00:17:34.825 --> 00:17:36.866]  And it's not because you have some high view of yourself.
[00:17:36.986 --> 00:17:42.209]  It literally... Trying to talk to most people, and you know how this is, they are
[00:17:43.482 --> 00:17:44.602]  They're not even dumb.
[00:17:44.642 --> 00:17:54.846]  They're like so focused on things that don't matter, and so in their own worlds, that they can't even be outwardly focused and analyze what's around them.
[00:18:00.087 --> 00:18:04.249]  And when you've got a public that acts and behaves and lives like that, they're gonna be enslaved.
[00:18:04.709 --> 00:18:06.690]  They will be bondage slaves.
[00:18:07.450 --> 00:18:08.970]  They will go into tyranny.
[00:18:09.650 --> 00:18:11.171]  They will have bad things done to them.
[00:18:12.651 --> 00:18:22.096]  And to see my once great countrymen, the late great United States, I mean we have been upstanding compared to many other societies and cultures and civilizations.
[00:18:23.036 --> 00:18:32.041]  In art, in literature, in scientific exploration and development, in courage, in brute violence, all those things are attributes when used correctly.
[00:18:32.961 --> 00:18:40.585]  All of it has been turned into a hollow shell or people like peacocks pose as if they were the former.
[00:18:47.617 --> 00:18:51.659]  They pose as if, I mean, the people, the World War II generation were always called the greatest generation.
[00:18:52.039 --> 00:18:54.701]  I would say they had a lot of attributes that were much better than what we have today.
[00:18:55.041 --> 00:19:03.205]  But they, they literally, if you actually study history, couldn't hold a candle to the men of 1776 or the men of the 1830s.
[00:19:04.426 --> 00:19:07.268]  They are not the greatest generation, and I'm sick of hearing it.
[00:19:07.608 --> 00:19:11.050]  They're actually the last great generation of Americans is what they were.
[00:19:11.650 --> 00:19:13.871]  They were the last in a long line.
[00:19:14.111 --> 00:19:15.372]  They were not the best.
[00:19:16.664 --> 00:19:20.489]  Compared to the cess we look at today, they're the greatest generation.
[00:19:20.709 --> 00:19:25.095]  But they were the last in a degenerating group of people.
[00:19:25.415 --> 00:19:30.121]  They were the last link to what our former greatness was.
[00:19:30.281 --> 00:19:31.523]  They're not the greatest.
[00:19:31.743 --> 00:19:34.547]  They were the last in a long line of the greatest!
[00:19:36.503 --> 00:19:44.128]  And they were a sad shame compared to those that came before them that were forged in incredible diversity.
[00:19:44.328 --> 00:19:54.834]  I don't care if you were a black African slave, or a white sharecropper, or a white indentured servant, or some European soldier that got stranded here in the innumerable wars.
[00:19:55.535 --> 00:20:00.518]  They were the greatest generation, if you talk about the United States and its history.
[00:20:02.679 --> 00:20:05.161]  Not the last generation
[00:20:06.673 --> 00:20:22.237]  Of that great line who were seduced by the New World Order, and seduced by the transistorized public, and the stamped factory public, and who were seduced by the culture, and the refrigerators, and the new cars every year, and everything's fine, and everything's gonna be easy.
[00:20:23.617 --> 00:20:29.699]  They were the generation that sold out, and then let their children turn into demons.
[00:20:30.659 --> 00:20:31.319]  We'll be right back.
[00:20:35.342 --> 00:20:39.947]  The Berkey Security Pack is your one-stop solution for unexpected emergencies.
[00:20:40.167 --> 00:20:44.611]  It provides you with purified water, light, power, and communications ability.
[00:20:44.791 --> 00:20:58.805]  The Security Pack includes a Berkey Light Water Purifier, an LED Base, two Berkey Sport Filtration Bottles, the Berkey Battery Adapter, the Berkey MP Solar Charger, as well as a backup set of two Black Berkey Purification Elements.
[00:20:59.025 --> 00:21:18.234]  The Berkey Security Pack is important every day and a must during emergencies because it provides purified water, long-term low-energy lighting, backup battery power for your Berkey LEDs, free long-term solar power for communications devices such as radios, walkie-talkies, and cell phones, as well as power for small applications.
[00:21:18.435 --> 00:21:22.056]  Get the one-stop solution for your emergency and everyday needs.
[00:21:22.216 --> 00:21:24.878]  The Berkey Security Pack, a retail value of $518 for only $399.
[00:21:27.719 --> 00:21:31.460]  By calling New Millennium at 888-803-4438.
[00:21:32.061 --> 00:21:33.901]  Not yet available in Iowa.
[00:21:37.263 --> 00:21:40.784]  Hi, this is Ted Anderson, here for the 2007 Red Book.
[00:21:41.984 --> 00:21:46.806]  The commodity markets like gold, silver, copper, aluminum and oil have exploded over the last year.
[00:21:47.006 --> 00:21:49.747]  This is a glaring testimony of how quickly the U.S.
[00:21:49.787 --> 00:21:50.908]  dollar can be devalued.
[00:21:52.248 --> 00:21:56.830]  Many have turned to precious metals to provide a safe haven while increasing the potential profits.
[00:21:57.765 --> 00:22:05.031]  Though accumulating precious metals has been a proven method for the storage of wealth, it is important that you understand the market you are getting into.
[00:22:06.032 --> 00:22:09.094]  Midas Resources is offering the Red Book and Silver Dollar for only $27.95.
[00:22:09.334 --> 00:22:14.699]  The Red Book is the number one best-selling guide to gold and silver coins.
[00:22:15.679 --> 00:22:16.960]  Call for your copy today.
[00:22:17.221 --> 00:22:19.082]  It's 800-686-2237.
[00:22:20.483 --> 00:22:26.308]  If you've already accumulated or plan to get into the precious metals market, you simply must have the Red Book in your library.
[00:22:26.989 --> 00:22:29.450]  Call 800-686-2237.
[00:22:29.530 --> 00:22:33.071]  That's 1-800-686-2237.
[00:22:36.012 --> 00:22:38.053]  Do you know the truth about cancer treatments?
[00:22:38.693 --> 00:22:47.596]  Do you realize that with all presently accepted methods, you are not correctly attacking the cancer, and you are mostly fighting to survive the treatment?
[00:22:48.056 --> 00:22:55.258]  Do you realize that mutilating surgery, burning, and the poisoning of your entire system are totally unnecessary?
[00:22:55.982 --> 00:23:01.447]  But now, it's cancer's turn to die with LaceMedInc's patented methodology.
[00:23:01.967 --> 00:23:12.776]  Without cutting, bleeding, drugs or damaging radiation, we can destroy skin cancer and breast tumors of any size without adverse side effects at our physician's office.
[00:23:13.557 --> 00:23:15.599]  Laser technology at its best.
[00:23:16.119 --> 00:23:17.540]  For more information, call 702-953-0267.
[00:23:22.084 --> 00:23:29.546]  Or, visit www.lasemedinc.com.
[00:23:30.026 --> 00:23:33.247]  Call 702-953-0267.
[00:23:35.228 --> 00:23:37.028]  Government is best, which governs least.
[00:23:37.108 --> 00:23:38.348]  Wake up and smell the fascism.
[00:23:38.568 --> 00:23:41.409]  Being in government means never having to say you're sorry.
[00:23:41.769 --> 00:23:44.490]  What part of unconstitutional do not understand, George?
[00:23:45.066 --> 00:23:51.816]  In today's world full of tyranny and injustice, sometimes it seems the only thing we still have is our freedom of speech.
[00:23:52.376 --> 00:24:00.027]  Exercise your freedom of speech by purchasing your choice of hundreds of different Liberty Stickers from humorous to serious at LibertyStickers.com
[00:24:00.968 --> 00:24:04.631]  LibertyStickers.com can even customize your own bumper stickers.
[00:24:04.831 --> 00:24:06.972]  It's time to stand up for what you believe.
[00:24:07.333 --> 00:24:08.373]  Invest in your freedom.
[00:24:08.634 --> 00:24:13.337]  Get your stickers at LibertyStickers.com for your family, friends, and community.
[00:24:13.737 --> 00:24:15.719]  Go to LibertyStickers.com or call 877-873-9626.
[00:24:19.401 --> 00:24:21.544]  That's 877-873-9626 and express your freedom of speech today.
[00:24:21.564 --> 00:24:21.965]  Call 877-873-9626.
[00:24:22.005 --> 00:24:22.185]  That's 877-873-9626.
[00:24:56.629 --> 00:24:57.770]  I think so.
[00:25:15.352 --> 00:25:16.753]  Welcome back, ladies and gentlemen.
[00:25:16.773 --> 00:25:19.495]  Your calls are coming up at 1-800-259-9231.
[00:25:19.836 --> 00:25:24.800]  I do want to thank Jack Blood for sitting in the last few days on the show.
[00:25:24.840 --> 00:25:27.122]  Also, Michael Rivera of last week.
[00:25:27.162 --> 00:25:28.043]  Thank you so much.
[00:25:28.063 --> 00:25:33.748]  It's good to be back here with all of you, doing the Talk Radio Show, talking to the people across the globe.
[00:25:35.387 --> 00:25:36.888]  And let's make it clear here.
[00:25:37.068 --> 00:25:40.410]  I'm not saying I'm high and mighty and I'm a very moral person or that I'm perfect.
[00:25:40.830 --> 00:25:44.933]  But at least I'm trying to be and I'm trying to be aware of the things I do and the way I behave.
[00:25:45.493 --> 00:25:48.615]  And I try to have high standards and I try to do what God wants me to do.
[00:25:48.635 --> 00:25:52.818]  And I am at least aware of these things.
[00:25:53.018 --> 00:25:55.640]  The general public is not even aware.
[00:25:56.740 --> 00:26:00.503]  They are not even aware of how precious life is.
[00:26:00.523 --> 00:26:04.405]  I mean, the biggest indicator of this, and I'm going to get into the news, is that
[00:26:05.467 --> 00:26:06.767]  We warehouse our old.
[00:26:08.608 --> 00:26:24.152]  And we, many times, put them in the hospice before it's even their time to get them all dug up just to get rid of them so we don't have to, you know, go in and see them every week and smell the, well, you know what we smell.
[00:26:26.113 --> 00:26:29.053]  And then a lot of people just warehouse their parents and don't even ever go visit them.
[00:26:31.114 --> 00:26:34.615]  And all these trendies and the general public, people that do this,
[00:26:35.789 --> 00:26:37.531]  What do you think is going to happen to you?
[00:26:37.991 --> 00:26:39.713]  What do you think your children are going to do to you?
[00:26:40.974 --> 00:26:42.795]  What do you think is going to happen when you get old?
[00:26:53.892 --> 00:26:58.373]  If you loved somebody, how could you not want to be there with them when they were old and in pain?
[00:26:58.774 --> 00:27:02.595]  How could you not want to hear them tell you stories about their grandparents?
[00:27:02.875 --> 00:27:04.255]  You don't even want that knowledge.
[00:27:04.275 --> 00:27:16.179]  You don't even have that instinct of sitting around the fire or sitting around that hospital bed, but going back to sitting around that fire thousands of years ago and learning and getting knowledge.
[00:27:17.159 --> 00:27:23.081]  In the past, in all human societies, the old were revered and had the nicest little huts.
[00:27:24.635 --> 00:27:30.201]  Uh, and they usually were up on the high ground in the village, the most protected in the middle of the society.
[00:27:30.261 --> 00:27:41.913]  And they would look after the children during the day and give them knowledge when the men were off hunting or defending and the women were busy preparing and weaving and, and, and, and attending to medical needs.
[00:27:43.094 --> 00:27:47.238]  And there were the elderly revered in the crying and the
[00:27:49.145 --> 00:27:55.050]  I don't mean to get off into mumbo-jumbo, but I literally can feel my ancestors.
