[00:00:00.435 --> 00:00:01.215]  They did not talk.
[00:08:57.485 --> 00:08:58.646]  It's going to keep happening.
[00:08:59.026 --> 00:09:06.673]  And I want you to know that 97% of Americans don't want a national ID card, but they put it in as the state ID standardized.
[00:09:06.993 --> 00:09:07.574]  It's happening.
[00:09:08.274 --> 00:09:25.369]  Okay, so just get off your power trip that it's you and the fake conservatives winning, because you know best, and we've got to fight them over there instead of over here, and you're running something, and you're part of the system, because you drive a big truck, and you know how to stick your belly out like it's a weapon at people.
[00:09:25.950 --> 00:09:28.932]  I want you to know you don't run anything!
[00:09:29.953 --> 00:09:30.313]  Okay?
[00:09:30.393 --> 00:09:33.136]  I want you to know you're a slave, just like I am!
[00:09:34.230 --> 00:09:43.196]  And then maybe you can start getting your little brain cells rubbed together and figure out if you really want to defend this country, you better find out you've been scammed and conned.
[00:09:43.536 --> 00:09:45.017]  But a lot of you don't want to admit that.
[00:09:45.457 --> 00:09:46.277]  I'm Alex Jones.
[00:09:46.317 --> 00:09:47.918]  PrisonPlanet.com is the website.
[00:09:48.159 --> 00:09:49.139]  We'll be right back!
[00:10:00.985 --> 00:10:05.608]  According to the American Diabetes Association, more than 18 million people in the U.S.
[00:10:05.668 --> 00:10:06.409]  have diabetes.
[00:10:06.729 --> 00:10:13.674]  Most people with diabetes have risk factors such as obesity, high blood pressure, and cholesterol, which increase their risk for heart disease.
[00:10:13.814 --> 00:10:18.357]  For example, more than 65% of people with diabetes die from heart disease or stroke.
[00:10:18.557 --> 00:10:21.379]  Finding out you or your loved ones have diabetes can be scary.
[00:10:21.519 --> 00:10:28.444]  This is why, as your trusted online partner in health, we are committed to bringing you products that help you make informed decisions about your health.
[00:10:28.724 --> 00:10:38.030]  At ResearchedHerbs.com, you can learn more about LeucoCare, a highly effective and safe natural herbal supplement formulated specifically to help maintain optimal blood sugar levels.
[00:10:38.331 --> 00:10:47.717]  As with all products featured on ResearchedHerbs.com, LeucoCare is the result of several years of rigorous development and is backed by numerous clinical trials and experimental studies.
[00:10:47.977 --> 00:10:50.759]  Visit us online at ResearchedHerbs.com or call 1-800-845-3841 to learn more.
[00:10:50.779 --> 00:10:51.299]  That's 1-800-845-3841.
[00:11:00.285 --> 00:11:02.346]  Gold is like nothing else on Earth.
[00:11:02.586 --> 00:11:08.710]  From the Romans through the Renaissance, from the Industrial Age to the Space Age, gold has weathered the test of time.
[00:11:08.870 --> 00:11:12.692]  For 6,000 years, gold has remained the ultimate store of wealth.
[00:11:13.053 --> 00:11:14.934]  According to the World Gold Council and the U.S.
[00:11:14.994 --> 00:11:17.295]  Mint, demand is at an all-time high.
[00:11:17.435 --> 00:11:23.839]  The stage is being set for the reemergence of gold as the common-sense alternative to a fiat paper currency that gets
[00:11:23.899 --> 00:11:24.500]  We're good to go.
[00:11:46.218 --> 00:11:48.820]  As good as gold can be yours by calling 800-686-2237.
[00:11:49.641 --> 00:11:55.165]  If you have ever thought about owning gold, you must read this report.
[00:11:55.305 --> 00:11:56.346]  Call Midas today at 800-686-2237.
[00:12:03.732 --> 00:12:09.159]  It's here, after a year in production and traveling to distant lands, my new film Terror Storm is complete.
[00:12:09.560 --> 00:12:17.190]  Shocking declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[00:12:17.870 --> 00:12:24.931]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[00:12:25.331 --> 00:12:36.733]  Terror Storm chronicles the lies that took us to war in Iran, a White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[00:12:37.053 --> 00:12:40.574]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[00:12:41.014 --> 00:12:42.934]  It's an anthology of government crimes.
[00:12:43.294 --> 00:12:47.115]  Terror Storm is a film that everyone who wants to be truly informed must see.
[00:12:47.735 --> 00:12:54.720]  Get your copy today at InfoWars.com or PrisonPlanet.com or by calling toll free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv
[00:13:00.146 --> 00:13:04.707]  We at The Bible Says want to alert the world to the topic of the Mark of the Beast.
[00:13:05.107 --> 00:13:08.048]  Soon it will be upon us as an overwhelming surprise.
[00:13:08.368 --> 00:13:10.929]  The world is pressing toward a forced one-world religion.
[00:13:11.289 --> 00:13:16.110]  The real issue behind this is the union of church and state nullifying our First Amendment.
[00:13:16.491 --> 00:13:21.872]  Americans will have to give up their peculiar beliefs and accept what the new world religious leaders prescribe.
[00:13:22.152 --> 00:13:25.113]  In 2005, President Bush signed the REAL ID Act.
[00:13:25.313 --> 00:13:25.873]  We're good to go.
[00:13:48.707 --> 00:13:53.928]  For a better understanding of this very important topic, and to receive your three free books and a free DVD, call 1-888-211-1715.
[00:13:53.948 --> 00:13:54.269]  That's 1-888-211-1715.
[00:13:54.329 --> 00:13:58.550]  News, politics, sports, cars, home improvement, health, and everything in between, we've got you covered.
[00:13:58.630 --> 00:14:02.091]  You're listening to the GCN Radio Network.
[00:14:02.111 --> 00:14:02.811]  ...the coast and worldwide.
[00:14:02.831 --> 00:14:04.351]  This is the Alex Jones Show.
[00:14:18.539 --> 00:14:19.880]  You know what I'm really mad about?
[00:14:19.900 --> 00:14:21.962]  What's got me the most angry?
[00:14:21.982 --> 00:14:29.547]  Is that I didn't think fake conservative talk radio could get any more traitorous or disgusting.
[00:14:29.947 --> 00:14:31.508]  And lose, of course, most of their audience.
[00:14:32.189 --> 00:14:34.471]  As many of the national hosts are doing right now.
[00:14:34.511 --> 00:14:36.112]  They're plunging us.
[00:14:37.072 --> 00:14:40.435]  Websites like PrisonPlanet.com and InfoWars.com are rising.
[00:14:41.015 --> 00:14:43.117]  Just like the fake liberal sites are all imploding.
[00:14:43.137 --> 00:14:44.398]  You know, that's the good news.
[00:14:44.438 --> 00:14:46.239]  The elite's getting what they wanted.
[00:14:46.459 --> 00:14:47.360]  Their world government
[00:14:48.189 --> 00:14:51.355]  But in the process they're waking a lot of people up.
[00:14:51.375 --> 00:14:54.520]  The establishment isn't fooling everybody anymore.
[00:14:54.600 --> 00:14:57.365]  They're fooling less and less people every single day.
[00:14:59.398 --> 00:15:03.939]  And I listen to national talk show hosts, and I also read what they write and the things they say and do.
[00:15:03.999 --> 00:15:05.280]  Take Michael Medved.
[00:15:05.560 --> 00:15:08.601]  He's attacked me and said I should be arrested on air for the things I say.
[00:15:08.661 --> 00:15:14.203]  And Newt Gingrich is out giving speeches now saying we should have banned the First Amendment and arrest people that criticize the government.
[00:15:14.423 --> 00:15:16.523]  And I've got transcripts of it, I've played audio of it.
[00:15:16.843 --> 00:15:18.484]  Oh yeah, land of the free, home of the brave!
[00:15:18.864 --> 00:15:21.725]  Let's just ban free speech, you know, because they can't beat us.
[00:15:22.205 --> 00:15:23.345]  We're going to beat them!
[00:15:23.385 --> 00:15:24.826]  And please try to ban it!
[00:15:25.006 --> 00:15:25.826]  Please arrest me!
[00:15:25.866 --> 00:15:26.246]  Please!
[00:15:26.266 --> 00:15:27.207]  Do whatever you're going to do to me!
[00:15:27.447 --> 00:15:28.767]  Just make me a big fat martyr!
[00:15:29.207 --> 00:15:31.668]  Because all I care about is this country and my family that lives in it.
[00:15:31.908 --> 00:15:33.328]  I'm actually red, white, and blue.
[00:15:33.508 --> 00:15:35.629]  I actually bleed red, white, and blue, ladies and gentlemen.
[00:15:35.809 --> 00:15:39.870]  That's why I'm so mad I could just grind my teeth off in absolute anger right now.
[00:15:41.331 --> 00:15:43.971]  I've been able to get through to a lot of people, but not everybody.
[00:15:44.472 --> 00:15:48.773]  And I mean, I've been on national talk shows, like Lars Larson, and
[00:15:50.442 --> 00:15:56.765]  Lars was sitting there admitting there was a North American Union, but saying I was a liberal because I was against it.
[00:15:57.425 --> 00:16:00.267]  I mean, pretty soon it'll be a you're a liberal if you're for the Second Amendment.
[00:16:00.627 --> 00:16:01.367]  There's nothing to do with it.
[00:16:01.387 --> 00:16:02.187]  It's just labels.
[00:16:02.408 --> 00:16:03.808]  They just throw around.
[00:16:04.429 --> 00:16:05.389]  That's all they do!
[00:16:05.989 --> 00:16:11.592]  And Michael Medved, I have the transcript of what he said about Aaron Russo, who I was interviewing yesterday down in Houston.
[00:16:12.432 --> 00:16:13.773]  He's down there getting some medical treatments.
[00:16:14.513 --> 00:16:15.994]  Aaron Russo, famous Hollywood producer.
[00:16:17.597 --> 00:16:21.020]  Made a film about the fact that the private Federal Reserve runs our country.
[00:16:22.421 --> 00:16:25.082]  And Medved saying he's a traitor and needs to be arrested.
[00:16:25.943 --> 00:16:28.485]  Because he made a film saying the IRS is a scam.
[00:16:28.565 --> 00:16:30.106]  I mean, Ronald Reagan said that.
[00:16:30.426 --> 00:16:32.368]  They had a congressional commission that said that.
[00:16:32.808 --> 00:16:35.770]  And even if it wasn't true, Aaron Russo's got a right to say it.
[00:16:35.950 --> 00:16:38.992]  I mean, what's all this arrest talk that's going on?
[00:16:40.293 --> 00:16:43.696]  And then he went on to attack, uh, Medved went on to attack Jerome Corsi.
[00:16:44.344 --> 00:16:47.786]  Dr. Jerome Corsi is as Republican and right-wing as you can get.
[00:16:47.806 --> 00:16:50.047]  I mean, he's the guy saying, nuke the Middle East.
[00:16:50.307 --> 00:16:52.408]  I don't agree with him on that, but I agree with him on a bunch of other stuff.
[00:16:52.428 --> 00:16:53.608]  I interview him all the time.
[00:16:53.648 --> 00:16:58.350]  You hear him all over national shows and all over CNN and Fox constantly.
[00:16:58.650 --> 00:17:02.052]  Jerome Corsi went and got all the official documents of the North American Union.
[00:17:02.512 --> 00:17:04.353]  Stuff we already had, but he got attention.
[00:17:04.973 --> 00:17:11.759]  And he writes for Human Events, and we're on that daily, and Medved's doing the same thing, saying he's a traitor, he's a liar.
[00:17:12.339 --> 00:17:14.441]  Medved gives no facts.
[00:17:14.501 --> 00:17:15.762]  So this is what I'm seeing.
[00:17:15.782 --> 00:17:16.903]  I'm not going to mention all the names.
[00:17:16.923 --> 00:17:17.864]  You know who we're talking about.
[00:17:18.804 --> 00:17:23.128]  There is no CFR, there is no world government, there is no North American Union.
[00:17:23.608 --> 00:17:24.729]  It doesn't exist.
[00:17:25.189 --> 00:17:26.831]  And if you say it does, you're a traitor.
[00:17:27.992 --> 00:17:28.692]  You're a terrorist.
[00:17:28.712 --> 00:17:30.894]  I mean, this is bizarre.
[00:17:32.375 --> 00:17:33.256]  This is bizarre.
[00:17:34.224 --> 00:17:36.345]  But no wonder they're now losing their audiences!
[00:17:36.365 --> 00:17:37.385]  You can go look at the trends!
[00:17:37.405 --> 00:17:40.566]  Just in the last year, of course they're losing their audiences!
[00:17:40.806 --> 00:17:46.268]  You can't fool... You know, the average person out there listening to conservative talk radio is not that stupid.
[00:17:47.088 --> 00:17:49.189]  And, uh, they're not buying into it anymore.
[00:17:49.898 --> 00:18:06.968]  Okay, and the fraud has been exposed, but just to have them denying that they signed the North American Union almost a year and a half ago, that we're in the North American Union, that they're merging the agencies, the Army Times is reporting that.
[00:18:09.569 --> 00:18:13.333]  And then they come out and say, well, 20% of our ground forces are now foreigners.
[00:18:13.693 --> 00:18:18.258]  We're going to have them be as many as half in a new expansion by late 2010.
[00:18:18.779 --> 00:18:20.701]  So four years from now.
[00:18:23.163 --> 00:18:23.844]  Less than four.
[00:18:23.924 --> 00:18:25.406]  I mean, this is admitted!
[00:18:26.098 --> 00:18:28.519]  You can't make up this type of Twilight Zone stuff!
[00:18:28.719 --> 00:18:30.099]  We post it on the websites!
[00:18:30.319 --> 00:18:52.206]  All we do is go collect and collate, mainly mainstream news, where it's admitted, but we take all the stuff that's in the back of the paper, the stuff that's really important, and we ignore Jay-Z, and we ignore Paris Hilton not wearing underpants, and we ignore the things that don't matter, and we take all the stuff that does, like, oh, here's the AP saying they quadrupled the level of mercury in the vaccines.
[00:18:52.956 --> 00:18:54.657]  We already knew that, but here's AP saying it.
[00:18:55.277 --> 00:18:56.818]  Why are they telling you they took it out?
[00:18:57.438 --> 00:18:59.439]  Oh, by the way, here they are admitting it causes autism.
[00:18:59.719 --> 00:19:05.762]  We're just mainstream people that don't buy the propaganda anymore and who are mad about it.
[00:19:05.962 --> 00:19:09.104]  I mean, I'm so mad about this, I can barely do this radio show today.
[00:19:09.544 --> 00:19:15.166]  I was driving up here in my car, not thinking about quitting, but just so disgusted.
[00:19:15.186 --> 00:19:16.507]  I have so much evidence.
[00:19:17.328 --> 00:19:18.188]  So many facts!
[00:19:19.649 --> 00:19:29.412]  Maybe I should just start taking one lie per show and then just slicing through it, dissecting it into thousands of little pieces for you.
[00:19:29.752 --> 00:19:35.694]  Because I know for everything I say, you've been preconditioned with a comeback that's based on disinfo.
[00:19:36.915 --> 00:19:41.336]  I mean, it's just the psychological warfare the American people have been under.
[00:19:43.974 --> 00:19:47.417]  Back 12 years ago, I talked about the North American Union and how it was coming.
[00:19:47.878 --> 00:19:50.059]  And people said it didn't exist, it was totally delusional.
[00:19:51.621 --> 00:19:55.364]  Now the North American is here, the North American Union is here, we're in it!
[00:19:56.105 --> 00:20:06.754]  The country is being dismantled, the dollar is being dismantled, companies are starting to trade in pesos on the streets of Texas, in businesses, and our military is going to be mainly foreigner.
[00:20:08.466 --> 00:20:14.490]  And now the neocons are on talk radio saying, okay, well it exists, but it's good.
[00:20:16.352 --> 00:20:32.063]  After all these years denying it, now it's good, but what we need to say, you know, open borders, total blanket amnesty is good, guest worker program is good, that's conservative, and then it's bad
[00:20:34.798 --> 00:20:35.738]  To have First Amendment.
[00:20:35.798 --> 00:20:38.259]  It's bad to not want to have your mail read without warrants.
[00:20:38.779 --> 00:20:40.860]  It's bad to not want to be tracked and traced.
[00:20:41.720 --> 00:20:44.101]  I mean, it's just, we're in a lot of trouble, folks.
[00:20:44.301 --> 00:20:47.762]  I mean, look at the stories I've got here in front of me today.
[00:20:48.042 --> 00:20:50.803]  This is the Associated Press, also of ABC News here.
[00:20:51.884 --> 00:20:52.724]  Two different articles.
[00:20:52.824 --> 00:20:53.144]  Bush!
[00:20:53.224 --> 00:21:02.887]  Government can open your mail, President Bush said, and the government can read American's mail without a judge's warrant and a signing statement attached to a postal reform bill.
[00:21:03.188 --> 00:21:04.328]  Critics say he's wrong.
[00:21:06.184 --> 00:21:09.566]  Because they've been reading our mail without warrants, U.S.
[00:21:09.606 --> 00:21:10.726]  citizens internally.
[00:21:11.026 --> 00:21:13.327]  I'm talking about mail going out of the country, or mail coming in.
[00:21:14.368 --> 00:21:18.690]  And then when they got caught doing it, now remember this is the same guy who's a total puppet.
[00:21:18.750 --> 00:21:25.173]  Now let's be clear, he runs nothing, Hillary runs nothing, that's why I don't care if it's Pelosi or Hillary or any of these people.
[00:21:25.633 --> 00:21:26.753]  It does not matter!
[00:21:27.474 --> 00:21:34.257]  Frankly, Democrats might be better in office because Republicans on the grassroots will wake up to the fact that they're evil and then
[00:21:35.044 --> 00:21:36.725]  Maybe we can get something done here.
[00:21:37.626 --> 00:21:46.152]  I mean, when you put a Republican in, it's like some kind of sleeping gas and everybody goes to sleep for four or eight years and wakes up and the country's gone because a Republican wouldn't hurt us!
[00:21:46.893 --> 00:21:48.974]  Some big government Democrats!
[00:21:49.074 --> 00:21:49.875]  Big government!
[00:21:50.135 --> 00:21:51.977]  Government grows more when Republicans are in!
[00:21:52.117 --> 00:21:53.117]  Go look at the graphs!
[00:21:54.659 --> 00:21:54.939]  Folks,
[00:21:56.465 --> 00:21:58.546]  Getting your freedom isn't going to be simple sound bites.
[00:21:58.586 --> 00:22:04.108]  It isn't going to be just simple liberal conservative terminology and then you just go over the next hill and go to sleep forever.
[00:22:04.528 --> 00:22:09.150]  It's going to take you getting informed, getting involved, and learning what's happening in the world.
[00:22:10.230 --> 00:22:10.951]  But look at this.
[00:22:11.371 --> 00:22:19.874]  Dallas-based food chain, they're right here in Austin, to accept Mexican pesos, starting Monday, Patrons of the Dallas-based pizza Patron chain, which
[00:22:20.818 --> 00:22:26.201]  Uh, caterers heavy to Latinos will be able to purchase American pizzas with Mexican pesos.
[00:22:27.481 --> 00:22:33.364]  Our troops are going to be foreign, our currency's foreign, our currency's imploding, our sovereignty is disappearing.
[00:22:34.304 --> 00:22:35.425]  We'll come back and take calls.
[00:22:35.905 --> 00:22:37.285]  I've got so much news.
[00:22:38.066 --> 00:22:40.827]  We've got a much better chance of being struck by lightning and killed by terrorists.
[00:22:41.707 --> 00:22:44.088]  Probably have a show on 24 where he fights lightning bolts.
[00:22:44.408 --> 00:22:45.029]  We'll be right back.
[00:22:45.049 --> 00:22:45.409]  Stay with us.
[00:23:00.037 --> 00:23:00.338]  Come on.
[00:23:00.458 --> 00:23:01.058]  It's a fact.
[00:23:01.238 --> 00:23:05.681]  You can legally eliminate credit card debt, which has been fraudulently created by the banks.
[00:23:06.121 --> 00:23:11.325]  Since its creation in 1913, the Federal Reserve has not been held responsible for its own debt.
[00:23:11.605 --> 00:23:14.827]  So why should you, the hardworking American, be harassed for yours?
[00:23:15.067 --> 00:23:22.172]  There's a double standard when it comes to being responsible for debt, and unlike the Federal Reserve, the people of this country can't print more money when needed.
