[00:00:00.149 --> 00:00:00.969]  Dead on.
[00:02:52.475 --> 00:02:57.680]  There is no cost or obligation, just powerful information that could change your life.
[00:02:58.081 --> 00:03:00.643]  Log on now to HomeBiz7.com.
[00:03:00.963 --> 00:03:03.466]  That's HomeBiz, the number 7, dot com.
[00:03:05.407 --> 00:03:15.713]  Safety checks are being carried out on railway tracks across Britain today after a high-speed train crash in northern England killed an elderly woman and seriously injured several other passengers.
[00:03:16.193 --> 00:03:19.575]  Dr. Richard Castle, himself a survivor of previous train crashes,
[00:03:20.259 --> 00:03:24.461]  Uh, of a previous train crash, says the survivors of this one will be very traumatized.
[00:03:24.481 --> 00:03:28.743]  My main concern, actually, is not for people who are physically injured, or, indeed, the bereaved.
[00:03:28.983 --> 00:03:30.604]  By and large, needs are taken care of.
[00:03:31.125 --> 00:03:39.729]  My concern is for the people who, while that train was crashing on Friday evening, clearly thought they were going to die, and then walked away physically uninjured.
[00:03:40.578 --> 00:03:48.845]  The IRS says over 10 million taxpayers who filed their federal tax returns so far this year have not claimed the telephone excise tax refund.
[00:03:49.365 --> 00:03:52.567]  It's a one-time refund that's worth up to $60.
[00:03:53.088 --> 00:04:00.614]  The government decided to issue refunds after federal courts ruled the telephone excise tax was illegally applied to long-distance service.
[00:04:01.214 --> 00:04:03.016]  This is USA Radio Network News.
[00:04:05.442 --> 00:04:11.865]  When the IRS put a lien on my house, garnished my wages and levied my bank account, my attorney referred me to Associated Tax Relief.
[00:04:11.985 --> 00:04:13.626]  Calling them was the best move I ever made.
[00:04:13.726 --> 00:04:15.047]  They got us a settlement we could live with.
[00:04:15.067 --> 00:04:17.368]  Do you owe the IRS $10,000 or more?
[00:04:17.568 --> 00:04:19.449]  Associated Tax Relief can help you.
[00:04:19.569 --> 00:04:25.392]  Associated Tax Relief has helped taxpayers settle their tax debt with the IRS for mere pennies on the dollar.
[00:04:25.472 --> 00:04:28.794]  Call Associated Tax Relief toll-free for a free consultation.
[00:04:28.814 --> 00:04:28.974]  888-209-5457.
[00:04:28.994 --> 00:04:29.254]  That's 888-209-5457.
[00:04:36.445 --> 00:04:39.687]  With increased terror threats come worries about the use of chemical weapons.
[00:04:40.207 --> 00:04:45.270]  So says Director General of the Organization for the Prohibition of Chemical Weapons, Rogelio Prutter.
[00:04:45.350 --> 00:04:56.637]  The ease of access to dual-use chemicals and the readily available knowledge of the technologies and processes required to manufacture chemical weapons make them a potential instrument of choice for terrorists.
[00:04:57.077 --> 00:05:01.860]  While the Chemical Weapons Convention, which calls for the elimination of chemical weapons, was enacted in 1997,
[00:05:03.221 --> 00:05:06.462]  Some experts worry about the re-emergence of the potentially lethal weapons.
[00:05:06.943 --> 00:05:12.125]  This fear was realized last week when terrorists in Iraq detonated two bombs laced with chlorine.
[00:05:13.045 --> 00:05:24.810]  And a Virginia Beach, Virginia Catholic school principal has organized sensitivity training for students who shouted, we love Jesus, during a basketball game against a school with a predominantly Jewish population.
[00:05:26.050 --> 00:05:28.371]  There's more news on usaradio.com.
[00:05:28.471 --> 00:05:29.672]  Richard Curtis reporting.
[00:05:30.473 --> 00:05:32.356]  USA Radio, Network News.
[00:05:46.175 --> 00:05:47.756]  I could use something like that.
[00:05:47.776 --> 00:05:50.158]  This menopause thing is really getting to me at night.
[00:05:50.299 --> 00:05:53.141]  And you know how I am about doing that hormone therapy thing.
[00:05:53.221 --> 00:05:55.003]  Besides, you're a hot sleeper yourself.
[00:05:55.123 --> 00:05:57.345]  You're always throwing the covers off in the middle of the night.
[00:05:57.705 --> 00:05:58.326]  I guess you're right.
[00:05:58.706 --> 00:05:59.386]  Why don't we try it?
[00:05:59.547 --> 00:06:01.528]  Just think how nice it'll be to sleep through the night.
[00:06:01.929 --> 00:06:06.272]  Yeah, and just think how nice it'll be this summer and all the money we can save on air conditioning.
[00:06:06.553 --> 00:06:07.894]  I know where we can get some more information.
[00:06:08.334 --> 00:06:12.597]  Sleep Disorder Centers across the country recommend that you must stay cool to get a good night's sleep.
[00:06:12.837 --> 00:06:16.079]  The BedFan will keep you cool and give you the restful sleep you deserve.
[00:06:16.319 --> 00:06:19.440]  With our 30-day, 100% guarantee, you risk nothing.
[00:06:19.801 --> 00:06:20.661]  Are you a hot sleeper?
[00:06:20.881 --> 00:06:22.142]  Is your partner a hot sleeper?
[00:06:22.322 --> 00:06:23.603]  The BedFan is the answer.
[00:06:23.863 --> 00:06:27.165]  Visit us today at www.bedfan.com.
[00:06:27.445 --> 00:06:30.147]  That's www.bedfan.com.
[00:06:30.267 --> 00:06:32.488]  That's bed, F-A-N, dot com.
[00:06:34.063 --> 00:06:42.309]  Prepare yourself for a talk radio experience like no other.
[00:06:43.250 --> 00:06:44.591]  He stands for truth.
[00:06:46.012 --> 00:06:47.853]  He stands for justice.
[00:06:49.214 --> 00:06:50.795]  He stands for what's right.
[00:06:51.696 --> 00:06:53.977]  This is the Alex Jones Show.
[00:06:54.978 --> 00:06:57.820]  Call Alex now, toll free at 877-590-5525.
[00:07:03.371 --> 00:07:08.076]  Now live from Austin, Texas, here's Alex Jones.
[00:07:11.660 --> 00:07:12.942]  Welcome, ladies and gentlemen.
[00:07:13.002 --> 00:07:13.462]  Welcome.
[00:07:13.522 --> 00:07:22.132]  Thank you so much for joining us on this Sunday afternoon, Sunday evening, depending on your time zone as we syndicate out across the United States.
[00:07:23.144 --> 00:07:23.364]  Okay.
[00:07:23.644 --> 00:07:25.785]  I'm not tooting my own horn.
[00:07:25.805 --> 00:07:27.726]  With great power comes great responsibility.
[00:07:27.926 --> 00:07:30.808]  But we break major news reports every single week, sometimes every single day.
[00:07:52.466 --> 00:07:59.432]  But it's been a year or so since we've really brought you something this big and broken something this big.
[00:07:59.472 --> 00:08:10.803]  If you type into Google News, the number one news service now in the world, number one for traffic, that's Google and click News and type in Oklahoma City bombing or Oklahoma bombing, the first four links, at least this morning,
[00:08:11.463 --> 00:08:16.831]  And last night are articles from PrisonPlanet.com and Infowars.com.
[00:08:17.412 --> 00:08:23.521]  Under them are reports out of the Salt Lake City Tribune and out of the Desert News.
[00:08:26.124 --> 00:08:27.647]  Reports like this are scary.
[00:08:28.647 --> 00:08:48.730]  I don't like having to bring this information to you, but we're going to be pretty much exclusively in the first hour into the second hour talking about the Oklahoma City bombing, which was an inside job perpetrated by members of Bill Clinton's Justice Department to bring the United States closer to the New World Order police state.
[00:08:48.791 --> 00:08:51.131]  It's the baby brother to 9-11.
[00:08:51.631 --> 00:08:57.212]  Administrations changed, but the people running the country, the New World Order, remain the same.
[00:08:58.061 --> 00:09:21.201]  The first film I made ten years ago, in 1997, that I was producing in 1996, America Destroyed by Design, is about Oklahoma City attack, and we lay out how the government did it, why they did it, in that film made about a year and a half after the attack on the Alfred P. Murrah building at 9.02 a.m.
[00:09:21.261 --> 00:09:21.541]  on April 19, 1995.
[00:09:25.590 --> 00:09:31.332]  And everything I put in that film, my first film, I've since made 14 others, 15 films total.
[00:09:31.352 --> 00:09:32.353]  The latest is Terror Storm.
[00:09:33.653 --> 00:09:37.814]  Going as high as number 8 on the Amazon.com charts, which shows we're having an effect.
[00:09:38.675 --> 00:09:42.376]  Everything we laid out there has unfortunately turned out to be accurate and true.
[00:09:42.436 --> 00:09:50.319]  I was going off the state police, off the FBI, off the Grand Juror, the head of the Grand Jury, the Grand Jury Foreman, Hoppy Honelberg.
[00:09:50.759 --> 00:09:52.860]  I was going off the testimony of Cop of the Year.
[00:09:53.849 --> 00:10:02.551]  Terrence Yakey, who all the evidence shows, the FBI tortured to death and killed because he wouldn't shut up about the government being involved.
[00:10:02.571 --> 00:10:10.753]  That's right, cop of the year, who saved all those people, saw a little bit too much of them removing the bombs and the rest of it, so they killed him in cold blood.
[00:10:10.773 --> 00:10:20.175]  And we'll go over some of the basics of this because I can't get into the new developments without giving you some of the things that happened previously.
[00:10:21.215 --> 00:10:23.136]  Before you call me or email me and say,
[00:10:25.467 --> 00:10:26.888]  Why would the government do that?
[00:10:26.908 --> 00:10:27.528]  Let's be clear.
[00:10:27.768 --> 00:10:32.470]  Small criminal elements of our government did this.
[00:10:33.071 --> 00:10:45.997]  And they did this to pass the Omnibus Crime Bill and get triple the funding for the BATF, double the funding for the FBI, and to increase the total anti-terror budget by over 100%.
[00:10:48.032 --> 00:10:56.795]  Bill Clinton on Air Force One in 1996, after he had a 32% approval rating when the bombing took place, he was elected with a 68% approval rating.
[00:10:57.155 --> 00:11:06.377]  Riding high a month after the election, a reporter in the White House press pool on Air Force One said, what do you owe your re-election to?
[00:11:06.397 --> 00:11:15.460]  And he said, the Oklahoma City bombing, it brought the country together, just like Hitler firebombing his own Reichstag helped bring the country together under the Fuhrer.
[00:11:16.326 --> 00:11:19.307]  And there's so much evidence in this, it would make your head spin.
[00:11:19.527 --> 00:11:26.210]  I have done three-hour programs on Coast to Coast AM with reporters coming on covering it as well.
[00:11:26.250 --> 00:11:27.911]  I've done my own syndicated show weekdays.
[00:11:28.171 --> 00:11:31.973]  I've probably done conservatively 75, 80 programs.
[00:11:32.733 --> 00:11:33.393]  I looked it up.
[00:11:34.074 --> 00:11:37.755]  In 2006, I did no fewer than 15 alone on this.
[00:11:37.775 --> 00:11:42.817]  I've already done several this year, several segments of a broadcast on it.
[00:11:43.218 --> 00:11:43.898]  So literally,
[00:11:44.801 --> 00:11:50.484]  It'd be like if you came to an engineer who had an engineering degree and you said, teach me how to engineer.
[00:11:51.764 --> 00:12:02.009]  I have been studying this since it happened almost 12 years ago, and there's so much evidence, I don't even claim to have all the answers or know every little detail.
[00:12:03.109 --> 00:12:06.671]  So it's hard to walk through this, but we're going to try to today.
[00:12:06.931 --> 00:12:08.471]  Again, there's too much evidence.
[00:12:08.491 --> 00:12:11.513]  We have smoking guns piled up to the sky.
[00:12:11.533 --> 00:12:14.234]  It is now obscuring the sun, my friends.
[00:12:16.258 --> 00:12:19.259]  Let's just read through the latest headlines.
[00:12:19.499 --> 00:12:21.700]  This is the Salt Lake City Tribune.
[00:12:21.880 --> 00:12:22.261]  Nichols.
[00:12:22.321 --> 00:12:24.401]  McVeigh had high-level FBI help.
[00:12:25.002 --> 00:12:25.802]  Desert News.
[00:12:26.022 --> 00:12:28.303]  Nichols says bombing was FBI-op.
[00:12:29.263 --> 00:12:33.365]  Now here's the more detailed reports that literally are receiving millions of readers.
[00:12:34.866 --> 00:12:35.326]  Attorney.
[00:12:35.486 --> 00:12:39.628]  Ashcroft gagged Nichols from exposing McVeigh's OKC bombing conspirators.
[00:12:40.568 --> 00:12:42.969]  Trinidad drops new bombshell on Alex Jones Show.
[00:12:43.289 --> 00:12:44.109]  This was Thursday.
[00:12:44.710 --> 00:12:45.170]  Breaking.
[00:12:47.017 --> 00:12:50.119]  Attorney, sealed documents indicate OKC, inside job.
[00:12:50.720 --> 00:12:51.380]  Here's another one.
[00:12:52.060 --> 00:12:54.382]  FBI agent, early arrival in Oklahoma City.
[00:12:54.442 --> 00:12:55.643]  Hotel receipt shows it.
[00:12:55.963 --> 00:12:56.744]  World Net Daily.
[00:12:57.984 --> 00:13:02.768]  McVeigh at a military base, two years after he was supposedly out of the military at a demolitions compound.
[00:13:04.969 --> 00:13:05.870]  It goes on and on.
[00:13:05.890 --> 00:13:07.071]  We're going to go over all of it.
[00:13:07.611 --> 00:13:10.473]  New OKC revelations, spotlight FBI involvement in bombing.
[00:13:11.173 --> 00:13:14.996]  But again, before I go through all the new evidence, let me give you the big news.
[00:13:16.750 --> 00:13:18.771]  The Salt Lake City Tribune doesn't have it.
[00:13:18.951 --> 00:13:20.372]  ABC News doesn't have it.
[00:13:20.412 --> 00:13:21.233]  Guess who has it?
[00:13:21.693 --> 00:13:22.134]  Right here.
[00:13:22.534 --> 00:13:23.114]  In my hands.
[00:13:24.455 --> 00:13:24.915]  Right here.
[00:13:27.817 --> 00:13:36.283]  This is the declaration of Terry Lynn Nichols, United States District Court for the District of Utah, Central Division.
[00:13:37.103 --> 00:13:44.308]  Interviewed and deposed in his jail cell for a day and a half by Jesse C. Trinidou, plaintiff, attorney at law.
[00:13:45.211 --> 00:13:49.374]  And again, Jesse C. Trinidou's brother was mistaken as one of the black operators.
[00:13:49.894 --> 00:13:51.235]  And that doesn't mean a black person, folks.
[00:13:51.275 --> 00:13:55.197]  One of the black world operators, one of the special forces individuals involved in this.
[00:13:55.457 --> 00:13:57.979]  So they tortured him to death because he matched another individual.
[00:13:58.299 --> 00:14:01.701]  Once the feds got that other fellow, they tortured him to death and hung him in a cell as well.
[00:14:02.062 --> 00:14:06.124]  So this Jesse C. Trinidou just started investigating this years ago.
[00:14:06.164 --> 00:14:07.465]  I interviewed him three and a half years ago.
[00:14:08.214 --> 00:14:16.118]  That's why I was really proud and honored when he made the point that on my radio program we originally broke all this, and now the documents have come out.
[00:14:16.458 --> 00:14:18.659]  We have the sealed federal documents.
[00:14:18.719 --> 00:14:20.560]  Let me just go ahead and get to the meat of the matter.
[00:14:21.400 --> 00:14:25.703]  In my hand, I have the sealed federal documents.
[00:14:25.783 --> 00:14:30.565]  I have the sealed FBI documents in my hands right now.
[00:14:31.647 --> 00:14:40.094]  Trinidad, an accomplished lawyer, what, 25-30 years in practice, has never seen them seal something anywhere near this quick.
[00:14:41.815 --> 00:14:48.180]  Within a day of these being filed, they had already gotten a motion before the court to seal these.
[00:14:48.260 --> 00:14:54.265]  Now, not before we were able to see them, and not before
[00:14:55.299 --> 00:14:56.760]  And that's the only reason we can cover this.
[00:14:56.820 --> 00:15:02.683]  The Salt Lake City Tribune was able to see them and not before the Desert News was able to see them.
[00:15:03.023 --> 00:15:04.284]  So they were able to see them.
[00:15:04.384 --> 00:15:05.364]  We were able to see them.
[00:15:05.824 --> 00:15:06.865]  We have them right here.
[00:15:07.971 --> 00:15:30.446]  And yes, ladies and gentlemen, Trinidad wisely has not given to the media the most important sealed parts, and that is Exhibit A through G. The exhibits are the names, social security numbers of FBI agents, internal FBI documents that it turns out the defense had, that Stephen Jones reportedly had in the Denver trial.
[00:15:30.727 --> 00:15:35.630]  The federal judge would not allow them to put this evidence on for national security reasons.
[00:15:37.532 --> 00:15:40.733]  Now, you want to understand how they set patsies up and how they run black ops?
[00:15:41.133 --> 00:15:44.954]  Once you've studied a black op, you start learning there's two or three different types.
[00:15:45.515 --> 00:15:47.875]  There's really two main types, a couple of subgroups.
[00:15:48.316 --> 00:15:55.558]  We're going to walk through how they do this by first explaining what happened in Oklahoma City and then going through the evidence.
[00:15:57.018 --> 00:16:05.201]  But yes, ladies and gentlemen, if you go to PrisonPlanet.com and InfoWars.com and JonesReport.com right now, you can read
[00:16:06.016 --> 00:16:07.657]  The federal documents for yourself.
[00:16:08.878 --> 00:16:10.438]  You can see them for yourself.
[00:16:11.639 --> 00:16:13.460]  Sealed under national security.
[00:16:14.381 --> 00:16:15.241]  I'm Alex Jones.
[00:16:15.741 --> 00:16:16.462]  We'll be right back.
[00:16:16.522 --> 00:16:18.062]  Coast to coast and border to border.
[00:16:18.363 --> 00:16:19.563]  Exposing the terrorist.
[00:16:19.583 --> 00:16:20.764]  Defending the republic.
[00:16:34.798 --> 00:16:38.801]  Hi, I'm Joyce Riley and many of you know that for years I was a cardiovascular heart transplant nurse.
[00:16:39.161 --> 00:16:42.123]  Since that time I've educated myself on the importance of preventative care.
[00:16:42.503 --> 00:16:46.386]  It all begins with providing your heart and vascular system with the building blocks for good health.
[00:16:46.826 --> 00:16:50.849]  Strauss Heart Drops is the original formula that was copied by others but never duplicated.
[00:16:51.489 --> 00:16:56.330]  Strauss Heart Drops were developed by a master herbalist, Jim Strauss, after he suffered a heart attack in 1979.
[00:16:57.051 --> 00:16:59.831]  His doctor said he would only survive if he had heart bypass surgery.
[00:17:00.251 --> 00:17:01.032]  And Jim said no.
[00:17:01.492 --> 00:17:05.793]  He developed Strauss Heart Drops, the formula that has been copied by others, but never been surpassed.
[00:17:06.233 --> 00:17:08.734]  Get the original Strauss Heart Drops, 4-ounce bottle, for only $79.99.
[00:17:10.334 --> 00:17:12.315]  Call the Power Hour at 877-817-9829.
[00:17:12.336 --> 00:17:12.656]  877-817-9829.
[00:17:13.156 --> 00:17:20.221]  You've probably heard about the other products that have tried to copy the Strauss formula?
[00:17:20.481 --> 00:17:22.703]  Well, get the original Strauss Heart Drops by calling 877-817-9829.
[00:17:22.743 --> 00:17:23.003]  That's 877-817-9829.
[00:17:23.023 --> 00:17:25.785]  Now you can really do your heart right with Strauss Heart Drops.
[00:17:33.949 --> 00:17:37.851]  The United States seems to be celebrating over its triumph of reducing government debt.
[00:17:38.071 --> 00:17:50.356]  But the truth be told, public and private debt increased to a record high in 1999, reaching a peak of $14.8 trillion, marking 10.57% annual increase, outpacing its previous 10 years.
[00:17:50.777 --> 00:17:51.177]  The U.S.
[00:17:51.217 --> 00:17:56.799]  economy receives its currency by taking on debt through a private banking institution called the Federal Reserve System.
[00:17:57.199 --> 00:17:59.400]  In the year 2000, debt growth collapsed to only 4.5%.
[00:18:01.261 --> 00:18:02.342]  It's bad enough that the U.S.
[00:18:02.362 --> 00:18:05.223]  citizens is bound by debt in order to have commerce.
[00:18:05.323 --> 00:18:11.345]  However, shocking the economy with a reduction of this magnitude could wipe out years of growth in a stock portfolio.
[00:18:11.785 --> 00:18:15.126]  Before you make your next investment decision, get the cold hard facts.
[00:18:15.206 --> 00:18:21.549]  Call 1-800-686-2237 for your free report on the outstanding level of public and private debt.
[00:18:22.109 --> 00:18:26.111]  You must understand how recession and depression are driven by outstanding debt.
[00:18:26.231 --> 00:18:26.571]  Call 1-800-686-2237.
[00:18:26.711 --> 00:18:28.832]  That's 1-800-686-2237.
[00:18:29.252 --> 00:18:29.972]  It's here.
[00:18:29.992 --> 00:18:41.718]  After a year in production and traveling to distant lands, my new film Terror Storm is complete.
[00:18:42.098 --> 00:18:49.741]  Shocking declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[00:18:50.413 --> 00:18:57.478]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[00:18:57.878 --> 00:19:09.285]  Terror Storm chronicles the lies that took us to war in Iran, a White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[00:19:09.605 --> 00:19:13.108]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[00:19:13.568 --> 00:19:15.469]  It's an anthology of government crimes.
[00:19:15.829 --> 00:19:19.672]  Terror Storm is a film that everyone who wants to be truly informed must see.
[00:19:20.262 --> 00:19:27.714]  Get your copy today at InfoWars.com or PrisonPlanet.com or by calling toll free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv
[00:19:33.889 --> 00:19:35.029]  Hey Jane, how's it going?
[00:19:35.389 --> 00:19:37.330]  Gosh, I'm not doing so well.
[00:19:37.530 --> 00:19:41.491]  Even though I'm doing everything I'm supposed to do, my blood sugar is way out of control.
[00:19:42.051 --> 00:19:43.732]  Oh Jane, I'm sorry to hear that.
[00:19:43.952 --> 00:19:46.032]  I have to monitor my blood sugar again.
[00:19:46.272 --> 00:19:51.414]  If there was only something natural I could take that would help control my blood sugar, that really works.
[00:19:51.674 --> 00:19:53.034]  Have you tried Sucroblast?
[00:19:53.823 --> 00:19:58.906]  For millions of Americans who can't keep their high blood sugar levels off their minds, there's Sucroblast.
[00:19:59.466 --> 00:20:03.828]  Sucroblast is the all-natural way to help keep your high blood sugar levels under control.
[00:20:04.368 --> 00:20:08.370]  For a limited time, you can get a free consultation from a Sucroblast specialist.
[00:20:08.891 --> 00:20:11.272]  Call 1-800-99-HEALTHY.
[00:20:11.672 --> 00:20:13.993]  That's 1-800-99-HEALTHY.
[00:20:14.453 --> 00:20:18.275]  Or visit them on the web at MyBloodSugarBreakthrough.com.
[00:20:18.636 --> 00:20:20.356]  That's MyBloodSugarBreakthrough.com.
[00:20:22.122 --> 00:20:23.323]  So, Jane, what do you think?
[00:20:23.563 --> 00:20:27.406]  I'm going to call Sucroblast to set up a free consultation right now!
[00:20:27.747 --> 00:20:28.547]  Excellent, Jane.
[00:20:28.627 --> 00:20:29.788]  He'll be glad you did.
[00:20:29.808 --> 00:20:36.654]  You are listening to GCN.
[00:20:38.235 --> 00:20:41.558]  Visit GCNlive.com today.
[00:20:44.340 --> 00:20:47.342]  Corruption never had a worse enemy.
[00:20:48.203 --> 00:20:50.365]  You're locked into the Alex Jones Show.
[00:20:53.456 --> 00:20:54.457]  Okay, let's be clear.
[00:20:56.119 --> 00:21:02.146]  On February 16th, this filing was written up.
[00:21:02.206 --> 00:21:04.028]  It was filed several days later.
[00:21:05.189 --> 00:21:11.677]  Within a day, the federal government had sealed the filing and its exhibits.
[00:21:12.771 --> 00:21:21.279]  That was A through G. We're talking about the Oklahoma City bombing and the revelations by Terry Nichols that this was a government inside job, a black op.
[00:21:21.339 --> 00:21:23.120]  And we wouldn't just listen to Terry Nichols.
[00:21:23.161 --> 00:21:29.046]  We'll walk through his story and show how it fits in with all the pieces, the hundreds of pieces of smoking guns that we have.
[00:21:29.745 --> 00:21:40.314]  Since then, the federal judges said, since the media already had it, since it had already been reported on by major newspapers, that the filing can be public, just not the exhibits.
[00:21:40.354 --> 00:21:43.597]  And those are not public, and the government's fighting to keep those secret.
[00:21:44.118 --> 00:21:48.782]  In the filing, you learn that Nichols had been trying to
[00:21:49.965 --> 00:22:13.818]  He'd written a letter in 2004 to John Ashcroft, the then Attorney General, saying he wanted to go public about all this information, and then an order was put into effect over the Federal Bureau of Prisons in the Supermax he's in, there in the Rocky Mountains, and they wouldn't allow him to talk to any of the media, and the media could not get in to see him.
[00:22:13.858 --> 00:22:15.719]  I've talked to newspaper reporters, TV reporters,
[00:22:16.540 --> 00:22:18.443]  National reporters who weren't allowed to get in.
[00:22:18.483 --> 00:22:28.077]  In fact, there had been a press report doing some research, I found, from 2004, where 60 Minutes tried to get in the scene, and the federal government said, no, no media.
[00:22:28.158 --> 00:22:30.782]  But, they couldn't keep a lawyer, and so...
[00:22:32.330 --> 00:22:44.260]  Because court proceedings had been started by Jesse Trinidou, and because Nichols could then say that he was having him in as his counsel, they couldn't stop Trinidou from getting in for a day and a half of interview time.
[00:22:44.680 --> 00:22:58.192]  Now, in this affidavit and in this request that's been filed as part of a lawsuit, they're asking that Jesse Trinidou, Attorney Trinidou, be able to go in and get a videotaped deposition of Terry Nichols.
[00:23:00.268 --> 00:23:04.629]  So there's some background about what's currently happening right now.
[00:23:04.729 --> 00:23:12.191]  Again, the headlines, Desert News, Nichols says bombing was FBI operation, Salt Lake City Tribune headline, Nichols McVeigh had high-level FBI help.
[00:23:12.571 --> 00:23:17.452]  Now, let's go back to what really happened in a nutshell in Oklahoma City.
[00:23:18.213 --> 00:23:19.353]  You'd have Ruby Ridge,
[00:23:20.074 --> 00:23:21.435]  Which had ended in a disaster.
[00:23:21.935 --> 00:23:26.137]  Larry Potts, the head of the operation, had gotten a reprimand letter.
[00:23:26.537 --> 00:23:31.239]  There was talk of the BATF being disbanded, the Bureau of Alcohol, Tobacco, and Firearms.
[00:23:31.599 --> 00:23:32.260]  Confiscation.
[00:23:32.540 --> 00:23:32.940]  Excuse me.
[00:23:33.200 --> 00:23:35.061]  The Bureau of Alcohol, Tobacco, and Firearms.
[00:23:35.921 --> 00:23:39.143]  Then we have the videotapes that was in wake of the rules of engagement.
[00:23:40.620 --> 00:23:46.666]  And in several other films where it shows the BATF loading their big Betamax cameras saying, oh, we're going to get lots of funding off this.
[00:23:47.026 --> 00:23:48.507]  This is going to make us look good.
[00:23:48.848 --> 00:23:52.231]  They picked a group they thought was kooky and weird, regardless of what they were.
[00:23:52.471 --> 00:23:55.534]  The point is they were set up, they were attacked, they were shot at by helicopters.
[00:23:56.274 --> 00:23:58.295]  51 days into the siege, they burned the place down.
[00:23:58.335 --> 00:24:02.818]  Later that came out in congressional testimony and Delta Force documents when they sent the Delta Force in.
[00:24:03.138 --> 00:24:07.900]  Again, you have these same FBI agents that were involved, Lon Horiucci and others, from Ruby Ridge are there.
[00:24:08.260 --> 00:24:12.042]  That happens in 1993, a few months after Ruby Ridge.
[00:24:12.642 --> 00:24:17.985]  Just a few months after the first World Trade Center attack, which I'll get to in a moment.
[00:24:18.686 --> 00:24:19.346]  Same thing there.
[00:24:19.386 --> 00:24:20.586]  Government op will walk you through it.
[00:24:22.563 --> 00:24:30.288]  They've got this really bad name, there's talk of them being disbanded because of Waco and Ruby Ridge, and then BOOM!
[00:24:30.308 --> 00:24:45.577]  9.02 a.m., 1995, a supposed truck bomb blows up out front and knocks out giant columns in the back of the building, the furthest away from the truck, but doesn't knock columns up over that are right up against the truck bomb.
[00:24:46.121 --> 00:24:54.907]  And there's videotape of these that the former head of Air Force Weapons Development, General Benton K. Barton, that's a three-star general, by the way, did analysis of it.
