[00:00:00.069 --> 00:00:00.289]  Hey!
[00:05:56.393 --> 00:05:57.333]  I said I'd get to the news.
[00:05:58.194 --> 00:06:00.315]  We have microchips for the troops' brains.
[00:06:01.976 --> 00:06:03.396]  We have Ron Paul being cheated.
[00:06:04.477 --> 00:06:06.318]  It turned out they were my listeners.
[00:06:07.054 --> 00:06:10.557]  This has happened to several people, it turns out, each time we call them to have them on as guests or listeners.
[00:06:11.257 --> 00:06:14.900]  Up in North Carolina, arrested for having an upside-down flag flying at their house.
[00:06:15.601 --> 00:06:21.486]  And this guy was out of his jurisdiction and in the military, and now in front of witnesses beat him up and kicked down their door.
[00:06:21.546 --> 00:06:22.607]  He lied and said he didn't.
[00:06:22.927 --> 00:06:26.610]  The sheriff did the right thing and dropped the assault charges.
[00:06:26.630 --> 00:06:29.372]  Because not only did he beat him up, they then charged him with assault.
[00:06:29.972 --> 00:06:31.694]  And the sheriff did the right thing and dropped this.
[00:06:33.199 --> 00:06:40.225]  But we'll talk about where the First Amendment is in this country, because it also dovetails with major censorship all across the country.
[00:06:41.786 --> 00:06:48.031]  Just to put it simply, I have a large stack of censorship news from Ron Paul to the web, to police all over the country.
[00:06:48.331 --> 00:06:50.533]  If you've got an upside-down flag on your car, they're arresting you.
[00:06:51.494 --> 00:06:52.675]  And they don't know what it means.
[00:06:52.875 --> 00:06:55.317]  And if you don't know, the country is in crisis.
[00:06:55.597 --> 00:06:59.300]  With the dollar plunging again another two cents last week, and that is a big deal,
[00:07:00.537 --> 00:07:01.058]  Ongoing.
[00:07:01.138 --> 00:07:03.480]  A 58% slide now in value.
[00:07:04.060 --> 00:07:06.542]  And if you don't know what that means, folks, you better figure it out real fast.
[00:07:06.702 --> 00:07:08.003]  With currency devaluation.
[00:07:08.323 --> 00:07:11.165]  Just type it into a search engine and get ready to cry your eyes out.
[00:07:11.225 --> 00:07:11.565]  I know it.
[00:07:11.906 --> 00:07:13.527]  I'm not even a lover of money.
[00:07:13.907 --> 00:07:14.768]  But it's gotten to me.
[00:07:14.828 --> 00:07:17.129]  A little bit of money I got has been turned into toilet paper.
[00:07:17.890 --> 00:07:19.791]  And there's no sign of it stopping.
[00:07:20.232 --> 00:07:21.072]  Again, I don't know how.
[00:07:21.393 --> 00:07:24.014]  I could talk about that just constantly.
[00:07:24.235 --> 00:07:25.556]  I'd love to talk 10 hours about that.
[00:07:26.276 --> 00:07:27.357]  What else do I have in the news?
[00:07:28.550 --> 00:07:45.048]  In 2001, red-handed, mainstream British papers, no debating it, it was admitted the government launched the foot-and-mouth attack, and then it only killed a few animals, and then they ran around and killed 8 million sheep and 2 million cows, and literally destroyed almost every farm in the country, and the government took them over.
[00:07:46.941 --> 00:07:48.182]  And it was in the mainstream news.
[00:07:48.202 --> 00:07:49.562]  We have flashbacks to that.
[00:07:50.463 --> 00:07:53.404]  They're talking about it spreading to the U.S.
[00:07:53.564 --> 00:07:54.404]  It happened again.
[00:07:54.884 --> 00:07:58.226]  Foot and Mouth has been released in England and they don't even hide it.
[00:07:58.266 --> 00:08:00.847]  They say the government released it in a drill.
[00:08:01.698 --> 00:08:10.523]  I mean, this is BBC, this is ITAR-TASS, Russian News Agency, this is London Guardian, and of course we broke it, and now they're all admitting it.
[00:08:11.203 --> 00:08:15.405]  I have two writers and two webmasters, Paul Watson and Steve Watson, one in London, one in Sheffield.
[00:08:15.825 --> 00:08:17.186]  That's where Mountain Hood's from, by the way.
[00:08:18.587 --> 00:08:20.208]  But I'm already digressing.
[00:08:20.668 --> 00:08:25.951]  The point is that they've just false flagged us again.
[00:08:25.971 --> 00:08:28.352]  They're going to run around and kill all these animals.
[00:08:28.994 --> 00:08:33.357]  And then not let them restock and have all this government regulation, and then in plain view, they admit they launched it.
[00:08:34.778 --> 00:08:36.839]  I mean, you just... It's off the chart.
[00:08:37.480 --> 00:08:38.120]  It's off the chart.
[00:08:39.261 --> 00:08:42.363]  I'll explain what bio-agri-terrorism is, okay?
[00:08:42.903 --> 00:08:44.144]  Agricultural terrorism.
[00:08:44.204 --> 00:08:45.225]  Economic terrorism.
[00:08:45.245 --> 00:08:46.286]  We're going to go over that today.
[00:08:46.586 --> 00:08:48.387]  And again, the government just launches it publicly.
[00:08:49.268 --> 00:08:50.489]  I just... Oh, we launched it!
[00:08:52.050 --> 00:08:52.550]  Every time!
[00:08:53.911 --> 00:08:57.033]  By the way, they have passed martial law provisions from Alabama
[00:08:57.972 --> 00:08:59.693]  to Minnesota with foot and mouth.
[00:08:59.734 --> 00:09:02.095]  We'll tell you what life will be like if this gets out here.
[00:09:03.056 --> 00:09:04.557]  Weaponized foot and mouth.
[00:09:04.758 --> 00:09:12.824]  By the way, we in 2002 got a drill with the British military to be held in East Texas cancelled.
[00:09:13.125 --> 00:09:16.487]  Yes, my listeners, you listening right now, you remember it.
[00:09:16.908 --> 00:09:19.610]  We stopped it last time and I wanted to launch the attack here.
[00:09:20.302 --> 00:09:26.607]  And I mean, they'll probably launch it here, right in front of us, and I can hold up news articles where they launched it, but they'll still be our saviors on TV.
[00:09:26.627 --> 00:09:30.570]  I mean, now, they just launch attacks in front of everyone, and no one gets in trouble.
[00:09:31.210 --> 00:09:33.011]  And then we'll get into the really serious news.
[00:09:33.051 --> 00:09:37.875]  They just passed total spying on the American people, and you hear the news, they're completely lying about what it really means.
[00:09:38.295 --> 00:09:41.918]  They've legalized Bush's criminal activities for the last five and a half years.
[00:09:41.978 --> 00:09:44.820]  That's what this spying, eavesdropping bill means.
[00:09:45.040 --> 00:09:45.921]  We'll break it all down.
[00:09:46.001 --> 00:09:47.322]  Also, the murder of Pat Tillman.
[00:09:47.482 --> 00:09:48.123]  More on that.
[00:09:48.143 --> 00:09:48.543]  Stay with us.
[00:09:52.514 --> 00:10:06.802]  It's here, after a year in production and traveling to distant lands.
[00:10:07.122 --> 00:10:09.083]  My new film Terror Storm is complete.
[00:10:09.443 --> 00:10:17.068]  Shocking declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[00:10:17.768 --> 00:10:24.814]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[00:10:25.214 --> 00:10:36.643]  Terror Storm chronicles the lies that took us to war in Iran, a White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[00:10:36.964 --> 00:10:40.486]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[00:10:40.927 --> 00:10:42.888]  It's an anthology of government crimes.
[00:10:43.189 --> 00:10:47.032]  Terror Storm is a film that everyone who wants to be truly informed must see.
[00:10:47.612 --> 00:10:54.622]  Get your copy today at InfoWars.com or PrisonPlanet.com or by calling toll free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv
[00:11:00.060 --> 00:11:02.341]  This is a market alert from Midas Resources.
[00:11:02.721 --> 00:11:12.683]  Since August 9th, the Fed has created and injected $200 billion into the financial markets to keep them afloat, ignoring the hyperinflationary hangover that is the sheer result.
[00:11:13.183 --> 00:11:18.724]  Data released by the New York Federal Reserve shows that foreign central banks have cut their stash of U.S.
[00:11:18.764 --> 00:11:25.445]  Treasuries by $48 billion since late July, with falls of $32 billion in the last two weeks alone.
[00:11:25.966 --> 00:11:27.966]  Could China be quietly dumping the dollar?
[00:11:28.914 --> 00:11:36.020]  The quality of your life depends on the quality of your currency, and the quality of the dollar is poor, because the quantity is so high.
[00:11:36.400 --> 00:11:42.185]  Printing money out of thin air has disastrous results, victimizing middle-class citizens and discouraging savings.
[00:11:42.746 --> 00:11:47.249]  If you have been considering precious metals as a hedge against inflation, you need to act now.
[00:11:47.670 --> 00:11:50.212]  Procrastination is the mother of lost opportunities.
[00:11:50.672 --> 00:11:52.834]  Call me, Tom Andrew at 1-800-606-1294.
[00:11:54.356 --> 00:11:58.379]  That's 1-800-606-1294.
[00:12:02.223 --> 00:12:03.924]  Are you tired of frequent urination?
[00:12:04.325 --> 00:12:06.567]  Do you drink a ton of water and still feel thirsty?
[00:12:06.887 --> 00:12:09.970]  The quantity of water you drink is not the key to hydration.
[00:12:10.130 --> 00:12:13.092]  The key to hydration is the correct clustering of water.
[00:12:13.253 --> 00:12:16.756]  When water has the ideal cluster, your cells will readily absorb it.
[00:12:17.056 --> 00:12:23.280]  Some companies sell concentrated versions of this kind of water, making you spend up to $70 per month to treat your water.
[00:12:23.700 --> 00:12:30.945]  Or you can purchase the MREP Activator from Cocoon Nutrition and have the ability to treat your water at a fraction of the price.
[00:12:31.165 --> 00:12:33.286]  Drink less water and become more hydrated.
[00:12:33.466 --> 00:12:44.673]  Hydrated cells will result in beautiful skin, no more chapped lips, less frequent urination, cleaner cells, healthier liver, kidney, heart and organs, more energy and protection from all diseases.
[00:12:44.793 --> 00:12:45.494]  I think so.
[00:13:01.027 --> 00:13:03.631]  Hello, this is Alex Jones with some important questions.
[00:13:04.031 --> 00:13:09.018]  If you're going into a battle and they give you a rifle and a sidearm, how much ammunition do you want?
[00:13:09.378 --> 00:13:11.121]  My answer would be all I can get.
[00:13:11.421 --> 00:13:15.907]  In the battle for freedom and the lives of your loved ones, food is your only ammunition.
[00:13:15.947 --> 00:13:16.487]  We're good to go.
[00:13:39.404 --> 00:13:40.405]  How much will you need?
[00:13:40.625 --> 00:13:41.245]  We don't know.
[00:13:41.545 --> 00:13:42.446]  How much do you want?
[00:13:42.626 --> 00:13:43.387]  All you can get.
[00:13:43.567 --> 00:13:44.427]  I'm Alex Jones.
[00:13:44.667 --> 00:13:47.429]  I want all of you good guys to live to fight another day.
[00:13:47.729 --> 00:13:50.831]  Call 1-800-409-5633 or check it out on the web at efoodsdirect.com.
[00:13:50.851 --> 00:13:52.092]  Again, that number, 1-800-409-5633.
[00:13:52.132 --> 00:13:53.733]  Thank you for listening to GCN.
[00:13:53.753 --> 00:13:55.334]  Be sure to visit GCNlive.com today.
[00:14:12.961 --> 00:14:16.045]  Corruption never had a worse enemy.
[00:14:16.826 --> 00:14:19.208]  You're locked into the Alex Jones Show.
[00:14:21.791 --> 00:14:22.512]  Welcome back.
[00:14:24.154 --> 00:14:27.919]  So here in the stack in front of me we have the vicious attack on the First Amendment.
[00:14:28.359 --> 00:14:30.502]  The British government as usual launching a
[00:14:31.514 --> 00:14:35.095]  If you go back and listen to my radio show in 1996 when this happened,
[00:14:57.474 --> 00:15:02.016]  I was mailed several big industry publications for engineers.
[00:15:03.016 --> 00:15:09.518]  And these were cell phone tower engineer magazines, specialty manuals.
[00:15:10.199 --> 00:15:15.861]  These were also other publications inside the telecommunications industry about complying with new regulations.
[00:15:15.921 --> 00:15:17.601]  Now, these were not laws.
[00:15:18.642 --> 00:15:22.223]  This was a regulation for corporate America.
[00:15:23.354 --> 00:15:27.995]  And then only do we see now 10, 11 years later do they implement.
[00:15:28.756 --> 00:15:45.081]  Now the law stated they were going to pay $5 billion at the time, turned out being almost $10 billion, to pay every major phone company in the nation and every hub and every cell tower and every system to have NSA wiring put in where everything passes through the NSA first.
[00:15:45.761 --> 00:15:46.261]  Let me explain.
[00:15:46.301 --> 00:15:49.262]  The phone companies have whole floors that are NSA.
[00:15:50.510 --> 00:16:03.443]  And I got on air, and I read this, and I covered it, and I talked about it, I gave the documentation, and then remember last year, oh my gosh, a whole floor in San Francisco at AT&T, everything's wired through it!
[00:16:06.078 --> 00:16:12.102]  You know, we're just now hearing about how everything for emergency takeover of radio, TV, and cable is now controlled by FEMA and Homeland Security.
[00:16:12.142 --> 00:16:21.729]  No, back in 97, it was made regulatory policy that everything in radio stations, the final piece is the FEMA takeover, EAS boxes.
[00:16:21.749 --> 00:16:22.810]  I mean, I saw it be put in.
[00:16:23.751 --> 00:16:28.994]  Now they're telling radio stations, hey, the government's going to pop in and have little announcements too, not just during a nuclear attack.
[00:16:29.214 --> 00:16:30.916]  We're going to take over some programming now.
[00:16:31.216 --> 00:16:32.737]  See, we're going into fascism.
[00:16:32.957 --> 00:16:34.818]  See, I'm seeing all the infrastructure go in.
[00:16:36.374 --> 00:16:45.338]  You can make something secret, but they have to fund, and they have to have the industry put in the apparatchik for this, and there was nothing secret about it.
[00:16:45.818 --> 00:16:46.978]  Everything is listened to.
[00:16:47.018 --> 00:16:48.119]  Let me give you a news flash.
[00:16:48.179 --> 00:16:51.920]  Every major AM FM transmission goes through the NSA, okay?
[00:16:52.200 --> 00:16:54.581]  And the keyword computers listen to it for at least 25 years.
[00:16:55.142 --> 00:16:59.563]  I mean, radio going back 50, but that was with people in intercepts until about the last 25 with keyword.
[00:16:59.644 --> 00:17:01.864]  Remember, they're about 25 years ahead of us as well in many cases.
[00:17:02.285 --> 00:17:03.165]  This is all admitted now.
[00:17:03.715 --> 00:17:06.676]  Because I'm not going to just sit here and talk about what they did and read the AP.
[00:17:06.716 --> 00:17:08.037]  I mean, this is literal theater.
[00:17:08.457 --> 00:17:09.097]  Go read the bill.
[00:17:09.137 --> 00:17:10.258]  This is not what's going on.
[00:17:10.478 --> 00:17:12.599]  The lazy AP writer doesn't know how to read law.
[00:17:13.059 --> 00:17:13.799]  They're not a scholar.
[00:17:13.819 --> 00:17:14.699]  They haven't studied this.
[00:17:15.040 --> 00:17:19.201]  And they just hear, oh, this is so we can track foreign phone calls into the U.S.
[00:17:20.202 --> 00:17:22.142]  Yeah, you watch the Senate hearings, the truth comes out.
[00:17:22.503 --> 00:17:33.327]  This is legalizing, remember you heard it was illegal, the Supreme Court ruled it was illegal, what Bush has been doing to keep us safe from Al-Qaeda, I mean Al-Qaeda, the last five and a half years?
[00:17:34.224 --> 00:17:36.486]  And he had to do it to keep us safe, but it was illegal?
[00:17:36.506 --> 00:17:39.188]  I mean, the FISA court was blank checks.
[00:17:39.208 --> 00:17:44.511]  They just signed a blank form and 20-30,000 people could be spied on randomly just with that.
[00:17:44.831 --> 00:17:46.933]  They said, no, we don't even want that domestically.
[00:17:47.153 --> 00:17:50.695]  Just blank checks for, you know, 10 state regions, do whatever we want.
[00:17:51.036 --> 00:17:51.316]  Literally.
[00:17:53.849 --> 00:17:56.032]  So, now it's just pell-mell.
[00:17:56.072 --> 00:18:01.239]  They had to have Congress pass this so what they've already been doing forever would, quote, be legal and lawful.
[00:18:01.259 --> 00:18:08.529]  Now, remember, Congress and the Supreme Court said black people weren't human beings until, you know, for the first hundred plus years of this country.
[00:18:10.103 --> 00:18:17.287]  And so, we need to understand that just because they now say that doesn't mean that it trumps the Bill of Rights, Constitution, and common sense.
[00:18:17.607 --> 00:18:20.629]  They can pass laws right now that you've got to throw your children off cliffs.
[00:18:20.909 --> 00:18:22.710]  We don't have to follow it.
[00:18:23.150 --> 00:18:23.830]  It's unlawful.
[00:18:24.191 --> 00:18:25.091]  It's unconstitutional.
[00:18:25.271 --> 00:18:28.633]  It goes against common law, common sense, God's laws.
[00:18:28.713 --> 00:18:29.634]  It's real simple.
[00:18:29.674 --> 00:18:30.774]  You know right and wrong, folks.
[00:18:31.014 --> 00:18:31.755]  You have a conscience.
[00:18:31.795 --> 00:18:33.956]  Unless you're so given over to evil you don't have it anymore.
[00:18:34.096 --> 00:18:35.897]  So, I digress.
[00:18:36.657 --> 00:18:37.298]  I do digress.
[00:18:37.338 --> 00:18:37.778]  I'm sorry.
[00:18:39.381 --> 00:18:44.742]  The point is, they said not just all these snooping systems and not just cell phone triangulation down to 15 feet.
[00:18:45.222 --> 00:18:47.723]  Your phone doesn't have GPS, though some now are getting it.
[00:18:48.003 --> 00:18:49.403]  Your phone doesn't have it by law.
[00:18:49.723 --> 00:18:55.865]  What it has is triangulation with GPS on the cell towers down to 15 feet and they're really gauged down to about two and a half feet.
[00:18:57.285 --> 00:19:04.747]  And I remember about two, three years ago I was at a funeral for my step-grandfather up in Fort Worth and we were lost.
[00:19:05.067 --> 00:19:06.487]  We'd gone to see a museum, me and my dad.
[00:19:08.386 --> 00:19:15.089]  We were going to be there early, and we were lost, and I just said, hey Dad, with your cell phone, call and ask them to tell them where you're at.
[00:19:15.209 --> 00:19:17.711]  I mean, they'll tell you exactly where the street is you're looking for.
[00:19:17.731 --> 00:19:18.611]  And he said, it doesn't do that.
[00:19:18.651 --> 00:19:19.531]  I said, just call.
[00:19:20.052 --> 00:19:25.894]  And he called before the service had really even been announced, and they said, okay, yeah, this is the owner of the phone.
[00:19:25.934 --> 00:19:26.595]  Give us your code.
[00:19:26.615 --> 00:19:29.216]  All right, well, yeah, you should be coming up on Main right now.
[00:19:29.236 --> 00:19:29.936]  I'm like, oh, there it is.
[00:19:29.976 --> 00:19:33.358]  Well, you just turn three streets over, and you go here, and then you'll be able to get the funeral home.
[00:19:34.051 --> 00:19:37.213]  And then I saw the Governor of Wisconsin put it in a few years ago.
[00:19:37.233 --> 00:19:40.175]  Now the FEMA emergency centers all have it.
[00:19:40.855 --> 00:19:46.218]  You know it locally as the Threat Integration Center, Emergency Management Center, or Tri-County Area.
[00:19:47.039 --> 00:19:48.580]  Big cities have it for themselves.
[00:19:48.640 --> 00:19:50.761]  Counties will have it in a four, five, or three-county area.
[00:19:51.441 --> 00:19:54.943]  And now they announce, ooh, we can type in your name and track your cell phone.
[00:19:55.163 --> 00:19:57.124]  And cops are doing this from New York to Dallas.
[00:19:57.304 --> 00:19:59.225]  I don't think Austin has it yet.
[00:19:59.245 --> 00:20:03.267]  I'm told they're getting the software, though, and FEMA then announces, now you have this.
[00:20:03.327 --> 00:20:06.188]  And you just type in Alexander Emmerich Jones with the phone number.
[00:20:06.588 --> 00:20:07.649]  Oh, there he is.
[00:20:07.729 --> 00:20:08.290]  Okay.
[00:20:08.751 --> 00:20:10.593]  He's down at KLBJ Studios right now.
[00:20:10.633 --> 00:20:11.173]  That's freedom.
[00:20:11.694 --> 00:20:13.516]  No judge, no jury, no nothing.
[00:20:14.097 --> 00:20:17.941]  Type into Google, cities now using cell phones to track traffic.
[00:20:18.121 --> 00:20:20.104]  So they can dial in and follow all the cell phones.
[00:20:20.144 --> 00:20:21.145]  And oh, it's for traffic.
[00:20:21.665 --> 00:20:21.885]  No.
[00:20:22.286 --> 00:20:40.559]  The NSA took over completely in 1996, and by 2001, all cell phone companies had to have it fully in control, by law, that all the new cell phones, and many of them adopted before that, had to have it in them where they can dial in even when you turn the phone off.
[00:20:41.039 --> 00:20:46.823]  And now they put it in even if you remove the battery on most of them, they have an internal battery, and the FBI can listen.
[00:20:47.504 --> 00:20:47.684]  Okay!
[00:20:48.613 --> 00:20:53.174]  Now, Google also brags that they tune in and listen, but have keyword computers see what products you like.
[00:20:53.894 --> 00:20:55.515]  Folks, I can't make this stuff up, okay?
[00:20:56.095 --> 00:21:04.217]  Now, for those that don't believe me, here is your God, Fox News, giggling and snickering and laughing four months ago.
[00:21:04.237 --> 00:21:08.878]  You see, they do it years after it's in force, years after it's in place, they then tell you.
[00:21:09.218 --> 00:21:12.218]  Like, you've had a national ID card since the mid-1990s.
[00:21:12.678 --> 00:21:15.019]  Now, they're telling you it's coming next year.
[00:21:15.817 --> 00:21:17.318]  Okay, it's not for the illegals.
[00:21:17.658 --> 00:21:19.159]  It's for you, not for them, by the way.
[00:21:19.379 --> 00:21:20.540]  And they sell you it's for the illegals.
[00:21:20.900 --> 00:21:22.741]  Okay, and I have, again, I made films about this in 97.
[00:21:22.781 --> 00:21:25.023]  Now, because I have executive orders.
[00:21:25.283 --> 00:21:26.224]  How do I know it's going to happen?
[00:21:26.344 --> 00:21:27.845]  I have the very blueprints.
[00:21:28.185 --> 00:21:30.406]  Then they have these bills just for public consumption.
[00:21:30.726 --> 00:21:32.487]  There's the real world, there's the spin world.
[00:21:32.768 --> 00:21:34.068]  We tell you about the real world.
[00:21:34.309 --> 00:21:36.930]  Here is Fox telling you how great it is you're being spied on.
[00:21:38.911 --> 00:21:44.155]  And it's just so wonderful and fabulous and we just need to all go along with it.
[00:21:44.175 --> 00:21:44.635]  Is it rolling?
[00:21:47.685 --> 00:21:48.767]  Oh, we're about to go to break.
[00:21:48.807 --> 00:21:49.788]  I didn't get a signal.
[00:21:49.828 --> 00:21:52.010]  OK, when we get back, we'll play.
[00:21:52.090 --> 00:21:55.174]  It's only a 50-second clip, though.
[00:21:55.194 --> 00:21:55.654]  Can we roll it?
[00:21:55.694 --> 00:22:02.222]  Are we going to unroll it?
