[00:00:00.289 --> 00:00:05.313]  ...to say Merry Christmas, then giving a gift of safety and security from Pepperspray.com!
[00:02:49.481 --> 00:02:54.084]  They are not saying a whole lot, but a few ideas are bumbling to the top of the debate.
[00:02:54.164 --> 00:02:57.767]  For more news and analysis, log on to IRNnews.com.
[00:03:00.228 --> 00:03:01.849]  Do you suffer from cold sores?
[00:03:02.330 --> 00:03:07.193]  Relieve One Day Cold Sore Symptom Treatment is out to prove how fast it really works.
[00:03:07.814 --> 00:03:14.859]  If you suffer from those nasty sores, try Relieve and find out for yourself if Relieve works really fast for you.
[00:03:15.200 --> 00:03:18.062]  Relieve is spelled R-E-L-E-E-V.
[00:03:18.522 --> 00:03:21.425]  It's easy to find and is in all major drugstores.
[00:03:21.805 --> 00:03:28.250]  So if you get cold sores, remember to get Relieve now and keep it ready to use the moment a cold sore attacks.
[00:03:30.569 --> 00:03:34.356]  The upper Midwest is joining the Northeast with winter weather problems.
[00:03:34.917 --> 00:03:40.787]  National Weather Service meteorologist Sam Walker says the snow and severe cold are keeping people inside.
[00:03:42.688 --> 00:03:44.429]  The wave of youth violence in Greece is continuing.
[00:03:44.449 --> 00:03:47.812]  Scores of young people attacked a police station, stores, and banks on Saturday.
[00:04:06.852 --> 00:04:08.633]  More riots broke out last night.
[00:04:09.054 --> 00:04:10.415]  Here's Demetrius Nellis.
[00:04:10.795 --> 00:04:19.342]  Last night's riots erupted after a candlelight vigil commemorating the one week since the teenager was shot by a policeman.
[00:04:19.482 --> 00:04:23.465]  President George W. Bush is making an unannounced visit to Iraq.
[00:04:23.965 --> 00:04:30.510]  The president is having a rapid-fire series of meetings with top Iraqi officials there, as well as with U.S.
[00:04:30.550 --> 00:04:31.031]  commanders.
[00:04:31.696 --> 00:04:37.541]  Bush and Prime Minister Nouri al-Maliki are celebrating the recent security agreement between the two nations.
[00:04:38.281 --> 00:04:46.428]  Iraq's Defense Ministry says some American troops may remain in urban areas beyond a summer deadline to pull back, but only with the government's permission.
[00:04:46.968 --> 00:04:49.070]  The comments come a day after the top U.S.
[00:04:49.130 --> 00:04:55.215]  general announced troops might continue working with Iraq's security forces in the cities even after the deadline.
[00:04:55.835 --> 00:04:58.838]  I'm Jody Jordan for IRN USA Radio News.
[00:05:00.603 --> 00:05:04.447]  You don't have to be in the military to enjoy military surplus savings.
[00:05:04.747 --> 00:05:10.552]  Right now at MainMilitary.com, you'll find savings on the top must-have military supplies.
[00:05:10.933 --> 00:05:12.914]  M10 gas masks for $12 or 3 for $30.
[00:05:13.034 --> 00:05:13.995]  Gas mask hoods, $4 or 3 for $10.
[00:05:14.516 --> 00:05:15.517]  Mask filters, $6 or 3 for $15.
[00:05:15.577 --> 00:05:17.138]  Safe bag on British chemical suits, only $12.
[00:05:17.178 --> 00:05:17.579]  Israeli gas masks, $20.
[00:05:24.645 --> 00:05:28.029]  Trigger finger gloves, $5 a pair or $36 a dozen.
[00:05:28.289 --> 00:05:32.654]  Snowshoe binding for $8 or $48 a dozen and so much more.
[00:05:32.914 --> 00:05:36.338]  Even hard to find surplus items, all at surplus prices.
[00:05:36.639 --> 00:05:39.422]  Preparing the whole family has never been so affordable.
[00:05:39.582 --> 00:05:40.102]  That's right.
[00:06:00.089 --> 00:06:00.930]  He stands for truth.
[00:06:00.990 --> 00:06:02.171]  He stands for justice.
[00:06:02.191 --> 00:06:03.352]  He stands for what's right.
[00:06:03.392 --> 00:06:05.433]  This is the Alex Jones Show.
[00:06:05.473 --> 00:06:08.456]  Call Alex now, toll free at 877-590-5525.
[00:06:30.488 --> 00:06:35.179]  Now live from Austin, Texas, here's Alex Jones.
[00:06:42.563 --> 00:06:43.283]  Okay, folks.
[00:06:43.383 --> 00:06:47.545]  We are live, and it is December 14th, 2008.
[00:06:47.585 --> 00:06:59.108]  We're getting into genetically modified foods, melamine in the milk, lead and other toxic poisons, and heavy metals in one-third of U.S.
[00:06:59.148 --> 00:07:03.530]  toys, according to CNN, coming up in about 40 minutes.
[00:07:04.630 --> 00:07:07.971]  In the meantime, I want to talk about the state of the economy.
[00:07:08.715 --> 00:07:19.963]  And the militarization of police in the long, continual march in the classical despotism that this country is headed into and is now deeply, deeply into.
[00:07:21.324 --> 00:07:29.330]  A lot of people in different cities across the country have been listening to my radio show for more than 10, 11 years.
[00:07:29.790 --> 00:07:32.071]  Folks in Austin now, I've been on the air for 13 years.
[00:07:33.297 --> 00:07:47.947]  You've heard me constantly talk about, they want to put troops on the streets, they want to confiscate your guns, they're militarizing the police, they're training them that it's an us against them mentality and that the citizens are civilians and the police are paramilitary.
[00:07:50.529 --> 00:07:51.850]  What does all of this mean?
[00:07:52.971 --> 00:07:54.132]  Why is it important?
[00:07:56.474 --> 00:08:16.822]  Well, throughout history in other nations and in modern times, when you have troops on the streets, when you have militarized police that always accompanies, not having jury trials, not having due process, having secret arrest, having a very tiny corrupt elite that is feeding on the population.
[00:08:18.642 --> 00:08:22.604]  It's anti-American, anti-liberty, anti-freedom.
[00:08:22.865 --> 00:08:30.689]  There's a reason this nation has always had laws against the military being used against the people, because the military attacks an enemy.
[00:08:31.150 --> 00:08:34.672]  The military kills people and breaks things.
[00:08:35.732 --> 00:08:45.238]  And I discovered back in the mid and late 1990s that there were covert operations going on all over the United States
[00:08:46.480 --> 00:09:14.137]  uh... with the marine corps and the army regular marines regular army the regulars secretly dressing up in police uniforms swat teaming gun dealers going after drug dealers uh... and then by the late nineties there were all sorts of bizarre military checkpoints with the army national guard marine corps out illegally searching citizens vehicles and whenever we would show up or the media would show up even mainstream media they'd say oh okay it was just a drill
[00:09:14.937 --> 00:09:16.718]  But they would be there actually arresting people.
[00:09:17.639 --> 00:09:20.401]  So there's been this huge secret operation.
[00:09:20.461 --> 00:09:25.104]  Now, none of it is now secret because it's about to go completely mainstream.
[00:09:25.124 --> 00:09:27.385]  And a lot of people hoped, well that was just George Bush.
[00:09:27.405 --> 00:09:33.829]  You know, he was a tyrant, a right-winger, and it's all going to go away once Obama gets into office.
[00:09:33.870 --> 00:09:43.736]  Well, it doesn't matter whether it's Jimmy Carter or Ronald Reagan or George Bush Sr., Bush 41, or Bill Clinton, or Bush 43, or Barack H. Obama.
[00:09:44.378 --> 00:09:56.154]  They are literally ceremonial front men for the foreign banks, the foreign corporations that did a hostile takeover of our federal government and of the states decades ago.
[00:09:57.029 --> 00:10:00.193]  And they've now orchestrated the collapse of our economy by design.
[00:10:00.233 --> 00:10:01.214]  We have their own documents.
[00:10:01.254 --> 00:10:05.298]  We've written about it and posted them on InfoWars.com and PrisonPlanet.com.
[00:10:05.699 --> 00:10:18.793]  And so the troops on the streets, that's really a stopgap measure from the legitimate government and the people, the citizens, ever regaining control of the government and punishing the corporate thieves
[00:10:19.293 --> 00:10:26.076]  That have stolen, according to Bloomberg and the San Francisco Chronicle, $8.5 trillion as of a week and a half ago.
[00:10:26.656 --> 00:10:28.737]  That's the last time we got numbers on this.
[00:10:29.317 --> 00:10:37.480]  And this week it came out that Bloomberg, six weeks ago, Bloomberg Financial, had sued to find out where the trillions had gone.
[00:10:38.181 --> 00:10:43.603]  And this week the federal government said, well the Federal Reserve is private
[00:10:44.143 --> 00:10:49.887]  And we have a secret contract with them and so we can't tell you where the 8.5 trillion has gone.
[00:10:51.268 --> 00:10:53.149]  So we're being robbed right now.
[00:10:53.789 --> 00:11:02.895]  And in third world countries, hundreds of times this century, hundreds and hundreds of times last century, but there's already been hundreds of takeovers in the last eight years in the 21st century.
[00:11:04.259 --> 00:11:10.525]  It's the same thing in Nigeria, or the same thing in Argentina, or it's the same thing right now in Iceland, a first world nation.
[00:11:11.086 --> 00:11:20.835]  When the foreign banks, the same group doing the takeover here, implode economy by design so they can consolidate it with the foreign currency they issue themselves.
[00:11:21.972 --> 00:11:32.564]  The people can't resist, and the people are forced by the gunboat diplomacy, as it's called in the encyclopedia, look that up, to go along with the oppression.
[00:11:32.604 --> 00:11:39.152]  So it's neo-colonialism or imperialism, just by a little bit more stealth.
[00:11:40.868 --> 00:11:50.010]  Now, we've all seen troops at sports stadiums, college events, high school events, the Super Bowl, NFL events, the Kentucky Derby, any high-profile event.
[00:11:50.350 --> 00:11:57.292]  And I've told you, and the government admits now, that was to condition the public and acclimate the public to accept troops on the streets of the United States.
[00:11:58.392 --> 00:12:06.814]  And now Barack Obama, signaling the expansion of this, put out an order this week, well now last week,
[00:12:08.343 --> 00:12:33.577]  Saying that for any special event, or any security event, or for environmental reasons, or for DWI checkpoints, not just the police will be out violating the Fourth Amendment, but the Army and the Marines will be with them, the National Guard is abolished and federalized, the governors have no authority as well, and that's been in the Washington Post, that's been on CNN, CBS, they've all reported it, but said it's a good thing and it's to keep you safe.
[00:12:34.057 --> 00:12:36.198]  When you actually read Secretary of Defense Gates'
[00:12:38.060 --> 00:12:39.801]  He says it's already been in place for years.
[00:12:40.061 --> 00:12:49.823]  They're just now announcing it and that the main mission is suppressing the American people during civil insurrection or rioting and they know that's coming.
[00:12:49.843 --> 00:13:05.827]  They've been setting it up for decades because now the Ponzi scheme they engineered is coming to an end and they're going to take your pension funds, they're going to take your 401ks, they're going to take everything you've got, they're going to federalize it and give you about a third of what you're owed and put a tax on the rest of it.
[00:13:07.088 --> 00:13:08.269]  And that's all on record.
[00:13:08.309 --> 00:13:14.655]  It's all posted at InfoWars.com and PrisonPlanet.com right now.
[00:13:14.875 --> 00:13:19.960]  It's all right there for anybody and everybody that wishes to look at it.
[00:13:20.200 --> 00:13:24.424]  For anybody and everybody that wishes to go check that out for themselves.
[00:13:25.625 --> 00:13:26.986]  Why do I bring this up now?
[00:13:28.487 --> 00:13:31.170]  Well, in
[00:13:32.014 --> 00:13:44.377]  Sam Bernardino, California, outside 29 Palms Marine Corps Base, and I saw this in their local news, and I called today and confirmed it, and Curt Nemo at Infowars.com is doing a report on it.
[00:13:45.126 --> 00:13:56.409]  The 29 Palms Marines are starting two days ago, starting on Friday, just indefinitely now, will be out on the highways running checkpoints for DWIs.
[00:13:56.569 --> 00:13:57.929]  Now again, stop the drunks.
[00:13:58.309 --> 00:13:59.289]  Yeah, let's use the Army.
[00:13:59.829 --> 00:14:03.850]  Again, this is for PR purposes to prepare you to have regular checkpoints.
[00:14:04.110 --> 00:14:12.212]  Remember Rick Perry announced in Texas a month ago, warrantless random checkpoints to check driver's license and insurance, but the illegal aliens are going to be exempt from it.
[00:14:12.934 --> 00:14:14.936]  And that even came out in the Houston Chronicle.
[00:14:14.976 --> 00:14:17.117]  They said, don't worry, we're not going to deport illegals.
[00:14:17.137 --> 00:14:18.078]  This is for everybody.
[00:14:18.678 --> 00:14:21.700]  These are domestic, internal, Soviet or Nazi style.
[00:14:21.720 --> 00:14:31.728]  180 degrees the opposite of what this country has been founded on.
[00:14:32.328 --> 00:14:36.371]  What this nation is all about.
[00:14:37.031 --> 00:14:39.933]  So we have that report up on InfoWars.com.
[00:14:41.713 --> 00:14:52.775]  And we have other links to stories showing the military at high school and college football games searching small children, the children learning that men in uniforms stop you and search your little bag.
[00:14:56.135 --> 00:14:57.936]  Now, a lot of people say, so what?
[00:14:57.976 --> 00:14:58.876]  Let troops be on the streets.
[00:14:58.916 --> 00:15:07.297]  Well, again, historically and currently, that's being done so they can have an economic consolidation and vertical integration.
[00:15:08.017 --> 00:15:09.658]  And this will target everyone.
[00:15:09.698 --> 00:15:10.818]  And the financial interest
[00:15:12.210 --> 00:15:16.813]  Now in control of our nation, are anti-american.
[00:15:17.134 --> 00:15:18.475]  They do not like the United States.
[00:15:18.495 --> 00:15:20.256]  They want to get rid of it.
[00:15:20.316 --> 00:15:22.698]  They want to abolish it.
[00:15:23.238 --> 00:15:31.724]  And when the Marines were interviewed by the local news talk station, we have links to that, 107 FM.
[00:15:32.825 --> 00:15:36.828]  When they were interviewed by the local station, they said, yeah, we don't know if it's legal, but we've been ordered to do it.
[00:15:37.492 --> 00:15:38.973]  So, we are doing it.
[00:15:38.993 --> 00:15:40.774]  Of course, it's 29 Palms.
[00:15:40.814 --> 00:15:44.817]  We're back in the 90s, the Marines were asked, will you confiscate Americans' guns?
[00:15:44.857 --> 00:15:45.798]  Will you fire on them?
[00:15:46.859 --> 00:15:52.042]  And so it's been a slow twisting to the dark side, a slow mutation of the police and military.
[00:15:52.663 --> 00:15:54.924]  Oh, by the way, the police and the Marines will be together.
[00:15:55.825 --> 00:15:58.967]  So this is the military being turned against the American people.
[00:15:59.347 --> 00:16:03.210]  Classical tyranny from Rome to Nazi Germany, but now the U.S.
[00:16:04.614 --> 00:16:14.718]  With food prices soaring to all-time highs, as the dollar continues to fall in value, what can you and your family do to guarantee that fresh, nutritious vegetables will make it to your dinner table?
[00:16:15.178 --> 00:16:16.239]  Garden in a can.
[00:16:16.599 --> 00:16:20.180]  Garden in a can is your source for premium, long-term, storable seeds.
[00:16:20.740 --> 00:16:22.521]  Garden in a can is ready when you are.
[00:16:22.761 --> 00:16:25.062]  Plant them now or store them for when you really need them.
[00:16:25.522 --> 00:16:34.538]  There are 16 large hermetically sealed non-hybrid open pollinated packets of seeds along with detailed planting instructions sealed in a can for ultimate long-term protection.
[00:16:35.200 --> 00:16:36.220]  Garden in a Can.
[00:16:36.621 --> 00:16:37.481]  It's that simple.
[00:16:37.821 --> 00:16:39.702]  Fresh, healthy, easy.
[00:16:40.222 --> 00:16:44.183]  Only $69.95 for over a half acre of safe fresh vegetables.
[00:16:44.563 --> 00:16:45.484]  Ready when you are.
[00:16:46.144 --> 00:16:49.765]  Stop procrastinating and start preparing with Garden in a Can.
[00:16:50.205 --> 00:16:53.307]  For more details visit GardenInACan.com today.
[00:16:53.707 --> 00:16:56.228]  That's GardenInACan.com or call 866-598-7396.
[00:16:56.248 --> 00:16:56.288]  866-598-7396.
[00:17:04.093 --> 00:17:06.033]  Hi, John Huebner from Midas Resources.
[00:17:06.293 --> 00:17:08.914]  Are you tired of watching your hard-earned assets dwindle away?
[00:17:09.234 --> 00:17:17.536]  As government spending is out of hand and the Federal Reserve is creating in excess of $20 billion a week, are you tired of stockbrokers gambling away your hard-earned money?
[00:17:17.836 --> 00:17:20.656]  Is this market a setup for a crash greater than 1987?
[00:17:21.497 --> 00:17:24.717]  Too many of today's policies resemble those that led to the collapse of 1929.
[00:17:26.038 --> 00:17:27.618]  How much are you willing to lose?
[00:17:28.018 --> 00:17:28.938]  Take action now!
[00:17:29.078 --> 00:17:33.220]  Call me at 1-800-686-2237, extension 129.
[00:17:33.900 --> 00:17:37.641]  I believe that we are facing a financial catastrophe of biblical proportion.
[00:17:37.881 --> 00:17:41.082]  Over recent decades, numerous economic systems have failed.
[00:17:41.202 --> 00:17:47.644]  Current Federal Reserve policy and uncontrolled government spending have set the stage for the United States to be the next target.
[00:17:47.924 --> 00:17:50.305]  Secure your assets today by calling 1-800-686-2237 extension 129.
[00:17:50.425 --> 00:17:51.686]  Do this while paper can still buy gold.
[00:17:51.706 --> 00:17:52.926]  Call me, John Huebner, at 1-800-686-2237 extension 129.
[00:18:05.107 --> 00:18:07.849]  Can't decide what to give your friends and family this Christmas?
[00:18:08.430 --> 00:18:14.195]  Why not give them the most unique gift available by helping them protect their credit card numbers and personal information from thieves?
[00:18:14.476 --> 00:18:19.881]  There are now millions of credit cards, debit cards, and passports in circulation that contain an RFID chip.
[00:18:20.041 --> 00:18:25.486]  These new cards and passports make transactions a breeze, but introduce a new threat to your personal information.
[00:18:25.706 --> 00:18:28.768]  These cards can be read while still in your wallet or purse.
[00:18:29.028 --> 00:18:34.310]  So, this Christmas, give your friends and family a pack of Secure Sleeves from Identity Stronghold.
[00:18:34.330 --> 00:18:43.335]  Our radio-blocking Secure Sleeves block the signals needed to read the RFID chip inside their new credit cards and passports, keeping their personal data safe and secure.
[00:18:43.615 --> 00:18:46.076]  You can buy them on the web at www.idstronghold.com.
[00:18:46.096 --> 00:18:47.297]  That's www.idstronghold.com.
[00:18:47.337 --> 00:18:48.777]  Or call toll free 800-610-2770.
[00:18:48.797 --> 00:18:48.877]  800-610-2770.
[00:18:48.957 --> 00:18:51.278]  Order now and get them in time for Christmas.
[00:18:51.378 --> 00:18:52.559]  Go to idstronghold.com today.
[00:19:04.344 --> 00:19:06.685]  What will you do when the economy collapses?
[00:19:06.865 --> 00:19:09.647]  Store shelves are empty and your stored food is gone.
[00:19:09.827 --> 00:19:11.508]  How will you feed your family?
[00:19:11.668 --> 00:19:18.812]  True self-sufficiency and peace of mind is being able to grow a wide range of crops, ensuring a well-balanced diet for your family.
[00:19:19.012 --> 00:19:24.975]  GetSeeds.net is offering 100 different varieties of GM-free vegetable seeds for only $49 with free shipping.
[00:19:26.476 --> 00:19:28.796]  You get over 14,000 seeds for only $49.
[00:19:30.017 --> 00:19:41.719]  We offer a complete range of seeds, including heirloom tomatoes, old-fashioned beans, carrots, sweet corn, peppers, cucumbers, celery, broccoli, onions, cauliflower, asparagus, spinach, melons, and a whole lot more.
[00:19:41.839 --> 00:19:45.960]  This is one of the finest, most affordable seed offers that is on the market today.
[00:19:46.080 --> 00:19:50.721]  Variety in your garden means a diverse and healthy diet for your family year-round.
[00:19:50.841 --> 00:19:53.322]  So go to GetSeeds.net or call 1-877-394-SEEDS.
[00:19:55.282 --> 00:19:58.164]  You're listening to GCN, the Genesis Communications Radio Network.
[00:20:24.747 --> 00:20:26.527]  Let me break this down again for people.
[00:20:26.547 --> 00:20:33.389]  You know, it's fun for some to sit back and laugh at the Iraqis, a million and a half dead in the last five and a half years.
[00:20:34.109 --> 00:20:37.370]  It's fun to laugh at the brown people and say, yeah, kill them troops, kill them.
[00:20:37.390 --> 00:20:38.110]  We're America.
[00:20:38.430 --> 00:20:38.950]  We're big.
[00:20:38.970 --> 00:20:39.571]  We're bad.
[00:20:39.591 --> 00:20:41.431]  Well, this isn't America.
[00:20:41.471 --> 00:20:48.793]  The United States has been seized by foreign financial institutions and is being used as an engine to dominate the planet.
[00:20:48.833 --> 00:20:49.873]  And now they're done with us.
[00:20:50.839 --> 00:20:51.640]  Let me explain again.
[00:20:51.660 --> 00:21:09.920]  8.5 trillion dollars, $8,500,000,000 has been stolen so far that we know of, and the Federal Reserve has told Congress, has told media institutions and others, we run this country and we don't have to tell you where it went.
[00:21:11.258 --> 00:21:18.201]  Also, the New York Times reported on Thursday the Federal Reserve is going to start issuing its own Treasury bills, but it'll be Federal Reserve bills.
[00:21:18.661 --> 00:21:26.265]  So they are openly becoming the government and announcing you will pay your carbon taxes, your environmental taxes, to an international board.
[00:21:27.514 --> 00:21:43.267]  The Financial Times of London last Tuesday ran the headline, and now for world government, and their foreign affairs editor, Mr. Reikman, bragged that, yes, we've been setting up world government in secret, now we're unleashing it, and we're going to take over the planet, we control everything.
[00:21:43.982 --> 00:21:50.705]  That's how proud they are, and he said, yes, it's anti-democratic, it's not freedom, but this is what you need.
[00:21:51.205 --> 00:22:06.751]  Then he went on to say, but we'll save you from the financial crisis, which the very banks engineered, and don't worry, we'll save you from global warming, we'll tax you, and don't worry, we'll save you from terrorism, which the New World Order is funding and financing and allowing to happen, and in many cases staging themselves.
[00:22:06.771 --> 00:22:09.712]  But understand, all these years you heard me talk about
[00:22:10.416 --> 00:22:33.110]  how they would do this and now it's happening and remember two months ago the Army Times comes out interview with Secretary of Defense Gates and they say this is 20,000 troops on the streets of the United States to start with and they are to fight terror and fight civil insurrection and rioting and they behave like it just now began
[00:22:33.590 --> 00:22:44.112]  But if you read the 400-plus page report Gates put out, the Pentagon put out in its 50-page cover sheet on it, he says, hey, this has already been implemented years ago secretly.
[00:22:44.472 --> 00:22:46.833]  We're now just unveiling this to the public.
[00:22:46.913 --> 00:22:58.855]  So, the military, with the police, secretly merging and secretly surveilling senators, congressmen, legislators, local city leaders,
[00:23:00.442 --> 00:23:02.404]  This is total federalization.
[00:23:02.464 --> 00:23:03.685]  This is total control.
[00:23:03.986 --> 00:23:06.208]  And the feds are internationally controlled.
[00:23:06.528 --> 00:23:10.131]  So this is a hostile corporate takeover of the United States.
[00:23:10.171 --> 00:23:11.753]  And this is not my opinion.
[00:23:12.253 --> 00:23:18.840]  Hundreds of newspapers have announced in the last two months that world government is openly being unveiled.
[00:23:18.900 --> 00:23:20.842]  It was already set up covertly.
[00:23:21.262 --> 00:23:22.243]  They are bragging.
[00:23:23.115 --> 00:23:28.317]  Now you will not hear the mainline liberals though and US TV still say it doesn't exist.
[00:23:28.417 --> 00:23:33.280]  ABC News reported yesterday none of it exists and that we are quote mentally ill.
[00:23:33.580 --> 00:23:35.841]  We have a link to that story up on InfoWars.com.
[00:23:36.101 --> 00:23:45.325]  So if I read the Financial Times of London or the Wall Street Journal saying yes world government's good, yes we set it up covertly because it scares stupid American gun owners.
[00:23:45.705 --> 00:23:49.187]  That's actually in the Financial Times of London.
[00:23:49.447 --> 00:23:51.068]  They say yes we lied.
[00:23:51.568 --> 00:23:57.174]  Yes, we covered it up because you're too stupid to know you need tyrannical world government.
[00:23:58.595 --> 00:23:59.576]  We know what's best.
[00:23:59.636 --> 00:24:00.377]  We're the elite.
[00:24:00.457 --> 00:24:01.638]  And what are the elite doing?
[00:24:02.299 --> 00:24:04.781]  They got control under the National Security Dictatorship.
[00:24:05.362 --> 00:24:07.784]  They staged the terror attacks to sell the police state.
[00:24:08.385 --> 00:24:11.286]  Now the average cop or military person even means well.
[00:24:11.326 --> 00:24:12.606]  They've been slowly brainwashed.
[00:24:12.846 --> 00:24:17.648]  They've been ordered in cadet school for 30 years under federal grants to say it's us against them.
[00:24:17.688 --> 00:24:18.508]  They're all against you.
[00:24:18.528 --> 00:24:19.648]  The people all hate you.
[00:24:20.088 --> 00:24:21.069]  They're civilians.
[00:24:21.109 --> 00:24:22.209]  You're paramilitary.
[00:24:22.849 --> 00:24:33.012]  All of this brainwashing from the police and sheriff's deputies being creatures of the local county and city with the people, the guardians, to being law enforcement.
[00:24:33.372 --> 00:24:36.093]  No more protect and serve, but to dominate.
[00:24:36.133 --> 00:24:37.053]  And here's another one.
[00:24:37.975 --> 00:24:39.997]  Posse Comitatus has not been repealed.
[00:24:41.158 --> 00:24:45.361]  So every time the police go out with the military, the military and the police are engaging in felonies.
[00:24:46.142 --> 00:24:47.343]  And I had the head of the St.
[00:24:47.383 --> 00:24:59.332]  Mary's Law School Center on Terrorism on just a week ago or so on the show, the weekday show, and he admitted that it is illegal.
[00:25:00.714 --> 00:25:00.994]  Okay?
[00:25:01.810 --> 00:25:02.991]  It is all illegal.
[00:25:03.131 --> 00:25:06.413]  So your law enforcement will enforce on yourself.
[00:25:06.974 --> 00:25:13.779]  And this Marine Corps captain is in the article saying, yeah, we don't know if it's legal, but we've been told to do it, so we're doing it.
[00:25:13.799 --> 00:25:16.000]  And by the way, drunk drivers are bad.
[00:25:16.581 --> 00:25:22.205]  Folks, when you read the Army Times, they say that it'll be for fighting the American people and PR
[00:25:24.292 --> 00:25:28.353]  Helping at car wrecks and DWIs with the jaws of life.
[00:25:28.873 --> 00:25:30.594]  As if the firemen or police couldn't do that.
[00:25:30.614 --> 00:25:33.715]  See, oh, well you're not against the army on all the local newscasts.
[00:25:33.975 --> 00:25:37.796]  They're here, the girl was trapped in the car and they helped.
[00:25:38.236 --> 00:25:42.637]  This is a military psy-op to prepare you and to condition you.
[00:25:42.657 --> 00:25:45.678]  That's why they had thousands of drills to take over our country.
[00:25:48.619 --> 00:25:50.959]  Now I'm going to get into something we can do something about.
[00:25:50.999 --> 00:25:52.820]  We can do something about the militarization.
[00:25:52.920 --> 00:25:53.420]  Educating
[00:25:54.239 --> 00:26:00.041]  Educating our city leaders, state leaders, exposing the fact that this is criminal, showing how historically it's tyranny.
[00:26:00.741 --> 00:26:08.023]  But with the GMO and the toxins in the food, that's something we can demand change on and even with our own purchases, vote with our dollars and change.
[00:26:08.043 --> 00:26:12.124]  We're going to cover that and take your calls on a lot of other issues coming up.
[00:26:12.164 --> 00:26:13.044]  We have a guest coming up.
[00:26:13.504 --> 00:26:17.405]  But look, I've said this many times, I'll say it again.
[00:26:18.994 --> 00:26:30.339]  I heard about this stuff and so I went to some of these events and I got called by police sources and emergency managers and police chiefs in Texas that heard my radio show and knew that I was telling the truth and they would tip me off.
[00:26:31.379 --> 00:26:45.405]  And I've been there and I've witnessed the Army, the Marines, and I've had listeners all over the country send me footage as well where you'll read in the paper, oh the Marines were doing drills in the city today to fight in Iraq or to fight in Serbia or to fight in Macedonia.
[00:26:45.965 --> 00:26:47.445]  Or to fight here or there.
[00:26:47.786 --> 00:26:52.947]  And then I would go to the event, or my listeners would go to the event, and the Marines would walk over with guns and say, turn your camera off.
