[00:00:00.009 --> 00:00:01.789]  Thank you for listening to GCA.
[00:06:59.469 --> 00:07:06.674]  DebtCrisisSolutions.com specializes in credit report restoration, preventing wage garnishment and bank levies, liens, and judgments.
[00:07:07.074 --> 00:07:09.175]  Doing nothing doesn't make the debt go away.
[00:07:09.375 --> 00:07:11.936]  Become debt-free in 90 days, guaranteed!
[00:07:12.136 --> 00:07:15.137]  Call Debt Crisis Solutions now for a free consultation at 718-615-0123.
[00:07:15.177 --> 00:07:15.597]  That's 718-615-0123.
[00:07:15.677 --> 00:07:17.798]  Or visit them online at DebtCrisisSolutions.com.
[00:07:17.838 --> 00:07:19.138]  That's DebtCrisisSolutions.com today!
[00:07:29.262 --> 00:07:32.906]  Everyone knows that omega-3 should be an essential part of our daily diet.
[00:07:32.966 --> 00:07:38.631]  With so many different methods of consumption, how do you choose a simple yet effective way to get your daily intake?
[00:07:38.711 --> 00:07:42.755]  The friendly, knowledgeable folks at North American Nutrition have the answer.
[00:07:43.055 --> 00:07:45.357]  Nature's gem, premium omega-3.
[00:07:45.517 --> 00:07:49.821]  Unlike other flaxseed, our golden flax is grown on our farm in northern Minnesota.
[00:07:49.821 --> 00:07:50.601]  We're good to go!
[00:08:14.492 --> 00:08:16.835]  We offer a 100% money-back guarantee.
[00:08:16.935 --> 00:08:23.122]  Order Nature's Gem Premium Golden Flax today at GoldenFlax.com, GoldenFLAX.com, or call 800-387-5516.
[00:08:23.202 --> 00:08:23.383]  That's 800-387-5516.
[00:08:23.403 --> 00:08:24.264]  Free shipping included.
[00:08:24.404 --> 00:08:25.505]  Alex Jones, on the GCN Radio Network.
[00:08:39.411 --> 00:08:45.376]  The next hour and 52 minutes, we're joined by David Icke, who is in the United States and California.
[00:08:45.797 --> 00:08:49.640]  He had several events with more than 2,000 people showing up to just one of them.
[00:08:50.701 --> 00:08:53.664]  And we have the same type thing happen.
[00:08:53.684 --> 00:08:56.967]  We have an event, 1,200, 2,000 show up.
[00:08:57.147 --> 00:08:58.388]  It is just incredible.
[00:08:59.429 --> 00:09:01.571]  And this is only being done through the alternative media.
[00:09:01.611 --> 00:09:04.054]  So while we see the stock market plunging
[00:09:05.571 --> 00:09:10.570]  uh... six hundred plus points today after the bankers got their empowerment immunity takeover bill
[00:09:12.051 --> 00:09:28.582]  Understand, at least the good news is thousands to one, according to members of Congress, phone calls against it last week, even after the White House said, depression, depression, and then didn't have the Plunge Protection Team prop up the market last Monday when it went down over a trillion dollars.
[00:09:28.602 --> 00:09:32.884]  Well, the same thing's happened today, after the bankers got their power, because this is part of a consolidation.
[00:09:33.184 --> 00:09:35.346]  And David Eisenhower talked about that, he's been writing about that for
[00:09:35.786 --> 00:09:42.713]  Plus 20 years, how the main power of the New World Order in the physical realm is their banking fraud, their fractional reserve system.
[00:09:43.093 --> 00:09:49.659]  But I want to first talk, the man who needs no introduction, about the incredibly positive thing.
[00:09:49.699 --> 00:09:55.865]  Because as the enemy moves against us, as they try to destroy the middle class and slave the people so they've got to go to the government for their food,
[00:09:57.106 --> 00:10:07.010]  So that there can be a financial collapse, riots in the streets, so they can use the military on us as they're now announcing in mainstream news to be the saviors, so we accept a militarized banana boat economy.
[00:10:07.631 --> 00:10:16.114]  The positive news that, this isn't hype when I say it, there is an awakening so huge it dwarfs anything a month ago, or anything a year ago.
[00:10:16.134 --> 00:10:17.095]  It is exponential.
[00:10:17.155 --> 00:10:17.695]  Here's an example.
[00:10:18.215 --> 00:10:19.817]  We call up Chuck Norris to come on the show.
[00:10:19.857 --> 00:10:20.338]  Never tried.
[00:10:20.718 --> 00:10:21.859]  He goes, oh, I'm a huge fan.
[00:10:21.879 --> 00:10:22.660]  I listen all the time.
[00:10:22.700 --> 00:10:23.381]  I want to come on.
[00:10:23.661 --> 00:10:30.749]  He comes on, endorses Ron Paul, moves away from the neocons, and says on air he agrees with everything I'm talking about.
[00:10:31.250 --> 00:10:32.652]  I mean, again, Bruce Willis.
[00:10:33.072 --> 00:10:37.476]  goes public and says I'm no longer a neocon, I know there's a new world order, a false reality.
[00:10:37.716 --> 00:10:39.758]  They're losing all their main icons.
[00:10:39.858 --> 00:10:48.466]  On the left, the left is waking up and breaking the paradigm and breaking the controlled tiny box reality and seeing the wider universe around them.
[00:10:48.886 --> 00:10:53.510]  So there is a consciousness shift in information analysis and it is the hundredth monkey.
[00:10:53.530 --> 00:10:54.651]  There is a group consciousness.
[00:10:55.032 --> 00:10:55.292]  It is
[00:10:55.752 --> 00:10:56.673]  It is spreading.
[00:10:56.693 --> 00:10:57.534]  It is happening.
[00:10:57.574 --> 00:10:58.755]  It is a mass awareness.
[00:10:59.396 --> 00:11:00.517]  And it is beautiful.
[00:11:00.997 --> 00:11:02.999]  And so out of this adversity, it's going to get bad.
[00:11:03.019 --> 00:11:03.800]  We're going to be tested.
[00:11:04.160 --> 00:11:07.984]  Realize that this is evil trying to maintain control.
[00:11:08.385 --> 00:11:15.812]  David Icke, after a very successful tour, which thousands and thousands came out to see in California, we welcome you to the airwaves.
[00:11:16.212 --> 00:11:16.693]  Thank you, Alex.
[00:11:17.768 --> 00:11:18.628]  Sir, you've got the floor.
[00:11:18.668 --> 00:11:26.532]  Let's break down the shift, what's happening, the positive, and then get into your analysis on the banking global takeover, then we'll get into the nature of reality itself.
[00:11:27.352 --> 00:11:41.378]  Well, the thing is, Alex, that I've been a kind of barometer of this because I've been doing it for so long, and when I started talking about these things in Britain in the early 1990s, well, it was just extraordinary the scale of
[00:11:42.214 --> 00:11:48.124]  uh... abuse and uh... and ridicule that came my way but as the years have passed uh... died
[00:11:49.698 --> 00:12:13.935]  uh... gradually change and then since 9-11 and another shift after the invasion of iraq i've seen it explode and what we're seeing now is something i talked about a long time ago when something is uh... covertly manipulating along a road to change society in a certain way there comes a point where it has to break the surface where it can be seen because that
[00:12:14.620 --> 00:12:15.441]  We're good to go.
[00:12:42.139 --> 00:12:44.720]  There's a consciousness awakening as well, very clearly.
[00:12:44.760 --> 00:12:51.222]  People are waking up and expanding their consciousness on a scale never before in a time that I've known anyway.
[00:12:51.743 --> 00:12:57.945]  And together it's bringing people to a state of awareness where they are seeing
[00:12:58.779 --> 00:13:00.920]  What is actually happening now?
[00:13:00.960 --> 00:13:02.801]  We need to go to the next stage now.
[00:13:03.181 --> 00:13:06.363]  People are coming out listening to this information in vast numbers.
[00:13:06.383 --> 00:13:08.924]  They're listening to programs like yours in vast numbers.
[00:13:09.324 --> 00:13:24.332]  What we need to do now is start to get together, drop the fault lines between left and right and center and progressives and all this other stuff and religion and all the rest of it and come together and cross the street and start engaging with this system.
[00:13:24.912 --> 00:13:26.733]  And by engaging, ironically, I mean
[00:13:27.513 --> 00:13:41.103]  Disengaging with it, ceasing to allow it to enslave us, ceasing to cooperate with our own enslavement, because as I talked about last time I was on the show, there are six billion people plus now being manipulated.
[00:13:41.163 --> 00:13:44.946]  There is, at the core, a relative handful doing the manipulating.
[00:13:45.086 --> 00:13:55.013]  I see a way out of this, but we have to come together, and it's starting, and I'm extremely optimistic, because now we're in this window of time where
[00:13:56.002 --> 00:13:59.106]  The problem is they're blatantly in front of us.
[00:13:59.126 --> 00:14:08.918]  The game is more and more blatantly in front of us, and that is engaging and focusing people to the understanding that doing nothing is no longer an option.
[00:14:09.139 --> 00:14:10.821]  It's a great time of opportunity, this.
[00:14:11.920 --> 00:14:26.455]  And they only are able to control us by us ourselves, keeping ourselves in that box, in self-regulating to where we're afraid to speak up, or afraid to talk to neighbors, and so we just go and watch the television.
[00:14:27.215 --> 00:14:29.197]  But again, that is starting to break up.
[00:14:29.338 --> 00:14:32.481]  That is starting to shift, and it's so beautiful to see.
[00:14:32.981 --> 00:14:53.300]  Before we get into the larger shifts in society and how there's only probably less than a hundred global masterminds, a few thousand technicians under them who really get the full structure of the New World Order, there are tens of millions worldwide who have organically reverse-engineered what they're doing to a stunning level.
[00:14:53.320 --> 00:14:54.742]  We're able to predict what they're going to do.
[00:14:55.742 --> 00:15:02.604]  And that's really starting to threaten them, and that's why they're talking about bringing in total dictatorial martial law to try to suppress it.
[00:15:03.004 --> 00:15:05.464]  I see that act of desperation as a huge failure.
[00:15:05.724 --> 00:15:15.726]  But let's get into the economics first, and break down what we're seeing with the banker takeover, how they're proposing a world banking system out of the crisis they created.
[00:15:20.223 --> 00:15:35.119]  I've been so focused on everything that I've been traveling and moving constantly for about 10 days, two weeks, but I have heard the idea that this banking crisis is like bad for the bankers and is not what they wanted.
[00:15:36.002 --> 00:15:38.524]  We've got to understand a few things.
[00:15:38.584 --> 00:15:44.910]  First of all, the people who are manipulating the banking system do not own just the banks.
[00:15:44.970 --> 00:15:45.931]  They own the game.
[00:15:45.971 --> 00:15:46.771]  They own the system.
[00:15:47.292 --> 00:15:55.139]  Now, if you own football, it doesn't matter if one team beats another team or another team beats the other team, because you own the game.
[00:15:55.179 --> 00:15:55.959]  You can't lose.
[00:15:56.600 --> 00:15:57.581]  So, just because
[00:15:58.371 --> 00:16:04.775]  Merrill Lynch is absorbed by the Bank of America or this bank that goes down and its clientele is taken over by this bank.
[00:16:05.175 --> 00:16:12.019]  It doesn't matter because the names on the doors are changing, the masks on the face are changing, but you own the game!
[00:16:12.079 --> 00:16:13.200]  Those are just cutouts!
[00:16:13.740 --> 00:16:14.240]  Exactly!
[00:16:14.540 --> 00:16:20.804]  And if you own the game, you can manipulate the game because you're controlling the rules of the game.
[00:16:21.244 --> 00:16:22.445]  So what we're looking at is
[00:16:23.206 --> 00:16:27.429]  And this has been long predicted, and this is one of the real powerful things, Alex, at this time.
[00:16:28.570 --> 00:16:45.181]  And why it was so important to get this information out about the game and how it's played and what the goals are over the years gone by, because that gives credibility when people look at it and say, hold on a second, this was predicted, this is not just happening now.
[00:16:45.821 --> 00:16:48.303]  And this really does start to take power from
[00:16:48.984 --> 00:16:54.094]  Uh, the way they manipulate, giving us the impression that, oh no, this is just a problem that's just come out of nothing.
[00:16:54.134 --> 00:16:54.535]  No, no, no.
[00:16:54.615 --> 00:16:56.920]  It's been planned for years, and the plan is...
[00:16:57.739 --> 00:17:07.166]  For a centralization of power in every area of our lives and every area of global society including politics, business and all the rest of it.
[00:17:07.206 --> 00:17:09.088]  Now crucial to that is banking.
[00:17:09.708 --> 00:17:19.516]  They want a world central bank that dictates to the whole of the global financial system, the whole of the global banking industry and their families are going to control that.
[00:17:19.536 --> 00:17:20.236]  That's the idea.
[00:17:22.243 --> 00:17:25.965]  Diversity is the worst nightmare of the dictator.
[00:17:25.985 --> 00:17:36.251]  You look at any tyranny, if you want to centralize power, it's no good having lots and lots of points of decision-making and diversity of decision-making because you can't centrally control that.
[00:17:36.871 --> 00:17:39.753]  And just look at the way society's gone through the centuries.
[00:17:40.373 --> 00:17:41.554]  It's exactly the same way.
[00:17:41.674 --> 00:17:43.455]  Centralization of power constantly.
[00:17:43.895 --> 00:17:50.359]  Because you can only control from the center in the hands of a few if your center holds the power that affects
[00:17:51.019 --> 00:17:51.540]  I think so.
[00:18:09.634 --> 00:18:14.856]  A power you want to remove as much as you can, the number of names, the number of, the amount of diversity.
[00:18:14.956 --> 00:18:32.422]  And that's why the high-level private central banks that are not your regular Main Street banks issued over a thousand trillion liquidity to other banks and institutions and changed the rules so they could sell derivatives and get into all this fraud because now the elite above get to orchestrate the consolidation.
[00:18:32.482 --> 00:18:33.983]  They get to send down the regulators.
[00:18:34.263 --> 00:18:36.304]  They get to send the tax money to the central
[00:18:37.085 --> 00:18:37.285]  I think?
[00:18:53.865 --> 00:18:59.807]  The Financial Times of London said, actually, this is good for a few megabanks, and they're the ones that changed the rules.
[00:19:00.167 --> 00:19:03.848]  Meanwhile, you have all these people in alternative media running around saying, oh no, it's an accident.
[00:19:04.108 --> 00:19:04.648]  It's an accident.
[00:19:04.688 --> 00:19:21.213]  It's key for the establishment, the controllers, to sell that lie, so they don't get the blame for what they've orchestrated, so they can play the part of the savior, setting up the World Banking Cartel, which we buy carbon credits from, which are a tax on human breathing,
[00:19:21.793 --> 00:19:31.002]  Not all the real environmental problems we have so they can regulate our everyday life with carbon checkpoints and carbon audits of our homes and bureaucracy and one-child policy.
[00:19:31.863 --> 00:19:34.686]  Yeah, you see, this is a big point to get across.
[00:19:35.386 --> 00:19:43.634]  People, and I understand why, because that's what they're led to believe, they see private banks and they see the central banks in the different countries as
[00:19:44.415 --> 00:19:45.176]  I think so.
[00:20:04.057 --> 00:20:07.640]  The World Central Bank, and therefore they will control the system.
[00:20:07.841 --> 00:20:11.664]  The names will be different, but the system will be controlled by them.
[00:20:11.684 --> 00:20:12.144]  That's right.
[00:20:12.204 --> 00:20:13.406]  The system equals control.
[00:20:13.446 --> 00:20:14.246]  That's the whole idea.
[00:20:14.366 --> 00:20:15.968]  David, let's finish up with this topic.
[00:20:15.988 --> 00:20:20.712]  Because one unit all around the world, they move as one unit because they have a central control system.
[00:20:20.732 --> 00:20:21.393]  David, stop there.
[00:20:21.433 --> 00:20:22.374]  Let's back up about a minute.
[00:20:22.394 --> 00:20:24.535]  I want you to be able to finish that point when we come back.
[00:20:24.736 --> 00:20:25.216]  Stay with us.
[00:20:29.628 --> 00:20:33.391]  Drinking a chlorophyll-rich beverage has been found to benefit your entire body.
[00:20:33.611 --> 00:20:41.698]  AlkaVision GreenShield Green Drink is a specifically formulated nutritional supplement, which provides many nutritional elements that are missing from our modern diet.
[00:20:41.998 --> 00:20:46.022]  GreenShield helps neutralize acid in your body and maintains a healthy pH balance.
[00:20:46.262 --> 00:20:51.987]  And having the proper pH balance has been known to balance blood sugar levels, something we can all benefit from.
[00:20:52.267 --> 00:20:55.750]  GreenShield combines the perfect blend of powerful whole food vegetables,
[00:20:56.070 --> 00:21:03.372]  Immune-boosting herbs and grasses, GreenShield does not contain algae, mushrooms or fungi, has no preservatives, artificial colors or flavors.
[00:21:03.693 --> 00:21:06.233]  The powder mixes easily with water and tastes great.
[00:21:06.553 --> 00:21:12.335]  Drinking GreenShield strengthens the immune system and boosts energy, relieves fatigue and stress without the use of stimulants.
[00:21:12.555 --> 00:21:16.857]  Order your AlkaVision GreenShield Green Drink now by going directly to AlkaVision.com.
[00:21:17.077 --> 00:21:20.458]  That's AlkaVision.com today!
[00:21:20.658 --> 00:21:21.138]  Or call 269-344-7000.
[00:21:27.371 --> 00:21:36.135]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[00:21:36.455 --> 00:21:38.456]  The enemy struck America on September 11th.
[00:21:39.096 --> 00:21:40.157]  But who is the enemy?
[00:21:40.657 --> 00:21:41.157]  Bin Laden.
[00:21:41.437 --> 00:21:42.418]  This is his MO.
[00:21:42.438 --> 00:21:43.738]  We have to look to the Middle East.
[00:21:43.778 --> 00:21:45.299]  We have to look to Osama Bin Laden.
[00:21:45.799 --> 00:21:52.546]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[00:21:52.946 --> 00:21:53.407]  Some U.S.
[00:21:53.447 --> 00:21:59.192]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[00:21:59.793 --> 00:22:03.256]  I'm aware that some Israeli citizens have been detained.
[00:22:03.496 --> 00:22:04.216]  The headlines are clear.
[00:22:31.656 --> 00:22:34.259]  The worldwide economic collapse is here.
[00:22:34.680 --> 00:22:37.263]  The military is being positioned for martial law.
[00:22:37.424 --> 00:22:39.466]  The mark of the beast is at hand.
[00:22:39.666 --> 00:22:42.911]  Governments are calling for a new world cashless economic system.
[00:22:42.971 --> 00:22:45.674]  Having a long-term food solution is your only hope.
[00:22:45.734 --> 00:22:46.615]  To stay free.
[00:22:47.636 --> 00:22:51.058]  Now, Survival of Seeds introduces their Escape the Beast Kit.
[00:22:51.298 --> 00:22:54.599]  24 varieties of all-natural, non-genetically modified heirloom seeds.
[00:22:54.659 --> 00:22:57.380]  For true patriots and homesteaders wanting food insurance.
[00:22:57.520 --> 00:23:02.142]  That's over 5 pounds of rare historic seeds for a penny per seed.
[00:23:02.162 --> 00:23:05.303]  15,000 seeds that will feed a family healthy food for 7 years.
[00:23:05.323 --> 00:23:14.427]  Big John Lipska, host of Don't Tread on Me, is including an instructional DVD that will teach you how to earn big money selling the produce from his incredible heirloom seeds back to him.
[00:23:14.487 --> 00:23:16.908]  Restaurants and small delis don't buy from copycats.
[00:23:17.048 --> 00:23:17.308]  We're good.
[00:23:29.515 --> 00:23:32.777]  Silver is mankind's oldest natural antibiotic.
[00:23:32.957 --> 00:23:37.039]  This very special mineral has been used for centuries by most cultures throughout the world.
[00:23:37.199 --> 00:23:48.644]  Utopia, Texas is home to a small but mighty supplement company called Utopia Silver, who offers colloidal products produced in distilled water without use of animal protein, nitrates, or saline solutions.
[00:23:48.864 --> 00:23:54.667]  Because our colloidal silver is made up of nano-sized particles, it can be better utilized at the cellular level.
[00:23:54.947 --> 00:23:55.568]  We're good to go.
[00:24:15.060 --> 00:24:20.003]  All right, folks, we're back live with David Eich, our guest for the Balance of the Radio Show today.
[00:24:20.043 --> 00:24:24.066]  We'll open the phones up towards the end of the show in the next hour.
[00:24:43.220 --> 00:24:48.051]  The key here is that the unprecedented action out in the open of the president
[00:24:48.906 --> 00:24:57.090]  All the major leaders of the two parties, the Treasury Secretary is saying, there's going to be a depression, financial abyss, you've got to pass this Banker Bailout Bill.
[00:24:57.130 --> 00:25:12.477]  And you read the bill, immunity, unlimited power, they can do whatever they want, commit basically any financial crime they want, and it doesn't say $850 billion, doesn't say $700 billion, it says $5 trillion, if you really read the fine print, as Bloomberg Financial and others reported.
[00:25:12.737 --> 00:25:15.599]  So they are the ones terrorizing the market to plunge.
[00:25:16.079 --> 00:25:19.565]  Then they forced through the bill, and last Friday we had the congressman on.
[00:25:19.585 --> 00:25:21.668]  It was on C-SPAN.
[00:25:22.349 --> 00:25:25.394]  They were threatened with physical martial law, David.
[00:25:26.201 --> 00:25:27.682]  I know you've been traveling, you may not know this.
[00:25:27.702 --> 00:25:28.763]  We can play the clip if you want to hear it.
[00:25:29.164 --> 00:25:32.247]  They were threatened with martial law if they didn't pass it.
[00:25:32.267 --> 00:25:36.951]  Now CNN, BBC, Army Times are reporting the Army is to be used during riots.
[00:25:37.311 --> 00:25:39.173]  But again, problem, reaction, solution.
[00:25:39.233 --> 00:25:46.360]  They implode the economy, the welfare checks stop going out, things break down, there's riots, the military saves us, the precedent is set.
[00:25:46.680 --> 00:25:50.604]  So just amazing how they're right out in the open doing all of this, David.
[00:25:51.224 --> 00:26:00.686]  Yeah, because we've reached that point, Alex, where it has to break the surface to become the changes in society that they've been working covertly for for so long.
[00:26:01.266 --> 00:26:09.187]  This is the key, in terms of America, for what's happening on so many levels, in my opinion anyway, and I've been writing this for years.
[00:26:09.907 --> 00:26:14.688]  And what I said was that they're going to use America, or are using America, to destroy America.
[00:26:14.988 --> 00:26:15.268]  Why?
[00:26:15.849 --> 00:26:18.409]  Because they want a world government
[00:26:19.244 --> 00:26:38.571]  A world government cannot possibly have total global power while there's any superpower with massive military and financial might that has, through that, the ability to say to the world government, excuse me, we're not doing that, we're not accepting what you're dictating and telling us to do.
[00:26:39.091 --> 00:26:45.673]  So what they've been doing, and it's been so blatant to me, is that they are using America to destroy America.
[00:26:45.973 --> 00:26:47.174]  First of all, militarily.
[00:26:47.734 --> 00:26:53.396]  They're stretching America all over the place militarily and weakening them on that level.
[00:26:53.676 --> 00:26:57.877]  And now they're attacking the American economy on a massive scale.
[00:26:57.917 --> 00:27:07.979]  And this trillion, as you rightly say, basically open checkbook, so-called bailout, is not designed to solve the crisis.
[00:27:08.099 --> 00:27:09.720]  It's designed to further
[00:27:10.582 --> 00:27:16.626]  Massively undermine the American economy and American financial security.
[00:27:16.966 --> 00:27:19.368]  And who's holding this debt now?
[00:27:20.429 --> 00:27:22.450]  Goodness knows how much more debt that's coming in.
[00:27:22.490 --> 00:27:25.272]  And the debt that's already owed by America.
[00:27:25.332 --> 00:27:27.714]  Not that it is debt, it's money that doesn't exist.
[00:27:28.054 --> 00:27:28.654]  It's a scam.
[00:27:28.874 --> 00:27:32.017]  But people like China are holding massive amounts of this.
[00:27:32.077 --> 00:27:35.559]  And I found it very interesting, you know, that Henry Paulson
[00:27:36.349 --> 00:27:36.829]  I think so.
[00:27:52.296 --> 00:27:52.776]  I think so.
[00:28:08.965 --> 00:28:10.566]  You're going to see the action start.
[00:28:11.206 --> 00:28:15.828]  And what happens when China says, hold on a second, we own we all hold all this debt.
[00:28:16.409 --> 00:28:18.370]  Therefore, you know, you're not paying us back.
[00:28:18.510 --> 00:28:19.810]  You get any more and more trouble.
[00:28:20.111 --> 00:28:22.772]  We want the assets, please, for the debt that we hold.
[00:28:23.752 --> 00:28:27.694]  Then you've got potential for conflict between the two.
[00:28:27.734 --> 00:28:30.296]  And I was told a long time ago that
[00:28:31.136 --> 00:28:41.684]  It's leading to a conflict involving China, the third world war, to bring in finally this whole structure of world government, world central bank, world army, microchip population, world currency, and all the rest of it.
[00:28:42.025 --> 00:28:45.307]  So all these things are moving as one unit.
[00:28:45.427 --> 00:28:48.209]  They appear to be, to most people, unconnected.
[00:28:48.529 --> 00:28:54.494]  As you look at the invasion of Iraq, and Afghanistan, and the finances, all moved by one flow of energy.
[00:28:57.316 --> 00:29:04.945]  That was also meant to demonize the name of the U.S., to put the sins of the new world order on the U.S., like they used the Soviets previously to carry out their dirty work.
[00:29:04.965 --> 00:29:11.292]  They also need a global economic crisis that can be blamed on America to set up their world government.
[00:29:11.612 --> 00:29:17.940]  And now, all over the financial papers the last two weeks, they propose the private banks becoming the world government.
[00:29:18.380 --> 00:29:20.121]  I mean, that is so unbelievable!
[00:29:20.141 --> 00:29:32.665]  I was reading a piece when I was traveling about the head of the IMF saying that the IMF should become the central coordinating, basically, police force for the global banking system.
[00:29:32.685 --> 00:29:40.048]  There's the open suggestion now of this world central bank that we've been talking about for so long.
[00:29:40.628 --> 00:29:43.349]  And so what we're looking at is
[00:29:44.578 --> 00:30:07.410]  Ironically, while America is getting this flag, while America gets the thinker pointed at it, actually, although it's firing the bullets, if you like, in places like Iraq and Afghanistan and what have you, the gun's being loaded in Europe, and there in Europe, you know, in the centre of the secret society web, Europe is basically going, who me?
[00:30:07.470 --> 00:30:09.311]  I've got nothing to do with it, it's America!
[00:30:10.391 --> 00:30:12.333]  Got a break when I come back long segment.
[00:30:12.373 --> 00:30:18.920]  I want to hear your solutions how to combat this now I say expose is really behind it a but what else can we do?
[00:30:19.780 --> 00:30:26.367]  We're on the march the Empire's on the run Alex Jones and the GCN Radio Network
[00:30:29.759 --> 00:30:30.961]  I am so frustrated.
[00:30:31.061 --> 00:30:33.204]  I can't seem to remember anything anymore.
[00:30:33.404 --> 00:30:33.725]  What?
[00:30:33.985 --> 00:30:36.568]  Seriously, my memory and attention span is terrible.
