[00:00:00.209 --> 00:00:01.470]  We're good to go.
[00:03:48.803 --> 00:04:07.692]  I've learned so much from your emails, your comments you post on the PrisonPlanet.com forums, on the InfoWars.com stories, and the InfoWars network where everybody has their own little private MySpace page where you can post your own blogs, videos, articles, really taking off there at InfoWars.com.
[00:04:11.016 --> 00:04:15.698]  In the interest of trying, I've gotten a little better over the last year, but not as good as I'd like.
[00:04:16.198 --> 00:04:19.979]  In the interest of trying, that when I do take calls, I actually go to them.
[00:04:20.779 --> 00:04:30.203]  In the interest of that, I'm going to come back after this break, mention some of the news headlines, and then I'm going to go directly to your calls early in the next segment.
[00:04:31.263 --> 00:04:34.704]  And I want to take 100 phone calls today.
[00:04:35.504 --> 00:04:36.725]  Almost assuredly fail.
[00:04:37.623 --> 00:04:41.604]  But that is a good goal to shoot for.
[00:04:41.624 --> 00:04:42.004]  1-800-259-9231.
[00:04:42.504 --> 00:04:45.225]  Oh, we could get a thousand phone calls.
[00:04:45.865 --> 00:04:47.766]  The question is, will I actually go to them?
[00:04:48.246 --> 00:04:49.986]  Or cut you off in time to go to the next?
[00:04:50.006 --> 00:04:51.307]  We'll be right back.
[00:04:54.308 --> 00:04:55.708]  It is a big idea.
[00:04:55.728 --> 00:04:57.849]  A new world order.
[00:04:58.549 --> 00:05:02.890]  In the near future, Earth is dominated by a powerful world government.
[00:05:03.422 --> 00:05:06.246]  It's known as the Bilderberg Group.
[00:05:06.266 --> 00:05:08.509]  Could their objective be world domination?
[00:05:09.070 --> 00:05:11.513]  For thousands of years, their dark order grew.
[00:05:12.234 --> 00:05:19.564]  Now, as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[00:05:22.588 --> 00:05:27.551]  For the first time in history, the elite's plan for world government is blown wide open.
[00:05:28.032 --> 00:05:31.514]  You will learn the secret that drives the entire New World Order agenda.
[00:05:31.914 --> 00:05:34.416]  Bill of Rights is making great progress toward a world government.
[00:05:34.476 --> 00:05:35.437]  Most people have no idea.
[00:05:35.457 --> 00:05:36.377]  They're not after money.
[00:05:36.397 --> 00:05:37.498]  They have all the money they need.
[00:05:37.698 --> 00:05:38.439]  They're after power.
[00:05:38.679 --> 00:05:39.359]  That's their appetite.
[00:05:39.840 --> 00:05:48.065]  Order In Game on DVD at PrisonPlanet.com or InfoWars.com or watch it online right now at PrisonPlanet.tv.
[00:05:48.205 --> 00:05:48.906]  In Game.
[00:05:49.306 --> 00:05:51.307]  Blueprint for global enslavement.
[00:05:51.347 --> 00:05:52.468]  You have been warned.
[00:05:52.868 --> 00:05:53.468]  Yeah.
[00:05:53.488 --> 00:05:57.770]  Are you fed up with all the side effects of chemicals in your shampoos and detergents?
[00:05:58.010 --> 00:06:02.912]  Even fragrances can signal some 4,000 separate ingredients, most of which are synthetic.
[00:06:03.092 --> 00:06:04.513]  Hi folks, Alex Jones here.
[00:06:04.613 --> 00:06:08.094]  Why not go back to basics and be safe with Calbin Pure Soaps?
[00:06:08.234 --> 00:06:13.376]  They're all natural and you'll save some 85% the money you're spending for your cleaning products now.
[00:06:13.637 --> 00:06:19.399]  Marty Schachter founded Calbin Soap Company in 1947 and provided products for health institutions.
[00:06:19.739 --> 00:06:22.180]  Now, Calvin Soaps are available to you and me.
[00:06:22.240 --> 00:06:24.561]  Triple concentrated for all your cleaning needs.
[00:06:24.781 --> 00:06:26.922]  From bathing and laundry to dishes, hair, and more.
[00:06:27.202 --> 00:06:28.182]  No harsh chemicals.
[00:06:28.402 --> 00:06:29.363]  No animal testing.
[00:06:29.583 --> 00:06:30.903]  I use them and love them.
[00:06:30.923 --> 00:06:32.524]  Knowing they're all naturally safe.
[00:06:32.824 --> 00:06:33.824]  And I save big time.
[00:06:34.225 --> 00:06:35.445]  Call Calvin Pure Soap at 1-800-340-7091.
[00:06:35.465 --> 00:06:35.685]  That's 1-800-340-7091.
[00:06:35.725 --> 00:06:37.306]  Or log on to 5starsoap.com now for a free catalog.
[00:06:45.709 --> 00:06:48.392]  Again, that number 1-800-340-7091 or 5starsoap.com for all your cleaning needs.
[00:06:53.243 --> 00:06:53.903]  It's a fact.
[00:06:54.123 --> 00:07:01.607]  Since the creation of the Federal Reserve in 1913, all banks in these United States create money out of thin air for every single loan they issue.
[00:07:01.728 --> 00:07:10.592]  With never-ending late fees, over-the-limit fees, and higher and higher interest rates, it has become mathematically impossible to repay all debt, making all of us slaves to our creditors.
[00:07:10.852 --> 00:07:21.398]  The Federal Debt Relief System has created a successful, attorney-backed program to legally eliminate credit card debt, personal loans, lines of credit, and other unsecured debts which have been fraudulently created by the banks.
[00:07:21.658 --> 00:07:27.720]  We can terminate your unsecured debt within 18 months with a much lower monthly payment, ending with nothing on your credit report.
[00:07:27.940 --> 00:07:32.942]  Join the thousands of Americans who now breathe with a sigh of relief because they have legally eliminated their debt.
[00:07:33.142 --> 00:07:37.624]  Instead of living each day in fear and frustration, it's time to take action and turn your life around.
[00:07:37.784 --> 00:07:39.584]  Call the Federal Debt Relief System at 877-943-8600.
[00:07:39.644 --> 00:07:39.905]  That's 877-943-8600.
[00:07:39.925 --> 00:07:40.345]  Or visit FDRS.org.
[00:07:40.445 --> 00:07:42.265]  Find out how you can break the cycle of debt slavery.
[00:07:49.508 --> 00:07:52.492]  Visit FDRS.org today.
[00:07:52.512 --> 00:07:56.258]  He's the T-Rex of political talk.
[00:07:56.819 --> 00:07:59.603]  Alex Jones on the GCN Radio Network.
[00:08:11.328 --> 00:08:16.251]  Alright, there's a bold new program going into effect in Boston, raising a lot of eyebrows.
[00:08:16.311 --> 00:08:16.932]  Mine included.
[00:08:16.992 --> 00:08:17.932]  See my eyebrow going up?
[00:08:18.213 --> 00:08:27.139]  Police call it Safe Homes, and it allows officers to enter a person's home and search their kid's bedrooms for guns, all without a warrant.
[00:08:27.699 --> 00:08:32.381]  Parents are free to turn down these searches, assuming they understand that clearly.
[00:08:32.841 --> 00:08:40.244]  Critics say this is a violation of the Constitution, but the Boston Police Department says, hey, we're just trying to make our streets safer.
[00:08:40.344 --> 00:08:41.904]  We're not really trying to arrest people.
[00:08:42.745 --> 00:08:42.965]  Yeah.
[00:08:43.605 --> 00:08:44.906]  Our legal panel here now.
[00:08:44.946 --> 00:08:53.849]  Law professor at Pepperdine University out in beautiful California, Matthew Rosengart, and former Westchester County prosecutor and Fox News legal analyst, Jeanine Perro, joins us.
[00:08:54.449 --> 00:09:08.415]  Alright, you know, Matthew, it's the lawyer in me, but boy, knocking on a door without probable cause and reasonable suspicion, you know, intimidating people, just the mere presence of three cops at your door is intimidating.
[00:09:08.515 --> 00:09:10.816]  I mean, this is unconstitutional.
[00:09:11.236 --> 00:09:15.262]  Well, I think there's a good chance that it is going to be found to be unconstitutional.
[00:09:15.302 --> 00:09:20.529]  I mean, even any layman, anybody who watches Law & Order or any show knows two things.
[00:09:20.749 --> 00:09:23.993]  One is they have a right not to speak with the police under Miranda.
[00:09:24.454 --> 00:09:28.859]  And two, they have a Fourth Amendment right to be free from unreasonable searches and seizures.
[00:09:29.500 --> 00:09:44.664]  This program is clearly an effort to un-run the Constitution, and even if the police play by the book and try to get consent for a search, because there are circumstances, of course, where warrants are not necessary, it's clear that this is ripe for abuse.
[00:09:45.104 --> 00:09:47.344]  People will undoubtedly be intimidated.
[00:09:47.745 --> 00:09:53.426]  You have three policemen or FBI agents show up at your door, it takes a lot of moxie to say, no, you can't come in.
[00:09:53.706 --> 00:09:54.787]  Yeah, but they've got a right.
[00:09:54.827 --> 00:09:55.748]  They've got a say.
[00:09:55.888 --> 00:10:05.915]  And Janine, I guess if a parent wants their local police to come into their home, clearly they have no control over their teenagers and now they're just hoping somebody will step in.
[00:10:06.235 --> 00:10:07.796]  This is what it is.
[00:10:07.816 --> 00:10:10.118]  It's a Safe Homes, Safe Streets program.
[00:10:10.198 --> 00:10:21.466]  It is a crime prevention strategy where police, not dressed as police officers, not in uniform, go to homes in dangerous high-crime neighborhoods where parents are happy to see them.
[00:10:21.866 --> 00:10:23.568]  Because the parents are now saying, you know what?
[00:10:23.688 --> 00:10:24.949]  I can't control my own kids.
[00:10:25.309 --> 00:10:26.551]  I can't control their friends.
[00:10:26.851 --> 00:10:27.952]  They must give consent.
[00:10:28.012 --> 00:10:30.434]  Police cannot go in there without the consent of the parents.
[00:10:31.055 --> 00:10:34.298]  And, by the way, they've agreed not to prosecute any of these kids.
[00:10:34.598 --> 00:10:38.302]  When I was the DA, one of the things I did was buy back guns from kids.
[00:10:38.642 --> 00:10:39.563]  No questions asked.
[00:10:39.603 --> 00:10:40.464]  I gave them CDs.
[00:10:40.524 --> 00:10:41.125]  I gave them money.
[00:10:41.185 --> 00:10:41.946]  I gave them sneakers.
[00:10:42.246 --> 00:10:43.747]  We've got to get guns off the street.
[00:10:43.807 --> 00:10:44.288]  And you know what?
[00:10:44.328 --> 00:10:45.129]  This is smart.
[00:10:45.789 --> 00:10:53.396]  There's a bunch of caveats here, Matthew, and one of them is they will prosecute if they find a gun that's connected to a crime.
[00:10:53.416 --> 00:10:56.358]  But they're not supposed to go into homes if it's connected with a crime.
[00:10:56.379 --> 00:10:57.840]  They've already said they won't prosecute.
[00:10:57.880 --> 00:11:02.384]  But if they find a gun that's in a home that's connected to a crime, then they're going to prosecute.
[00:11:02.404 --> 00:11:06.607]  If they find a gun, sure, but think about it from the police officer's perspective.
[00:11:06.647 --> 00:11:09.790]  What happens if they go in and they find a bag of crack cocaine?
[00:11:09.830 --> 00:11:11.852]  They've already said they're not going to prosecute.
[00:11:16.593 --> 00:11:24.035]  Okay, now that's from a few months ago when Boston announced all of this.
[00:11:25.656 --> 00:11:30.357]  The bigger question here is why is there now a concerted effort to bring this out?
[00:11:31.278 --> 00:11:39.880]  Because for at least eight years they have had knock and talk in Texas, in Arizona, in California, in Oregon.
[00:11:41.005 --> 00:11:41.745]  In New York.
[00:11:43.326 --> 00:11:48.469]  And they come to your door and they say, we'd like to do a safety inspection of your guns in Texas.
[00:11:49.589 --> 00:11:56.773]  They say, we'd like to check for the safety of your firearms if they're properly stowed, when there's no law on that, in Arizona.
[00:11:57.653 --> 00:12:04.957]  And they target middle class areas in the West and the South with this program.
[00:12:06.710 --> 00:12:07.430]  But you heard this.
[00:12:07.570 --> 00:12:09.271]  Oh, the parents want them in.
[00:12:09.331 --> 00:12:12.071]  The parents want cops to come to the door and say, let us in.
[00:12:12.411 --> 00:12:13.292]  Let us look for guns.
[00:12:13.812 --> 00:12:17.252]  And I actually went and pulled up what DC and Boston are saying they're going to do.
[00:12:17.312 --> 00:12:18.993]  It's the same wording.
[00:12:20.033 --> 00:12:20.973]  It isn't an amnesty.
[00:12:21.653 --> 00:12:22.734]  It's lawyer speak.
[00:12:22.794 --> 00:12:28.535]  They're going to bust you for anything they find in your house, but they're going to tell the dumb cattle that they're not going to.
[00:12:30.455 --> 00:12:32.716]  And the news is going to play along with it.
[00:12:34.676 --> 00:12:38.318]  You know, we played that NBC News piece from yesterday from DC.
[00:12:38.878 --> 00:12:40.499]  They say you're given total amnesty.
[00:12:41.740 --> 00:12:43.181]  No, you're not.
[00:12:43.961 --> 00:12:46.683]  So again, it's the government lying as usual.
[00:12:48.084 --> 00:12:52.406]  This is supposedly the United States because we have a Fourth Amendment.
[00:12:52.526 --> 00:12:56.148]  We have a right to be innocent until proven guilty.
[00:12:56.188 --> 00:12:57.729]  We have a right to due process.
[00:12:58.130 --> 00:13:00.191]  We have a right to be judged by our peers.
[00:13:00.291 --> 00:13:02.392]  A right to privacy and a warrant.
[00:13:04.893 --> 00:13:09.314]  Now, the government's attacking the First Amendment, the Fourth, the Fifth, the Second, the Tenth.
[00:13:10.014 --> 00:13:22.997]  They're getting rid of all of it, wholesale, while they build FEMA camps and militarize the police, while megachurches put in thumb scanners for their members to come in.
[00:13:23.057 --> 00:13:24.978]  I mean, this is the Orwellian world.
[00:13:26.218 --> 00:13:30.679]  While the cameras go in the school bathrooms, while the children thumb scan to get their school lunches.
[00:13:32.728 --> 00:13:35.870]  All to track and trace, all to control, all to train you to be a prisoner.
[00:13:38.771 --> 00:13:39.652]  It is illegal.
[00:13:40.973 --> 00:13:46.215]  The Supreme Court has ruled previously that you can resist an illegal search with force.
[00:13:47.076 --> 00:13:49.297]  Other federal courts and state courts have said that.
[00:13:50.077 --> 00:14:00.263]  The Founding Fathers said that if someone came to your house without a warrant, without probable cause, if people see you dragging a screaming child into your house,
[00:14:01.881 --> 00:14:05.342]  that isn't your child and the child's bleeding, they can call the police.
[00:14:05.422 --> 00:14:06.502]  The police don't have to wait.
[00:14:07.582 --> 00:14:08.543]  That's probable cause.
[00:14:08.723 --> 00:14:16.384]  Or if smoke's coming out of your house, the fire department doesn't have to wait to batter down your door.
[00:14:17.085 --> 00:14:19.905]  The Founding Fathers had lived through tyranny.
[00:14:19.925 --> 00:14:20.825]  They were geniuses.
[00:14:20.905 --> 00:14:23.366]  They could speak five languages on average.
[00:14:23.926 --> 00:14:25.226]  They had studied world history.
[00:14:25.566 --> 00:14:26.787]  It was reasonable.
[00:14:27.307 --> 00:14:28.187]  It made sense.
[00:14:29.548 --> 00:14:45.332]  If a cop pulls you over because you've got a headlight burned out, and there's blood on the back seat, and a woman's shoe, he can pull his gun out and say, get out of the car, because he's got probable cause, something is suspicious.
[00:14:47.972 --> 00:14:54.774]  But you cannot just, and by the way, more lies from Fox News and the people pushing it, two of them not, two of them pushing it on the show.
[00:14:57.054 --> 00:15:01.036]  We now have the newscast footage of them in Boston and in D.C.
[00:15:01.176 --> 00:15:02.976]  going out with pilot programs of this.
[00:15:03.317 --> 00:15:08.019]  They're in full uniform, going house to house, saying, I want to come in and search for illegal guns.
[00:15:09.339 --> 00:15:14.161]  And if there's any illegal guns in here, you're going to be arrested unless you let me in now.
[00:15:17.803 --> 00:15:20.804]  You know, that's the trick they use when you're coming in from Mexico on customs.
[00:15:22.859 --> 00:15:25.841]  And they say, you don't have any prohibited items here.
[00:15:25.861 --> 00:15:27.162]  And you say, no.
[00:15:27.182 --> 00:15:28.923]  And they say, no Cuban cigars?
[00:15:29.804 --> 00:15:36.629]  And I was coming back with some college buddies one time, and one of them said, oh, yeah, I got two Cuban cigars.
[00:15:36.689 --> 00:15:39.331]  And they threatened him and tore them up from the trash can.
[00:15:40.151 --> 00:15:40.852]  He's an idiot.
[00:15:43.393 --> 00:15:43.974]  He's an idiot.
[00:15:43.994 --> 00:15:44.874]  If he would have just said, no.
[00:15:50.208 --> 00:15:54.191]  They would never have searched his bag, and they would have said, I can't read Spanish, I didn't know that's Cuban.
[00:15:56.654 --> 00:15:57.915]  The point is, it's a trick.
[00:16:00.997 --> 00:16:08.003]  Now, they've had arrests in Dallas, and arrests in the surrounding communities around Dallas, and they've had arrests in Phoenix and Tucson.
[00:16:08.023 --> 00:16:13.408]  Alright, I said I'm going to your calls.
[00:16:13.988 --> 00:16:15.770]  This is the type of issue I want to talk about.
[00:16:16.417 --> 00:16:34.940]  It's so over the top that Homeland Security is considering, and we did find the documents and letters and memorandums, that Homeland Security is studying making all air flyers, all, everyone, wear a taser bracelet to, quote, stop hijackings, just where everyone can be shot.
[00:16:36.586 --> 00:16:39.687]  I mean, do I even have to say how Orwellian that is?
[00:16:40.267 --> 00:16:41.708]  How guilty until proven innocent?
[00:16:42.028 --> 00:16:43.168]  How it's slave training?
[00:16:43.768 --> 00:16:44.669]  How it's ridiculous?
[00:16:44.709 --> 00:16:46.329]  How the hijackers will just pull it off?
[00:16:46.689 --> 00:16:48.570]  How they're showing us that we're all the enemy?
[00:16:50.490 --> 00:16:51.811]  Yeah, there's now part two of that.
[00:16:51.851 --> 00:16:57.893]  Paul Watson put a story out yesterday where Homeland Security is doing polls, focus groups, looking at doing it.
[00:16:59.853 --> 00:17:00.633]  They want to do it.
[00:17:03.774 --> 00:17:05.695]  Do I have to say how off the charts it is?
[00:17:06.872 --> 00:17:18.879]  That we have video of New York police beating the living daylights out of peaceful pro-democracy protesters in front of the UN building.
[00:17:19.780 --> 00:17:21.981]  And you know why the police have now given out a statement?
[00:17:22.001 --> 00:17:34.809]  They say, well, the tiny plastic flagpoles, they have little three-foot long poles you put the flag on, and the Tibetans out there didn't speak too good in English, so the cops run up and start grabbing their signs
[00:17:36.124 --> 00:17:38.746]  It's again, any excuse to harass you, any excuse to arrest you.
[00:17:43.250 --> 00:17:45.431]  And they beat them with metal batons, bloody.
[00:17:46.652 --> 00:17:59.122]  And the big news here is, on the YouTube page, there are 17,000 comments since this went up yesterday, and about 40% of them or so, I read several pages of them, say, good.
[00:18:02.024 --> 00:18:02.324]  Beat.
[00:18:02.785 --> 00:18:03.025]  Them.
[00:18:04.492 --> 00:18:09.174]  So, these are Buddhists, non-violent.
[00:18:09.254 --> 00:18:12.296]  The cops run up and start telling them they don't have a permit to protest.
[00:18:13.536 --> 00:18:18.539]  The Tibetans freak out and start saying, no, we do, and start waving their flags.
[00:18:18.579 --> 00:18:21.220]  And the cops just pull metal batons out and beat them in the bloody pulps.
[00:18:21.940 --> 00:18:24.381]  Then they come over and tell the cameraman, we're going to kill you.
[00:18:27.303 --> 00:18:28.323]  But that's not the news.
[00:18:28.523 --> 00:18:29.364]  The news is
[00:18:31.067 --> 00:18:32.208]  This is now defended.
[00:18:33.128 --> 00:18:52.418]  The city of Austin, Texas just won, just lost, the people won, a lawsuit at the state Supreme Court yesterday because they were saying that you can't stand on the side of the road or you can't stand at a four-way stop with a political sign.
[00:18:53.839 --> 00:18:57.681]  And they arrest you in Austin if you do that now, and Austin just lost a big lawsuit again.
[00:18:58.931 --> 00:19:13.320]  Kind of like the city of Austin lost, what was it, 27 lawsuits in 2000 for saying you couldn't protest around the governor's mansion without a permit.
[00:19:14.500 --> 00:19:18.463]  And we still have, I guess, good courts here, and they said, no, you can do that, just don't block traffic.
[00:19:19.703 --> 00:19:27.328]  Doesn't matter, Austin cops walked up to me a few months ago, it's all on video, and said, we're going to arrest you, you're not allowed to protest Perry out front the Four Seasons.
[00:19:29.617 --> 00:19:30.998]  And I said, OK, I'm going to sue you.
[00:19:31.098 --> 00:19:31.759]  Go ahead and arrest me.
[00:19:31.779 --> 00:19:32.700]  And they said, OK, we are.
[00:19:32.720 --> 00:19:35.382]  And they got the riot cops lined up and they backed down.
[00:19:35.402 --> 00:19:38.004]  Because other cops were shaking their heads going, no, no.
[00:19:38.024 --> 00:19:38.945]  You can see them arguing.
[00:19:39.045 --> 00:19:39.966]  No, no.
[00:19:40.486 --> 00:19:41.687]  I don't want to lose my house.
[00:19:42.528 --> 00:19:43.949]  Alex Jones is going to sue me.
[00:19:45.110 --> 00:19:48.212]  Why don't you just do your job and you wouldn't have to worry about that?
[00:19:48.593 --> 00:19:51.775]  This is America, land of the free, home of the brave.
[00:19:51.835 --> 00:19:53.497]  I promise your calls when we come back.
[00:19:55.157 --> 00:19:57.198]  Do you know the truth about cancer treatments?
[00:19:57.839 --> 00:20:06.744]  Do you realize that with all presently accepted methods, you are not correctly attacking the cancer, and you are mostly fighting to survive the treatment?
[00:20:07.284 --> 00:20:14.389]  Do you realize that mutilating surgery, burning, and the poisoning of your entire system are totally unnecessary?
[00:20:15.129 --> 00:20:20.611]  But now, it's cancer's turn to die with LaceMedInc's patented methodology.
[00:20:21.091 --> 00:20:31.875]  Without cutting, bleeding, drugs, or damaging radiation, we can destroy skin cancer and breast tumors of any size without adverse side effects at our physician's office.
[00:20:32.675 --> 00:20:34.756]  Laser technology at its best.
[00:20:35.256 --> 00:20:38.037]  For more information call 702-953-0267 or visit www.lasemedinc.com.
[00:20:38.077 --> 00:20:38.217]  Call 702-953-0267.
[00:20:38.237 --> 00:20:38.777]  It is a big idea.
[00:20:38.797 --> 00:20:39.897]  A new world order.
[00:20:40.117 --> 00:20:44.139]  In the near future, Earth is dominated by a powerful
[00:21:02.705 --> 00:21:06.307]  It's known as the Bilderberg Group.
[00:21:06.347 --> 00:21:08.608]  Could their objective be world domination?
[00:21:09.129 --> 00:21:11.570]  For thousands of years their dark order grew.
[00:21:12.310 --> 00:21:19.635]  Now as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[00:21:22.662 --> 00:21:27.625]  For the first time in history, the elite's plan for world government is blown wide open.
[00:21:28.106 --> 00:21:31.588]  You will learn the secret that drives the entire New World Order agenda.
[00:21:31.988 --> 00:21:34.470]  Bill Burgess is making great progress toward a world government.
[00:21:34.530 --> 00:21:35.691]  Most people have no idea.
[00:21:35.711 --> 00:21:36.471]  They're not after money.
[00:21:36.491 --> 00:21:37.572]  They have all the money they need.
[00:21:37.772 --> 00:21:38.493]  They're after power.
[00:21:38.733 --> 00:21:39.593]  That's their aphrodisiac.
[00:21:39.914 --> 00:21:44.457]  Order In Game on DVD at PrisonPlanet.com or InfoWars.com.
[00:21:44.657 --> 00:21:48.139]  Or watch it online right now at PrisonPlanet.tv.
[00:21:48.419 --> 00:21:48.980]  In Game.
[00:21:49.360 --> 00:21:51.241]  Blueprint for global enslavement.
[00:21:51.421 --> 00:21:52.462]  You have been warned.
[00:21:52.662 --> 00:21:53.542]  Yeah.
[00:22:13.593 --> 00:22:17.194]  Two books that combined are over a thousand pages and other information.
[00:22:17.514 --> 00:22:20.636]  Order now at our website, mostholyfamilymonastery.com.
[00:22:20.856 --> 00:22:24.817]  That's mostholyfamilymonastery.com.
[00:22:25.097 --> 00:22:28.959]  The last word monastery is spelled M-O-N-A-S-T-E-R-Y.
[00:22:29.319 --> 00:22:29.759]  Or call us at 1-800-275-1126.
[00:22:29.779 --> 00:22:29.999]  That's 1-800-275-1126.
[00:22:30.019 --> 00:22:32.420]  Or mail in your order to us at 4425 Schneider Road, Fillmore, New York, 14735.
[00:22:43.484 --> 00:22:47.187]  The total cost for this massive package of information is only $10.
[00:22:47.227 --> 00:22:48.848]  $15 for UPS ground or $30 outside the U.S.
[00:22:52.990 --> 00:22:55.492]  Terror Storm, a history of government-sponsored terror.
[00:22:55.852 --> 00:22:57.133]  Loose Change, Final Cut.
[00:22:57.414 --> 00:22:59.395]  Endgame, Blueprint for Global Enslavement.
[00:22:59.555 --> 00:23:01.297]  The True Story of the Bilderberg Group.
[00:23:01.457 --> 00:23:02.718]  The Late Great USA.
[00:23:02.958 --> 00:23:04.379]  America, Freedom to Fascism.
[00:23:04.719 --> 00:23:11.525]  These are just a few of the hundreds of powerful documentary films and books available at truthnews.us and prisonplanet.com.
[00:23:11.745 --> 00:23:15.688]  When you visit prisonplanet.com, you can connect to our amazing online store.
[00:23:15.828 --> 00:23:19.231]  Whether you're looking for survival and wellness products like Berkey water filters,
[00:23:19.611 --> 00:23:22.153]  Or you would like a book on the history of the Federal Reserve.
[00:23:22.374 --> 00:23:25.196]  We've got the most well-researched and documented titles.
[00:23:25.456 --> 00:23:27.558]  All available at PrisonPlanet.com.
[00:23:27.819 --> 00:23:32.443]  Or if you'd like, you can give the info or store a call at 888-253-3139.
[00:23:32.523 --> 00:23:38.528]  Or you can view more than a thousand titles in super high quality right now at PrisonPlanet.tv.
[00:23:39.509 --> 00:23:49.751]  Knowledge is power, and the information you need to effectively wake up your fellow man and fight the New World Order is available right now at truthnews.us and prisonplanet.tv.
[00:23:50.111 --> 00:23:51.652]  Join the info war today.
[00:23:58.133 --> 00:24:03.854]  Okay, we're going right to your calls, and then I'm going into masses of news, but we're taking your calls right now.
[00:24:05.694 --> 00:24:08.555]  John in Illinois, you're our first caller of the day, welcome.
[00:24:09.341 --> 00:24:09.941]  Mr. Jones.
[00:24:10.261 --> 00:24:10.562]  Yes, sir.
[00:24:10.582 --> 00:24:11.522]  How you doing, sir?
[00:24:11.542 --> 00:24:12.803]  It's an honor to speak to you.
[00:24:12.943 --> 00:24:13.603]  Honor to talk to you.
[00:24:13.623 --> 00:24:14.123]  What's on your mind?
[00:24:15.444 --> 00:24:38.515]  Well, I just wanted to let you know, I started listening to you a few years ago, and I've taken a lot of your advice, and I bought some silver, and I bought some gold, and I'm looking at this, you know, a lot of people where I go buy silver from, they freak out because of the fluctuation, and I'm looking at like five-year charts,
[00:24:39.786 --> 00:24:48.792]  And I'm actually looking at a 600-year chart, and I'm seeing on here where silver was actually at one time far more valuable than gold.
[00:24:49.733 --> 00:24:50.934]  Do you know anything about that?
[00:24:52.295 --> 00:25:06.146]  Well, I know that silver at certain times in history, fine silver or silver made into spoons, silver made into tea sets, was close to the value of gold, but I am not familiar with the time.
[00:25:06.906 --> 00:25:07.687]  Why don't you enlighten me?
[00:25:08.567 --> 00:25:15.032]  Well, I'm actually looking at the chart right now, and it goes back to about the 1340s.
[00:25:15.813 --> 00:25:26.241]  And it's showing, by 1998 dollar value, that silver was actually almost 2 to 1 over gold, as far as value goes.
[00:25:26.261 --> 00:25:29.304]  And it looks like it goes up into the beginning of the 19th century.
