[00:00:00.009 --> 00:00:01.070]  Okay, ladies and gentlemen.
[00:07:22.192 --> 00:07:31.179]  Now, this year and next year, we're expected to have the largest deficit in America's history, in one year hitting half a trillion dollars.
[00:07:31.880 --> 00:07:33.942]  Now, that's one problem.
[00:07:33.982 --> 00:07:39.586]  The second problem was that the war is, in my judgment,
[00:07:41.238 --> 00:07:48.063]  Largely responsible for the increase in the price of oil was back in 2003, it was $23, $25 a barrel.
[00:07:48.704 --> 00:08:00.612]  Futures markets understood that there was going to be increases in demand from China, from other places, but they believed that there would be a concomitant increase in supply from the Middle East.
[00:08:00.833 --> 00:08:03.054]  The war changed that equation and now we have
[00:08:05.912 --> 00:08:06.813]  Oil, $100 a gallon.
[00:08:07.293 --> 00:08:19.421]  Now, normally, if a country is spending so much more money abroad as we were, importing oil from Kuwait, from Saudi Arabia, from other countries, it's going to weaken the economy.
[00:08:20.702 --> 00:08:22.303]  But it didn't seem to be happening.
[00:08:22.943 --> 00:08:23.424]  And why?
[00:08:23.924 --> 00:08:26.666]  Well, some people said there was new laws of economics.
[00:08:26.706 --> 00:08:29.328]  Whenever anybody says that to me, I start getting suspicious.
[00:08:30.569 --> 00:08:32.610]  What was going on was very simple.
[00:08:34.136 --> 00:08:39.217]  The Fed decided to let forth a flood of liquidity, lax regulation.
[00:08:39.237 --> 00:08:40.677]  We got a housing bubble.
[00:08:41.818 --> 00:08:44.038]  The housing bubble led to a consumption boom.
[00:08:44.118 --> 00:08:46.539]  Savings in the United States went down to zero.
[00:08:47.499 --> 00:08:54.940]  It sustained the economy for a while, but we were living on borrowed money and borrowed time, and it was just a matter of time before something happened.
[00:08:55.360 --> 00:09:02.922]  And so when I looked at what was going on, how the economy continued, in spite of the high oil prices, in spite of the war,
[00:09:03.662 --> 00:09:10.705]  It was clear to me, and I saw the housing bubble, and I saw what was happening to savings rate.
[00:09:10.725 --> 00:09:15.886]  You didn't have to be a genius to say that there were problems around the corner.
[00:09:15.926 --> 00:09:18.587]  In fact, I saw that number in January of 2007 that was the highest.
[00:09:21.048 --> 00:09:28.489]  Debt ratio for the average American and lack of savings rate, both, since the depths of the Great Depression.
[00:09:28.529 --> 00:09:31.350]  In fact, it was worse than late 1933.
[00:09:31.650 --> 00:09:32.890]  That's right.
[00:09:33.170 --> 00:09:41.312]  And that by itself should have been a sign of a problem, but there were even other signs.
[00:09:41.392 --> 00:09:45.473]  Housing prices were getting higher and higher as part of this bubble.
[00:09:47.819 --> 00:09:50.282]  Most Americans' income were stagnating.
[00:09:50.722 --> 00:09:54.266]  In fact, median income adjusted for inflation was declining.
[00:09:55.026 --> 00:10:03.915]  And again, you don't have to be a genius to say, look it, Americans can't spend more and more if their incomes are going down, more and more on housing, if their incomes are going down and down.
[00:10:04.376 --> 00:10:05.537]  This was a pyramid.
[00:10:05.957 --> 00:10:08.660]  This was a house of cards.
[00:10:11.441 --> 00:10:25.991]  And the banks, in spite of the fact that the housing prices were getting so out of line, increased the fraction of the value of the house that they were willing to lend against.
[00:10:26.431 --> 00:10:30.814]  And they were actually having loans where you didn't even have to pay the interest on the loan.
[00:10:33.396 --> 00:10:34.176]  Just incredible.
[00:10:35.037 --> 00:10:40.481]  Now expanding from there, where do you see this going?
[00:10:41.603 --> 00:10:49.746]  I mean, how do you see the government, the Treasury, the private Federal Reserve, this whole international order dealing with this?
[00:10:49.766 --> 00:10:58.509]  Because I've seen Financial Times of London articles saying, look, other contractions, other speculation bubble,
[00:11:00.029 --> 00:11:01.790]  There are clearly, this is clearly
[00:11:26.425 --> 00:11:35.568]  The most serious problem since the Great Depression, and in some ways worse, in terms of the financial institutions.
[00:11:35.608 --> 00:11:55.113]  The reason, in part, is that while some of the same problems that have occurred then and have occurred since then, excessive leverage, pyramid schemes, bubbles, have happened before, the so-called innovation of Wall Street, the financial innovations,
[00:11:55.729 --> 00:11:56.770]  Thank you.
[00:12:09.907 --> 00:12:12.568]  What the nature of the risk they face.
[00:12:12.628 --> 00:12:18.570]  In fact, that's now coming out where these companies say, we can't show you your books, we don't even really have them.
[00:12:18.630 --> 00:12:30.034]  I mean, it's just, you know, the companies are saying they can't extrapolate how these algorithms are even working, what these computer systems are doing, who owns what debt, how it was leveraged.
[00:12:30.234 --> 00:12:33.875]  Exactly, and that's why no one trusts anybody else.
[00:12:35.856 --> 00:12:39.500]  Who wants to buy Lehman Brothers when you don't know what its liabilities are?
[00:12:39.520 --> 00:12:50.029]  Well, that's my question, because you won one of your two Nobel Prizes for coming up with these asymmetrical models, or looking at certain strata, something they hadn't done, so you're an expert on this.
[00:12:50.209 --> 00:12:58.096]  Exactly, and what I cautioned about, I wrote about these problems of asymmetric information, the fact that
[00:12:58.556 --> 00:13:09.835]  Some people know things that others don't know, but this is in some ways a double problem, because not only do others not know, say, what Lehman Brothers
[00:13:10.609 --> 00:13:11.090]  May know.
[00:13:11.110 --> 00:13:13.652]  Lehman Brothers doesn't know what it ought to know.
[00:13:13.852 --> 00:13:18.696]  Which makes it even harder to say, if you have a fire, no one has a full blueprint of even the building.
[00:13:19.217 --> 00:13:19.797]  Exactly.
[00:13:20.238 --> 00:13:23.160]  So that's where we are in this crisis.
[00:13:23.981 --> 00:13:27.184]  And that, of course, means that no one's willing to lend to anybody else.
[00:13:27.264 --> 00:13:29.986]  And that, of course, restricts credit.
[00:13:30.006 --> 00:13:37.433]  So we have a crisis of trust, not just with the public and the banks, but with the institutions themselves, which sounds like the
[00:13:38.985 --> 00:13:45.711]  That's just about as bad a scenario as... Well, it's particularly bad because, you know, our financial institutions are based on trust.
[00:13:45.791 --> 00:13:49.754]  I mean, you put your money in the bank and you trust that you can get your money out.
[00:13:50.487 --> 00:13:52.829]  If you didn't trust that, you would never put your money in the bank.
[00:13:52.889 --> 00:13:58.172]  So trust is absolutely essential for the functioning of our financial markets, functioning of our economy.
[00:13:58.652 --> 00:14:00.193]  And then there's another level of trust.
[00:14:00.233 --> 00:14:07.858]  You know, outsiders, those in other countries, have to have trust that the American economy is working well.
[00:14:08.179 --> 00:14:13.022]  They have to have trust that when the President says everything is going well, it is.
[00:14:15.450 --> 00:14:18.854]  This administration has really burned that trust.
[00:14:19.275 --> 00:14:23.800]  You know, the president said, oh, there's no problem, just a few too many houses have been built.
[00:14:24.320 --> 00:14:31.529]  Well, if that's the level of analysis that the leader of the United States is giving about what that nature of economic problems,
[00:14:32.049 --> 00:14:35.853]  No wonder everybody around the world is losing a certain amount of confidence.
[00:14:35.873 --> 00:14:38.956]  Well, in fact, in the past, if a president said all is good, the market would go up.
[00:14:39.016 --> 00:14:48.385]  Now, if McCain or even Obama or even Bush, anyone seen as a leader, says, you know, we're going to make it out of this, it's okay, markets go down, which shows almost a terminal
[00:14:49.385 --> 00:14:50.026]  Loss of trust.
[00:14:50.226 --> 00:15:02.837]  Now, going back to this asymmetric data, where people can't see around the tree to the other side to see what's on the other side of it, I mean, projecting forward, which you've really been good at, where do you see this going?
[00:15:02.877 --> 00:15:06.720]  How do you see this on the good side unfolding versus on the bad side unfolding?
[00:15:07.759 --> 00:15:32.775]  Well, there's always some uncertainty about what the government is going to do, and I have to say that the uncertainty has increased because there's clearly now an additional element of uncertainty with the government saying, we're going to pick winners, we're going to decide who we bail out and who not, and so if you have your money in the wrong
[00:15:33.536 --> 00:15:35.197]  firm, you won't get bailed out.
[00:15:36.899 --> 00:15:52.210]  Boy, is that scary to people outside, because they're now making not only an economic bet, they're making a political bet on whose friends are the Bush administration or the Fed, and what their judgment about whether there is systemic risk or not.
[00:15:52.230 --> 00:15:53.771]  Well, let me ask you, who are those friends?
[00:15:53.831 --> 00:15:56.173]  Is it Chase Manhattan, Citibank, Bank of America?
[00:15:56.193 --> 00:15:57.954]  Well, we don't really know.
[00:15:58.675 --> 00:16:01.697]  What we do know, for instance, you know, question
[00:16:02.158 --> 00:16:05.308]  Why was it that we bailed out Fannie Mae and Freddie Mac?
[00:16:06.604 --> 00:16:26.209]  One story that one hears is that there were a lot of investors abroad, some with close connections with one of the firms that the Secretary of Treasury was at before, and so there are the rumors that that may have played an important role in the decision to bail out Fannie Mae.
[00:16:26.229 --> 00:16:27.889]  The Saudis and the Chinese, right?
[00:16:28.169 --> 00:16:28.790]  Exactly.
[00:16:28.810 --> 00:16:34.651]  So the question is, you know, is this being done for the American economy?
[00:16:35.171 --> 00:16:50.864]  You know, how would American taxpayers feel that if the reason they put billions and billions of their money at risk was to help some people in other countries, not to help with the American economy?
[00:16:51.104 --> 00:16:58.510]  Well, of course, they're always going to say, if we lose the confidence in the American economy, where will we be?
[00:16:58.530 --> 00:17:00.192]  But we've lost that confidence.
[00:17:01.206 --> 00:17:05.149]  Joseph Stiklitz, because we've only got you another 10 minutes, I'm going to skip this break and the final break.
[00:17:05.169 --> 00:17:07.750]  We're going to ride up to about 32 after with you.
[00:17:08.431 --> 00:17:09.691]  So we will continue.
[00:17:10.212 --> 00:17:12.753]  Some stations will not carry this, but others will.
[00:17:12.914 --> 00:17:15.435]  And you can go to Infowars.com and pick it up as well.
[00:17:15.715 --> 00:17:18.797]  Here we go with Joseph Stiklitz, two-time Nobel Prize winner.
[00:17:21.030 --> 00:17:23.614]  Okay, this is so important, I want to continue.
[00:17:24.235 --> 00:17:34.510]  Now, I don't consider myself technical or to be some economic whiz kid, but I do read what you write, I do read what hundreds of others say, because this is so important, obviously.
[00:17:36.032 --> 00:17:44.795]  But let's go down from the level of knowledge, say, I have, or somebody who's somewhat informed, down to just very simple.
[00:17:44.815 --> 00:17:49.817]  I understand people listen to you, so you've got to be very technical and explain out why you're saying what you're saying.
[00:17:50.257 --> 00:17:53.818]  But just in layman's terms, I was asking, what's the good side, what's the bad side?
[00:17:54.058 --> 00:18:05.242]  I mean, what do you, from past research, from seeing what's going on now, I know so much of this is secret that you're saying, I can't see through a brick wall, but your best dead reckoning
[00:18:05.922 --> 00:18:08.064]  Where do you see us in 12 months, 18 months?
[00:18:09.345 --> 00:18:18.832]  I see, certainly over the next 12 months, the basic pattern that we've seen for the last 12 months continuing.
[00:18:19.672 --> 00:18:21.654]  House prices will continue to fall.
[00:18:22.354 --> 00:18:25.977]  More mortgages will go into foreclosure.
[00:18:25.997 --> 00:18:31.041]  The value of more and more houses will be less than the mortgages.
[00:18:33.602 --> 00:18:40.687]  More firms will face... more financial firms will be put into crisis.
[00:18:40.727 --> 00:18:42.369]  The hedge funds will... How deep?
[00:18:42.449 --> 00:18:46.832]  I mean, we're now hearing him not say a hundred banks, but a thousand banks, you know, on CNBC.
[00:18:46.892 --> 00:18:56.359]  I mean... It's hard to predict, as I say, because there's such non-transparency in what's been going on.
[00:18:56.799 --> 00:18:58.721]  But I don't think it's...
[00:19:00.537 --> 00:19:03.199]  I just, it's very hard to know.
[00:19:03.259 --> 00:19:06.780]  It could be certainly in the dozens of banks.
[00:19:06.900 --> 00:19:15.044]  Do you think it's more rotten than you previously thought as we kick in more doors and see what's behind, you know, deeper levels of this?
[00:19:15.064 --> 00:19:19.647]  It is a little bit more rotten than I had originally thought.
[00:19:21.327 --> 00:19:28.591]  But, you know, one aspect of what has been going on is everybody realized that
[00:19:29.156 --> 00:19:35.081]  There were, what they called, trillions of dollars in open positions where people were betting against other people.
[00:19:35.821 --> 00:19:38.424]  And you had to ask the question, what were they doing?
[00:19:38.564 --> 00:19:39.785]  Who were they betting against?
[00:19:40.345 --> 00:19:44.348]  They said that they were trying to manage risk, but what risk were they trying to manage?
[00:19:45.429 --> 00:19:57.119]  And, you know, why do some people think that they were smarter than other people, that they knew that the exchange rate was going to go up, or the exchange rate was going to go down, interest rates go up, or the interest rate goes down?
[00:19:57.539 --> 00:19:58.360]  Now what you know is,
[00:19:58.993 --> 00:20:02.609]  We have a lot of people making such big bets.
[00:20:04.150 --> 00:20:06.452]  And you have a lot of volatility in the economy.
[00:20:06.472 --> 00:20:09.894]  There are going to be some big winners and there are going to be some big losers.
[00:20:09.914 --> 00:20:15.217]  And there's also, you can follow back who the consistent winners are and find out who's getting illegal inside information.
[00:20:15.658 --> 00:20:18.340]  And that may be playing a role.
[00:20:18.720 --> 00:20:23.023]  There's no inside information about where the exchange rate is going to go.
[00:20:23.083 --> 00:20:26.905]  There may be some inside information about bailouts and things like that.
[00:20:27.005 --> 00:20:27.666]  That is clear.
[00:20:27.886 --> 00:20:28.606]  Or commodities.
[00:20:28.626 --> 00:20:32.229]  So the point I want to make though is that
[00:20:32.649 --> 00:20:49.277]  Given the level of volatility, there are going to be more financial institutions that are going to be in deep trouble, and given the lack of transparency, there's going to be hard-to-get liquidity, and so I think we can see more problems ahead.
[00:20:50.006 --> 00:20:54.129]  What I am particularly worried about, though, is what I call the real economy.
[00:20:54.469 --> 00:20:57.511]  That's what I wanted to bring up when we come back to the full audience.
[00:20:57.551 --> 00:20:58.431]  Then I want to plug your book.
[00:20:58.731 --> 00:21:01.893]  Here in the five minutes we have left, we're about at half our audience here.
[00:21:01.913 --> 00:21:06.176]  I just skipped the breaks because some stations and the internet certainly likes that.
[00:21:06.196 --> 00:21:10.158]  But that was my next question, was we can talk all day about these big financial institutions.
[00:21:10.498 --> 00:21:16.362]  The real economy does not look good to me, and I'm in the supposedly best city in the U.S., Austin, Texas.
[00:21:16.622 --> 00:21:19.384]  There's restaurants closing, houses for foreclosure,
[00:21:19.944 --> 00:21:21.566]  The sheriff's out grabbing people's houses.
[00:21:21.606 --> 00:21:22.046]  Here we go.
[00:21:25.249 --> 00:21:27.931]  Well, he's a two-time Nobel Prize winner.
[00:21:27.951 --> 00:21:29.692]  He's won one for economics and for peace.
[00:21:30.956 --> 00:21:32.937]  And you don't usually win, too.
[00:21:33.557 --> 00:21:40.061]  Joseph Stiklis, his new book is coming out, The Three Trillion Dollar War, The True Cost of the Iraq Conflict.
[00:21:40.081 --> 00:21:42.002]  And I want to spend a few minutes on that before he leaves us.
[00:21:43.062 --> 00:21:49.365]  But he brought up, just now for those listening at InfoWars.com, not on the MNFM, he just brought up my next question.
[00:21:49.385 --> 00:21:51.707]  He said, I want to talk about the cost on the real economy.
[00:21:51.727 --> 00:21:52.607]  And that was my next question.
[00:21:53.407 --> 00:21:56.629]  I'm in supposedly this great city of Austin for the economy, compared to the rest of the country.
[00:21:56.909 --> 00:21:58.030]  Foreclosures everywhere.
[00:21:58.570 --> 00:22:05.075]  My dad yesterday driving around saw sheriffs outside three houses pulling people out, repossessing them forcibly.
[00:22:05.916 --> 00:22:08.518]  Restaurants I've gone to for years, I pull into one, it's closed.
[00:22:08.558 --> 00:22:09.739]  I pull into another, it's closed.
[00:22:10.499 --> 00:22:11.520]  Stuff's shutting down.
[00:22:11.540 --> 00:22:14.743]  I mean, the real economy is just getting worse and worse.
[00:22:14.783 --> 00:22:18.926]  Meanwhile, Bush is going around, you know, when gas was four bucks a gallon, saying, no it's not.
[00:22:19.286 --> 00:22:22.529]  And there's just this let them eat cake, even from the Democrats in Congress.
[00:22:23.270 --> 00:22:23.791]  That's right.
[00:22:24.472 --> 00:22:25.334]  And it's going to get worse.
[00:22:25.354 --> 00:22:28.662]  I mean, basically, when the financial system starts getting weak...
[00:22:29.924 --> 00:22:46.655]  It is in a position to provide credit, to provide loans, to provide mortgages, and that means in turn that housing prices are going to fall further, businesses are going to contract, unemployment is going to grow, and it's a downward vicious cycle.
[00:22:46.675 --> 00:22:47.156]  A snowball!
[00:22:47.516 --> 00:22:49.938]  It's a snowball, and that's where we are.
[00:22:49.958 --> 00:22:51.919]  We eventually will emerge from it.
[00:22:51.999 --> 00:22:57.883]  We've emerged from every other downturn, so I don't want to be excessively pessimistic, but
[00:22:59.103 --> 00:23:02.024]  You have to be in fantasy land to say everything is fine.
[00:23:03.464 --> 00:23:06.485]  And even to say that we have turned the corner.
[00:23:06.505 --> 00:23:13.927]  I think we are still in the downward phase of this economic cycle.
[00:23:13.947 --> 00:23:15.868]  We're going into a deepening storm.
[00:23:16.188 --> 00:23:26.071]  How much longer does your expertise... I would say that we should not anticipate emerging from this for a year and a half or longer.
[00:23:27.332 --> 00:23:35.998]  So this is going to be, this is a different kind of economic downturn from most of those that we've had in the last 75 years.
[00:23:36.078 --> 00:23:39.000]  Most of those are, we call it, inventory cycles.
[00:23:39.620 --> 00:23:41.542]  Businesses accumulate a little bit too much inventory.
[00:23:41.562 --> 00:23:42.802]  It's generated from the bottom.
[00:23:42.822 --> 00:23:44.424]  This crisis is generated from the top.
[00:23:44.764 --> 00:23:45.364]  Exactly.
[00:23:45.424 --> 00:23:47.025]  And it's systemic.
[00:23:47.886 --> 00:23:50.548]  Not just a little excess investment, a little bit
[00:23:51.068 --> 00:24:15.250]  Too high interest rates, it's basically in the basic institutions of our economy, the financial institutions, and it's going to be a difficult road getting out, and it's particularly difficult because for the last five years, especially as the war has gone on, we've been a debt economy.
[00:24:16.371 --> 00:24:23.153]  Yeah, go back into that, because I interrupted you with a break earlier about your book, the facts you're laying out, the $3 trillion war.
[00:24:23.773 --> 00:24:24.794]  Folks need to get it and read it.
[00:24:24.814 --> 00:24:29.735]  I mean, what we're dealing with here, why so many fundamentals have been changed.
[00:24:30.515 --> 00:24:30.896]  That's right.
[00:24:30.936 --> 00:24:36.457]  I mean, as I mentioned, this is the first war that we have put totally on the credit card.
[00:24:36.477 --> 00:24:41.919]  In fact, it's the first war since the Revolutionary War that we had to turn to foreigners to finance.
[00:24:42.419 --> 00:24:46.825]  Because 40% of our national debt is now being financed by foreigners.
[00:24:47.446 --> 00:24:49.069]  We had to borrow $850 billion in recent years, per year.
[00:24:54.556 --> 00:24:56.338]  From foreigners.
[00:24:57.078 --> 00:25:00.300]  Here we have the richest country in the world that can't live within its means.
[00:25:01.181 --> 00:25:04.543]  Households have been borrowing at an unprecedented level.
[00:25:04.563 --> 00:25:12.608]  We mentioned before that national savings rate, the household savings rate was the lowest since the Great Depression.
[00:25:13.969 --> 00:25:22.475]  And the federal government has been piling up debt because it's been borrowing not only to finance the war,
[00:25:23.206 --> 00:25:23.346]  But
[00:25:35.014 --> 00:25:38.296]  By having such trouble, we are in trouble as an economy.
[00:25:38.336 --> 00:25:43.098]  And you're saying the biggest financial threat since the Great Depression may be even bigger.
[00:25:43.679 --> 00:25:46.120]  Is there some internal bank warfare going on?
[00:25:46.160 --> 00:25:53.224]  People using the lack of confidence, using connections to go and basically sabotage and overtake?
[00:25:53.644 --> 00:25:54.824]  The case of Bear Stearns, out of $2.
[00:25:55.925 --> 00:25:58.707]  Well, part of the problem is, as I said before, that there is such a lack of transparency
[00:26:13.044 --> 00:26:13.684]  Yeah.
[00:26:29.114 --> 00:26:37.662]  We, the taxpayers, do not know, yet months after the bailout, how much we are at risk for that bailout.
[00:26:37.802 --> 00:26:40.805]  That's another point, is we don't know what we're signing on to.
[00:26:40.845 --> 00:26:45.209]  We know it's trillions all together, but I mean, so it's a time bomb.
[00:26:46.009 --> 00:26:51.935]  We've just got about two minutes left with Joseph Stiglitz for folks listening exclusively at InfoWars.com and some of the stations that
[00:26:52.495 --> 00:26:55.939]  Uh, Mr. Stiglitz, I'm gonna let you go here in just about two minutes, but I wanted
[00:27:13.567 --> 00:27:15.348]  To ask you about some solutions.
[00:27:15.368 --> 00:27:18.430]  You know, you put forward quite a few ideas to keep this from happening.
[00:27:18.490 --> 00:27:19.431]  Now that's a little late.
[00:27:19.471 --> 00:27:20.811]  We're now into this happening.
[00:27:21.212 --> 00:27:31.518]  I mean, if you were the economic king for a day, if you were both the Fed Chairman and the Treasury Secretary, which kind of Paulson really is, he's telling the Fed to do right now, that's been reported.
[00:27:32.018 --> 00:27:38.142]  What would you do right now to stabilize this, to build confidence back in and to stop the implosion?
[00:27:39.008 --> 00:27:44.730]  Well, the first thing the economy needs, I go back to the real economy, and it needs a stimulus.
[00:27:47.190 --> 00:27:49.311]  But it needs a stimulus that really works.
[00:27:49.431 --> 00:28:05.115]  So we have to increase aid to states and local governments who are facing a big shortfall of revenue, and they're going to cut back expenditures, cut back investment, cut back basic programs for Americans.
[00:28:06.096 --> 00:28:08.338]  We need stronger unemployment insurance.
[00:28:09.059 --> 00:28:20.532]  With unemployment growing, we need to have some confidence that if you lose your job, no fault of your own, that you're a little bit better protected than we've been.
[00:28:25.197 --> 00:28:27.241]  More investment in our infrastructure.
[00:28:27.301 --> 00:28:38.539]  If anybody visits an airport in Asia, Europe, you realize what state our airports are in.
[00:28:39.815 --> 00:28:45.979]  New Orleans levees, the Minnesota bridges are all emblematic of what has happened to our infrastructure.
[00:28:46.499 --> 00:29:00.008]  So, I would take advantage of this particular time to try to stimulate the economy in ways to provide the basis of our longer-term economic growth.
[00:29:01.376 --> 00:29:07.241]  If our economy is growing, then we will be better able to manage some of this financial turmoil.
[00:29:07.601 --> 00:29:18.409]  But if our economy is going, as I believe it's going to go into a downward direction, it's going to be much more difficult to manage.
