[00:00:02.142 --> 00:00:02.562]  Michael Hoffman.
[00:05:27.921 --> 00:05:32.884]  For the first time in history, the elite's plan for world government is blown wide open.
[00:05:33.365 --> 00:05:36.847]  You will learn the secret that drives the entire New World Order agenda.
[00:05:37.227 --> 00:05:39.729]  Build America is making great progress toward a world government.
[00:05:39.809 --> 00:05:40.950]  Most people have no idea.
[00:05:40.970 --> 00:05:41.730]  They're not after money.
[00:05:41.750 --> 00:05:42.851]  They have all the money they need.
[00:05:43.031 --> 00:05:43.752]  They're after power.
[00:05:43.792 --> 00:05:44.692]  That's what they're after these days.
[00:05:45.153 --> 00:05:49.696]  Order In Game on DVD at PrisonPlanet.com or InfoWars.com.
[00:05:49.916 --> 00:05:53.418]  Or watch it online right now at PrisonPlanet.tv.
[00:05:53.878 --> 00:05:54.279]  In Game.
[00:05:54.659 --> 00:05:56.240]  Blueprint for global enslavement.
[00:05:56.700 --> 00:05:57.741]  You have been warned.
[00:05:58.521 --> 00:06:01.722]  Some day, cancer, diabetes, and poor health may disrupt your life.
[00:06:01.882 --> 00:06:04.703]  Are you going to be the one in four who gets cancer in their lifetime?
[00:06:04.843 --> 00:06:08.604]  Well, now you can set aside your worries and offset that chance with AlkaVita.
[00:06:08.784 --> 00:06:15.446]  AlkaVita is a pure elemental liquid silicon that is high in oxygen and highly alkaline to help balance our acidic lifestyles.
[00:06:15.486 --> 00:06:16.087]  I don't know.
[00:06:34.070 --> 00:06:34.630]  I think so.
[00:06:58.678 --> 00:07:02.060]  More than 700 chemicals have been found in our drinking water.
[00:07:02.200 --> 00:07:07.404]  And did you know that you have greater exposure to these chemicals while taking hot showers than when drinking the water?
[00:07:07.604 --> 00:07:12.387]  That's because many chemicals are inhaled when they evaporate, and others are absorbed into the skin.
[00:07:12.747 --> 00:07:23.875]  The KDF Dual Media Shower Filter works with both hot and cold water, and it's designed to reduce chlorine, lead, mercury, and iron, and it inhibits the growth of bacteria, mold, algae, and fungus.
[00:07:24.275 --> 00:07:29.817]  The KDF Dual Media Shower Filter typically lasts 10,000 gallons or one year, whichever comes first.
[00:07:30.037 --> 00:07:36.118]  Hospitals, restaurants, and water treatment facilities use this media to reduce chlorine, iron, heavy metals, and bacteria.
[00:07:36.298 --> 00:07:36.959]  What about you?
[00:07:37.339 --> 00:07:43.380]  Order your KDF Shower Filter normally, $49 for a special price of only $39.99 with free shipping.
[00:07:43.781 --> 00:07:45.921]  Call the Berkey guy and order now by calling 1-877-886-3653.
[00:07:49.264 --> 00:07:49.725]  That's 1-877-886-3653.
[00:07:49.745 --> 00:07:52.551]  Or simply click on the banner at GCNLive.com to order online now.
[00:08:03.692 --> 00:08:07.873]  Big Brother, Mainstream Media, Government Cover-ups.
[00:08:08.534 --> 00:08:09.334]  You want answers?
[00:08:10.114 --> 00:08:10.995]  Well, so does he.
[00:08:11.675 --> 00:08:15.256]  He's Alex Jones on the GCN Radio Network.
[00:08:15.856 --> 00:08:19.958]  And now, live from Austin, Texas, Alex Jones.
[00:08:22.699 --> 00:08:31.742]  Author, journalist for the Associated Press, historian,
[00:08:34.923 --> 00:08:37.804]  We've only got him for about 20 more minutes, so I'm just going to try to shut up.
[00:08:37.864 --> 00:08:39.124]  It just is all so intriguing.
[00:08:39.144 --> 00:08:43.405]  And then I want to get him back for a full two hours in the next month or so.
[00:08:44.445 --> 00:08:46.025]  Before he leaves us, let's just do it now.
[00:08:46.145 --> 00:08:47.206]  Give out your websites.
[00:08:47.226 --> 00:08:48.566]  Tell folks about some of the books you've written.
[00:08:49.766 --> 00:08:53.907]  The website, Alex, is revisionisthistory.org.
[00:08:54.687 --> 00:09:03.549]  And some of the books are, such as the one we've been discussing, They Were White and They Were Slaves, The Untold History of the Enslavement of Whites in Early America and Industrial Britain.
[00:09:04.164 --> 00:09:11.206]  Secret Societies and Psychological Warfare, and I'm just finishing up a 900-page book, Judaism Discovered.
[00:09:13.106 --> 00:09:15.587]  You also wrote Judaism Strange Gods.
[00:09:16.167 --> 00:09:22.249]  Judaism Strange Gods in 2000, which was a groundwork for an introduction to the religion of Judaism.
[00:09:23.007 --> 00:09:26.430]  This 900-page book, I style an introduction.
[00:09:26.470 --> 00:09:30.894]  It's a vast subject, so even this large tome is still an introduction.
[00:09:30.974 --> 00:09:37.620]  Well, I'm going to have you on about that, because people are fascinated with it, and it's important to understand our society and these cultures, how they've grown together.
[00:09:38.401 --> 00:09:42.445]  Let's continue to get into, you were talking about Pastor Hagee, when we hit the last break.
[00:09:43.092 --> 00:09:46.133]  Well, I just think that John McCain is getting a free ride here.
[00:09:46.294 --> 00:09:52.056]  Obama has got to answer and continue to answer for his preacher, as he should.
[00:09:52.176 --> 00:09:52.596]  Certainly.
[00:09:52.716 --> 00:09:53.357]  Absolutely.
[00:09:54.077 --> 00:09:56.338]  He should be responsible for this man's remarks.
[00:09:56.358 --> 00:09:59.800]  Well, it hasn't been brought up about Clinton pardoning the Weathermen.
[00:10:00.440 --> 00:10:01.440]  I mean, it's just stupid.
[00:10:01.460 --> 00:10:07.923]  Look, Rush Limbaugh is calling for riots and burning cars and death at the DNC.
[00:10:07.963 --> 00:10:09.784]  They just want crisis, crisis, crisis.
[00:10:09.804 --> 00:10:11.125]  But go ahead and talk about Hagee.
[00:10:12.145 --> 00:10:13.846]  Well, you know, it's interesting.
[00:10:13.946 --> 00:10:18.388]  I believe that McCain is the candidate of the cryptocracy.
[00:10:18.548 --> 00:10:25.031]  I think that Hillary is their fallback, and certainly they could deal with Obama if they processed him sufficiently.
[00:10:25.531 --> 00:10:40.438]  But I'm a long-time student of the Israeli media, and I know from the Israeli media and from my own informants and counterintelligence that we have operating inside Zionism and so forth, that we see that they're very much in favor of John McCain.
[00:10:40.458 --> 00:10:41.879]  They're worried about Obama.
[00:10:42.642 --> 00:10:46.189]  And Clinton is acceptable.
[00:10:46.550 --> 00:10:50.057]  So when you understand that, you understand how the media is treating McCain.
[00:10:50.117 --> 00:10:52.863]  As far as I'm concerned, he's getting a free ride on Hagee.
[00:10:53.413 --> 00:10:58.617]  Because Hagee, in my judgment, is a far more sinister character than Obama.
[00:10:58.637 --> 00:11:00.859]  Well, Hagee is like a cartoon character.
[00:11:01.259 --> 00:11:07.264]  I mean, statements like he praises God when Palestinian children are shot and Jesus isn't the Messiah.
[00:11:07.524 --> 00:11:18.613]  I mean, even if you're an atheist, you have to know that that's asinine for a supposed Protestant preacher to be saying Jesus was basically a bad guy and was a rebellious person.
[00:11:19.614 --> 00:11:25.285]  And then he goes to the different ADL meetings and apologizes for being a Christian.
[00:11:26.267 --> 00:11:27.148]  It's saddening.
[00:11:27.711 --> 00:11:32.513]  So why aren't we seeing that question that you just formulated put in front of John McCain?
[00:11:32.553 --> 00:11:38.715]  Why aren't we seeing investigative reports in the Washington Post, the Wall Street Journal, the New York Times, along these lines?
[00:11:38.795 --> 00:11:39.275]  We're not.
[00:11:39.635 --> 00:11:41.856]  They're protecting him from the fallout there.
[00:11:42.116 --> 00:11:48.258]  There is some token criticism and some token references, but nothing like Obama's facing with his preacher.
[00:11:48.298 --> 00:11:51.239]  So I think the disparity between the two is very instructive.
[00:11:51.259 --> 00:11:51.839]  Well, I agree with you.
[00:11:53.584 --> 00:11:54.525]  Go to the root of this.
[00:11:54.645 --> 00:11:59.610]  Next time we have you on, we'll do two, three hours to really cover all of this, to go back to the roots of a cult.
[00:12:00.231 --> 00:12:06.837]  Because we can say the roots of the New World Order are in Egypt, we can say Babylon, we can say Solomon's Temple, but that was borrowing from the previous myths.
[00:12:07.938 --> 00:12:14.725]  We know, I mean, from my studying of the New World Order, reading history books and reading really things that are, you know,
[00:12:15.245 --> 00:12:21.909]  Little known, but admitted historical facts that you have this weird obsession with Germanic power.
[00:12:22.309 --> 00:12:27.492]  You've got then also the royal family of England, the German royal family, believing that they are really Israelites.
[00:12:28.353 --> 00:12:36.197]  You've then got the supposed mainline Jews who are really Central European or Eastern European.
[00:12:37.018 --> 00:12:39.259]  You've then got their weird behavior
[00:12:39.699 --> 00:12:41.981]  Radiating the Jewish children who were Sephardic.
[00:12:42.021 --> 00:12:44.363]  It seems there's a war against the brown Jews.
[00:12:45.204 --> 00:12:50.369]  You've then got weird Zionists supporting Hitler to the degree of not letting Jews get out of the country.
[00:12:50.389 --> 00:12:53.012]  There's just so many weird similarities.
[00:12:53.032 --> 00:13:02.400]  We know the Germanic cultures and the Britannic cultures merged with a lot of the Judaic stuff thousands of years ago, but as a historian studying this,
[00:13:03.261 --> 00:13:07.224]  I mean, when you get to the end of the day, isn't it a cultist that run it?
[00:13:07.324 --> 00:13:12.628]  And then you've got two big branches that have grown together and are basically like the Rothschilds.
[00:13:12.688 --> 00:13:19.553]  I see them as almost inseparable from, you know, the crazy leadership that's Germanic in Britain.
[00:13:19.993 --> 00:13:24.677]  And then so to me, it's like a sub-Predator group above another Predator group.
[00:13:24.917 --> 00:13:27.519]  I mean, what's the real hierarchy, according to Michael Hoffman?
[00:13:28.427 --> 00:13:30.768]  Well, first of all, I want to define our terms.
[00:13:30.968 --> 00:13:40.113]  We want to go to first principles, because when you talk about a cult, you start to turn off one section of the audience who thinks that you're mystifying political science and current events.
[00:13:40.834 --> 00:13:48.257]  And I don't think either one of us is doing that, because a cult, when I'm talking about it, is the science of mind control.
[00:13:48.357 --> 00:13:56.922]  And Arthur C. Clarke, who just recently passed away in Sri Lanka, defined any sufficiently advanced technology as having the appearance of magic.
[00:13:57.583 --> 00:14:14.098]  And so, for various reasons, the elites have both wanted to manipulate religions and mystify issues, as well as keep alive the mind control system which goes into the eternal pagan psychodrama, and from that, exploit nations and people.
[00:14:14.659 --> 00:14:25.044]  But you have given us a cornucopia of conspiracies and actors in the conspiracy, but I would say we can reduce it to the way Christ reduced it.
[00:14:25.084 --> 00:14:27.505]  You're either Christ or you're Antichrist.
[00:14:27.585 --> 00:14:29.506]  There is good and there is evil.
[00:14:30.066 --> 00:14:33.348]  And I don't believe in existential shades of grey in this.
[00:14:33.388 --> 00:14:42.752]  So, we can talk about a whole plethora of people, nations, and individuals who are involved, but we can also track this in a system
[00:14:43.436 --> 00:14:48.318]  How it originated, where it came from, and I would say that the cradle of it is Egypt.
[00:14:48.498 --> 00:14:58.603]  The Talmud says nine-tenths of the sorcery that the evil one had, he gave to Egypt, one-tenth went to the other nation.
[00:14:59.435 --> 00:15:11.640]  And actually, that was a left-handed compliment on the part of the Talmudic rabbis, because they're into sorcery, and it was an indicator, one of many, that they wanted to study and master what Egypt had.
[00:15:11.740 --> 00:15:15.062]  And from Egypt to Babylon, from Babylon to the Talmud.
[00:15:15.162 --> 00:15:17.204]  Let's be clear, this isn't just ooga booga.
[00:15:17.624 --> 00:15:26.252]  This is how to know with mathematics when the next eclipse is coming to freak out everybody because the high priest can tell you a year before when it's going to happen.
[00:15:26.572 --> 00:15:30.136]  That's why they build big buildings.
[00:15:30.216 --> 00:15:38.904]  It's a whole system of shocking and making the people feel small and the government and those that run the seats of power as being gods.
[00:15:39.707 --> 00:16:04.240]  Well, Egyptian archaeoastronomy, which you're referring to, and mystical toponomy in terms of the buildings and how they're situated is well known, but it seems to me that the manipulation of words and the notion that words had power and how they were to be utilized is lesser known in our circles, and certainly the Egyptians were masters of word manipulation and keywords.
[00:16:05.102 --> 00:16:11.137]  Uh, which, uh, Dr. Carl Gustav Jung later on in the 20th century would talk about in terms of archetypes.
[00:16:11.505 --> 00:16:13.545]  Which can trigger reactions in people.
[00:16:13.586 --> 00:16:14.946]  So that's the other aspect.
[00:16:14.986 --> 00:16:15.846]  And see, that's it.
[00:16:15.906 --> 00:16:25.768]  So like the atheist world, which the globalists have made people atheists to blind them to the real sciences, that this is really a science, even if you don't believe there's a spirit behind it.
[00:16:26.028 --> 00:16:35.731]  The elites, the ancient elites of 5,000 years ago, they figured out how to literally program people, and that's why they're occult practitioners, because that's really what it is.
[00:16:36.311 --> 00:16:40.912]  And that programming and that pyramidal structure continues in our society today, yes.
[00:16:42.352 --> 00:16:43.192]  Man, you're amazing!
[00:16:43.233 --> 00:16:47.175]  I've got to have you up for two, three, four hours if you'll do it with us, but please continue.
[00:16:48.315 --> 00:17:08.947]  And so, when we get into the Western secret societies, we see an anomaly, because it emerges in the Renaissance, where you have a group of avant-garde thinkers who were beginning to believe that they needed to study the Kabbalah, they needed to study Judaism, in order to advance the concept of human brotherhood.
[00:17:09.477 --> 00:17:19.905]  And yet, the anomaly and the high irony here is that this is when they began to pick up the idea that black people were genetically predisposed to enslavement.
[00:17:19.965 --> 00:17:27.971]  Because as they studied the Kabbalah and the Talmud, and they had been led to believe by various occult Pied Pipers that they were going to find a
[00:17:28.511 --> 00:17:32.695]  Let me stop you.
[00:17:32.715 --> 00:17:43.224]  We now move forward to the Talmud and the Zohar, because the Jews had been in Egypt, they'd also been in Babylon, so they had been in all the different schools as wanderers, picking it all up.
[00:17:43.945 --> 00:17:50.070]  Yes, the Mishnah, the first part of the Talmud, which existed in oral form in Jesus' time,
[00:17:50.620 --> 00:17:56.762]  And then, after Israel rejected its Messiah and became much more corrupt as a result, it was finally committed to writing.
[00:17:56.822 --> 00:18:14.926]  That was done in Babylon in the 2nd, 3rd, and 4th centuries AD, and as a result of that, they did pick up, by a process of osmosis, a great deal of the paganism that was around them, so that the Talmud and the Kabbalah, the Mishnah, the Gemara, the Zohar, the Sefer Yetzirah, and these other texts,
[00:18:15.336 --> 00:18:32.125]  ...are brimming with occult concepts and themes, and this is what I bring out in my book, that basically Judaism, far from being an Old Testament religion that clings to the Old Covenant and rejects Christ, is actually an ossified form of Babylonian paganism.
[00:18:32.485 --> 00:18:35.767]  And this is what infiltrated the West, particularly in the Renaissance.
[00:18:35.847 --> 00:18:42.471]  It had always been gestating there, but it only came into full bloom in the Renaissance, and then of course in early modern Europe,
[00:18:42.981 --> 00:18:47.303]  It came to fruition in the various Rosicrucian and Freemasonic cults.
[00:18:47.683 --> 00:18:50.465]  Which aren't just about having sex orgies and pentagrams.
[00:18:50.905 --> 00:18:58.089]  It's the whole science of wordsmithing, manipulation, brainwashing, mass programming, how to control societies.
[00:18:58.929 --> 00:19:08.454]  And that's why, when you get to the top level, it doesn't matter whether, in my research, whether it's the SS or the Zionists, it's all the exact same people at the top, worshipping the same thing.
[00:19:09.363 --> 00:19:29.111]  Well, you especially see this level of sophistication in a mathematician who was astrologer royal to Queen Elizabeth, Dr. John Dee, the author of many important mathematical texts which to this day are referred to, and yet he was the developer of this scrying concept, this concept of a secret alphabet.
[00:19:29.391 --> 00:19:36.214]  He actually claimed to have contacted extra-human deities with whom he was in contact with
[00:19:37.771 --> 00:19:41.673]  His allies there in the Royal Court of England... Stop!
[00:19:41.794 --> 00:19:42.054]  Stop!
[00:19:42.074 --> 00:19:42.394]  Stop!
[00:19:42.494 --> 00:19:43.095]  We gotta break.
[00:19:43.155 --> 00:19:43.715]  Final segment.
[00:19:43.735 --> 00:19:45.296]  We're gonna have to have him back up very soon.
[00:19:45.917 --> 00:19:48.659]  You understand, ladies and gentlemen, it doesn't matter if you don't believe.
[00:19:48.759 --> 00:19:49.399]  They believe.
[00:19:49.599 --> 00:19:52.542]  And they built the world, the civilization you live in.
[00:19:52.562 --> 00:19:58.306]  And they believe that their great day of mass extermination is coming for you and your family.
[00:19:59.627 --> 00:20:01.028]  It is a big idea.
[00:20:02.129 --> 00:20:03.150]  A new world order.
[00:20:03.870 --> 00:20:04.651]  In the near future.
[00:20:05.666 --> 00:20:07.887]  Earth is dominated by a powerful world government.
[00:20:07.987 --> 00:20:10.868]  It's known as the Bilderberg Group.
[00:20:11.588 --> 00:20:13.809]  Could their objective be world domination?
[00:20:14.369 --> 00:20:16.790]  For thousands of years, their dark order grew.
[00:20:17.530 --> 00:20:30.454]  Now, as they hail the birth of the New World Order, their great dream of exterminating the world, the civilization you live in, and they believe that their great day of mass extermination is coming for you and your family.
[00:20:31.715 --> 00:20:33.135]  It is a big idea.
[00:20:34.196 --> 00:20:35.196]  A New World Order.
[00:20:35.931 --> 00:20:40.254]  In the near future, Earth is dominated by a powerful world government.
[00:20:40.834 --> 00:20:42.996]  It's known as the Bilderberg Group.
[00:20:43.656 --> 00:20:45.897]  Could their objective be world domination?
[00:20:46.438 --> 00:20:48.899]  For thousands of years, their dark order grew.
[00:20:49.640 --> 00:20:56.945]  Now, as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[00:20:59.989 --> 00:21:04.932]  For the first time in history, the elite's plan for world government is blown wide open.
[00:21:05.433 --> 00:21:08.895]  You will learn the secret that drives the entire New World Order agenda.
[00:21:09.295 --> 00:21:11.777]  Build America is making great progress toward a world government.
[00:21:11.857 --> 00:21:13.018]  Most people have no idea.
[00:21:13.038 --> 00:21:13.798]  They're not after money.
[00:21:13.818 --> 00:21:14.879]  They have all the money they need.
[00:21:15.079 --> 00:21:15.800]  They're after power.
[00:21:16.060 --> 00:21:17.341]  That's what they're after these years.
[00:21:17.381 --> 00:21:21.764]  Order Endgame on DVD at PrisonPlanet.com or InfoWars.com.
[00:21:21.964 --> 00:21:25.446]  Or watch it online right now at PrisonPlanet.tv.
[00:21:25.926 --> 00:21:26.307]  Endgame.
[00:21:26.707 --> 00:21:28.228]  Blueprint for global enslaving.
[00:21:28.748 --> 00:21:29.789]  You have been warned.
[00:21:30.589 --> 00:21:38.291]  World Products now is introducing the new Detoxer Foot and Body Pads that work while you're sleeping to pull heavy metals and toxins from the body.
[00:21:38.571 --> 00:21:46.493]  Our Detoxer Pads release unwanted toxins, relieve stress and pain, and improves the immune system, circulation, and blockages all while you're sleeping.
[00:21:46.633 --> 00:21:50.354]  Very simply, you put one pad on each foot before bedtime and go to sleep.
[00:21:50.454 --> 00:21:53.995]  And when you wake up, the toxins that are drawn out of the body will be in the pads.
[00:21:54.235 --> 00:21:56.096]  You peel them off and throw them away.
[00:21:56.236 --> 00:21:57.017]  It's that simple.
[00:21:57.117 --> 00:21:58.898]  Call 908-691-2608.
[00:21:59.839 --> 00:22:05.203]  We encourage our customers to detox in as many ways as possible to bring the body back to a balance.
[00:22:05.443 --> 00:22:08.465]  The average person is exposed to hundreds of chemicals daily.
[00:22:08.565 --> 00:22:11.447]  This is one of the many powerful ways to detox the body.
[00:22:11.608 --> 00:22:16.231]  We recommend you try our Detoxer Foot Pads and see and feel the difference for yourself.
[00:22:16.471 --> 00:22:18.373]  Call today at 1-908-691-2608.
[00:22:19.174 --> 00:22:24.800]  Our detoxer foot pads are vegan and environmentally friendly and do not contain chitosan.
[00:22:24.880 --> 00:22:25.481]  Call today.
[00:22:25.661 --> 00:22:29.104]  World products now at 1-908-691-2608.
[00:22:29.305 --> 00:22:32.248]  Our beloved Republic is on her knees.
[00:22:32.528 --> 00:22:35.972]  The forces of globalism are destroying national sovereignty worldwide.
[00:22:36.152 --> 00:22:37.974]  But in Liberty's darkest hour, there is hope.
[00:22:38.574 --> 00:22:41.315]  The first time in modern history, the people are beginning to wake up.
[00:22:41.615 --> 00:22:47.098]  It is essential that patriots worldwide accelerate their fellow man's understanding of the New World Order Master Plan.
[00:22:47.358 --> 00:22:51.320]  We have a short time frame to fully awaken and energize the people to meet this threat.
[00:22:51.600 --> 00:22:56.522]  In the Info War, PrisonPlanet.tv is a powerful weapon in the battle to regain our freedom.
[00:22:56.802 --> 00:22:59.583]  PrisonPlanet.tv is a vault of forbidden information.
[00:22:59.863 --> 00:23:03.885]  All 18 of my documentary films can be downloaded or streamed in super high quality.
[00:23:04.045 --> 00:23:06.687]  ...directly to your computer or iPhone and share it with others.
[00:23:07.067 --> 00:23:12.872]  Thousands of special video reports, from tainted vaccines to martial law, can be found in this online video library.
[00:23:13.052 --> 00:23:17.575]  My weekly news television broadcast, thousands of exclusive audio interviews, and so much more.
[00:23:17.856 --> 00:23:20.398]  The Info War is waiting for you to set it free.
[00:23:20.738 --> 00:23:22.399]  Join PrisonPlanet.tv.
[00:23:22.799 --> 00:23:24.561]  Burn the info bombs to disk.
[00:23:24.781 --> 00:23:26.562]  Put them on the file sharing networks.
[00:23:26.903 --> 00:23:28.324]  Bring down the New World Order.
[00:23:28.684 --> 00:23:29.384]  PrisonPlanet.tv.
[00:23:31.295 --> 00:23:32.456]  I'm Dr. Bill Deagle, M.D.
[00:23:32.556 --> 00:23:34.638]  of the Nutramedical Report here on Genesis.
[00:23:34.978 --> 00:23:37.960]  Allicin, a natural antibiotic from Allomax Nutraceuticals U.S.
[00:23:38.040 --> 00:23:38.721]  is a real thing.
[00:23:38.781 --> 00:23:45.666]  This amazing molecule is a stabilized antimicrobial antipathogenic killer from fresh, never before available garlic.
[00:23:45.786 --> 00:23:56.675]  Allicin molecule is biologically active against all bacterial pathogens, viruses, fungi, parasites, TB, and it kills fleshy bacteria, MRSA, Acinetobacter infections that ravage our everyday health.
[00:23:56.795 --> 00:24:00.998]  Taken daily, it removes these stealth pathogens, clearing our bodies of disease activators
[00:24:01.018 --> 00:24:07.079]  Look, I'm going to have Michael Hoffman on for two hours next Friday.
[00:24:07.119 --> 00:24:09.380]  The second half of the show.
[00:24:09.580 --> 00:24:13.861]  To really slowly go through all this history.
[00:24:33.191 --> 00:24:40.979]  But I guess in the last five minutes we've got with him, I'll just let him talk about whatever he likes, other than I want him to give me his take on this.
[00:24:41.019 --> 00:24:45.244]  I don't know what his take is, but I would imagine it's probably similar to mine because everything else seems to be similar.
[00:24:46.705 --> 00:24:49.828]  The globalists, the controllers, the architects,
[00:24:51.024 --> 00:24:55.407]  They understand human activities, human interactions, how waves in a pond work.
[00:24:55.647 --> 00:25:03.872]  And so they've designed it where if you fight one of their mechanisms, it's built to actually empower them and make them stronger, unless you strike at the root of it.
[00:25:04.453 --> 00:25:11.997]  Like if, say, you attack Zionism, well, their own documents say it only makes their people support them more, thinking that they're being abused from outside.
[00:25:12.298 --> 00:25:20.103]  Kind of like if you attack corrupt police in a wrong way, which I do all the time, out of primitiveness, that actually compacts them more into their gang mentality.
[00:25:20.763 --> 00:25:30.330]  But then if you give people a wide spectrum that know, at the highest level, it isn't even one group, it's a mindset, a belief, then people can suddenly unlock that.
[00:25:30.350 --> 00:25:31.711]  Kind of like he was saying about slavery.
[00:25:32.131 --> 00:25:41.698]  It's important to understand that whites were slaves too, because then it ends this enmity, but that lie was put there so that we would have enmity and fight with each other.
[00:25:42.378 --> 00:25:49.582]  And so this is all, I don't want to use the term delicate, it's just so sophisticated that I can see it, but it's hard to even articulate.
[00:25:50.023 --> 00:25:51.884]  I guess that's why he writes 900 page books.
