[00:00:00.009 --> 00:00:00.309]  Big Brother!
[00:10:06.148 --> 00:10:08.029]  You can bet your bottom dollar.
[00:10:08.789 --> 00:10:16.292]  People in the power structure know that they need an army, their private army.
[00:10:17.272 --> 00:10:24.155]  The people in the power structure know that they need train the regular army.
[00:10:27.907 --> 00:10:43.998]  And you're saying you believe, they've been setting this up quietly for decades, as you know, it seems it's all coming to a head.
[00:10:44.458 --> 00:10:49.782]  Are you saying, General, the evidence is showing it's going to be initiated, it's going to be staged?
[00:10:54.316 --> 00:10:58.758]  It's very interesting because let me tell you how the intelligence works.
[00:10:58.958 --> 00:11:04.560]  First of all, any single piece of information is nothing more than a dot.
[00:11:04.580 --> 00:11:06.340]  That's all it is.
[00:11:07.000 --> 00:11:10.121]  It is an unverified piece of information.
[00:11:11.062 --> 00:11:14.283]  Then you get another unverified piece of information.
[00:11:15.003 --> 00:11:18.184]  And a third unverified piece of information.
[00:11:18.224 --> 00:11:19.285]  So I now have three dots.
[00:11:19.905 --> 00:11:20.605]  And four dots.
[00:11:21.005 --> 00:11:23.566]  Then when I get to a hundred dots, suddenly
[00:11:24.531 --> 00:11:26.793]  It's a picture that emerges out of the dots.
[00:11:27.493 --> 00:11:29.035]  It's no longer a set of dots.
[00:11:29.655 --> 00:11:31.236]  It's a picture that emerges.
[00:11:32.097 --> 00:11:52.954]  Oh, by the way, even though each dot may or may not be fully substantiated, the mass of the dots that come out to create the picture, suddenly, you're sitting there looking at all these dots, and suddenly, out of this, it's like a 3D crossword, or a 3D
[00:11:54.571 --> 00:11:55.292]  It's a picture puzzle.
[00:11:55.512 --> 00:11:57.954]  Exactly, that's how... Oh, amazing, General, stay there.
[00:11:57.974 --> 00:12:02.357]  We're going to break and come back, and then shift into the health attack, what's happening, how we counter it.
[00:12:02.577 --> 00:12:05.219]  But that's exactly how I described it myself earlier this week.
[00:12:05.519 --> 00:12:09.662]  I'll study things for years, and then finally, it's like all the pieces come together.
[00:12:09.702 --> 00:12:11.784]  It's exactly what you're saying.
[00:12:11.804 --> 00:12:13.825]  I want to skip this break.
[00:12:13.865 --> 00:12:15.767]  I want to skip this break, John.
[00:12:17.108 --> 00:12:18.069]  General Stubblebine.
[00:12:20.410 --> 00:12:21.111]  General Stubblebine.
[00:12:22.233 --> 00:12:23.234]  You should be there.
[00:12:23.334 --> 00:12:26.257]  I think he's handing the phone to Dr. Labo.
[00:12:26.277 --> 00:12:26.817]  Dr. Labo?
[00:12:28.058 --> 00:12:28.679]  Yeah, I'm here too.
[00:12:29.059 --> 00:12:31.321]  Are you guys sharing the telephone again down there in Panama?
[00:12:31.621 --> 00:12:32.842]  No, we have separate phones.
[00:12:33.243 --> 00:12:34.043]  Okay, fantastic.
[00:12:34.744 --> 00:12:36.686]  Listen, listen, we're on the internet live right now.
[00:12:36.706 --> 00:12:39.588]  We're going to be back on the main AM and FM when we come back.
[00:12:40.389 --> 00:12:42.331]  What do you guys both want to get into first?
[00:12:42.891 --> 00:12:44.432]  What Codex Alimentarius is?
[00:12:47.495 --> 00:12:58.535]  Recap of how you've been fighting it, what the latest meeting revealed, and then go through the catalog of things they're doing to us, and then how to counter it, and then how folks can go join your organization.
[00:12:59.778 --> 00:13:00.959]  Get on your free mailing list?
[00:13:00.979 --> 00:13:17.693]  We also want to have time, Alex, to talk about reclaiming the production of food and taking back your health by taking back your food, becoming an intensive farmer in your apartment or whatever, and we want to talk about the Panama Project.
[00:13:19.454 --> 00:13:21.136]  Let me just briefly ask the General a question.
[00:13:21.476 --> 00:13:28.442]  General, were you done with the statement about the dots, or do you want to briefly, when we come back, finish that and then get into all the other topics, or are you done?
[00:13:29.042 --> 00:13:36.626]  All I want to do is just like you did, suddenly a picture emerges and you say, oh, truth dawns then.
[00:13:37.446 --> 00:13:38.547]  And now what do you do with it?
[00:13:38.967 --> 00:13:42.229]  You're stuck with this picture and you now have to
[00:13:43.536 --> 00:13:47.779]  You know, take the countermeasures against that.
[00:13:48.799 --> 00:13:50.000]  I mean, you call it dots.
[00:13:50.180 --> 00:13:51.641]  Now they're just announcing it.
[00:13:51.661 --> 00:13:54.363]  I mean, they say this is for the American people.
[00:13:54.403 --> 00:13:56.364]  They say they're going to use the army on us.
[00:13:56.624 --> 00:13:58.105]  They say torture's good.
[00:13:58.125 --> 00:14:01.827]  And it's psychological warfare.
[00:14:01.847 --> 00:14:04.789]  I mean, you're an expert in this, but perhaps you can speak to this when we come back, too.
[00:14:04.809 --> 00:14:07.751]  And then we're going to do a big turn with Dr. Labo.
[00:14:07.791 --> 00:14:08.632]  We appreciate her being here.
[00:14:09.452 --> 00:14:17.195]  Is that it seems they're throwing it in our face to kind of just shock us into acclimation when they go, we always said mercury was bad, now it's good for kids.
[00:14:17.516 --> 00:14:20.517]  We always said melamine was bad, now we say it's good for kids.
[00:14:21.217 --> 00:14:24.098]  You know, we always said that poison was bad, now it's good.
[00:14:24.118 --> 00:14:33.562]  I mean, it's like they're wanting to reveal... This was predicted and this was delineated by George Orwell.
[00:14:33.662 --> 00:14:34.923]  We know how this works.
[00:14:36.044 --> 00:14:40.927]  He was a prescient genius who told us, they're following the Orwellian script.
[00:14:41.127 --> 00:14:43.328]  They do it just as he said they would do it.
[00:14:43.608 --> 00:14:52.973]  They twist meaning, they change reality, and if we're not alert and holding on to our reality, we become their pawn.
[00:14:53.653 --> 00:14:54.493]  Absolutely.
[00:14:55.294 --> 00:14:56.774]  One point, we're going live in one minute.
[00:14:58.803 --> 00:14:59.123]  Fabulous!
[00:14:59.143 --> 00:14:59.383]  Fabulous!
[00:15:23.446 --> 00:15:26.627]  You're the only person in the world that I'd ever agree to back off for.
[00:15:26.647 --> 00:15:30.630]  But you are a little loud.
[00:15:32.631 --> 00:15:39.215]  See, I've got it cranked way up so I can hear the General, and then when you talk, it's like, it's like the thunders.
[00:15:39.235 --> 00:15:40.556]  How about this, Alex?
[00:15:40.856 --> 00:15:42.337]  I'm holding the phone further away.
[00:15:42.357 --> 00:15:42.857]  Does that help?
[00:15:44.318 --> 00:15:47.260]  Yeah, it's a lot better.
[00:15:47.280 --> 00:15:47.600]  Here we go.
[00:15:47.620 --> 00:15:48.701]  We're going live in 20 seconds.
[00:15:49.602 --> 00:15:51.904]  And we'll come back and have the general finish and then go back to you.
[00:15:52.184 --> 00:15:53.605]  This is a short segment, a long one.
[00:15:53.825 --> 00:15:56.507]  We have an 18-minute segment coming up, so you won't be interrupted after this one.
[00:15:56.787 --> 00:15:57.527]  This is a short one.
[00:15:57.547 --> 00:15:58.068]  Here we go, guys.
[00:16:14.531 --> 00:16:17.192]  Alright, let's go right back to our guest, General Stubblebine.
[00:16:17.212 --> 00:16:25.777]  Finishing up the point about intelligence, a dot here, a dot there, and then overall, you get the clear picture.
[00:16:25.837 --> 00:16:30.119]  Now it's not even dots, they're just throwing it in our face, admitting everything.
[00:16:31.019 --> 00:16:32.080]  Finish up that thought, sir.
[00:16:33.501 --> 00:16:43.586]  Well look, the first thing that, when you have the dots, and you know, it's nothing but a set of dots, and then suddenly, just suddenly, the entire picture just sort of
[00:16:44.227 --> 00:16:48.428]  is there in front of you and you said, Oh my God, I've had this information all along.
[00:16:48.889 --> 00:16:49.309]  Bingo.
[00:16:49.389 --> 00:16:49.909]  There it is.
[00:16:50.369 --> 00:16:50.989]  Now I know.
[00:16:51.710 --> 00:16:55.531]  The question then becomes, what do I do about it?
[00:16:55.711 --> 00:17:00.513]  When I know what the picture is and I know it's horrific, what the heck do I do?
[00:17:01.013 --> 00:17:02.213]  Do I just accept it?
[00:17:02.693 --> 00:17:08.075]  Do I just sort of lay down and give up?
[00:17:08.095 --> 00:17:10.976]  Or do I begin to resist?
[00:17:11.036 --> 00:17:13.537]  Do I mount a resistance of some sort?
[00:17:14.150 --> 00:17:17.212]  What do I do with this picture now that I know what it is?
[00:17:17.812 --> 00:17:29.518]  And what's happening, Alex, unfortunately, and you mentioned it, what's happening is they're now saying, oh yes, by the way, we are going to destroy the Constitution.
[00:17:29.558 --> 00:17:31.418]  We're not going to pay attention to the Constitution.
[00:17:31.439 --> 00:17:40.523]  And oh, by the way, we are going to deploy army troops to quell any kind of resistance that you might put up.
[00:17:41.016 --> 00:17:46.377]  And if you resist, you probably are going to go into a detainment camp somewhere.
[00:17:47.157 --> 00:17:55.459]  Well, now that they're pronouncing it, now that they're saying it, again, what does the populace do?
[00:17:55.479 --> 00:17:57.800]  I'll tell you what most of it is doing.
[00:17:57.880 --> 00:18:01.721]  It's saying, whoa, back off, back off, back off.
[00:18:02.301 --> 00:18:03.681]  I think I will be quiet.
[00:18:04.121 --> 00:18:06.822]  I think I will just shut up and pay attention.
[00:18:09.568 --> 00:18:33.513]  So you're saying they're openly announcing it to cause a chilling effect, and A, that's one question, and then B, I'm going to throw this in, they threaten Congress as you know, or if you don't we'll play the clip, Senator Inhofe admits it, others, with martial law they wouldn't pass the banker takeover, so this is the illegitimate government menacing the real government.
[00:18:33.893 --> 00:18:34.213]  Go ahead.
[00:18:35.836 --> 00:18:42.239]  That's exactly what's happening, and oh, by the way, what is happening with all of these announcements?
[00:18:43.079 --> 00:18:45.700]  The introduction of fear.
[00:18:46.721 --> 00:18:48.381]  Fear subdues.
[00:18:49.162 --> 00:18:57.825]  And let me tell you, that's exactly where they're headed, because they're going to make it fearful for anybody to do anything in the way of resistance.
[00:18:58.405 --> 00:18:58.826]  Period.
[00:18:59.146 --> 00:19:00.987]  Well, is something wrong with me, then, or you?
[00:19:01.427 --> 00:19:04.088]  All this does is make me angry and want to mount a resistance.
[00:19:05.367 --> 00:19:06.748]  Well, may I jump in?
[00:19:06.828 --> 00:19:18.995]  Yes, go ahead, Dr. I think what's happening is that you and General Pebblebine and I and the other patriots and freedom folks have not brushed their teeth with enough fluoride.
[00:19:20.516 --> 00:19:34.465]  Fluoride, as I'm sure your listeners know, Alex, and as I know you know, was used initially in the Soviet gulag to make the political prisoners easy to deal with.
[00:19:34.963 --> 00:19:35.403]  Thank you.
[00:19:51.988 --> 00:19:54.549]  Hold on, we've got an hour and a half coming up so we can get into that.
[00:19:54.850 --> 00:20:00.352]  By the way, two years ago, the American Medical Association said, kids under six, don't give it to them, it's bad for your teeth.
[00:20:00.432 --> 00:20:07.215]  So, for those that don't believe us, they admit it's not good for your teeth, it causes dental firosis, but you're a medical doctor.
[00:20:07.895 --> 00:20:09.216]  So, I mean, certainly you can speak to that.
[00:20:10.497 --> 00:20:11.117]  Absolutely.
[00:20:11.417 --> 00:20:14.919]  But the point is that we have been poisoned, we have been
[00:20:16.092 --> 00:20:18.513]  subdued psychologically through the media.
[00:20:18.873 --> 00:20:32.278]  We have been rendered fearful and we have been rendered apathetic by the toxins in our diet, by the microwaves, and by the toxic information or quote information that we've taken in.
[00:20:32.978 --> 00:20:34.079]  It's having its effect.
[00:20:34.739 --> 00:20:43.082]  This is a full-spectrum cocktail and then you find out they knew decades before and they deploy these as weapon systems against us, General.
[00:20:45.407 --> 00:20:46.087]  Absolutely.
[00:20:46.147 --> 00:20:47.728]  And guess what?
[00:20:48.249 --> 00:20:52.991]  The food that is being degraded is being used as a weapon.
[00:20:53.371 --> 00:21:00.595]  I mean, you know, it's not being touted right now as weaponized food, but that's exactly where they're going and that's exactly what's happening.
[00:21:01.015 --> 00:21:12.841]  And so every bit of bite of food that you take in, if you allow them the privilege of eating the food that they would like you to eat,
[00:21:13.462 --> 00:21:26.023]  You know, if you don't eat organic food then you're going to get the GMO food, you're going to get all of the things that have been put into there that will impact your body.
[00:21:26.798 --> 00:21:31.341]  And not impacted very well, from a health perspective.
[00:21:31.622 --> 00:21:34.464]  And so the food is being weaponized!
[00:21:48.934 --> 00:21:51.696]  And it's in the Royal Commission on Population, put out by the British they are.
[00:21:51.736 --> 00:21:53.998]  So what the General and the Doctor are saying is the truth.
[00:21:54.338 --> 00:21:59.142]  Amazing interview with General Stubblebine and Dr. Labo and their website.
[00:21:59.182 --> 00:22:01.924]  We've got that up on screen at PrisonPlanet.tv.
[00:22:03.345 --> 00:22:04.245]  We're on the march.
[00:22:04.726 --> 00:22:06.327]  The Empire's on the run.
[00:22:07.268 --> 00:22:10.010]  Alex Jones and the GCN Radio Network.
[00:22:11.371 --> 00:22:13.312]  John, let them know we're going to be back in three minutes.
[00:22:15.939 --> 00:22:22.043]  80% of all Americans and 85% of people around the world suffer from internal parasites and parasitic infection?
[00:22:22.203 --> 00:22:30.247]  You may be one of millions of people suffering from one of dozens of debilitating chronic diseases from these parasites and your doctor would never know it.
[00:22:30.367 --> 00:22:34.889]  In fact, clinically detected parasites account for only 1% of all cases.
[00:22:34.969 --> 00:22:37.590]  Don't continue to suffer from pain due to misdiagnosis.
[00:22:37.731 --> 00:22:44.454]  Now you can fight internal parasites, heavy metal poisoning and high cholesterol naturally and safely by mixing fossilized
[00:22:44.714 --> 00:22:49.015]  Phytoplankton powder, also known as FPP, with your favorite beverage once a day.
[00:22:49.275 --> 00:22:55.456]  FPP is used around the world, has numerous uses, and is now available to you from Freshwater Organics.
[00:22:55.696 --> 00:23:03.457]  FPP strengthens skin, hair, and bones, lowers cholesterol, and is an excellent source of natural plant-based silica with 14 trace minerals.
[00:23:03.617 --> 00:23:06.418]  Order some today at FreshwaterOrganics.com.
[00:23:06.518 --> 00:23:09.398]  Again, that's FreshwaterOrganics.com or call 888-949-3570.
[00:23:13.086 --> 00:23:15.007]  May I have everybody's attention please?
[00:23:15.047 --> 00:23:17.528]  I've come with a message of information.
[00:23:17.548 --> 00:23:19.689]  9-11 was an inside job.
[00:23:19.809 --> 00:23:21.370]  Do you like being a puppet, sir?
[00:23:21.390 --> 00:23:23.011]  Do you like being a puppet for the New World Order?
[00:23:23.091 --> 00:23:25.952]  How do the American people know that 9-11 was a stage?
[00:23:25.992 --> 00:23:29.614]  Was it engineered by you, David Rockefeller, the Trilateral Commission, the CFR?
[00:23:39.270 --> 00:23:44.174]  Seven years after the attacks of September 11th, a global awakening has taken place.
[00:23:45.415 --> 00:23:46.576]  An inside job?
[00:23:47.937 --> 00:23:48.998]  How dare you?
[00:23:50.379 --> 00:23:55.444]  If you know that there's treason going on, you can be held accountable for treason yourself.
[00:23:55.464 --> 00:23:57.745]  All hell is breaking loose on 6th Avenue.
[00:23:57.785 --> 00:24:00.228]  And if the government has not told the truth in five years,
[00:24:03.115 --> 00:24:04.758]  Truth Rising.
[00:24:04.798 --> 00:24:07.382]  Download the film at PrisonPlanet.tv right now.
[00:24:07.643 --> 00:24:09.646]  Or get the DVD at Infowars.com.
[00:24:09.927 --> 00:24:12.391]  It's now time to take the revolution to the next level.
[00:24:13.883 --> 00:24:17.706]  You don't have to be in the military to enjoy military surplus savings.
[00:24:18.026 --> 00:24:23.831]  Right now at MainMilitary.com, you'll find savings on the top must-have military supplies.
[00:24:24.191 --> 00:24:27.273]  M10 gas masks for twelve dollars or three for thirty.
[00:24:27.493 --> 00:24:29.895]  Gas mask hoods, four dollars or three for ten.
[00:24:30.135 --> 00:24:32.457]  Mask filters, six dollars or three for fifteen.
[00:24:32.757 --> 00:24:35.619]  Save big on British chemical suits, only twelve dollars.
[00:24:35.819 --> 00:24:37.621]  Israeli gas masks, twenty dollars.
[00:24:37.901 --> 00:24:38.861]  Trigger finger gloves.
[00:24:38.981 --> 00:24:41.282]  Five dollars a pair or thirty six dollars a dozen.
[00:24:41.543 --> 00:24:44.684]  Snowshoe binding for eight dollars or forty eight dollars a dozen.
[00:24:44.884 --> 00:24:45.904]  And so much more.
[00:24:46.184 --> 00:24:47.965]  Even hard to find surplus items.
[00:24:48.265 --> 00:24:49.626]  All at surplus prices.
[00:24:49.886 --> 00:24:54.648]  Preparing the whole family has never been so affordable at MainMilitary.com.
[00:24:54.948 --> 00:24:56.369]  MainMilitary.com.
[00:24:56.569 --> 00:24:59.410]  One of the last surviving true surplus stores in the country.
[00:24:59.770 --> 00:25:03.393]  Shop now at MAINEMILITARY.COM or call 877-608-0179.
[00:25:03.413 --> 00:25:04.233]  That's 877-608-0179 today.
[00:25:33.939 --> 00:25:39.405]  The entire configuration being designed by the global government, openly announced now, there's no more denial.
[00:25:40.046 --> 00:25:43.209]  Those of us who could see the dots years ago, decades ago, you laughed at us.
[00:25:43.750 --> 00:25:44.991]  Now, it's not even dots.
[00:25:45.492 --> 00:25:47.074]  They just took the mask right off.
[00:25:47.875 --> 00:25:50.698]  And they said, we're coming straight on for humanity.
[00:25:52.844 --> 00:25:53.705]  We don't have a choice.
[00:25:53.805 --> 00:25:55.407]  We have to fight back in any way we can.
[00:25:55.427 --> 00:26:03.035]  And I'm going to ask Major General Stubblebine and Dr. Labo, from their educated perspective, what we do in that fight.
[00:26:04.056 --> 00:26:07.761]  But let's continue, for those that don't know, with some of the worst things.
[00:26:07.981 --> 00:26:13.287]  Not just the melamine, but the plastics, with the estrogen mimicking, endocrine disruptors.
[00:26:14.007 --> 00:26:23.692]  What the GMO foods are doing, sterilizing, what's being sprayed, the fluoride, the mercury, the arsenic being added by design, and not just fluoride, but all added to the water.
[00:26:24.333 --> 00:26:36.379]  And where you see this all going, as they build up and they mass all of this against us, as they get private armies to protect their own systems, it's clear, as you said General, they're bringing in something hellish.
[00:26:36.399 --> 00:26:40.741]  So both of you, you have the floor, just whatever you think is most important.
[00:26:42.537 --> 00:26:58.308]  Well, let's start with the fact that every bite we take can either add to our health and our vitality or it can diminish our ability to protect ourselves through our immune system and through our regenerative capacity.
[00:26:59.168 --> 00:26:59.929]  I'm a physician.
[00:27:00.029 --> 00:27:03.592]  I have practiced drug-free medicine for the best part of 40 years.
[00:27:04.594 --> 00:27:09.236]  So I'm very, very aware of what nutrition does.
[00:27:09.416 --> 00:27:14.718]  And you've treated to interrupt royalty and heads of state.
[00:27:14.738 --> 00:27:15.999]  But let me see your top position.
[00:27:16.019 --> 00:27:16.339]  Go ahead.
[00:27:18.139 --> 00:27:32.465]  And the reason that royalty, heads of state, people from all over the world came to see us in our practice was that when everything else that conventional medicine has to offer has failed,
[00:27:32.984 --> 00:27:47.715]  People seek the sensible alternatives, and I am, by the way, a physician who believes that the only place that pharmaceuticals have a reason to exist in medicine is in the emergency room.
[00:27:47.815 --> 00:28:01.845]  Beyond that, virtually everything that a pharmaceutical does, dangerously, expensively, and with tremendous side effects, everything can be done by natural methods, by frequency medicine, by nutrition,
[00:28:02.407 --> 00:28:15.172]  By energy medicine and the reason I can say that so confidently is that throughout my entire career I have treated the most difficult patients that anybody can have in their practice.
[00:28:15.212 --> 00:28:24.156]  People who were dying or unable to tolerate meds and in terrible trouble and they came to me and by and large they got well.
[00:28:25.217 --> 00:28:30.759]  Not just symptom free which is all that allopathic medicine has to offer if it
[00:28:31.600 --> 00:28:44.708]  If it does that well, and usually it doesn't, but truly, radiantly, and in many cases, transcendently well, through giving the body, the heart, the mind, the spirit, what it needs to heal.
