[00:00:00.049 --> 00:00:00.389]  Watch it.
[00:04:17.574 --> 00:04:32.795]  Here in Austin, Texas, the big talk station in Central Texas, News Radio 590, that we broadcast out of to stations like KCAA in San Diego and to Los Angeles and stations like KCXL out there in good old
[00:04:34.184 --> 00:04:39.208]  Missouri, Kansas City, and fine stations all over the nation.
[00:04:39.268 --> 00:04:46.294]  So, again, we are honored to have you joining us today, and we will be going to your phone calls coming up here pretty quickly.
[00:04:47.035 --> 00:04:47.575]  Let me see.
[00:04:48.456 --> 00:04:51.899]  Should I get into economics now, economic collapse, all engineered?
[00:04:52.459 --> 00:04:56.603]  Should I get into Hillary's good, if you don't vote for her, you're a communist?
[00:04:57.624 --> 00:04:59.886]  Or should I get into the control grid?
[00:04:59.906 --> 00:05:02.568]  I think I'll get into control grid later.
[00:05:03.329 --> 00:05:05.411]  Right now, let's just go ahead and get into this.
[00:05:06.132 --> 00:05:11.977]  ABC News reported yesterday, and we have the video clip up on TruthNews.com.
[00:05:12.557 --> 00:05:14.699]  TruthNews.us and PrisonPlanet.com.
[00:05:15.440 --> 00:05:19.043]  And that is, Coulter, I would vote for Hillary over McCain.
[00:05:19.523 --> 00:05:22.326]  And of course, McCain and Romney are the two anointed ones.
[00:05:22.898 --> 00:05:24.419]  Probably end up with McCain.
[00:05:24.799 --> 00:05:28.941]  Vacations, hangs out with the Clintons just like Clinton hangs out with the Bushes and vacations with them.
[00:05:29.461 --> 00:05:34.123]  Coulter, I will vote for Hillary over McCain in case you missed it on Hannity and Combs last night.
[00:05:34.625 --> 00:05:35.946]  That's now two nights ago.
[00:05:36.246 --> 00:05:45.151]  Controversial pundit Ann Coulter, who supports Mitt Romney for President, said she would back Senator Hillary Clinton, Democrat from New York, over Senator John McCain, Republican from Arizona.
[00:05:45.731 --> 00:05:48.113]  She's more conservative than he is, she said.
[00:05:48.573 --> 00:05:50.654]  She will be stronger on the war on terrorism.
[00:05:51.175 --> 00:05:53.716]  I will campaign for her if it's McCain.
[00:05:54.577 --> 00:05:57.458]  And it goes on to break that down.
[00:05:58.339 --> 00:06:03.802]  I remember discovering almost eight years ago now, I keep saying five years, but a few years have passed, almost eight years ago,
[00:06:04.372 --> 00:06:11.234]  Right when Hillary got elected to the Senate, Rupert Murdoch had been quietly supporting her, advising her, having fundraisers for her.
[00:06:11.614 --> 00:06:14.735]  Roger Ailes, the head of Fox News, had been doing that.
[00:06:15.616 --> 00:06:17.476]  And that she was the anointed one from the beginning.
[00:06:17.496 --> 00:06:19.217]  We've been saying this, of course, now for seven years.
[00:06:19.617 --> 00:06:20.617]  And now you see it unfolding.
[00:06:20.957 --> 00:06:25.018]  Now there's all these mainstream articles about the White House writing her speeches, advising her.
[00:06:25.339 --> 00:06:28.660]  She's a CIA operative, hired by Clinton back in 68.
[00:06:30.513 --> 00:06:31.874]  And this is a staged event.
[00:06:31.934 --> 00:06:39.197]  It's completely, absolutely, totally staged, as President Franklin Delano Roosevelt said in 1939 to a newspaper.
[00:06:39.717 --> 00:06:42.938]  He said that nothing serious in politics happens by accident.
[00:06:42.978 --> 00:06:46.360]  If it happens, you can bet and know that it was planned to happen that way.
[00:06:46.380 --> 00:06:50.261]  But let's not listen to that conspiracy theorist Franklin Delano Roosevelt.
[00:06:50.281 --> 00:06:51.862]  I'm sure he knows nothing about these things.
[00:06:52.142 --> 00:06:56.244]  And let's not listen to the conspiracy theorists either, even though the patriots have paid fines and admit they did it.
[00:06:56.264 --> 00:06:59.425]  It didn't happen because no one can scheme and engage in corruption
[00:07:00.017 --> 00:07:04.601]  Now, there was no watching the other teams, and like Madden said, it's no big deal anyway.
[00:07:04.721 --> 00:07:06.943]  So, again, I'm learning myself.
[00:07:07.403 --> 00:07:16.631]  Just like CNN and Fox say there's no Trans-Texas Corridor, no Napta Highway, it's on billboards and signs everywhere all over Texas, and in all the official documents, and doesn't matter, it doesn't exist!
[00:07:17.232 --> 00:07:19.013]  Just like inflation doesn't exist right now.
[00:07:19.033 --> 00:07:25.099]  I mean, I go get a hamburger at a hamburger place and it's twelve bucks with fries.
[00:07:25.399 --> 00:07:26.540]  Oh, there's no inflation!
[00:07:26.560 --> 00:07:27.841]  A year ago it was six bucks!
[00:07:29.133 --> 00:07:32.016]  Oh no, a Mustang that was $20,000 a year ago is $30,000 today.
[00:07:32.176 --> 00:07:36.660]  A house that was $500,000 is $1,000,000 two years later.
[00:07:36.740 --> 00:07:38.582]  No, no, there's no inflation.
[00:07:39.002 --> 00:07:40.303]  The dollar is great.
[00:07:40.403 --> 00:07:44.527]  Everything is hunky-dory right here in the good old America.
[00:07:45.717 --> 00:07:51.942]  But I would ask all of the braindead fake conservatives that think that Bush passing the biggest gun control bill in U.S.
[00:07:51.962 --> 00:08:07.936]  history, signing it two months ago, a month ago, excuse me, people who think open borders and total amnesty is conservative, people who think this string of fake libertarians and fake Republican prostitutes up there selling you the New World Order are conservative, are you still drinking that Kool-Aid?
[00:08:08.176 --> 00:08:10.738]  That's the question I've got for you today.
[00:08:11.038 --> 00:08:13.080]  And I'm daring those that snivel.
[00:08:14.039 --> 00:08:19.382]  And grovel around, scratching in the dirt, claiming that George Bush is good.
[00:08:19.442 --> 00:08:20.642]  Look, George Bush is bad.
[00:08:20.662 --> 00:08:21.723]  George Bush is a puppet.
[00:08:21.943 --> 00:08:23.123]  Hillary Clinton's a puppet.
[00:08:23.303 --> 00:08:33.568]  They're all a bunch of puppets of the big global corporations that have bought off our government and have used it as a personal cash machine to transfer trillions of our tax dollars right into their fat bellies!
[00:08:34.648 --> 00:08:40.431]  And if you don't wake up to that real soon, they're going to fully dissolve all the power Congress and the President has.
[00:08:40.651 --> 00:08:41.832]  It's almost already gone.
[00:08:43.075 --> 00:08:46.336]  Since 1995, 13 years ago.
[00:08:47.796 --> 00:08:53.498]  All the major deals on trade has been controlled by the World Trade Organization, handed over by our Congress.
[00:08:54.218 --> 00:08:56.219]  We're inside the world government.
[00:08:56.659 --> 00:08:57.059]  Culture.
[00:08:57.119 --> 00:08:58.299]  Hillary is our girl.
[00:08:58.359 --> 00:09:00.700]  That is a disgusting quote.
[00:09:01.200 --> 00:09:09.782]  Courtenay Moe wrote a great story about this with hyperlinks to all the stories about how she's fully financed by the Republican Party at TruthNews.us.
[00:09:09.822 --> 00:09:12.303]  But don't actually go read the White House saying she's good.
[00:09:13.246 --> 00:09:21.253]  Yeah, I'm sure you haven't noticed that former Republican operative, neocons creature, Joe Scarborough endorsing her on MSNBC.
[00:09:21.773 --> 00:09:26.837]  Oh, this is magically all happening by accident, isn't it?
[00:09:27.658 --> 00:09:31.801]  How many years have I told you we would see Hillary hailed by Fox News?
[00:09:33.323 --> 00:09:35.845]  So see, when I was attacking Clinton, I was a right-wing extremist.
[00:09:35.865 --> 00:09:37.486]  Then I attacked Bush, I was a liberal.
[00:09:37.606 --> 00:09:40.268]  Now, I'm a hardcore commie.
[00:09:41.149 --> 00:09:41.950]  Because I'm against.
[00:09:43.228 --> 00:09:44.909]  Hillary Rodham Clinton.
[00:09:44.949 --> 00:09:45.149]  Fine.
[00:09:45.169 --> 00:09:47.190]  You go ahead and go vote for her, you scum.
[00:09:47.910 --> 00:09:49.291]  Just remember, you're trash.
[00:09:49.411 --> 00:09:50.171]  We'll be right back.
[00:09:50.191 --> 00:09:50.651]  Stay with me.
[00:10:00.516 --> 00:10:01.176]  It's a fact.
[00:10:01.397 --> 00:10:08.861]  Since the creation of the Federal Reserve in 1913, all banks in these United States create money out of thin air for every single loan they issue.
[00:10:08.981 --> 00:10:17.826]  With never-ending late fees, over-the-limit fees, and higher and higher interest rates, it has become mathematically impossible to repay all debt, making all of us slaves to our creditors.
[00:10:18.106 --> 00:10:28.673]  The Federal Debt Relief System has created a successful attorney-backed program to legally eliminate credit card debt, personal loans, lines of credit, and other unsecured debts which have been fraudulently created by the banks.
[00:10:28.933 --> 00:10:34.997]  We can terminate your unsecured debt within 18 months with a much lower monthly payment, ending with nothing on your credit report.
[00:10:35.217 --> 00:10:40.221]  Join the thousands of Americans who now breathe with a sigh of relief because they have legally eliminated their debt.
[00:10:40.421 --> 00:10:44.904]  Instead of living each day in fear and frustration, it's time to take action and turn your life around.
[00:10:45.064 --> 00:10:46.725]  Call the Federal Debt Relief System at
[00:10:48.046 --> 00:10:48.546]  We're good to go.
[00:11:15.151 --> 00:11:17.813]  Hedge funds cut in the malaise of mortgage bankruptcies.
[00:11:17.853 --> 00:11:19.634]  The bond market continues to slump.
[00:11:19.794 --> 00:11:20.095]  J.P.
[00:11:20.155 --> 00:11:23.097]  Morgan gets caught in a $10 billion bad deal for Chrysler.
[00:11:23.117 --> 00:11:24.638]  Housing sales fell 6.6%.
[00:11:25.398 --> 00:11:30.202]  Mortgage giant Countrywide showed mortgage payment woes spreading to the middle and upper class.
[00:11:30.282 --> 00:11:32.684]  Investors cast doubt on investment banks.
[00:11:32.824 --> 00:11:37.187]  Credit protection insurance for mortgage lenders are skyrocketing due to the increased risk.
[00:11:37.507 --> 00:11:37.927]  The U.S.
[00:11:37.967 --> 00:11:42.311]  dollar is free-falling against foreign currencies and countries that previously financed the U.S.
[00:11:42.411 --> 00:11:44.152]  are now seeking safer alternatives.
[00:11:44.592 --> 00:11:47.293]  Economist Rory Boyd published the report, Bubble Leaking.
[00:11:47.613 --> 00:11:48.734]  Call for the report today, 800-686-2237.
[00:11:48.894 --> 00:11:54.436]  The value of your hard-earned money is being lost in a global game of chess.
[00:11:54.516 --> 00:11:56.357]  Call 800-686-2237.
[00:11:56.417 --> 00:11:57.477]  That's 800-686-2237.
[00:11:57.497 --> 00:12:03.360]  Hi neighbor, this is Steve Shank, Fearless Task Force.
[00:12:03.920 --> 00:12:06.461]  Life is a gamble, but you can stack the deck.
[00:12:07.444 --> 00:12:16.686]  If you knew what I know about all the problems food will protect you from, you'd start immediately to put every effort and dollar you can get into the biggest supply of food possible.
[00:12:17.378 --> 00:12:31.585]  When the dollar and economy crash, when the imported and genetically poisoned food is all that's left, when the quarantine and bird flu hit, our only protection and only chance to be fearless is having control of our own supply of food and enough of it.
[00:12:31.845 --> 00:12:39.529]  But if you knew what we haven't yet discovered, you wouldn't waste time listening to the rest of this announcement before charging out and getting a serious food supply.
[00:12:40.050 --> 00:12:42.891]  Decide, it's food now or probably never.
[00:12:43.271 --> 00:12:44.552]  But can you afford to be wrong?
[00:12:45.232 --> 00:12:45.932]  Decide now.
[00:12:46.413 --> 00:12:47.193]  Place your bet.
[00:12:47.993 --> 00:12:49.474]  Can you afford to be wrong?
[00:12:49.834 --> 00:12:51.234]  Call 800-409-5633 on the web efoodsdirect.com.
[00:12:51.254 --> 00:12:51.394]  Call 800-409-5633.
[00:13:00.629 --> 00:13:03.170]  Terror Storm, a history of government-sponsored terror.
[00:13:03.490 --> 00:13:04.771]  Loose Change Final Cut.
[00:13:05.051 --> 00:13:07.032]  Endgame, blueprint for global enslavement.
[00:13:07.212 --> 00:13:08.953]  The true story of the Bilderberg Group.
[00:13:09.093 --> 00:13:10.333]  The late, great USA.
[00:13:10.593 --> 00:13:11.994]  America, freedom to fascism.
[00:13:12.374 --> 00:13:19.197]  These are just a few of the hundreds of powerful documentary films and books available at truthnews.us and prisonplanet.com.
[00:13:19.377 --> 00:13:23.298]  When you visit prisonplanet.com, you can connect to our amazing online store.
[00:13:23.459 --> 00:13:26.860]  Whether you're looking for survival and wellness products like Berkey water filters,
[00:13:27.240 --> 00:13:27.560]  I think so.
[00:13:57.020 --> 00:14:01.662]  It's Super Bowl Sunday, ladies and gentlemen.
[00:14:01.722 --> 00:14:03.964]  We are back live, taking your phone calls.
[00:14:04.024 --> 00:14:12.368]  I'm going to get more into all the different election news at Super Tuesday, coming up in about two and a half days.
[00:14:26.676 --> 00:14:31.057]  The latest on the Ron Paul campaign, Mitt Romney, Hillary, Obama.
[00:14:33.638 --> 00:14:35.658]  The Manchurian candidate, John McCain.
[00:14:35.678 --> 00:14:36.839]  We're going to get into the economy.
[00:14:37.659 --> 00:14:39.939]  Also big brother, Nanny State.
[00:14:39.999 --> 00:14:42.600]  Don't give old people health care anymore.
[00:14:42.620 --> 00:14:45.181]  That's been proposed in England and the United States.
[00:14:45.281 --> 00:14:46.961]  Oh, you didn't know what eugenics was?
[00:14:47.801 --> 00:14:49.502]  You'll want to write that term down.
[00:14:50.222 --> 00:14:51.842]  You'll want to look in the encyclopedia.
[00:14:52.522 --> 00:14:54.723]  Because they say, you need to die.
[00:14:55.413 --> 00:14:59.756]  So we'll be going over all of that as well.
[00:15:00.537 --> 00:15:04.380]  Right now, let's go ahead and go to Terri in West Virginia.
[00:15:04.420 --> 00:15:05.461]  Terri, thanks for holding.
[00:15:05.781 --> 00:15:06.562]  You're on the air.
[00:15:06.842 --> 00:15:07.242]  Go ahead.
[00:15:08.163 --> 00:15:08.884]  Oh, hi, Alex.
[00:15:09.184 --> 00:15:09.524]  Hi.
[00:15:10.785 --> 00:15:16.890]  Hey, I wanted to bring up a new angle on the fluoride issue that you discuss a lot on your show.
[00:15:19.002 --> 00:15:28.170]  If you Google how it's a chemical weapon used by the Nazis and Soviets to put in a water supply, declassified public documents, Pulitzer Prize winning books, brain-damaging the general public, 20 AccuPoints, oh yes, that one?
[00:15:28.310 --> 00:15:28.730]  Thank you.
[00:15:28.810 --> 00:15:30.352]  I don't know how you do it.
[00:15:30.372 --> 00:15:33.514]  It would have taken me about 20 minutes to explain all that.
[00:15:33.534 --> 00:15:45.985]  Well, it's an absolute fact, and now it's in Scientific American, and Pulitzer Prize winner books are now out on it, and Nobel Prize winners are now saying it, and we have medical doctors and members of Congress and legislators going public, and we're going to expose that and everything else.
[00:15:46.585 --> 00:15:47.026]  Oh, great!
[00:15:47.146 --> 00:15:48.046]  Oh, the government loves us!
[00:15:48.066 --> 00:15:50.328]  They just put something in the water that eats holes in our brains!
[00:15:50.728 --> 00:15:51.289]  It's wonderful!
[00:15:51.329 --> 00:15:52.670]  Keep drinking and the government loves you!
[00:15:53.810 --> 00:15:59.574]  Well, anyway, I wanted to bring up this... I haven't heard this discussed much on your show.
[00:16:01.196 --> 00:16:14.425]  If you Google, or if you do some research online and you Google fluoride with vitamin C, there's been a lot of studies done that shows that if you take a lot of vitamin C... You can decalcify it.
[00:16:15.157 --> 00:16:17.099]  Yeah, it kind of works as a buffer.
[00:16:17.119 --> 00:16:30.108]  Yeah, because collagen in the body is built out of vitamin A slash the breakdown of the acid vitamin C, and they actually did scurvy studies about 130 years ago and found that.
[00:16:30.529 --> 00:16:32.150]  I've seen those studies.
[00:16:32.190 --> 00:16:33.471]  I'm glad you found those.
[00:16:34.111 --> 00:16:38.455]  Yeah, and the interesting thing is I just recently have become aware of this fluoride issue.
[00:16:38.475 --> 00:16:41.237]  I didn't know it was bad for you.
[00:16:41.830 --> 00:16:47.877]  It's a toxic sedative that reduces sperm count by more than 80% and gives you a 20 IQ reduction permanently.
[00:16:48.598 --> 00:16:50.920]  Little present the government gave us.
[00:16:52.522 --> 00:16:57.327]  Normal humans are just raging with intelligence and visions and ideas and creativity.
[00:16:57.588 --> 00:17:00.451]  And the globalists just said, we can't have this, poison them, and they've done it.
[00:17:01.211 --> 00:17:03.513]  So most people listening can't even understand us now because of it.
[00:17:03.853 --> 00:17:04.413]  I know.
[00:17:04.453 --> 00:17:08.436]  If you were an exceptionally intelligent genius level, you're now normal.
[00:17:08.656 --> 00:17:10.217]  If you were normal, you're a moron.
[00:17:10.457 --> 00:17:12.118]  If you were a moron, you're going to be retarded.
[00:17:12.278 --> 00:17:12.839]  Let me explain that.
[00:17:12.859 --> 00:17:16.381]  If you were going to be a genius, you're just what a normal person would be intelligence-wise.
[00:17:16.641 --> 00:17:19.523]  If you were a normal person intelligence-wise, you'll be a moron.
[00:17:19.843 --> 00:17:21.865]  And if you were just going to be a moron, you're going to be retarded.
[00:17:22.325 --> 00:17:22.565]  Right.
[00:17:22.665 --> 00:17:25.547]  Little gift your government gave you because it loves you so much.
[00:17:25.747 --> 00:17:28.589]  And it really explains a lot when you kind of look around, you know,
[00:17:29.970 --> 00:17:30.650]  Everything's fine.
[00:17:30.690 --> 00:17:32.411]  Let's just trust them, okay?
[00:17:32.451 --> 00:17:33.052]  Government's good.
[00:17:33.352 --> 00:17:37.555]  Well, I was going to bring up a personal... And they've got doctors on the radio that say there's no mercury in the vaccines.
[00:17:37.735 --> 00:17:39.236]  You can go to the doctor right now and ask them.
[00:17:39.256 --> 00:17:40.778]  They'll give you the insert that says it hasn't in it.
[00:17:40.798 --> 00:17:41.958]  But, you know, so what?
[00:17:41.998 --> 00:17:42.739]  It's good for you, ma'am.
[00:17:43.079 --> 00:17:49.364]  Oh, by the way, my brother just got a flu shot that I tried to talk him out of and he broke out into a rash on his back from Mr. Marisol.
[00:17:49.804 --> 00:17:50.925]  Well, it doesn't exist, ma'am.
[00:17:51.105 --> 00:17:52.226]  Vaccines don't exist.
[00:17:53.110 --> 00:17:54.531]  The Super Bowl doesn't exist.
[00:17:54.551 --> 00:17:55.612]  The sky doesn't exist.
[00:17:55.772 --> 00:17:58.535]  I mean, I've got CNN and Fox saying there's no Trans-Texas Corridor.
[00:17:58.975 --> 00:18:01.777]  Doesn't matter if the Texas Legislature shot it down and Perry vetoed it.
[00:18:02.218 --> 00:18:04.780]  Doesn't matter if there's signs up everywhere and they're grabbing existing roads.
[00:18:04.800 --> 00:18:07.222]  They just announced they're going to toll I-35 and Mopac.
[00:18:07.602 --> 00:18:08.242]  Doesn't matter.
[00:18:08.282 --> 00:18:08.903]  Doesn't matter.
[00:18:09.063 --> 00:18:13.146]  They'll just tell the yuppies it doesn't exist while they're driving through a toll road!
[00:18:13.387 --> 00:18:15.208]  I can't take it anymore!
[00:18:19.772 --> 00:18:21.533]  Mike in Washington, you're on the air.
[00:18:22.274 --> 00:18:22.514]  Alex,
[00:18:23.058 --> 00:18:23.178]  Yes!
[00:18:23.198 --> 00:18:24.839]  Thank you so much for all your great work!
[00:18:25.760 --> 00:18:29.543]  This country pisses me off!
[00:18:29.583 --> 00:18:37.249]  Look, look, a scientific elite openly said a hundred years ago they were going to use scientific techniques to brainwash us and poison us for dominance and control.
[00:18:37.549 --> 00:18:38.190]  And they've done it.
[00:18:38.430 --> 00:18:40.932]  But there's still a remnant of the human spirit fighting through.
[00:18:42.953 --> 00:18:47.797]  First of all, I want to thank you and I just found a new guy that's really doing some great work.
[00:18:48.477 --> 00:18:50.439]  His name is Von Kleist.
[00:18:50.979 --> 00:18:51.780]  Dan Von Kleist.
[00:18:52.523 --> 00:18:53.083]  Have you heard of him?
[00:18:53.123 --> 00:18:54.123]  Yeah, Dave Riddell.
[00:18:54.183 --> 00:18:56.084]  His talk show name is Dave on Clash.
[00:18:56.104 --> 00:18:56.644]  Yeah, nice guy.
[00:18:57.544 --> 00:19:00.845]  Yeah, he's doing some good stuff, too, with that ripple effect.
[00:19:02.906 --> 00:19:03.526]  I found him.
[00:19:05.406 --> 00:19:06.587]  I've been looking on everything.
[00:19:06.927 --> 00:19:08.747]  I'll tell my sister about the HPV.
[00:19:08.767 --> 00:19:11.388]  She just told me her daughter's just got it.
[00:19:11.728 --> 00:19:12.348]  So what does she do?
[00:19:12.368 --> 00:19:13.208]  She calls the nurse.
[00:19:13.248 --> 00:19:15.429]  The nurse calms her down and says, oh, it's okay, it's okay.
[00:19:15.962 --> 00:19:30.209]  Yeah, go ahead and take that live cancer virus shot that if you're already infected with the virus, as close to half the population as it doubles your cancer as a cervical cancer, and doesn't even treat you for a normal virus that isn't even proven to cause the cancer.
[00:19:30.790 --> 00:19:31.790]  Don't just tell you it's the law.
[00:19:32.250 --> 00:19:35.932]  By the way, for anybody out there that doubts me, you're told it's the law to take the HPV shot.
[00:19:36.753 --> 00:19:37.613]  You're told it's the law.
[00:19:38.653 --> 00:19:39.654]  It is not the law.
[00:19:39.974 --> 00:19:41.475]  You don't have to take any vaccines.
[00:19:42.449 --> 00:19:54.678]  They tell you that you need to have it to go to school but there's no law, then they suspend you criminally, then criminal charges kick in for truancy and they never tell you they had a waiver by law they were supposed to give you.
[00:19:55.699 --> 00:20:08.808]  The governor, by ordering the health department to make it listed for mandatory to attend school, then got liability protection for the vaccine maker Merck that brought you Vioxx that caused all the heart attacks.
[00:20:09.460 --> 00:20:17.089]  And then see, now that it's government, quote, ordered, then federal liability billions kick in to pay for lawsuits.
[00:20:17.350 --> 00:20:20.654]  By the way, just type girls die after HPV shot into Google.
[00:20:21.014 --> 00:20:24.779]  You'll find a lot of mainstream articles might trick your fancy there for you.
[00:20:24.799 --> 00:20:26.761]  I'm a little bit fired up today.
[00:20:26.821 --> 00:20:28.924]  Florence and New York, you're on the air worldwide.
[00:20:29.264 --> 00:20:30.806]  Oh, hi Alex, you have a great show.
[00:20:31.127 --> 00:20:34.972]  I have a horror story about the adult protective services here in New York City.
[00:20:35.133 --> 00:20:38.177]  Oh, the folks to grab the old people and take them and euthanize them?
[00:20:38.538 --> 00:20:39.799]  Oh, that sounds like fun.
[00:20:40.000 --> 00:20:45.708]  Yeah, we have a rent control department here and I made the mistake of letting our foreign landlord in to spray for bed bugs.
[00:20:46.212 --> 00:20:50.493]  Which suddenly emerged, and so he takes pictures and he takes us to court.
[00:20:50.573 --> 00:20:56.896]  Yeah, you got rent control, so they want to kick whoever your family is or you out, so they can get the greedy things, yes.
[00:20:57.096 --> 00:20:59.676]  Exactly, and you should see the mini-mansion he lives in.
[00:21:00.057 --> 00:21:09.840]  And so now they want to appoint a court guardian for my brother, who gets disability, and they're even talking about appointing one for me, who's been productively employed for 30 years.
[00:21:10.820 --> 00:21:14.521]  See, by appointing you a guardian, then you don't get the regular court system.
[00:21:14.862 --> 00:21:18.063]  You get the psych-run, petty judges where there's no due process.
[00:21:18.103 --> 00:21:18.823]  The fake judges.
[00:21:19.723 --> 00:21:21.124]  Everything's been shifted over that, don't worry.
[00:21:21.164 --> 00:21:21.604]  It's okay.
[00:21:22.364 --> 00:21:26.426]  Oh, so they want him out of the house, so they're trying to have him institutionalized.
[00:21:27.126 --> 00:21:28.166]  Oh, let me see.
[00:21:28.206 --> 00:21:30.027]  I love a telegraph and U.S.
[00:21:30.067 --> 00:21:30.667]  newspapers.
[00:21:30.967 --> 00:21:32.008]  Don't treat the old.
[00:21:32.068 --> 00:21:32.728]  Just kill them.
[00:21:33.268 --> 00:21:34.949]  I'm in my fifties.
[00:21:38.300 --> 00:21:40.281]  And we've been here like, my mother moved in in 1945.
[00:21:40.341 --> 00:21:43.041]  Maybe we should send you up in a carousel.
[00:21:43.061 --> 00:21:44.802]  Like in Logan's Run.
[00:21:44.922 --> 00:21:46.022]  I'm sorry, go ahead.
[00:21:47.203 --> 00:21:58.046]  They probably like to do that, but now they're limited to just appointing guardians so that they control us and put us in maybe, they even said in the motion about relocation.
[00:21:58.086 --> 00:21:59.126]  What's this relocation?
[00:21:59.166 --> 00:22:01.307]  I want to retire and move out of this hellhole, you know?
[00:22:03.197 --> 00:22:08.781]  Well, sir, just drink fluoride water and take lots of flu shots full of mercury and you're going to feel a lot better, okay?
[00:22:08.801 --> 00:22:11.643]  You won't have those higher thinking problems anymore.
