[00:00:00.089 --> 00:00:00.549]  So much more.
[00:09:01.510 --> 00:09:06.274]  I believe Pat Robertson and the main Protestant movement is controlled by the New World Order.
[00:09:06.775 --> 00:09:13.301]  I just had David J. Smith on to talk about how, well, I mean, the Catholic Church, no one can debate that Ratzinger is calling for a New World Order.
[00:09:14.389 --> 00:09:15.469]  No, I'm not debating that.
[00:09:15.489 --> 00:09:26.052]  What I'm debating is that, and this comes out, this message comes out over your show quite a bit, whether it's from you or it's from your callers, you've had Hutton Gibson on your show.
[00:09:26.552 --> 00:09:28.032]  Yes, I think he's a nice guy.
[00:09:28.392 --> 00:09:37.334]  Right, and you know that there's a distinction between those who follow the post-Vatican II church and those who decry it.
[00:09:37.614 --> 00:09:38.995]  Listen, here's the deal.
[00:09:39.015 --> 00:09:40.855]  The network runs the ads at once.
[00:09:41.836 --> 00:09:45.997]  There's a Catholic ad running about how the Catholic Church has been taken over by the New World Order.
[00:09:46.337 --> 00:09:47.218]  I have nothing to do with it.
[00:09:47.238 --> 00:09:49.539]  I'm accused of being a Jesuit for that being on.
[00:09:50.319 --> 00:09:55.581]  Then there's another ad that just aired saying that papal Rome is taking over and going to kill us all, basically.
[00:09:56.081 --> 00:09:57.302]  So I'm not involved with that.
[00:09:57.763 --> 00:09:59.304]  And I understand this is divisive.
[00:09:59.364 --> 00:10:01.346]  It's why our movement can never grow and go forward.
[00:10:01.726 --> 00:10:05.289]  Because everyone is obsessed with Jews, Catholics, Protestants.
[00:10:05.870 --> 00:10:07.912]  I mean, and I'm not joking when I say this, ma'am.
[00:10:08.072 --> 00:10:08.953]  I'm not joking.
[00:10:10.054 --> 00:10:10.894]  Let me list everything.
[00:10:10.935 --> 00:10:12.736]  Last night we were at the office.
[00:10:13.997 --> 00:10:19.361]  And by not joking, I mean this is not made up, but I am joking in that I think it's funny, but it's also sick.
[00:10:20.142 --> 00:10:32.450]  And I am, according to many people, and let me think of the best way to line it all up, there's so many to remember, a reptoid, Scientologist, Jesuit, co-agitator,
[00:10:34.052 --> 00:10:34.734]  Let me think, what else?
[00:10:34.814 --> 00:10:38.821]  Zionist, Nazi, CIA, Neanderthal.
[00:10:38.861 --> 00:10:43.149]  There's serious websites that show my head and claim I'm part of a Neanderthal devil race.
[00:10:43.791 --> 00:10:44.652]  Let me think of the other ones.
[00:10:46.778 --> 00:10:57.524]  Oh, there's a bunch of other ones out there, and most of our movement, the Liberty Movement, just spends its time all day bashing other groups, saying, this is the leader, that's the leader, this person's got it right.
[00:10:57.944 --> 00:11:10.591]  I mean, I had some law website send me an email yesterday, and it just said, I know more than you, I'm better than you, you better call and talk to me, you never have me on, I'm going to get you unless you call me.
[00:11:10.971 --> 00:11:11.491]  Get me!
[00:11:11.611 --> 00:11:13.072]  I don't care about you getting me.
[00:11:13.092 --> 00:11:14.813]  You know, the point is,
[00:11:15.553 --> 00:11:17.615]  Is that I had people call me up.
[00:11:17.995 --> 00:11:18.756]  Oh, let me think.
[00:11:18.776 --> 00:11:21.438]  I'm glad you bring this up actually, Betty.
[00:11:21.879 --> 00:11:27.764]  Because I had a guy call me like, or email me like seven, eight years ago and it was like, you better interview me.
[00:11:28.104 --> 00:11:30.206]  You've been contacted by my people and haven't.
[00:11:30.546 --> 00:11:33.229]  If you don't, I'm going to expose you as working for the Vatican.
[00:11:34.307 --> 00:11:41.492]  And so I was like, my gosh, and then I didn't know that guy was like the leader of that movement, which is sad because, you know, the people believe it's legitimate.
[00:11:41.933 --> 00:11:49.638]  Their leader says flying saucers are controlled by German soldiers and that the earth is on a string with the universe orbiting it.
[00:11:50.159 --> 00:11:51.460]  I mean, these people are nuts!
[00:11:52.040 --> 00:12:01.742]  And so I think, well, there must not be truth to the Vatican running it, because they're making all these lies up about me, and running around saying I'm a Catholic and a Vatican agent when I'm not.
[00:12:01.762 --> 00:12:07.983]  And then so I don't talk about it, because I've been threatened that I'll be exposed if I don't.
[00:12:08.043 --> 00:12:09.603]  Well, I don't take to terrorism.
[00:12:10.303 --> 00:12:12.204]  You know, so it's kind of a reverse psychology.
[00:12:12.244 --> 00:12:20.205]  It's like, if they do think Jesuits run it all, that's how they would actually behave, to act totally insane, so no one would then follow them.
[00:12:21.007 --> 00:12:27.090]  And then once people attack you, they can never admit they're wrong, so they always find other things to add on to it.
[00:12:28.651 --> 00:12:32.353]  But at the same time, Tony Blair has become a Catholic, so he can head Europe.
[00:12:32.633 --> 00:12:34.794]  The Catholic Church is calling for a world government.
[00:12:36.275 --> 00:12:40.437]  And I agree, the Catholic Church has certainly gotten more New World Order in the last 30, 40 years.
[00:12:40.938 --> 00:12:43.559]  And I agree with Hutton Gibson that it's certainly New World Order now.
[00:12:44.039 --> 00:12:45.740]  He writes a book saying the enemy's here.
[00:12:46.241 --> 00:12:48.522]  But see, that isn't enough for the Catholic bashers.
[00:12:49.062 --> 00:12:54.848]  You know, for Hutton Gibson and others to go and fight what Rome is doing and expose it, that it is an engine of New World Order.
[00:12:55.349 --> 00:13:05.180]  No, it's got to be all Catholics are going to hell, you're devils, we're good, you're not, and Alex is bad because he doesn't drip with pleasure bashing Catholics or
[00:13:05.820 --> 00:13:07.441]  Jews or whatever group, you know.
[00:13:07.661 --> 00:13:10.022]  And so, these people are sectarian.
[00:13:10.062 --> 00:13:11.363]  It's always been that way.
[00:13:11.843 --> 00:13:14.104]  And so, I'm not saying Catholics are bad people.
[00:13:14.204 --> 00:13:15.245]  I'm not saying they're evil.
[00:13:15.585 --> 00:13:18.026]  But the Catholic Church is at the forefront of opening the borders.
[00:13:18.446 --> 00:13:21.088]  They're at the forefront of gun control in the U.S.
[00:13:21.548 --> 00:13:25.510]  I got all these letters from dioceses that people mail me saying, you know, turn your guns in.
[00:13:25.550 --> 00:13:26.310]  It's of the Lord.
[00:13:26.350 --> 00:13:27.411]  You don't need to own guns.
[00:13:27.811 --> 00:13:29.652]  But the Protestant churches are doing it, too.
[00:13:29.752 --> 00:13:31.793]  So, I try to get past labels.
[00:13:32.273 --> 00:13:33.554]  It's just nothing's taboo here.
[00:13:34.514 --> 00:13:36.215]  On air, I said, what do you want to talk about, David J. Smith?
[00:13:36.235 --> 00:13:37.576]  And he said, I want to talk about Jesuits.
[00:13:38.017 --> 00:13:39.758]  So he can talk about Jesuits, you know?
[00:13:40.439 --> 00:13:41.980]  This is a free and open forum.
[00:13:42.480 --> 00:13:49.606]  Those that say that we're run by the Zionists or run by the Jesuits or whatever it is that week, they lie about us.
[00:13:49.626 --> 00:13:51.427]  You know, they say your call was screamed.
[00:13:51.467 --> 00:13:53.108]  They say this is a staged call right now.
[00:13:53.669 --> 00:13:59.073]  Even though they call in, they still say, I've seen YouTube videos of them call in and go, they're fake staged calls.
[00:13:59.373 --> 00:14:00.254]  I'm going on air now.
[00:14:00.874 --> 00:14:03.055]  You know, I mean, this is the mental illness.
[00:14:03.095 --> 00:14:05.476]  And see, it's because I'm on the tip of the spear.
[00:14:05.596 --> 00:14:08.177]  I'm on the vanguard of fighting them, waking people up.
[00:14:08.237 --> 00:14:12.158]  And I know we're on the radio on 60-plus AM and FM stations.
[00:14:12.418 --> 00:14:21.321]  And people are driving around in Colorado and Missouri and Texas and New York and Florida and California on all these valiant mom-and-pop stations that pick us up.
[00:14:21.581 --> 00:14:24.142]  And they're going, what on earth is this guy talking about?
[00:14:24.182 --> 00:14:25.803]  These people sound like a bunch of nuts!
[00:14:26.443 --> 00:14:33.205]  Instead of us talking about the Federal Reserve being private, and torture, and the New World Order, and how they're doubling and tripling water prices.
[00:14:34.046 --> 00:14:37.207]  That's why my show's been successful, because it is issue-oriented.
[00:14:37.707 --> 00:14:43.549]  And then as soon as you mention one of these groups, it goes into this big ball of wax, and you can't satisfy any of them.
[00:14:43.849 --> 00:14:47.571]  I could put on a Hitler mustache, howl Hitler, say Jews are devil seed.
[00:14:47.611 --> 00:14:49.132]  The Nazi groups are still going to attack.
[00:14:49.532 --> 00:14:52.213]  I could say Catholics are seed of Satan running everything.
[00:14:52.493 --> 00:14:53.554]  It won't satisfy them.
[00:14:53.994 --> 00:14:55.335]  I'm not here to satisfy them.
[00:14:55.355 --> 00:14:56.455]  I'm here to really get at the truth.
[00:14:56.816 --> 00:15:02.398]  I respect David J. Smith, and he was saying that he thinks the Jesuits are highly involved, and there's no doubt today they are.
[00:15:02.699 --> 00:15:04.399]  Now I've said my little five minute rant.
[00:15:04.479 --> 00:15:05.360]  You go ahead and make your point.
[00:15:05.980 --> 00:15:06.501]  Thank you.
[00:15:07.701 --> 00:15:09.702]  Go ahead.
[00:15:09.722 --> 00:15:11.523]  I'm not attacking you either, Alex.
[00:15:11.623 --> 00:15:13.004]  I think you're a sincere Christian.
[00:15:14.126 --> 00:15:14.366]  I am.
[00:15:14.406 --> 00:15:14.947]  I'm sincere.
[00:15:14.967 --> 00:15:17.488]  I try to tell the truth, and I also try to not be divisive.
[00:15:17.828 --> 00:15:29.413]  What I'm trying to do is make the distinction for your listeners that there is a traditional, true Catholic Church that still exists, and it is not part of the New World Order.
[00:15:29.774 --> 00:15:34.976]  You are very correct that every Pope since John XXIII has been part of it.
[00:15:35.376 --> 00:15:36.697]  They are open heretics.
[00:15:37.117 --> 00:15:38.037]  They were living heretics.
[00:15:39.716 --> 00:15:42.840]  Ratzinger, in all his writings, is part of the New World Order.
[00:15:42.900 --> 00:15:44.802]  The Jesuits are part of the New World Order.
[00:15:44.982 --> 00:15:46.123]  I don't disagree with that.
[00:15:47.125 --> 00:15:53.672]  What I disagree with is making the generalization that all Catholics are part of it because they are not.
[00:15:54.493 --> 00:15:56.736]  There are traditional Catholics
[00:15:59.918 --> 00:16:00.559]  No, I know that.
[00:16:00.619 --> 00:16:03.383]  I mean, look at the fruits of Hutton Gibson and Mel Gibson.
[00:16:03.423 --> 00:16:04.644]  They're fighting the New World Order.
[00:16:04.764 --> 00:16:07.288]  I know Hutton and his family personally.
[00:16:07.328 --> 00:16:08.149]  They're good people.
[00:16:08.449 --> 00:16:09.250]  They're not bad.
[00:16:09.350 --> 00:16:11.052]  They're fighting what Rome is doing.
[00:16:11.413 --> 00:16:15.077]  But that isn't enough for the people that, I mean, their religion is
[00:16:15.678 --> 00:16:17.459]  The Catholics are the source of all evil.
[00:16:17.519 --> 00:16:19.100]  If they were gone, everybody would be okay.
[00:16:19.320 --> 00:16:20.020]  And that's not it.
[00:16:20.120 --> 00:16:21.841]  It's evil in the hearts of men.
[00:16:22.201 --> 00:16:24.382]  They can take over any organization, any group.
[00:16:25.223 --> 00:16:28.804]  And Betty, I really appreciate your call, and I'm sorry what you heard earlier hurt your feelings.
[00:16:29.505 --> 00:16:36.888]  Listen, I want to fight face scanners going into the bars, where everyone must be face scanned when you go in a bar or when you buy cigarettes.
[00:16:38.229 --> 00:16:38.889]  Okay?
[00:16:38.949 --> 00:16:43.792]  I mean, that's a pretext to get buy and sell global face scanning, and as I told you a decade ago, they do.
[00:16:45.106 --> 00:16:55.809]  And I don't want to turn Catholics that are listening to this show off, where they won't go fight face scanners because they tune me out because I'm bashing Catholics, any more than the disgusting fake Protestants.
[00:16:55.829 --> 00:16:56.969]  See, I'm non-denominational.
[00:16:57.369 --> 00:16:58.770]  And then they tell me that's a denomination.
[00:16:58.810 --> 00:17:00.370]  What I mean is I'm not in any group.
[00:17:00.690 --> 00:17:01.570]  I just love Jesus.
[00:17:02.051 --> 00:17:11.853]  And see, then it turns into a show about religion when I'm just trying to cover the news, which I find to just be a million different groups fighting with each other and all running around saying they've got the answer.
[00:17:12.153 --> 00:17:13.734]  Listen, man, I'm just somebody going here.
[00:17:14.754 --> 00:17:19.344]  Daily Mail, AP, other articles, face scanners to catch drinkers.
[00:17:21.148 --> 00:17:23.592]  I'm just trying to cover that.
[00:17:26.607 --> 00:17:30.711]  Then I've gotten, you know, threatened by groups, you better say it's Jews or we're going to kill you.
[00:17:30.771 --> 00:17:33.093]  And I'm like, God, these are really nasty people.
[00:17:33.873 --> 00:17:35.955]  Or you better say it's the Catholics or we're going to get you.
[00:17:35.995 --> 00:17:39.598]  And then they just, they engage in such intellectually bankrupt lies.
[00:17:39.618 --> 00:17:41.520]  I mean, they say things about me that are not true.
[00:17:43.041 --> 00:17:45.763]  And it's very painful because
[00:17:47.416 --> 00:17:48.717]  And I've asked all those groups.
[00:17:49.518 --> 00:17:50.839]  Look, keep attacking me.
[00:17:51.679 --> 00:17:55.582]  Because if I tell them, don't attack me, they'll think, oh, you don't want to be attacked.
[00:17:55.622 --> 00:17:56.522]  It must be effective.
[00:17:56.542 --> 00:17:57.463]  We'll redouble it.
[00:17:58.103 --> 00:18:00.705]  It isn't that I individually don't like being attacked.
[00:18:00.745 --> 00:18:03.307]  In fact, it's wrong, and it's a sin.
[00:18:03.947 --> 00:18:10.432]  Last night at about midnight, we were winding down work here, working on the new film, and I'm going to be showing at the Alamo Draft House, coming up this Saturday and Sunday.
[00:18:10.492 --> 00:18:11.732]  Only two showings, and that's it.
[00:18:13.273 --> 00:18:15.335]  And Burnham starts laughing, and I go, what is it?
[00:18:15.355 --> 00:18:16.456]  He's down there working on the film, too.
[00:18:17.639 --> 00:18:31.045]  With Aaron, and I walk over and it's a 1950s horror film cover, very famous, of a woman screaming with her hand up and he goes, look, they say you are a transvestite and this is you.
[00:18:31.065 --> 00:18:35.848]  And we start laughing, but then I kind of got a sick feeling it's not funny.
[00:18:36.508 --> 00:18:38.630]  And then Rob Jacobson gets up and he goes, that's it!
[00:18:39.410 --> 00:18:49.659]  And he's the one that said it, he goes, you are a Neanderthal, transvestite, Vatican assassin, Zionist, Nazi, because they say I'm a Nazi too, Scientologist, reptoid.
[00:18:50.259 --> 00:18:56.204]  And we all literally started laughing so hard we were crying, but then at the end of it, I just said, this isn't funny!
[00:18:57.706 --> 00:19:01.329]  You know, I mean, we can individually laugh about this, but that our movement
[00:19:02.726 --> 00:19:11.032]  is not the general listeners, not the main group, but so much of what's on YouTube and the web is just bedlam, man.
[00:19:11.112 --> 00:19:13.414]  It's just absolute bedlam.
[00:19:14.095 --> 00:19:24.763]  And then each group, you know, the Zionist group or the Catholics do-it-all group, they'll then say, well, don't mix me in with the Reptoids and the Neanderthal people and the this, you know, we're being serious.
[00:19:24.823 --> 00:19:26.104]  But it's not serious.
[00:19:27.393 --> 00:19:27.893]  And you know what?
[00:19:27.973 --> 00:19:33.575]  I could even send the person the 1950s horror poster that that's not me with a wig on in drag.
[00:19:33.755 --> 00:19:34.515]  It doesn't matter.
[00:19:34.575 --> 00:19:37.116]  They're not going to say it's not me ever.
[00:19:37.617 --> 00:19:40.417]  Because they've committed to saying I'm this bad thing.
[00:19:40.718 --> 00:19:42.818]  They're invested in that and they're never going to go back.
[00:19:43.438 --> 00:19:46.479]  So I just want them to expose at least mercury and vaccines are a few things.
[00:19:46.740 --> 00:19:50.481]  Like keep spending your time on me, but redouble your efforts and do some good too.
[00:19:51.513 --> 00:19:55.015]  Hello, I'm Dr. Leonard Horowitz, author of 15 books on health and natural healing.
[00:19:55.335 --> 00:19:59.077]  Vaccines included, medicines kill more people every year than any illness.
[00:19:59.457 --> 00:20:05.881]  The cost of drug side effects in America is more than $200 billion annually, with a worse toll taken by antibiotics.
[00:20:06.281 --> 00:20:09.163]  But there is a cure for this medical madness that has remained secret.
[00:20:09.563 --> 00:20:18.725]  OxySilver, developed by NASA scientists to keep astronauts healthy, is an evolutionary new dietary supplement making deadly vaccinations and antibiotics obsolete.
[00:20:18.965 --> 00:20:23.286]  Taking one to two teaspoons daily boosts natural immunity without drug toxicity.
[00:20:23.626 --> 00:20:26.427]  OxySilver combines oxygen and silver in a new way.
[00:20:26.727 --> 00:20:30.508]  The oxygen becomes a supercharged germ killer freeing your immune system
[00:20:30.848 --> 00:20:32.869]  To fight colds, flus, cancers and more.
[00:20:33.189 --> 00:20:39.212]  Build disease defenses naturally, painlessly, powerfully, safely and inexpensively with OxySilver.
[00:20:39.573 --> 00:20:41.794]  Order your supply now by calling toll free 1-877-817-9829.
[00:20:41.814 --> 00:20:42.234]  That's 1-877-817-9829.
[00:20:42.254 --> 00:20:42.634]  Do it now.
[00:20:42.654 --> 00:20:43.435]  It is a big idea.
[00:20:43.455 --> 00:20:44.175]  A new world order.
[00:20:44.195 --> 00:20:47.517]  In the near future, Earth is dominated by a powerful world government.
[00:21:00.572 --> 00:21:02.334]  It's known as the Bilderberg.
[00:21:03.395 --> 00:21:05.637]  Could their objective be world domination?
[00:21:06.197 --> 00:21:08.640]  For thousands of years their dark order grew.
