[00:00:23.695 --> 00:00:24.115]  Whenever you're ready.
[00:01:59.456 --> 00:02:05.018]  He confronts Hillary Clinton about her attendance of a Bilderberg meeting, and she denies even knowing what it is.
[00:02:05.218 --> 00:02:05.739]  Let's play it.
[00:02:09.500 --> 00:02:09.961]  It's over.
[00:02:10.861 --> 00:02:14.503]  We need to be sure that president is going to do what is necessary
[00:02:15.290 --> 00:02:16.432]  Take care of our country.
[00:02:16.452 --> 00:02:19.656]  Senator Clinton, how you doing?
[00:02:19.896 --> 00:02:20.577]  I'm good, how are you?
[00:02:20.597 --> 00:02:22.099]  Can I ask you a quick question while you sign that?
[00:02:22.139 --> 00:02:22.539]  Sure.
[00:02:22.559 --> 00:02:27.445]  It was reported in June of 2006, you attended a meeting in Ottawa, Canada, the Bilderberg Group.
[00:02:28.026 --> 00:02:28.867]  Can you comment on that?
[00:02:29.167 --> 00:02:31.651]  What's going on for the Bilderberg meeting and what do you guys talk about up there?
[00:02:33.035 --> 00:02:34.636]  I have no idea what you're talking about.
[00:02:34.676 --> 00:02:34.996]  Yeah, you do.
[00:02:35.016 --> 00:02:36.917]  It was reported you were up there and people saw you up there.
[00:02:36.937 --> 00:02:39.139]  I just want to know what you guys talk about and meet about up there.
[00:02:39.179 --> 00:02:39.699]  Sir, I don't know.
[00:02:39.719 --> 00:02:41.100]  Why are there such top-secret meetings?
[00:02:41.340 --> 00:02:42.581]  I have no idea what you're talking about.
[00:02:42.601 --> 00:02:44.082]  Your husband went to a Bilderberg meeting, too.
[00:02:44.482 --> 00:02:45.043]  I'm just wondering.
[00:02:45.143 --> 00:02:46.043]  There's the nod.
[00:02:46.063 --> 00:02:46.704]  Oh, yep.
[00:02:46.804 --> 00:02:49.185]  I just want to know what happens at these meetings.
[00:02:49.205 --> 00:02:51.246]  Well, since I wasn't there, I have no idea.
[00:02:51.587 --> 00:02:52.487]  Okay, thank you, Senator.
[00:02:52.547 --> 00:02:53.688]  Tackling Clinton.
[00:02:53.748 --> 00:02:58.131]  Are you sending in the 9-11 family members who are still advocating for an investigation?
[00:02:58.171 --> 00:02:58.611]  That's hideous.
[00:03:02.273 --> 00:03:05.795]  And there she is covering for her globalist masters.
[00:03:06.655 --> 00:03:07.755]  All right, let's play this.
[00:03:07.795 --> 00:03:08.516]  This is new to me.
[00:03:08.536 --> 00:03:13.058]  I'm going to play the first two minutes of this We Are Change confrontation with the Clintons.
[00:03:13.098 --> 00:03:17.479]  Again, I guess it gets a little filthy, so I'm not sure what we're in for, folks.
[00:03:17.559 --> 00:03:19.600]  Do they talk about Bilderberg?
[00:03:19.720 --> 00:03:27.103]  Yeah, this is a Bilderberg confrontation for Bill and Hill, together again for the very first time.
[00:03:27.564 --> 00:03:28.304]  Let's play it up.
[00:03:42.572 --> 00:03:42.932]  I don't know.
[00:03:42.952 --> 00:03:44.333]  I haven't been there in 15 years.
[00:04:10.282 --> 00:04:10.822]  20 seconds.
[00:04:10.883 --> 00:04:13.745]  Alright, it's the Alex Jones Show.
[00:04:13.825 --> 00:04:22.952]  We're going to play more of that on the other side, InfoWars.com.
[00:04:47.503 --> 00:04:50.024]  Terror Storm, a history of government-sponsored terror.
[00:04:50.364 --> 00:04:51.625]  Loose Change, Final Cut.
[00:04:51.925 --> 00:04:53.906]  Endgame, Blueprint for Global Enslavement.
[00:04:54.066 --> 00:04:55.787]  The True Story of the Bilderberg Group.
[00:04:55.967 --> 00:04:57.207]  The Late Great USA.
[00:04:57.447 --> 00:04:58.868]  America, Freedom to Fascism.
[00:04:59.228 --> 00:05:06.031]  These are just a few of the hundreds of powerful documentary films and books available at truthnews.us and prisonplanet.com.
[00:05:06.251 --> 00:05:10.172]  When you visit prisonplanet.com, you can connect to our amazing online store.
[00:05:10.313 --> 00:05:13.714]  Whether you're looking for survival and wellness products like Berkey water filters,
[00:05:14.114 --> 00:05:16.656]  Or you would like a book on the history of the Federal Reserve.
[00:05:16.876 --> 00:05:19.678]  We've got the most well-researched and documented titles.
[00:05:19.958 --> 00:05:22.059]  All available at PrisonPlanet.com.
[00:05:22.319 --> 00:05:26.942]  Or if you'd like, you can give the InfoWars store a call at 888-253-3139.
[00:05:27.022 --> 00:05:32.966]  Or you can view more than a thousand titles in super high quality right now at PrisonPlanet.tv.
[00:05:34.026 --> 00:05:44.260]  Knowledge is power, and the information you need to effectively wake up your fellow man and fight the New World Order is available right now at truthnews.us and prisonplanet.tv.
[00:05:44.621 --> 00:05:46.103]  Join the info war today!
[00:05:47.091 --> 00:05:55.818]  More than 700 chemicals have been found in our drinking water, and did you know that you have greater exposure to these chemicals while taking hot showers than when drinking the water?
[00:05:56.018 --> 00:06:00.782]  That's because many chemicals are inhaled when they evaporate, and others are absorbed into the skin.
[00:06:01.162 --> 00:06:12.291]  The KDF Dual Media Shower Filter works with both hot and cold water, and it's designed to reduce chlorine, lead, mercury, and iron, and it inhibits the growth of bacteria, mold, algae, and fungus.
[00:06:12.671 --> 00:06:18.216]  The KDF Dual Media Shower Filter typically lasts 10,000 gallons or one year, whichever comes first.
[00:06:18.457 --> 00:06:24.523]  Hospitals, restaurants, and water treatment facilities use this media to reduce chlorine, iron, heavy metals, and bacteria.
[00:06:24.723 --> 00:06:25.383]  What about you?
[00:06:25.764 --> 00:06:31.790]  Order your KDF Shower Filter normally, $49 for a special price of only $39.99 with free shipping.
[00:06:32.210 --> 00:06:34.332]  Call the Berkey guy and order now by calling 1-877-886-3653.
[00:06:37.679 --> 00:06:41.100]  That's 1-877-886-3653.
[00:06:41.480 --> 00:06:44.982]  Or simply click on the banner at GCNlive.com to order online now.
[00:06:46.782 --> 00:06:49.643]  Hello, this is Tom with HempUSA.org.
[00:06:50.143 --> 00:06:57.306]  Most of you have been hearing my ads for the past few months, and it's no secret that the economy is failing and prices are rising in all sectors.
[00:06:57.887 --> 00:07:05.116]  If you've been thinking of a nutrient-dense daily food source and a storable food for yourself and family, the time to act is now.
[00:07:05.717 --> 00:07:12.005]  At hempusa.org, we still believe that food will be your greatest asset in these trying times ahead.
[00:07:12.625 --> 00:07:19.111]  Please call 1-908-691-2608 and see what our powder seeds and oil can do for you.
[00:07:19.391 --> 00:07:21.713]  Beware, be smart and be ready.
[00:07:22.194 --> 00:07:28.019]  Call 908-691-2608 or visit us at hempusa.org.
[00:07:28.560 --> 00:07:34.385]  Families need this high quality natural food source for its low price and long storage shelf life.
[00:07:34.895 --> 00:07:38.457]  This incredible food source should be a staple part of your diet every day.
[00:07:38.858 --> 00:07:45.242]  Call 908-691-2608 or visit us at hempusa.org today!
[00:07:48.184 --> 00:07:54.208]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[00:07:54.809 --> 00:07:57.791]  It's Alex Jones and the GCN Radio Network.
[00:07:59.332 --> 00:08:04.635]  I am Jason Burmas in for Alex Jones while he takes on the Global Elite in Chantilly, Virginia.
[00:08:04.955 --> 00:08:05.415]  Bilderberg 2008.
[00:08:05.895 --> 00:08:08.597]  And I got the little video feed working now.
[00:08:08.937 --> 00:08:11.978]  So we're going to play the little video feed here.
[00:08:11.998 --> 00:08:17.521]  We're going to play just that little Clinton part where he says, I haven't been there in 15 years!
[00:08:17.961 --> 00:08:18.261]  Really?
[00:08:19.082 --> 00:08:19.542]  Are you sure?
[00:08:19.602 --> 00:08:20.482]  15 years?
[00:08:20.863 --> 00:08:21.743]  I just don't believe it.
[00:08:23.024 --> 00:08:24.284]  15 years would mean when, Martel?
[00:08:24.724 --> 00:08:25.005]  Back in 93?
[00:08:26.368 --> 00:08:27.748]  Yeah, I know.
[00:08:27.928 --> 00:08:31.869]  And we know he went before he became president, and we know he went in 99, right?
[00:08:31.889 --> 00:08:33.390]  That's correct.
[00:08:33.610 --> 00:08:35.090]  Alright, so let's play this one more time.
[00:08:36.070 --> 00:08:39.671]  Why is there no president, minister, or bill Clinton?
[00:08:39.711 --> 00:08:41.871]  There's no media there, why not?
[00:08:41.931 --> 00:08:45.512]  I don't know, I haven't been there in 15 years.
[00:08:45.932 --> 00:08:48.513]  He hasn't been there in 15 years, he can't tell us!
[00:08:49.269 --> 00:08:53.773]  And I want to play the rest of that clip, but unfortunately it may be a little bit too graphic.
[00:08:53.853 --> 00:08:58.777]  So we're just going to have to fold on that and wait it out.
[00:08:59.798 --> 00:09:01.740]  So let's talk about this.
[00:09:01.960 --> 00:09:06.344]  Hillary Clinton and Bilderberg and the whole bit there.
[00:09:06.444 --> 00:09:14.391]  So clearly in the video that we did where Eric Jackman asked about Bilderberg, Hillary Clinton's clearly lying.
[00:09:15.403 --> 00:09:33.138]  Um, and it's apparent when she first denies knowing what Bilderberg is, and then when, um, Eric says, uh, your husband went there, and she, and the viewers can see the video, but she nods and says, yup, and then the next thing she turns again and says, well, I couldn't tell you because I wasn't there.
[00:09:33.158 --> 00:09:34.959]  So you know what I mean?
[00:09:34.999 --> 00:09:38.062]  She first denies she doesn't know, and then she says, well, I wasn't there.
[00:09:39.451 --> 00:09:48.676]  Yeah, and she knows damn well what the conference is, and she knows damn well it's elitist actually choosing what we're going to be subjected to in the next 12 months.
[00:09:48.696 --> 00:09:51.018]  I mean, this is a real meeting right here.
[00:09:51.058 --> 00:09:52.699]  This is where policy is set.
[00:09:53.259 --> 00:09:53.779]  What did you think?
[00:09:53.799 --> 00:10:05.306]  I don't know if you've been listening, but did you hear the Department of Justice actually ordered 125 Bilderberg 2008 engraved iPods from Apple, and they're upset because they're not going to be there on time.
[00:10:07.071 --> 00:10:16.299]  Yeah, no, somebody from within Apple sent us an email this morning because they had to fill out the order over at Mac.com and they were like, yeah, I thought you'd get a kick out of this.
[00:10:16.599 --> 00:10:22.364]  So, you know, our tax dollars that fund the Department of Justice are put towards little toys for the elite.
[00:10:22.524 --> 00:10:29.850]  It's not like they can't afford their own iPod, but they want their little, they want their Ice, they want their Bling, they want their Bilderberg 2008 iPod, Justin.
[00:10:34.286 --> 00:10:36.909]  Oh, how ridiculous.
[00:10:36.949 --> 00:10:39.691]  We're in some tough times, brother, when that is the case.
[00:10:40.592 --> 00:10:44.156]  Now, you've really gotten a lot of people over the years.
[00:10:44.916 --> 00:10:46.938]  Really, it's only been, what, two years since your inception?
[00:10:47.579 --> 00:10:48.620]  Yeah, two years.
[00:10:48.660 --> 00:10:53.784]  Well, I've been active for about two years, but we, Student Scholar, started in
[00:10:55.023 --> 00:10:55.984]  February of 2007.
[00:10:56.444 --> 00:10:58.945]  So, a little over a year.
[00:10:59.285 --> 00:11:00.386]  About a year and a half, yeah.
[00:11:00.566 --> 00:11:05.029]  And you've gotten all the presidential candidates that are still in the race.
[00:11:05.049 --> 00:11:08.711]  You know, Hillary just dropped out, but she's still up for VP, possibly.
[00:11:08.771 --> 00:11:11.653]  She's thrown out the idea that maybe Obama's going to be assassinated.
[00:11:11.693 --> 00:11:12.273]  That's lovely.
[00:11:14.394 --> 00:11:17.736]  You talk to Obama, you talk to McCain, I think, on several occasions.
[00:11:18.356 --> 00:11:20.778]  And you guys just keep pumping out the hits, correct?
[00:11:21.787 --> 00:11:22.367]  That's correct.
[00:11:22.648 --> 00:11:23.948]  We haven't had a new one in a while.
[00:11:23.988 --> 00:11:26.530]  The most recent one was the Dana Perrino video.
[00:11:27.190 --> 00:11:28.131]  Which was excellent, by the way.
[00:11:28.151 --> 00:11:34.854]  She's the White House Press Secretary, and she tried to say that your facts were, in fact, spin from the media.
[00:11:35.094 --> 00:11:37.556]  No, your facts were what I like to call facts.
[00:11:38.436 --> 00:11:40.817]  Yeah, and I took her advice.
[00:11:40.837 --> 00:11:43.139]  I went back and I checked my facts.
[00:11:43.619 --> 00:11:46.821]  If people watch the video, Dana Perrino meets the student scholars from 9-11 Truth.
[00:11:48.195 --> 00:11:49.116]  I don't think so.
[00:12:09.983 --> 00:12:13.585]  Yeah, I think it's definitely her who needs to go back and do the fact-checking.
[00:12:14.025 --> 00:12:16.806]  It's so funny how she lectured me about spin.
[00:12:16.846 --> 00:12:21.608]  She goes, you know, some of the things you said that I know to be spin from the other side.
[00:12:21.788 --> 00:12:22.449]  From the other side?
[00:12:22.489 --> 00:12:23.689]  Like there's another side, right?
[00:12:23.949 --> 00:12:25.110]  First of all, we're not right and left.
[00:12:25.900 --> 00:12:26.560]  Well, exactly.
[00:12:26.600 --> 00:12:31.843]  There's that, and then also, I mean, who is she to be lecturing me about spin?
[00:12:31.883 --> 00:12:33.564]  It's her job to spin.
[00:12:33.924 --> 00:12:34.724]  Look at McClellan.
[00:12:34.744 --> 00:12:39.626]  He comes out and writes a book and says he had to lie for the White House, that they lied about the Iraq War.
[00:12:39.686 --> 00:12:41.307]  I mean, it's unbelievable.
[00:12:41.367 --> 00:12:42.808]  The last guy to hold her job.
[00:12:42.948 --> 00:12:44.589]  Well, actually, the guy before Tony Snow.
[00:12:44.609 --> 00:12:45.209]  Let's get it right.
[00:12:48.094 --> 00:12:50.575]  Tony Snow, ex-Fox News reporter, by the way, folks.
[00:12:50.615 --> 00:12:54.276]  That's a good transition from Fox News to White House Press Secretary.
[00:12:54.316 --> 00:12:55.336]  He's going to be honest to us.
[00:12:56.397 --> 00:12:57.477]  Exactly.
[00:12:58.217 --> 00:13:03.739]  She was apparently so shaken up by my question that she
[00:13:04.335 --> 00:13:10.037]  She accused the event organizers of setting her up to be sandbagged and said that she wanted to leave the campus.
[00:13:10.257 --> 00:13:11.457]  She was on my college campus.
[00:13:11.477 --> 00:13:13.378]  She said that she wanted to leave the campus immediately.
[00:13:13.418 --> 00:13:15.438]  She didn't, but that was her immediate reaction.
[00:13:15.959 --> 00:13:16.179]  Wow.
[00:13:17.159 --> 00:13:19.020]  Justin, let's take some phone calls.
[00:13:19.060 --> 00:13:20.660]  I've got a bunch of callers on the line.
[00:13:20.680 --> 00:13:24.441]  I've got G. Edward Griffin coming up at 2.30, and I know you're a smart guy.
[00:13:24.741 --> 00:13:28.402]  I know I've got one debunker on the line, so hopefully we'll get to him while you're on.
[00:13:28.643 --> 00:13:30.423]  Let's start with Tim in Wisconsin.
[00:13:30.443 --> 00:13:31.083]  Tim, are you with us?
[00:13:31.663 --> 00:13:31.844]  Yeah.
[00:13:34.358 --> 00:14:00.574]  After one guy, one caller quite a lot earlier, calling in and mentioning about, you know, the beauty of the internet, you know, being able to put all this information on YouTube and stuff, that it just came to my mind about something that Dave Von Kleist on the Power Hour was telling a news story about.
[00:14:01.866 --> 00:14:11.631]  About how the corporations, you know, are feeling so threatened about all this kind of information, you know, being able to travel as freely as it is, you know, over the internet.
[00:14:12.331 --> 00:14:20.415]  That, you know, he was talking about them wanting to, in the future, wanting to package, you know, all the, you know, airing it up in separate packages.
[00:14:20.515 --> 00:14:22.796]  Well, what they're trying to do, you're talking about internet too, correct?
[00:14:23.544 --> 00:14:24.544]  We're talking about internet too?
[00:14:24.604 --> 00:14:34.767]  And what they're trying to do with internet too is, alright, they already have the IBM ThinkPads now, where you literally do a biometric thumb scan, and unless it's your thumb, you can't log on to the computer.
[00:14:34.807 --> 00:14:38.268]  Now, they want to put that on every keyboard in this country, and I'll tell you why.
[00:14:38.628 --> 00:14:52.852]  Because they want to control the internet through a select few corporations and universities, and you and I, if we want a website, we'll be able to purchase a subdomain from these corporations slash universities, and if they don't like our content,
[00:14:53.092 --> 00:14:54.072]  They're going to be able to pull it.
[00:14:54.592 --> 00:14:56.533]  It's fascism in every sense in the word.
[00:14:57.313 --> 00:15:02.294]  It is total and complete censorship and we have to fight it before it really gets moving.
[00:15:02.334 --> 00:15:03.235]  I thank you for the call.
[00:15:03.955 --> 00:15:06.335]  Alright, let's jump to Rick in Arizona.
[00:15:06.375 --> 00:15:06.976]  Rick, are you with us?
[00:15:08.796 --> 00:15:09.416]  No, Rick dropped.
[00:15:09.456 --> 00:15:10.156]  Alright, Rick dropped.
[00:15:10.176 --> 00:15:11.697]  Let's go to Justin in Texas.
[00:15:11.757 --> 00:15:12.537]  Justin, how's it going?
[00:15:13.897 --> 00:15:14.918]  How's it going, guys?
[00:15:14.938 --> 00:15:15.458]  Alright, man.
[00:15:16.767 --> 00:15:26.805]  Alright, it's awesome that I actually got in right now because I just got an email a little while ago, actually last night from Justin Martel to cancel a debate I had scheduled with him today at 7pm.
[00:15:28.206 --> 00:15:31.067]  But I'm sure he'll find time to reschedule that.
[00:15:31.128 --> 00:15:33.589]  And I'm sure he will.
[00:15:33.929 --> 00:15:36.150]  And Dan, what did I say in that email?
[00:15:36.190 --> 00:15:40.532]  I said, can we reschedule for Monday?
[00:15:40.552 --> 00:15:42.393]  He's been pretty good the past couple days, absolutely.
[00:15:42.473 --> 00:15:44.975]  I mean, don't try to make it look like I ran away.
[00:15:45.055 --> 00:15:50.678]  I've got a personal engagement that I have to take care of this evening that is a little more, you know, important than that.
[00:15:50.918 --> 00:15:54.259]  And we all have lives outside of this, so go ahead and make your point, Justin.
[00:15:54.279 --> 00:15:56.921]  My question relates to my question I asked you yesterday.
[00:15:57.891 --> 00:16:00.934]  Um, I noticed, I do have a couple of quotes here from you.
[00:16:01.394 --> 00:16:03.236]  One is from the Abby Scott video.
[00:16:03.556 --> 00:16:04.217]  Oh, here we go.
[00:16:04.237 --> 00:16:10.502]  Where you do bring up, uh, aside from the firemen, you do bring up in particular Controlled Demolitions Incorporated.
[00:16:11.163 --> 00:16:23.273]  And also in your follow-up apology to some of the statements that you made that day, you said, um, you said, I was discussing how the government job, uh, if you have a government job, you want to keep it, AKA Controlled Demolition Incorporated.
[00:16:23.925 --> 00:16:25.007]  You keep your mouth shut.
[00:16:25.388 --> 00:16:28.134]  Well, hold on, my thing with that quote, yeah, no, no, that is a quote.
[00:16:28.455 --> 00:16:32.263]  But for instance, CDI, workers for CDI, are gonna know...
[00:16:33.916 --> 00:16:36.417]  That's what the signatures of a demolished building look like.
[00:16:36.797 --> 00:16:45.120]  So when they go and clean it up, and they're told not to talk about debt cords if they find them, or they're told not to talk about the molten metal, they're not going to.
[00:16:45.140 --> 00:16:50.562]  I mean, Lizzo, I forget what his first name is, but Lizzo is really a mouthpiece.
[00:16:50.942 --> 00:16:54.023]  Yeah, Mark Lizzo is just a mouthpiece for the administration.
[00:16:54.063 --> 00:16:57.624]  And as far as the firefighter comments, you know, let's... I'm not even getting into it.
[00:16:57.644 --> 00:16:59.185]  No, I know, but I just want to put this out there.
[00:16:59.945 --> 00:17:11.719]  Sure, but I just want to put it out there that a lot of these firefighters that did lose people did sign agreements not to sue the government, not to go to court, and just take the victim's compensation fund.
[00:17:11.739 --> 00:17:13.661]  And that is human nature, man.
[00:17:13.761 --> 00:17:15.042]  I mean, a disaster happens.
[00:17:15.763 --> 00:17:17.264]  Sure, and that is something I'm aware of.
[00:17:36.368 --> 00:17:47.192]  I just want to clear up, because I'm sure you're very familiar with laws against slander and libel, and on the InfoWars forum, there's a lot of anonymous slander going on, in particular about Controlled Demolition Incorporated.
[00:17:47.212 --> 00:17:50.554]  Sure, but hold on, there's a lot of anonymous slander going on on every forum.
[00:17:50.914 --> 00:17:57.997]  I mean, I can't... I want you to clear up for the listeners that you do not think Controlled Demolition Incorporated
[00:17:59.418 --> 00:18:03.663]  Well, I can't say that.
[00:18:03.743 --> 00:18:04.745]  After the fact?
[00:18:05.045 --> 00:18:07.147]  No, I think that they were an accessory after the fact.
[00:18:07.228 --> 00:18:07.648]  Absolutely.
[00:18:07.668 --> 00:18:09.731]  Before the fact, I have no evidence of that.
[00:18:10.011 --> 00:18:11.973]  But these guys know what a demolition looks like.
[00:18:12.454 --> 00:18:15.698]  They were commissioned to come in there and clean it up.
[00:18:16.559 --> 00:18:18.101]  I think they knew damn well what happened.
[00:18:18.341 --> 00:18:22.346]  I'll disagree with you there, and I'll be the first to say I think they're an accessory after the fact.
[00:18:22.446 --> 00:18:24.449]  I think there's a lot of accessories after the fact, man.
[00:18:24.729 --> 00:18:32.479]  For instance, I don't think Giuliani was in any way, shape, or form part of the planning or the actual operation, but afterwards...
[00:18:33.520 --> 00:18:41.024]  There's no way that he couldn't have known something was up when he was getting phone calls from Dick Cheney on that morning to get out of the building because it was going to collapse.
[00:18:41.064 --> 00:18:41.304]  He went on.
[00:18:41.324 --> 00:18:42.585]  Peter Jennings said he got a phone call.
[00:18:42.885 --> 00:18:44.806]  Later on, you find out that Dick Cheney called him.
[00:18:44.826 --> 00:18:49.129]  He got on, what was it, Barbara Walters 2020 and discussed this on the 16th.
[00:18:49.649 --> 00:18:51.030]  And then on top of all that,
[00:18:52.031 --> 00:18:54.853]  He was in World Trade Center Building 7 on the morning of 9-11.
[00:18:55.074 --> 00:18:56.415]  He was part of that initial crew.
[00:18:56.535 --> 00:18:57.235]  Absolutely was.
[00:18:57.616 --> 00:19:10.066]  He was part of that initial... I just think that what a lot of people don't understand is how hurtful it can be when you even insinuate that the firemen were... had to find something that was in exchange... But that's not an insinuation, man.
[00:19:10.106 --> 00:19:11.107]  That happened.
[00:19:11.187 --> 00:19:13.649]  344 firemen died, if I'm not mistaken.
[00:19:13.669 --> 00:19:14.170]  43, but yeah.
[00:19:14.210 --> 00:19:15.110]  No, no, you're right.
[00:19:15.130 --> 00:19:18.153]  343 firefighters died, and I'm not trying to disgrace them at all.
[00:19:18.533 --> 00:19:20.355]  For anybody to say that they...
[00:19:20.902 --> 00:19:31.429]  For any reason, would keep silent about absolutely anything that they know, whether that be from penalty of lawsuit, or whether that be from penalty of life or death, because these are firemen.
[00:19:31.629 --> 00:19:33.110]  They're afraid to die.
[00:19:33.170 --> 00:19:36.952]  Hey, I do think that a lot of those guys just went around and towed the party line.
[00:19:36.992 --> 00:19:39.134]  I mean, their audio tapes were out there.
[00:19:39.574 --> 00:19:40.735]  Their recollections were out there.
[00:19:40.775 --> 00:19:41.995]  Secondary explosions everywhere.
[00:19:42.035 --> 00:19:42.936]  I thank you for the call.
[00:19:42.956 --> 00:19:43.997]  I hope you call in tomorrow.
[00:19:44.297 --> 00:19:45.798]  We're with Justin Martell of Student Scholars.
[00:19:47.176 --> 00:19:59.906]  Now from the makers of Loose Change, the most downloaded film in internet history, comes the long-awaited release of Loose Change Final Cut, an entirely new two-hour film that completely destroys the official fable forever.
[00:20:00.326 --> 00:20:04.149]  Loose Change Final Cut hopes to be a catalyst for a new independent investigation.
[00:20:04.509 --> 00:20:05.089]  Alright, Jason?
[00:20:05.109 --> 00:20:05.169]  Yep?
[00:20:05.190 --> 00:20:05.370]  We have...
[00:20:20.185 --> 00:20:21.346]  Dave in California.
[00:20:21.566 --> 00:20:21.786]  Yup.
[00:20:22.227 --> 00:20:22.987]  Paula in Florida.
[00:20:36.778 --> 00:20:43.282]  In which family members receive answers to their questions and the true perpetrators of this horrendous crime are brought to justice.
[00:20:43.662 --> 00:20:46.843]  Loose Change Final Cut is the ultimate 9-11 expose.
[00:20:47.064 --> 00:20:54.568]  From hijackers being trained at US military bases to bombs in the buildings, Loose Change Final Cut is the one 9-11 film everyone must see.
[00:20:54.968 --> 00:21:00.170]  Secure your copy of Loose Change Final Cut today at Infowars.com or PrisonPlanet.com.
[00:21:00.371 --> 00:21:03.012]  While you're visiting the online video store, be sure to check out
[00:21:03.052 --> 00:21:03.292]  I'm good.
[00:21:19.056 --> 00:21:24.701]  Doctors around the world claim that cancer and other diseases cannot live in a pH-balanced alkaline environment.
[00:21:24.901 --> 00:21:30.045]  But as you know, most people are overly acidic due to stress, acidic diet, and lack of exercise.
[00:21:30.325 --> 00:21:35.409]  pH balance is the foundation of energy abundance and perfect health, as well as prevention of disease.
[00:21:35.709 --> 00:21:39.252]  People who alkalize the water they drink experience normalized blood sugar.
[00:21:39.552 --> 00:21:40.472]  We're good to go!
[00:22:06.520 --> 00:22:08.943]  Up to the pH of 10, with only 10 drops.
[00:22:09.283 --> 00:22:15.489]  Order your bottle of AlkaVision Plasma pH Drops now by going directly to alkavision.com.
[00:22:15.770 --> 00:22:17.171]  Again, that's alkavision.com.
[00:22:18.444 --> 00:22:19.424]  Hello, Ted Anderson.
[00:22:19.504 --> 00:22:24.285]  Listeners of the network are familiar with the Federal Reserve Note and understand the risks of deficit spending.
[00:22:24.445 --> 00:22:32.247]  Therefore, with catastrophic events, it comes as no surprise that some banks have currently placed limits on the amount of cash depositors can remove from their accounts.
[00:22:32.507 --> 00:22:37.868]  A fractional reserve system means only a small portion of your deposit is held in reserve for immediate withdrawal.
[00:22:38.088 --> 00:22:45.070]  Deficit spending will skyrocket through FDIC if the government is forced to insure deposits during a bank run followed by a depressed economy.
[00:22:45.370 --> 00:22:50.714]  A current effort is underway by the Fed along with other central banks to increase liquidity for depositors.
[00:22:50.955 --> 00:22:55.698]  However, an increase in money supply without equal expansion in productivity can cause inflation.
[00:22:56.039 --> 00:23:03.625]  In order to achieve strength and stability, I recommend a conservative portion of all investments to be calmly repositioned into gold and silver.
[00:23:03.925 --> 00:23:04.145]  I think?
[00:23:19.104 --> 00:23:20.685]  You need to listen to this information.
[00:23:20.885 --> 00:23:24.788]  By the age of 60, half of all men have a prostate-related problem.
[00:23:25.028 --> 00:23:29.031]  In the past, many men have turned to saw palmetto to support prostate health.
[00:23:29.451 --> 00:23:31.353]  But now, there's something much better.
[00:23:31.633 --> 00:23:33.014]  It's called beta-prostate.
[00:23:33.274 --> 00:23:38.518]  Beta-prostate contains 3,000 times more healthy plant sterols than ordinary saw palmetto.
[00:23:38.778 --> 00:23:44.722]  In fact, you'd have to take 100 saw palmetto capsules to get the same benefits of one dose of beta-prostate.
[00:23:44.982 --> 00:23:46.183]  It's guaranteed to provide
[00:23:48.189 --> 00:23:48.910]  Woo!
[00:23:50.930 --> 00:23:55.772]  It feels good.
[00:23:55.792 --> 00:23:58.672]  Feels good fighting the New World Order, I'm not gonna lie.
[00:23:58.813 --> 00:24:01.873]  I hate these globalists with every essence of my being.
