[00:00:00.009 --> 00:00:00.792]  Term free, 33 dollars.
[00:04:43.906 --> 00:04:47.748]  But really, do they have a leftist like them?
[00:04:48.188 --> 00:04:50.669]  It was the same thing with Bush.
[00:04:50.729 --> 00:04:54.751]  Everybody thought it was going to be wonderful, and conservatives all went to sleep.
[00:04:55.051 --> 00:04:59.753]  But if you look, it is the exact policies, just different rhetoric, continuing.
[00:04:59.793 --> 00:05:02.474]  And there's this huge foundation for youth brigades.
[00:05:02.535 --> 00:05:07.357]  Bush took Clinton's AmeriCorps and set up SecurCorps with the youth.
[00:05:08.477 --> 00:05:13.062]  Sixth, seventh, and eighth grade with M-16s, training for gun confiscation.
[00:05:13.102 --> 00:05:14.423]  That was in major newspapers.
[00:05:14.784 --> 00:05:16.325]  Philadelphia Daily News was one.
[00:05:17.066 --> 00:05:22.111]  So this is all going on behind the scenes very quietly, but exactly.
[00:05:23.012 --> 00:05:29.699]  We have to shatter that left-right paradigm because they keep fooling us by changing horses, but I think, as you said earlier,
[00:05:30.299 --> 00:05:39.250]  One of the big things is they're afraid now because one of the things that Jim Tucker got out of the Trilateral Commission meeting a few months ago in D.C.
[00:05:39.290 --> 00:05:41.552]  and he had moles and got their minutes out.
[00:05:41.572 --> 00:05:43.735]  He has all those sources being in D.C.
[00:05:44.075 --> 00:05:47.559]  as a reporter now for 50 years and he's always proven to have accurate info.
[00:05:48.140 --> 00:05:49.761]  They weren't worried about Ron Paul for president.
[00:05:49.801 --> 00:05:51.203]  They said he's got the youth.
[00:05:51.863 --> 00:05:55.566]  They're not getting into the communist groups or the right-wing groups, the fake right-wing groups.
[00:05:55.967 --> 00:05:58.729]  They are really getting into Liberty and they're talking about the Federal Reserve.
[00:05:59.009 --> 00:06:00.190]  And they are scared.
[00:06:00.450 --> 00:06:01.831]  And they're scared for a good reason.
[00:06:02.212 --> 00:06:05.655]  Because if we had more time, I know we could win this.
[00:06:05.695 --> 00:06:08.477]  The problem is the enemy sees we're coming at them and so they're moving quick.
[00:06:10.718 --> 00:06:14.780]  Well, with an economic catastrophe on the horizon.
[00:06:15.160 --> 00:06:21.102]  Remember during the Great Depression, Roosevelt began his Civilian Conservation Corps, and much of that was youth.
[00:06:24.081 --> 00:06:26.122]  I believe this is what is going to take place.
[00:06:26.262 --> 00:06:45.152]  If Barack Obama is President, I believe he will be, unless some 9-11 event catapults John McCain into office, what we will see is this will be proposed to be one of the solutions for these millions of American youth who can't find a job.
[00:06:46.068 --> 00:06:47.169]  Who have no future.
[00:06:47.610 --> 00:06:51.013]  Who are out there driftless, because of economic calamity.
[00:06:51.033 --> 00:06:52.194]  You've been saying this for 15 years.
[00:06:52.234 --> 00:06:53.055]  You didn't just say this.
[00:06:53.276 --> 00:06:53.716]  Of course.
[00:06:54.156 --> 00:07:00.763]  And so, this will be the perfect thing for Obama to say, hey, youth of America, now I'm going to give you a purpose.
[00:07:00.903 --> 00:07:02.365]  I'm going to give you a goal.
[00:07:02.665 --> 00:07:04.727]  We're going to train you, indoctrinate you.
[00:07:05.067 --> 00:07:08.671]  You're going to be our youth core, our homeland security.
[00:07:08.871 --> 00:07:25.684]  And it just so happens that a trillion dollar platform has already been built over the last twenty years for him, but overnight he's got the idea and got all these bigwigs behind him in the Chicago Tribune saying this is... and they say, they don't say, oh it's mission will be helping people and some security.
[00:07:25.984 --> 00:07:28.426]  They say that there will be spies.
[00:07:29.147 --> 00:07:30.067]  Armed spies.
[00:07:30.147 --> 00:07:30.648]  Tex, go ahead.
[00:07:30.928 --> 00:07:44.536]  Well, they believe a generation that's been built, conditioned on video games like Grand Theft Auto and such, and barbaric movies, the Texas Chainsaw Massacre and all these, they believe these people will be fit
[00:07:45.492 --> 00:07:53.377]  to run their gulag concentration camps that Halliburton and KBR have built systematically over the last ten years or so.
[00:07:53.877 --> 00:07:55.258]  So we have a generation.
[00:07:55.558 --> 00:08:01.902]  Now what we have to do is continue to educate people, inform people, and really rattle some cages.
[00:08:02.102 --> 00:08:03.262]  Hey Alex, I want to tell you something.
[00:08:03.723 --> 00:08:10.347]  This is just maybe symbolic, but it shows you the power of the Alex Jones Show.
[00:08:11.047 --> 00:08:17.349]  You remember last week when we were on, we talked about these North American Union pyramids in West Virginia.
[00:08:17.969 --> 00:08:30.852]  Now remember, one of the things I'd like us to talk about today is the fact that the Illuminists in building this architecture around the world, this architectural colossus, are signaling future events.
[00:08:31.392 --> 00:08:32.652]  Now, we have in 2005 in Waco, Texas,
[00:08:34.813 --> 00:08:44.039]  The President of Mexico, Vicente Fox, Morton, the Prime Minister of Canada, and Bush agreeing to this pact, this North American Union, by 2010.
[00:08:44.379 --> 00:08:45.740]  Okay?
[00:08:46.060 --> 00:08:47.040]  This was in 2005.
[00:08:47.861 --> 00:08:49.582]  But wait!
[00:08:49.742 --> 00:09:01.990]  In 1995, in West Virginia, where the two Senators of that state, by the way, are Rockefeller, Jay Rockefeller, and Byrd, a 33rd degree Mason, they erected three pyramids.
[00:09:03.030 --> 00:09:04.191]  And they used U.S.
[00:09:04.491 --> 00:09:10.895]  taxpayer and West Virginia taxpayer money, and these three pyramids are symbolic.
[00:09:11.236 --> 00:09:12.276]  They are magical.
[00:09:12.436 --> 00:09:13.417]  They are ritual.
[00:09:13.437 --> 00:09:17.180]  And I believe they conducted rituals in those at their inauguration.
[00:09:17.200 --> 00:09:20.482]  Well, we know it was laid down by Masons, so they do a ritual at Cornerstone.
[00:09:20.662 --> 00:09:24.705]  Now, they placed three flags in front of them that existed to this day.
[00:09:25.365 --> 00:09:26.466]  Now, here's a photo of that.
[00:09:26.506 --> 00:09:28.928]  I know your TV people can see it, but those on the radio.
[00:09:28.948 --> 00:09:40.495]  I want you to understand, here are three pyramids and the three flagpoles flying the Mexican, the Canadian, and the American flag in Princeton, West Virginia.
[00:09:40.816 --> 00:09:41.116]  Okay?
[00:09:41.496 --> 00:09:43.097]  Now, this is interesting.
[00:09:43.137 --> 00:09:44.878]  We went on your program and we exposed this.
[00:09:45.459 --> 00:09:48.161]  This was the first time this had ever been exposed.
[00:09:48.681 --> 00:09:53.304]  Remember, this presage, this was a precursor to the North American Union Pact.
[00:09:53.544 --> 00:09:54.185]  Well, guess what?
[00:09:55.194 --> 00:09:58.896]  A good friend of my ministry sent me a new picture.
[00:09:59.997 --> 00:10:11.924]  And because of the incredible commotion that your show caused, they have temporarily brought down the Mexican and Canadian flags, and the only one that exists right now is the U.S.
[00:10:12.104 --> 00:10:13.245]  This is a brand new photo.
[00:10:13.445 --> 00:10:14.626]  Yeah, this is a brand new photo.
[00:10:14.646 --> 00:10:15.006]  Same place.
[00:10:15.026 --> 00:10:16.587]  We just showed people all three of the flags.
[00:10:17.127 --> 00:10:19.349]  Now, again, they can only do this stuff in the dark.
[00:10:19.949 --> 00:10:23.332]  They can only do this if we don't expose it.
[00:10:23.572 --> 00:10:24.793]  One person wrote me an email.
[00:10:24.833 --> 00:10:31.979]  He said, Tex, what I did was, after I heard you with Alex Jones, I went to that place, and to my shock, it was true.
[00:10:32.299 --> 00:10:34.461]  There were the three flags flying.
[00:10:34.841 --> 00:10:40.506]  He said, I just got out of my car, I parked it, and I hoisted the two down, Mexican
[00:10:40.806 --> 00:10:42.527]  And he said, I didn't want to damage any property.
[00:10:42.547 --> 00:10:43.647]  I didn't want to get in any trouble.
[00:10:43.687 --> 00:10:44.447]  I love it.
[00:10:44.487 --> 00:10:45.707]  That's like Sons of Liberty.
[00:10:45.727 --> 00:10:46.448]  We're starting to get aggressive.
[00:10:46.468 --> 00:10:46.748]  Exactly.
[00:10:46.988 --> 00:10:51.469]  He said, and I folded them up very neatly and just set them down there on the sidewalk and left.
[00:10:52.209 --> 00:10:53.350]  Now, it's interesting.
[00:10:53.770 --> 00:10:56.151]  And then he said, I came back a week later and I took another picture.
[00:10:56.191 --> 00:10:56.511]  Guess what?
[00:10:56.531 --> 00:10:57.371]  They haven't put them back up.
[00:10:57.391 --> 00:11:05.633]  They're getting besieged with phone calls demanding to know why those foreign flags are in West Virginia at a government taxpayer-paid building.
[00:11:05.833 --> 00:11:07.674]  But remember, even the architecture
[00:11:08.334 --> 00:11:13.418]  You see, the pyramids are a sign of regeneration, of the new order of the ages.
[00:11:13.438 --> 00:11:14.179]  It's rising.
[00:11:14.479 --> 00:11:15.199]  It's rising.
[00:11:15.259 --> 00:11:19.423]  And in fact, when the Egyptians, every time a new dynasty came in, they would build new monuments to it.
[00:11:19.883 --> 00:11:23.646]  And it also indicates, symbolizes the death of the old.
[00:11:24.367 --> 00:11:26.909]  So, they were saying, death to America,
[00:11:27.629 --> 00:11:30.250]  And up with the North American Union.
[00:11:30.470 --> 00:11:34.511]  Which is also why they're building the big Muslim crescent moon and star.
[00:11:35.291 --> 00:11:37.252]  In fact, we're going to get to that when we get back.
[00:11:37.352 --> 00:11:43.274]  In fact, we'll just continue to talk during the break for presentplanet.tv viewers, but we'll come back with the main info in four minutes.
[00:11:43.574 --> 00:11:43.974]  Stay with us.
[00:11:46.383 --> 00:11:47.384]  Okay, John, thank you.
[00:11:47.645 --> 00:11:49.768]  We'll just coast back into the next segment.
[00:11:50.509 --> 00:11:52.171]  Oh, look at Burmess, how nice he is.
[00:11:52.531 --> 00:11:54.294]  With a jumbo, big gulp of water for you.
[00:11:54.314 --> 00:11:55.816]  Hey, Burmess, what do you think of the show?
[00:11:55.836 --> 00:11:56.076]  Good times.
[00:12:00.205 --> 00:12:01.365]  Jason Mermis is a good guy.
[00:12:01.385 --> 00:12:03.426]  Well, I'll tell you, he knows about 9-11, doesn't he?
[00:12:03.446 --> 00:12:04.146]  He studied that.
[00:12:04.206 --> 00:12:05.106]  He's going to get a lot of heat.
[00:12:05.126 --> 00:12:09.767]  You know, his new film that I decided to produce, a lot of it's about the Israelis.
[00:12:11.147 --> 00:12:13.648]  And boy, I tell you, I'm going to get into the deep water now.
[00:12:14.068 --> 00:12:21.530]  Well, you know, in Mysterious Monuments, I have a whole section on Rothschild's unholy legacy in the Holy Lands.
[00:12:21.950 --> 00:12:27.331]  Now, I want Jewish people to know, you know, in the last segment, a Jewish patriot called into the show.
[00:12:27.995 --> 00:12:29.316]  And I appreciated that, gentlemen.
[00:12:30.256 --> 00:12:30.876]  But guess what?
[00:12:31.536 --> 00:12:38.339]  I believe these folks, they don't care if Israelis suffer, if Palestinians suffer.
[00:12:38.739 --> 00:12:42.040]  In fact, I believe they want to bring tragedy to Israel.
[00:12:42.420 --> 00:12:45.341]  They believe like the phoenix, they can build on the ashes.
[00:12:45.361 --> 00:12:55.025]  Well, have you seen those big reports about the top ten, first it was the top six, and the top ten billionaires left Israel, sold their houses, and moved to London.
[00:12:55.085 --> 00:12:56.145]  Why do you think they're leaving?
[00:12:56.565 --> 00:13:01.227]  Well, they're leaving because they know there can be an incredible blow-up there.
[00:13:01.608 --> 00:13:03.248]  And by the way, they don't mind that at all.
[00:13:04.489 --> 00:13:14.454]  One of their goals, of course, is to blow up the mosque there on top of the Temple Mount, the Dome of the Rock, and build a great Masonic temple of all religions.
[00:13:14.534 --> 00:13:16.715]  Well, I'm sure it's obviously in your books.
[00:13:16.815 --> 00:13:17.915]  Of course, the text has seen it.
[00:13:18.156 --> 00:13:20.577]  But they have the Supreme Court building with an all-seeing eye.
[00:13:21.317 --> 00:13:21.577]  That's right.
[00:13:21.597 --> 00:13:22.999]  That's just complete craziness.
[00:13:23.219 --> 00:13:33.469]  Remember, even in the Old Testament, and this is not a sermon today, but God told the Israelis, the Israelites, come out of Egypt.
[00:13:34.010 --> 00:13:42.178]  But the Rothschilds have built, at Hebrew University, right in the courtyard, and I picture that in the book, a great Egyptian pyramid.
[00:13:42.778 --> 00:13:57.012]  And this Supreme Court of Israel, that's intended to be the New World Order Supreme Court of the world, is built in all of these Egyptian, Pyramid, Masonic... They say the more things change, the more they stay the same.
[00:13:58.914 --> 00:14:10.080]  That they'll come out of Egypt means get rid of their religion, and that when Moses comes down with the law, they're all partying, having orgies with the golden calf, making sacrifices, and they all get blown to bits.
[00:14:10.420 --> 00:14:11.621]  But I mean, that's the same thing.
[00:14:11.641 --> 00:14:15.343]  There's always been those two groups within Israel, and that's the struggle.
[00:14:15.703 --> 00:14:22.488]  So we want Israel to be good and come out of Egypt, not continue to be the bearers of that evil from Egypt.
[00:14:22.648 --> 00:14:29.233]  Well, you know, authors like Barry Commission, I suspect he's been on this program for a while, he is a Jewish patriot.
[00:14:29.654 --> 00:14:37.940]  But remember, he says himself, he has reported the assassination of Yitzhak Rabin.
[00:14:38.040 --> 00:14:41.462]  All these things are done by this satanic Jewish sect.
[00:14:41.663 --> 00:14:43.004]  And by the way, even Billy Graham,
[00:14:43.755 --> 00:14:45.477]  You know, this came out in the Nixon tapes.
[00:14:45.737 --> 00:14:48.940]  He talked about the satanic sect among the Jews.
[00:14:49.300 --> 00:14:50.761]  Here's the whole point of it.
[00:14:51.062 --> 00:14:53.544]  It doesn't matter whether you're Gentile or Jew.
[00:14:53.704 --> 00:14:55.846]  Do you serve the devil or do you serve God?
[00:14:55.966 --> 00:14:56.406]  Exactly.
[00:14:56.887 --> 00:15:04.894]  And to be very honest with you, one of my goals is to try to rescue as many people of Israel, just like the Palestinians.
[00:15:05.254 --> 00:15:08.458]  Well, I agree, and that's what I've always done, is expose the wickedness that's going on.
[00:15:08.878 --> 00:15:14.064]  I just don't hate the individuals, and that's why I get bullied around, because I make films about the U.S.'
[00:15:14.044 --> 00:15:16.987]  's liberty, I have guests constantly on, and they say, you don't cover this.
[00:15:17.067 --> 00:15:17.307]  No.
[00:15:17.728 --> 00:15:20.511]  What I do is I explain that Saudi Arabia is just as wicked.
[00:15:20.811 --> 00:15:29.797]  You know, I'm explaining there's evil in all high places instead of just focusing in on one, which is what the new order always wants us to do, another form of divide and conquer.
[00:15:30.057 --> 00:15:35.961]  It is divide and conquer, and yet it is true though, Alex, that the Zionist neocons right now are dominant.
[00:15:36.101 --> 00:15:38.003]  They are dominant in this new world order.
[00:15:39.124 --> 00:15:41.647]  And of course, this is going to bring great tragedy.
[00:15:41.827 --> 00:15:42.588]  Listen to this now.
[00:15:42.928 --> 00:15:44.891]  Not only to the United States, but to Israel.
[00:15:45.311 --> 00:15:47.633]  And that is planned.
[00:15:47.673 --> 00:15:49.535]  Before you leave, let's get into that on the full show.
[00:15:49.936 --> 00:15:52.399]  Coming back right now, let's continue with what you were talking about with the pyramids.
[00:15:55.302 --> 00:16:03.824]  I was telling you that in Mysterious Monuments, we have a whole section called Rothschild's Unholy Legacy in the Holy Lands.
[00:16:04.484 --> 00:16:14.446]  He's built a great pyramid in the courtyard of Hebrew University, and he's built the Israeli Supreme Court, an incredible complex.
[00:16:15.047 --> 00:16:20.188]  There again we have Egyptian pyramids and all kinds of Masonic numerology used therein.
[00:16:20.508 --> 00:16:21.028]  And by the way,
[00:16:21.628 --> 00:16:26.193]  When you come out of Egypt, the first city you come to there is called Eilat.
[00:16:26.654 --> 00:16:27.575]  E-I-L-A-T.
[00:16:28.155 --> 00:16:37.005]  And when you drive in, you will see a great pyramid right there in the middle of the street in the boulevard with the all-seeing eye and the Masonic square and compass.
[00:16:37.306 --> 00:16:40.049]  Here again we see signs of Rothschild.
[00:16:40.629 --> 00:16:43.971]  Rothschild, of course, was the designer of the Israeli flag in 1948.
[00:16:44.611 --> 00:16:47.673]  The six-pointed star, which is actually... The Seal of Solomon.
[00:16:47.773 --> 00:16:48.693]  The Seal of Solomon.
[00:16:48.713 --> 00:16:50.374]  It's the hexagram of witchcraft.
[00:16:51.055 --> 00:16:54.717]  666 is concealed within the six-pointed star.
[00:16:54.737 --> 00:16:58.579]  And that's the penultimate Kabbalic symbol, is it not?
[00:16:58.699 --> 00:16:58.999]  Oh, yes.
[00:16:59.059 --> 00:17:00.480]  And you know, the average person, you know...
[00:17:01.600 --> 00:17:02.201]  It doesn't matter.
[00:17:02.221 --> 00:17:03.261]  You may have a Jewish neighbor.
[00:17:03.281 --> 00:17:03.982]  You tell them about this.
[00:17:04.022 --> 00:17:05.142]  They don't know anything about this.
[00:17:05.162 --> 00:17:05.963]  They're not plotters.
[00:17:05.983 --> 00:17:07.204]  They're not conspirators.
[00:17:07.684 --> 00:17:11.967]  And I believe the people of Israel are going to be great victims of this.
[00:17:12.527 --> 00:17:17.010]  Because there is a satanic sect within the Zionist at the top.
[00:17:17.230 --> 00:17:18.231]  Just like in America.
[00:17:18.551 --> 00:17:21.072]  The average American is patriotic to the core.
[00:17:21.372 --> 00:17:23.814]  But we have this small clique, this cabal,
[00:17:23.834 --> 00:17:24.814]  Well, it's like the British.
[00:17:25.374 --> 00:17:27.975]  I mean, I've got an English name, you've got a Scottish name.
[00:17:28.295 --> 00:17:30.475]  The point is, the government's evil there.
[00:17:30.495 --> 00:17:32.816]  We're not talking about the evil communist Chinese.
[00:17:32.836 --> 00:17:34.356]  We're not saying the Chinese are bad.
[00:17:34.616 --> 00:17:36.257]  We're saying their leaders are wicked.
[00:17:36.297 --> 00:17:41.278]  And Israel is dominated by very, very wicked people, and they have now dominated the U.S.
[00:17:41.658 --> 00:17:45.579]  Now, some people say, well, is their goal to bring Judaism to the world scene?
[00:17:45.979 --> 00:17:46.219]  Listen.
[00:17:46.820 --> 00:17:59.178]  Their world religion is based on acceptance of all religions, a melting of all religions into one, but you cannot say that your religion is exclusive or better.
[00:17:59.459 --> 00:18:00.420]  Let's just take this.
[00:18:01.345 --> 00:18:03.727]  This is an absolute disgrace.
[00:18:04.468 --> 00:18:18.640]  What I'm showing you here, and what is pictured in Mysterious Monuments, is the taxpayer-funded monument to the victims that died on 9-11, that aircraft that crashed there near Shanksville, Pennsylvania.
[00:18:19.441 --> 00:18:25.607]  Now, they have built, listen to this, an Islamic monument
[00:18:28.144 --> 00:18:29.024]  It's an incredible thing.
[00:18:29.104 --> 00:18:33.686]  Remember, Arlen Specter is the senator that sort of greased this bill through Congress.
[00:18:33.706 --> 00:18:34.986]  And it even aims at Mecca.
[00:18:35.466 --> 00:18:37.046]  Well, it's oriented toward Mecca.
[00:18:37.346 --> 00:18:47.249]  And I show here, if you look at it, the crescent moon and the star, which is the sign of Islam, and they have designed it in the same kind of format.
[00:18:48.009 --> 00:18:50.870]  And by the way, even the name of it is called the Crescent of Embrace.
[00:18:52.450 --> 00:18:54.652]  What a slap in the face to the survivors!
[00:18:54.672 --> 00:19:00.618]  And they've got the visitor center, you have to be there to see it, but I know this is laid out, and it's been on the news, like a star right there.
[00:19:01.019 --> 00:19:03.121]  Like, you know, the red star of communism.
[00:19:03.641 --> 00:19:09.267]  But the crescent of embrace, because the Islamic symbol is the crescent moon.
[00:19:09.848 --> 00:19:12.210]  So here we have a slap in the face.
[00:19:13.191 --> 00:19:16.074]  How can they actually, and by the way, Arlen Specter is Jewish.
[00:19:17.259 --> 00:19:19.262]  But he is a 33rd degree Mason!
[00:19:19.843 --> 00:19:31.220]  And remember, it was Albert Pike, the former Sovereign Grand Commander of Freemasonry, who said, every Masonic temple, or lodge, is a temple of religion.
[00:19:31.903 --> 00:19:39.188]  But it is not the religion of either the Jews, or the Christians, or the Muslims, or the Hindus, but of the great architect.
[00:19:39.608 --> 00:19:40.108]  Lucifer.
[00:19:40.248 --> 00:19:41.909]  Yeah, all-seeing-eye God.
[00:19:42.289 --> 00:19:43.610]  They call him the great architect.
[00:19:43.670 --> 00:19:45.311]  He is, in fact, Lucifer.
[00:19:45.351 --> 00:19:47.873]  And their religion is manifesting it through building.
[00:19:48.233 --> 00:19:48.813]  Through building.
[00:19:48.874 --> 00:19:50.475]  They call themselves the builders.
[00:19:50.795 --> 00:19:58.900]  I have a picture of a well-known, in fact he's celebrated in all the Masonic lodges, and by the Supreme Lodge there in Washington, D.C.
[00:19:59.600 --> 00:20:00.461]  Joseph Fort Newton.
[00:20:00.501 --> 00:20:02.063]  He wrote a book called The Builders.
[00:20:02.463 --> 00:20:11.912]  Did you know that the Freemasons actually claim that a Freemason named Peleg was the architect of the Tower of Babel?
[00:20:12.963 --> 00:20:13.884]  What a boast!
[00:20:13.904 --> 00:20:17.708]  They say, we, the masons, built the Tower of Babel!
[00:20:17.728 --> 00:20:28.758]  Well, that's like the European Union building is built exactly like that, and they even say that's what it's supposed to be, and then they have on their stamps and money, they have the image of upside-down stars flying over it.
[00:20:29.358 --> 00:20:29.738]  That's right.
[00:20:30.019 --> 00:20:35.243]  We have a picture here now, for your TV audience at least, but I want people to understand this.
[00:20:35.824 --> 00:20:37.766]  This is the new European
[00:20:38.999 --> 00:20:39.640]  See, it's not done.
[00:20:39.660 --> 00:20:40.420]  Community building.
[00:20:40.921 --> 00:20:41.642]  Well, it is done.
[00:20:41.862 --> 00:20:43.844]  But I mean, I see what you mean, it's not done.
[00:20:43.904 --> 00:20:46.166]  But in the architecture, they're leaving it like the biblical images.
[00:20:46.466 --> 00:20:48.088]  Yeah, this is the Tower of Babel.
[00:20:48.348 --> 00:20:52.011]  Now, remember what I said about the Illuminati signaling future events.
[00:20:52.512 --> 00:20:55.054]  They build gigantic, monumental architecture.
[00:20:55.595 --> 00:21:00.219]  And remember, it takes many years to build such grandiose edifices.
[00:21:00.800 --> 00:21:01.780]  But here we have
[00:21:02.761 --> 00:21:14.369]  In Europe, they have built this European Community Headquarters, and they have their 12-star flag out in front, and it is an unfinished Tower of Babel.
[00:21:14.389 --> 00:21:16.370]  They intend to finish the project.
[00:21:16.390 --> 00:21:21.013]  Well, I agree with you, and as you know, Tex, on their actual money, they put the ancient Tower of Babel.
[00:21:21.033 --> 00:21:27.137]  The European Union, on their handbills, has the ancient Tower of Babel in the biblical representation.
[00:21:27.177 --> 00:21:28.338]  Stay there, Tex, we'll be right back.
[00:21:35.248 --> 00:21:36.149]  We're on the march.
[00:21:36.629 --> 00:21:38.231]  The Empire's on the run.
[00:21:39.171 --> 00:21:41.914]  Alex Jones and the GCN Radio Network.
[00:21:42.274 --> 00:21:43.335]  Alright, we're gonna keep going, John.
[00:21:46.465 --> 00:22:09.088]  We're here talking with Tex Mars and to explain to people on the web, they keep getting confused by this at PrisonPlanet.tv and then when people grab it and post it all over the internet, we have a live radio show in here and there's about fourteen minutes of ads an hour and so I don't want to waste time with somebody like Tex when he comes in so we will then talk behind the scenes so that you can also watch us
[00:22:10.179 --> 00:22:10.679]  Oh, absolutely.
[00:22:11.040 --> 00:22:12.340]  Our email is going crazy.
[00:22:12.360 --> 00:22:13.041]  Here's the reason why.
[00:22:38.699 --> 00:22:48.564]  So many people listen to your program, they listen to my program, they buy books and they buy videos, but what was missing perhaps?
[00:22:48.864 --> 00:22:50.665]  Because so many people are skeptics.
[00:22:51.045 --> 00:22:55.066]  So many people watch the control mass media and they're lied to and propagandized.
[00:22:55.967 --> 00:23:00.449]  But what Mysterious Monuments does for the first time is show that there is physical
[00:23:01.601 --> 00:23:02.761]  Forensic evidence.
[00:23:03.282 --> 00:23:03.942]  It's everywhere.
