[00:00:00.129 --> 00:00:02.651]  This is the GCN Radio Network, home to hard-hitting talk radio.
[00:03:11.721 --> 00:03:19.365]  In 8 parliamentary soldiers are dead in Pakistan after a suicide car bomber rammed his vehicle into a checkpoint near the Afghan border.
[00:03:19.785 --> 00:03:22.546]  The troops were washing vehicles at the time.
[00:03:23.186 --> 00:03:28.389]  For more news and analysis log on to IRNnews.com
[00:03:30.962 --> 00:03:36.186]  Here's a word about Israel from Dr. Jack Hayford, President of the International Church of the Foursquare Gospel.
[00:03:36.226 --> 00:03:39.669]  To go to Israel is to change the way you will ever approach the Bible.
[00:03:39.889 --> 00:03:45.974]  The Bible becomes based in an entirely deeper and richer way because you have been where it happened.
[00:03:46.334 --> 00:03:48.856]  You'll never be the same when you visit Israel.
[00:03:49.357 --> 00:03:52.960]  To start planning your trip to Israel today, visit www.goisrael.com.
[00:04:01.149 --> 00:04:10.465]  Britain's Prime Minister is in Saudi Arabia where he's trying to coax oil-rich countries in the Middle East to donate to the bailout preserves of the International Monetary Fund.
[00:04:11.218 --> 00:04:13.899]  Gordon Brown says he's confident the Saudis will help.
[00:04:14.199 --> 00:04:24.381]  I think we will persuade, you're talking about hundreds of billions of dollars here, and I think we will persuade countries from China to the oil states to make their contribution as well.
[00:04:24.421 --> 00:04:33.243]  More on the run for the White House, where Israel political analyst Ronan Gisson says the outcome of the election won't change the US-Israeli bond.
[00:04:33.483 --> 00:04:35.403]  Whoever is going to be the American president,
[00:04:36.023 --> 00:04:44.273]  He is committed to Israel's security, to Israel needs, and that strategic partnership, I believe, will continue.
[00:04:44.473 --> 00:04:47.617]  Some states report record turnouts for early voting.
[00:04:48.017 --> 00:04:52.523]  This voter in Charlotte, North Carolina says the lines were not moving very fast.
[00:04:52.763 --> 00:04:54.085]  At the end of the block there.
[00:04:54.785 --> 00:04:57.928]  So, in about two hours, we've made it about halfway down the block.
[00:04:57.988 --> 00:05:07.136]  House Republican leader John Boehner has used a vulgar expression to refer to Democrat Barack Obama and his voting record in the Illinois legislature.
[00:05:07.616 --> 00:05:08.557]  Here's Matt Reed.
[00:05:08.757 --> 00:05:12.560]  Boehner criticized Obama for not taking a stand on various issues.
[00:05:12.600 --> 00:05:19.226]  He feels that as a legislator, you should either vote yes or no on an issue, and to do otherwise is chicken followed by a four-letter word.
[00:05:19.426 --> 00:05:25.459]  Comments alluded to Obama's record of voting present 129 times as a state lawmaker.
[00:05:26.181 --> 00:05:29.247]  I'm Jody Jordan for IRN USA Radio News.
[00:05:30.905 --> 00:05:40.048]  Did you know that it's a documented fact 80% of all Americans and 85% of people around the world suffer from internal parasites and parasitic infection?
[00:05:40.208 --> 00:05:48.251]  You may be one of millions of people suffering from one of dozens of debilitating chronic diseases from these parasites and your doctor would never know it.
[00:05:48.391 --> 00:05:52.913]  In fact, clinically detected parasites account for only 1% of all cases.
[00:05:52.973 --> 00:05:55.594]  Don't continue to suffer from pain due to misdiagnosis.
[00:05:55.734 --> 00:05:59.715]  Now you can fight internal parasites, heavy metal poisoning and high cholesterol.
[00:05:59.895 --> 00:06:07.039]  Naturally and safely by mixing fossilized phytoplankton powder, also known as FPP, with your favorite beverage once a day.
[00:06:07.279 --> 00:06:13.482]  FPP is used around the world, has numerous uses, and is now available to you from Freshwater Organics.
[00:06:13.722 --> 00:06:21.486]  FPP strengthens skin, hair, and bones, lowers cholesterol, and is an excellent source of natural plant-based silica with 14 trace minerals.
[00:06:21.626 --> 00:06:22.767]  Order some today at Freshwater.
[00:06:22.847 --> 00:06:24.431]  FreshwaterOrganics.com.
[00:06:24.551 --> 00:06:27.417]  Again, that's FreshwaterOrganics.com or call 888-949-3570.
[00:06:44.481 --> 00:06:46.163]  He stands for truth.
[00:06:47.265 --> 00:06:50.409]  He stands for justice.
[00:06:50.489 --> 00:06:52.532]  He stands for what's right.
[00:06:52.912 --> 00:06:55.315]  This is the Alex Jones Show.
[00:06:57.397 --> 00:07:03.521]  Call Alex now, toll free at 877-590-5525.
[00:07:04.601 --> 00:07:12.406]  Now live from Austin, Texas, here's Alex Jones.
[00:07:12.766 --> 00:07:20.571]  That's right, live from deep in the heart of Texas, it is already the second day of November 2000.
[00:07:24.520 --> 00:07:24.940]  And eight.
[00:07:25.020 --> 00:07:29.502]  We're going to be live here for the next two hours.
[00:07:30.263 --> 00:07:37.546]  We're going to have open phones at 877-590-5525.
[00:07:37.566 --> 00:07:38.726]  That's 877-590-5525.
[00:07:38.746 --> 00:07:44.189]  We're less than 48 hours out from Tuesday's election, national election.
[00:07:44.229 --> 00:07:47.530]  They're talking about record turnout of around 75% nationwide.
[00:07:47.550 --> 00:07:50.552]  You just heard local news here in Austin on the station.
[00:07:51.492 --> 00:07:51.693]  I think?
[00:08:11.696 --> 00:08:33.131]  Presidential election, don't forget there's all the senatorial elections, house elections, going on, the state elections, legislative elections, local, county, city elections, and unfortunately we still have a national average of about 8.5% for local turnout, but we get over 50% for national turnout on average, again close to 80% this time they're predicting.
[00:08:34.272 --> 00:08:35.953]  The real power is locally.
[00:08:36.033 --> 00:08:38.995]  The big foreign, multinational corporations, the special interest,
[00:08:40.044 --> 00:08:44.489]  The people creating a world government is an end-runner on our liberties and freedoms in the Western world.
[00:08:45.370 --> 00:08:52.478]  They are, for a long time, buying off the leaders of the House and Senate, and of course the executive branch.
[00:08:52.798 --> 00:08:57.263]  But they don't have total control over the local area, and that's where we can still have a huge effect.
[00:08:58.371 --> 00:09:03.112]  I want to open the phones up today for your take on who you're voting for.
[00:09:03.652 --> 00:09:06.713]  Third party, is it Ralph Nader or is it the Constitution Party?
[00:09:08.373 --> 00:09:09.214]  Chuck Baldwin?
[00:09:09.254 --> 00:09:11.014]  Are you voting for Barack H. Obama?
[00:09:11.054 --> 00:09:13.535]  Are you voting for John McCain?
[00:09:15.275 --> 00:09:19.116]  Your take on the future of this country and the military and police.
[00:09:19.896 --> 00:09:23.397]  Now we told you they were gearing up for martial law a long time ago.
[00:09:23.477 --> 00:09:24.838]  We're not saying that's going to happen.
[00:09:24.858 --> 00:09:26.498]  We're saying they're locked and loaded for it.
[00:09:27.422 --> 00:09:35.144]  But now they've openly, in the last few weeks, been saying, yes, we are ready for national riots and cities burning if Barack Obama doesn't win.
[00:09:36.744 --> 00:09:40.165]  But most polls show Barack Obama at least five points ahead.
[00:09:40.225 --> 00:09:43.346]  Some show him as many as thirteen points ahead.
[00:09:44.206 --> 00:09:46.147]  But the Electoral College is a little bit different.
[00:09:46.187 --> 00:09:48.467]  His lead is slightly less there.
[00:09:48.487 --> 00:09:51.568]  I don't like either one of the candidates.
[00:09:51.588 --> 00:09:55.229]  They're both anti-gun, pro-open border, pro-New World Order candidates.
[00:09:56.084 --> 00:10:01.226]  My main problem with Barack Obama is that I found writings of his when he first got in the U.S.
[00:10:01.266 --> 00:10:15.910]  Senate four years ago calling for carbon taxes in the name of stopping CO2, that's actually what plants breathe, to regulate every facet of our lives, to shut down a lot of power plants, giving us cheap energy and killing a lot of jobs.
[00:10:16.730 --> 00:10:23.292]  And he also wants these tattletale brigades, over a million man youth brigade, as domestic spies.
[00:10:24.961 --> 00:10:33.888]  Now, about nine months ago I first reported this, then about six months ago it was in the major newspapers across the country.
[00:10:33.928 --> 00:10:44.636]  The first big one I saw it in was the Chicago Tribune, and we wrote stories about it up on PrisonPlanet.com and InfoWars.com, but people didn't believe me.
[00:10:44.877 --> 00:10:50.041]  So I just want to remind you once more that a domestic force of spies
[00:10:51.001 --> 00:11:00.027]  A, isn't Barack Obama's idea, but B, he's pushing it, and C, this has been stated for a long time, the government's plan to bring us into a high-tech police state.
[00:11:00.428 --> 00:11:03.029]  So let's go ahead and play a clip of Barack Obama.
[00:11:03.650 --> 00:11:14.177]  This is, again, he's talked about this for years, but here he is last July in Colorado Springs, Colorado, the real seat of the NORTHCOM US government.
[00:11:15.304 --> 00:11:20.006]  That is really running things and here he is calling for these youth brigades.
[00:11:20.046 --> 00:11:20.486]  Here it is.
[00:11:21.407 --> 00:11:28.550]  We cannot continue to rely only on our military in order to achieve the national security objectives that we've set.
[00:11:29.370 --> 00:11:36.413]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well-funded.
[00:11:41.388 --> 00:11:49.113]  Now that's why, and if you read the fine print, it's going to be arrogant, full of themselves, ignorant, 18 to 20 year olds.
[00:11:49.933 --> 00:11:58.698]  The CIA illegally for decades has been operating inside the United States and we've exposed that with governors and police chiefs and others they've tried to buy off.
[00:11:59.499 --> 00:12:02.080]  But Barack Obama is only pushing what the establishment wants.
[00:12:02.140 --> 00:12:06.063]  John McCain, incidentally, and you can pull this clip up as well,
[00:12:07.381 --> 00:12:14.248]  Has called repeatedly for having a domestic surge of US Army on the streets of America to quote fight crime.
[00:12:14.848 --> 00:12:20.574]  We've now seen the Illinois governor about two months ago say we're going to use National Guard for door-to-door gun confiscation.
[00:12:21.335 --> 00:12:24.478]  So this is really happening and both parties are pushing this.
[00:12:25.385 --> 00:12:33.669]  The entire presidential election is a giant distraction, a giant diversion, to sell the public that presidents actually run something, and that they're actually in power.
[00:12:34.390 --> 00:12:38.652]  A long time ago, the continuity of government system took power, not just from Congress, but away from the president.
[00:12:39.392 --> 00:12:46.376]  And the National Security Council, controlled by a select group of private banks, through the military, controls the United States.
[00:12:47.016 --> 00:12:48.837]  And this is all over foreign newspapers.
[00:12:48.877 --> 00:12:52.379]  This is well known, and a lot of white papers even put out by our own government.
[00:12:52.679 --> 00:12:54.200]  But the general public is not aware of that.
[00:12:56.213 --> 00:13:00.197]  Shifting gears into another subject that I'd like to discuss today with everybody.
[00:13:00.837 --> 00:13:15.312]  That's the fact that a month ago, I told you on air, because I read the Banker Takeover Bill, that it would allow a small group of four US banks and about eight to nine different foreign banks, depending on how you read it,
[00:13:16.681 --> 00:13:28.824]  Come in and be given governmental power through the Treasury Department in total anonymity, that's secrecy, and immunity, and that no one could even review or look at what they did henceforth.
[00:13:28.964 --> 00:13:33.845]  And we read that many times on air, and people attacked me saying the small minority that was for it.
[00:13:34.345 --> 00:13:38.766]  National polls showed about 95-98% against the Banker Takeover Bill.
[00:13:39.306 --> 00:13:43.047]  And congressmen that I interviewed on air and also in the press reported about 1,000 to 1 phone calls.
[00:13:44.967 --> 00:13:48.208]  About a thousand to one phone calls against it.
[00:13:48.628 --> 00:13:52.629]  But still, the shadow government did what they wanted and gave this new power to them.
[00:13:53.049 --> 00:14:05.693]  And then not one red cent has been loaned out to the American people, not one red cent has been given to anybody for their mortgages, or to back up any bad mortgages that have been securitized and sold into derivatives, and that's the real issue.
[00:14:06.849 --> 00:14:15.532]  Not one red cent was spent for that, and out of the trillion-plus that's been pumped out, it's not $700 billion, not $840 billion.
[00:14:16.273 --> 00:14:18.073]  Bloomberg got it right, Ron Paul's report on it too.
[00:14:18.113 --> 00:14:22.115]  It's about $5 trillion, if you read the Banker Takeover Bill.
[00:14:23.195 --> 00:14:29.418]  It states that they are just going to give it to their CEOs, their employees, as cash bonuses.
[00:14:30.402 --> 00:14:38.644]  And I have several mainstream news articles up on InfoWars.com and PrisonPlanet.com where they are giving, well, a loan.
[00:14:39.445 --> 00:14:49.027]  In the United States, around $25 billion of the bailout directly to Goldman Sachs alone will go to bonuses.
[00:14:50.588 --> 00:14:52.508]  That money directly will be used as bonuses.
[00:14:52.928 --> 00:14:59.390]  And the banks are in the news saying, we're just keeping the money and we're using it to acquire other banks and insurance companies
[00:14:59.870 --> 00:15:00.230]  Thank you.
[00:15:15.038 --> 00:15:15.238]  U.S.
[00:15:15.278 --> 00:15:17.339]  bonds and different securities.
[00:15:18.179 --> 00:15:19.680]  So, there are the facts.
[00:15:19.740 --> 00:15:22.001]  I mean, here's the Associated Press from a few days ago.
[00:15:22.481 --> 00:15:24.962]  I talked a lot about this on the weekday show.
[00:15:25.503 --> 00:15:29.024]  It says, uses for $700 billion bailout money ever shifting.
[00:15:29.524 --> 00:15:36.707]  First, the $700 billion rescue for the economy was about buying devalued mortgage-backed securities from tottering banks to unclog frozen credit markets.
[00:15:37.047 --> 00:15:40.329]  Then it was about using the $250 billion of it to buy stakes in banks.
[00:15:40.909 --> 00:15:50.478]  That idea was that the banks would use the money to start making loans, but reports surface that banks are instead using the money to buy other banks, pay dividends, and give employees raises and executives bonuses.
[00:15:51.258 --> 00:15:52.419]  And it goes on to say that
[00:15:53.886 --> 00:15:57.748]  See, these are offshore corporations, and they're totally ruthless.
[00:15:58.148 --> 00:16:21.961]  And the New York Times even reported two days ago, actually Thursday, three days ago now, back on October 29th, they actually reported, and they even have recordings of this, the head of Chase and the head of Morgan admitting that, oh, this is great for us, we're just going to have bonuses and take over other institutions.
[00:16:22.622 --> 00:16:24.164]  So there you go folks.
[00:16:24.664 --> 00:16:26.046]  Total criminality.
[00:16:26.407 --> 00:16:28.630]  We'll be right back with your phone calls and a lot more.
[00:16:28.650 --> 00:16:29.231]  Stay with us.
[00:16:30.911 --> 00:16:32.112]  I am so frustrated.
[00:16:32.212 --> 00:16:34.373]  I can't seem to remember anything anymore.
[00:16:34.553 --> 00:16:34.873]  What?
[00:16:35.133 --> 00:16:37.734]  Seriously, my memory and attention span is terrible.
[00:16:37.894 --> 00:16:39.155]  I read something and forget.
[00:16:39.315 --> 00:16:40.476]  I forget people's names.
[00:16:40.576 --> 00:16:44.237]  I hear all this great information on the radio and I want to tell people, but I forget.
[00:16:44.357 --> 00:16:45.998]  I... Okay, slow down.
[00:16:46.118 --> 00:16:48.539]  Poor attention and memory loss is not your fault.
[00:16:48.680 --> 00:16:55.723]  Factors like fluoride in the water, aluminum in deodorants, genetically modified foods, the way the education system taught you.
[00:16:55.823 --> 00:16:57.284]  It's all meant to dumb you down.
[00:16:57.444 --> 00:16:58.984]  You know, I can remember everything now.
[00:16:59.204 --> 00:17:00.105]  Even entire books.
[00:17:00.345 --> 00:17:00.545]  What?
[00:17:00.625 --> 00:17:00.945]  How?
[00:17:01.186 --> 00:17:04.408]  There is this website called School of Phenomenal Memory.
[00:17:04.448 --> 00:17:08.110]  Their online course is a real breakthrough in the field of memory improvement.
[00:17:08.230 --> 00:17:17.496]  In fact, they guarantee that every single person will be able to memorize any type of information, including entire books, after they complete just 60 lessons.
[00:17:17.857 --> 00:17:23.040]  And they offer a no-questions-asked, no-time-limit, money-back guarantee.
[00:17:23.240 --> 00:17:23.560]  Wow.
[00:17:23.760 --> 00:17:24.521]  What's the website?
[00:17:24.781 --> 00:17:28.043]  Now don't forget, it's Pmemory.net.
[00:17:28.243 --> 00:17:30.325]  The letter P, memory dot net.
[00:17:32.166 --> 00:17:34.128]  Are you wondering about your retirement portfolio?
[00:17:34.528 --> 00:17:40.492]  Are you confident that the financial advisor is experienced enough to combat climbing interest rates, taxes, and inflation?
[00:17:40.772 --> 00:17:44.675]  Stop guessing and go to the expert, Robert Chapman of the International Forecaster.
[00:17:44.895 --> 00:17:51.740]  When you subscribe to the International Forecaster, you get Robert Chapman's 45 years of experience and concise investment recommendations.
[00:17:52.060 --> 00:17:57.607]  Who needs sugar-coated excuses when you can get the cold hard facts and proven investment leads you can't get anywhere else?
[00:17:57.968 --> 00:18:05.337]  For a free introductory copy to Robert Chapman's International Forecaster, subscribe now at TheInternationalForecaster.com or call 877-479-8178.
[00:18:08.861 --> 00:18:09.982]  Experience the difference.
[00:18:10.322 --> 00:18:15.244]  When you subscribe, you can email Robert Chapman directly to obtain investment advice tailored just for you.
[00:18:15.564 --> 00:18:16.524]  Don't wait another minute.
[00:18:16.805 --> 00:18:20.346]  Subscribe today at TheInternationalForecaster.com or call 877-479-8178.
[00:18:20.366 --> 00:18:20.666]  That's 877-479-8178.
[00:18:31.095 --> 00:18:35.220]  Are you one of the people who think, I have plenty of time, nothing's ever going to happen bad to me?
[00:18:35.340 --> 00:18:40.647]  Do you believe that when your cupboards are bare, our corporate controlled government will jump right in to feed you and yours?
[00:18:40.767 --> 00:18:43.530]  Do you have at least a year's supply of food for your family?
[00:18:43.690 --> 00:18:46.353]  This is Kurt, the armchair survivalist, heard on this network.
[00:18:46.474 --> 00:18:48.256]  Survival Enterprises sells real food.
[00:18:51.527 --> 00:18:59.372]  These eggs, freeze-dried fruits and vegetables, Mountain House freeze-dried meals, MREs, a full nutritional line, the British Birkfeld water filter, and more.
[00:18:59.492 --> 00:19:02.434]  If you want to prepare now, go to BeforeIt'sTooLate.us.
[00:19:02.494 --> 00:19:04.495]  That's BeforeIt'sTooLate.us.
[00:19:04.695 --> 00:19:05.636]  Or call 1-800-753-1981.
[00:19:06.956 --> 00:19:10.118]  That's 1-800-753-1981.
[00:19:10.238 --> 00:19:14.421]  Or you can put your head in the sand and be just another sheeple in the corporate-controlled flock.
[00:19:14.501 --> 00:19:17.883]  But remember, those who don't learn from history are bound to repeat it.
[00:19:30.017 --> 00:19:30.317]  Fact.
[00:19:30.498 --> 00:19:36.400]  Rapid industrialization has resulted in environmental pollution and its curse on world health is staggering.
[00:19:36.520 --> 00:19:40.762]  We live in a toxic world that is bombarded by seven new chemicals each day.
[00:19:40.862 --> 00:19:48.225]  The human body is amazing and efficient in design, but because of the polluted world in which we live, is unable to remove all toxins.
[00:19:48.285 --> 00:19:48.345]  Yes.
[00:19:48.505 --> 00:19:49.146]  The solution.
[00:19:49.266 --> 00:19:53.308]  Detoxification integrated with the LectroChi Premier Energy Foot Spa.
[00:19:53.488 --> 00:20:02.453]  The LectroChi Premier Energy Foot Spa helps to aid in cleansing the body of harmful toxins while energizing and oxygenating your entire body at the cellular level.
[00:20:02.573 --> 00:20:10.538]  Detoxification works with the LectroChi Premier Energy Foot Spa because it addresses the needs of individual cells, the building blocks of human life.
[00:20:10.718 --> 00:20:15.241]  For mental clarity, restored vitality, a stronger immune system, clear skin,
[00:20:15.481 --> 00:20:16.302]  Thank you for listening to GCN.
[00:20:16.342 --> 00:20:17.182]  Visit GCNlive.com today.
[00:20:47.407 --> 00:20:56.216]  Welcome back we are live 48 hours out from the 2008 presidential election the globalists have given us two puppets
[00:20:56.989 --> 00:21:07.318]  I'll go to your calls here in a moment, but going back to the Banker Takeover Empowerment Bill of a month ago, remember they said if Congress didn't pass it, there would be a depression.
[00:21:07.718 --> 00:21:16.566]  They had to have that money that week to shore up these companies, and then not one red cent a month later has gone to any of those companies.
[00:21:16.626 --> 00:21:17.667]  It's going into bonuses.
[00:21:18.347 --> 00:21:22.171]  I mentioned the tens of billions of dollars for Goldman Sachs here in the U.S.
[00:21:22.712 --> 00:21:40.790]  In England, it's $14 billion, or 7.5 million pounds to begin with, for bonuses, and they're bragging and laughing, and then Congress was given some of the details of who's being paid what last week, and they were all blacked out, and the public was told, well, that was in the bill, total secrecy.
[00:21:42.572 --> 00:21:54.954]  See, corruption on its face, and when they passed the Banker Bailout Bill a month ago, I had members of Congress on the show, not just on C-SPAN, we saw them on C-SPAN saying, we were threatened with martial law.
[00:21:56.600 --> 00:21:59.322]  If we don't pass this on that Friday.
[00:21:59.543 --> 00:22:07.409]  Again, ladies and gentlemen, throughout history, powerful interests seek to get control of governments to then loot the public treasury.
[00:22:07.469 --> 00:22:09.591]  That's happening now.
[00:22:10.412 --> 00:22:13.654]  Barack Obama and John McCain supported the Banker Takeover Bill.
[00:22:13.735 --> 00:22:17.678]  Barack Obama has gotten three times the Wall Street money that John McCain got.
[00:22:18.326 --> 00:22:24.448]  And four times the Goldman Sachs money, so I'm not even saying go out and vote for either one of these guys or vote for John McCain.
[00:22:24.488 --> 00:22:25.889]  I'm just stating the facts here.
[00:22:26.389 --> 00:22:29.370]  John McCain isn't running TV ads where he's already in the Oval Office.
[00:22:30.070 --> 00:22:33.312]  John McCain isn't running ads about how he's our global savior.
[00:22:34.272 --> 00:22:39.774]  It's very, very frightening, the whole messianic, cult-like thing we're seeing with Barack Obama.
[00:22:40.834 --> 00:22:45.115]  And I really feel sorry for all the leftists and people, just like I felt sorry for Republicans.
[00:22:45.155 --> 00:22:47.136]  I said, look, George Bush isn't going to be your savior.
[00:22:47.796 --> 00:22:53.658]  He isn't going to, you know, not have wars or take your liberties or restore the Second Amendment like he promised to do.
[00:22:53.718 --> 00:22:54.358]  It's going to get bad.
[00:22:54.378 --> 00:22:54.758]  And it did!
[00:22:55.398 --> 00:23:00.420]  And it's going to get even worse under Barack Obama if he is indeed our new Fuhrer.
[00:23:01.560 --> 00:23:05.121]  So that's just some of the issues I wanted to go over today.
[00:23:05.582 --> 00:23:10.303]  Also, every few days I see reports in Europe, in Canada, in the United States
[00:23:11.121 --> 00:23:19.746]  Of a woman being mugged in the street, or raped in the street, or a child being beaten to death, or a cop hit by a car bleeding to death on the road.
[00:23:19.786 --> 00:23:21.326]  That even happened in Austin a few years ago.
[00:23:21.747 --> 00:23:22.947]  And no one stops to help him.
[00:23:23.287 --> 00:23:27.450]  Hundreds of passers-by drive by, and at most they call 911.
[00:23:29.866 --> 00:23:30.366]  You know, they call 911.
[00:23:30.966 --> 00:23:33.908]  And Americans never behave like that.
[00:23:33.948 --> 00:23:36.349]  People of the West, people worldwide never behave like that.
[00:23:36.690 --> 00:23:37.690]  How did we change?
[00:23:37.710 --> 00:23:42.913]  We became a nation of spectators, trained that the government's going to handle it, the government's going to do it.
[00:23:43.754 --> 00:23:54.220]  And so we'll be going over that a little bit later in the show with a case in California of a man for, the press reports say, about 30 minutes beating a toddler to death in the street.
[00:23:55.126 --> 00:23:57.268]  And everybody called the police, but none of them stopped.
[00:23:57.308 --> 00:24:02.172]  I mean, if I see somebody stomping a baby in the street, I'm going to pull over and I'm going to attack them.
[00:24:02.533 --> 00:24:03.593]  And it's not because I'm a tough guy.
[00:24:04.254 --> 00:24:05.795]  It's because I've got my instincts straight.
[00:24:06.076 --> 00:24:07.997]  And by the way, I'm not just saying that.
[00:24:09.919 --> 00:24:10.559]  I've told the story.
[00:24:10.579 --> 00:24:18.446]  You know, I said I'd get into it later, and I will get more detail and open the phones up about this whole psychology.
[00:24:19.387 --> 00:24:20.548]  And I've got a lot of thoughts on it.
[00:24:21.263 --> 00:24:32.859]  But I was in the La Madeline in northern Austin about five and a half years ago and we were getting ready to leave and I went up to go to the bathroom and I heard a bunch of yelling and stuff and I came back out and it was this crowd of people.
[00:24:32.879 --> 00:24:35.022]  It was full, like 7 o'clock at night, you know, on a weeknight.
[00:24:35.766 --> 00:24:42.152]  The little restaurant, and this woman was choking, turning purple, falling on the table, and everyone was screaming, call 9-1-1.
[00:24:42.232 --> 00:24:46.956]  And I said, do the Heimlich, and they would scream at me angrily, no, 9-1-1!
[00:24:46.976 --> 00:24:48.497]  Like, how dare you, slave!
[00:24:48.777 --> 00:24:50.099]  We're meant to stand here and do nothing!
[00:24:50.119 --> 00:24:52.701]  You know, they're so conditioned to be pathetic, chicken-neck slaves.
[00:24:53.340 --> 00:24:54.681]  And there were probably about 20 people around.
[00:24:54.701 --> 00:24:55.802]  I had to start pushing through them.
[00:24:55.822 --> 00:24:57.302]  I had some of them physically trying to stop me.
[00:24:57.743 --> 00:24:58.803]  And I said, do the Heimlich.
[00:24:58.823 --> 00:24:59.384]  They wouldn't do it.
[00:24:59.404 --> 00:25:00.925]  They kept saying, 9-1-1, 9-1-1.
[00:25:01.105 --> 00:25:01.905]  And they couldn't even call 9-1-1.
[00:25:01.965 --> 00:25:02.946]  They're like chickens.
[00:25:03.366 --> 00:25:05.287]  You know, just, just, just, just balking.
[00:25:05.747 --> 00:25:07.829]  Or sheepling.
[00:25:08.209 --> 00:25:09.770]  And I had to physically get past them.
[00:25:10.070 --> 00:25:18.615]  And as I'm grabbing her to do the Heimlich, you know, which I, they offered it as a free course for the fire department when I was in the swim team back in Dallas in junior high.
[00:25:18.635 --> 00:25:20.176]  So I, you know, have a basic course on it.
[00:25:21.257 --> 00:25:21.717]  And, uh,
[00:25:23.635 --> 00:25:34.102]  The point is, is that I grab her, and I do the Heimlich, and a big piece of bread comes out, and then they were all kind of looking at me weird, and some of them thanking me, and some of them looking at me strange, and I thought, before I get arrested, I'm just getting out of here.
[00:25:34.362 --> 00:25:37.704]  Because that's a crime to be involved, to have that to take action in America.
[00:25:38.164 --> 00:25:40.726]  And so, only men in black uniforms with submachine guns can do it.
[00:25:40.746 --> 00:25:41.546]  We've been trained to be slaves.
[00:25:41.787 --> 00:25:42.707]  So I got out of there quickly.
[00:25:43.628 --> 00:25:45.489]  But that is what's wrong with this country.
[00:25:46.563 --> 00:25:50.626]  And, you know, people are more concerned with UT losing to Texas Tech.
[00:25:51.086 --> 00:25:54.648]  And they're crying and whining and literally sobbing over it.
[00:25:54.708 --> 00:25:57.850]  Meanwhile, foreign banks have completely taken over the government.
[00:25:58.470 --> 00:26:01.052]  Northcom has already taken control of the government.
[00:26:01.712 --> 00:26:04.334]  And we're under total police state being looted.
[00:26:04.354 --> 00:26:05.234]  And they don't care.
