[00:00:00.009 --> 00:00:01.190]  File sharing networks.
[00:09:11.347 --> 00:09:13.548]  Or I guess the French symbol of liberty.
[00:09:15.129 --> 00:09:16.970]  And I got a coffee cup similar to it.
[00:09:16.990 --> 00:09:19.031]  I don't know why I'm telling that story now here on air.
[00:09:21.912 --> 00:09:33.677]  By the way, if you are a PrisonPlanet.tv member, you just mosey over to PrisonPlanet.tv right now, and you can see the videos that we're playing on the radio, visually see them, you can hear the show.
[00:09:34.793 --> 00:09:40.696]  And you can see all the documents and articles that we're talking about here just by logging in there at PrisonPlanet.tv.
[00:09:41.137 --> 00:09:45.739]  You see banners all over the place at PrisonPlanet.tv for the live television show.
[00:09:46.320 --> 00:09:54.544]  I want to go to Pat, Joshua, David, Debbie, James, and others, but I need to roll through some more of the news here.
[00:09:54.864 --> 00:10:02.729]  Finishing up with transponders, satellite boxes in your car.
[00:10:04.429 --> 00:10:13.191]  I remember 12 years ago a truck driver sending me big truck driving magazines where they were telling them this will be the future and everybody's going to pay.
[00:10:14.031 --> 00:10:15.891]  Then I remember reading about governments doing it.
[00:10:15.911 --> 00:10:20.693]  I remember seeing Toyota and others saying they were preparing to make the public basically do this.
[00:10:21.633 --> 00:10:26.274]  And then I would go on air and tell people and get the standard stuff, you liar, they'll never do that!
[00:10:26.914 --> 00:10:30.015]  And then now they're doing it and I mean we need to say no.
[00:10:30.035 --> 00:10:32.075]  I mean this is just amazing.
[00:10:33.982 --> 00:10:36.245]  But the bigger issue is they keep claiming they need money.
[00:10:36.365 --> 00:10:44.254]  Folks, governments are erecting hundreds and hundreds and hundreds of new taxes and squeezing the public.
[00:10:46.437 --> 00:10:50.461]  And the majority of the money that the government squeezes out of us goes to offshore banks.
[00:10:51.421 --> 00:10:59.969]  And as if that wasn't enough, they now publicly have made the Treasury Department above, through the Federal Reserve that's private, above Congress.
[00:11:00.869 --> 00:11:05.553]  And Bloomberg Financial Reports were under War Powers Act, martial law.
[00:11:06.194 --> 00:11:10.738]  And I have congressmen on to tell you martial law has basically been put in over Congress.
[00:11:11.078 --> 00:11:12.980]  Congress is above the courts in the president.
[00:11:14.070 --> 00:11:17.931]  You know, first they taught people 50 years ago that it was co-equal branches.
[00:11:18.791 --> 00:11:19.211]  It's not.
[00:11:19.492 --> 00:11:20.532]  I've read the Federalist Papers.
[00:11:21.072 --> 00:11:22.472]  I've read the Anti-Federalist Papers.
[00:11:22.953 --> 00:11:30.475]  One of the few things they were unanimous about was a Second Amendment, a First Amendment, and that the legislature is preeminent.
[00:11:32.535 --> 00:11:36.437]  But now they say, no, the executive is above the legislative.
[00:11:37.657 --> 00:11:41.398]  And the executive openly says that it commands the legislative.
[00:11:47.008 --> 00:11:51.812]  Look at Korea, look at Vietnam, where the President just goes off to war and there's no declaration.
[00:11:52.212 --> 00:12:00.559]  Congress has to declare war, name the enemy, and then they raise the money, and then they command the Commander-in-Chief.
[00:12:03.442 --> 00:12:05.444]  Now they tell us, no, no, the President's above them.
[00:12:06.304 --> 00:12:07.205]  Totally made up.
[00:12:08.166 --> 00:12:09.087]  Total fraud.
[00:12:09.767 --> 00:12:13.691]  Again, I go back to the 17th Amendment, same year we got the income tax from the private Federal Reserve to go over to 1913.
[00:12:14.671 --> 00:12:15.232]  What did they say?
[00:12:16.451 --> 00:12:17.031]  What did they do?
[00:12:19.753 --> 00:12:28.917]  Before, you would elect your state reps, and then they would vote, and they would elect the U.S.
[00:12:28.957 --> 00:12:29.377]  Senator.
[00:12:29.397 --> 00:12:32.038]  So the state controlled the Congress through the Senate.
[00:12:33.719 --> 00:12:34.419]  Local control.
[00:12:35.800 --> 00:12:36.940]  What does dictator mean?
[00:12:36.980 --> 00:12:38.901]  It means the central government dictates.
[00:12:39.501 --> 00:12:40.222]  It tells you.
[00:12:41.334 --> 00:12:42.014]  Oh, you don't want a war?
[00:12:42.034 --> 00:12:42.694]  It's still going to happen.
[00:12:42.714 --> 00:12:43.455]  Oh, you don't want open borders?
[00:12:43.475 --> 00:12:44.135]  It's still going to happen.
[00:12:44.815 --> 00:12:45.996]  Oh, you don't want a carbon tax?
[00:12:46.036 --> 00:12:46.756]  It's still going to happen.
[00:12:47.516 --> 00:12:49.937]  This is a dictatorship of the corrupt elite.
[00:12:52.018 --> 00:12:53.718]  And the President is just a front man in all this.
[00:12:53.778 --> 00:13:01.881]  Now, meanwhile, with all these serious issues going on, I got black guys calling up the show in the first hour telling me I'm a white devil again today.
[00:13:03.086 --> 00:13:12.668]  And this one brand of black Israeli-ism, Israelite, where it says the whites are all the devil and the Jews particularly are just absolute Satan seed.
[00:13:13.088 --> 00:13:15.049]  And I'm like, look man, I'm not getting involved in this.
[00:13:15.089 --> 00:13:18.549]  I don't think blacks are the devil, I don't think whites are the devil, I don't think Chinese are the devil.
[00:13:18.869 --> 00:13:19.870]  We're all just human beings.
[00:13:21.370 --> 00:13:30.012]  But meanwhile, can you blame all this racism when people like Limbaugh, this fake conservative, drug addict, oxy-cotton head involved in all this stuff,
[00:13:31.036 --> 00:13:34.339]  Always flying out to third world countries with big bags of Viagra, whatever.
[00:13:34.359 --> 00:13:35.159]  The point is he's a hypocrite.
[00:13:35.640 --> 00:13:42.445]  He says if somebody's caught with cocaine, the type that blacks tend to use, give them 25 years in prison first time.
[00:13:43.145 --> 00:13:46.768]  But if he's caught with synthetic heroin, nothing happens to him.
[00:13:49.488 --> 00:13:55.072]  And I don't like bashing Limbaugh, even though he's bashed me quite a few times, because it almost gets on his level.
[00:13:56.193 --> 00:13:58.595]  He's part of the false left-right paradigm.
[00:13:59.236 --> 00:14:00.657]  That's why the media always gives him attention.
[00:14:02.198 --> 00:14:15.368]  He's the guy that fooled Republicans to come out for Hillary so that McCain would lose, saying they were going to beat Obama and it was some secret plan and all the rest of it.
[00:14:16.169 --> 00:14:17.130]  That was really a setup.
[00:14:18.030 --> 00:14:18.671]  And Limbaugh,
[00:14:20.248 --> 00:14:24.950]  On record says the Council on Foreign Relations doesn't exist, and now he admits it exists, but says it's just a think tank.
[00:14:25.290 --> 00:14:36.555]  He says there's no new world order when hundreds of newspapers are announcing world government of, for, and by the private banks, openly admitting the private central banks are engaged in all these activities.
[00:14:37.816 --> 00:14:40.457]  They engineered the crisis, now you're going to pay your carbon taxes to them.
[00:14:40.897 --> 00:14:43.719]  Limbaugh won't tell you that, but what he will do
[00:14:44.910 --> 00:14:49.231]  is play things that, I mean, really are incendiary racially.
[00:14:49.251 --> 00:14:53.112]  Now, I believe in the First Amendment, and he's got a right to play stuff like this.
[00:14:54.893 --> 00:14:57.994]  But some people think the First Amendment is not having a right to criticize it.
[00:14:58.494 --> 00:15:02.995]  I have a right to criticize it, and it isn't that I'm walking on eggshells and can't handle stuff.
[00:15:03.095 --> 00:15:09.357]  It's that it's pointless, and it actually helps Barack Obama, calling him the magical negro.
[00:15:14.383 --> 00:15:27.307]  Will cause more racial tension, will cause bigger racial divides, and will empower white guilty yuppies to support Obama no matter what he does, because they're not going to be seen as being in a racist camp.
[00:15:27.647 --> 00:15:39.051]  By making it racial, it diverts us off of his policies that are bad, gun control, open borders, carbon taxes, more wars, and then makes it left-right.
[00:15:40.177 --> 00:15:41.677]  Makes it, you know, black-white.
[00:15:41.757 --> 00:15:43.638]  Makes it... Balkanizes it.
[00:15:43.698 --> 00:15:47.459]  So here is the... It's not even a racist song.
[00:15:47.559 --> 00:15:50.119]  It's a manipulative brainwashing song.
[00:15:52.980 --> 00:16:00.022]  It's a manipulative brainwashing song to make people who don't like Obama look bad.
[00:16:00.902 --> 00:16:02.842]  It's not a legitimate attack on Obama.
[00:16:04.483 --> 00:16:04.943]  You understand?
[00:16:04.963 --> 00:16:06.003]  Go ahead and roll it.
[00:16:16.641 --> 00:16:17.682]  We're good to go.
[00:16:48.740 --> 00:16:50.342]  We're good.
[00:17:07.786 --> 00:17:08.126]  L.A.
[00:17:08.186 --> 00:17:13.247]  Times, they called him that, cause he's black but not authentically.
[00:17:14.008 --> 00:17:19.649]  Some say Barack's articulate, and bright, and new, and clean.
[00:17:20.509 --> 00:17:27.291]  The media sure love this guy, oh I interlope his dream.
[00:17:27.391 --> 00:17:32.872]  But when you vote for president, watch out and don't be fooled.
[00:17:36.500 --> 00:17:51.787]  Alright, I can't listen to any more of it.
[00:17:52.567 --> 00:17:53.948]  Okay, now, look, I mean, it's stupid.
[00:17:54.388 --> 00:17:59.370]  Again, it makes everything about the fact that he's black, not that we don't want his policies.
[00:18:00.720 --> 00:18:01.221]  It's petty.
[00:18:01.321 --> 00:18:02.804]  It's skin deep.
[00:18:03.264 --> 00:18:11.678]  And this was first being distributed by Republican National Committee Chairman Mike Duncan, who's been distributing this and limbos playing and saying it's real funny.
[00:18:13.163 --> 00:18:15.324]  Again, this is part of tearing America apart.
[00:18:15.664 --> 00:18:17.985]  Play a little bit of Limbaugh saying he doesn't care.
[00:18:18.005 --> 00:18:21.807]  He doesn't, you know, care.
[00:18:22.687 --> 00:18:24.008]  Again, this is about a stunt.
[00:18:24.668 --> 00:18:30.270]  This is about Limbaugh when he doesn't get the attention he needs coming out and saying black quarterbacks are no good or whatever.
[00:18:30.650 --> 00:18:33.572]  I mean, again, it's all a big fat diversion.
[00:18:33.592 --> 00:18:33.912]  Here it is.
[00:18:35.460 --> 00:18:41.284]  Every one of you out there that think you've got something here on Barack the Magic Negro, I'm going to try to help you and save you.
[00:18:41.804 --> 00:18:47.388]  Saltzman defends the CD, telling CNN, I think most people recognize political satire when they see it.
[00:18:47.828 --> 00:18:49.889]  I think RNC members understand that.
[00:18:50.129 --> 00:18:54.652]  But current RNC chairman Mike Duncan says he's appalled in a statement to CNN.
[00:18:55.233 --> 00:19:00.536]  The 2008 election was a wake-up call for Republicans to reach out and bring more people into our party.
[00:19:00.996 --> 00:19:04.858]  There's a crowd of conservatives that takes a special pride in being anti-PC.
[00:19:05.158 --> 00:19:09.680]  What I don't think they fully appreciate is it comes across somewhere between being indifferent to hostile.
[00:19:10.181 --> 00:19:11.461]  Alright, let's stop right there.
[00:19:12.502 --> 00:19:29.370]  Again, and then the mainline social engineer liberals can grandstand like they've got the moral high ground and push through their agenda on global warming, which is admittedly targeted to shut down Africa, Latin America and Asia's industrialized development and will actually kill tens of millions of people that are dying every year of starvation.
[00:19:30.868 --> 00:19:42.253]  So again, it's more just petty, mindless diversions and distractions, and more of a way for the establishment to put Limbaugh out there like he's a renegade, like he's cutting edge.
[00:19:43.494 --> 00:19:53.518]  When the guy is a hypocrite, when the guy is not a real conservative, and when the guy is a tragedy.
[00:19:55.239 --> 00:19:55.899]  He's a tragedy.
[00:19:56.039 --> 00:19:57.260]  I feel sorry for Rush Limbaugh.
[00:19:59.312 --> 00:20:05.514]  Because he's a smart guy, and he knows that he's just there to deceive and to neutralize conservatives.
[00:20:07.514 --> 00:20:11.796]  To give them a false brand of conservatism, to make sure they're defeated, to make sure the new world order comes in.
[00:20:15.377 --> 00:20:20.858]  On September 11th, 2001, along with hundreds of my fellow troops, I went to ground zero.
[00:20:21.098 --> 00:20:22.419]  And we knew what to do.
[00:20:22.439 --> 00:20:24.199]  Or at least we thought we did.
[00:20:24.439 --> 00:20:26.100]  Truth Rising is a breakthrough 9-11 film.
[00:20:27.247 --> 00:20:30.853]  That finally gives first responders a platform to tell their story.
[00:20:31.474 --> 00:20:39.989]  Whitman, EPA director on the 18th made a statement that the air was safe to breathe.
[00:20:40.356 --> 00:20:47.158]  This film follows the growing momentum of 9-11 truth as brave souls throughout the world take action against their global masters.
[00:20:47.458 --> 00:20:50.519]  He had his hand over the radio while he was getting a countdown.
[00:20:50.619 --> 00:20:55.840]  He takes his hand off and you hear 3, 2, 1 and it was boom, boom, boom, boom, boom!
[00:20:56.380 --> 00:20:59.021]  This is an emergency transmission worldwide.
[00:20:59.481 --> 00:21:06.203]  Download Truth Rising at PrisonPlanet.tv and aggressively spread it worldwide or order the DVD
[00:21:08.865 --> 00:21:09.185]  We're good.
[00:21:15.458 --> 00:21:17.419]  Hi, John Huebner from Midas Resources.
[00:21:17.699 --> 00:21:20.319]  Are you tired of watching your hard-earned assets dwindle away?
[00:21:20.619 --> 00:21:28.941]  As government spending is out of hand and the Federal Reserve is creating in excess of $20 billion a week, are you tired of stockbrokers gambling away your hard-earned money?
[00:21:29.241 --> 00:21:32.062]  Is this market a setup for a crash greater than 1987?
[00:21:32.902 --> 00:21:36.103]  Too many of today's policies resemble those that led to the collapse of 1929.
[00:21:37.424 --> 00:21:39.024]  How much are you willing to lose?
[00:21:39.424 --> 00:21:40.345]  Take action now!
[00:21:40.465 --> 00:21:44.109]  Call me at 1-800-686-2237, extension 129.
[00:21:45.290 --> 00:21:49.054]  I believe that we are facing a financial catastrophe of biblical proportion.
[00:21:49.274 --> 00:21:52.477]  Over recent decades, numerous economic systems have failed.
[00:21:52.597 --> 00:21:59.024]  Current Federal Reserve policy and uncontrolled government spending have set the stage for the United States to be the next target.
[00:21:59.324 --> 00:22:01.567]  Secure your assets today by calling 1-800-686-2237 extension 129.
[00:22:01.687 --> 00:22:02.869]  Do this while paper can still buy gold.
[00:22:02.909 --> 00:22:04.311]  Call me, John Huebner, at 1-800-686-2237 extension 129.
[00:22:14.617 --> 00:22:19.641]  HempUSA.org is now offering free shipping worldwide to better serve our customers.
[00:22:19.942 --> 00:22:26.167]  Our goal is to get these fine hemp products to you in the least amount of time so you can enjoy what the powder seeds and oil can do for you.
[00:22:26.387 --> 00:22:28.869]  HempUSA.org has a warning that the U.S.
[00:22:28.909 --> 00:22:34.054]  food supplies are dangerously low and we urge you to protect your family with hemp storable foods today.
[00:22:34.234 --> 00:22:35.495]  Tomorrow may be too late.
[00:22:35.655 --> 00:22:36.376]  Call 908-691-2608 or visit HempUSA.org.
[00:22:40.179 --> 00:22:52.822]  This incredible food source is loaded with enzymes so your body can digest the food you eat, and it creates an alkaline environment where cancer can't grow and parasites cannot live, and brings funguses, viruses, and bacterial levels down and to a halt.
[00:22:53.002 --> 00:22:54.662]  Try our powder seeds and oil today.
[00:22:54.842 --> 00:22:58.983]  Call 908-691-2608 or visit hempusa.org.
[00:22:59.183 --> 00:23:01.844]  If the body has the proper nutrition it will heal itself.
[00:23:02.164 --> 00:23:02.704]  Ask yourself,
[00:23:03.024 --> 00:23:05.987]  Why does our government not allow this crop to grow in the US?
[00:23:06.247 --> 00:23:08.589]  This product is also great for pets and animals.
[00:23:08.769 --> 00:23:09.991]  Call 908-691-2608 or go to hempusa.org today!
[00:23:14.494 --> 00:23:17.496]  Every 22 seconds a violent crime is committed.
[00:23:17.736 --> 00:23:19.757]  Are you concerned about your personal safety?
[00:23:20.077 --> 00:23:23.399]  Why wait for something bad to happen when you can take action now?
[00:23:23.699 --> 00:23:24.360]  Be smart.
[00:23:24.640 --> 00:23:25.340]  Be safe.
[00:23:25.600 --> 00:23:27.582]  Trust Pepper Spray instead of your luck.
[00:23:27.802 --> 00:23:33.365]  Pepperspray.com is the only website you'll ever need for all your non-lethal self-defense supplies.
[00:23:33.605 --> 00:23:37.027]  Pepperspray.com carries one of the largest assortments of pepper spray.
[00:23:37.307 --> 00:23:43.333]  And personal safety products on the web, including mace, animal repellents, stun guns, and tasers.
[00:23:43.533 --> 00:23:49.479]  Pepperspray.com also carries a large assortment of products for personal, home, child, and pet safety.
[00:23:49.699 --> 00:23:53.983]  Pepperspray.com is proud to feature Saber brand pink ribbon pepper spray.
[00:23:54.143 --> 00:23:59.729]  For every Saber pink ribbon pepper spray sold, a donation will be made to the National Breast Cancer Foundation.
[00:23:59.989 --> 00:24:04.172]  Enter the word Pepper in the coupon box and you'll receive 10% off your order.
[00:24:04.393 --> 00:24:05.514]  So what are you waiting for?
[00:24:05.714 --> 00:24:07.115]  Go to Pepperspray.com.
[00:24:07.275 --> 00:24:09.497]  That's Pepperspray.com or call 1-800-908-9988.
[00:24:09.577 --> 00:24:09.957]  Call today!
[00:24:22.239 --> 00:24:26.702]  Alright folks, your calls are coming up in the next segment, but I want to continue with the news blitz here.
[00:24:27.182 --> 00:24:28.803]  Let's look at InfoWars.com.
[00:24:28.843 --> 00:24:33.646]  I covered a lot of the news from earlier today, but more has been posted up on InfoWars.com.
[00:24:33.666 --> 00:24:34.186]  Look right here.
[00:24:34.206 --> 00:24:37.888]  Let me hit refresh on the page.
[00:24:38.288 --> 00:24:42.131]  You know, earlier I was talking about transponders in
[00:24:44.395 --> 00:24:48.358]  All of the cars and satellite trackers to tax you by the mile.
[00:24:49.039 --> 00:24:56.364]  Well we've got more stories up here about they want automatic satellite speed controls that automatically ticket us and track everywhere we go.
[00:24:56.864 --> 00:25:03.709]  More than a decade ago they put black boxes on all the new cars that are monitoring where you go and what you do in case something happens they can then go use that against you.
[00:25:04.090 --> 00:25:08.153]  Nobody tells you that this surveillance is being built into the society.
[00:25:09.318 --> 00:25:10.859]  Again, there's no presumption of innocence.
[00:25:11.240 --> 00:25:13.001]  Everything is guilty until proven innocent.
[00:25:13.862 --> 00:25:19.806]  But cut back to this because I want to show folks over here what's going on on the screen.
[00:25:19.826 --> 00:25:22.528]  73,000 retailers to close in the first half of 2009.
[00:25:22.568 --> 00:25:24.230]  Here is that headline for folks.
[00:25:24.250 --> 00:25:27.052]  73,000 retailers to close in the first half of 2009.
[00:25:40.100 --> 00:25:42.482]  And then, again, we can just go right to these articles.
[00:25:42.862 --> 00:25:46.705]  Almost 1 in 10 Floridians are now on food stamps.
[00:25:47.546 --> 00:25:49.687]  I mean, this is the total breakdown of society.
[00:25:50.928 --> 00:25:53.470]  But just what government wants is what the social engineers want.
[00:25:55.011 --> 00:26:00.555]  And then we've got all the images of the carnage that is going on.
[00:26:01.701 --> 00:26:02.782]  Over in Gaza.
[00:26:03.303 --> 00:26:06.265]  In-game blueprint for global enslavement is going to be screened in Dublin.
[00:26:06.826 --> 00:26:07.606]  That's always interesting.
[00:26:07.947 --> 00:26:11.250]  Madoff attorneys explore insanity defense.
[00:26:12.431 --> 00:26:12.851]  Ah, yes.
[00:26:14.552 --> 00:26:18.116]  You know what happened with this Madoff character.
[00:26:18.516 --> 00:26:21.779]  Madoff, Madoff, who made off with the money.
[00:26:23.874 --> 00:26:27.677]  Now they're saying over a hundred billion dollars he stole from institutions, governments, big banks.
