[00:00:00.029 --> 00:00:01.095]  It's a political talk.
[00:03:57.850 --> 00:04:05.235]  But now, if he's coming out for 9-11 Truth, I also saw that there was a press conference
[00:04:05.748 --> 00:04:20.281]  It was either today or yesterday at the National Press Club in Washington, where Ron Paul, Cynthia McKinney, Ralph Nader, and one or two other people were coming out for a full-scale investigation of the Federal Reserve.
[00:04:20.961 --> 00:04:31.250]  So here again, Ralph Nader, I know people who worked with him, has been very reluctant to take on the real big ones, and the Federal Reserve is a big one.
[00:04:31.391 --> 00:04:32.311]  Clearly 9-11 is a big one.
[00:04:33.601 --> 00:05:02.616]  So I think this really points to some very important progress being made in our country, and in addition, there is an interview published today on Global Research, where a good friend of mine, Mike Whitney, who's a writer out of Washington State, has an interview there with Dr. Michael Hudson, who's talking about a new political party that will kind of consolidate all of the fragmented third parties in this country and try to put together
[00:05:03.374 --> 00:05:08.216]  A real movement to begin to address the real issues and taking our country back.
[00:05:08.396 --> 00:05:10.436]  Yeah, you notice that Bob Barr... It's gotta happen.
[00:05:10.456 --> 00:05:11.737]  Exactly, that was this morning.
[00:05:12.137 --> 00:05:14.197]  You notice Bob Barr snubbed that meeting.
[00:05:14.217 --> 00:05:18.799]  And I have to say, we've had him on the show before, but I don't really trust Bob Barr.
[00:05:19.679 --> 00:05:27.202]  Well, I think the Libertarians, to my mind, are playing a little bit of a role like Ross Perot played back in 92.
[00:05:27.522 --> 00:05:31.623]  Kind of a teaser, you know, to pull away attention from what's going on.
[00:05:32.296 --> 00:05:40.580]  I know I had a lot of respect for Perot, and I hoped that he would have followed through and done what he had set out to do, but he didn't.
[00:05:40.600 --> 00:05:42.101]  The same thing happened with Barr.
[00:05:42.321 --> 00:05:44.862]  Yeah, well they did threaten to kill his family, so that's why he backed off.
[00:05:46.669 --> 00:05:53.394]  Well, I think right now enough people are starting to come together that maybe we will see a real political movement coming out of all of this.
[00:06:16.667 --> 00:06:20.249]  Well, there's no doubt that Congress has a 9% approval rating.
[00:06:20.689 --> 00:06:24.991]  The system can't shell its lies anymore, and it is that crisis of confidence.
[00:06:25.011 --> 00:06:30.173]  I mean, they can have their spooks on radio, TV, and the web say, 9-11 truth's dead.
[00:06:31.093 --> 00:06:32.834]  That's like saying iPods are dead.
[00:06:33.314 --> 00:06:35.254]  You know, when they're at their absolute hottest.
[00:06:35.654 --> 00:06:39.975]  That's like saying electricity is dead when there's more electricity being generated than ever.
[00:06:40.035 --> 00:06:42.056]  It's like saying the sun is dead.
[00:06:42.936 --> 00:06:44.836]  I mean, but it works on some people.
[00:06:44.916 --> 00:06:46.517]  Oh, I guess our movement's over.
[00:06:47.637 --> 00:06:53.078]  It is only getting bigger and skepticism is only increasing exponentially.
[00:06:53.498 --> 00:06:56.379]  What do you see the establishment doing to try to counter that?
[00:06:56.439 --> 00:06:58.459]  Just more iron-fisted tactics?
[00:06:59.426 --> 00:07:07.693]  Well, right now, let me just mention, I have a new analysis coming out on the 08 election.
[00:07:08.054 --> 00:07:15.700]  It's called Election 08, Crime, Family, Food Fight, or Threat to Mankind.
[00:07:16.961 --> 00:07:19.544]  This is out, will be out in a few days.
[00:07:19.644 --> 00:07:25.089]  It's a special report that I'm putting out in cooperation with my partner Susan Boskey.
[00:07:26.132 --> 00:07:30.175]  If I could, Alex, let me give you the way people can contact us for this.
[00:07:30.295 --> 00:07:32.757]  It's an email address.
[00:07:32.837 --> 00:07:38.561]  It's the one we've used before on your show, economicsanity at gmail dot org.
[00:07:39.502 --> 00:07:50.770]  And it looks to me as though they're staging this almost tragic comedy of the 08 election between two parties who really
[00:07:53.419 --> 00:08:07.768]  Or the ones who've controlled public opinion for so long, but there's a divergence, I think, between the traditional establishment elite, which has come out of the banking systems for so long, which is trying to keep things afloat.
[00:08:07.828 --> 00:08:09.929]  It's the soft landing that we've heard about.
[00:08:10.989 --> 00:08:17.093]  This whole Fannie Mae, Freddie Mac thing is to try a soft landing where we just kind of
[00:08:17.711 --> 00:08:23.212]  Slide into a very long-term economic decline, recession, depression.
[00:08:24.232 --> 00:08:34.635]  Kind of the way we've gone with a little bit of tinkering around the edges that the Democrats want to do to prop up what is left of the welfare state without really ever changing anything.
[00:08:34.715 --> 00:08:42.376]  Just kind of a decline and fading away of the United States of our democracy and all that goes with it.
[00:08:43.016 --> 00:08:46.597]  Versus these really radical neocons
[00:08:47.250 --> 00:09:02.558]  who have captured the Republican Party and are running their candidate John McCain and now Sarah Palin is kind of a front person for all of this who seem to want to take us into a world war against Russia.
[00:09:02.619 --> 00:09:11.163]  That's our choice as I see it and I go into detail on this in this special report that I'm just getting ready to release.
[00:09:11.243 --> 00:09:13.464]  Folks can also visit your website, give that out.
[00:09:13.945 --> 00:09:15.225]  Yeah, the website is www
[00:09:16.724 --> 00:09:21.207]  Now, that's why I wanted to get you on later in the second part when Aaron's here with you, Mr. Cook.
[00:09:21.227 --> 00:09:29.974]  But right now, I want to get into the two big mortgage giants, because I had Dr. Roberts on and some others yesterday, and they were getting into the fact that
[00:09:47.028 --> 00:09:51.993]  This could make the entire treasury insolvent, taking on trillions and trillions of dollars.
[00:09:52.753 --> 00:10:05.465]  And we're talking about hundreds of trillions with what Fannie Mae and Freddie Mac have actually leveraged, bundling these debts and then selling them as securities and then using fractional reserve banking to loan them out ten times ten times ten.
[00:10:05.785 --> 00:10:13.011]  And Dr. Roberts agreed that it's in the hundreds of trillions we're talking about, total exposure, and that this black hole is so big
[00:10:14.292 --> 00:10:25.579]  I mean, he was saying his prognosis is even worse than it had been, but then if they wouldn't have done what they did, it would have caused insolvency in U.S.
[00:10:25.639 --> 00:10:28.941]  Treasury notes and bonds, because the U.S.
[00:10:28.981 --> 00:10:33.083]  Treasury had already guaranteed Fannie Mae and Freddie Mac previously.
[00:10:33.684 --> 00:10:34.584]  So, your take on that?
[00:10:35.425 --> 00:10:42.469]  Well, this is certainly true, but I try to look at it a little bit differently from that,
[00:10:43.735 --> 00:11:07.788]  You know, when you read the financial news now, you are reading commentators who are, you know, with all due respect, they're good commentators, good analysts, but it doesn't give me a whole lot of heartburn to think that this latest huge scam is going to take down the already existing scams, you know, of Treasury debt, of $10 trillion national debt, of
[00:11:08.936 --> 00:11:11.317]  You know, hundreds of trillion dollars in derivatives.
[00:11:11.357 --> 00:11:21.261]  It doesn't bother me that the viability of all of these other disasters may be threatened by this latest disaster.
[00:11:21.422 --> 00:11:25.243]  I mean, suppose the whole financial system just collapses.
[00:11:27.464 --> 00:11:31.626]  You go into bankruptcy reorganization, you rebuild it, but that's not the real problem.
[00:11:32.549 --> 00:11:34.531]  If I could, I'd like to point out... Yes, stay there.
[00:11:34.571 --> 00:11:42.116]  I want to talk about what the real problem is with Richard C. Cook, our guest, top analyst, economist dealing with this.
[00:11:42.457 --> 00:11:47.420]  We're going to skip this break for InfoWars.com audio listeners and PrisonPlanet.tv viewers.
[00:11:47.721 --> 00:11:49.082]  People keep saying, well, how do I listen then?
[00:11:49.382 --> 00:11:51.844]  You go to InfoWars.com and you click on those streams.
[00:11:52.704 --> 00:11:54.085]  Those are special streams.
[00:11:54.746 --> 00:11:55.667]  All right, we'll be right back.
[00:11:57.000 --> 00:11:57.720]  Okay, continue.
[00:11:57.740 --> 00:11:58.941]  I don't want to waste any time with you.
[00:11:58.961 --> 00:11:59.301]  Go ahead.
[00:11:59.741 --> 00:12:00.101]  Okay.
[00:12:00.741 --> 00:12:04.042]  We've got a financial system that's built on debt.
[00:12:06.183 --> 00:12:15.065]  The financial system is just pieces of paper that represent promises that somebody's making to pay, and we've got trillions of these pieces of paper.
[00:12:15.665 --> 00:12:20.627]  We've got debt upon debt upon debt, a gigantic pyramid of debt that's now falling down.
[00:12:21.287 --> 00:12:24.268]  But on the other hand, we have a producing economy
[00:12:24.938 --> 00:12:26.700]  Or people make real things.
[00:12:28.502 --> 00:12:34.809]  ExxonMobil produces gasoline, Microsoft produces computers, General Motors produces cars, and so on and so forth.
[00:12:35.410 --> 00:12:39.535]  The producing economy is where the real wealth of the nation
[00:12:40.567 --> 00:12:41.188]  I don't
[00:12:59.304 --> 00:13:02.246]  Well, yes, and that's exactly what this bankruptcy is doing.
[00:13:02.346 --> 00:13:06.149]  So we may fuss and fume about how it's threatening the Treasury securities and all that.
[00:13:06.229 --> 00:13:06.729]  You're right.
[00:13:06.809 --> 00:13:07.710]  They don't care.
[00:13:07.750 --> 00:13:08.751]  Now, the problem is,
[00:13:29.079 --> 00:13:44.187]  For the last decade at least, and it goes back further, but particularly in the last decade, the United States economy has been built on the foundation of housing debt as its financial engine.
[00:13:45.027 --> 00:13:55.693]  Now, the reason they've done that is that decades ago, the international financial elite that runs the Western world decided
[00:13:56.584 --> 00:14:05.068]  That the United States would no longer be allowed to maintain its status as the world's great industrial democracy.
[00:14:06.068 --> 00:14:07.789]  And they publicly stated that.
[00:14:07.849 --> 00:14:08.409]  Let me stop you.
[00:14:08.429 --> 00:14:09.910]  Let me stop you again and just back you up.
[00:14:09.930 --> 00:14:11.570]  That's been stated over and over again.
[00:14:11.870 --> 00:14:12.651]  We're too greedy.
[00:14:12.711 --> 00:14:13.611]  We've got too much.
[00:14:13.991 --> 00:14:18.633]  We've got to have the center of power taken from us and brought into this global corporate structure.
[00:14:18.653 --> 00:14:18.993]  Go ahead.
[00:14:19.694 --> 00:14:22.015]  Well, that's been kind of the cover story.
[00:14:22.575 --> 00:14:25.016]  But the problem was that the United States
[00:14:25.809 --> 00:14:41.899]  As an industrial democracy, based upon the principles in the Declaration of Independence and the United States Constitution, had built a system where people were free, where people had opportunity, where people could fulfill themselves.
[00:14:42.439 --> 00:14:48.023]  This was contrary to the concept of the one-world collectivist
[00:14:48.961 --> 00:14:52.044]  Empire that the financiers have been planning for decades.
[00:14:52.104 --> 00:14:59.971]  And the imperialists actually back in the 1780s said this American system's horrible and it'll be the ruination of all of us if we don't end it as well.
[00:15:00.411 --> 00:15:13.483]  That's right and that was said again during the Civil War by the London financiers because Lincoln financed the Civil War with greenbacks and war bonds sold to the population
[00:15:14.150 --> 00:15:25.516]  The London Times printed an editorial saying if the United States was not stopped, it would become the most powerful nation on earth, and it would undermine all the monarchies of the world.
[00:15:26.077 --> 00:15:30.999]  And so they've been trying to take down our system ever since, and now this is the final phase of that.
[00:15:31.500 --> 00:15:39.544]  It's the final phase of a very old plan to create a collectivist, one-world, socialist, communist state
[00:15:40.307 --> 00:15:44.771]  That they began to do when they financed the Bolshevik Revolution.
[00:15:44.791 --> 00:15:46.373]  Let me stop you there.
[00:15:46.433 --> 00:15:47.014]  Let me stop you there.
[00:15:47.234 --> 00:15:53.079]  I want you to go back 30 seconds, and you're going to have 5 minutes, and when we come back it'll be Aaron here alone with you.
[00:15:53.380 --> 00:15:54.361]  I'm going to give you the floor.
[00:15:54.561 --> 00:16:00.426]  When we come back right now, explain, go back to that editorial in the London paper, and start over right now.
[00:16:00.466 --> 00:16:00.767]  Here we go.
[00:16:05.126 --> 00:16:11.017]  All right, Richard C. Cook, economist, analyst, written for major publications like the Washington Post, historian.
[00:16:13.181 --> 00:16:15.465]  You've got the floor for the next five minutes, and I'm going to leave.
[00:16:15.525 --> 00:16:16.387]  Aaron's going to come in here.
[00:16:17.558 --> 00:16:19.579]  Well, as I was saying, decades ago,
[00:16:46.914 --> 00:16:51.977]  The international financial elite that runs the Western world decided that the U.S.
[00:16:52.017 --> 00:16:57.481]  would no longer be allowed to maintain its status as the world's greatest industrial democracy.
[00:16:58.221 --> 00:17:03.525]  This goes all the way back to the Civil War and even before when the nation was founded.
[00:17:04.305 --> 00:17:12.451]  But we have been under attack ever since then, and what we're seeing today through the de-industrialization of the United States
[00:17:13.120 --> 00:17:15.242]  We're the only way to float the U.S.
[00:17:15.282 --> 00:17:21.606]  economy has been through debt, through bubbles, and the latest and the last one really being a housing bubble.
[00:17:22.066 --> 00:17:29.732]  This has all been part of that process of taking down the United States as the world's greatest industrial democracy.
[00:17:30.312 --> 00:17:40.119]  Now, to prepare the mind of people, there have been non-profit groups that have been working for decades to give us an educational system where everybody is dumbed down
[00:17:40.939 --> 00:17:49.782]  And everybody is fed the kind of collectivist propaganda that is contrary to the principles that were used when this country was founded.
[00:17:49.822 --> 00:17:56.385]  You've got foundations like the Carnegie Institute, the Rockefeller Foundation, the Ford Foundation, the Guggenheim Foundation.
[00:17:57.025 --> 00:18:10.050]  Because what they were planning to do was to create an environment of perpetual warfare where the only way people would accept a constant atmosphere of state terrorism as normal
[00:18:10.871 --> 00:18:19.335]  Was by having an enemy to frighten people into voluntarily giving up their rights and accepting the legitimacy of a slave society.
[00:18:20.016 --> 00:18:24.618]  And a key to this slavery was a financial system based upon debt.
[00:18:25.418 --> 00:18:32.041]  Because it was the financiers who were the architects and the expected beneficiaries of the planned system.
[00:18:32.121 --> 00:18:36.043]  And it's the same people who created the Federal Reserve System in 1913.
[00:18:37.853 --> 00:18:53.499]  Now, the 1970s was the critical decade in all this, because it was then that the financial elite, working through the OPEC nations as their instruments of change, wildly inflated the worldwide price of oil, and it drove the U.S.
[00:18:53.539 --> 00:18:55.399]  economy into stagflation.
[00:18:56.059 --> 00:19:03.262]  And to combat that, the financial elite, working through the Federal Reserve and its chairman, Paul Volcker,
[00:19:03.999 --> 00:19:12.401]  Raised interest rates through the roof, and this caused the economy to crash in the recession of 1979 to 1983.
[00:19:13.261 --> 00:19:17.701]  Since then, our economy has run solely on financial bubbles.
[00:19:17.742 --> 00:19:20.762]  We had the merger-acquisition bubble of the 80s.
[00:19:21.302 --> 00:19:22.862]  We had the dot-com bubble of the 90s.
[00:19:22.982 --> 00:19:28.964]  And then when that collapsed, we had Alan Greenspan's housing bubble of the 2000s.
[00:19:29.784 --> 00:19:31.364]  The purpose of the housing bubble
[00:19:31.980 --> 00:19:37.643]  Was to allow George W. Bush to fight his wars of conquest in the Middle East.
[00:19:38.283 --> 00:19:46.427]  The bubble resulted in a tremendous inflation of housing and real estate prices that is unraveling today.
[00:19:46.487 --> 00:19:57.292]  But even though housing is still coming down, it's still so overpriced that many people who once could afford to buy a home no longer can do that.
[00:19:57.958 --> 00:20:03.542]  And can't even get credit because financial institutions have been so reluctant lately to lend.
[00:20:04.583 --> 00:20:07.325]  It's this housing inflation that has powered the U.S.
[00:20:07.385 --> 00:20:08.906]  economy for the last decade.
[00:20:10.026 --> 00:20:18.512]  The bailouts and the takeover of Fannie Mae and Freddie Mac are simply to keep the economy afloat until the next election.
[00:20:19.073 --> 00:20:22.215]  That's what the whole thing, in my mind, is all about.
[00:20:22.735 --> 00:20:26.538]  Unfortunately, there are no further bubbles waiting in the wings because
[00:20:27.099 --> 00:20:34.483]  When the American people gave up their homes to debt, they gave up the last real asset they owned of value because they don't save anything anymore.
[00:20:35.064 --> 00:20:43.468]  The savings is gone, and even the savings that's gone into 401ks for retirement is now being sold off because people need that money to live.
[00:20:44.409 --> 00:20:48.111]  The takeover of Fannie Mae and Freddie Mae is simply a stopgap.
[00:20:48.651 --> 00:20:53.214]  The problem is not that it's devaluing the rest of the government's debt.
[00:20:53.234 --> 00:20:54.695]  Of course, that may happen.
[00:20:55.185 --> 00:21:09.097]  But the problem is that after the housing bubble, there are no more bubbles left because there's nothing left of value that we own that we can sell or mortgage to get money to live on.
[00:21:09.736 --> 00:21:11.458]  That's the real problem as I see it.
[00:21:11.738 --> 00:21:13.920]  Yeah, this is Aaron filling in for Alex Jones.
[00:21:14.300 --> 00:21:17.243]  And that's what I was going to add is that the U.S.
[00:21:17.303 --> 00:21:21.446]  public is so disconnected from reality, I don't think they have any idea what's going on.
[00:21:22.147 --> 00:21:25.450]  We'll talk about that on the other side of the break in just a few moments.
[00:21:26.350 --> 00:21:29.253]  This is the Alex Jones Show with Richard C. Cook.
[00:21:36.584 --> 00:21:41.445]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[00:21:41.465 --> 00:21:43.966]  The enemy struck America on September 11th.
[00:22:06.966 --> 00:22:07.967]  But who is the enemy?
[00:22:08.487 --> 00:22:09.007]  Bin Laden.
[00:22:09.287 --> 00:22:10.288]  This is his ammo.
[00:22:10.308 --> 00:22:11.609]  We have to look to the Middle East.
[00:22:11.649 --> 00:22:13.310]  We have to look to Osama Bin Laden.
[00:22:13.650 --> 00:22:20.414]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[00:22:20.814 --> 00:22:21.254]  Some U.S.
[00:22:21.294 --> 00:22:26.958]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[00:22:27.638 --> 00:22:31.120]  I'm aware that some Israeli citizens have been detained.
[00:22:31.140 --> 00:22:41.386]  Bin Laden's connections to the CIA, the hijacker's ties to the FBI, the Saudi Arabian connection, the Israeli intelligence network, warnings and war games, the shadow government, and much, much more.
[00:22:41.606 --> 00:22:42.347]  Fabled enemies.
[00:22:42.827 --> 00:22:50.131]  Get the DVD at InfoWars.com or see it in super high quality along with hundreds of other titles at PrisonPlanet.tv.
[00:22:50.592 --> 00:22:53.954]  Either you are with us or you are with the terrorists.
[00:22:57.301 --> 00:23:00.345]  You ever have one of those days where everything goes right?
[00:23:00.725 --> 00:23:02.788]  First, I get the best parking space at work.
[00:23:03.028 --> 00:23:06.052]  Tonight, I have a date with a very lovely Rachel.
[00:23:06.332 --> 00:23:12.840]  And today, I gave a killer presentation in Sydney, finalized a contract in London, and demoed our new product in Boston.
[00:23:13.220 --> 00:23:15.343]  Online, from my desk, with Webex.
[00:23:15.823 --> 00:23:18.886]  Webex lets me take meetings and give presentations from my desk.
[00:23:19.126 --> 00:23:23.770]  I just talk to clients on the phone and they watch what's happening on my desktop from their desktop.
[00:23:23.911 --> 00:23:27.594]  So I can travel the world and still be here for my date tonight with Rachel.
[00:23:27.834 --> 00:23:29.376]  Travel less, meet online.
[00:23:29.476 --> 00:23:31.958]  Go to Webex.com and try Webex free.
[00:23:32.138 --> 00:23:34.460]  Just click the radiographic and enter promo code 500.
[00:23:35.541 --> 00:23:41.562]  To get a free trial and a free webcam, too, remember that code, 500, to qualify for the free webcam.
[00:23:41.802 --> 00:23:46.384]  Webex, now part of Cisco, and used by more than five and a half million people every month.
[00:23:46.484 --> 00:23:47.804]  Give it a try, free.
[00:23:48.044 --> 00:23:53.365]  Go to Webex.com and enter the promo code 500, W-E-B-E-X.com.
[00:23:53.465 --> 00:23:54.886]  Free webcams available while supplies last.
[00:23:54.906 --> 00:23:55.826]  Terms and restrictions apply.
[00:23:55.846 --> 00:23:56.686]  See website for details.
[00:23:57.225 --> 00:23:58.666]  Honey, have you seen the remote?
[00:23:59.006 --> 00:24:00.788]  Sweetie, have you seen my car keys?
[00:24:01.228 --> 00:24:02.669]  I can't find my wallet!
[00:24:03.009 --> 00:24:03.690]  Sound familiar?
[00:24:03.850 --> 00:24:07.172]  Why not save time looking for lost things and lose the stress instead?
[00:24:07.292 --> 00:24:12.436]  Introducing our patented Find One Find All Key Finders, or FOFA XD for short.
[00:24:12.656 --> 00:24:18.580]  Once a FOFA Key Finder is attached to each of those easy-to-lose things, it can find and be found by all the rest.
[00:24:18.840 --> 00:24:25.165]  Use your wallet to find your keys, your keys to find the remote control, or any of them to find an uncharged or muted cell phone.
[00:24:25.285 --> 00:24:26.686]  The possibilities are endless.
[00:24:26.846 --> 00:24:32.550]  Fofa goes through walls, cushions, and laundry baskets up to 30 feet and projects a clear 90 plus decibel beep.
[00:24:33.080 --> 00:24:34.261]  I've got the remote!
[00:24:35.042 --> 00:24:36.063]  Oh, my keys!
[00:24:36.643 --> 00:24:37.765]  There's my wallet!
[00:24:38.025 --> 00:24:45.432]  Order your FIFA today with batteries included along with a 30-day money-back guarantee by calling FindOneFindAll at 866-245-8670.
[00:24:45.492 --> 00:24:45.892]  That's 866-245-8670.
[00:24:46.033 --> 00:24:47.954]  Or buy online at FindOneFindAll.com.
[00:24:48.095 --> 00:24:49.096]  That's FindOneFindAll.com.
[00:25:04.082 --> 00:25:06.002]  Alright, ladies and gentlemen, we are back.
[00:25:06.042 --> 00:25:08.263]  This is Aaron Dykes, head for Alex Jones.
[00:25:09.023 --> 00:25:13.364]  And we are here with Richard C. Cook, talking about the downfall of the entire economy.
[00:25:14.124 --> 00:25:19.706]  And, uh, Mr. Cook, the public doesn't even understand that there are elites.
[00:25:19.746 --> 00:25:22.066]  It has no idea what's really going on with the economy.
[00:25:22.126 --> 00:25:23.806]  It's just been told we've been bailed out.
[00:25:24.427 --> 00:25:27.667]  Uh, when is the public gonna really feel the crunch of it?
[00:25:28.207 --> 00:25:29.908]  And, uh, what can we do to stop it?
[00:25:29.968 --> 00:25:30.488]  Is there anything?
[00:25:31.345 --> 00:25:40.647]  Well, where they are feeling the crunch right now is in the process of stagflation that has begun.
[00:25:42.087 --> 00:25:45.808]  This is something I've written about in a couple of recent articles.
[00:25:47.068 --> 00:25:57.510]  It's the same thing that we saw in the 1970s, where we have prices going up and employment and economic growth going down.
[00:25:57.570 --> 00:25:59.970]  So where people are seeing this, they're seeing this in
[00:26:00.854 --> 00:26:03.576]  The tremendous run-up in the price of gasoline.
[00:26:04.336 --> 00:26:05.577]  This is not an accident.
[00:26:06.177 --> 00:26:10.299]  It's not being caused by supply and demand.
[00:26:11.040 --> 00:26:15.742]  It is not being caused by speculation in the markets, which is the cover story that's being put out.
[00:26:16.743 --> 00:26:22.366]  The rising cost of gasoline is a policy of the Western governments, of the U.S.
[00:26:22.426 --> 00:26:27.749]  government, to raise the price of petroleum as a kind of a tax
[00:26:28.607 --> 00:26:43.577]  On the entire world population in order to bail us out of the economic and financial collapse and also to slow down the growth of the third world, the developing world economies like China and like India.
[00:26:43.617 --> 00:26:45.818]  So that's one place we're saying it at the gas pump.
[00:26:46.618 --> 00:26:51.441]  These prices are rippling out into all other elements of the economy.
[00:26:52.322 --> 00:26:55.704]  It's being passed on primarily in rising food prices.
[00:26:55.764 --> 00:26:56.925]  So that's, you know, every day.
[00:26:57.871 --> 00:27:02.033]  I hear someone's come back from the grocery store and can't believe how much a gallon of milk costs.
[00:27:02.714 --> 00:27:05.575]  So this is another area where it's coming home to people.
[00:27:06.196 --> 00:27:09.317]  The third area it's coming home to people is in job loss.
[00:27:10.158 --> 00:27:14.380]  The economy lost 60,000 jobs last month.
[00:27:15.261 --> 00:27:19.243]  The economy is shedding jobs in the thousands per day.
[00:27:19.443 --> 00:27:20.884]  People are out of work.
[00:27:21.984 --> 00:27:23.425]  Jobs are hard to find.
[00:27:23.965 --> 00:27:27.047]  There's no new source of jobs coming into play.
[00:27:27.594 --> 00:27:33.038]  Because the last economic engine of the economy, the housing bubble, has burst.
[00:27:33.178 --> 00:27:35.520]  And so, you know, people aren't building homes.
[00:27:35.640 --> 00:27:37.802]  The financial industry is shedding jobs.
[00:27:38.342 --> 00:27:40.544]  People are having to cut their expenditures.
[00:27:40.604 --> 00:27:45.147]  They're having to, you know, live with their parents or rent group houses.
[00:27:45.688 --> 00:27:51.332]  These are all ways that this collapse of our economy is showing up in everyday life.
[00:27:51.412 --> 00:27:55.275]  Now, the United States has a certain amount of fat, if you will, in the economy.
[00:27:55.936 --> 00:27:58.957]  People still have 401ks, which they're now cashing in.
[00:27:59.497 --> 00:28:06.739]  They still have big houses, which they're now doubling up in and taking in our rumors, or families living together.
[00:28:07.319 --> 00:28:14.281]  So, you know, there's a certain amount that can be absorbed, but the point is approaching very rapidly where that can't happen anymore.
[00:28:15.361 --> 00:28:16.741]  Homelessness is going up.
[00:28:16.821 --> 00:28:20.722]  The number of people who can't afford to eat decent food is going up.
[00:28:20.802 --> 00:28:23.643]  Now, none of this the mainstream media is reporting on.
[00:28:24.298 --> 00:28:29.021]  You know, the NFL season has started and we're seeing lots of good football games on television.
[00:28:29.542 --> 00:28:32.984]  But it's all simply to cover up what's going on within the economy.
