[00:00:00.836 --> 00:00:01.256]  Yes, sir.
[00:06:45.998 --> 00:06:47.779]  He was there because he did not obey Caesar.
[00:06:48.119 --> 00:06:51.982]  In Numbers chapter 1, Numbers is called the war book in the Bible.
[00:06:52.412 --> 00:06:56.857]  Numbers chapter one is where our forefathers got the idea of a militia, civilian military.
[00:06:57.197 --> 00:07:05.405]  This is where our forefathers said we will establish a civilian militia in our country to protect our states and our nation.
[00:07:05.446 --> 00:07:06.106]  That's in their Bible.
[00:07:06.126 --> 00:07:06.947]  Well let me stop you.
[00:07:07.348 --> 00:07:08.849]  Going back to
[00:07:10.697 --> 00:07:21.123]  The Founding Fathers, going back to the Bible, Paul was somebody who hunted down and killed Christians until he got knocked off his horse and became Paul from Saul of Tarsus on the road to Damascus.
[00:07:21.183 --> 00:07:26.146]  So there it is that Christians weren't following orders, he was going around hunting them down.
[00:07:26.586 --> 00:07:27.066]  Exactly.
[00:07:27.927 --> 00:07:37.832]  They were resisting the civil authorities and the church of the day, and the church of the day, very good point, the so-called church, because they would not go along with the customs of the church.
[00:07:38.174 --> 00:07:39.215]  They said this is not right.
[00:07:39.295 --> 00:07:41.276]  Christ is the Messiah.
[00:07:41.756 --> 00:07:44.018]  They were being persecuted by the church and by the civil authority.
[00:07:44.338 --> 00:07:46.159]  And we are today also a percent of the truth.
[00:07:46.179 --> 00:07:48.641]  All right, we're going to come back to the main audience in 15 seconds.
[00:07:49.762 --> 00:07:52.123]  And so recap other key points.
[00:07:52.163 --> 00:07:53.644]  Both of you got about two minutes apiece.
[00:07:54.245 --> 00:07:57.247]  On the other side, we'll go back to my uncle, William, and then to you, Butch.
[00:07:57.787 --> 00:07:58.568]  Right now, here we go.
[00:08:01.374 --> 00:08:06.996]  He's the T-Rex of political talk, Alex Jones, on the GCN Radio Network.
[00:08:07.536 --> 00:08:14.238]  Paul himself was Saul of Tarsus, went around hunting down and killing Christians because they wouldn't submit to the civil or the religious authority.
[00:08:14.958 --> 00:08:19.980]  And then of course he got knocked off his horse on the way to Damascus, saw the light, was imprisoned.
[00:08:20.000 --> 00:08:22.101]  I mean, how did Paul end up?
[00:08:22.121 --> 00:08:23.841]  How did the other disciples end up?
[00:08:24.021 --> 00:08:28.903]  My uncle, William Hammond, and of course Basher Butchpaw, Genesis Network host at 8 o'clock at 9 central,
[00:08:31.519 --> 00:08:37.064]  I want my uncle to have a two-minute closing comment and then Butch, then we're going to get Dr. Paul Gregg Roberts on right now.
[00:08:38.425 --> 00:08:38.825]  Thank you.
[00:08:39.145 --> 00:08:50.554]  We were looking at the historical perspective and we've come down to the Inquisition, which was a coldly calculated move for about 800 or 900 years to totally wipe out true Christianity.
[00:08:51.075 --> 00:08:55.518]  If there had been no resistance, again, Christianity would not exist today.
[00:08:55.959 --> 00:09:01.083]  And moving to the tyranny of the kings of England, had there been no resistance to the kings,
[00:09:01.633 --> 00:09:07.678]  There would have been no America because the people came here to found this place looking for freedom of faith.
[00:09:08.799 --> 00:09:09.800]  Look at Martin Luther.
[00:09:10.220 --> 00:09:21.529]  If he had not been, not Martin Luther King, Martin Luther of the Reformation, if Martin Luther had not been backed by the arms of the German princes, there would have been no Reformation.
[00:09:21.649 --> 00:09:24.612]  It would have been swept away in a few days by the papal armies.
[00:09:25.032 --> 00:09:26.613]  So there was a lot of resistance there.
[00:09:26.673 --> 00:09:28.415]  And finally, I'd like to say
[00:09:28.837 --> 00:09:34.800]  That when Jesus comes back, and it's very soon, it's at the door, he's not coming back as a lamb.
[00:09:34.900 --> 00:09:46.846]  He's coming back as a Lion of Judah with 10,000 times 10,000 saints with a mighty sword to wipe out his enemies completely at the Battle of Armageddon.
[00:09:47.046 --> 00:09:49.567]  I would call that total resistance, wouldn't you, Alex?
[00:09:50.293 --> 00:09:50.613]  Amen.
[00:09:52.054 --> 00:09:57.577]  I just don't understand, Bush, the groveling, chicken-necked love of tyranny.
[00:09:57.657 --> 00:10:02.479]  And they always have the same voice, the same spirit of, oh, the Bible says lay down.
[00:10:02.499 --> 00:10:06.141]  And it's just like, oh, they're just like, oh.
[00:10:06.461 --> 00:10:08.002]  I mean, what has happened to these people?
[00:10:08.442 --> 00:10:09.463]  They have been brainwashed.
[00:10:09.623 --> 00:10:10.523]  They are brainwashed.
[00:10:10.683 --> 00:10:12.224]  That's the simplest way I can put it.
[00:10:12.244 --> 00:10:13.785]  They've been brainwashed by their pastors.
[00:10:14.096 --> 00:10:15.597]  They do not say the word for themselves.
[00:10:17.078 --> 00:10:20.181]  They're also afraid, and they think laying down is going to keep them safe.
[00:10:20.641 --> 00:10:23.023]  Well, they're waiting for the rapture.
[00:10:23.043 --> 00:10:23.784]  They're not concerned.
[00:10:23.824 --> 00:10:24.324]  They're waiting.
[00:10:24.364 --> 00:10:25.906]  They don't want to do anything, get involved.
[00:10:25.946 --> 00:10:26.987]  They don't want to lose their stuff.
[00:10:27.287 --> 00:10:31.470]  They worship the God of this world and their possession more than they worship the Almighty.
[00:10:31.810 --> 00:10:34.393]  And I'm telling you again, the damnation is going to be their just reward.
[00:10:34.733 --> 00:10:40.958]  But again, as I told you a few minutes ago, that in Numbers chapter 1, our forefathers got the idea of a civilian militia.
[00:10:41.748 --> 00:10:46.732]  The 2nd Amendment was given a constitution for us, for the duty for us to overthrow unrighteous leaders.
[00:10:46.832 --> 00:10:49.114]  It's our duty, it's not just our right, it's our duty.
[00:10:49.454 --> 00:10:54.318]  This is a Christian duty to glorify our God all through history.
[00:10:54.859 --> 00:11:02.364]  All through history, the battle has always been for mankind to overthrow unjust tyrants for the sake of freedom.
[00:11:02.725 --> 00:11:06.888]  And Christ came to give us all freedom, for where the Spirit of the Lord is, there is freedom.
[00:11:07.521 --> 00:11:16.205]  And until we stand, and there's liberty, until we stand for that, as men and women who defy men who try to be gods, we do not deserve freedom.
[00:11:16.525 --> 00:11:18.166]  We deserve what we're getting.
[00:11:18.326 --> 00:11:18.806]  Absolutely.
[00:11:19.086 --> 00:11:22.808]  God help the people that don't understand it, because I promise you, payday's coming.
[00:11:23.028 --> 00:11:23.428]  I hear you.
[00:11:23.488 --> 00:11:24.529]  Gentlemen, thanks for joining us.
[00:11:25.970 --> 00:11:42.604]  And that really is, thank you, that really is the crux of the problem, that you have tens of billions of dollars, 26,000 now, they're done a double that number by next year, FEMA pastors, we told you this one was secret, it's now public, trained to tell their flocks, turn your guns in, go to FEMA camps, let the government take your children.
[00:11:43.445 --> 00:11:50.671]  I mean, this is right out of Nazi Germany, Soviet Russia, and that's why, one of the main reasons we can't get this country moving,
[00:11:51.756 --> 00:12:00.018]  Is that the churches are bought and paid for by these corporate interests and are out there spewing the line of this government.
[00:12:00.898 --> 00:12:03.799]  And I am just completely blown away by it.
[00:12:03.879 --> 00:12:08.300]  Every time one of those people calls in and says, if you're a Christian, you're supposed to not stand up against tyranny.
[00:12:09.001 --> 00:12:11.261]  And it's just totally crazy.
[00:12:11.481 --> 00:12:17.923]  Number one, I had a financial guest on, talking about financial news, and this guy calls in saying, you know, we basically shouldn't even criticize the Federal Reserve.
[00:12:19.157 --> 00:12:20.177]  Because God says don't.
[00:12:20.217 --> 00:12:22.238]  I mean, I just can't handle this anymore.
[00:12:22.938 --> 00:12:25.179]  I mean, it's just so crazy.
[00:12:25.779 --> 00:12:27.960]  Now, if you want to go off in a ditch and be a slave, go ahead.
[00:12:28.000 --> 00:12:29.140]  Just get out of my way.
[00:12:29.940 --> 00:12:30.640]  Get behind me.
[00:12:31.361 --> 00:12:32.221]  Do we have Dr. Roberts?
[00:12:33.021 --> 00:12:33.561]  He's all set.
[00:12:33.841 --> 00:12:35.102]  Okay, thank you so much.
[00:12:36.089 --> 00:12:37.610]  Got late today with our guest.
[00:12:37.651 --> 00:12:40.753]  I appreciate all the guests moving back ten minutes, because Ron Paul was going to be on earlier.
[00:12:40.793 --> 00:12:44.897]  He had to move it to the middle of another interview, so that is why we're a little bit behind.
[00:12:44.917 --> 00:12:53.125]  I'm very honored to have former Wall Street Journal Associate Editor, best-selling author, the father of Reaganomics, head of policy, Department of Treasury.
[00:12:53.145 --> 00:12:59.871]  That was number two under Ronald Reagan, and syndicated columnist with a great syndicated column group out there.
[00:13:00.865 --> 00:13:07.447]  You can just simply Google the name Dr. Paul Craig Roberts and see his stuff in hundreds of great publications.
[00:13:07.507 --> 00:13:19.372]  Liberal, conservative, libertarian, anybody who is informed reads Dr. Roberts' columns that come out several times a week and we link to those over at Infowars.com and PrisonPlanet.com and his second edition
[00:13:20.172 --> 00:13:20.413]  Hello, Alex.
[00:13:38.226 --> 00:13:45.968]  Hey, just a side issue before we get into the economy and Conyers blocking a real impeachment hearing coming up this Friday.
[00:13:46.008 --> 00:13:47.168]  We had Kucinich on yesterday.
[00:13:47.648 --> 00:14:00.332]  What do you think of all these mainline Christians that call into shows, I'm sure you've heard them, I know you've written about them, saying, do whatever government says, Romans 13, don't fight tyranny, torture's good, kill all the Iraqis, it's of the Lord.
[00:14:01.592 --> 00:14:06.074]  Now they're getting so crazy, Pastor Hagee saying Jesus isn't even the Savior.
[00:14:06.154 --> 00:14:10.135]  I mean, I know you don't get into religious stuff, but the point is, it's really getting wacky right now.
[00:14:11.536 --> 00:14:25.000]  Oh yeah, what passes for evangelical Christianity is a far more barbaric and warlike religion than what they claim Islam is.
[00:14:25.801 --> 00:14:29.482]  So I see these people as a great threat to humanity.
[00:14:30.174 --> 00:14:31.215]  They're certainly not Christians.
[00:14:31.235 --> 00:14:33.096]  There's nothing Christian about them.
[00:14:33.156 --> 00:14:33.877]  They're thugs.
[00:14:34.397 --> 00:14:38.740]  They want to murder women and children and drop nukes on people that they don't even know.
[00:14:38.760 --> 00:14:41.482]  I don't know what to make of it.
[00:14:42.543 --> 00:14:50.929]  It sounds like that they're about as crazy as that sect that went down there, whatever it was, Jonathan Jones.
[00:14:51.974 --> 00:14:57.275]  Well, I mean, we hear this mantra.
[00:14:57.295 --> 00:15:07.518]  In fact, I even heard a guy on the network yesterday on another show saying that Ahmadinejad wants nuclear war, has a bomb, is going to nuke Israel, Israel's defenseless.
[00:15:07.538 --> 00:15:09.378]  Well, how does he know anything like that?
[00:15:09.398 --> 00:15:12.319]  He obviously doesn't have any information.
[00:15:12.959 --> 00:15:14.600]  Saying whatever comes into his head.
[00:15:14.700 --> 00:15:15.461]  Well, that's my question.
[00:15:15.501 --> 00:15:24.505]  Pat Robertson got up yesterday, we have the clip, and said they're going to get the A-bomb, Israel has to hit them, it's of the Lord, and this is the same group that lied about Iraq.
[00:15:24.565 --> 00:15:25.306]  It's of the Lord.
[00:15:26.266 --> 00:15:28.307]  Look, Alex, these are not Christians.
[00:15:28.548 --> 00:15:30.208]  These are murderers and liars.
[00:15:30.809 --> 00:15:31.589]  They're thugs.
[00:15:32.470 --> 00:15:33.850]  They're worse than the Nazis.
[00:15:34.551 --> 00:15:35.451]  They're not Christians.
[00:15:36.812 --> 00:15:40.034]  There's nothing Christian or religious about them.
[00:15:41.214 --> 00:15:41.995]  They're thugs.
[00:15:42.643 --> 00:15:43.283]  Murderers.
[00:15:43.763 --> 00:15:44.324]  Liars.
[00:15:45.704 --> 00:15:51.106]  They're a great threat to the continued existence of life on Earth.
[00:15:51.406 --> 00:15:52.146]  No, I agree with you.
[00:15:52.186 --> 00:16:01.810]  I'm saying, I understand the kingpins are just manipulating their minions and are secular, but my point is, how do they get all these little church ladies to just be complete pea brains?
[00:16:02.510 --> 00:16:03.290]  It's mind control.
[00:16:03.310 --> 00:16:05.191]  Because they're pea brains to start with.
[00:16:07.171 --> 00:16:08.572]  Look, Alex, never forget.
[00:16:09.099 --> 00:16:14.200]  That at least half the population is under the left side of the bell curve.
[00:16:15.321 --> 00:16:21.982]  And I sometimes think, Alex, that the entire American population is under the left side of the bell curve.
[00:16:25.443 --> 00:16:31.385]  Well, there's no doubt that we've had it too good, too long, and they just have no idea the dark waters are swimming in.
[00:16:31.405 --> 00:16:37.286]  So, Alex, it's part of getting the population ready for the assault on Iran.
[00:16:39.040 --> 00:16:46.384]  This is Israel's... Look, everybody who's knowledgeable and informed knows that Israel has turned down.
[00:16:46.404 --> 00:16:48.164]  It's now on the decline.
[00:16:48.204 --> 00:16:49.785]  The United States is on the decline.
[00:16:49.805 --> 00:16:55.188]  In fact, we're totally dependent now on the Chinese to finance the daily operation of our own government.
[00:16:56.568 --> 00:16:58.049]  So we're both on the decline.
[00:16:58.809 --> 00:17:01.310]  Our power is evaporating before our eyes.
[00:17:01.430 --> 00:17:06.993]  Israel has twice been defeated by the Hezbollah militia, the famed
[00:17:08.396 --> 00:17:16.378]  And Marble Israeli Army got its ass kicked twice, driven out of Lebanon by a few thousand militia.
[00:17:17.798 --> 00:17:19.018]  The power's on the decline.
[00:17:19.058 --> 00:17:20.799]  This is their last chance.
[00:17:21.439 --> 00:17:25.760]  Bush, assuming he doesn't pull a fast one, will be gone in six months.
[00:17:26.760 --> 00:17:29.260]  So right now they got their finger on the button.
[00:17:30.581 --> 00:17:37.562]  And they're going to push and push and push and try to get the situation where
[00:17:38.362 --> 00:17:42.609]  Their attack on Iran will be tolerated.
[00:17:43.250 --> 00:17:45.313]  And so that's what they're using the churches for.
[00:17:46.295 --> 00:17:49.180]  They've got all this out into the churches there.
[00:17:50.014 --> 00:17:51.034]  And that's what it's all about.
[00:17:51.214 --> 00:17:51.814]  I agree with you.
[00:17:51.954 --> 00:17:58.736]  And Ray McGovern, Ron Paul, Dennis Kucinich, the list is legion, all say that they are going to attack.
[00:17:58.796 --> 00:18:01.036]  Ron Paul says in Congress it's a done deal.
[00:18:01.316 --> 00:18:02.177]  They're going to attack.
[00:18:03.717 --> 00:18:07.178]  If Obama gets elected, they're going to attack right after the election.
[00:18:07.478 --> 00:18:10.138]  If McCain gets elected, it'll be right when he gets in office.
[00:18:10.378 --> 00:18:13.039]  Probably a staged terror attack to bring that in.
[00:18:15.179 --> 00:18:15.399]  Yeah.
[00:18:15.920 --> 00:18:17.980]  Well, I don't know if they'll get away with it.
[00:18:18.447 --> 00:18:20.649]  But I certainly agree that that's what they want to do.
[00:18:22.090 --> 00:18:27.233]  Your idea, sir, to stop this, is there any way to stop the total destruction of our country?
[00:18:30.775 --> 00:18:35.218]  Well, I don't think that they're sane.
[00:18:35.719 --> 00:18:39.541]  I don't think that they live in a factual reality.
[00:18:41.623 --> 00:18:47.847]  So, I think that if they want to do it bad enough, they'll fool themselves with
[00:18:48.581 --> 00:18:49.422]  But they can't.
[00:18:51.163 --> 00:18:59.330]  But I think it will leave, it will accelerate the collapse of American power and Israeli power.
[00:19:00.831 --> 00:19:17.465]  And if we think that our invasions of Iraq and Afghanistan and the Israeli bombings of the civilian Lebanese population and their murders in Gaza and the West Bank have radicalized Muslims, just wait.
[00:19:18.339 --> 00:19:19.460]  Until we nuke Iran.
[00:19:20.821 --> 00:19:25.766]  And then, most likely, all of our puppets will fall in the Middle East.
[00:19:27.528 --> 00:19:29.309]  Israel will probably be exterminated.
[00:19:31.632 --> 00:19:34.254]  Americans won't be able to borrow a dime.
[00:19:35.255 --> 00:19:37.417]  They'll have to close down most of the government.
[00:19:37.457 --> 00:19:38.338]  They can't finance it.
[00:19:38.979 --> 00:19:41.401]  I mean, it can be a catastrophic result.
[00:19:42.137 --> 00:19:44.359]  And Satan laughing will spread his wings.
[00:19:44.639 --> 00:19:46.360]  Dr. Paul Craig Roberts, stay there.
[00:19:46.681 --> 00:19:47.621]  Amazing analysis.
[00:19:48.062 --> 00:19:49.363]  Come back and hear more from him.
[00:19:49.843 --> 00:19:55.107]  Also, take your phone calls at the bottom of the hour for Dr. Paul Craig Roberts.
[00:19:55.127 --> 00:19:55.327]  1-800-259-9231.
[00:19:55.387 --> 00:19:58.149]  His new book is out, The Tyranny of Good Intentions.
[00:19:58.189 --> 00:19:59.410]  Get it at bookstores everywhere.
[00:20:00.911 --> 00:20:04.074]  Have you ever felt like the United States government was worried too much about your finances?
[00:20:04.134 --> 00:20:08.798]  Likely all of our puppets will fall in the Middle East.
[00:20:08.918 --> 00:20:10.639]  Israel will probably be exterminated.
[00:20:12.989 --> 00:20:15.051]  Americans won't be able to bar a dime.
[00:20:15.151 --> 00:20:19.574]  They'll have to close down most of the government to pay for the answers.
[00:20:20.335 --> 00:20:22.797]  I mean, it can be a catastrophic result.
[00:20:23.557 --> 00:20:25.879]  And Satan laughing will spread his wings.
[00:20:26.079 --> 00:20:27.840]  Dr. Paul Craig Roberts, stay there.
[00:20:28.121 --> 00:20:29.081]  Amazing analysis.
[00:20:29.502 --> 00:20:30.803]  Come back and hear more from him.
[00:20:31.283 --> 00:20:36.267]  Also, take your phone calls at the bottom of the hour for Dr. Paul Craig Roberts.
[00:20:36.287 --> 00:20:36.787]  1-800-259-9231.
[00:20:36.827 --> 00:20:39.589]  His new book is out, The Tyranny of Good Intentions.
[00:20:39.629 --> 00:20:40.790]  Get it at bookstores everywhere.
[00:20:42.259 --> 00:20:45.922]  Have you ever felt like the United States government knows way too much about your financial affairs?
[00:20:46.342 --> 00:20:51.766]  I continue to hear stories about property seizures, frozen bank accounts, confiscation of stocks and bonds.
[00:20:52.227 --> 00:20:53.308]  It makes me wonder if the U.S.
[00:20:53.328 --> 00:20:57.371]  citizen will ever again have the right to life, liberty, and the pursuit of happiness.
[00:20:58.031 --> 00:21:11.342]  Unfortunately, with the Drug and Money Laundering Act, the IRS Revenue Ruling 6045 of 1984, and the Trading with the Enemy Act in Franklin D. Roosevelt's Executive Order of 1933, some precious metal holdings are subject to government intervention.
[00:21:11.842 --> 00:21:17.147]  For this reason, Midas Resources has prepared a report explaining the boundaries of trading precious metals privately.
[00:21:17.447 --> 00:21:23.272]  Whether if you have any intention of trading with Midas Resources or not, I have instructed my representatives to give this report out free.
[00:21:24.092 --> 00:21:25.874]  Call for your free copy at 1-800-686-2237.
[00:21:26.934 --> 00:21:30.117]  When investing, always proceed with caution.
[00:21:30.537 --> 00:21:31.718]  Again, call 1-800-686-2237.
[00:21:33.639 --> 00:21:39.303]  Exercise your legal right to trade metals privately.
[00:21:39.323 --> 00:21:39.683]  1-800-686-2237.
[00:21:41.965 --> 00:21:43.366]  It is a big idea.
[00:21:43.386 --> 00:21:45.487]  A new world order.
[00:21:46.208 --> 00:21:50.471]  In the near future, Earth is dominated by a powerful world government.
[00:21:51.084 --> 00:21:53.206]  It's known as the Bilderberg Group.
[00:21:53.906 --> 00:21:56.028]  Could their objective be world domination?
[00:21:56.688 --> 00:21:59.150]  For thousands of years, their dark order grew.
[00:21:59.891 --> 00:22:07.197]  Now, as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[00:22:10.220 --> 00:22:15.182]  For the first time in history, the elite's plan for world government is blown wide open.
[00:22:15.662 --> 00:22:19.144]  You will learn the secret that drives the entire New World Order agenda.
[00:22:19.544 --> 00:22:22.005]  Bill of Rights is making great progress toward a world government.
[00:22:22.105 --> 00:22:23.246]  Most people have no idea.
[00:22:23.266 --> 00:22:24.046]  They're not after money.
[00:22:24.066 --> 00:22:25.126]  They have all the money they need.
[00:22:25.326 --> 00:22:26.027]  They're after power.
[00:22:26.087 --> 00:22:27.147]  That's what they're after these years.
[00:22:27.467 --> 00:22:31.989]  Order In Game on DVD at PrisonPlanet.com or InfoWars.com.
[00:22:32.209 --> 00:22:35.691]  Or watch it online right now at PrisonPlanet.tv.
[00:22:36.191 --> 00:22:36.531]  In Game.
[00:22:36.931 --> 00:22:38.452]  Blueprint for global enslaving.
[00:22:38.972 --> 00:22:40.173]  You have been warned.
[00:22:42.655 --> 00:22:47.940]  Are you tired of hearing that a cure for cancer is coming, but it will be available sometime in the future?
[00:22:48.300 --> 00:22:50.582]  At LaysMedInc, the future is here.
[00:22:50.942 --> 00:22:54.385]  Now it's cancer's turn to die with our patented methodology.
[00:22:54.605 --> 00:22:57.528]  Without cutting, bleeding, drugs, or damaging radiation.
[00:22:57.708 --> 00:23:05.856]  We can kill skin cancer and breast tumors of any size and many other types of cancer without adverse side effects at our outpatient facility.
[00:23:06.017 --> 00:23:09.080]  We offer a real solution using real science.
[00:23:09.480 --> 00:23:13.264]  Our unique approach to cancer treatment is what everyone has been waiting for.
