[00:00:00.049 --> 00:00:01.210]  SprayYourPlate.com.
[00:02:05.430 --> 00:02:11.092]  For information, go to 3stepplan.com or call 800-480-2102.
[00:02:12.112 --> 00:02:19.033]  If you'd like to put more money in your pocket and less in the gas tank, take a proactive approach to today's changing economy.
[00:02:19.193 --> 00:02:21.734]  Find out how you can make more money working from home.
[00:02:22.014 --> 00:02:27.838]  Go to 3stepplan.com or call 800-480-2102.
[00:02:30.200 --> 00:02:39.686]  Maine could see wind gusts up to 60 miles per hour and waves up to 20 feet from Hurricane Kyle according to the state's emergency management agency director.
[00:02:40.227 --> 00:02:47.712]  The storm has triggered Maine's first hurricane watch in 17 years as it roars over the Atlantic on a northward track toward Nova Scotia.
[00:02:48.357 --> 00:02:51.038]  Stacy Stewart is with the National Hurricane Center.
[00:02:51.138 --> 00:02:56.599]  Kyle is still a Category 1 hurricane with maximum sustained winds of around 75 miles per hour.
[00:02:57.199 --> 00:03:03.841]  And we expect little change in the overall strength of this system for the next 12 to maybe 24 hours.
[00:03:05.341 --> 00:03:16.364]  Sounds from China where people in mission control clap as Chinese Shenzhou 7 spacecraft arrives back on Earth following its successful attempt at the country's first ever spacewalk.
[00:03:17.154 --> 00:03:23.647]  Astronauts called it a glorious mission, and the premier calls it a stride forward in China's space history.
[00:03:24.108 --> 00:03:27.534]  For more news and analysis, log on to IRNnews.com.
[00:03:29.605 --> 00:03:31.326]  Coming soon to a neighborhood near you.
[00:03:31.626 --> 00:03:32.727]  Grass and weed allergens.
[00:03:32.947 --> 00:03:34.347]  They're headed in your direction.
[00:03:34.467 --> 00:03:37.389]  So when your allergies start to get bad, get Claritin Clear.
[00:03:37.629 --> 00:03:41.831]  Non-drowsy Claritin D relieves all your toughest allergy symptoms like runny nose and sneezing.
[00:03:41.971 --> 00:03:48.414]  And nothing works stronger, faster, or longer than Claritin D to relieve your worst congestion and sinus pressure without making you drowsy.
[00:03:48.494 --> 00:03:51.216]  When you're Claritin Clear, you can make the most of your time outdoors.
[00:03:51.236 --> 00:03:54.677]  24-hour non-drowsy Claritin D. Live Claritin Clear.
[00:03:54.897 --> 00:03:58.219]  Use as directed among non-drowsy 24-hour OTC allergy products.
[00:04:00.080 --> 00:04:02.821]  The Phillies are the National League East champions.
[00:04:03.321 --> 00:04:04.561]  Here's Michael Luongo.
[00:04:04.881 --> 00:04:11.403]  The Phillies captured their second consecutive National League Eastern Division championship with a 4-3 victory over the Nationals.
[00:04:11.743 --> 00:04:18.745]  But off he got sacrifice flies from Pat Burrell and Carlos Ruiz in the fourth, a solo home run by Jason Worth in the fifth.
[00:04:31.607 --> 00:04:36.508]  Two playoff spots are still open on this final scheduled day of the Major League Baseball season.
[00:04:36.888 --> 00:04:41.669]  The New York Mets and the Milwaukee Brewers are tied for the National League Wild Card.
[00:04:42.249 --> 00:04:47.750]  While the Chicago White Sox and Minnesota Twins are still battling for the American League Central title.
[00:04:48.502 --> 00:04:49.063]  The U.S.
[00:04:49.143 --> 00:04:54.630]  military has given Israel a sophisticated radar to track incoming Iranian missiles.
[00:04:55.251 --> 00:04:56.132]  Here's Mark Levy.
[00:04:56.292 --> 00:05:00.377]  It's a concrete sign of the level of seriousness of the threats of Iran against Israel.
[00:05:00.758 --> 00:05:03.381]  Iran's president keeps threatening to wipe Israel off the map.
[00:05:03.925 --> 00:05:07.367]  The new radar can spot an Iranian missile a thousand miles away.
[00:05:07.547 --> 00:05:10.928]  And Barack Obama and Joe Biden will be back in Michigan today.
[00:05:11.528 --> 00:05:15.250]  A recent poll suggests Obama has a commanding lead in the state.
[00:05:15.770 --> 00:05:20.472]  John McCain is joining ABC News for a town hall meeting in Columbus, Ohio.
[00:05:20.833 --> 00:05:22.553]  Sarah Palin has nothing scheduled.
[00:05:23.554 --> 00:05:28.176]  I'm Jody Jordan, and that's news from the Information Radio Network.
[00:05:30.352 --> 00:05:33.734]  Are you sick and tired of spending your hard-earned money to fill your gas tank?
[00:05:34.054 --> 00:05:35.415]  Then do something about it!
[00:05:35.715 --> 00:05:41.199]  Fuel Saver's Fuel Conditioner lets you drive further on each gallon of fuel, completely safe for all engines.
[00:05:41.319 --> 00:05:48.905]  Just add a small squeeze of product to your tank each time you fill up to improve your fuel economy 10 to 20 percent or more, saving you 35 to 80 cents on every gallon.
[00:05:50.806 --> 00:05:58.132]  Each little two ounce squeeze bottle is highly concentrated and costs only $8 to treat 100 gallons of gas or 50 gallons of diesel.
[00:05:58.392 --> 00:06:02.295]  Buy a case and the price drops to a mere $6 per bottle with free shipping.
[00:06:02.395 --> 00:06:06.418]  Be one of the first 10 orders and get an additional 10% off your case purchase.
[00:06:06.478 --> 00:06:07.839]  That's $5.40 to treat 100 gallons of gas.
[00:06:09.921 --> 00:06:14.104]  Call toll free 866-768-7811 or get more information at fuelsaverinc.com.
[00:06:14.124 --> 00:06:15.664]  First 10 orders, save 10% on a case purchase.
[00:06:15.704 --> 00:06:16.605]  Act now to save on fuel 866-768-7811.
[00:06:16.645 --> 00:06:16.965]  Call now!
[00:06:16.985 --> 00:06:18.606]  A fresh translation of Italian.
[00:06:43.642 --> 00:06:44.943]  He stands for truth.
[00:06:46.403 --> 00:06:48.224]  He stands for justice.
[00:06:49.604 --> 00:06:51.964]  He stands for what's right.
[00:06:52.044 --> 00:06:54.365]  This is the Alex Jones Show.
[00:06:55.345 --> 00:06:58.306]  Call Alex now, toll free at 877-590-5525.
[00:06:58.586 --> 00:07:02.287]  Now live from Austin, Texas.
[00:07:06.906 --> 00:07:11.147]  Here's Alex Jones.
[00:07:13.568 --> 00:07:36.014]  Well, ladies and gentlemen, as we close out the last few days of September on this live Sunday edition, going on across the country on the AM and FM dial, satellitetheinternetatinfowars.com and, of course, Global Shortwave, it is Sunday and we're very glad that you decided to spend some time with us.
[00:07:37.679 --> 00:07:49.954]  There are so many facets and angles and levels of deception to what is popularly known as the bailout, the financial bailout.
[00:07:50.896 --> 00:07:52.618]  Number one, it is not a bailout.
[00:07:53.940 --> 00:07:58.662]  It is a new branch of government being created, a new private branch.
[00:07:58.702 --> 00:08:19.930]  The Treasury becomes private, a private mega hedge fund slash central bank, and it gives complete and total criminal pardons to anyone who has committed any type of crime in the financial system if the Secretary of the Treasury says that that is the case.
[00:08:22.150 --> 00:08:30.217]  I mean, I'm hearing people all over talk radio finally waking up that George Bush isn't a good conservative and that George Bush is a puppet and runs absolutely nothing.
[00:08:30.237 --> 00:08:31.378]  They're also waking up to that.
[00:08:31.958 --> 00:08:38.824]  The left is waking up as well, but only to one layer of the proverbial onion.
[00:08:39.784 --> 00:08:43.227]  Only to a small fraction of it.
[00:08:44.288 --> 00:08:49.993]  Bloomberg Financial, of all places, has been reporting that the bailout is more like five trillion dollars.
[00:08:52.596 --> 00:08:59.559]  Also, Bloomberg is reporting today that the banks are faking a liquidity crisis.
[00:09:00.079 --> 00:09:01.060]  Well, of course they are.
[00:09:01.760 --> 00:09:12.405]  They're the authors of this massive fraud, and the whole point of the Ponzi scheme is to fleece the schmucks as much as you can.
[00:09:15.926 --> 00:09:16.967]  So we'll get into that.
[00:09:17.327 --> 00:09:19.388]  Also, it's a red herring.
[00:09:20.909 --> 00:09:21.669]  A big red herring.
[00:09:22.717 --> 00:09:29.600]  There has been close to a trillion dollars pumped into banks, that is U.S.
[00:09:29.620 --> 00:09:35.903]  taxpayer money, in the last year and a half since this crisis supposedly started.
[00:09:35.923 --> 00:09:37.704]  A contrived stage crisis.
[00:09:37.724 --> 00:09:41.126]  We told you several years before that, that they would stage the crisis.
[00:09:41.166 --> 00:09:47.129]  We even mentioned it would be in subprime mortgages because we actually happen to track the global elite and what they're up to.
[00:09:50.564 --> 00:09:59.711]  But just in the last week, Reuters reports an average of $188 billion per day.
[00:10:01.332 --> 00:10:03.293]  This came out Friday night from Reuters.
[00:10:03.373 --> 00:10:07.837]  Steve Watson did a great report up on PrisonPlanet.com and InfoWars.net on it.
[00:10:09.058 --> 00:10:13.621]  Bank borrowing from Fed already exceeded bailout total in one week.
[00:10:13.641 --> 00:10:14.682]  $188 billion per day!
[00:10:19.204 --> 00:10:35.852]  Meanwhile, they have you debating a $700 billion bailout to make you think you're part of the process, to confuse the simple-minded public that kind of halfway pays attention to things.
[00:10:35.872 --> 00:10:38.013]  Oh, do you want a $700 billion bailout?
[00:10:38.193 --> 00:10:39.874]  But that's a lie itself!
[00:10:41.335 --> 00:10:43.196]  This is a complete
[00:10:44.964 --> 00:10:55.308]  And total blank check to commit crimes in the future and a pardon for all of the crimes that have been committed in the past by the very private banks.
[00:10:56.268 --> 00:10:58.409]  You know, the international bankers we talk so much about.
[00:10:59.029 --> 00:11:06.312]  The public was trained, didn't exist, and was trained to giggle and smirk at in the New World Order as presidents and prime ministers called for it.
[00:11:08.092 --> 00:11:09.473]  You were taught it didn't exist.
[00:11:10.362 --> 00:11:16.309]  So that you wouldn't have to use your feeble little minds to think about it in the words of the New World Order, not in my words.
[00:11:16.809 --> 00:11:21.654]  They call you cattle, they call you slaves, they write books about how stupid you are, laughing at you.
[00:11:23.096 --> 00:11:28.822]  Bank borrowing from Fed already exceeded bailout total in last week, so you're debating that.
[00:11:29.978 --> 00:11:30.218]  U.S.
[00:11:30.258 --> 00:11:42.866]  banks borrowed $188 billion per day on average in the last week from the Federal Reserve, meaning that the Fed loaned out more than the Treasury's proposed bailout in just one week, still barely managing to keep the economy afloat.
[00:11:44.647 --> 00:11:46.788]  That is long enough to fully suck all the blood out.
[00:11:47.449 --> 00:11:55.174]  Federal Reserve data showed Thursday the total amount banks borrowed nearly quadrupled from the previous $47.97 billion per day
[00:11:57.967 --> 00:12:01.488]  Not just the week before Reuters reports.
[00:12:01.728 --> 00:12:17.094]  $188 billion per day on average over the course of five days means the total amount borrowed from the Fed in the week ending the 24th of September stood at $940 billion in one week.
[00:12:17.394 --> 00:12:21.555]  And they count it Sunday night through Thursday evening is how the banking numbers work.
[00:12:21.935 --> 00:12:25.016]  A figure that easily eclipsed the proposed $700 billion bailout.
[00:12:25.356 --> 00:12:26.617]  That is a smokescreen!
[00:12:28.041 --> 00:12:30.882]  Sunday, last Sunday, seven days ago, they met in secret.
[00:12:32.302 --> 00:12:39.704]  The private Federal Reserve heads, their puppet, the head of Goldman Sachs, stealing hundreds of billions a day for his company, openly.
[00:12:40.285 --> 00:12:41.505]  Total conflict of interest.
[00:12:41.965 --> 00:12:46.806]  They met and then Monday we got the plan and it said, clearly, no one can investigate this.
[00:12:47.087 --> 00:12:48.187]  No one can even look at this.
[00:12:48.267 --> 00:12:49.507]  No one can talk about this.
[00:12:49.907 --> 00:12:51.588]  Any crimes, any felonies.
[00:12:52.870 --> 00:12:55.312]  You are given total immunity and perpetuity.
[00:12:55.352 --> 00:12:56.053]  It says it!
[00:12:56.833 --> 00:12:58.314]  Go read it, it's all over the news.
[00:13:00.396 --> 00:13:05.540]  It said they can seize your houses, seize any infrastructure they want, they can take over any banks they want.
[00:13:05.600 --> 00:13:06.121]  Oh, that's another...
[00:13:07.265 --> 00:13:08.085]  Wrinkled the scam.
[00:13:08.125 --> 00:13:17.109]  It allows this central coterie, this select group of criminal bankers to use federal regulators to go grab Washington Mutual, the biggest bank to fail in U.S.
[00:13:17.149 --> 00:13:17.489]  history.
[00:13:17.729 --> 00:13:18.969]  Biggest in world history, by the way.
[00:13:19.449 --> 00:13:20.030]  Not just U.S.
[00:13:20.070 --> 00:13:20.370]  history.
[00:13:20.630 --> 00:13:21.650]  They go and grab that.
[00:13:21.710 --> 00:13:22.871]  They grab whatever they want.
[00:13:23.071 --> 00:13:25.052]  They pay whatever they want for the assets.
[00:13:25.332 --> 00:13:26.752]  They steal your assets.
[00:13:26.792 --> 00:13:27.352]  They do it.
[00:13:27.592 --> 00:13:29.033]  It's just mass criminality.
[00:13:30.213 --> 00:13:31.574]  So there's that going on, too.
[00:13:32.546 --> 00:13:40.130]  And, uh, never forget that in the last week they stole nine hundred plus billion.
[00:13:42.231 --> 00:13:49.274]  Nine hundred plus billion, and they've got you talking about seven hundred billion.
[00:13:49.534 --> 00:13:53.936]  Which, if you really read it, it's at least five trillion conservatively.
[00:13:54.897 --> 00:13:57.738]  At least five trillion conservatively.
[00:13:58.999 --> 00:14:06.061]  So see, you got the public going, that's it, I'm not bailing them out for $700 billion, I'm putting my foot down right now!
[00:14:06.881 --> 00:14:15.204]  I hear it all over talk radio, I'm going to start this and that, I'm going to start blasting, I'm going to start... I hear it on Mainline, I hear it on Rush Limbaugh, people talking about shooting.
[00:14:15.684 --> 00:14:18.405]  I heard people talking about it on Sean Hannity, I heard it everywhere.
[00:14:19.125 --> 00:14:22.006]  And suddenly, it's being accepted.
[00:14:22.266 --> 00:14:27.988]  No, we don't need behavior like that, and sit down and realize really what's going on.
[00:14:29.068 --> 00:14:44.119]  While you're busy looking at the puppet they held up in front of you, or the red cape they held up in front of you, like you're some mindless bovine bull, some beast, nine hundred plus billion was stolen.
[00:14:45.680 --> 00:14:47.562]  Now that's Reuters reporting that.
[00:14:49.143 --> 00:14:50.183]  That's what's been taken out.
[00:14:51.785 --> 00:14:53.186]  Now, on top of this,
[00:14:55.183 --> 00:14:56.505]  I mean, there's just so many facets.
[00:14:56.525 --> 00:14:57.706]  It's just amazing.
[00:14:58.247 --> 00:15:13.003]  While everybody's been busy watching this happen, and they've doubtedly agreed on the bloodletting, which is $5 trillion, not $700 billion, close to a trillion stolen just last week, that you will pay for with interest,
[00:15:14.426 --> 00:15:21.571]  The Democrats just dropped a tiny little bit of socialism for the people, which I would normally be against, but compared to the stuff for the bankers, it's nothing.
[00:15:21.972 --> 00:15:30.718]  You know, that just maybe a judge might give you a chance to renegotiate, or you might get a little bit of aid somehow, at least a pat on the head as you were thrown off the cliff.
[00:15:33.860 --> 00:15:35.642]  No, you get absolutely nothing.
[00:15:35.662 --> 00:15:36.682]  That's Associated Press.
[00:15:36.722 --> 00:15:39.885]  Dems dropped mortgage help for homeowners from banker bailout.
[00:15:40.988 --> 00:15:44.509]  And yes, ladies and gentlemen, they passed the biggest U.S.
[00:15:44.549 --> 00:15:49.631]  defense budget, over $1 trillion with almost no fanfare.
[00:15:49.991 --> 00:15:53.793]  Just seven years ago, the defense budget was $430-something billion.
[00:15:54.113 --> 00:15:59.695]  Now it's over a trillion dollars, not to mention another $500 billion off the military budget.
[00:15:59.995 --> 00:16:01.096]  A trillion and a half!
[00:16:01.616 --> 00:16:03.777]  The military budget is now half the U.S.
[00:16:03.817 --> 00:16:04.757]  GDP a year.
[00:16:07.233 --> 00:16:13.138]  And it only expands, it only intensifies, it's only growing that much faster.
[00:16:14.539 --> 00:16:20.824]  So we'll come back and run over all the facts and how if you don't like it, they're going to use the military and police on you.
[00:16:21.044 --> 00:16:23.486]  That's what the police state was geared up for, as I told you years ago.
[00:16:23.847 --> 00:16:26.949]  So you can't stop them from taking your pension fund.
[00:16:27.029 --> 00:16:27.670]  We'll be right back.
[00:16:31.468 --> 00:16:32.508]  Hi, this is Ted Anderson.
[00:16:32.909 --> 00:16:38.390]  Have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold for your IRA?
[00:16:38.970 --> 00:16:39.471]  That's right.
[00:16:39.791 --> 00:16:42.071]  Gold has been available to be placed in IRAs since 1986.
[00:16:43.472 --> 00:16:49.554]  Yet still, the financial industry refuses to recognize the value of real hard assets for your retirement.
[00:16:50.114 --> 00:16:57.799]  The truth be told, gold and silver has outperformed paper investments like stocks, bonds, and CDs, yet no word about IRAs.
[00:16:58.239 --> 00:17:03.102]  Perhaps the financial institutions want to maintain control of your assets by keeping you in paper.
[00:17:03.722 --> 00:17:08.746]  If you'd like to take a look at gold for your retirement, call 800-686-2237.
[00:17:09.546 --> 00:17:13.669]  Don't get left behind by rising inflation and low return on your paper investments.
[00:17:14.069 --> 00:17:14.309]  Call 800-686-2237.
[00:17:14.329 --> 00:17:16.150]  Make sure that you secure your future.
[00:17:19.392 --> 00:17:19.652]  Call 800-686-2237.
[00:17:19.672 --> 00:17:19.873]  That's 1-800-686-2237.
[00:17:31.522 --> 00:17:33.423]  We live in a world of vanishing privacy.
[00:17:33.663 --> 00:17:41.188]  The added threat of invisible radio waves sending out personal information to anyone willing to receive them makes our privacy as citizens even less secure.
[00:17:41.508 --> 00:17:44.990]  The RFID tags and ID cards have been proven to be not secure.
[00:17:45.250 --> 00:17:48.953]  Thieves are able to read information stored on these tags to steal your identity.
[00:17:49.433 --> 00:17:54.736]  Protect yourself from ID theft with our RFID blocker, available as a wallet or passport case.
[00:17:56.357 --> 00:17:58.578]  ProSpy.com offers simple, affordable personal protection.
[00:17:58.978 --> 00:18:03.019]  Many countries, including the U.S., have begun to institute RFID and passports.
[00:18:03.260 --> 00:18:04.180]  Why take a chance?
[00:18:04.420 --> 00:18:06.281]  This is your personal information.
[00:18:06.441 --> 00:18:07.201]  Protect yourself.
[00:18:07.421 --> 00:18:16.164]  ProSpy.com also offers a complete selection of spy gear and security equipment, including bug detectors, camera finders, countermeasure equipment, and night vision gear.
[00:18:16.664 --> 00:18:20.966]  ProSpy.com is your source for high quality spy and security equipment.
[00:18:21.346 --> 00:18:23.750]  Visit us online at ProSpy.com.
[00:18:23.991 --> 00:18:25.493]  That's ProSpy.com today!
[00:18:30.063 --> 00:18:34.344]  Are you fed up with all the side effects of chemicals in your shampoos and detergents?
[00:18:34.584 --> 00:18:39.485]  Even fragrances can signal some 4,000 separate ingredients, most of which are synthetic.
[00:18:39.685 --> 00:18:41.086]  Hi folks, Alex Jones here.
[00:18:41.186 --> 00:18:44.666]  Why not go back to basics and be safe with Calbin Pure Soaps?
[00:18:44.806 --> 00:18:49.968]  They're all natural and you'll save some 85% the money you're spending for your cleaning products now.
[00:18:50.208 --> 00:18:55.989]  Marty Schachter founded Calbin Soap Company in 1947 and provided products for health institutions.
[00:18:56.329 --> 00:18:58.811]  Now, Calvin Soaps are available to you and me.
[00:18:58.851 --> 00:19:01.152]  Triple concentrated for all your cleaning needs.
[00:19:01.352 --> 00:19:03.514]  From bathing and laundry to dishes, hair and more.
[00:19:03.794 --> 00:19:04.754]  No harsh chemicals.
[00:19:04.994 --> 00:19:05.915]  No animal testing.
[00:19:06.175 --> 00:19:07.476]  I use them and love them.
[00:19:07.516 --> 00:19:09.097]  Knowing they're all natural and safe.
[00:19:09.397 --> 00:19:10.498]  And I say big time.
[00:19:10.818 --> 00:19:12.399]  Call Calvin Pure Soap at 1-800-340-7091.
[00:19:12.519 --> 00:19:12.879]  That's 1-800-340-7091.
[00:19:12.899 --> 00:19:15.541]  Or log on to 5starsoap.com now for a free catalog.
[00:19:22.305 --> 00:19:24.789]  Again, that number 1-800-340-7091 or 5starsoap.com for all your cleaning needs.
[00:19:29.582 --> 00:19:36.468]  Drink and Mate proudly presents another mind-boggling episode of America's toughest quiz show, That's Too Complicated!
[00:19:36.809 --> 00:19:42.434]  Let's see if we can figure out which contestant got the intellectual edge after an evening of partying by using Drink and Mate!
[00:19:42.554 --> 00:19:50.060]  For 20 points in the wind, Milt, Glur-5 and blank kinate receptor subunits in hippocampal neurons co-assemble to form functional receptors.
[00:19:50.421 --> 00:19:51.602]  Uh, uh, Pony?
[00:19:52.923 --> 00:19:53.924]  Oh, too bad!
[00:19:54.424 --> 00:19:54.965]  Yes, Chip!
[00:19:55.692 --> 00:19:58.275]  The illogical companion of Glur 5, Glur 6.
[00:19:59.377 --> 00:20:00.418]  You've won the game!
[00:20:00.718 --> 00:20:02.060]  Hey, life is like a game.
[00:20:02.240 --> 00:20:04.923]  And if you want to win, you've got to give it your best every day.
[00:20:05.064 --> 00:20:08.428]  Which doesn't always happen after an evening of celebrating with friends and family.
[00:20:08.628 --> 00:20:12.693]  That's why there's Drink and Mate, a patented formula of guava leaf extract.
[00:20:12.793 --> 00:20:15.174]  You're listening to GCN, the Genesis Communications Radio Network.
[00:20:44.250 --> 00:20:45.872]  Okay, we are back live.
[00:20:46.892 --> 00:20:50.055]  I've got Webster Tarpley joining us.
[00:20:51.597 --> 00:20:53.738]  Immediately, Friday night, I thought of him.
[00:20:53.759 --> 00:20:57.502]  Author, researcher, political scientist.
[00:20:59.406 --> 00:21:14.796]  When I saw news reports out of Illinois, out of Missouri, out of other areas, confirming what he predicted like a year ago, when Barack Obama was still a little known, he was saying Barack Obama will be their candidate, he will bring in fascism to the U.S.
[00:21:14.856 --> 00:21:19.038]  And, you know, Tarpley's more of a progressive leftist, so he doesn't like to be put in boxes.
[00:21:19.759 --> 00:21:25.883]  And then just everything he said about it keeps coming true, and now they're arresting people that criticize Barack Obama.
[00:21:26.503 --> 00:21:27.824]  You cannot make this up.
[00:21:28.730 --> 00:21:30.003]  You cannot make this up.
[00:21:30.064 --> 00:21:30.407]  In fact...
[00:21:31.284 --> 00:21:36.485]  We have the stories up on Infowars.com right now for anyone that is doubting me.
[00:21:36.505 --> 00:21:38.426]  And I do want to get the Missouri Governor on.
[00:21:38.926 --> 00:21:40.566]  He is calling it a police state.
[00:21:41.026 --> 00:21:46.328]  He is calling it just the most egregious form of tyranny he's ever seen in the United States.
[00:21:47.108 --> 00:21:56.190]  Missouri Governor Matt Blunt, it's on the front page of the Governor's website, says Matt Blunt today issued the following statement on news reports that have exposed plans by U.S.
[00:21:56.230 --> 00:22:00.451]  Senator Barack Obama to use Missouri law enforcement to threaten and intimidate his critics.
[00:22:01.411 --> 00:22:03.931]  And I didn't believe this Friday when I saw it on the news.
[00:22:04.892 --> 00:22:10.273]  I made phone calls to the Barack Obama campaign in three different states, and they said, yes!
[00:22:10.913 --> 00:22:16.274]  They said, if you basically criticize Barack Obama and we don't think it's accurate, we're going to have you arrested.
[00:22:16.854 --> 00:22:17.834]  You can't do that!
[00:22:18.034 --> 00:22:18.974]  It's the First Amendment.
[00:22:19.014 --> 00:22:27.535]  I mean, if you can claim some civil issue and go that route, but... And again, I'm not going to... I can't vote for John McCain.
[00:22:27.575 --> 00:22:30.596]  They're both puppets, but stuff like this, I mean...
[00:22:31.954 --> 00:22:39.927]  Just when I think it can't get any worse and more bizarre and crazy and they've got all these cops and prosecutors and DA's on these newscasts.
[00:22:39.947 --> 00:22:41.430]  I've got one of the clips I want to play later.
[00:22:42.216 --> 00:22:45.197]  Saying, oh yes, you're not allowed to talk bad about him, we'll arrest you.
[00:22:45.498 --> 00:22:48.279]  I mean, I'm living in total fruitcake land.
[00:22:48.339 --> 00:22:49.820]  That is not the American way.
[00:22:50.400 --> 00:22:55.062]  Homeland Security putting brain scanning cameras up now in major cities, not just airports.
[00:22:55.102 --> 00:22:55.903]  That isn't freedom.
[00:22:56.363 --> 00:22:59.384]  CPS kidnapping of over a million kids a year in the U.S.
[00:22:59.424 --> 00:23:00.425]  without due process.
[00:23:00.765 --> 00:23:01.985]  That's not the American way.
[00:23:02.966 --> 00:23:06.528]  Cops crawling out our ears just everywhere is not the American way.
[00:23:07.228 --> 00:23:09.009]  Open borders is not the American way.
[00:23:09.029 --> 00:23:11.150]  You know, it's hard to get out, but it's easy to get in.
[00:23:12.887 --> 00:23:14.109]  I just can't handle it anymore.
[00:23:14.990 --> 00:23:15.872]  So that's coming up.
[00:23:17.194 --> 00:23:18.756]  I mean, it's really getting Twilight Zone.
[00:23:18.776 --> 00:23:26.709]  I thought it must have been some type of hoax or something, but no, the Barack Obama campaign is very proud of it and is signaling that this is the future of America.
[00:23:27.809 --> 00:23:45.385]  uh... so of course john mccain says he wants to use troops on the streets of america to fight crime there's gun confiscation going on in illinois using regular army the regular armies announced in army times are going to be patrolling the united states to quote deal with uh... rioters and then they say we hope we don't have to shoot u.s.
[00:23:45.445 --> 00:23:55.113]  citizens it looked at the country's going to hell in a handbasket like i always told you they were setting it up for but it's one thing to know they're setting up another thing to see it happening
[00:23:56.838 --> 00:23:59.979]  Let me be very calm here about the bailout and just walk through the facts here.
[00:24:01.119 --> 00:24:03.380]  A. It is not a financial bailout.
[00:24:05.821 --> 00:24:19.745]  The private Federal Reserve that took over our government in 1913 issues the liquidity and issues trillions of dollars of it to their own private companies.
[00:24:20.305 --> 00:24:24.967]  The private shareholders that own the private Federal Reserve have issued tens of trillions of dollars
[00:24:26.323 --> 00:24:36.492]  ...of liquidity over the last 80-something years, most of it ballooning here at the end, accelerating the amount they've given themselves as the value of the currencies devalued.
[00:24:36.893 --> 00:24:46.221]  And they bought up railways and infrastructure and mines and media companies and defense establishment and endowed all the major universities.
[00:24:47.322 --> 00:24:49.885]  That's what they've done for the last 80-plus years.
[00:24:50.922 --> 00:25:01.169]  Now they're at the final phase of just blowing the currency out, killing the currency, and then signing the American people contractually on to pay for that.
[00:25:01.869 --> 00:25:14.738]  They've already fenced the assets they bought, when the currency was still valuable, when the liquidity was still valuable, they fenced that into global infrastructure to set up and build and finance their world corporate government, known as the New World Order.
[00:25:16.232 --> 00:25:17.273]  And they brag about all this.
[00:25:17.333 --> 00:25:18.154]  All this is public.
[00:25:18.174 --> 00:25:19.195]  This is not even secret.
[00:25:19.235 --> 00:25:20.677]  It's just not going to be on your nightly news.
