[00:00:00.009 --> 00:00:01.650]  Waging war on corruption!
[00:03:26.005 --> 00:03:30.087]  But for the elite, it is world government, total control, a form of tyranny.
[00:03:32.442 --> 00:03:44.494]  Czech President Klaus said today he is ready to debate Al Gore about global warming and he, as he presented the English version of his latest book that argues environmentalism poses a threat to basic human freedoms,
[00:03:46.454 --> 00:03:55.740]  I many times tried to talk to the public, exchange of views with him, and he's not too much willing to make such a conversation, Klaus said, so I'm ready to do it.
[00:03:56.500 --> 00:04:02.324]  Klaus is speaking at the National Press Building in Washington to present his new book, Blue Planet in Green Shackles.
[00:04:02.904 --> 00:04:03.385]  And that's it.
[00:04:03.485 --> 00:04:11.733]  Total police control, total prison for everybody, total carbon footprint, global tax, you gotta swipe your card, everything you buy being tracked.
[00:04:11.833 --> 00:04:16.377]  I mean, we got somebody coming on next week in Britain, about to have that passed.
[00:04:16.878 --> 00:04:17.819]  Kind of guess we're bringing you.
[00:04:18.039 --> 00:04:21.162]  And then I tell Neocon listeners this, and they go, that ain't true!
[00:04:21.382 --> 00:04:22.544]  That's not gonna happen!
[00:04:23.004 --> 00:04:25.166]  Oh, I just read it in UN official meetings.
[00:04:25.186 --> 00:04:26.167]  They're not even secret in 2000.
[00:04:28.260 --> 00:04:29.360]  Everything I say comes true.
[00:04:30.160 --> 00:04:30.601]  All of it.
[00:04:30.641 --> 00:04:30.961]  Why?
[00:04:31.321 --> 00:04:33.121]  I'm reading official policy reports!
[00:04:33.561 --> 00:04:36.762]  In 96 they said the NSA was taking over the phone companies.
[00:04:36.982 --> 00:04:37.962]  Entire floors.
[00:04:38.222 --> 00:04:39.302]  Everything's wired through them.
[00:04:39.923 --> 00:04:44.223]  Of course then it came out later that whole floors of all the phone companies are NSA.
[00:04:44.463 --> 00:04:47.904]  It was admitted in the Telecommunications Act, like everything else!
[00:04:52.545 --> 00:04:53.946]  It is a big idea.
[00:04:55.026 --> 00:04:56.026]  A new world order.
[00:04:56.773 --> 00:05:01.976]  In the near future, Earth is dominated by a powerful world government.
[00:05:02.016 --> 00:05:03.436]  It's known as the Builderberg.
[00:05:03.657 --> 00:05:05.237]  All right, Mr. Gage is all set.
[00:05:05.838 --> 00:05:06.738]  Ah.
[00:05:08.099 --> 00:05:11.621]  Over the phone companies, entire floors, everything's wired through them.
[00:05:12.221 --> 00:05:16.543]  Of course then it came out later that whole floors of all the phone companies are NSA.
[00:05:16.763 --> 00:05:23.266]  It was admitted in the Telecommunications Act, like everything else!
[00:05:24.787 --> 00:05:26.128]  It is a big idea.
[00:05:27.245 --> 00:05:28.306]  A New World Order.
[00:05:29.006 --> 00:05:33.288]  In the near future, Earth is dominated by a powerful world government.
[00:05:33.888 --> 00:05:36.070]  It's known as the Bilderberg Group.
[00:05:36.730 --> 00:05:38.951]  Couldn't their objective be world domination?
[00:05:39.531 --> 00:05:41.993]  For thousands of years, their dark order grew.
[00:05:42.713 --> 00:05:50.017]  Now, as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[00:05:53.047 --> 00:05:58.030]  For the first time in history, the elite's plan for world government is blown wide open.
[00:05:58.511 --> 00:06:01.993]  You will learn the secret that drives the entire New World Order agenda.
[00:06:02.373 --> 00:06:04.835]  Bill Burgess is making great progress toward a world government.
[00:06:04.935 --> 00:06:06.076]  Most people have no idea.
[00:06:06.096 --> 00:06:06.856]  They're not after money.
[00:06:06.876 --> 00:06:07.957]  They have all the money they need.
[00:06:08.157 --> 00:06:08.878]  They're after power.
[00:06:09.138 --> 00:06:10.138]  That's what they're after.
[00:06:10.299 --> 00:06:14.822]  Order Endgame on DVD at PrisonPlanet.com or InfoWars.com.
[00:06:15.042 --> 00:06:18.524]  Or watch it online right now at PrisonPlanet.tv.
[00:06:19.024 --> 00:06:19.385]  Endgame.
[00:06:19.765 --> 00:06:21.306]  Blueprint for global enslaving.
[00:06:21.806 --> 00:06:22.847]  You have been warned.
[00:06:22.927 --> 00:06:23.908]  We're good.
[00:06:40.001 --> 00:06:43.642]  The package contains six DVDs that contain ten different programs.
[00:06:43.962 --> 00:06:47.562]  Two books that combined are over a thousand pages and other information.
[00:06:47.882 --> 00:06:51.003]  Order now at our website mostholyfamilymonastery.com.
[00:06:51.223 --> 00:06:55.184]  That's mostholyfamilymonastery.com.
[00:06:55.464 --> 00:06:59.365]  The last word monastery is spelled M-O-N-A-S-T-E-R-Y.
[00:06:59.665 --> 00:07:00.145]  Or call us at 1-800-275-1126.
[00:07:00.165 --> 00:07:00.365]  That's 1-800-275-1126.
[00:07:07.666 --> 00:07:13.090]  Or mail in your order to us at 4425 Schneider Road, Fillmore, NY 14735.
[00:07:13.850 --> 00:07:17.553]  The total cost for this massive package of information is only $10.
[00:07:17.593 --> 00:07:19.214]  $15 for UPS ground or $30 outside the U.S.
[00:07:23.208 --> 00:07:26.150]  Have you ever thought about what's in your shampoo, soap, or detergent?
[00:07:26.310 --> 00:07:31.533]  How about chlorides, dyes, ethanol, sulfates, sodium, formaldehydes, and more?
[00:07:31.833 --> 00:07:37.176]  Even fragrance can indicate the presence of some 4,000 separate ingredients, most of which are synthetic.
[00:07:37.557 --> 00:07:38.657]  Hi, this is Alex Jones.
[00:07:39.018 --> 00:07:47.923]  I was shocked when I discovered I could be inhaling these additives that can lead to coughing, wheezing, and shortness of breath, headaches, nausea, irritation of the skin, and mucous membranes.
[00:07:48.343 --> 00:07:51.585]  Well, he's the founder of Architects and Engineers for 9-11 Truth.
[00:07:51.685 --> 00:07:52.766]  He's Richard Gage.
[00:07:52.806 --> 00:07:54.527]  He is a degreed architect-engineer.
[00:08:18.397 --> 00:08:22.559]  And he's gotten, I don't know, last time I talked to him, 300 architects and engineers assigned him to his group.
[00:08:22.880 --> 00:08:23.860]  I don't know what it is now.
[00:08:24.220 --> 00:08:26.702]  He is a big part of our new film, Truth Rising.
[00:08:27.962 --> 00:08:32.164]  And you can see the full interview at PrisonPlanet.tv we did with him.
[00:08:32.545 --> 00:08:34.005]  Clips of that are all over the web.
[00:08:34.246 --> 00:08:37.908]  One of the more popular interviews he's done covers a lot of the basic info.
[00:08:37.928 --> 00:08:45.832]  We're getting to some of how they blew the towers up and why they did it and new evidence that's come out and how they're trying to debunk things and how they've now gotten peer-reviewed studies and
[00:08:46.374 --> 00:08:48.629]  We've gotten things published and peer-reviewed.
[00:08:50.051 --> 00:08:51.611]  Publications that are very prestigious.
[00:08:52.011 --> 00:08:55.152]  The globalists always move the goalposts.
[00:08:55.172 --> 00:08:57.833]  They say, you have no engineers or architects or physicists.
[00:08:57.853 --> 00:08:59.673]  Then we have hundreds and thousands total.
[00:09:00.173 --> 00:09:02.534]  And then, well, now you don't have any studies.
[00:09:02.554 --> 00:09:03.734]  Well, now they're not period review.
[00:09:03.754 --> 00:09:05.555]  Well, now it's not a super prestigious.
[00:09:05.595 --> 00:09:08.795]  Well, it's super prestigious, but, you know, just on and on.
[00:09:08.855 --> 00:09:14.297]  Or they'll lie and say NIST says fire did it, or the tank blew up, or the building fell into it.
[00:09:14.337 --> 00:09:16.037]  And no, NIST says it's none of those.
[00:09:16.137 --> 00:09:16.457]  None of those.
[00:09:16.497 --> 00:09:17.197]  Go read the report.
[00:09:17.517 --> 00:09:19.358]  The liars think that you won't go read it.
[00:09:19.918 --> 00:09:27.182]  Well, they think you're so dumb, they'll show you a report, the cover of it, and say it says one thing, when it doesn't really say that inside and say we're lying.
[00:09:27.622 --> 00:09:31.324]  I mean, they resort to every form of lying you can imagine.
[00:09:33.505 --> 00:09:36.027]  The good news here, though, is that
[00:09:37.779 --> 00:09:38.280]  We're winning.
[00:09:38.340 --> 00:09:41.704]  In every poll, in every number, on every front, the New World Order is in deep trouble.
[00:09:42.124 --> 00:09:44.727]  They're trying to say, the White House, that it's a conspiracy theory.
[00:09:44.747 --> 00:09:51.595]  The White House Press Secretary Scott McClellan has said they lied about the war and premeditatedly staged it all in propaganda.
[00:09:52.396 --> 00:09:54.799]  That is actually a whitewash itself.
[00:09:55.339 --> 00:10:10.568]  It's all come out in documents, it's all been admitted, we've covered it, that they staged the whole deal and lied about uranium and yellow cake and tubes and CIA reports said they don't have weapons, they're not a threat, Bush would falsify it and hold it up and say it says he's a threat and has nukes.
[00:10:12.242 --> 00:10:13.463]  Every line you can imagine.
[00:10:13.783 --> 00:10:14.743]  So you guys are blown.
[00:10:15.084 --> 00:10:17.345]  Now, I know you've devalued the dollar and you own everything.
[00:10:17.365 --> 00:10:19.466]  You've got a military and police that will follow orders.
[00:10:19.946 --> 00:10:20.867]  That's about all you've got.
[00:10:20.887 --> 00:10:35.455]  I mean, you've got all the wealth and your trillions in your bank accounts and you've got your whole system, but the people know you're terrorists, they know you're murderers, they know you carried out the attacks, they know you killed a million Iraqis, you want to kill a million Iranians, they know what you're doing.
[00:10:36.215 --> 00:10:38.296]  And they know it's both parties.
[00:10:38.897 --> 00:10:42.599]  This is the first time in our history that people have known that both parties are full of bull.
[00:10:43.339 --> 00:10:44.680]  So we now go to Richard Gage.
[00:10:45.400 --> 00:10:50.783]  Richard, first off, tell me, you're going to be in Chicago, then get into how big the group's gotten, some of the things you're up to.
[00:10:50.843 --> 00:10:58.267]  I want to get into the feds having congressional meetings and showing Al-Qaeda training tapes and cutting to you and your website as if it's connected.
[00:10:59.348 --> 00:11:01.669]  Just a lot of insane demonization going on.
[00:11:02.069 --> 00:11:03.190]  Good to have you on, Richard Gage.
[00:11:04.431 --> 00:11:05.091]  Thank you, Alex.
[00:11:05.171 --> 00:11:08.293]  It's fantastic to be here again with you, as always.
[00:11:08.313 --> 00:11:11.335]  I am just delighted.
[00:11:11.375 --> 00:11:17.599]  We have almost 400, actually, that by this time we might have tipped over the 400 mark.
[00:11:17.879 --> 00:11:32.267]  Architects and engineers demanding a new investigation of the three World Trade Center high-rise collapses on 9-11 based on the overwhelming evidence for controlled demolition of these three buildings.
[00:11:33.027 --> 00:11:33.788]  And, of course,
[00:11:34.440 --> 00:11:36.041]  Most people don't even know there was a third.
[00:11:36.101 --> 00:11:42.343]  Your listeners know they're unique among radio talk show host listeners out there.
[00:11:43.084 --> 00:11:54.248]  But in case there's somebody who doesn't know, there was a third building that day that came down into virtually its own footprint at free-fall speed, and we talk about that, that 47-story skyscraper.
[00:11:54.668 --> 00:12:01.211]  We'll be talking about it and the Twin Towers collapse in Chicago this Friday, May 30th at 7 p.m.
[00:12:04.884 --> 00:12:11.570]  At the Student Center East at the University of Illinois, University of Chicago.
[00:12:12.331 --> 00:12:15.013]  Anyway, 750 South Halstead.
[00:12:16.234 --> 00:12:19.377]  There's like a $7 admission or something like that.
[00:12:20.057 --> 00:12:23.720]  So we want everybody to fly to Chicago for this.
[00:12:25.262 --> 00:12:25.882]  If you can.
[00:12:26.363 --> 00:12:31.407]  Otherwise, I'll be in Minneapolis probably, I think August 1st we're looking at.
[00:12:32.046 --> 00:12:34.708]  And I'll be in Phoenix June 28th.
[00:12:35.749 --> 00:12:39.652]  And we have an interesting debate with Mark Roberts that's going to play.
[00:12:39.672 --> 00:12:42.354]  We're going to air that on June 18th.
[00:12:42.414 --> 00:12:47.237]  He's one of the so-called debunkers of the 9-11 Truth Movement.
[00:12:47.298 --> 00:12:48.859]  So that's going to be very interesting.
[00:12:49.639 --> 00:12:51.541]  But we're not stopping.
[00:12:52.401 --> 00:12:58.466]  I've spoken now since we launched our website one year ago on Memorial Day.
[00:12:59.113 --> 00:13:09.582]  Uh, we have, uh, been in, we've done 50 presentations in three dozen cities to groups of 100 to 600 people, and it just doesn't stop.
[00:13:09.722 --> 00:13:16.028]  Every architect or engineer that sees this information, once they get to the presentation, it's laid out for them.
[00:13:16.508 --> 00:13:26.137]  We talk about the microspheres, the tons of pulverized concrete to dust, the free fall speed of the collapse, uh, of all of these buildings, almost free fall.
[00:13:26.676 --> 00:13:30.557]  We have no floors found at the bottom of the Twin Towers.
[00:13:30.597 --> 00:13:32.078]  It goes on and on and on.
[00:13:32.158 --> 00:13:39.920]  It's just so obvious that they do see it, they do sign up, and we're expecting 1,000 architects and engineers by 9-11-2008.
[00:13:40.500 --> 00:13:49.343]  And we will present that in a major way on that date to Congress and to major press releases.
[00:13:50.363 --> 00:13:52.124]  We're very, very excited about that.
[00:13:53.195 --> 00:13:55.037]  The momentum just continues.
[00:13:55.097 --> 00:14:02.505]  We now host on our membership Arizona State Senator Karen Johnson, who I think has been on your show as well, Alex.
[00:14:03.226 --> 00:14:07.510]  She is a real beacon for truth and light.
[00:14:07.911 --> 00:14:10.273]  She is bringing us, architects and engineers for 9-11 Truth,
[00:14:11.215 --> 00:14:19.302]  To the Arizona State Assembly, where we will be speaking to the other 40 Republican Senators directly for one hour.
[00:14:19.442 --> 00:14:21.143]  Wow, that's exciting.
[00:14:21.203 --> 00:14:22.424]  Congratulations on that.
[00:14:23.225 --> 00:14:23.625]  Thank you.
[00:14:23.805 --> 00:14:24.106]  Thank you.
[00:14:24.166 --> 00:14:27.048]  I think it's a big breakthrough, and I think it's just the beginning.
[00:14:27.108 --> 00:14:27.909]  I see this summer
[00:14:28.550 --> 00:14:31.773]  As the summer that breaks 9-11 into mainstream.
[00:14:31.993 --> 00:14:34.715]  I can't tell you where that's coming from so much.
[00:14:35.736 --> 00:14:37.557]  Let me give you some indicators.
[00:14:38.057 --> 00:14:40.840]  We've had all these big celebrities going public.
[00:14:41.020 --> 00:14:43.562]  Actress of the year, Oscar winner.
[00:14:44.282 --> 00:14:46.724]  We've got Governor Ventura going public.
[00:14:46.904 --> 00:14:48.706]  Icon, Willie Nelson, so loved.
[00:14:49.566 --> 00:15:12.922]  We've had all these other prominent people, I mean Tommy Chong, I mean the list goes on and on, German defense ministers coming public, high-level people in the Japanese Parliament going public, exponentially the polls showing more and more people understanding, and all this mainstream news about other states' government terror attacks, the Chicago Tribune admitting Israel premeditatedly attacked the USS Liberty,
[00:15:13.662 --> 00:15:15.363]  Of course, to sink and to blame it on Egypt.
[00:15:15.483 --> 00:15:18.385]  Now, top CIA people coming out and saying that's why they were doing it.
[00:15:18.405 --> 00:15:23.009]  Of course, I'm concurring with myself because I interviewed the admirals and people on board the ship.
[00:15:23.049 --> 00:15:24.189]  That's what they've always said.
[00:15:24.650 --> 00:15:28.633]  It wasn't about a massacre to cover up some massacre that Ariel Sharon had done.
[00:15:28.653 --> 00:15:29.353]  That was a diversion.
[00:15:30.814 --> 00:15:35.897]  Nuclear War, Soviet Union, starting with their satellite, Egypt at the time.
[00:15:36.638 --> 00:15:38.259]  I mean, it really is coming out.
[00:15:38.619 --> 00:15:40.100]  I mean, it really, you can feel it.
[00:15:40.120 --> 00:15:46.885]  That's why my new film that you're in, Truth Rising, that's going to be released July 4th at PrisonPlanet.tv and will ship on DVD July 4th.
[00:15:46.905 --> 00:15:49.707]  It's now been sent off to be mass duplicated this morning.
[00:15:50.787 --> 00:15:52.288]  That is all happening.
[00:15:52.348 --> 00:15:54.710]  So, truth is rising, Richard Gage.
[00:15:55.010 --> 00:15:55.971]  Now, I want to hear you talk about
[00:15:56.391 --> 00:16:04.974]  Another subject, before we get back into your ballgame and what you want to talk about, because I've got you here because I want to talk about what happened six, seven months ago.
[00:16:06.215 --> 00:16:15.799]  You got the Simon Wiesenthal Center and the ADL front group out there, mixing in 9-11 Truth groups, Architects and Engineers, 9-11 Truth was one of them.
[00:16:16.917 --> 00:16:23.464]  In between Al Qaeda tapes and Adam Gadon, the ADL head's grandson who dresses up and plays Al Qaeda, and it's come out the videos are fake.
[00:16:23.504 --> 00:16:24.445]  I mean, this is too insane.
[00:16:27.628 --> 00:16:28.609]  I know the guy?
[00:16:29.109 --> 00:16:29.509]  Oh my God.
[00:16:29.729 --> 00:16:31.130]  Oh yeah, it's all come out as fake.
[00:16:31.630 --> 00:16:35.853]  It's coming out everywhere, both in video analysis and, but that's another issue.
[00:16:36.253 --> 00:16:41.957]  I mean, the point here is, yeah, it's the grandson of the head of the ADLs, the guy doing it, who would go and beat up Arabs on the street.
[00:16:41.997 --> 00:16:42.757]  He hated him so much.
[00:16:42.777 --> 00:16:44.038]  I mean, this is a complete fraud.
[00:16:44.698 --> 00:16:48.881]  This is how he can hurt Arabs as much as possible is by posing as one, as a Wahhabist.
[00:16:48.921 --> 00:16:53.163]  Meanwhile, the government's using the Wahhabists to attack Iran, saying Iran are Wahhabist.
[00:16:53.223 --> 00:16:54.884]  I mean, it's just, I can't get over it.
[00:16:56.505 --> 00:16:57.285]  You have been attacked.
[00:16:57.305 --> 00:16:58.446]  9-11 Truth has been attacked.
[00:16:58.486 --> 00:17:01.306]  I know you guys called them, wanted to have them retracted.
[00:17:01.686 --> 00:17:02.286]  What happened?
[00:17:02.566 --> 00:17:11.949]  First, break down what happened, the violent radicalization act, how they want to restrict us, how they're saying we're terrorists, and what it's like to be named in Congress.
[00:17:12.029 --> 00:17:13.409]  They must be threatened by your group.
[00:17:14.949 --> 00:17:15.810]  I suppose so.
[00:17:16.170 --> 00:17:25.452]  What we had is the Homeland Security Subcommittee on Homegrown Terrorism
[00:17:26.919 --> 00:17:35.604]  It's called, they had this presentation called the Using the Web as a Weapon, the Internet as a Tool for Violent Radicalization and Homegrown Terrorism.
[00:17:36.204 --> 00:17:49.252]  This was on November 6th, before Representative Jane Harman, who's heavily involved, by the way, in the defense industry, as our own Senator Barbara Boxer's husband, etc.
[00:17:49.272 --> 00:17:49.753]  etc.
[00:17:49.813 --> 00:17:50.613]  But they
[00:17:53.018 --> 00:18:10.951]  They have this statement in this presentation in which they're trying to sell the Senate Bill, well at the time House Bill 1955, now Senate Bill 1959, and the Homegrown Terrorism Act and violent radicalization.
[00:18:12.472 --> 00:18:19.197]  They have this five minute presentation from Mark Weitzman of the Simon Wiesenthal Center in which
[00:18:20.756 --> 00:18:30.101]  Our website, just a group of architects and engineers looking at the science-based forensic evidence, you know, of the three World Trade Center high-rise collapses.
[00:18:30.181 --> 00:18:31.002]  That's all we're doing.
[00:18:31.042 --> 00:18:38.146]  You can see it right there on ae911truth.org.
[00:18:38.226 --> 00:18:48.653]  Pretty innocent little website, but there it is, sandwiched before all the congressmen between these jihadi militant websites, Taliban, and
[00:18:49.488 --> 00:18:53.954]  He even uses the words while our website is up.
[00:18:54.194 --> 00:19:00.463]  And finally we end with a site that literally talks about the bombing of Soon Soon Soon, the attack on Manhattan.
[00:19:02.444 --> 00:19:08.888]  And by the way, we also know that was in a written color report they gave them with your site and group in it.
[00:19:09.268 --> 00:19:11.429]  And we know the State Department attacks such and others.
[00:19:12.430 --> 00:19:16.452]  No, they, the individuals that are using these attacks to take our liberties, they are the terrorists.
[00:19:16.893 --> 00:19:19.614]  And I know the terrorists are upset, Richard, that you're exposing them.
[00:19:20.755 --> 00:19:26.218]  Well, and they actually call us in general, in the 9-11 Truth Movement, anti-terrorists.
[00:19:27.452 --> 00:19:31.277]  Anti-Semites, uh, well... Richard, stay there!
[00:19:31.337 --> 00:19:35.082]  The only place to hear what you're about to hear is online at InfoWars.com.
[00:19:35.142 --> 00:19:36.604]  Everybody else will be back in four minutes.
[00:19:37.004 --> 00:19:37.645]  Richard, stay there.
[00:19:37.665 --> 00:19:43.272]  We're going to talk to the presentplanet.tv viewers right now who are seeing this, and for all the InfoWars stream listeners.
[00:19:43.672 --> 00:19:44.894]  Flip over to those streams, folks.
[00:19:45.254 --> 00:19:46.136]  You want to hear this right now.
[00:19:53.268 --> 00:19:54.649]  Okay Richard, we've got four minutes.
[00:19:54.669 --> 00:19:56.189]  Let's keep talking because this is too important.
[00:19:56.209 --> 00:19:57.129]  I don't want to waste time.
[00:19:58.150 --> 00:20:05.432]  They claim, I remember being in Hollywood five and a half years ago trying to get a Fahrenheit 9-11 made before Moore did.
[00:20:05.452 --> 00:20:07.373]  This is like a year before he even announced he was doing it.
[00:20:07.913 --> 00:20:08.354]  This is 2002 actually.
[00:20:08.374 --> 00:20:09.574]  I guess it was six years ago.
[00:20:09.594 --> 00:20:09.874]  Time flies.
[00:20:12.475 --> 00:20:16.478]  And I was meeting with Hollywood producers and they said, yeah, but it's anti-Semitic to say the government did it.
[00:20:16.958 --> 00:20:19.300]  And it was almost like, me thinks you protest too much.
[00:20:19.320 --> 00:20:21.302]  I wasn't even thinking Israel at the time.
[00:20:21.342 --> 00:20:24.224]  And, you know, I'm not saying Israel, you know, did the whole attacks.
[00:20:24.264 --> 00:20:26.445]  I think, you know, our intelligence agencies are all merged.
[00:20:26.866 --> 00:20:28.727]  British, U.S., Israeli, German.
[00:20:28.767 --> 00:20:32.290]  It's the same thing as the facts show.
[00:20:33.311 --> 00:20:36.153]  But it was weird how it was very defensive.
[00:20:37.774 --> 00:20:41.917]  And that was a very small minority at that time that thought Israel ran the whole attack.
[00:20:42.877 --> 00:20:44.438]  Now it's a sizable minority.
[00:20:44.999 --> 00:20:45.979]  I don't think that's reasonable.
[00:20:46.040 --> 00:20:47.501]  Israel couldn't run the whole attack.
[00:20:47.541 --> 00:20:49.022]  Were there Israeli moles involved?
[00:20:49.102 --> 00:20:51.183]  I have no doubt of the neocon agenda.
[00:20:51.623 --> 00:20:57.367]  But yeah, it's funny how when you just talk science, you're just talking these buildings blew up, this is weird how they fell.
[00:20:57.788 --> 00:21:02.311]  You know, NIST can't say why they fell, and they go, oh, you love Hitler, Richard.
[00:21:03.314 --> 00:21:07.556]  Yeah, it's a nice transition, isn't it?
[00:21:08.737 --> 00:21:10.138]  Oh, you're not for the Iraq War!
[00:21:10.238 --> 00:21:12.139]  You hate Israelis, Richard.
[00:21:13.500 --> 00:21:20.704]  Oh, Jimmy Carter doesn't like the fact that the Palestinians are starving to death and being walled off and having their houses bulldozed.
[00:21:21.044 --> 00:21:22.245]  He's an anti-Semite.
[00:21:22.345 --> 00:21:26.307]  Richard, you don't have a Hitler mustache, do you?
[00:21:28.784 --> 00:21:29.544]  Well, here's the deal.
[00:21:30.164 --> 00:21:36.126]  I love the Jewish people and I'm not into race or group or any of this, and I know you're the same way, but go ahead and speak to this fraud.
[00:21:38.147 --> 00:21:40.608]  Well, I don't know how much to say about it.
[00:21:40.908 --> 00:21:48.350]  I will say what I wrote them and that the physics of 9-11 has nothing to do, is not anti-semitic.
[00:21:49.010 --> 00:21:50.070]  Well, that's what I'm going to say.
[00:21:52.031 --> 00:21:53.391]  But I mean, elaborate on that, Richard.
[00:21:54.632 --> 00:21:55.312]  You brought it up.
[00:21:56.058 --> 00:21:57.818]  Well, you can probe me deeper if you want.
[00:21:57.998 --> 00:21:58.318]  Help me.
[00:21:58.338 --> 00:22:07.480]  I just don't know what to say unless you have... No, what I'm saying is you brought up the fact that they also say, you know, the government says that the whole 9-11 Truth Movement worships Hitler, basically.
[00:22:07.880 --> 00:22:09.400]  And that it's an anti-Semitic thing.
[00:22:09.761 --> 00:22:11.861]  Which, which, which, which is a canard.
[00:22:12.341 --> 00:22:13.201]  It's a red herring.
[00:22:13.221 --> 00:22:18.482]  You know, we're talking, especially with you, you aren't even looking at who did it.
[00:22:18.542 --> 00:22:22.683]  You're saying, why are these buildings ejecting steel 500 feet and turning into
[00:22:24.148 --> 00:22:26.489]  A pyroclastic flow.
[00:22:26.970 --> 00:22:39.277]  So yes, to attack you guys and mix you in with anti-Israeli Al-Qaeda groups is just asinine and I think on its face shows guilt by the government and a desperate smear tactic.
[00:22:40.298 --> 00:22:40.398]  Oh.
[00:22:40.938 --> 00:22:41.198]  Okay.
[00:22:43.560 --> 00:22:45.101]  Well, I mean, maybe this is the way I should ask.
