[00:00:11.010 --> 00:00:12.771]  Monday through Friday from 11 a.m.
[00:02:42.352 --> 00:02:58.084]  Instead of there being a fake neocon or communist choice on the colleges, everywhere I go and all the people I talk to say, the new dominant force isn't liberal or conservative, it is true liberty, what you'd call constitutionalist.
[00:02:58.284 --> 00:03:01.906]  And you running, it just has energized so much.
[00:03:01.946 --> 00:03:02.667]  Can you speak to that?
[00:03:03.783 --> 00:03:11.006]  Well, you know, we discovered there were a lot of folks that have been around for a bit and have known about it, and you've talked to them for many, many years.
[00:03:11.566 --> 00:03:17.909]  And I knew there were a large number of individuals like that, but I didn't know how the young people would respond.
[00:03:17.969 --> 00:03:29.294]  And to me, it's amazing how the young generation has just jumped on this and realized what's going on, and they put together the burden of debt and the wars going on in the welfare state.
[00:03:30.073 --> 00:03:37.275]  And so many young people that come to my office now and talk to me and say, boy, did you open up my eyes about the Federal Reserve.
[00:03:37.315 --> 00:03:38.515]  I've been studying that.
[00:03:38.915 --> 00:03:42.436]  So I think, you know, we've really lit a fire.
[00:03:42.937 --> 00:03:45.777]  And that's not me, personally.
[00:03:45.817 --> 00:03:47.538]  I mean, it was everybody put together.
[00:03:48.358 --> 00:03:51.679]  People like you that have been involved for a long time, plus everybody else.
[00:03:52.099 --> 00:03:56.280]  But, you know, a lot of people got after me for this recent article.
[00:03:56.300 --> 00:03:58.141]  They said, oh, no, he's too optimistic.
[00:03:58.181 --> 00:03:59.461]  They think we can do some good.
[00:03:59.961 --> 00:04:14.397]  Well, I'm cautiously optimistic and I know what kind of a fight we have up to, but I am a bit more optimistic now because of the response that we have had and the willingness of so many people willing to look at the Federal Reserve.
[00:04:14.617 --> 00:04:18.622]  But we also have to realize how powerful they are and how much control they have.
[00:04:19.382 --> 00:04:24.704]  Congressman, I agree.
[00:04:24.784 --> 00:04:31.306]  I mean, you can't overstate the effect this has had, your running has had.
[00:04:31.326 --> 00:04:32.846]  I mean, it really broke the dam.
[00:04:33.246 --> 00:04:37.248]  I see that as a major new plateau in the
[00:04:38.248 --> 00:04:49.839]  Reawakening of liberty, a new renaissance, legalizing freedom as you put it so well, and it is just almost immeasurable what's happened.
[00:04:49.859 --> 00:04:51.680]  We know we're in a lot better place
[00:04:53.260 --> 00:04:56.502]  With the public being informed than we were just a year and a half ago.
[00:04:56.942 --> 00:05:02.665]  And again, you're right, the credit goes to the tens of millions of Ron Paul supporters that have energized and woken up so many people.
[00:05:03.166 --> 00:05:05.487]  And the victory is in resistance.
[00:05:05.607 --> 00:05:08.029]  And the victory is in that both parties are
[00:05:08.829 --> 00:05:09.349]  Absolutely.
[00:05:09.389 --> 00:05:10.430]  I think truth is what we're after.
[00:05:30.331 --> 00:05:45.902]  And the fact that the government is failing at everything that they do, whether it's the monetary system, the welfare state, the protection of our freedoms, or our foreign policy, it's so obvious that that is the reason we have such a vital role to play.
[00:05:46.223 --> 00:05:47.083]  We can complain.
[00:05:47.143 --> 00:05:49.325]  We can point out all the problems and condemn the Fed.
[00:05:49.890 --> 00:05:50.431]  I think so.
[00:06:05.823 --> 00:06:09.524]  Also have the program that will give the answers to the problems that we have.
[00:06:09.704 --> 00:06:11.565]  Giving people a real solution.
[00:06:11.885 --> 00:06:14.706]  It's one thing to say that those are bad choices, which is true.
[00:06:15.006 --> 00:06:16.586]  We're now giving people an option.
[00:06:16.886 --> 00:06:25.569]  Tell us briefly about the shift in the campaign to this new organization and how the people can energize that even more than it already is energized, Congressman.
[00:06:26.291 --> 00:06:29.112]  Well, it's been going well.
[00:06:29.792 --> 00:06:32.353]  We have a new group, it's called Campaign for Liberty.
[00:06:32.473 --> 00:06:34.894]  It's just a continuation of the other campaign.
[00:06:34.954 --> 00:06:37.375]  It's always a Campaign for Liberty as far as I'm concerned.
[00:06:38.035 --> 00:06:46.758]  And it's in its early stages, and of course we're backing and promoting right now the big rally in Washington on July 12th.
[00:06:47.760 --> 00:06:50.441]  And I'll be there, and we're pushing that.
[00:06:50.821 --> 00:06:59.083]  But then, of course, the new organization we're pushing very, very hard, a rally up in Minneapolis at the same time the Republicans are having their rally.
[00:06:59.643 --> 00:07:05.485]  And this will be a positive rally for all the views and all the good things that we stand for.
[00:07:05.525 --> 00:07:09.926]  So if anybody's interested in that, it's really easy to find out more about the organization.
[00:07:09.986 --> 00:07:12.507]  Just go to campaignforliberty.com.
[00:07:13.847 --> 00:07:18.409]  Absolutely, and I want to restate the obvious, because some people don't consciously understand this.
[00:07:42.688 --> 00:07:45.831]  Started the Revolutionary War when the British came to confiscate the guns.
[00:07:47.212 --> 00:07:52.296]  And it was about 5% that beat the greatest army on earth that had never been defeated.
[00:07:52.737 --> 00:07:57.681]  The British Redcoats were called the Invincibles at that time because they'd beaten everybody.
[00:07:57.721 --> 00:08:00.303]  They went on a few years later to beat Napoleon.
[00:08:01.624 --> 00:08:05.248]  And we lost most of those battles, but it was the willingness to keep coming back
[00:08:05.768 --> 00:08:09.489]  to the fight that finally brought down that enemy.
[00:08:09.529 --> 00:08:11.810]  And we're going to be remembering that tomorrow.
[00:08:12.270 --> 00:08:17.993]  Can you say some words about what America is really about in its second birth?
[00:08:18.733 --> 00:08:23.855]  I mean, I think this is a very important July 4th that we're going to be having in less than 24 hours, Congressman.
[00:08:24.395 --> 00:08:30.304]  Well, the wonderful thing about our revolution was it proved the old adage that ideas do have consequences.
[00:08:30.364 --> 00:08:36.293]  The founders weren't just a ragtag bunch of guys getting together and saying, well, let's go after the British.
[00:08:36.954 --> 00:08:39.959]  They were philosophers and they knew history.
[00:08:40.852 --> 00:08:44.795]  And they had this all put together and they knew and understood it.
[00:08:45.215 --> 00:08:59.824]  Now the most unique thing about our revolution was that, for the most part, when revolutions usually come about, they come about by the failure of one state and somebody else comes in and usually one group of thugs replaces another group of thugs.
[00:09:00.464 --> 00:09:01.985]  Our revolution was unique
[00:09:02.649 --> 00:09:10.394]  In that the people had more freedom rather than less freedom, and it wasn't just a replacement of one group of authoritarians with another group.
[00:09:10.594 --> 00:09:14.497]  Just like with the French Revolution, instead of just being just as bad, it got even worse.
[00:09:15.178 --> 00:09:20.221]  That's right, and it was all done, you know, the Jacobins were, oh, they were delightful people.
[00:09:20.261 --> 00:09:23.103]  Some people compare them to the neocons, to the Jacobins.
[00:09:23.223 --> 00:09:27.206]  Oh, we're all doing this for the goodness of the country and the people.
[00:09:27.606 --> 00:09:31.609]  We're over there helping the people of Iraq, and we're going to take care of people at home here.
[00:09:32.825 --> 00:09:45.775]  So, yes, but they can turn into thugs when they say, well, we are such good people, we are going to force you to do it, and if you don't obey us, and if you don't become good like we are, we're going to kill you.
[00:09:46.595 --> 00:09:48.857]  And this is what we're approaching.
[00:09:48.917 --> 00:09:52.359]  Now, just think of all these laws that have been put on the books today.
[00:09:53.740 --> 00:09:56.963]  So far, they haven't rounded up tens of thousands.
[00:09:57.725 --> 00:10:03.071]  There's hints that they might if it gets out of hand, because they certainly have the authority on the books now.
[00:10:03.531 --> 00:10:10.418]  So it's going to be a tough fight, and that's why our ideas and the ideas or continuation of the founders' ideas
[00:10:11.429 --> 00:10:12.870]  Must have consequences.
[00:10:12.890 --> 00:10:16.393]  You know, armies can't stop an idea whose time has come.
[00:10:16.953 --> 00:10:20.356]  And that's why I still remain optimistic.
[00:10:20.676 --> 00:10:21.797]  And you're absolutely right.
[00:10:22.118 --> 00:10:27.082]  You don't have to wait for a vote of 51% of the people to endorse our ideas.
[00:10:27.122 --> 00:10:30.485]  You have to have people that are ideologically dedicated.
[00:10:31.085 --> 00:10:32.887]  And then they will go out and do the work.
[00:10:33.187 --> 00:10:38.552]  And the others will come along, especially when they see the failure of one system and they know it has to be replaced.
[00:10:39.119 --> 00:10:44.922]  And if they have any common sense, why do they want to replace it with another authoritarian government?
[00:10:45.243 --> 00:10:49.005]  Why don't we go back to the positive attitude about how freedom works?
[00:10:49.858 --> 00:10:53.221]  Well, I agree with you, and I love the Victor Hugo quote.
[00:10:53.582 --> 00:10:56.405]  No army can stop an idea whose time has come.
[00:10:56.765 --> 00:11:03.211]  That's actually how my new film, Truth Rising, I'll send you a copy, Congressman, starts, is with that quote.
[00:11:03.271 --> 00:11:03.872]  But you're right.
[00:11:04.172 --> 00:11:08.937]  We can't just let the old system fall apart on its own weight, which it clearly is going to do.
[00:11:08.977 --> 00:11:12.340]  The question is next month or five years from now, you know, it could happen any time.
[00:11:12.901 --> 00:11:16.805]  Probably sooner rather than later, but will it fall into something even worse?
[00:11:16.885 --> 00:11:20.028]  Some new socialism or some new fascism?
[00:11:20.308 --> 00:11:25.053]  Or will we be there at the time of, you know, where the system is liquid?
[00:11:25.073 --> 00:11:35.984]  During a revolution it becomes liquid to get control of the reins and then get us back to sound money and a sound system and restore the republic that you've been working so hard to do, sir.
[00:11:37.065 --> 00:11:37.385]  I think?
[00:12:07.505 --> 00:12:08.766]  $8 a gallon gas.
[00:12:08.886 --> 00:12:21.054]  If we attack, you're talking about in a story here for Press TV, Ron Paul, Iran will triple energy prices, break down what we're going to see with energy if we don't attack, or what you think will happen if we do.
[00:12:22.287 --> 00:12:23.968]  Well, if we do, it's going to be a disaster.
[00:12:24.048 --> 00:12:25.568]  Obviously, it's going to be pushed up.
[00:12:26.088 --> 00:12:28.989]  The other day, I was astounded on one of the business stations.
[00:12:29.029 --> 00:12:31.130]  They were talking about Iran.
[00:12:31.790 --> 00:12:39.932]  And they were talking about it in terms of not, are we going to, but the debate was, do you think they're going to bomb before the election or after the election?
[00:12:40.212 --> 00:12:43.453]  So it's sort of like a foregone conclusion that we're going to.
[00:12:44.133 --> 00:12:47.034]  And why wouldn't the oil prices be bid up?
[00:12:47.074 --> 00:12:48.675]  So there is a lot of speculation.
[00:12:48.715 --> 00:12:49.655]  There's a lot of that.
[00:12:50.035 --> 00:12:53.558]  And then they turn around and say, well, it's the speculators that are doing it.
[00:12:53.638 --> 00:12:56.199]  Well, the speculators are sometimes smart people.
[00:12:56.239 --> 00:13:05.466]  Their job is to go out and speculate and find out what the price is due to current events, monetary policy and financial trouble and foreign policy.
[00:13:05.506 --> 00:13:14.251]  So these are legitimate, intelligent people who are bidding up the price of oil because of the potential of a war.
[00:13:14.612 --> 00:13:16.333]  I kept saying in the campaign, you know,
[00:13:16.849 --> 00:13:20.350]  If I had my way, they said, well, what would you do immediately if you were elected president?
[00:13:20.370 --> 00:13:24.111]  I said, I'd bring our troops home and I'd bring our Navy out of the Persian Gulf.
[00:13:24.451 --> 00:13:28.693]  And I said, the dollar would probably go up in value and we would eliminate the risk premium.
[00:13:29.053 --> 00:13:31.674]  Probably oil prices would drop precipitously.
[00:13:32.194 --> 00:13:35.875]  And it would be just by removing this threat.
[00:13:36.365 --> 00:13:39.807]  But, you know, next week, possibly that resolution, H.J.
[00:13:39.867 --> 00:13:40.967]  Res.
[00:13:41.308 --> 00:13:57.556]  362, I believe it is, if that comes up, it is demanding the President put on an absolute blockade of the entire country of Iran and punish any country or any business group around the world if they trade with Iran.
[00:13:58.036 --> 00:14:00.698]  I mean, this is very, very serious business.
[00:14:00.878 --> 00:14:05.140]  And experts are saying we're going to see $6 a gallon gas if that happens immediately.
[00:14:05.737 --> 00:14:06.037]  Right.
[00:14:06.097 --> 00:14:14.486]  I mean, we may get there just by anticipation, but when it happens, and then what if the Iranians are capable of sinking a couple ships out there?
[00:14:15.467 --> 00:14:17.969]  Or if it accidentally happens in the Gulf of Tonkin.
[00:14:17.989 --> 00:14:20.111]  Yeah, that's true.
[00:14:20.491 --> 00:14:23.094]  But the other thing is, it's risking 150,000 Americans in Iraq.
[00:14:25.484 --> 00:14:28.647]  I mean, do you think they don't know the potential problems coming?
[00:14:29.328 --> 00:14:32.310]  Do you think that they are not working with their allies in Iraq?
[00:14:32.671 --> 00:14:37.335]  I mean, could they blockade and actually squeeze our troops to that point?
[00:14:37.395 --> 00:14:41.058]  I mean, you just can't get enough helicopters to fly these people out of there.
[00:14:41.098 --> 00:14:51.748]  Well, what happens if the neocons launch 2,000 Saudis, as they're saying they'll do, bomb the infrastructure, with Saddam or the U.S.-backed military in that eight
[00:14:53.385 --> 00:15:01.107]  year war, when Iraq was a first world nation, they barely could beat the Iranians, and the Iranians lost a million.
[00:15:01.147 --> 00:15:11.789]  Now the Iranians are built up, to analysts say, about twice the strength they had in the 80s, and they're saying they will overrun and go and do Iraq, and unless the U.S.
[00:15:11.869 --> 00:15:17.570]  uses nukes, they will completely overrun our military, and this is a Custer last stand situation.
[00:15:18.376 --> 00:15:24.538]  Yeah, and the frightening thing is, is they say that they don't, they take no options off the tables, even nuclear first strike.
[00:15:24.618 --> 00:15:39.404]  So, if they're really determined, and they keep pointing out that there are some plans for the Iranians to retaliate, that might give them the argument, well, they might, you know, retaliate, so we better bomb all their military sites.
[00:15:40.124 --> 00:15:44.786]  And these people in the administration are capable of advising
[00:15:45.787 --> 00:15:48.528]  The use of nuclear power, nuclear weapons.
[00:15:48.689 --> 00:16:07.262]  Oh yeah, they've been preparing the public, and you're right, just in the last week, they've gone from, we're probably going to attack Iran too, is it going to happen before the election in November or in between that time when Obama or McCain comes in, January 23rd, and so we're now hearing foregone conclusion.
[00:16:08.022 --> 00:16:10.624]  We only saw that right before the last two Gulf Wars.
[00:16:10.664 --> 00:16:13.106]  I mean, sir, what are you hearing on the Hill?
[00:16:13.146 --> 00:16:14.347]  I mean, has it been green-lighted?
[00:16:15.993 --> 00:16:24.215]  That is my sense, because the Democratic leadership in the House are proposing no resistance whatsoever.
[00:16:24.275 --> 00:16:26.896]  We saw that when this supplemental bill came up.
[00:16:27.236 --> 00:16:32.498]  When the President asked for $107 billion for the war, the Democrat leadership gave him $162 billion.
[00:16:32.518 --> 00:16:33.298]  And they are not resisting it.
[00:16:37.651 --> 00:16:42.316]  The leadership of the Democratic Party is solidly behind this blockade.
[00:16:42.917 --> 00:16:49.164]  They already have 220 members who have signed on the bill, well over the number that they need to pass it.
[00:16:49.624 --> 00:16:53.529]  They're so confident that they think, I imagine they'll bring this up under suspension.
[00:16:54.430 --> 00:16:56.632]  So no, I think they're very much ready.
[00:16:56.992 --> 00:16:58.374]  But you know, they don't think
[00:16:59.827 --> 00:17:01.828]  Any further than their front of their nose.
[00:17:01.868 --> 00:17:05.468]  I mean, they're not saying, well, could this be like what we did to Iraq?
[00:17:05.589 --> 00:17:06.909]  Could this backfire on us?
[00:17:06.929 --> 00:17:08.969]  They just march right on.
[00:17:09.189 --> 00:17:18.792]  And as long as I've been there, as long as I've studied it, it still is totally bewildering to me when I see men and women in the Congress that I know and like.
[00:17:19.463 --> 00:17:28.485]  And talk with, and I don't think that, you know, they're doing this because they think it's going to materially benefit them.
[00:17:28.745 --> 00:17:32.246]  They just do it to go along, to get along, and they've been convinced.
[00:17:32.266 --> 00:17:41.689]  Most of them will come across and say, oh yes, I agree with you on all you say, but the Iranians are bad people, and they might attack us someday, and we can't let them have it.
[00:17:41.709 --> 00:17:43.529]  They buy into all the propaganda.
[00:17:43.889 --> 00:17:45.690]  They never stop and think about it.
[00:17:46.624 --> 00:17:51.126]  Okay, Congressman, I'm actually, for Internet listeners, going to skip this break coming up right now.
[00:17:51.186 --> 00:17:53.627]  For others, we'll be right back in about three minutes.
[00:17:54.507 --> 00:18:13.155]  Congressman Ron Paul, to me, everything that's happening is so bizarre historically, so obviously World War III-ish, so obviously over-the-top and criminal by this government, and the supine nature, the prostrate nature of the Democrats,
[00:18:14.395 --> 00:18:18.418]  Watching the John Yoo and Addington testimony, the arrogance.
[00:18:18.898 --> 00:18:22.800]  I mean, sometimes I'm pinching myself like this is a bad nightmare, and I mean that literally.
[00:18:22.820 --> 00:18:25.962]  I mean, I feel history is happening now.
[00:18:26.302 --> 00:18:30.465]  Do you feel that same, and also intellectually, analyzing this?
[00:18:30.525 --> 00:18:33.126]  I mean, what's your feeling watching this happen?
[00:18:33.727 --> 00:18:39.610]  As we were leading up to the Iraqi war, I described it as being surreal.
[00:18:39.690 --> 00:18:41.051]  It's like, I'm hearing this,
[00:18:41.587 --> 00:18:42.908]  But I don't believe it's happening.
[00:18:42.988 --> 00:18:47.690]  It's something that you might read in history that people blundered.
[00:18:47.710 --> 00:18:51.912]  But I'm in the middle of this total blundering, like it can't possibly be true.
[00:18:52.452 --> 00:18:57.915]  And then with the total failure of what we've done over there, they're preparing to expand the war.
[00:19:00.076 --> 00:19:01.497]  We don't even report it anymore.
[00:19:01.917 --> 00:19:08.540]  I consider the election right now between these two individuals have no real difference in their policies.
[00:19:09.330 --> 00:19:12.173]  As a planned distraction from the real issues.
[00:19:12.213 --> 00:19:15.476]  You know, do they talk about what's happening in Afghanistan?
[00:19:15.876 --> 00:19:17.277]  That place is deteriorating.
[00:19:17.758 --> 00:19:24.063]  And this whole idea, do they ever talk about a million people that were killed since we invaded Iraq?
[00:19:24.644 --> 00:19:31.190]  And do they point out which oil companies are getting no-bid contracts and looking forward to selling more and more oil?
[00:19:31.670 --> 00:19:31.870]  Nope.
[00:19:32.130 --> 00:19:34.573]  They're talking about, you know what,
[00:19:37.077 --> 00:19:41.558]  Obama said, and what McCain said, and picking away at little statements.
[00:19:41.638 --> 00:19:44.159]  It's just a total distraction from the important issues.
[00:19:45.560 --> 00:19:46.740]  Well, it certainly is.
[00:19:46.760 --> 00:19:51.661]  So, 95% chance they're going to go ahead and bombard.
[00:19:52.762 --> 00:19:59.684]  We know some of the public plans about hitting several hundred sites a month or so of attacks, hundreds of Saudis a day.
[00:20:02.301 --> 00:20:09.723]  I mean, are you getting any gauge, because you really studied history, or up there on the hill from intelligence about what Iran will probably do?
[00:20:09.743 --> 00:20:14.484]  Well, I think they're going to do whatever they can.
[00:20:14.624 --> 00:20:16.085]  They're not going to roll over.
[00:20:17.005 --> 00:20:21.826]  And they have more weapons now than they used to have.
[00:20:22.207 --> 00:20:27.788]  I think they're going to do exactly what a lot of us suspected they could do, and that is go after some of our ships.
[00:20:28.208 --> 00:20:30.929]  I believe they are capable of closing the straits of Hormuz.
[00:20:31.833 --> 00:20:34.715]  And that is when the escalation is going to occur.
[00:20:34.735 --> 00:20:44.583]  Then I think, you know, if one of our ships are sunk, it'll be the Gulf of Tonkin thing tenfold over, and the American people will say, boy, well, you can't be a wimp.
[00:20:44.763 --> 00:20:45.884]  You've got to go after them.
[00:20:45.944 --> 00:20:46.805]  Nukem, Nukem.
[00:20:47.005 --> 00:20:49.927]  I hear members of Congress on the floor actually talking that way, yeah.
[00:20:50.468 --> 00:20:52.409]  If we could only nuke them, that would take care of it.
[00:20:52.429 --> 00:20:52.829]  Unbelievable.
[00:20:52.869 --> 00:20:54.351]  Congressman, we're coming back to the full audience.
[00:20:54.391 --> 00:20:54.671]  Here we go.
[00:20:56.842 --> 00:21:04.324]  For PrisonPlanet.tv viewers, we're talking behind the scenes with the Congressman about members of Congress talking about nuking Iran on the floor.
[00:21:04.844 --> 00:21:06.084]  And I've heard them on talk radio.
[00:21:06.124 --> 00:21:10.085]  The talking point from the White House is, we're going to blow their country up.
[00:21:10.145 --> 00:21:14.507]  Water treatment, roads, airports, any infrastructure.
[00:21:15.107 --> 00:21:20.128]  And if they dare fight back in any way, we're going to hit them with tactical nukes all over the country.
[00:21:20.848 --> 00:21:33.756]  How morally are they going to sell, not just to us, but the world, that we're going to attack you when you don't even have any weapons, when you've been groveling to the UN for years, and then if you fight back in any way, we're going to nuke you.
[00:21:33.776 --> 00:21:40.360]  I mean, imagine if Hitler would have had nukes and would have said, I'm going to attack Poland, and if they fight back, I'm going to nuke them.
[00:21:40.380 --> 00:21:43.582]  I mean, this is, like you were saying earlier, this is otherworldly.
[00:21:43.622 --> 00:21:44.763]  This is surreal.
[00:21:45.643 --> 00:21:56.573]  Well, to me, the biggest challenge has been, the biggest eye-opener has been in these last several years is how strongly some of our Christian evangelical groups join in.
[00:21:56.733 --> 00:22:00.776]  That is so disturbing to me, and yet they do.
[00:22:00.896 --> 00:22:06.862]  You know, the Christian Zionist groups are urging this on in the name of Christianity.
[00:22:07.322 --> 00:22:10.725]  I mean, they didn't learn the same Christianity that I learned.
[00:22:11.065 --> 00:22:12.687]  I just cannot conceive of this.
[00:22:13.115 --> 00:22:23.102]  And yet there are millions that way that are just pushing, pushing this war and pushing even nuclear weapons in the name of spreading Christian love.
[00:22:23.122 --> 00:22:26.145]  Premeditated mass murder, hit Larian to say the least.
[00:22:27.045 --> 00:22:28.546]  In closing, two final questions.
[00:22:29.287 --> 00:22:30.788]  When are you hearing they're probably going to hit?
[00:22:30.828 --> 00:22:35.411]  We're hearing September, October from people like Ray McGovern and others with the CIA.
[00:22:37.182 --> 00:22:40.624]  Well, I don't think I have any inside information.
[00:22:40.664 --> 00:22:43.086]  It would be just a gut reaction.
[00:22:43.406 --> 00:22:53.373]  I don't think it's going to be before September, but I think it's quite capable of happening before the November election.
[00:22:53.914 --> 00:22:55.695]  A huge October surprise.
[00:22:57.256 --> 00:22:57.837]  It would be.
[00:22:57.857 --> 00:23:02.080]  Of course, it would be maybe a surprise to some others.
[00:23:02.140 --> 00:23:06.463]  It would be just a shocking reality of something that we weren't able to stop for us.
[00:23:07.216 --> 00:23:09.857]  Yeah, it's like watching World War II come, there's nothing you can do to stop it.
[00:23:10.617 --> 00:23:20.379]  Congressman, the economy, I've had Joseph Stiglitz, Nobel Prize winner on, head of the New York Business School on, Dr. Paul Craig Robertson, you know, so many others on.
[00:23:20.399 --> 00:23:24.180]  They're all saying total inflationary depression within two and a half years.
[00:23:25.341 --> 00:23:26.181]  What do you say?
[00:23:26.221 --> 00:23:30.402]  Because it looks like things are accelerating right now faster than what their timetables were.
[00:23:31.325 --> 00:23:35.868]  Well, my statement yesterday raised the question that everybody realizes that we're having stagflation.
[00:23:35.908 --> 00:23:37.089]  We are in a downturn.
[00:23:37.329 --> 00:23:41.812]  The government hasn't even admitted that we have a recession, and everybody knows the inflation is roaring.
[00:23:42.313 --> 00:23:49.898]  To me, the only question was, is when are we going to ask the question to admit that we're moving toward an inflationary depression?
[00:23:50.478 --> 00:23:55.562]  And it used to be thought that when you had inflation, you had a vibrant economy, which is not true.
[00:23:56.204 --> 00:24:00.206]  And I think, you know, within six months or a year, we're going to start to sense that.
[00:24:00.286 --> 00:24:05.349]  But once again, I don't say that I know exactly what it will be like in 12 months.
[00:24:05.729 --> 00:24:12.512]  It may slip into this inflationary depression, but we are on the way down.
[00:24:12.552 --> 00:24:13.753]  The inflation is going up.
[00:24:14.173 --> 00:24:15.754]  The dollar will continue to go down.
[00:24:15.814 --> 00:24:17.715]  The economy is going to continue to weaken.
[00:24:18.435 --> 00:24:20.537]  And so far, they're not doing the right things.
[00:24:20.837 --> 00:24:24.401]  So the longer they do the wrong things, the longer this thing will be prolonged.
[00:24:24.441 --> 00:24:28.024]  But it's the right thing for them because it gives the central banks more power control.
[00:24:28.044 --> 00:24:33.248]  Though for the first time, I'm seeing the IMF central banks criticize the Federal Reserve.
[00:24:33.268 --> 00:24:38.433]  Are they getting ready to pin everything on Bernanke when it was Alan Greenspan that engineered all this?
[00:24:39.414 --> 00:24:44.758]  They'll have to have a scapegoat, but they're not going to give up their power, and it may become more international.
[00:24:44.798 --> 00:24:46.960]  I think the power is already international.
[00:24:46.980 --> 00:25:03.213]  The fact that we were able to export our inflation for so long was an agreement, I think, with among the central banks, where they were monetizing our debt and prolonging this, but now it's a reversal, and they'll be lining up to pick up the pieces.
[00:25:03.573 --> 00:25:08.236]  He has the New York Times best-selling book out, Revolution, A Manifesto.
[00:25:08.276 --> 00:25:10.477]  We carry it at InfoWars.com.
[00:25:10.497 --> 00:25:10.917]  Discounted.
[00:25:10.937 --> 00:25:11.658]  Hope you'll get it there.
[00:25:12.058 --> 00:25:14.099]  Congressman, thank you for spending time with us.
[00:25:14.139 --> 00:25:16.260]  Say hi to Carol and the rest of the family.
[00:25:16.300 --> 00:25:22.764]  Have a great Fourth of July, because on this special holiday, we'll be thinking about you, and you certainly deserve some time off.
[00:25:22.784 --> 00:25:23.524]  God bless you, sir.
[00:25:23.925 --> 00:25:24.525]  Thank you very much.
[00:25:24.545 --> 00:25:24.965]  Bye-bye.
[00:25:25.285 --> 00:25:27.867]  There goes Congressman Ron Paul, ladies and gentlemen.
[00:25:28.447 --> 00:25:29.047]  Stay with us.
[00:25:29.067 --> 00:25:30.088]  You know who's straight ahead?
[00:25:30.808 --> 00:25:31.509]  You'll find out.
[00:25:35.772 --> 00:25:37.313]  You are listening to GCN.
[00:25:38.474 --> 00:25:39.695]  ...ending up to pick up the pieces.
[00:25:40.115 --> 00:25:45.779]  He ha- The Geises- ...radio network proudly presents the Alex Jones Show.
[00:25:46.139 --> 00:25:48.461]  Because there's a war on for your mind.
[00:25:49.381 --> 00:25:50.902]  It is July 3rd, 2008.
[00:26:06.769 --> 00:26:12.114]  We're going to be live here for another hour and fifty minutes.
[00:26:12.214 --> 00:26:15.297]  David Eichel will be with us into the middle of the next hour.
[00:26:16.078 --> 00:26:20.422]  He really doesn't need any introduction and I'm very pleased that he'll spend time with us today.
[00:26:20.442 --> 00:26:21.083]  He's very busy.
[00:26:21.703 --> 00:26:24.826]  He's running for Parliament right now.
[00:26:25.086 --> 00:26:28.990]  He has been the head of the Green Party previously in England.
[00:26:29.310 --> 00:26:30.852]  He, of course, is a championship goalie.
