[00:00:00.029 --> 00:00:00.817]  They can read along.
[00:02:03.328 --> 00:02:14.672]  Okay, okay, well let's, I want to give people just a basic overview who don't understand of why these secret societies are important, where it's going, who they are, and then currently today, top of the pyramid, you're saying
[00:02:16.528 --> 00:02:21.691]  I think that Europe is at the top of the pyramid, and Europe is the problem with America today.
[00:02:21.851 --> 00:02:27.695]  European secret societies are... And at the top of that pyramid, you really think it's the Roman Catholic Church?
[00:02:28.075 --> 00:02:28.616]  I think so.
[00:02:28.896 --> 00:02:29.296]  Okay.
[00:02:29.336 --> 00:02:30.017]  That's my view.
[00:02:30.237 --> 00:02:31.238]  Okay, very interesting.
[00:02:31.558 --> 00:02:34.780]  And do you think they're at war with the Western elites in any way?
[00:02:34.800 --> 00:02:40.884]  Because we always... Exactly, because the Knights Templars were their enemy at one of their... Okay, let's explain that.
[00:02:40.924 --> 00:02:41.464]  Let's explain that.
[00:02:41.484 --> 00:02:42.645]  We're going live right now.
[00:02:42.905 --> 00:02:43.225]  Okay.
[00:02:43.285 --> 00:02:43.605]  Here we go.
[00:02:46.778 --> 00:02:47.018]  Call 800-409-5633.
[00:02:47.078 --> 00:02:48.479]  On the web, efoodsdirect.com.
[00:02:48.499 --> 00:02:48.659]  800-409-5633.
[00:02:48.719 --> 00:02:52.942]  He's the T-Rex of political talk, Alex Jones on the GCN Radio Network.
[00:03:06.707 --> 00:03:21.157]  Well, I'm going to try to keep Jordan five minutes to the next hour, but then we have state rep Charles Key exposing Oklahoma City as an inside job bombing, and then they've passed resolution to fight the New World Order at the state level, to basically pull out of the union if the New World Order continues to expand.
[00:03:21.757 --> 00:03:23.359]  That is coming up in about an hour.
[00:03:24.239 --> 00:03:27.261]  Man, time has really flown by with Jordan Maxwell.
[00:03:30.049 --> 00:03:34.694]  Jordan again is a permanent researcher into the core documents of the elite and what makes them tick.
[00:03:35.595 --> 00:03:42.963]  Jordan, give us a tour of the basic history of where all this really starts as best you can tell.
[00:03:43.624 --> 00:03:45.366]  Have they been passing on knowledge?
[00:03:45.566 --> 00:03:46.046]  Do they
[00:03:46.687 --> 00:03:52.772]  Claim they have the secrets of the pyramids in Atlantis and all this, or is that a fable?
[00:03:53.532 --> 00:03:55.394]  How much power do they really have?
[00:03:56.855 --> 00:04:04.660]  You talk about how their main goal, and now they admit this, is to create two species of humanoid, dumb us down, exterminate most of us.
[00:04:05.681 --> 00:04:10.144]  I'm just throwing out the basics here, because broad strokes here in the time we have, and
[00:04:11.005 --> 00:04:14.986]  For the behind-the-scenes viewers of PrisonPlanet.tv, I want to continue that discussion afterwards.
[00:04:15.867 --> 00:04:19.708]  After you finish that with, you believe the Roman Catholic Church is at the very top.
[00:04:19.728 --> 00:04:26.070]  I didn't mean the Roman Catholic adherence to the people, but that system dominating Europe and that it's at war
[00:04:26.650 --> 00:04:35.117]  With the Knights Templars who went to Germany, who went from there into Scotland and then into the United States.
[00:04:35.698 --> 00:04:39.601]  Are those two, the Anglo-American establishment, really waging war with Europe?
[00:04:40.141 --> 00:04:43.124]  Or why on the surface does it look like they're all working together?
[00:04:44.504 --> 00:04:46.545]  Or is that what the New World Order is?
[00:04:46.705 --> 00:04:53.888]  Was the Knights Templars claiming they were going to build a new order, but now it's really just a new order that's run by the Vatican?
[00:04:54.909 --> 00:04:56.529]  Again, this is where all the evidence points.
[00:04:56.549 --> 00:04:57.730]  That's why we're here discussing it.
[00:04:59.010 --> 00:05:05.173]  It doesn't matter if it's TBN with all their weird statues, or Protestants, Catholics, it's all run by the New World Order.
[00:05:05.373 --> 00:05:07.254]  But Jordan was saying there could be some splits there.
[00:05:07.574 --> 00:05:09.155]  So I want to walk through that with his expertise.
[00:05:09.175 --> 00:05:11.535]  But Jordan, that's a long-winded question there.
[00:05:12.816 --> 00:05:15.277]  Try to tackle that, you know, scanning the pyramid.
[00:05:15.317 --> 00:05:21.220]  I mean, let's say you had ten minutes to talk to the world about the structure of it, who they are, why it's important to know.
[00:05:22.140 --> 00:05:22.501]  Tell us.
[00:05:23.461 --> 00:05:27.343]  Well, I think that it's all one ball of wax.
[00:05:27.543 --> 00:05:37.287]  It's all one operation that goes back thousands of years into the ancient past, a religio-political establishment on the earth.
[00:05:38.528 --> 00:05:40.429]  In the ancient prehistoric world,
[00:05:41.093 --> 00:05:52.037]  The kings were always not only head of government and law, but they also represented the connection between mankind, their followers, and God.
[00:05:52.697 --> 00:05:57.238]  So consequently, they held absolute sovereign power.
[00:05:58.039 --> 00:06:05.461]  And I have always understood that kingships and princes is nothing more than the crypts and the bloods.
[00:06:05.601 --> 00:06:08.102]  People who have taken for themselves
[00:06:09.413 --> 00:06:13.042]  Uh, the idea that they are royalty.
[00:06:13.704 --> 00:06:16.091]  You've got to be out of your mind.
[00:06:16.892 --> 00:06:19.874]  Not to question who said that you are royal.
[00:06:20.414 --> 00:06:27.699]  I mean, in America, nobody likes to be around somebody who is pompous and arrogant and better than anybody else.
[00:06:28.220 --> 00:06:39.787]  Nobody likes to be around those people because everybody realizes those people live in a dream world who treat you and mistreat you and look down on you and snob you.
[00:06:40.708 --> 00:06:43.930]  People know that that's just a fake
[00:06:44.602 --> 00:06:45.143]  I don't
[00:06:59.259 --> 00:06:59.439]  I don't
[00:07:19.267 --> 00:07:35.477]  Vatican royalty, royalty all over Europe, is nothing but the crypts and the bloods, gangs, gangs who have murdered and killed and destroyed the freedom of peoples all over the earth, and today they are in power.
[00:07:35.557 --> 00:07:37.218]  They're ruthless, they're murderous,
[00:07:38.141 --> 00:07:44.864]  They are nothing more than gang wars, secret societies, criminal cults, criminal operations.
[00:07:44.924 --> 00:07:46.104]  Wow, you just made a point.
[00:07:46.184 --> 00:07:51.766]  Whenever I see the low-level Crips and Bloods and the Vatos, they're all calling themselves Latin Kings.
[00:07:52.166 --> 00:07:53.607]  Their symbols are little crowns.
[00:07:53.907 --> 00:07:55.888]  They have secret handshakes and signs.
[00:07:56.208 --> 00:07:57.648]  And that really is just it.
[00:07:58.248 --> 00:07:58.709]  That's it.
[00:07:58.869 --> 00:08:00.069]  That's the name of the tune.
[00:08:00.209 --> 00:08:04.871]  Royalty and holy people at the top, the priests and the holy ones of
[00:08:05.531 --> 00:08:19.562]  And all the different religions from the Billy Grahams to the papacy to all the silly nonsense that's on Christian television with all the preachers who are making 10-15 million dollars with their huge enormous churches.
[00:08:19.722 --> 00:08:23.044]  It's nothing more than a con job.
[00:08:23.505 --> 00:08:25.146]  It's a con job.
[00:08:25.826 --> 00:08:31.871]  And people are extraordinarily interested in being lied to, deceived,
[00:08:32.284 --> 00:08:38.969]  You know, even in the Bible, there's a story about Pontius Pilate bringing Jesus to the crowd with Barabbas.
[00:08:39.549 --> 00:08:45.373]  And on the one hand, he's got Barabbas, which everybody knows is a con artist and a murderer and a thief.
[00:08:45.953 --> 00:08:49.776]  And then on the other side is Jesus, who represents the truth and the light.
[00:08:50.496 --> 00:08:58.682]  And it's a metaphoric story where government says to the people, Pontius Pilate, head of government, says to the people,
[00:08:59.426 --> 00:09:05.630]  Here is Barabbas, a murdering, thieving scumbag.
[00:09:05.750 --> 00:09:08.572]  And here is Jesus, representing the truth and the light.
[00:09:09.052 --> 00:09:13.515]  And the scripture says, with one voice, the people cried out, Give us Barabbas!
[00:09:14.255 --> 00:09:24.742]  Which is translated symbolically to mean, when the people of this world are given an opportunity to know the truth, or to crawl on their knees before their masters,
[00:09:25.468 --> 00:09:29.147]  Who are nothing more than liars, murderers, bloodshedding thieves.
[00:09:29.975 --> 00:09:33.116]  People will always support the masters.
[00:09:33.396 --> 00:09:34.797]  They don't want the truth.
[00:09:34.897 --> 00:09:38.038]  That's what I was going to ask, is this morning, it's almost like a spirit.
[00:09:38.959 --> 00:09:40.219]  I got criticized yesterday.
[00:09:40.239 --> 00:09:44.681]  Somebody sent me a YouTube, a young guy saying, Alex used to say there was a new world order.
[00:09:44.821 --> 00:09:45.902]  I choose not to believe it.
[00:09:45.942 --> 00:09:46.822]  I don't want to believe it.
[00:09:47.262 --> 00:09:48.122]  It doesn't exist.
[00:09:48.323 --> 00:09:48.883]  I choose.
[00:09:49.423 --> 00:09:51.344]  I heard all these radio shows with callers.
[00:09:51.404 --> 00:09:56.186]  I'd flip channels and I'd come into work and it was other shows saying, I don't want to hear bad news anymore.
[00:09:57.065 --> 00:09:57.805]  They don't understand.
[00:09:58.166 --> 00:10:02.668]  If you face the bad news and deal with it, then you can have a good place to live in and have more liberty.
[00:10:02.708 --> 00:10:08.510]  But when you just deny and want to live in denial and want to lie to yourself, you have a horrible world.
[00:10:08.610 --> 00:10:09.331]  And it's true.
[00:10:09.711 --> 00:10:12.652]  A lot of people, they want to be lied to.
[00:10:12.672 --> 00:10:13.633]  They want to be conned.
[00:10:13.653 --> 00:10:16.394]  They think it's cute and funny, and I don't understand it.
[00:10:17.515 --> 00:10:20.056]  Well, I mean, you know, in a country that is
[00:10:20.866 --> 00:10:26.990]  Staggering in their economic woes and economic disabilities in this country.
[00:10:27.690 --> 00:10:35.935]  People are crawling on their knees, sleeping in their cars, and yet the alcohol industry, smoking industry, television,
[00:10:36.736 --> 00:10:40.520]  Uh, entertainment movies are making a bumper crop.
[00:10:40.560 --> 00:10:41.961]  They're making billions.
[00:10:42.682 --> 00:10:42.982]  Why?
[00:10:43.063 --> 00:10:45.865]  Because the people have lost their souls.
[00:10:46.446 --> 00:10:48.168]  They have nothing to live for.
[00:10:48.248 --> 00:10:52.352]  And that was designed, that was a seduction because it's almost like a joke now.
[00:10:52.452 --> 00:10:56.676]  I talk to people on the street and it's like they're getting more retarded by the week.
[00:10:56.716 --> 00:10:57.457]  Without a doubt.
[00:10:57.837 --> 00:10:58.197]  Absolutely.
[00:10:58.257 --> 00:10:59.217]  What is going on?
[00:10:59.277 --> 00:11:03.079]  It's like a mass mutation is taking place before my eyes.
[00:11:03.739 --> 00:11:04.399]  Absolutely.
[00:11:04.419 --> 00:11:09.360]  I'm telling you, and it's frightening because I know what the future is going to be.
[00:11:09.620 --> 00:11:10.961]  I already know what's coming.
[00:11:11.761 --> 00:11:20.523]  There's going to be a time very soon when Americans, generally speaking, and the worst part about it is that the masses will never wake up.
[00:11:20.603 --> 00:11:21.644]  They will just become
[00:11:23.544 --> 00:11:25.345]  Acclimated to the system.
[00:11:25.365 --> 00:11:30.387]  Well I read government documents, I mean the new thing said you'll be arrested if you're seen hugging your child or kissing them.
[00:11:30.407 --> 00:11:30.667]  That's right.
[00:11:30.987 --> 00:11:42.192]  I mean so and the government says we'll be in gray uniforms with shaved heads basically lobotomized and that's who's even allowed to live and I see them phasing that in rather quickly the way it's going.
[00:11:42.572 --> 00:11:48.334]  That's exactly what I'm saying and so I'm frightened because I know what is coming on the earth.
[00:11:48.494 --> 00:11:49.595]  I know the kind of
[00:11:50.169 --> 00:12:16.318]  world which is coming and the people have no idea generally speaking the public doesn't know they don't care because they've been acclimated to it they have already learned how to crawl on their knees when they see uh... some holy most some holy man with uh... with a robo at that the black role they shaken fear uh... efforts of the black role for the priest a shaken fear so they've been acclimated and taught
[00:12:16.798 --> 00:12:20.859]  To be impressed with movie stars and wealthy people with big money.
[00:12:22.600 --> 00:12:26.201]  But it seems that the elite themselves have gotten more reckless and wild.
[00:12:26.661 --> 00:12:27.221]  Oh, of course.
[00:12:27.241 --> 00:12:33.103]  And the reason why is because they realize the entire human race is worthless.
[00:12:33.203 --> 00:12:37.684]  The entire human race is going to buy anything you put out there
[00:12:38.323 --> 00:12:43.126]  And now it's like the criminal element doesn't even know what to do with itself anymore.
[00:12:43.166 --> 00:12:43.967]  It's so easy.
[00:12:43.987 --> 00:12:48.209]  It's so easy to just fool the people because they love it.
[00:12:48.730 --> 00:12:50.451]  Well, that's... I mean, exactly.
[00:12:50.491 --> 00:12:59.457]  That's like the White House publicly says they're running Al-Qaeda and has them attacking Iran, and the media says Iran is Al-Qaeda when they're Shiites, the opposite group.
[00:13:00.097 --> 00:13:08.119]  And then, it's just all over the news, Republicans saying, we love terror attacks, they sure help us.
[00:13:09.319 --> 00:13:19.182]  I mean, how much more obvious, and then Gary Hart writes a letter, has it published in the newspaper, saying, our government stages attacks, Iran better do what they're told.
[00:13:19.242 --> 00:13:22.243]  I mean, they're basically, they may come out and say they did it soon.
[00:13:24.147 --> 00:13:24.827]  But you know what?
[00:13:25.007 --> 00:13:26.007]  Nobody's going to care.
[00:13:26.508 --> 00:13:30.588]  Couldn't care less, because it doesn't mean much to anybody anyway.
[00:13:32.949 --> 00:13:43.491]  Even on the Tonight Show with Jay Leno, when he does the jaywalks, when he walks down the street and talks to people and asks the average American, you know, who won the Second World War?
[00:13:43.591 --> 00:13:44.871]  They don't even know what you're talking about.
[00:13:44.891 --> 00:13:46.532]  They didn't know there was a Second World War.
[00:13:47.452 --> 00:13:52.613]  And of course, that thing we talked about before, about that young lady
[00:13:53.480 --> 00:13:54.660]  Miss Teen America.
[00:13:55.721 --> 00:13:56.981]  That was so appalling to me.
[00:13:57.081 --> 00:13:59.782]  I still wake up sweaty.
[00:13:59.842 --> 00:14:02.443]  But that's how, listen, that's how people are.
[00:14:02.463 --> 00:14:08.384]  If you know any history, they look at you like you're weird, and people kind of sit back in their chairs and act scared.
[00:14:09.405 --> 00:14:17.227]  I have friends, my personal friends, many years ago, that's what they used to say about me, that you're weird.
[00:14:17.687 --> 00:14:21.108]  You study, and one guy told me, he said, you're the only person I know
[00:14:22.061 --> 00:14:24.782]  Uh, in our circle of friends, that you don't fit.
[00:14:24.802 --> 00:14:27.264]  I mean, there's something about you that's just not right.
[00:14:27.964 --> 00:14:29.104]  And I said, in what way?
[00:14:29.124 --> 00:14:31.726]  Well, I mean, you read all those, all that crazy stuff.
[00:14:31.766 --> 00:14:32.626]  And I said, like what?
[00:14:32.706 --> 00:14:37.768]  Well, for instance, all those law books and all that stuff about religion and all that.
[00:14:37.908 --> 00:14:48.173]  And, uh, you know, the, what the bottom line is, is that he is so far removed from reality that anybody has a half a brain looks like a freak to him.
[00:14:48.833 --> 00:14:49.594]  I know what it is.
[00:14:49.834 --> 00:14:55.177]  If you are smart, intelligent, and inquisitive, you're not going to fit in this world.
[00:14:55.858 --> 00:14:57.399]  Stay there, stay there, Jordan Maxwell.
[00:14:57.419 --> 00:14:59.700]  We're going to keep talking.
[00:14:59.740 --> 00:15:04.463]  Jordan, we're going to skip this break, and then we're going to take the next one if you need a break.
[00:15:05.404 --> 00:15:11.108]  Jordan, continuing along those lines, timeline-wise,
[00:15:12.697 --> 00:15:15.219]  When do you think they're going to try to start their mass culling?
[00:15:15.239 --> 00:15:16.920]  I mean, we know cancer is way up.
[00:15:17.000 --> 00:15:18.001]  We know they're injecting us.
[00:15:18.061 --> 00:15:18.702]  It's in the food.
[00:15:19.122 --> 00:15:25.707]  We know that, I mean, literally, I know a ton of people are 25, 30 years old, got cancer, people dying, little kids everywhere dying from it.
[00:15:26.207 --> 00:15:27.588]  You know, the brain damaging everywhere.
[00:15:27.608 --> 00:15:29.170]  I mean, we know they're carrying it out.
[00:15:29.550 --> 00:15:33.273]  But I mean, when is it really going to, I mean, how do you see things unfolding?
[00:15:33.773 --> 00:15:38.457]  Well, I think that it's like a train going downhill with the brakes off.
[00:15:39.943 --> 00:15:47.248]  They're scurrying to do anything and everything they can now, because it's like nothing succeeds like success.
[00:15:47.888 --> 00:15:58.016]  And so the more successful they become, the more arrogant and out of control they are, until now it's a feeding frenzy.
[00:15:58.236 --> 00:16:01.638]  Exactly, a mass looting, a sacking of humanity.
[00:16:01.919 --> 00:16:02.399]  Exactly.
[00:16:02.939 --> 00:16:04.000]  It's out of control.
[00:16:04.200 --> 00:16:07.663]  They've tried to bring in pure evil, and now it's just a bloody orgy.
[00:16:08.143 --> 00:16:09.104]  That's exactly right.
[00:16:09.244 --> 00:16:10.204]  That's what I see.
[00:16:10.364 --> 00:16:12.145]  And nothing succeeds like success.
[00:16:12.345 --> 00:16:13.406]  You see the same thing I see.
[00:16:14.127 --> 00:16:14.547]  Exactly.
[00:16:14.567 --> 00:16:18.569]  They're just frothing, destroying minds, poisoning everybody, poisoning themselves.
[00:16:18.949 --> 00:16:19.770]  That's the thing I notice.
[00:16:19.830 --> 00:16:24.072]  Even their high-level minions like Bill Clinton and stuff, they all don't care what happens.
[00:16:24.152 --> 00:16:29.255]  It's like O'Brien says to Winston in 1984, look, I'm falling apart, don't laugh at me.
[00:16:30.916 --> 00:16:35.159]  The fact that I'm falling apart to carry out this evil shows the vigor of the larger creature.
[00:16:35.819 --> 00:16:36.419]  Yeah, of course.
[00:16:38.131 --> 00:16:49.477]  I see it very, and it frightens me because I see the children on the streets, little ones in schools, thinking, my God, what kind of a world are we leaving our children?
[00:16:51.378 --> 00:16:59.322]  You know, and people say, well, I see a light at the end of the tunnel, and people are waking up, and I said, look, the only light at the end of the tunnel is a train coming.
[00:17:00.197 --> 00:17:08.421]  Because eventually, you're going to wake up and find out that the situation was far more serious than you even suspected.
[00:17:08.721 --> 00:17:17.144]  Well, that's the thing, is that people think I fearmonger exaggerate, and literally 99 times out of 100, it's many times worse than what I even thought.
[00:17:17.164 --> 00:17:18.305]  Absolutely.
[00:17:18.525 --> 00:17:19.465]  No doubt about it.
[00:17:19.605 --> 00:17:20.286]  No doubt about it.
[00:17:21.086 --> 00:17:25.568]  And that's what scares me, is that it's so much worse than what you're saying.
[00:17:26.710 --> 00:17:29.495]  And now the mentality frightens me.
[00:17:30.056 --> 00:17:33.401]  Yesterday I went to Disney Studios, for example.
[00:17:33.945 --> 00:17:35.006]  To deliver a letter.
[00:17:35.046 --> 00:17:46.095]  I got a letter from Disney for some piece of business and they said, please get this in the mail immediately or bring it over to us because we need this paperwork immediately.
[00:17:46.555 --> 00:17:55.662]  So I put it in an envelope and drove over to Disney and drove up to the security gate and said, would you please drop this in the mail for a certain party?
[00:17:55.942 --> 00:17:57.624]  And they said, oh no, no, no, no.
[00:17:57.884 --> 00:17:59.485]  We have to open it up and read it.
[00:17:59.565 --> 00:18:00.366]  We have to sit down
[00:18:00.846 --> 00:18:11.933]  And so the security guy has to open the letter and sit down and read my personal letter and read what's in it first before he can decide if he will let that piece of mail go through.
[00:18:11.953 --> 00:18:15.095]  Because he doesn't know because he's got a badge and he's in charge.
[00:18:15.115 --> 00:18:17.857]  Yeah, I mean, they're just habitualizing total tyranny.
[00:18:18.257 --> 00:18:18.677]  Everything.
[00:18:18.998 --> 00:18:19.418]  Purely.
[00:18:20.450 --> 00:18:26.072]  And I said, why do you have to read my personal mail and a personal contract that has nothing to do with you?
[00:18:26.633 --> 00:18:28.633]  It's addressed to Disney Company.
[00:18:29.114 --> 00:18:30.814]  It's addressed to a particular person.
[00:18:30.834 --> 00:18:32.375]  You don't have to open it and read it.
[00:18:32.535 --> 00:18:39.218]  I've noticed that's what happens in Nazi tyrannies and others, is finally even their own minions just are frothing themselves.
[00:18:39.598 --> 00:18:41.039]  I bet that isn't even a policy.
[00:18:41.579 --> 00:18:41.739]  No.
[00:18:41.999 --> 00:18:42.179]  No.
[00:18:42.339 --> 00:18:42.999]  It doesn't matter.
[00:18:43.019 --> 00:18:43.820]  It doesn't matter.
[00:18:43.860 --> 00:18:45.180]  He has a badge.
[00:18:46.081 --> 00:18:47.641]  And therefore he is in charge.
[00:18:48.121 --> 00:18:49.262]  Same thing at the airports.
[00:18:50.290 --> 00:18:53.452]  People at the airport and airport security have never had a job.
[00:18:53.532 --> 00:18:55.214]  I'll tell you what, I'll tell you what, let's talk about that.
[00:18:55.254 --> 00:18:57.155]  Here we go.
[00:18:57.215 --> 00:18:57.796]  Revolution.
[00:19:00.978 --> 00:19:02.719]  Yeah, they're gonna put in every major U.S.
[00:19:02.979 --> 00:19:08.764]  airport a system where you're totally naked, scans an image and saves it of your naked body.
[00:19:09.344 --> 00:19:12.667]  I told you that six years ago, now it's mainstream news and they tell you.
[00:19:14.088 --> 00:19:16.369]  Now they take blood without warrants at checkpoints.
[00:19:17.581 --> 00:19:18.722]  No doubt about it.
[00:19:18.742 --> 00:19:22.566]  I mean, anybody that's got more than 500 brain cells going all in the same direction knows that.
[00:19:22.626 --> 00:19:23.307]  It's just, it's outrageous.
[00:19:36.108 --> 00:19:36.389]  I don't know.
[00:19:53.710 --> 00:19:55.211]  We're good to go.
[00:20:20.160 --> 00:20:33.477]  First, before I can deliver the mail, I have to, at Disney, I have to open the mail, and I have to read the contract, and I've got to see exactly who wrote this contract, and who signed it, and what it's all about first.
[00:20:33.518 --> 00:20:35.520]  See, just no privacy, no nothing?
[00:20:35.540 --> 00:20:36.381]  None.
[00:20:36.441 --> 00:20:37.403]  Just total control?
[00:20:37.943 --> 00:20:38.284]  Total.
[00:20:39.079 --> 00:20:39.419]  I think so.
[00:20:55.586 --> 00:21:06.191]  So I have to open the mail and I have to sit down and take a few minutes and read this contract and see who it's going to and who signed it and before I can drop it in.
[00:21:06.411 --> 00:21:08.552]  And I said, why don't you just drop it in the mail?
[00:21:08.713 --> 00:21:09.013]  No, no.
[00:21:09.833 --> 00:21:12.374]  I have the badge and it's my job and I'm in charge.
[00:21:12.815 --> 00:21:16.516]  Well, it's the same kind of thing at the airport.
[00:21:16.917 --> 00:21:18.337]  That's why I don't fly anymore.
[00:21:19.298 --> 00:21:20.979]  That's why I do not fly anymore.
[00:21:21.019 --> 00:21:23.640]  Cause I don't want to have to take my pants off, my shoes off.
[00:21:24.444 --> 00:21:27.148]  And have everything... Why bother?
[00:21:27.408 --> 00:21:30.893]  But now it's going to be on the buses, trains, and the sides of the street.
[00:21:31.214 --> 00:21:31.874]  And they know!
[00:21:31.975 --> 00:21:33.296]  They know it's dog training.
[00:21:33.637 --> 00:21:34.879]  Training us how to be slaves.
[00:21:35.559 --> 00:21:36.120]  Well, that's it.
[00:21:36.461 --> 00:21:37.562]  I don't know what else to say.
[00:21:38.023 --> 00:21:39.345]  It's all right there in your face.
[00:21:39.485 --> 00:21:40.686]  Well, I mean, here's the deal.
[00:21:41.710 --> 00:21:57.968]  If the United States is run by the Knights Templars, or I guess you said it's inseparable, and then the Vatican wants to get rid of the borders, why does every city, and I have articles that came out in the news today and yesterday, mainline news, the police do not arrest illegals for drinking and driving, they do not arrest them for anything but felonies.
[00:21:58.849 --> 00:22:02.470]  Well, because it's a base, first of all, it's a very important base
[00:22:24.873 --> 00:22:28.594]  For, uh, for revolution in the North America.
[00:22:28.614 --> 00:22:40.957]  It's a very important operating base, like the Contras have bases in Central America, like the, uh, Medellin Cartel have their protected bases of operation for drug trafficking.
[00:22:40.997 --> 00:22:45.118]  Well, for tyranny and, uh, and drug trafficking,
[00:22:45.758 --> 00:22:47.019]  Underworld activities.
[00:22:47.079 --> 00:22:48.640]  Mexico is a hotbed.
[00:22:48.700 --> 00:22:53.864]  My God, anybody who's more than 10 years old has been to Mexico knows that.
[00:22:53.964 --> 00:23:02.389]  Mexico is a hotbed for secret societies, crime, criminal syndicates, drug trafficking.
[00:23:02.470 --> 00:23:11.936]  So you want to make sure that the borders are left open because the bottom line is that Europe has had enough of America freedom.
[00:23:12.771 --> 00:23:18.074]  I mean, that's so obvious to me, because I've been looking at it for so many years.
[00:23:18.834 --> 00:23:23.317]  It is obviously... And we're going to be destroyed by Hook or by Crook?
[00:23:23.977 --> 00:23:24.717]  Absolutely.
[00:23:25.078 --> 00:23:29.240]  Because, you know, that's the only thing Bush ever said that is 100% correct.
[00:23:29.260 --> 00:23:29.640]  He said that
[00:23:34.066 --> 00:23:36.307]  Our enemies hate us because of our freedom.
[00:23:36.928 --> 00:23:42.251]  The terrorists attacked us because they hate our freedom, and then you find out the terrorist is the black ops.
[00:23:42.571 --> 00:23:45.632]  And they did it to get our freedom, and the government's taken all our freedom.
[00:23:46.033 --> 00:23:51.295]  Well, but our enemies, the enemy of the American people, hate us because of our freedom.
[00:23:51.355 --> 00:24:01.461]  And I'm going to tell you something that is the bottom line at the end of the day, that is the only truth there is, is that the enemies of this great republic
[00:24:01.969 --> 00:24:13.811]  Hate this republic because they cannot have a new world order in which the entire human race crawls on its knees like animals to their masters of superior masters
[00:24:14.438 --> 00:24:26.525]  With a country that talks about individual freedom, liberty, and justice for all, you've got to destroy this nation, and who are the enemies?
[00:24:26.705 --> 00:24:32.048]  It's the Roman system of Europe that has been dominating the Earth for 2,300 years.
[00:24:34.589 --> 00:24:37.113]  ...of which America rose up against.
[00:24:37.473 --> 00:24:38.274]  Jordan, stay there.
[00:24:38.634 --> 00:24:39.115]  Gotta go to break.
[00:24:39.135 --> 00:24:40.377]  We're gonna talk behind the scenes, too.
[00:24:40.937 --> 00:24:43.761]  But, uh, very, very interesting, ladies and gentlemen.
[00:24:43.781 --> 00:24:44.362]  We'll be right back.
[00:24:48.561 --> 00:24:56.507]  Jordan, let's keep talking behind the scenes here, but we do have folks watching on PrisonPlanet.tv and listening on the web right now, and immortalized on the web.
[00:24:58.108 --> 00:25:02.191]  Jordan, and what a perfect plan to use the U.S.
[00:25:02.251 --> 00:25:15.380]  as the instrument to attack all these innocent countries, to carry out torture, to let the torture news come out, and then we get the blame, the United States gets the blame, and then we're totally replaced with the whole European Union system.
[00:25:15.740 --> 00:25:16.740]  That's exactly right.
[00:25:16.760 --> 00:25:40.585]  If you go on my website, which we've been talking about, to questions, and we were talking about that on page one of questions, I show how the Vatican, from the air, and looking down on the Vatican, you can see the Union Jack flag right in the courtyard of the Vatican, and how the... Then if you scroll down, we're talking about dog tags.
[00:25:42.249 --> 00:25:44.810]  And why did the military have dog tags?
[00:25:44.890 --> 00:26:00.235]  Well, Henry Kissinger, in his book, Kiss the Boy's Goodbye, by Henry Kissinger, he said, quote, military men are just dumb, stupid animals to be used as pawns in foreign policy.
[00:26:00.835 --> 00:26:02.836]  Henry Kissinger says of the U.S.
[00:26:02.936 --> 00:26:08.318]  military, they're just dumb, stupid animals to be used as pawns.
