[00:00:00.029 --> 00:00:00.970]  Alright, we're back!
[00:09:51.997 --> 00:09:53.778]  Let's jump to John in Texas.
[00:09:53.839 --> 00:09:54.599]  John, what's on your mind?
[00:09:55.600 --> 00:09:56.441]  Hello, can you hear me?
[00:09:56.681 --> 00:09:57.101]  Sure thing.
[00:09:58.462 --> 00:10:00.664]  I appreciate Mr. Beckman being on there today.
[00:10:00.684 --> 00:10:07.910]  I have an interesting letter of the Irwin Schiff's Federal Mafia, where it's signed by Joseph Biden.
[00:10:08.690 --> 00:10:10.512]  Committee on the Judiciary in 1991.
[00:10:11.132 --> 00:10:12.433]  You're talking Biden, right?
[00:10:13.074 --> 00:10:13.534]  Biden.
[00:10:13.614 --> 00:10:14.475]  Joseph Biden.
[00:10:15.056 --> 00:10:20.500]  He states in this letter that all felonies are in Title 18 of the United States Code.
[00:10:20.936 --> 00:10:26.243]  However, one exception is that drug offenses are in the Crime Control Act.
[00:10:26.343 --> 00:10:27.704]  They're in Title 21.
[00:10:28.045 --> 00:10:30.107]  Well, income tax appears in Title 26.
[00:10:30.688 --> 00:10:32.530]  It's not in Title 18.
[00:10:32.891 --> 00:10:35.474]  There's nothing about income tax in Title 18.
[00:10:35.854 --> 00:10:39.479]  So therefore, there cannot be no income tax crimes or fundings.
[00:10:39.977 --> 00:10:49.742]  Well, tell that to Wesley Snipes, who he got off on most of the charges, but they're still trying to make him do two to three years in federal prison with, you know, these lesser charges.
[00:10:49.782 --> 00:10:52.244]  But they're trying to, you know, charge him to the full extent of the law.
[00:10:52.464 --> 00:10:53.464]  That's how they do things.
[00:10:53.504 --> 00:10:54.325]  They shake you down.
[00:10:54.365 --> 00:10:55.766]  They are truly a mafia.
[00:10:55.786 --> 00:10:56.686]  Thanks for the call, John.
[00:10:58.527 --> 00:10:58.887]  Sorry, man.
[00:10:58.927 --> 00:11:01.469]  Let's jump to Norman in North Carolina.
[00:11:01.769 --> 00:11:02.609]  Norman, what's on your mind?
[00:11:03.670 --> 00:11:04.090]  Hey, Jason.
[00:11:04.110 --> 00:11:05.491]  I was on briefly yesterday, and
[00:11:06.249 --> 00:11:12.615]  I didn't get to plug my band's website, but today when I heard Alex was under attack, I just wanted to call back and offer some words of support.
[00:11:13.375 --> 00:11:17.619]  I watched the Michelle Malkin confrontation, and Alex is the man.
[00:11:18.079 --> 00:11:23.824]  He's a peaceful warrior, info warrior, standing up for truth and justice, and he honors life.
[00:11:23.884 --> 00:11:25.466]  He keeps every step sacred.
[00:11:25.874 --> 00:11:27.875]  And would never call for the death of anyone.
[00:11:28.176 --> 00:11:31.258]  So to accuse him is to bear false witness.
[00:11:31.518 --> 00:11:32.919]  Because it's not his character.
[00:11:33.619 --> 00:11:39.763]  He would much rather debate in a supine fashion and win on the merits like he always does.
[00:11:39.823 --> 00:11:43.546]  And it just upsets me that they're going after him with such fervor.
[00:11:43.986 --> 00:11:47.208]  And, you know, I'm just... I stand with him, you know, in spirit.
[00:11:47.228 --> 00:11:48.729]  If I could be there physically, I would.
[00:11:48.769 --> 00:11:53.172]  But I'm a working class info warrior and I'm just doing what I can, you know, in my hometown.
[00:11:55.043 --> 00:11:59.568]  A lot of us are working class info warriors, and we need more of you, man.
[00:11:59.608 --> 00:12:05.774]  My band has a 9-11 Truth Action music video, and I just uploaded it.
[00:12:05.854 --> 00:12:10.359]  The website is called www.thedaring.com.
[00:12:10.399 --> 00:12:16.786]  The spelling on that is T-H-E-D-A-R-E-R-I-N-G.com.
[00:12:16.826 --> 00:12:17.647]  It's three words.
[00:12:18.379 --> 00:12:34.152]  Hook them together, it's a compound word, and the song is called What's Been Going On, and it's a question directed directly at the powers that be who are trying to, you know... Control our lives, you know, enslave us or kill us.
[00:12:34.172 --> 00:12:34.953]  They're very nice people.
[00:12:34.993 --> 00:12:35.934]  Thank you so much for the call.
[00:12:35.954 --> 00:12:37.095]  I hope people go check that out.
[00:12:37.455 --> 00:12:38.556]  Let's jump to the next caller.
[00:12:38.596 --> 00:12:40.297]  Let's go to Rusty in Arkansas.
[00:12:40.317 --> 00:12:40.918]  Rusty, you with us?
[00:12:42.399 --> 00:12:43.140]  Hello, Rusty.
[00:12:43.560 --> 00:12:47.243]  Yeah, hey, I just want to say hi, and thanks for the great job you're doing.
[00:12:47.897 --> 00:12:49.699]  I just wanted to ask.
[00:12:49.799 --> 00:12:55.144]  I know you guys have got a little time before you go up to New York in the next couple of weeks.
[00:12:55.744 --> 00:12:57.666]  I was just wondering, man, would you stay a little bit longer?
[00:12:57.726 --> 00:12:58.927]  Give Alex a good break?
[00:12:59.007 --> 00:13:00.749]  Or are you going to have to go back?
[00:13:00.949 --> 00:13:02.830]  I actually, listen, here's my deal.
[00:13:03.231 --> 00:13:05.893]  I am leaving right after the show on Thursday.
[00:13:05.933 --> 00:13:08.896]  I'm actually getting braces tomorrow by Alex's dad.
[00:13:09.536 --> 00:13:11.939]  Who knows how painful the Thursday show is going to be for me.
[00:13:11.959 --> 00:13:14.581]  But right after the show on Thursday, I'm driving across the country.
[00:13:14.921 --> 00:13:22.927]  Because I do have a wedding on the 31st of August and of course Alex is going down to New York on September 10th, but he's going to be going down there.
[00:13:22.987 --> 00:13:24.108]  I'm going to be going down there.
[00:13:24.348 --> 00:13:32.253]  We're going to be showing our films Truth Rising and Fabled Enemies for free with WeAreChanged.org, Luke Radowski and others.
[00:13:32.634 --> 00:13:33.694]  So I wish I could stay.
[00:13:33.714 --> 00:13:36.516]  I'm looking to try to set up some kind of a
[00:13:38.041 --> 00:13:46.406]  of a little studio, a radio studio at my house, so I can continue to sub in for Alex when he wants to take off for events like this, which are completely effective.
[00:13:46.446 --> 00:13:48.067]  I mean, the DNC, how awesome is that?
[00:13:48.107 --> 00:13:49.808]  Or when he just wants to spend time with his family.
[00:13:50.068 --> 00:13:50.968]  I love doing the show.
[00:13:51.248 --> 00:13:52.089]  I love the audience.
[00:13:52.149 --> 00:13:53.149]  I love reaching people.
[00:13:53.550 --> 00:14:01.094]  And it's just really fun for me to sit here and talk about all these real things and talking to people that are aware of them.
[00:14:01.254 --> 00:14:02.075]  Yeah, I just wanted to say...
[00:14:21.577 --> 00:14:25.322]  I just want to congratulate you on your new movie coming out, Fabled Enemies.
[00:14:25.362 --> 00:14:26.704]  I look forward to watching it.
[00:14:27.205 --> 00:14:29.227]  I have watched your other films as well.
[00:14:29.708 --> 00:14:31.370]  You just did a fantastic job.
[00:14:31.430 --> 00:14:32.932]  And I wanted to plug
[00:14:33.757 --> 00:14:46.780]  Text Mars aside, I listened to Alex's show, or Alex being on Texas Show last week, and I'd like everybody to go out to textmars.com and listen to Alex's feed on there with Tex, and a great sum up of 9-11.
[00:14:46.800 --> 00:14:46.981]  Truth.
[00:14:47.001 --> 00:14:48.881]  Truth rising, that's correct.
[00:14:52.602 --> 00:14:53.182]  Hello, hey, what's up?
[00:15:16.078 --> 00:15:19.502]  Hey Jason, I just wanted to say what's up, just some ideas.
[00:15:20.443 --> 00:15:28.592]  I wanted to know if you could take Table Enemies on kind of like a nationwide tour, advertising in newspapers, maybe rent out a hotel room, maybe a movie theater, something of that sort.
[00:15:29.193 --> 00:15:33.978]  And just try to gather people in the same area together, because I feel like the movement
[00:15:34.258 --> 00:15:35.459]  Well, it's not really going to happen.
[00:15:35.539 --> 00:15:37.781]  I mean, it happened with Loose Change 2nd Edition.
[00:15:37.841 --> 00:15:39.423]  It happened with Loose Change Final Cut.
[00:15:39.443 --> 00:15:40.424]  I've been all over the country.
[00:15:40.484 --> 00:15:42.005]  It's really up to people like you, man.
[00:15:42.506 --> 00:15:43.367]  I can't do it all.
[00:15:43.787 --> 00:15:45.268]  And I know theaters cost money.
[00:15:45.368 --> 00:15:46.449]  I know events cost money.
[00:15:46.490 --> 00:15:47.551]  Promotion costs money.
[00:15:47.891 --> 00:15:49.993]  And if people are willing to put up that money,
[00:15:50.373 --> 00:16:05.080]  I always give them the theater take and basically I make whatever I can off the DVDs and t-shirts and you know they have to bring me out there and I have to have the time to do it but you're more than welcome to set up you know private screenings in your own home, in schools, in colleges, on public access.
[00:16:05.280 --> 00:16:11.262]  We try to make it available for as many people as possible and I try to do what I can but you know Alex is pretty dead on.
[00:16:11.302 --> 00:16:15.404]  If you spend too much time traveling you're not able to put these projects together.
[00:16:15.444 --> 00:16:19.466]  I mean this project took me a good three, four months to really
[00:16:20.046 --> 00:16:47.615]  piece together and that's not even involving the writing or you know getting you know actually archiving the clips that let literally you know I was doing that while I was working on Loose Change Final Cut so it's a very extensive process and I hope I can travel around to you can you can bet that you'll see me in places like Jersey maybe Boston you know northeast corners a lot easier for me because I can drive and I've got a car now so it's a a bit easier I thank you for the call Chris let's jump to Robin in Ohio Robin what's on your mind
[00:16:48.140 --> 00:16:49.281]  Hey, what's going on, man?
[00:16:49.301 --> 00:16:50.761]  Appreciate your work, Jason.
[00:16:50.942 --> 00:16:51.462]  Thank you, sir.
[00:16:51.502 --> 00:16:52.843]  Hey, I got two things.
[00:16:53.023 --> 00:16:53.703]  Okay.
[00:16:54.564 --> 00:17:00.227]  If you're a Time Warner person, you can go to the marketing department and get leased access.
[00:17:00.727 --> 00:17:04.669]  I think it's like $200 an hour, but you can buy time on Time Warner.
[00:17:05.249 --> 00:17:05.710]  I've done it.
[00:17:09.338 --> 00:17:12.961]  My contribution, I have a personalized tag on my car.
[00:17:13.001 --> 00:17:16.825]  It says WTC7 and below it's my InfoWars sticker.
[00:17:16.865 --> 00:17:18.387]  I've got t-shirts printed up.
[00:17:19.207 --> 00:17:20.068]  I do what I can.
[00:17:20.088 --> 00:17:20.949]  I spread the word.
[00:17:21.149 --> 00:17:24.592]  I buy your guys' stuff and I share it with everyone I can.
[00:17:26.061 --> 00:17:27.462]  Trying to do what I can, bro.
[00:17:27.542 --> 00:17:28.623]  Just wanted to say hello.
[00:17:28.643 --> 00:17:29.925]  You're doing a great job.
[00:17:45.959 --> 00:18:08.971]  If you check that out, this guy, he posted it on my page, on my MySpace page a couple weeks ago, but he did me a custom Investigate 9-11 New Era hat with Info Warrior on the back, and you know, everybody's doing something out there, and as long as you're just not listening, if you're doing what The Last Caller's doing, if you're showing your neighbors, if you're making copies of DVDs, if you're acting like a human being and interacting,
[00:18:09.704 --> 00:18:11.085]  With the human populace, man.
[00:18:11.445 --> 00:18:13.025]  With humanity in general.
[00:18:13.626 --> 00:18:16.267]  You're making a difference, and I know that we can continue to do that.
[00:18:16.527 --> 00:18:18.928]  All right, let's jump to Judy in California.
[00:18:18.988 --> 00:18:19.789]  Judy, what's on your mind?
[00:18:19.809 --> 00:18:21.669]  Hey, Jason!
[00:18:21.969 --> 00:18:22.470]  Am I on?
[00:18:22.510 --> 00:18:23.030]  You are on.
[00:18:23.510 --> 00:18:24.311]  Hi, Jason.
[00:18:25.071 --> 00:18:26.872]  Jason, I just want to encourage you all.
[00:18:26.992 --> 00:18:36.416]  So, I've been listening to the program now for about a year, and I just want to really encourage, and I want to encourage the American people
[00:18:37.545 --> 00:18:51.451]  Even those of you that are skeptics and aren't quite sure about a lot of this material, to take a second look, to begin to get informed, to listen to politicians more carefully.
[00:18:51.471 --> 00:19:05.918]  I've been studying these issues probably for 15 years and I come from a background that was very knowledgeable with respect to constitutional law and the basic foundational premise of our society.
[00:19:06.762 --> 00:19:30.502]  And I can honestly say that to all of those of you that are listening, Alex Jones and what he represents and what he's endeavoring to get the American people to do, which is to pay attention, which is to understand what's going on, which is to hold the politicians and statesmen accountable, and more important than anything else is to
[00:19:31.786 --> 00:19:38.050]  We need to truly take accountable action and understand the foundational premises of our republic.
[00:19:38.751 --> 00:19:48.897]  Because, you know, what's happening in our society and what's happening with respect to... It's due to a complete lack of knowledge of the Constitution and Bill of Rights.
[00:19:48.937 --> 00:19:50.638]  It's due to pure ignorance and apathy.
[00:19:50.658 --> 00:19:54.021]  And I'm going to take more of your comments on the other side, Judy, so stick with us.
[00:19:54.321 --> 00:19:55.041]  Barton, Texas.
[00:19:55.081 --> 00:19:55.622]  Natan, Indiana.
[00:19:55.662 --> 00:19:56.722]  And more when we come back.
[00:19:56.922 --> 00:19:57.843]  Infowars.com.
[00:19:57.863 --> 00:19:58.564]  PrisonPlanet.com.
[00:19:59.984 --> 00:20:05.469]  On September 11, 2001, along with hundreds of my fellow troops, I went to ground zero.
[00:20:05.709 --> 00:20:07.010]  And we knew what to do.
[00:20:07.030 --> 00:20:08.812]  Or at least we thought we did.
[00:20:09.032 --> 00:20:15.458]  Truth Rising is a breakthrough 9-11 film that finally gives first responders a platform to tell their story.
[00:20:16.078 --> 00:20:22.784]  Whitman, EPA director on the 18th, made a statement that the air
[00:20:23.404 --> 00:20:24.586]  It was safe to breathe.
[00:20:24.606 --> 00:20:26.708]  He had his hand over the radio while he was getting a countdown.
[00:20:26.729 --> 00:20:28.891]  He takes his hand off and you hear 3, 2, 1, and it was boom, boom, boom, boom, boom.
[00:20:40.999 --> 00:20:43.662]  This is an emergency transmission worldwide.
[00:20:44.083 --> 00:20:49.930]  Download Truth Rising at PrisonPlanet.tv and aggressively spread it worldwide.
[00:20:50.130 --> 00:20:52.653]  Or order the DVD at Infowars.com.
[00:20:53.054 --> 00:20:57.980]  If we don't expose the government-sponsored terror, they're going to commit more acts and bring in martial law.
[00:20:59.306 --> 00:20:59.787]  Gold.
[00:21:00.107 --> 00:21:01.388]  It's like nothing else on Earth.
[00:21:01.649 --> 00:21:07.755]  From the Romans through the Renaissance, from the Industrial Age to the Space Age, gold has weathered the test of time.
[00:21:07.935 --> 00:21:11.759]  For 6,000 years, gold has remained the ultimate store of wealth.
[00:21:12.099 --> 00:21:13.981]  According to the World Gold Council and the U.S.
[00:21:14.041 --> 00:21:16.304]  Mint, demand is at an all-time high.
[00:21:16.544 --> 00:21:17.144]  We're good to go.
[00:21:40.555 --> 00:21:41.596]  We're good.
[00:21:59.411 --> 00:21:59.791]  We're good to go.
[00:22:27.617 --> 00:22:30.039]  This will change the character, not civil enforcement.
[00:22:30.219 --> 00:22:35.342]  From history we saw that when church and state united, known as Papal Rome, religious intolerance resulted.
[00:22:35.522 --> 00:22:38.905]  This union would go directly contrary to the great principles of our nation.
[00:22:39.205 --> 00:22:41.847]  America and Papal Rome are uniting in this agenda.
[00:22:41.987 --> 00:22:44.528]  Protestant America, awake before it is too late.
[00:22:44.748 --> 00:22:46.490]  The prophecies are fast fulfilling.
[00:22:46.690 --> 00:22:48.031]  Jesus is coming soon.
[00:22:48.271 --> 00:22:49.612]  For free materials call 888-211-1715.
[00:22:49.632 --> 00:22:50.973]  Or write The Bible Says, Box 99, Lenoir City, Tennessee, 37771.
[00:22:58.598 --> 00:23:01.141]  David J. Smith for Newswatch Magazine.
[00:23:01.641 --> 00:23:06.966]  Did you know that the United Nations has always chosen socialist one-worlders for its leadership?
[00:23:07.647 --> 00:23:13.873]  Did you know that the United Nations seeks power to control the environment, population, children, and the whole world?
[00:23:14.474 --> 00:23:17.317]  They want to dissolve our Constitution and Bill of Rights.
[00:23:17.917 --> 00:23:29.151]  We would like to help you understand why these things are happening and how they fulfill Bible prophecy by offering you an absolutely free one-year subscription to Newswatch Magazine.
[00:23:29.852 --> 00:23:31.374]  Just call our toll-free number, 1-800-833-9000.
[00:23:33.513 --> 00:23:34.233]  That's 1-800-516-8736.
[00:23:34.333 --> 00:23:35.053]  That's 1-800-516-8736.
[00:23:35.394 --> 00:23:39.435]  And request your free one-year subscription to NewsWatch Magazine.
[00:23:39.475 --> 00:23:39.695]  Call now.
[00:23:40.175 --> 00:23:42.735]  Operators are standing by to receive your call.
[00:24:11.681 --> 00:24:12.681]  I want to live to 103.
[00:24:12.742 --> 00:24:13.522]  Alright, we back.
[00:24:13.682 --> 00:24:18.084]  I'm Jason Bermas filling in for Alex Jones through Thursday.
[00:24:18.124 --> 00:24:19.945]  Remember, Friday we're going to have a Best of the DNC.
[00:24:19.985 --> 00:24:20.385]  Don't miss it.
[00:24:34.912 --> 00:24:37.816]  We'll probably even play some stuff that we didn't play on the radio previously.
[00:24:37.836 --> 00:24:42.903]  We have so much live footage that has been streamed from the DNC over at InfoWars.com.
[00:24:42.923 --> 00:24:48.350]  You can go over there right now and watch some of the archived stuff and really see Alex on the scene.
[00:24:48.370 --> 00:24:51.435]  I mean, this is a revolutionary radio show!
[00:24:51.795 --> 00:24:58.420]  I mean, we've got people live at the DNC, we've got the protesters, we've got other Alex Jones Radio shows that are taking place.
[00:24:58.640 --> 00:25:01.542]  We're showing you the anarchists, we're showing you the detention centers.
[00:25:01.862 --> 00:25:06.546]  This is not being covered on any of the other mainstream or otherwise shows.
[00:25:07.046 --> 00:25:10.548]  So, going back to Judy in California, I'm going to let you finish up your point.
[00:25:11.649 --> 00:25:12.970]  I appreciate that, Jason.
[00:25:13.010 --> 00:25:19.615]  So, Jason, I just wanted to encourage and thank both you and Alex a great, great deal.
[00:25:20.422 --> 00:25:40.132]  And encourage the American people, those that are in the know and those that think it's a little bit on the fringe, get informed, start paying attention, start reading, because these are very, very serious times and these are extremely egregious and wicked people in high places.
[00:25:40.652 --> 00:25:42.553]  And then also, I would like to say,
[00:25:43.398 --> 00:26:12.258]  For all the good people, all the people that want to live a good, clean, moral life, the Christians, the Jews, I myself am a Christian and I believe that we should be good to our fellow man, we should do what is right, among other things, and I think it's incumbent upon us to hold people up that are walking in integrity and trying to do what's right, such as Mr. Jones and such as Mr. Bermas, and really pray for them, really pray that good will come.
