[00:00:00.009 --> 00:00:01.810]  We're live at PrisonPlanet.tv
[00:09:27.858 --> 00:09:29.019]  But you know something, Alex?
[00:09:29.999 --> 00:09:35.263]  I'm getting physically ill looking at all politicians except Ron Paul.
[00:09:36.083 --> 00:09:38.365]  Let me say something about Ron Paul right quick.
[00:09:38.905 --> 00:09:48.491]  I read in an article that he made a passionate plea on the floor of the House of Representatives to get rid of the Federal Reserve System, to repeal the Federal Reserve Act.
[00:09:48.511 --> 00:09:49.992]  He also called for their arrest!
[00:09:51.112 --> 00:09:51.412]  Go ahead.
[00:09:51.592 --> 00:09:58.998]  He also called for their arrest a month ago on this show, and the general public's still not... We have to have that idea in our head.
[00:09:59.018 --> 00:10:01.880]  These are criminals that engineered this banking collapse.
[00:10:02.380 --> 00:10:03.881]  They shouldn't be given more power.
[00:10:05.642 --> 00:10:06.523]  Absolutely not.
[00:10:07.063 --> 00:10:14.869]  I think it's utterly pathetic that these people are now claiming that they have some kind of sovereign authority that
[00:10:16.228 --> 00:10:20.891]  They're above the law, and all of this crap was set up during a lame duck session of Congress.
[00:10:20.931 --> 00:10:25.995]  I've tried to tell people this, yet they control everything about the U.S.
[00:10:26.035 --> 00:10:27.556]  economy, and you know what?
[00:10:27.897 --> 00:10:41.527]  That is why our government, as you say, is basically corrupt and illegitimate, because the inter-share politicians, they are elected based on what they're willing to do for the Federal Reserve System.
[00:10:42.879 --> 00:10:48.186]  And I want to ask you a quick question about Barkey Obama before I ask you about Rambo Emanuel.
[00:10:48.226 --> 00:10:54.355]  Now, do you think that the CIA is going to somehow magically produce a copy of his birth certificate?
[00:10:54.615 --> 00:10:58.000]  And if they do that, what about his medical records that have been sealed?
[00:10:59.929 --> 00:11:01.371]  You know, I don't know what's going to happen.
[00:11:01.451 --> 00:11:06.197]  In a way, whether he's an American or not, I'm not saying it's a distraction or a diversion.
[00:11:06.237 --> 00:11:07.359]  It's a substantive issue.
[00:11:08.060 --> 00:11:11.084]  But it becomes a red herring from just the issues he supports.
[00:11:11.484 --> 00:11:14.288]  Total banker, takeover of the society,
[00:11:15.069 --> 00:11:30.204]  uh... domestic uh... drafts police squads tattletale squads carbon taxes that will fully bankrupt our economy and that will make more carbon be produced because it will make all the industry go to india and china where they have no
[00:11:31.185 --> 00:11:32.505]  carbon restrictions.
[00:11:32.525 --> 00:11:53.770]  I mean, even if you believe that carbon dioxide is a deadly chemical weapon that must be banned, oh goodness, plants breathe it, which of course is pure bull, but let's just say that's true, then why would you do what the government studies show would actually increase the overall output of CO2, because it'll just cause it to move to the third world nations that aren't under this.
[00:11:53.810 --> 00:11:54.630]  This is a tax.
[00:11:55.010 --> 00:11:55.750]  This is control.
[00:11:56.050 --> 00:11:59.251]  So that's why I'm really most against Barack Obama.
[00:12:00.534 --> 00:12:16.946]  When you were talking with Jack McLam about the female preachers, he mentioned that when the government goes after, I want you all to hear me very well, when the government goes after the Second Amendment, then that's when they will get their war for the damn Republic.
[00:12:17.526 --> 00:12:21.509]  Now, it's time to have Jack McLam back on.
[00:12:22.273 --> 00:12:29.654]  Because now this is exactly what these propagandist, illegitimate demons are talking about through this Rambo Emanuel.
[00:12:29.974 --> 00:12:31.195]  Who gave him this name?
[00:12:31.215 --> 00:12:33.215]  The name Emanuel means God with us.
[00:12:33.535 --> 00:12:38.516]  We've got dressed up demons amongst us, Alex, as far as these politicians are concerned.
[00:12:38.676 --> 00:12:39.896]  That's my honest assessment.
[00:12:40.476 --> 00:12:45.237]  Yeah, Ram Emanuel means high with God or in the high place with God.
[00:12:45.257 --> 00:12:46.417]  I appreciate your call, sir.
[00:12:47.637 --> 00:12:51.178]  I want to go through some news here in a minute and also show it to you here on the document cam.
[00:12:52.683 --> 00:12:53.644]  But we'll do that later.
[00:12:53.684 --> 00:12:55.344]  Let's continue with your calls right now.
[00:12:56.285 --> 00:13:00.967]  Let's talk to Michelle in British Columbia.
[00:13:01.007 --> 00:13:01.687]  You're on the air.
[00:13:02.268 --> 00:13:04.008]  Actually, Michelle and Joe dropped off.
[00:13:04.288 --> 00:13:04.709]  Okay.
[00:13:05.509 --> 00:13:07.390]  These callers call in and they drop right off.
[00:13:08.230 --> 00:13:09.591]  Erin in Hawaii.
[00:13:09.651 --> 00:13:10.371]  You're on the air.
[00:13:11.632 --> 00:13:12.452]  Hi there, Alex.
[00:13:12.752 --> 00:13:13.052]  Hi.
[00:13:13.773 --> 00:13:15.474]  I really appreciate what you're doing.
[00:13:17.549 --> 00:13:27.215]  You give me a lot of incentive to contact the senators and the reps here in Hawaii and trying to explain to them what is going on.
[00:13:27.835 --> 00:13:36.540]  My husband and I called and we're completely against the bailout and basically we're just talking to their aides.
[00:13:37.341 --> 00:13:40.242]  I've got different reactions depending on which office.
[00:13:40.583 --> 00:13:44.285]  Everything from screaming back at me and hanging up on me to
[00:13:45.826 --> 00:13:49.588]  One of them saying that they will personally call me back on the 17th.
[00:13:52.409 --> 00:13:57.992]  Just trying to let them know, let my neighbors know here that we know what's going on.
[00:14:00.253 --> 00:14:02.214]  That all of this has been engineered.
[00:14:03.654 --> 00:14:05.615]  They want to take away our sovereignty.
[00:14:08.757 --> 00:14:09.397]  It's frightening.
[00:14:10.467 --> 00:14:16.731]  And here in Maui, it was very strange, you know, because Obama, you know, supposedly was born over on Oahu.
[00:14:16.751 --> 00:14:30.340]  And it's real funny because Governor Lingle here sealed his birth, supposedly sealed his birth records, and supposed to remain that way until after the election.
[00:14:30.500 --> 00:14:35.283]  However, the issue just seemed to have been forgotten about, even locally here.
[00:14:37.509 --> 00:14:40.752]  And then I heard that the Kenyan government also was sealing things.
[00:14:42.693 --> 00:14:44.715]  Because possibly he was really bored in Kenya.
[00:14:44.775 --> 00:14:52.701]  Yes, they've been sealing and hiding it and acting very, very suspicious, which is never a good sign, is it?
[00:14:53.522 --> 00:14:54.322]  Oh, no, sir.
[00:14:54.783 --> 00:14:55.263]  No, sir.
[00:14:55.743 --> 00:14:59.286]  There's no reason for the governor to seal something like that.
[00:15:00.547 --> 00:15:06.592]  Just the fact that she said they were sealing it is really, to me, an omission that
[00:15:08.210 --> 00:15:09.911]  He really isn't a citizen.
[00:15:11.752 --> 00:15:22.716]  The private school that he went to, Oahu, here, I forget the name of it, it's in Hawaii, but Honoho, I think, it's like $15,000 a year.
[00:15:22.736 --> 00:15:30.900]  You know, how could his family have afforded, you know, if he was a single mom on food stamps and this and that?
[00:15:32.196 --> 00:15:32.557]  No, no.
[00:15:32.837 --> 00:15:36.739]  The guy is a foundation creation from day one.
[00:15:36.779 --> 00:15:38.780]  I appreciate your call.
[00:15:39.540 --> 00:15:40.301]  Good to hear from you.
[00:15:40.321 --> 00:15:47.344]  We're going to take more calls coming up, and we're going to have Larry Pratt on with us, but it was good to hear from you, Aaron, in Hawaii.
[00:15:49.145 --> 00:15:51.467]  Here's that Bloomberg report I talked about yesterday.
[00:15:52.717 --> 00:15:56.480]  Fed defies transparency aim and refusal to identify bank loans.
[00:15:57.060 --> 00:16:04.365]  Then it says 2 trillion of emergency loans for American taxpayers and the troubled assets the central bank is accepting as collateral.
[00:16:04.905 --> 00:16:06.266]  And they're just saying it's secret.
[00:16:06.666 --> 00:16:08.688]  But everybody keeps talking about 700 billion.
[00:16:09.068 --> 00:16:14.572]  That's a distractionary amount that they are talking about there.
[00:16:15.152 --> 00:16:17.414]  So they are really throwing this in our face.
[00:16:18.174 --> 00:16:18.915]  Here's one.
[00:16:19.515 --> 00:16:22.357]  This was reported in the German and Austrian newspapers.
[00:16:23.618 --> 00:16:37.085]  The University of Veterinary Medicine in Vienna did a study with mice and found that it sterilized them and lowered their birth weights and caused all sorts of problems with just one type of Monsanto maize.
[00:16:38.245 --> 00:16:42.948]  So I wanted to show that to everybody who's watching at PrisonPlanet.tv.
[00:16:45.109 --> 00:16:51.913]  The headline there, of course, is genetically modified maize lowers fertility in mice study finds
[00:16:53.404 --> 00:16:56.246]  This is one of the big newspapers over in the United Arab Emirates.
[00:16:57.347 --> 00:16:58.087]  It's the National.
[00:16:59.708 --> 00:17:11.516]  And they had a big global meeting on the future of banking there last week, or over the weekend, and guess who was there?
[00:17:12.897 --> 00:17:13.477]  This guy,
[00:17:15.120 --> 00:17:20.083]  Baron David Rothschild, the head of the Rothschild Bank.
[00:17:20.103 --> 00:17:24.865]  The Rothschilds have helped the British government since financing Wellington's army to fight the French in 1815.
[00:17:25.445 --> 00:17:28.547]  That's actually when they bankrupted it by design.
[00:17:28.907 --> 00:17:41.614]  And they actually admit that in the article, and say that this guy basically runs world banking, and they have him bragging about how they're setting up a New World Order world government,
[00:17:43.772 --> 00:18:09.706]  out of this crisis the first barons of banking is that headline for everybody out there that wants to check it out and then you can open it up to the second page and it gets into the new world order it gets into global government it's all right there in the article uh... for anybody that uh...
[00:18:11.618 --> 00:18:12.499]  that wants to read it.
[00:18:12.559 --> 00:18:15.703]  It's all there for the people that want to see it.
[00:18:17.805 --> 00:18:19.106]  So there's that report.
[00:18:20.528 --> 00:18:22.810]  Continuing, Russia is rejecting U.S.
[00:18:23.031 --> 00:18:29.418]  missile proposals, and that's out of Reuters.
[00:18:31.173 --> 00:18:49.284]  The United States and NATO have moved all sorts of weapons systems and systems to shoot down Russian missiles right up against their border in Poland, Czechoslovakia, Ukraine, Georgia, and NATO admits in its doctrine... That was a good move there.
[00:18:50.065 --> 00:18:53.827]  I've still got a cold here a little bit, folks, so bear with me.
[00:18:58.649 --> 00:19:00.170]  We're going to punch this up on screen.
[00:19:00.210 --> 00:19:01.491]  Here you go.
[00:19:01.711 --> 00:19:02.992]  Russia rejects U.S.
[00:19:03.132 --> 00:19:04.153]  missile proposal.
[00:19:04.713 --> 00:19:06.674]  The Kremlin on Wednesday rejected U.S.
[00:19:07.935 --> 00:19:19.763]  proposals aimed at easing concerns over a missile defense system in Europe and said it would try again to resolve the fight once Barack Obama is in the White House.
[00:19:22.345 --> 00:19:23.606]  Russia says the planned U.S.
[00:19:23.626 --> 00:19:27.509]  system will threaten its national security under the administration of George Bush
[00:19:28.462 --> 00:19:42.319]  which leaves office in January has failed to allay its concerns and then they in an asinine fashion come out and say
[00:19:45.819 --> 00:19:48.121]  That it's for Iran to fight terrorists.
[00:19:48.542 --> 00:19:51.324]  So they're just stirring up wars with Russia.
[00:19:52.165 --> 00:19:57.430]  By the way, Barack Obama has announced he's going to have lobbyists in his administration and donors.
[00:19:57.990 --> 00:20:05.818]  That was all lies, and he's not getting rid of Guantanamo Bay, and he's not getting out of Iraq, and he's not getting rid of torture, and he's not getting rid of warrantless wiretapping.
[00:20:07.774 --> 00:20:13.356]  Ionic Zone has the lowest prices in the USA on shock treatment ozone generators, starting at $299.
[00:20:14.016 --> 00:20:27.741]  Ionic Zone shock treatment ozone generators are used by remediation contractors and homeowners alike to sterilize homes and cars, making them free from bacteria, molds, viruses, and complete removal of secondhand smoke, pet odors, you name it.
[00:20:27.981 --> 00:20:31.202]  What else can three oxygen atoms, in other words, ozone, do?
[00:20:31.502 --> 00:20:35.984]  Many hospitals sterilize their operating rooms with ozone before and after operations.
[00:20:36.264 --> 00:20:36.565]  I think so.
[00:20:51.141 --> 00:20:54.423]  On September 11th, 2001, along with hundreds of my fellow troops, I went to ground zero.
[00:20:54.483 --> 00:20:55.463]  And we knew what to do.
[00:21:15.657 --> 00:21:16.718]  Or at least we thought we did.
[00:21:16.918 --> 00:21:23.346]  Truth Rising is a breakthrough 9-11 film that finally gives first responders a platform to tell their story.
[00:21:23.967 --> 00:21:32.477]  Whitman, EPA director on the 18th, made a statement that the air was safe to breathe.
[00:21:32.864 --> 00:21:39.667]  This film follows the growing momentum of 9-11 Truth as brave souls throughout the world take action against their global masters.
[00:21:39.967 --> 00:21:43.008]  He had his hand over the radio while he was getting a countdown.
[00:21:43.128 --> 00:21:48.330]  He takes his hand off and you hear 3, 2, 1 and it was boom, boom, boom, boom, boom!
[00:21:48.891 --> 00:21:51.532]  This is an emergency transmission worldwide.
[00:21:51.972 --> 00:21:58.955]  Download Truth Rising at PrisonPlanet.tv and aggressively spread it worldwide or order the DVD at
[00:22:01.647 --> 00:22:01.968]  We're good to go.
[00:22:07.583 --> 00:22:10.964]  More than 700 chemicals have been found in our drinking water.
[00:22:11.104 --> 00:22:16.326]  And did you know that you have greater exposure to these chemicals while taking hot showers than when drinking the water?
[00:22:16.506 --> 00:22:21.288]  That's because many chemicals are inhaled when they evaporate, and others are absorbed into the skin.
[00:22:21.668 --> 00:22:32.792]  The KDF Dual Media Shower Filter works with both hot and cold water, and it's designed to reduce chlorine, lead, mercury, and iron, and it inhibits the growth of bacteria, mold, algae, and fungus.
[00:22:33.192 --> 00:22:38.737]  The KDF dual media shower filter typically last 10,000 gallons or one year, whichever comes first.
[00:22:38.957 --> 00:22:45.022]  Hospitals, restaurants and water treatment facilities use this media to reduce chlorine, iron, heavy metals and bacteria.
[00:22:45.222 --> 00:22:45.883]  What about you?
[00:22:46.263 --> 00:22:48.185]  Order your KDF shower filter normally.
[00:22:48.265 --> 00:22:52.308]  Forty nine dollars for a special price of only thirty nine ninety nine with free shipping.
[00:22:52.709 --> 00:22:54.710]  Call the Berkey guy and order now by calling 1 8 7 7 8 8 6 3 6 5 3.
[00:22:58.188 --> 00:23:01.610]  That's 1-877-886-3653.
[00:23:01.971 --> 00:23:05.513]  Or simply click on the banner at GCNLive.com to order online now.
[00:23:07.054 --> 00:23:17.141]  With food prices soaring to all-time highs, as the dollar continues to fall in value, what can you and your family do to guarantee that fresh, nutritious vegetables will make it to your dinner table?
[00:23:17.641 --> 00:23:18.702]  Garden in a Can.
[00:23:19.062 --> 00:23:22.625]  Garden in a Can is your source for premium, long-term, storable seeds.
[00:23:23.205 --> 00:23:24.966]  Garden in a Can is ready when you are.
[00:23:25.206 --> 00:23:27.508]  Plant them now or store them for when you really need them.
[00:23:27.968 --> 00:23:37.018]  There are 16 large, hermetically sealed, non-hybrid, open-pollinated packets of seeds, along with detailed planting instructions sealed in a can for ultimate long-term protection.
[00:23:37.659 --> 00:23:38.660]  Garden in a Can.
[00:23:39.061 --> 00:23:39.922]  It's that simple.
[00:23:40.282 --> 00:23:40.583]  Fresh.
[00:23:40.983 --> 00:23:41.363]  Healthy.
[00:23:41.844 --> 00:23:42.124]  Easy.
[00:23:42.665 --> 00:23:46.629]  Only $69.95 for over a half acre of safe, fresh vegetables.
[00:23:47.010 --> 00:23:47.891]  Ready when you are.
[00:23:48.564 --> 00:23:52.205]  Stop procrastinating and start preparing with Garden In A Can.
[00:23:52.645 --> 00:23:55.746]  For more details visit GardenInACan.com today.
[00:23:56.126 --> 00:23:58.647]  That's GardenInACan.com or call 866-598-7396.
[00:23:58.667 --> 00:23:58.707]  866-598-7396.
[00:24:17.825 --> 00:24:20.366]  Alright, we're live at PrisonPlanet.tv.
[00:24:20.466 --> 00:24:22.247]  I'm Alex Jones, your host.
[00:24:22.827 --> 00:24:25.288]  Going out on the AM and FM dial, global shortwave of the internet.
[00:24:25.708 --> 00:24:31.670]  Don't forget the free podcast downloaded by over 105,000 people a day and growing Monday through Sunday.
[00:24:33.098 --> 00:24:34.698]  Only day off is Saturday.
[00:24:35.479 --> 00:24:37.359]  Free podcast, six days a week.
[00:24:37.379 --> 00:24:39.840]  Listen to how you want, where you want, when you want.
[00:24:40.560 --> 00:24:44.241]  Very thankful to all the listeners and people that love liberty and hate tyranny.
[00:24:44.901 --> 00:24:49.562]  Okay, we've got a lot of callers here, and I got my callers scrambled earlier.
[00:24:49.902 --> 00:24:51.682]  Who's been holding the longest here, John?
[00:24:52.703 --> 00:24:53.663]  Michelle in B.C.
[00:24:53.683 --> 00:24:54.063]  Colbert.
[00:24:54.323 --> 00:24:56.024]  Okay, Michelle in B.C.
[00:24:56.084 --> 00:24:57.104]  Go ahead, you're on the air.
[00:24:58.944 --> 00:24:59.464]  Hi, Alex.
[00:24:59.584 --> 00:24:59.804]  Hi.
[00:24:59.864 --> 00:25:01.925]  I hope you're feeling better.
[00:25:02.905 --> 00:25:07.787]  And I've been awakened to all this only for about six months and I'm 43 years old.
[00:25:08.588 --> 00:25:11.849]  I should have had this information much sooner in my life.
[00:25:12.109 --> 00:25:15.510]  Anyways, I also want to mention I just recently subscribed to your show.
[00:25:15.551 --> 00:25:16.551]  I bought some new videos.
[00:25:16.991 --> 00:25:18.492]  I'm planning on buying more for Christmas.
[00:25:18.612 --> 00:25:20.473]  This will be my Christmas gift to people.
[00:25:21.733 --> 00:25:30.497]  But one thing I wanted to ask you about is up here Canadians tend, I don't know, they think that the Bank of Canada
[00:25:31.084 --> 00:25:33.165]  is controlled by the government of Canada.
[00:25:34.005 --> 00:25:43.087]  And in the research I've done, back in I think it was 72, all of that was turned over to the same thugs.
[00:25:43.267 --> 00:25:49.709]  Actually, Mark Carney is the governor of the Bank of Canada, who served as director for Goldman Sachs.
[00:25:49.749 --> 00:25:56.331]  Yes, the Bank of Canada has governmental power, but its profits are private.
[00:25:56.711 --> 00:25:57.951]  And it is a private
[00:25:59.198 --> 00:26:06.725]  Chartered Bank, just like in 1913, our Federal Reserve, our parasite, you know, it's like my cancer.
[00:26:07.005 --> 00:26:08.407]  You know, I talk about it possessively.
[00:26:08.807 --> 00:26:11.710]  It's not our military, it's not our police, it's the New World Orders.
[00:26:11.730 --> 00:26:15.073]  I'm not saying they're individually bad, but the system itself is evil.
[00:26:16.174 --> 00:26:19.898]  So I have to semantically myself reprogram myself to really use proper terms.
[00:26:21.101 --> 00:26:29.604]  But the Federal Reserve is private, and the Bank of England is private, the Bundesbank is private, and it is the same families that own it.
[00:26:30.125 --> 00:26:32.526]  It's the Dutch, the British Royalty, the Rothschilds.
[00:26:32.866 --> 00:26:36.647]  It's less than 20 families that own the shares in these.
[00:26:37.087 --> 00:26:39.649]  Let me play you, in case you missed it in the first hour.
[00:26:39.709 --> 00:26:40.589]  I said I'd play this again.
[00:26:40.989 --> 00:26:42.910]  This is two nights ago, Laird NewsHour.
[00:26:43.390 --> 00:26:45.131]  This is Alan Greenspan saying,
[00:26:45.891 --> 00:26:56.459]  But saying it's a good thing that the Federal Reserve isn't under Congress, the President, it is an agency unto itself with no oversight as if that is the American way.
[00:26:56.559 --> 00:26:58.600]  No checks and balances, here it is.
[00:26:59.100 --> 00:27:06.906]  What is the proper relationship, what should be the proper relationship between a chairman of the Fed and a president of the United States?
[00:27:07.406 --> 00:27:15.192]  Well, first of all, the Federal Reserve is an independent agency and that means basically that there is no
[00:27:16.138 --> 00:27:16.559]  I don't know.
[00:27:32.134 --> 00:27:40.737]  is requesting that we do things other than what we think is the appropriate thing, then what the relationships are don't frankly matter.
[00:27:40.957 --> 00:27:44.418]  And I've had very good relationships with the President.
[00:27:44.618 --> 00:27:56.783]  Alright, amazing spin, implying with semantics it's federal but never saying it, and then saying that as long as government has no oversight, as long as government
[00:27:57.563 --> 00:27:58.564]  Has no say.
[00:27:58.944 --> 00:28:00.064]  The Fed is legitimate.
[00:28:00.304 --> 00:28:01.825]  You can go watch the whole clip online.
[00:28:02.185 --> 00:28:02.966]  It's like five minutes.
[00:28:03.646 --> 00:28:05.827]  But, I mean, it's a private group.
[00:28:05.907 --> 00:28:09.209]  They control the issuance of currency, and liquidity, and credit.
