[00:00:02.431 --> 00:00:11.439]  Okay, huge new development.
[00:04:21.954 --> 00:04:25.676]  My God, the slander is just the worst stuff they can say is being said.
[00:04:26.056 --> 00:04:29.238]  Then they have Ventura on, and I haven't had a chance to hear it all yet.
[00:04:29.498 --> 00:04:34.061]  Let's go ahead and play a few minutes of this to analyze enemy propaganda.
[00:04:34.101 --> 00:04:34.401]  Here it is.
[00:04:35.470 --> 00:04:41.672]  Hey, you're one of those guys who believes, you know, that 9-11, that you don't believe two planes knocked down three buildings, right?
[00:04:42.052 --> 00:05:01.697]  Well, I believed it when it happened, and then after I got out of office, my son kept badgering me to pay attention to these things on the internet, and I finally did, and I started studying it, and I started opening my eyes a little, and there's a lot of very difficult questions that have not been answered, and no one seems to want to provide an answer.
[00:05:01.717 --> 00:05:03.518]  What's the most difficult question that you see?
[00:05:04.858 --> 00:05:09.664]  I hate to fear what could have happened, that possibly we did it to ourselves.
[00:05:24.360 --> 00:05:25.101]  You're kidding me!
[00:05:25.321 --> 00:05:36.089]  Well, Howard, I worked in demolition and was trained by the best guys in the United States Navy, being a frogman, and how could those buildings fall at the rate of gravity?
[00:05:36.109 --> 00:05:38.210]  Well, let me ask you something.
[00:05:38.230 --> 00:05:47.337]  I don't know much about this, but when jets go right into a building, couldn't there be so much trauma to the area that things can fall?
[00:05:47.517 --> 00:05:52.341]  No, because if you study how they built the buildings, those buildings were made to withstand
[00:05:52.441 --> 00:05:55.444]  But it seems unthinkable to me that our own government, I mean, this would be...
[00:06:13.199 --> 00:06:15.001]  You're talking about power.
[00:06:15.081 --> 00:06:19.163]  You're talking about foreign policy changing over this event.
[00:06:19.203 --> 00:06:22.506]  You're talking about getting control of the Middle Eastern oil.
[00:06:22.586 --> 00:06:26.048]  Do you think Bush is smart enough to pull off something like that?
[00:06:26.108 --> 00:06:27.829]  Hit pause for a minute.
[00:06:27.869 --> 00:06:28.350]  Hit pause.
[00:06:28.390 --> 00:06:28.850]  Back it up.
[00:06:30.031 --> 00:06:31.672]  Again, we all have blind spots.
[00:06:32.432 --> 00:06:33.913]  And I have had Ventura on.
[00:06:33.953 --> 00:06:36.415]  He broke that he's on I Love and Truth are on this show a month and a half ago.
[00:06:37.076 --> 00:06:38.857]  And then they said they wanted to come back on.
[00:06:38.877 --> 00:06:41.619]  They knew it had a great response and he likes the films and what we do.
[00:06:42.523 --> 00:06:45.026]  And so I get him back on and he says, oh man, they're really attacking me.
[00:06:45.106 --> 00:06:48.129]  And then the one question, because I was thinking the night before, what do I ask?
[00:06:48.169 --> 00:06:49.110]  And I wrote some notes here.
[00:06:49.510 --> 00:06:50.952]  The one question was, well, who did it?
[00:06:51.032 --> 00:06:51.693]  Why'd they do it?
[00:06:51.713 --> 00:06:52.914]  You know, what's the motive?
[00:06:53.034 --> 00:06:57.038]  And of course I talked about that with him two years ago in an interview where he said they might have done it.
[00:06:57.879 --> 00:06:58.979]  When he first started to talk.
[00:06:59.500 --> 00:07:00.700]  That was even before he'd seen Loose Change.
[00:07:00.740 --> 00:07:01.600]  I pushed him over the edge.
[00:07:02.401 --> 00:07:03.441]  And I gave him some of my films.
[00:07:04.021 --> 00:07:07.622]  But I was literally waking up last night mad that I hadn't asked that question.
[00:07:07.882 --> 00:07:10.803]  And then thank God he just says it on Stern so we now have it.
[00:07:10.823 --> 00:07:12.144]  And then he brought the insurance thing.
[00:07:12.184 --> 00:07:13.224]  This is going to go crazy.
[00:07:16.286 --> 00:07:18.609]  Our government may have done 9-11, that's the headline.
[00:07:19.069 --> 00:07:20.891]  Another headline, insurance fraud.
[00:07:21.792 --> 00:07:29.381]  We need multiple articles, attack pattern Delta, tying in the video we got him a few days ago and the audio we've got here with all of it.
[00:07:29.701 --> 00:07:35.308]  And then challenging, we need articles, new people are going to be seeing this, that go through it all.
[00:07:35.928 --> 00:07:44.715]  And show what Jesse's saying, and show Building 7, and show the designers and builders saying about how it could take two fully loaded jets, not one.
[00:07:45.275 --> 00:07:47.697]  Yeah, they said two of those big jumbo jets.
[00:07:48.097 --> 00:07:57.844]  So, we need to show all that, we need to show how NIST admits that bombs, they're now looking at bombs for two years, and they keep saying, we'll release it in a month, we'll release it in a month.
[00:07:58.044 --> 00:08:01.307]  They'll never release what brought it down, because they scientifically know.
[00:08:01.647 --> 00:08:03.208]  Now there have been scientific papers published,
[00:08:04.249 --> 00:08:05.090]  Yeah, it had to be bombs.
[00:08:21.192 --> 00:08:29.459]  We also know that the eyewitnesses that were inside the building, that were blown up on the 8th floor, said that there were multiple explosions inside the building.
[00:08:29.699 --> 00:08:33.783]  So what they're going to do is they're going to take that 8th floor and bring it down and never even mention those.
[00:08:33.803 --> 00:08:45.753]  And they're going to say something happened on the 9th or 10th floor that caused instability in the building, that probably caused those fuel tanks to go up, and I believe there was also a large power generator there too.
[00:08:45.793 --> 00:08:47.855]  I'm sure that's going to fit into play as well.
[00:08:48.055 --> 00:08:50.037]  But here we are, Alex, we're almost seven years later.
[00:08:50.297 --> 00:08:51.358]  Still no NIST report.
[00:08:51.558 --> 00:09:03.108]  And the guy that's heading this NIST report, I think it's Sander something or other, this scientist, he's the guy that went to Popular Mechanics and said 25% or 10 stories of the building was actually scooped out.
[00:09:03.409 --> 00:09:04.910]  You can quote that from the article.
[00:09:05.350 --> 00:09:06.672]  It's just totally made up.
[00:09:06.712 --> 00:09:07.652]  It's just...
[00:09:08.493 --> 00:09:10.353]  That's like saying Godzilla ate the building.
[00:09:10.413 --> 00:09:11.194]  It just didn't happen.
[00:09:11.374 --> 00:09:12.854]  Absolutely, and we have the video to prove it.
[00:09:12.874 --> 00:09:17.295]  We literally have the video after at least one of the buildings has collapsed, of the south face of the building.
[00:09:17.415 --> 00:09:19.675]  Some of the glass has blown out, but some of the doors are still there.
[00:09:19.835 --> 00:09:24.116]  Then they go inside and they literally go through the lobby up into the second floor.
[00:09:24.136 --> 00:09:28.157]  In fact, that footage is in Truth Rising, and I think you're going to show some of that in your film.
[00:09:28.177 --> 00:09:28.297]  Yep.
[00:09:28.637 --> 00:09:33.818]  And there they are, the facade of the building with a few windows broken out, and they show a gray-sided building.
[00:09:34.098 --> 00:09:35.478]  The building was brick red.
[00:09:36.019 --> 00:09:37.899]  Ladies and gentlemen, ladies and gentlemen,
[00:09:39.025 --> 00:09:40.646]  They show the World Financial Center.
[00:09:40.706 --> 00:09:42.206]  I mean, these people are incredible.
[00:09:42.406 --> 00:09:51.990]  Yeah, and when we asked them, when we did our debate with Popular Mechanics, where they got that photograph from, or why they were able to see photographs that still weren't public, and we hadn't seen them.
[00:09:52.010 --> 00:09:52.831]  Oh yeah, they've been saying that.
[00:09:52.871 --> 00:09:54.111]  We've been shown secret photos.
[00:09:54.131 --> 00:09:56.432]  Yeah, we've been shown photos that no one else is allowed to see.
[00:09:56.572 --> 00:09:56.973]  Why?
[00:09:57.453 --> 00:09:58.253]  What's the big deal?
[00:09:58.293 --> 00:09:59.434]  Why isn't all this stuff public?
[00:09:59.474 --> 00:10:02.815]  If they have pictures that we don't have, why not show them to the public?
[00:10:02.835 --> 00:10:06.276]  Well, look, I had firefighters, months after it happened, send me disks with hundreds of high-res.
[00:10:06.296 --> 00:10:07.117]  Some of those are in the film.
[00:10:07.617 --> 00:10:09.081]  We even put some on the web a few years ago.
[00:10:09.501 --> 00:10:12.989]  These are giant government cameras, even back then they were huge pixels.
[00:10:15.906 --> 00:10:19.048]  10, 20 megapixel, whatever, high quality for seven years ago.
[00:10:19.889 --> 00:10:22.951]  And you see it and it's got some windows out.
[00:10:23.031 --> 00:10:25.232]  It shows other buildings on fire.
[00:10:25.793 --> 00:10:27.834]  You know, some of the smaller ones that got crushed but didn't fall.
[00:10:28.294 --> 00:10:36.980]  And in World War II, the Russians coming into Berlin would attack old buildings with giant artillery and aircraft for days and they wouldn't collapse.
[00:10:37.260 --> 00:10:38.301]  The facade was still up.
[00:10:38.882 --> 00:10:44.245]  I mean, you don't just like have a fuel oil tank go off and then everything symmetrically collapses perfectly.
[00:10:44.465 --> 00:10:45.306]  Let's go back to the tape.
[00:10:45.836 --> 00:10:48.797]  I think there are people capable of doing it.
[00:10:48.917 --> 00:10:50.937]  And I'm not saying that it didn't happen.
[00:10:51.037 --> 00:10:55.198]  All I'm saying is that... Take jet fuel, for example.
[00:10:55.278 --> 00:10:56.238]  It's kerosene.
[00:10:56.818 --> 00:10:58.978]  Kerosene doesn't burn very hot.
[00:10:59.418 --> 00:11:09.000]  They're telling us that a kerosene-based fuel melted these steel concrete girders in a giant building so it would simply collapse to the ground.
[00:11:09.020 --> 00:11:12.481]  And it collapsed in all powder.
[00:11:12.561 --> 00:11:14.261]  Wouldn't it come down in big chunks?
[00:11:15.197 --> 00:11:20.019]  The thing is, is the fire caused the columns to weaken and the sagging floors is what caused the building to implode.
[00:11:20.039 --> 00:11:36.986]  Well, if that's the case, okay, if that's the case, if you use that analogy, then when you go camping and use a propane stove, which propane burns hotter than kerosene does, if you leave it on for two hours and you put a big can of beans on your grill, shouldn't the grill collapse?
[00:11:38.038 --> 00:11:38.778]  See that Fred?
[00:11:40.479 --> 00:11:44.601]  It's not that much weight and it's not that much heat.
[00:11:45.081 --> 00:11:46.582]  Stay there ladies and gentlemen.
[00:11:46.622 --> 00:11:47.122]  Stay there.
[00:11:47.162 --> 00:11:50.244]  Now a propane stove is hotter than jet fuel.
[00:11:50.644 --> 00:11:53.445]  We'll be right back to conclude with this huge news.
[00:11:53.805 --> 00:11:55.566]  The insurance fraud clip is coming up.
[00:11:55.946 --> 00:11:56.727]  Stay with us.
[00:11:56.927 --> 00:11:58.508]  It is blowing wide open.
[00:12:00.353 --> 00:12:03.457]  It is now time to reign in evil and bring them to justice.
[00:12:03.477 --> 00:12:06.340]  You leave it on for two hours, and you put a big, a bad much heat.
[00:12:06.380 --> 00:12:06.860]  It doesn't matter.
[00:12:07.381 --> 00:12:09.323]  Stay there, ladies and gentlemen, stay there.
[00:12:11.986 --> 00:12:16.131]  Burma, I wanted to continue while we're, while the radio station, the network's on break.
[00:12:16.511 --> 00:12:19.415]  Have a discussion of just other thoughts you've got about this.
[00:12:20.523 --> 00:12:21.344]  You're also a fan of Hooters.
[00:12:21.384 --> 00:12:22.224]  To me it's like living hell.
[00:12:41.716 --> 00:12:45.360]  But the thing is, again, this is going to reach some of those everymen.
[00:12:45.380 --> 00:12:54.749]  Maybe this reaches, you know, a hundred more cops, a hundred more firemen, you know, a hundred more guys that were down there as first responders that saw that molten metal that day are now ready to come public.
[00:12:55.049 --> 00:12:56.610]  You know, this is going to expand the audience.
[00:12:56.810 --> 00:12:58.392]  It's not going to be a hundred more.
[00:12:58.472 --> 00:13:00.554]  I mean, this guy's got tens of millions.
[00:13:00.614 --> 00:13:06.800]  Well, absolutely, but I'm saying, you know, people that were actually there at Ground Zero that do have first-hand eyewitness account information that's valuable.
[00:13:07.000 --> 00:13:07.981]  That's the big one.
[00:13:08.241 --> 00:13:11.944]  Ventura's courage and the fact that it is coming out on places like Stern.
[00:13:12.424 --> 00:13:13.585]  This is going to go wide open.
[00:13:13.625 --> 00:13:18.448]  I need Nemo, I need Paul, I need Steve, I need everybody to do stories on every angle of this.
[00:13:18.468 --> 00:13:21.310]  And I need the listeners to go completely insane and get it out to everybody.
[00:13:21.551 --> 00:13:25.613]  Yeah, and this is the first time it's really been on Stern where someone's given a venue to speak.
[00:13:26.074 --> 00:13:31.618]  And he's not constantly attacked or his mic is cut or they're playing the cuckoo clock every time he says something.
[00:13:31.638 --> 00:13:33.019]  Notice there was no cuckoo clock today.
[00:13:33.419 --> 00:13:50.818]  Well, I mean, I don't appreciate Howard Stern's operation, I don't want to give any names out, letting people on saying the worst things you can say about me, and I'm very lenient and I've got thick skin, but there's some things, I'm just so busy I don't have time to write them a letter or call these bastards up and say, listen,
[00:13:51.539 --> 00:13:57.164]  You know, it's one thing you want to say I'm a liar, I'm a kook, I'm bad, but don't you dare say the things that are being said on there about me.
[00:13:57.945 --> 00:14:01.248]  That's a total lie, and that's life-wrecking type stuff that's being said.
[00:14:03.650 --> 00:14:06.873]  But the scum that does this, not just Stern letting it happen, but the scum that's saying it.
[00:14:07.253 --> 00:14:09.415]  I mean, they never listen until I end up dragging them through court.
[00:14:09.916 --> 00:14:10.977]  And then it's not a joke anymore.
[00:14:11.397 --> 00:14:12.137]  No, it's not, is it?
[00:14:12.538 --> 00:14:24.024]  And sometimes you just have to go through that legal process to prove to people that you're not playing around, that this is a serious issue, that you can't slander me in every which way, shape, and form to try to discredit the actual information that's out there.
[00:14:24.164 --> 00:14:27.165]  Well, one guy called up and said he was calling CPS on me and my kids.
[00:14:27.645 --> 00:14:29.907]  And I said, you filed that false report, I swear.
[00:14:29.927 --> 00:14:31.367]  I said, think about yourself.
[00:14:31.407 --> 00:14:33.408]  Don't make me spend 20, 30 grand ruining you.
[00:14:33.789 --> 00:14:36.010]  But I said, I mean, I'm just going to have to
[00:14:36.790 --> 00:14:38.332]  I guess make more examples out of people.
[00:14:38.653 --> 00:14:39.774]  Absolutely.
[00:14:39.834 --> 00:14:41.035]  I've already done it a bunch.
[00:14:41.055 --> 00:14:42.257]  People think I'm playing games here.
[00:14:42.277 --> 00:14:44.279]  I do what I say I'm going to do.
[00:14:44.460 --> 00:14:45.501]  You're just the target, Alex.
[00:14:45.521 --> 00:14:47.303]  You are the most outspoken person in this movement.
[00:14:47.323 --> 00:14:48.925]  Well, you keep my family out of it.
[00:14:49.105 --> 00:14:50.767]  That's why I leave the Bush's kids alone.
[00:14:51.128 --> 00:14:52.349]  You keep my family out of it.
[00:14:53.257 --> 00:14:54.118]  And just go ahead.
[00:14:54.158 --> 00:14:58.620]  Nah man, this is all about the information and it's always about attacking the messenger and not the message.
[00:14:59.121 --> 00:15:13.350]  And they don't want to attack the message because when you have somebody who's as smart as Ventura, who can present the information in a concise manner, who isn't Looney Tunes going, no planes hit the buildings, mashed potato planes and all this other nonsense, that's obviously there to discredit us.
[00:15:14.190 --> 00:15:15.511]  You have to address the information.
[00:15:15.832 --> 00:15:16.852]  And I think that's what they're gonna do.
[00:15:16.912 --> 00:15:24.199]  I hope that, you know, the guys over at Stern actually read his book and maybe that leads them to Loose Change or Terror Storm or Road to Tyranny.
[00:15:24.279 --> 00:15:32.066]  Actually, Gary, the producer, said that his son did watch Loose Change and Gary still won't watch it because it's a quote-unquote fake movie.
[00:15:33.362 --> 00:15:35.344]  So, you know, again, we're trying to bring more and more people in.
[00:15:35.424 --> 00:15:37.025]  You know, let's shock them with the truth.
[00:15:37.305 --> 00:15:37.605]  I agree.
[00:15:37.625 --> 00:15:40.968]  Let's go back and play the key part of the clip with Howard Stern on the main show.
[00:15:41.848 --> 00:15:43.149]  And again, I'm not looking for trouble.
[00:15:43.570 --> 00:15:50.795]  It's just, somebody send this clip to Stern and let him know, man, you better listen to what your boys are saying about me, because you're on very thin ice.
[00:16:20.763 --> 00:16:29.450]  Okay, let's go back to this clip of Howard Stern and Jesse Ventura as we analyze the way they try to counter him.
[00:16:29.930 --> 00:16:30.311]  Here it is.
[00:16:31.260 --> 00:16:33.301]  See that, Fred?
[00:16:33.701 --> 00:16:37.822]  It's not that much weight and it's not that much heat.
[00:16:39.223 --> 00:16:45.505]  I don't eat beans.
[00:16:45.965 --> 00:16:48.246]  Gee, I mean... See, that's crazy.
[00:16:48.286 --> 00:16:49.106]  That's crazy.
[00:16:49.126 --> 00:16:56.749]  Like, even when you say that the planes were made to go through a certain way, you've never seen anything that was built to work a certain way, but you never know until something happens.
[00:16:56.769 --> 00:17:00.210]  Well, there is also in the report that they did not build
[00:17:03.711 --> 00:17:05.332]  They didn't build the buildings to code.
[00:17:05.372 --> 00:17:09.673]  They scrimped and they didn't do everything they were supposed to do.
[00:17:09.733 --> 00:17:11.574]  Hit pause, back it up ten seconds.
[00:17:12.174 --> 00:17:14.615]  Again, NISTA said they looked at it.
[00:17:14.655 --> 00:17:16.035]  They were built to code.
[00:17:16.335 --> 00:17:18.316]  They were underwritten by underwriting laboratories.
[00:17:18.336 --> 00:17:21.257]  They internally did their own test and found it had to be bombs.
[00:17:21.297 --> 00:17:23.858]  When Kevin Ryan released that, he got fired.
[00:17:24.198 --> 00:17:26.779]  So just more bull from these people.
[00:17:27.159 --> 00:17:29.580]  And we were playing this as a public service to show you the deception.
[00:17:30.500 --> 00:17:31.621]  Of these individuals.
[00:17:32.682 --> 00:17:33.782]  Barmus, you got comments to that?
[00:17:33.802 --> 00:17:37.645]  Yeah, I mean, Underwriters Laboratory certified the steel structure.
[00:17:37.685 --> 00:17:44.129]  In other words, they had floor models there, after the fact also, that did not collapse, Alex.
[00:17:44.429 --> 00:17:50.933]  They subjected them to higher temperatures for longer periods of time, and the best they could do was have them sag.
[00:17:51.353 --> 00:17:52.354]  It's an utter lie.
[00:17:52.654 --> 00:17:55.476]  We know that, you know, I've heard that before.
[00:17:55.516 --> 00:17:57.278]  The buildings weren't brought to code!
[00:17:57.518 --> 00:17:59.019]  It's a total fabrication!
[00:17:59.280 --> 00:18:05.785]  And the disturbing part is, I've heard that come out of some of the 9-11 truthers, or supposed 9-11 truthers' mouths.
[00:18:06.065 --> 00:18:12.130]  That this was mafia built, and the concrete was light, and it was lightweight steel in the core, or that there's no core at all.
[00:18:12.150 --> 00:18:13.351]  I'm sure you've heard that one, Alex.
[00:18:15.933 --> 00:18:20.457]  Oh, they engage in just every form of deception you can imagine.
[00:18:20.477 --> 00:18:21.438]  Let's finish up with a clip.
[00:18:22.368 --> 00:18:24.231]  Yeah, but they didn't build the buildings to code.
[00:18:24.291 --> 00:18:27.154]  They scrimped and they didn't do everything they were supposed to do.
[00:18:27.174 --> 00:18:28.496]  Well, let's look at the history of the buildings.
[00:18:28.516 --> 00:18:30.378]  These two buildings were white elephants.
[00:18:31.079 --> 00:18:41.072]  They were losing money, they had asbestos in there, and they were being required by law to do over a billion dollars worth of asbestos removal.
[00:18:42.122 --> 00:18:44.265]  Do you think somebody might have sabotaged it?
[00:18:44.545 --> 00:18:45.546]  Just for that?
[00:18:45.626 --> 00:18:47.128]  It was an insurance job?
[00:18:47.148 --> 00:18:47.408]  Wow.
[00:18:47.468 --> 00:18:49.491]  I might have to read your book.
[00:18:49.671 --> 00:18:52.154]  It's called Don't Start the Revolution Without Me.
[00:18:52.274 --> 00:18:52.935]  It's in stores now.
[00:19:00.503 --> 00:19:02.544]  By Jesse Ventura, Governor Jesse Ventura.
[00:19:02.944 --> 00:19:08.286]  And you even believe, you're one of those guys, you don't even believe that Lee Harvey Oswald acted alone again in the Kennedy assassination.
[00:19:08.306 --> 00:19:11.107]  No I do not, because I've studied it for over 20 years.
[00:19:11.147 --> 00:19:12.867]  Stop right there, back it up again.
[00:19:12.887 --> 00:19:13.988]  Okay.
[00:19:15.328 --> 00:19:19.630]  In every major poll, it is now over 90% of Americans believe the government killed Kennedy.
[00:19:20.490 --> 00:19:28.157]  They've now come out on the BBC and NBC showing the film footage at the Ambassador Hotel of three CIA section chiefs from Asia.
[00:19:28.778 --> 00:19:31.661]  The famous guys involved with Kennedy with JFK as well.
[00:19:32.421 --> 00:19:35.344]  It's admitted that the guy that shot RFK behind him
[00:19:37.346 --> 00:19:37.827]  We're good to go.
[00:19:59.810 --> 00:20:01.251]  I mean, Jason, when does it end?
[00:20:01.851 --> 00:20:02.451]  It doesn't end.
[00:20:02.571 --> 00:20:09.714]  I mean, you know, that interview is almost over and they ridicule him for believing that Oswald was not the lone assassin after he's off the air.
[00:20:10.094 --> 00:20:13.736]  But just go to the videotape of the Secret Service by Kennedy that day.
[00:20:14.056 --> 00:20:21.679]  As they're turning the corner at Dealey Plaza, one of the Secret Service agents at the back of his car actually gets called off and he's not happy about it, Alex.
[00:20:22.179 --> 00:20:24.580]  He starts yelling and saying, no, I'm not going to do it.
[00:20:24.600 --> 00:20:27.161]  Somebody ought to get this video online and add that video over it.
[00:20:27.962 --> 00:20:30.963]  Our great listeners, we don't have the personnel, but you can take it and put it all together for folks.
[00:20:31.163 --> 00:20:33.364]  And it shows a couple of them actually going, what?
[00:20:33.464 --> 00:20:34.305]  What are you saying?
[00:20:34.325 --> 00:20:37.006]  And then they later said that all procedures were blocked.
[00:20:37.546 --> 00:20:40.169]  You got LBJ behind him in the radio calling in the assault.
[00:20:40.449 --> 00:20:42.671]  Get ready, we're going with sniper position one.
[00:20:42.691 --> 00:20:45.193]  Because they had kill zones all the way down to the airport.
[00:20:45.734 --> 00:20:50.358]  They were ready with hand grenade attacks, bazooka attacks.
[00:20:50.739 --> 00:20:53.882]  If they had to, they were going to have military kill him and go to full martial law.
[00:20:54.082 --> 00:20:57.785]  They had riot troops in the air from the army flying above Dallas and
[00:20:58.946 --> 00:21:09.378]  Hours before Oswald's name came out, when the police were first, minutes after Kennedy's kill, it's already published in New Zealand, Australia, Thailand, that Lee Harvey Oswald did it.
[00:21:09.839 --> 00:21:13.303]  Open and shut, just like they announced building 7 blew up before it blew up.
[00:21:13.643 --> 00:21:14.023]  Absolutely.
[00:21:14.043 --> 00:21:17.587]  In fact, Jonathan Elinoff from We Are Change Colorado has that.
[00:21:17.927 --> 00:21:18.608]  He got it from eBay.
