[00:00:00.009 --> 00:00:08.460]  Typically last ten.
[00:05:01.307 --> 00:05:01.667]  It's here.
[00:05:02.407 --> 00:05:04.047]  And you can go through the airports now.
[00:05:04.107 --> 00:05:06.868]  They have camming lights, and they're also using this technology.
[00:05:07.558 --> 00:05:16.425]  And that was in AP three weeks ago.
[00:05:17.346 --> 00:05:19.848]  In fact, Chertoff had a big demonstration of it.
[00:05:20.328 --> 00:05:28.154]  And they're using passive MRI, which from a hundred feet away is scanning the brain, which they're now putting on the cell towers, as you mentioned.
[00:05:28.174 --> 00:05:30.115]  Everything Alan Watts says is documented.
[00:05:30.135 --> 00:05:34.018]  I have separately read it in mainstream news, everything he just said.
[00:05:34.399 --> 00:05:35.219]  Hidden in plain view.
[00:05:35.239 --> 00:05:37.081]  We'll come back, Alan, and I want you to
[00:05:37.842 --> 00:05:39.203]  You've got the total floor here.
[00:05:39.243 --> 00:05:41.586]  In fact, I'm gonna just sit back and listen.
[00:05:41.606 --> 00:05:42.927]  I'm gonna break down how they're doing this.
[00:05:43.228 --> 00:05:46.551]  But more importantly, why am I immune?
[00:05:46.631 --> 00:05:47.532]  Why are you immune?
[00:05:47.733 --> 00:05:49.274]  This stuff only enrages me.
[00:05:50.956 --> 00:05:51.857]  We're on the march.
[00:05:52.338 --> 00:05:53.960]  The Empire's on the run.
[00:05:54.881 --> 00:05:57.564]  Alex Jones and the GCN Radio Network.
[00:06:00.749 --> 00:06:01.209]  Attention!
[00:06:01.509 --> 00:06:05.051]  This is an extremely urgent news update on the global food shortage.
[00:06:05.471 --> 00:06:12.154]  If you've ever wanted to produce your own dirt-cheap survival foods, this is going to be the most important message you will ever hear.
[00:06:12.535 --> 00:06:23.140]  This network has just learned of a new video course that reveals the secrets of how to safely prepare and store all kinds of survival foods in event of social unrest and food shortages here in the U.S.
[00:06:23.540 --> 00:06:24.600]  And here's the best part.
[00:06:24.860 --> 00:06:28.182]  This course teaches you how to store food for pennies on the dollar.
[00:06:28.662 --> 00:06:30.462]  Hunger is spreading across the globe.
[00:06:30.863 --> 00:06:33.583]  Food riots have already broken out in over 20 countries.
[00:06:33.943 --> 00:06:36.324]  Will troops guard food supplies in the U.S.
[00:06:36.364 --> 00:06:36.804]  this winter?
[00:06:37.244 --> 00:06:37.824]  Don't wait!
[00:06:38.204 --> 00:06:42.385]  Learn the food storage secrets that can keep you and your family alive in a crisis.
[00:06:42.865 --> 00:06:46.146]  Get all the details at FoodShortageUSA.com.
[00:06:46.466 --> 00:06:48.526]  That's FoodShortageUSA.com.
[00:06:48.826 --> 00:06:50.187]  Or call toll-free at 877-327-7000.
[00:06:53.849 --> 00:06:56.913]  0365.
[00:06:54.189 --> 00:06:56.913]  Don't wait for long lines and empty shelves.
[00:06:57.253 --> 00:06:59.456]  Go to FoodShortageUSA.com.
[00:07:00.322 --> 00:07:13.171]  Now, from the makers of Loose Change, the most downloaded film in internet history, comes the long-awaited release of Loose Change Final Cut, an entirely new two-hour film that completely destroys the official fable forever.
[00:07:13.471 --> 00:07:24.138]  Loose Change Final Cut hopes to be a catalyst for a new independent investigation in which family members receive answers to their questions and the true perpetrators of this horrendous crime are brought to justice.
[00:07:24.518 --> 00:07:27.699]  Loose Change Final Cut is the ultimate 9-11 expose.
[00:07:27.939 --> 00:07:29.639]  From hijackers being trained at U.S.
[00:07:29.679 --> 00:07:35.420]  military bases to bombs in the buildings, Loose Change Final Cut is the one 9-11 film everyone must see.
[00:07:35.820 --> 00:07:41.021]  Secure your copy of Loose Change Final Cut today at Infowars.com or PrisonPlanet.com.
[00:07:41.221 --> 00:07:51.023]  While you're visiting the online video store, be sure to check out the huge discounts on films like Endgame, Blueprint for Global Enslavement, America, Freedom to Fascism, and hundreds of other titles.
[00:07:51.463 --> 00:07:53.704]  We're in a no-holds-bar information war.
[00:07:54.084 --> 00:07:59.425]  Truth is our weapon, and PrisonPlanet.com has the tools you need to take the fight back to Big Brother.
[00:07:59.905 --> 00:08:01.965]  Keep out of reach of children under six years of age.
[00:08:02.225 --> 00:08:08.006]  If you accidentally swallow more than used for brushing, seek professional assistance or contact a poison control center immediately.
[00:08:08.447 --> 00:08:11.067]  Why would you or your family use a product with this warning?
[00:08:11.387 --> 00:08:20.309]  If you're looking for a safe and natural alternative to keep your teeth healthy, clean, and sparkling, then you need Sully Smile All Natural Tooth Powder, the first tooth powder of its kind.
[00:08:20.769 --> 00:08:29.119]  Sully Smile contains 84 mineral-rich Himalayan sea salt, baking soda, and xylitol, a sugar substitute with long-lasting dental benefits.
[00:08:29.599 --> 00:08:35.146]  Sully Smile comes in five flavors, made from Grade A essential oils, so I know it'll please even your kids!
[00:08:35.566 --> 00:08:38.967]  You'll also appreciate the convenient 2 ounce airline safe size.
[00:08:39.407 --> 00:08:41.867]  Try some, and you too will have a Soleil Smile!
[00:08:42.227 --> 00:08:44.408]  Order some today at SoleilSmile.com.
[00:08:44.628 --> 00:08:46.888]  That's S-O-L-A-Y Smile dot com.
[00:08:47.248 --> 00:08:48.209]  Or call us toll free, 866-497-0274.
[00:08:48.229 --> 00:08:48.729]  That's 866-497-0274.
[00:08:48.749 --> 00:08:52.109]  Mention GCN for a free gift, complete with a 90 day money back guarantee.
[00:09:14.867 --> 00:09:16.868]  There is a scientific dictatorship.
[00:09:16.888 --> 00:09:22.031]  They've written hundreds of textbooks bragging how they're doing it all to us.
[00:09:22.672 --> 00:09:24.273]  Brain damaging us with mercury.
[00:09:25.813 --> 00:09:30.256]  Injecting us with different cancer viruses that are hormonally triggered, age triggered to kill you.
[00:09:31.597 --> 00:09:34.759]  And the cancer rates are going straight up.
[00:09:34.839 --> 00:09:43.784]  Every other disease, degenerative type of affliction is intensifying.
[00:09:45.560 --> 00:09:49.462]  And it's being done scientifically by people playing God on huge power trips.
[00:09:51.063 --> 00:09:51.783]  And it's real.
[00:09:53.184 --> 00:09:54.084]  And it's happening now.
[00:09:54.164 --> 00:09:56.385]  So I was getting into how the public is mesmerized.
[00:09:56.425 --> 00:10:01.808]  How more and more they are in a Matrix-like condition.
[00:10:02.188 --> 00:10:04.709]  Their brainwaves are different.
[00:10:04.729 --> 00:10:05.830]  And now it's intensifying.
[00:10:05.870 --> 00:10:07.310]  I'm not bashing video games.
[00:10:07.350 --> 00:10:09.952]  I know big video game designers, a lot of them are big fans of the show.
[00:10:11.164 --> 00:10:22.292]  I've been stuck in a bunch of video games, you know, where the video games, you get to the final level of, you know, some of the most popular games, and they open the safe up, and it's my videos in the safe, the ultimate answer.
[00:10:22.312 --> 00:10:24.854]  I mean, just all sorts of craziness.
[00:10:24.874 --> 00:10:38.223]  But the point is, the video games, something about the added controlling the joystick with the not moving, and the intense focus, gets you into a lower than dream state, which is a natural state of near-death narcosis.
[00:10:39.264 --> 00:10:41.025]  And actually causes endorphins to flow.
[00:10:41.426 --> 00:10:43.787]  That's why these kids love 10, 15, 20 hours.
[00:10:43.807 --> 00:10:46.529]  I remember I had video games when I was a teenager.
[00:10:46.950 --> 00:10:49.051]  They were more primitive, but I remember a few Saturdays.
[00:10:49.071 --> 00:10:50.272]  I never got that heavy into them.
[00:10:50.732 --> 00:10:57.878]  Two, three hours would go by like that, and I'd be sitting there in a daze, but like in heaven, totally focused, going through all the levels.
[00:10:58.618 --> 00:11:01.701]  And later I saw the scientific reports that I was in a
[00:11:02.521 --> 00:11:05.243]  Artificially oxygen-starved narcosis.
[00:11:05.603 --> 00:11:08.945]  But that said, going back to Alan Watt.
[00:11:09.005 --> 00:11:10.045]  Alan, lay it out for us.
[00:11:11.186 --> 00:11:16.249]  Yeah, these techniques were... They copied a lot of this, actually, from the yogis of India.
[00:11:16.289 --> 00:11:16.989]  They studied them.
[00:11:17.089 --> 00:11:20.771]  They studied some of the top yogis in the 1800s and early 1900s.
[00:11:20.811 --> 00:11:24.514]  And did all the measurements on their body, and so on.
[00:11:24.534 --> 00:11:28.736]  They were intrigued by the guys who could go into these almost trance-like states, death-like states.
[00:11:29.596 --> 00:11:30.778]  Very, very shallow breathing.
[00:11:31.539 --> 00:11:36.708]  And they measured the oxygen content in their bloodstreams and how they survived, etc.
[00:11:36.988 --> 00:11:39.012]  But they also were measuring their brain patterns.
[00:11:40.189 --> 00:11:50.752]  And what they found, too, was that people in such brain pattern states could be very easily influenced and directed with outside information being pumped into them.
[00:11:51.312 --> 00:11:53.673]  You're easily led, you might say.
[00:11:54.413 --> 00:11:59.214]  Things would seem absurd to you in a fully conscious state, you'll take it at face value and accept it.
[00:12:00.290 --> 00:12:00.771]  We're good to go.
[00:12:12.236 --> 00:12:13.276]  for their military training.
[00:12:13.897 --> 00:12:24.041]  And they found the same thing that people who are trained in the more advanced games to kill on sight would actually do it in combat in the battlefield.
[00:12:24.561 --> 00:12:33.725]  And what they found too, when they did immediate tests on these particular soldiers who would kill, they found that the breathing rate was much shallower too, just like as though they were in the video game.
[00:12:34.226 --> 00:12:39.268]  So they're going into the same response mode in the battlefield as they were on the video game.
[00:12:40.106 --> 00:12:40.286]  POKEMON!
[00:12:58.257 --> 00:13:04.820]  Well documented, and we get that published in mainstream media, and then the public go and buy the game.
[00:13:04.840 --> 00:13:05.861]  Let's explain again.
[00:13:05.921 --> 00:13:11.384]  Every time it would show, in what they admitted was a test, tens of thousands of children would collapse convulsing.
[00:13:11.984 --> 00:13:18.667]  The problem was, is they knocked their teeth out, or busted their, you know, their eyes, they got hurt, and so they quit doing it.
[00:13:18.727 --> 00:13:24.230]  But in a test, anytime they want, they can flick the switch and make you fall down on the ground convulsing.
[00:13:24.887 --> 00:13:25.407]  Mm-hmm.
[00:13:25.427 --> 00:13:28.549]  And what they found, too, with these games, you see, this isn't just the games.
[00:13:29.409 --> 00:13:36.533]  It's the parts of the brain that they want to target to alter behavior, mood, serotonin levels, etc.
[00:13:37.094 --> 00:13:39.955]  And it's the temporal lobe they were aiming for.
[00:13:40.375 --> 00:13:44.658]  The temporal lobe is very, very important if you want to control people.
[00:13:45.278 --> 00:13:49.180]  And the types of epilepsy that they were inducing was temporal lobe epilepsy.
[00:13:50.206 --> 00:14:00.269]  And where they go into a fugue state, and now people who have epilepsy will often get the initial fugue coming on them, where things seem unreal to them.
[00:14:01.569 --> 00:14:03.189]  They're moving in a surrealistic world.
[00:14:03.269 --> 00:14:11.732]  It's like a hallucination, or some people call them the quizzles, where they're in a sleepwalking state.
[00:14:13.292 --> 00:14:16.453]  And that happens before they go into the actual grand mal seizure.
[00:14:17.742 --> 00:14:21.826]  Yes, and they can have a fugue state again of complete amnesia when they come out of it.
[00:14:22.847 --> 00:14:28.592]  So, this is the same kind of thing that they're inducing by going for areas of the temporal lobe.
[00:14:28.932 --> 00:14:34.177]  Now, it's interesting too, they've got everyone addicted to cell phones, which also affect the temporal lobe.
[00:14:34.978 --> 00:14:36.339]  It's doing similar things there.
[00:14:36.539 --> 00:14:38.161]  People are mesmerized on these phones.
[00:14:38.201 --> 00:14:40.563]  They'll stand there and talk in street corners for hours and hours.
[00:14:40.643 --> 00:14:41.244]  Hours go by.
[00:14:41.872 --> 00:14:44.254]  And I'm going to stop you again just to back you up.
[00:14:44.815 --> 00:14:49.319]  I have seen, literally, I saw two or three today, thousands of university and government studies.
[00:14:49.379 --> 00:14:53.803]  I remember one about eight years ago because I had a buddy who was always on the cell phone.
[00:14:53.843 --> 00:14:55.344]  I noticed his behavior was changing.
[00:14:55.624 --> 00:14:58.427]  He was always on it for no reason, just jabbering.
[00:14:58.447 --> 00:15:00.529]  And before, he'd never been on the telephone.
[00:15:00.549 --> 00:15:01.329]  You couldn't keep him on it.
[00:15:01.349 --> 00:15:04.752]  And I remember reading that it raises the brain
[00:15:05.533 --> 00:15:14.801]  Up to three degrees in temperature, but any cell phone call for five minutes, even the ones that have lower emission, you get a one degree increase in brain temperature.
[00:15:15.261 --> 00:15:23.688]  And it went on to say that it is addictive and created opiate-like responses in the double-blind study.
[00:15:23.728 --> 00:15:24.608]  So I'm just backing up.
[00:15:24.949 --> 00:15:27.251]  What you're saying again is mainstream news.
[00:15:28.532 --> 00:15:32.415]  So there's nothing surprising to me about any of this.
[00:15:32.975 --> 00:15:33.836]  This is an agenda.
[00:15:35.290 --> 00:15:47.534]  People like Brzezinski, who was right in there with the NSA, published some of this stuff in his own books to do with controlling whole populations.
[00:15:47.835 --> 00:15:50.315]  And he said populations, not just individuals.
[00:15:51.116 --> 00:15:52.996]  And that this technology would be used.
[00:15:53.497 --> 00:15:59.399]  And prior to him in the 1950s, you find Lord Veteran Russell, who also worked for MI5 and 6,
[00:16:01.082 --> 00:16:14.889]  Um, publishing the same thing in his Impact of Science on Society book, where he mentioned that the techniques would be used that would bring whole populations to the conclusions and they'd have no idea that it was even being done to them.
[00:16:15.809 --> 00:16:20.652]  And he said eventually we'll be able to convince absolutely anyone of anything.
[00:16:22.129 --> 00:16:24.630]  I want to move forward from there historically, but let me digress.
[00:16:25.791 --> 00:16:39.918]  I wouldn't say you and I and many others are immune, but with any disease, with any program, there's always immune roaches to certain poisons, there's always plants that are immune, there's always people throughout history that are immune or resistant
[00:16:40.618 --> 00:16:43.719]  Well, I think the precursor that set up the whole field for this to work for the elite
[00:17:09.237 --> 00:17:09.778]  I think?
[00:17:29.631 --> 00:17:49.404]  And we find that there are people with different physiologies, and people who tend to have allergies, etc., can also divert toxins away from the brain that would normally be uptaken by the brain, and it would be diverted elsewhere, so they end up having sometimes problems, stomach gastric,
[00:17:50.164 --> 00:17:58.909]  Um, the problems, uh, lower bowel problems, stuff like that, where this stuff has been drawn to and has settled in, but it did not go to the brain.
[00:17:59.389 --> 00:18:03.472]  And I've found that with a lot of people who are really awake and have been most their lives.
[00:18:04.112 --> 00:18:07.554]  That's, I try to find the common denominators in them, and I talk to them.
[00:18:08.034 --> 00:18:14.438]  And that is one thing that a lot of them have are these, what seem simple allergies, but pretty persistent allergies.
[00:18:15.018 --> 00:18:20.522]  Well I mean you mentioned the first big insult before the mass programming begins at birth with the shots.
[00:18:20.903 --> 00:18:26.247]  When we were young we didn't get as many shots or no shots and I have seen that as a correlating factor.
[00:18:26.267 --> 00:18:27.408]  People in the country
[00:18:39.797 --> 00:18:40.498]  I mean, here's an example.
[00:18:40.518 --> 00:18:42.180]  I've had a lot of medical doctors on about this.
[00:18:42.341 --> 00:18:45.905]  One of them, Dr. Eisenstein, has one of the biggest practices in Illinois.
[00:18:45.925 --> 00:18:54.015]  I mean, out of over 100,000 Amish in just a three-county area, none of them have autism.
[00:18:54.856 --> 00:18:56.978]  None of them have any neurological problems.
[00:18:57.318 --> 00:19:02.241]  And then he did a study and looked at other studies around the country in Pennsylvania and other places where you have Amish.
[00:19:02.701 --> 00:19:03.402]  They don't have it.
[00:19:03.802 --> 00:19:04.483]  It isn't there.
[00:19:26.437 --> 00:19:32.062]  That's right, they did use a lot of children in the MKUltra test as well.
[00:19:32.082 --> 00:19:37.165]  It wasn't just adults, even though in the movie the CBC covered it, actually whitewashed more than they showed.
[00:19:38.286 --> 00:19:49.054]  And the reason a lot of children, they wiped out their memory to try to build a completely brand new personality that would be robot-like and very obedient and put them out into society and use them as spies, etc.
[00:19:49.154 --> 00:19:53.798]  So it's the vaccines are acting as the chemical lobotomy or as the electroshock?
[00:19:54.933 --> 00:19:55.833]  There's no doubt about it.
[00:19:56.174 --> 00:20:11.620]  Kessler talked about these tests being done back in the 50s and 60s and under the auspices of the United Nations and the different groups who are doing some of them like the Soviets were doing direct lobotomies, physical mechanical lobotomies.
[00:20:11.700 --> 00:20:17.002]  They're also doing that in the United States under the guys who work for the eugenics programs in the psychiatric institutions.
[00:20:18.047 --> 00:20:24.374]  And they were doing pre-frontal lobotomies to thousands of troops that came back into the U.S.
[00:20:25.115 --> 00:20:26.976]  after World War II and Korea.
[00:20:27.137 --> 00:20:32.883]  Have you ever seen the black and white films of them laughing and just jabbing an ice pick in the troops head and going and laughing?
[00:20:33.303 --> 00:20:37.067]  Laughing to the students going, watch this, as the guys chain down awake and they just go,
[00:20:38.393 --> 00:20:41.834]  I mean, it's the most bloodthirsty stuff you've ever seen with an ice pick.
[00:20:42.334 --> 00:20:49.456]  That's right, and even had traveling, they called him the mobile doctor who did the lobotomies on behalf of the U.S.
[00:20:49.496 --> 00:20:52.657]  government, and he did it out of the back of his van.
[00:20:53.717 --> 00:20:58.598]  This was high science, as they called it, and all they were doing was destroying the frontal cortex.
[00:20:58.838 --> 00:21:03.639]  Now that's where your behavior is altered, right in the frontal cortex.
[00:21:03.679 --> 00:21:06.040]  That's a definite behavior alteration right there.
[00:21:07.142 --> 00:21:14.508]  And you do become much more suggestible, very easily managed by authorities, because you have no confidence in your own decision-making powers afterwards.
[00:21:14.628 --> 00:21:26.277]  Well, all of this is really just a scientific codification of total war against our own species by aberrant psychopaths directing human development.
[00:21:26.677 --> 00:21:28.839]  And it isn't just that it's cold-blooded and they want the power.
[00:21:29.179 --> 00:21:36.085]  This is a literal wonderland to carry out all the horrors that are horrible to us, but that are beautiful to them.
[00:21:37.293 --> 00:21:37.753]  Absolutely.
[00:21:37.793 --> 00:21:41.776]  The public have no idea that war was declared upon them long ago.
[00:21:42.597 --> 00:21:43.197]  Total war.
[00:21:43.978 --> 00:21:52.243]  All-out war was declared upon every member of the common people, as they put it at the time.
[00:21:52.884 --> 00:21:58.808]  The commoners, they were afraid would outbreed them and eventually overthrow them and take over.
[00:21:59.448 --> 00:22:04.632]  And they claimed that the world would be in darkness because we're all too stupid to make good and proper decisions.
[00:22:05.225 --> 00:22:16.180]  So therefore the idea was they'd have to eliminate the common types, the inferior types that had not made it up the Darwinian scale into success and monetary success and business success.
[00:22:16.560 --> 00:22:17.621]  It'd have to be eliminated.
[00:22:17.942 --> 00:22:20.846]  But of course, if they got wind of it, there could be an uprising.
[00:22:20.906 --> 00:22:22.368]  So they had to make a secret war.
[00:22:23.215 --> 00:22:31.326]  And it's not so secret today, it's out in the open under various guises that we must bring the population down one way or another.
[00:22:31.346 --> 00:22:36.092]  There's not enough food and all of the various crises they're creating.
[00:22:36.332 --> 00:22:39.016]  Now, that again was part of the plan back in the early 1900s.
[00:22:40.357 --> 00:22:42.759]  And adulterate, and adulterate, and adulterate the food.
[00:22:59.227 --> 00:23:00.568]  Adulterated, absolutely.
[00:23:00.608 --> 00:23:01.508]  The chemicals are in it.
[00:23:02.008 --> 00:23:04.609]  They're not there just for preserving the food.
[00:23:05.029 --> 00:23:06.350]  It's also to alter you.
[00:23:06.390 --> 00:23:11.652]  People have become terribly sick and the IQ has dropped over the last 50 years or so.
[00:23:11.932 --> 00:23:12.872]  And the sperm count?
[00:23:13.552 --> 00:23:15.253]  And the sperm count is way down as well.
[00:23:16.033 --> 00:23:18.294]  So none of this is by chance.
[00:23:18.414 --> 00:23:26.457]  And now they've admitted that there's a particular substance in soy which they pushed mightily back in the 60s and 70s as a substitute for meat.
[00:23:27.179 --> 00:23:28.420]  And had so many people go on it.
[00:23:28.921 --> 00:23:33.426]  Males who've been on it, their sperm count is down 70% lower than those who are not.
[00:23:34.056 --> 00:23:53.087]  And it also is now associated with breast cancer, but they tell women to eat it for breast cancer, and now... I mean, they're all getting breast cancer, and it's just the government will have all these big pageants and anti-cancer rallies with celebrities and everyone fighting it together, making it like some great... Ooh, you've got it too!
[00:23:53.387 --> 00:23:54.828]  Ooh, it's like having a cold!
[00:23:54.988 --> 00:23:55.848]  Oh, the government!
[00:23:56.168 --> 00:23:57.709]  Let's take more vaccines!
[00:23:58.089 --> 00:23:59.310]  They love us!
[00:23:59.370 --> 00:24:00.211]  And now,
[00:24:01.131 --> 00:24:03.814]  In the past they would just take troops out in a field and nerve gas them.
[00:24:04.354 --> 00:24:11.900]  Now it's getting widespread where I've been looking at the numbers and they're all calling me now going, yes, almost everybody's been in the military.
[00:24:11.941 --> 00:24:16.444]  When they hit about 45, they're getting the cancer now, even in families that never had cancer.
[00:24:17.265 --> 00:24:20.248]  But then even more, the troops are just dropping dead when they give them the shots.
[00:24:20.939 --> 00:24:21.119]  Mm-hmm.
[00:24:21.699 --> 00:24:29.861]  Yeah, and I've talked to some of them, too, and they phone me up when they come back, and they tell me they were given all kinds of medications, and they're not told what these medications were.
[00:24:29.901 --> 00:24:31.722]  They were told to open their mouths every morning.
[00:24:33.202 --> 00:24:35.443]  The sergeant comes along and pops these pills in their mouth.
[00:24:35.463 --> 00:24:37.583]  They make sure they swallow them, too.
[00:24:38.403 --> 00:24:41.344]  And these are all tests they're doing on different sections of the military.
[00:24:42.339 --> 00:24:44.359]  I'm sure it's going to affect their mind as well.
[00:24:44.379 --> 00:24:51.101]  They're trying to create this good killer robotic type soldier who will not suffer with flashbacks when he gets home.
[00:24:51.241 --> 00:24:58.642]  Well the head futurist, Dr. Marshall at the Pentagon said that in Wire Magazine as you know.
[00:24:59.122 --> 00:24:59.502]  That's right.
[00:25:00.502 --> 00:25:10.824]  So this is at the age where science is supposed to rule and dominate and all this began hundreds of years ago with the old alchemists, the fraternity of alchemy.
[00:25:11.644 --> 00:25:15.666]  Who said that they'd always keep advanced sciences to themselves.
[00:25:15.706 --> 00:25:17.066]  That was part of their oath.
[00:25:18.126 --> 00:25:25.449]  And by doing so, they'd take power over kings, queens, and governments, because those governments would need them to create the war machines.
[00:25:25.849 --> 00:25:32.512]  But ultimately, they would rule in what they called a logical manner, where the world would be run by the superior ones using logic.
[00:25:33.132 --> 00:25:52.713]  And to them they say, logically, Mike makes right, survival of the fittest, social Darwinism, and they point blank say in their books and thousands of different footnotes, we are going to build a worldwide control grid, we're going to kill 90 plus percent of you, and we're going to do it for the betterment of us.
[00:25:53.033 --> 00:25:54.315]  And to them that's logical.
[00:25:55.451 --> 00:25:57.932]  To them it is logical, and it justifies the means.
[00:25:57.972 --> 00:26:06.314]  I think it was Rockefeller said at the World Bank meeting that this generation are the cannon fodder for this particular agenda.
[00:26:06.974 --> 00:26:12.496]  And he said also that, he says, well you can't make an omelette without breaking eggs.
[00:26:12.516 --> 00:26:16.637]  So all the crisis you're going through in the last 50 years, the breakup of families,
[00:26:18.662 --> 00:26:21.905]  The incredible disruption in society, the drugs, etc.
[00:26:22.346 --> 00:26:26.150]  That's just what goes into making the omelette, and it's too bad it has to be done.
[00:26:27.873 --> 00:26:31.076]  That's just what has to be done, ladies and gentlemen.
[00:26:31.476 --> 00:26:35.019]  I'm going to skip this break for InfoWars.com audio stream listeners.
[00:26:35.039 --> 00:26:38.902]  You've got to go to that site to listen to those streams, the one on InfoWars.com.
[00:26:39.543 --> 00:26:43.346]  And then we're also streaming live on the web for PrisonPlanet.tv members.
[00:26:43.366 --> 00:26:48.130]  You can see the document cam, the guest cam, the internet cam, and a lot more.
[00:26:48.910 --> 00:26:55.636]  So we will be right back in three minutes for everybody else, but for PrisonPlanet.tv members and folks, we're going to keep talking behind this break.
[00:27:00.862 --> 00:27:15.535]  Alan, I've got to tell you, I'm getting better and better with my guests, I'm interrupting, but every time you say something, I want to back it up with footnotes because I myself have verified it 20 other places and it just freaks me out because you're one of the few people that's done the same research I've done.
[00:27:16.615 --> 00:27:18.257]  How do we get this out to people?
[00:27:18.537 --> 00:27:21.420]  Because, I mean, this is a guaranteed fact
[00:27:22.160 --> 00:27:24.621]  Well, I've been putting this out for donkey's years, the same material.
[00:27:39.225 --> 00:27:41.767]  And I've given up on those who are gone.
[00:27:42.188 --> 00:27:47.232]  I got to look at the world as a world of survivors and casualties, and it's a war.
[00:27:47.572 --> 00:27:55.158]  And when you look at the casualties and you're in the war and you're helping to fight it, you can't be distracted by the casualties.
[00:27:55.458 --> 00:27:57.360]  That's how far gone we are.
[00:27:57.440 --> 00:28:07.488]  We've got to realize that we don't have the time to wake up just occasional individual who's well under the New World Order's mind control.
[00:28:08.274 --> 00:28:17.979]  We've got to concentrate on a large audience and try and reach as many people as possible within that audience of individuals who are able to receive.
