[00:00:00.050 --> 00:00:00.516]  I think so.
[00:05:56.144 --> 00:05:58.986]  Alex Jones and the GCN Radio Network.
[00:06:03.470 --> 00:06:03.930]  Hi neighbor.
[00:06:05.225 --> 00:06:06.926]  We all know that knowledge is power.
[00:06:07.367 --> 00:06:10.469]  We've tried to give you knowledge to help you prepare for rough times.
[00:06:11.070 --> 00:06:15.753]  There's the worldwide famine and our country's dependence on often dangerous food imports.
[00:06:16.394 --> 00:06:18.395]  You know about genetically poisoned food.
[00:06:18.916 --> 00:06:24.500]  Two-thirds of the food is disappearing with the bees along with huge crop failures from all-time record water shortages.
[00:06:25.221 --> 00:06:28.884]  You know they're turning food into fuel with corn ethanol plants.
[00:06:29.824 --> 00:06:33.525]  If we do not control our food, food will be used to control us.
[00:06:34.045 --> 00:06:39.206]  Food control has been the plan historically in every enslaved population and is the plan for America.
[00:06:39.886 --> 00:06:48.147]  The only value of the knowledge you have to take control of your food is if you choose to get a supply while you still have the freedom to choose.
[00:06:48.607 --> 00:06:49.848]  Call 800-409-5633 on the web, efoodsdirect.com.
[00:06:49.888 --> 00:06:50.188]  Call 800-409-5633.
[00:07:05.049 --> 00:07:07.971]  Imagine walking down the street and hearing footsteps behind you.
[00:07:08.432 --> 00:07:12.534]  They get closer and closer, and suddenly you have a sense something bad is going to happen.
[00:07:13.255 --> 00:07:14.976]  What are you going to do to defend yourself?
[00:07:15.757 --> 00:07:19.860]  Tebow Tech specializes in non-lethal self-defense products for you and your family.
[00:07:20.460 --> 00:07:28.566]  With everything from stun guns and tasers, to personal alarms and pepper spray, Tebow Tech will arm you with the most advanced non-lethal products anywhere on the net.
[00:07:29.261 --> 00:07:30.201]  Not sure where to start?
[00:07:30.642 --> 00:07:34.003]  The TeboTek Essentials Package is great for you or to share with your family.
[00:07:34.543 --> 00:07:45.247]  It comes with a 950,000 volt cell phone stun gun, a multi-pack of pepper sprays, an extremely loud personal alarm, and a how-to book for defending yourself with pepper spray all at a low price.
[00:07:45.907 --> 00:07:52.029]  With these or any of TeboTek's products, you have the tools to defend yourself against an attack and get yourself to safety.
[00:07:52.669 --> 00:07:53.430]  Don't be a victim.
[00:07:53.870 --> 00:07:54.330]  Be a victim.
[00:07:54.350 --> 00:07:55.070]  John, I'm testing the mic.
[00:07:55.090 --> 00:07:55.850]  Go ahead and cut the audio.
[00:07:58.331 --> 00:07:59.772]  Yeah, go ahead and talk.
[00:08:24.861 --> 00:08:25.641]  Don't be a victim.
[00:08:26.062 --> 00:08:26.742]  Be a victor.
[00:08:27.322 --> 00:08:28.022]  Stock up now.
[00:08:28.383 --> 00:08:29.583]  tbotech.com.
[00:08:30.023 --> 00:08:32.184]  That's t-b-o-t-e-c-h dot com.
[00:08:34.585 --> 00:08:37.366]  Are you concerned about the high cost of prescription drugs?
[00:08:37.687 --> 00:08:44.169]  Since January of 2006, RxDrugCard.com members have saved an average of $33 per prescription filled.
[00:08:44.229 --> 00:08:46.230]  That's over 46% savings.
[00:08:46.570 --> 00:08:48.851]  The average savings for generic drugs was over 71%.
[00:08:50.652 --> 00:08:59.180]  RxDrugCard.com is the only major discount prescription drug plan that offers a price lookup page, so you can get an idea of your discounted price before you enroll.
[00:08:59.400 --> 00:09:02.763]  RxDrugCard.com is for anyone who pays for their own prescriptions.
[00:09:02.983 --> 00:09:07.767]  There are no age restrictions, all prescriptions are covered, and 95% of all pharmacies in the U.S.
[00:09:07.807 --> 00:09:11.891]  participate, including Walmart, Walgreens, CVS Pharmacy, and many more.
[00:09:12.231 --> 00:09:14.353]  With RxDrugCard.com, you will see...
[00:09:17.380 --> 00:09:20.822]  It is the 29th day of April 2008.
[00:09:38.348 --> 00:09:42.431]  We have got an hour and a half left in transmission for the next hour and 15 minutes roughly.
[00:09:42.451 --> 00:09:52.859]  G. Edward Griffin, really a legend in the alternative media, New World Order resistance movement, one of the last living icons, the great granddaddies, in the fight.
[00:09:55.041 --> 00:09:58.364]  Sharp, handsome devil for being in the fight this long.
[00:09:58.985 --> 00:10:00.706]  And it's good to have him here with us.
[00:10:00.746 --> 00:10:02.548]  Very long bio up on Wikipedia.
[00:10:02.568 --> 00:10:05.911]  A lot of different websites, scores of films he's made.
[00:10:05.991 --> 00:10:09.374]  He is, of course, the best-selling author of The Creature from Jekyll Island.
[00:10:09.655 --> 00:10:12.998]  He founded in 2002 Freedom Force International.
[00:10:13.418 --> 00:10:15.921]  And he is in studio with us today.
[00:10:16.221 --> 00:10:17.322]  Mr. Griffin, thanks for coming in.
[00:10:17.402 --> 00:10:18.343]  Well, thanks a lot, Alex.
[00:10:18.423 --> 00:10:19.484]  It's really a pleasure to be here.
[00:10:19.684 --> 00:10:20.825]  Well, it's a pleasure to have you with us.
[00:10:20.865 --> 00:10:24.510]  You're going to be speaking tonight later in Austin at UT at 8 o'clock.
[00:10:24.550 --> 00:10:25.992]  We'll talk about that later.
[00:10:26.172 --> 00:10:28.575]  Right now, tell us about G. Edward Griffin.
[00:10:28.595 --> 00:10:29.516]  Tell us about your life.
[00:10:29.857 --> 00:10:31.519]  Tell us about the experiences you've had.
[00:10:31.539 --> 00:10:35.684]  I mean, I know you don't like to talk about yourself, but I mean, the scope, how long you've been in this, the films you've made.
[00:10:35.984 --> 00:10:36.905]  Spend 10 minutes on that.
[00:10:37.523 --> 00:10:38.003]  Ten minutes.
[00:10:38.043 --> 00:10:39.844]  Well, you're going to lose your audience on this one.
[00:10:41.044 --> 00:10:41.965]  There's really not that much.
[00:10:42.025 --> 00:10:44.486]  I'm basically a writer, Alex, as everybody knows.
[00:10:45.026 --> 00:10:51.868]  I started into this field, this freedom field, if you want to call it that, in 1959.
[00:10:52.328 --> 00:10:54.469]  By 1960, I was up to speed.
[00:10:54.529 --> 00:10:56.310]  I was very alarmed at what was going on in the world.
[00:10:56.890 --> 00:11:02.135]  And I quit my job, which was a comfortable job with an insurance company, and I became a crusader.
[00:11:02.816 --> 00:11:07.501]  And my first issues back in those days had to do with the United Nations.
[00:11:07.521 --> 00:11:08.762]  You know, I went through school.
[00:11:08.802 --> 00:11:11.965]  I was taught that the UN was our last, best hope for peace.
[00:11:12.586 --> 00:11:17.751]  It was a means by which all nations could join together in peace and brotherhood and all that stuff.
[00:11:17.771 --> 00:11:19.413]  And I bought into it lock, stock and barrel.
[00:11:19.853 --> 00:11:29.277]  Then one day I opened up a pamphlet, and the author of the pamphlet was a college professor from some Midwest university, and he was telling me that this was all a false image.
[00:11:29.598 --> 00:11:35.620]  That what these guys actually had in mind had nothing to do with peace and brotherhood, but totalitarian control over the world.
[00:11:35.940 --> 00:11:38.001]  Well, that upset me, and I didn't believe it, of course.
[00:11:38.502 --> 00:11:40.523]  But anyway, you asked about my history.
[00:11:40.563 --> 00:11:45.805]  That is the first thing that nudged me and made me start to think about the assumptions that I had.
[00:11:45.925 --> 00:12:01.985]  And don't be shy because this journey, I mean you woke up back when hardly anybody was awake, this journey is important for other people out there who are having similar journeys and I think it's an example of what one person can do after they wake up and decide, I want to stand up for goodness, I want to stand up against evil, I want to fight corruption.
[00:12:02.901 --> 00:12:09.928]  Well, yeah, I guess that is a parallel journey that a lot of people are taking today, and so with that in mind, thanks for encouraging me.
[00:12:09.948 --> 00:12:12.150]  I guess the details are perhaps important.
[00:12:12.190 --> 00:12:13.271]  Yeah, I mean, you're a trailblazer.
[00:12:13.291 --> 00:12:13.911]  Tell us about that.
[00:12:14.312 --> 00:12:21.719]  Well, yeah, that was back in 1960, and I started to give speeches on the United Nations, and I called it the fearful master.
[00:12:23.080 --> 00:12:25.141]  And that was based on a George Washington quote.
[00:12:25.481 --> 00:12:27.463]  You know, the government is not reason.
[00:12:27.843 --> 00:12:28.903]  It is not eloquence.
[00:12:29.404 --> 00:12:31.685]  It is force, like fire.
[00:12:32.206 --> 00:12:35.268]  It is a fearful master and a dangerous servant.
[00:12:35.608 --> 00:12:42.933]  So I used that theme as the title for my speech, and then I decided to write a book, and then that went from one thing to the other.
[00:12:42.953 --> 00:12:51.899]  The first video presentation I did was a film of another audio, another speech, I should say, that I was giving called The Grand Design.
[00:12:52.619 --> 00:12:56.520]  The grand design in those days was the development of U.S.
[00:12:56.560 --> 00:12:59.941]  foreign policy, which was to get rid of U.S.
[00:13:00.281 --> 00:13:06.223]  sovereignty, to create a true, what they now call fondly, the New World Order.
[00:13:07.063 --> 00:13:13.905]  And in order to do that, they needed to scare the American people with a threat of atomic holocaust.
[00:13:14.285 --> 00:13:15.826]  That was the grand design.
[00:13:16.146 --> 00:13:20.767]  So that was the first video I did, and then from there, it just went on down the line
[00:13:21.147 --> 00:13:26.413]  I've done things not always having to do with political issues.
[00:13:26.914 --> 00:13:32.761]  One of the major works that I consider to be one of the most important things I ever did was something in the field of health.
[00:13:32.781 --> 00:13:33.822]  It had to do with cancer.
[00:13:34.800 --> 00:13:41.581]  I wrote a book called World Without Cancer, the story of vitamin B-17, which is a natural control for cancer.
[00:13:41.601 --> 00:13:44.702]  It has nothing to do with drugs, chemotherapy, or radiation.
[00:13:45.242 --> 00:13:49.183]  And I learned a lot while researching and pursuing that field.
[00:13:50.063 --> 00:13:58.765]  I did a documentary on the discovery of Noah's Ark, which was more for fun, because I've always had an interest in archaeology and ancient Earth history.
[00:13:59.285 --> 00:14:03.106]  But most of my work has been in the field of politics or freedom issues.
[00:14:04.330 --> 00:14:08.012]  And in that field, I would say the Creature from Jekyll Island is central.
[00:14:08.672 --> 00:14:09.192]  Well, thank you.
[00:14:09.292 --> 00:14:12.574]  The Creature from Jekyll Island, of course, is all about the Federal Reserve System.
[00:14:13.294 --> 00:14:18.637]  And frankly, Alex, when I wrote that thing, I really thought I was wasting my time.
[00:14:19.137 --> 00:14:20.577]  You know, it's a big, thick book.
[00:14:20.818 --> 00:14:21.938]  It's 600 and some pages.
[00:14:22.298 --> 00:14:28.061]  And I thought, nobody wants to read a big book, or even a small book, for that matter, on the subject of the Federal Reserve.
[00:14:28.121 --> 00:14:28.681]  Too dry.
[00:14:29.201 --> 00:14:32.543]  Well, much to my surprise, yeah, a lot of people wanted to read about it.
[00:14:33.323 --> 00:14:40.889]  Today, it's in its 20th printing, and I just got a call from my warehouse manager the other day saying that we have to go for number 21 now.
[00:14:41.469 --> 00:14:55.479]  So, it's amazing, and I think that the economic woes that the nation is facing had a lot to do with the public becoming more concerned with an issue that ordinarily they would not think too much about.
[00:14:58.070 --> 00:15:03.057]  You made so many other films though about Katanga and what really happened in Africa and the UN running the slaughter.
[00:15:03.217 --> 00:15:10.907]  How many films, how many presentations, how many visual, video film productions have you made?
[00:15:12.401 --> 00:15:13.081]  Good question.
[00:15:13.162 --> 00:15:16.804]  Altogether, I'd say there's about 30 or 32 somewhere in that range.
[00:15:17.464 --> 00:15:18.785]  Most of them were video.
[00:15:20.006 --> 00:15:21.647]  A few were about five or six books.
[00:15:22.348 --> 00:15:24.229]  And a lot of audio, actually.
[00:15:24.689 --> 00:15:26.210]  Audio is really my favorite medium.
[00:15:27.251 --> 00:15:34.696]  I cut my tooth, so to speak, on audio back in the days when we used to carry around these big Kedelsky
[00:15:35.736 --> 00:15:36.117]  Thank you.
[00:15:52.569 --> 00:15:58.112]  Probably the world's largest collection of original audio recordings in that genre.
[00:15:58.873 --> 00:16:14.721]  I knew that I had the second largest one because I used to go around to all of these meetings recording people and I'd run into a particular guy, his name was Harry Laney, who also had another set of Niagara's and he was an engineer that worked for IBM and it was his hobby to record these things.
[00:16:15.001 --> 00:16:20.985]  He had absolutely the greatest collection and then some years later when he passed away his widow called me and
[00:16:21.545 --> 00:16:23.587]  Asked me if I would like to have his collection.
[00:16:23.987 --> 00:16:25.969]  So now I've got his and mine.
[00:16:26.129 --> 00:16:31.053]  You need to get some volunteers to like upload all those to Google Video or Audio and get them out to people.
[00:16:31.233 --> 00:16:33.255]  I know I have, I mean thousands of them.
[00:16:33.275 --> 00:16:35.597]  You could probably put together like a twenty CD set too.
[00:16:37.038 --> 00:16:38.399]  Two thousand CD set.
[00:16:38.960 --> 00:16:40.821]  I've already converted... You make up data CDs though.
[00:16:41.001 --> 00:16:42.883]  Oh, data CDs, yeah, that would be more like it.
[00:16:43.423 --> 00:16:46.126]  Actually I have converted some of them to CDs.
[00:16:46.486 --> 00:16:48.368]  We call it the Audio Archives Series.
[00:16:49.008 --> 00:16:52.130]  I know you've got a lot of, in fact a lot of your old films people can still get.
[00:16:52.550 --> 00:16:57.173]  My buddy Chris Athanas bought most of them and aired them on Local Access TV and really woke a lot of people up.
[00:16:57.193 --> 00:17:02.257]  Yeah, a lot of old stuff, but most of that material, even though it's old, is very apropos.
[00:17:02.277 --> 00:17:04.018]  Oh no, because they just repeat the same thing.
[00:17:04.038 --> 00:17:04.958]  It's a methodology.
[00:17:05.219 --> 00:17:14.945]  Yeah, it becomes even more valuable with age, because you can realize with the passage of time that the issues are repeating and also that the opinions that we're expressing are valid.
[00:17:15.485 --> 00:17:18.647]  The things that we predicted 20 years ago have come to pass.
[00:17:45.645 --> 00:18:06.025]  Capture the attention of all those people and give them goals to try to attain now, and how do we get around all the kooks and weirdos that, and I don't try to be a gatekeeper here, I don't really try to censor or even cover people I disagree with, but there are a lot of weirdos that just because there's a vacuum with the mainstream media lying and spinning, then you have the alternative media with a lot of craziness too.
[00:18:06.585 --> 00:18:07.626]  Oh yeah, absolutely.
[00:18:07.646 --> 00:18:11.147]  And that's one of the things that I deal with daily.
[00:18:11.207 --> 00:18:14.669]  We have a weekly news service we put out called Unfiltered News.
[00:18:15.189 --> 00:18:19.971]  And of course, people send me all this stuff and they get upset once in a while because I don't push it through.
[00:18:20.472 --> 00:18:25.254]  But I recognize, having been at this game for so many years, that a lot of this stuff is just nonsense.
[00:18:25.314 --> 00:18:25.874]  It's garbage.
[00:18:26.014 --> 00:18:27.515]  Well, also, there will be something divisive.
[00:18:27.535 --> 00:18:33.818]  Like, you've got to say it's all the Jews and they secretly drink blood, and they work for the Vatican, and they're under control of reptoids.
[00:18:35.590 --> 00:18:38.452]  And I'm just here saying, hey, I want to fight the globalist system.
[00:18:38.472 --> 00:18:49.062]  If we get into arguing about who controls it all day, I mean, I do cover that some, then, I mean, that gets into cliques and balkanization instead of a message of more liberty, more freedom, UN bad, global government bad.
[00:18:49.262 --> 00:18:50.123]  Yeah, absolutely.
[00:18:50.443 --> 00:18:56.268]  I'm so glad to hear you say that, Alex, because that is a pitfall that's, I think, deliberately put out there by our enemies.
[00:18:56.588 --> 00:18:58.170]  They want us to step into those traps.
[00:18:58.750 --> 00:19:00.092]  And, yeah, we can't do that.
[00:19:00.672 --> 00:19:09.814]  But you know, in this business of predicting what's coming in the future, two days after 9-11, I sat down, like a lot of people did, and wrote something out.
[00:19:09.854 --> 00:19:19.696]  You know, we were speaking from passion, speaking from emotion, the event was so overpowering, a lot of us just wanted to put something in writing to capture our thoughts and our feelings.
[00:19:20.196 --> 00:19:22.117]  Well, that particular day, I started a
[00:19:23.777 --> 00:19:23.977]  Thank you.
[00:19:40.958 --> 00:19:42.559]  I didn't know whether I should publish these or not.
[00:19:43.179 --> 00:19:45.000]  And I decided to publish them.
[00:19:45.400 --> 00:19:50.622]  And I'm unhappy to say that every one of those predictions has come to pass.
[00:19:50.642 --> 00:19:51.322]  That's what I always say.
[00:19:51.402 --> 00:19:53.243]  Unfortunately, we've been right.
[00:19:53.343 --> 00:19:57.684]  And 9 times out of 10, it actually is worse than what we originally said.
[00:19:57.724 --> 00:19:59.365]  Go over some of those 13 and what's happened.
[00:19:59.685 --> 00:20:04.326]  Oh, well, anybody that studied the world events could make most of those predictions.
[00:20:04.686 --> 00:20:16.830]  You know, I talked about the fact that they would soon discover that the FBI and the intelligence agencies of the federal government had advanced knowledge of this attack, but did nothing to stop it.
[00:20:17.170 --> 00:20:18.130]  I made that prediction.
[00:20:18.870 --> 00:20:28.453]  I made the prediction that one that really went furthest out on the limb was that they would take a long, long time to find Osama bin Laden.
[00:20:29.113 --> 00:20:37.156]  Even though at the moment they were all, we're not going to stop searching the world until we find Osama Bin Laden and bring him to justice for these crimes.
[00:20:37.256 --> 00:20:40.858]  And you knew that because you knew they needed a boogeyman, and you've seen this time and time again.
[00:20:41.078 --> 00:20:42.738]  I knew that they needed the boogeyman.
[00:20:42.798 --> 00:20:53.883]  They needed Osama Bin Laden as some kind of a figure, a symbol of the enemy that the American people could look at and say, we hate this man, we hate this man.
[00:20:54.923 --> 00:20:57.344]  It's a ploy that's been used so many times before in history.
[00:20:57.664 --> 00:20:59.185]  So that's the kind of thing, Alex.
[00:20:59.685 --> 00:21:03.206]  You know, people look at me today and they say, how did you know all these things were going to happen?
[00:21:03.587 --> 00:21:07.108]  And I have to say, in all humility, you don't have to be a rocket scientist.
[00:21:07.488 --> 00:21:11.070]  All you have to do is just see how these elitists are running the show.
[00:21:11.090 --> 00:21:12.170]  They're pathological.
[00:21:12.190 --> 00:21:13.831]  They're obsessive-compulsive.
[00:21:13.871 --> 00:21:23.035]  In fact, when you read about Prince Charles or Prince Philip or the Queen of England or the Rothschilds or the Rockefellers, it's almost like they are predatory, psychopathic types, control freaks, sadistic types.
[00:21:23.775 --> 00:21:27.236]  And they're also, if you read about them, they're obsessed with everything being just right.
[00:21:27.256 --> 00:21:30.957]  You know, every light bulb not being burned out, every yard being cut just perfect.
[00:21:31.337 --> 00:21:36.338]  I mean, they're really neurotic and they, it seems to be a type, you know, a psychological type.
[00:21:36.378 --> 00:21:40.099]  Of course, there's variance there, but it seems that we've got their M.O.
[00:21:40.500 --> 00:21:44.981]  and they just repeat things with this methodology, this formula, over and over again.
[00:21:45.001 --> 00:21:45.641]  Can you speak to that?
[00:21:46.241 --> 00:21:46.662]  Well, yeah.
[00:21:46.902 --> 00:21:48.824]  All I can say, basically, is I agree totally.
[00:21:48.844 --> 00:21:59.073]  The first thing to observe, I believe, about this is that the ones who are making the decisions, that's not everybody in the organization structure, but the ones at the very top are very smart people.
[00:21:59.373 --> 00:22:00.795]  They're intellectuals.
[00:22:01.175 --> 00:22:06.540]  They're well-read, they're well-versed in history, and they're philosophers.
[00:22:06.980 --> 00:22:14.026]  And they have an ideology that they have thought through, they're completely aligned with it, they have allegiance to it.
[00:22:14.427 --> 00:22:21.433]  Once you understand what their ideology is and what their goals are, then that's when you begin to predict
[00:22:21.893 --> 00:22:23.034]  What would I do if I believed that?
[00:22:33.499 --> 00:22:35.040]  Let me ask you this question then.
