[00:00:00.049 --> 00:00:01.010]  It is November 18, 2008.
[00:01:59.501 --> 00:02:02.944]  Drugging, poisoning, sterilizing the population.
[00:02:02.984 --> 00:02:05.106]  We have all the numbers on that, I want to go over that.
[00:02:05.426 --> 00:02:14.434]  But out of the gates, I wanted to ask you, because I've seen a lot of this in there, Club of Rome planning, UN planning, biological diversity assessments.
[00:02:15.395 --> 00:02:16.256]  We've seen a lot of it.
[00:02:17.681 --> 00:02:37.601]  In the university-level documents they're putting out, what the Rand Corporation is saying, what the British Ministry of Defense said last year that I know you covered extensively, as we did here, where they admit that there's a global elite and they're waging war against the individual, that they're putting in robotic aircraft so they can replace humans, even refusing to say nerve gas large cities.
[00:02:38.782 --> 00:02:50.626]  So can you walk through how, from the pieces we have, and I know you've researched the same stuff I have and even more in some cases because I hear you, I read you, I know it's all on target because it's from the Enemy's Own Manual.
[00:02:50.666 --> 00:02:52.867]  So for listeners, this is not our opinion here.
[00:02:53.507 --> 00:02:55.148]  But again, they leave gaps in it.
[00:02:55.748 --> 00:03:00.891]  They explain a lot of it, but then it's all compartmentalized and partitioned.
[00:03:00.911 --> 00:03:01.892]  You have to put it all together.
[00:03:02.532 --> 00:03:22.583]  And they're not clear on time frames, but they want to use global war, global famine, controlled bioweapons releases, to train us with each terror attack, each bioweapons release, being bigger, to live in a more and more controlled society, in the name of keeping us safe, to get us finally in that totally controlled technological enslavement grid,
[00:03:23.443 --> 00:03:27.884]  Yes, well, as far as bringing the population down, it's already happening.
[00:03:28.024 --> 00:03:29.085]  It's been happening for 50 years.
[00:03:29.105 --> 00:03:31.405]  And their own statistics prove it.
[00:03:48.798 --> 00:03:53.701]  I've read reports this last week or so from official reports on the sterilization of males.
[00:03:54.422 --> 00:04:06.430]  The CBC television, Canada, that's the BBC version of the Canadians, came out with a documentary called The Disappearing Male, where we're now at 85% or more sterile.
[00:04:07.431 --> 00:04:10.633]  Yeah, the West is dying from Russia to Japan to the United States.
[00:04:10.673 --> 00:04:17.698]  First World is dying at about 3-4% a year, but to be clear, you mean they've slowed down the global growth?
[00:04:18.570 --> 00:04:19.371]  Oh, absolutely.
[00:04:19.411 --> 00:04:31.159]  And there's more girls being born than boys now because the boys have been attacked in the womb by bisphenol A and phthalates, which literally alter the biological makeup of the male.
[00:04:31.179 --> 00:04:34.602]  It attacks his endocrine system at the age of seven weeks as a fetus.
[00:04:35.542 --> 00:04:38.825]  And we're seeing them today, the feminine males.
[00:04:39.505 --> 00:04:42.566]  They're much slimmer, they have no shoulders.
[00:04:42.926 --> 00:05:04.132]  Let's not glaze over that, and this is again, main government documents, CBC broadcast, what Alan and I have already covered, but there it was, codified, the baby boys are dying in the womb, en masse, being targeted, if they make it out, I don't want to even say they're feminine, they're an emasculated male, whose literal glands do not develop.
[00:05:04.432 --> 00:05:05.232]  Alan, please continue.
[00:05:05.672 --> 00:05:08.193]  Yeah, and also in that same documentary,
[00:05:09.201 --> 00:05:18.545]  They said that 10 years ago they could take sperm samples from young healthy males in college around the age of 18 and they had 60 million
[00:05:22.356 --> 00:05:47.514]  sperm per million liter and now the new normal is 10 million per million liter so that's how far it's dropped and so they keep dropping the normal sperm count for males and then sperm that's left is a motile dysfunctional it doesn't find the target it cannot go to the ovum so technically most males today are almost completely sterile
[00:05:48.257 --> 00:05:49.477]  And this is well understood.
[00:05:49.497 --> 00:05:55.480]  They've been studying this for 50 years, as only now they're releasing what they've always known for the last 50 years.
[00:05:56.000 --> 00:06:14.166]  And you have to go back 50 years to the writings of Charles Galton Darwin, who came up with his book, The Next Million Years, where he outlines, on behalf of the elites, the different techniques of doing this very thing, sterilizing the population, primarily targeting the males, and reducing them drastically.
[00:06:14.750 --> 00:06:16.131]  So it has been happening.
[00:06:16.151 --> 00:06:20.594]  People are always looking for a big apocalypse, and it doesn't happen that way.
[00:06:21.095 --> 00:06:26.258]  It happens gradually, quietly, and the big mainstream media make no big deal about it.
[00:06:26.318 --> 00:06:28.320]  Explain that, because you do that very well.
[00:06:28.460 --> 00:06:31.983]  I mean, they state it's silent weapons for quiet wars.
[00:06:32.043 --> 00:06:34.905]  They slowly turn up the ambient chemicals.
[00:06:35.345 --> 00:06:36.705]  It's complete all-out warfare.
[00:07:01.392 --> 00:07:04.493]  And, you know, he discussed this with Charles Galton Darwin.
[00:07:04.533 --> 00:07:06.973]  He was a physicist in the 1950s.
[00:07:07.913 --> 00:07:11.194]  And you'll find Arthur Koestler also worked at the United Nations.
[00:07:11.694 --> 00:07:13.214]  Arthur Koestler is admitted now.
[00:07:13.315 --> 00:07:15.335]  Koestler was a member of MI5, MI6.
[00:07:17.075 --> 00:07:20.096]  And he taught at a university in New York for a while.
[00:07:20.796 --> 00:07:21.916]  He worked for the United Nations.
[00:07:21.976 --> 00:07:26.157]  And he wrote about this necessity as well of vastly reducing the population.
[00:07:26.597 --> 00:07:30.218]  They're using the same techniques, in fact, they've been using on animals
[00:07:30.811 --> 00:07:39.013]  And basically animal management and the forestry commissions, they target primarily the males to bring their population down drastically.
[00:07:39.273 --> 00:07:40.453]  Same techniques we use chemically.
[00:07:40.473 --> 00:07:48.075]  Now they've been putting out baits to chemically sterilize badgers and foxes and again it's all done just like you manage animals.
[00:07:48.095 --> 00:07:48.775]  They even say that.
[00:07:48.815 --> 00:07:49.355]  Go ahead please.
[00:07:49.856 --> 00:07:55.517]  Yes, they actually call it herd management when they discuss humans in the medical societies now openly.
[00:07:56.768 --> 00:07:58.129]  So this has been happening.
[00:07:58.149 --> 00:08:00.231]  We're seeing all the other side effects.
[00:08:00.692 --> 00:08:15.303]  As the sperm count drops and the endocrine system is severely attacked in young men, their IQ level is dropping as well, which also explains why they can't catch on to the big picture of what's happening around them.
[00:08:15.624 --> 00:08:18.946]  They literally don't have the ability to see what's happening.
[00:08:19.567 --> 00:08:24.311]  And that again ties in with the big planning committees who discussed this with
[00:08:25.172 --> 00:08:25.573]  I think?
[00:08:42.927 --> 00:08:52.134]  If the men will never ever accept this new world order, this regimented system from birth to death... And that's why they prozac and riddle in the boys.
[00:08:52.635 --> 00:08:54.416]  That's why they target them for a fist fight.
[00:08:54.436 --> 00:08:59.700]  They go to jail now instead of doing, you know, being allowed to do their normal male activities.
[00:08:59.720 --> 00:09:05.484]  I mean, that'd be like arresting a baby pronghorn, you know, a juvenile pronghorn for, you know, for
[00:09:06.705 --> 00:09:10.786]  You know, challenging other males out on the grassy plains of New Mexico.
[00:09:11.286 --> 00:09:13.987]  All normal human activity is made criminal.
[00:09:14.027 --> 00:09:15.547]  The male is destroyed.
[00:09:16.567 --> 00:09:17.168]  That is correct.
[00:09:17.728 --> 00:09:23.429]  And as I say, they had a targeted IQ, very little testosterone working there.
[00:09:23.769 --> 00:09:25.450]  You technically are not a man anymore.
[00:09:25.490 --> 00:09:26.630]  You won't rebel.
[00:09:26.730 --> 00:09:28.090]  You won't stand up and fight.
[00:09:28.670 --> 00:09:29.731]  You won't even object.
[00:09:30.311 --> 00:09:31.151]  You're very placid.
[00:09:31.991 --> 00:09:35.772]  And again, this is well understood by herd management for animals.
[00:09:37.258 --> 00:09:43.723]  When you basically neuter a bull, he becomes very, very placid and he'll accept treatment quite easily.
[00:09:44.644 --> 00:09:45.445]  There's no objections.
[00:09:45.465 --> 00:09:47.206]  Well, that's happened in society.
[00:09:47.286 --> 00:09:53.071]  And the police now take steroids to supplement the fact that they've been basically neutered.
[00:09:53.292 --> 00:09:59.037]  And so that's the only sequestered area, though, where you're allowed to be male only if you're assaulting your own people, though.
[00:09:59.497 --> 00:10:00.258]  That is correct.
[00:10:00.418 --> 00:10:01.379]  That is absolutely correct.
[00:10:01.419 --> 00:10:04.101]  And of course, the guy is in charge of the military and the police.
[00:10:04.867 --> 00:10:05.568]  Please continue.
[00:10:33.226 --> 00:10:54.210]  Well, what's interesting, too, one of the main chemicals that is a synthetic hormone, the very things that Charles Galton Darwin was talking about and advocated was bisphenol A. Now, bisphenol A was understood, it was discovered in the 1800s, and in the 1930s, the chemical companies in the U.S.
[00:10:54.890 --> 00:11:00.672]  had done extensive experimentation with it and they found that it was an endocrine disruptor.
[00:11:01.032 --> 00:11:02.752]  It literally would attack male
[00:11:03.417 --> 00:11:04.478]  Uh, growth in the womb.
[00:11:04.978 --> 00:11:07.039]  So, what do they do with this bi-spinal aid?
[00:11:07.079 --> 00:11:10.822]  And they make it mandatory to use it to sterilize all babies' bottles.
[00:11:10.862 --> 00:11:16.185]  That's right, there's hundreds of types of plastic, but they find this one type of sterilizing rats and guinea pigs.
[00:11:16.745 --> 00:11:19.707]  And so they make sure there's universal adoption of that.
[00:11:19.987 --> 00:11:21.568]  How loving!
[00:11:22.108 --> 00:11:22.308]  Yes.
[00:11:23.069 --> 00:11:31.634]  And then, of course, they put it into the bottles themselves, and with heat, it leaches very quickly from the plastic feeding bottles for babies.
[00:11:32.339 --> 00:11:35.501]  And it's in the little teats they use, through the rubber teats.
[00:11:35.581 --> 00:11:37.381]  And in children it's even more devastating.
[00:11:37.862 --> 00:11:38.542]  Alan Watts, stay there.
[00:11:38.582 --> 00:11:39.863]  We're going to come back and talk more about this.
[00:11:40.223 --> 00:11:42.864]  Only one small facet of how you're under attack.
[00:11:43.124 --> 00:11:43.704]  Don't believe us.
[00:11:43.744 --> 00:11:44.885]  It's all true, all on record.
[00:11:44.905 --> 00:11:45.845]  They bragged how they would do it.
[00:11:46.426 --> 00:11:52.028]  Diet injections and injunctions will reduce you to the level of mutton.
[00:11:53.149 --> 00:11:53.649]  Or sheep.
[00:11:54.849 --> 00:11:56.450]  But mutton on the plate.
[00:11:57.611 --> 00:11:59.412]  We'll be right back, ladies and gentlemen.
[00:11:59.452 --> 00:12:00.052]  Stay with us.
[00:12:01.593 --> 00:12:07.455]  If a low credit score is keeping you from getting the car, home, business loan or credit cards you deserve, this message is for you.
[00:12:07.875 --> 00:12:14.538]  RadioCreditSecrets.com can show you how to raise your credit score up to 249 points in the next 90 days or less.
[00:12:14.978 --> 00:12:21.340]  RadioCreditSecrets.com has successfully shown others how to pay off their overdue bills for as little as 30 cents on the dollar.
[00:12:21.640 --> 00:12:26.242]  Also included are three credit strategies attorneys and credit repair companies don't want you to know about.
[00:12:26.602 --> 00:12:34.869]  This alone could save you up to $1,000 and show you the inside secrets to legally remove negative items from your credit file and raise your score fast.
[00:12:35.409 --> 00:12:39.793]  Learn the secrets that banks, credit bureaus, and collection agencies don't want you to know.
[00:12:40.073 --> 00:12:42.155]  All this 100% risk-free.
[00:12:42.655 --> 00:12:44.997]  Go to RadioCreditSecrets.com.
[00:12:45.318 --> 00:12:47.059]  That's RadioCreditSecrets.com or
[00:12:48.320 --> 00:12:51.383]  Call 801-325-5152.
[00:12:51.824 --> 00:12:56.268]  That's 801-325-5152.
[00:12:56.308 --> 00:13:00.052]  This message has been brought to you by RadioCreditSecrets.com.
[00:13:00.653 --> 00:13:07.040]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[00:13:07.400 --> 00:13:09.002]  The enemy struck America on September 11.
[00:13:10.037 --> 00:13:11.078]  But who is the enemy?
[00:13:11.578 --> 00:13:12.118]  Bin Laden.
[00:13:12.379 --> 00:13:13.359]  This is his M.O.
[00:13:13.379 --> 00:13:14.680]  We have to look to the Middle East.
[00:13:14.720 --> 00:13:16.401]  We have to look to Osama Bin Laden.
[00:13:16.741 --> 00:13:23.486]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[00:13:23.886 --> 00:13:24.326]  Some U.S.
[00:13:24.366 --> 00:13:30.050]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[00:13:30.710 --> 00:13:34.232]  I'm aware that some Israeli citizens have been detained.
[00:13:34.593 --> 00:13:44.438]  ...Laden's connections to the CIA, the hijacker's ties to the FBI, the Saudi Arabian connection, the Israeli intelligence network, warnings and war games, the shadow government, and much, much more.
[00:13:44.678 --> 00:13:45.439]  Fabled enemies.
[00:13:45.919 --> 00:13:53.183]  Get the DVD at InfoWars.com or see it in super high quality along with hundreds of other titles at PrisonPlanet.tv.
[00:13:53.684 --> 00:13:57.026]  Either you are with us or you are with the terrorists.
[00:14:00.774 --> 00:14:02.216]  Jim Newcomer from Midas Resources.
[00:14:02.416 --> 00:14:02.696]  November 18, 2008.
[00:14:02.776 --> 00:14:03.757]  Gold opened this morning at $733.90.
[00:14:03.797 --> 00:14:07.281]  A one-ounce gold coin can be purchased for $756.74, $378.37 for the half-ounce, and $189.18 for a quarter-ounce.
[00:14:07.301 --> 00:14:07.741]  That's $756.74, $378.37, and $189.18.
[00:14:18.294 --> 00:14:24.097]  There has been talk coming from the Council of Foreign Relations of forming an American Union combining Canada, Mexico, and the U.S.
[00:14:24.197 --> 00:14:25.618]  and erasing economic borders.
[00:14:25.818 --> 00:14:32.641]  Bush met with Vincent Fox, President of Mexico, Paul Martin, Prime Minister of Canada, discussing a security and prosperity partnership.
[00:14:32.841 --> 00:14:36.423]  The formation of a North American Union will have a great impact on the U.S.
[00:14:36.483 --> 00:14:36.983]  economy.
[00:14:37.243 --> 00:14:42.006]  Jerome R. Corsi published the document, The Plan to Replace the Dollar with the Emerald.
[00:14:42.226 --> 00:14:43.666]  The sovereignty of the U.S.
[00:14:43.927 --> 00:14:44.647]  is under attack.
[00:14:45.107 --> 00:14:48.509]  And Corsi uncovers the secrets and lies that surround the deceit.
[00:14:48.789 --> 00:14:50.029]  Call for your copy today 800-686-2237.
[00:14:50.049 --> 00:14:51.470]  We the people must take a stand.
[00:14:51.530 --> 00:14:51.890]  That's 800-686-2237.
[00:14:51.930 --> 00:14:52.230]  That's 800-686-2237.
[00:15:00.626 --> 00:15:03.908]  Silver is mankind's oldest natural antibiotic.
[00:15:04.068 --> 00:15:08.151]  This very special mineral has been used for centuries by most cultures throughout the world.
[00:15:08.331 --> 00:15:19.758]  Utopia, Texas is home to a small but mighty supplement company called Utopia Silver, who offers colloidal products produced in distilled water without use of animal protein, nitrates, or saline solutions.
[00:15:19.978 --> 00:15:25.822]  Because our colloidal silver is made up of nano-sized particles, it can be better utilized at the cellular level.
[00:15:26.062 --> 00:15:26.683]  We're good to go.
[00:15:47.458 --> 00:15:48.739]  Alan Watts, our guest.
[00:15:48.759 --> 00:15:49.860]  Call's coming up.
[00:16:17.990 --> 00:16:30.581]  Alan, of course you've only covered one tiny area of this and they just throw it in your face that they knew in the studies over a hundred years ago what this would do and they said we'll put it in the in the plastics.
[00:16:30.801 --> 00:16:32.442]  Put it in the liners for the tin cans.
[00:16:33.023 --> 00:16:40.829]  Put it in everything and more importantly they said let's put fluoride, sodium fluoride in the water.
[00:16:41.389 --> 00:16:43.571]  We have the documents on that but then they just laugh at us.
[00:16:45.353 --> 00:16:46.614]  Please continue Alan Watt.
[00:16:47.659 --> 00:16:50.081]  Yes, what you have is a multi-pronged attack.
[00:16:50.641 --> 00:16:57.565]  When you look at your victim, or your enemy in warfare, you must study the enemy, and the enemy are the people.
[00:16:58.286 --> 00:17:02.849]  You study them, you find out what their habits are, what do all people go through in stages, etc.
[00:17:03.589 --> 00:17:13.335]  How do they rear their young, you can conceive their young, where can you hit your target, you hit your target in the womb, preferably, if you want to stop major natural changes from occurring.
[00:17:13.715 --> 00:17:16.197]  You get in there first, and you cause abnormal changes.
[00:17:16.877 --> 00:17:19.959]  We've been under attack from so many areas, including the inoculations.
[00:17:20.379 --> 00:17:37.607]  Now Bertrand Russell, Lord Bertrand Russell, another member of MI5, who is now declassified again, along with Koestler and many other big writers of their time, who led big international meetings, he said himself that they'd also use the needle to make people very placid.
[00:17:38.548 --> 00:17:40.109]  Those are his words in one of his books.
[00:17:40.929 --> 00:17:42.750]  And they have been using inoculations.
[00:17:42.810 --> 00:17:46.572]  They train the public who are taught to trust their masters,
[00:17:47.398 --> 00:17:51.601]  And they've trained them that everything they pump into your body is for your own good.
[00:17:51.862 --> 00:17:53.002]  Well, it's like your dog!
[00:17:53.203 --> 00:17:57.486]  You're lovingly coming over and getting your lap, and the government just injects cyanide in.
[00:17:57.506 --> 00:17:59.668]  I mean, it's so sick!
[00:18:00.228 --> 00:18:00.849]  Please continue.
[00:18:01.409 --> 00:18:08.615]  Yes, and once again, these inoculations literally have targeted the immune system of people.
[00:18:09.055 --> 00:18:12.738]  There's hardly a person in the Western world with an intact immune system.
[00:18:13.919 --> 00:18:15.280]  I thought about this years ago when
[00:18:16.321 --> 00:18:21.644]  I've looked at the fads that the medical sciences have gone through, and they do go through these strange fads.
[00:18:22.424 --> 00:18:33.430]  And back in the 50s, at the same time as all this was mandated to go into effect with the food and so on, they also started tonsillectomies and removing adenoids.
[00:18:33.971 --> 00:18:43.916]  As a matter of course, with all children in Europe around the age of four or five, it was the done thing to do, and every mother brought in their child and they'd become their adenoids and their tonsils.
[00:18:44.269 --> 00:18:45.910]  That's your first line of defense.
[00:18:46.010 --> 00:18:48.052]  They are parts of your immune system.
[00:18:48.112 --> 00:18:49.593]  They create white blood cells.
[00:18:50.334 --> 00:18:52.495]  So once they're removed, you're already missing 30% of them.
[00:18:52.556 --> 00:19:01.402]  You're being set up so that ordinary little colds or flus or things which you could normally fight off could actually kill you.
[00:19:02.383 --> 00:19:05.105]  And that was the intent of attacking the immune system.
[00:19:05.325 --> 00:19:06.867]  And they did studies in the 40s.
[00:19:06.907 --> 00:19:09.609]  They knew that antibiotics were going to create superbacteria.
[00:19:11.191 --> 00:19:23.799]  And not only that, what really staggers the mind, too, I call this the Matrix, because you swallow the world that's been presented to you, and everything in it is pretty well false, or a deception, or a cover.
[00:19:24.599 --> 00:19:32.864]  Now, again, the CBC in Canada did an incredible documentary a few years ago called Phagocytes.
[00:19:33.524 --> 00:19:37.807]  Now, phagocytes are viruses which are man-made.
[00:19:38.550 --> 00:19:45.614]  Which can attack and destroy other viruses, any other viruses programmed, literally programmed to destroy, or bacterium.
[00:19:46.375 --> 00:20:04.945]  And the Russians, the Soviet system, were using them from 1917 onwards, and all through the period up until the 90s, the mid-90s, the West weren't... They knew about this, of course, intelligence agencies, they knew about this in the military-industrial complex, but we were told there's nothing but antibiotics.
[00:20:05.045 --> 00:20:07.767]  Meanwhile, children can go into a clinic in Russia,
[00:20:08.243 --> 00:20:16.228]  With pneumonia, they get a little puffer, inhalants, they have a couple of breaths of this, they go home, and they're cured the following day.
[00:20:16.668 --> 00:20:23.532]  Because special viruses can be programmed like computers from 1917, and they did not need antibiotics in Russia.
[00:20:24.112 --> 00:20:31.717]  Now, a company in New York bought over all of the rights of this particular Georgian company, in the ex-Soviet Union,
[00:20:32.384 --> 00:20:33.825]  And they've kept it quiet.
[00:20:33.845 --> 00:20:36.887]  They're only using it for one thing only, and I don't trust them here.
[00:20:37.407 --> 00:20:39.849]  They're using it in all cold-cut meats now.
[00:20:40.489 --> 00:20:46.673]  They put these phagocytes, viruses, on the cold-cut meats, supposedly to kill off other viruses.
[00:20:46.693 --> 00:20:50.615]  That's right, in Latin it means bacteria eater.
[00:20:51.536 --> 00:21:01.002]  And the bigger problem with the cold cuts in the meats, they're spraying with it, is it allows them to take rotten meat covered in feces from the slaughterhouse, literally folks,
[00:21:01.542 --> 00:21:04.064]  That's right, and now we have outbreaks of Listeria
[00:21:30.200 --> 00:21:31.321]  On Cold Beach, suddenly.
[00:21:31.341 --> 00:21:32.722]  That didn't happen before.
[00:21:35.543 --> 00:21:37.284]  And so their answer is, radiated.
[00:21:37.985 --> 00:21:40.787]  But you're still eating the toxin.
[00:21:40.987 --> 00:21:43.908]  What gets you really sick is the bacteria excrement.
[00:21:44.269 --> 00:21:50.352]  We'll be right back with Alan Watt and your calls.
[00:21:51.273 --> 00:21:52.173]  We're on the march.
[00:21:52.674 --> 00:21:54.255]  The Empire's on the run.
[00:21:55.195 --> 00:21:57.877]  Alex Jones and the GCN Radio Network.
[00:22:01.010 --> 00:22:05.733]  Don't be a victim of sudden cardiac arrest due to inflammation of the arterial walls.
[00:22:06.094 --> 00:22:12.438]  Our hemp foods are anti-inflammatory and gluten-free, and can greatly benefit the health of the human body.
[00:22:13.178 --> 00:22:21.544]  By calling 908-691-2608 or visiting hempusa.org, you can benefit from this wonderful natural food source.
[00:22:22.205 --> 00:22:29.610]  Our customers are also purchasing this natural food for long-term storage, camping, survival and emergency food rations.
[00:22:30.134 --> 00:22:35.636]  Call 908-691-2608 or visit hempusa.org today.
[00:22:35.656 --> 00:22:43.599]  Hempusa.org believes that now is the time to plan for the future and food will be your greatest asset.
[00:22:44.219 --> 00:22:51.001]  People spend money on all kinds of things, but our warning is prepare now for food shortages in the future.
[00:22:51.843 --> 00:23:00.507]  So don't delay, call today, 908-691-2608, and see what our powder, seeds, and oil can do for you.
[00:23:00.527 --> 00:23:03.149]  May I have everybody's attention, please?
[00:23:03.169 --> 00:23:05.690]  I've come with a message of information.
[00:23:05.710 --> 00:23:08.311]  9-11 was an inside job.
[00:23:08.331 --> 00:23:09.492]  Do you like being a puppet, sir?
[00:23:09.512 --> 00:23:11.152]  Do you like being a puppet for the New World Order?
[00:23:11.232 --> 00:23:17.736]  How do the American people know that 9-11 wasn't staged, wasn't engineered by you, David Rockefeller, the Trilateral Commission, the CFR?
[00:23:27.411 --> 00:23:32.307]  Seven years after the attacks of September 11th, a global awakening has taken place.
[00:23:36.056 --> 00:23:37.136]  How dare you?
[00:23:37.317 --> 00:23:43.559]  If you know that there's treason going on, you can be held accountable for treason yourself.
[00:23:43.579 --> 00:23:46.200]  All hell is breaking loose on 6th Avenue.
[00:23:46.280 --> 00:23:52.882]  And if the government has not told the truth in 5 years, we will be here on the 10th anniversary of... Truth Rising.
[00:23:52.922 --> 00:23:55.503]  Download the film at PrisonPlanet.tv right now.
[00:23:55.783 --> 00:23:57.784]  Or get the DVD at Infowars.com.
[00:23:58.044 --> 00:24:00.525]  It's now time to take the revolution to the next level.
[00:24:01.049 --> 00:24:04.471]  Free yourself from expensive cable and satellite fees.
[00:24:04.651 --> 00:24:07.553]  Control what you want to see, GCN listeners.
[00:24:07.733 --> 00:24:13.897]  Now you can transform your living room's HDTV into a virtual war room command center with ZV.
[00:24:14.017 --> 00:24:20.101]  ZV turns your computer into your own HD channel that broadcasts throughout your home to all of your HDTVs.
[00:24:20.341 --> 00:24:25.625]  Enjoy any internet audio feed, podcast, video feed, radar, free movies and TV shows.
[00:24:26.505 --> 00:24:33.091]  Anything that can be viewed on your PC can be controlled from your couch with the ZV remote with its built-in mouse touchpad.
[00:24:33.191 --> 00:24:42.899]  Plus the easy on-screen ZV menu provides a gateway to premium content such as online movies, TV shows, news and more in HD and all just a click away.
[00:24:42.979 --> 00:24:46.121]  With ZV there are no subscription or download fees.
[00:24:46.242 --> 00:24:49.584]  The ZV is bundled with everything you need to easily get started.
[00:24:49.604 --> 00:24:52.807]  Free yourself from expensive cable and satellite fees.
[00:24:53.207 --> 00:24:54.307]  All right, going back to Alan Watt.
[00:25:25.433 --> 00:25:40.896]  Going back to Alan Watt and your phone calls here in just a moment.
[00:25:43.436 --> 00:25:47.257]  But before I do that I want to tell you about a couple sponsors that make this radio show possible.
[00:25:47.277 --> 00:25:50.437]  One great sponsor
[00:25:54.608 --> 00:25:56.229]  is Interhealth Botanicals.
[00:25:56.669 --> 00:25:58.250]  You know them as Interfood.
[00:25:58.270 --> 00:26:01.512]  That's just one of their great line of products.
[00:26:04.093 --> 00:26:10.237]  Interfood, folks, is the best green food out there, bar none.
[00:26:11.909 --> 00:26:25.423]  And I hope that you will check out the web banners that we have for them up on InfoWars.com and PrisonPlanet.com because they have a whole line of great products, but they're green food.
[00:26:25.563 --> 00:26:30.688]  I've taken other ones that have all these superfoods and ingredients and they always give me headache or make me feel sped up.
[00:26:33.390 --> 00:26:40.633]  It's just a whole bunch of well-known superfoods that are really good for your body.
[00:26:41.233 --> 00:26:49.316]  So again, check it out at InfoWars.com and PrisonPlanet.com.
[00:26:51.457 --> 00:26:54.077]  You can link through there to the InnerFood website.
[00:26:54.117 --> 00:26:56.778]  Find the banner right there on both sites.
[00:26:58.019 --> 00:27:00.400]  Also, there is Food Shortage USA.
[00:27:01.786 --> 00:27:05.207]  FoodShortageUSA.com is the website.
[00:27:06.468 --> 00:27:12.250]  Phase one of the insiders plan for a one world government has been indicated with the recent bailout.
[00:27:12.270 --> 00:27:19.212]  International bankers and power brokers have engineered the current crisis to create a new currency and a new world bank to act as savior.
[00:27:19.672 --> 00:27:20.612]  But we've only seen the beginning.
[00:27:20.633 --> 00:27:24.434]  The insiders have discovered that they can control two things to seize total control and power.
[00:27:25.154 --> 00:27:28.575]  One is the world currency, which they are currently being prepared to accept, and the other is food.
[00:27:29.095 --> 00:27:31.776]  We're witnessing the engineered financial crisis, folks.
[00:27:32.096 --> 00:27:33.356]  Don't wait until it's too late.
[00:27:33.757 --> 00:27:40.479]  Go to FoodShortageUSA.com to learn how to make your own storable foods for you and your family, prepare for the road ahead.
[00:27:40.859 --> 00:27:45.200]  This website reveals a step-by-step way for the average person to get prepared for what's ahead.
[00:27:45.660 --> 00:27:50.483]  I think the best part about the system is it gets you off the food grid, even if you don't have a lot of money to spend.
[00:27:50.523 --> 00:27:53.085]  The site is foodshortageusa.com.
[00:27:53.185 --> 00:27:53.585]  One word.
[00:27:54.046 --> 00:27:57.528]  Or 877-327-0365 to learn more.
[00:27:57.548 --> 00:28:01.291]  877-327-0365.
[00:28:03.272 --> 00:28:11.277]  Alan, I said I was particularly having you on today, and we appreciate your time, to take calls so we can go in different directions than you or I would normally focus on.
[00:28:13.012 --> 00:28:21.715]  You know, pretty much on the same page with you and your research, because we just go to their own source documents with the chemical dumbing down, the biological attacks, what they're setting up.
[00:28:22.335 --> 00:28:29.398]  But I want to go to the calls, and we've been interrupted by a few breaks and my seconding everything you're saying, but you know, I can't help myself.
