[00:00:00.129 --> 00:00:00.890]  Federal agents!
[00:02:43.516 --> 00:02:48.737]  How did somebody who was under Leo Strauss get into the work of trying to warn people about fluoride in the water?
[00:02:49.377 --> 00:03:04.600]  Well, Strauss was an amazing thinker, and he wanted us to read a great book to try and figure out what that writer, whether it was Rousseau or Plato or whoever, what he was really trying to say that might be true.
[00:03:05.925 --> 00:03:13.808]  The whole point about Western civilization is that we're a civilization that uses science to try to find out what is nature and human nature.
[00:03:13.828 --> 00:03:14.928]  What's the truth about it?
[00:03:16.329 --> 00:03:32.115]  And after a certain time, I realized that I was teaching all these old books like Plato or so, and that sometimes modern biology or modern science was showing that what they were saying in these books was false.
[00:03:33.933 --> 00:03:42.855]  And I thought, gee, you know, I've got to tell people that this book, you know, John Locke saying that the brain is a blank slate.
[00:03:42.955 --> 00:03:46.036]  Well, Gary, your brain isn't a blank slate.
[00:03:46.076 --> 00:03:49.217]  It's a much more complicated piece of meat than that.
[00:03:49.297 --> 00:03:50.837]  Gee, I've got to explain that's wrong.
[00:03:51.878 --> 00:03:56.419]  Or, Rousseau says, humans were originally individuals running around all alone in the state of nature.
[00:03:56.439 --> 00:03:59.000]  And then I read about the chimpanzees, and oh, they're not like that.
[00:03:59.140 --> 00:04:00.520]  Oh, I've got to explain he was wrong.
[00:04:01.827 --> 00:04:05.548]  And so I've been working on that for a long time and one thing leads to another.
[00:04:07.148 --> 00:04:12.270]  How did you get into research on, at the end of the Manhattan Project, dumping it in the water supply?
[00:04:12.990 --> 00:04:20.872]  I mean, I want to start at the beginning and walk through that, but first tell us what in your research led you to the mass chemical poisoning of the population?
[00:04:21.852 --> 00:04:30.514]  What happened was I started thinking in just general terms about biology and human nature and I went to a conference
[00:04:31.624 --> 00:04:45.669]  And I heard a retired oil executive named Brett Hodges from California give a presentation on how violent criminals have high levels of either lead or manganese in their blood.
[00:04:47.549 --> 00:05:00.634]  And this was very interesting to me, that we were putting pollution in the environment, never so lead toys are bad, you know, so a pollution is bad, but they don't talk about how it might change the chemistry of your brain.
[00:05:01.929 --> 00:05:03.069]  And so I decided to study that.
[00:05:03.110 --> 00:05:10.753]  Well that's the old saying of mad as a hatter because in the dying process they were using mercury and lead and things and so you'd be mad as a hatter.
[00:05:11.233 --> 00:05:12.113]  Oh sure, sure.
[00:05:12.593 --> 00:05:25.959]  And besides, what seems to have happened is that I mentioned this idea of a blank slate because there's this whole idea that everything we do is stuff we learn and there's no reason for understanding biology because it's deterministic or something.
[00:05:26.419 --> 00:05:30.080]  When really you would say, what, 80% is nature instead of nurture?
[00:05:31.874 --> 00:05:36.717]  Well, I think that we ought to start to forget that and look at the facts.
[00:05:38.678 --> 00:05:52.908]  One of the things that Mr. Strauss taught us, he advised me when I finished my work, is always teach as if there's a silent student in class who knows more than you do.
[00:05:53.228 --> 00:06:00.753]  He wasn't an ideologist himself, some of his students were, but if you imagine that, I have to imagine that there are some of your listeners
[00:06:01.533 --> 00:06:02.574]  We're going to know more than I do.
[00:06:03.954 --> 00:06:06.396]  And if I make mistakes, I want them to correct me.
[00:06:07.616 --> 00:06:24.766]  Because I think what makes our civilization special is this possibility of an open-minded study, so that if the government says, oh, it's a great thing to fluoridate water, and I come across the discovery, wait a second, what counts is which chemical you use,
[00:06:26.221 --> 00:06:31.383]  And we've got to re-look at that, and not just use one word, but say, wait a second, what are we actually doing?
[00:06:31.403 --> 00:06:32.284]  What's the science of it?
[00:06:32.364 --> 00:06:49.811]  So you're talking about kind of the private, individual, mass consciousness, or private intelligence agency, where we all integrate our own research, and then almost have our own private research going on, which then brings it all to a higher level.
[00:06:50.511 --> 00:06:54.573]  So let's get to the point when you bump in... Let me explain how I got into this.
[00:06:55.188 --> 00:07:04.875]  That is, I started to look at pollution with lead and manganese, and I had to figure out, well, what does lead do to the brain?
[00:07:06.015 --> 00:07:20.005]  Now, lead has an effect on a particular chemical in the brain, a neurotransmitter called dopamine, and if you have a disturbed... Dopamine is the chemical that works all the centers of your brain,
[00:07:20.578 --> 00:07:22.800]  They're involved in making judgments.
[00:07:22.820 --> 00:07:27.263]  It controls impulsiveness until you decide what's a good thing to do.
[00:07:28.664 --> 00:07:35.089]  And so, I realized that there was a science about this that Americans had to know about.
[00:07:36.389 --> 00:07:49.499]  Because if Americans don't know why lead is bad, or why manganese is bad, and they don't know that pollution means that a company says, oh, it's too expensive to clean up this pollution.
[00:07:50.919 --> 00:07:52.540]  But they're poisoning the kids!
[00:07:54.802 --> 00:07:57.144]  So I said, well, how is it poisoning the kids?
[00:07:58.265 --> 00:07:59.686]  And so I began to do studies.
[00:07:59.726 --> 00:08:00.527]  A simple study.
[00:08:01.988 --> 00:08:05.471]  There are some counties in the United States where the EPA reports there's lead pollution.
[00:08:06.692 --> 00:08:08.953]  And other counties where they report there's manganese pollution.
[00:08:10.255 --> 00:08:16.720]  And I said, well, what kind of behavior is connected with lead pollution that we can measure?
[00:08:16.760 --> 00:08:19.502]  Well, I remember, oh, Brett Hodges said violent crime, right?
[00:08:20.182 --> 00:08:21.703]  Well, we've got good data on violent crime.
[00:08:21.723 --> 00:08:23.725]  You know, we keep track of how many people kill other people.
[00:08:23.845 --> 00:08:31.050]  And so you can take the data on where areas have more lead contamination, and then you look at the areas where they have crime statistics, and voila!
[00:08:31.090 --> 00:08:33.632]  They lay over each other quite nicely, don't they?
[00:08:34.313 --> 00:08:34.913]  Absolutely.
[00:08:35.634 --> 00:08:41.258]  And to give you one example of that, which is just fantastic, we did something that was right when we banned leaded gasoline.
[00:08:42.799 --> 00:08:47.323]  Because when we banned leaded gasoline, it had the effect of reducing the crime rate.
[00:08:48.303 --> 00:08:49.084]  But not right away.
[00:08:49.611 --> 00:08:50.371]  Crime rate dropped in 1991.
[00:08:50.812 --> 00:08:56.814]  It was when the first generation of kids whose mothers weren't exposed to lead when they were pregnant.
[00:08:59.276 --> 00:09:03.357]  And they weren't exposed anymore, so much, because there was no more leaded gas.
[00:09:03.858 --> 00:09:08.880]  And that first generation, when they got to be 17 or 18, their criminal behavior just dropped way off.
[00:09:08.960 --> 00:09:13.982]  And for those that don't know, in the 70s and 80s, it was just liquor store robberies, murder.
[00:09:14.042 --> 00:09:15.523]  The murder rate was a lot higher.
[00:09:15.543 --> 00:09:16.804]  I mean, it was really dangerous.
[00:09:17.880 --> 00:09:18.480]  Absolutely.
[00:09:18.541 --> 00:09:20.782]  And the cars were driving around shooting lead out the back.
[00:09:21.322 --> 00:09:22.603]  That's right.
[00:09:22.723 --> 00:09:25.544]  Which makes you violent in thousands of studies.
[00:09:25.564 --> 00:09:28.025]  Sure, but I discovered there are lots of other things.
[00:09:28.045 --> 00:09:47.195]  For instance, if you live in a community with a lot of old housing, since lead paint is on both the inside and outside of the old housing, people point out that kids find the taste of lead paint sweet, so they're more likely that it's a chip of paint, actually, and something to eat it.
[00:09:47.881 --> 00:10:07.967]  But it's also true that, for instance, in the 9th Ward in New Orleans, which was reputed to be terribly violent, let's defer to that, there's a scientist down there who did some work and he found out that the big source of lead in the kids down there in the 9th Ward was the grass strip between the sidewalk and the street.
[00:10:08.867 --> 00:10:13.028]  If the lead gas came out of those cars back before lead gas was banned,
[00:10:14.083 --> 00:10:16.685]  As particles in the atmosphere, they're dropped in the ground, and it's inert.
[00:10:16.705 --> 00:10:17.686]  It just stays there forever.
[00:10:17.826 --> 00:10:29.254]  So it gets in the grass, and the grass is wet one day, and the kid's running down the street, and he falls down, and they put his hand in the grass, and the next thing, he licks his hand, and before you know it, he's got the lead in his body.
[00:10:30.555 --> 00:10:40.862]  You have to realize that there are many ways you can drive, as I put it, there's many ways to drive from Boston to Chicago, and there's many ways that a toxic chemical can get into kids.
[00:10:42.941 --> 00:10:47.483]  If we get at this, we can cut down the cost of two things.
[00:10:48.323 --> 00:10:49.584]  Three things, actually, that are important.
[00:10:49.604 --> 00:10:51.304]  First, learning disabilities.
[00:10:51.964 --> 00:10:55.766]  Special Ed is about $15,000 a year per kid, on some estimates.
[00:10:56.806 --> 00:11:01.928]  I got evidence that these toxic chemicals increase the rates of learning disabilities.
[00:11:02.489 --> 00:11:04.229]  Well, obviously, let me stop you.
[00:11:04.269 --> 00:11:08.451]  I mean, lead, arsenic, mercury, fluoride.
[00:11:09.608 --> 00:11:13.472]  Professor, and of course we should add, you've won a lot of international awards for your research.
[00:11:13.512 --> 00:11:14.092]  Groundbreaking.
[00:11:14.573 --> 00:11:17.455]  And now I'm just accepted, you know, basically as fact because it is.
[00:11:18.016 --> 00:11:23.922]  But they knew 200 years ago that lead and mercury had all sorts of problems, made you go insane.
[00:11:24.382 --> 00:11:27.845]  You know, they knew 100 years ago what fluoride did.
[00:11:27.865 --> 00:11:31.329]  I mean, that's the University of Texas studies and German studies from 80, 90, 100 years ago.
[00:11:33.999 --> 00:11:44.969]  So, I mean, here you are discovering that this really is increasing crime and anti-social behavior and a dumbing down, but now let's look at why they decided to put it in the water.
[00:11:44.989 --> 00:11:50.814]  Well, first of all, I want to raise a question for you with what you just said.
[00:11:52.015 --> 00:11:58.300]  It's not so clear that fluoride itself is always the problem.
[00:12:01.030 --> 00:12:04.852]  I bet you know somebody who uses toothpaste with sodium fluoride in it.
[00:12:05.492 --> 00:12:08.294]  Yes.
[00:12:08.714 --> 00:12:12.316]  You have to have an awful lot of fluoride to cause a problem.
[00:12:12.396 --> 00:12:17.178]  Obviously if you have too much of anything, get above a certain level, it's really bad news.
[00:12:17.571 --> 00:12:19.032]  Well, see, that's the thing, Professor.
[00:12:19.092 --> 00:12:28.797]  People don't know that the word fluoride is a coverall for dumping hundreds of things in the water, so maybe we should get to that and then break down the history of it, but go ahead.
[00:12:29.097 --> 00:12:42.385]  Alright, well, look, the main thing is that in putting fluoride in the water, instead of sodium fluoride, most of it, over 90% of it, uses one of two chemicals.
[00:12:42.865 --> 00:12:44.906]  Either something called fluorosilicic acid,
[00:12:45.646 --> 00:12:46.466]  We're good to go.
[00:13:14.466 --> 00:13:14.866]  I think so.
[00:13:40.393 --> 00:13:45.234]  The chemist I work with, everything in this is done with a chemist named Mark J. Copeland.
[00:13:45.314 --> 00:13:50.676]  I really owe him a great deal because he's the one who got me started on looking at fluoride compounds.
[00:13:51.716 --> 00:14:03.599]  He calls it an oligomer of silicic acid, which is a fancy word for just saying there's a chemical there that's left over after you put the silico fluoride into the water.
[00:14:04.359 --> 00:14:06.660]  And so the real question is why do we put them in the water?
[00:14:08.493 --> 00:14:10.055]  And so I'm going to ask you a question.
[00:14:10.135 --> 00:14:21.145]  What agency of the federal government do you think decided to design the idea and got people to start putting a fluoride compound, not fluoride, it's a fluoride compound, in water supply?
[00:14:21.465 --> 00:14:33.556]  The Department of Energy, after they had all these millions of tons of toxic waste piled up and they had some spills in Tennessee and other places that
[00:14:34.673 --> 00:14:35.634]  Killed some of the rivers.
[00:14:36.334 --> 00:14:37.215]  Actually, it was before that.
[00:14:38.075 --> 00:14:44.339]  Well, I know that it was the Department of Energy that went around all the cities and lobbied everybody, but, I mean, go ahead, give us the history, Professor.
[00:14:44.860 --> 00:14:48.622]  The history goes back to World War II.
[00:14:50.363 --> 00:14:57.048]  Yeah, the Manhattan Project, but I'm saying after... Actually, it goes back before that, because... Okay.
[00:14:57.068 --> 00:14:58.208]  Well, tell us the whole history, then.
[00:14:58.248 --> 00:14:59.069]  That's why we've got you here.
[00:14:59.109 --> 00:15:00.350]  You're the expert on this.
[00:15:00.930 --> 00:15:03.552]  Well, the history begins, actually,
[00:15:04.575 --> 00:15:11.818]  With Einstein coming to the United States and writing that letter to Roosevelt about the possibility of making a bomb that would make a huge explosion.
[00:15:11.838 --> 00:15:17.580]  You know, Einstein wrote Roosevelt a letter about the possibility of having a nuclear bomb.
[00:15:19.041 --> 00:15:22.782]  Then the Germans took over Czechoslovakia, called the Anschluss.
[00:15:23.843 --> 00:15:30.025]  That was one of the things that triggered World War II, but when the Nazis went into Czechoslovakia, why'd they pick that place?
[00:15:30.885 --> 00:15:32.106]  They occupied the place
[00:15:33.001 --> 00:15:35.002]  With the best uranium in Europe.
[00:15:36.622 --> 00:15:46.765]  Now, one thing we forget is that when Einstein came to the United States as a brilliant physicist, there are other brilliant physicists who stayed in Germany.
[00:15:47.265 --> 00:15:48.226]  Like Max Planck!
[00:15:49.186 --> 00:15:52.927]  Yeah, and Hitler began a nuclear weapons project.
[00:15:54.788 --> 00:16:01.950]  Now, in fact, we know two things about that that's worth mentioning, because I want the audience to have in mind that
[00:16:03.069 --> 00:16:05.230]  This is all secret during World War II.
[00:16:06.451 --> 00:16:11.575]  This question of whether Hitler had the bomb, whether we didn't want anybody to know we were working on a bomb.
[00:16:11.875 --> 00:16:12.675]  Well, he really did.
[00:16:12.695 --> 00:16:18.259]  We only had enough to test one at the end of the... near the end of the war, they did that secret deal.
[00:16:18.599 --> 00:16:25.064]  I'm sure you know about this, Professor, with the U-boat trading in exchange for safety in South America.
[00:16:25.084 --> 00:16:29.887]  Sure, but the question is, first of all,
[00:16:33.295 --> 00:17:00.576]  What is not generally known is that there's a question of why Hitler didn't make more progress with the Great Physicist, and there's a rumor, it's never been proved, we have no evidence for it, it's a guess, that some nuclear physicists, and perhaps the Great Physicist, Heisenberg, arranged for the experiments to fail because they didn't want Hitler to have
[00:17:02.096 --> 00:17:09.902]  Well, the one thing we do know is that Hitler had a huge supply of uranium that he had separated.
[00:17:09.922 --> 00:17:12.865]  You have to separate uranium from other elements in rock.
[00:17:12.885 --> 00:17:14.506]  It's a little difficult to enrich it.
[00:17:14.626 --> 00:17:17.669]  You know, all this stuff we hear about these centrifuges now.
[00:17:17.709 --> 00:17:21.772]  You have to do something to make the uranium into a state where it can cause a bomb.
[00:17:22.793 --> 00:17:31.080]  And Hitler put his uranium in a place in Norway called Tenemunde, where he put the uranium in something called heavy water, which was
[00:17:32.074 --> 00:17:34.375]  Which absorbs radiation, so it couldn't explode.
[00:17:35.036 --> 00:17:38.157]  They weren't sure what to do with their uranium, so it wouldn't have an accident.
[00:17:38.717 --> 00:17:42.559]  And it didn't want to be in Germany, because they were afraid it would vomit, so they put it in Norway.
[00:17:42.959 --> 00:17:43.940]  And so they sent in U.S.
[00:17:43.980 --> 00:17:47.341]  forces that followed it when it went across the lake on the barge and sunk it.
[00:17:48.062 --> 00:17:48.542]  That's right.
[00:17:48.562 --> 00:17:53.024]  So, we destroyed his uranium, and that set that whole thing way back.
[00:17:54.685 --> 00:17:58.507]  Hitler himself was apparently not as good as there are some reports.
[00:17:59.522 --> 00:18:03.304]  Do you have doubts about the stability of the dollar or your own financial future?
[00:18:03.425 --> 00:18:05.766]  Is a dismal growth rate or rapid inflation affecting the bottom line?
[00:18:05.786 --> 00:18:07.587]  It is uranium and that set that whole thing way back.
[00:18:07.607 --> 00:18:09.088]  Hitler himself was apparently not as
[00:18:33.806 --> 00:18:43.335]  Well, we've seen the German maps on what their A-bomb is going to do to Manhattan, but it was so late in the war they decided the U.S.
[00:18:43.355 --> 00:18:45.957]  would annihilate them with conventional weapons, so they made a deal.
[00:18:47.691 --> 00:18:51.473]  Do you have doubts about the stability of the dollar or your own financial future?
[00:18:51.873 --> 00:18:56.615]  Is a dismal growth rate or rapid inflation affecting the bottom line of your retirement savings account?
[00:18:56.875 --> 00:19:01.917]  Do you worry about uncontrollable economic events which could suddenly wipe out some or all of your hard-earned savings?
[00:19:02.197 --> 00:19:04.118]  You can turn adversity into opportunity.
[00:19:04.298 --> 00:19:12.724]  Individual retirement accounts and most 401Ks, 403Bs, SEFs and other retirement plans can be rolled over into self-directed accounts using gold and silver.
[00:19:12.784 --> 00:19:17.407]  There are definitely some do's and don'ts with this rollover process and that's where Midas Resources comes in.
[00:19:17.767 --> 00:19:23.471]  Call us at 1-866-323-5665 and we can help you with this process.
[00:19:23.971 --> 00:19:28.874]  History has shown that metals will maintain your buying power even if other financial assets are failing.
[00:19:29.435 --> 00:19:33.878]  It's not a question of if you'll need precious metals in your portfolio, it's a question of when.
[00:19:34.358 --> 00:19:39.403]  So whether you're planning for an economic rainy day or a Category 5 hurricane, the solution is the same.
[00:19:39.664 --> 00:19:43.628]  Call us today at 1-866-323-5665.
[00:19:43.648 --> 00:19:44.108]  1-866-323-5665.
[00:19:45.389 --> 00:19:54.078]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[00:19:54.419 --> 00:19:56.100]  The enemy struck America on September 11th.
[00:19:57.023 --> 00:19:58.044]  But who is the enemy?
[00:19:58.584 --> 00:19:59.085]  Bin Laden.
[00:19:59.365 --> 00:20:00.425]  This is his MO.
[00:20:00.445 --> 00:20:01.666]  We have to look to the Middle East.
[00:20:01.726 --> 00:20:03.408]  We have to look to Osama Bin Laden.
[00:20:03.728 --> 00:20:10.472]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[00:20:10.893 --> 00:20:11.333]  Some U.S.
[00:20:11.373 --> 00:20:17.117]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[00:20:17.717 --> 00:20:21.180]  I'm aware that some Israeli citizens have been detained.
[00:20:21.400 --> 00:20:31.467]  Bin Laden's connections to the CIA, the hijacker's ties to the FBI, the Saudi Arabian connection, the Israeli intelligence network, warnings and war games, the shadow government, and much, much more.
[00:20:31.688 --> 00:20:32.428]  Fabled enemies.
[00:20:32.929 --> 00:20:40.254]  Get the DVD at InfoWars.com, or see it in super high quality, along with hundreds of other titles at PrisonPlanet.tv.
[00:20:40.654 --> 00:20:44.037]  Either you are with us, or you are with the terrorists.
[00:20:47.538 --> 00:20:50.180]  Every week, thousands of violent crimes are committed.
[00:20:50.480 --> 00:20:52.361]  Don't let yourself become a statistic.
[00:20:52.621 --> 00:20:53.162]  Be smart.
[00:20:53.482 --> 00:20:54.062]  Be safe.
[00:20:54.282 --> 00:20:56.344]  Trust Pepper Spray instead of your luck.
[00:20:56.604 --> 00:21:02.127]  Pepperspray.com is the only website you'll ever need for all of your non-lethal self-defense supplies.
[00:21:02.407 --> 00:21:08.051]  Pepperspray.com carries one of the largest assortments of pepper spray and personal safety products on the web.
[00:21:08.231 --> 00:21:10.092]  From big to small, we have it all.
[00:21:10.272 --> 00:21:10.953]  Pepper Spray.
[00:21:11.093 --> 00:21:11.393]  Mace.
[00:21:11.653 --> 00:21:12.134]  Animal Repair.
[00:21:12.154 --> 00:21:12.334]  $99.88 today.
[00:21:21.041 --> 00:21:22.842]  Roger Masters is our guest.
[00:21:23.122 --> 00:21:25.803]  A lot of his material is published online.
[00:21:26.144 --> 00:21:40.851]  He's a top academic and professor at Dartmouth School of Government, Department of Government, with an Elson A. Rockefeller Professor of Government Chair, basically, and he was under the
[00:21:42.679 --> 00:21:44.881]  Head honcho of the neocons, Leo Strauss.
[00:21:44.941 --> 00:21:48.283]  Before he leaves us, I'll get him to diverge and get a little bit into that.
[00:21:49.224 --> 00:21:54.387]  But he got into researching what is fluoride, what are the different types of fluoride, why is it being put in the water.
[00:21:55.088 --> 00:21:58.470]  We now have all these studies from all over the world, what it does.
[00:21:58.970 --> 00:22:00.572]  And boy, it is not pretty.
[00:22:01.252 --> 00:22:02.653]  But he doesn't even want to get into that issue.
[00:22:02.673 --> 00:22:04.334]  He just wants to get into why it was put there.
[00:22:04.875 --> 00:22:06.456]  And so, please continue.
[00:22:06.496 --> 00:22:09.478]  You've gotten up to the German atomic program.
[00:22:10.336 --> 00:22:12.978]  I want to get through why it was put there and focus on what it does.
[00:22:12.998 --> 00:22:15.099]  I want to spend most of this time on what it does.
[00:22:15.979 --> 00:22:21.863]  I want to explain, though, that the start of putting any fluoride in water was super secret.
[00:22:22.883 --> 00:22:25.285]  Because the Manhattan Project had a problem in the 1940s.
[00:22:25.505 --> 00:22:31.348]  They didn't want anybody to know how far advanced we were in making a bomb.
[00:22:32.649 --> 00:22:38.412]  And we only had a very poor level of a supply of uranium in the United States.
[00:22:38.812 --> 00:22:39.533]  It's in rocks.
[00:22:40.796 --> 00:23:07.516]  It's a little bit complicated to get the uranium out compared to what Hitler had in Czechoslovakia and the consequence of that is that you had a waste product that was a very powerful acid and the scientist who was responsible for
[00:23:08.214 --> 00:23:08.794]  We're good to go.
[00:23:35.808 --> 00:23:36.248]  I think so.
[00:24:01.172 --> 00:24:10.716]  Who isn't afraid of saying, we're on a phone call like this, and he'll say, hey Roger, shut up and listen to me, because I've made a mistake in chemistry, and I make mistakes in chemistry, I rely on him.
[00:24:12.737 --> 00:24:25.302]  Science is about being able to engage in discussion, and so you should stop me any time when I get into the facts of the case that I've discovered, and say, well, what do I mean, or what about what, and so forth.
[00:24:26.743 --> 00:24:28.203]  Still, the big thing is that
[00:24:30.205 --> 00:24:39.207]  Because putting fluoride in water had to be secret, so people in Germany or Japan didn't know how much uranium we were processing.
[00:24:40.948 --> 00:24:43.008]  Everybody talked about putting fluoride in water.
[00:24:43.928 --> 00:24:51.190]  And the Manhattan Project started by putting sodium fluoride, which is the simple thing we have in toothpaste, in a couple of places.
[00:24:51.230 --> 00:24:53.871]  They compared two towns in New York, and there was no problem.
[00:24:54.611 --> 00:24:57.492]  And once they got it approved, they switched.
[00:24:58.012 --> 00:24:59.112]  And then they could dump
[00:24:59.870 --> 00:25:01.151]  Now let's be specific.
[00:25:01.171 --> 00:25:03.414]  You can have all the secret
[00:25:22.566 --> 00:25:37.932]  operations you want, but if you've got, you know, so many thousand drums of this by-product at this plant, the Germans can come take photographs of it, observe it, and then know how much of the isotopes you need that you're able to extract.
[00:25:38.452 --> 00:25:46.276]  So they, quote, secretly start dumping it in the water, and then at the end of the war they've got to get rid of the toxic waste.
[00:25:46.836 --> 00:25:49.157]  So they just say, ah, it's nutritious!
[00:25:50.077 --> 00:25:52.678]  We'll be right back with our guests in just 70 seconds.
[00:25:52.938 --> 00:25:53.999]  Stay with us.
[00:25:55.819 --> 00:25:58.220]  Thank you for listening to GCN.
[00:25:58.260 --> 00:26:10.225]  So many thousand drums of this by-product at this plant, the Germans can come take photographs of it, observe it, and then know how much of the isotopes you need that you're able to extract.
[00:26:10.746 --> 00:26:18.489]  So, they quote, secretly start dumping it in the water, and then at the end of the war they've got to get rid of the toxic waste.
[00:26:19.116 --> 00:26:21.478]  So they just say, ah, it's nutritious!
[00:26:22.358 --> 00:26:24.940]  We'll be right back with our guest in just 70 seconds.
[00:26:24.960 --> 00:26:25.841]  Stay with us.
[00:26:26.001 --> 00:26:29.603]  Thank you for listening to GCN.
[00:26:32.725 --> 00:26:36.147]  Visit GCNlive.com today.
[00:26:37.608 --> 00:26:39.009]  It is a big idea.
[00:26:40.090 --> 00:26:41.131]  A new world order.
[00:26:41.851 --> 00:26:45.734]  In the near future, Earth is dominated by a powerful world government.
[00:26:46.736 --> 00:26:48.857]  It's known as the Bilderberg Group.
[00:26:49.297 --> 00:26:51.777]  Couldn't their objective be world domination?
[00:26:52.337 --> 00:26:54.778]  For thousands of years, their dark order grew.
[00:26:55.518 --> 00:27:02.960]  Now, as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[00:27:05.860 --> 00:27:09.681]  For the first time in history, the elites plan for uncorruption.
[00:27:10.081 --> 00:27:12.842]  Alex Jones on the GCN Radio Network.
[00:27:18.783 --> 00:27:24.187]  We're about to give you the key of this interview.
[00:27:26.348 --> 00:27:26.929]  And that is...
[00:27:28.581 --> 00:27:32.023]  The name fluoride blurring the whole debate.
[00:27:32.863 --> 00:27:34.104]  We're not talking about fluoride.
[00:27:34.144 --> 00:27:37.626]  And as my guest was saying during the break to me, he said, look, it's not true.
[00:27:37.646 --> 00:27:41.047]  There hasn't been a lot of studies of what's actually being put in the water.
[00:27:41.468 --> 00:27:43.489]  There's been studies of sodium fluoride alone.
[00:27:43.509 --> 00:27:45.590]  He's actually absolutely right.
[00:27:46.470 --> 00:27:55.495]  The studies show that sodium fluoride alone, and he could differ, but the studies show increases in bone cancers in males, calcification of glands,
[00:27:57.250 --> 00:28:04.273]  But then he's going to come back and say, well, those are studies calling it fluoride, but it's really this other chemical compound that's a mixture of fluoride and other things.
[00:28:04.313 --> 00:28:11.156]  So, you know, really one of the world experts on this with the chemist, top chemist he's been working with.
[00:28:11.656 --> 00:28:12.456]  Please continue, sir.
[00:28:12.496 --> 00:28:13.377]  Let's get right into it.
[00:28:14.177 --> 00:28:18.839]  OK, well, look, let me start explaining things very simply.
[00:28:19.799 --> 00:28:21.600]  This silico fiber breaks down.
[00:28:21.800 --> 00:28:26.802]  First of all, it has the effect, which is very big, of increasing
[00:28:27.489 --> 00:28:34.491]  The amount of lead that a child will absorb if he's living in an old house with lead paint or any place in the environment where there's lead.
[00:28:35.432 --> 00:28:44.635]  So we did some studies in places where there was evidence of children's blood level by the community where they lived.
[00:28:45.915 --> 00:28:53.958]  Three big samples, one in Massachusetts, by county, one in New York State, by county, and then the National Health and Nutrition Evaluation Survey is the third study.
[00:28:54.961 --> 00:28:57.463]  And three different, big, huge samples.
[00:28:57.483 --> 00:28:59.584]  You know, one of 400,000 kids.
