[00:00:00.981 --> 00:00:01.781]  I've been warned.
[00:02:59.193 --> 00:03:01.715]  Perhaps he can address that when he comes back later.
[00:03:02.195 --> 00:03:03.356]  But I'm curious.
[00:03:04.217 --> 00:03:12.743]  Well, I mean, why do we have Jeffrey Saut, the huge, you know, firm, Raymond James, on CNBC saying the Illuminati's behind all this?
[00:03:12.803 --> 00:03:14.064]  I mean... That's incredible.
[00:03:15.085 --> 00:03:18.608]  You know, that is such a milestone for us students
[00:03:19.468 --> 00:03:23.350]  You know, I've read over 5,000 books on the subject in the last 50 years.
[00:03:23.830 --> 00:03:33.354]  I mean, this is a major breakthrough when someone will get on a major media platform and say, well, it's the Illuminati.
[00:03:34.254 --> 00:03:36.916]  And so everybody in America is going to start talking about it.
[00:03:37.256 --> 00:03:39.897]  And this is going to expose what these people are doing.
[00:03:40.457 --> 00:03:42.098]  Maybe it'll wake the public up.
[00:03:43.018 --> 00:03:46.260]  Let's play that clip for those that didn't hear it.
[00:03:46.300 --> 00:03:48.941]  The video's up on PrisonPlanet.com, but here it is.
[00:03:50.389 --> 00:03:54.351]  At least you're getting back to the point where you can start to look at fundamentals, and that's good news.
[00:03:55.612 --> 00:03:56.153]  What happened?
[00:03:57.273 --> 00:03:59.095]  I think you're in a liquidation phase.
[00:03:59.195 --> 00:04:00.936]  I think Kirsten had it exactly right.
[00:04:00.976 --> 00:04:09.142]  I think there's a bunch of wrong-footed moves by Hank Paulson and the Illuminati of the country, if you will, and I think we're paying for it right now.
[00:04:12.895 --> 00:04:14.355]  There you go, ladies and gentlemen.
[00:04:14.375 --> 00:04:15.316]  You can watch the video.
[00:04:15.336 --> 00:04:18.076]  The only thing he left out is, I listen to Alex Jones.
[00:04:19.997 --> 00:04:20.717]  Well, it's true.
[00:04:20.797 --> 00:04:23.318]  I mean, there's only a handful of us on these programs.
[00:04:23.718 --> 00:04:27.319]  We've got the guts to come out and go head-to-head with these people.
[00:04:28.899 --> 00:04:30.620]  Quick definition of the Illuminati, Bob.
[00:04:31.980 --> 00:04:37.202]  A group of people who were put together a long, long time ago for their own interests of power.
[00:04:38.042 --> 00:04:41.403]  And they took over the financial system in 1207, I think the date was.
[00:04:42.791 --> 00:04:44.672]  And ever since then, they've dictated to us.
[00:04:45.733 --> 00:04:48.014]  Then they went over to England, set up their system there.
[00:04:48.034 --> 00:04:53.517]  Then they got control of the British Empire in 1815, the U.S.
[00:04:53.637 --> 00:04:57.319]  in 1913, and they are a murderous lot.
[00:04:57.379 --> 00:04:58.580]  Bob Chapman's our guest.
[00:04:59.100 --> 00:05:01.581]  Back after this quick break, for your phone calls.
[00:05:01.702 --> 00:05:02.202]  Stay with us.
[00:05:05.404 --> 00:05:10.486]  You know, as a father and a husband, one of the enjoyable things in my life... John, just IM me, uh, the caller, since it was late.
[00:05:10.546 --> 00:05:11.547]  Okay, you got it.
[00:05:12.364 --> 00:05:12.644]  I don't know.
[00:05:33.562 --> 00:05:38.604]  And I hear about global famines and I see the escalating prices in gas and food and oil.
[00:05:38.764 --> 00:05:40.665]  Electricity's gonna go way up, I'm told, this winter.
[00:05:40.785 --> 00:05:41.825]  Hey, I'm not gonna sweat it.
[00:05:41.945 --> 00:05:42.906]  I've done the right thing.
[00:05:42.966 --> 00:05:45.226]  I got rid of a bunch of junk and toys out in the garage.
[00:05:45.386 --> 00:05:46.967]  I converted that money into food.
[00:05:47.127 --> 00:05:47.887]  That food's out there.
[00:05:47.907 --> 00:05:49.748]  I've got a two or three year supply of food in the garage.
[00:05:49.828 --> 00:05:50.868]  My family's secure.
[00:05:50.888 --> 00:05:52.169]  I don't gotta worry, okay?
[00:05:52.369 --> 00:05:54.990]  I do hope that you'll join me in this new sense of American security.
[00:05:55.110 --> 00:05:56.550]  Call efoodsdirect.com.
[00:05:56.630 --> 00:05:58.091]  That's efoodsdirect.com.
[00:05:58.471 --> 00:06:00.631]  Or 1-800-409-5633.
[00:06:00.671 --> 00:06:03.452]  That's 800-409-5633.
[00:06:03.552 --> 00:06:04.092]  Call them today.
[00:06:04.112 --> 00:06:04.892]  You'll be glad you did.
[00:06:04.912 --> 00:06:11.834]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[00:06:12.214 --> 00:06:13.895]  The enemy struck America on September 11th.
[00:06:14.850 --> 00:06:15.871]  But who is the enemy?
[00:06:16.392 --> 00:06:16.912]  Bin Laden.
[00:06:17.193 --> 00:06:18.174]  This is his M.O.s.
[00:06:18.194 --> 00:06:19.495]  We have to look to the Middle East.
[00:06:19.535 --> 00:06:21.217]  We have to look to Osama Bin Laden.
[00:06:21.557 --> 00:06:28.304]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[00:06:28.704 --> 00:06:29.145]  Some U.S.
[00:06:29.185 --> 00:06:34.871]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[00:06:35.531 --> 00:06:39.014]  I'm aware that some Israeli citizens have been detained.
[00:06:39.034 --> 00:06:49.260]  Bin Laden's connections to the CIA, the hijacker's ties to the FBI, the Saudi Arabian connection, the Israeli intelligence network, warnings and war games, the shadow government, and much, much more.
[00:06:49.501 --> 00:06:50.261]  Fabled enemies.
[00:06:50.741 --> 00:06:58.026]  Get the DVD at InfoWars.com or see it in super high quality along with hundreds of other titles at PrisonPlanet.tv.
[00:06:58.506 --> 00:07:01.849]  Either you are with us or you are with the terrorists.
[00:07:05.231 --> 00:07:06.932]  Lead from solder and copper pipes.
[00:07:07.112 --> 00:07:08.173]  Mercury from fish.
[00:07:08.273 --> 00:07:09.034]  Dental fillings.
[00:07:09.194 --> 00:07:09.774]  Vaccines.
[00:07:09.954 --> 00:07:10.835]  Arsenic in the water.
[00:07:10.955 --> 00:07:14.818]  These heavy metal toxins are difficult or even impossible to avoid.
[00:07:14.978 --> 00:07:18.741]  Even trace amounts of these heavy metals over time can impact your health.
[00:07:18.941 --> 00:07:26.066]  Many health problems have been suggested as being related to this heavy metal exposure, including memory loss, high blood pressure, depression, mood swings,
[00:07:26.306 --> 00:07:26.806]  We're good to go!
[00:07:48.831 --> 00:07:57.495]  Puriclear also has ingredients selected to promote improved circulation to enhance activity so that heavy metals may be more effectively captured and removed from the body.
[00:07:57.615 --> 00:08:00.336]  Order Puriclear now by calling Ripple Creek at 803-331-0363.
[00:08:00.376 --> 00:08:03.037]  Hey, did you find out?
[00:08:03.137 --> 00:08:04.818]  Or go to RippleCreek.com.
[00:08:05.758 --> 00:08:07.939]  He's the T-Rex of political talk.
[00:08:08.500 --> 00:08:11.281]  Alex Jones on the GCN Radio Network.
[00:08:17.765 --> 00:08:22.847]  Okay, let's go ahead and go to your phone calls for Bob Chapman of TheInternationalForecaster.com.
[00:08:23.767 --> 00:08:25.168]  Jeff, in Connecticut.
[00:08:25.208 --> 00:08:26.068]  You're on the air.
[00:08:26.168 --> 00:08:26.549]  Welcome.
[00:08:27.689 --> 00:08:28.369]  Good to talk to you.
[00:08:28.609 --> 00:08:34.032]  I've been listening to you for three years, and thank you for getting me out of the Matrix, so to speak.
[00:08:34.812 --> 00:08:36.233]  I've got two questions, if I can.
[00:08:37.493 --> 00:08:42.355]  One, obviously I don't trust either of the candidates, but one thing troubles me, at least in terms of Obama.
[00:08:43.796 --> 00:08:44.496]  Carolyn Kennedy.
[00:08:45.146 --> 00:08:46.949]  Obviously she knows what happened to her father.
[00:08:47.170 --> 00:08:49.133]  She stayed out of the limelight for years.
[00:08:50.155 --> 00:08:53.581]  Why all of a sudden this support of Obama?
[00:08:55.162 --> 00:08:57.964]  Well, I mean, she's a Democrat, but it doesn't matter.
[00:08:57.984 --> 00:09:04.828]  I mean, the point is that McCain is out of his mind, open border, anti-gun, pro-New World Order.
[00:09:05.468 --> 00:09:13.453]  It's just that Obama's gotten three times the globalist money and Wall Street money than McCain, so that tells me they want him.
[00:09:13.894 --> 00:09:16.995]  And the dirt on Obama, they could destroy him any time they wanted the media.
[00:09:17.336 --> 00:09:21.298]  The mainstream media always says, oh, it's no big deal, showing me the establishment is for him.
[00:09:21.858 --> 00:09:24.160]  You want to comment on the election, Bob Chapman?
[00:09:25.074 --> 00:09:27.875]  I think that from the Kennedy side, it's political.
[00:09:29.216 --> 00:09:35.279]  I think that her sponsorship, if you may, is somewhat misguided.
[00:09:36.280 --> 00:09:38.681]  But, you know, that's the mental framework.
[00:09:38.741 --> 00:09:40.682]  I mean, you live in New England, you know what it's like.
[00:09:41.242 --> 00:09:42.883]  You know what politics is a lot like.
[00:09:42.983 --> 00:09:44.063]  I grew up in Boston.
[00:09:45.064 --> 00:09:46.865]  James Michael Curley was elected the
[00:09:48.086 --> 00:09:51.607]  The mayor of Boston, while he was in Danbury Federal Penitentiary.
[00:09:51.948 --> 00:09:54.528]  I mean, this is the kind of thinking that goes on.
[00:09:54.849 --> 00:09:57.089]  And of course, the Kennedys were deeply involved with him.
[00:09:57.950 --> 00:10:00.591]  And I know that from first hand, incidentally.
[00:10:01.291 --> 00:10:04.832]  And so, that would explain why she did what she did.
[00:10:05.172 --> 00:10:14.135]  I think the important thing with Obama here is, is the birth certificate issue going to be an issue before the election or after?
[00:10:14.775 --> 00:10:16.276]  And either way, it's not going to be nice.
[00:10:17.711 --> 00:10:18.812]  My second question, if you will.
[00:10:19.952 --> 00:10:26.396]  Obviously, you've been talking about the Illuminati starting back in 1207, old money, talking about the British Crown.
[00:10:27.797 --> 00:10:29.638]  What exactly is the involvement of the Vatican?
[00:10:29.778 --> 00:10:33.680]  I mean, obviously, if you're talking about somebody with old, old money, you're talking about the Vatican as well.
[00:10:35.301 --> 00:10:37.683]  I don't know for certain, but I do know this.
[00:10:38.263 --> 00:10:42.786]  If they survived all those years, they had to play ball with these people.
[00:10:43.606 --> 00:10:44.547]  Certainly, absolutely.
[00:10:45.629 --> 00:10:45.789]  I don't
[00:11:04.345 --> 00:11:08.447]  I was brought up a Catholic, so... Well, we know this.
[00:11:08.627 --> 00:11:09.248]  We know this.
[00:11:09.948 --> 00:11:19.693]  The last two pubs have called for world government, New World Order, merger of all the religions, and that's, we know, caused masses of conservative Catholics, or Christian Catholics, to leave.
[00:11:21.774 --> 00:11:31.860]  But at the same time, there's a whole Israeli branch, and the Israeli government, we know, funds people to go around and say it's a Catholic-only program, a Catholic-only conspiracy.
[00:11:32.580 --> 00:11:37.102]  And that's a way that they've tried to basically balkanize the awakening of the New World Order.
[00:11:37.602 --> 00:11:43.044]  Every major group, you know, a huge institution is New World Order, or the establishment goes and takes them down.
[00:11:43.084 --> 00:11:46.445]  You know, Iraq, countries like that we're not even saying are run by good people.
[00:11:46.785 --> 00:11:49.786]  The point is they're not in the New World Order, so they're taken down.
[00:11:50.406 --> 00:11:54.908]  And so, you know, so much of our energies are wasted on who's at the top of the pyramid.
[00:11:54.948 --> 00:11:56.428]  We know it's the New World Order system.
[00:11:56.808 --> 00:11:58.109]  Clearly the Vatican's involved.
[00:11:59.082 --> 00:12:15.034]  But then we also have folks who are Israeli-funded, and they've been exposed, who run around trying to stir up fights, demonizing good people in the anti-New World Order movement, way overestimating the power of the Vatican by claiming everybody but them are secret Vatican agents.
[00:12:15.935 --> 00:12:16.815]  And it's just asinine.
[00:12:17.035 --> 00:12:19.237]  And then now we've tracked it directly back to the Israeli government.
[00:12:21.839 --> 00:12:27.163]  ...publishing, and she said that, I mean, she's done pieces, I mean, obviously, of the Vatican they've had.
[00:12:27.685 --> 00:12:30.015]  Very corrupt popes and very good popes.
[00:12:30.075 --> 00:12:33.068]  As far as John Paul went, I mean, we don't have to go into this debate.
[00:12:33.507 --> 00:12:43.070]  You tell that tree by its fruit, I think he did far more good than bad, and I wonder, actually, if there's a battle within the Vatican as well as a battle within our government.
[00:12:43.090 --> 00:12:52.152]  Well, yeah, there's struggles, exactly, there's struggles on our streets, there's struggles, you know, in the cities, there's struggles between good and evil every day in everybody's life.
[00:12:52.192 --> 00:12:53.452]  But, listen, I appreciate your call.
[00:12:53.472 --> 00:12:56.113]  Listen, Carolyn Kennedy, I mean, who cares?
[00:12:56.413 --> 00:12:59.034]  I'm not bashing her call, but who cares about these people?
[00:12:59.474 --> 00:13:00.915]  They're all a bunch of establishment people.
[00:13:01.535 --> 00:13:04.216]  Who cares about... I mean, all of this.
[00:13:04.656 --> 00:13:06.277]  We know evil's in high places.
[00:13:06.837 --> 00:13:09.718]  I expose and oppose the New World Order policies.
[00:13:10.218 --> 00:13:12.359]  Whatever the New World Order's for, I'm against.
[00:13:12.880 --> 00:13:20.843]  And that's why we're effective here, is about taking action, not breaking into a million different camps with every little weird strain of anti-New World Order.
[00:13:20.863 --> 00:13:21.343]  Bob Chapman?
[00:13:22.203 --> 00:13:23.824]  I think that's extremely important.
[00:13:24.444 --> 00:13:28.486]  And that's bringing the left and the right together, like Tony at Hilder.
[00:13:28.982 --> 00:13:29.923]  And I talked about 1964.
[00:13:59.358 --> 00:14:05.842]  And to heck with this political jargon and the sides that people try to pick.
[00:14:06.163 --> 00:14:07.423]  We're just after the enemy.
[00:14:07.664 --> 00:14:08.884]  This is a common enemy.
[00:14:09.205 --> 00:14:10.325]  Let's bring them down.
[00:14:10.946 --> 00:14:11.646]  Absolutely.
[00:14:12.427 --> 00:14:15.269]  Let's take another call here.
[00:14:16.610 --> 00:14:18.331]  Todd in Florida, you're on the air.
[00:14:19.221 --> 00:14:23.322]  Yeah, I'm calling about the bailout, and I'm a small business owner.
[00:14:23.582 --> 00:14:24.223]  Well, now we know.
[00:14:24.303 --> 00:14:25.723]  It's the cash bonus out.
[00:14:26.023 --> 00:14:30.965]  They're taking hundreds of billions of it with one division of Goldman Sachs.
[00:14:31.305 --> 00:14:33.445]  They're giving $14 billion in bonuses.
[00:14:34.986 --> 00:14:38.967]  Well, to tell you a little story that happened to me, we're a small business with under 15 employees.
[00:14:39.007 --> 00:14:40.368]  We sell durable goods.
[00:14:41.128 --> 00:14:44.849]  Our problem started mainly in May when, with good credit, we couldn't get any loans.
[00:14:46.177 --> 00:14:48.619]  We were denied by all sources, which was shocking to me.
[00:14:48.819 --> 00:14:52.703]  I couldn't understand why, but now I foresee where that came from.
[00:14:53.804 --> 00:14:58.949]  We had to use all of our savings for our cash flow and expansion of the company.
[00:14:59.970 --> 00:15:04.895]  When the economy just kept falling down, it just kind of ruined us almost.
[00:15:04.915 --> 00:15:05.756]  We're living day to day now.
[00:15:06.517 --> 00:15:08.377]  And we couldn't get a loan now if we wanted to.
[00:15:09.018 --> 00:15:10.718]  I'm saying we're a small business bailout.
[00:15:10.918 --> 00:15:18.300]  Well no, that's what, listen, they said it was a bailout for the people and then they, but you notice the fine print so they can just keep it all and not even discuss it.
[00:15:18.560 --> 00:15:22.321]  And so now they're saying, you know what, we're keeping all the money personally.
[00:15:22.961 --> 00:15:25.482]  I mean, you know, the execs are saying it's ours, shut up!
[00:15:25.822 --> 00:15:27.422]  And if you don't like it, the Army's standing by.
[00:15:27.442 --> 00:15:30.523]  Well I called my local bank just yesterday.
[00:15:30.763 --> 00:15:33.284]  I've been dealing with them for, oh, seven, eight years.
[00:15:33.304 --> 00:15:34.504]  I spent a lot of money in that bank.
[00:15:35.271 --> 00:15:39.974]  And I talked to some of the tellers and stuff, and I threw up to them about this bailout that they're getting.
[00:15:39.994 --> 00:15:41.454]  They're saying, oh, we're not getting no bailout.
[00:15:41.815 --> 00:15:43.595]  I said, well, that's untrue, what I've read.
[00:15:43.776 --> 00:15:45.517]  Well, the local banks aren't getting it.
[00:15:46.217 --> 00:15:53.701]  In fact, the big banks, the only thing that isn't going to bonuses to CEOs and people is buying other banks.
[00:15:53.721 --> 00:15:55.402]  And then the little banks don't have a choice.
[00:15:55.962 --> 00:16:00.764]  Because the big boys, the big banks control the regulators, they come in and hand them over.
[00:16:01.224 --> 00:16:11.527]  Just like Bob said a couple months ago with Bear Stearns, Bob called it, he said, or was it Lehman Brothers, I forget now, he said, this is a takeover.
[00:16:11.908 --> 00:16:12.148]  Bob?
[00:16:12.168 --> 00:16:14.989]  A financial assassination.
[00:16:16.329 --> 00:16:17.670]  That's what Bear Stearns was.
[00:16:18.450 --> 00:16:24.712]  And Lehman Brothers was so far gone, they had messed that company up so much
[00:16:25.069 --> 00:16:26.029]  They had to let it go down.
[00:16:26.329 --> 00:16:31.491]  But in that process, if you notice, the settlement on the derivatives was not announced.
[00:16:31.811 --> 00:16:34.932]  All that was said was it was done with expediency.
[00:16:35.292 --> 00:16:44.735]  That meant the government came in and come up with the money and lent it to the people who went naked on the derivatives and got caught outside for goodness knows how much money.
[00:16:45.135 --> 00:16:49.236]  And my guess is anywhere between $5 billion and $270 billion.
[00:16:49.556 --> 00:16:54.658]  And then they've got AIG, where they're stealing all the money, where they were bankrupt.
[00:16:55.017 --> 00:17:02.542]  I mean, it's just incredible, and this gentleman can't get a loan to expedite the performance of his business.
[00:17:02.943 --> 00:17:05.805]  Well, I wouldn't say this would be a local bank.
[00:17:05.865 --> 00:17:08.107]  I mean more a local branch of a big bank.
[00:17:08.127 --> 00:17:09.648]  I don't know if I can say the name of the bank.
[00:17:09.668 --> 00:17:10.588]  Just name it!
[00:17:10.608 --> 00:17:11.069]  SunTrust.
[00:17:11.129 --> 00:17:11.509]  Name it!
[00:17:12.330 --> 00:17:12.850]  SunTrust.
[00:17:13.791 --> 00:17:16.212]  And after speaking with tellers, they said, oh, we're not getting a bailout.
[00:17:16.232 --> 00:17:18.014]  But what I've read, that they are getting a bailout.
[00:17:18.034 --> 00:17:22.537]  And I had questioned some ridiculous fees that were on my account and said, hey, help us out here.
[00:17:23.220 --> 00:17:33.382]  Well, as I started moving up the line talking to heads up in the bank, as they had mentioned this bit, they kind of giggled at me, almost like I had, like, who are you to have the audacity?
[00:17:33.422 --> 00:17:34.963]  No, no, no, that's what this is all about.
[00:17:35.003 --> 00:17:37.103]  It's about enjoying laughing at everybody.
[00:17:37.283 --> 00:17:43.705]  Yeah, and then I'd finally talked to the head person at that branch, which I think was a VP or something, and I had asked about it.
[00:17:43.725 --> 00:17:45.345]  I said, why don't you help the little guy out a little bit?
[00:17:45.685 --> 00:17:48.506]  Give me one-tenth of a tenth of a tenth of a tenth of a percent.
[00:17:49.659 --> 00:17:55.061]  Well, I mean, let's go further.
[00:17:55.862 --> 00:17:57.162]  They've cut interest rates again.
[00:17:57.182 --> 00:17:59.803]  They're talking about cutting them down to the lowest ever, basically zero.
[00:18:00.864 --> 00:18:02.984]  But the public's paying more in interest rates.
[00:18:03.044 --> 00:18:03.585]  Bob Chapman?
[00:18:04.405 --> 00:18:05.385]  That's the market.
[00:18:05.925 --> 00:18:07.066]  That's the free market.
[00:18:07.226 --> 00:18:10.507]  And the reason those rates are up is, particularly in U.S.
[00:18:10.567 --> 00:18:12.488]  paper, like U.S.
[00:18:12.548 --> 00:18:14.769]  treasuries and agencies.
[00:18:14.809 --> 00:18:17.670]  In fact, the agencies are now guaranteed by the government
[00:18:18.081 --> 00:18:18.241]  Yes.
[00:18:31.499 --> 00:18:34.881]  They're saying, hey, we don't want them, no matter whether you guarantee them or not.
[00:18:35.181 --> 00:18:36.842]  So you've got to take that one step further.
[00:18:37.242 --> 00:18:38.863]  If they're doing that, why are they doing that?
[00:18:39.143 --> 00:18:41.885]  They're doing it because they think the United States is bankrupt.
[00:18:42.045 --> 00:18:42.265]  That's it.
[00:18:42.285 --> 00:18:44.446]  We're talking about foreigners buying U.S.
[00:18:44.506 --> 00:18:44.807]  paper.
[00:18:44.827 --> 00:18:45.867]  All right, Todd, thanks.
[00:18:46.027 --> 00:18:47.008]  Ed in South Dakota.
[00:18:47.348 --> 00:18:48.589]  You're on the air with Bob Chapman.
[00:18:48.629 --> 00:18:48.989]  Go ahead.
[00:18:49.009 --> 00:18:50.350]  How are you guys doing today?
[00:18:50.370 --> 00:18:50.530]  Good.
[00:18:51.030 --> 00:18:51.230]  Good.
[00:18:51.250 --> 00:18:54.132]  Hey, I wanted to talk about a little bit of Fabian Society.
[00:18:54.667 --> 00:18:55.868]  You know anything about the Fabian Society?
[00:18:55.908 --> 00:19:04.253]  Yeah, the Fabian Socialists set up in the 1850s in England to gradually bring in socialism and to consolidate the wealth of the middle class into the hands of the elites.
[00:19:04.834 --> 00:19:05.254]  Exactly.
[00:19:05.294 --> 00:19:06.635]  It was a eugenicist society.
[00:19:07.255 --> 00:19:12.458]  And it was George Bernard Shaw and the Webbs and they were the moving force in the late 1800s.
[00:19:13.059 --> 00:19:18.963]  Well, you've heard about that window that they've had that disappeared where it had the two guys beaten on the earth with the anvil?
[00:19:18.983 --> 00:19:20.944]  You've heard of this window?
[00:19:22.145 --> 00:19:22.265]  No.
[00:19:22.285 --> 00:19:25.167]  With the, uh, the saying of Omar Khayyam, uh, dear love, goodest.
[00:19:25.827 --> 00:19:29.570]  Anyway, I think this is the key to the whole secret here of what's going on.
[00:19:30.230 --> 00:19:38.956]  What they're going to do is shatter the world to bits, because as the Carnegie Foundation and the Ford Foundation said, war is the best way to remold society.
[00:19:39.403 --> 00:19:45.426]  War, it will shatter society to bits, break it apart, and then they can remold it nearer to their heart's desire.
[00:19:45.906 --> 00:19:57.171]  Which is a giant eugenics extermination camp, scientifically controlled, with men in black uniforms and psychiatrists, slaughtering and ripping human souls to pieces, in a giant charnel house of death and destruction.
[00:19:57.711 --> 00:20:00.732]  Huge rotting piles of dead bodies, a new world or wonderland.
[00:20:01.033 --> 00:20:01.993]  I'm skipping this break.
[00:20:02.253 --> 00:20:04.174]  For the PrisonPlanet.tv viewers, stay with us.
[00:20:07.318 --> 00:20:10.360]  Continue Ed in South Dakota with the points you're making.
[00:20:10.400 --> 00:20:12.542]  Yes, they want to order out of chaos.
[00:20:12.902 --> 00:20:22.030]  They've said create a world banking crisis to then offer their world government, world banks running everything, setting world currencies, openly announcing new world order.
[00:20:22.050 --> 00:20:24.091]  It looks like Ed dropped out.
[00:20:24.111 --> 00:20:24.572]  Ed dropped.
[00:20:25.092 --> 00:20:30.116]  What is it like, Bob Chapman, to see them now announcing everything we always said they would do?
[00:20:30.136 --> 00:20:33.779]  It's normal to me.
[00:20:34.894 --> 00:20:40.956]  It's just, you know, when you have been at this for so long, you expect certain things.
[00:20:42.616 --> 00:20:46.917]  And I try not to allow that to deter my thinking.
[00:20:47.917 --> 00:20:58.080]  I'm trying to, like you are, to inform people of who is the enemy, who wants to make their life difficult or miserable or to do away with them.
[00:20:58.740 --> 00:21:04.021]  And so that message is far, far stronger than any of the things that I see, which are
[00:21:04.497 --> 00:21:05.798]  A nasty and unbearable.
[00:21:06.398 --> 00:21:13.642]  And so, you just keep on going forward, not taking no for an answer, until they permanently shut you up, or you win.
[00:21:16.583 --> 00:21:20.365]  And Bob, they've certainly tried to persecute you over the last 40-something years of fighting.
[00:21:21.386 --> 00:21:25.028]  Believe me, we could do hours of programming.
[00:21:26.389 --> 00:21:29.830]  But that's okay, I'm a tough guy and I know how to handle it.
[00:21:30.431 --> 00:21:32.532]  Well, I mean, you know, you're over the target when you're getting the flag.
[00:21:34.042 --> 00:21:38.486]  It's okay.
[00:21:38.506 --> 00:21:40.208]  I shoot back.
[00:21:40.228 --> 00:21:45.152]  You know, it's one thing to be intellectually aware of this, but it's another thing to see it happening.
[00:21:45.172 --> 00:21:46.013]  I keep making that point.
[00:21:46.053 --> 00:21:53.260]  I mean, here we are kind of glazing over, oh yeah, major international news, Rand lobbies Pentagon to start World War to save U.S.
[00:21:53.300 --> 00:21:55.061]  economy up on PrisonPlanet.com.
[00:21:56.465 --> 00:21:59.807]  You've got to say to yourself, no matter what they do, it's my job to engage
[00:22:26.218 --> 00:22:29.270]  And attack, and ultimately conquer what they're doing.
[00:22:30.356 --> 00:22:31.156]  And never give up.
[00:22:31.176 --> 00:22:35.658]  If everybody had that attitude in America, we would have already been winners.
[00:22:36.218 --> 00:22:36.758]  Exactly.
[00:22:36.818 --> 00:22:43.501]  I mean, so much of war, info war, physical war, is making the enemy decide they can't win and breaking their spirit.
[00:22:43.841 --> 00:22:52.324]  If somebody won't give up, they're basically, you can't beat them, unless you were like the Romans and then just killed everybody, but that was hard too.
[00:22:53.124 --> 00:22:58.846]  And I guess that's what the population reduction is about, is they understand that, and they want to go ahead and just wipe most of us out.
[00:23:00.399 --> 00:23:01.839]  And a lot of them in the process.
[00:23:04.140 --> 00:23:07.561]  But that slips into the back of their cranium, because they don't want to know that.
