[00:00:00.535 --> 00:00:01.095]  Try Bundle.
[00:06:22.461 --> 00:06:24.402]  Ron Paul has less than 50 delegates.
[00:06:25.310 --> 00:06:35.293]  McCain only needs 1,100 and change to lock up the Republican nomination.
[00:06:37.514 --> 00:06:43.115]  And John McCain is pro-gun control, pro-open borders.
[00:06:43.616 --> 00:06:50.978]  He has a voting record, not his rhetoric, but his voting record, quote, as big government and liberal, statist, whatever you want to call it, as Hillary Clinton.
[00:06:52.278 --> 00:06:54.539]  His whole war record's fake, on the face of it.
[00:06:57.489 --> 00:07:08.153]  And then Ron Paul comes out Friday, and we'll read you his statement here on air, and a lot of Ron Paul supporters can't even understand what he's saying when it's in clear English.
[00:07:10.694 --> 00:07:13.455]  So, we'll go over that today as well.
[00:07:13.475 --> 00:07:17.057]  I mean, we get so focused, though, on the presidential campaigns.
[00:07:18.377 --> 00:07:19.758]  We get 50-60% turnout on average.
[00:07:27.791 --> 00:07:33.835]  50-60% turnout for presidential elections, the big dog and pony show, but 8% locally.
[00:07:35.216 --> 00:07:36.477]  And it happens throughout history.
[00:07:36.537 --> 00:07:37.598]  It happens all the time.
[00:07:37.678 --> 00:07:38.239]  It's the norm.
[00:07:38.279 --> 00:07:39.620]  I'm here to give you the newsflash.
[00:07:39.960 --> 00:07:41.641]  Criminals took over your government.
[00:07:42.181 --> 00:07:52.569]  And they've got a bunch of well-meaning, dumbed-down saps that run the system and who are compartmentalized, and most of them think they're doing a good thing.
[00:07:52.829 --> 00:07:53.589]  They're too dumb.
[00:07:53.609 --> 00:07:55.451]  And then there's this toady society.
[00:07:55.471 --> 00:07:57.152]  I mean, I've got all these newscasts where they're
[00:07:57.563 --> 00:08:01.885]  Training the kids to tattle on their parents and just the Stasi society.
[00:08:01.905 --> 00:08:02.905]  It just makes me sick.
[00:08:04.766 --> 00:08:07.026]  It makes me sick that it's gone this far.
[00:08:10.147 --> 00:08:15.189]  So we'll open the phones up today and get your take on Ron Paul, where that campaign's going from here.
[00:08:16.130 --> 00:08:19.091]  We will also get into some good news.
[00:08:20.571 --> 00:08:22.852]  Last Monday I interviewed Willie Nelson.
[00:08:26.112 --> 00:08:30.473]  And I'll tell you how that came about and also play a ten-minute clip of the hour-long interview I did with him.
[00:08:30.913 --> 00:08:34.593]  Mr. Nelson came on and talked about how he believes 9-11 is an inside job.
[00:08:34.613 --> 00:08:39.734]  He also talked about how he believes the government is setting up for martial law.
[00:08:41.375 --> 00:08:47.496]  So it's great to know that Willie Nelson has been a listener for many years and that Willie Nelson is a supporter of the show.
[00:08:48.236 --> 00:08:52.617]  I actually knew that a few months ago, but I wasn't going to go on air and talk about it because it just sounded unbelievable.
[00:08:53.897 --> 00:08:54.997]  And so we'll just
[00:08:55.663 --> 00:08:58.104]  Play him actually saying it and talking about it.
[00:08:58.164 --> 00:09:05.008]  So, there are a lot of prominent people behind the scenes I've met and gotten a chance to talk to who are very informed about what's going on, but they're too afraid to go public.
[00:09:05.488 --> 00:09:09.050]  Like Mr. Nelson and others have who are prominent.
[00:09:09.070 --> 00:09:11.271]  People say, well who cares what a celebrity has to say?
[00:09:11.291 --> 00:09:16.094]  Well, you know, everybody cares what a celebrity has to say about what beer they drink or what boots they wear.
[00:09:19.574 --> 00:09:23.335]  If it's controversial against the government and the media says, we don't want to hear what a celebrity has to say.
[00:09:23.796 --> 00:09:28.537]  Well, he's an accomplished musician, film actor, and icon, so it is news.
[00:09:29.638 --> 00:09:31.459]  I mean, plus, people don't ignore Willie Nelson.
[00:09:31.479 --> 00:09:38.021]  They ignore former prime ministers, presidents, heads of CIA sections, saying 9-11's an inside job.
[00:09:40.282 --> 00:09:42.903]  So Willie put himself out there for ridicule to try to wake you up.
[00:09:43.655 --> 00:09:44.416]  That's coming up, too.
[00:09:44.436 --> 00:09:45.677]  Stay with us.
[00:09:45.757 --> 00:09:47.178]  It is a big idea.
[00:09:47.198 --> 00:09:48.339]  A new world order.
[00:09:48.399 --> 00:09:52.762]  In the near future, Earth is dominated by a powerful government.
[00:09:53.242 --> 00:09:55.584]  It's known as the Bilderberg.
[00:10:12.964 --> 00:10:15.086]  Both their objectives being world domination.
[00:10:15.767 --> 00:10:18.189]  For thousands of years, their dark order grew.
[00:10:18.930 --> 00:10:26.337]  Now, as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[00:10:29.300 --> 00:10:34.245]  For the first time in history, the elite's plan for world government is blown wide open.
[00:10:34.745 --> 00:10:38.006]  You will learn the secret that drives the entire New World Order agenda.
[00:10:38.026 --> 00:10:41.107]  Bill and Fergus make great progress toward a world government.
[00:10:41.147 --> 00:10:42.307]  Most people have no idea.
[00:10:42.327 --> 00:10:43.087]  They're not after money.
[00:10:43.107 --> 00:10:44.168]  They have all the money they need.
[00:10:44.388 --> 00:10:45.148]  They're after power.
[00:10:45.348 --> 00:10:46.368]  That's what they're after.
[00:10:46.528 --> 00:10:54.311]  Order Endgame on DVD at PrisonPlanet.com or InfoWars.com or watch it online right now at PrisonPlanet.tv.
[00:10:54.391 --> 00:10:57.672]  Endgame, blueprint for global enslavement.
[00:10:57.992 --> 00:10:59.112]  You have been warned.
[00:11:00.004 --> 00:11:00.545]  Hi, neighbor.
[00:11:00.885 --> 00:11:06.369]  No matter when the time comes to survive on our food supply, every single one of us who have prepared will have two regrets.
[00:11:07.010 --> 00:11:12.715]  Even those who haven't wasted a single penny on Christmas, birthdays, and vacations in order to store all the food possible.
[00:11:13.482 --> 00:11:16.743]  Even those who have sold stuff and taken on part-time jobs to buy food.
[00:11:17.404 --> 00:11:20.665]  Even those who have traded their gold while it will still buy food.
[00:11:21.285 --> 00:11:24.667]  Yes, we will have been called stupid, crazy, and foolish.
[00:11:25.267 --> 00:11:29.769]  When folks won't be able to afford food and there won't be any food for any amount of money.
[00:11:30.509 --> 00:11:32.490]  We will still have two regrets.
[00:11:33.130 --> 00:11:36.471]  We will regret that we didn't get more serious about more food sooner.
[00:11:37.152 --> 00:11:40.013]  We will deeply regret that we didn't get enough food.
[00:11:40.788 --> 00:11:47.673]  Putting off emergency food preparations to celebrate the holidays will be the most dangerous decision that some of us will ever make.
[00:11:48.433 --> 00:11:48.693]  Call 800-409-5633.
[00:11:48.774 --> 00:11:49.814]  On the web, efoodsdirect.com.
[00:11:49.834 --> 00:11:49.874]  800-409-5633.
[00:12:01.565 --> 00:12:03.506]  Hi, John Heumann from Midas Resources.
[00:12:03.786 --> 00:12:06.407]  Are you tired of watching your hard-earned assets dwindle away?
[00:12:06.707 --> 00:12:15.011]  As government spending is out of hand and the Federal Reserve is creating in excess of $20 billion a week, are you tired of stockbrokers gambling away your hard-earned money?
[00:12:15.331 --> 00:12:18.153]  Is this market a setup for a crash greater than 1987?
[00:12:18.993 --> 00:12:22.195]  Too many of today's policies resemble those that led to the collapse of 1929.
[00:12:23.515 --> 00:12:25.096]  How much are you willing to lose?
[00:12:25.496 --> 00:12:26.417]  Take action now!
[00:12:26.557 --> 00:12:30.460]  Call me at 1-800-686-2237, extension 129.
[00:12:31.380 --> 00:12:35.143]  I believe that we are facing a financial catastrophe of biblical proportion.
[00:12:35.363 --> 00:12:38.565]  Over recent decades, numerous economic systems have failed.
[00:12:38.685 --> 00:12:45.110]  Current Federal Reserve policy and uncontrolled government spending have set the stage for the United States to be the next target.
[00:12:45.410 --> 00:12:47.711]  Secure your assets today by calling 1-800-686-2237 extension 129.
[00:12:47.771 --> 00:12:49.192]  Do this while paper can still buy gold.
[00:12:49.232 --> 00:12:50.393]  Call me, John Huebner, at 1-800-686-2237 extension 129.
[00:13:00.609 --> 00:13:02.091]  Hi, this is Brother Michael Diamond.
[00:13:02.432 --> 00:13:07.939]  You can now get the most important package ever on what has happened to the Catholic Church in the last 50 years.
[00:13:08.419 --> 00:13:16.350]  Find out how this massive crisis concerning the Catholic Church happened, what happened, and how the Bible predicted it would take place in the last days.
[00:13:16.770 --> 00:13:17.430]  We're good to go.
[00:13:40.382 --> 00:13:43.485]  That's 1-800-275-1126 or mail in your order to us at 4425 Schneider Road, Fillmore, NY 14735.
[00:13:43.565 --> 00:13:46.667]  The total cost for this massive package of information is only $10.
[00:13:46.707 --> 00:13:48.529]  $15 for UPS ground or $30 outside the U.S.
[00:13:48.569 --> 00:13:49.369]  You are listening to GCN.
[00:13:49.549 --> 00:13:51.191]  Visit GCNlive.com today.
[00:14:16.014 --> 00:14:19.137]  Alright, your phone calls are coming up in the next segment at 877-590-5525.
[00:14:19.197 --> 00:14:26.203]  Some of the news I'm going to be covering right now.
[00:14:26.364 --> 00:14:32.729]  Paul concedes race, sort of, is the New York Times headline.
[00:14:33.370 --> 00:14:38.435]  Probably a hundred other papers had... I literally scanned through like 50 of them last night.
[00:14:38.495 --> 00:14:40.076]  I just went on and on saying the same thing.
[00:14:40.416 --> 00:14:42.058]  Ron Paul drops out on and on.
[00:14:43.515 --> 00:14:46.676]  Well, let's just go ahead and read you what Ron Paul actually said.
[00:14:46.716 --> 00:14:53.000]  They have excerpts out of the New York Times, or you can go to the Ron Paul website, the Presidential Run website, and read it for yourself.
[00:14:54.801 --> 00:14:59.524]  Paul concedes, sort of, in a message a supporter sent out just before 11 p.m.
[00:14:59.544 --> 00:14:59.964]  Friday night.
[00:14:59.984 --> 00:15:06.188]  Representative Ron Paul, a long-shot GOP candidate from Texas, basically conceded that he's not going to win the primary nomination.
[00:15:06.508 --> 00:15:08.910]  That said, he's scaling back his campaign, but not entirely.
[00:15:08.970 --> 00:15:09.450]  He said,
[00:15:09.949 --> 00:15:13.110]  With Romney gone, the chances of a broker convention are nearly zero.
[00:15:13.710 --> 00:15:15.851]  I kept telling people that last week and they just wouldn't believe me.
[00:15:16.311 --> 00:15:23.913]  But that does not affect my determination to fight on in every caucus and primary, remaining at the convention for our ideas.
[00:15:24.533 --> 00:15:36.657]  See, that means to, in debates and events, to be there and inject the anti-war view, the explaining that the private banks have devalued the dollar, the North American Union, things like that.
[00:15:37.498 --> 00:15:45.626]  With just as many delegates as I can get, but with so many primaries and caucuses now over, we do not need so big a national campaign step.
[00:15:45.646 --> 00:15:47.848]  So I am making it leaner and tighter.
[00:15:48.889 --> 00:15:53.995]  In the New York Times comments, Mr. Paul clearly stated that he will not run as a third-party candidate right now.
[00:15:54.275 --> 00:15:59.000]  His priorities are serving the residents in his Texas congressional district and winning re-election.
[00:16:00.171 --> 00:16:01.031]  This is from Ron Paul.
[00:16:01.071 --> 00:16:10.013]  If I were to lose the primary for my congressional seat, all our opponents would react with glee and pretend it was a rejection of our ideas.
[00:16:11.173 --> 00:16:12.734]  And the New York Times goes on from there.
[00:16:12.994 --> 00:16:22.796]  From what we can make of that letter, Mr. Paul is staying in the race on a periphery level so he can keep participating in policy discussions.
[00:16:24.256 --> 00:16:26.877]  And they went on to add, and maybe use up all the money he's amassed.
[00:16:27.512 --> 00:16:31.135]  In the presidential race and the congressional race, I need your support, Paul says.
[00:16:31.595 --> 00:16:38.080]  As always, Mr. Paul wrote, and I have plans to continue fighting for our ideas in politics and education.
[00:16:38.100 --> 00:16:42.403]  I will share with you when I can, for I will need you at my side.
[00:16:42.443 --> 00:16:49.788]  In the meantime, onward and upward, the neocons, the warmongers, the socialists, the advocates of inflation will be hearing from you and me.
[00:16:50.709 --> 00:16:50.989]  Okay.
[00:16:52.079 --> 00:17:00.285]  We have a story up on PrisonPlanet.com, why Ron Paul has all but suspended his presidential campaign.
[00:17:01.667 --> 00:17:04.509]  Now, let me basically explain what that means.
[00:17:05.189 --> 00:17:06.390]  Let me basically go through that.
[00:17:10.213 --> 00:17:12.515]  Brokered conventions, we haven't had one since 1948.
[00:17:13.376 --> 00:17:16.598]  Each state has a number of delegates.
[00:17:17.139 --> 00:17:18.580]  Some of you, I know, understand this.
[00:17:18.680 --> 00:17:19.541]  Some of us don't.
[00:17:20.221 --> 00:17:21.382]  So let me just be basic.
[00:17:21.826 --> 00:17:27.489]  The primaries are where the Democrats try to pick their candidate and they have a battle nationwide, state by state.
[00:17:28.009 --> 00:17:31.631]  And then you have the Republican primaries where they battle it out.
[00:17:32.391 --> 00:17:38.254]  Okay, now if McCain gets a little over 1,100 delegates, he has it locked.
[00:17:39.834 --> 00:17:41.095]  Right now he has more than 800.
[00:17:43.276 --> 00:17:46.598]  Ron Paul has less than 50 right now.
[00:17:47.378 --> 00:17:48.238]  So you do the math.
[00:17:48.298 --> 00:17:48.939]  Ron Paul has 50.
[00:17:50.675 --> 00:17:55.098]  McCain has 800, he's only a couple hundred away from locking it up.
[00:17:58.099 --> 00:18:09.446]  Now, a broker convention would be, let's say Ron Paul had 700 and something delegates, and McCain had 800 and something delegates, a close race.
[00:18:10.127 --> 00:18:18.171]  Then, they would try to have a broker convention, where if you can't get the number you need to go over that 1100 mark,
[00:18:20.029 --> 00:18:36.634]  Then you have a battle where they fight over delegates and where there's this exchange and where I guess Ron Paul delegates would try to go and get people to switch over to John McCain or fill those places.
[00:18:37.694 --> 00:18:43.836]  That can only happen in close elections and when it has happened in the last hundred years
[00:18:44.699 --> 00:18:45.599]  And it hadn't happened in over 50.
[00:18:46.400 --> 00:18:50.801]  The media jumps on whoever doesn't have the majority of the delegates and acts like they're trying to steal the election.
[00:18:51.282 --> 00:18:55.503]  So, there will be no brokered convention, and Ron Paul has now told you that.
[00:18:55.944 --> 00:18:58.965]  He said nearly zero chance of a brokered convention.
[00:19:01.286 --> 00:19:04.207]  It's like we're generals here, commanding armies that don't exist.
[00:19:06.128 --> 00:19:10.029]  It just isn't reality-based, and I refuse to be part of Kool-Aid drinking behavior.
[00:19:10.529 --> 00:19:10.830]  Okay?
[00:19:12.010 --> 00:19:14.391]  Now, let's expand out onto that.
[00:19:15.530 --> 00:19:17.191]  Ron Paul could run third party.
[00:19:17.211 --> 00:19:22.735]  The only shot he has now, the only shot he had, was to start running for third party.
[00:19:22.775 --> 00:19:29.000]  He has the infrastructure, he has the grassroots, he has the proven money-raising capacity to do it.
[00:19:31.662 --> 00:19:39.869]  And talking to the head of the campaign, Kent Schneider, two weeks ago, he said they were considering it, after they saw what happened in Super Tuesday.
[00:19:42.305 --> 00:19:54.416]  Suddenly, last week, I was interviewing his communications director, Jesse Benton, during the weekday show, and he said that they're not looking at a third party.
[00:19:54.476 --> 00:19:55.617]  That wasn't going to happen.
[00:19:55.757 --> 00:19:56.818]  I thought, that's interesting.
[00:19:57.039 --> 00:20:00.462]  From higher up the chain, we were getting noises from Ron Paul and Kent Snyder.
[00:20:00.702 --> 00:20:01.483]  They were considering it.
[00:20:02.103 --> 00:20:02.704]  And he said, well,
[00:20:04.375 --> 00:20:12.643]  We're now focusing a lot on the Congressional seat, where there's been a lot of treachery and big Republican machine, and people that said they wouldn't run against him are now doing that.
[00:20:12.683 --> 00:20:14.645]  The mayor down there in Texas City.
[00:20:17.427 --> 00:20:20.510]  Down by Galveston, where about half his district is located.
[00:20:22.592 --> 00:20:24.434]  That is, half the people in his district are located.
[00:20:24.474 --> 00:20:25.375]  It's all gerrymandered.
[00:20:27.210 --> 00:20:28.871]  And he's now in a tough fight down there.
[00:20:29.011 --> 00:20:37.374]  So, if Ron Paul runs as an Independent, the Republican Party can throw him out, and then he'd have to run for his Congressional seat as an Independent.
[00:20:38.394 --> 00:20:44.856]  Texas has the LBJ law that he put in for himself, where you can run for House or Senate while you're running for President.
[00:20:47.777 --> 00:20:48.838]  Because he did that once.
[00:20:48.998 --> 00:20:51.939]  There's only two states you can do it, and one of them's Texas.
[00:20:52.489 --> 00:21:00.472]  But if Ron Paul goes into a third party, he then has to run simultaneously for Congress in a third party, and it is a dangerous move to do.
[00:21:00.552 --> 00:21:02.453]  So he's taking the safe bet.
[00:21:02.933 --> 00:21:13.398]  He is going for his congressional seat, trying to win that, but he does have close to $8 million reportedly left, and so he wants to try to spend that.
[00:21:14.216 --> 00:21:15.577]  And see what happens.
[00:21:15.617 --> 00:21:25.085]  I mean, it could come out tomorrow that McCain, this is a long shot, you know, that McCain's got some dirt on him, and we know about Keating 5 and the mob and the rest of it, but he had been in trouble for that.
[00:21:25.106 --> 00:21:34.494]  We know about him being an anti-gun guy and pro-open border, but Kool-Aid drinking neoconservatives, that's, I mean, we've got Limbaugh and Ann Coulter endorsing
[00:21:35.959 --> 00:21:38.901]  Hillary now, so I mean, I told you for years you'd see that happen.
[00:21:39.221 --> 00:21:44.004]  Fox News, Roger Ailes, they've all been having fundraisers for her for five, six years, I've been telling you that.
[00:21:44.644 --> 00:21:46.606]  People are now got their mouths hanging open watching it.
[00:21:47.546 --> 00:21:50.228]  Limbaugh and Coulter are now trying to back off and say they were joking.
[00:21:50.248 --> 00:21:50.968]  They weren't joking.
[00:21:52.009 --> 00:21:54.931]  Are those jokes when the White House helps write Hillary's speeches?
[00:21:57.052 --> 00:21:58.613]  Is that jokes when they're advising her?
[00:21:58.693 --> 00:21:59.934]  They're all CIA folks.
[00:22:01.218 --> 00:22:05.682]  Cord Meyer, CIA section chief out of England, recruited Hillary and Bill in 1968.
[00:22:06.222 --> 00:22:07.003]  We have the documents.
[00:22:09.625 --> 00:22:10.446]  It's a staged deal.
[00:22:12.768 --> 00:22:19.193]  And the only primary that isn't basically cinched up now is Democratic.
[00:22:19.834 --> 00:22:24.478]  And Hillary's leading with delegates, but in money Obama's leading, but Hillary is the anointed one.
[00:22:25.759 --> 00:22:26.660]  So we'll see what happens.
[00:22:27.483 --> 00:22:33.024]  I'm going to continue to break this down and we're going to go to Neil, Clint, Mark, Andrew, Steve, and many others at 877-590-5525.
[00:22:33.044 --> 00:22:37.605]  Yeah, these are just the facts.
[00:22:38.706 --> 00:22:40.046]  And that's why people tune into this show.
[00:22:41.026 --> 00:22:43.047]  As Ron Paul supporters, I know you don't want to hear bull.
[00:22:44.027 --> 00:22:50.689]  I am hearing quite a lot of bull from talk show hosts and others that claim to be supporters of Ron Paul, and they're just, they're defeating you online.
[00:22:51.629 --> 00:22:52.189]  We'll be right back.
[00:23:00.563 --> 00:23:08.967]  Of the three million plus edible food plants that grow on Earth, no other single plant can compare with the nutritional value of the powder, seeds, and oil of the hemp plant.
[00:23:09.267 --> 00:23:14.950]  At hempusa.org, we ship worldwide these nutritional products with free shipping to the US and Canada.
[00:23:15.250 --> 00:23:21.733]  At hempusa.org, we want to educate our listeners that edible hemp is not marijuana and is certified THC-free.
[00:23:22.353 --> 00:23:25.656]  Our powder is 50% protein and does not contain gluten.
[00:23:25.756 --> 00:23:27.977]  Gluten impairs the cells from absorbing nutrients.
[00:23:28.197 --> 00:23:34.582]  This nutrient-dense food can be stored up to five years when vacuum-packed and is priced affordably to be used as a storable food.
[00:23:34.802 --> 00:23:38.124]  HempUSA.org is a bulk shipper starting with five pounds and up.
[00:23:38.324 --> 00:23:44.989]  To allow this food to work for you, call 908-691-2608 or go to HempUSA.org and order today.
[00:23:45.389 --> 00:23:48.352]  The body will react and heal itself given the proper nutrition.
[00:23:48.552 --> 00:23:51.654]  This superfood will be your greatest asset, so try it today
[00:23:52.014 --> 00:23:54.099]  Store it today and change your life!
[00:23:54.400 --> 00:23:56.144]  Call 908-691-2608 or order from hempusa.org.
[00:24:00.814 --> 00:24:06.458]  Now that we are in the midst of the presidential primaries, Republican candidate Ron Paul needs our support more than ever.
[00:24:06.858 --> 00:24:12.842]  Ron Paul stands for the issues that need to be addressed and not glossed over and forgotten like the globalist crowd being fielded.
[00:24:13.203 --> 00:24:19.527]  Unlike other candidates, Ron Paul takes a stand to follow what our forefathers envisioned America to be through the Constitution.
[00:24:19.547 --> 00:24:26.632]  Dr. Paul will restore sound money, eliminate the IRS, prevent the NAU, get us back to our constitutional roots,
[00:24:26.972 --> 00:24:27.393]  We're good.
[00:24:42.586 --> 00:24:42.946]  I think so.
[00:25:00.220 --> 00:25:01.902]  Our beloved Republic is on her knees.
[00:25:02.222 --> 00:25:05.665]  The forces of globalism are destroying national sovereignty worldwide.
[00:25:05.825 --> 00:25:07.747]  But in Liberty's darkest hour, there is hope.
[00:25:07.887 --> 00:25:11.030]  For the first time in modern history, the people are beginning to wake up.
[00:25:11.371 --> 00:25:16.856]  It is essential that patriots worldwide accelerate their fellow man's understanding of the New World Order Master Plan.
[00:25:17.136 --> 00:25:21.080]  We have a short time frame to fully awaken and energize the people to meet this threat.
[00:25:21.400 --> 00:25:26.344]  In the Info War, PrisonPlanet.TV is a powerful weapon in the battle to regain our freedom.
[00:25:26.624 --> 00:25:29.406]  PrisonPlanet.TV is a vault of forbidden information.
[00:25:29.706 --> 00:25:36.591]  All 18 of my documentary films can be downloaded or streamed in super high quality directly to your computer or iPhone and shared with others.
[00:25:36.971 --> 00:25:42.815]  Thousands of special video reports, from tainted vaccines to martial law, can be found in this online video library.
[00:25:42.996 --> 00:25:47.519]  My weekly news television broadcast, thousands of exclusive audio interviews, and so much more.
[00:25:47.819 --> 00:25:50.381]  The Info War is waiting for you to set it free.
[00:25:50.701 --> 00:25:52.382]  Join PrisonPlanet.TV.
[00:25:52.782 --> 00:25:54.563]  Burn the info bombs to disk.
[00:25:54.764 --> 00:25:56.585]  Put them on the file sharing networks.
[00:25:56.905 --> 00:25:58.366]  Bring down the New World Order.
[00:25:58.726 --> 00:26:00.107]  PrisonPlanet.TV.
[00:26:00.647 --> 00:26:03.829]  Yes, there is an in-dash AM FM shortwave radio.
[00:26:04.110 --> 00:26:12.175]  For limited time and in limited numbers, the Sony GT-160S AM FM shortwave radio and CD player is available only at the Power Hour.
[00:26:12.455 --> 00:26:20.541]  This radio is designed to eliminate interference from ignition systems and the result is clear, clean reception so you can hear your favorite broadcasts both domestically and internationally.
[00:26:20.841 --> 00:26:24.723]  Get your Sony AM FM shortwave radio and CD player from the Power Hour today.
