[00:00:09.471 --> 00:00:11.312]  Vulnerable has no price.
[00:07:28.846 --> 00:07:35.310]  But at the beginning of the radio show, I only want to have people from Mexico City or other states in Mexico.
[00:07:35.310 --> 00:07:45.475]  I did a special two-hour show last night only for InfoWars.com Internet stream listeners and PrisonPlanet.tv viewers.
[00:07:45.475 --> 00:07:47.977]  And we got, what, five calls from Mexico,
[00:07:48.797 --> 00:08:00.887]  A call from the suburb of San Antonio, a guy right next door to the school, where they're closing the school tomorrow because they have two cases of the bird, swine, human flu.
[00:08:00.887 --> 00:08:01.988]  They're calling it swine flu.
[00:08:01.988 --> 00:08:05.270]  It's bird, swine, human flu.
[00:08:05.270 --> 00:08:08.353]  We got calls from Canada, where they've had outbreaks.
[00:08:08.353 --> 00:08:12.456]  I've gotten emails from Spain, Israel, where they've had outbreaks.
[00:08:12.456 --> 00:08:14.278]  There's just outbreaks all over the world.
[00:08:15.422 --> 00:08:16.643]  I don't know.
[00:08:25.339 --> 00:08:25.519]  It's 877-590-5525.
[00:08:25.519 --> 00:08:25.599]  877-590-5525.
[00:08:25.599 --> 00:08:26.120]  Or you can call 512-836-0590.
[00:08:26.120 --> 00:08:26.240]  512-836-0590.
[00:08:26.240 --> 00:08:28.482]  But I would ask everybody else to hold.
[00:08:28.482 --> 00:08:30.303]  To not call in yet, like I did last night.
[00:08:30.303 --> 00:08:34.486]  Unless you have family in Mexico, we got some of those calls with eyewitness reports.
[00:08:52.139 --> 00:08:59.705]  I did confirm that Aztec TV, that's the big national channel, was saying, it was Felipe Calderon on it, saying, don't worry, we've got a vaccine for this flu.
[00:08:59.705 --> 00:09:03.268]  That's impossible unless the government released it.
[00:09:03.268 --> 00:09:08.592]  You can't just, days after they identify what it is, then already have a vaccine for it.
[00:09:08.592 --> 00:09:17.819]  And you've got Baxter tied in with mixing bird flu with regular vaccines, according to the London Telegraph that we broke just a month or so ago here in the U.S.
[00:09:17.819 --> 00:09:18.439]  Then it was covered by
[00:09:19.640 --> 00:09:39.188]  Bloomberg, AP, and others, with, you know, the headlines admitting that it could have caused a worldwide pandemic, that 18 different factories in Europe, US-based Baxter, ordered them to mix live bird flu in with the regular vaccines, the perfect way to create a mutagen, or to mutate it.
[00:09:39.188 --> 00:09:42.129]  Exactly what supposedly has naturally happened.
[00:09:42.129 --> 00:09:47.511]  Bird flu from Asia, human flu from Europe,
[00:09:48.993 --> 00:09:59.952]  Particularly deadly strain and swine flu or porcine pig flu from North America have magically mixed somewhere in Mexico and has now
[00:10:02.441 --> 00:10:20.725]  Jumped species back into humans and appears to be airborne because it's got rapid person-to-person transmission with people who haven't been around pigs, haven't been around birds, haven't been kissing anybody that had it, haven't been holding hands with anybody that had it.
[00:10:20.725 --> 00:10:24.126]  So, I want to state this on the record.
[00:10:25.808 --> 00:10:34.930]  I believe the mainstream media and the governments of Mexico, the United States, the global government, the United Nations, are hyping this to grandstand as saviors.
[00:10:34.930 --> 00:10:48.013]  And Mexico, on the verge of revolution and collapse in their own admissions, will use this crisis to unify support of the people under the ongoing corruption in police state, as the government composes a savior.
[00:10:49.710 --> 00:10:58.334]  Now before I had, I was thinking this last night on the air when I did that two and a half hour plus emergency transmission internet only.
[00:10:58.334 --> 00:10:59.755]  Just the power of the internet was amazing.
[00:10:59.755 --> 00:11:04.477]  I've got about 9,000 on the free streams and a few thousand watching prisonplanet.tv that are members there.
[00:11:07.162 --> 00:11:07.442]  Tune in
[00:11:28.024 --> 00:11:29.565]  I gotta get a proper list of all these.
[00:11:29.565 --> 00:11:31.226]  The point is, there's a lot of affiliates.
[00:11:31.226 --> 00:11:47.233]  There's over 30 picking up The Sunday Show now, over 70 The Weekday Show, so we have people everywhere who have these contacts, so I want to hear from you at 877-590-5525, 877-590-5525, or if you're in Mexico and that toll-free number won't work, I know it works for some people in Mexico, but with some plans it doesn't, 512-836-0590.
[00:11:55.143 --> 00:11:58.284]  Again, that's 512-836-0590.
[00:11:58.284 --> 00:12:00.485]  Okay.
[00:12:00.485 --> 00:12:07.207]  Let me break down the issues here.
[00:12:07.207 --> 00:12:18.951]  Just like right before 9-11, I saw preparatory brainwashing on television, the radio, and in print, saying, Al Qaeda is going to attack us.
[00:12:19.821 --> 00:12:22.202]  I mean, the average American didn't even know what Al Qaeda was then.
[00:12:22.202 --> 00:12:23.523]  Maybe one in a hundred did.
[00:12:23.523 --> 00:12:26.605]  They introduced the enemy, they said, they're about to get you.
[00:12:26.605 --> 00:12:29.527]  When they do, we're going to take all your rights.
[00:12:29.527 --> 00:12:33.449]  And I saw the feds and the army putting out white papers about how they'd already set up homeland security.
[00:12:33.449 --> 00:12:34.450]  This was before 9-11.
[00:12:34.450 --> 00:12:35.270]  It wasn't set up in 2002, folks.
[00:12:37.586 --> 00:12:38.487]  We have those documents.
[00:12:38.487 --> 00:12:39.588]  In fact, we have some of them tonight.
[00:12:39.588 --> 00:12:40.728]  We're going to go over.
[00:12:40.728 --> 00:12:45.052]  And I saw them getting ready to stage an attack.
[00:12:45.052 --> 00:12:50.136]  That's how I went on air and said, okay, they're going to stage an attack saying Al Qaeda, known CIA front, did it.
[00:12:50.136 --> 00:12:53.938]  They'll probably attack the World Trade Center again, since the Feds have done that in 93.
[00:12:53.938 --> 00:12:57.441]  On record, even the New York Times admitted the FBI cooked the bomb, trained the drivers.
[00:12:57.441 --> 00:12:58.542]  They didn't want to go forward.
[00:12:58.542 --> 00:12:59.963]  They told them, go ahead, it's just a drill.
[00:12:59.963 --> 00:13:03.806]  They tried to blow up the building, but the drivers didn't park it up against the main column.
[00:13:03.806 --> 00:13:04.727]  So I said, hey,
[00:13:05.387 --> 00:13:09.070]  I think they're going to try to blow up the World Trade Centers.
[00:13:09.070 --> 00:13:10.731]  And I said, call the White House, tell them don't do it.
[00:13:10.731 --> 00:13:13.774]  Well, in the last two months, I never talk about bird flu.
[00:13:13.774 --> 00:13:16.976]  I say it's hype, it's baloney, it's fear-mongering.
[00:13:16.976 --> 00:13:21.720]  If it ever is released and really causes a lot of death, it's been engineered.
[00:13:21.720 --> 00:13:26.864]  A lot of major reports have looked at some of the bird flu strains and said they are engineered.
[00:13:26.864 --> 00:13:30.246]  They're designer viruses.
[00:13:30.246 --> 00:13:33.349]  And then suddenly it comes out a few months ago that Bayer Pharmaceutical
[00:13:34.827 --> 00:13:40.070]  Knowingly shipped out Factor VIII with HIV and hepatitis in it to over a million people worldwide.
[00:13:40.070 --> 00:13:43.172]  They did it with a company, Baxter, based in the U.S.
[00:13:43.172 --> 00:13:48.756]  Then Baxter's caught lying to his subsidiary factories from Poland to Germany to the Czech Republic.
[00:13:48.756 --> 00:13:49.856]  This is mainstream news.
[00:13:49.856 --> 00:13:52.618]  Toronto Star, Reuters, you name it.
[00:13:52.618 --> 00:13:53.439]  Just Google it.
[00:13:53.439 --> 00:13:57.101]  We got stories up on InfoWars.com and PrisonPlanet.com that detail this.
[00:13:57.101 --> 00:13:58.862]  And I'm going to go to the latest info with what's happening now.
[00:14:01.283 --> 00:14:09.153]  And they mixed the most powerful version of human bird flu, i.e.
[00:14:09.153 --> 00:14:10.856]  bird flu that can kill humans.
[00:14:10.856 --> 00:14:14.300]  90% kill rate on those that have gotten it all over the world.
[00:14:14.300 --> 00:14:16.082]  But it hadn't gone airborne yet.
[00:14:16.082 --> 00:14:17.144]  Very hard to contract.
[00:14:17.144 --> 00:14:19.407]  But if you get it, 9 times out of 10 you're dead.
[00:14:22.072 --> 00:14:37.980]  And suddenly, they mail it out from the US to 18 factories and tell them, and list it as regular human flu strain of the year, and they say mix it with this wide spectrum of flu viruses for Europeans to have it injected into.
[00:14:37.980 --> 00:14:43.183]  And over there, they've had the laws open where these are actually cultured on dead babies.
[00:14:43.183 --> 00:14:48.585]  They'll call it fetal tissue, but it's cultured in dead babies, just to add a macabre twist.
[00:14:50.126 --> 00:14:53.209]  I guess royal flush to the nightmare nature of it.
[00:14:53.209 --> 00:14:55.611]  That's going on there.
[00:14:55.611 --> 00:15:00.476]  So they're breeding up in these big vats with those sawed up, minced baby.
[00:15:00.476 --> 00:15:05.060]  They've got all this, you know, that's how dignified we think human life is, these eugenicists that run things.
[00:15:05.060 --> 00:15:08.904]  You know, you may not care about those babies, but the globals don't care about you either.
[00:15:08.904 --> 00:15:12.127]  And so they mix the live bird flu with it.
[00:15:12.127 --> 00:15:15.030]  And then they all, and then some of the firm's subsidiaries,
[00:15:16.132 --> 00:15:26.937]  Like to test it on ferrets and guinea pigs because if they test the flu virus vaccine on it and it gets sick, that means they didn't radiate the batches correctly.
[00:15:26.937 --> 00:15:29.778]  So that it just gives you immunity and doesn't actually make you sick.
[00:15:29.778 --> 00:15:33.680]  Well, not only did the ferrets get sick, all of them died.
[00:15:33.680 --> 00:15:35.661]  And they went, whoa!
[00:15:35.661 --> 00:15:38.142]  So that one firm in the Czech Republic tested it.
[00:15:38.142 --> 00:15:40.323]  Top scientists went in the newspapers and said, this is a setup.
[00:15:43.516 --> 00:15:51.238]  Baxter had to have been trying to mix this to cover up a release, and it turns out Baxter is developing separately a bird flu vaccine.
[00:15:51.238 --> 00:15:55.598]  They now have a swine flu vaccine, they're in the news on that today in the Chicago Tribune.
[00:15:55.598 --> 00:16:07.721]  And the issue is, this is very serious, even if it is an accident, you know, accidentally 18 locations, 18 different factories, you mail out bird flu to be mixed with regular flu, and the scientist on record all over the newspaper said,
[00:16:08.570 --> 00:16:13.814]  This is the perfect way to have it mutate in the vats, in the fetal tissue.
[00:16:13.814 --> 00:16:19.018]  Sometimes they use eggs too, or monkey tissue.
[00:16:19.018 --> 00:16:22.721]  And then if you inject it in a human, it'll mutate again and go airborne.
[00:16:22.721 --> 00:16:26.724]  Now, I'll give you the latest on this bird, swine, human flu that's out.
[00:16:26.724 --> 00:16:28.306]  When we get back, stay with us.
[00:16:31.944 --> 00:16:35.866]  When making important financial decisions, you should always know the facts.
[00:16:35.866 --> 00:16:39.688]  That's why Midas Resources is willing to pay you to read the facts.
[00:16:39.688 --> 00:16:48.472]  Midas Resources, a team of hand-picked financial specialists with decades of financial experience who are ready to provide you with state-of-the-art, up-to-date financial services.
[00:16:48.852 --> 00:16:53.097]  Midas Resources offers a host of services and stands behind their products.
[00:16:53.097 --> 00:16:57.962]  In fact, if you call and order their free Midas Report, Midas Resources will pay you.
[00:16:57.962 --> 00:17:03.567]  This detailed report will provide you with financial history on the safest and most profitable areas to invest in.
[00:17:03.567 --> 00:17:08.873]  If you read the report, Midas Resources will send you a free Walking Liberty Silver Half Dollar.
[00:17:09.173 --> 00:17:10.515]  So, what are you waiting for?
[00:17:10.515 --> 00:17:16.704]  Get the facts and pull Midas resources toll free at 888-292-2709.
[00:17:16.704 --> 00:17:19.588]  That's 888-292-2709.
[00:17:19.588 --> 00:17:24.956]  And remember, if you read the Midas report, you'll receive a free Walking Liberty silver half dollar.
[00:17:32.026 --> 00:17:35.487]  Silver is mankind's oldest natural antibiotic.
[00:17:35.487 --> 00:17:39.728]  This very special mineral has been used for centuries by most cultures throughout the world.
[00:17:39.728 --> 00:17:51.391]  Utopia, Texas is home to a small but mighty supplement company called Utopia Silver, who offers colloidal products produced in distilled water without use of animal protein, nitrates, or saline solutions.
[00:17:51.391 --> 00:17:57.212]  Because our colloidal silver is made up of nano-sized particles, it can be better utilized at the cellular level.
[00:17:57.452 --> 00:17:58.092]  We're good to go.
[00:18:17.363 --> 00:18:18.964]  We all need to prepare ourselves.
[00:18:18.964 --> 00:18:22.706]  You might have the food, water, gold, and silver, but ask yourself, are you truly prepared?
[00:18:39.375 --> 00:18:42.216]  That's why you need to visit MainMilitary.com.
[00:18:42.216 --> 00:18:44.756]  MainMilitary.com carries everything you need.
[00:18:44.756 --> 00:18:52.518]  Gas masks, wool blankets, fire starter kits, high-capacity magazines, chemical suits, military surplus items, and much more.
[00:18:52.518 --> 00:18:53.898]  Do you own a firearm?
[00:18:53.898 --> 00:18:58.419]  MainMilitary.com has a large selection of pistols and rifles suited for your needs.
[00:18:58.419 --> 00:19:00.779]  Are your local stores sold out of ammunition?
[00:19:00.779 --> 00:19:04.860]  Call or visit them today for prices on hard-to-find ammo and bulk ammo orders.
[00:19:05.120 --> 00:19:14.265]  You don't need to worry about having a military surplus store in your area, because MaineMilitary.com is the only store you'll ever need, all from the comfort of your computer.
[00:19:14.265 --> 00:19:17.226]  Visit them online today at MaineMilitary.com.
[00:19:17.226 --> 00:19:20.528]  That's Maine, like the state, Military.com.
[00:19:20.528 --> 00:19:21.228]  Or call them at 1-877-608-0179.
[00:19:21.228 --> 00:19:21.508]  That's 1-877-608-0179.
[00:19:35.387 --> 00:19:38.672]  Times are tough right now, and people are unsure about our future.
[00:19:38.672 --> 00:19:42.939]  The economy is hurting, even though there are powers that would make us believe differently.
[00:19:42.939 --> 00:19:46.044]  Banks are failing, and the gold buyers are buying.
[00:19:46.044 --> 00:19:48.889]  Question, with all the chemicals being put into our air,
[00:19:49.674 --> 00:19:54.197]  How do you use gold when you're very sick or dead?
[00:19:54.197 --> 00:19:56.299]  Investing in precious metals is smart.
[00:19:56.299 --> 00:19:58.880]  Investing in your health could be smarter.
[00:19:58.880 --> 00:20:03.283]  LifeChange Tea changes your life just by drinking our tea.
[00:20:03.283 --> 00:20:05.125]  Detox from deadly chemicals.
[00:20:05.125 --> 00:20:07.887]  Flush poisons that cause harm to your organs.
[00:20:07.887 --> 00:20:11.249]  And lose unwanted pounds that bog you down.
[00:20:11.249 --> 00:20:11.729]  Call us!
[00:20:11.729 --> 00:20:11.769]  928-308-9238.
[00:20:14.671 --> 00:20:17.292]  You're listening to GCN, the Genesis Communication Radio Network.
[00:20:43.110 --> 00:20:46.732]  Okay, we got Santiago in Mexico City.
[00:20:46.732 --> 00:20:49.154]  He says lots of sick people are going to go to him first.
[00:20:49.154 --> 00:20:50.895]  Steve in Tempe, Mexico.
[00:20:50.895 --> 00:20:54.357]  He'll give us a report on what's happening.
[00:20:54.357 --> 00:20:55.758]  Chris in Tampa, Florida.
[00:20:55.758 --> 00:21:02.442]  Ken in Shirts, Texas, where they've got five schools shut down for the next few days.
[00:21:02.442 --> 00:21:05.263]  So we'll be going over that as well.
[00:21:05.263 --> 00:21:07.445]  Again, a lot of data I have here in front of me.
[00:21:07.445 --> 00:21:11.047]  I want to go to your phone calls, but here's some basic facts I want to lay out.
[00:21:12.185 --> 00:21:35.713]  We have eugenicists that control the major governments of the world, the UN Biological Diversity Assessments, Ted Turner, Prince Philip, Prince Charles, they all write books saying they want 80% of us to die and they want to come back as deadly viruses to kill us in the next life and you know all these weird statements and State Department Memorandum 200.
[00:21:35.713 --> 00:21:36.973]  Listen folks, I'm giving you documents.
[00:21:38.459 --> 00:21:46.881]  Saying that, you know, they'll give the third world nations money if they'll carry out the sterilization and reduction of their population of at least 50%.
[00:21:46.881 --> 00:21:59.664]  So when we see things like this, and Australia and England are announcing they want one-child policies, and you can just Google this, England wants to cut its population in half from 66 million to 33 million.
[00:21:59.664 --> 00:22:00.884]  That's a BBC headline.
[00:22:00.884 --> 00:22:03.005]  They say it's good.
[00:22:03.005 --> 00:22:06.826]  Australia wants to cut it from 20-something million to half.
[00:22:07.646 --> 00:22:09.247]  Those are the headlines this week.
[00:22:09.247 --> 00:22:20.110]  So remember, as the government poses as the savior, every time there's one of these outbreaks and things like this happening, we have to remember what they really stand for.
[00:22:20.110 --> 00:22:26.972]  Now, that said, I think this is hyped way, way, way, way out of proportion.
[00:22:26.972 --> 00:22:28.613]  But we have to take it seriously because
[00:22:29.878 --> 00:22:47.862]  The Security and Prosperity Partnership documents that were released a few years ago and Judicial Watch sued to get them, the big North American Union meeting, had them stating, the leaders of North America, Mexico, US, and Canada, that they would use outbreaks and things to bring in the North American Union.
[00:22:47.862 --> 00:22:59.524]  That out of crises, economic, biological, terrorist, that out of any of those three things, economics, terrorist attacks, or normal biological releases,
[00:23:00.031 --> 00:23:08.615]  They could claim it's a naturally occurring event and they could be releasing it, but that out of that they would bring in the North American Union.
[00:23:08.615 --> 00:23:14.998]  Now let's talk facts, then I'm going to Santiago in Mexico City, who I appreciate holding.
[00:23:14.998 --> 00:23:16.398]  Because this is the most important thing.
[00:23:16.398 --> 00:23:22.621]  There are at least 15,000 deaths a year in the United States of flu.
[00:23:24.215 --> 00:23:31.700]  Because of the sanitation not being as good, and some other factors, they have around 20,000 on average in Mexico.
[00:23:31.700 --> 00:23:33.381]  There's only 100 million people down there.
[00:23:33.381 --> 00:23:37.403]  So a country of 300 million people, we have 15,000 deaths on average.
[00:23:37.403 --> 00:23:38.964]  Sometimes it's lower, sometimes it's higher.
[00:23:38.964 --> 00:23:40.445]  Sometimes it's above 30,000.
[00:23:40.445 --> 00:23:45.468]  Back in 1918, close to a million Americans died.
[00:23:45.468 --> 00:23:47.989]  40 million plus died worldwide.
[00:23:47.989 --> 00:23:51.992]  You can pull up Encyclopedia Britannica to see those numbers, and that was a swine flu as well.
[00:23:53.288 --> 00:23:54.328]  And that broke out on a U.S.
[00:23:54.328 --> 00:23:59.210]  military base, just like the 1976 swine flu, and that was clearly a biological program.
[00:23:59.210 --> 00:24:02.711]  Then they tried to vaccinate the whole population of the U.S.
[00:24:02.711 --> 00:24:05.272]  Thousands of people died, ladies and gentlemen.
[00:24:05.272 --> 00:24:12.635]  Many of them diagnosed with Guillain-Barré's diseases.
[00:24:12.635 --> 00:24:17.176]  On record, causing an autoimmune disease that killed them.
[00:24:17.176 --> 00:24:19.177]  So, what am I saying here?
[00:24:19.177 --> 00:24:21.418]  We don't know what's happening, right now.
[00:24:22.944 --> 00:24:27.186]  All we know is that somebody is lying.
[00:24:27.186 --> 00:24:31.749]  We have governments that use stage crises to get more power and control.
[00:24:31.749 --> 00:24:34.150]  They could have released this flu.
[00:24:34.150 --> 00:24:37.011]  It could be super deadly, like some are saying.
[00:24:37.011 --> 00:24:38.412]  It could just be a regular flu.
[00:24:38.412 --> 00:24:40.133]  They're overhyping.
[00:24:40.133 --> 00:24:51.319]  Because if you've got more than 15,000 people a year dying in Mexico from the flu, mainly in Mexico City, 30-something million people, half of them almost homeless, open sewers,
[00:24:52.893 --> 00:24:55.575]  Suburbs that stretch for hundreds of miles around the mega-city.
[00:24:55.575 --> 00:24:57.537]  Biggest city in the world.
[00:24:57.537 --> 00:24:59.559]  So why are they hyping 80 deaths?
[00:24:59.559 --> 00:25:02.161]  It was 68 yesterday, 80 today.
[00:25:02.161 --> 00:25:06.464]  The BBC, though, has doctors and others posting in their stories.
[00:25:06.464 --> 00:25:13.450]  The BBC is talking to doctors saying, no, it's actually hundreds and hundreds and hundreds dead, but the government's covering it up not to create panic.
[00:25:13.450 --> 00:25:15.071]  Then what happens last night?
[00:25:15.071 --> 00:25:16.693]  I open the phones up to Mexico City.
[00:25:17.472 --> 00:25:27.219]  They call and they say, look, I was at the hospital for my wife to have a baby, and there's people vomiting everywhere and passed out in the bathrooms and on the floor.
[00:25:27.219 --> 00:25:38.166]  I got calls from states in northern Mexico with people, you know, falling down, collapsing, vomiting everywhere, and some of the northern states locking down from the southern states in Mexico.
[00:25:40.970 --> 00:25:46.392]  You've got World Health Organization, a bunch of eugenicists, openly calling for world population reduction at the UN.
[00:25:46.392 --> 00:25:48.373]  Say swine flu could trigger a global pandemic.
[00:25:48.373 --> 00:25:50.854]  Now they're saying it basically is about to be one.
[00:25:50.854 --> 00:25:52.755]  Administration declares flu emergency.
[00:25:52.755 --> 00:25:54.195]  The White House has announced it.
[00:25:54.195 --> 00:25:58.257]  They've confirmed 20 plus cases in the United States and growing.
[00:25:58.257 --> 00:26:01.738]  Now, we're going to Santiago right now.
[00:26:01.738 --> 00:26:03.139]  I just want to make it clear first.
[00:26:04.634 --> 00:26:13.092]  Somebody is lying because the reports we get from Mexico and what's coming out in local newspapers is that people are vomiting and sick all over Mexico.
[00:26:14.124 --> 00:26:18.148]  From Southern Mexico right up to Northern Mexico, right up to the Texas border.
[00:26:18.148 --> 00:26:20.029]  San Antonio's got cases.
