[00:00:07.393 --> 00:00:10.658]  I love you folks.
[00:05:00.701 --> 00:05:01.842]  Plus, if you act fast,
[00:05:02.042 --> 00:05:07.664]  The Millionaire Patriot will give you a free Springfield Armory XV pistol in the caliber of your choice.
[00:05:08.025 --> 00:05:14.527]  I believe now is the time that you and your family need to be armed and trained to levels that exceed law enforcement and military standards.
[00:05:14.908 --> 00:05:20.090]  Front Sight provides such training without any boot camp mentality or drill instructor attitudes.
[00:05:20.430 --> 00:05:21.591]  This is real.
[00:05:21.891 --> 00:05:22.631]  Don't miss out.
[00:05:22.932 --> 00:05:31.317]  Secure a Front Sight Defensive Handgun Course plus a 30 state concealed weapons permit for pennies on the dollar and get your free handgun.
[00:05:31.497 --> 00:05:33.679]  Go to FrontSight.com today.
[00:05:33.879 --> 00:05:37.381]  That's F-R-O-N-T-S-I-G-H-T dot com.
[00:05:37.561 --> 00:05:40.543]  Go to FrontSight.com for your training and free gun.
[00:05:44.265 --> 00:05:46.187]  Waging war on corruption.
[00:05:46.667 --> 00:05:49.449]  Alex Jones on the GCN Radio Network.
[00:05:56.067 --> 00:05:58.329]  It's Tuesday, the 21st day of July 2009.
[00:05:59.069 --> 00:06:02.992]  We're going to be live here for the next two hours.
[00:06:25.808 --> 00:06:27.649]  And I know I said we'd have a lot of phones today.
[00:06:27.669 --> 00:06:28.810]  We have been taking your calls.
[00:06:28.870 --> 00:06:30.891]  In fact, let's go ahead and take a few calls.
[00:06:30.951 --> 00:06:37.174]  In the next segment, I'm going to play these video clips dealing with 24 trillion dollars stolen by the offshore banks.
[00:06:38.234 --> 00:06:45.197]  A story that dovetailed with a caller earlier about Army Awards 24 million satellite terminal contract to L3.
[00:06:45.257 --> 00:06:47.218]  The U.S.
[00:06:47.258 --> 00:06:50.200]  Army began buying new ground terminals to expand battlefield.
[00:06:51.497 --> 00:06:57.399]  Access to commercial satellite communications bandwidth under a $24 million contract ordered April 15th.
[00:06:57.799 --> 00:07:05.261]  So that dovetails in with the Humvees and things zooming around running checkpoints.
[00:07:05.801 --> 00:07:08.582]  So we'll go over that report as well.
[00:07:10.199 --> 00:07:12.200]  Coming up, another report here.
[00:07:12.260 --> 00:07:16.101]  Powerful ideas, military developing, cyber bug spies.
[00:07:16.702 --> 00:07:27.426]  I remember two years ago it was in the Washington Post about fake dragonflies about four inches across, five inches long, flying around videotaping demonstrators.
[00:07:29.667 --> 00:07:32.428]  Yeah, this is now going on, ladies and gentlemen.
[00:07:34.221 --> 00:07:44.186]  I was at a friend's house this weekend, and we were working on a report, and this lizard outside comes running up to us, and my buddy probably got a camera in it.
[00:07:44.206 --> 00:07:52.351]  He was joking, but we've now gotten to that point where you have to sit there and joke about such things.
[00:07:53.832 --> 00:07:56.213]  So that's all coming up.
[00:07:58.010 --> 00:08:02.673]  Also, Bohemian Grove's been going for about a week and a half now, so we've got some new news on that as well.
[00:08:03.134 --> 00:08:05.095]  That's coming up, but right now, let's go back to your calls.
[00:08:05.395 --> 00:08:07.177]  Let's talk to John in Louisiana.
[00:08:07.217 --> 00:08:08.037]  John, thanks for holding.
[00:08:08.758 --> 00:08:09.518]  Top of the morning to you.
[00:08:09.558 --> 00:08:11.760]  How are you doing, Alex?
[00:08:11.820 --> 00:08:19.265]  I want to thank you and Jason for all of the work you have done, and I actually have some good news for you.
[00:08:21.006 --> 00:08:22.487]  Oh, well, hell, let me have it.
[00:08:22.527 --> 00:08:22.988]  I want to hear it.
[00:08:24.608 --> 00:08:37.038]  And, uh, the mid-level minions of the New World Order decided they wanted to sell their eugenics plan, you know, their eugenics healthcare, to the people in Louisiana.
[00:08:37.999 --> 00:08:42.462]  Well, they didn't advertise it at all, because they wanted very little opposition.
[00:08:43.123 --> 00:08:47.106]  And media from all the, you know, mainstream local outlets were there.
[00:08:48.046 --> 00:08:52.590]  But, we actually managed to get a really good question in, despite
[00:08:54.039 --> 00:08:56.260]  All of the other questions that they had.
[00:08:58.400 --> 00:09:15.345]  Kathleen Phyllibus, the head of the Health and Human Services Department with the Bilderberg, was reported in the Kansas Daily in 2007, and she's on the list for 2008, and we asked her that question.
[00:09:16.466 --> 00:09:20.707]  So what did you ask her about the wondrous new federal health care they're going to give you?
[00:09:23.482 --> 00:09:25.303]  Well, I couldn't get a question in.
[00:09:25.403 --> 00:09:30.025]  I was videotaping it on my camera phone.
[00:09:30.325 --> 00:09:34.967]  I actually have the video uploaded on the computer already on YouTube.
[00:09:35.447 --> 00:09:36.107]  Good!
[00:09:37.208 --> 00:09:39.148]  And we went under Campaign for Liberty.
[00:09:39.168 --> 00:09:41.589]  We started handing out constitutions in the audience.
[00:09:42.150 --> 00:09:42.490]  I know.
[00:09:43.770 --> 00:09:44.491]  Dangerous stuff.
[00:09:44.571 --> 00:09:46.091]  I'm handing out constitutions.
[00:09:46.191 --> 00:09:50.193]  And Obama... Did this freak them out?
[00:09:50.213 --> 00:09:52.294]  Did they think Al Qaeda was hitting and hitting hard?
[00:09:54.281 --> 00:10:04.144]  Yes they did, but it was actually really surprising because some of the cops came up to us and shook our hands after we mentioned Voderberg.
[00:10:04.364 --> 00:10:08.826]  It seemed like some people in the crowd knew who we were asking.
[00:10:08.906 --> 00:10:09.806]  I even heard gasps.
[00:10:10.966 --> 00:10:12.127]  I heard a lot of clapping.
[00:10:12.147 --> 00:10:13.987]  Oh my god, they're mentioning our rulers!
[00:10:14.427 --> 00:10:15.168]  Oh, don't!
[00:10:16.308 --> 00:10:17.188]  The officers!
[00:10:17.608 --> 00:10:18.089]  The officers!
[00:10:18.169 --> 00:10:18.709]  Arrest them!
[00:10:18.749 --> 00:10:20.329]  The officers are like, no, we're not going to.
[00:10:20.349 --> 00:10:21.550]  How dare you!
[00:10:24.735 --> 00:10:25.756]  I want to hear more about this.
[00:10:25.776 --> 00:10:26.936]  You say this video's up.
[00:10:26.956 --> 00:10:27.356]  Stay there.
[00:10:27.376 --> 00:10:29.778]  I want to hear more about this from our caller.
[00:10:31.018 --> 00:10:31.799]  John, Louisiana.
[00:10:31.839 --> 00:10:34.280]  And I'll talk to Mark, Chad, David, Joshua, and others.
[00:10:35.101 --> 00:10:36.781]  It's all coming up, ladies and gentlemen.
[00:10:37.682 --> 00:10:40.503]  Right here on the one, the only GCN Radio Network.
[00:10:40.543 --> 00:10:41.704]  Hey, sorry, Limbaugh.
[00:10:42.124 --> 00:10:44.245]  All those years you said the Bilderberg didn't exist.
[00:10:44.445 --> 00:10:45.286]  The CFR didn't.
[00:10:46.226 --> 00:10:47.007]  You're discredited.
[00:10:47.027 --> 00:10:49.308]  You were unable to suppress conservative America.
[00:10:49.328 --> 00:10:50.509]  They now know the truth.
[00:10:51.394 --> 00:10:52.915]  Hello friends, this is Alex Jones.
[00:10:53.075 --> 00:10:57.716]  I've told you for a long time it's important to be self-sufficient, and today that's more important than ever.
[00:10:57.816 --> 00:11:00.557]  We need to be independent, and food and water is the key.
[00:11:00.757 --> 00:11:03.638]  You'll never have to stand in a bread line if you have your own bread.
[00:11:03.798 --> 00:11:08.520]  You'll never have to go to the Superdome and beg for FEMA to take care of your family in any emergency.
[00:11:08.760 --> 00:11:09.700]  If you simply prepare.
[00:11:09.880 --> 00:11:12.842]  No one is going to take care of your family in the final equation, but you.
[00:11:13.122 --> 00:11:20.025]  You know eFoodsDirect.com is still able to ship storable food that's safe from E. coli, salmonella, genetic alteration, or Chinese imports.
[00:11:20.125 --> 00:11:23.246]  And they do it at almost half the cost of last year's grocery prices.
[00:11:23.386 --> 00:11:23.666]  Call 1-800-409-5633.
[00:11:26.067 --> 00:11:28.309]  Or on the web, go to eFoodsDirect.com.
[00:11:28.530 --> 00:11:34.636]  Visit eFoodsDirect.com and look over the fine list of high-quality, pre-stride, and dehydrated foods they have to offer.
[00:11:34.816 --> 00:11:38.560]  Watch the free videos, look at their online catalog, or give them a call at 1-800-409-5633.
[00:11:38.580 --> 00:11:40.302]  Again, 800-409-5633, or on the web at eFoodsDirect.com.
[00:11:40.322 --> 00:11:40.822]  Take action today.
[00:11:41.123 --> 00:11:42.384]  The first step is getting storable food.
[00:11:51.121 --> 00:11:56.663]  This is Alex Jones and I want to tell you again about a company that has supported us in the truth movement for years.
[00:11:56.963 --> 00:11:58.124]  Inner Health Botanicals.
[00:11:58.264 --> 00:12:02.225]  This company produces the highest quality superfood around, called InnerFood.
[00:12:02.545 --> 00:12:04.106]  My wife just loves the stuff.
[00:12:04.406 --> 00:12:10.689]  And now the health ranger Mike Adams has awarded InnerFood his Editor's Choice Award for Best Superfood of 2009.
[00:12:11.849 --> 00:12:14.390]  Inner Food is loaded with 20 great organic ingredients.
[00:12:14.711 --> 00:12:16.191]  No fillers, no sweeteners.
[00:12:16.452 --> 00:12:19.233]  It would be impossible to blend this up for a better price.
[00:12:19.473 --> 00:12:20.914]  And their formula really works.
[00:12:21.174 --> 00:12:23.715]  This is the real thing for the great health you need.
[00:12:23.996 --> 00:12:25.256]  Try the NutriCafe.
[00:12:25.476 --> 00:12:29.879]  Their great organic coffee infused with polysaccharides that boost the immune system.
[00:12:30.259 --> 00:12:32.460]  A truly healthy coffee that tastes great.
[00:12:32.660 --> 00:12:34.941]  And take it from me folks, it really does taste great.
[00:12:35.122 --> 00:12:36.882]  Don't forget to try their other great products.
[00:12:37.223 --> 00:12:38.343]  Go to www.
[00:12:39.824 --> 00:12:42.705]  E-N-E-R-F-O-O-D dot com.
[00:12:42.905 --> 00:12:47.365]  That's W-W-W dot E-N-E-R-F-O-O-D dot com.
[00:12:47.566 --> 00:12:50.506]  Or just click on their banner on Infowars.com for special pricing.
[00:12:50.986 --> 00:12:55.007]  Hello friends, this is Alex Jones and I want each of you to ask yourself this question.
[00:12:55.227 --> 00:12:57.027]  Do you really know what's in your tap water?
[00:12:57.247 --> 00:13:05.489]  In a recent study conducted by a major environmental auditor, they found that over 260 chemicals and pollutants are present in municipal drinking water.
[00:13:05.749 --> 00:13:10.975]  Many of these chemicals are directly linked to cancer, reproductive, immune, and developmental system diseases.
[00:13:11.296 --> 00:13:12.918]  Now what are you going to do about it?
[00:13:13.178 --> 00:13:19.505]  The Ecola Blue Atmospheric Water Generator is a low-cost way to take back control of you and your family's drinking water.
[00:13:19.685 --> 00:13:24.191]  The Ecola Blue 28 produces up to 7 gallons of water from the humidity in the atmosphere.
[00:13:24.451 --> 00:13:24.871]  We're good to go.
[00:13:52.995 --> 00:13:58.999]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[00:13:59.619 --> 00:14:02.661]  It's Alex Jones and the GCN Radio Network.
[00:14:06.703 --> 00:14:08.504]  I've got a report here out of England.
[00:14:09.745 --> 00:14:12.927]  Facebook police raided my family barbecue.
[00:14:15.285 --> 00:14:20.366]  The guy said I'm having a birthday party for my 30th family barbecue.
[00:14:20.786 --> 00:14:22.127]  No music, hamburgers.
[00:14:22.587 --> 00:14:26.868]  The police raided them with helicopters and police and said it's not allowed.
[00:14:26.888 --> 00:14:29.328]  You have to have a permit to have a party basically anywhere.
[00:14:30.028 --> 00:14:32.189]  And the police are here in the newspaper defending themselves.
[00:14:32.749 --> 00:14:36.750]  See, you're gonna ask permission to pee in the toilet, folks.
[00:14:38.564 --> 00:14:46.635]  And the feds are now talking about making it law to have sensors in all toilets to test for drugs automatically that are hooked to a wireless internet system.
[00:14:47.256 --> 00:14:48.899]  And they already have old folks homes that do this.
[00:14:49.139 --> 00:14:50.240]  Everything is going to be tracked.
[00:14:50.601 --> 00:14:53.906]  The nanny state, they're going to watch you, they're going to boss you, they're going to control you.
[00:14:55.350 --> 00:15:15.792]  But the last caller we're about to go back to was talking about, he was at an event with the Health and Human Services Secretary, who is a Bilderberg Group member, exposing how the feds want to federalize everything and that the police and they were handing out pod constitutions at the Obama event and talking about the Bilderberg Group were coming up and shaking their hand because the police are waking up.
[00:15:18.200 --> 00:15:19.020]  There's three things.
[00:15:19.100 --> 00:15:23.641]  Either cops are good men and women, they wake up and realize what's happening, because they're right in the middle of it.
[00:15:24.401 --> 00:15:28.562]  Or they're really stupid and don't understand what they're part of and kind of go along with it.
[00:15:29.042 --> 00:15:31.002]  Or they're evil and know what they're part of.
[00:15:32.443 --> 00:15:32.963]  But that's it.
[00:15:33.683 --> 00:15:34.363]  Those three groups.
[00:15:35.683 --> 00:15:42.304]  And it's our job to reach out to the ignorant ones, the ones that are kind of under a spell or in a trance, so they can see what's happening.
[00:15:42.344 --> 00:15:46.185]  But finish up John and Louisiana with the story you were telling.
[00:15:48.123 --> 00:15:54.826]  Well, before I went to the event, I did my research on all the people that were there.
[00:15:54.927 --> 00:16:07.573]  We had Tom Bilczak, the Department of Agriculture was there, the Department of Veteran Affairs, Eric Shinsky, Shinseki, U.S.
[00:16:07.593 --> 00:16:14.437]  Department of Labor, Hilda Solis, and all these people.
[00:16:15.377 --> 00:16:17.078]  Hilda is a CFR member.
[00:16:19.370 --> 00:16:35.918]  Shinsky is a CFR member, and Department of Agriculture Tom Bilsack, the former Iowa governor, gave two rewards to Monsanto, which I'm sure you're aware of Monsanto.
[00:16:36.578 --> 00:16:37.879]  Yes, Monsanto, yes.
[00:16:41.441 --> 00:16:46.143]  But I did my research, but she was answering most of the questions.
[00:16:47.939 --> 00:16:52.101]  Now, this meeting, she was there pushing the President's health care takeover plan?
[00:16:53.062 --> 00:16:53.242]  Yes.
[00:16:54.582 --> 00:16:59.965]  Okay, but you say that when you mentioned Bilderberg, or one of your group did, that there were gasps in the audience.
[00:17:00.846 --> 00:17:02.446]  Yes, there were gasps in the audience.
[00:17:02.486 --> 00:17:10.490]  I even heard some boos when she mentioned it's an international group of European and American business.
[00:17:12.301 --> 00:17:17.783]  political officials that... Oh, wait, wait, wait, wait, wait, wait, wait, wait, sir, just tell the story in a nutshell.
[00:17:18.223 --> 00:17:21.504]  You mean she got confronted about Bilderberg and talked about it?
[00:17:22.624 --> 00:17:23.645]  Yes, briefly.
[00:17:24.145 --> 00:17:26.066]  She briefly explained what Bilderberg was.
[00:17:26.706 --> 00:17:27.666]  And the people booed her?
[00:17:27.706 --> 00:17:34.268]  She said she did attend and that Governor Rick Perry, she didn't say that whether he attended, but she said that he was invited.
[00:17:34.749 --> 00:17:41.131]  But she said at the end of it, it wasn't very that clear, but if you listen in really well,
[00:17:42.751 --> 00:17:43.091]  I do.
[00:17:43.171 --> 00:17:45.073]  Okay, appreciate your call.
[00:17:45.133 --> 00:17:46.133]  Keep up the good work there.
[00:17:46.193 --> 00:17:46.954]  Good to hear from you.
[00:17:50.316 --> 00:17:52.337]  Let's go ahead and take another call now.
[00:17:55.580 --> 00:18:01.223]  Let's go ahead and talk to Mark in Oregon.
[00:18:01.283 --> 00:18:02.064]  Mark, you're on the air.
[00:18:02.644 --> 00:18:03.245]  Hello, Alex.
[00:18:03.805 --> 00:18:04.366]  Yes, go ahead.
[00:18:04.986 --> 00:18:06.427]  Yeah, great to have you back.
[00:18:07.620 --> 00:18:21.673]  Alex, you mentioned on a recent show that you'll soon become active in the formation of organizations and groups and that you would be moving away from the video informational realm into the organizational realm.
[00:18:23.535 --> 00:18:29.561]  Could you, would you give some specifics about what you plan to do in this new venture and what you envision for it?
[00:18:31.383 --> 00:18:38.783]  Well, I was saying that I've thought about not focusing so much on films and more on creating organizations.
[00:18:40.154 --> 00:18:42.536]  But then you need a film for the organizations to give out.
[00:18:42.556 --> 00:18:51.503]  I mean, to go out and actively fight the eugenicist, and to go out and tell people it's not the law, you don't have to take vaccines, and to really get aggressive.
[00:18:51.963 --> 00:18:57.647]  The only problem is then I wouldn't have the funds to fund organizations or even the setting up of them.
[00:18:58.288 --> 00:19:02.751]  And then they launch COINTELPRO against your organization if you try to create some tax-free thing.
[00:19:03.211 --> 00:19:08.855]  Then they have their operatives come in and say, oh, you're spending the money on something you shouldn't, you know, even if it's for legal defense.
[00:19:10.057 --> 00:19:16.000]  We really have a child-like, not serious population, almost designed to sabotage themselves.
[00:19:17.940 --> 00:19:24.723]  But I kind of put that idea out there for other people to start organizations and other people to go out and warn folks about eugenics.
[00:19:25.183 --> 00:19:30.866]  What I'm saying is, last week as I realized more and more, kind of brainstorming on air, that eugenics is everything.
[00:19:31.730 --> 00:19:36.153]  That that mindset and that system and that that's what the planetary government is.
[00:19:36.193 --> 00:19:37.394]  That's what it's set up to do.
[00:19:38.154 --> 00:19:45.800]  And here it is verified in the textbook written by the White House science czar, saying that.
[00:19:45.960 --> 00:19:47.361]  I mean, it's real.
[00:19:48.742 --> 00:19:51.524]  And that's the big issue.
[00:19:52.364 --> 00:19:54.946]  And I need to do everything I can to reach out to people on that subject.
[00:19:58.220 --> 00:20:07.363]  You know, mainly it's a frustration because there's so much going on, there's so much happening, and I just want to beat these people.
[00:20:07.463 --> 00:20:16.787]  I mean, it's so obvious what they're doing, it's so evil, it's so out of the open, it's so ridiculously classically tyrannical and corrupt and bad.
[00:20:16.807 --> 00:20:17.887]  I appreciate your call, Mark.
[00:20:19.207 --> 00:20:20.908]  There isn't any idea formed on that.
[00:20:21.248 --> 00:20:23.149]  I mean, I can barely get my cameras to work in here.
[00:20:23.800 --> 00:20:25.821]  You know, I'm very frustrated.
[00:20:25.861 --> 00:20:35.006]  I spend most of my time messing with taxes, and employees, and light bulbs, and carrying the trash out, and the same crap everybody else does, or broken water heaters.
[00:20:36.226 --> 00:20:39.028]  And then I'm the biggest best there is, and that isn't very good.
[00:20:39.048 --> 00:20:42.190]  At the end of the day, I'm not that good.
[00:20:44.251 --> 00:20:48.713]  And the globalists are organized, they're corrupt, they're a bunch of thieving parasites.
[00:20:49.153 --> 00:20:50.474]  They use our money against us.
[00:20:56.534 --> 00:20:57.635]  People are waking up though.
[00:20:58.115 --> 00:21:00.858]  A lot of good things are happening and so I should be more positive.
[00:21:00.998 --> 00:21:09.625]  I just have trouble looking at Obama and trouble looking at Bush and looking at all these local criminals and looking at all the stuff they do.
[00:21:09.786 --> 00:21:10.766]  I'm sick of them!
[00:21:11.627 --> 00:21:13.329]  I have more than a hatred for them.
[00:21:13.369 --> 00:21:15.571]  I have a disgust, a disdain, a
[00:21:21.058 --> 00:21:27.083]  Tectonic, tightness, explosive, anathema.
[00:21:27.503 --> 00:21:28.464]  They are anathema.
[00:21:28.624 --> 00:21:30.726]  It's not even that I hate them or are disgusted.
[00:21:30.826 --> 00:21:32.207]  I want to be away from them.
[00:21:32.387 --> 00:21:33.588]  I don't like them.
[00:21:33.929 --> 00:21:35.430]  I don't like looking at them.
[00:21:35.710 --> 00:21:36.771]  I don't like hearing them.
[00:21:36.791 --> 00:21:40.214]  I don't like all their tics and all their enjoyment of petty power.
[00:21:40.494 --> 00:21:42.055]  I hate their worldliness.
[00:21:42.395 --> 00:21:43.476]  I hate their pettiness.
[00:21:43.777 --> 00:21:48.600]  I hate the fact that they don't enjoy beauty or decency or honor or
[00:21:57.475 --> 00:22:03.470]  See, I start thinking about them and just the image of them starts going into my mind and that's something I can't allow.
[00:22:05.709 --> 00:22:18.374]  I know these people, I know what makes them tick, I've looked into their minds, I've studied them, I know who they are, and I just can't believe we are this low to let this type of worthless trash run things.
[00:22:18.435 --> 00:22:27.638]  This type of innocence-destroying, decency-destroying, ugh, it hurts my soul, folks.
[00:22:29.259 --> 00:22:33.241]  And my spirit just rises up against them to just a level
[00:22:37.654 --> 00:22:39.055]  I just want to get my hands around their throats.
[00:22:40.755 --> 00:22:41.916]  You want to get down to the bottom line.
[00:22:45.737 --> 00:22:46.717]  And you know they feel the same.
[00:22:46.757 --> 00:22:47.578]  They don't like us.
[00:22:48.678 --> 00:22:50.459]  They want to get their hands around our throats too.
[00:22:50.719 --> 00:22:51.279]  And they are.
[00:22:51.619 --> 00:22:53.920]  Every day you drink that damn tap water.
[00:22:54.240 --> 00:22:57.361]  Every day you shoot your kids up and eat the GMO food.
[00:22:57.381 --> 00:23:03.523]  And they're just going to go on hurting us and killing us and screwing us and lying to us.
[00:23:03.903 --> 00:23:04.904]  And I'm sick of it!
[00:23:06.587 --> 00:23:12.312]  And they take our normal instincts of manhood and valor and honor and they twist it and use it for their own aims.
[00:23:13.773 --> 00:23:15.654]  They got the best of us working for them.
[00:23:15.674 --> 00:23:17.095]  It's a load of crap!
[00:23:19.597 --> 00:23:20.658]  Let's take another call.
[00:23:23.080 --> 00:23:26.723]  I just swear on the altar of God that we're going to beat you.
[00:23:27.704 --> 00:23:30.786]  I swear I'm going to do whatever it takes to beat you!
[00:23:32.528 --> 00:23:34.930]  And the people out there are making that oath as well.
[00:23:39.847 --> 00:23:41.008]  Chad in Florida, go ahead.
[00:23:42.249 --> 00:23:45.011]  Oh man, it is so nice to listen to you.
[00:23:46.032 --> 00:23:47.893]  It's good to hear from you.
[00:23:47.913 --> 00:23:48.554]  What's on your mind?
[00:23:49.374 --> 00:23:52.136]  I feel the exact same way you do every single day.
[00:23:52.176 --> 00:24:02.004]  It is disgusting on a daily basis to wake up surrounded with these grown, immature kids playing with technology and toys.
[00:24:03.105 --> 00:24:07.408]  It's disgusting the way things have been engineered over the past hundred years in this country.
[00:24:08.228 --> 00:24:10.730]  It makes me sick to look at these people every time.
[00:24:10.970 --> 00:24:13.572]  Same with you, Brock is on TV.
[00:24:14.493 --> 00:24:16.094]  They have sucked our soul out!
[00:24:16.975 --> 00:24:17.435]  They have.
[00:24:17.515 --> 00:24:22.879]  They've engineered this country to be the forefront in how not to live every day.
[00:24:23.360 --> 00:24:24.480]  And what not to do.
[00:24:25.001 --> 00:24:29.044]  And they've set it all up to where everything is just the way it is nowadays.
[00:24:29.104 --> 00:24:32.987]  People have a hard time backtracking and backengineering the truth nowadays.
[00:24:33.747 --> 00:24:34.828]  It's sick!
[00:24:35.649 --> 00:24:37.010]  And I was wondering, like,
[00:24:37.771 --> 00:24:42.252]  What exactly is it going to take for everyone involved in all this?
