[00:00:00.655 --> 00:00:01.636]  Initiate launch.
[00:05:26.060 --> 00:05:28.302]  food supplies are dangerously low and we urge
[00:05:28.302 --> 00:05:28.562]  I think so.
[00:05:51.997 --> 00:05:56.120]  Call 908-691-2608 or visit hempusa.org.
[00:05:56.340 --> 00:05:59.002]  If the body has the proper nutrition, it will heal itself.
[00:05:59.302 --> 00:06:03.124]  Ask yourself, why does our government not allow this crop to grow in the U.S.?
[00:06:03.405 --> 00:06:05.746]  This product is also great for pets and animals.
[00:06:05.926 --> 00:06:10.930]  Call 908-691-2608 or go to hempusa.org today.
[00:06:11.510 --> 00:06:17.914]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[00:06:18.275 --> 00:06:19.936]  The enemy struck America on September 11th.
[00:06:21.085 --> 00:06:21.946]  Who is the enemy?
[00:06:22.446 --> 00:06:22.947]  Bin Laden.
[00:06:23.247 --> 00:06:24.208]  This is his M.O.
[00:06:24.228 --> 00:06:25.549]  We have to look to the Middle East.
[00:06:25.609 --> 00:06:27.271]  We have to look to Osama Bin Laden.
[00:06:27.611 --> 00:06:34.357]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[00:06:34.757 --> 00:06:35.198]  Some U.S.
[00:06:35.238 --> 00:06:40.903]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[00:06:41.583 --> 00:06:45.065]  I'm aware that some Israeli citizens have been detained.
[00:06:45.085 --> 00:06:47.886]  Either you are with us, or you are with the terrorists.
[00:07:11.621 --> 00:07:12.161]  You worry.
[00:07:12.522 --> 00:07:14.243]  You see the signs and worry about the future.
[00:07:14.583 --> 00:07:16.825]  You worry about economic turmoil and food shortages.
[00:07:17.246 --> 00:07:19.047]  How to be prepared while preserving your sanity?
[00:07:19.367 --> 00:07:20.568]  Your answer may be at hand.
[00:07:20.969 --> 00:07:24.171]  Author Linda Runyon lived off the land, isolated from civilization.
[00:07:24.571 --> 00:07:29.435]  She knows that as long as the sun shines, there will be plenty of free food all over God's green earth.
[00:07:29.796 --> 00:07:33.138]  Perhaps the only sane insurance is knowledge of wild edible plants.
[00:07:33.779 --> 00:07:35.120]  The cost of learning is minimal.
[00:07:35.460 --> 00:07:38.062]  Wild food grows everywhere and you will see it everywhere.
[00:07:38.363 --> 00:07:41.305]  It's every bit organic and more nutritious than our modern diets.
[00:07:41.809 --> 00:07:49.974]  Well respected in her field, Linda's approach to teaching this subject includes books, flashcards, and video with an emphasis on health, safety, practicality, and joy.
[00:07:50.455 --> 00:07:54.838]  Learn how to identify it, where and when to find it, how to prepare, use, and store it.
[00:07:55.278 --> 00:07:58.960]  Go to Linda's website, ofthefield.com, and take advantage of special offers.
[00:07:59.301 --> 00:08:03.283]  Or if you're not online, call her 24-hour, toll-free order line at 888-51-EAT-FREE.
[00:08:03.303 --> 00:08:04.664]  That number again, 888-51-EAT-FREE.
[00:08:04.684 --> 00:08:06.425]  A little knowledge makes starvation impossible.
[00:08:16.164 --> 00:08:20.347]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:08:21.007 --> 00:08:21.808]  You want answers?
[00:08:22.589 --> 00:08:23.449]  Well, so does he.
[00:08:24.150 --> 00:08:27.812]  He's Alex Jones on the GCN Radio Network.
[00:08:28.333 --> 00:08:32.435]  And now, live from Austin, Texas, Alex Jones.
[00:08:34.797 --> 00:08:41.602]  There's a lot of tough guys that always shoot their mouths off and say, I'm not gonna go get involved in the fight for the Second Amendment.
[00:08:42.858 --> 00:08:48.847]  They're trying to shut down private transfer of firearms, private sales, selling it to your neighbor, getting it to your grandson.
[00:08:49.168 --> 00:08:52.352]  They're raiding, swatting people that buy family firearms.
[00:08:54.238 --> 00:08:57.459]  Or family that store their firearms at somebody else's house.
[00:08:58.619 --> 00:09:02.001]  They're trying to nitpick with rules and regulations that aren't even law.
[00:09:02.961 --> 00:09:10.043]  And they're coming after the Second Amendment with open nationwide gun registration and bans of all semi-autos.
[00:09:10.483 --> 00:09:13.244]  It's all introduced by prominent members of the administration.
[00:09:13.564 --> 00:09:15.245]  Rahm Emanuel, the Chief of Staff,
[00:09:15.865 --> 00:09:25.494]  Eric Holder, the new Attorney General sworn in today, has in briefs before the Supreme Court and in other areas has called for total gun ban.
[00:09:26.595 --> 00:09:31.440]  Barack Obama introduced legislation supporting nationwide Chicago-style gun bans.
[00:09:31.840 --> 00:09:32.380]  This is it!
[00:09:33.382 --> 00:09:37.123]  And now they want it to wear, and then they've been floating this.
[00:09:37.583 --> 00:09:38.623]  This is from two years ago.
[00:09:38.663 --> 00:09:40.444]  We played the Rahm Emanuel audio earlier.
[00:09:40.464 --> 00:09:45.245]  Later we'll play the video for everybody watching at PrisonPlanet.tv and folks listening on the radio.
[00:09:45.925 --> 00:09:51.087]  He just says, no second right for you if you're on the no-fly list if we think maybe you might be a terrorist.
[00:09:52.096 --> 00:09:54.517]  But under the Patriot Act, it's all misdemeanors.
[00:09:54.637 --> 00:09:57.958]  It's people talking back to a flight attendant.
[00:09:57.998 --> 00:09:58.878]  It's owning marijuana.
[00:09:59.278 --> 00:10:00.299]  No more Second Amendment.
[00:10:01.059 --> 00:10:03.620]  But people are on the list and can't get off the list.
[00:10:04.160 --> 00:10:08.082]  Mike Rivero of WhatReallyHappened.com, this is just classic
[00:10:09.622 --> 00:10:14.406]  Extrajudiciary tyranny outside the system, and they're doing that on every front.
[00:10:14.807 --> 00:10:23.814]  We're not even the President, but even his designates can just say, ban, ban, ban, or I put you on a list, ban, ban, ban, or we decide if you can own a gun.
[00:10:23.834 --> 00:10:34.743]  I mean, this is really happening, and it ties into Patriot Act compliance, where they're saying no bank account if you haven't paid your taxes, no job if you haven't paid your taxes, or if you don't pay, but we said
[00:10:36.247 --> 00:10:39.418]  But then his entire cabinet, it turns out, don't pay taxes.
[00:10:39.639 --> 00:10:40.984]  I mean, this is a crew of criminals.
[00:10:42.418 --> 00:10:43.419]  Yeah, it absolutely is.
[00:10:43.439 --> 00:10:44.540]  There's a double standard.
[00:10:44.580 --> 00:10:48.903]  It's the do as we say, don't do as we do mentality, and it's almost a joke.
[00:10:48.943 --> 00:11:11.000]  They're talking about this, you know, the taxes are going to have to go up to cover all of this deficit spending for the stimulus package, which isn't really stimulating much of anything except a few special interests, and yet we're finding out all of the insiders and the upper-level people, they're all using these tax havens, they're avoiding taxes, they're outright refusing to pay, and relying on their political connections to keep them safe from prosecution.
[00:11:11.440 --> 00:11:20.028]  And it really is a very obvious hypocrisy, but the bottom line is the US government recognizes they have pushed the American people to the edge of an outright revolt.
[00:11:20.228 --> 00:11:21.890]  They're seeing it happen all across Europe.
[00:11:22.170 --> 00:11:24.953]  I had a phone call from a friend of mine in Europe yesterday.
[00:11:24.973 --> 00:11:27.155]  He says, you are not even beginning to hear
[00:11:27.515 --> 00:11:33.258]  The depth of this over there in the United States is far far worse than is being reported in the international media.
[00:11:33.518 --> 00:11:39.501]  Just rioting everywhere in France and Iceland and Ireland now and it's just it's really out of control.
[00:11:39.721 --> 00:11:41.942]  And the US government knows it's going to be coming here.
[00:11:41.982 --> 00:11:43.823]  They're trying to keep people from thinking about it.
[00:11:44.063 --> 00:11:48.045]  That's why we're getting JonBenet Ramsey on the news again today after all this time.
[00:11:48.225 --> 00:11:54.868]  They're desperate to put out something that sounds like news without talking about how bad the economy is and without talking about the fact that
[00:11:55.288 --> 00:11:56.449]  Pretty much around the world.
[00:11:56.529 --> 00:12:00.611]  People are saying enough to this debt-based monetary system of enslavement.
[00:12:00.631 --> 00:12:04.493]  Yeah, that's why we're hearing about Michael Phelps and he smoked some weed.
[00:12:04.513 --> 00:12:09.755]  You know, forget the bankers stealing trillions and not even paying taxes and just open corruption everywhere.
[00:12:09.795 --> 00:12:10.616]  That doesn't matter.
[00:12:10.996 --> 00:12:12.637]  It's Michael Phelps is the news.
[00:12:13.854 --> 00:12:14.555]  Yeah, absolutely.
[00:12:14.575 --> 00:12:15.876]  It's just trivialization.
[00:12:15.956 --> 00:12:16.916]  It's tabloidism.
[00:12:17.257 --> 00:12:17.817]  And it really is.
[00:12:17.877 --> 00:12:19.718]  It's just one distraction after another.
[00:12:19.779 --> 00:12:22.380]  That's why we can never seem to get rid of Sarah Palin in the news.
[00:12:22.841 --> 00:12:26.083]  It's just anything they can put out there that they hope will distract us.
[00:12:26.424 --> 00:12:29.786]  And I like to call it the contentization of the news, because back in 2001,
[00:12:31.127 --> 00:12:31.668]  When the U.S.
[00:12:31.708 --> 00:12:45.038]  was telling every other country we're getting ready to invade Afghanistan, all we got in this country was Gary Condit and Chandra Levy for week after week after week after week until, boom, 9-11 happens and all of a sudden we're off to war in Afghanistan.
[00:12:45.098 --> 00:12:47.740]  Big surprise for the Americans, no surprise for anybody else.
[00:12:48.715 --> 00:12:51.960]  You know, that's a key point of 9-11 being an inside job, that 44,000 U.S.
[00:12:52.300 --> 00:12:58.549]  troops, 18,000 British troops, matched in Tajikistan, Uzbekistan, in a six-month armored build-up.
[00:12:58.629 --> 00:13:00.852]  It's all over foreign news they're going to invade.
[00:13:02.080 --> 00:13:14.585]  And then the 9-11 magically happens so they can invade, and Bush signs the launch order to attack in one week on September 10th, and his brother gets a bill passed to declare martial law if they wanted to in Florida.
[00:13:15.225 --> 00:13:22.768]  They knew that 9-11 was going to be worse, but for some reason Flight 93 didn't go into the Capitol or its real target.
[00:13:23.068 --> 00:13:25.389]  They were planning federal decapitation of the government.
[00:13:27.137 --> 00:13:42.385]  Uh, well, they were definitely planning on hijacking the government into a war machine, and as far as Flight 93 is concerned, I am convinced that the crew regained control of the airplane, and had it landed safely, the whole story, the whole cover-up would have been blown, and that's why they had to shoot it down.
[00:13:42.685 --> 00:13:49.587]  And we know that from high-level colonels and officers and state police who witnessed the F-16s and the explosion.
[00:13:49.607 --> 00:13:53.648]  That's why it was an 8-mile debris field that sources the state police.
[00:13:53.668 --> 00:13:56.469]  They try to debunk that, but we have the news articles and the videos.
[00:13:57.249 --> 00:14:02.610]  But to make a long story short, yeah, we know they shot two AIM-9s, and that even came out in the NORAD tapes.
[00:14:02.990 --> 00:14:05.591]  They fired two AIM-9s, which are sidewinder missiles, into it.
[00:14:07.268 --> 00:14:14.454]  And yeah, they had to bring it down because the whole cover-up and deception of this false flag rested on there being no survivors.
[00:14:14.514 --> 00:14:20.058]  It's like when Israel attacked the USS Liberty, they were going to frame Egypt for us and sucker the U.S.
[00:14:20.098 --> 00:14:21.399]  into the war on Israel's side.
[00:14:21.699 --> 00:14:24.902]  But the ship didn't sink and so the whole operation fell apart.
[00:14:25.382 --> 00:14:29.624]  But if you're against them killing our sailors in the most highly decorated ship in U.S.
[00:14:29.664 --> 00:14:40.988]  history and keeping it afloat under three hours of fighter-bomber attack, patrol boat attack, torpedo blowing a 35-foot hole in it, you're then anti-America if you don't support the false flag to kill our troops.
[00:14:41.048 --> 00:14:44.529]  Because to the people running the government, it's patriotic to kill our troops.
[00:14:45.976 --> 00:14:55.929]  If it serves the war cause, I mean, we have documents now how Franklin Roosevelt was saying, I'm willing to sacrifice so many ships and so many men to get us into the war against Hitler.
[00:14:56.189 --> 00:14:58.472]  And this was in the months leading up, of course, to Pearl Harbor.
[00:15:00.180 --> 00:15:17.327]  Absolutely, and if you expand on that, I'm not defending the Imperial Japanese government because they're all corrupt, it's the nature of it, but the Flying Tigers were private contractors for three years before the war started attacking Japanese out of China and then blocking their oil shipments
[00:15:17.947 --> 00:15:18.167]  I don't
[00:15:34.549 --> 00:15:38.351]  In the two hours before, they were sinking them and getting emergency broadcast.
[00:15:39.032 --> 00:15:41.753]  One even sort of coming into the harbor was only a mile outside.
[00:15:41.793 --> 00:15:43.134]  They sunk it out by a reef.
[00:15:43.534 --> 00:15:44.955]  And this is now even on CNN.
[00:15:45.275 --> 00:15:51.998]  And they even have one of the submarines that they sunk out at the Fredericksburg Pacific War Museum in Fredericksburg, Texas.
[00:15:52.499 --> 00:15:57.761]  One of the subs, the midget subs, they sunk that day and still ordered the stand down.
[00:15:57.982 --> 00:16:00.043]  Imagine, subs are attacking!
[00:16:00.743 --> 00:16:07.580]  And they've got ships out destroying them, and then they're ordering a stand down as people at the base at Pearl Harbor are saying, we're under attack.
[00:16:07.640 --> 00:16:10.026]  No, no, stand down, stand down, stand down.
[00:16:11.363 --> 00:16:15.704]  Yeah, all war is based on deception, as Sun Tzu says.
[00:16:15.985 --> 00:16:24.547]  It's interesting to note how many people wrote in their diaries that 9-11 was the 21st century version of Pearl Harbor.
[00:16:24.687 --> 00:16:27.568]  Everybody was making that connection and that illusion.
[00:16:27.608 --> 00:16:30.909]  The bottom line is that Pearl Harbor, there was a lot of deception about that.
[00:16:31.470 --> 00:16:32.370]  We now know that
[00:16:33.110 --> 00:16:33.531]  I think?
[00:16:48.667 --> 00:16:54.433]  And right now, today, we're seeing this hideous push for a new war in Iran, because every time the U.S.
[00:16:54.453 --> 00:16:58.197]  gets into an economic mess, they get out of it by getting into a world war.
[00:16:58.417 --> 00:17:00.920]  And I think that's what's on everybody's mind right now.
[00:17:01.260 --> 00:17:09.449]  If they can kick up a new world war, starting in the Mideast, that everybody's economic problems will go away, or at least nobody will talk about them, because it's unpatriotic.
[00:17:09.989 --> 00:17:13.452]  Well, that's what the RAND Corporation said three months ago and it made big European news.
[00:17:13.512 --> 00:17:15.173]  It's confirmed, but it was never on the news here.
[00:17:15.213 --> 00:17:19.636]  They said, this is the top think tank advising the Trilateral Commission and CFR, for those that don't know.
[00:17:19.997 --> 00:17:26.822]  They said, we've got to have something on a World War level, but not to get us out of trouble, to get the people to stand down in false patriotism.
[00:17:27.162 --> 00:17:32.546]  While the foreign banks take over, while we are losing our homes, and that's what Obama's saying.
[00:17:32.786 --> 00:17:33.627]  It's going to get tough.
[00:17:33.907 --> 00:17:34.567]  Austerity.
[00:17:35.108 --> 00:17:35.808]  Stick together.
[00:17:35.868 --> 00:17:42.273]  Stick together means us losing our jobs, losing our pensions, while the bankers set up world government on the corpse of the United States.
[00:17:43.754 --> 00:17:55.462]  And it really is silly because globalism got us into this mess, and saying that globalism can get us out, that's like saying that if we whack the front of the Titanic against the other side of the iceberg, that maybe we can save the ship.
[00:17:56.598 --> 00:18:07.846]  Now that's what I've thought is really, this weekend I watched hours on C-SPAN, stuck in a hotel room, I watched hours of C-SPAN, of Davos, and they would just repeat the same thing like parrots.
[00:18:07.866 --> 00:18:19.793]  They'd have these panels with Prime Ministers and Presidents and leaders, and it was all globalism, New World Order, only globalism will fix this problem, this is worldwide crises, this is a worldwide economic takedown by design.
[00:18:19.834 --> 00:18:26.578]  They got this global grid in place, as they said they would, in their own documents, to implode things, and then now they're posing as the saviors.
[00:18:28.519 --> 00:18:43.128]  Well, every time I hear the word globalism, I keep reminding myself that globalism is what Alexander the Great wanted, it's what Hitler wanted, it's what Napoleon wanted, and it's never worked out well for the ordinary people when somebody starts thinking, I should run the whole planet.
[00:18:44.208 --> 00:18:44.909]  Well, you're right.
[00:18:44.929 --> 00:18:48.411]  I know you have a lot of optimism, but
[00:18:49.605 --> 00:18:53.590]  These guys are so bold, it looks like they've gone to the point of no return regardless.
[00:18:53.910 --> 00:18:56.614]  It looks like they're going to go ahead and press for total tyranny.
[00:18:57.918 --> 00:18:59.359]  Well, they're certainly pushing for it.
[00:18:59.959 --> 00:19:01.340]  As you say, they've gone too far.
[00:19:01.380 --> 00:19:02.841]  They can't turn around and turn back.
[00:19:03.342 --> 00:19:05.523]  Whether they can achieve it or not, I don't know.
[00:19:05.543 --> 00:19:09.306]  I am very buoyed by the events of Europe where we're seeing all these riots.
[00:19:09.566 --> 00:19:11.487]  The government of Iceland has had to step down.
[00:19:12.108 --> 00:19:15.710]  I am amazed that we are not seeing those kind of riots here in the U.S.
[00:19:15.750 --> 00:19:21.514]  yet, although with California now being broke and cutting off the welfare payments, I think that may certainly start.
[00:19:22.215 --> 00:19:25.857]  We used to joke all the time about the government putting tranquilizers in the drinking water.
[00:19:25.877 --> 00:19:26.738]  I'm kind of wondering if
[00:19:28.142 --> 00:19:37.506]  You know, given the amounts of pharmaceuticals that are known to be in the tap water, if there isn't some element of truth there, because I don't understand why the American people are not showing more anger at this point.
[00:19:37.986 --> 00:19:42.508]  Well, you know, they've done studies where there's water supplies that aren't connected to sewage.
[00:19:43.408 --> 00:19:49.229]  And they still have levels way off the charts of Prozac molecules.
[00:19:49.549 --> 00:19:50.989]  Serotonin reuptake inhibitor class.
[00:19:51.550 --> 00:19:57.211]  And did you know that on the news they proposed putting Prozac in the water and statins for her heart?
[00:19:57.731 --> 00:20:00.051]  So, Mike, it's already going on.
[00:20:00.491 --> 00:20:07.453]  Every major water supply in the country has levels of Prozac-type drugs many times higher than could be there from runoff.
[00:20:07.753 --> 00:20:09.333]  So they are putting drugs in the water.
[00:20:12.853 --> 00:20:15.874]  Stop wasting your time struggling with everything you're trying to learn.
[00:20:16.315 --> 00:20:18.075]  Learning should be a pleasure not torture.
[00:20:18.456 --> 00:20:24.758]  The School of Phenomenal Memory gives you the training and tools you need to memorize any type of information quickly and efficiently.
[00:20:25.119 --> 00:20:28.080]  Just as you need to exercise to get your body into shape, you need to
[00:20:31.564 --> 00:20:31.824]  I'm good.
[00:20:48.038 --> 00:20:58.189]  Instead, the School of Phenomenal Memory uses the latest breakthrough in scientific understanding of how memory works, applying techniques based on natural mechanisms of your brain and memory.
[00:20:58.529 --> 00:21:05.917]  Start exercising your brain today at pmemory.net and receive Secrets of a Phenomenal Memory, the amazing e-book absolutely free.
[00:21:06.197 --> 00:21:07.519]  Visit pmemory.net.
[00:21:07.699 --> 00:21:08.580]  The time is now.
[00:21:08.780 --> 00:21:10.722]  Learn how to memorize entire books today.
[00:21:11.792 --> 00:21:15.437]  Have you ever felt like the United States government knows way too much about your financial affairs?
[00:21:15.858 --> 00:21:21.286]  I continue to hear stories about property seizures, frozen bank accounts, confiscation of stocks and bonds.
[00:21:21.747 --> 00:21:22.828]  It makes me wonder if the U.S.
[00:21:22.868 --> 00:21:26.854]  citizen will ever again have the right to life, liberty, and the pursuit of happiness.
[00:21:27.555 --> 00:21:40.864]  Unfortunately, with the Drug and Money Laundering Act, the IRS Revenue Ruling 6045 of 1984, and the Trading with the Enemy Act in Franklin D. Roosevelt's Executive Order of 1933, some precious metal holdings are subject to government intervention.
[00:21:41.365 --> 00:21:46.668]  For this reason, Midas Resources has prepared a report explaining the boundaries of trading precious metals privately.
[00:21:46.969 --> 00:21:52.793]  Whether if you have any intention of trading with Midas Resources or not, I have instructed my representatives to give this report out free.
[00:21:53.593 --> 00:21:54.954]  Call for your free copy at 1-800-686-2237.
[00:21:54.974 --> 00:21:56.574]  When investing, always proceed with caution.
[00:21:56.594 --> 00:21:56.955]  Again, call 1-800-686-2237.
[00:21:57.015 --> 00:21:59.035]  Exercise your legal right to trade metals privately.
[00:21:59.055 --> 00:21:59.116]  1-800-686-2237.
[00:22:11.278 --> 00:22:24.002]  Now, from the makers of Loose Change, the most downloaded film in internet history, comes the long-awaited release of Loose Change Final Cut, an entirely new two-hour film that completely destroys the official fable forever.
[00:22:24.423 --> 00:22:31.185]  Loose Change Final Cut hopes to be a catalyst for a new independent investigation in which family members receive answers to their questions.
[00:22:31.525 --> 00:22:35.106]  And the true perpetrators of this horrendous crime are brought to justice.
[00:22:35.486 --> 00:22:38.647]  Loose Change Final Cut is the ultimate 9-11 expose.
[00:22:38.887 --> 00:22:40.608]  From hijackers being trained at U.S.
[00:22:40.648 --> 00:22:46.390]  military bases to bombs in the buildings, Loose Change Final Cut is the one 9-11 film everyone must see.
[00:22:46.790 --> 00:22:51.992]  Secure your copy of Loose Change Final Cut today at InfoWars.com or PrisonPlanet.com.
[00:22:52.192 --> 00:22:55.853]  While you're visiting the online video store, be sure to check out the huge discounts.
[00:22:56.113 --> 00:22:56.493]  We're good.
[00:23:11.400 --> 00:23:13.141]  The headlines are clear.
[00:23:13.221 --> 00:23:15.662]  The worldwide economic collapse is here.
[00:23:16.122 --> 00:23:18.703]  The military is being positioned for martial law.
[00:23:19.343 --> 00:23:20.983]  The mark of the beast is at hand.
[00:23:21.083 --> 00:23:24.244]  Governments are calling for a new world cashless economic system.
[00:23:24.385 --> 00:23:26.985]  Having a long-term food solution is your only hope.
[00:23:27.145 --> 00:23:28.046]  To stay free.
[00:23:29.066 --> 00:23:32.488]  Now, Survival of Seeds introduces their Escape the Beast Kit.
[00:23:32.708 --> 00:23:36.050]  24 varieties of all-natural, non-genetically modified heirloom seeds.
[00:23:36.090 --> 00:23:38.812]  For true patriots and homesteaders wanting food insurance.
[00:23:38.952 --> 00:23:42.614]  That's over 5 pounds of rare historic seeds for a penny per seed.
[00:23:42.634 --> 00:23:46.696]  15,000 seeds that will feed a family healthy food for 7 years.
[00:23:46.756 --> 00:23:47.597]  Big John Lipscomb.
[00:23:47.637 --> 00:23:57.343]  The host of Don't Tread on Me is including an instructional DVD that will teach you how to earn big money selling the produce from his incredible heirloom seeds back to him, restaurants and small delis.
[00:23:57.383 --> 00:23:58.644]  Don't buy from copycats.
[00:23:58.664 --> 00:24:00.645]  Their fancy packaging is not free.
[00:24:00.905 --> 00:24:02.807]  Order today before it's too late.
[00:24:02.887 --> 00:24:04.688]  SurvivalistSeeds.com.
[00:24:04.748 --> 00:24:06.909]  That's SurvivalistSeeds.com.
[00:24:07.089 --> 00:24:08.991]  A long-term food solution.
[00:24:17.116 --> 00:24:19.417]  Monday through Friday from 11 a.m.
[00:24:19.437 --> 00:24:22.058]  until 3 p.m.
[00:24:22.118 --> 00:24:26.180]  We are here live back Sundays 4 to 6 p.m.
[00:24:26.220 --> 00:24:29.061]  I want to open the phones up coming up in the next segment at 1-800-259-9231.
